<doc id="wr_1760-02-27" attrs="word" year="1760" month="02" day="27" corpus="2">
<head id="h2_d427e2506">
Venedig	w1_d427e2510
Cardinälen	w1_d427e9747
zu	w3_d427e9750
Pferd	w5_d427e9753
von	w7_d427e9756
dem	w9_d427e9759
Convent	w11_d427e9762
del	w1_d427e9768
Populo	w3_d427e9771
nach	w5_d427e9774
dem	w7_d427e9777
Quirinal	w9_d427e9780
erhoben,	w11_d427e9783
und	w13_d427e9787
den	w1_d427e9792
Cardinals=hut	w3_d427e9795
von	w5_d427e9798
Sr.	w7_d427e9801
Heiligkeit	w9_d427e9804
em	w11_d427e9807
pfangen.	w1_d427e9812
</p>
<head id="h2_d427e9819">
Wien	w1_d427e9823
den	w3_d427e9826
27.	w5_d427e9829
Februarii	w7_d427e9832
1760.	w9_d427e9835
</head>
<p id="p4_d427e9838">
Samstag	w1_d427e9842
den	w3_d427e9845
23.	w5_d427e9848
Februarii	w7_d427e9851
nach	w9_d427e9854
dem	w11_d427e9857
ordinari	w1_d427e9862
GOttes=dienst,	w3_d427e9865
seynd	w5_d427e9868
beede	w7_d427e9871
Kaiserl.	w1_d427e9876
Majestäten	w3_d427e9879
mit	w5_d427e9882
wichtigen	w7_d427e9885
Staats	w9_d427e9888
und	w1_d427e9894
Landes=angelegenheiten	w3_d427e9897
beschäftiget	w5_d427e9900
ge	w7_d427e9903
wesen.	w1_d427e9908
</p>
<p id="p6_d427e9911">
Sonntags	w1_d427e9915
den	w3_d427e9918
24.	w5_d427e9921
Februarii	w7_d427e9924
Vormin	w9_d427e9927
tags	w1_d427e9932
ist	w3_d427e9935
in	w5_d427e9938
Beywohnung	w7_d427e9941
Allerhöchster	w9_d427e9944
Herr	w11_d427e9947
schaften	w1_d427e9952
der	w3_d427e9955
gewöhnliche	w5_d427e9958
offentliche	w7_d427e9961
GOttes	w9_d427e9964
dienst	w1_d427e9970
in	w3_d427e9973
der	w5_d427e9976
Hof=kapellen	w7_d427e9979
gehalten	w9_d427e9982
wor	w11_d427e9985
den;	w1_d427e9990
dann	w3_d427e9993
Abends	w5_d427e9996
um	w7_d427e9999
5.	w9_d427e10002
Uhr	w11_d427e10005
haben	w13_d427e10009
Se.	w15_d427e10012
Majestät	w1_d427e10017
der	w3_d427e10020
Kaiser	w5_d427e10023
mit	w7_d427e10026
Jhren	w9_d427e10029
Königl.	w11_d427e10032
Hoheiten,	w1_d427e10037
denen	w3_d427e10040
Durchl.	w5_d427e10043
Erz=herzogen	w7_d427e10046
Jo	w9_d427e10049
seph,	w1_d427e10055
Carl,	w3_d427e10058
und	w5_d427e10061
Leopold,	w7_d427e10064
der	w9_d427e10067
Toisonvo	w11_d427e10070
sper;	w1_d427e10075
und	w3_d427e10078
</p>
<p id="p12_d427e10092">
Montags	w1_d427e10096
den	w3_d427e10099
25.	w5_d427e10102
Februarii	w7_d427e10105
Vormittags	w9_d427e10108
der	w1_d427e10113
Predig,	w3_d427e10116
Toison=amt,	w5_d427e10119
und	w7_d427e10122
Vesper,	w9_d427e10125
da	w11_d427e10128
selbst;	w1_d427e10133
Jhro	w3_d427e10136
Majestät	w5_d427e10139
die	w7_d427e10142
Kaiserin	w9_d427e10145
aber,	w11_d427e10148
mit	w1_d427e10154
Jhren	w3_d427e10157
Königl.	w5_d427e10160
Hoheiten	w7_d427e10163
denen	w9_d427e10166
Durchl.	w11_d427e10169
Erz=herzoginnen	w1_d427e10174
dem	w3_d427e10177
gewöhnlichen	w5_d427e10180
GOttes	w7_d427e10183
dienst,	w1_d427e10188
in	w3_d427e10191
der	w5_d427e10194
Kammer=kapellen	w7_d427e10197
beygewoh	w9_d427e10200
net.	w1_d427e10205
</p>
<p id="p14_d427e10208">
Dienstags	w1_d427e10212
den	w3_d427e10215
26.	w5_d427e10218
Februarii	w7_d427e10221
ware	w9_d427e10224
die	w11_d427e10227
gewöhnlich=wochemütche	w1_d427e10232
Conferenz,	w3_d427e10235
dann	w5_d427e10238
Vormittags	w1_d427e10243
seynd	w3_d427e10246
die	w5_d427e10249
Herren	w7_d427e10252
Bottschaftere	w9_d427e10255
und	w1_d427e10261
der	w3_d427e10264
hohe	w5_d427e10267
Adel	w7_d427e10270
in	w9_d427e10273
Gala	w11_d427e10276
bey	w13_d427e10280
Hof	w15_d427e10283
erschie	w17_d427e10286
nen,	w1_d427e10291
und	w3_d427e10294
haben	w5_d427e10297
bey	w7_d427e10300
Jhrer	w9_d427e10303
Königlichen	w11_d427e10306
Hoheit	w1_d427e10311
der	w3_d427e10314
Durchl.	w5_d427e10317
Erz=herzogin	w7_d427e10320
Maria	w9_d427e10323
Amalia	w1_d427e10328
höchsten	w3_d427e10331
Geburts=tag,	w5_d427e10334
ihre	w7_d427e10337
Com	w9_d427e10340
plimenten	w1_d427e10346
abgeleget.	w3_d427e10349
</p>
<head id="h2_d427e10355">
Lista	w1_d427e10359
deren	w3_d427e10362
Verstorbenen	w5_d427e10365
zu	w7_d427e10368
Wien	w9_d427e10371
inaund	w1_d427e10376
vor	w3_d427e10379
der	w5_d427e10382
Stadt.	w7_d427e10385
Den	w1_d427e10390
22.	w3_d427e10393
Februarii.	w5_d427e10396
Jn	w1_d427e10402
der	w3_d427e10405
Stadt.	w5_d427e10408
</head>
<list id="l4_d427e10411">
Dem	w1_d427e10415
Wol=edel=geb.	w3_d427e10418
Hrn.	w5_d427e10421
Joh.	w7_d427e10424
Mich.	w9_d427e10427
v.	w11_d427e10430
Auernham	w13_d427e10434
mer,	w1_d427e10439
Herrschaftl.	w3_d427e10442
Regent.,	w5_d427e10445
s.	w7_d427e10448
S.	w9_d427e10451
Franz,	w11_d427e10454
im	w13_d427e10458
Rue	w15_d427e10461
pish.	w1_d427e10466
H.	w3_d427e10469
in	w5_d427e10472
der	w7_d427e10475
Himmel=pfort=gas.,	w9_d427e10478
alt	w11_d427e10481
5.	w13_d427e10485
J.	w15_d427e10488
Dem	w1_d427e10494
Franz	w3_d427e10497
Planer,	w5_d427e10500
Stallmeist.,	w7_d427e10503
s.	w9_d427e10506
K.	w11_d427e10509
Joh.,	w13_d427e10513
in	w15_d427e10516
dem	w17_d427e10519
Nadlingeris.	w1_d427e10524
H.	w3_d427e10527
in	w5_d427e10530
der	w7_d427e10533
Nagler=gas.,	w9_d427e10536
5.	w11_d427e10539
v.	w13_d427e10543
J.	w15_d427e10546
Dem	w1_d427e10551
Wenzel	w3_d427e10554
Roßlapi,	w5_d427e10557
Lack.,	w7_d427e10560
s.	w9_d427e10563
K.	w11_d427e10566
Anna,	w13_d427e10570
im	w15_d427e10573
Dra	w17_d427e10576
ckis.	w1_d427e10581
H.	w3_d427e10584
am	w5_d427e10587
alt.	w7_d427e10590
Fleisch=m.,	w9_d427e10593
alt	w11_d427e10596
9.	w13_d427e10600
J.	w15_d427e10603
Dem	w1_d427e10609
Franz	w3_d427e10612
Gruebman,	w5_d427e10615
Lauf.,	w7_d427e10618
s.	w9_d427e10621
K.	w11_d427e10624
Theres.,	w13_d427e10628
in	w15_d427e10631
dem	w17_d427e10634
Kupferschmiedis.	w1_d427e10639
H.	w3_d427e10642
in	w5_d427e10645
der	w7_d427e10648
Nagler=gas.,	w9_d427e10651
5.	w11_d427e10654
v.	w13_d427e10658
J.	w15_d427e10661
</list>
<head id="h2_d427e10668">
Vor	w1_d427e10672
der	w3_d427e10675
Stadt.	w5_d427e10678
</head>
<list id="l4_d427e10681">
Elisab.	w1_d427e10685
Gruberin,	w3_d427e10688
Burgerl	w5_d427e10691
Wittwe,	w7_d427e10694
beym	w9_d427e10697
blauen	w11_d427e10700
Ygel	w1_d427e10705
in	w3_d427e10708
der	w5_d427e10711
Leopoldst.,	w7_d427e10714
alt	w9_d427e10717
80.	w11_d427e10720
Dem	w1_d427e10725
Jos.	w3_d427e10728
Weber,	w5_d427e10731
Tüchel=handl.,	w7_d427e10734
s.	w9_d427e10737
T.	w11_d427e10740
Barb.,	w13_d427e10744
in	w15_d427e10747
der	w1_d427e10753
Sammet=fabric	w3_d427e10756
auf	w5_d427e10759
der	w7_d427e10762
Landstr.,	w9_d427e10765
24.	w11_d427e10768
J.	w13_d427e10772
Rosal.	w1_d427e10777
Dunklin,	w3_d427e10780
Wittwe,	w5_d427e10783
im	w7_d427e10786
Dunklis.	w9_d427e10789
H.	w11_d427e10792
zu	w13_d427e10796
Erd	w15_d427e10799
berg,	w1_d427e10804
alt	w3_d427e10807
47.	w5_d427e10810
J.	w7_d427e10813
Dem	w1_d427e10818
Jacob	w3_d427e10821
Bäck,	w5_d427e10824
Proviant=bäck.,	w7_d427e10827
s.	w9_d427e10830
W.	w11_d427e10833
Magdal	w13_d427e10837
beym	w1_d427e10843
Nuß	w3_d427e10846
baum	w5_d427e10849
am	w7_d427e10852
Himmel=pfort=gr.,	w9_d427e10855
33.	w11_d427e10858
J.	w13_d427e10862
Math.	w1_d427e10867
Müllveit,	w3_d427e10870
Fuhr=kn.,	w5_d427e10873
bey	w7_d427e10876
St.	w9_d427e10879
Pet.	w11_d427e10882
ober	w13_d427e10886
dem	w15_d427e10889
Neustift,	w1_d427e10894
alt	w3_d427e10897
42.	w5_d427e10900
J.	w7_d427e10903
Dem	w1_d427e10908
Jacob	w3_d427e10911
Schöpfer,	w5_d427e10914
Sessel	w7_d427e10917
trag.,	w9_d427e10920
s.	w11_d427e10923
W.	w13_d427e10927
Veron.,	w15_d427e10930
beym	w1_d427e10936
gold.	w3_d427e10939
Steg	w5_d427e10942
am	w7_d427e10945
Alster	w9_d427e10948
bach,	w11_d427e10951
alt	w13_d427e10955
70.	w15_d427e10958
J.	w17_d427e10961
Dem	w1_d427e10966
Joh.	w3_d427e10969
Knopflitscheck,	w5_d427e10972
Lack.,	w7_d427e10975
s.	w9_d427e10978
K.	w11_d427e10981
Anna,	w13_d427e10985
beym	w15_d427e10988
bl.	w1_d427e10993
Wolf.	w3_d427e10996
auf	w5_d427e10999
der	w7_d427e11002
Wied.,	w9_d427e11005
alt	w11_d427e11008
2.	w13_d427e11012
J.	w15_d427e11015
</list>
<head id="h2_d427e11022">
Summa	w1_d427e11026
11.	w3_d427e11029
Person.,	w5_d427e11032
darunter	w7_d427e11035
2.	w9_d427e11038
Kind.	w11_d427e11041
Den	w1_d427e11046
23.	w3_d427e11049
Febr.	w5_d427e11052
Jn	w1_d427e11057
der	w3_d427e11060
Stadt.	w5_d427e11063
</head>
<list id="l4_d427e11066">
Der	w1_d427e11070
Ehrw.	w3_d427e11073
Novit.	w5_d427e11076
Balthas.	w7_d427e11079
Bucher,	w9_d427e11082
8.	w11_d427e11085
J.	w13_d427e11089
in	w15_d427e11092
dem	w17_d427e11095
Prob=H.	w1_d427e11100
bey	w3_d427e11103
St.	w5_d427e11106
Anna,	w7_d427e11109
alt	w9_d427e11112
18.	w11_d427e11115
J.	w13_d427e11119
</list>
<list id="l6_d427e11123">
Rupert	w1_d427e11127
Hätl,	w3_d427e11130
K.	w5_d427e11133
K.	w7_d427e11136
Büchsenmeist.,	w9_d427e11139
im	w11_d427e11142
K.	w13_d427e11146
K.	w15_d427e11149
untem	w17_d427e11152
Arsenal,	w1_d427e11157
alt	w3_d427e11160
62.	w5_d427e11163
J.	w7_d427e11166
</list>
<head id="h2_d427e11173">
Vor	w1_d427e11177
der	w3_d427e11180
Stadt.	w5_d427e11183
</head>
<list id="l4_d427e11186">
Joh.	w1_d427e11190
Donner,	w3_d427e11193
Medicinæ	w5_d427e11196
Studios.	w7_d427e11199
beym	w9_d427e11202
weis.	w11_d427e11205
Adl.	w13_d427e11209
am	w1_d427e11214
Neckift,	w3_d427e11217
alt	w5_d427e11220
28.	w7_d427e11223
J.	w9_d427e11226
Dem	w1_d427e11231
Joh.	w3_d427e11234
Pfaller,	w5_d427e11237
Bestand=wirt.,	w7_d427e11240
s.	w9_d427e11243
K.	w11_d427e11246
Reg.,	w13_d427e11250
beym	w15_d427e11253
schwarz.	w1_d427e11259
Adl.	w3_d427e11262
bey	w5_d427e11265
St.	w7_d427e11268
Ulrich,	w9_d427e11271
alt	w11_d427e11274
3.	w13_d427e11278
Anna	w1_d427e11283
Stockingerin,	w3_d427e11286
led.,	w5_d427e11289
im	w7_d427e11292
Hof=greißleris.	w9_d427e11295
H.	w11_d427e11298
am	w13_d427e11302
Alster=bach,	w1_d427e11307
alt	w3_d427e11310
30.	w5_d427e11313
J.	w7_d427e11316
Sebast.	w1_d427e11321
Plank,	w3_d427e11324
Tag=löhn.,	w5_d427e11327
s.	w7_d427e11330
K.	w9_d427e11333
Theres.,	w11_d427e11336
bey	w13_d427e11340
der	w15_d427e11343
H.	w1_d427e11349
Dreyfaltigk.	w3_d427e11352
am	w5_d427e11355
Himmel=pfort=gr.,	w7_d427e11358
4.	w9_d427e11361
J.	w11_d427e11364
</list>
<head id="h2_d427e11371">
Summa	w1_d427e11375
6.	w3_d427e11378
Pers.,	w5_d427e11381
darunter	w7_d427e11384
2.	w9_d427e11387
Kind.	w11_d427e11390
Den	w1_d427e11395
24.	w3_d427e11398
Februarii.	w5_d427e11401
Jn	w1_d427e11406
der	w3_d427e11409
Stadt.	w5_d427e11412
</head>
<list id="l4_d427e11415">
Der	w1_d427e11419
Maria	w3_d427e11422
Reichenauerin,	w5_d427e11425
Wittwe,	w7_d427e11428
ihr	w9_d427e11431
K.	w11_d427e11434
Jos.	w13_d427e11438
im	w15_d427e11441
Lintis.	w1_d427e11446
H.	w3_d427e11449
am	w5_d427e11452
nenen	w7_d427e11455
Markt,	w9_d427e11458
alt	w11_d427e11461
7.	w13_d427e11465
v.	w15_d427e11468
J.	w17_d427e11471
Dem	w1_d427e11476
Leop.	w3_d427e11479
Huber,	w5_d427e11482
Brief=trag.,	w7_d427e11485
s.	w9_d427e11488
K.	w11_d427e11491
Leop.,	w13_d427e11495
beym	w15_d427e11498
gold.	w1_d427e11504
Greif.	w3_d427e11507
in	w5_d427e11510
der	w7_d427e11513
Kärntnersir,	w9_d427e11516
alt	w11_d427e11519
4.	w13_d427e11523
J.	w15_d427e11526
</list>
<head id="h2_d427e11534">
Vor	w1_d427e11538
der	w3_d427e11541
Stadt.	w5_d427e11544
</head>
<list id="l4_d427e11547">
Der	w1_d427e11551
Wol=ehrw.	w3_d427e11554
P.	w5_d427e11557
Domin.	w7_d427e11560
Winkler,	w9_d427e11563
Ord.	w11_d427e11566
St.	w13_d427e11570
Franc.	w1_d427e11575
de	w3_d427e11578
Paula,	w5_d427e11581
im	w7_d427e11584
Klost.	w9_d427e11587
auf	w11_d427e11590
der	w13_d427e11594
Wied.,	w15_d427e11597
60.	w17_d427e11600
J.	w19_d427e11603
Fr.	w1_d427e11608
Anna	w3_d427e11611
Wiselbergerin,	w5_d427e11614
Wittwe,	w7_d427e11617
in	w9_d427e11620
ihrem	w11_d427e11623
H.	w13_d427e11627
in	w15_d427e11630
der	w1_d427e11636
Josephst.,	w3_d427e11639
alt	w5_d427e11642
57.	w7_d427e11645
J.	w9_d427e11648
Dem	w1_d427e11653
Andre	w3_d427e11656
Augustin,	w5_d427e11659
Kutsch.,	w7_d427e11662
s.	w9_d427e11665
W.	w11_d427e11668
Cathar.,	w13_d427e11672
im	w15_d427e11675
Brieschenkis.	w1_d427e11680
H.	w3_d427e11683
auf	w5_d427e11686
der	w7_d427e11689
Landstr.,	w9_d427e11692
alt	w11_d427e11695
32.	w13_d427e11699
J.	w15_d427e11702
Dem	w1_d427e11707
Georg	w3_d427e11710
Kramer,	w5_d427e11713
Tag=löhn.,	w7_d427e11716
s.	w9_d427e11719
K.	w11_d427e11722
Jos.,	w13_d427e11726
beym	w15_d427e11729
grün.	w1_d427e11735
Bat.	w3_d427e11738
im	w5_d427e11741
Lerchenf,	w7_d427e11744
alt	w9_d427e11747
7.	w11_d427e11750
J.	w13_d427e11754
</list>
<head id="h2_d427e11761">
Summa	w1_d427e11765
6.	w3_d427e11768
Pers.,	w5_d427e11771
darunter	w7_d427e11774
3.	w9_d427e11777
Kind.	w11_d427e11780
Den	w1_d427e11785
25.	w3_d427e11788
Februarii.	w5_d427e11791
Jn	w1_d427e11796
der	w3_d427e11799
Stadt.	w5_d427e11802
</head>
<list id="l4_d427e11805">
Dem	w1_d427e11809
Gottl.	w3_d427e11812
Wolfmayr,	w5_d427e11815
Burgerl.	w7_d427e11818
Schneid.,	w9_d427e11821
s.	w11_d427e11824
K.	w13_d427e11828
Jos.,	w1_d427e11833
beym	w3_d427e11836
Burgundis.	w5_d427e11839
Creutz	w7_d427e11842
in	w9_d427e11845
der	w11_d427e11848
obern	w13_d427e11852
Breu	w15_d427e11855
nerstr.,	w1_d427e11860
alt	w3_d427e11863
6.	w5_d427e11866
v	w7_d427e11869
J.	w9_d427e11872
Anna	w1_d427e11878
Grünin,	w3_d427e11881
Wittwe,	w5_d427e11884
im	w7_d427e11887
Tischleris.	w9_d427e11890
H.	w11_d427e11893
in	w13_d427e11897
der	w15_d427e11900
Na	w17_d427e11903
gler=gas.,	w1_d427e11908
alt	w3_d427e11911
53.	w5_d427e11914
J.	w7_d427e11917
</list>
<head id="h2_d427e11924">
Vor	w1_d427e11928
der	w3_d427e11931
Stadt.	w5_d427e11934
</head>
<list id="l4_d427e11937">
Dem	w1_d427e11941
Jos.	w3_d427e11944
Lügel,	w5_d427e11947
Burgerl.	w7_d427e11950
Vergoldt.,	w9_d427e11953
s.	w11_d427e11956
K.	w13_d427e11960
Lorenz,	w15_d427e11963
beyn	w1_d427e11968
2.	w3_d427e11971
Brandwein.	w5_d427e11974
bey	w7_d427e11977
Maria=hülf,	w9_d427e11980
alt	w11_d427e11983
5.	w13_d427e11987
J.	w15_d427e11990
Dem	w1_d427e11995
Franz	w3_d427e11998
Gansinger,	w5_d427e12001
Burgerl.	w7_d427e12004
Brätel=brat,	w9_d427e12007
s.	w11_d427e12010
K.	w13_d427e12014
Magdal,	w1_d427e12020
in	w3_d427e12023
der	w5_d427e12026
Schleif=mühl	w7_d427e12029
an	w9_d427e12032
der	w11_d427e12035
Wien,	w13_d427e12039
2.	w15_d427e12042
J.	w17_d427e12045
Math.	w1_d427e12050
Zinsmayr,	w3_d427e12053
gew.	w5_d427e12056
Burgerl.	w7_d427e12059
Bier=leut	w9_d427e12062
geb.,	w11_d427e12065
bey	w13_d427e12069
der	w1_d427e12074
gold.	w3_d427e12077
Schnal.	w5_d427e12080
bey	w7_d427e12083
Maria=bülf,	w9_d427e12086
alt	w11_d427e12089
72.	w13_d427e12093
J.	w15_d427e12096
Dem	w1_d427e12101
Ludw.	w3_d427e12104
Reinwald,	w5_d427e12107
K.	w7_d427e12110
K.	w9_d427e12113
Büchsen=meist.,	w11_d427e12116
s.	w13_d427e12120
S.	w15_d427e12123
Jacob,	w1_d427e12129
beym	w3_d427e12132
Khürfuß	w5_d427e12135
im	w7_d427e12138
Liechtenth.,	w9_d427e12141
alt	w11_d427e12144
12.	w13_d427e12148
J.	w15_d427e12151
Batthl.	w1_d427e12156
Sauerwein,	w3_d427e12159
Tag=löhn.,	w5_d427e12162
beym	w7_d427e12165
gold.	w9_d427e12168
Copännl	w11_d427e12171
am	w1_d427e12176
Neustift,	w3_d427e12179
78.	w5_d427e12182
J.	w7_d427e12185
</list>
<head id="h2_d427e12192">
Summa	w1_d427e12196
7.	w3_d427e12199
Pers.	w5_d427e12202
darunter	w7_d427e12205
3.	w9_d427e12208
Kind.	w11_d427e12211
</head>
<p id="p4_d427e12214">
Es	w1_d427e12218
ist	w3_d427e12221
der	w5_d427e12224
auf	w7_d427e12227
dem	w9_d427e12230
Schotten=grund	w11_d427e12233
am	w13_d427e12237
Neu	w15_d427e12240
bau	w1_d427e12245
unweit	w3_d427e12248
Maria=Hülf	w5_d427e12251
an	w7_d427e12254
der	w9_d427e12257
Schönbrunner	w11_d427e12260
strassen	w1_d427e12265
ligende	w3_d427e12268
Gräfl.	w5_d427e12271
Audlerische	w7_d427e12274
Garten	w9_d427e12277
(weh	w11_d427e12280
chen	w1_d427e12286
Titl.	w3_d427e12289
Herr	w5_d427e12292
Baron	w7_d427e12295
von	w9_d427e12298
Koch	w11_d427e12301
durch	w13_d427e12305
viele	w15_d427e12308
Jahr	w1_d427e12313
im	w3_d427e12316
Bestand	w5_d427e12319
gehabt)	w7_d427e12322
so	w9_d427e12325
in	w11_d427e12328
15.	w13_d427e12332
Zimmern,	w15_d427e12335
</p>
<p id="p8_d427e12340">
einem	w1_d427e12344
grossen	w3_d427e12347
Saal	w5_d427e12350
Salaterreua,	w7_d427e12353
Wagenschu	w9_d427e12356
pfen,	w1_d427e12361
Stallung,	w3_d427e12364
Keller,	w5_d427e12367
Eis=gruben	w7_d427e12370
bestehet,	w9_d427e12373
nebst	w1_d427e12378
anderen	w3_d427e12381
Zugehörungen,	w5_d427e12384
auf	w7_d427e12387
künftigen	w9_d427e12390
St.	w11_d427e12393
Ge	w13_d427e12397
orgii	w1_d427e12403
mobilirter	w3_d427e12406
zu	w5_d427e12409
verlassen;	w7_d427e12412
wer	w9_d427e12415
solches	w11_d427e12418
Garten	w13_d427e12422
haus	w1_d427e12427
in	w3_d427e12430
Bestand	w5_d427e12433
nehmen	w7_d427e12436
will,	w9_d427e12439
baziebe	w11_d427e12442
sich	w13_d427e12446
des	w15_d427e12449
Weiteren	w1_d427e12454
bey	w3_d427e12457
dem	w5_d427e12460
alldaselbst	w7_d427e12463
befindlichen	w9_d427e12466
Haus	w11_d427e12469
inspector	w1_d427e12474
zu	w3_d427e12477
erkundigen.	w5_d427e12480
</p>
<p id="p10_d427e12483">
NB.	w1_d427e12487
Wobey	w3_d427e12490
auch	w5_d427e12493
eine	w7_d427e12496
für	w9_d427e12499
jedermann	w11_d427e12502
offentliche	w13_d427e12506
Haus=capelle,	w1_d427e12511
worinn	w3_d427e12514
die	w5_d427e12517
gestiften	w7_d427e12520
heiligen	w9_d427e12523
Mes	w11_d427e12526
sen	w1_d427e12531
täglich	w3_d427e12534
gelesen	w5_d427e12537
werden.	w7_d427e12540
</p>
<p id="p12_d427e12546">
Von	w1_d427e12550
dem	w3_d427e12553
Löbl.	w5_d427e12556
Grundbuch	w7_d427e12559
deren	w9_d427e12562
P.	w11_d427e12565
P.	w13_d427e12569
Augu	w15_d427e12572
stinern	w1_d427e12577
auf	w3_d427e12580
der	w5_d427e12583
Land=strassen	w7_d427e12586
zu	w9_d427e12589
Wien,	w11_d427e12592
wird	w13_d427e12596
hie	w15_d427e12599
mit	w1_d427e12604
allen	w3_d427e12607
und	w5_d427e12610
jeden	w7_d427e12613
zu	w9_d427e12616
Vernehmen	w11_d427e12619
gegeben,	w13_d427e12623
daß	w15_d427e12626
in	w1_d427e12632
diesseitiger	w3_d427e12635
Grund=buchs=canzley	w5_d427e12638
den	w7_d427e12641
17.	w9_d427e12644
künf	w11_d427e12647
tigen	w1_d427e12652
Monats	w3_d427e12655
Martii	w5_d427e12658
Vormittag	w7_d427e12661
um	w9_d427e12664
9.	w11_d427e12667
Uhr	w13_d427e12671
die	w15_d427e12674
dem	w1_d427e12679
Titl.	w3_d427e12682
Herrn	w5_d427e12685
Fabius	w7_d427e12688
Baron	w9_d427e12691
von	w11_d427e12694
Ricci	w13_d427e12698
ange	w15_d427e12701
hörige	w1_d427e12706
ausser	w3_d427e12709
Hernals	w5_d427e12712
in	w7_d427e12715
der	w9_d427e12718
Gersthofischen	w11_d427e12721
Frey	w13_d427e12725
heit	w1_d427e12731
ligende	w3_d427e12734
9.	w5_d427e12737
Joch	w7_d427e12740
Acker	w9_d427e12743
in	w11_d427e12746
Eckarts=bücheln	w13_d427e12750
li	w15_d427e12753
citando	w1_d427e12758
an	w3_d427e12761
dem	w5_d427e12764
Meist=bietenden	w7_d427e12767
verkauffet	w9_d427e12770
wer	w11_d427e12773
den	w1_d427e12778
sollen,	w3_d427e12781
wessentwegen	w5_d427e12784
all	w7_d427e12787
und	w9_d427e12790
jede,	w11_d427e12793
welche	w13_d427e12797
solche	w1_d427e12802
zu	w3_d427e12805
erkauffen	w5_d427e12808
willens,	w7_d427e12811
ermeldten	w9_d427e12814
Tag	w11_d427e12817
und	w13_d427e12821
Stund	w1_d427e12827
sich	w3_d427e12830
anzumelden	w5_d427e12833
haben	w7_d427e12836
werden.	w9_d427e12839
</p>
<p id="p14_d427e12842">
Von	w1_d427e12846
dem	w3_d427e12849
Löbl.	w5_d427e12852
Grund=buch	w7_d427e12855
deren	w9_d427e12858
P.	w11_d427e12861
P.	w13_d427e12865
Augu	w15_d427e12868
stinern	w1_d427e12873
auf	w3_d427e12876
der	w5_d427e12879
Land=strassen	w7_d427e12882
zu	w9_d427e12885
Wien,	w11_d427e12888
wird	w13_d427e12892
hie	w15_d427e12895
mit	w1_d427e12900
allen	w3_d427e12903
und	w5_d427e12906
jeden	w7_d427e12909
zu	w9_d427e12912
wissen	w11_d427e12915
gemacht,	w13_d427e12919
welcher	w15_d427e12922
gestalten	w1_d427e12928
des	w3_d427e12931
bereits	w5_d427e12934
schon	w7_d427e12937
vor	w9_d427e12940
1.	w11_d427e12943
und	w13_d427e12947
ein	w15_d427e12950
halb	w17_d427e12953
Jahr	w1_d427e12958
entwichenen,	w3_d427e12961
und	w5_d427e12964
ungehindert	w7_d427e12967
der	w9_d427e12970
offentlich	w11_d427e12973
beschehenen	w1_d427e12978
Citirung	w3_d427e12981
bis	w5_d427e12984
hieher	w7_d427e12987
noch	w9_d427e12990
nicht	w11_d427e12993
er	w13_d427e12997
schienenen	w1_d427e13002
Philipp	w3_d427e13005
Sibelmuhlners,	w5_d427e13008
behausten	w7_d427e13011
Un	w9_d427e13014
terthans	w1_d427e13020
zu	w3_d427e13023
Altmannstorf	w5_d427e13026
nächst	w7_d427e13029
Wien,	w9_d427e13032
ruckge	w11_d427e13035
lassene	w1_d427e13040
Behausung	w3_d427e13043
und	w5_d427e13046
Grund=stuck	w7_d427e13049
in	w9_d427e13052
besagten	w11_d427e13055
Closters	w1_d427e13060
Grund=buchs=canzley	w3_d427e13063
den	w5_d427e13066
29.	w7_d427e13069
Martii	w9_d427e13072
dies	w11_d427e13075
Jahrs	w1_d427e13080
Vormittag	w3_d427e13083
um	w5_d427e13086
9.	w7_d427e13089
Uhr,	w9_d427e13092
licitando	w11_d427e13095
an	w13_d427e13099
dem	w15_d427e13102
Reist=bietenden	w1_d427e13108
verkauffet	w3_d427e13111
werden	w5_d427e13114
solle;	w7_d427e13117
wer	w9_d427e13120
so	w11_d427e13123
dann	w1_d427e13128
solche	w3_d427e13131
zu	w5_d427e13134
erkauffen	w7_d427e13137
willens,	w9_d427e13140
oder	w11_d427e13143
aber	w13_d427e13147
ar	w15_d427e13150
ermeldten	w1_d427e13155
Sibelmühlner	w3_d427e13158
einigen	w5_d427e13161
Anspruch,	w7_d427e13164
oder	w9_d427e13167
Forderung	w1_d427e13172
zu	w3_d427e13175
machen	w5_d427e13178
berechtiget,	w7_d427e13181
an	w9_d427e13184
ermeldten	w11_d427e13187
Tag	w1_d427e13193
und	w3_d427e13196
Stund	w5_d427e13199
daselbst	w7_d427e13202
zu	w9_d427e13205
erscheinen	w11_d427e13208
haben	w13_d427e13212
wer	w15_d427e13215
den.	w1_d427e13220
</p>
<p id="p16_d427e13223">
Demnach	w1_d427e13227
von	w3_d427e13230
der	w5_d427e13233
Römisch	w7_d427e13236
Kaiserl.	w9_d427e13239
Königl.	w11_d427e13242
Majestät	w1_d427e13247
N.	w3_d427e13250
Oe.	w5_d427e13253
Regierung,	w7_d427e13256
eine	w9_d427e13259
nochmalige	w11_d427e13262
Convocations=tagsatzung	w1_d427e13267
über	w3_d427e13270
weil.	w5_d427e13273
des	w7_d427e13276
alhier	w9_d427e13279
ab	w1_d427e13285
intestato	w3_d427e13288
verstorbenen	w5_d427e13291
Joseph	w7_d427e13294
Hödl,	w9_d427e13297
