<doc id="wr_1762-08-25" attrs="word" year="1762" month="08" day="25" corpus="2">
<head id="h2_d685e2142">
Lisabon	w1_d685e2146
zur	w9_d685e9364
gewönlichen	w11_d685e9367
Convo	w13_d685e9371
cations	w1_d685e9376
und	w3_d685e9379
Anmeldungs=tagsatzung	w5_d685e9382
zu	w7_d685e9385
all=endlicher	w9_d685e9388
Frist	w1_d685e9393
anberaumet	w3_d685e9396
worden.	w5_d685e9399
Solchemnach	w7_d685e9402
werden	w9_d685e9405
all	w1_d685e9410
und	w3_d685e9413
jede,	w5_d685e9416
welche	w7_d685e9419
bey	w9_d685e9422
gedacht=Kletzlischen	w11_d685e9425
Ver	w13_d685e9429
lassenschaft	w1_d685e9435
um	w3_d685e9438
rechtmäßiger	w5_d685e9441
Forderungen	w7_d685e9444
willen	w9_d685e9447
einige	w1_d685e9452
Sprüch	w3_d685e9455
haben,	w5_d685e9458
oder	w7_d685e9461
zu	w9_d685e9464
haben	w11_d685e9467
vermeinen,	w13_d685e9471
am	w1_d685e9476
obbestimmten	w3_d685e9479
Tag	w5_d685e9482
und	w7_d685e9485
Stund	w9_d685e9488
vor	w11_d685e9491
Regierung	w13_d685e9495
in	w1_d685e9500
der	w3_d685e9503
daselbst	w5_d685e9506
zu	w7_d685e9509
solchem	w9_d685e9512
Ende	w11_d685e9515
offen	w13_d685e9519
haltenden	w15_d685e9522
</p>
<p id="p14_d685e9536">
Commißions=stuben	w1_d685e9540
entweder	w3_d685e9543
selbst	w5_d685e9546
persönlich,	w7_d685e9549
durch	w1_d685e9554
hiezu	w3_d685e9557
genugsam	w5_d685e9560
gevollmächtigte	w7_d685e9563
Gewalt	w9_d685e9566
tragere	w1_d685e9571
alsogewiß	w3_d685e9574
zu	w5_d685e9577
erscheinen,	w7_d685e9580
und	w9_d685e9583
ihre	w11_d685e9586
an	w13_d685e9590
solche	w15_d685e9593
Verlassenschaft	w1_d685e9599
habende	w3_d685e9602
Anforderungen	w5_d685e9605
anzumel	w7_d685e9608
den,	w1_d685e9613
auch	w3_d685e9616
rechtlich	w5_d685e9619
zu	w7_d685e9622
liquidiren	w9_d685e9625
haben,	w11_d685e9628
als	w13_d685e9632
im	w15_d685e9635
wi	w17_d685e9638
drigen	w1_d685e9643
die	w3_d685e9646
Abhandlung	w5_d685e9649
gleichwolen	w7_d685e9652
vorgenommen,	w9_d685e9655
und	w1_d685e9660
ungehindert	w3_d685e9663
deren	w5_d685e9666
etwann	w7_d685e9669
vorhandenen	w9_d685e9672
Glau	w11_d685e9675
bigern,	w1_d685e9681
so	w3_d685e9684
sich	w5_d685e9687
mit	w7_d685e9690
ihren	w9_d685e9693
Anforderungen	w11_d685e9696
in	w13_d685e9700
bestimm	w15_d685e9703
ter	w1_d685e9708
Zeit	w3_d685e9711
nicht	w5_d685e9714
angemeldet,	w7_d685e9717
solche	w9_d685e9720
Verlassenschaft	w11_d685e9723
der	w1_d685e9728
sich	w3_d685e9731
hierzu	w5_d685e9734
bereits	w7_d685e9737
erklärten	w9_d685e9740
Erbin	w11_d685e9743
eingeant	w13_d685e9747
wortet,	w1_d685e9752
auch	w3_d685e9755
ansonsten	w5_d685e9758
ex	w7_d685e9761
officio	w9_d685e9764
vorgekehret	w11_d685e9767
wer	w13_d685e9771
Wornach	w1_d685e9777
sich	w3_d685e9780
also	w5_d685e9783
den	w1_d685e9788
solle,	w3_d685e9791
was	w5_d685e9794
Rechtens	w7_d685e9797
ist.	w9_d685e9800
ein	w1_d685e9805
jeder	w3_d685e9808
zu	w5_d685e9811
richten	w7_d685e9814
zwissen	w9_d685e9817
wird.	w11_d685e9820
</p>
<p id="p16_d685e9823">
Es	w1_d685e9827
seynd	w3_d685e9830
12.	w5_d685e9833
extra	w7_d685e9836
seine	w9_d685e9839
Böhmische	w11_d685e9842
Stück	w13_d685e9846
Wa	w15_d685e9849
gen=gläser	w1_d685e9854
um	w3_d685e9857
wolfeilen	w5_d685e9860
Preiß	w7_d685e9863
zu	w9_d685e9866
verkauffen,	w11_d685e9869
wem	w13_d685e9873
eines	w1_d685e9878
oder	w3_d685e9881
alle	w5_d685e9884
beliebet	w7_d685e9887
zu	w9_d685e9890
kauffen,	w11_d685e9893
kan	w13_d685e9897
sich	w15_d685e9900
in	w17_d685e9903
der	w19_d685e9906
Stadt	w1_d685e9912
nebst	w3_d685e9915
dem	w5_d685e9918
roten	w7_d685e9921
Thurn	w9_d685e9924
im	w11_d685e9927
schwarzen	w13_d685e9931
Ele	w15_d685e9934
phanten	w1_d685e9939
im	w3_d685e9942
2.	w5_d685e9945
Stock	w7_d685e9948
anmelden.	w9_d685e9951
</p>
<p id="p18_d685e9954">
Den	w1_d685e9958
3.	w3_d685e9961
Septemb.	w5_d685e9964
Vormittag	w7_d685e9967
um	w9_d685e9970
9.	w11_d685e9973
Uhr	w13_d685e9977
wird	w15_d685e9980
auf	w1_d685e9985
dem	w3_d685e9988
Raht=haus	w5_d685e9991
zu	w7_d685e9994
Pulkau	w9_d685e9997
die	w11_d685e10000
Franz	w13_d685e10004
Schranz	w15_d685e10007
hoferische	w1_d685e10012
Behausung	w3_d685e10015
samt	w5_d685e10018
der	w7_d685e10021
Handlungs	w9_d685e10024
gerech	w11_d685e10027
tigkeit	w1_d685e10033
licitando	w3_d685e10036
dem	w5_d685e10039
Meistbietenden	w7_d685e10042
verkauffet	w9_d685e10045
werden.	w1_d685e10050
</p>
<p id="p20_d685e10053">
Nächst	w1_d685e10057
künftigen	w3_d685e10060
Montag	w5_d685e10063
als	w7_d685e10066
den	w9_d685e10069
30ten	w11_d685e10072
dieses	w13_d685e10076
Monats	w1_d685e10081
Augusti	w3_d685e10084
werden	w5_d685e10087
in	w7_d685e10090
dem	w9_d685e10093
Regenspurger	w11_d685e10096
hof	w13_d685e10100
im	w1_d685e10105
ersten	w3_d685e10108
Stock	w5_d685e10111
verschiedene	w7_d685e10114
Verlassenschaftsef	w9_d685e10117
fetzten,	w1_d685e10123
als	w3_d685e10126
Silber,	w5_d685e10129
schöne	w7_d685e10132
Mahlereyen,	w9_d685e10135
Frauen	w11_d685e10138
kleider,	w1_d685e10143
Weiß	w3_d685e10146
und	w5_d685e10149
Tisch=zeug,	w7_d685e10152
Spiegel,	w9_d685e10155
Kästen,	w11_d685e10158
Meßing,	w1_d685e10163
Tisch,	w1_d685e10168
Sessel,	w3_d685e10171
Soffen,	w5_d685e10174
Bether,	w7_d685e10177
Zinn,	w9_d685e10180
und	w1_d685e10186
Kupfer	w3_d685e10189
Vormittag	w5_d685e10192
von	w7_d685e10195
9.	w9_d685e10198
bis	w11_d685e10201
12.	w13_d685e10205
Nachmit	w15_d685e10208
tag	w1_d685e10213
aber	w3_d685e10216
von	w5_d685e10219
3.	w7_d685e10222
bis	w9_d685e10225
6.	w11_d685e10228
Uhr	w13_d685e10232
dem	w15_d685e10235
Meistbietenden	w17_d685e10238
gegen	w1_d685e10243
also	w3_d685e10246
gleich	w5_d685e10249
baar	w7_d685e10252
leistender	w9_d685e10255
Bezahlung	w11_d685e10258
lici	w13_d685e10262
tando	w1_d685e10267
verkaufet,	w3_d685e10270
und	w5_d685e10273
hiermit	w7_d685e10276
die	w9_d685e10279
nachfolgende	w11_d685e10282
Täge	w1_d685e10288
continuiret	w3_d685e10291
werden.	w5_d685e10294
</p>
<p id="p22_d685e10297">
Am	w1_d685e10301
hohen	w3_d685e10304
Markt	w5_d685e10307
im	w7_d685e10310
Klersischen	w9_d685e10313
Haus	w11_d685e10316
linker	w13_d685e10320
Hand	w1_d685e10325
von	w3_d685e10328
der	w5_d685e10331
Krebs=Apothequen	w7_d685e10334
im	w9_d685e10337
Eck,	w11_d685e10340
ist	w13_d685e10344
auf	w15_d685e10347
Michaeli	w1_d685e10352
1762	w3_d685e10355
im	w5_d685e10358
ersten	w7_d685e10361
Stock	w9_d685e10364
eine	w11_d685e10367
grosse	w13_d685e10371
Woh	w15_d685e10374
nung,	w1_d685e10380
so	w3_d685e10383
in	w5_d685e10386
6.	w7_d685e10389
Zimmern	w9_d685e10392
Kuchel,	w11_d685e10395
Keller,	w13_d685e10399
Holzge	w15_d685e10402
wölb,	w1_d685e10407
Boden,	w3_d685e10410
Stall,	w5_d685e10413
Heu=gewölb,	w7_d685e10416
2.	w9_d685e10419
Wägen	w11_d685e10422
stellung	w1_d685e10427
bestehet,	w3_d685e10430
im	w5_d685e10433
Bestand	w7_d685e10436
zu	w9_d685e10439
verlassen,	w11_d685e10442
wes	w13_d685e10446
senthalben	w1_d685e10451
sich	w3_d685e10454
in	w5_d685e10457
der	w7_d685e10460
Waldzeil	w9_d685e10463
im	w11_d685e10466
Krausischehe	w13_d685e10470
hin	w1_d685e10476
genannt	w3_d685e10479
Fabrischen	w5_d685e10482
Haus	w7_d685e10485
im	w9_d685e10488
ersten	w11_d685e10491
Stock	w13_d685e10495
bey	w1_d685e10500
Herrn	w3_d685e10503
von	w5_d685e10506
Klerf	w7_d685e10509
anzumelden.	w9_d685e10512
</p>
<list id="l24_d685e10516">
Bey	w1_d685e10520
dem	w3_d685e10523
Buchhändler	w5_d685e10526
Johann	w7_d685e10529
Paul	w9_d685e10532
Kraus,	w11_d685e10535
nächst	w1_d685e10540
der	w3_d685e10543
K.	w5_d685e10546
K	w7_d685e10549
Burg,	w9_d685e10552
dem	w11_d685e10555
neuen	w13_d685e10559
Comödienhaus	w15_d685e10562
gegenüber,	w1_d685e10567
sind	w3_d685e10570
nachfolgende	w5_d685e10573
Bücher	w7_d685e10576
zu	w9_d685e10579
haben:	w11_d685e10582
Moralische	w1_d685e10588
Briefe	w3_d685e10591
zur	w5_d685e10594
Bildung	w7_d685e10597
des	w9_d685e10600
Herzens,	w11_d685e10603
2.	w1_d685e10608
Theile,	w3_d685e10611
8vo	w5_d685e10614
Leipzig	w7_d685e10617
1762.	w9_d685e10620
1.	w11_d685e10623
fl	w13_d685e10627
30.	w15_d685e10630
kr.	w17_d685e10633
Die	w1_d685e10638
Kunst	w3_d685e10641
deutsche	w5_d685e10644
Briefe	w7_d685e10647
schön	w9_d685e10650
abzufassen,	w11_d685e10653
in	w13_d685e10657
kurzen	w1_d685e10662
Regein	w3_d685e10665
vollständig	w5_d685e10668
vorgetragen,	w7_d685e10671
2.	w9_d685e10674
Theile,	w11_d685e10677
8vo	w1_d685e10683
Frankf.	w3_d685e10686
1762.	w5_d685e10689
1.	w7_d685e10692
fl.	w9_d685e10695
Böhm,	w1_d685e10700
Andreas,	w3_d685e10703
gründliche	w5_d685e10706
Anleitung	w7_d685e10709
zur	w9_d685e10712
Meßkunst	w1_d685e10717
auf	w3_d685e10720
dem	w5_d685e10723
Felde,	w7_d685e10726
samt	w9_d685e10729
zweyen	w11_d685e10732
Anhängen	w13_d685e10736
von	w1_d685e10741
Wasferwägen	w3_d685e10744
und	w5_d685e10747
von	w7_d685e10750
der	w9_d685e10753
unterirdischen	w11_d685e10756
Meß	w13_d685e10760
</list>
<list id="l26_d685e10764">
ober	w1_d685e10768
Markscheide=kunst,	w3_d685e10771
mit	w5_d685e10774
24.	w7_d685e10777
Kupfer=kafeln,	w9_d685e10780
4to	w1_d685e10785
Frankf.	w3_d685e10788
2.	w5_d685e10791
fl.	w7_d685e10794
Boltz,	w1_d685e10799
Joh.	w3_d685e10802
Lorentz,	w5_d685e10805
der	w7_d685e10808
in	w9_d685e10811
Schuldaustheilun	w11_d685e10814
gen	w1_d685e10820
und	w3_d685e10823
Concurs=sachen	w5_d685e10826
accurate	w7_d685e10829
Beamte,	w9_d685e10832
oder	w11_d685e10835
gründliche	w1_d685e10840
Anweisung,	w3_d685e10843
wie	w5_d685e10846
man	w7_d685e10849
die	w9_d685e10852
Schuldaus	w11_d685e10855
theilungen	w1_d685e10860
zu	w3_d685e10863
begreiffen	w5_d685e10866
und	w7_d685e10869
einzurichten,	w9_d685e10872
nebst	w11_d685e10875
Anmerkungen,	w1_d685e10880
woher	w3_d685e10883
es	w5_d685e10886
kommt,	w7_d685e10889
daß	w9_d685e10892
Untertha	w11_d685e10895
nen	w1_d685e10901
ins	w3_d685e10904
Verderben	w5_d685e10907
gerahten,	w7_d685e10910
8vo	w9_d685e10913
Frft.	w11_d685e10916
45.	w13_d685e10920
kr.	w15_d685e10923
Des	w1_d685e10928
galanten	w3_d685e10931
Frauenzimmers	w5_d685e10934
bequemes	w7_d685e10937
und	w9_d685e10940
nützliches	w1_d685e10945
Handbuch,	w3_d685e10948
darinnen	w5_d685e10951
alle	w7_d685e10954
dem	w9_d685e10957
Frauen	w11_d685e10960
zimmer	w1_d685e10965
wol	w3_d685e10968
anständige	w5_d685e10971
Wissenschaften	w7_d685e10974
und	w9_d685e10977
häuß	w11_d685e10980
liche	w1_d685e10986
Verrichtungen	w3_d685e10989
enthalten,	w5_d685e10992
8vo	w7_d685e10995
Eßlingen,	w9_d685e10998
1.	w1_d685e11003
fl.	w3_d685e11006
Neue	w1_d685e11011
lustige	w3_d685e11014
und	w5_d685e11017
vollständige	w7_d685e11020
Jagdkunst,	w9_d685e11023
sowol	w11_d685e11026
von	w1_d685e11031
denen	w3_d685e11034
Vögeln	w5_d685e11037
als	w7_d685e11040
auch	w9_d685e11043
andern	w11_d685e11046
Thieren	w13_d685e11050
rc.	w15_d685e11053
5.	w1_d685e11059
Theile	w3_d685e11062
mit	w5_d685e11065
vielen	w7_d685e11068
Figuren,	w9_d685e11071
8vo	w11_d685e11074
Leipz.	w13_d685e11078
51.	w15_d685e11081
kr.	w17_d685e11084
</list>
<p id="p28_d685e11088">
Von	w1_d685e11092
dem	w3_d685e11095
Löbl.	w5_d685e11098
K.	w7_d685e11101
K.	w9_d685e11104
Stift	w11_d685e11107
Herrschaftl.	w13_d685e11111
Land	w15_d685e11114
gerichtl.	w1_d685e11119
Verwalter=amt	w3_d685e11122
zu	w5_d685e11125
Eberstorf	w7_d685e11128
an	w9_d685e11131
der	w11_d685e11134
Do	w13_d685e11138
nau	w1_d685e11143
dem	w3_d685e11146
Johann	w5_d685e11149
Runster	w7_d685e11152
einem	w9_d685e11155
allhiesigen	w11_d685e11158
Pu	w13_d685e11162
pillen,	w1_d685e11168
und	w3_d685e11171
Huf=schmied=knecht	w5_d685e11174
hiemit	w7_d685e11177
ex	w9_d685e11180
of-	w11_d685e11183
Es	w1_d685e11188
haben	w3_d685e11191
desselben	w5_d685e11194
allhier	w7_d685e11197
be	w9_d685e11200
ficio	w1_d685e11205
anzufügen:	w3_d685e11208
findliche	w1_d685e11213
4.	w3_d685e11216
Geschwister,	w5_d685e11219
als	w7_d685e11222
Johann	w9_d685e11225
Runster,	w11_d685e11228
Bar	w13_d685e11232
bara	w1_d685e11238
Streicherin,	w3_d685e11241
Anna	w5_d685e11244
Maria	w7_d685e11247
Kimerlin,	w9_d685e11250
Elisa	w11_d685e11253
beth	w1_d685e11258
Plabstin,	w3_d685e11261
und	w5_d685e11264
Theresia	w7_d685e11267
Führerin,	w9_d685e11270
allseits	w11_d685e11273
ge	w13_d685e11277
borne	w1_d685e11282
Runsterinnen	w3_d685e11285
bey	w5_d685e11288
diesem	w7_d685e11291
Landgerichsver	w9_d685e11294
walter=amt,	w1_d685e11299
und	w3_d685e11302
resp.	w5_d685e11305
Abhandlungs=instanz	w7_d685e11308
be	w9_d685e11311
hörig	w1_d685e11317
angezeuget:	w3_d685e11320
welchergestalten	w5_d685e11323
obgedachter	w7_d685e11326
ihr	w9_d685e11329
Bruder	w1_d685e11334
Johann	w3_d685e11337
Runster	w5_d685e11340
noch	w7_d685e11343
im	w9_d685e11346
Jahr	w11_d685e11349
1729.	w13_d685e11353
von	w1_d685e11358
hier	w3_d685e11361
nacher	w5_d685e11364
Hungarn	w7_d685e11367
um	w9_d685e11370
seine	w11_d685e11373
Huf	w13_d685e11377
schmid	w15_d685e11380
profeßion	w1_d685e11385
zu	w3_d685e11388
prosequiren,	w5_d685e11391
begeben,	w7_d685e11394
und	w9_d685e11397
wissent	w11_d685e11400
lich	w1_d685e11406
sich	w3_d685e11409
alda	w5_d685e11412
vor	w7_d685e11415
einen	w9_d685e11418
Hussaren	w11_d685e11421
unterhalten	w13_d685e11425
lassen,	w1_d685e11430
von	w3_d685e11433
selber	w5_d685e11436
Zeit	w7_d685e11439
an	w9_d685e11442
aber	w11_d685e11445
weder	w13_d685e11449
schriftlichen	w15_d685e11452
noch	w1_d685e11457
mündlichen	w3_d685e11460
durch	w5_d685e11463
32.	w7_d685e11466
Jahr	w9_d685e11469
von	w11_d685e11472
ihme	w13_d685e11476
Run	w15_d685e11479
ster	w1_d685e11484
etwas	w3_d685e11487
in	w5_d685e11490
Erfahrenheit	w7_d685e11493
bringen	w9_d685e11496
können,	w11_d685e11499
und	w13_d685e11503
folgbar	w1_d685e11509
an	w3_d685e11512
dessen	w5_d685e11515
Existirung	w7_d685e11518
billig	w9_d685e11521
Zweifel	w11_d685e11524
zu	w13_d685e11528
tra	w15_d685e11531
gen	w1_d685e11536
wäre,	w3_d685e11539
mithin	w5_d685e11542
gebetten,	w7_d685e11545
womit	w9_d685e11548
ihnen,	w11_d685e11551
als	w13_d685e11555
nächsten	w1_d685e11560
Anverwandten	w3_d685e11563
die	w5_d685e11566
dem	w7_d685e11569
Runster	w9_d685e11572
zustän	w11_d685e11575
dige,	w1_d685e11580
bey	w3_d685e11583
allhiesigem	w5_d685e11586
Waisen=buch	w7_d685e11589
in	w9_d685e11592
zerschiede	w11_d685e11595
nen	w1_d685e11601
Posten	w3_d685e11604
angeschrieben	w5_d685e11607
auf	w7_d685e11610
1418.	w9_d685e11613
fl	w11_d685e11616
7.	w13_d685e11620
kr.	w15_d685e11623
1.	w17_d685e11626
und	w1_d685e11631
1.	w3_d685e11634
4tel=den.	w5_d685e11637
sich	w7_d685e11640
belaufende	w9_d685e11643
Erbs=portion	w11_d685e11646
verabfolget	w1_d685e11651
werden	w3_d685e11654
möchte;	w5_d685e11657
Als	w7_d685e11660
hat	w9_d685e11663
man	w11_d685e11666
von	w13_d685e11670
Seiten	w1_d685e11675
des	w3_d685e11678
K.	w5_d685e11681
K.	w7_d685e11684
Stifts	w9_d685e11687
Eberstorfischen	w11_d685e11690
Verwal	w13_d685e11694
ter=amt	w1_d685e11700
für	w3_d685e11703
billig	w5_d685e11706
befunden,	w7_d685e11709
durch	w9_d685e11712
gegenwärti	w11_d685e11715
ges	w1_d685e11720
Valval=edict	w3_d685e11723
ihme	w5_d685e11726
mehrgedachtem	w7_d685e11729
Johann	w9_d685e11732
Runster	w1_d685e11737
zu	w3_d685e11740
wissen	w5_d685e11743
zu	w7_d685e11746
machen,	w9_d685e11749
daß	w11_d685e11752
er,	w13_d685e11756
soferne	w15_d685e11759
er	w17_d685e11762
noch	w1_d685e11767
am	w3_d685e11770
Leben,	w5_d685e11773
binnen	w7_d685e11776
1.	w9_d685e11779
Jahr,	w11_d685e11782
6.	w13_d685e11786
Wochen,	w15_d685e11789
und	w17_d685e11792
3.	w1_d685e11798
Tägen	w3_d685e11801
also	w5_d685e11804
gewiß	w7_d685e11807
sich	w9_d685e11810
hervorthue,	w11_d685e11813
und	w13_d685e11817
dieses	w15_d685e11820
seines	w1_d685e11825
Erbs=antheils	w3_d685e11828
halber	w5_d685e11831
anmelde,	w7_d685e11834
wie	w9_d685e11837
im	w11_d685e11840
widrigen	w1_d685e11845
solche	w3_d685e11848
seinen	w5_d685e11851
sich	w7_d685e11854
hierumen	w9_d685e11857
anmelden	w11_d685e11860
den	w1_d685e11865
nächsten	w3_d685e11868
Verwandten	w5_d685e11871
gegen	w7_d685e11874
einlegenden	w9_d685e11877
Re	w11_d685e11880
versalien	w1_d685e11886
verabfolget,	w3_d685e11889
ihme	w5_d685e11892
Runster	w7_d685e11895
aber	w9_d685e11898
das	w11_d685e11901
ewi	w13_d685e11905
ge	w1_d685e11910
Stillschweigen	w3_d685e11913
auferleget	w5_d685e11916
werden	w7_d685e11919
solle.	w9_d685e11922
Wor	w11_d685e11925
nach	w1_d685e11930
sich	w3_d685e11933
selber	w5_d685e11936
zu	w7_d685e11939
richten,	w9_d685e11942
und	w11_d685e11945
vor	w13_d685e11949
Schaden	w15_d685e11952
zu	w17_d685e11955
hüten	w1_d685e11960
wissen	w3_d685e11963
wird.	w5_d685e11966
Gegeben	w7_d685e11969
aus	w9_d685e11972
der	w11_d685e11975
Kais.	w13_d685e11979
K.	w15_d685e11982
Stiftsherrschafts	w1_d685e11988
und	w3_d685e11991
Landgerichts=canzey	w5_d685e11994
zu	w7_d685e11997
Eberstorf	w1_d685e12002
an	w3_d685e12005
der	w5_d685e12008
Donau	w7_d685e12011
den	w9_d685e12014
20.	w11_d685e12017
Augusti	w13_d685e12021
1762.	w15_d685e12024
Wir	w1_d685e12029
</p>
<list id="l32_d685e12034">
</list>
<p id="p34_d685e12039">
Wir	w1_d685e12043
Burger=meister,	w3_d685e12046
und	w5_d685e12049
Raht	w7_d685e12052
der	w9_d685e12055
Stadt	w11_d685e12058
Wien	w1_d685e12063
geben	w3_d685e12066
hiermit	w5_d685e12069
durch	w7_d685e12072
dieses	w9_d685e12075
offene	w11_d685e12078
Edict	w13_d685e12082
jedermänniglich	w1_d685e12087
zu	w3_d685e12090
vernehmen,	w5_d685e12093
wasgestalten	w7_d685e12096
wir	w9_d685e12099
über	w1_d685e12105
ferner	w3_d685e12108
schriftlich	w5_d685e12111
beschehenes	w7_d685e12114
Anlangen	w9_d685e12117
und	w11_d685e12120
dienstliches	w1_d685e12125
Bitten	w3_d685e12128
des	w5_d685e12131
gerichtlich	w7_d685e12134
aufgestellt	w9_d685e12137
Gei	w11_d685e12140
gerischen	w1_d685e12145
Herrn	w3_d685e12148
Curatoris	w5_d685e12151
ab	w7_d685e12154
lites	w9_d685e12157
unterm	w11_d685e12160
1ten	w13_d685e12164
dieses	w1_d685e12169
in	w3_d685e12172
ein	w5_d685e12175
nochmaliges	w7_d685e12178
Licitatious=edict	w9_d685e12181
(jedoch	w11_d685e12184
mit	w1_d685e12190
Präsigirung	w3_d685e12193
eines	w5_d685e12196
14-tägigen	w7_d685e12199
Terminc)	w9_d685e12202
ge	w11_d685e12205
williget,	w1_d685e12210
und	w3_d685e12213
verordnet	w5_d685e12216
haben,	w7_d685e12219
daß	w9_d685e12222
das	w11_d685e12225
Geige	w13_d685e12229
rische	w1_d685e12234
zu	w3_d685e12237
Erdberg	w5_d685e12240
liegende	w7_d685e12243
Häusel	w9_d685e12246
mehrmalen	w11_d685e12249
öf	w13_d685e12253
fentlich	w1_d685e12258
ausgefeilet,	w3_d685e12261
und	w5_d685e12264
dem	w7_d685e12267
Meistbietenden	w9_d685e12270
ver	w11_d685e12273
kauffet	w1_d685e12279
werden	w3_d685e12282
solle;	w5_d685e12285
da	w7_d685e12288
nun	w9_d685e12291
hierzu	w11_d685e12294
der	w13_d685e12298
4.	w15_d685e12301
Mo	w17_d685e12304
nats=tag	w1_d685e12309
Septembris	w3_d685e12312
lauffend	w5_d685e12315
1762.	w7_d685e12318
Jahrs	w9_d685e12321
zur	w11_d685e12324
Tagsatzung	w1_d685e12329
bestimmet	w3_d685e12332
worden	w5_d685e12335
ist.	w7_d685e12338
Als	w9_d685e12341
wird	w11_d685e12344
ein	w13_d685e12348
solches	w1_d685e12353
hiermit	w3_d685e12356
jedermann,	w5_d685e12359
wer	w7_d685e12362
etwan	w9_d685e12365
dieses	w11_d685e12368
Häu	w13_d685e12372
sel	w1_d685e12378
käuflichen	w3_d685e12381
an	w5_d685e12384
sich	w7_d685e12387
zu	w9_d685e12390
bringen	w11_d685e12393
gesinnet	w13_d685e12397
ist,	w15_d685e12400
mit	w17_d685e12403
diesem	w1_d685e12408
Edict	w3_d685e12411
zu	w5_d685e12414
dem	w7_d685e12417
Ende	w9_d685e12420
kund	w11_d685e12423
und	w13_d685e12427
zu	w15_d685e12430
wissen	w17_d685e12433
gemacht,	w1_d685e12438
damit	w3_d685e12441
ein	w5_d685e12444
sich	w7_d685e12447
hervor	w9_d685e12450
thuender	w11_d685e12453
Kauffer	w13_d685e12457
bey	w1_d685e12462
obbestimmter	w3_d685e12465
Licitations=tagsatzung	w5_d685e12468
fruhe	w7_d685e12471
um	w9_d685e12474
9	w1_d685e12480
Uhr,	w3_d685e12483
oder	w5_d685e12486
da	w7_d685e12489
wir	w9_d685e12492
selbigen	w11_d685e12495
Tags	w13_d685e12499
etwa	w15_d685e12502
anderer	w17_d685e12505
Geschäften	w1_d685e12510
hulber	w3_d685e12513
nicht	w5_d685e12516
zu	w7_d685e12519
Raht	w9_d685e12522
sitzeten,	w11_d685e12525
den	w13_d685e12529
nächst	w15_d685e12532
darauf	w1_d685e12537
folgenden	w3_d685e12540
Rahts=tag	w5_d685e12543
vor	w7_d685e12546
uns	w9_d685e12549
erscheinen,	w11_d685e12552
und	w1_d685e12557
sich	w3_d685e12560
bey	w5_d685e12563
unserer	w7_d685e12566
und	w9_d685e12569
gemeiner	w11_d685e12572
Stadt	w13_d685e12576
Grund	w15_d685e12579
buch	w1_d685e12585
durch	w3_d685e12588
den	w5_d685e12591
daselbstigen	w7_d685e12594
Amts=schreiber	w9_d685e12597
an	w11_d685e12600
melden	w1_d685e12605
lassen	w3_d685e12608
möge,	w5_d685e12611
allwo	w7_d685e12614
sodann	w9_d685e12617
das	w11_d685e12620
Weitere	w13_d685e12624
behörig	w1_d685e12629
tractiret	w3_d685e12632
werden	w5_d685e12635
solle.	w7_d685e12638
</p>
<p id="p36_d685e12642">
Es	w1_d685e12646
ist	w3_d685e12649
in	w5_d685e12652
der	w7_d685e12655
Joseph=stadt	w9_d685e12658
das	w11_d685e12661
Haus	w13_d685e12665
zur	w15_d685e12668
gol	w17_d685e12671
denen	w1_d685e12676
Saulen	w3_d685e12679
genannt,	w5_d685e12682
alltäglich	w7_d685e12685
zu	w9_d685e12688
verkauffen,	w11_d685e12691
es	w1_d685e12696
ist	w3_d685e12699
nahe	w5_d685e12702
bey	w7_d685e12705
der	w9_d685e12708
Stadt,	w11_d685e12711
auch	w13_d685e12715
sehr	w15_d685e12718
wol	w17_d685e12721
gebaut,	w19_d685e12724
und	w1_d685e12730
hat	w3_d685e12733
18.	w5_d685e12736
Wohn=zimmer,	w7_d685e12739
nebst	w9_d685e12742
Garten	w11_d685e12745
und	w13_d685e12749
Lusthaus,	w1_d685e12754
auch	w3_d685e12757
Roß=stall,	w5_d685e12760
anbey	w7_d685e12763
das	w9_d685e12766
Wirthshaus	w11_d685e12769
nebst	w1_d685e12774
Wein	w3_d685e12777
und	w5_d685e12780
Bier=gerechtigkeit.	w7_d685e12783
Wer	w9_d685e12786
sol	w11_d685e12789
ches	w1_d685e12794
kaufen	w3_d685e12797
will,	w5_d685e12800
kan	w7_d685e12803
sich	w9_d685e12806
bey	w11_d685e12809
denen	w13_d685e12813
Schmelzi	w15_d685e12816
sechn	w1_d685e12822
Erben	w3_d685e12825
anmelden.	w5_d685e12828
</p>
<p id="p38_d685e12831">
Von	w1_d685e12835
einem	w3_d685e12838
Löbl.	w5_d685e12841
N.	w7_d685e12844
Oe.	w9_d685e12847
Landschafts=ober	w11_d685e12850
einnehmer=amt	w1_d685e12855
wird	w3_d685e12858
hiermit	w5_d685e12861
kund	w7_d685e12864
gemacht,	w9_d685e12867
daß	w11_d685e12870
an	w1_d685e12875
denen	w3_d685e12878
zu	w5_d685e12881
Bestreitung	w7_d685e12884
deren	w9_d685e12887
erforderlichen	w11_d685e12890
Un	w13_d685e12894
kosten	w1_d685e12900
bey	w3_d685e12903
fürdaurend	w5_d685e12906
gegenwärtigem	w7_d685e12909
Krieg	w9_d685e12912
von	w11_d685e12915
Anno	w1_d685e12920
1756.	w3_d685e12923
bis	w5_d685e12926
inclusive	w7_d685e12929
1759.	w9_d685e12932
in	w11_d685e12935
