<doc id="wr_1758-06-21" attrs="word" year="1758" month="06" day="21" corpus="2">
<head id="h2_d254e3304">
Cöln	w1_d254e3308
ein	w11_d254e10541
neues	w13_d254e10545
Lager	w15_d254e10548
von	w17_d254e10551
10000.	w1_d254e10556
Mann	w3_d254e10559
angelegt,	w5_d254e10562
und	w7_d254e10565
diese	w9_d254e10568
Völker	w11_d254e10571
aus	w1_d254e10576
verschiedenen	w3_d254e10579
Regimentern	w5_d254e10582
so	w7_d254e10585
aus	w9_d254e10588
Jrrland	w11_d254e10591
dahin	w1_d254e10597
kommen)	w3_d254e10600
und	w5_d254e10603
aus	w7_d254e10606
denen	w9_d254e10609
3.	w11_d254e10612
Regim.	w13_d254e10616
Garde	w1_d254e10621
zu	w3_d254e10624
Fuß,	w5_d254e10627
deren	w7_d254e10630
jedwederes	w9_d254e10633
8.	w11_d254e10636
Mann	w13_d254e10640
von	w1_d254e10645
der	w3_d254e10648
Compagnie	w5_d254e10651
dazu	w7_d254e10654
liefern	w9_d254e10657
solle,	w11_d254e10660
gezogen	w13_d254e10664
werden.	w1_d254e10669
Zu	w3_d254e10672
Portsmuth	w5_d254e10675
ist	w7_d254e10678
der	w9_d254e10681
Lord	w11_d254e10684
Loudon	w13_d254e10688
den	w1_d254e10694
letzten	w3_d254e10697
May	w5_d254e10700
am	w7_d254e10703
Bord	w9_d254e10706
des	w11_d254e10709
Schiffes	w13_d254e10713
Hompshier	w1_d254e10718
von	w3_d254e10721
Neueyork	w5_d254e10724
(von	w7_d254e10727
wannen	w9_d254e10730
er	w11_d254e10733
den	w1_d254e10738
1.	w3_d254e10741
besagten	w5_d254e10744
Monats	w7_d254e10747
abgeseegelt)	w9_d254e10750
einge	w11_d254e10753
troffen.	w1_d254e10758
Mit	w3_d254e10761
seinem	w5_d254e10764
Schiff	w7_d254e10767
hat	w9_d254e10770
man	w11_d254e10773
zugleich	w13_d254e10777
die	w1_d254e10783
Nachricht	w3_d254e10786
erhalten,	w5_d254e10789
daß	w7_d254e10792
die	w9_d254e10795
zum	w11_d254e10798
Angrif	w13_d254e10802
der	w1_d254e10807
Festung	w3_d254e10810
Louisburg	w5_d254e10813
bestimmte	w7_d254e10816
Trupen	w9_d254e10819
an	w11_d254e10822
eben	w1_d254e10827
den	w3_d254e10830
Tag	w5_d254e10833
dessen	w7_d254e10836
Abfahrt,	w9_d254e10839
nacher	w11_d254e10842
Halli	w13_d254e10846
fax,	w1_d254e10851
um	w3_d254e10854
zu	w5_d254e10857
dem	w7_d254e10860
Admiral	w9_d254e10863
Boscawen	w11_d254e10866
zu	w13_d254e10870
stos	w15_d254e10873
sen,	w1_d254e10879
von	w3_d254e10882
dannen	w5_d254e10885
abgeseeglet	w7_d254e10888
wären.	w9_d254e10891
</p>
<p id="p14_d254e10894">
Don	w1_d254e10898
Meiland:	w3_d254e10901
daß	w5_d254e10904
den	w7_d254e10907
25.	w9_d254e10910
May	w11_d254e10913
ein	w13_d254e10917
Courier	w1_d254e10922
aus	w3_d254e10925
Wienn	w5_d254e10928
allda	w7_d254e10931
angelangt	w9_d254e10934
seye,	w11_d254e10937
wel	w13_d254e10941
cher	w1_d254e10946
dem	w3_d254e10949
General	w5_d254e10952
der	w7_d254e10955
Cavallerie,	w9_d254e10958
Herrn	w11_d254e10961
Mar	w13_d254e10965
quis	w1_d254e10971
Clerici,	w3_d254e10974
die	w5_d254e10977
Nachricht	w7_d254e10980
überbrachte,	w9_d254e10983
daß	w11_d254e10986
Se.	w1_d254e10991
Röm.	w3_d254e10994
Kaiserl.	w5_d254e10997
Majestät	w7_d254e11000
denselben	w9_d254e11003
zum	w11_d254e11006
Bottschafter	w1_d254e11011
bey	w3_d254e11014
bevorstehender	w5_d254e11017
Päpstlichen	w7_d254e11020
Wahl	w1_d254e11025
allergnädigst	w3_d254e11028
zu	w5_d254e11031
ernennen	w7_d254e11034
geruhet	w9_d254e11037
ha	w11_d254e11040
ben.	w1_d254e11046
Dieser	w3_d254e11049
Herr	w5_d254e11052
macht	w7_d254e11055
nunmehro	w9_d254e11058
alle	w11_d254e11061
An	w13_d254e11065
stalten	w1_d254e11070
zu	w3_d254e11073
einer	w5_d254e11076
prächtigen	w7_d254e11079
Equipage,	w9_d254e11082
um	w11_d254e11085
dahin	w1_d254e11090
abzureisen.	w3_d254e11093
</p>
<p id="p16_d254e11096">
Von	w1_d254e11100
Copenhagen:	w3_d254e11103
daß	w5_d254e11106
Se.	w7_d254e11109
Königl	w9_d254e11112
Majestät	w1_d254e11117
von	w3_d254e11120
Dänemark	w5_d254e11123
entschlossen	w7_d254e11126
seyen	w9_d254e11129
ehestens	w1_d254e11134
eine	w3_d254e11137
Reise	w5_d254e11140
nach	w7_d254e11143
dem	w9_d254e11146
Holsteinischen	w11_d254e11149
vorzunehmen.	w1_d254e11155
Den	w3_d254e11158
24.	w5_d254e11161
25.	w7_d254e11164
und	w9_d254e11167
26	w11_d254e11170
haben	w13_d254e11174
Se.	w1_d254e11179
Königl.	w3_d254e11182
Majest.	w5_d254e11185
verschiedene	w7_d254e11188
Regimen	w9_d254e11191
rer,	w1_d254e11196
welche	w3_d254e11199
in	w5_d254e11202
das	w7_d254e11205
Lager	w9_d254e11208
bey	w11_d254e11211
Rendsburg	w13_d254e11215
mar	w15_d254e11218
schiren	w1_d254e11223
sollen,	w3_d254e11226
in	w5_d254e11229
hohen	w7_d254e11232
Augenschein	w9_d254e11235
genom	w11_d254e11238
men.	w1_d254e11244
Unlängst	w3_d254e11247
ist	w5_d254e11250
durch	w7_d254e11253
eine	w9_d254e11256
Königl.	w11_d254e11259
Ver	w13_d254e11263
ordnung	w1_d254e11268
die	w3_d254e11271
Ausführung	w5_d254e11274
aller	w7_d254e11277
Pferde	w9_d254e11280
aus	w11_d254e11283
dem	w1_d254e11288
Königreiche	w3_d254e11291
und	w5_d254e11294
denen	w7_d254e11297
Teutschen	w9_d254e11300
Provin	w11_d254e11303
zen,	w1_d254e11308
bey	w3_d254e11311
der	w5_d254e11314
Confiscation	w7_d254e11317
und	w9_d254e11320
100.	w11_d254e11323
Rthlr.	w13_d254e11327
Straffe	w1_d254e11333
verbotten	w3_d254e11336
worden.	w5_d254e11339
</p>
<p id="p18_d254e11342">
Von	w1_d254e11346
Stutgard:	w3_d254e11349
daß	w5_d254e11352
allen	w7_d254e11355
Beamten	w9_d254e11358
auf	w1_d254e11363
dasigem	w3_d254e11366
Land=hause	w5_d254e11369
der	w7_d254e11372
Befehl	w9_d254e11375
publi	w11_d254e11378
ciret	w1_d254e11383
worden;	w3_d254e11386
fremden	w5_d254e11389
Trupen,	w7_d254e11392
im	w9_d254e11395
Fall	w11_d254e11398
sie	w13_d254e11402
ins	w1_d254e11408
Land	w3_d254e11411
kommen	w5_d254e11414
sollten,	w7_d254e11417
alles,	w9_d254e11420
was	w11_d254e11423
sie	w13_d254e11427
mit	w15_d254e11430
Recht	w1_d254e11435
fordern	w3_d254e11438
könnten,	w5_d254e11441
unverweigerlich	w7_d254e11444
zu	w9_d254e11447
geben.	w1_d254e11452
Zugleich	w3_d254e11455
wurde	w5_d254e11458
ein	w7_d254e11461
anderes	w9_d254e11464
Rescript	w11_d254e11467
an	w1_d254e11472
das	w3_d254e11475
ganze	w5_d254e11478
Land	w7_d254e11481
ertheilet,	w9_d254e11484
daß	w11_d254e11487
alle	w13_d254e11491
die	w15_d254e11494
jenige	w1_d254e11500
Leute,	w3_d254e11503
die	w5_d254e11506
ehedem	w7_d254e11509
in	w9_d254e11512
HerzoglichWür	w11_d254e11515
Enbergischen	w1_d254e11520
Militair=dienst	w3_d254e11523
gestanden,	w5_d254e11526
sich	w7_d254e11529
</p>
<p id="p20_d254e11532">
nach	w1_d254e11536
erhaltenen	w3_d254e11539
Befehl	w5_d254e11542
fertig	w7_d254e11545
machen	w9_d254e11548
sollen	w11_d254e11551
Bürger	w1_d254e11556
und	w3_d254e11559
Bauern	w5_d254e11562
müssen	w7_d254e11565
all	w9_d254e11568
ihr	w11_d254e11571
in	w13_d254e11575
Häu	w15_d254e11578
sern	w1_d254e11583
habendes	w3_d254e11586
Gewehr	w5_d254e11589
herbey	w7_d254e11592
liefern,	w9_d254e11595
auch	w11_d254e11598
werden	w1_d254e11604
alle	w3_d254e11607
Manns=personen	w5_d254e11610
im	w7_d254e11613
Lande	w9_d254e11616
von	w11_d254e11619
20.	w1_d254e11624
bis	w3_d254e11627
50.	w5_d254e11630
Jahren	w7_d254e11633
aufgeschrieben.	w9_d254e11636
</p>
<head id="h2_d254e11642">
Wien,	w1_d254e11646
den	w3_d254e11649
21.	w5_d254e11652
Junii	w7_d254e11655
1758.	w9_d254e11658
</head>
<p id="p4_d254e11661">
Sonntags	w1_d254e11665
den	w3_d254e11668
18.	w5_d254e11671
dieses	w7_d254e11674
ist,	w9_d254e11677
um	w11_d254e11680
sowol	w13_d254e11684
dem	w15_d254e11687
Allmächtigen	w1_d254e11692
wegen	w3_d254e11695
des	w5_d254e11698
in	w7_d254e11701
vergangenen	w9_d254e11704
Jahr	w1_d254e11709
1757.	w3_d254e11712
an	w5_d254e11715
eben	w7_d254e11718
diesem	w9_d254e11721
Tag	w11_d254e11724
bey	w13_d254e11728
Planian	w15_d254e11731
in	w1_d254e11737
Böheim	w3_d254e11740
wider	w5_d254e11743
den	w7_d254e11746
Feind	w9_d254e11749
erhaltenin	w11_d254e11752
gros	w13_d254e11756
sen	w1_d254e11761
Sieges	w3_d254e11764
bey	w5_d254e11767
diesfälliger	w7_d254e11770
Jahrs=erinnerung	w9_d254e11773
nochmalen	w1_d254e11778
Dank	w3_d254e11781
zu	w5_d254e11784
sagen,	w7_d254e11787
als	w9_d254e11790
auch	w11_d254e11793
dessen	w13_d254e11797
Beystand	w1_d254e11802
bey	w3_d254e11805
obwaltenden	w5_d254e11808
dermaligen	w7_d254e11811
Um	w9_d254e11814
ständen	w1_d254e11820
über	w3_d254e11823
die	w5_d254e11826
Kaiserl.	w7_d254e11829
Königl.	w9_d254e11832
gerechte	w11_d254e11835
Waffen	w1_d254e11840
fernerweit	w3_d254e11843
zu	w5_d254e11846
erbitten,	w7_d254e11849
in	w9_d254e11852
der	w11_d254e11855
Hof	w13_d254e11859
kirche	w1_d254e11864
bey	w3_d254e11867
denen	w5_d254e11870
WW.	w7_d254e11873
EE.	w9_d254e11876
PP.	w11_d254e11879
Augustinern	w13_d254e11883
Baarfüssern	w1_d254e11888
allhier	w3_d254e11891
zu	w5_d254e11894
einer	w7_d254e11897
3=tägigen	w9_d254e11900
An	w11_d254e11903
dacht	w1_d254e11909
der	w3_d254e11912
Anfang	w5_d254e11915
gemacht	w7_d254e11918
worden;	w9_d254e11921
dem	w11_d254e11924
zu	w13_d254e11928
folge	w1_d254e11933
dann	w3_d254e11936
auch	w5_d254e11939
beyde	w7_d254e11942
Kaiserl.	w9_d254e11945
Majestäten	w11_d254e11948
mit	w1_d254e11953
Jhren	w3_d254e11956
Königl.	w5_d254e11959
Hoheiten	w7_d254e11962
denen	w9_d254e11965
ältesten	w11_d254e11968
Durchleuchtigsten	w1_d254e11973
jungen	w3_d254e11976
Herschaften	w5_d254e11979
Vor	w7_d254e11982
mittags	w1_d254e11988
um	w3_d254e11991
9.	w5_d254e11994
Uhr	w7_d254e11997
von	w9_d254e12000
Schönbrunn	w11_d254e12003
herein	w13_d254e12007
nach	w1_d254e12012
ersagter	w3_d254e12015
Höf=kirche	w5_d254e12018
sich	w7_d254e12021
erhohen,	w9_d254e12024
und	w11_d254e12027
all	w13_d254e12031
da	w1_d254e12036
mit	w3_d254e12039
dem	w5_d254e12042
hohen	w7_d254e12045
Adel,	w9_d254e12048
wie	w11_d254e12051
auch	w13_d254e12055
vielem	w15_d254e12058
Volke	w1_d254e12063
der	w3_d254e12066
von	w5_d254e12069
Sr.	w7_d254e12072
Hoch=fürstl.	w9_d254e12075
Gnaden	w11_d254e12078
dem	w13_d254e12082
allhiesigen	w1_d254e12088
Hrn.	w3_d254e12091
Erz=bischoffen	w5_d254e12094
selbst	w7_d254e12097
gehalte	w9_d254e12100
nen	w1_d254e12105
Predig,	w3_d254e12108
und	w5_d254e12111
darauf	w7_d254e12114
dem	w9_d254e12117
solennen	w11_d254e12120
Hoch	w13_d254e12124
amt	w1_d254e12129
auferbäulichst	w3_d254e12132
beygewohnet,	w5_d254e12135
am	w7_d254e12138
En	w9_d254e12141
de	w1_d254e12146
dessen	w3_d254e12149
aber	w5_d254e12152
wieder	w7_d254e12155
nacher	w9_d254e12158
Schönbrunn	w11_d254e12161
Sich	w13_d254e12165
zurück	w1_d254e12171
begeben	w3_d254e12174
haben.	w5_d254e12177
Nachmittags	w7_d254e12180
um	w9_d254e12183
4.	w11_d254e12186
Uhr	w13_d254e12190
seynd	w1_d254e12195
die	w3_d254e12198
Allerhöchste	w5_d254e12201
Herrschaften	w7_d254e12204
aber	w9_d254e12207
mal	w1_d254e12212
in	w3_d254e12215
vorberührter	w5_d254e12218
Hof=kirche	w7_d254e12221
erschienen,	w9_d254e12224
und	w1_d254e12229
haben	w3_d254e12232
allda	w5_d254e12235
dem	w7_d254e12238
allgemeinen	w9_d254e12241
Gebett	w11_d254e12244
und	w13_d254e12248
heiligen	w1_d254e12254
Seegen	w3_d254e12257
abgewartet.	w5_d254e12260
Ein	w7_d254e12263
gleiches	w9_d254e12266
ist	w1_d254e12271
auch	w3_d254e12274
Monntags	w5_d254e12277
den	w7_d254e12280
19.	w9_d254e12283
wie	w11_d254e12286
auch	w13_d254e12290
gestrigen	w15_d254e12293
Dienstags	w1_d254e12298
den	w3_d254e12301
20.	w5_d254e12304
Dito	w7_d254e12307
Vor	w9_d254e12310
und	w11_d254e12313
Nach	w13_d254e12317
mitag	w1_d254e12322
beschehen.	w3_d254e12325
</p>
<p id="p6_d254e12328">
Diese	w1_d254e12332
Woche	w3_d254e12335
seynd	w5_d254e12338
wieder	w7_d254e12341
einige	w9_d254e12344
Colonen	w11_d254e12347
Croaten	w1_d254e12352
hiesige	w3_d254e12355
Stadt	w5_d254e12358
vorbey	w7_d254e12361
über	w9_d254e12364
die	w11_d254e12367
gros	w13_d254e12371
sen	w1_d254e12376
Donau=brücken	w3_d254e12379
nacher	w5_d254e12382
Mähren	w7_d254e12385
abmar	w9_d254e12388
schiret.	w1_d254e12394
</p>
<p id="p8_d254e12397">
Jhre	w1_d254e12401
Röm.	w3_d254e12404
Kaiserl.	w5_d254e12407
Majestät	w7_d254e12410
haben	w9_d254e12413
al	w11_d254e12416
lergnädigst	w1_d254e12421
geruhet,	w3_d254e12424
die	w5_d254e12427
beede	w7_d254e12430
Gebrüdere,	w9_d254e12433
Franz	w1_d254e12438
Joseph,	w3_d254e12441
und	w5_d254e12444
Carl	w7_d254e12447
Ludwig	w9_d254e12450
Frey=herrn	w11_d254e12453
Lanjus	w1_d254e12459
von	w3_d254e12462
Wällenburg	w5_d254e12465
in	w7_d254e12468
mildester	w9_d254e12471
Erwe	w11_d254e12474
gung	w1_d254e12479
ihres	w3_d254e12482
adelichen	w5_d254e12485
Ceschlechts,	w7_d254e12488
und	w9_d254e12491
derer	w11_d254e12494
sowol	w1_d254e12499
von	w3_d254e12502
ihren	w5_d254e12505
Vor=eltern,	w7_d254e12508
als	w9_d254e12511
von	w11_d254e12514
ihnen	w13_d254e12518
selbsten	w1_d254e12523
erworbenen	w3_d254e12526
Verdiensten	w5_d254e12529
unterm	w7_d254e12532
15.	w9_d254e12535
April	w1_d254e12541
des	w3_d254e12544
1757.	w5_d254e12547
Jahrs	w7_d254e12550
in	w9_d254e12553
des	w11_d254e12556
heiligen	w13_d254e12560
Röm.	w15_d254e12563
Reichs=Grafen=Stand	w1_d254e12568
mit	w3_d254e12571
dem	w5_d254e12574
Prädicak	w7_d254e12577
</p>
<p id="p14_d254e12591">
Hoch	w1_d254e12595
und	w3_d254e12598
Wol=geborn	w5_d254e12601
allergnädigst	w7_d254e12604
zu	w9_d254e12607
erheben.	w1_d254e12612
</p>
<p id="p16_d254e12615">
Es	w1_d254e12619
wird	w3_d254e12622
hiemit	w5_d254e12625
allen	w7_d254e12628
denen	w9_d254e12631
jenigen,	w11_d254e12634
welche	w13_d254e12638
noch	w1_d254e12643
etwas	w3_d254e12646
an	w5_d254e12649
der	w7_d254e12652
Theatral	w9_d254e12655
cassa,	w11_d254e12658
verflos	w13_d254e12662
senen	w1_d254e12667
Theatral-jahres	w3_d254e12670
(von	w5_d254e12673
9.	w7_d254e12676
April	w9_d254e12679
1757.	w11_d254e12682
bis	w1_d254e12688
24.	w3_d254e12691
Martii	w5_d254e12694
1758.)	w7_d254e12697
es	w9_d254e12700
habe	w11_d254e12703
Namen	w13_d254e12707
wie	w1_d254e12712
es	w3_d254e12715
immer	w5_d254e12718
wolle,	w7_d254e12721
zu	w9_d254e12724
forderen	w11_d254e12727
haben,	w13_d254e12731
er	w15_d254e12734
inneret,	w1_d254e12739
daß	w3_d254e12742
sie	w5_d254e12745
sich	w7_d254e12748
längstens	w9_d254e12751
inner	w11_d254e12754
14.	w13_d254e12758
Tä	w15_d254e12761
gen	w1_d254e12766
entweders	w3_d254e12769
bey	w5_d254e12772
(Titl.)	w7_d254e12775
Sr.	w9_d254e12778
Excellenz	w11_d254e12781
Herrn	w1_d254e12787
Grafen	w3_d254e12790
von	w5_d254e12793
Durazzo,	w7_d254e12796
Jhrer	w9_d254e12799
Röm.	w11_d254e12802
Kaiserl.	w1_d254e12807
Königl.	w3_d254e12810
Majestät	w5_d254e12813
würkl.	w7_d254e12816
geheimer	w9_d254e12819
Raht,	w1_d254e12824
und	w3_d254e12827
Directore	w5_d254e12830
deren	w7_d254e12833
beyden	w9_d254e12836
Kaiserl.	w11_d254e12839
Königl.	w1_d254e12844
Theatern,	w3_d254e12847
in	w5_d254e12850
dem	w7_d254e12853
Graf	w9_d254e12856
Gatter	w11_d254e12859
burgischen	w1_d254e12865
Haus	w3_d254e12868
unweit	w5_d254e12871
der	w7_d254e12874
Gans	w9_d254e12877
in	w11_d254e12880
2ten	w13_d254e12884
Stock,	w1_d254e12889
oder	w3_d254e12892
aber	w5_d254e12895
bey	w7_d254e12898
(Titl.)	w9_d254e12901
Herrn	w11_d254e12904
Philipp	w13_d254e12908
Lambacher,	w1_d254e12913
der	w3_d254e12916
gemeinen	w5_d254e12919
Stadt	w7_d254e12922
Wien	w9_d254e12925
Se	w11_d254e12928
cretario,	w1_d254e12933
und	w3_d254e12936
Theatral=directions=commissario,	w5_d254e12939
wohnhaft	w1_d254e12945
in	w3_d254e12948
dem	w5_d254e12951
Neustädter=hof,	w7_d254e12954
unweit	w9_d254e12957
denen	w11_d254e12960
Siben=bücherinnen	w1_d254e12965
im	w3_d254e12968
3.	w5_d254e12971
Stock,	w7_d254e12974
melden	w9_d254e12977
sollen.	w11_d254e12980
Abgewichenen	w1_d254e12985
Samstag	w3_d254e12988
als	w5_d254e12991
den	w7_d254e12994
17.	w9_d254e12997
dies	w11_d254e13000
</p>
<p id="p18_d254e13003">
ist	w1_d254e13007
die	w3_d254e13010
Ziehung	w5_d254e13013
der	w7_d254e13016
Kaiserl.	w9_d254e13019
Königl.	w11_d254e13022
privil.	w13_d254e13026
Lotterie	w1_d254e13031
in	w3_d254e13034
der	w5_d254e13037
Königl.	w7_d254e13040
Haupt=stadt	w9_d254e13043
Prag	w11_d254e13046
beschehen,	w1_d254e13051
und	w3_d254e13054
die	w5_d254e13057
Nri.	w7_d254e13060
76.	w9_d254e13063
90.	w11_d254e13066
74.	w13_d254e13070
85.	w15_d254e13073
und	w17_d254e13076
18.	w1_d254e13082
mit	w3_d254e13085
zerschiedenen	w5_d254e13088
erheblichen	w7_d254e13091
Ambi	w9_d254e13094
und	w11_d254e13097
beträchtlichen	w1_d254e13102
Terni,	w3_d254e13105
deren	w5_d254e13108
einen	w7_d254e13111
der	w9_d254e13114
sub	w11_d254e13117
Nro.	w13_d254e13121
60.	w1_d254e13126
auf	w3_d254e13129
dem	w5_d254e13132
Blatzel	w7_d254e13135
beym	w9_d254e13138
Breindel	w11_d254e13141
angestel	w13_d254e13145
ter	w1_d254e13150
Collecteur	w3_d254e13153
Mathias	w5_d254e13156
Baldt	w7_d254e13159
mit	w9_d254e13162
140.	w11_d254e13165
Du	w13_d254e13169
taten	w1_d254e13175
abzuführen	w3_d254e13178
hat,	w5_d254e13181
gehoben	w7_d254e13184
worden.	w9_d254e13187
</p>
<p id="p20_d254e13190">
Den	w1_d254e13194
5.	w3_d254e13197
künftigen	w5_d254e13200
Monats	w7_d254e13203
Julii	w9_d254e13206
wird	w11_d254e13209
alhier	w13_d254e13213
die	w1_d254e13218
fernere	w3_d254e13221
Ziehung	w5_d254e13224
vorgenommen	w7_d254e13227
werden.	w9_d254e13230
</p>
<head id="h2_d254e13236">
Lista	w1_d254e13240
deren	w3_d254e13243
Verstorbenen	w5_d254e13246
zu	w7_d254e13249
Wien	w9_d254e13252
in	w1_d254e13257
und	w3_d254e13260
vor	w5_d254e13263
der	w7_d254e13266
Stadt.	w9_d254e13269
Den	w1_d254e13274
17.	w3_d254e13277
Junii.	w5_d254e13280
Jn	w1_d254e13286
der	w3_d254e13289
Stadt.	w5_d254e13292
</head>
<list id="l4_d254e13295">
Der	w1_d254e13299
Hoch=ebel=geb.	w3_d254e13302
Hr.	w5_d254e13305
Jgnatz	w7_d254e13308
Andre	w9_d254e13311
Edler	w11_d254e13314
von	w13_d254e13318
Menshengen,	w1_d254e13323
Hoch=fürstl.	w3_d254e13326
Bambergis.	w5_d254e13329
Hof=raht,	w7_d254e13332
im	w1_d254e13337
Menshengis.	w3_d254e13340
H.	w5_d254e13343
am	w7_d254e13346
alt.	w9_d254e13349
Fleisch=m.,	w11_d254e13352
49.	w13_d254e13356
J.	w15_d254e13359
Herr	w1_d254e13365
Lorenz	w3_d254e13368
Galiardi,	w5_d254e13371
Comödi=billiet=einnehm.,	w7_d254e13374
im	w9_d254e13377
Tischleris.	w1_d254e13382
H.	w3_d254e13385
in	w5_d254e13388
der	w7_d254e13391
Klugerstr.,	w9_d254e13394
alt	w11_d254e13397
34.	w13_d254e13401
J.	w15_d254e13404
Dem	w1_d254e13409
Gabriel	w3_d254e13412
Usterad,	w5_d254e13415
Lack.,	w7_d254e13418
s.	w9_d254e13421
W.	w11_d254e13424
Cathar.,	w13_d254e13428
im	w15_d254e13431
Ni	w17_d254e13434
sis.	w1_d254e13439
H.	w3_d254e13442
in	w5_d254e13445
der	w7_d254e13448
Wolzeil,	w9_d254e13451
alt	w11_d254e13454
23.	w13_d254e13458
J.	w15_d254e13461
</list>
<head id="h2_d254e13468">
Vor	w1_d254e13472
der	w3_d254e13475
Stadt.	w5_d254e13478
</head>
<list id="l4_d254e13481">
Dem	w1_d254e13485
Joh.	w3_d254e13488
Draxler,	w5_d254e13491
Burgerl.	w7_d254e13494
Kuchel=gerl.,	w9_d254e13497
s.	w11_d254e13500
T.	w13_d254e13504
Eva,	w1_d254e13509
am	w3_d254e13512
alt.	w5_d254e13515
Thabor,	w7_d254e13518
alt	w9_d254e13521
27.	w11_d254e13524
J.	w13_d254e13528
Dem	w1_d254e13533
Raym.	w3_d254e13536
Jgnatz	w5_d254e13539
Liebherr,	w7_d254e13542
gew.	w9_d254e13545
Hof=meist.,	w11_d254e13548
s.	w13_d254e13552
W.	w15_d254e13555
Magdal.,	w1_d254e13561
beym	w3_d254e13564
gold.	w5_d254e13567
Anker	w7_d254e13570
in	w9_d254e13573
der	w11_d254e13576
Leopoldst.,	w13_d254e13580
alt	w1_d254e13585
41.	w3_d254e13588
J.	w5_d254e13591
Rosal.	w1_d254e13596
Kunstin,	w3_d254e13599
Wittwe,	w5_d254e13602
bey	w7_d254e13605
der	w9_d254e13608
Rundel.	w11_d254e13611
bey	w13_d254e13615
St.	w15_d254e13618
Ulrich,	w1_d254e13623
alt	w3_d254e13626
46.	w5_d254e13629
J.	w7_d254e13632
Dem	w1_d254e13638
Franz	w3_d254e13641
Jrßwagner,	w5_d254e13644
Schuh=mach.,	w7_d254e13647
s.	w9_d254e13650
K.	w11_d254e13653
Elis.	w13_d254e13657
derm	w1_d254e13662
gold.	w3_d254e13665
Eleph.	w5_d254e13668
im	w7_d254e13671
Liechtenth.,	w9_d254e13674
alt	w11_d254e13677
11.	w13_d254e13681
J.	w15_d254e13684
Dem	w1_d254e13689
Franz	w3_d254e13692
Grißl,	w5_d254e13695
K.	w7_d254e13698
K.	w9_d254e13701
Vor=reit.,	w11_d254e13704
s.	w13_d254e13708
K.	w15_d254e13711
Anna,	w17_d254e13714
beym	w1_d254e13719
gold.	w3_d254e13722
Bech,	w5_d254e13725
am	w7_d254e13728
Spitalberg,	w9_d254e13731
alt	w11_d254e13734
4.	w13_d254e13738
J.	w15_d254e13741
</list>
<list id="l6_d254e13748">
Lorenz	w1_d254e13752
Reiß,	w3_d254e13755
Haus=meist.,	w5_d254e13758
im	w7_d254e13761
Hof=mahterisch.	w9_d254e13764
H.	w11_d254e13767
auf	w1_d254e13772
der	w3_d254e13775
Wied.,	w5_d254e13778
alt	w7_d254e13781
48.	w9_d254e13784
J.	w11_d254e13787
Cathar.	w1_d254e13792
Stegerin,	w3_d254e13795
Wiltwe,	w5_d254e13798
im	w7_d254e13801
Scheiheris.	w9_d254e13804
H.	w11_d254e13807
in	w13_d254e13811
der	w15_d254e13814
Leopoldst.,	w1_d254e13820
alt	w3_d254e13823
57.	w5_d254e13826
J.	w7_d254e13829
Dem	w1_d254e13834
Jos.	w3_d254e13837
Pruckner,	w5_d254e13840
Maurern,	w7_d254e13843
s.	w9_d254e13846
K.	w11_d254e13849
Josepha,	w13_d254e13853
im	w15_d254e13856
Bertholdis.	w1_d254e13861
H.	w3_d254e13864
auf	w5_d254e13867
der	w7_d254e13870
Wied.,	w9_d254e13873
alt	w11_d254e13876
6.	w13_d254e13880
J.	w15_d254e13883
Summa	w1_d254e13888
11.	w3_d254e13891
Person.,	w5_d254e13894
darunter	w7_d254e13897
3.	w9_d254e13900
Kind.	w11_d254e13903
</list>
<head id="h2_d254e13911">
Den	w1_d254e13915
18	w3_d254e13918
Junii.	w5_d254e13921
Jn	w7_d254e13924
der	w9_d254e13927
Stadt.	w11_d254e13930
Niemand.	w1_d254e13935
Vor	w1_d254e13940
der	w3_d254e13943
Stact.	w5_d254e13946
</head>
<list id="l4_d254e13949">
Der	w1_d254e13953
Wol=ehrw.	w3_d254e13956
in	w5_d254e13959
GOtt	w7_d254e13962
Geißtl.	w9_d254e13965
Hr.	w11_d254e13968
Joh.	w13_d254e13972
Demel,	w15_d254e13975
Curat,	w1_d254e13980
und	w3_d254e13983
Genesiciat	w5_d254e13986
in	w7_d254e13989
St.	w9_d254e13992
Joh.	w11_d254e13995
Rep.	w13_d254e13999
Spit.,	w15_d254e14002
alda,	w1_d254e14007
alt	w3_d254e14010
70.	w5_d254e14013
J.	w7_d254e14016
Theres.	w1_d254e14022
Valentinin,	w3_d254e14025
Burgerl.	w5_d254e14028
Wittwe,	w7_d254e14031
in	w9_d254e14034
ihrem	w11_d254e14037
H.	w1_d254e14042
auf	w3_d254e14045
der	w5_d254e14048
Landstr.,	w7_d254e14051
alt	w9_d254e14054
58.	w11_d254e14057
J.	w13_d254e14061
Mart.	w1_d254e14066
Fasser,	w3_d254e14069
Fuhr=m.,	w5_d254e14072
bey	w7_d254e14075
der	w9_d254e14078
weis.	w11_d254e14081
Ros.	w13_d254e14085
in	w15_d254e14088
der	w17_d254e14091
Leopoldst,	w1_d254e14096
alt	w3_d254e14099
64.	w5_d254e14102
J.	w7_d254e14105
Dem	w1_d254e14111
Joh.	w3_d254e14114
Waldman,	w5_d254e14117
Koch,	w7_d254e14120
s.	w9_d254e14123
W.	w11_d254e14126
Anna,	w13_d254e14130
