<doc id="wr_1759-03-17" attrs="word" year="1759" month="03" day="17" corpus="2">
<head id="h2_d331e3204">
Stettin	w4_d331e3207
1745.	w114_d331e10643
eingeführten	w117_d331e10647
Ordnung:	w119_d331e10651
daß	w121_d331e10654
nämlich	w123_d331e10657
am	w125_d331e10661
Montag,	w128_d331e10665
und	w130_d331e10669
Freytag	w132_d331e10672
jedes	w134_d331e10675
Collegium	w136_d331e10679
um	w138_d331e10682
halb	w141_d331e10686
5.	w143_d331e10690
Uhr	w145_d331e10693
Abends	w147_d331e10697
bis	w149_d331e10700
6.	w151_d331e10703
Uhr	w153_d331e10706
gehalten,	w155_d331e10709
und	w158_d331e10714
die	w160_d331e10718
hierauf	w162_d331e10721
folgende	w164_d331e10724
halbe	w166_d331e10727
Stund	w168_d331e10730
zur	w170_d331e10734
Unterredung,	w173_d331e10738
oder	w175_d331e10742
widerholter	w177_d331e10745
Vorzeigung	w179_d331e10748
eines,	w182_d331e10753
oder	w184_d331e10757
des	w186_d331e10760
anderen	w188_d331e10763
Experimenti	w190_d331e10766
an	w192_d331e10770
gewendet	w195_d331e10774
werde.	w197_d331e10778
Die	w199_d331e10781
Billets	w201_d331e10784
werden	w203_d331e10788
von	w205_d331e10791
dem	w208_d331e10795
R.	w210_d331e10799
P.	w212_d331e10802
Josepho	w214_d331e10806
Franz	w216_d331e10809
als	w218_d331e10812
des	w220_d331e10815
benann	w222_d331e10818
ten	w225_d331e10823
Musæi	w227_d331e10827
Præfecto	w229_d331e10830
in	w231_d331e10833
der	w233_d331e10836
Oster=wochen	w235_d331e10839
ausgetheilet	w238_d331e10844
werden.	w240_d331e10848
</p>
<head id="h2_d331e10855">
Lista	w4_d331e10858
deren	w6_d331e10862
Verstorbenen	w8_d331e10865
zu	w10_d331e10868
Wien	w12_d331e10871
in	w15_d331e10876
und	w17_d331e10880
vor	w19_d331e10883
der	w21_d331e10886
Stadt.	w23_d331e10889
Den	w26_d331e10894
12.	w28_d331e10898
Martii.	w30_d331e10901
Jn	w33_d331e10905
der	w35_d331e10909
Stadt.	w37_d331e10913
</head>
<list id="l4_d331e10916">
Der	w5_d331e10919
Hochw.	w7_d331e10923
Wol=edel	w9_d331e10926
geb.	w11_d331e10929
Hr.	w13_d331e10932
Franz	w15_d331e10936
Ant.	w17_d331e10939
Zeißler,	w19_d331e10942
Dom=herr	w22_d331e10946
bey	w24_d331e10950
St.	w26_d331e10954
Steph.,	w28_d331e10957
im	w30_d331e10960
kl.	w32_d331e10963
Domherren	w34_d331e10966
hof,	w37_d331e10971
alt	w39_d331e10975
73.	w41_d331e10978
J.	w43_d331e10981
Der	w46_d331e10985
Hoch=edel=geb.	w48_d331e10990
Hr.	w50_d331e10993
Jos.	w52_d331e10996
Techterler	w54_d331e10999
v.	w56_d331e11002
Hohen	w58_d331e11005
thal,	w61_d331e11010
K.	w63_d331e11014
K.	w65_d331e11017
Böheimis.	w67_d331e11020
und	w69_d331e11023
Oesterreichis.	w71_d331e11027
Hofag.,	w73_d331e11030
dann	w76_d331e11034
Hoch=fürstl.	w78_d331e11038
Hohenlois.	w80_d331e11041
und	w82_d331e11045
Hoch=fürstl.	w84_d331e11048
Trient.	w87_d331e11052
Hof=raht,	w89_d331e11056
im	w91_d331e11059
Salesianer=H.	w93_d331e11063
in	w95_d331e11066
der	w97_d331e11069
Do	w99_d331e11072
rothegas.,	w102_d331e11076
alt	w104_d331e11081
43.	w106_d331e11084
J.	w108_d331e11087
</list>
<list id="l10_d331e11101">
Der	w5_d331e11104
Wol=edle	w7_d331e11108
Hr.	w9_d331e11111
Joh.	w11_d331e11114
Fried.	w13_d331e11117
v.	w15_d331e11121
Fischer,	w17_d331e11124
gew.	w19_d331e11127
K.	w21_d331e11130
K.	w23_d331e11133
Rittmeist.,	w26_d331e11138
im	w28_d331e11142
Defranceis.	w30_d331e11145
H.	w32_d331e11148
in	w34_d331e11151
der	w36_d331e11154
Kärntner	w38_d331e11158
stras.,	w41_d331e11162
alt	w43_d331e11166
52.	w45_d331e11169
J.	w47_d331e11172
Der	w50_d331e11177
Ehrw.	w52_d331e11181
Pr	w54_d331e11184
Genuinus	w56_d331e11187
Ernst,	w58_d331e11190
Ord.	w60_d331e11194
St.	w62_d331e11197
Franc.,	w64_d331e11200
im	w67_d331e11204
Kloster	w69_d331e11208
bey	w71_d331e11212
St.	w73_d331e11215
Hieron.,	w75_d331e11218
alt	w77_d331e11221
72.	w79_d331e11224
J.	w81_d331e11227
</list>
<head id="h2_d331e11234">
Vor	w4_d331e11237
der	w6_d331e11241
Stadt.	w8_d331e11244
</head>
<list id="l4_d331e11247">
Dem	w5_d331e11250
Jos.	w7_d331e11254
Allmer,	w9_d331e11257
Burgerl.	w11_d331e11260
Kuchel=gart.,	w13_d331e11263
s.	w15_d331e11267
W.	w17_d331e11270
Ca	w19_d331e11273
thar.,	w22_d331e11277
im	w24_d331e11281
Stegeris.	w26_d331e11285
H.	w28_d331e11288
in	w30_d331e11291
der	w32_d331e11294
Rossau,	w34_d331e11297
alt	w36_d331e11300
51.	w38_d331e11304
J.	w40_d331e11307
Ant.	w43_d331e11311
Hug,	w45_d331e11315
Burgerl.	w47_d331e11318
Dör=kräutl.,	w49_d331e11322
im	w51_d331e11325
Spallierma	w53_d331e11328
cheris.	w56_d331e11332
H.	w58_d331e11336
am	w60_d331e11340
Spitalberg,	w62_d331e11343
alt	w64_d331e11346
74.	w66_d331e11349
J.	w68_d331e11352
Franz	w71_d331e11357
Ferding,	w73_d331e11361
K.	w75_d331e11364
K.	w77_d331e11367
Kutsch.,	w79_d331e11370
im	w81_d331e11373
Forchtnerisch.	w83_d331e11377
H.	w85_d331e11380
auf	w88_d331e11384
der	w90_d331e11388
Wied.,	w92_d331e11391
alt	w94_d331e11395
78.	w96_d331e11398
J.	w98_d331e11401
Simon	w101_d331e11405
Wisinger,	w103_d331e11409
Heyd.,	w105_d331e11413
bey	w107_d331e11416
Joach.	w109_d331e11419
und	w111_d331e11422
Anna	w113_d331e11425
auf	w116_d331e11430
der	w118_d331e11434
Wied.,	w120_d331e11437
alt	w122_d331e11440
46.	w124_d331e11443
J.	w126_d331e11446
Mich.	w129_d331e11451
Gaßler,	w131_d331e11455
Bäcker=jung,	w133_d331e11458
beym	w135_d331e11461
Stuck=gies.	w137_d331e11464
auf	w139_d331e11468
der	w142_d331e11472
Wendelst.,	w144_d331e11476
alt	w146_d331e11479
31.	w148_d331e11482
J.	w150_d331e11486
Dem	w153_d331e11490
Georg	w155_d331e11494
Mayr,	w157_d331e11497
Tag=löhn.,	w159_d331e11500
s.	w161_d331e11504
W.	w163_d331e11507
Magdal.,	w165_d331e11510
in	w167_d331e11513
Barmherz.	w170_d331e11517
Zim.	w172_d331e11522
auf	w174_d331e11525
der	w176_d331e11528
Landstr.,	w178_d331e11531
alt	w180_d331e11534
59.	w182_d331e11537
J.	w184_d331e11541
</list>
<head id="h2_d331e11548">
Summa	w4_d331e11551
10.	w6_d331e11555
Person.	w8_d331e11558
/	w10_d331e11561
darunter	w12_d331e11564
0.	w14_d331e11568
Kind.	w16_d331e11571
Den	w19_d331e11575
13.	w21_d331e11579
Martii.	w23_d331e11582
Jn	w26_d331e11587
der	w28_d331e11591
Stadt.	w30_d331e11594
</head>
<list id="l4_d331e11597">
Die	w5_d331e11600
Hoch=edel=geb.	w7_d331e11604
Fr.	w9_d331e11607
Maria	w11_d331e11610
Theres.	w13_d331e11613
verw.	w15_d331e11617
Baro	w17_d331e11620
neßin	w20_d331e11624
v.	w22_d331e11628
Scheller,	w24_d331e11631
geb.	w26_d331e11635
Barones.	w28_d331e11638
v.	w30_d331e11641
Scherzer,	w32_d331e11644
im	w34_d331e11647
Stift	w37_d331e11652
bey	w39_d331e11656
St.	w41_d331e11659
Jacob,	w43_d331e11662
alt	w45_d331e11665
64.	w47_d331e11668
J.	w49_d331e11672
Dem	w52_d331e11676
Hrn.	w54_d331e11680
Franz	w56_d331e11683
Kölbinger,	w58_d331e11686
Burgerl.	w60_d331e11690
Chyrurg.,	w62_d331e11693
s.	w64_d331e11696
Fr.	w67_d331e11700
Cathar.,	w69_d331e11704
bey	w71_d331e11708
der	w73_d331e11711
Holder=staud.	w75_d331e11714
auf	w77_d331e11717
der	w79_d331e11720
Sai	w81_d331e11723
lerst.,	w84_d331e11728
alt	w86_d331e11732
30.	w88_d331e11735
J.	w90_d331e11738
</list>
<head id="h2_d331e11745">
Vor	w4_d331e11748
der	w6_d331e11752
Stadt.	w8_d331e11755
</head>
<list id="l4_d331e11758">
Die	w5_d331e11761
(Tit.)	w7_d331e11765
Fr.	w9_d331e11768
Francisca	w11_d331e11771
verw.	w13_d331e11774
Marqnis.	w15_d331e11778
v.	w17_d331e11781
Mon	w19_d331e11784
tanaro,	w22_d331e11788
Wittwe,	w24_d331e11792
beym	w26_d331e11796
grün.	w28_d331e11799
Salz=küf.	w30_d331e11802
auf	w32_d331e11805
der	w34_d331e11808
Wind=mühl,	w37_d331e11813
alt	w39_d331e11817
77.	w41_d331e11820
J.	w43_d331e11823
Georg	w46_d331e11827
Philippsberger,	w48_d331e11832
Fragner,	w50_d331e11835
in	w52_d331e11838
s.	w54_d331e11841
H.	w56_d331e11844
zu	w58_d331e11847
Margar.	w60_d331e11851
alt	w63_d331e11855
32.	w65_d331e11859
J.	w67_d331e11862
Math.	w70_d331e11866
Handelsberger,	w72_d331e11871
Burgerl.	w74_d331e11874
Wirt,	w76_d331e11877
bey	w78_d331e11880
der	w80_d331e11883
Stadt	w82_d331e11886
Wien	w85_d331e11891
in	w87_d331e11895
der	w89_d331e11898
Josephst.,	w91_d331e11901
alt	w93_d331e11904
51.	w95_d331e11908
J	w97_d331e11911
Joh.	w100_d331e11915
König,	w102_d331e11919
Geig.,	w104_d331e11922
bey	w106_d331e11926
der	w108_d331e11929
Schwabis.	w110_d331e11932
Jungf.	w112_d331e11935
ober	w114_d331e11938
dem	w117_d331e11943
Neustift,	w119_d331e11947
alt	w121_d331e11950
27.	w123_d331e11953
Dem	w126_d331e11957
Christoph	w128_d331e11962
Dunst,	w130_d331e11965
Vogel=kram,	w132_d331e11968
s.	w134_d331e11971
W.	w136_d331e11974
Ursula,	w138_d331e11977
beym	w141_d331e11982
gold.	w143_d331e11986
Rös.	w145_d331e11989
im	w147_d331e11992
Lerchenf,	w149_d331e11995
alt	w151_d331e11999
44.	w153_d331e12002
J.	w155_d331e12005
Maria	w158_d331e12009
Klagerin,	w160_d331e12013
Wittwe,	w162_d331e12017
im	w164_d331e12020
Veiglis.	w166_d331e12023
H.	w168_d331e12026
in	w170_d331e12029
der	w172_d331e12032
Leopoldst.,	w175_d331e12037
alt	w177_d331e12041
70.	w179_d331e12044
J.	w181_d331e12047
Anna	w184_d331e12051
Oberlintnerin,	w186_d331e12056
im	w188_d331e12059
K.	w190_d331e12062
K.	w192_d331e12065
Hof=spit.,	w194_d331e12068
alt	w196_d331e12071
71.	w198_d331e12075
J.	w200_d331e12078
Joh.	w203_d331e12082
Kreuterer,	w205_d331e12086
alt	w207_d331e12089
79.	w209_d331e12093
J.,	w211_d331e12096
und	w213_d331e12099
Anna	w215_d331e12102
Creutzerin,	w217_d331e12105
alt	w220_d331e12110
80.	w222_d331e12114
J.,	w224_d331e12117
beyde	w226_d331e12120
im	w228_d331e12123
langen	w230_d331e12126
Keller.	w232_d331e12130
Dem	w235_d331e12134
Joh.	w237_d331e12138
Beigelbäck,	w239_d331e12141
Tag=löhn.,	w241_d331e12144
s.	w243_d331e12148
W.	w245_d331e12151
Eva,	w247_d331e12154
beym	w249_d331e12157
gold.	w252_d331e12161
Stern	w254_d331e12166
zu	w256_d331e12169
Mätzleinstorf,	w258_d331e12172
alt	w260_d331e12175
64.	w262_d331e12178
J.	w264_d331e12181
</list>
<head id="h2_d331e12188">
Summa	w4_d331e12191
12.	w6_d331e12195
Person.,	w8_d331e12198
darunter	w10_d331e12201
0	w12_d331e12204
Kind.	w14_d331e12208
Den	w17_d331e12212
14.	w19_d331e12216
Martii.	w21_d331e12219
Jn	w24_d331e12223
der	w26_d331e12228
Stadt.	w28_d331e12231
</head>
<list id="l4_d331e12234">
Dem	w5_d331e12237
Hrn.	w7_d331e12241
Franz	w9_d331e12244
Michaelis,	w11_d331e12247
K.	w13_d331e12250
K.	w15_d331e12254
Niederlags=verw.	w17_d331e12257
s.	w20_d331e12261
K.	w22_d331e12265
Josepha,	w24_d331e12268
bey	w26_d331e12272
der	w28_d331e12275
weis.	w30_d331e12278
Taub.	w32_d331e12281
am	w34_d331e12284
alt.	w36_d331e12287
Ban	w38_d331e12291
ren=m.,	w41_d331e12295
alt	w43_d331e12299
5.	w45_d331e12302
J.	w47_d331e12305
</list>
<head id="h2_d331e12312">
Vor	w4_d331e12315
der	w6_d331e12319
Stadt.	w8_d331e12322
</head>
<list id="l4_d331e12325">
Math.	w5_d331e12328
Binder,	w7_d331e12332
Lust=gart.	w9_d331e12335
in	w11_d331e12338
s.	w13_d331e12341
H.	w15_d331e12345
zu	w17_d331e12348
Margar.	w19_d331e12351
alt	w21_d331e12354
68.	w24_d331e12358
J.	w26_d331e12363
</list>
<list id="l6_d331e12367">
Anna	w5_d331e12370
Ernstin,	w7_d331e12374
im	w9_d331e12377
Sonnen=hof,	w11_d331e12380
alt	w13_d331e12383
71.J.	w15_d331e12387
Franz	w18_d331e12391
Heigerl,	w20_d331e12395
K.	w22_d331e12398
K.	w24_d331e12401
Reit=kn.,	w26_d331e12405
bey	w28_d331e12408
der	w30_d331e12411
bl.	w32_d331e12414
Weintr.	w34_d331e12417
auf	w37_d331e12422
der	w39_d331e12426
Wied.,	w41_d331e12429
alt	w43_d331e12432
64.	w45_d331e12435
J.	w47_d331e12438
Ursula	w50_d331e12443
Barin,	w52_d331e12447
Wittwe,	w54_d331e12450
bey	w56_d331e12453
der	w58_d331e12456
gros.	w60_d331e12460
Preß	w62_d331e12463
auf	w64_d331e12466
der	w66_d331e12469
Wied.,	w69_d331e12473
alt	w71_d331e12478
91.	w73_d331e12481
J.	w75_d331e12484
Justin.	w78_d331e12488
Bierwipflin,	w80_d331e12492
in	w82_d331e12496
St.	w84_d331e12499
Joh.	w86_d331e12502
Nep.	w88_d331e12505
Spit.,	w90_d331e12508
64.	w92_d331e12511
J.	w94_d331e12515
Dem	w97_d331e12519
Ferd.	w99_d331e12523
Hammer,	w101_d331e12526
Betten=fas,	w103_d331e12529
s.	w105_d331e12533
W.	w107_d331e12536
Margar.,	w109_d331e12539
beym	w112_d331e12543
Dattel=baum	w114_d331e12547
im	w116_d331e12551
Lerchenf.,	w118_d331e12554
alt	w120_d331e12557
92.	w122_d331e12560
J.	w124_d331e12563
Joh.	w127_d331e12568
Kraft,	w129_d331e12572
Lack.,	w131_d331e12575
beym	w133_d331e12578
rot.	w135_d331e12581
Apf.	w137_d331e12584
im	w139_d331e12588
Lerchenf.,	w141_d331e12591
alt	w143_d331e12594
74.	w146_d331e12598
J.	w148_d331e12602
</list>
<head id="h2_d331e12610">
Summa	w4_d331e12613
8.	w6_d331e12617
Person.	w8_d331e12620
darunter	w10_d331e12623
1.	w12_d331e12626
Kind.	w14_d331e12630
</head>
<p id="p4_d331e12633">
Bey	w4_d331e12636
dem	w6_d331e12640
Verleger	w8_d331e12643
des	w10_d331e12646
Wienerischen	w12_d331e12649
Diarii	w14_d331e12653
im	w16_d331e12656
nenen	w19_d331e12660
Michaeler=haus,	w21_d331e12664
wie	w23_d331e12667
auch	w25_d331e12671
in	w27_d331e12674
allen	w29_d331e12677
hiesi	w31_d331e12680
gen	w34_d331e12684
Burgerl.	w36_d331e12689
Buchbinder=gewölbern	w38_d331e12692
ist	w40_d331e12695
zu	w42_d331e12698
haben:	w44_d331e12701
Kurze	w47_d331e12706
Unterweisung,	w49_d331e12710
auf	w51_d331e12713
das	w53_d331e12716
von	w55_d331e12719
Sr.	w57_d331e12722
Päpstl.	w59_d331e12726
Heiligkeit	w62_d331e12730
Clemente	w64_d331e12734
XIII.	w66_d331e12737
in	w68_d331e12740
dem	w70_d331e12744
Jahr	w72_d331e12747
1759.	w74_d331e12750
er	w76_d331e12753
theilte	w79_d331e12757
Jubilæum,	w81_d331e12762
wie	w83_d331e12765
solcher	w85_d331e12768
hohe	w87_d331e12771
Jubel=ablaß	w89_d331e12774
in	w91_d331e12777
der	w94_d331e12782
Kaiserl.	w96_d331e12786
Königl.	w98_d331e12789
Residenz=stadt	w100_d331e12792
Wien,	w102_d331e12795
vom	w104_d331e12799
vierten	w107_d331e12803
Sonntag	w109_d331e12807
in	w111_d331e12810
der	w113_d331e12813
Fasten,	w115_d331e12817
als	w117_d331e12820
dem	w119_d331e12823
25.	w121_d331e12826
Martii,	w123_d331e12829
bis	w126_d331e12834
8.	w128_d331e12838
April,	w130_d331e12841
als	w132_d331e12844
dem	w134_d331e12847
sechsten	w136_d331e12850
Sonntag	w138_d331e12854
mit	w140_d331e12857
ein	w142_d331e12860
geschlossen,	w145_d331e12864
zu	w147_d331e12868
gewinnen	w149_d331e12872
seye.	w151_d331e12875
Nebst	w153_d331e12878
einigen	w155_d331e12881
ver	w157_d331e12884
dienstlichen	w160_d331e12889
Gebettern.	w162_d331e12893
</p>
<p id="p6_d331e12896">
Von	w4_d331e12899
der	w6_d331e12903
Kaiserl.	w8_d331e12906
Königl.	w10_d331e12909
in	w12_d331e12912
milden	w14_d331e12916
Stiftungs	w16_d331e12919
sachen	w19_d331e12923
angeordneten	w21_d331e12927
Hof=commißion	w23_d331e12930
wegen,	w25_d331e12934
wird	w28_d331e12938
hiermit	w30_d331e12942
all	w32_d331e12945
und	w34_d331e12948
jeden	w36_d331e12952
durch	w38_d331e12955
gegenwärtig	w40_d331e12958
offenes	w43_d331e12962
Edict	w45_d331e12966
kund	w47_d331e12970
und	w49_d331e12973
zu	w51_d331e12976
wissen	w53_d331e12979
gemacht,	w55_d331e12982
wel	w57_d331e12985
chergestalten	w60_d331e12990
der	w62_d331e12994
dem	w64_d331e12997
hiesigen	w66_d331e13000
grossen	w68_d331e13003
Armen=haus	w70_d331e13007
an	w73_d331e13011
der	w75_d331e13015
Alster=gessen	w77_d331e13018
eigentumlich	w79_d331e13021
angehörige	w81_d331e13025
Wein	w83_d331e13028
Bier	w86_d331e13032
und	w88_d331e13036
Brand=wein=tatz	w90_d331e13039
zu	w92_d331e13043
Gundramstorf	w94_d331e13046
bey	w96_d331e13049
einer	w99_d331e13053
angeordneten	w101_d331e13057
Licitation	w103_d331e13061
dem	w105_d331e13064
Meistbietenden	w107_d331e13067
gegen	w110_d331e13071
baarer	w112_d331e13075
Bezahlung	w114_d331e13079
verkauft	w116_d331e13082
werden	w118_d331e13085
solle.	w120_d331e13088
</p>
<p id="p8_d331e13091">
Und	w4_d331e13094
da	w6_d331e13098
nun	w8_d331e13101
zu	w10_d331e13104
solchem	w12_d331e13107
Ende	w14_d331e13111
auch	w16_d331e13114
der	w18_d331e13117
23ste	w20_d331e13120
dieses	w23_d331e13124
lauffenden	w25_d331e13129
Monats	w27_d331e13132
Martii	w29_d331e13135
Vormittag	w31_d331e13138
um	w34_d331e13142
9.	w36_d331e13147
Uhr	w38_d331e13150
zur	w40_d331e13153
Licitations=tag=satzung	w42_d331e13156
in	w44_d331e13159
der	w47_d331e13164
Canzley	w49_d331e13168
oder	w51_d331e13171
Verwalterey	w53_d331e13174
des	w55_d331e13177
besagten	w57_d331e13180
grossen	w59_d331e13184
Armen=hauses	w62_d331e13188
von	w64_d331e13192
denen	w66_d331e13195
hiesigen	w68_d331e13198
P.	w70_d331e13202
P.	w72_d331e13205
Trinitarien	w74_d331e13208
gengen	w77_d331e13212
über	w79_d331e13216
zu	w81_d331e13220
erscheinen	w83_d331e13223
bestimmet	w85_d331e13226
worden;	w87_d331e13229
als	w89_d331e13232
wer	w91_d331e13235
den	w94_d331e13240
alle	w96_d331e13244
diejenige,	w98_d331e13247
welche	w100_d331e13250
oben	w102_d331e13253
gedachten	w104_d331e13257
Tatz	w106_d331e13260
zu	w109_d331e13264
Gundramstorf	w111_d331e13268
an	w113_d331e13271
sich	w115_d331e13275
zu	w117_d331e13278
bringen	w119_d331e13281
gedenken,	w121_d331e13284
an	w124_d331e13288
obbemeldeten	w126_d331e13293
Tag,	w128_d331e13296
Stund	w130_d331e13299
und	w132_d331e13302
Ort	w134_d331e13305
entwe	w136_d331e13308
der	w139_d331e13313
persönlich,	w141_d331e13317
oder	w143_d331e13320
durch	w145_d331e13323
genugsam	w147_d331e13326
Bevollmäch	w149_d331e13330
tigte	w152_d331e13334
ad	w154_d331e13338
licitandum,	w156_d331e13341
tractandum	w158_d331e13344
&	w160_d331e13348
concluden-	w162_d331e13351
dum	w165_d331e13355
daselbst	w167_d331e13359
zu	w169_d331e13362
erscheinen,	w171_d331e13366
und	w173_d331e13369
bey	w175_d331e13372
dasigem	w177_d331e13375
Ver	w179_d331e13378
walter	w182_d331e13383
sich	w184_d331e13387
anzumelden	w186_d331e13390
haben.	w188_d331e13393
So	w191_d331e13397
geschehen	w193_d331e13402
Wien	w196_d331e13406
in	w198_d331e13410
dem	w200_d331e13413
grossen	w202_d331e13416
Armen=haus	w204_d331e13420
den	w206_d331e13423
23.	w208_d331e13426
Februarii	w211_d331e13430
1759.	w213_d331e13434
</p>
<p id="p10_d331e13437">
Auf	w4_d331e13440
nächstkünftigen	w6_d331e13444
Dienstag	w8_d331e13447
als	w10_d331e13450
den	w12_d331e13453
20.	w14_d331e13457
Martii	w16_d331e13460
werden	w19_d331e13464
in	w21_d331e13468
dem	w23_d331e13471
Sutnerischen	w25_d331e13475
Haus	w27_d331e13478
in	w29_d331e13481
der	w31_d331e13484
Sin	w33_d331e13487
ger=strassen,	w36_d331e13492
rechter	w38_d331e13496
Hand	w40_d331e13499
über	w42_d331e13502
die	w44_d331e13505
Schneckenstie	w46_d331e13508
gen	w49_d331e13513
in	w51_d331e13517
ersten	w53_d331e13520
Stock,	w55_d331e13523
verschiedene	w57_d331e13526
Effecten,	w59_d331e13530
als	w61_d331e13533
reiche	w64_d331e13537
Hof	w66_d331e13541
und	w68_d331e13544
andere	w70_d331e13548
Kleider,	w72_d331e13551
Spitz,	w74_d331e13554
reiche	w76_d331e13557
und	w78_d331e13560
andere	w81_d331e13565
Band=garnituren,	w83_d331e13569
Bouquets,	w85_d331e13572
reiche	w87_d331e13575
und	w89_d331e13578
andere	w92_d331e13583
Mänterl,	w94_d331e13587
ein	w96_d331e13590
gestickter	w98_d331e13593
Nacht=zeug,	w100_d331e13596
Sessel	w102_d331e13599
rc.,	w105_d331e13604
Vormittag	w107_d331e13608
von	w109_d331e13611
9.	w111_d331e13614
bis	w113_d331e13617
12.	w115_d331e13621
und	w117_d331e13624
Nachmit	w119_d331e13627
tag	w122_d331e13631
von	w124_d331e13635
3.	w126_d331e13639
bis	w128_d331e13642
6.	w130_d331e13645
Uhr,	w132_d331e13648
dem	w134_d331e13651
Meistbietenden	w136_d331e13654
ver	w138_d331e13658
kauffet	w141_d331e13662
werden.	w143_d331e13666
</p>
<list id="l14_d331e13672">
D	w5_d331e13675
S	w7_d331e13679
</list>
<p id="p16_d331e13683">
Wir	w4_d331e13686
Endes	w6_d331e13690
gefertigte	w8_d331e13693
von	w10_d331e13696
einem	w12_d331e13699
Löbl.	w14_d331e13703
L.	w16_d331e13706
M.	w18_d331e13709
Gericht	w21_d331e13713
verordnete	w23_d331e13717
Commissarien,	w25_d331e13721
fügen	w27_d331e13724
N.	w29_d331e13727
allen	w31_d331e13730
und	w34_d331e13734
jeden	w36_d331e13739
so	w38_d331e13742
an	w40_d331e13745
Weyl.	w42_d331e13748
des	w44_d331e13751
Hoch	w46_d331e13754
und	w48_d331e13758
Wohlgeb.	w50_d331e13761
Herrn	w53_d331e13765
Carl	w55_d331e13769
Anton	w57_d331e13772
des	w59_d331e13776
Heil.	w61_d331e13779
Röm.	w63_d331e13782
Reichs	w65_d331e13785
Gra	w67_d331e13788
fen	w70_d331e13793
von	w72_d331e13797
Harrach	w74_d331e13800
zu	w76_d331e13803
Rohrau,	w78_d331e13806
Herrn	w80_d331e13809
deren	w82_d331e13813
Herr	w84_d331e13816
schaften	w87_d331e13820
Staaf,	w89_d331e13824
Assach,	w91_d331e13827
und	w93_d331e13831
Bruck	w95_d331e13834
an	w97_d331e13837
der	w99_d331e13840
Leytha,	w101_d331e13843
Obristen	w104_d331e13848
Erb=land=stall=meisters	w106_d331e13852
in	w108_d331e13855
Oesterreich	w110_d331e13858
ob	w112_d331e13861
und	w115_d331e13866
unter	w117_d331e13870
der	w119_d331e13873
Ennß,	w121_d331e13876
Jhro	w123_d331e13879
Kaiserl.	w125_d331e13882
Königl.	w127_d331e13886
Maj.	w129_d331e13889
würklichen	w132_d331e13893
Geheimen	w134_d331e13897
Rahts,	w136_d331e13900
Cämmerern,	w138_d331e13904
Obri	w140_d331e13907
sten	w143_d331e13911
Hof	w145_d331e13915
und	w147_d331e13918
Land=jäger=meisters,	w149_d331e13922
wie	w151_d331e13925
auch	w153_d331e13928
Obri	w155_d331e13931
sten	w158_d331e13935
Hof=falken=meisters	w160_d331e13940
und	w162_d331e13943
Generalfeldmar	w164_d331e13946
schall=leutenants	w167_d331e13950
seel.	w169_d331e13954
Verlassenschaft	w171_d331e13958
Sprüch	w173_d331e13961
und	w176_d331e13965
Anforderungen	w178_d331e13969
haben,	w180_d331e13972
oder	w182_d331e13976
zu	w184_d331e13979
haben	w186_d331e13982
ver	w188_d331e13985
meinen,	w191_d331e13989
auch	w193_d331e13994
bey	w195_d331e13997
denen	w197_d331e14000
den	w199_d331e14003
5ten	w201_d331e14006
und	w203_d331e14009
15ten	w205_d331e14013
De	w207_d331e14016
cember	w210_d331e14020
1758.	w212_d331e14024
vorgewesten	w214_d331e14027
Convocations-tagsa	w216_d331e14031
tzungen	w219_d331e14035
sich	w221_d331e14039
angemeldet	w223_d331e14042
haben	w225_d331e14045
oder	w227_d331e14049
nicht,	w229_d331e14052
hiemit	w231_d331e14055
zu	w233_d331e14058
wissen,	w236_d331e14062
welchergestalten	w238_d331e14067
wir	w240_d331e14070
auf	w242_d331e14073
mehrmaliges	w244_d331e14076
An	w246_d331e14079
langen	w249_d331e14084
Herrn	w251_d331e14088
Doct.	w253_d331e14091
Hacker	w255_d331e14094
als	w257_d331e14097
Gerichtlichveror	w259_d331e14100
dneten	w262_d331e14105
Gräfl.	w264_d331e14109
Carl	w266_d331e14112
Harrachischen	w268_d331e14115
Curatoris	w270_d331e14118
ad	w272_d331e14122
lites	w275_d331e14126
eine	w277_d331e14130
all=endliche	w279_d331e14133
Convocations-	w281_d331e14136
und	w283_d331e14140
Liqui-	w285_d331e14143
dations-tagsatzung	w288_d331e14147
sub	w290_d331e14151
Termino	w292_d331e14154
præclusi	w294_d331e14158
auf	w296_d331e14161
den	w298_d331e14164
22ten	w301_d331e14168
Martii	w303_d331e14172
lauffenden	w305_d331e14176
1759sten	w307_d331e14179
Jahrs	w309_d331e14182
Nach	w311_d331e14185
mittag	w314_d331e14189
um	w316_d331e14194
3.	w318_d331e14197
Uhr	w320_d331e14200
præcise	w322_d331e14203
in	w324_d331e14206
mein	w326_d331e14209
Grafens	w328_d331e14213
von	w330_d331e14216
Cavriani	w333_d331e14220
in	w335_d331e14224
dem	w337_d331e14227
Gräfl.	w339_d331e14231
Auerspergischen	w341_d331e14234
Haus	w343_d331e14237
im	w345_d331e14240
ersten	w348_d331e14244
Stock	w350_d331e14249
in	w352_d331e14252
der	w354_d331e14255
kleinen	w356_d331e14258
Dorothee=gassen	w358_d331e14261
ha	w360_d331e14264
benden	w363_d331e14269
Wohnzimmern	w365_d331e14273
zu	w367_d331e14276
erscheinen,	w369_d331e14279
hiebey	w371_d331e14282
