<doc id="edoc_wd_1762-11-03" attrs="word" year="1762" month="11" day="03" corpus="1">
<head id="hl1">
Constantinopel	w40
Taglöhn	w3687
<g/>
,
s	w3689
<g/>
.
K	w3691
<g/>
.
Anna	w3693
Ma=ria	w3694
<g/>
=
<g/>
,
beym	w3697
Rädel	w3698
im	w3699
Liechtenth	w3700
<g/>
.
<g/>
,
alt	w3703
4	w3704
<g/>
.
J	w3706
<g/>
.
Dem	w3708
Jos	w3709
<g/>
.
Pfeiffer	w3711
<g/>
,
Taglöhn	w3713
<g/>
.
<g/>
,
s	w3716
<g/>
.
K	w3718
<g/>
.
Joh	w3720
<g/>
.
Mich	w3722
<g/>
.
im	w3724
Montecucolis	w3725
<g/>
.
Gart	w3727
<g/>
.
in	w3729
der	w3730
Leopoldst	w3731
<g/>
.
<g/>
,
2	w3734
<g/>
.
J	w3736
<g/>
.
Summa	w3738
8	w3739
<g/>
.
Person	w3741
<g/>
.
<g/>
,
darunter	w3744
5	w3745
<g/>
.
Kind	w3747
<g/>
,
</list>
<head id="hl11">
Den	w3749
30	w3750
<g/>
.
Gctob	w3752
<g/>
.
</head>
<head id="hl12">
Jn	w3754
der	w3755
Stadt	w3756
<g/>
.
</head>
<list id="">
Hr	w3758
<g/>
.
Leop	w3760
<g/>
.
Glocken	w3762
<g/>
,
N	w3764
<g/>
.
Oe	w3766
<g/>
.
Landschafts	w3768
buchhalt	w3769
<g/>
.
rait	w3771
<g/>
=
offic	w3773
<g/>
,
im	w3775
Kriegleris	w3776
<g/>
.
H	w3778
<g/>
.
am	w3780
Hof	w3781
<g/>
,
62	w3783
<g/>
.
J	w3785
<g/>
.
Hr	w3787
<g/>
.
Georg	w3789
Moratelli	w3790
<g/>
,
gem	w3792
<g/>
.
Stadtmaut	w3794
einnehm	w3795
<g/>
.
am	w3797
neuen	w3798
Thor	w3799
<g/>
,
alda	w3801
im	w3802
Maut	w3803
<g/>
=
H	w3805
<g/>
.
<g/>
,
alt	w3808
67	w3809
<g/>
.
J	w3811
<g/>
.
Dem	w3813
Adam	w3814
Reichel	w3815
<g/>
,
Ordinanz	w3817
<g/>
=
trag	w3819
<g/>
,
vom	w3821
Stadt=comimendant	w3822
<g/>
=
<g/>
,
s	w3825
<g/>
.
K	w3827
<g/>
.
Jos	w3829
<g/>
.
<g/>
,
im	w3832
alt	w3833
<g/>
.
Pulser	w3835
<g/>
=
thurn	w3837
auf	w3838
der	w3839
Schotten	w3840
bastey	w3841
<g/>
,
alt	w3843
5	w3844
<g/>
.
J	w3846
<g/>
.
</list>
<head id="hl13">
Vor	w3848
der	w3849
Stadt	w3850
<g/>
.
</head>
<list id="">
Ant	w3852
<g/>
.
Kurzweil	w3854
<g/>
,
Burgerl	w3856
<g/>
.
Groß	w3858
<g/>
=
uhrmach	w3860
<g/>
,
bey	w3862
dem	w3863
gold	w3864
<g/>
.
Pelican	w3866
bey	w3867
St	w3868
<g/>
.
Ulrich	w3870
<g/>
,
alt	w3872
61	w3873
<g/>
.
J	w3875
<g/>
.
Joh	w3877
<g/>
.
Hufschmid	w3879
<g/>
,
gew	w3881
<g/>
.
K	w3883
<g/>
.
K	w3885
<g/>
.
Proviant	w3887
<g/>
.
wagen	w3889
meist	w3890
<g/>
.
beym	w3892
gr	w3893
<g/>
.
Eleph	w3895
<g/>
.
in	w3897
der	w3898
Leopoldst	w3899
<g/>
,
alt	w3901
76	w3902
<g/>
.
J	w3904
<g/>
.
Dem	w3906
Thom	w3907
<g/>
.
Fetscher	w3909
<g/>
,
Riemern	w3911
<g/>
,
s	w3913
<g/>
.
W	w3915
<g/>
.
Cathar	w3917
<g/>
.
<g/>
,
beym	w3920
wild	w3921
<g/>
.
Mann	w3923
auf	w3924
der	w3925
Laimgr	w3926
<g/>
.
<g/>
,
alt	w3929
40	w3930
<g/>
.
J	w3932
<g/>
.
Anna	w3934
Maria	w3935
Haselmillnerin	w3936
<g/>
,
ledig	w3938
<g/>
,
im	w3940
Wipflis	w3941
<g/>
.
H	w3943
<g/>
.
auf	w3945
der	w3946
Landstr	w3947
<g/>
.
<g/>
,
alt	w3950
24	w3951
<g/>
.
J	w3953
<g/>
.
Mart	w3955
<g/>
.
Raht	w3957
<g/>
,
Fuhr	w3959
kn	w3960
<g/>
.
<g/>
,
beyn	w3963
2	w3964
<g/>
.
weis	w3966
<g/>
.
Taub	w3968
<g/>
.
auf	w3970
der	w3971
neuen	w3972
Wied	w3973
<g/>
.
<g/>
,
alt	w3976
48	w3977
<g/>
.
J	w3979
<g/>
.
Phil	w3981
<g/>
.
Reumayr	w3983
<g/>
,
Kutsch	w3985
<g/>
.
<g/>
,
beym	w3988
schön	w3989
<g/>
.
Gart	w3991
<g/>
.
auf	w3993
der	w3994
Wied	w3995
<g/>
.
an	w3997
der	w3998
Wien	w3999
<g/>
,
alt	w4001
46	w4002
<g/>
.
J	w4004
<g/>
.
Dem	w4006
Math	w4007
<g/>
.
Parzer	w4009
<g/>
,
Taglöhn	w4011
<g/>
.
<g/>
,
s	w4014
<g/>
.
K	w4016
<g/>
.
Magdal	w4018
<g/>
.
<g/>
,
im	w4021
Mahleris	w4022
<g/>
.
H	w4024
<g/>
.
am	w4026
Hundsth	w4027
<g/>
.
<g/>
,
alt	w4030
4	w4031
<g/>
.
J	w4033
<g/>
.
Dem	w4035
Jacob	w4036
Schütz	w4037
<g/>
,
Taglöhn	w4039
<g/>
.
<g/>
,
s	w4042
<g/>
.
K	w4044
<g/>
.
Theres	w4046
<g/>
.
<g/>
,
beym	w4049
rot	w4050
<g/>
.
Kreutz	w4052
auf	w4053
der	w4054
Wied	w4055
<g/>
.
<g/>
,
alt	w4058
2	w4059
<g/>
.
J	w4061
<g/>
.
Summa	w4063
11	w4064
<g/>
.
Pers	w4066
<g/>
.
<g/>
,
darunter	w4069
3	w4070
<g/>
.
Kind	w4072
<g/>
.
</list>
<head id="hl14">
Dell	w4074
31	w4075
<g/>
.
Oetob	w4077
<g/>
.
Jn	w4079
der	w4080
Stadt	w4081
<g/>
.
</head>
<list id="">
Der	w4083
Wol	w4084
<g/>
=
edel	w4086
<g/>
=
geb	w4088
<g/>
.
Fr	w4090
<g/>
.
Maria	w4092
Franrisca	w4093
Edle	w4094
<g/>
,
von	w4096
Ghelen	w4097
<g/>
,
Wittwe	w4099
<g/>
,
dero	w4101
Frle	w4102
<g/>
.
T	w4104
<g/>
.
Francisea	w4106
<g/>
,
im	w4108
neuen	w4109
Michaeler	w4110
<g/>
=
H	w4112
<g/>
.
am	w4114
Kohlm	w4115
<g/>
.
<g/>
,
alt	w4118
20	w4119
<g/>
.
J	w4121
<g/>
.
Hr	w4123
<g/>
.
Leop	w4125
<g/>
.
Schilling	w4127
<g/>
,
K	w4129
<g/>
.
K	w4131
<g/>
.
Arcier	w4133
<g/>
,
im	w4135
alt	w4136
<g/>
.
Wagne=ris	w4138
<g/>
=
<g/>
.
H	w4141
<g/>
.
auf	w4143
der	w4144
Fischer	w4145
<g/>
=
stieg	w4147
<g/>
.
<g/>
,
alt	w4150
51	w4151
<g/>
.
J	w4153
<g/>
.
Dem	w4155
Franz	w4156
Liuzberger	w4157
<g/>
,
Burgerl	w4159
<g/>
.
Goldschm	w4161
<g/>
.
<g/>
,
s	w4164
<g/>
.
K	w4166
<g/>
.
Susan	w4168
<g/>
.
<g/>
,
beym	w4171
gold	w4172
<g/>
.
A	w4174
<g/>
.
B	w4176
<g/>
.
C	w4178
<g/>
.
in	w4180
der	w4181
Himmel=pfort	w4182
<g/>
=
<g/>
=
gas	w4185
<g/>
.
<g/>
,
alt	w4188
1	w4189
<g/>
.
J	w4191
<g/>
.
</list>
<head id="hl15">
Vor	w4193
der	w4194
Stadt	w4195
<g/>
.
</head>
<list id="">
Rosal	w4197
<g/>
.
Schäfferin	w4199
<g/>
,
Burgerl	w4201
<g/>
.
Wittwe	w4203
<g/>
,
in	w4205
ihrem	w4206
H	w4207
<g/>
.
auf	w4209
der	w4210
Wendelst	w4211
<g/>
.
<g/>
,
alt	w4214
72	w4215
<g/>
.
J	w4217
<g/>
.
J	w4219
<g/>
.
Fraucisca	w4221
Huberin	w4222
<g/>
,
Wittwe	w4224
<g/>
,
beym	w4226
gold	w4227
<g/>
.
Adl	w4229
<g/>
.
am	w4231
Neubau	w4232
<g/>
,
alt	w4234
59	w4235
<g/>
.
J	w4237
<g/>
.
Dem	w4239
Franz	w4240
Pet	w4241
<g/>
.
Zeiner	w4243
<g/>
,
Burgerl	w4245
<g/>
.
Lang	w4247
<g/>
=
messerschm	w4249
<g/>
.
s	w4251
<g/>
.
K	w4253
<g/>
.
Franz	w4255
<g/>
,
beym	w4257
gr	w4258
<g/>
.
Jäg	w4260
<g/>
.
in	w4262
der	w4263
Leopoldst	w4264
<g/>
.
<g/>
,
alt	w4267
6	w4268
<g/>
.
v	w4270
<g/>
.
J	w4272
<g/>
.
Casp	w4274
<g/>
.
Welzl	w4276
<g/>
,
Herrschaftl	w4278
<g/>
.
Vorreit	w4280
<g/>
.
<g/>
,
im	w4283
Arcieris	w4284
<g/>
.
H	w4286
<g/>
.
in	w4288
der	w4289
Währinger	w4290
<g/>
=
gas	w4292
<g/>
.
<g/>
,
alt	w4295
26	w4296
<g/>
.
J	w4298
<g/>
.
Summa	w4300
7	w4301
<g/>
.
Pers	w4303
<g/>
.
<g/>
,
darunter	w4306
2	w4307
<g/>
.
Kind	w4309
<g/>
.
</list>
<p id="p42">
Den	w4311
4	w4312
<g/>
.
und	w4314
8	w4315
Novemb	w4316
<g/>
.
und	w4318
folgende	w4319
Täg	w4320
wird	w4321
in	w4322
der	w4323
kleinen	w4324
Himmelport	w4325
<g/>
=
gassen	w4327
in	w4328
dem	w4329
Kayßerischen	w4330
Haus	w4331
im	w4332
ersten	w4333
Stock	w4334
etliche	w4335
zuruck	w4336
gebliebene	w4337
Antheil	w4338
Tokayer	w4339
<g/>
=
wein	w4341
und	w4342
Edenburger	w4343
Ausbruch	w4344
<g/>
,
wie	w4346
auch	w4347
Bouteillen	w4348
<g/>
=
weis	w4350
<g/>
,
Vormittag	w4352
von	w4353
9	w4354
<g/>
.
bis	w4356
12	w4357
<g/>
.
Nachmittag	w4359
aber	w4360
von	w4361
3	w4362
<g/>
.
bis	w4364
6	w4365
<g/>
.
Uhr	w4367
verkaufet	w4368
werden	w4369
<g/>
.
</p>
<p id="p43">
Bey	w4371
Friedrich	w4372
Bernhardi	w4373
auf	w4374
dem	w4375
obern	w4376
Jesui=ter	w4377
<g/>
=
plätzl	w4379
am	w4380
Eck	w4381
<g/>
,
dem	w4383
gräfl	w4384
<g/>
.
Collaltischen	w4386
Haus	w4387
gegen	w4388
über	w4389
sind	w4390
unter	w4391
andern	w4392
nachfolgende	w4393
Bü=cher	w4394
<g/>
=
um	w4396
beygesetzten	w4397
Preis	w4398
zu	w4399
haben	w4400
<g/>
:
</p>
<p id="p44">
Lettre	w4402
de	w4403
Petersbourg	w4404
au	w4405
sujet	w4406
de	w4407
la	w4408
derniere	w4409
Revolution	w4410
<g/>
,
8vo	w4412
Francf	w4413
<g/>
.
1762	w4415
<g/>
.
9	w4417
<g/>
.
kr	w4419
<g/>
.
</p>
<p id="p45">
Dictionnaire	w4421
Apostolique	w4422
à	w4423
lusage	w4424
de	w4425
M	w4426
<g/>
.
M	w4428
<g/>
.
les	w4430
Curés	w4431
des	w4432
Villes	w4433
<g/>
&
de	w4435
la	w4436
Campagne	w4437
<g/>
&
de	w4439
tous	w4440
ceux	w4441
qui	w4442
se	w4443
destinent	w4444
à	w4445
la	w4446
Chaire	w4447
par	w4448
Mon-targon	w4449
<g/>
-
<g/>
,
XIII	w4452
<g/>
.
Tomes	w4454
<g/>
,
gr	w4456
<g/>
.
8vo	w4458
Paris	w4459
1755	w4460
<g/>
.
1758	w4462
<g/>
.
26	w4464
<g/>
.
fl	w4466
<g/>
.
</p>
<p id="p46">
L'Egopte	w4468
Ancienne	w4469
ou	w4470
Memoites	w4471
historiques	w4472
<g/>
&
critiques	w4474
sur	w4475
les	w4476
objets	w4477
les	w4478
plus	w4479
importans	w4480
de	w4481
lhistoire	w4482
du	w4483
grand	w4484
Empire	w4485
des	w4486
Egyptiens	w4487
<g/>
,
par	w4489
d'Orienv	w4490
<g/>
,
II	w4492
<g/>
.
Tomes	w4494
<g/>
,
gr	w4496
<g/>
.
12mo	w4498
Paris	w4499
1762	w4500
<g/>
.
2	w4502
<g/>
.
fl	w4504
<g/>
.
24	w4506
<g/>
.
kr	w4508
<g/>
.
</p>
<p id="p47">
Opuscules	w4510
chymiques	w4511
de	w4512
Mr	w4513
<g/>
.
Marggraf	w4515
<g/>
,
II	w4517
<g/>
.
To-mes	w4519
<g/>
-
<g/>
,
gr	w4522
<g/>
.
12mo	w4524
Paris	w4525
1761	w4526
<g/>
.
2	w4528
<g/>
.
fl	w4530
<g/>
.
24	w4532
<g/>
.
kr	w4534
<g/>
.
</p>
<p id="p48">
Oraison	w4536
funebre	w4537
de	w4538
Belle	w4539
<g/>
-
isle	w4541
Marechal	w4542
de	w4543
Frange	w4544
<g/>
,
4to	w4546
Paris	w4547
1761	w4548
<g/>
.
1	w4550
<g/>
.
fl	w4552
<g/>
.
</p>
<p id="p49">
Memoires	w4554
de	w4555
Misa	w4556
Sidney	w4557
Bidulph	w4558
<g/>
,
traduits	w4560
de	w4561
l'Anglois	w4562
<g/>
,
III	w4564
<g/>
.
Tomes	w4566
<g/>
,
8vo	w4568
1762	w4569
<g/>
.
3	w4571
<g/>
.
fl	w4573
<g/>
.
30	w4575
kct	w4576
<g/>
.
</p>
<p id="p50">
Le	w4578
Gentilhomme	w4579
cultivareur	w4580
ou	w4581
Corps	w4582
com-plet	w4583
<g/>
-
d'Agriculture	w4585
traduit	w4586
de	w4587
l'Anglois	w4588
de	w4589
Mr	w4590
<g/>
.
Hale	w4592
&c	w4593
<g/>
.
III	w4595
<g/>
.
Vol	w4597
<g/>
.
avec	w4599
fig	w4600
<g/>
.
gr	w4602
<g/>
.
4to	w4604
Paris	w4605
1762	w4606
<g/>
.
12	w4608
<g/>
.
fl	w4610
<g/>
.
</p>
<p id="p51">
Abrege	w4612
chronologique	w4613
de	w4614
l'histoire	w4615
de	w4616
Flandte	w4617
<g/>
,
par	w4619
Pan	w4620
Roncke	w4621
<g/>
,
8vo	w4623
1761	w4624
<g/>
.
2	w4626
<g/>
.
fl	w4628
<g/>
.
</p>
<p id="p52">
Zumalen	w4632
die	w4633
auf	w4634
den	w4635
9ten	w4636
dies	w4637
kund	w4638
ge	w4639
machte	w4640
Ziehung	w4641
der	w4642
errichteten	w4643
Brüßler	w4644
<g/>
=
Ma=liner	w4646
<g/>
=
<g/>
=
und	w4649
Antwerper	w4650
<g/>
-
spitzen	w4652
<g/>
=
lotterie	w4654
<g/>
,
zwar	w4656
fest	w4657
gesetzet	w4658
<g/>
,
jedoch	w4660
wegen	w4661
nicht	w4662
genugsam	w4663
hindann	w4664
gebrachten	w4665
Los	w4666
<g/>
=
jettuln	w4668
abgehalten	w4669
worden	w4670
als	w4671
wird	w4672
männiglich	w4673
anmit	w4674
erinneret	w4675
<g/>
,
daß	w4677
diese	w4678
Ziehung	w4679
mittels	w4680
Bewilligung	w4681
einer	w4682
Hochlöbl	w4683
<g/>
.
N	w4685
<g/>
.
Oe	w4687
<g/>
.
Landesfürstl	w4689
<g/>
.
Regierung	w4691
auf	w4692
den	w4693
9	w4694
<g/>
.
künftigen	w4696
Monats	w4697
Novemb	w4698
<g/>
.
dies	w4700
lauffenden	w4701
Jahrs	w4702
fruh	w4703
um	w4704
8	w4705
<g/>
.
Uhr	w4707
prolongiret	w4708
<g/>
,
und	w4710
in	w4711
der	w4712
bereits	w4713
denominirt	w4714
sogenannten	w4715
Mehl	w4716
<g/>
=
gruben	w4718
auf	w4719
die	w4720
allschon	w4721
be=kannt	w4722
<g/>
=
gemachte	w4724
Art	w4725
und	w4726
Weis	w4727
ganz	w4728
zuverläß=lich	w4729
<g/>
=
gezogen	w4731
werden	w4732
wird	w4733
<g/>
.
</p>
<p id="p53">
Bey	w4735
Hrn	w4736
<g/>
.
Melchior	w4738
Spöttl	w4739
<g/>
,
Burgerl	w4741
<g/>
.
Handels=mann	w4743
<g/>
=
<g/>
,
in	w4746
seinem	w4747
Gewürz	w4748
<g/>
=
gewölb	w4750
auf	w4751
dem	w4752
Kohl=markt	w4753
<g/>
=
bey	w4755
dem	w4756
grünen	w4757
Fässel	w4758
ist	w4759
abermalen	w4760
der	w4761
aller=beste	w4762
<g/>
=
Hungarische	w4764
Oedenburger	w4765
ausbruch	w4766
<g/>
=
wermut	w4768
zu	w4769
haben	w4770
<g/>
,
die	w4772
Maaß	w4773
pr	w4774
<g/>
.
36	w4776
kr	w4777
<g/>
.
</p>
<p id="p54">
Bey	w4779
Johann	w4780
Micharl	w4781
Pöckh	w4782
<g/>
,
Burgerl	w4784
<g/>
.
Han=dels	w4786
<g/>
=
<g/>
=
mann	w4789
in	w4790
seinem	w4791
Spererey	w4792
<g/>
=
handlungs	w4794
<g/>
=
ge	w4796
wölb	w4797
bey	w4798
dem	w4799
weissen	w4800
Rößl	w4801
am	w4802
hohen	w4803
Markt	w4804
ist	w4805
mehrmalen	w4806
ein	w4807
exira	w4808
ant	w4809
und	w4810
gerechter	w4811
Hunga=rischer	w4812
<g/>
=
Ausbruch	w4814
<g/>
=
wermut	w4816
angekommen	w4817
<g/>
,
und	w4819
wird	w4820
die	w4821
Maaß	w4822
für	w4823
36	w4824
<g/>
.
kr	w4826
<g/>
.
verkaufet	w4828
<g/>
.
</p>
<p id="p55">
Von	w4830
der	w4831
Rönz	w4832
Kais	w4833
<g/>
.
Kön	w4835
<g/>
.
N	w4837
<g/>
.
Oe	w4839
<g/>
.
Regierung	w4841
wegen	w4842
wird	w4843
mit	w4844
gegenwärtig	w4845
offenem	w4846
Ediet	w4847
dem	w4848
Ferdinaud	w4849
Schild	w4850
und	w4851
Rosina	w4852
Schildin	w4853
<g/>
,
als	w4855
An=na	w4856
<g/>
=
Maria	w4858
Himmerlischen	w4859
ab	w4860
intestato	w4861
succedi-renden	w4862
<g/>
-
Mit	w4864
<g/>
=
erben	w4866
<g/>
,
wie	w4868
auch	w4869
denen	w4870
übrigen	w4871
An=na	w4872
<g/>
=
Maria	w4874
Himmerlischen	w4875
ab	w4876
intestato	w4877
succedi-renden	w4878
<g/>
-
Miterben	w4880
<g/>
,
benanntlichen	w4882
Johann	w4883
Michaul	w4884
Himmerl	w4885
<g/>
,
Eva	w4887
Catharina	w4888
Esterkin	w4889
<g/>
,
geb	w4891
<g/>
.
Him=merlin	w4893
<g/>
=
<g/>
,
dann	w4896
Maria	w4897
Rosalia	w4898
Himmerlin	w4899
<g/>
,
allen=falls	w4901
<g/>
=
derenselben	w4903
Erben	w4904
<g/>
,
Ceßionarien	w4906
<g/>
,
oder	w4908
sonst	w4909
Theilnehmenden	w4910
hiemit	w4911
kund	w4912
und	w4913
zu	w4914
wissen	w4915
ge=machet	w4916
<g/>
=
<g/>
:
Es	w4919
habe	w4920
hier	w4921
Orts	w4922
Florian	w4923
Perdacher	w4924
<g/>
,
J	w4926
<g/>
.
U	w4928
<g/>
.
D	w4930
<g/>
.
als	w4932
Kais	w4933
<g/>
.
Kön	w4935
<g/>
.
N	w4937
<g/>
.
Oe	w4939
<g/>
.
Fisci	w4941
adjunctus	w4942
<g/>
,
und	w4944
Vertretter	w4945
des	w4946
allerhöchsten	w4947
Kaiserl	w4948
<g/>
.
Königl	w4950
<g/>
.
Aerarii	w4952
wider	w4953
gleich	w4954
erwehnt	w4955
<g/>
=
sammentliche	w4957
Anna	w4958
Maria	w4959
Himmerlische	w4960
ab	w4961
intestato	w4962
succedirende	w4963
Erben	w4964
geziemend	w4965
vorstellig	w4966
gemachet	w4967
<g/>
;
Rachdeme	w4969
über	w4970
weil	w4971
<g/>
.
Anna	w4973
Maria	w4974
Himmerlin	w4975
ruckgebliebe-ne	w4976
<g/>
-
Verlassenschaft	w4978
unterm	w4979
3	w4980
<g/>
.
Junii	w4982
1755	w4983
<g/>
.
der	w4985
Ab=handlungs	w4986
<g/>
=
<g/>
=
relations	w4989
ausschlag	w4990
unter	w4991
anderen	w4992
da=hen	w4993
<g/>
=
geschöpfet	w4995
worden	w4996
<g/>
,
daß	w4998
der	w4999
auf	w5000
die	w5001
Anna	w5002
Ma=rig	w5003
<g/>
=
Himmerlische	w5005
Mit	w5006
erben	w5007
kommende	w5008
Erbs	w5009
<g/>
=
an=theil	w5011
<g/>
=
pr	w5013
<g/>
.
257	w5015
<g/>
.
fl	w5017
<g/>
.
9	w5019
<g/>
.
ein	w5021
halber	w5022
kr	w5023
<g/>
.
zu	w5025
Regierungs	w5026
Handen	w5027
erieget	w5028
werden	w5029
solle	w5030
<g/>
,
so	w5032
seye	w5033
auch	w5034
gleich	w5035
gedachter	w5036
Erlag	w5037
pr	w5038
<g/>
.
257	w5040
<g/>
.
fl	w5042
<g/>
.
9	w5044
ein	w5045
halben	w5046
kr	w5047
unterm	w5048
20	w5049
Augufli	w5050
1755	w5051
<g/>
.
von	w5053
denen	w5054
anwesend	w5055
Himmer=lischen	w5056
<g/>
=
Mit	w5058
<g/>
=
erben	w5060
bewerkstelliget	w5061
<g/>
,
sohin	w5063
dieses	w5064
Quantum	w5065
als	w5066
deren	w5067
Schildischen	w5068
Pupillen	w5069
gericht=lich	w5070
<g/>
=
verordneren	w5072
Curatoris	w5073
laut	w5074
fürzuhalten	w5075
von	w5076
21	w5077
<g/>
.
und	w5079
respective	w5080
27	w5081
<g/>
.
May	w5083
1757	w5084
in	w5085
Gemeiner	w5086
Stadt	w5087
Wien	w5088
Ober	w5089
<g/>
=
cammer	w5091
<g/>
=
amt	w5093
ad	w5094
fructificandum	w5095
angeleget	w5096
<g/>
,
und	w5098
die	w5099
diesfällige	w5100
auf	w5101
den	w5102
Oelßner	w5103
laulautende	w5104
<g/>
=
</p>
<p id="p56">
tende	w5106
Ober	w5107
cammer	w5108
<g/>
=
amts	w5110
<g/>
=
obligation	w5112
pr	w5113
<g/>
.
250	w5115
<g/>
.
fl	w5117
<g/>
.
dann	w5119
das	w5120
übrig	w5121
gebliebene	w5122
baare	w5123
Geld	w5124
pr	w5125
<g/>
.
7	w5127
<g/>
.
fl	w5129
<g/>
.
9	w5131
ein	w5132
halben	w5133
kr	w5134
<g/>
.
zu	w5136
Regierungs	w5137
Handen	w5138
depofiti=ret	w5139
<g/>
=
<g/>
,
hierüber	w5142
aber	w5143
unterm	w5144
17	w5145
Jannarii	w5146
1756	w5147
<g/>
.
per	w5149
Edictum	w5150
ad	w5151
valvas	w5152
<g/>
,
und	w5154
durch	w5155
die	w5156
offene	w5157
Zeitung	w5158
kund	w5159
gemacht	w5160
worben	w5161
<g/>
,
daß	w5163
der	w5164
Ferdinand	w5165
Schild	w5166
und	w5167
die	w5168
Rosina	w5169
Schildin	w5170
<g/>
,
oder	w5172
derenselben	w5173
ruckge=bliebene	w5174
<g/>
=
Erben	w5176
sich	w5177
innerhalb	w5178
1	w5179
<g/>
.
Jahr	w5181
<g/>
,
6	w5183
<g/>
.
Wochen	w5185
und	w5186
3	w5187
<g/>
.
Tägen	w5189
alsogewiß	w5190
zu	w5191
dem	w5192
erwehnten	w5193
Erbs=antheil	w5194
<g/>
=
legitimiren	w5196
<g/>
,
wie	w5198
im	w5199
widrigen	w5200
nach	w5201
Ver=streichung	w5202
<g/>
=
dieses	w5204
Termins	w5205
vorbesagt	w5206
<g/>
=
depositirtes	w5208
Quantum	w5209
denen	w5210
übrigen	w5211
Anna	w5212
Maria	w5213
Himmer=lischen	w5214
<g/>
=
ab	w5216
intestato	w5217
succedirenden	w5218
und	w5219
Erbs	w5220
<g/>
=
erklär=ten	w5222
<g/>
=
Erben	w5224
auf	w5225
Anlangen	w5226
ohne	w5227
Anstand	w5228
verabfolget	w5229
werden	w5230
solle	w5231
<g/>
;
Gleichwie	w5233
nun	w5234
aber	w5235
zu	w5236
sothanen	w5237
Verlassenschafts	w5238
<g/>
=
geldern	w5240
sich	w5241
nach	w5242
so	w5243
langer	w5244
Zeit	w5245
weder	w5246
ein	w5247
noch	w5248
der	w5249
andere	w5250
Theil	w5251
bishero	w5252
gemeldet	w5253
habe	w5254
<g/>
,
folgsam	w5256
ob	w5257
<g/>
=
erwehnt	w5259
<g/>
=
depositirtes	w5261
Quanzum	w5262
<g/>
,
als	w5264
Erb	w5265
<g/>
=
los	w5267
anzusehen	w5268
<g/>
,
und	w5270
dem	w5271
Allerhöchst	w5272
<g/>
=
Kai=serl	w5274
<g/>
=
<g/>
.
Königl	w5277
<g/>
.
Ærario	w5279
anheim	w5280
gefallen	w5281
wäre	w5282
<g/>
;
Als	w5284
wäre	w5285
es	w5286
erforderlich	w5287
<g/>
,
daß	w5289
ihme	w5290
solches	w5291
Verlassen=schafts	w5292
<g/>
=
quantum	w5294
summi	w5295
Ærarii	w5296
Nomine	w5297
ex	w5298
De-positis	w5299
<g/>
-
ausgefolget	w5301
<g/>
,
und	w5303
zu	w5304
dem	w5305
Ende	w5306
das	w5307
gewön=liche	w5308
<g/>
=
Ediet	w5310
auf	w5311
1	w5312
<g/>
.
Jahr	w5314
<g/>
,
6	w5316
<g/>
.
Wochen	w5318
und	w5319
3	w5320
<g/>
.
Täge	w5322
dahin	w5323
ausgefertiget	w5324
werde	w5325
daß	w5326
die	w5327
Eva	w5328
Rosina	w5329
Schildische	w5330
Erben	w5331
<g/>
,
Ferdinand	w5333
Schild	w5334
und	w5335
Rofina	w5336
Schildin	w5337
<g/>
,
oder	w5339
derenselben	w5340
Erben	w5341
und	w5342
respective	w5343
die	w5344
übrige	w5345
Anna	w5346
Maria	w5347
Himmerlische	w5348
ab	w5349
intesta-to	w5350
<g/>
-
suceedirende	w5352
Erben	w5353
sich	w5354
binnen	w5355
dieser	w5356
Zeit	w5357
zu	w5358
vorberührten	w5359
Erbs	w5360
antheil	w5361
alsogewiß	w5362
leaitimiren	w5363
<g/>
,
als	w5365
im	w5366
widrigen	w5367
nach	w5368
Verstreichung	w5369
dieses	w5370
Ter=mins	w5371
<g/>
=
denenselben	w5373
das	w5374
ewige	w5375
Stilischweinen	w5376
aufer=leget	w5377
<g/>
=
<g/>
,
und	w5380
obbemelt	w5381
<g/>
=
bebositirtes	w5383
Quamum	w5384
pr	w5385
<g/>
.
257	w5387
<g/>
.
fl	w5389
<g/>
.
9	w5391
<g/>
.
ein	w5393
halben	w5394
kr	w5395
<g/>
.
ihme	w5397
summi	w5398
Ærarii	w5399
No-mine	w5400
<g/>
-
gegen	w5402
Quittung	w5403
obue	w5404
weiteren	w5405
ausgefolget	w5406
werden	w5407
solle	w5408
<g/>
.
Bate	w5410
dannenbero	w5411
um	w5412
Ausfertigung	w5413
sothanen	w5414
Valval	w5415
<g/>
=
ediets	w5417
<g/>
.
Wann	w5419
nun	w5420
in	w5421
dieses	w5422
des	w5423
Supplicantens	w5424
Begehren	w5425
<g/>
,
jedoch	w5427
nur	w5428
unter	w5429
der	w5430
gleich	w5431
nachstehenden	w5432
Clauful	w5433
gewilliget	w5434
worden	w5435
ist	w5436
<g/>
=
Als	w5438
wird	w5439
ihme	w5440
Ferdirand	w5441
Schild	w5442
und	w5443
Rosina	w5444
Schildin	w5445
<g/>
,
als	w5447
Himmerlischen	w5448
Erbs	w5449
<g/>
=
interessenten	w5451
<g/>
,
dann	w5453
denen	w5454
übrigen	w5455
gleich	w5456
Eingans	w5457
<g/>
=
benannten	w5459
An=na	w5460
<g/>
=
Maria	w5462
Himmerlischen	w5463
ab	w5464
intestato	w5465
fuccediten=den	w5466
<g/>
=
Mit	w5468
erben	w5469
<g/>
,
allenfalls	w5471
derenselben	w5472
