<doc id="wr_1756-10-09" attrs="word" year="1756" month="10" day="09" corpus="2">
<head id="h2_d81e3769">
Carpenteras	w1_d81e3773
zu	w7_d81e10991
Wien	w9_d81e10994
in	w1_d81e10999
und	w3_d81e11002
vor	w5_d81e11005
der	w7_d81e11008
Stadt.	w9_d81e11011
Den	w1_d81e11016
6.	w3_d81e11019
Octob.	w5_d81e11022
Jn	w1_d81e11028
der	w3_d81e11031
Stadt.	w5_d81e11034
</head>
<list id="l4_d81e11037">
Dem	w1_d81e11041
Jos.	w3_d81e11044
Schober,	w5_d81e11047
Burgerl.	w7_d81e11050
Conduct=ansag.,	w9_d81e11053
s.	w11_d81e11056
S.	w1_d81e11061
Jos.,	w3_d81e11064
im	w5_d81e11067
Trienter=hof,	w7_d81e11070
alt	w9_d81e11073
23.	w11_d81e11076
J.	w13_d81e11080
</list>
<head id="h2_d81e11087">
Vor	w1_d81e11091
der	w3_d81e11094
Stadt.	w5_d81e11097
</head>
<head id="h2_d81e11209">
Summa	w1_d81e11213
3.	w3_d81e11216
Person.,	w5_d81e11219
darunter	w7_d81e11222
2.	w9_d81e11225
Kinder.	w11_d81e11228
Den	w1_d81e11233
7.	w3_d81e11236
October	w5_d81e11239
Jn	w1_d81e11244
der	w3_d81e11247
Stadt.	w5_d81e11250
</head>
<head id="h2_d81e11435">
Vor	w1_d81e11439
der	w3_d81e11442
Stadt.	w5_d81e11445
</head>
<head id="h2_d81e11675">
Den	w1_d81e11679
8.	w3_d81e11682
October.	w5_d81e11685
Jn	w1_d81e11690
der	w3_d81e11693
Stadt.	w5_d81e11696
</head>
<list id="l4_d81e11699">
Die	w1_d81e11703
Wol=edel=geb.	w3_d81e11706
Fr.	w5_d81e11709
Anna	w7_d81e11712
Magdal.	w9_d81e11715
v.	w11_d81e11718
Waltbach	w13_d81e11722
</list>
<head id="h2_d81e11916">
Vor	w1_d81e11920
der	w3_d81e11923
Stadt.	w5_d81e11926
</head>
<head id="h2_d81e12188">
EDICT	w1_d81e12192
</head>
<p id="p4_d81e12195">
Jch	w1_d81e12199
Johann	w3_d81e12202
Wilhelm,	w5_d81e12205
des	w7_d81e12208
Heil.	w9_d81e12211
Röm.	w11_d81e12214
Reichs	w1_d81e12219
Fürst	w3_d81e12222
Trautson,	w5_d81e12225
Graf	w7_d81e12228
zu	w9_d81e12231
Falkenstein,	w11_d81e12234
Freyherr	w1_d81e12239
zu	w3_d81e12242
Sprechen,	w5_d81e12245
und	w7_d81e12248
Schrofenstein,	w9_d81e12251
Ritter	w1_d81e12257
des	w3_d81e12260
goldenen	w5_d81e12263
Vliesses,	w7_d81e12266
der	w9_d81e12269
Römisch	w11_d81e12272
Kaiserl.	w1_d81e12277
Königl.	w3_d81e12280
Majestät	w5_d81e12283
würklich	w7_d81e12286
geheimer	w9_d81e12289
Raht,	w1_d81e12294
Obrist=hofmeister,	w3_d81e12297
und	w5_d81e12300
Landmar	w7_d81e12303
schall	w1_d81e12308
in	w3_d81e12311
Oesterreich	w5_d81e12314
unter	w7_d81e12317
der	w9_d81e12320
Ennß:	w11_d81e12323
Ent	w13_d81e12327
biete	w1_d81e12333
N.	w3_d81e12336
allen	w5_d81e12339
und	w7_d81e12342
jeden,	w9_d81e12345
was	w11_d81e12348
Standes	w13_d81e12352
und	w1_d81e12357
Würden	w3_d81e12360
die	w5_d81e12363
seynd,	w7_d81e12366
der	w9_d81e12369
Gebühr	w11_d81e12372
nach,	w13_d81e12376
meinen	w1_d81e12381
respective	w3_d81e12384
Dienst	w5_d81e12387
und	w7_d81e12390
guten	w9_d81e12393
Willen	w11_d81e12396
zuvor,	w1_d81e12401
und	w3_d81e12404
füge	w5_d81e12407
hiemit	w7_d81e12410
zu	w9_d81e12413
vernehmen.	w11_d81e12416
Es	w13_d81e12420
habe	w1_d81e12426
bey	w3_d81e12429
dem	w5_d81e12432
mir	w7_d81e12435
allergnädigst	w9_d81e12438
anvertrauten	w11_d81e12441
N.	w1_d81e12446
Oe.	w3_d81e12449
Land=marschallischen	w5_d81e12452
Gericht	w7_d81e12455
die	w9_d81e12458
Hoch	w1_d81e12463
und	w3_d81e12466
Wolgeborne	w5_d81e12469
Frau	w7_d81e12472
Maria	w9_d81e12475
Josepha,	w11_d81e12478
verwittibte	w1_d81e12483
Gräfin	w3_d81e12486
von	w5_d81e12489
Harrach,	w7_d81e12492
wider	w9_d81e12495
die	w11_d81e12498
auch	w1_d81e12504
Hoch	w3_d81e12507
und	w5_d81e12510
Wolgeborne	w7_d81e12513
Frau	w9_d81e12516
Ernestinam	w11_d81e12519
Gräfin	w1_d81e12524
von	w3_d81e12527
Selb,	w5_d81e12530
abermalen	w7_d81e12533
schriftlich	w9_d81e12536
vor	w11_d81e12539
gestellet,	w1_d81e12544
welchergestalten	w3_d81e12547
die	w5_d81e12550
vorhin	w7_d81e12553
angeord	w9_d81e12556
net=geweste	w1_d81e12561
Licitations=tag=satzung	w3_d81e12564
der	w5_d81e12567
Herr	w7_d81e12570
schaft	w1_d81e12576
Wildberg,	w3_d81e12579
samt	w5_d81e12582
Appertinentien	w7_d81e12585
ihren	w9_d81e12588
Fortgang	w1_d81e12593
in	w3_d81e12596
Ermanglung	w5_d81e12599
genugsamer	w7_d81e12602
Lici	w9_d81e12605
tanten	w1_d81e12610
nicht	w3_d81e12613
hätte	w5_d81e12616
erreichen	w7_d81e12619
können,	w9_d81e12622
diesem	w11_d81e12625
nach	w1_d81e12630
gebetten,	w3_d81e12633
Jch	w5_d81e12636
geruhete	w7_d81e12639
ein	w9_d81e12642
nochmaliges	w11_d81e12645
Licitations=edict	w1_d81e12651
bey	w3_d81e12654
der	w5_d81e12657
Canzley	w7_d81e12660
ausfertigen	w9_d81e12663
zu	w1_d81e12668
lassen;	w3_d81e12671
wann	w5_d81e12674
nun	w7_d81e12677
hierinfalls	w9_d81e12680
verwilliget,	w11_d81e12683
und	w1_d81e12688
zur	w3_d81e12691
Licitations=tag=satzung	w5_d81e12694
der	w7_d81e12697
5te	w9_d81e12700
künf	w11_d81e12703
tigen	w1_d81e12708
Monats	w3_d81e12711
Novembris	w5_d81e12714
bestimmet	w7_d81e12717
worden	w9_d81e12720
ist.	w1_d81e12726
Als	w3_d81e12729
hat	w5_d81e12732
man	w7_d81e12735
ein	w9_d81e12738
solches	w11_d81e12741
hiemit	w13_d81e12745
zu	w15_d81e12748
dem	w17_d81e12751
Ende	w1_d81e12756
jedermänniglich	w3_d81e12759
kund	w5_d81e12762
machen	w7_d81e12765
wollen,	w9_d81e12768
</p>
<p id="p10_d81e12781">
damit	w1_d81e12785
der,	w3_d81e12788
oder	w5_d81e12791
diejenige,	w7_d81e12794
so	w9_d81e12797
obgedachte	w11_d81e12800
Gräfliche	w1_d81e12805
Selbische	w3_d81e12808
Herrschaft	w5_d81e12811
Wildberg	w7_d81e12814
cum	w9_d81e12817
Appertinentiis	w1_d81e12822
käuflichen	w3_d81e12825
an	w5_d81e12828
sich	w7_d81e12831
zubringen	w9_d81e12834
Willens	w1_d81e12840
seynd,	w3_d81e12843
an	w5_d81e12846
obbestimmten	w7_d81e12849
Tag	w9_d81e12852
fruhe	w11_d81e12855
um	w1_d81e12860
8.	w3_d81e12863
Uhr	w5_d81e12866
ad	w7_d81e12869
Licitandum,	w9_d81e12872
Tractandum,	w11_d81e12875
&	w1_d81e12880
Concludendum,	w3_d81e12883
vor	w5_d81e12886
Gericht	w7_d81e12889
zu	w9_d81e12892
erschei	w11_d81e12895
nen	w1_d81e12900
wissen.	w3_d81e12903
Wobey	w5_d81e12906
auch	w7_d81e12909
denen	w9_d81e12912
hier	w11_d81e12915
auf	w1_d81e12921
versicherten	w3_d81e12924
hypothecar	w5_d81e12927
Creditoribus,	w7_d81e12930
das	w1_d81e12935
Jus	w3_d81e12938
plus	w5_d81e12941
offer	w7_d81e12944
ndi	w9_d81e12947
zu	w11_d81e12950
exerciren	w13_d81e12954
bevorste	w15_d81e12957
hen	w1_d81e12962
solle.	w3_d81e12965
Actum	w5_d81e12968
Wien	w7_d81e12971
den	w9_d81e12974
28.	w11_d81e12977
Sept.	w13_d81e12981
1756.	w15_d81e12984
</p>
<head id="h2_d81e12990">
AVERTISSEMENT.	w1_d81e12994
</head>
<p id="p4_d81e12997">
Es	w1_d81e13001
wird	w3_d81e13004
hiemit	w5_d81e13007
jedermänniglich	w7_d81e13010
zu	w9_d81e13013
wissen	w11_d81e13016
gemacht,	w1_d81e13021
daß	w3_d81e13024
die	w5_d81e13027
von	w7_d81e13030
dem	w9_d81e13033
alhier	w11_d81e13036
verster	w13_d81e13040
benen	w1_d81e13045
Kaiserl.	w3_d81e13048
Königl	w5_d81e13051
N.	w7_d81e13054
Oe.	w9_d81e13057
Repräsenta	w11_d81e13060
tions	w1_d81e13066
und	w3_d81e13069
Cammer=raht	w5_d81e13072
Hrn.	w7_d81e13075
von	w9_d81e13078
Schmer	w11_d81e13081
ling	w1_d81e13086
ruckgelassene	w3_d81e13089
Zahl=reiche	w5_d81e13092
und	w7_d81e13095
kostbare	w9_d81e13098
Bibliothec,	w1_d81e13103
so	w3_d81e13106
ungefähr	w5_d81e13109
aus	w7_d81e13112
8000.	w9_d81e13115
Bän	w11_d81e13118
den	w1_d81e13123
bestehet,	w3_d81e13126
und	w5_d81e13129
die	w7_d81e13132
vortrefflichste	w9_d81e13135
Werke	w11_d81e13138
von	w1_d81e13144
allen	w3_d81e13147
Gattungen	w5_d81e13150
der	w7_d81e13153
Wissenschaften	w9_d81e13156
ent	w11_d81e13159
haltet,	w1_d81e13164
an	w3_d81e13167
die	w5_d81e13170
Meist=bietende	w7_d81e13173
werde	w9_d81e13176
veräus	w11_d81e13179
seret	w1_d81e13184
werden.	w3_d81e13187
</p>
<p id="p6_d81e13190">
Eine	w1_d81e13194
gleiche	w3_d81e13197
Vergantung	w5_d81e13200
wird	w7_d81e13203
auch	w9_d81e13206
mit	w11_d81e13209
einer	w1_d81e13214
seltenen	w3_d81e13217
Samlung	w5_d81e13220
von	w7_d81e13223
vielen	w9_d81e13226
tausend	w11_d81e13229
Kupfer=stichen	w1_d81e13234
erfolgen.	w3_d81e13237
Es	w5_d81e13240
seynd	w7_d81e13243
in	w9_d81e13246
der	w11_d81e13249
selben	w1_d81e13255
die	w3_d81e13258
schönste	w5_d81e13261
Werke	w7_d81e13264
derer	w9_d81e13267
berühmtesten	w11_d81e13270
Meister,	w1_d81e13275
sowol	w3_d81e13278
in	w5_d81e13281
der	w7_d81e13284
Mahler	w9_d81e13287
als	w11_d81e13290
Gravier	w13_d81e13294
kunst,	w1_d81e13299
und	w3_d81e13302
darunter	w5_d81e13305
sehr	w7_d81e13308
viele	w9_d81e13311
erste	w11_d81e13314
Abdrücke	w13_d81e13318
anzutreffen:	w1_d81e13323
man	w3_d81e13326
getrauet	w5_d81e13329
sich,	w7_d81e13332
diese	w9_d81e13335
Samm	w11_d81e13338
lung	w1_d81e13344
für	w3_d81e13347
auserlösen,	w5_d81e13350
und	w7_d81e13353
vollständig	w9_d81e13356
anzu	w11_d81e13359
preisen.	w1_d81e13364
</p>
<p id="p8_d81e13367">
Der	w1_d81e13371
Catalogus	w3_d81e13374
von	w5_d81e13377
Büchern	w7_d81e13380
sowol,	w9_d81e13383
als	w11_d81e13386
von	w1_d81e13391
Kupferstichen	w3_d81e13394
wird	w5_d81e13397
gegen	w7_d81e13400
dem	w9_d81e13403
Ende	w11_d81e13406
des	w13_d81e13410
bevorstehenden	w1_d81e13415
Monats	w3_d81e13418
Octobris	w5_d81e13421
alhier	w7_d81e13424
in	w9_d81e13427
Wien	w1_d81e13433
in	w3_d81e13436
dem	w5_d81e13439
goldenen	w7_d81e13442
Vließe	w9_d81e13445
auf	w11_d81e13448
der	w13_d81e13452
ho	w15_d81e13455
hen	w1_d81e13460
Brucke	w3_d81e13463
unentgeltlich	w5_d81e13466
zu	w7_d81e13469
bekommen	w9_d81e13472
seyn.	w1_d81e13477
</p>
<p id="p10_d81e13480">
Man	w1_d81e13484
findet	w3_d81e13487
sich	w5_d81e13490
noch	w7_d81e13493
nicht	w9_d81e13496
im	w11_d81e13499
Stande,	w13_d81e13503
den	w15_d81e13506
eigentlichen	w1_d81e13511
Tag	w3_d81e13514
der	w5_d81e13517
Vergantung	w7_d81e13520
fest	w9_d81e13523
zu	w11_d81e13526
se	w13_d81e13530
tzen:	w1_d81e13535
doch	w3_d81e13538
ist	w5_d81e13541
vorläuffig	w7_d81e13544
gewiß,	w9_d81e13547
daß	w11_d81e13550
sie	w13_d81e13554
in	w15_d81e13557
denen	w1_d81e13563
ersteren	w3_d81e13566
Tägen	w5_d81e13569
des	w7_d81e13572
künftigen	w9_d81e13575
Monats	w11_d81e13578
Decembris	w1_d81e13583
ihren	w3_d81e13586
Anfang	w5_d81e13589
nehmen	w7_d81e13592
solle:	w9_d81e13595
und	w11_d81e13598
man	w1_d81e13603
wird	w3_d81e13606
bey	w5_d81e13609
Herausgebung	w7_d81e13612
deren	w9_d81e13615
Catalo	w11_d81e13618
gorum	w1_d81e13623
den	w3_d81e13626
eigentlichen	w5_d81e13629
Tag	w7_d81e13632
anzumerken	w9_d81e13635
un	w11_d81e13638
vergessen	w1_d81e13644
seyn.	w3_d81e13647
</p>
<p id="p12_d81e13651">
Woferne	w1_d81e13655
jemand	w3_d81e13658
Belieben	w5_d81e13661
trüge,	w7_d81e13664
entweder	w9_d81e13667
die	w1_d81e13672
Bibliotheck,	w3_d81e13675
oder	w5_d81e13678
die	w7_d81e13681
Kupfer=stiche	w9_d81e13684
über	w11_d81e13687
haupls	w1_d81e13692
im	w3_d81e13695
ganzen	w5_d81e13698
an	w7_d81e13701
sich	w9_d81e13704
zu	w11_d81e13707
bringen,	w13_d81e13711
so	w15_d81e13714
wird	w17_d81e13717
derselbe	w1_d81e13723
hiemit	w3_d81e13726
ersuchet,	w5_d81e13729
sich	w7_d81e13732
alhier	w9_d81e13735
in	w11_d81e13738
der	w13_d81e13742
obern	w1_d81e13747
Bäcker=strasse	w3_d81e13750
in	w5_d81e13753
dem	w7_d81e13756
von	w9_d81e13759
Schmerlin	w11_d81e13762
gischen	w1_d81e13767
Hause	w3_d81e13770
im	w5_d81e13773
zweyten	w7_d81e13776
Stock	w9_d81e13779
anzumel	w11_d81e13782
</p>
<p id="p14_d81e13785">
den,	w1_d81e13789
und	w3_d81e13792
eines	w5_d81e13795
billigen	w7_d81e13798
Preises	w9_d81e13801
sich	w11_d81e13804
zum	w13_d81e13808
Vor	w15_d81e13811
aus	w1_d81e13816
versichert	w3_d81e13819
zu	w5_d81e13822
halten.	w7_d81e13825
</p>
<head id="h2_d81e13831">
AVERTISSEMFENT.	w1_d81e13835
</head>
<p id="p4_d81e13838">
NB.	w1_d81e13842
Es	w3_d81e13845
seynd	w5_d81e13848
hier	w7_d81e13851
wieder	w9_d81e13854
angekommen	w11_d81e13857
die	w1_d81e13862
Gebrüdere	w3_d81e13865
Montami	w5_d81e13868
mit	w7_d81e13871
verschiedenen	w9_d81e13874
Blumen	w1_d81e13879
zwiebeln,	w3_d81e13882
wie	w5_d81e13885
folget:	w7_d81e13888
</p>
<p id="p6_d81e13891">
Narcissiknobili	w1_d81e13895
von	w3_d81e13898
4.	w5_d81e13901
Sorten.	w7_d81e13904
Fruhe	w9_d81e13907
Narcissen.	w1_d81e13912
Gefüllte	w3_d81e13915
Tazzetten.	w5_d81e13918
Weisse	w7_d81e13921
Taz	w9_d81e13924
zeten.	w1_d81e13929
Gelbe	w3_d81e13932
Tazzetten.	w5_d81e13935
Gefüllte	w7_d81e13938
weisse	w9_d81e13941
Hya	w11_d81e13944
cinten,	w1_d81e13950
Leib=farbe	w3_d81e13953
gefüllte	w5_d81e13956
Hyacinten.	w7_d81e13959
Viol	w9_d81e13962
blaus	w1_d81e13967
gefüllte	w3_d81e13970
Hyacinthen.	w5_d81e13973
Frühe	w7_d81e13976
Hyacinten.	w9_d81e13979
Gefüllte	w1_d81e13984
Jonquilien.	w3_d81e13987
Doppelte	w5_d81e13990
weisse	w7_d81e13993
Spani	w9_d81e13996
sche	w1_d81e14001
Jonquilien.	w3_d81e14004
Gedoppelte	w5_d81e14007
Arunculen.	w7_d81e14010
Von	w9_d81e14013
dreyßigerley	w1_d81e14019
Farben,	w3_d81e14022
allerhand	w5_d81e14025
Arunculen	w7_d81e14028
Arunculen	w1_d81e14033
la	w3_d81e14036
Bella	w5_d81e14039
di	w7_d81e14042
Brusseles,	w9_d81e14045
Gelbe	w11_d81e14048
Arunculen.	w1_d81e14053
Arunculen	w3_d81e14056
die	w5_d81e14059
schöne	w7_d81e14062
von	w9_d81e14065
Or	w11_d81e14068
leans.	w1_d81e14073
Gesprengte	w3_d81e14076
Arunculen	w5_d81e14079
von	w7_d81e14082
verschie	w9_d81e14085
denen	w1_d81e14091
Farben.	w3_d81e14094
Arunculen	w5_d81e14097
der	w7_d81e14100
Prinz	w9_d81e14103
von	w11_d81e14106
Ora	w13_d81e14110
nien.	w1_d81e14115
Pur	w3_d81e14118
rote	w5_d81e14121
extra	w7_d81e14124
schöne	w9_d81e14127
Arunculen.	w11_d81e14130
Al	w13_d81e14134
lerhand	w1_d81e14139
färbige	w3_d81e14142
Anemoni.	w5_d81e14145
Allerhand	w7_d81e14148
rot	w9_d81e14151
artige	w1_d81e14156
Anemoni.	w3_d81e14159
Anemoni	w5_d81e14162
la	w7_d81e14165
Bella	w9_d81e14168
di	w11_d81e14171
Brus-	w13_d81e14175
sele.	w1_d81e14181
Anemoni	w3_d81e14184
der	w5_d81e14187
grosse	w7_d81e14190
Turband,	w9_d81e14193
Anemo	w11_d81e14196
ni	w1_d81e14201
in	w3_d81e14204
Regenbogen.	w5_d81e14207
Anemoni	w7_d81e14210
der	w9_d81e14213
Prinz	w11_d81e14216
von	w13_d81e14220
Oranien.	w1_d81e14225
Anemoni	w3_d81e14228
alte	w5_d81e14231
Bollone.	w7_d81e14234
Ane	w9_d81e14237
moni,	w1_d81e14242
die	w3_d81e14245
schöne	w5_d81e14248
von	w7_d81e14251
Normandie.	w9_d81e14254
Persiani	w11_d81e14257
sche	w1_d81e14263
Tulpen,	w3_d81e14266
Türkische	w5_d81e14269
Tulpen,	w7_d81e14272
und	w9_d81e14275
sonst	w11_d81e14278
aller	w13_d81e14282
hand	w1_d81e14287
Arten	w3_d81e14290
schöner	w5_d81e14293
Blumen.	w7_d81e14296
Saamen	w9_d81e14299
von	w11_d81e14302
Kauli	w1_d81e14307
Flor,	w3_d81e14310
von	w5_d81e14313
denen	w7_d81e14316
schönsten	w9_d81e14319
Sorten,	w11_d81e14322
Saamen	w1_d81e14327
von	w3_d81e14330
Broccoli	w5_d81e14333
Romani,	w7_d81e14336
extra	w9_d81e14339
schön.	w11_d81e14342
Die	w1_d81e14348
Blumen=kiele	w1_d81e14353
seynd	w3_d81e14356
durch	w5_d81e14359
und	w7_d81e14362
durch	w9_d81e14365
das	w11_d81e14368
100.	w1_d81e14373
für	w3_d81e14376
4.	w5_d81e14379
fl.	w7_d81e14382
Der	w9_d81e14385
Saamen	w11_d81e14388
von	w13_d81e14392
Kauli	w15_d81e14395
flor	w1_d81e14400
das	w3_d81e14403
Lot	w5_d81e14406
18.	w7_d81e14409
kr.	w9_d81e14412
Der	w11_d81e14415
Saamen	w13_d81e14419
von	w15_d81e14422
Brocoli	w1_d81e14428
Romani	w3_d81e14431
das	w5_d81e14434
Lot	w7_d81e14437
15.	w9_d81e14440
kr.	w11_d81e14443
Saamen	w13_d81e14447
von	w15_d81e14450
Spanischen	w1_d81e14455
Zwiebeln	w3_d81e14458
das	w5_d81e14461
Lot	w7_d81e14464
15.	w9_d81e14467
kr.	w11_d81e14470
Saa	w13_d81e14474
men	w1_d81e14479
von	w3_d81e14482
Römischen	w5_d81e14485
Fenchel,	w7_d81e14488
das	w9_d81e14491
Lot	w11_d81e14494
15.	w13_d81e14498
kr.	w15_d81e14501
Saamen	w1_d81e14506
vem	w3_d81e14509
Lombardischen	w5_d81e14512
Kehl,	w7_d81e14515
Melaun	w9_d81e14518
kern,	w1_d81e14524
Cardi,	w3_d81e14527
das	w5_d81e14530
Lot	w7_d81e14533
15.	w9_d81e14536
kr.	w11_d81e14539
</p>
<p id="p8_d81e14542">
NB.	w1_d81e14546
Wie	w3_d81e14549
auch	w5_d81e14552
Passatutti,	w7_d81e14555
die	w9_d81e14558
grosse	w11_d81e14561
Kö	w13_d81e14565
nigin	w1_d81e14570
von	w3_d81e14573
Brittanien,	w5_d81e14576
das	w7_d81e14579
Stuck	w9_d81e14582
inn	w11_d81e14585
18.	w13_d81e14589
kr.	w15_d81e14592
Obgedachte	w1_d81e14597
Gebrüdere	w3_d81e14600
Montani	w5_d81e14603
seynd	w7_d81e14606
bey	w9_d81e14609
Hrn.	w1_d81e14615
Sebastian	w3_d81e14618
Lanser	w5_d81e14621
im	w7_d81e14624
Gewürz=gewölb	w9_d81e14627
bem	w11_d81e14630
goldenen	w1_d81e14635
Stern	w3_d81e14638
in	w5_d81e14641
der	w7_d81e14644
Wald=zeil	w9_d81e14647
anzutreffen.	w11_d81e14650
</p>
<p id="p10_d81e14653">
Auf	w1_d81e14657
den	w3_d81e14660
künftigen	w5_d81e14663
9.	w7_d81e14666
November	w9_d81e14669
früh	w11_d81e14672
um	w13_d81e14676
9.	w1_d81e14681
Uhr,	w3_d81e14684
wird	w5_d81e14687
bey	w7_d81e14690
dem	w9_d81e14693
hiesig	w11_d81e14696
Kaiserl.	w13_d81e14700
Königl.	w15_d81e14703
Stadt=gericht,	w1_d81e14708
in	w3_d81e14711
einer	w5_d81e14714
darzu	w7_d81e14717
anberaumten	w9_d81e14720
Licitations=tagsatzung,	w1_d81e14726
des	w3_d81e14729
burgerlichen	w5_d81e14732
Ba	w7_d81e14735
ders	w1_d81e14740
und	w3_d81e14743
Chyrurgi	w5_d81e14746
Herrn	w7_d81e14749
Ludwigs	w9_d81e14752
Ackermann,	w11_d81e14755
seine	w1_d81e14760
bürgerliche	w3_d81e14763
Baader=freyheit	w5_d81e14766
plus	w7_d81e14769
of	w9_d81e14772
serenti	w1_d81e14777
verkauffet	w3_d81e14780
werden,	w5_d81e14783
wer	w7_d81e14786
dahero	w9_d81e14789
solche	w11_d81e14792
käuflich	w1_d81e14798
an	w3_d81e14801
sich	w5_d81e14804
zu	w7_d81e14807
bringen	w9_d81e14810
gedenket,	w11_d81e14813
kan	w13_d81e14817
sich	w15_d81e14820
</p>
<p id="p14_d81e14826">
in	w1_d81e14830
gemeldeter	w3_d81e14833
Zeit	w5_d81e14836
und	w7_d81e14839
Stund	w9_d81e14842
daselbst	w11_d81e14845
ad	w13_d81e14849
tra-	w15_d81e14852
ctnidumo	w1_d81e14857
dend	w3_d81e14860
einfinden.	w5_d81e14863
</p>
<p id="p16_d81e14866">
Es	w1_d81e14870
ist	w3_d81e14873
in	w5_d81e14876
St.	w7_d81e14879
Pölten	w9_d81e14882
das	w11_d81e14885
Wirts=haus	w13_d81e14889
beym	w1_d81e14894
goldenen	w3_d81e14897
Löwen,	w5_d81e14900
samt	w7_d81e14903
Garten,	w9_d81e14906
mit	w11_d81e14909
oder	w1_d81e14914
ohne	w3_d81e14917
Entrichtung	w5_d81e14920
zu	w7_d81e14923
verkauffen,	w9_d81e14926
wer	w11_d81e14929
zu	w13_d81e14933
solchem	w1_d81e14939
Belieben	w3_d81e14942
traget,	w5_d81e14945
hat	w7_d81e14948
sich	w9_d81e14951
bey	w11_d81e14954
dasi	w13_d81e14958
gen	w1_d81e14963
Wir	w3_d81e14966
s,	w5_d81e14969
Georg	w7_d81e14972
Stadelbauer	w9_d81e14975
seel.	w11_d81e14978
Wittib	w13_d81e14982
in	w1_d81e14987
obbemeldeten	w3_d81e14990
Haus	w5_d81e14993
anzumelden.	w7_d81e14996
</p>
<p id="p18_d81e14999">
Den	w1_d81e15003
13.	w3_d81e15006
dieses	w5_d81e15009
Monats	w7_d81e15012
Octobris	w9_d81e15015
werden	w11_d81e15018
auf	w1_d81e15023
Verordnung	w3_d81e15026
eines	w5_d81e15029
Löbl	w7_d81e15032
Landmarschal	w9_d81e15035
lischen	w1_d81e15040
Gerichts	w3_d81e15043
in	w5_d81e15046
dem	w7_d81e15049
Langheimischen	w9_d81e15052
Haus	w11_d81e15055
bey	w1_d81e15061
denen	w3_d81e15064
Weißspanniern	w5_d81e15067
verschiedene	w7_d81e15070
Ver	w9_d81e15073
lassenschaffts=effecten,	w1_d81e15078
und	w3_d81e15081
kostbare	w5_d81e15084
Gemähl	w7_d81e15087
de	w1_d81e15092
Vormittag	w3_d81e15095
von	w5_d81e15098
9.	w7_d81e15101
bis	w9_d81e15104
10.	w11_d81e15107
Uhr,	w13_d81e15111
und	w15_d81e15114
Nach	w17_d81e15117
mittags	w1_d81e15122
von	w3_d81e15125
3.	w5_d81e15128
bis	w7_d81e15131
6.	w9_d81e15134
Uhr	w11_d81e15137
licitando	w13_d81e15141
plus	w15_d81e15144
offerenti	w1_d81e15150
verkauft	w3_d81e15153
werden.	w5_d81e15156
</p>
<head id="h2_d81e15162">
EDICT.	w1_d81e15166
</head>
<p id="p4_d81e15169">
Von	w1_d81e15173
des	w3_d81e15176
Kaiserl.	w5_d81e15179
Königl.	w7_d81e15182
Judieii	w9_d81e15185
Dele-	w11_d81e15188
gati	w1_d81e15193
militaris	w3_d81e15196
mixti	w5_d81e15199
sup.	w7_d81e15202
ac	w9_d81e15205
Iuf.	w11_d81e15208
Austriæ	w13_d81e15212
wegen	w1_d81e15217
wird	w3_d81e15220
durch	w5_d81e15223
dieses	w7_d81e15226
offene	w9_d81e15229
Edict	w11_d81e15232
jeder	w13_d81e15236
männiglich,	w1_d81e15242
deme	w3_d81e15245
daran	w5_d81e15248
gelegen,	w7_d81e15251
kund	w9_d81e15254
und	w11_d81e15257
zu	w13_d81e15261
wissen	w1_d81e15266
gemacht.	w3_d81e15269
</p>
<p id="p6_d81e15272">
Es	w1_d81e15276
habe	w3_d81e15279
bey	w5_d81e15282
gleich=gedachten	w7_d81e15285
Kaiserlich	w9_d81e15288
Königl.	w1_d81e15293
Jud.	w3_d81e15296
Deleg	w5_d81e15299
milit.	w7_d81e15302
mixt.	w9_d81e15305
F.	w11_d81e15308
An-	w13_d81e15312
tonius	w1_d81e15317
Magenis	w3_d81e15320
Quadrinus	w5_d81e15323
Collegii	w7_d81e15326
Pa-	w9_d81e15329
t	w1_d81e15335
um	w3_d81e15338
Hibernorum	w5_d81e15341
ord.	w7_d81e15344
S.	w9_d81e15347
Francisci	w11_d81e15350
zu	w13_d81e15354
Prag	w1_d81e15359
demütigst	w3_d81e15362
angezeiget,	w5_d81e15365
wie	w7_d81e15368
daß	w9_d81e15371
der	w11_d81e15374
Kai	w13_d81e15378
serl.	w1_d81e15383
Königl	w3_d81e15386
Generalfeldmarschallleute	w5_d81e15389
nant	w1_d81e15394
Herr	w3_d81e15397
Domitius	w5_d81e15400
Frey=herr	w7_d81e15403
von	w9_d81e15406
Kavanaz	w11_d81e15409
k,	w13_d81e15413
seine	w1_d81e15419
bey	w3_d81e15422
der	w5_d81e15425
Kaiserl.	w7_d81e15428
Königl.	w9_d81e15431
Militarschul	w11_d81e15434
den	w1_d81e15439
Hof=commißion	w3_d81e15442
l.quidirte	w5_d81e15445
Ruck=stände	w7_d81e15448
pr.	w1_d81e15453
2528.	w3_d81e15456
fl.	w5_d81e15459
21.	w7_d81e15462
vier	w9_d81e15465
fünftel	w11_d81e15468
Kreutzer,	w13_d81e15472
ihren	w15_d81e15475
Con	w1_d81e15480
ent	w3_d81e15483
titulo	w5_d81e15486
donationis	w7_d81e15489
überlassen,	w9_d81e15492
wel	w11_d81e15495
che	w1_d81e15501
Geschanknuß	w3_d81e15504
