<doc id="edoc_wd_1760-09-17" attrs="word" year="1760" month="09" day="17" corpus="1">
<head id="hl1">
Neu	w40
Gestern	w3618
als	w3619
den	w3620
16	w3621
<g/>
.
Dieses	w3623
legten	w3624
obge=dachte	w3625
<g/>
=
Se	w3627
<g/>
.
Excell	w3629
<g/>
.
Herr	w3631
Graf	w3632
Leopold	w3633
von	w3634
Palfy	w3635
<g/>
,
als	w3637
allergnädigst	w3638
ernannter	w3639
Leib	w3640
<g/>
=
gar=de	w3642
<g/>
=
Haupt	w3644
<g/>
=
mann	w3646
bey	w3647
der	w3648
neuen	w3649
Königl	w3650
<g/>
.
Hun=garischen	w3652
<g/>
=
Leib	w3654
<g/>
=
garde	w3656
in	w3657
allerhöchster	w3658
Gegen=wart	w3659
<g/>
=
beeder	w3661
Kaiserl	w3662
<g/>
.
und	w3664
Königl	w3665
<g/>
.
Majestä=ten	w3667
<g/>
=
die	w3669
Eides	w3670
<g/>
=
pflichten	w3672
ab	w3673
<g/>
.
</p>
<head id="hl9">
Lista	w3675
deren	w3676
Verstorbenen	w3677
zu	w3678
Wien	w3679
in	w3680
<g/>
=
und	w3682
vor	w3683
derStadt	w3684
<g/>
.
</head>
<head id="hl10">
Den	w3686
13	w3687
<g/>
.
Sept	w3689
<g/>
.
</head>
<head id="hl11">
Jn	w3691
der	w3692
Stadt	w3693
<g/>
.
</head>
<list id="li2">
Dem	w3695
Hrn	w3696
<g/>
.
Barthl	w3698
<g/>
.
Hörman	w3700
<g/>
,
Hof	w3702
<g/>
=
control	w3704
<g/>
.
<g/>
-
schreib	w3707
<g/>
.
<g/>
,
s	w3710
<g/>
.
K	w3712
<g/>
.
Josepha	w3714
<g/>
,
im	w3716
Kirschneris	w3717
<g/>
.
H	w3719
<g/>
.
in	w3721
der	w3722
Wolzeil	w3723
<g/>
,
alt	w3725
3	w3726
<g/>
.
J	w3728
<g/>
.
</list>
<head id="hl12">
Vor	w3730
der	w3731
Stadt	w3732
<g/>
.
</head>
<list id="li3">
Der	w3734
Wol	w3735
<g/>
-
ehrw	w3737
<g/>
.
Hr	w3739
<g/>
.
Theoph	w3741
<g/>
.
<g/>
,
weltl	w3744
<g/>
.
Priest	w3746
<g/>
.
<g/>
,
im	w3749
Maut	w3750
<g/>
=
H	w3752
<g/>
.
am	w3754
Wienerberger	w3755
<g/>
-
v	w3757
osto	w3758
<g/>
,
37	w3760
<g/>
.
J	w3762
<g/>
.
Cathar	w3764
<g/>
.
Wundin	w3766
<g/>
,
Burgerl	w3768
<g/>
.
Wittwe	w3770
<g/>
,
im	w3772
Lucatelis	w3773
<g/>
.
H	w3775
<g/>
.
zu	w3777
Gumpendorf	w3778
<g/>
,
alt	w3780
67	w3781
<g/>
.
J	w3783
<g/>
.
Dem	w3785
Georg	w3786
Mundschedl	w3787
<g/>
,
Schneid	w3789
<g/>
.
<g/>
,
s	w3792
<g/>
.
W	w3794
<g/>
.
Eleon	w3796
<g/>
.
<g/>
,
beyn	w3799
2	w3800
Brandwein	w3801
<g/>
.
bey	w3803
Maria	w3804
<g/>
-
hülf	w3806
<g/>
,
alt	w3808
57	w3809
<g/>
.
J	w3811
<g/>
.
Jacob	w3813
Schretzecker	w3814
<g/>
,
Brudersch	w3816
<g/>
.
ansag	w3818
<g/>
.
<g/>
,
beym	w3821
gold	w3822
<g/>
.
Fässel	w3824
auf	w3825
der	w3826
Wied	w3827
<g/>
,
alt	w3829
58	w3830
<g/>
.
J	w3832
<g/>
.
Anna	w3834
Schmicklin	w3835
<g/>
,
led	w3837
<g/>
.
M	w3839
<g/>
.
beym	w3841
gold	w3842
<g/>
.
Anker	w3844
am	w3845
Neubau	w3846
<g/>
,
alt	w3848
56	w3849
<g/>
.
J	w3851
<g/>
.
Joh	w3853
<g/>
.
Schlichtinger	w3855
<g/>
,
Holz	w3857
<g/>
-
hack	w3859
<g/>
,
beym	w3861
schwarz	w3862
<g/>
.
Ele=phant	w3864
<g/>
=
am	w3866
Neubau	w3867
<g/>
,
alt	w3869
78	w3870
<g/>
.
J	w3872
<g/>
.
Dem	w3874
Mich	w3875
<g/>
.
Eckart	w3877
<g/>
,
Lack	w3879
<g/>
.
<g/>
,
s	w3882
<g/>
.
K	w3884
<g/>
.
Cathar	w3886
<g/>
.
<g/>
,
bey	w3889
dem	w3890
Reichs	w3891
adl	w3892
<g/>
.
am	w3894
Himmel	w3895
<g/>
=
pfort	w3897
<g/>
=
gr	w3899
<g/>
,
alt	w3901
9	w3902
<g/>
.
J	w3904
<g/>
.
Summa	w3906
8	w3907
<g/>
.
Pers	w3909
<g/>
.
darunter	w3911
2	w3912
<g/>
.
Kind	w3914
<g/>
.
</list>
<head id="hl13">
Den	w3916
14	w3917
<g/>
.
Sept	w3919
<g/>
.
</head>
<head id="hl14">
Jn	w3921
der	w3922
Stadt	w3923
<g/>
.
</head>
<list id="li4">
Pet	w3925
<g/>
.
Sedelmayr	w3927
<g/>
,
gew	w3929
<g/>
.
Burgerl	w3931
<g/>
.
Pfaidl	w3933
<g/>
.
<g/>
,
im	w3936
Bä-ckis	w3937
<g/>
-
<g/>
.
H	w3940
<g/>
.
in	w3942
der	w3943
Kärntnerstr	w3944
<g/>
.
r	w3946
alt	w3947
77	w3948
<g/>
.
J	w3950
<g/>
.
</list>
<list id="li5">
Dem	w3952
Georg	w3953
Voit	w3954
<g/>
,
Burgerl	w3956
<g/>
.
Schneid	w3958
<g/>
,
s	w3960
<g/>
.
K	w3962
<g/>
.
Theres	w3964
<g/>
.
im	w3966
Rumoldis	w3967
<g/>
.
H	w3969
<g/>
.
in	w3971
der	w3972
Wildwerkerstr	w3973
<g/>
.
<g/>
,
7	w3976
<g/>
.
J	w3978
<g/>
.
</list>
<head id="hl15">
Vor	w3980
der	w3981
Stadt	w3982
<g/>
.
</head>
<list id="li6">
Dem	w3984
Hrn	w3985
<g/>
.
Math	w3987
<g/>
.
Gössenhart	w3989
<g/>
,
K	w3991
<g/>
.
K	w3993
<g/>
.
Saal	w3995
<g/>
-
thür	w3997
<g/>
-
hü	w3999
<g/>
=
<g/>
,
tern	w4002
<g/>
,
s	w4004
<g/>
.
Fr	w4006
<g/>
.
Theres	w4008
<g/>
.
<g/>
,
in	w4011
s	w4012
<g/>
.
H	w4014
<g/>
.
in	w4016
der	w4017
Leopold	w4018
<g/>
.
<g/>
,
alt	w4021
44	w4022
<g/>
.
J	w4024
<g/>
.
Dem	w4026
Hrn	w4027
<g/>
.
Ant	w4029
<g/>
.
<g/>
,
Sper	w4032
einnehm	w4033
<g/>
.
<g/>
.
s	w4036
<g/>
.
Fr	w4038
<g/>
.
Cath	w4040
<g/>
.
beym	w4042
gr	w4043
<g/>
.
Kranz	w4045
auf	w4046
der	w4047
Wied	w4048
<g/>
.
<g/>
,
alt	w4051
62	w4052
<g/>
.
J	w4054
<g/>
.
Dem	w4056
Leonh	w4057
<g/>
.
Hafenbratl	w4059
<g/>
,
Schneid	w4061
<g/>
.
<g/>
,
s	w4064
<g/>
.
W	w4066
<g/>
.
Anna	w4068
<g/>
,
bey	w4070
der	w4071
H	w4072
<g/>
.
Dreyfaltigk	w4074
<g/>
.
auf	w4076
der	w4077
Laimgr	w4078
<g/>
,
32	w4080
<g/>
.
J	w4082
<g/>
.
Dem	w4084
Hrn	w4085
<g/>
.
Joh	w4087
<g/>
.
Raberger	w4089
<g/>
,
Hausmeist	w4091
<g/>
.
<g/>
,
s	w4094
<g/>
.
W	w4096
<g/>
.
Ca=thar	w4098
<g/>
=
<g/>
.
<g/>
,
beym	w4102
weis	w4103
<g/>
.
Kreutz	w4105
am	w4106
Spitalberg	w4107
<g/>
,
47	w4109
<g/>
.
J	w4111
<g/>
.
Dem	w4113
Math	w4114
<g/>
.
Wenzky	w4116
<g/>
,
Schneid	w4118
<g/>
,
s	w4120
<g/>
.
K	w4122
<g/>
.
Wolf	w4124
<g/>
,
bey	w4126
dem	w4127
Blumen	w4128
<g/>
=
stock	w4130
am	w4131
Hundsth	w4132
<g/>
,
alt	w4134
8	w4135
J	w4136
<g/>
.
</list>
<p id="p51">
Summa	w4138
7	w4139
<g/>
.
Pers	w4141
<g/>
.
<g/>
,
darunter	w4144
2	w4145
<g/>
.
Kind	w4147
<g/>
.
</p>
<p id="p52">
Den	w4149
22	w4150
<g/>
.
Sept	w4152
<g/>
.
1760	w4154
<g/>
.
fruh	w4156
von	w4157
9	w4158
<g/>
.
bis	w4160
10	w4161
<g/>
.
Uhr	w4163
wird	w4164
zu	w4165
Pentzing	w4166
die	w4167
Leopold	w4168
Michael	w4169
Huberische	w4170
Behausung	w4171
samt	w4172
dabey	w4173
befindl	w4174
<g/>
.
Gärtel	w4176
<g/>
,
und	w4178
Hof=statt	w4179
<g/>
=
<g/>
-
wein	w4182
<g/>
=
garten	w4184
nebst	w4185
148	w4186
<g/>
.
Emer	w4188
leere	w4189
eisene	w4190
Banden	w4191
dem	w4192
Meistbietenden	w4193
verkauffet	w4194
werden	w4195
<g/>
.
Wer	w4197
also	w4198
ein	w4199
oder	w4200
anderes	w4201
an	w4202
sich	w4203
zu	w4204
bringen	w4205
geden=ket	w4206
<g/>
=
<g/>
,
hat	w4209
sich	w4210
dessentwegen	w4211
auf	w4212
bestimten	w4213
Tag	w4214
und	w4215
Stund	w4216
in	w4217
dem	w4218
sogenant	w4219
<g/>
=
Märtlischen	w4221
Haus	w4222
allda	w4223
anzumelden	w4224
<g/>
.
</p>
<p id="p53">
Nachdeme	w4226
zu	w4227
Befolgung	w4228
des	w4229
unterm	w4230
31	w4231
<g/>
.
De=cemb	w4233
<g/>
=
<g/>
.
1751	w4236
<g/>
.
erlassen	w4238
allerhöchsten	w4239
Landes	w4240
<g/>
-
fürstl	w4242
<g/>
.
Befehl	w4244
vor	w4245
anheuer	w4246
das	w4247
Wein	w4248
<g/>
=
lösen	w4250
unter	w4251
des	w4252
Fürstl	w4253
<g/>
.
Stifts	w4255
Closter	w4256
<g/>
=
neuburg	w4258
Berg	w4259
<g/>
=
herrlichen	w4261
Jurisdiction	w4262
<g/>
,
als	w4264
zu	w4265
und	w4266
um	w4267
Kallenberg	w4268
<g/>
,
Meid-ling	w4270
<g/>
-
<g/>
,
um	w4273
Closter	w4274
<g/>
=
neuburg	w4276
<g/>
,
Kritzendorf	w4278
<g/>
,
und	w4280
Höflein	w4281
<g/>
;
Jtem	w4283
Heilingstadt	w4284
<g/>
,
Nußdorf	w4286
<g/>
;
Grin=zing	w4288
<g/>
=
<g/>
,
Unter	w4291
<g/>
=
töbling	w4293
<g/>
,
Sallmannstorf	w4295
<g/>
,
Meidling	w4297
und	w4298
Ottakrin	w4299
bey	w4300
anhoffend	w4301
fürdaurenden	w4302
guten	w4303
Wetter	w4304
<g/>
,
auf	w4306
den	w4307
30	w4308
<g/>
.
Septemb	w4310
<g/>
.
in	w4312
der	w4313
Ebne	w4314
<g/>
;
und	w4316
den	w4317
1	w4318
<g/>
.
Octob	w4320
<g/>
.
in	w4322
dem	w4323
Gebürg	w4324
seinen	w4325
Anfang	w4326
nehmen	w4327
solle	w4328
<g/>
.
Als	w4330
wird	w4331
ein	w4332
solches	w4333
jedermänni=glich	w4334
<g/>
=
kund	w4336
gemachet	w4337
<g/>
.
</p>
<p id="p54">
Es	w4339
ist	w4340
tägl	w4341
<g/>
.
eine	w4343
grosse	w4344
Connexion	w4345
von	w4346
Antiquen	w4347
Römisch	w4348
<g/>
=
und	w4350
anderer	w4351
raren	w4352
goldenen	w4353
Metaillen	w4354
<g/>
,
mehr	w4356
ein	w4357
dergleichen	w4358
von	w4359
Silbernen	w4360
und	w4361
Kupfer=nen	w4362
<g/>
=
<g/>
,
welche	w4365
zwar	w4366
noch	w4367
nicht	w4368
rangiret	w4369
seynd	w4370
<g/>
,
und	w4372
an=deren	w4373
<g/>
=
dergleichen	w4375
Raritäten	w4376
zu	w4377
verkauffen	w4378
<g/>
,
wer	w4380
darzu	w4381
ein	w4382
Belieben	w4383
traget	w4384
<g/>
,
kan	w4386
sich	w4387
in	w4388
dem	w4389
soge=nannten	w4390
<g/>
=
Steinl	w4392
<g/>
=
wirts	w4394
<g/>
=
haus	w4396
im	w4397
dritten	w4398
Stock	w4399
nebst	w4400
denen	w4401
obern	w4402
Jesuiten	w4403
anmelden	w4404
<g/>
.
</p>
<p id="p55">
Es	w4406
wird	w4407
hiemit	w4408
jedermänniglich	w4409
kund	w4410
und	w4411
zu	w4412
wissen	w4413
gemachet	w4414
<g/>
,
welchergestalten	w4416
den	w4417
22	w4418
<g/>
.
dies	w4420
lauf=fenden	w4421
<g/>
=
Monats	w4423
Septembris	w4424
die	w4425
auf	w4426
der	w4427
neuen	w4428
Wie=den	w4429
<g/>
=
gelegen	w4431
sogenannt=Kaiserische	w4432
Behausung	w4433
of=fentlich	w4434
<g/>
=
wird	w4436
feil	w4437
geboten	w4438
werden	w4439
<g/>
,
wer	w4441
nun	w4442
sothane	w4443
Behausung	w4444
käuflichen	w4445
an	w4446
sich	w4447
zu	w4448
bringen	w4449
gedenket	w4450
<g/>
,
derselbe	w4452
beliebe	w4453
sich	w4454
an	w4455
ob	w4456
bestimmten	w4457
Tag	w4458
fruhe	w4459
um	w4460
8	w4461
<g/>
.
Uhr	w4463
auf	w4464
dem	w4465
allhiesigen	w4466
Raht	w4467
<g/>
=
haus	w4469
anzumelden	w4470
<g/>
.
</p>
<p id="p56">
Es	w4473
wird	w4474
hiemit	w4475
jedermänniglich	w4476
zu	w4477
wissen	w4478
an-gefüget	w4479
<g/>
-
<g/>
,
welcher	w4482
<g/>
=
massen	w4484
die	w4485
Frau	w4486
Maria	w4487
Elisa=beth	w4488
<g/>
=
Zellnerin	w4490
<g/>
,
verwittibt	w4492
<g/>
=
Burgerl	w4494
<g/>
.
Lebzelterin	w4496
in	w4497
der	w4498
Stadt	w4499
Korneuburg	w4500
<g/>
,
ihre	w4502
alda	w4503
besitzend=wol	w4504
<g/>
=
gebaute	w4506
Behausung	w4507
und	w4508
Lebzelters	w4509
<g/>
=
profeßion	w4511
<g/>
,
samt	w4513
allen	w4514
Zugehörungen	w4515
licitando	w4516
dem	w4517
Meistbie=tenden	w4518
<g/>
=
zu	w4520
verkauffen	w4521
entschlossen	w4522
seye	w4523
<g/>
;
Wer	w4525
dem=nach	w4526
<g/>
=
hierumen	w4528
Kauffer	w4529
zu	w4530
seyn	w4531
Verlangen	w4532
traget	w4533
<g/>
,
der	w4535
beliebe	w4536
sich	w4537
den	w4538
27	w4539
<g/>
.
dies	w4541
Monats	w4542
Septemb	w4543
<g/>
.
fruh	w4545
um	w4546
9	w4547
<g/>
.
Uhr	w4549
in	w4550
bemeldter	w4551
Frau	w4552
Zellnerin	w4553
Be=hausung	w4554
<g/>
=
zu	w4556
Korneuburg	w4557
einzufinden	w4558
<g/>
.
</p>
<p id="p57">
Den	w4560
26	w4561
<g/>
.
Septemb	w4563
<g/>
.
fruh	w4565
um	w4566
8	w4567
<g/>
.
Uhr	w4569
wird	w4570
auf	w4571
der	w4572
Hoch	w4573
<g/>
=
gräflichen	w4575
Herrschaft	w4576
zu	w4577
Unterwalter-storf	w4578
<g/>
-
des	w4580
Gregorii	w4581
Schmid	w4582
<g/>
,
uudund	w4584
Annä	w4585
Mariä	w4586
dessen	w4587
Ehewirtin	w4588
<g/>
,
das	w4590
zu	w4591
Unterwalterstorf	w4592
sich	w4593
be=findliche	w4594
<g/>
=
Halb	w4596
<g/>
=
lehen	w4598
<g/>
=
haus	w4600
samt	w4601
dem	w4602
Saiffensie=der	w4603
<g/>
=
<g/>
-
gewerb	w4606
und	w4607
vorhandenen	w4608
Handwerks	w4609
<g/>
-
requisi=ten	w4611
<g/>
=
<g/>
,
dann	w4614
13	w4615
<g/>
.
ein	w4617
Viertl	w4618
Joch	w4619
zu	w4620
dieser	w4621
Behau=fung	w4622
<g/>
=
gehörige	w4624
Haus	w4625
<g/>
=
äcker	w4627
plus	w4628
offerenti	w4629
verkauf=fet	w4630
<g/>
=
werden	w4632
<g/>
;
wer	w4634
solches	w4635
Schmidische	w4636
Halb	w4637
<g/>
=
lehen=haus	w4639
<g/>
=
samt	w4641
dem	w4642
Saiffen	w4643
<g/>
-
sieder	w4645
<g/>
-
gewerb	w4647
und	w4648
vor=handenen	w4649
<g/>
=
Handwerks	w4651
<g/>
=
requisiten	w4653
<g/>
,
dann	w4655
13	w4656
<g/>
.
ein	w4658
Viertl	w4659
Joch	w4660
Haus	w4661
<g/>
=
äcker	w4663
käuflichen	w4664
an	w4665
sich	w4666
zu	w4667
bringen	w4668
gedenket	w4669
<g/>
,
wird	w4671
an	w4672
obbestimmten	w4673
Tag	w4674
und	w4675
Stund	w4676
auf	w4677
der	w4678
Hoch	w4679
gräfl	w4680
<g/>
.
unterwalterstor=fischen	w4682
<g/>
=
Herrschafts	w4684
<g/>
=
canzley	w4686
zu	w4687
erscheinen	w4688
einge=laden	w4689
<g/>
=
<g/>
.
</p>
<p id="p58">
Jn	w4692
des	w4693
Hermann	w4694
Joseph	w4695
Krüchtens	w4696
Buch	w4697
<g/>
=
ge=wölb	w4699
<g/>
=
bey	w4701
der	w4702
Welt	w4703
kugel	w4704
im	w4705
Seitzer=hof	w4706
sind	w4707
nachstehende	w4708
Bücher	w4709
um	w4710
beygesetzten	w4711
Preis	w4712
zu	w4713
haben	w4714
<g/>
:
</p>
<p id="p59">
Esprit	w4716
du	w4717
Chevalier	w4718
Folard	w4719
tiré	w4720
de	w4721
ses	w4722
comentaires	w4723
sur	w4724
l'histoire	w4725
de	w4726
Polybe	w4727
pour	w4728
l'usage	w4729
d'un	w4730
Officier	w4731
de	w4732
Main	w4733
de	w4734
Maitre	w4735
<g/>
,
avec	w4737
les	w4738
Plans	w4739
<g/>
&
les	w4741
figures	w4742
necessaires	w4743
pour	w4744
l'intelligence	w4745
de	w4746
cet	w4747
abregé	w4748
<g/>
,
gros	w4750
8	w4751
<g/>
.
Paris	w4753
1760	w4754
<g/>
.
à	w4756
4	w4757
<g/>
.
fl	w4759
<g/>
.
15	w4761
<g/>
.
kr	w4763
<g/>
.
</p>
<p id="p60">
Kern	w4765
aus	w4766
des	w4767
Ritters	w4768
Herrn	w4769
von	w4770
Folard	w4771
Er-klärungen	w4772
<g/>
-
über	w4774
die	w4775
Geschichte	w4776
des	w4777
Polybius	w4778
zum	w4779
Gebrauch	w4780
eines	w4781
Officiers	w4782
von	w4783
hoher	w4784
Hand	w4785
<g/>
,
nebst	w4787
den	w4788
zum	w4789
Verstande	w4790
dieses	w4791
kurzen	w4792
Begriffes	w4793
nöhti=gen	w4794
<g/>
=
Rissen	w4796
und	w4797
Vorstellungen	w4798
<g/>
,
aus	w4800
dem	w4801
Fran=zösischen	w4802
<g/>
=
übersetzet	w4804
<g/>
,
groß	w4806
8vo	w4807
<g/>
.
1760	w4809
<g/>
.
à	w4811
3	w4812
<g/>
.
fl	w4814
<g/>
.
15	w4816
<g/>
.
kr	w4818
<g/>
.
</p>
<p id="p61">
Dictionaire	w4820
portatif	w4821
de	w4822
santé	w4823
dans	w4824
lequel	w4825
tout	w4826
le	w4827
monde	w4828
peut	w4829
prendre	w4830
une	w4831
connoisance	w4832
suffisante	w4833
de	w4834
toutes	w4835
les	w4836
maladies	w4837
<g/>
.
2	w4839
<g/>
.
Tomes	w4841
<g/>
,
12	w4843
<g/>
.
Paris	w4845
1760	w4846
<g/>
.
à	w4848
2	w4849
<g/>
.
fl	w4851
<g/>
.
30	w4853
<g/>
.
xr	w4855
<g/>
.
</p>
<p id="p62">
Nächstkünftigen	w4857
Dienstag	w4858
<g/>
,
als	w4860
den	w4861
23	w4862
<g/>
.
dies	w4864
Mo=nats	w4865
<g/>
=
werden	w4867
auf	w4868
dem	w4869
Hohen	w4870
markt	w4871
in	w4872
dem	w4873
Maure=rischen	w4874
<g/>
=
Haus	w4876
im	w4877
2ten	w4878
Stock	w4879
auf	w4880
die	w4881
Gassen	w4882
ge=gen	w4883
<g/>
=
über	w4885
dem	w4886
Brunn	w4887
haus	w4888
verschiedene	w4889
Verlassen=schafts	w4890
<g/>
=
<g/>
=
effecten	w4893
<g/>
,
als	w4895
<g/>
:
Jubellen	w4897
<g/>
,
goldene	w4899
Toback=dosen	w4900
<g/>
=
<g/>
,
silberne	w4903
Uhren	w4904
<g/>
,
Silber	w4906
<g/>
,
Kleidung	w4908
<g/>
,
Wäsch	w4910
<g/>
,
Beth	w4912
<g/>
,
und	w4914
Lein	w4915
<g/>
=
gewandt	w4917
<g/>
,
Sessel	w4919
<g/>
,
Tisch	w4921
<g/>
,
und	w4923
Kästen	w4924
<g/>
,
Vormittags	w4926
von	w4927
9	w4928
<g/>
.
bis	w4930
12	w4931
<g/>
.
und	w4933
NachNachmittags	w4934
<g/>
=
</p>
<p id="p63">
mittags	w4936
aber	w4937
von	w4938
3	w4939
<g/>
.
bis	w4941
6	w4942
<g/>
.
Uhr	w4944
dem	w4945
Meistbie=tenden	w4946
licitando	w4947
verkauffet	w4948
werden	w4949
<g/>
.
</p>
<p id="p64">
NB	w4951
Es	w4952
befinden	w4953
sich	w4954
auch	w4955
verschiedene	w4956
Histo=rische	w4957
<g/>
=
und	w4959
Mathematische	w4960
Bücher	w4961
<g/>
,
wovon	w4963
der	w4964
Ca=talogus	w4965
<g/>
=
in	w4967
der	w4968
Buchhandlung	w4969
zum	w4970
goldenen	w4971
Vlies	w4972
auf	w4973
der	w4974
hohen	w4975
Brucken	w4976
gratis	w4977
zu	w4978
haben	w4979
ist	w4980
<g/>
.
</p>
<p id="p65">
Den	w4982
24	w4983
<g/>
.
dieses	w4985
Monats	w4986
Septemb	w4987
<g/>
.
wird	w4989
in	w4990
der	w4991
Vor	w4992
<g/>
=
stadt	w4994
am	w4995
Spitlberg	w4996
bey	w4997
dem	w4998
grossen	w4999
Pelli=can	w5000
<g/>
=
im	w5002
grossen	w5003
Hof	w5004
im	w5005
ersten	w5006
Stock	w5007
Num	w5008
<g/>
.
61	w5010
eine	w5011
schöne	w5012
in	w5013
700	w5014
<g/>
.
Stück	w5016
bestehende	w5017
Orangerie	w5018
zerschiedener	w5019
Welschen	w5020
Bäumen	w5021
und	w5022
anderer	w5023
der=ley	w5024
<g/>
=
Gewächsen	w5026
<g/>
,
auch	w5028
Blumen	w5029
dem	w5030
Meistbieten=den	w5031
<g/>
=
Vormittags	w5033
von	w5034
9	w5035
<g/>
.
bis	w5037
12	w5038
<g/>
.
Nachmittags	w5040
aber	w5041
von	w5042
3	w5043
<g/>
.
bis	w5045
6	w5046
<g/>
.
Uhr	w5048
licitando	w5049
verkauffet	w5050
werden	w5051
wessentwegen	w5052
<g/>
,
falls	w5054
ein	w5055
<g/>
=
oder	w5057
andere	w5058
respectiv	w5059
Liebhabere	w5060
ersagte	w5061
Orangerie	w5062
vorläufig	w5063
anzusehen	w5064
belieben	w5065
würden	w5066
<g/>
,
sich	w5068
jene	w5069
in	w5070
bemerkter	w5071
Behau=sung	w5072
<g/>
=
Num	w5074
<g/>
.
61	w5076
<g/>
.
melden	w5078
können	w5079
<g/>
.
</p>
<p id="p66">
Den	w5081
22	w5082
<g/>
.
dies	w5084
Monats	w5085
Sept	w5086
<g/>
.
fruhe	w5088
von	w5089
9	w5090
<g/>
.
bis	w5092
12	w5093
<g/>
.
und	w5095
Nachmittag	w5096
von	w5097
3	w5098
<g/>
.
bis	w5100
6	w5101
<g/>
.
Uhr	w5103
wird	w5104
das	w5105
Gräfl	w5106
<g/>
.
Leopold	w5108
Kinskysch	w5109
<g/>
=
Böhmische	w5111
Pferd	w5112
<g/>
=
gestütt	w5114
<g/>
,
be=stehend	w5116
<g/>
=
in	w5118
45	w5119
<g/>
.
Stuck	w5121
grau	w5122
<g/>
-
weiß	w5124
<g/>
=
und	w5126
roten	w5127
Schim=mel	w5128
<g/>
=
<g/>
=
stutten	w5131
<g/>
,
15	w5133
<g/>
.
und	w5135
meistens	w5136
16	w5137
<g/>
.
Faust	w5139
hoch	w5140
<g/>
,
dann	w5142
3	w5143
<g/>
.
und	w5145
1	w5146
<g/>
=
jährigen	w5148
Fohlen	w5149
<g/>
,
auch	w5151
Beschellern	w5152
von	w5153
obig	w5154
<g/>
-
und	w5156
anderen	w5157
Farben	w5158
<g/>
,
auf	w5160
dero	w5161
Herrschaft	w5162
Ma=tzen	w5163
<g/>
=
am	w5165
Marchfeld	w5166
an	w5167
den	w5168
Meist	w5169
<g/>
=
bietenden	w5171
gegen	w5172
baarer	w5173
Bezahlung	w5174
verkauffet	w5175
werden	w5176
<g/>
.
</p>
<p id="p67">
Es	w5178
dienet	w5179
dem	w5180
Publico	w5181
zur	w5182
Nachricht	w5183
<g/>
,
daß	w5185
den	w5186
18	w5187
<g/>
.
dieses	w5189
a	w5190
<g/>
.
c	w5192
<g/>
.
in	w5194
dem	w5195
Burger	w5196
<g/>
=
spital	w5198
im	w5199
zweyten	w5200
Stock	w5201
gegen	w5202
der	w5203
Cärtnerstrassen	w5204
heraus	w5205
ein	w5206
schö=ner	w5207
<g/>
=
Vorraht	w5209
von	w5210
Historischen	w5211
und	w5212
Juristischen	w5213
Büchern	w5214
<g/>
,
licitando	w5216
verkauft	w5217
werden	w5218
sollen	w5219
<g/>
.
</p>
<p id="p68">
Der	w5221
Catalogus	w5222
ist	w5223
in	w5224
der	w5225
Buchhandlung	w5226
zum	w5227
goldenen	w5228
Vließ	w5229
gratis	w5230
zu	w5231
bekommen	w5232
<g/>
.
<g/>
.
</p>
<p id="p69">
Es	w5235
ist	w5236
auf	w5237
dem	w5238
Stock	w5239
am	w5240
Eisen	w5241
<g/>
=
platz	w5243
eine	w5244
schön	w5245
meublirte	w5246
Gelegenheit	w5247
von	w5248
einem	w5249
Zimmer	w5250
auf	w5251
der	w5252
Gassen	w5253
<g/>
,
und	w5255
4	w5256
<g/>
.
Zimmer	w5258
in	w5259
dem	w5260
Hof	w5261
hinaus	w5262
Monat	w5263
<g/>
=
weis	w5265
täglich	w5266
zu	w5267
verlassen	w5268
<g/>
,
wer	w5270
solche	w5271
be=stehen	w5272
<g/>
=
will	w5274
<g/>
,
hat	w5276
sich	w5277
in	w5278
der	w5279
Singer	w5280
strassen	w5281
in	w5282
dem	w5283
Schweighartischen	w5284
Hause	w5285
<g/>
,
oder	w5287
sogenannten	w5288
Jäger	w5289
<g/>
-
amt	w5291
in	w5292
dem	w5293
ersten	w5294
Stock	w5295
rückwärts	w5296
in	w5297
dem	w5298
Hof	w5299
anzumelden	w5300
<g/>
.
</p>
<p id="p70">
Es	w5302
werden	w5303
von	w5304
einer	w5305
Hochlöb	w5306
<g/>
.
N	w5308
<g/>
.
O	w5310
<g/>
.
Regie=rung	w5312
<g/>
=
den	w5314
18	w5315
<g/>
.
dies	w5317
Monats	w5318
von	w5319
9	w5320
<g/>
.
bis	w5322
12	w5323
und	w5324
Nachmittngs	w5325
von	w5326
3	w5327
<g/>
.
bis	w5329
6	w5330
<g/>
.
Uhr	w5332
und	w5333
folgende	w5334
Täg	w5335
verschiedene	w5336
Verlassenschafts	w5337
<g/>
=
effecten	w5339
<g/>
,
als	w5341
Manns	w5342
<g/>
=
und	w5344
Frauen=kleider	w5345
<g/>
,
dero	w5347
Wäsch	w5348
<g/>
,
rot-damastene	w5350
<g/>
-
Sopha	w5352
<g/>
,
ein	w5354
weiß	w5355
<g/>
=
damastener	w5357
Sessel	w5358
<g/>
,
ein	w5360
Englischer	w5361
Schreib=kasten	w5362
<g/>
,
Spiel	w5364
<g/>
=
tisch	w5366
<g/>
,
rot	w5368
<g/>
=
seidene	w5370
Fenster	w5371
<g/>
=
vorhäng	w5373
<g/>
,
mit	w5375
Eisen	w5376
beschla=gene	w5377
<g/>
=
Fässer	w5379
<g/>
,
und	w5381
verschiedene	w5382
