<doc id="wr_1757-12-21" attrs="word" year="1757" month="12" day="21" corpus="2">
<head id="h2_d204e2824">
Burtehude,	w1_d204e2828
Frankreich	w7_d204e10106
halten	w9_d204e10109
Wechsels=weise	w1_d204e10115
Unterredungen	w3_d204e10118
mit	w5_d204e10121
denen	w7_d204e10124
Mi	w9_d204e10127
nistern	w1_d204e10132
der	w3_d204e10135
Pforte.	w5_d204e10138
</p>
<p id="p8_d204e10141">
Die	w1_d204e10145
Errichtung	w3_d204e10148
einer	w5_d204e10151
General=militz	w7_d204e10154
hat	w9_d204e10157
noch	w1_d204e10162
immer	w3_d204e10165
guten	w5_d204e10168
Fortgang.	w7_d204e10171
Man	w9_d204e10174
wird	w11_d204e10177
auch	w13_d204e10181
unter	w1_d204e10186
dem	w3_d204e10189
Commando	w5_d204e10192
des	w7_d204e10195
Obristen	w9_d204e10198
Draper	w11_d204e10201
1000.	w1_d204e10207
Mann	w3_d204e10210
nach	w5_d204e10213
Asien	w7_d204e10216
schicken.	w9_d204e10219
</p>
<p id="p10_d204e10222">
Man	w1_d204e10226
vermutet,	w3_d204e10229
daß	w5_d204e10232
nächstens	w7_d204e10235
in	w9_d204e10238
dem	w11_d204e10241
Mi	w13_d204e10245
nisterio	w1_d204e10250
und	w3_d204e10253
bey	w5_d204e10256
der	w7_d204e10259
Armee	w9_d204e10262
grosse	w11_d204e10265
Verände	w13_d204e10269
rungen	w1_d204e10274
vorgehen	w3_d204e10277
werden	w5_d204e10280
</p>
<p id="p16_d204e10294">
Kurz=gefaßte	w1_d204e10298
Nachrichten.	w3_d204e10301
</p>
<head id="h2_d204e10307">
Eo	w1_d204e10311
geben	w3_d204e10314
die	w5_d204e10317
Briefe	w7_d204e10320
</head>
<p id="p4_d204e10323">
Von	w1_d204e10327
Paris.	w3_d204e10330
Daß	w5_d204e10333
alda	w7_d204e10336
der	w9_d204e10339
Königlich	w11_d204e10342
	w13_d204e10346
Pensionair	w1_d204e10351
Herr	w3_d204e10354
Percire,	w5_d204e10357
welcher	w7_d204e10360
durch	w9_d204e10363
die	w11_d204e10366
Kunst,	w1_d204e10371
die	w3_d204e10374
Stumme	w5_d204e10377
sprechen	w7_d204e10380
zu	w9_d204e10383
lehren,	w11_d204e10386
sehr	w13_d204e10390
berühmt	w1_d204e10396
ist,	w3_d204e10399
die	w5_d204e10402
Ehre	w7_d204e10405
gehabt	w9_d204e10408
habe,	w11_d204e10411
dem	w13_d204e10415
Mon	w15_d204e10418
seigneur	w1_d204e10423
le	w3_d204e10426
Dauphin,	w5_d204e10429
ein	w7_d204e10432
Mädgen	w9_d204e10435
von	w11_d204e10438
acht	w13_d204e10442
und	w1_d204e10447
einem	w3_d204e10450
halben	w5_d204e10453
Jahr,	w7_d204e10456
so	w9_d204e10459
ganz	w11_d204e10462
taub,	w13_d204e10466
und	w15_d204e10469
folglich	w1_d204e10474
stumm	w3_d204e10477
von	w5_d204e10480
Geburt	w7_d204e10483
gewesen,	w9_d204e10486
zu	w11_d204e10489
prä	w13_d204e10493
sentiren,	w1_d204e10499
welches	w3_d204e10502
durch	w5_d204e10505
den	w7_d204e10508
Minister	w9_d204e10511
und	w11_d204e10514
Staats=secretarium	w1_d204e10519
Graf	w3_d204e10522
von	w5_d204e10525
St.	w7_d204e10528
Floren	w9_d204e10531
tin,	w1_d204e10536
seiner	w3_d204e10539
hohen	w5_d204e10542
Wissenschaft	w7_d204e10545
anvertrauet	w9_d204e10548
worden;	w1_d204e10553
der	w3_d204e10556
ganze	w5_d204e10559
Hof	w7_d204e10562
habe	w9_d204e10565
sich	w11_d204e10568
verwun	w13_d204e10572
dert	w1_d204e10578
über	w3_d204e10581
die	w5_d204e10584
Beschaffenheit	w7_d204e10587
dieses	w9_d204e10590
Kindes,	w11_d204e10593
seo	w13_d204e10597
vom	w1_d204e10602
Anfang	w3_d204e10605
des	w5_d204e10608
Februarii	w7_d204e10611
verflossenen	w9_d204e10614
Jahrs	w11_d204e10617
von	w1_d204e10622
diesem	w3_d204e10625
erfahrnen	w5_d204e10628
Manne	w7_d204e10631
instruiret	w9_d204e10634
wor	w11_d204e10637
den,	w1_d204e10642
indeme	w3_d204e10645
an	w5_d204e10648
der	w7_d204e10651
Accuratesse	w9_d204e10654
und	w11_d204e10657
Nettig	w13_d204e10661
keit	w1_d204e10667
seiner	w3_d204e10670
Pronunciation	w5_d204e10673
nichts	w7_d204e10676
auszusetzen	w9_d204e10679
ware,	w1_d204e10684
es	w3_d204e10687
hat	w5_d204e10690
überdem	w7_d204e10693
eine	w9_d204e10696
besondere	w11_d204e10699
Fertig	w13_d204e10703
keit	w1_d204e10708
zu	w3_d204e10711
begreiffen,	w5_d204e10714
daß	w7_d204e10717
es	w9_d204e10720
zur	w11_d204e10723
Stunde	w13_d204e10727
alles	w15_d204e10730
dasjenige,	w1_d204e10735
vermög	w3_d204e10738
blosser	w5_d204e10741
Bewegung	w7_d204e10744
der	w9_d204e10747
Lip	w11_d204e10750
pen,	w1_d204e10756
wiederholen	w3_d204e10759
kan,	w5_d204e10762
was	w7_d204e10765
man	w9_d204e10768
ihm	w11_d204e10771
vorge	w13_d204e10775
sagt;	w1_d204e10780
sogar	w3_d204e10783
wird	w5_d204e10786
durchgehends	w7_d204e10789
von	w9_d204e10792
Jeder	w11_d204e10795
mann	w1_d204e10800
dafür	w3_d204e10803
gehalten,	w5_d204e10806
daß	w7_d204e10809
es	w9_d204e10812
in	w11_d204e10815
allen	w13_d204e10819
Sachen	w15_d204e10822
die	w1_d204e10827
vorigen	w3_d204e10830
Lehrlinge	w5_d204e10833
insgesammt	w7_d204e10836
übertreffe	w9_d204e10839
so	w1_d204e10845
besagter	w3_d204e10848
Herr	w5_d204e10851
Pereire	w7_d204e10854
verschiedene	w9_d204e10857
mahlen	w11_d204e10860
dem	w1_d204e10865
König	w3_d204e10868
sehen	w5_d204e10871
lassen.	w7_d204e10874
Diesen	w9_d204e10877
Unterscheid	w11_d204e10880
schreibet	w1_d204e10885
man	w3_d204e10888
dem	w5_d204e10891
zärtlichen	w7_d204e10894
Alter	w9_d204e10897
dieses	w11_d204e10900
Kin	w13_d204e10904
des,	w1_d204e10909
sodann	w3_d204e10912
dem	w5_d204e10915
guten	w7_d204e10918
Fortgang	w9_d204e10921
zu,	w11_d204e10924
welchen	w13_d204e10928
der	w1_d204e10934
Herr	w3_d204e10937
Pereire,	w5_d204e10940
nebst	w7_d204e10943
seinem	w9_d204e10946
Brudern	w11_d204e10949
in	w13_d204e10953
der	w15_d204e10956
Kupst	w1_d204e10961
je	w3_d204e10964
mehr	w5_d204e10967
und	w7_d204e10970
mehr	w9_d204e10973
machet.	w11_d204e10976
Gemeldete	w13_d204e10980
junge	w1_d204e10985
Stumme	w3_d204e10988
hat	w5_d204e10991
auch	w7_d204e10994
in	w9_d204e10997
Beyseyn	w11_d204e11000
des	w13_d204e11004
Dau	w15_d204e11007
phins	w1_d204e11012
einige	w3_d204e11015
Zeilen	w5_d204e11018
nach	w7_d204e11021
einander	w9_d204e11024
in	w11_d204e11027
dem	w13_d204e11031
Bu	w15_d204e11034
che	w1_d204e11040
gelesen,	w3_d204e11043
wodurch	w5_d204e11046
dieser	w7_d204e11049
Prinz	w9_d204e11052
dem	w11_d204e11055
vor	w13_d204e11059
treflichen	w1_d204e11064
Lehrmeister	w3_d204e11067
sein	w5_d204e11070
ausnehmendes	w7_d204e11073
Ver	w9_d204e11076
gnügen	w1_d204e11081
in	w3_d204e11084
aller	w5_d204e11087
Gütigkeit	w7_d204e11090
zu	w9_d204e11093
bezeigen	w11_d204e11096
geruhet	w13_d204e11100
Jetzt	w1_d204e11105
fanget	w3_d204e11108
diese	w5_d204e11111
junge	w7_d204e11114
glückliche	w9_d204e11117
Tochter	w11_d204e11120
an,	w13_d204e11124
ihre	w1_d204e11130
Nohtwendigkeit	w3_d204e11133
wörtlich	w5_d204e11136
zu	w7_d204e11139
begehren,	w9_d204e11142
wie	w1_d204e11147
auch	w3_d204e11150
zu	w5_d204e11153
schreiben,	w7_d204e11156
und	w9_d204e11159
die	w11_d204e11162
Verba	w13_d204e11166
zu	w15_d204e11169
con	w17_d204e11172
jugiren.	w1_d204e11177
Hieraus	w3_d204e11180
kan	w5_d204e11183
man	w7_d204e11186
abnehmen,	w9_d204e11189
wie	w11_d204e11192
weit	w1_d204e11197
es	w3_d204e11200
in	w5_d204e11203
der	w7_d204e11206
Welt	w9_d204e11209
gekommen	w11_d204e11212
ist,	w13_d204e11216
daß	w15_d204e11219
es	w17_d204e11222
de	w19_d204e11225
nen	w1_d204e11231
Menschen	w3_d204e11234
durch	w5_d204e11237
die	w7_d204e11240
Weißheit	w9_d204e11243
nicht	w11_d204e11246
un	w13_d204e11250
möglich	w1_d204e11255
mehr	w3_d204e11258
seye,	w5_d204e11261
die	w7_d204e11264
Gabe	w9_d204e11267
der	w11_d204e11270
Sprache	w13_d204e11274
mittheilen	w1_d204e11279
zu	w3_d204e11282
können.	w5_d204e11285
</p>
<p id="p6_d204e11288">
Von	w1_d204e11292
Straßburg:	w3_d204e11295
Daß	w5_d204e11298
sich	w7_d204e11301
30000	w9_d204e11304
Mann	w1_d204e11309
im	w3_d204e11312
Elsaß	w5_d204e11315
würklich	w7_d204e11318
zusammen	w9_d204e11321
zögen	w11_d204e11324
wsche	w1_d204e11329
nur	w3_d204e11332
dieletzte	w5_d204e11335
Ordre	w7_d204e11338
von	w9_d204e11341
Pars	w11_d204e11344
evar	w13_d204e11348
</p>
<p id="p8_d204e11351">
teten,	w1_d204e11355
sich	w3_d204e11358
dahin	w5_d204e11361
zu	w7_d204e11364
begeben,	w9_d204e11367
wo	w11_d204e11370
man	w13_d204e11374
ihre	w15_d204e11377
Gegenwart	w1_d204e11382
für	w3_d204e11385
nöhtig	w5_d204e11388
halten	w7_d204e11391
möchte.	w9_d204e11394
</p>
<p id="p10_d204e11397">
Von	w1_d204e11401
Gör;:	w3_d204e11404
Daß	w5_d204e11407
das	w7_d204e11410
mit	w9_d204e11413
Aller	w11_d204e11416
gnädig	w13_d204e11420
ster	w1_d204e11425
Genehm	w3_d204e11428
haltung	w5_d204e11431
geweihte	w7_d204e11434
Priester=haus	w9_d204e11437
alda	w1_d204e11442
den	w3_d204e11445
8ten	w5_d204e11448
Dieses	w7_d204e11451
von	w9_d204e11454
(Titl	w11_d204e11457
dem	w13_d204e11461
Herrn	w15_d204e11464
Erz=bischoffen	w1_d204e11470
Carl	w3_d204e11473
Michael	w5_d204e11476
Grafen	w7_d204e11479
von	w9_d204e11482
Attems	w1_d204e11487
mit	w3_d204e11490
feyerlichem	w5_d204e11493
Gepränge	w7_d204e11496
eröfnet	w9_d204e11499
worden	w1_d204e11504
seye.	w3_d204e11507
</p>
<head id="h2_d204e11514">
Wien	w1_d204e11518
21.	w3_d204e11521
December	w5_d204e11524
1757.	w7_d204e11527
</head>
<p id="p4_d204e11530">
SDmnkbag	w1_d204e11534
den	w3_d204e11537
K.	w5_d204e11540
dees	w7_d204e11543
Norniltogs	w9_d204e11546
der	w11_d204e11549
ben	w1_d204e11554
beyde	w3_d204e11557
Kaiserl.	w5_d204e11560
Majestäten	w7_d204e11563
mit	w9_d204e11566
de	w11_d204e11569
ren	w1_d204e11574
Durchl.	w3_d204e11577
ältesten	w5_d204e11580
jungen	w7_d204e11583
Herrschaften	w9_d204e11586
Königl.	w1_d204e11592
Hoheiten	w3_d204e11595
unter	w5_d204e11598
Begleitung	w7_d204e11601
des	w9_d204e11604
Päpst	w11_d204e11607
lichen	w1_d204e11612
Monsig.	w3_d204e11615
Nuntii	w5_d204e11618
nach	w7_d204e11621
der	w9_d204e11624
offentlichen	w11_d204e11627
Hof=capelle	w1_d204e11632
sich	w3_d204e11635
erhoben,	w5_d204e11638
und	w7_d204e11641
dem	w9_d204e11644
feyerli	w11_d204e11647
chen	w1_d204e11652
GOttes=dienst	w3_d204e11655
beygewohnet,	w5_d204e11658
wie	w7_d204e11661
dann	w9_d204e11664
Allerhöchste	w1_d204e11670
Herrschaften	w3_d204e11673
bey	w5_d204e11676
fürwährender	w7_d204e11679
Noven	w1_d204e11684
der	w3_d204e11687
Zukunft	w5_d204e11690
des	w7_d204e11693
Heilands	w9_d204e11696
der	w11_d204e11699
täg	w13_d204e11703
lichen	w1_d204e11708
Andacht	w3_d204e11711
in	w5_d204e11714
der	w7_d204e11717
Josephinischen	w9_d204e11720
Hof	w11_d204e11723
capelle	w1_d204e11728
Vor	w3_d204e11731
und	w5_d204e11734
Nach	w7_d204e11737
mittags	w9_d204e11740
abwarten,	w11_d204e11743
annebens	w1_d204e11749
in	w3_d204e11752
wichtigen	w5_d204e11755
Staats	w7_d204e11758
und	w9_d204e11761
Landes	w11_d204e11764
angelegenheiten	w1_d204e11769
diese	w3_d204e11772
Täge	w5_d204e11775
hindurch	w7_d204e11778
verschie	w9_d204e11781
dene	w1_d204e11786
Conferenzen	w3_d204e11789
gehalten	w5_d204e11792
haben.	w7_d204e11795
</p>
<p id="p6_d204e11798">
Eodem	w1_d204e11802
um	w3_d204e11805
6.	w5_d204e11808
Uhr	w7_d204e11811
Abends	w9_d204e11814
haben	w11_d204e11817
sich	w13_d204e11821
beyde	w15_d204e11824
Kais.	w1_d204e11829
Majestäten	w3_d204e11832
nebst	w5_d204e11835
ihren	w7_d204e11838
Königl.	w9_d204e11841
Hoheiten	w11_d204e11844
denen	w1_d204e11849
Durchl.	w3_d204e11852
Erz=herzogen	w5_d204e11855
Joseph,	w7_d204e11858
Carl,	w9_d204e11861
Peter	w1_d204e11867
Leopold,	w3_d204e11870
und	w5_d204e11873
Erz=herzoginen	w7_d204e11876
Maria	w9_d204e11879
Chri	w11_d204e11882
stina,	w1_d204e11887
Elisabetha,	w3_d204e11890
und	w5_d204e11893
Amalia	w7_d204e11896
in	w9_d204e11899
die	w11_d204e11902
Kais.	w13_d204e11906
Kö	w15_d204e11909
nigl.	w1_d204e11914
Academie	w3_d204e11917
deren	w5_d204e11920
Orientalischen	w7_d204e11923
Spra	w9_d204e11926
chen	w1_d204e11931
erhoben,	w3_d204e11934
und	w5_d204e11937
alda	w7_d204e11940
einer,	w9_d204e11943
unter	w11_d204e11946
Anführung	w13_d204e11950
des	w1_d204e11956
Directoris	w3_d204e11959
ejusdem	w5_d204e11962
cademiæ,	w7_d204e11965
&	w9_d204e11968
Phi-	w11_d204e11971
losophiæ	w1_d204e11976
(Titl.)	w3_d204e11979
Seiner	w5_d204e11982
Hoch=würden	w7_d204e11985
Patris	w1_d204e11990
Joseph	w3_d204e11993
Franz	w5_d204e11996
Soc.	w7_d204e11999
Jesu,	w9_d204e12002
theils	w11_d204e12005
in	w13_d204e12009
Türkischer,	w1_d204e12014
theils	w3_d204e12017
in	w5_d204e12020
Französischer	w7_d204e12023
Sprache	w9_d204e12026
producirten	w1_d204e12032
Tragedie	w3_d204e12035
beygewohnet,	w5_d204e12038
auch	w7_d204e12041
hierüber	w1_d204e12046
Dero	w3_d204e12049
Allerhöchstes	w5_d204e12052
Wolgefallen	w7_d204e12055
zu	w1_d204e12060
bezeugen,	w3_d204e12063
und	w5_d204e12066
denen	w7_d204e12069
sammentl.	w9_d204e12072
Academi-	w11_d204e12075
sten	w1_d204e12080
den	w3_d204e12083
allergnädigsten	w5_d204e12086
Hand=kuß	w7_d204e12089
zu	w9_d204e12092
ver	w11_d204e12095
statten	w1_d204e12101
geruhet,	w3_d204e12104
wo	w5_d204e12107
sodann	w7_d204e12110
Allerhöchst	w9_d204e12113
die	w11_d204e12116
selbe	w1_d204e12121
unter	w3_d204e12124
einstens	w5_d204e12127
auch	w7_d204e12130
das	w9_d204e12133
von	w11_d204e12136
ihme	w13_d204e12140
R.	w15_d204e12143
P.	w1_d204e12148
Frantz	w3_d204e12151
neu=errichtete	w5_d204e12154
Musæum	w7_d204e12157
Ma-	w9_d204e12160
thematicum	w1_d204e12165
&	w3_d204e12168
physicum	w5_d204e12171
in	w7_d204e12174
allergnädig	w9_d204e12177
sten	w1_d204e12183
Augenschein	w3_d204e12186
genommen,	w5_d204e12189
und	w7_d204e12192
sich	w9_d204e12195
nach	w11_d204e12198
gehends	w1_d204e12203
um	w3_d204e12206
9.	w5_d204e12209
Uhr	w7_d204e12212
wiederum	w9_d204e12215
in	w11_d204e12218
die	w13_d204e12222
Kaiserl.	w15_d204e12225
Königl.	w1_d204e12230
Burg	w3_d204e12233
zuruck=begeben	w5_d204e12236
haben.	w7_d204e12239
Zu	w1_d204e12244
Ende	w3_d204e12247
voriger	w5_d204e12250
Woche	w7_d204e12253
ist	w9_d204e12256
der	w11_d204e12259
einige	w13_d204e12263
Zeit	w15_d204e12266
lang	w1_d204e12272
dahier	w3_d204e12275
gestandene	w5_d204e12278
Chur=pfälzische	w7_d204e12281
Mini	w9_d204e12284
</p>
<p id="p8_d204e12287">
sen	w1_d204e12291
Frbeher	w3_d204e12294
von	w5_d204e12297
Zetritz	w7_d204e12300
nach	w9_d204e12303
bey	w11_d204e12306
Aller	w13_d204e12310
</p>
<p id="p14_d204e12324">
höchsten	w1_d204e12328
Majestäten	w3_d204e12331
gehabter	w5_d204e12334
Urlaub=audienz	w7_d204e12337
von	w1_d204e12342
hier	w3_d204e12345
nacher	w5_d204e12348
Pfalz	w7_d204e12351
zurück	w9_d204e12354
abgereiset,	w11_d204e12357
an	w1_d204e12362
dessen	w3_d204e12365
Stelle	w5_d204e12368
ein	w7_d204e12371
anderer	w9_d204e12374
Chur=pfälzist	w11_d204e12377
Minister	w1_d204e12383
hieher	w3_d204e12386
kommen	w5_d204e12389
wird.	w7_d204e12392
</p>
<head id="h2_d204e12398">
Lüs	w1_d204e12402
deren	w3_d204e12405
Deshondenen	w5_d204e12408
ul	w7_d204e12411
Oben	w9_d204e12414
in	w1_d204e12419
und	w3_d204e12422
vor	w5_d204e12425
der	w7_d204e12428
Stadt.	w9_d204e12431
12	w1_d204e12436
Den	w1_d204e12442
16.	w3_d204e12445
Decemb.	w5_d204e12448
10.	w1_d204e12453
14(	w1_d204e12458
Jn	w1_d204e12463
der	w3_d204e12466
Stadt.	w5_d204e12469
Dem	w1_d204e12475
Thom.	w3_d204e12478
Eder,	w5_d204e12481
Burgerl.	w7_d204e12484
Schlos,	w9_d204e12487
s.	w11_d204e12490
K.	w13_d204e12494
Eva,	w15_d204e12497
im	w17_d204e12500
</head>
<list id="l4_d204e12503">
Vor	w1_d204e12507
der	w3_d204e12510
Mradt.	w5_d204e12513
Der	w1_d204e12518
J.	w3_d204e12521
Johan	w5_d204e12524
Bangieronin,	w7_d204e12527
Wittwe	w9_d204e12530
ihr	w11_d204e12533
K.	w13_d204e12537
Joh.	w15_d204e12540
im	w1_d204e12545
Stageris.	w3_d204e12548
H.	w5_d204e12551
in	w7_d204e12554
der	w9_d204e12557
Leopoldst.,	w11_d204e12560
5.	w13_d204e12564
J.	w15_d204e12567
Georg	w1_d204e12573
Baber,	w3_d204e12576
gew.	w5_d204e12579
durgerl.	w7_d204e12582
Sail,	w9_d204e12585
beym	w11_d204e12588
gold.	w1_d204e12593
Stern	w3_d204e12596
auf	w5_d204e12599
der	w7_d204e12602
Wieb.,	w9_d204e12605
alt	w11_d204e12608
58.	w13_d204e12612
J.	w15_d204e12615
Dem	w1_d204e12620
Phil.	w3_d204e12623
Zuelos,	w5_d204e12626
Stick.,	w7_d204e12629
s.	w9_d204e12632
W.	w11_d204e12635
Margar.,	w13_d204e12639
bey	w15_d204e12642
der	w17_d204e12645
gold.	w1_d204e12650
Schnal	w3_d204e12653
bey	w5_d204e12656
Maria=hülf,	w7_d204e12659
alt	w9_d204e12662
37.	w11_d204e12665
J.	w13_d204e12669
Dem	w1_d204e12675
Georg	w3_d204e12678
Gässel,	w5_d204e12681
Post=wagens=conducteurn,	w7_d204e12684
s.	w9_d204e12687
W.	w1_d204e12692
Chrinina,	w3_d204e12695
im	w5_d204e12698
Frey	w7_d204e12701
gut	w9_d204e12704
auf	w11_d204e12707
der	w13_d204e12711
Wied.	w15_d204e12714
57.	w17_d204e12717
J.	w19_d204e12720
Dem	w1_d204e12725
Franz	w3_d204e12728
Magiro,	w5_d204e12731
ein	w7_d204e12734
Koch,	w9_d204e12737
s.	w11_d204e12740
K.	w13_d204e12744
Clem.,	w15_d204e12747
im	w17_d204e12750
Oeleris.	w1_d204e12755
H.	w3_d204e12758
zu	w5_d204e12761
Margar,	w7_d204e12764
alt	w9_d204e12767
7	w11_d204e12770
v.	w13_d204e12774
J.	w15_d204e12777
Dem	w1_d204e12783
Leonh.	w3_d204e12786
Heiul,	w5_d204e12789
Schuh	w7_d204e12792
mach.	w9_d204e12795
s.	w11_d204e12798
T.	w13_d204e12802
Magd.	w15_d204e12805
im	w1_d204e12810
Zins=H.	w3_d204e12813
en	w5_d204e12816
der	w7_d204e12819
Josephst	w9_d204e12822
alt	w11_d204e12825
22.	w13_d204e12829
J.	w15_d204e12832
Melch	w1_d204e12837
Obnesorg,	w3_d204e12840
Lack.,	w5_d204e12843
beyn	w7_d204e12846
5.	w9_d204e12849
Lerch	w11_d204e12852
am	w13_d204e12856
Reu	w15_d204e12859
stitt,	w1_d204e12864
alt	w3_d204e12867
54	w5_d204e12870
J.	w7_d204e12873
Dem	w1_d204e12879
oh.	w3_d204e12882
Geper,	w5_d204e12885
Windten=mach,	w7_d204e12888
s.	w9_d204e12891
K.	w11_d204e12894
Joh.,	w13_d204e12898
beyn	w15_d204e12901
2.	w1_d204e12906
Linden	w3_d204e12909
am	w5_d204e12912
Thury,	w7_d204e12915
alt	w9_d204e12918
3.	w11_d204e12921
J.	w13_d204e12925
Franz	w1_d204e12930
Fovo,	w3_d204e12933
Züg	w5_d204e12936
bey	w7_d204e12939
der	w9_d204e12942
gold.	w11_d204e12945
Weintr.	w13_d204e12949
in	w15_d204e12952
der	w17_d204e12955
Josephst.,	w1_d204e12960
alt	w3_d204e12963
54	w5_d204e12966
J.	w7_d204e12969
Joh.	w1_d204e12975
Pewick,	w3_d204e12978
Schuh=kn.,	w5_d204e12981
berrn	w7_d204e12984
Schwarzwalder	w9_d204e12987
bet	w11_d204e12990
St.	w1_d204e12995
Ulrich,	w3_d204e12998
alt	w5_d204e13001
69.	w7_d204e13004
J.	w9_d204e13007
Dem	w1_d204e13012
Barthl.	w3_d204e13015
Regenhart,	w5_d204e13018
Tagw.,	w7_d204e13021
s.	w9_d204e13024
W.	w11_d204e13027
Anna,	w13_d204e13031
bey	w15_d204e13034
der	w1_d204e13039
Meer=fele	w3_d204e13042
im	w5_d204e13045
Liechtenth.	w7_d204e13048
alt	w9_d204e13051
44.	w11_d204e13054
J.	w13_d204e13058
Leop.	w1_d204e13064
Berger,	w3_d204e13067
Tagw,	w5_d204e13070
bey	w7_d204e13073
der	w9_d204e13076
rot.	w11_d204e13079
Saul	w13_d204e13083
im	w15_d204e13086
Lies	w17_d204e13089
tenth,	w1_d204e13094
alt	w3_d204e13097
60.	w5_d204e13100
</list>
<head id="h2_d204e13107">
Summa	w1_d204e13111
13	w3_d204e13114
Pers.,	w5_d204e13117
darmter	w7_d204e13120
4.	w9_d204e13123
Kinder	w11_d204e13126
De	w1_d204e13131
17.	w3_d204e13134
Dec.	w5_d204e13137
Jn	w1_d204e13142
der	w3_d204e13145
Stadt.	w5_d204e13148
</head>
<list id="l4_d204e13151">
Dem	w1_d204e13155
Loch=edeligen.	w3_d204e13158
den	w5_d204e13161
Jos.	w7_d204e13164
Eolen	w9_d204e13167
v.	w11_d204e13170
Henne	w13_d204e13174
berg,	w1_d204e13179
des	w3_d204e13182
H.	w5_d204e13185
R.	w7_d204e13188
R.	w9_d204e13191
Rit.,	w11_d204e13194
K.	w13_d204e13198
K.	w15_d204e13201
Militar=hof=com	w17_d204e13204
mißions=canzl	w1_d204e13209
Registr.,	w3_d204e13212
s.	w5_d204e13215
Fr.	w7_d204e13218
Gemahl.	w9_d204e13221
Cordula,	w11_d204e13224
bey	w1_d204e13230
der	w3_d204e13233
Schlang	w5_d204e13236
in	w7_d204e13239
der	w9_d204e13242
Kärntnerstr.,	w11_d204e13245
alt	w13_d204e13249
60.	w15_d204e13252
Dem	w1_d204e13257
Hrn.	w3_d204e13260
Franz	w5_d204e13263
Sotscheck,	w7_d204e13266
Burgerl.	w9_d204e13269
Handels=m.	w11_d204e13272
s.	w1_d204e13277
K.	w3_d204e13280
Franz,	w5_d204e13283
im	w7_d204e13286
Moseris.	w9_d204e13289
d.	w11_d204e13292
am	w13_d204e13296
alt.	w15_d204e13299
Baurenem.,	w17_d204e13302
alt	w1_d204e13307
2.J.	w3_d204e13310
Jr.	w1_d204e13316
Cato	w3_d204e13319
lin	w5_d204e13322
Amsonin,	w7_d204e13325
Witns,	w9_d204e13328
imn	w11_d204e13331
Conödl.	w13_d204e13335
H.	w15_d204e13338
alt	w1_d204e13343
9.	w3_d204e13346
Maria	w1_d204e13351
Anna	w3_d204e13354
Schredin,	w5_d204e13357
led,	w7_d204e13360
M.,	w9_d204e13363
im	w11_d204e13366
Peydisch.	w13_d204e13370
H.	w15_d204e13373
in	w1_d204e13378
der	w3_d204e13381
Kärntnerst.,	w5_d204e13384
alt	w7_d204e13387
40.	w9_d204e13390
J.	w11_d204e13393
Vor	w1_d204e13399
der	w3_d204e13402
Stadt.	w5_d204e13405
</list>
<list id="l6_d204e13409">
Polix.	w1_d204e13413
Dobenzin,	w3_d204e13416
Wittwe,	w5_d204e13419
beym	w7_d204e13422
dl.	w9_d204e13425
Ygel	w11_d204e13428
in	w13_d204e13432
de	w15_d204e13435
|	w17_d204e13438
Leovoldt.	w1_d204e13443
alt	w3_d204e13446
46.	w5_d204e13449
J.	w7_d204e13452
Dem	w1_d204e13457
Alderl	w3_d204e13460
Schrift,	w5_d204e13463
Wit,	w7_d204e13466
s.	w9_d204e13469
K.	w11_d204e13472
Ant.,	w13_d204e13476
in	w15_d204e13479
s.	w17_d204e13482
im	w1_d204e13488
lech	w3_d204e13491
enth	w5_d204e13494
alt	w7_d204e13497
7	w9_d204e13500
J.	w11_d204e13503
Dem	w1_d204e13508
Franz	w3_d204e13511
König=Burgerl.	w5_d204e13514
Radl.,	w7_d204e13517
s.	w9_d204e13520
K.	w11_d204e13523
Wenzu,	w13_d204e13527
Der	w15_d204e13530
Wol=thrn.	w17_d204e13533
P.	w19_d204e13536
Engelb	w21_d204e13539
Ord.	w23_d204e13542
Carmel.	w25_d204e13546
diseh.	w27_d204e13549
im	w1_d204e13554
Tluch	w3_d204e13557
bey	w5_d204e13560
St.	w7_d204e13563
Ulrich,	w9_d204e13566
alt	w11_d204e13569
6.	w13_d204e13573
J.	w15_d204e13576
</list>
<list id="l8_d204e13580">
Shrl.	w1_d204e13584
Bergerin,	w3_d204e13587
Butgel	w5_d204e13590
Mitwve,	w7_d204e13593
bers	w9_d204e13596
zod	w11_d204e13599
Löw.	w1_d204e13604
in	w3_d204e13607
der	w5_d204e13610
Leopolda.,	w7_d204e13613
alt	w9_d204e13616
75.	w11_d204e13619
J.	w13_d204e13623
Dem	w1_d204e13628
Paul	w3_d204e13631
Peninger,	w5_d204e13634
Rei=schn.	w7_d204e13637
s.	w9_d204e13640
8.	w11_d204e13643
Cisteh.	w13_d204e13647
in	w15_d204e13650
Haugwitzls.	w1_d204e13656
Gart.	w3_d204e13659
in	w5_d204e13662
der	w7_d204e13665
Josephst.,	w9_d204e13668
alt	w11_d204e13671
Joh.	w1_d204e13676
Keller,	w3_d204e13679
Schuh=mach.,	w5_d204e13682
beom	w7_d204e13685
schwerz	w9_d204e13688
Rös.	w11_d204e13691
im	w13_d204e13695
Lerchenf.,	w1_d204e13700
alt	w3_d204e13703
64.	w5_d204e13706
J.	w7_d204e13709
Dem	w1_d204e13714
Bottl.	w3_d204e13717
