<doc id="wr_1762-05-01" attrs="word" year="1762" month="05" day="01" corpus="2">
<head id="h2_d652e3101">
Auszug	w1_d652e3105
der	w5_d652e10373
untereinsten	w7_d652e10376
beygefügten	w9_d652e10379
Ver	w11_d652e10382
sicherung	w1_d652e10387
zu	w3_d652e10390
erweisen	w5_d652e10393
verbunden	w7_d652e10396
ist,	w9_d652e10399
daß	w11_d652e10402
selber	w1_d652e10407
nach	w3_d652e10410
erfolgter	w5_d652e10413
Genesung,	w7_d652e10416
ohne	w9_d652e10419
Ei	w11_d652e10422
wartung	w1_d652e10428
einer	w3_d652e10431
neuen	w5_d652e10434
Ordre,	w7_d652e10437
seine	w9_d652e10440
Ruckrei	w11_d652e10443
se	w1_d652e10448
antreten	w3_d652e10451
wolle:	w5_d652e10454
wohingegen	w7_d652e10457
diejenigen,	w9_d652e10460
welche	w1_d652e10465
wider	w3_d652e10468
Verhoffen	w5_d652e10471
sich	w7_d652e10474
weder	w9_d652e10477
stellen,	w11_d652e10480
noch	w1_d652e10485
ihre	w3_d652e10488
Krankheit	w5_d652e10491
behörig	w7_d652e10494
darthun,	w9_d652e10497
ohn	w11_d652e10500
ausbleiblich	w1_d652e10506
zu	w3_d652e10509
gewarten	w5_d652e10512
haben,	w7_d652e10515
daß	w9_d652e10518
nach	w11_d652e10521
denen	w1_d652e10526
in	w3_d652e10529
solchen	w5_d652e10532
Fällen	w7_d652e10535
gewöhnlichen	w9_d652e10538
Ge	w11_d652e10541
sätzen,	w1_d652e10546
Kriegs=rechten	w3_d652e10549
und	w5_d652e10552
Gebräuchen	w7_d652e10555
oh	w9_d652e10558
ne	w1_d652e10563
Nachsicht	w3_d652e10566
gegen	w5_d652e10569
selbe	w7_d652e10572
Verfahren	w9_d652e10575
werden	w11_d652e10578
solle;	w1_d652e10584
dahero	w3_d652e10587
dann,	w5_d652e10590
und	w7_d652e10593
damit	w9_d652e10596
niemand	w11_d652e10599
mit	w1_d652e10604
der	w3_d652e10607
Unwissenheit	w5_d652e10610
sich	w7_d652e10613
zu	w9_d652e10616
entschuldigen	w11_d652e10619
Anlaß	w1_d652e10624
nehmen	w3_d652e10627
möge,	w5_d652e10630
von	w7_d652e10633
diesem	w9_d652e10636
Zurück	w11_d652e10639
berufungs=befehl	w1_d652e10644
nicht	w3_d652e10647
allein	w5_d652e10650
ein	w7_d652e10653
Exemplar	w9_d652e10656
dem	w1_d652e10662
gegenseitigen	w3_d652e10665
General=commando	w5_d652e10668
zu	w7_d652e10671
gesendet,	w1_d652e10676
sondern	w3_d652e10679
auch	w5_d652e10682
solches	w7_d652e10685
durch	w9_d652e10688
den	w11_d652e10691
Druck	w1_d652e10696
in	w3_d652e10699
denen	w5_d652e10702
öffentlichen	w7_d652e10705
Zeitungen	w9_d652e10708
be	w11_d652e10711
kannt	w1_d652e10716
gemacht	w3_d652e10719
worden	w5_d652e10722
ist.	w7_d652e10725
So	w9_d652e10728
geschehen	w11_d652e10731
Wien	w1_d652e10737
den	w3_d652e10740
21.	w5_d652e10743
April	w7_d652e10746
1762.	w9_d652e10749
</p>
<list id="l28_d652e10763">
D	w1_d652e10767
</list>
<head id="h2_d652e10776">
Lista	w1_d652e10780
deren	w3_d652e10783
Verstorbenen	w5_d652e10786
zu	w7_d652e10789
Wien	w9_d652e10792
in	w1_d652e10797
und	w3_d652e10800
vor	w5_d652e10803
der	w7_d652e10806
Stadt.	w9_d652e10809
Den	w1_d652e10814
23.	w3_d652e10817
April.	w5_d652e10820
Jn	w1_d652e10826
der	w3_d652e10829
Stadt.	w5_d652e10832
</head>
<list id="l4_d652e10835">
Fr.	w1_d652e10839
Elisab.	w3_d652e10842
Wagnerin,	w5_d652e10845
Wittwe	w7_d652e10848
im	w9_d652e10851
K.	w11_d652e10854
K.	w13_d652e10858
Münz=H.	w15_d652e10861
in	w1_d652e10866
der	w3_d652e10869
Himmel=pfort=gas.,	w5_d652e10872
alt	w7_d652e10875
52.	w9_d652e10878
J.	w11_d652e10881
Thom.	w1_d652e10886
Krebs,	w3_d652e10889
gew.	w5_d652e10892
Burgerl.	w7_d652e10895
Handelsm.,	w9_d652e10898
in	w11_d652e10901
s.	w13_d652e10905
H.	w15_d652e10908
auf	w1_d652e10914
der	w3_d652e10917
Biber=bastey,	w5_d652e10920
alt	w7_d652e10923
62.	w9_d652e10926
J.	w11_d652e10929
Dem	w1_d652e10934
Phil.	w3_d652e10937
Eberl,	w5_d652e10940
Burgerl.	w7_d652e10943
Hof=bäckenmeist.,	w9_d652e10946
s.	w11_d652e10949
K.	w13_d652e10953
Theres.,	w1_d652e10958
im	w3_d652e10961
Hof=bäckis.	w5_d652e10964
H.	w7_d652e10967
im	w9_d652e10970
Strauch=gäs,	w11_d652e10973
2.	w13_d652e10977
J.	w15_d652e10980
Jungf.	w1_d652e10985
Susan	w3_d652e10988
Ribolani,	w5_d652e10991
im	w7_d652e10994
Ziengiesseris.	w9_d652e10997
H.	w11_d652e11000
im	w13_d652e11004
Current=gäs.,	w1_d652e11010
alt	w3_d652e11013
36.	w5_d652e11016
J.	w7_d652e11019
Eva	w1_d652e11024
Lochnerin,	w3_d652e11027
led,	w5_d652e11030
im	w7_d652e11033
Zwölferis.	w9_d652e11036
H.	w11_d652e11039
am	w13_d652e11043
alten	w15_d652e11046
Fleischm.,	w1_d652e11051
alt	w3_d652e11054
28.	w5_d652e11057
J.	w7_d652e11060
Dem	w1_d652e11065
Mich	w3_d652e11068
Mayr,	w5_d652e11071
Zimmer=wart,	w7_d652e11074
s.	w9_d652e11077
K.	w11_d652e11080
Sebast.	w13_d652e11084
im	w15_d652e11087
Täubel=hof	w1_d652e11093
in	w3_d652e11096
der	w5_d652e11099
Kunc=gas,	w7_d652e11102
alt	w9_d652e11105
9.	w11_d652e11108
J.	w13_d652e11112
Dem	w1_d652e11117
Franz	w3_d652e11120
Foickel,	w5_d652e11123
Hausmeist.,	w7_d652e11126
s.	w9_d652e11129
K.	w11_d652e11132
Theres.,	w13_d652e11136
bey	w15_d652e11139
St	w1_d652e11144
Nicola	w3_d652e11147
am	w5_d652e11150
Juden	w7_d652e11153
platz,	w9_d652e11156
alt	w11_d652e11159
2.	w13_d652e11163
J.	w15_d652e11166
</list>
<head id="h2_d652e11173">
Vor	w1_d652e11177
der	w3_d652e11180
Stadt.	w5_d652e11183
</head>
<list id="l4_d652e11186">
Joh.	w1_d652e11190
Carl,	w3_d652e11193
Burgerl.	w5_d652e11196
Spiegelmach.,	w7_d652e11199
im	w9_d652e11202
Spiegel	w11_d652e11205
macheris.	w1_d652e11210
H.	w3_d652e11213
am	w5_d652e11216
Spitalberg,	w7_d652e11219
alt	w9_d652e11222
37.	w11_d652e11225
J.	w13_d652e11229
Lor.	w1_d652e11234
Schiernhofer,	w3_d652e11237
gew.	w5_d652e11240
Burgerl.	w7_d652e11243
Schuhmach.,	w9_d652e11246
bey	w11_d652e11249
dem	w1_d652e11255
rot.	w3_d652e11258
Thor	w5_d652e11261
in	w7_d652e11264
der	w9_d652e11267
Leopoldst.,	w11_d652e11270
alt	w13_d652e11274
86.	w15_d652e11277
J.	w17_d652e11280
Joh.	w1_d652e11285
Lehnarzt,	w3_d652e11288
gew.	w5_d652e11291
Burgerl.	w7_d652e11294
Schlos.,	w9_d652e11297
in	w11_d652e11300
s.	w13_d652e11304
H.	w15_d652e11307
auf	w17_d652e11310
der	w1_d652e11315
Landstr,	w3_d652e11318
alt	w5_d652e11321
78	w7_d652e11324
Jos.	w1_d652e11329
Sinhofer,	w3_d652e11332
K.	w5_d652e11335
Zehrgaden	w7_d652e11338
trag.,	w9_d652e11341
beym	w11_d652e11344
golden.	w13_d652e11348
Pfauen	w1_d652e11354
ausser	w3_d652e11357
Maria=hülf,	w5_d652e11360
alt	w7_d652e11363
68.	w9_d652e11366
J.	w11_d652e11369
Ursula	w1_d652e11374
Gebhartin,	w3_d652e11377
Wittwe,	w5_d652e11380
beym	w7_d652e11383
gold.	w9_d652e11386
Schif	w11_d652e11389
bey	w13_d652e11393
Maria	w1_d652e11398
hülf,	w3_d652e11401
alt	w5_d652e11404
73	w7_d652e11407
J.	w9_d652e11410
Dem	w1_d652e11415
Wenzel	w3_d652e11418
Sinnawert,	w5_d652e11421
K.	w7_d652e11424
Kutsch.,	w9_d652e11427
s.	w11_d652e11430
W.	w13_d652e11434
Susan.	w15_d652e11437
im	w1_d652e11443
Blümelmacheris.	w3_d652e11446
H.	w5_d652e11449
auf	w7_d652e11452
der	w9_d652e11455
Laimgr.,	w11_d652e11458
64	w13_d652e11462
J.	w15_d652e11465
Anna	w1_d652e11470
Geiserin,	w3_d652e11473
Wittwe,	w5_d652e11476
im	w7_d652e11479
Carmellter=H.	w9_d652e11482
auf	w11_d652e11485
der	w13_d652e11489
Laimgr.,	w1_d652e11494
alt	w3_d652e11497
74.	w5_d652e11500
J.	w7_d652e11503
Veit	w1_d652e11508
Wastl,	w3_d652e11511
Trag.,	w5_d652e11514
deym	w7_d652e11517
gold.	w9_d652e11520
Adl.	w11_d652e11523
bey	w13_d652e11527
St.	w15_d652e11530
Ulr.	w17_d652e11533
alt	w1_d652e11539
74	w3_d652e11542
J.	w5_d652e11545
Dem	w1_d652e11550
Sim.	w3_d652e11553
Wolf,	w5_d652e11556
Kutsch,	w7_d652e11559
s.	w9_d652e11562
K.	w11_d652e11565
Leop.,	w13_d652e11569
im	w15_d652e11572
alt.	w17_d652e11575
Ar	w19_d652e11578
cieris.	w1_d652e11583
H.	w3_d652e11586
auf	w5_d652e11589
der	w7_d652e11592
neuen	w9_d652e11595
Wied.,	w11_d652e11598
alt	w13_d652e11602
2.	w15_d652e11605
J.	w17_d652e11608
Summa	w1_d652e11613
16.	w3_d652e11616
Person.,	w5_d652e11619
darunter	w7_d652e11622
4	w9_d652e11625
Kind.	w11_d652e11628
Den	w1_d652e11634
24.	w3_d652e11637
April.	w5_d652e11640
Jn	w7_d652e11643
der	w9_d652e11646
Stadt.	w11_d652e11649
</list>
<list id="l6_d652e11653">
Die	w1_d652e11657
Hoch=gebborne	w3_d652e11660
Fr	w5_d652e11663
Fr.	w7_d652e11666
Maria	w9_d652e11669
Octavia	w11_d652e11672
Reichs=fürstin	w1_d652e11677
v.	w3_d652e11680
Esterhatzy,	w5_d652e11683
geb.	w7_d652e11686
Gräfin	w9_d652e11689
v.	w11_d652e11692
Gil	w13_d652e11696
leis	w1_d652e11701
im	w3_d652e11704
alt.	w5_d652e11707
Michaeler	w7_d652e11710
H.	w9_d652e11713
alda,	w11_d652e11716
alt	w13_d652e11720
76	w15_d652e11723
J.	w17_d652e11726
Der	w1_d652e11732
Wol=ehrw.	w3_d652e11735
Hr.	w5_d652e11738
Jldesons.	w7_d652e11741
Domas,	w9_d652e11744
Can.	w11_d652e11747
Reg.	w13_d652e11751
zu	w1_d652e11756
Klosterneuburg,	w3_d652e11759
und	w5_d652e11762
dermalig.	w7_d652e11765
Pfarr	w9_d652e11768
hr.	w11_d652e11771
zu	w13_d652e11775
Heiligenstadt,	w1_d652e11780
im	w3_d652e11783
Klosterneuburger=hof	w5_d652e11786
in	w7_d652e11789
der	w9_d652e11792
Renn=gas.,	w1_d652e11797
alt	w3_d652e11800
49.	w5_d652e11803
J.	w7_d652e11806
Hr.	w1_d652e11812
Paul	w3_d652e11815
v.	w5_d652e11818
Hinsberg,	w7_d652e11821
gew.	w9_d652e11824
K.	w11_d652e11827
Elisabethinis.	w13_d652e11831
Kam	w15_d652e11834
mer=dien,	w1_d652e11839
im	w3_d652e11842
kl.	w5_d652e11845
Wagneris.	w7_d652e11848
H.	w9_d652e11851
im	w11_d652e11854
Hutstepper	w13_d652e11858
gäs.,	w1_d652e11863
alt	w3_d652e11866
83.	w5_d652e11869
J.	w7_d652e11872
Dem	w1_d652e11877
Hrn.	w3_d652e11880
Andre	w5_d652e11883
Matzinger,	w7_d652e11886
Burgerl.	w9_d652e11889
Handelsm.	w11_d652e11892
s.	w1_d652e11898
Fr.	w3_d652e11901
Anna,	w5_d652e11904
in	w7_d652e11907
s.	w9_d652e11910
H.	w11_d652e11913
am	w13_d652e11917
Grab.,	w15_d652e11920
alt	w17_d652e11923
77.	w19_d652e11926
J.	w21_d652e11929
</list>
<head id="h2_d652e11936">
Vor	w1_d652e11940
der	w3_d652e11943
Stadt.	w5_d652e11946
</head>
<list id="l4_d652e11949">
Die	w1_d652e11953
(Tit)	w3_d652e11956
Fr.	w5_d652e11959
Theres.	w7_d652e11962
Barb.	w9_d652e11965
Edelbacherin,	w11_d652e11968
Witt	w13_d652e11972
we,	w1_d652e11977
im	w3_d652e11980
Kranastätteris.	w5_d652e11983
H.	w7_d652e11986
auf	w9_d652e11989
der	w11_d652e11992
Landstr.	w13_d652e11996
65.	w15_d652e11999
J.	w17_d652e12002
</list>
<list id="l6_d652e12006">
Fr.	w1_d652e12010
Regina	w3_d652e12013
Ruprechtshoferin,	w5_d652e12016
Wittwe,	w7_d652e12019
beym	w9_d652e12022
gold.	w11_d652e12025
Stern	w1_d652e12030
am	w3_d652e12033
Spitalberg,	w5_d652e12036
alt	w7_d652e12039
88.	w9_d652e12042
J.	w11_d652e12045
Lor.	w1_d652e12050
Strauß,	w3_d652e12053
Schneid.,	w5_d652e12056
in	w7_d652e12059
s.	w9_d652e12062
H.	w11_d652e12065
im	w13_d652e12069
Lerchf.,	w15_d652e12072
76.	w17_d652e12075
J.	w19_d652e12078
Casp.	w1_d652e12084
Kautzner,	w3_d652e12087
Schuhmach.,	w5_d652e12090
beym	w7_d652e12093
Hasel	w9_d652e12096
in	w11_d652e12099
der	w13_d652e12103
Leopoldst.,	w1_d652e12108
alt	w3_d652e12111
38.	w5_d652e12114
J.	w7_d652e12117
Magdal.	w1_d652e12122
Michlin,	w3_d652e12125
Wittwe,	w5_d652e12128
beym	w7_d652e12131
gold.	w9_d652e12134
Anker	w11_d652e12137
der	w1_d652e12142
Leopoldst.,	w3_d652e12145
alt	w5_d652e12148
42.	w7_d652e12151
J.	w9_d652e12154
Leop.	w1_d652e12160
Burghuber,	w3_d652e12163
Strümpfwürk.	w5_d652e12166
ges.,	w7_d652e12169
deym	w9_d652e12172
Rit.	w11_d652e12175
St.	w1_d652e12180
Georg	w3_d652e12183
in	w5_d652e12186
der	w7_d652e12189
Josephst.,	w9_d652e12192
alt	w11_d652e12195
46.	w13_d652e12199
J.	w15_d652e12202
Dem	w1_d652e12207
Joh.	w3_d652e12210
Heißler,	w5_d652e12213
Zimmer	w7_d652e12216
ges.,	w9_d652e12219
s.	w11_d652e12222
W.	w13_d652e12226
Magdal.,	w15_d652e12229
beyn	w1_d652e12234
3.	w3_d652e12237
Reit.	w5_d652e12240
im	w7_d652e12243
Liechtenth.,	w9_d652e12246
alt	w11_d652e12249
35.	w13_d652e12253
J.	w15_d652e12256
Anna	w1_d652e12262
Stemmerin,	w3_d652e12265
Wittwe,	w5_d652e12268
beym	w7_d652e12271
blech.	w9_d652e12274
Thurn	w11_d652e12277
auf	w13_d652e12281
der	w1_d652e12286
Wied.,	w3_d652e12289
alt	w5_d652e12292
68.	w7_d652e12295
J.	w9_d652e12298
Dem	w1_d652e12303
Thom.	w3_d652e12306
Bischof,	w5_d652e12309
Lehenkutsch.=kn.,	w7_d652e12312
s.	w9_d652e12315
W.	w11_d652e12318
Elis.,	w13_d652e12322
im	w1_d652e12327
Schnellingeris.	w3_d652e12330
H.	w5_d652e12333
auf	w7_d652e12336
der	w9_d652e12339
Landstr.,	w11_d652e12342
40.	w13_d652e12346
J.	w15_d652e12349
Jos.	w1_d652e12355
Schweiger,	w3_d652e12358
Schnürmach.=ges.,	w5_d652e12361
beym	w7_d652e12364
golden.	w9_d652e12367
Pfauen	w1_d652e12372
ausser	w3_d652e12375
Maria=hülf,	w5_d652e12378
alt	w7_d652e12381
70.	w9_d652e12384
J.	w11_d652e12387
Dem	w1_d652e12392
Jos.	w3_d652e12395
Biderman,	w5_d652e12398
Lack.,	w7_d652e12401
s.	w9_d652e12404
K.	w11_d652e12407
Maria	w13_d652e12411
Theres.,	w15_d652e12414
beym	w1_d652e12419
weis.	w3_d652e12422
Läm.	w5_d652e12425
auf	w7_d652e12428
der	w9_d652e12431
Landstr.,	w11_d652e12434
alt	w13_d652e12438
1.	w15_d652e12441
J.	w17_d652e12444
Dem	w1_d652e12450
Valent.	w3_d652e12453
Fridle,	w5_d652e12456
Taglöhn.,	w7_d652e12459
s.	w9_d652e12462
K.	w11_d652e12465
Cathar.,	w13_d652e12469
im	w15_d652e12472
Eßigkrammeris.	w1_d652e12477
H.	w3_d652e12480
auf	w5_d652e12483
der	w7_d652e12486
Landstr.,	w9_d652e12489
alt	w11_d652e12492
2.	w13_d652e12496
J.	w15_d652e12499
</list>
<head id="h2_d652e12506">
Summa	w1_d652e12510
16.	w3_d652e12513
Person.,	w5_d652e12516
darunter	w7_d652e12519
2.	w9_d652e12522
Kind.	w11_d652e12525
</head>
<head id="h2_d652e12531">
Den	w1_d652e12535
25.	w3_d652e12538
April.	w5_d652e12541
Jn	w7_d652e12544
der	w9_d652e12547
Stadt.	w11_d652e12550
</head>
<list id="l4_d652e12553">
Der	w1_d652e12557
Hoch=edel=geb.	w3_d652e12560
Hr	w5_d652e12563
Franz	w7_d652e12566
Alex.	w9_d652e12569
Edler	w11_d652e12572
v.	w13_d652e12576
Har	w15_d652e12579
tenberg,	w1_d652e12584
U.	w3_d652e12587
J	w5_d652e12590
D.	w7_d652e12593
Hr.	w9_d652e12596
auf	w11_d652e12599
Rudoly,	w13_d652e12603
und	w15_d652e12606
Wolfing,	w17_d652e12609
des	w1_d652e12614
H.	w3_d652e12617
R.	w5_d652e12620
R.	w7_d652e12623
und	w9_d652e12626
deren	w11_d652e12629
Oesterreich.	w13_d652e12633
Erbkönig	w15_d652e12636
reichen	w1_d652e12642
Rit	w3_d652e12645
Jhrer	w5_d652e12648
K.	w7_d652e12651
K.	w9_d652e12654
M.	w11_d652e12657
N.	w13_d652e12661
Oe.	w15_d652e12664
Regim=raht,	w17_d652e12667
und	w1_d652e12672
des	w3_d652e12675
K.	w5_d652e12678
K.	w7_d652e12681
Obrist=hof=marschal.=amts=seeret.	w9_d652e12684
und	w1_d652e12689
Canzley=direct.,	w3_d652e12692
in	w5_d652e12695
s.	w7_d652e12698
H.	w9_d652e12701
in	w11_d652e12704
der	w13_d652e12708
Waldzeil,	w15_d652e12711
alt	w1_d652e12716
77.	w3_d652e12719
Dem	w1_d652e12725
(Tit.)	w3_d652e12728
Hrn	w5_d652e12731
Carl	w7_d652e12734
Jos.	w9_d652e12737
Breuniger,	w11_d652e12740
K.	w13_d652e12744
K.	w15_d652e12747
Uni	w17_d652e12750
versal=eumeral=zahl=amts=caßiern,	w1_d652e12755
s.	w3_d652e12758
Fr.	w5_d652e12761
Theres.,	w7_d652e12764
beym	w1_d652e12769
gold.	w3_d652e12772
Stern	w5_d652e12775
auf	w7_d652e12778
der	w9_d652e12781
Brandst.,	w11_d652e12784
alt	w13_d652e12788
33.	w15_d652e12791
J.	w17_d652e12794
Der	w1_d652e12799
(Tit.)	w3_d652e12802
Hr.	w5_d652e12805
Elias	w7_d652e12808
v.	w9_d652e12811
Hermanstorf,	w11_d652e12814
gew.	w13_d652e12818
K.	w15_d652e12821
K.	w17_d652e12824
Hauptm.,	w1_d652e12830
beym	w3_d652e12833
Esel	w5_d652e12836
in	w7_d652e12839
der	w9_d652e12842
Wieg.,	w11_d652e12845
alt	w13_d652e12849
81.	w15_d652e12852
J.	w17_d652e12855
kr.	w1_d652e12860
Barb.	w3_d652e12863
Strattring	w5_d652e12866
v.	w7_d652e12869
Riegelberg,	w9_d652e12872
Wittwe,	w11_d652e12875
im	w13_d652e12879
Neu=bad,	w1_d652e12884
alt	w3_d652e12887
83.	w5_d652e12890
J.	w7_d652e12893
Jungf	w1_d652e12898
Margar.	w3_d652e12901
Wagnerin,	w5_d652e12904
gew.	w7_d652e12907
K.	w9_d652e12910
K.	w11_d652e12913
Kammer	w13_d652e12917
mensch,	w1_d652e12923
im	w3_d652e12926
Dorothe	w5_d652e12929
hof,	w7_d652e12932
alt	w9_d652e12935
64.	w11_d652e12938
J.	w13_d652e12942
Dem	w1_d652e12947
Jgnatz	w3_d652e12950
Wolf,	w5_d652e12953
Hof	w7_d652e12956
befr.	w9_d652e12959
Schneid.,	w11_d652e12962
s.	w13_d652e12966
W.	w15_d652e12969
Ma	w17_d652e12972
ria,	w1_d652e12977
im	w3_d652e12980
Herzogis.	w5_d652e12983
H.	w7_d652e12986
in	w9_d652e12989
der	w11_d652e12992
Himmel=pfort=gas.,	w13_d652e12996
alt	w1_d652e13001
89	w3_d652e13004
J.	w5_d652e13007
Ferd	w1_d652e13013
Lacky,	w3_d652e13016
Burgerl.	w5_d652e13019
Tuch=handl.	w7_d652e13022
aus	w9_d652e13025
Mähren,	w11_d652e13028
bey	w1_d652e13033
der	w3_d652e13036
gold.	w5_d652e13039
Gans	w7_d652e13042
am	w9_d652e13045
alt.	w11_d652e13048
Haarm.,	w13_d652e13052
alt	w15_d652e13055
43.	w17_d652e13058
J.	w19_d652e13061
</list>
<head id="h2_d652e13069">
Vor	w1_d652e13073
der	w3_d652e13076
Stadt.	w5_d652e13079
</head>
<list id="l4_d652e13082">
Der	w1_d652e13086
Ehrw.	w3_d652e13089
Fr.	w5_d652e13092
Christoph.	w7_d652e13095
Melzer,	w9_d652e13098
Ord.	w11_d652e13101
St	w13_d652e13105
Johan	w15_d652e13108
Dei,	w1_d652e13113
gew.	w3_d652e13116
Prior,	w5_d652e13119
im	w7_d652e13122
Kloster	w9_d652e13125
in	w11_d652e13128
der	w13_d652e13132
Leopoldst.,	w15_d652e13135
alt	w1_d652e13140
7.	w3_d652e13143
Fr.	w1_d652e13149
Anna	w3_d652e13152
Bohlin,	w5_d652e13155
Wittwe,	w7_d652e13158
in	w9_d652e13161
ihrem	w11_d652e13164
H.	w13_d652e13168
in	w15_d652e13171
der	w17_d652e13174
Leopoldst.,	w1_d652e13179
alt	w3_d652e13182
80.	w5_d652e13185
J.	w7_d652e13188
Dem	w1_d652e13193
Georg	w3_d652e13196
Holzinger,	w5_d652e13199
Burgerl.	w7_d652e13202
Fleisch=selk,	w9_d652e13205
s.	w11_d652e13208
W.	w13_d652e13212
Mar.,	w1_d652e13217
beym	w3_d652e13220
Röm.	w5_d652e13223
Kais.	w7_d652e13226
in	w9_d652e13229
der	w11_d652e13232
Josephst.,	w13_d652e13236
32.	w15_d652e13239
J.	w17_d652e13242
Aga	w1_d652e13248
Getzin,	w3_d652e13251
Wittwe,	w5_d652e13254
beym	w7_d652e13257
gold.	w9_d652e13260
Stahel	w11_d652e13263
bey	w13_d652e13267
St.	w15_d652e13270
Ulrich,	w1_d652e13275
alt	w3_d652e13278
60.	w5_d652e13281
J.	w7_d652e13284
Anna	w1_d652e13289
Seschamsin,	w3_d652e13292
Wittwe,	w5_d652e13295
beym	w7_d652e13298
gold.	w9_d652e13301
Schif	w11_d652e13304
bey	w13_d652e13308
Maria	w1_d652e13313
hülf,	w3_d652e13316
alt	w5_d652e13319
62.	w7_d652e13322
J.	w9_d652e13325
</list>
<list id="l10_d652e13339">
Dem	w1_d652e13343
Franz	w3_d652e13346
Feyl,	w5_d652e13349
Tändl.	w7_d652e13352
s.	w9_d652e13355
W.	w11_d652e13358
Rosina,	w13_d652e13362
im	w15_d652e13365
Schnei	w17_d652e13368
deris.	w1_d652e13373
H.	w3_d652e13376
in	w5_d652e13379
der	w7_d652e13382
Leopoldst.,	w9_d652e13385
alt	w11_d652e13388
42.	w13_d652e13392
J.	w15_d652e13395
Jos.	w1_d652e13400
Hackel,	w3_d652e13403
Kutsch.,	w5_d652e13406
beym	w7_d652e13409
weis.	w9_d652e13412
Rös.	w11_d652e13415
am	w13_d652e13419
Spital	w15_d652e13422
berg,	w1_d652e13428
alt	w3_d652e13431
53.	w5_d652e13434
J.	w7_d652e13437
Carl	w1_d652e13442
Penz,	w3_d652e13445
Taglöhn.,	w5_d652e13448
beym	w7_d652e13451
gold.	w9_d652e13454
Läm.	w11_d652e13457
in	w13_d652e13461
der	w15_d652e13464
der	w17_d652e13467
kl.	w1_d652e13472
Alster=gas,	w3_d652e13475
alt	w5_d652e13478
57.	w7_d652e13481
J.	w9_d652e13484
Sebast.	w1_d652e13489
Schoß,	w3_d652e13492
Taglöhn.,	w5_d652e13495
im	w7_d652e13498
Stockadoris.	w9_d652e13501
H.	w11_d652e13504
im	w13_d652e13508
Liechtenth,	w1_d652e13514
alt	w3_d652e13517
44.	w5_d652e13520
J.	w7_d652e13523
Dem	w1_d652e13528
Jacob	w3_d652e13531
Beinsteugel,	w5_d652e13534
Tag=wacht.,	w7_d652e13537
s.	w9_d652e13540
W.	w11_d652e13543
Chri	w13_d652e13547
stina,	w1_d652e13552
im	w3_d652e13555
Bäckis.	w5_d652e13558
H.	w7_d652e13561
am	w9_d652e13564
Neustift,	w11_d652e13567
alt	w13_d652e13571
80.	w15_d652e13574
J.	w17_d652e13577
Math.	w1_d652e13582
Hiller,	w3_d652e13585
Taglöhn.,	w5_d652e13588
beym	w7_d652e13591
br.	w9_d652e13594
Hirsch.	w11_d652e13597
untern	w13_d652e13601
Felb.,	w1_d652e13607
alt	w3_d652e13610
42.	w5_d652e13613
J.	w7_d652e13616
Mart.	w1_d652e13621
Treuner,	w3_d652e13624
gew.	w5_d652e13627
K.	w7_d652e13630
Kutsch.,	w9_d652e13633
im	w11_d652e13636
Königl.	w13_d652e13640
Klo	w15_d652e13643
ster=H.	w1_d652e13648
in	w3_d652e13651
der	w5_d652e13654
Kot=gas.,	w7_d652e13657
alt	w9_d652e13660
84.	w11_d652e13663
J.	w13_d652e13667
Theres.	w1_d652e13672
Mathäin,	w3_d652e13675
Wittwe,	w5_d652e13678
beym	w7_d652e13681
gr.	w9_d652e13684
Eleph.	w11_d652e13687
in	w13_d652e13691
der	w15_d652e13694
Leopoldst.,	w1_d652e13700
alt	w3_d652e13703
62.	w5_d652e13706
J.	w7_d652e13709
Sebast.	w1_d652e13714
Fickmayr,	w3_d652e13717
Fuhr	w5_d652e13720
ku,	w7_d652e13723
welcher	w9_d652e13726
von	w11_d652e13729
einem	w13_d652e13733
Pferd	w1_d652e13738
erschlagen	w3_d652e13741
worden,	w5_d652e13744
ist	w7_d652e13747
beyn	w9_d652e13750
7.	w11_d652e13753
Chur=fürst.	w13_d652e13757
zu	w1_d652e13762
Mätzleinstorf	w3_d652e13765
v.	w5_d652e13768
K.	w7_d652e13771
K.	w9_d652e13774
Stadt	w11_d652e13777
und	w13_d652e13781
Land	w15_d652e13784
gericht	w17_d652e13787
beschauet	w1_d652e13793
worden,	w3_d652e13796
alt	w5_d652e13799
65.	w7_d652e13802
J.	w9_d652e13805
</list>
<head id="h2_d652e13812">
Summa	w1_d652e13816
21.	w3_d652e13819
Person.,	w5_d652e13822
darunter	w7_d652e13825
0.	w9_d652e13828
Kind.	w11_d652e13831
</head>
<p id="p4_d652e13834">
Dem	w1_d652e13838
Publico	w3_d652e13841
wird	w5_d652e13844
hiemit	w7_d652e13847
erinneret:	w9_d652e13850
daß	w11_d652e13853
den	w13_d652e13857
16.	w1_d652e13862
dies	w3_d652e13865
Monats	w5_d652e13868
May	w7_d652e13871
anwiederum	w9_d652e13874
die	w11_d652e13877
Herr	w13_d652e13881
schaftl.	w1_d652e13886
Ritters=felder=papier=fabric	w3_d652e13889
allhier	w5_d652e13892
in	w7_d652e13895
Wien	w9_d652e13898
in	w1_d652e13904
dem	w3_d652e13907
sogenannten	w5_d652e13910
Baron	w7_d652e13913
Wöberischen	w9_d652e13916
Haus	w11_d652e13919
am	w1_d652e13924
Graben,	w3_d652e13927
infolge	w5_d652e13930
