<doc id="wr_1763-07-30" attrs="word" year="1763" month="07" day="30" corpus="2">
<head id="h2_d779e3159">
Lugand	w1_d779e3163
entschlaffen,	w7_d779e10446
die	w9_d779e10449
Exequien	w11_d779e10452
gehalten	w1_d779e10457
worden.	w3_d779e10460
</p>
<p id="p8_d779e10463">
Vorgestern	w1_d779e10467
starb	w3_d779e10470
allhier	w5_d779e10473
der	w7_d779e10476
Profoß	w9_d779e10479
der	w11_d779e10482
Kais.	w1_d779e10487
Königl.	w3_d779e10490
Schweitzer=leib=wache,	w5_d779e10493
Na	w7_d779e10496
mens	w1_d779e10501
Oswald	w3_d779e10504
Zulli	w5_d779e10507
in	w7_d779e10510
einem	w9_d779e10513
Alter	w11_d779e10516
von	w13_d779e10520
112.	w15_d779e10523
Jahren;	w1_d779e10529
nachdem	w3_d779e10532
er	w5_d779e10535
70.	w7_d779e10538
Jahre	w9_d779e10541
beyden	w11_d779e10544
Durchlauchtigsten	w1_d779e10549
Häusern	w3_d779e10552
Lothringen,	w5_d779e10555
und	w7_d779e10558
Oesterreich	w1_d779e10563
zu	w3_d779e10566
Nanci,	w5_d779e10569
Florenz	w7_d779e10572
und	w9_d779e10575
Wien,	w11_d779e10578
zu	w1_d779e10583
dienen	w3_d779e10586
die	w5_d779e10589
Ehre	w7_d779e10592
gehabt.	w9_d779e10595
</p>
<head id="h2_d779e10601">
Lista	w1_d779e10605
deren	w3_d779e10608
Verstorbenen	w5_d779e10611
zu	w7_d779e10614
Wien	w9_d779e10617
in	w1_d779e10622
und	w3_d779e10625
vor	w5_d779e10628
der	w7_d779e10631
Stadt.	w9_d779e10634
Den	w1_d779e10639
24.	w3_d779e10642
Julii.	w5_d779e10645
Jn	w7_d779e10648
der	w9_d779e10651
Stadt.	w11_d779e10654
Niemand.	w1_d779e10660
Vor	w1_d779e10665
der	w3_d779e10668
Stadt.	w5_d779e10671
</head>
<list id="l4_d779e10674">
Cathar.	w1_d779e10678
Weingastin,	w3_d779e10681
Wittwe,	w5_d779e10684
beym	w7_d779e10687
weis.	w9_d779e10690
Stern	w11_d779e10693
in	w13_d779e10697
der	w1_d779e10702
Josephst.,	w3_d779e10705
alt	w5_d779e10708
36.	w7_d779e10711
J.	w9_d779e10714
Gertr.	w1_d779e10719
Kurzin,	w3_d779e10722
Wittwe,	w5_d779e10725
beym	w7_d779e10728
gold.	w9_d779e10731
Läm.	w11_d779e10734
in	w13_d779e10738
der	w15_d779e10741
Josephst.,	w1_d779e10747
alt	w3_d779e10750
66.	w5_d779e10753
J.	w7_d779e10756
Phil.	w1_d779e10761
Werner,	w3_d779e10764
Geig.,	w5_d779e10767
beyn	w7_d779e10770
3.	w9_d779e10773
Lil.	w11_d779e10776
oberm	w13_d779e10780
Neustift,	w15_d779e10783
alt	w1_d779e10788
57.	w3_d779e10791
J.	w5_d779e10794
Dem	w1_d779e10799
Math.	w3_d779e10802
Huber,	w5_d779e10805
Kutsch.,	w7_d779e10808
s.	w9_d779e10811
S.	w11_d779e10814
David,	w13_d779e10818
in	w15_d779e10821
dem	w17_d779e10824
rot.	w1_d779e10830
H.	w3_d779e10833
vor	w5_d779e10836
dem	w7_d779e10839
Schotten=thor,	w9_d779e10842
alt	w11_d779e10845
18.	w13_d779e10849
J.	w15_d779e10852
</list>
<list id="l10_d779e10866">
Dem	w1_d779e10870
Simon	w3_d779e10873
Pucher,	w5_d779e10876
Tändler=schneid.,	w7_d779e10879
s.	w9_d779e10882
S.	w11_d779e10885
Jac.	w13_d779e10889
beym	w1_d779e10894
gold.	w3_d779e10897
Hecht.	w5_d779e10900
zu	w7_d779e10903
Maria=hülf,	w9_d779e10906
alt	w11_d779e10909
22.	w13_d779e10913
J.	w15_d779e10916
Eleon.	w1_d779e10921
Millnerin,	w3_d779e10924
Wittwe,	w5_d779e10927
in	w7_d779e10930
Witmannisch.	w9_d779e10933
Zim.	w11_d779e10936
auf	w1_d779e10942
der	w3_d779e10945
Landstr.,	w5_d779e10948
alt	w7_d779e10951
80.	w9_d779e10954
J.	w11_d779e10957
Dem	w1_d779e10962
Steph.	w3_d779e10965
Schwarz,	w5_d779e10968
Lehen=kutsch.,	w7_d779e10971
s.	w9_d779e10974
K.	w11_d779e10977
Joh.,	w13_d779e10981
beym	w1_d779e10986
schwarz.	w3_d779e10989
Bärn	w5_d779e10992
oberm	w7_d779e10995
Neustift,	w9_d779e10998
alt	w11_d779e11001
6.	w13_d779e11005
J.	w15_d779e11008
Dem	w1_d779e11013
Joh.	w3_d779e11016
Loderer,	w5_d779e11019
Taglöhn.,	w7_d779e11022
s.	w9_d779e11025
K.	w11_d779e11028
Elisab.,	w13_d779e11032
in	w15_d779e11035
dem	w17_d779e11038
Werdeckis.	w1_d779e11044
H.	w3_d779e11047
in	w5_d779e11050
der	w7_d779e11053
Leopoldst.,	w9_d779e11056
alt	w11_d779e11059
8.	w13_d779e11063
J.	w15_d779e11066
Dem	w1_d779e11071
Franz	w3_d779e11074
Haß,	w5_d779e11077
Taglöhn.,	w7_d779e11080
s.	w9_d779e11083
K.	w11_d779e11086
Franz,	w13_d779e11090
bey	w15_d779e11093
dem	w17_d779e11096
gold.	w1_d779e11101
Einhorn	w3_d779e11104
in	w5_d779e11107
der	w7_d779e11110
Leopoldst.,	w9_d779e11113
alt	w11_d779e11116
5.	w13_d779e11120
J.	w15_d779e11123
</list>
<head id="h2_d779e11131">
Summa	w1_d779e11135
9.	w3_d779e11138
Person.,	w5_d779e11141
darunter	w7_d779e11144
3.	w9_d779e11147
Kind.	w11_d779e11150
Den	w1_d779e11155
25.	w3_d779e11158
Julii.	w5_d779e11161
Jn	w1_d779e11166
der	w3_d779e11169
Stadt.	w5_d779e11172
Niemand.	w7_d779e11175
Vor	w1_d779e11181
der	w3_d779e11184
Stadt.	w5_d779e11187
</head>
<list id="l4_d779e11190">
Der	w1_d779e11194
Cathar.	w3_d779e11197
Steinbacherin,	w5_d779e11200
Wittwe,	w7_d779e11203
ihr	w9_d779e11206
K.	w11_d779e11209
Fran	w13_d779e11213
cisca,	w1_d779e11218
beym	w3_d779e11221
kl.	w5_d779e11224
Jordan	w7_d779e11227
auf	w9_d779e11230
der	w11_d779e11233
Laimgr.,	w13_d779e11237
5.	w15_d779e11240
J.	w17_d779e11243
Dem	w1_d779e11248
Jacob	w3_d779e11251
Vehauer,	w5_d779e11254
Säckel=trag.,	w7_d779e11257
s.	w9_d779e11260
K.	w11_d779e11263
Anna,	w13_d779e11267
beym	w1_d779e11273
weis.	w3_d779e11276
Läm.	w5_d779e11279
in	w7_d779e11282
der	w9_d779e11285
Rossau,	w11_d779e11288
alt	w13_d779e11292
5.	w15_d779e11295
J.	w17_d779e11298
Barb.	w1_d779e11303
Völkin,	w3_d779e11306
Wittwe,	w5_d779e11309
beym	w7_d779e11312
gold.	w9_d779e11315
Metz.	w11_d779e11318
an	w13_d779e11322
dem	w15_d779e11325
Neubau,	w1_d779e11330
alt	w3_d779e11333
57.	w5_d779e11336
J.	w7_d779e11339
Dem	w1_d779e11344
Barthl.	w3_d779e11347
Stärk,	w5_d779e11350
gew.	w7_d779e11353
Herrschaftl.	w9_d779e11356
Lack.,	w11_d779e11359
s.	w13_d779e11363
W.	w15_d779e11366
Maria	w1_d779e11372
Magdal.,	w3_d779e11375
bey	w5_d779e11378
der	w7_d779e11381
Reichs=kron	w9_d779e11384
in	w11_d779e11387
der	w13_d779e11391
Jo	w15_d779e11394
sephst,	w1_d779e11399
alt	w3_d779e11402
51.	w5_d779e11405
J.	w7_d779e11408
Dem	w1_d779e11413
Joh.	w3_d779e11416
Pandian,	w5_d779e11419
Hasen=palk	w7_d779e11422
handl.,	w9_d779e11425
s.	w11_d779e11428
K.	w13_d779e11432
Jos.	w15_d779e11435
beym	w1_d779e11440
gold.	w3_d779e11443
Ochs.	w5_d779e11446
am	w7_d779e11449
Neustift,	w9_d779e11452
alt	w11_d779e11455
7.	w13_d779e11459
J.	w15_d779e11462
Dem	w1_d779e11468
Joh.	w3_d779e11471
Finsterholz,	w5_d779e11474
Taglöhn.,	w7_d779e11477
s.	w9_d779e11480
W.	w11_d779e11483
Theres.,	w13_d779e11487
beym	w1_d779e11492
gold.	w3_d779e11495
Pfauen	w5_d779e11498
auf	w7_d779e11501
der	w9_d779e11504
Penzingerstr.,	w11_d779e11507
36.	w13_d779e11511
J.	w15_d779e11514
Dem	w1_d779e11519
Jacob	w3_d779e11522
Hofbauer,	w5_d779e11525
Burgerl.	w7_d779e11528
Bäck.	w9_d779e11531
s.	w11_d779e11534
K.	w13_d779e11538
The	w15_d779e11541
res.,	w1_d779e11546
bey	w3_d779e11549
der	w5_d779e11552
gold.	w7_d779e11555
Bretz.	w9_d779e11558
am	w11_d779e11561
Neubau,	w13_d779e11565
1.	w15_d779e11568
J.	w17_d779e11571
Dem	w1_d779e11577
Christoph	w3_d779e11580
Gstöttner,	w5_d779e11583
Fragnern,	w7_d779e11586
s.	w9_d779e11589
K.	w11_d779e11592
Anna	w13_d779e11596
Maria	w1_d779e11601
bey	w3_d779e11604
der	w5_d779e11607
kl.	w7_d779e11610
gold.	w9_d779e11613
Sonn	w11_d779e11616
am	w13_d779e11620
Neust,	w15_d779e11623
4.	w17_d779e11626
J.	w19_d779e11629
</list>
<head id="h2_d779e11636">
Summa	w1_d779e11640
8.	w3_d779e11643
Person.,	w5_d779e11646
darunter	w7_d779e11649
5.	w9_d779e11652
Kind.	w11_d779e11655
Den	w1_d779e11660
26.	w3_d779e11663
Julii.	w5_d779e11666
Jn	w7_d779e11669
der	w9_d779e11672
Stadt.	w11_d779e11675
</head>
<list id="l4_d779e11678">
Der	w1_d779e11682
Hoch	w3_d779e11685
edel=geb.	w5_d779e11688
Hr.	w7_d779e11691
Bernh.	w9_d779e11694
Jos.	w11_d779e11697
Koncseck	w13_d779e11701
v.	w15_d779e11704
Dvoretz,	w1_d779e11709
Jhrer	w3_d779e11712
K.	w5_d779e11715
K.	w7_d779e11718
Apostol.	w9_d779e11721
Majest.	w11_d779e11724
würkl.	w13_d779e11728
Hungaris.	w1_d779e11733
Hof	w3_d779e11736
raht,	w5_d779e11739
im	w7_d779e11742
Poris.	w9_d779e11745
H.	w11_d779e11748
untern	w13_d779e11752
Tuch	w15_d779e11755
laub.,	w1_d779e11761
alt	w3_d779e11764
61.	w5_d779e11767
J.	w7_d779e11770
</list>
<head id="h2_d779e11777">
Vor	w1_d779e11781
der	w3_d779e11784
Stadt.	w5_d779e11787
</head>
<list id="l4_d779e11790">
Anna	w1_d779e11794
Gumpesfellnerin,	w3_d779e11797
Burgerl.	w5_d779e11800
Wittwe,	w7_d779e11803
im	w9_d779e11806
Gutis.	w1_d779e11811
H.	w3_d779e11814
auf	w5_d779e11817
der	w7_d779e11820
Laimgr.,	w9_d779e11823
alt	w11_d779e11826
58.	w13_d779e11830
J.	w15_d779e11833
Dem	w1_d779e11838
Mich.	w3_d779e11841
Stumpf,	w5_d779e11844
Burgerl.	w7_d779e11847
Glas,	w9_d779e11850
s.	w11_d779e11853
K.	w13_d779e11857
Franz,	w15_d779e11860
beym	w1_d779e11866
blech.	w3_d779e11869
Thurn	w5_d779e11872
zu	w7_d779e11875
Maria=hülf,	w9_d779e11878
alt	w11_d779e11881
4.	w13_d779e11885
J.	w15_d779e11888
Franz	w1_d779e11893
Frieseisen,	w3_d779e11896
Musicus,	w5_d779e11899
im	w7_d779e11902
Mautneris.	w9_d779e11905
H.	w11_d779e11908
auf	w13_d779e11912
der	w1_d779e11917
Wind	w3_d779e11920
mühl,	w5_d779e11923
alt	w7_d779e11926
53.	w9_d779e11929
J.	w11_d779e11932
Dem	w1_d779e11937
Joh.	w3_d779e11940
Rätmann,	w5_d779e11943
Lack,	w7_d779e11946
s.	w9_d779e11949
T.	w11_d779e11952
Anna,	w13_d779e11956
beym	w15_d779e11959
gold.	w17_d779e11962
Kegel	w1_d779e11968
an	w3_d779e11971
der	w5_d779e11974
Wien,	w7_d779e11977
alt	w9_d779e11980
20.	w11_d779e11983
J.	w13_d779e11987
Dem	w1_d779e11992
Joh.	w3_d779e11995
Hausperger,	w5_d779e11998
Friseurn,	w7_d779e12001
s.	w9_d779e12004
K.	w11_d779e12007
Anna,	w13_d779e12011
im	w15_d779e12014
Kaufmannis.	w1_d779e12019
H.	w3_d779e12022
zu	w5_d779e12025
Nicolstorf,	w7_d779e12028
alt	w9_d779e12031
6.	w11_d779e12034
J.	w13_d779e12038
Dem	w1_d779e12043
Georg	w3_d779e12046
Kugler,	w5_d779e12049
Zillen	w7_d779e12052
schop,	w9_d779e12055
s.	w11_d779e12058
W.	w13_d779e12062
Anna,	w15_d779e12065
bey	w17_d779e12068
dem	w1_d779e12074
Englis.	w3_d779e12077
Gruß	w5_d779e12080
im	w7_d779e12083
Liechtenth.,	w9_d779e12086
alt	w11_d779e12089
64.	w13_d779e12093
J.	w15_d779e12096
Dem	w1_d779e12101
Simon	w3_d779e12104
Lang,	w5_d779e12107
Kutsch.,	w7_d779e12110
s.	w9_d779e12113
K.	w11_d779e12116
Elisab.,	w13_d779e12120
bey	w15_d779e12123
der	w17_d779e12126
gold.	w1_d779e12131
Kug.	w3_d779e12134
auf	w5_d779e12137
der	w7_d779e12140
Wind	w9_d779e12143
mühl,	w11_d779e12146
alt	w13_d779e12150
7.	w15_d779e12153
J.	w17_d779e12156
Dem	w1_d779e12161
Wenzel	w3_d779e12164
Mehrwert,	w5_d779e12167
Schneid.,	w7_d779e12170
s.	w9_d779e12173
K.	w11_d779e12176
Max.,	w13_d779e12180
beym	w1_d779e12186
schware.	w3_d779e12189
Adl.	w5_d779e12192
auf	w7_d779e12195
der	w9_d779e12198
Laimgr.,	w11_d779e12201
alt	w13_d779e12205
6.	w15_d779e12208
J.	w17_d779e12211
</list>
<head id="h2_d779e12218">
Dem	w1_d779e12222
Thom.	w3_d779e12225
Löw,	w5_d779e12228
Taglöhn.,	w7_d779e12231
s.	w9_d779e12234
K.	w11_d779e12237
Joh.,	w13_d779e12241
im	w15_d779e12244
Haus	w17_d779e12247
bergis.	w1_d779e12252
H.	w3_d779e12255
auf	w5_d779e12258
der	w7_d779e12261
Landstr,	w9_d779e12264
alt	w11_d779e12267
2.	w13_d779e12271
J.	w15_d779e12274
Summa	w1_d779e12279
10.	w3_d779e12282
Pers.,	w5_d779e12285
darunter	w7_d779e12288
5.	w9_d779e12291
Kind.	w11_d779e12294
Den	w1_d779e12300
27.	w3_d779e12303
Julii.	w5_d779e12306
Jn	w7_d779e12309
der	w9_d779e12312
Stadt.	w11_d779e12315
</head>
<list id="l4_d779e12318">
Der	w1_d779e12322
(Tit.)	w3_d779e12325
Fr.	w5_d779e12328
Juliana	w7_d779e12331
Sagmillerin,	w9_d779e12334
Wittwe,	w11_d779e12337
ihr	w13_d779e12341
Frle.	w1_d779e12346
T.	w3_d779e12349
Cathar.,	w5_d779e12352
im	w7_d779e12355
gros.	w9_d779e12358
Raben=hof,	w11_d779e12361
alt	w13_d779e12365
46.	w15_d779e12368
J.	w17_d779e12371
Balthas.	w1_d779e12376
Seder,	w3_d779e12379
Burgerl.	w5_d779e12382
Riem.,	w7_d779e12385
im	w9_d779e12388
Freysinger	w11_d779e12391
hof,	w1_d779e12397
alt	w3_d779e12400
64.	w5_d779e12403
J.	w7_d779e12406
Dem	w1_d779e12411
Mich.	w3_d779e12414
Pangerl,	w5_d779e12417
Hausmeist.	w7_d779e12420
im	w9_d779e12423
Johannes	w11_d779e12426
hof,	w1_d779e12431
s.	w3_d779e12434
K.	w5_d779e12437
Susan.,	w7_d779e12440
alda,	w9_d779e12443
alt	w11_d779e12446
3.	w13_d779e12450
J.	w15_d779e12453
</list>
<head id="h2_d779e12460">
Vor	w1_d779e12464
der	w3_d779e12467
Stadt.	w5_d779e12470
</head>
<list id="l4_d779e12473">
Dem	w1_d779e12477
Bonavent.	w3_d779e12480
Konveta,	w5_d779e12483
Burgerl.	w7_d779e12486
Vergoldt.,	w9_d779e12489
s.	w11_d779e12492
K.	w1_d779e12497
Cathar.,	w3_d779e12500
beym	w5_d779e12503
gr.	w7_d779e12506
Kranz	w9_d779e12509
zu	w11_d779e12512
Maria=hülf,	w13_d779e12516
1.	w15_d779e12519
J.	w17_d779e12522
Dem	w1_d779e12527
Bened.	w3_d779e12530
Bernitz,	w5_d779e12533
Burgerl.	w7_d779e12536
Stick.,	w9_d779e12539
s.	w11_d779e12542
K.	w13_d779e12546
Elis,	w15_d779e12549
bey	w1_d779e12555
der	w3_d779e12558
Hungaris.	w5_d779e12561
Kron	w7_d779e12564
zu	w9_d779e12567
Maria=hülf,	w11_d779e12570
1.	w13_d779e12574
J.	w15_d779e12577
Dem	w1_d779e12582
Franz	w3_d779e12585
Wagner,	w5_d779e12588
Friseurn,	w7_d779e12591
s.	w9_d779e12594
K.	w11_d779e12597
Anna,	w13_d779e12601
bey	w15_d779e12604
der	w17_d779e12607
gold.	w1_d779e12612
Birn	w3_d779e12615
im	w5_d779e12618
Lerchenf.,	w7_d779e12621
alt	w9_d779e12624
3.	w11_d779e12627
J.	w13_d779e12631
Dem	w1_d779e12636
Math.	w3_d779e12639
Trager,	w5_d779e12642
Schuhmach.,	w7_d779e12645
s.	w9_d779e12648
K.	w11_d779e12651
Anna,	w13_d779e12655
im	w15_d779e12658
kl.	w1_d779e12664
Bar.	w3_d779e12667
Mayris.	w5_d779e12670
H.	w7_d779e12673
zu	w9_d779e12676
Gumpendorf,	w11_d779e12679
alt	w13_d779e12683
3.	w15_d779e12686
J.	w17_d779e12689
Dem	w1_d779e12694
Bened.	w3_d779e12697
Fritz,	w5_d779e12700
Bestand	w7_d779e12703
wire.,	w9_d779e12706
s.	w11_d779e12709
K.	w13_d779e12713
Jos,	w15_d779e12716
beym	w17_d779e12719
gold.	w1_d779e12724
Straus.	w3_d779e12727
auf	w5_d779e12730
der	w7_d779e12733
neuen	w9_d779e12736
Wied.,	w11_d779e12739
alt	w13_d779e12743
7.	w15_d779e12746
J.	w17_d779e12749
Dem	w1_d779e12754
Jos.	w3_d779e12757
Auer,	w5_d779e12760
Schlos.,	w7_d779e12763
s.	w9_d779e12766
W.	w11_d779e12769
Ursula,	w13_d779e12773
bey	w15_d779e12776
dem	w17_d779e12779
gold.	w1_d779e12785
A.	w3_d779e12788
B.	w5_d779e12791
C.	w7_d779e12794
zu	w9_d779e12797
Maria=hülf,	w11_d779e12800
alt	w13_d779e12804
38.	w15_d779e12807
J.	w17_d779e12810
Dem	w1_d779e12815
Mich.	w3_d779e12818
Heicherer,	w5_d779e12821
Faßzieher=kn,	w7_d779e12824
s.	w9_d779e12827
K.	w11_d779e12830
Elisab.	w13_d779e12834
beym	w1_d779e12839
kl.	w3_d779e12842
wild.	w5_d779e12845
Mann	w7_d779e12848
am	w9_d779e12851
Spitalberg,	w11_d779e12854
7.	w13_d779e12858
J.	w15_d779e12861
Elisab.	w1_d779e12866
Haderin,	w3_d779e12869
in	w5_d779e12872
St	w7_d779e12875
Joh.	w9_d779e12878
Nep.	w11_d779e12881
Spit.	w13_d779e12885
80	w15_d779e12888
J.	w17_d779e12891
Balthas.	w1_d779e12897
Staudinger,	w3_d779e12900
Fuhr=kn.,	w5_d779e12903
im	w7_d779e12906
Gerstenbran	w9_d779e12909
dis.	w1_d779e12914
H.	w3_d779e12917
in	w5_d779e12920
der	w7_d779e12923
Leapoldst.,	w9_d779e12926
alt	w11_d779e12929
50.	w13_d779e12933
J.	w15_d779e12936
Dem	w1_d779e12941
Ant	w3_d779e12944
Heinisch,	w5_d779e12947
Kutsh.,	w7_d779e12950
s.	w9_d779e12953
K.	w11_d779e12956
Adam,	w13_d779e12960
bey	w15_d779e12963
dem	w17_d779e12966
weis.	w1_d779e12971
Läm.	w3_d779e12974
am	w5_d779e12977
Neustift,	w7_d779e12980
alt	w9_d779e12983
4.	w11_d779e12986
J.	w13_d779e12990
Dem	w1_d779e12996
Math.	w3_d779e12999
Tusch,	w5_d779e13002
Kutsch.,	w7_d779e13005
s.	w9_d779e13008
K.	w11_d779e13011
Jgnaä,	w13_d779e13015
2	w15_d779e13018
im	w17_d779e13021
kl.	w19_d779e13024
Hacklis.	w1_d779e13029
H.	w3_d779e13032
auf	w5_d779e13035
der	w7_d779e13038
Wied.,	w9_d779e13041
alt	w11_d779e13044
1.	w13_d779e13048
J.	w15_d779e13051
Dem	w1_d779e13056
Joh.	w3_d779e13059
Dietenhofer,	w5_d779e13062
Zimmer=putz.,	w7_d779e13065
s.	w9_d779e13068
K.	w11_d779e13071
Jose	w13_d779e13075
pha,	w1_d779e13080
im	w3_d779e13083
Kutscheris.	w5_d779e13086
H.	w7_d779e13089
zu	w9_d779e13092
Margar.,	w11_d779e13095
alt	w13_d779e13099
1.	w15_d779e13102
J.	w17_d779e13105
Dem	w1_d779e13111
Joh.	w3_d779e13114
Georg	w5_d779e13117
Eckhard,	w7_d779e13120
Taglöhn.,	w9_d779e13123
s.	w11_d779e13126
K.	w13_d779e13130
The	w15_d779e13133
res.,	w1_d779e13138
bey	w3_d779e13141
der	w5_d779e13144
gold.	w7_d779e13147
Bet.	w9_d779e13150
im	w11_d779e13153
Lerchenf.,	w13_d779e13157
alt	w15_d779e13160
2.	w17_d779e13163
J.	w19_d779e13166
</list>
<head id="h2_d779e13173">
Summa	w1_d779e13177
16.	w3_d779e13180
Person.	w5_d779e13183
darunter	w7_d779e13186
11.	w9_d779e13189
Kind.	w11_d779e13192
Den	w1_d779e13197
28.	w3_d779e13200
Julii.	w5_d779e13203
Jn	w7_d779e13206
der	w9_d779e13209
Stadt.	w11_d779e13212
</head>
<head id="h2_d779e13219">
Dem	w1_d779e13223
Jos.	w3_d779e13226
Teigert,	w5_d779e13229
Toback=handl.,	w7_d779e13232
s.	w9_d779e13235
K.	w11_d779e13238
Sophia,	w13_d779e13242
beym	w1_d779e13247
weis.	w3_d779e13250
Löw.	w5_d779e13253
am	w7_d779e13256
Salz=gr.,	w9_d779e13259
alt	w11_d779e13262
2.	w13_d779e13266
J.	w15_d779e13269
</head>
<head id="h2_d779e13275">
Vor	w1_d779e13279
der	w3_d779e13282
Stadt.	w5_d779e13285
</head>
<list id="l4_d779e13288">
Fr.	w1_d779e13292
Elisab.	w3_d779e13295
Oßmanin,	w5_d779e13298
Wittwe,	w7_d779e13301
im	w9_d779e13304
Steinbachetis.	w11_d779e13307
H.	w1_d779e13312
in	w3_d779e13315
der	w5_d779e13318
Leopoldst.,	w7_d779e13321
ald	w9_d779e13324
544	w11_d779e13327
J.	w13_d779e13331
Anna	w1_d779e13336
Peyerin,	w3_d779e13339
Wittwe,	w5_d779e13342
beym	w7_d779e13345
schwarz.	w9_d779e13348
Thor	w11_d779e13351
zu	w13_d779e13355
Maria=hülf,	w1_d779e13361
alt	w3_d779e13364
80.	w5_d779e13367
J.	w7_d779e13370
Ant.	w1_d779e13375
Weldi,	w3_d779e13378
Schuhmach.,	w5_d779e13381
beym	w7_d779e13384
gold.	w9_d779e13387
Mondsch.	w11_d779e13390
zu	w1_d779e13395
Maria=hülf,	w3_d779e13398
alt	w5_d779e13401
61.	w7_d779e13404
J.	w9_d779e13407
Leop.	w1_d779e13412
Schwarz,	w3_d779e13415
Hof	w5_d779e13418
keller=bind,	w7_d779e13421
bey	w9_d779e13424
her	w11_d779e13427
bl.	w13_d779e13431
Kug.	w15_d779e13434
am	w1_d779e13440
Spitalberg,	w3_d779e13443
alt	w5_d779e13446
58.	w7_d779e13449
J.	w9_d779e13452
Dem	w1_d779e13457
Joh.	w3_d779e13460
Rosenbeck,	w5_d779e13463
K.	w7_d779e13466
Reit	w9_d779e13469
kn.,	w11_d779e13472
s.	w13_d779e13476
W.	w15_d779e13479
Cathar.,	w17_d779e13482
beym	w1_d779e13487
gold.	w3_d779e13490
Keg.	w5_d779e13493
an	w7_d779e13496
der	w9_d779e13499
Wien,	w11_d779e13502
alt	w13_d779e13506
63.	w15_d779e13509
J.	w17_d779e13512
Dem	w1_d779e13517
Jos.	w3_d779e13520
Groschopf,	w5_d779e13523
Maurer=ges.,	w7_d779e13526
s.	w9_d779e13529
T.	w11_d779e13532
Cäcilia,	w13_d779e13536
beym	w1_d779e13542
gold.	w3_d779e13545
Greis.	w5_d779e13548
am	w7_d779e13551
Neubau,	w9_d779e13554
alt	w11_d779e13557
18.	w13_d779e13561
J.	w15_d779e13564
Dem	w1_d779e13569
Jos.	w3_d779e13572
Schmid,	w5_d779e13575
Roß=wart.,	w7_d779e13578
s.	w9_d779e13581
W.	w11_d779e13584
Anna,	w13_d779e13588
im	w15_d779e13591
Laufmannis.	w1_d779e13596
H.	w3_d779e13599
auf	w5_d779e13602
der	w7_d779e13605
Wied.,	w9_d779e13608
alt	w11_d779e13611
37.	w13_d779e13615
J.	w15_d779e13618
</list>
<list id="l10_d779e13632">
Adam	w1_d779e13636
Fiernitz,	w3_d779e13639
in	w5_d779e13642
St.	w7_d779e13645
Joh.	w9_d779e13648
Nep.	w11_d779e13651
Spit,	w13_d779e13655
alt	w15_d779e13658
80.	w17_d779e13661
J.	w19_d779e13664
Dem	w1_d779e13669
Joh.	w3_d779e13672
Andres,	w5_d779e13675
Kuchel	w7_d779e13678
gart.,	w9_d779e13681
s.	w11_d779e13684
K.	w13_d779e13688
Jos.,	w15_d779e13691
in	w17_d779e13694
s.	w19_d779e13697
H.	w1_d779e13702
zu	w3_d779e13705
Erdberg,	w5_d779e13708
alt	w7_d779e13711
4.	w9_d779e13714
J.	w11_d779e13717
Dem	w1_d779e13723
Georg	w3_d779e13726
Wöber,	w5_d779e13729
Brätel	w7_d779e13732
brat.,	w9_d779e13735
s.	w11_d779e13738
K.	w13_d779e13742
Cathar.,	w15_d779e13745
in	w1_d779e13750
s.	w3_d779e13753
H.	w5_d779e13756
zu	w7_d779e13759
St.	w9_d779e13762
Ulrich,	w11_d779e13765
alt	w13_d779e13769
1.	w15_d779e13772
J.	w17_d779e13775
Dem	w1_d779e13780
Carl	w3_d779e13783
Hörmler,	w5_d779e13786
Tischl.,	w7_d779e13789
s.	w9_d779e13792
K.	w11_d779e13795
Joh.,	w13_d779e13799
bey	w15_d779e13802
dem	w17_d779e13805
gold.	w1_d779e13810
Hut	w3_d779e13813
am	w5_d779e13816
Neustift,	w7_d779e13819
alt	w9_d779e13822
4.	w11_d779e13825
J.	w13_d779e13829
Dem	w1_d779e13835
Ant.	w3_d779e13838
Sporrer,	w5_d779e13841
Bestand=wirt.,	w7_d779e13844
s.	w9_d779e13847
K.	w11_d779e13850
Pet.,	w13_d779e13854
bey	w15_d779e13857
dem	w1_d779e13862
gold.	w3_d779e13865
Kopänl	w5_d779e13868
am	w7_d779e13871
Neustift,	w9_d779e13874
alt	w11_d779e13877
1.	w13_d779e13881
J.	w15_d779e13884
Dem	w1_d779e13889
Jos.	w3_d779e13892
Schweinzer,	w5_d779e13895
Maurer=ges.,	w7_d779e13898
s.	w9_d779e13901
K.	w11_d779e13904
Urban,	w13_d779e13908
im	w1_d779e13913
Hauptmannis.	w3_d779e13916
H.	w5_d779e13919
am	w7_d779e13922
Neustift,	w9_d779e13925
alt	w11_d779e13928
2.	w13_d779e13932
J.	w15_d779e13935
Dem	w1_d779e13941
Joh.	w3_d779e13944
Mich.	w5_d779e13947
Hofer,	w7_d779e13950
Taglöhn,	w9_d779e13953
s.	w11_d779e13956
K.	w13_d779e13960
Franci	w15_d779e13963
sca,	w1_d779e13968
beym	w3_d779e13971
bl.	w5_d779e13974
Stern	w7_d779e13977
im	w9_d779e13980
Lerchenf.,	w11_d779e13983
alt	w13_d779e13987
3.	w15_d779e13990
J.	w17_d779e13993
</list>
<head id="h2_d779e14000">
Summa	w1_d779e14004
15.	w3_d779e14007
Person.,	w5_d779e14010
darunter	w7_d779e14013
