<doc id="edoc_wd_1780-12-02" attrs="word" year="1780" month="12" day="02" corpus="1">
<p id="p4">
Monarchinn	w23
<g/>
,
3	w10213
Jahr=gänge	w10214
<g/>
=
<g/>
,
gr	w10217
<g/>
.
8	w10219
<g/>
.
Breßlau	w10221
1781	w10222
<g/>
.
16	w10224
fl	w10225
<g/>
.
Fastenpredigten	w10227
auf	w10228
7	w10229
Jahre	w10230
über	w10231
das	w10232
Ge=heimniß	w10233
<g/>
=
des	w10235
Leidens	w10236
unsers	w10237
Hrn	w10238
<g/>
.
Jesu	w10240
Chri=sti	w10241
<g/>
=
<g/>
,
4	w10244
Theile	w10245
<g/>
,
gr	w10247
<g/>
.
8	w10249
<g/>
.
Breßl	w10251
<g/>
.
1779	w10253
<g/>
.
3	w10255
fl	w10256
<g/>
.
30	w10258
kr	w10259
<g/>
.
abritz	w10261
<g/>
(
Wilhelm	w10263
<g/>
)
chyrurgische	w10265
Beobachtungen	w10266
und	w10267
Kuren	w10268
<g/>
,
erstes	w10270
und	w10271
3tes	w10272
Hundert	w10273
<g/>
,
gr	w10275
<g/>
.
8	w10277
<g/>
.
Augsb	w10279
<g/>
.
1780	w10281
<g/>
.
2	w10283
fl	w10284
<g/>
.
</list>
<head id="hl20">
Jn	w10286
der	w10287
Joh	w10288
<g/>
.
Paul	w10290
Krausischen	w10291
Buchhandlung	w10292
im	w10293
neuen	w10294
Michaelerhaus	w10295
Nr	w10296
<g/>
.
1183	w10298
der	w10299
k	w10300
<g/>
.
k	w10302
<g/>
.
Reitschule	w10304
über	w10305
sind	w10306
nebst	w10307
vielen	w10308
andern	w10309
Bü=chern	w10310
<g/>
=
auch	w10312
folgende	w10313
zu	w10314
haben	w10315
<g/>
:
</head>
<list id="li11">
orn	w10317
<g/>
,
Ign	w10319
<g/>
.
Equ	w10321
<g/>
.
Musei	w10323
CæsareiCaesarei	w10324
Vindobonen-sis	w10325
<g/>
-
Mestacea	w10327
<g/>
,
quæquae	w10329
jussu	w10330
MariæMariae	w10331
TheresiæTheresiae	w10332
<g/>
,
AugustæAugustae	w10334
disposuit	w10335
<g/>
,
cum	w10337
fig	w10338
<g/>
.
coloratis	w10340
<g/>
,
sol	w10342
<g/>
.
ViennæViennae	w10344
1780	w10345
<g/>
.
chlözers	w10347
kurze	w10348
Geschichte	w10349
des	w10350
neuen	w10351
Reichs	w10352
der	w10353
Britten	w10354
am	w10355
Ganges	w10356
<g/>
,
seit	w10358
dem	w10359
Jahre	w10360
1756	w10361
<g/>
,
gr	w10363
<g/>
.
8	w10365
<g/>
.
Göttingen	w10367
1780	w10368
<g/>
.
24	w10370
kr	w10371
<g/>
.
oeze	w10373
entomologische	w10374
Beyträge	w10375
zu	w10376
des	w10377
Ritters	w10378
Linne	w10379
12ten	w10380
Ausgabe	w10381
des	w10382
Natursystems	w10383
<g/>
,
2ten	w10385
Theils	w10386
2ter	w10387
Band	w10388
<g/>
,
gr	w10390
<g/>
.
8	w10392
<g/>
.
Leipzig	w10394
1780	w10395
<g/>
.
1	w10397
fl	w10398
<g/>
.
45	w10400
kr	w10401
<g/>
.
Geschichte	w10403
des	w10404
englisch	w10405
<g/>
=
französisch	w10407
<g/>
=
spanischen	w10409
Krieges	w10410
<g/>
,
aus	w10412
Veranlassung	w10413
des	w10414
Aufstandes	w10415
der	w10416
englischen	w10417
Kolonien	w10418
in	w10419
Nord	w10420
<g/>
=
Amerika	w10422
<g/>
,
gr	w10424
<g/>
.
8	w10426
<g/>
.
1780	w10428
euer	w10429
Schauplatz	w10430
der	w10431
Natur	w10432
nach	w10433
den	w10434
wichtig=sten	w10435
<g/>
=
Beobachtungen	w10437
und	w10438
Versuchen	w10439
in	w10440
al=phabetischer	w10441
<g/>
=
Ordnung	w10443
durch	w10444
eine	w10445
Gesellschaft	w10446
von	w10447
Gelehrten	w10448
<g/>
,
9ter	w10450
Band	w10451
<g/>
,
gr	w10453
<g/>
.
8	w10455
<g/>
.
Leipzig	w10457
1780	w10458
<g/>
.
3	w10460
fl	w10461
<g/>
.
Vollständiges	w10463
Färbe	w10464
<g/>
=
und	w10466
Bleichbuch	w10467
zu	w10468
meh=rerem	w10469
<g/>
=
Unterricht	w10471
<g/>
,
Nutzen	w10473
und	w10474
Gebrauch	w10475
für	w10476
Fabrikanten	w10477
und	w10478
Färber	w10479
<g/>
,
3ter	w10481
Band	w10482
<g/>
,
8	w10484
<g/>
.
Ulm	w10486
1781	w10487
<g/>
.
1	w10489
fl	w10490
<g/>
.
30	w10492
kr	w10493
<g/>
.
rells	w10495
chemisches	w10496
Journal	w10497
für	w10498
Freunde	w10499
der	w10500
Na=turlehre	w10501
<g/>
=
<g/>
,
Arzneygelahrtheit	w10504
<g/>
,
Haushaltungs=kunst	w10506
<g/>
=
und	w10508
Manufakturen	w10509
<g/>
,
4ter	w10511
u	w10512
<g/>
.
5ter	w10514
Theil	w10515
<g/>
,
8	w10517
<g/>
.
Lemgo	w10519
1780	w10520
<g/>
.
Vollständiges	w10522
Färbe	w10523
<g/>
=
und	w10525
Bleichbuch	w10526
<g/>
,
welches	w10528
drey	w10529
der	w10530
wichtigsten	w10531
Hauptstücke	w10532
für	w10533
Fabri=kanten	w10534
<g/>
=
enthält	w10536
<g/>
,
8	w10538
<g/>
.
Ulm	w10540
1780	w10541
<g/>
.
1	w10543
fl	w10544
<g/>
.
30	w10546
kr	w10547
<g/>
.
Auswahl	w10549
kleiner	w10550
Romane	w10551
und	w10552
Erzehlungen	w10553
<g/>
,
erste	w10555
Samlung	w10556
8	w10557
<g/>
.
Breslau	w10559
1780	w10560
<g/>
.
30	w10562
kr	w10563
<g/>
.
almets	w10565
allgemeine	w10566
Kirchen	w10567
<g/>
=
und	w10569
Weltgeschich=te	w10570
<g/>
=
von	w10572
der	w10573
Schöpfung	w10574
an	w10575
bis	w10576
auf	w10577
unsere	w10578
Zei=ten	w10579
<g/>
=
<g/>
,
3ten	w10582
Theils	w10583
erster	w10584
Band	w10585
<g/>
,
gr	w10587
<g/>
.
8	w10589
<g/>
.
Augs=burg	w10591
<g/>
=
1780	w10593
<g/>
.
3	w10595
fl	w10596
<g/>
.
</list>
<list id="li12">
Sittliche	w10598
und	w10599
rührende	w10600
Unterhaltungen	w10601
für	w10602
Frauenzimmer	w10603
<g/>
,
11ter	w10605
Theil	w10606
<g/>
,
8	w10608
<g/>
.
Leipz	w10610
<g/>
.
1780	w10612
<g/>
.
30	w10614
kr	w10615
<g/>
.
Pallas	w10617
Specilegia	w10618
Zoologica	w10619
<g/>
,
Fasc	w10621
<g/>
.
XIV	w10623
c	w10624
<g/>
.
fig	w10626
<g/>
,
4	w10628
<g/>
.
maj	w10630
<g/>
.
Berolini	w10632
1780	w10633
<g/>
.
1	w10635
fl	w10636
<g/>
.
8	w10638
kr	w10639
<g/>
.
Cappel	w10641
medicinische	w10642
Responsa	w10643
<g/>
,
8	w10645
<g/>
.
Altenburg	w10647
1780	w10648
<g/>
.
15	w10650
kr	w10651
<g/>
.
Weissensteins	w10653
Fragmente	w10654
zur	w10655
Erziehung	w10656
und	w10657
zum	w10658
Unterricht	w10659
<g/>
,
Kindern	w10661
und	w10662
Kinderfreun=den	w10663
<g/>
=
gewidmet	w10665
<g/>
,
3	w10667
<g/>
=
und	w10669
4tes	w10670
Bändchen	w10671
<g/>
,
8	w10673
<g/>
.
Frankf	w10675
<g/>
.
1780	w10677
<g/>
.
1	w10679
fl	w10680
<g/>
.
8	w10682
kr	w10683
<g/>
.
</list>
<head id="hl21">
Jn	w10685
der	w10686
Emerich	w10687
Felix	w10688
Baderischen	w10689
Buchhand=lung	w10690
<g/>
=
in	w10692
der	w10693
Bognergasse	w10694
<g/>
,
neben	w10696
dem	w10697
Toden=kopf	w10698
<g/>
=
<g/>
,
sind	w10701
nebst	w10702
vielen	w10703
andern	w10704
Büchern	w10705
auch	w10706
folgende	w10707
zu	w10708
haben	w10709
<g/>
:
</head>
<list id="li13">
Sammlung	w10711
auserlesener	w10712
Briefe	w10713
aus	w10714
Plinius	w10715
<g/>
,
Cicero	w10717
und	w10718
Seneka	w10719
<g/>
,
2tes	w10721
Bändchen	w10722
<g/>
,
8	w10724
<g/>
.
Frankf	w10726
<g/>
.
1780	w10728
<g/>
.
45	w10730
kr	w10731
<g/>
.
<g/>
—
alle	w10734
2	w10735
Bändchen	w10736
1	w10737
fl	w10738
<g/>
.
15	w10740
kr	w10741
<g/>
.
Schlözers	w10743
Briefwechsel	w10744
<g/>
,
37	w10746
<g/>
—
40stes	w10748
Heft	w10749
<g/>
,
gr	w10751
<g/>
.
8	w10753
<g/>
.
Götting	w10755
1780	w10756
<g/>
.
1	w10758
fl	w10759
<g/>
.
8	w10761
kr	w10762
<g/>
.
Araspes	w10764
und	w10765
Panthea	w10766
<g/>
,
von	w10768
Herrn	w10769
C	w10770
<g/>
.
M	w10772
<g/>
.
Wie=land	w10774
<g/>
=
<g/>
,
8	w10777
<g/>
.
Frankf	w10779
<g/>
.
1780	w10781
<g/>
.
24	w10783
kr	w10784
<g/>
.
Zweyhundert	w10786
neue	w10787
Räthsel	w10788
für	w10789
junge	w10790
Leute	w10791
beyderley	w10792
Geschlechts	w10793
<g/>
,
zur	w10795
Aufklärung	w10796
des	w10797
Verstandes	w10798
<g/>
,
8	w10800
<g/>
.
Frankf	w10802
<g/>
.
1780	w10804
<g/>
.
24	w10806
kr	w10807
<g/>
.
Von	w10809
den	w10810
Sitten	w10811
der	w10812
alten	w10813
Deutschen	w10814
<g/>
,
a	w10816
<g/>
.
d	w10818
<g/>
.
Latein	w10820
<g/>
.
des	w10822
C	w10823
<g/>
.
C	w10825
<g/>
.
Tacitus	w10827
<g/>
,
nebst	w10829
Anmer=kungen	w10830
<g/>
=
<g/>
,
8	w10833
<g/>
.
Frankf	w10835
<g/>
.
1780	w10837
<g/>
.
12	w10839
kr	w10840
<g/>
.
Färbe	w10842
<g/>
=
und	w10844
Bleichbuch	w10845
<g/>
,
vollständiges	w10847
<g/>
,
zu	w10849
meh=rerm	w10850
<g/>
=
Unterrichte	w10852
<g/>
,
Nutzen	w10854
und	w10855
Gebrauch	w10856
für	w10857
Fabrikanten	w10858
und	w10859
Färber	w10860
ꝛc	w10861
<g/>
.
3ter	w10863
Band	w10864
<g/>
,
8	w10866
<g/>
.
Ulm	w10868
1781	w10869
<g/>
.
1	w10871
fl	w10872
<g/>
.
30	w10874
kr	w10875
<g/>
.
<g/>
—
alle	w10878
3	w10879
Bände	w10880
4	w10881
fl	w10882
<g/>
.
30kr	w10884
<g/>
.
Des	w10886
klugen	w10887
Beamten	w10888
auserlesenes	w10889
und	w10890
nach	w10891
dem	w10892
heutigen	w10893
Curialstylo	w10894
wohleingerichtetes	w10895
Formularbuch	w10896
<g/>
,
darinn	w10898
alles	w10899
<g/>
,
was	w10901
Beamten	w10902
<g/>
,
Richter	w10904
<g/>
,
Advokaten	w10906
<g/>
,
Notarien	w10908
und	w10909
jedem	w10910
andern	w10911
<g/>
,
sowohl	w10913
in	w10914
gerichtlich	w10915
als	w10916
ausser	w10917
ge=richtlichen	w10918
<g/>
=
Fällen	w10920
nöthig	w10921
seyn	w10922
kann	w10923
<g/>
,
zu	w10925
fin=den	w10926
<g/>
=
ist	w10928
<g/>
,
4	w10930
<g/>
.
Nürnb	w10932
<g/>
.
1772	w10934
<g/>
.
2	w10936
fl	w10937
<g/>
.
30	w10939
kr	w10940
<g/>
.
Schauplatz	w10942
der	w10943
Künste	w10944
und	w10945
Handwerke	w10946
<g/>
,
oder	w10948
vollständige	w10949
Beschreibung	w10950
derselben	w10951
<g/>
,
verferti=get	w10953
<g/>
=
oder	w10955
gebilliget	w10956
von	w10957
den	w10958
Herren	w10959
der	w10960
Aka=demie	w10961
<g/>
=
der	w10963
Wissenschaften	w10964
zu	w10965
Paris	w10966
<g/>
,
14ter	w10968
Band	w10969
mit	w10970
vielen	w10971
Kupfertafeln	w10972
<g/>
,
gr	w10974
<g/>
.
4	w10976
<g/>
.
1780	w10978
<g/>
.
7	w10980
fl	w10981
<g/>
.
30	w10983
kr	w10984
<g/>
.
<g/>
—
alle	w10987
14	w10988
Bände	w10989
Bibliothek	w10990
der	w10991
neuesten	w10992
Reisebeschreibungen	w10993
<g/>
,
2	w10995
Bände	w10996
mit	w10997
Kupf	w10998
<g/>
.
und	w11000
Karten	w11001
<g/>
,
8	w11003
<g/>
.
Nürnb	w11005
<g/>
.
1779	w11007
<g/>
—
80	w11009
broschirt	w11010
4	w11011
fl	w11012
<g/>
.
Das	w11014
neue	w11015
Testament	w11016
unsers	w11017
Herrn	w11018
Jesu	w11019
Chri=sti	w11020
<g/>
=
<g/>
,
von	w11023
Herrn	w11024
Cartier	w11025
und	w11026
andern	w11027
Gottes=gelehrten	w11028
<g/>
=
<g/>
,
zum	w11031
allgemeinen	w11032
Gebrauch	w11033
katho=lischer	w11034
<g/>
=
Christen	w11036
<g/>
,
gr	w11038
<g/>
.
8	w11040
<g/>
.
Cölln	w11042
1780	w11043
<g/>
.
45	w11045
kr	w11046
<g/>
.
Magazin	w11048
<g/>
(
Bernerisches	w11050
<g/>
)
der	w11052
Natur	w11053
<g/>
,
Kunst	w11055
<g/>
,
und	w11057
Wissenschaften	w11058
<g/>
,
2	w11060
Bände	w11061
und	w11062
3ten	w11063
Bandes	w11064
1stes	w11065
Stück	w11066
<g/>
,
oder	w11068
5	w11069
Stücke	w11070
<g/>
,
mit	w11072
Kupf	w11073
<g/>
.
8	w11075
Bern	w11076
1775	w11077
<g/>
—
80	w11079
<g/>
.
5	w11081
fl	w11082
<g/>
.
30	w11084
kr	w11085
<g/>
.
</list>
<head id="hl22">
Jn	w11087
der	w11088
von	w11089
Ghelenschen	w11090
Buchhandlung	w11091
in	w11092
der	w11093
Singerstrasse	w11094
dem	w11095
St	w11096
<g/>
.
Stephansthore	w11098
über	w11099
im	w11100
v	w11101
<g/>
.
Mannerischem	w11103
Hause	w11104
Nr	w11105
<g/>
.
93	w11107
sind	w11108
nebst	w11109
vielen	w11110
andern	w11111
Büchern	w11112
<g/>
,
Landkarten	w11114
und	w11115
Kupferstichen	w11116
<g/>
,
auch	w11118
folgende	w11119
zu	w11120
haben	w11121
<g/>
:
</head>
<list id="li14">
Helfenzrieder	w11123
<g/>
(
Johann	w11125
Evangelist	w11126
<g/>
)
Abhandlung	w11128
von	w11129
Verbesserung	w11130
der	w11131
Feuerspritzen	w11132
<g/>
,
welche	w11134
bey	w11135
der	w11136
kurmaynzischen	w11137
Akademie	w11138
der	w11139
Wissenschaften	w11140
zu	w11141
Erfurt	w11142
i	w11143
<g/>
.
J	w11145
<g/>
.
1777	w11147
den	w11148
Preis	w11149
erhal=ten	w11150
<g/>
=
hat	w11152
<g/>
,
mit	w11154
3	w11155
Tabellen	w11156
<g/>
,
gr	w11158
8	w11159
<g/>
.
Jngolstadt	w11161
1778	w11162
<g/>
.
21	w11164
kr	w11165
<g/>
.
Mudge	w11167
<g/>
(
Johann	w11169
<g/>
)
Ahhandlung	w11171
von	w11172
dem	w11173
katarrhalischen	w11174
Husten	w11175
<g/>
,
in	w11177
welcher	w11178
zugleich	w11179
eine	w11180
gründ=liche	w11181
<g/>
=
und	w11183
geschwinde	w11184
Heilungsart	w11185
desselben	w11186
mitgetheilt	w11187
wird	w11188
<g/>
,
nebst	w11190
einigen	w11191
Bemerkungen	w11192
über	w11193
die	w11194
Lebenskraft	w11195
des	w11196
menschlichen	w11197
Körpers	w11198
<g/>
,
und	w11200
über	w11201
die	w11202
Behandlung	w11203
kompliciter	w11204
Beinbrüche	w11205
gr	w11206
<g/>
.
8	w11208
<g/>
.
Leipz	w11210
<g/>
.
1780	w11212
<g/>
.
36	w11214
kr	w11215
<g/>
.
Balbini	w11217
<g/>
(
Bohuslai	w11219
<g/>
)
Bohemia	w11221
docta	w11222
<g/>
,
opus	w11224
postumum	w11225
editum	w11226
<g/>
,
notisque	w11228
illustratum	w11229
ab	w11230
Ra=phale	w11231
<g/>
=
Ungar	w11233
<g/>
,
pars	w11235
3ia	w11236
<g/>
.
maj	w11238
<g/>
.
PragæPragae	w11240
1780	w11241
<g/>
.
1	w11243
fl	w11244
<g/>
.
Essigs	w11246
<g/>
(
Johann	w11248
Georg	w11249
<g/>
)
kurze	w11251
Einleitung	w11252
zu	w11253
der	w11254
allgemeinen	w11255
Welthistorie	w11256
<g/>
,
aufs	w11258
neue	w11259
überse=hen	w11260
<g/>
=
<g/>
,
vermehrt	w11263
<g/>
,
und	w11265
bis	w11266
auf	w11267
gegenwärtige	w11268
Zeit	w11269
fortgesetzt	w11270
<g/>
,
von	w11272
Joh	w11273
<g/>
.
Christian	w11275
Volz	w11276
<g/>
,
gr	w11278
<g/>
.
8	w11280
Stuttgart	w11281
1773	w11282
<g/>
.
2	w11284
fl	w11285
<g/>
.
15	w11287
kr	w11288
<g/>
.
Manzini	w11290
<g/>
(
Karl	w11292
<g/>
)
Passions	w11294
<g/>
=
und	w11296
Charwochepredigten	w11297
<g/>
,
gr	w11299
<g/>
.
8	w11301
<g/>
.
München	w11303
1780	w11304
<g/>
.
1	w11306
fl	w11307
<g/>
.
Linne	w11309
<g/>
(
des	w11311
Ritters	w11312
Carl	w11313
v	w11314
<g/>
.
<g/>
)
vollständiges	w11317
Pfanzensystem	w11318
<g/>
,
7ter	w11320
Theil	w11321
<g/>
,
m	w11323
<g/>
.
K	w11325
<g/>
.
gr	w11327
<g/>
.
8	w11329
<g/>
.
Nürnb.	w11331
1781	w11332
<g/>
.
3	w11334
fl	w11335
<g/>
.
Sulzer	w11337
<g/>
(
Johann	w11339
George	w11340
<g/>
)
allgemeine	w11342
Theorie	w11343
der	w11344
schönen	w11345
Künste	w11346
<g/>
,
in	w11348
einzeln	w11349
<g/>
,
nach	w11351
alphabethi=scher	w11352
<g/>
=
Ordnung	w11354
der	w11355
Kunstwörter	w11356
auf	w11357
einander	w11358
folgenden	w11359
Artikeln	w11360
abgehandelt	w11361
<g/>
,
4	w11363
Theile	w11364
<g/>
,
gr	w11366
<g/>
.
8	w11368
6	w11369
fl	w11370
<g/>
.
30	w11372
kr	w11373
<g/>
.
Kantemirs	w11375
<g/>
(
Demetrii	w11377
<g/>
)
historisch	w11379
<g/>
=
geograrhisch	w11381
<g/>
=
und	w11383
politische	w11384
Beschreibung	w11385
der	w11386
Moldau	w11387
<g/>
,
nebst	w11389
dem	w11390
Leben	w11391
des	w11392
Verfassers	w11393
<g/>
,
und	w11395
einer	w11396
Landkarte	w11397
<g/>
,
gr	w11399
<g/>
.
8	w11401
<g/>
.
Frankf	w11403
<g/>
.
und	w11405
Leipz	w11406
<g/>
.
1771	w11408
<g/>
.
1	w11410
fl	w11411
<g/>
.
15	w11413
kr.	w11414
Fulda	w11415
<g/>
(
Friedrich	w11417
Carl	w11418
<g/>
)
Grundregeln	w11420
der	w11421
deutschen	w11422
Sprache	w11423
<g/>
,
gr	w11425
<g/>
.
8	w11427
<g/>
.
Stutgart	w11429
1778	w11430
<g/>
.
24	w11432
<g/>
.
kr	w11434
<g/>
.
Walters	w11436
<g/>
(
Johann	w11438
Jakob	w11439
<g/>
)
praktische	w11441
Anleitung	w11442
zur	w11443
Gartenkunst	w11444
<g/>
,
oder	w11446
nützlicher	w11447
und	w11448
getreuer	w11449
Unterricht	w11450
zu	w11451
Anleg	w11452
<g/>
=
und	w11454
Unterhaltung	w11455
der	w11456
Lust	w11457
<g/>
=
Küchen	w11459
<g/>
=
und	w11461
Baumgärten	w11462
<g/>
,
denen	w11464
dazu	w11465
gehörigen	w11466
Pflanzen	w11467
<g/>
,
und	w11469
deren	w11470
Kultur	w11471
<g/>
,
mit	w11473
3	w11474
Kupfertafeln	w11475
<g/>
,
gr	w11477
<g/>
.
8	w11479
<g/>
.
Stuttgart	w11481
1779	w11482
<g/>
.
2	w11484
fl	w11485
<g/>
.
24	w11487
kr	w11488
<g/>
.
CæsarisCaesaris	w11490
<g/>
(
C	w11492
Julii	w11493
<g/>
)
Commentarii	w11495
de	w11496
Bello	w11497
Gallico	w11498
<g/>
&
civili	w11500
<g/>
,
accedunt	w11502
libri	w11503
de	w11504
bello	w11505
Ale-xandrino	w11506
<g/>
-
Africano	w11508
<g/>
&
Hispaniensi	w11510
<g/>
,
e	w11512
recensione	w11513
Francisci	w11514
Ovdendorpii	w11515
<g/>
,
8	w11517
<g/>
.
maj	w11519
<g/>
.
Lipsia	w11521
1780	w11522
<g/>
.
2fl	w11524
<g/>
.
15	w11526
kr	w11527
<g/>
.
Hunters	w11529
<g/>
(
John	w11531
<g/>
)
natürliche	w11533
Geschichte	w11534
der	w11535
Zähne	w11536
<g/>
,
und	w11538
Beschreibung	w11539
ihrer	w11540
Krankheiten	w11541
<g/>
,
in	w11543
Theilen	w11544
<g/>
,
m	w11546
<g/>
.
K	w11548
<g/>
.
gr	w11550
<g/>
.
8	w11552
<g/>
.
Leipz	w11554
<g/>
.
1780	w11556
<g/>
.
1fl	w11558
<g/>
.
54	w11560
kr	w11561
<g/>
.
Zweyhundert	w11563
neue	w11564
Räthsel	w11565
<g/>
,
für	w11567
junge	w11568
Gesellschaften	w11569
beyderley	w11570
Geschlechts	w11571
<g/>
,
zur	w11573
Aufklärung	w11574
und	w11575
Schärfung	w11576
des	w11577
Verstandes	w11578
<g/>
,
8	w11580
<g/>
.
Frankf	w11582
<g/>
.
und	w11584
Leipz	w11585
<g/>
.
1781	w11587
<g/>
.
24	w11589
kr	w11590
<g/>
.
Bergmann	w11592
<g/>
(
Michael	w11594
von	w11595
<g/>
)
Beyträge	w11597
zur	w11598
Geschichte	w11599
der	w11600
Stadt	w11601
München	w11602
<g/>
,
von	w11604
derem	w11605
Entstehung	w11606
an	w11607
<g/>
,
bis	w11609
zur	w11610
Regierung	w11611
Kaiser	w11612
Ludwig	w11613
des	w11614
IV	w11615
<g/>
.
4	w11617
<g/>
.
München	w11619
1780	w11620
<g/>
.
15	w11622
kr	w11623
<g/>
.
Justi	w11625
<g/>
(
Leonhard	w11627
Johann	w11628
Carl	w11629
<g/>
)
über	w11631
den	w11632
Genius	w11633
des	w11634
Sokrates	w11635
<g/>
,
eine	w11637
historisch	w11638
philosophische	w11639
Untersuchung	w11640
<g/>
,
8	w11642
<g/>
.
Leipz	w11644
<g/>
.
1779	w11646
<g/>
.
36	w11648
kr	w11649
<g/>
.
Moisienkow	w11651
<g/>
(
Teodor	w11653
<g/>
)
mineralogische	w11655
Anhandlung	w11656
von	w11657
dem	w11658
Zinnstein	w11659
<g/>
,
8	w11661
<g/>
.
Leipz	w11663
<g/>
.
1779	w11665
<g/>
.
20	w11667
kr	w11668
<g/>
.
Biornstäbl's	w11670
<g/>
(
Jacob	w11672
Jonad	w11673
<g/>
)
Briefe	w11675
auf	w11676
seinen	w11677
ausländischen	w11678
Reisen	w11679
an	w11680
den	w11681
königl	w11682
<g/>
.
Bibliothe=kar	w11684
<g/>
=
Glorwell	w11686
in	w11687
Stockholm	w11688
<g/>
,
2	w11690
Bände	w11691
<g/>
,
8	w11693
<g/>
.
Leipz	w11695
<g/>
.
und	w11697
Rostock	w11698
1780	w11699
<g/>
.
3	w11701
fl	w11702
<g/>
.
30	w11704
kr	w11705
<g/>
.
Brauns	w11707
<g/>
(
Heinrich	w11709
<g/>
)
Untersuchung	w11711
ob	w11712
man	w11713
in	w11714
in	w11715
dem	w11716
katholischen	w11717
Glaubensbekenntniß	w11718
betten	w11719
soll	w11720
ich	w11721
glaube	w11722
in	w11723
Gott	w11724
Vater	w11725
<g/>
,
oder	w11727
an	w11728
Gott	w11729
Vater	w11730
<g/>
,
8	w11732
<g/>
.
München	w11734
1780	w11735
<g/>
.
9	w11737
kr	w11738
<g/>
.
Brander	w11740
<g/>
(
Georg	w11742
Friedrich	w11743
<g/>
)
Beschreibung	w11745
und	w11746
Gebrauch	w11747
eines	w11748
geometrischen	w11749
Jnstruments	w11750
in	w11751
Ge=stalt	w11752
<g/>
=
eines	w11754
Proportionalzirkels	w11755
<g/>
,
welches	w11757
in	w11758
allen	w11759
praktischen	w11760
Fällen	w11761
der	w11762
Feldmeßkunst	w11763
leicht	w11764
und	w11765
gut	w11766
zu	w11767
gebrauchen	w11768
<g/>
,
m	w11770
<g/>
.
K	w11772
<g/>
.
8	w11774
<g/>
.
Augsb	w11776
<g/>
.
1780	w11778
<g/>
.
20	w11780
kr	w11781
<g/>
.
Andromeda	w11783
und	w11784
Perseus	w11785
<g/>
,
ein	w11787
Duodrama	w11788
<g/>
,
8	w11790
<g/>
.
Halle	w11792
1780	w11793
<g/>
.
12	w11795
kr	w11796
<g/>
.
Ursinus	w11798
<g/>
(
Joh	w11800
<g/>
.
Friedrich	w11802
<g/>
)
der	w11804
Ursprung	w11805
der	w11806
Kirche	w11807
und	w11808
des	w11809
Klosters	w11810
St	w11811
<g/>
.
Afra	w11813
in	w11814
der	w11815
Stadt	w11816
Meissen	w11817
<g/>
,
aus	w11819
zuverlässigen	w11820
Urkunden	w11821
untersucht	w11822
<g/>
,
8	w11824
<g/>
.
Leipz	w11826
<g/>
.
1780	w11828
<g/>
.
20	w11830
kr	w11831
<g/>
.
Nast	w11833
<g/>
(
Johann	w11835
Jacob	w11836
Heinrich	w11837
<g/>
)
Einleitung	w11839
in	w11840
die	w11841
griechischen	w11842
Kriegsalterthümer	w11843
zum	w11844
Gebrauch	w11845
seiner	w11846
Vorlesungen	w11847
<g/>
,
m	w11849
<g/>
.
K	w11851
<g/>
.
gr	w11853
<g/>
.
8	w11855
<g/>
.
Stutgart	w11857
1780	w11858
<g/>
.
1	w11860
fl	w11861
<g/>
.
45	w11863
kr	w11864
<g/>
.
Revision	w11866
der	w11867
böhmischen	w11868
Litteratur	w11869
auf	w11870
das	w11871
Jahr	w11872
1779	w11873
in	w11874
Briefen	w11875
<g/>
,
erster	w11877
und	w11878
2ter	w11879
Heft	w11880
<g/>
,
8	w11882
<g/>
.
Prag	w11884
1779	w11885
<g/>
.
51	w11887
kr	w11888
<g/>
.
Robertson's	w11890
<g/>
(
Wilhelm	w11892
<g/>
)
Geschichte	w11894
von	w11895
Amerika	w11896
<g/>
,
a	w11898
<g/>
.
d	w11900
<g/>
.
Englis	w11902
<g/>
.
übers	w11904
<g/>
.
von	w11906
Schiller	w11907
<g/>
,
2	w11909
Bände	w11910
mit	w11911
4	w11912
Karten	w11913
<g/>
,
g	w11915
<g/>
.
8	w11917
<g/>
.
Leipz	w11919
<g/>
.
1777	w11921
<g/>
.
6	w11923
fl	w11924
<g/>
.
</list>
<head id="hl23">
Nachricht	w11937
<g/>
.
</head>
<p id="p94">
Artaria	w11939
<g/>
&
Comp	w11941
<g/>
.
Kunsthändlern	w11943
am	w11944
Kohl=markt	w11945
<g/>
=
der	w11947
Michaelerkirche	w11948
gegen	w11949
über	w11950
<g/>
,
haben	w11952
ein	w11953
Bildniß	w11954
Sr	w11955
<g/>
.
königl	w11957
<g/>
.
Hoheit	w11959
des	w11960
Erzher=zogs	w11961
<g/>
=
von	w11963
Oesterreich	w11964
Maximilian	w11965
<g/>
,
Groß	w11967
<g/>
=
und	w11969
Kutschmeisters	w11970
<g/>
,
des	w11972
Kuhrfürstenthums	w11973
Cölln	w11974
und	w11975
Erzbistums	w11976
Münster	w11977
Coadjutors	w11978
ꝛc	w11979
<g/>
.
zum	w11981
Beweise	w11982
der	w11983
schuldigsten	w11984
Ehrfurcht	w11985
<g/>
,
nach	w11987
einer	w11988
Gleichnung	w11989
des	w11990
Herrn	w11991
Joh	w11992
<g/>
.
de	w11994
Giorgi	w11995
von	w11996
Herrn	w11997
Quirin	w11998
Mark	w11999
in	w12000
Kupfer	w12001
stechen	w12002
lassen	w12003
<g/>
:
<g/>
—
die	w12006
mit	w12007
diesen	w12008
