<doc id="wr_1763-06-11" attrs="word" year="1763" month="06" day="11" corpus="2">
<head id="h2_d765e3120">
Belle=isle	w1_d765e3124
tags	w1_d765e10400
im	w3_d765e10403
74sten	w5_d765e10406
Jahre	w7_d765e10409
Dero	w9_d765e10412
Ruhm=vollen	w11_d765e10415
Alters	w1_d765e10420
das	w3_d765e10423
Zeitliche	w5_d765e10426
mit	w7_d765e10429
dem	w9_d765e10432
Ewigen	w11_d765e10435
ver	w13_d765e10439
wechselt	w1_d765e10444
haben.	w3_d765e10447
</p>
<p id="p10_d765e10450">
Gestern	w1_d765e10454
seynd	w3_d765e10457
in	w5_d765e10460
der	w7_d765e10463
Kaiserl.	w9_d765e10466
Kammer	w11_d765e10469
kapelle	w1_d765e10474
für	w3_d765e10477
nachfolgende	w5_d765e10480
Hoch=adeliche	w7_d765e10483
Stern=kreuz=ordens=damen,	w1_d765e10488
als	w3_d765e10491
für	w5_d765e10494
die	w7_d765e10497
(Titl.)	w1_d765e10503
Frau	w3_d765e10506
Maria	w5_d765e10509
Anna	w7_d765e10512
Gräfin	w9_d765e10515
v.	w11_d765e10518
Sei	w13_d765e10522
	w15_d765e10525
sel,	w1_d765e10530
geb.	w3_d765e10533
Gräfin	w5_d765e10536
von	w7_d765e10539
Salburg,	w9_d765e10542
und	w11_d765e10545
für	w13_d765e10549
die	w1_d765e10554
(Titl.)	w3_d765e10557
Frau	w5_d765e10560
Maria	w7_d765e10563
Anna	w9_d765e10566
Gräfin	w11_d765e10569
von	w13_d765e10573
Töring=Jettenbach,	w1_d765e10578
geb.	w3_d765e10581
Gräfin	w5_d765e10584
v.	w7_d765e10587
Aue	w9_d765e10590
|	w11_d765e10593
|	w13_d765e10597
sperg,	w1_d765e10603
welche	w3_d765e10606
beede	w5_d765e10609
zu	w7_d765e10612
München	w9_d765e10615
dies	w11_d765e10618
Jahrs	w13_d765e10622
in	w1_d765e10627
GOtt	w3_d765e10630
seelig	w5_d765e10633
verschieden,	w7_d765e10636
die	w9_d765e10639
Exequien	w11_d765e10642
gehalten	w1_d765e10647
worden.	w3_d765e10650
</p>
<list id="l12_d765e10654">
Dem	w1_d765e10658
Publieo	w3_d765e10661
wird	w5_d765e10664
hiemit	w7_d765e10667
kand	w9_d765e10670
genachet,	w11_d765e10673
das	w13_d765e10677
</list>
<p id="p14_d765e10681">
Dem	w1_d765e10685
Publieo	w3_d765e10688
wird	w5_d765e10691
hiemit	w7_d765e10694
kand	w9_d765e10697
genachet,	w11_d765e10700
das	w13_d765e10704
die	w1_d765e10709
auf	w3_d765e10712
Jhro	w5_d765e10715
Kaiserl.	w7_d765e10718
Königl.	w9_d765e10721
Apostol.	w11_d765e10724
Majest.	w13_d765e10728
al	w15_d765e10731
lergnädigste	w1_d765e10736
Entschließung	w3_d765e10739
veranstaltete	w5_d765e10742
öffenrliche	w7_d765e10745
Collegien	w1_d765e10751
der	w3_d765e10754
Cameral	w5_d765e10757
und	w7_d765e10760
doppelten	w9_d765e10763
Buchhal	w11_d765e10766
tung	w1_d765e10771
der	w3_d765e10774
Wechselrechnung	w5_d765e10777
zu	w7_d765e10780
mehrerem	w9_d765e10783
Behufe	w11_d765e10786
derjenigen,	w1_d765e10791
welche	w3_d765e10794
die	w5_d765e10797
völlige	w7_d765e10800
Endigung	w9_d765e10803
des	w11_d765e10806
annoc	w13_d765e10810
fortdaurenden	w1_d765e10815
ersten	w3_d765e10818
Courses	w5_d765e10821
nicht	w7_d765e10824
abwarten	w9_d765e10827
kön	w11_d765e10830
nen,	w1_d765e10836
mit	w3_d765e10839
eingehendem	w5_d765e10842
Monate	w7_d765e10845
Jnlius	w9_d765e10848
ihren	w11_d765e10851
wie	w13_d765e10855
derholten	w1_d765e10860
Anfang	w3_d765e10863
nehmen,	w5_d765e10866
und	w7_d765e10869
die	w9_d765e10872
Vorlesungen	w11_d765e10875
wegen	w1_d765e10880
selber	w3_d765e10883
fruhe	w5_d765e10886
von	w7_d765e10889
7.	w9_d765e10892
bis	w11_d765e10895
9.	w13_d765e10899
Uhr,	w15_d765e10902
Nachmit	w17_d765e10905
tags	w1_d765e10910
aber	w3_d765e10913
von	w5_d765e10916
6.	w7_d765e10919
bis	w9_d765e10922
7.	w11_d765e10925
Uhr	w13_d765e10929
in	w15_d765e10932
der	w17_d765e10935
Behausung	w19_d765e10938
der	w21_d765e10941
Clericorum	w1_d765e10947
Regularium	w3_d765e10950
Scholarum	w5_d765e10953
Piarum	w7_d765e10956
in	w9_d765e10959
der	w11_d765e10962
Stadt	w1_d765e10967
geschehen	w3_d765e10970
werden.	w5_d765e10973
Welche	w7_d765e10976
sich	w9_d765e10979
demnach	w11_d765e10982
in	w13_d765e10986
bemelten	w1_d765e10991
Wissenschaften	w3_d765e10994
zu	w5_d765e10997
üben	w7_d765e11000
Verlangen	w9_d765e11003
tra	w11_d765e11006
gen,	w1_d765e11011
belieben	w3_d765e11014
noch	w5_d765e11017
vorhin	w7_d765e11020
die	w9_d765e11023
deßwegen	w11_d765e11026
mitzu	w13_d765e11030
theilende	w1_d765e11036
Billets	w3_d765e11039
abzufodern.	w5_d765e11042
</p>
<head id="h2_d765e11048">
Lista	w1_d765e11052
deren	w3_d765e11055
Verstorbenen	w5_d765e11058
zu	w7_d765e11061
Wien	w9_d765e11064
in	w1_d765e11069
und	w3_d765e11072
vor	w5_d765e11075
der	w7_d765e11078
Stadt.	w9_d765e11081
Den	w1_d765e11086
6.	w3_d765e11089
Junii.	w5_d765e11092
Jn	w7_d765e11095
der	w9_d765e11098
Stadt.	w11_d765e11101
</head>
<list id="l4_d765e11104">
Dem	w1_d765e11108
(Tit.)	w3_d765e11111
Hrn.	w5_d765e11114
Marx	w7_d765e11117
Ant.	w9_d765e11120
v.	w11_d765e11123
Peritzhof	w13_d765e11127
auf	w15_d765e11130
Eh	w17_d765e11133
renheim,	w1_d765e11138
s.	w3_d765e11141
Fr.	w5_d765e11144
Francisca,	w7_d765e11147
beym	w9_d765e11150
gold.	w11_d765e11153
Löw.	w13_d765e11157
in	w15_d765e11160
der	w1_d765e11165
Krugerstr.,	w3_d765e11168
alt	w5_d765e11171
51.	w7_d765e11174
J.	w9_d765e11177
Die	w1_d765e11183
Wol=edle	w3_d765e11186
Jungs.	w5_d765e11189
Francisca	w7_d765e11192
Wöberin,	w9_d765e11195
im	w11_d765e11198
gros	w13_d765e11202
Jesuiter=H.,	w1_d765e11207
alt	w3_d765e11210
30.	w5_d765e11213
J.	w7_d765e11216
Jgnatz	w1_d765e11221
Netwald,	w3_d765e11224
Büchsen	w5_d765e11227
span.,	w7_d765e11230
im	w9_d765e11233
Federl=bof,	w11_d765e11236
alt	w1_d765e11241
43.	w3_d765e11244
J.	w5_d765e11247
Dem	w1_d765e11253
Hrn.	w3_d765e11256
Georg	w5_d765e11259
Reiß,	w7_d765e11262
K.	w9_d765e11265
K.	w11_d765e11268
Handgrafen	w13_d765e11272
amts	w15_d765e11275
erpedit,	w1_d765e11280
s.	w3_d765e11283
K.	w5_d765e11286
Vincentia,	w7_d765e11289
im	w9_d765e11292
Pfanis.	w11_d765e11295
H.	w13_d765e11299
in	w15_d765e11302
der	w17_d765e11305
Wolseil,	w1_d765e11310
alt	w3_d765e11313
1.	w5_d765e11316
J.	w7_d765e11319
</list>
<head id="h2_d765e11326">
Vor	w1_d765e11330
der	w3_d765e11333
Stadt.	w5_d765e11336
</head>
<list id="l4_d765e11339">
Dem	w1_d765e11343
Franz	w3_d765e11346
Steinberger,	w5_d765e11349
gew.	w7_d765e11352
Stadt=tambourn,	w9_d765e11355
s.	w1_d765e11360
W.	w3_d765e11363
Anna,	w5_d765e11366
beym	w7_d765e11369
bl.	w9_d765e11372
Stern	w11_d765e11375
im	w13_d765e11379
Lerchenf.,	w15_d765e11382
61	w17_d765e11385
J.	w19_d765e11388
Ursu	w1_d765e11393
</list>
<list id="l8_d765e11399">
ttrsula	w1_d765e11403
Hellerin,	w3_d765e11406
Wittwe,	w5_d765e11409
beym	w7_d765e11412
gold.	w9_d765e11415
Schif.	w11_d765e11418
in	w13_d765e11422
der	w15_d765e11425
Leopoldst.,	w1_d765e11430
alt	w3_d765e11433
54	w5_d765e11436
J.	w7_d765e11439
Joh.	w1_d765e11444
Sputerck,	w3_d765e11447
Erz=herzogl.	w5_d765e11450
Ferdinandeis.	w7_d765e11453
Grenad.	w9_d765e11456
in	w1_d765e11462
der	w3_d765e11465
Casarm	w5_d765e11468
in	w7_d765e11471
der	w9_d765e11474
Alster	w11_d765e11477
gas.,	w13_d765e11481
alt	w15_d765e11484
36.	w17_d765e11487
J.	w19_d765e11490
Dem	w1_d765e11495
Jos.	w3_d765e11498
Becker,	w5_d765e11501
Taglöhn.	w7_d765e11504
s.	w9_d765e11507
W.	w11_d765e11510
Cathar.,	w13_d765e11514
beyn	w15_d765e11517
3.	w1_d765e11522
Kron.	w3_d765e11525
im	w5_d765e11528
Lerchenf.,	w7_d765e11531
alt	w9_d765e11534
29.	w11_d765e11537
J.	w13_d765e11541
Apol.	w1_d765e11546
Weinzetlin,	w3_d765e11549
Wittwe,	w5_d765e11552
beym	w7_d765e11555
weis.	w9_d765e11558
Adl.	w11_d765e11561
im	w13_d765e11565
Lerchenf.,	w1_d765e11571
alt	w3_d765e11574
74.	w5_d765e11577
J.	w7_d765e11580
Dem	w1_d765e11585
Jos.	w3_d765e11588
Knapp,	w5_d765e11591
Burgerl.	w7_d765e11594
Schulmeist.,	w9_d765e11597
s.	w11_d765e11600
K.	w13_d765e11604
Jo	w15_d765e11607
sepha,	w1_d765e11612
beym	w3_d765e11615
weis.	w5_d765e11618
Löw.	w7_d765e11621
in	w9_d765e11624
der	w11_d765e11627
Alster=gas.,	w13_d765e11631
1.	w15_d765e11634
J.	w17_d765e11637
Dem	w1_d765e11642
Joh.	w3_d765e11645
Georg	w5_d765e11648
Huber,	w7_d765e11651
Schif=schreib.,	w9_d765e11654
s.	w11_d765e11657
K.	w13_d765e11661
An	w15_d765e11664
na,	w1_d765e11670
beym	w3_d765e11673
gold.	w5_d765e11676
Falk.	w7_d765e11679
in	w9_d765e11682
der	w11_d765e11685
Rossau,	w13_d765e11689
alt	w15_d765e11692
1.	w17_d765e11695
J.	w19_d765e11698
Dem	w1_d765e11703
Joh.	w3_d765e11706
Georg	w5_d765e11709
Künstler,	w7_d765e11712
Toback	w9_d765e11715
übergeh.,	w11_d765e11718
s.	w13_d765e11722
K.	w15_d765e11725
Maria	w1_d765e11730
Anna,	w3_d765e11733
in	w5_d765e11736
der	w7_d765e11739
Lerchenfelder=linie,	w9_d765e11742
alt	w11_d765e11745
3.	w13_d765e11749
J.	w15_d765e11752
Dem	w1_d765e11757
Sim.	w3_d765e11760
Millner,	w5_d765e11763
Burgerl.	w7_d765e11766
Wirt.,	w9_d765e11769
s.	w11_d765e11772
K.	w13_d765e11776
August.	w15_d765e11779
beym	w1_d765e11785
gold.	w3_d765e11788
Adl.	w5_d765e11791
an	w7_d765e11794
der	w9_d765e11797
Wien,	w11_d765e11800
alt	w13_d765e11804
2.	w15_d765e11807
J.	w17_d765e11810
Dem	w1_d765e11815
Pet	w3_d765e11818
Palzelmayr,	w5_d765e11821
Fragnern,	w7_d765e11824
s.	w9_d765e11827
K.	w11_d765e11830
Jos.,	w13_d765e11834
bey	w15_d765e11837
der	w1_d765e11842
bl.	w3_d765e11845
Kug.	w5_d765e11848
im	w7_d765e11851
Lerchenf.,	w9_d765e11854
alt	w11_d765e11857
2.	w13_d765e11861
J.	w15_d765e11864
Dem	w1_d765e11869
Joh.	w3_d765e11872
Huber,	w5_d765e11875
Reit=kn.,	w7_d765e11878
s.	w9_d765e11881
K.	w11_d765e11884
Maria	w13_d765e11888
Anna,	w15_d765e11891
in	w17_d765e11894
der	w1_d765e11900
Schleif=mühl	w3_d765e11903
auf	w5_d765e11906
der	w7_d765e11909
Wied.,	w9_d765e11912
alt	w11_d765e11915
6.	w13_d765e11919
v.	w15_d765e11922
J.	w17_d765e11925
</list>
<head id="h2_d765e11932">
Summa	w1_d765e11936
15.	w3_d765e11939
Person,	w5_d765e11942
darunter	w7_d765e11945
7.	w9_d765e11948
Kind.	w11_d765e11951
Den	w1_d765e11956
7	w3_d765e11959
Junii.	w5_d765e11962
Jn	w1_d765e11967
der	w3_d765e11970
Stadt.	w5_d765e11973
</head>
<list id="l4_d765e11976">
Dem	w1_d765e11980
Wol=edel=geb.	w3_d765e11983
Hrn	w5_d765e11986
Fried.	w7_d765e11989
Arnold	w9_d765e11992
v.	w11_d765e11995
Lewe	w13_d765e11999
nau,	w1_d765e12004
des	w3_d765e12007
Jnneren	w5_d765e12010
Stadt	w7_d765e12013
rahts,	w9_d765e12016
dann	w11_d765e12019
des	w13_d765e12023
K.	w15_d765e12026
K.	w17_d765e12029
Umgeld,	w1_d765e12034
und	w3_d765e12037
gem.	w5_d765e12040
Stadt	w7_d765e12043
Wien	w9_d765e12046
Täz	w11_d765e12049
wie	w13_d765e12053
auch	w15_d765e12056
Music=impost=amts=administrat.,	w1_d765e12062
s.	w3_d765e12065
K.	w5_d765e12068
Theres.	w7_d765e12071
im	w1_d765e12076
Arnoldis.	w3_d765e12079
H.	w5_d765e12082
am	w7_d765e12085
Katzen=steig,	w9_d765e12088
alt	w11_d765e12091
3.	w13_d765e12095
J.	w15_d765e12098
Dem	w1_d765e12103
Franz	w3_d765e12106
Steinmetz,	w5_d765e12109
Herrschaftl.	w7_d765e12112
Musico,	w9_d765e12115
s.	w11_d765e12118
W.	w13_d765e12122
Justina,	w1_d765e12127
im	w3_d765e12130
Flaschingeris.	w5_d765e12133
H.	w7_d765e12136
in	w9_d765e12139
der	w11_d765e12142
gros.	w13_d765e12146
Schen	w15_d765e12149
kenstr.,	w1_d765e12155
alt	w3_d765e12158
34.	w5_d765e12161
J.	w7_d765e12164
Dem	w1_d765e12169
Joh.	w3_d765e12172
Kautzinger,	w5_d765e12175
Burgerl.	w7_d765e12178
Wagn.,	w9_d765e12181
s.	w11_d765e12184
K.	w13_d765e12188
Eva,	w1_d765e12193
im	w3_d765e12196
Schillingeris.	w5_d765e12199
H.	w7_d765e12202
auf	w9_d765e12205
der	w11_d765e12208
Freyung,	w13_d765e12212
6	w15_d765e12215
v.	w17_d765e12218
J.	w19_d765e12221
</list>
<head id="h2_d765e12228">
Vor	w1_d765e12232
der	w3_d765e12235
Stadt.	w5_d765e12238
</head>
<list id="l4_d765e12241">
Fr.	w1_d765e12245
Cathar.	w3_d765e12248
Grotberin,	w5_d765e12251
Wittwe	w7_d765e12254
/	w9_d765e12257
beyn	w11_d765e12260
2.	w13_d765e12264
Kreutz.	w15_d765e12267
zu	w17_d765e12270
Maria=hülf,	w1_d765e12275
alt	w3_d765e12278
55.	w5_d765e12281
J.	w7_d765e12284
Dem	w1_d765e12289
Hrn.	w3_d765e12292
Jos.	w5_d765e12295
Sigora,	w7_d765e12298
jungen	w9_d765e12301
Viehmarkt	w11_d765e12304
Gegen	w13_d765e12308
schreib,	w1_d765e12314
s.	w3_d765e12317
K.	w5_d765e12320
Jos.,	w7_d765e12323
im	w9_d765e12326
Gemein	w11_d765e12329
H.	w13_d765e12333
auf	w15_d765e12336
der	w17_d765e12339
Land	w19_d765e12342
stras,	w1_d765e12347
alt	w3_d765e12350
2.	w5_d765e12353
J.	w7_d765e12356
Dem	w1_d765e12361
Joh.	w3_d765e12364
Drese,	w5_d765e12367
Schreib.,	w7_d765e12370
s.	w9_d765e12373
S.	w11_d765e12376
Joh.,	w13_d765e12380
in	w15_d765e12383
dem	w17_d765e12386
Schlosseris.	w1_d765e12391
H.	w3_d765e12394
auf	w5_d765e12397
der	w7_d765e12400
Wied.,	w9_d765e12403
alt	w11_d765e12406
24.	w13_d765e12410
J.	w15_d765e12413
Dem	w1_d765e12419
Jos.	w3_d765e12422
Wünsch,	w5_d765e12425
Burgerl.	w7_d765e12428
Web.,	w9_d765e12431
s.	w11_d765e12434
K.	w13_d765e12438
Johann	w15_d765e12441
Georg,	w1_d765e12446
bey	w3_d765e12449
der	w5_d765e12452
Stadt	w7_d765e12455
Wien	w9_d765e12458
am	w11_d765e12461
Himmel=pfort	w13_d765e12465
grund,	w1_d765e12470
alt	w3_d765e12473
1.	w5_d765e12476
J.	w7_d765e12479
Dem	w1_d765e12484
August.	w3_d765e12487
Zozeck,	w5_d765e12490
Solicitat,	w7_d765e12493
s.	w9_d765e12496
T.	w11_d765e12499
Theres.	w13_d765e12503
bey	w15_d765e12506
der	w1_d765e12512
Schwan	w3_d765e12515
in	w5_d765e12518
der	w7_d765e12521
Leopoldst.,	w9_d765e12524
alt	w11_d765e12527
13.	w13_d765e12531
J.	w15_d765e12534
Joh.	w1_d765e12539
Resch.,	w3_d765e12542
arm.,	w5_d765e12545
im	w7_d765e12548
Kreutz=herren=spit.	w9_d765e12551
auf	w11_d765e12554
der	w13_d765e12558
Wied.,	w1_d765e12563
alt	w3_d765e12566
84.	w5_d765e12569
J.	w7_d765e12572
Dem	w1_d765e12577
Joh.	w3_d765e12580
Rohrbeck,	w5_d765e12583
Grund=wacht.	w7_d765e12586
in	w9_d765e12589
der	w11_d765e12592
Joseph	w13_d765e12596
stadt,	w1_d765e12602
s.	w3_d765e12605
W.	w5_d765e12608
Johanna,	w7_d765e12611
in	w9_d765e12614
der	w11_d765e12617
Schmidten	w13_d765e12621
alda,	w15_d765e12624
alt	w1_d765e12629
44.	w3_d765e12632
J.	w5_d765e12635
Dem	w1_d765e12640
Andre	w3_d765e12643
Hammer,	w5_d765e12646
Taglöhn.,	w7_d765e12649
s.	w9_d765e12652
K.	w11_d765e12655
Math.,	w13_d765e12659
bey	w15_d765e12662
dem	w1_d765e12667
gold.	w3_d765e12670
Rös	w5_d765e12673
im	w7_d765e12676
Lerchenf.,	w9_d765e12679
alt	w11_d765e12682
4.	w13_d765e12686
J.	w15_d765e12689
</list>
<head id="h2_d765e12696">
Summa	w1_d765e12700
11.	w3_d765e12703
Person.,	w5_d765e12706
darunter	w7_d765e12709
5.	w9_d765e12712
Kind.	w11_d765e12715
Den	w1_d765e12720
8.	w3_d765e12723
Jnnii.	w5_d765e12726
Jn	w7_d765e12729
der	w9_d765e12732
Stadt.	w11_d765e12735
</head>
<list id="l4_d765e12738">
Der	w1_d765e12742
Wol=edel=geb.	w3_d765e12745
Hr.	w5_d765e12748
Ant.	w7_d765e12751
Gervaso	w9_d765e12754
v.	w11_d765e12757
Molitor,	w13_d765e12761
Jhrer	w1_d765e12766
K.	w3_d765e12769
K.	w5_d765e12772
Apostol.	w7_d765e12775
Majest.	w9_d765e12778
Hof=kriegs	w11_d765e12781
seeret.	w13_d765e12785
</list>
<list id="l6_d765e12789">
im	w1_d765e12793
kl.	w3_d765e12796
Albrechktis.	w5_d765e12799
H.	w7_d765e12802
inder	w9_d765e12805
obern	w11_d765e12808
Bückerstr.,	w13_d765e12812
dlt	w15_d765e12815
Dem	w1_d765e12820
Vol	w3_d765e12823
edel=geb.	w5_d765e12826
Hrn.	w7_d765e12829
Cajet	w9_d765e12832
Balbi,	w11_d765e12835
K.	w13_d765e12839
K.	w15_d765e12842
Hof	w1_d765e12847
seeret.,	w3_d765e12850
und	w5_d765e12853
zweyter	w7_d765e12856
Official	w9_d765e12859
des	w11_d765e12862
Jtaliäni	w13_d765e12866
schen	w1_d765e12872
Departement,	w3_d765e12875
s.	w5_d765e12878
S.	w7_d765e12881
Joh.	w9_d765e12884
Nepom.,	w11_d765e12887
im	w13_d765e12891
Ederis.	w1_d765e12896
H.	w3_d765e12899
in	w5_d765e12902
der	w7_d765e12905
Kärntnerstr.,	w9_d765e12908
alt	w11_d765e12911
7.	w13_d765e12915
v.	w15_d765e12918
J.	w17_d765e12921
</list>
<head id="h2_d765e12929">
Vor	w1_d765e12933
der	w3_d765e12936
Stadt.	w5_d765e12939
</head>
<list id="l4_d765e12942">
Dem	w1_d765e12946
Jacob	w3_d765e12949
Teissel,	w5_d765e12952
Burgerl.	w7_d765e12955
Schuhmach.	w9_d765e12958
von	w11_d765e12961
der	w13_d765e12965
Stadt	w1_d765e12970
Horn,	w3_d765e12973
s.	w5_d765e12976
T.	w7_d765e12979
Anna,	w9_d765e12982
beym	w11_d765e12985
gold.	w13_d765e12989
Löw.	w15_d765e12992
aus.	w17_d765e12995
Maria	w1_d765e13000
hülf,	w3_d765e13003
alt	w5_d765e13006
13.	w7_d765e13009
J.	w9_d765e13012
Dem	w1_d765e13018
Carl	w3_d765e13021
Herling,	w5_d765e13024
Hof=theatral=mahl,	w7_d765e13027
s.	w9_d765e13030
K.	w11_d765e13033
Hein	w13_d765e13037
rich,	w1_d765e13042
beym	w3_d765e13045
gr.	w5_d765e13048
Läm	w7_d765e13051
auf	w9_d765e13054
der	w11_d765e13057
Wied,	w13_d765e13061
alt	w15_d765e13064
4.	w17_d765e13067
J	w19_d765e13070
Jos.	w1_d765e13075
Mittermayr,	w3_d765e13078
gew.	w5_d765e13081
Herrschaftl.	w7_d765e13084
Lust=gart,	w9_d765e13087
bey	w11_d765e13090
dem	w1_d765e13095
gold.	w3_d765e13098
Mond=schein	w5_d765e13101
zu	w7_d765e13104
Matzleinstorf,	w9_d765e13107
61.	w11_d765e13110
J	w13_d765e13114
Zachar	w1_d765e13120
Angelbrand,	w3_d765e13123
gew.	w5_d765e13126
Portier	w7_d765e13129
von	w9_d765e13132
der	w11_d765e13135
Wälsch.	w13_d765e13139
Canzley,	w1_d765e13144
dey	w3_d765e13147
der	w5_d765e13150
gold	w7_d765e13153
Sonn	w9_d765e13156
am	w11_d765e13159
Neust.,	w13_d765e13163
74.	w15_d765e13166
J.	w17_d765e13169
Math.	w1_d765e13174
Schwab,	w3_d765e13177
Bestand	w5_d765e13180
wirt,	w7_d765e13183
beym	w9_d765e13186
Steg	w11_d765e13189
am	w13_d765e13193
Al	w15_d765e13196
ster=bach,	w1_d765e13201
alt	w3_d765e13204
47.	w5_d765e13207
J.	w7_d765e13210
August.	w1_d765e13216
Kieberger,	w3_d765e13219
in	w5_d765e13222
St.	w7_d765e13225
Joh.	w9_d765e13228
Nep.	w11_d765e13231
Spit.,	w13_d765e13235
63.	w15_d765e13238
J.	w17_d765e13241
Dem	w1_d765e13246
Jos.	w3_d765e13249
Bruckbauer,	w5_d765e13252
Taglöhn.,	w7_d765e13255
s.	w9_d765e13258
W.	w11_d765e13261
Sophia,	w13_d765e13265
beyn	w1_d765e13270
3.	w3_d765e13273
Lil.	w5_d765e13276
zu	w7_d765e13279
Matzleinstorf,	w9_d765e13282
alt	w11_d765e13285
50.	w13_d765e13289
J.	w15_d765e13292
Dem	w1_d765e13297
Joh.	w3_d765e13300
Georg	w5_d765e13303
Mörks,	w7_d765e13306
Kutsch.,	w9_d765e13309
s.	w11_d765e13312
K.	w13_d765e13316
Theres.,	w15_d765e13319
beym	w1_d765e13325
Schwarzwald.	w3_d765e13328
zu	w5_d765e13331
St.	w7_d765e13334
Ulrich,	w9_d765e13337
alt	w11_d765e13340
5.	w13_d765e13344
v.	w15_d765e13347
J.	w17_d765e13350
Dem	w1_d765e13355
Ant.	w3_d765e13358
Brenner,	w5_d765e13361
Taglöhn.,	w7_d765e13364
s.	w9_d765e13367
K.	w11_d765e13370
Sebast.,	w13_d765e13374
in	w15_d765e13377
der	w1_d765e13382
Schleif=mühl	w3_d765e13385
auf	w5_d765e13388
der	w7_d765e13391
Wied.,	w9_d765e13394
alt	w11_d765e13397
6.	w13_d765e13401
v.	w15_d765e13404
J.	w17_d765e13407
</list>
<head id="h2_d765e13414">
Summa	w1_d765e13418
11.	w3_d765e13421
Person.,	w5_d765e13424
darunter	w7_d765e13427
4.	w9_d765e13430
Kind.	w11_d765e13433
</head>
<p id="p4_d765e13436">
Jn	w1_d765e13440
dem	w3_d765e13443
Anhang	w5_d765e13446
des	w7_d765e13449
letzten	w9_d765e13452
Diarii	w11_d765e13455
Nu	w13_d765e13459
mero	w1_d765e13464
46.	w3_d765e13467
ist	w5_d765e13470
in	w7_d765e13473
dem	w9_d765e13476
Namen	w11_d765e13479
der	w13_d765e13483
höchstseligen	w15_d765e13486
Durchl.	w1_d765e13491
Erzherzogin	w3_d765e13494
Maria	w5_d765e13497
Johanna	w7_d765e13500
Ga	w9_d765e13503
briela	w1_d765e13509
aus	w3_d765e13512
Versehen	w5_d765e13515
ein	w7_d765e13518
Fehler	w9_d765e13521
unterloffen,	w11_d765e13524
indem	w1_d765e13529
der	w3_d765e13532
zweyte	w5_d765e13535
Namen	w7_d765e13538
Johanna	w9_d765e13541
ausge	w11_d765e13544
lassen	w1_d765e13549
worden.	w3_d765e13552
</p>
<list id="l6_d765e13555">
AVERTISSENENT.	w1_d765e13559
</list>
<head id="h2_d765e13566">
Vf	w1_d765e13570
</head>
<p id="p4_d765e13573">
Es	w1_d765e13577
wird	w3_d765e13580
hiermit	w5_d765e13583
jedermänniglich	w7_d765e13586
kund	w9_d765e13589
und	w11_d765e13592
zu	w13_d765e13596
wissen	w1_d765e13601
gemacht,	w3_d765e13604
daß	w5_d765e13607
man	w7_d765e13610
zu	w9_d765e13613
Wien,	w11_d765e13616
Stockerau,	w13_d765e13620
und	w1_d765e13625
Klosterneuburg	w3_d765e13628
von	w5_d765e13631
denen	w7_d765e13634
dem	w9_d765e13637
K.	w11_d765e13640
K.	w13_d765e13644
Æra-	w15_d765e13647
rio	w1_d765e13653
zuständigen	w3_d765e13656
Haber	w5_d765e13659
und	w7_d765e13662
Gersten=vorräthen	w9_d765e13665
eine	w1_d765e13670
Quantität	w3_d765e13673
in	w5_d765e13676
leidentlichen	w7_d765e13679
Preisen	w9_d765e13682
zu	w11_d765e13685
ver	w13_d765e13689
kaufen,	w1_d765e13694
und	w3_d765e13697
auch	w5_d765e13700
in	w7_d765e13703
kleinerem	w9_d765e13706
Betrag	w11_d765e13709
von	w13_d765e13713
50.	w15_d765e13716
Metzen	w1_d765e13721
hindanzugeben	w3_d765e13724
gewilliget	w5_d765e13727
seye.	w7_d765e13730
Wer	w9_d765e13733
also	w11_d765e13736
derley	w1_d765e13742
Haber	w3_d765e13745
oder	w5_d765e13748
Gersten	w7_d765e13751
an	w9_d765e13754
sich	w11_d765e13757
zu	w13_d765e13761
bringen	w15_d765e13764
ge	w17_d765e13767
danket,	w1_d765e13772
sich	w3_d765e13775
diesfalls	w5_d765e13778
bey	w7_d765e13781
Jhro	w9_d765e13784
Kais.	w11_d765e13787
Kön.	w13_d765e13791
Ma	w15_d765e13794
jestät	w1_d765e13799
Hof=rath	w3_d765e13802
Herrn	w5_d765e13805
Johann	w7_d765e13808
Joseph	w9_d765e13811
Freyherrn	w11_d765e13814
von	w1_d765e13819
Mannagetta	w3_d765e13822
und	w5_d765e13825
Lerchenau	w7_d765e13828
in	w9_d765e13831
dem	w11_d765e13834
Freyherrl.	w13_d765e13838
Mannagettischen	w1_d765e13844
Stift=haus	w3_d765e13847
in	w5_d765e13850
der	w7_d765e13853
Kärntner	w9_d765e13856
strasse	w1_d765e13861
zu	w3_d765e13864
melden,	w5_d765e13867
und	w7_d765e13870
sich	w9_d765e13873
mit	w11_d765e13876
ihme	w13_d765e13880
wegen	w15_d765e13883
des	w17_d765e13886
Preiß,	w1_d765e13891
und	w3_d765e13894
der	w5_d765e13897
Zahlung	w7_d765e13900
behörig	w9_d765e13903
einzuverstehen	w11_d765e13906
habe.	w1_d765e13911
</p>
<head id="h2_d765e13917">
AVERTISSEMENT,	w1_d765e13921
</head>
<p id="p4_d765e13924">
Nachdem	w1_d765e13928
man	w3_d765e13931
beobachtet,	w5_d765e13934
daß	w7_d765e13937
viele	w9_d765e13940
in	w11_d765e13943
dem	w13_d765e13947
Jrrwahn	w1_d765e13952
stehen,	w3_d765e13955
daß	w5_d765e13958
