<doc id="wr_1760-03-05" attrs="word" year="1760" month="03" day="05" corpus="2">
<head id="h2_d429e3121">
Aus	w1_d429e3125
Neu=markt	w1_d429e10383
haben	w3_d429e10386
wir	w5_d429e10389
die	w7_d429e10392
zuverläßige	w9_d429e10395
Rach	w11_d429e10398
richt,	w1_d429e10404
daß	w3_d429e10407
des	w5_d429e10410
Prinz	w7_d429e10413
Friedrichs	w9_d429e10416
Durchleucht	w11_d429e10419
an	w1_d429e10424
Jhren	w3_d429e10427
Wunden	w5_d429e10430
je	w7_d429e10433
mehr	w9_d429e10436
und	w11_d429e10439
mehr,	w13_d429e10443
GOtt	w15_d429e10446
Lob!	w1_d429e10451
genesen,	w3_d429e10454
und	w5_d429e10457
der	w7_d429e10460
letzte	w9_d429e10463
Splitter	w11_d429e10466
glück	w13_d429e10470
lich	w1_d429e10475
vollends	w3_d429e10478
herausgebracht	w5_d429e10481
worden,	w7_d429e10484
auch	w9_d429e10487
Höchst=dieselbe	w1_d429e10493
an	w3_d429e10496
dem	w5_d429e10499
Stock,	w7_d429e10502
und	w9_d429e10505
dann	w11_d429e10508
und	w1_d429e10513
wann	w3_d429e10516
ohne	w5_d429e10519
Stock	w7_d429e10522
zu	w9_d429e10525
gehen,	w11_d429e10528
sich	w13_d429e10532
im	w15_d429e10535
Stand	w1_d429e10540
befinden.	w3_d429e10543
</p>
<head id="h2_d429e10549">
Wittemberg	w1_d429e10553
20.	w3_d429e10556
Febr.	w5_d429e10559
</head>
<p id="p4_d429e10562">
Des	w1_d429e10566
Prinzens	w3_d429e10569
Heinrichs	w5_d429e10572
von	w7_d429e10575
Preussen,	w9_d429e10578
Königl.	w1_d429e10583
Hoheit,	w3_d429e10586
sind	w5_d429e10589
alhier	w7_d429e10592
eingetroffen,	w9_d429e10595
um	w1_d429e10600
Dero	w3_d429e10603
in	w5_d429e10606
diesem	w7_d429e10609
Feld=zug	w9_d429e10612
sehr	w11_d429e10615
geschwäch	w13_d429e10619
te	w1_d429e10625
Gesundheit	w3_d429e10628
etwas	w5_d429e10631
ruhiger	w7_d429e10634
wahrzunehmen.	w9_d429e10637
Die	w1_d429e10642
Abgaben	w3_d429e10645
werden	w5_d429e10648
wiederum	w7_d429e10651
sehr	w9_d429e10654
stark,	w11_d429e10657
und	w1_d429e10662
zwar	w3_d429e10665
alle	w5_d429e10668
militarisch	w7_d429e10671
eingetrieben;	w9_d429e10674
und	w11_d429e10677
da	w1_d429e10682
sie	w3_d429e10685
die	w5_d429e10688
Kräfte	w7_d429e10691
des	w9_d429e10694
Vermögens	w11_d429e10697
überstei	w13_d429e10701
gen,	w1_d429e10707
so	w3_d429e10710
lassen	w5_d429e10713
viele	w7_d429e10716
sonst	w9_d429e10719
wolgesessene	w11_d429e10722
Bür	w13_d429e10726
ger	w1_d429e10731
ihre	w3_d429e10734
Häuser	w5_d429e10737
stehen.	w7_d429e10740
Von	w9_d429e10743
jedem	w11_d429e10746
Schock	w13_d429e10750
sind	w1_d429e10755
6.	w3_d429e10758
Groschen	w5_d429e10761
gefordert.	w7_d429e10764
Auch	w9_d429e10767
hat	w11_d429e10770
die	w13_d429e10774
Stadt	w1_d429e10779
mit	w3_d429e10782
Stellung	w5_d429e10785
der	w7_d429e10788
Recruten	w9_d429e10791
wiede	w11_d429e10794
rum	w1_d429e10800
viele	w3_d429e10803
Beschwerden.	w5_d429e10806
</p>
<head id="h2_d429e10812">
Wien	w1_d429e10816
den	w3_d429e10819
5.	w5_d429e10822
Martii	w7_d429e10825
1760.	w9_d429e10828
</head>
<p id="p4_d429e10831">
Samstags	w1_d429e10835
den	w3_d429e10838
1.	w5_d429e10841
Martii	w7_d429e10844
nach	w9_d429e10847
dem	w11_d429e10850
or	w13_d429e10854
dinari	w1_d429e10859
GOttes=dienst	w3_d429e10862
seynd	w5_d429e10865
beyde	w7_d429e10868
Kaiserl.	w1_d429e10873
Majestäten	w3_d429e10876
mit	w5_d429e10879
wichtigen	w7_d429e10882
Staats	w9_d429e10885
und	w1_d429e10891
Landes=sachen	w3_d429e10894
beschäftiget	w5_d429e10897
gewesen,	w7_d429e10900
</p>
<p id="p10_d429e10913">
dann	w1_d429e10917
Abends	w3_d429e10920
ist	w5_d429e10923
eine	w7_d429e10926
Militair=conferenz	w9_d429e10929
ge	w11_d429e10932
halten	w1_d429e10937
worden.	w3_d429e10940
</p>
<p id="p12_d429e10944">
Sonntags	w1_d429e10948
den	w3_d429e10951
2.	w5_d429e10954
Martii	w7_d429e10957
Vor	w9_d429e10960
und	w11_d429e10963
Nach	w13_d429e10967
mittags	w1_d429e10972
ware	w3_d429e10975
der	w5_d429e10978
gewöhnliche	w7_d429e10981
GOttes=dienst	w9_d429e10984
in	w1_d429e10989
Beywohnung	w3_d429e10992
allerhöchster	w5_d429e10995
Herrschaften	w7_d429e10998
in	w1_d429e11004
denen	w3_d429e11007
Hof	w5_d429e11010
und	w7_d429e11013
Cammer=capellen.	w9_d429e11016
</p>
<p id="p14_d429e11019">
Montags	w1_d429e11023
den	w3_d429e11026
3.	w5_d429e11029
Martii	w7_d429e11032
nach	w9_d429e11035
dem	w11_d429e11038
ordi	w13_d429e11042
nari	w1_d429e11047
GOttes=dienst	w3_d429e11050
seynd	w5_d429e11053
beede	w7_d429e11056
Kaiserl.	w9_d429e11059
Majestäten	w1_d429e11064
mit	w3_d429e11067
wichtigen	w5_d429e11070
Staats	w7_d429e11073
und	w9_d429e11076
Lau	w11_d429e11079
des=anligenheiten	w1_d429e11085
mehrmalen	w3_d429e11088
beschäftiget	w5_d429e11091
gewesen.	w1_d429e11096
</p>
<p id="p16_d429e11099">
Künftigen	w1_d429e11103
Samstag	w3_d429e11106
als	w5_d429e11109
den	w7_d429e11112
8.	w9_d429e11115
Martii	w11_d429e11118
werden	w1_d429e11123
mit	w3_d429e11126
denen	w5_d429e11129
Herren	w7_d429e11132
die	w9_d429e11135
teutsche	w11_d429e11138
acht	w13_d429e11142
tägige	w1_d429e11147
Geist=übungen	w3_d429e11150
des	w5_d429e11153
Heil.	w7_d429e11156
Jgnatii,	w9_d429e11159
in	w1_d429e11165
der	w3_d429e11168
Herren=capellen	w5_d429e11171
des	w7_d429e11174
Kaiserl.	w9_d429e11177
Profeß	w11_d429e11180
hauses	w1_d429e11185
ihren	w3_d429e11188
Anfang	w5_d429e11191
nehmen;	w7_d429e11194
um	w9_d429e11197
drey	w11_d429e11200
vier	w13_d429e11204
tel	w1_d429e11209
auf	w3_d429e11212
7.	w5_d429e11215
Uhr	w7_d429e11218
in	w9_d429e11221
der	w11_d429e11224
fruhe	w13_d429e11228
wird	w15_d429e11231
die	w17_d429e11234
geist	w19_d429e11237
liche	w1_d429e11242
Lesung,	w3_d429e11245
um	w5_d429e11248
7.	w7_d429e11251
Uhr	w9_d429e11254
die	w11_d429e11257
Heil.	w13_d429e11261
Meß,	w15_d429e11264
hierauf	w1_d429e11270
um	w3_d429e11273
halber	w5_d429e11276
8.	w7_d429e11279
bis	w9_d429e11282
halber	w11_d429e11285
9.	w13_d429e11289
Uhr	w15_d429e11292
die	w17_d429e11295
Betrachtung	w1_d429e11300
gehalten	w3_d429e11303
werden;	w5_d429e11306
worauf	w7_d429e11309
aber	w9_d429e11312
mal	w1_d429e11317
ein	w3_d429e11320
Heil.	w5_d429e11323
Meß	w7_d429e11326
mit	w9_d429e11329
dem	w11_d429e11332
Seegen	w13_d429e11336
fol	w15_d429e11339
gen	w1_d429e11344
wird.	w3_d429e11347
Worzu	w5_d429e11350
alle,	w7_d429e11353
sonders	w9_d429e11356
die	w11_d429e11359
Her	w13_d429e11363
ren	w1_d429e11369
Sodalen	w3_d429e11372
von	w5_d429e11375
der	w7_d429e11378
Hochlöbl.	w9_d429e11381
Bruder	w11_d429e11384
schaft	w1_d429e11389
Maria=verkündigung	w3_d429e11392
eingeladen	w5_d429e11395
seynd.	w7_d429e11398
</p>
<head id="h2_d429e11404">
Lista	w1_d429e11408
deren	w3_d429e11411
Verstorbenen	w5_d429e11414
zu	w7_d429e11417
Wien	w9_d429e11420
in	w1_d429e11425
und	w3_d429e11428
vor	w5_d429e11431
der	w7_d429e11434
Stadt.	w9_d429e11437
Den	w1_d429e11442
29.	w3_d429e11445
Februarii.	w5_d429e11448
Jn	w1_d429e11454
der	w3_d429e11457
Stadt.	w5_d429e11460
</head>
<list id="l4_d429e11463">
Der	w1_d429e11467
Wol=edle	w3_d429e11470
Hr.	w5_d429e11473
Ant.	w7_d429e11476
Weltischhofer,	w9_d429e11479
gem.	w11_d429e11482
Stadt	w13_d429e11486
Wien	w1_d429e11491
Stadts=sequest.,	w3_d429e11494
im	w5_d429e11497
Schmerlingisch.	w7_d429e11500
H.	w9_d429e11503
am	w1_d429e11508
grün.	w3_d429e11511
Anger,	w5_d429e11514
alt	w7_d429e11517
57.	w9_d429e11520
J.	w11_d429e11523
Hr.	w1_d429e11529
Franz	w3_d429e11532
Messerer,	w5_d429e11535
Herrschaftl.	w7_d429e11538
Haus=inspect.,	w9_d429e11541
im	w11_d429e11544
Grundermanis.	w1_d429e11549
H.	w3_d429e11552
in	w5_d429e11555
der	w7_d429e11558
Kärntnerstr.,	w9_d429e11561
alt	w11_d429e11564
48.	w13_d429e11568
J.	w15_d429e11571
Hr.	w1_d429e11576
Mart.	w3_d429e11579
Monat,	w5_d429e11582
Herrschaftl.	w7_d429e11585
Haus=hofmeist.,	w9_d429e11588
im	w11_d429e11591
Collorobeisch.	w1_d429e11596
H.	w3_d429e11599
in	w5_d429e11602
der	w7_d429e11605
Weihburg=gas,	w9_d429e11608
54.	w11_d429e11611
J.	w13_d429e11615
Georg	w1_d429e11621
Patzer,	w3_d429e11624
Sessel=trag=Rottmeist.,	w5_d429e11627
am	w7_d429e11630
Posto	w9_d429e11633
am	w1_d429e11638
Neuen=m.,	w3_d429e11641
alt	w5_d429e11644
65.	w7_d429e11647
J.	w9_d429e11650
</list>
<head id="h2_d429e11657">
Vor	w1_d429e11661
der	w3_d429e11664
Stadt.	w5_d429e11667
</head>
<list id="l4_d429e11670">
Dem	w1_d429e11674
Leop.	w3_d429e11677
Hiebel,	w5_d429e11680
Burgerl.	w7_d429e11683
Schuh=mach.,	w9_d429e11686
s.	w11_d429e11689
W.	w13_d429e11693
Cathar.,	w1_d429e11698
alt	w3_d429e11701
46.	w5_d429e11704
J.,	w7_d429e11707
und	w9_d429e11710
dem	w11_d429e11713
Jos.	w13_d429e11717
Enders,	w15_d429e11720
gew.	w17_d429e11723
Burgerl.	w1_d429e11728
Wirt.,	w3_d429e11731
s.	w5_d429e11734
W.	w7_d429e11737
Anna,	w9_d429e11740
beyde	w11_d429e11743
im	w13_d429e11747
Stegeris.	w15_d429e11750
H.	w1_d429e11756
in	w3_d429e11759
der	w5_d429e11762
Leopoldst.	w7_d429e11765
alt	w9_d429e11768
73.	w11_d429e11771
J.	w13_d429e11775
Dem	w1_d429e11780
Steph.	w3_d429e11783
Hefler,	w5_d429e11786
Kram.,	w7_d429e11789
s.	w9_d429e11792
K.	w11_d429e11795
Theres.,	w13_d429e11799
beym	w15_d429e11802
stein.	w1_d429e11807
Löw.	w3_d429e11810
am	w5_d429e11813
Himmel=pfort=gr.,	w7_d429e11816
alt	w9_d429e11819
7.	w11_d429e11822
J.	w13_d429e11826
Dem	w1_d429e11831
Jos.	w3_d429e11834
Gerstmayr,	w5_d429e11837
Friseurn,	w7_d429e11840
s.	w9_d429e11843
K.	w11_d429e11846
Franz,	w13_d429e11850
im	w15_d429e11853
Rahtis.	w1_d429e11859
H.	w3_d429e11862
am	w5_d429e11865
Himmelpfort	w7_d429e11868
gr.,	w9_d429e11871
alt	w11_d429e11874
5.	w13_d429e11878
J.	w15_d429e11881
</list>
<list id="l6_d429e11885">
Gottfr.	w1_d429e11889
Arimau,	w3_d429e11892
Hand=lang.	w5_d429e11895
im	w7_d429e11898
K.	w9_d429e11901
Zeug=H.	w11_d429e11904
bey	w13_d429e11908
der	w15_d429e11911
Stadt	w1_d429e11916
Wienlam	w3_d429e11919
Himmel=pfort=gr.,	w5_d429e11922
alt	w7_d429e11925
50.	w9_d429e11928
J.	w11_d429e11931
Eva	w1_d429e11936
Redhasin,	w3_d429e11939
in	w5_d429e11942
St.	w7_d429e11945
Joh.	w9_d429e11948
Nep.	w11_d429e11951
Spit.,	w13_d429e11955
alt	w15_d429e11958
70.	w17_d429e11961
J.	w19_d429e11964
Jacob	w1_d429e11970
Haller,	w3_d429e11973
Tag=löhn.,	w5_d429e11976
beyn	w7_d429e11979
2.	w9_d429e11982
weis.	w11_d429e11985
Schuhen	w13_d429e11989
zu	w1_d429e11994
Erdberg,	w3_d429e11997
alt	w5_d429e12000
54.	w7_d429e12003
J.	w9_d429e12006
</list>
<head id="h2_d429e12013">
Summa	w1_d429e12017
11.	w3_d429e12020
Pers.,	w5_d429e12023
darunter	w7_d429e12026
2.	w9_d429e12029
Kind.	w11_d429e12032
Den	w1_d429e12037
1.	w3_d429e12040
Martii.	w5_d429e12043
Jn	w1_d429e12048
der	w3_d429e12051
Stadt.	w5_d429e12054
</head>
<list id="l4_d429e12057">
Die	w1_d429e12061
(Tit.)	w3_d429e12064
Fr.	w5_d429e12067
Helena	w7_d429e12070
Dorothe	w9_d429e12073
verw.	w11_d429e12076
Gräfin	w13_d429e12080
von	w15_d429e12083
Oduyer,	w1_d429e12088
im	w3_d429e12091
Braitenburgis.	w5_d429e12094
H.	w7_d429e12097
in	w9_d429e12100
der	w11_d429e12103
Wolzeil,	w13_d429e12107
alt	w1_d429e12112
74.	w3_d429e12115
J.	w5_d429e12118
Dem	w1_d429e12124
Wol=edel=gestr.	w3_d429e12127
und	w5_d429e12130
Hochgelehrt.	w7_d429e12133
Hrn.	w9_d429e12136
Phil.	w11_d429e12139
Florian	w1_d429e12144
Prosky,	w3_d429e12147
Phil.	w5_d429e12150
&	w7_d429e12153
Med.	w9_d429e12156
Doct.	w11_d429e12159
s.	w13_d429e12163
T.	w15_d429e12166
An	w17_d429e12169
tonia,	w1_d429e12174
bey	w3_d429e12177
der	w5_d429e12180
weis.	w7_d429e12183
Ros.	w9_d429e12186
in	w11_d429e12189
der	w13_d429e12193
Schulerstr.	w15_d429e12196
alt	w17_d429e12199
2.	w1_d429e12204
J.	w3_d429e12207
Dem	w1_d429e12213
Hrn.	w3_d429e12216
Franz	w5_d429e12219
Weitzman,	w7_d429e12222
gew.	w9_d429e12225
Burgerl.	w11_d429e12228
Han	w13_d429e12232
delsm.,	w1_d429e12237
s.	w3_d429e12240
K.	w5_d429e12243
Jos.,	w7_d429e12246
im	w9_d429e12249
Manhardisch.	w11_d429e12252
H.	w13_d429e12256
in	w15_d429e12259
der	w17_d429e12262
Kärntnerstr.,	w1_d429e12267
alt	w3_d429e12270
7.	w5_d429e12273
J.	w7_d429e12276
Dem	w1_d429e12281
Jos.	w3_d429e12284
Huebman,	w5_d429e12287
Burgerl.	w7_d429e12290
Kupfer=schm.,	w9_d429e12293
s.	w11_d429e12296
K.	w13_d429e12300
Franz,	w1_d429e12306
in	w3_d429e12309
Fortif.	w5_d429e12312
zim.	w7_d429e12315
beym	w9_d429e12318
Kärntner=thor,	w11_d429e12321
1.	w13_d429e12325
J.	w15_d429e12328
Dem	w1_d429e12333
Joh.	w3_d429e12336
Kelly,	w5_d429e12339
Zimmer=ges.,	w7_d429e12342
s.	w9_d429e12345
K.	w11_d429e12348
Jgnatz,	w13_d429e12352
in	w15_d429e12355
dem	w17_d429e12358
Heyingeris.	w1_d429e12363
H.	w3_d429e12366
in	w5_d429e12369
der	w7_d429e12372
Romer=str,	w9_d429e12375
alt	w11_d429e12378
7.	w13_d429e12382
v.	w15_d429e12385
J.	w17_d429e12388
Math.	w1_d429e12393
Scheichenast,	w3_d429e12396
Maurer,	w5_d429e12399
im	w7_d429e12402
Käß	w9_d429e12405
stecheris.	w11_d429e12408
H.	w13_d429e12412
in	w1_d429e12418
der	w3_d429e12421
Krugerstr.,	w5_d429e12424
alt	w7_d429e12427
40.	w9_d429e12430
J.	w11_d429e12433
</list>
<head id="h2_d429e12441">
Vor	w1_d429e12445
der	w3_d429e12448
Stadt.	w5_d429e12451
</head>
<list id="l4_d429e12454">
Math.	w1_d429e12458
Eisen,	w3_d429e12461
Burgerl.	w5_d429e12464
Kuchel=gart.,	w7_d429e12467
im	w9_d429e12470
von	w11_d429e12473
Gheli	w13_d429e12477
schen.	w1_d429e12482
H.	w3_d429e12485
auf	w5_d429e12488
der	w7_d429e12491
Landstr.,	w9_d429e12494
alt	w11_d429e12497
66.	w13_d429e12501
J.	w15_d429e12504
Cathar.	w1_d429e12509
Leimbergerin,	w3_d429e12512
Burgerl.	w5_d429e12515
Wittwe,	w7_d429e12518
in	w9_d429e12521
dem	w11_d429e12524
Schiplis.	w1_d429e12530
H.	w3_d429e12533
auf	w5_d429e12536
der	w7_d429e12539
Wied.,	w9_d429e12542
alt	w11_d429e12545
72.	w13_d429e12549
J.	w15_d429e12552
Dem	w1_d429e12557
Jacob	w3_d429e12560
Schnabinger,	w5_d429e12563
Glaseren,	w7_d429e12566
s.	w9_d429e12569
K.	w11_d429e12572
Barb.	w13_d429e12576
,	w15_d429e12579
beym	w1_d429e12584
gold.	w3_d429e12587
Pfauen	w5_d429e12590
oberm	w7_d429e12593
Neustift,	w9_d429e12596
alt	w11_d429e12599
8.	w13_d429e12603
J.	w15_d429e12606
Lorenz	w1_d429e12611
Thum,	w3_d429e12614
gew.	w5_d429e12617
Schwarz=pickner	w7_d429e12620
galant.	w9_d429e12623
tischl.,	w11_d429e12626
beym	w1_d429e12632
schön.	w3_d429e12635
Gart.	w5_d429e12638
in	w7_d429e12641
der	w9_d429e12644
Josephst.,	w11_d429e12647
alt	w13_d429e12651
89.	w15_d429e12654
J.	w17_d429e12657
Cathar.	w1_d429e12662
Schusterreiterin,	w3_d429e12665
Wittwe,	w5_d429e12668
beym	w7_d429e12671
Stuck=gies.	w9_d429e12674
auf	w1_d429e12679
der	w3_d429e12682
Wendelst.,	w5_d429e12685
alt	w7_d429e12688
68.	w9_d429e12691
J.	w11_d429e12694
</list>
<head id="h2_d429e12701">
Summa	w1_d429e12705
11.	w3_d429e12708
Pers.,	w5_d429e12711
darunter	w7_d429e12714
5.	w9_d429e12717
Kind.	w11_d429e12720
Den	w1_d429e12725
2.	w3_d429e12728
Martii.	w5_d429e12731
Jn	w1_d429e12736
der	w3_d429e12739
Stadt.	w5_d429e12742
</head>
<list id="l4_d429e12745">
Jhro	w1_d429e12749
Excell.	w3_d429e12752
die	w5_d429e12755
Hoch	w7_d429e12758
und	w9_d429e12761
Wol=geb.	w11_d429e12764
Fr.	w13_d429e12768
Fr.	w15_d429e12771
Elisab.	w17_d429e12774
verw.	w1_d429e12779
Reichs=gräfin	w3_d429e12782
v.	w5_d429e12785
Hohenfeld,	w7_d429e12788
geb.	w9_d429e12791
Freyin	w11_d429e12794
v.	w13_d429e12798
Städel,	w1_d429e12803
im	w3_d429e12806
Wolfskronis.	w5_d429e12809
H.	w7_d429e12812
in	w9_d429e12815
der	w11_d429e12818
Wolzeil,	w13_d429e12822
alt	w15_d429e12825
78.	w1_d429e12831
J.	w3_d429e12834
Dem	w1_d429e12839
(Tit.)	w3_d429e12842
Hrn.	w5_d429e12845
Jos.	w7_d429e12848
Baron	w9_d429e12851
v.	w11_d429e12854
Simschön,	w13_d429e12858
K.	w15_d429e12861
K.	w17_d429e12864
General=major,	w1_d429e12869
s.	w3_d429e12872
Frle	w5_d429e12875
T.	w7_d429e12878
Francisca,,	w9_d429e12881
beym	w11_d429e12884
Esel	w13_d429e12888
in	w1_d429e12893
der	w3_d429e12896
Wieg.	w5_d429e12899
in	w7_d429e12902
der	w9_d429e12905
Kärntnerstr.,	w11_d429e12908
alt	w13_d429e12912
4.	w15_d429e12915
J.	w17_d429e12918
Jungf.	w1_d429e12924
Maria	w3_d429e12927
Anna	w5_d429e12930
Timmerin,	w7_d429e12933
im	w9_d429e12936
Huteris.	w11_d429e12939
H.	w13_d429e12943
im	w15_d429e12946
Kraut=gäs.,	w1_d429e12951
alt	w3_d429e12954
36.	w5_d429e12957
J.	w7_d429e12960
Der	w1_d429e12965
Fr.	w3_d429e12968
Barb.	w5_d429e12971
Schönbaurin,	w7_d429e12974
Wittwe,	w9_d429e12977
ihr	w11_d429e12980
T.	w13_d429e12984
Rosal.	w15_d429e12987
beym	w1_d429e12992
Winter	w3_d429e12995
untern	w5_d429e12998
Tuch=laub,	w7_d429e13001
alt	w9_d429e13004
6.	w11_d429e13007
J.	w13_d429e13011
</list>
<head id="h2_d429e13018">
Vor	w1_d429e13022
der	w3_d429e13025
Stadt.	w5_d429e13028
</head>
<list id="l4_d429e13031">
Dem	w1_d429e13035
Jos.	w3_d429e13038
Raht,	w5_d429e13041
Burgerl.	w7_d429e13044
Kuchel=gart,	w9_d429e13047
s.	w11_d429e13050
T.	w13_d429e13054
Mat	w15_d429e13057
dal.,	w1_d429e13062
in	w3_d429e13065
s.	w5_d429e13068
H.	w7_d429e13071
untern	w9_d429e13074
Weiß=gärb.,	w11_d429e13077
alt	w13_d429e13081
12.	w15_d429e13084
J.	w17_d429e13087
Margar.	w1_d429e13092
Bäckin,	w3_d429e13095
Wittwe,	w5_d429e13098
imerst=bemeldt.	w7_d429e13101
H.	w9_d429e13104
68.	w11_d429e13107
J.	w13_d429e13111
Dem	w1_d429e13117
Alex.	w3_d429e13120
Neander,	w5_d429e13123
Schneid.,	w7_d429e13126
s.	w9_d429e13129
T.	w11_d429e13132
Cathar.,	w13_d429e13136
beym	w15_d429e13139
gold.	w1_d429e13144
Löw.	w3_d429e13147
im	w5_d429e13150
Lerchenf,	w7_d429e13153
alt	w9_d429e13156
26.	w11_d429e13159
J.	w13_d429e13163
n	w1_d429e13168
</list>
<list id="l8_d429e13174">
Lndre	w1_d429e13178
Well,	w3_d429e13181
in	w5_d429e13184
St.	w7_d429e13187
Joh.	w9_d429e13190
Nep.	w11_d429e13193
Spit,	w13_d429e13197
alt	w15_d429e13200
75.	w17_d429e13203
J.	w19_d429e13206
Cathar.	w1_d429e13211
Preyerin,	w3_d429e13214
Wittwe,	w5_d429e13217
beym	w7_d429e13220
schwarz.	w9_d429e13223
Eleph.	w11_d429e13226
zu	w1_d429e13231
Margar.,	w3_d429e13234
alt	w5_d429e13237
60.	w7_d429e13240
J.	w9_d429e13243
</list>
<head id="h2_d429e13250">
Summa	w1_d429e13254
9.	w3_d429e13257
Pers.	w5_d429e13260
darunter	w7_d429e13263
2.	w9_d429e13266
Kind.	w11_d429e13269
Den	w1_d429e13274
3.	w3_d429e13277
Martii.	w5_d429e13280
Jn	w1_d429e13285
der	w3_d429e13288
Stadt.	w5_d429e13291
</head>
<list id="l4_d429e13294">
Dem	w1_d429e13298
(Tit)	w3_d429e13301
Hrn.	w5_d429e13304
Joh.	w7_d429e13307
Georg	w9_d429e13310
Holbein	w11_d429e13313
v.	w13_d429e13317
Hol	w15_d429e13320
beinsberg,	w1_d429e13325
K.	w3_d429e13328
geh.	w5_d429e13331
Reichs=hof=caucl.	w7_d429e13334
Officiant.,	w9_d429e13337
s.	w11_d429e13340
T.	w1_d429e13345
Elisab.,	w3_d429e13348
beym	w5_d429e13351
silb.	w7_d429e13354
Anker	w9_d429e13357
am	w11_d429e13360
alt.	w13_d429e13364
Bau	w15_d429e13367
ren=m.,	w1_d429e13373
alt	w3_d429e13376
3.	w5_d429e13379
J.	w7_d429e13382
Der	w1_d429e13387
Wol=ehrw.	w3_d429e13390
P.	w5_d429e13393
August.	w7_d429e13396
Rosenbergen,	w9_d429e13399
S.	w11_d429e13402
J.	w13_d429e13406
im	w15_d429e13409
Colleg.,	w1_d429e13414
alt	w3_d429e13417
35.	w5_d429e13420
J.	w7_d429e13423
Hr.	w1_d429e13428
Raym.	w3_d429e13431
Hammermüller,	w5_d429e13434
gem.	w7_d429e13437
Stadt	w9_d429e13440
Canzley	w11_d429e13443
verw.,	w1_d429e13449
beym	w3_d429e13452
weis.	w5_d429e13455
Rös.	w7_d429e13458
am	w9_d429e13461
Salz=gr.,	w11_d429e13464
alt	w13_d429e13468
31.	w15_d429e13471
J.	w17_d429e13474
Math.	w1_d429e13479
Schueckmayr,	w3_d429e13482
Burgerl.	w5_d429e13485
Stadt=spörer,	w7_d429e13488
im	w9_d429e13491
Gschwandneris.	w1_d429e13496
H.	w3_d429e13499
am	w5_d429e13502
alt.	w7_d429e13505
Kien=m.,	w9_d429e13508
75.	w11_d429e13511
J.	w13_d429e13515
Regina	w1_d429e13520
Pfeifferin,	w3_d429e13523
led.	w5_d429e13526
M.,	w7_d429e13529
im	w9_d429e13532
Gundel=hof,	w11_d429e13535
60.	w13_d429e13539
J.	w15_d429e13542
</list>
<head id="h2_d429e13549">
Vor	w1_d429e13553
der	w3_d429e13556
Stadt.	w5_d429e13559
</head>
<list id="l4_d429e13562">
Dem	w1_d429e13566
Sebast.	w3_d429e13569
Mayr,	w5_d429e13572
Burgerl.	w7_d429e13575
Schneid.,	w9_d429e13578
s.	w11_d429e13581
W.	w13_d429e13585
Eva,	w15_d429e13588
beym	w1_d429e13593
Schwarzwald.	w3_d429e13596
bey	w5_d429e13599
St.	w7_d429e13602
Ulrich,	w9_d429e13605
alt	w11_d429e13608
40.	w13_d429e13612
J.	w15_d429e13615
Der	w1_d429e13620
Elisab.	w3_d429e13623
Partolotin,	w5_d429e13626
Wittwe,	w7_d429e13629
ihr	w9_d429e13632
K.	w11_d429e13635
Antonia,	w13_d429e13639
beym	w1_d429e13645
bl.	w3_d429e13648
Löw.	w5_d429e13651
am	w7_d429e13654
Naustift,	w9_d429e13657
alt	w11_d429e13660
9.	w13_d429e13664
J.	w15_d429e13667
Joh.	w1_d429e13672
Hutz,	w3_d429e13675
Dräxl.,	w5_d429e13678
beym	w7_d429e13681
gold.	w9_d429e13684
Hirsch.	w11_d429e13687
bey	w13_d429e13691
Maria	w15_d429e13694
hülf,	w1_d429e13699
alt	w3_d429e13702
75.	w5_d429e13705
J.	w7_d429e13708
Dem	w1_d429e13713
Jacob	w3_d429e13716
Mayr,	w5_d429e13719
Tag=löhn.,	w7_d429e13722
s.	w9_d429e13725
W.	w11_d429e13728
Elisab.,	w13_d429e13732
beym	w15_d429e13735
Schab=den=ries.	w1_d429e13741
in	w3_d429e13744
der	w5_d429e13747
Leopoldst.,	w7_d429e13750
alt	w9_d429e13753
43.	w11_d429e13756
J.	w13_d429e13760
</list>
<p id="p6_d429e13764">
Von	w1_d429e13768
der	w3_d429e13771
N.	w5_d429e13774
Oe.	w7_d429e13777
Regierung	w9_d429e13780
wegen,	w11_d429e13783
wird	w13_d429e13787
mit	w15_d429e13790
gegenwärtig=offenem	w1_d429e13795
Edict	w3_d429e13798
jedermänniglich,	w5_d429e13801
sowol	w7_d429e13804
An=als	w1_d429e13809
Abwesenden,	w3_d429e13812
deme	w5_d429e13815
daran	w7_d429e13818
gelegen,	w9_d429e13821
kund	w11_d429e13824
und	w1_d429e13830
zu	w3_d429e13833
wissen	w5_d429e13836
gemacht:	w7_d429e13839
Es	w9_d429e13842
habe	w11_d429e13845
Regierung	w13_d429e13849
eina	w15_d429e13852
Nohtdurft	w1_d429e13857
zu	w3_d429e13860
seyn	w5_d429e13863
befunden,	w7_d429e13866
über	w9_d429e13869
die	w11_d429e13872
nach	w13_d429e13876
dem	w15_d429e13879
zeitlichen	w1_d429e13884
Hintritt	w3_d429e13887
weil.	w5_d429e13890
des	w7_d429e13893
Carl	w9_d429e13896
Purian,	w11_d429e13899
ge	w13_d429e13903
west=Hof=befreyten	w1_d429e13908
Stickers	w3_d429e13911
ruckgebliben	w5_d429e13914
und	w7_d429e13917
in	w1_d429e13923
Verfall	w3_d429e13926
