<doc id="wr_1760-03-19" attrs="word" year="1760" month="03" day="19" corpus="2">
<head id="h2_d433e3251">
Lissaben	w1_d433e3255
aufge	w15_d433e10558
packt	w1_d433e10563
gewesen;	w3_d433e10566
Deserteurs	w5_d433e10569
seynd	w7_d433e10572
dieser	w9_d433e10575
Tä	w11_d433e10578
gen	w1_d433e10583
wieder	w3_d433e10586
sehr	w5_d433e10589
zahlreich	w7_d433e10592
hier	w9_d433e10595
angekommen,	w11_d433e10598
indeme	w1_d433e10603
der	w3_d433e10606
Feind	w5_d433e10609
auch	w7_d433e10612
50.	w9_d433e10615
und	w11_d433e10618
60.	w13_d433e10622
jährige	w15_d433e10625
Männer	w1_d433e10631
zu	w3_d433e10634
Kriegs=diensten	w5_d433e10637
zwinget.	w7_d433e10640
</p>
<head id="h2_d433e10647">
Wien	w1_d433e10651
den	w3_d433e10654
19.	w5_d433e10657
Martii	w7_d433e10660
1760.	w9_d433e10663
</head>
<p id="p4_d433e10666">
Samstags	w1_d433e10670
den	w3_d433e10673
15.	w5_d433e10676
Martii	w7_d433e10679
seynd	w9_d433e10682
für	w11_d433e10685
die	w13_d433e10689
Hoch=adeliche	w1_d433e10694
Sternkreutzordens	w3_d433e10697
dame	w1_d433e10702
(Titl.)	w3_d433e10705
Frau	w5_d433e10708
Carolina	w7_d433e10711
Dorothea	w9_d433e10714
ver	w11_d433e10717
wittibte	w1_d433e10723
Gräfin	w3_d433e10726
von	w5_d433e10729
Rogendorf,	w7_d433e10732
geborne	w9_d433e10735
Gräfin	w1_d433e10740
von	w3_d433e10743
Palffy,	w5_d433e10746
welche	w7_d433e10749
den	w9_d433e10752
19.	w11_d433e10755
Dec.	w13_d433e10759
1759.	w1_d433e10764
in	w3_d433e10767
Mähren	w5_d433e10770
zu	w7_d433e10773
Slaup	w9_d433e10776
in	w11_d433e10779
GOtt	w13_d433e10783
see	w15_d433e10786
lig	w1_d433e10791
verschieden,	w3_d433e10794
in	w5_d433e10797
der	w7_d433e10800
grossen	w9_d433e10803
Hofkapel	w11_d433e10806
len	w1_d433e10812
die	w3_d433e10815
Exequien	w5_d433e10818
gehalten	w7_d433e10821
worden.	w9_d433e10824
</p>
<p id="p6_d433e10827">
Sonntags	w1_d433e10831
den	w3_d433e10834
16.	w5_d433e10837
Martii	w7_d433e10840
haben	w9_d433e10843
beede	w11_d433e10846
Kaiserl.	w1_d433e10851
Majestäten	w3_d433e10854
mit	w5_d433e10857
ihren	w7_d433e10860
Königl.	w9_d433e10863
Ho	w11_d433e10866
heiten	w1_d433e10871
denen	w3_d433e10874
Durchl.	w5_d433e10877
jungen	w7_d433e10880
Herrschaften	w9_d433e10883
dem	w1_d433e10889
gewöhnlichen	w3_d433e10892
GOtes=dienst	w5_d433e10895
in	w7_d433e10898
der	w9_d433e10901
Hof	w11_d433e10904
kapellen	w1_d433e10909
beygewohnet.	w3_d433e10912
</p>
<p id="p8_d433e10915">
Montags	w1_d433e10919
den	w3_d433e10922
17.	w5_d433e10925
Martii	w7_d433e10928
seynd	w9_d433e10931
aberma	w11_d433e10934
len	w1_d433e10939
für	w3_d433e10942
die	w5_d433e10945
Hoch=adeliche	w7_d433e10948
Sternkreutzor	w9_d433e10951
dens=dame	w1_d433e10956
(Titl.)	w3_d433e10959
Frau	w5_d433e10962
Louyse	w7_d433e10965
Fürstin	w9_d433e10968
von	w1_d433e10974
Thurn	w3_d433e10977
und	w5_d433e10980
Taxis,	w7_d433e10983
geborne	w9_d433e10986
Gräfin	w11_d433e10989
von	w13_d433e10993
Martigny,	w1_d433e10998
so	w3_d433e11001
den	w5_d433e11004
1.	w7_d433e11007
dieses	w9_d433e11010
Monats	w11_d433e11013
al	w13_d433e11017
hier	w1_d433e11022
in	w3_d433e11025
GOtt	w5_d433e11028
seelig	w7_d433e11031
entschlaffen,	w9_d433e11034
in	w11_d433e11037
der	w13_d433e11041
</p>
<p id="p14_d433e11055">
grossen	w1_d433e11059
Hof=kapellen	w3_d433e11062
die	w5_d433e11065
Exequlen	w7_d433e11068
gehalten	w9_d433e11071
worden.	w1_d433e11076
</p>
<p id="p16_d433e11079">
Nachdeme	w1_d433e11083
Jhro	w3_d433e11086
Kaiserl.	w5_d433e11089
Königl.	w7_d433e11092
und	w9_d433e11095
Apostol.	w1_d433e11100
Majestät	w3_d433e11103
unser	w5_d433e11106
Allergnädigste	w7_d433e11109
Lan	w9_d433e11112
des	w1_d433e11117
fürstin	w3_d433e11120
und	w5_d433e11123
Frau,	w7_d433e11126
statt	w9_d433e11129
des	w11_d433e11132
erst	w13_d433e11136
jüngst	w15_d433e11139
hin	w1_d433e11145
alhier	w3_d433e11148
verstorbenen	w5_d433e11151
Stadt	w7_d433e11154
und	w9_d433e11157
Land	w11_d433e11160
richters	w1_d433e11165
Herrn	w3_d433e11168
Johann	w5_d433e11171
Leopold	w7_d433e11174
edlen	w9_d433e11177
von	w11_d433e11180
Ghelen	w1_d433e11185
seel.,	w3_d433e11188
den	w5_d433e11191
wohl=edl	w7_d433e11194
gebornen	w9_d433e11197
Herrn	w11_d433e11200
Joseph	w1_d433e11205
Anton	w3_d433e11208
Bellesini	w5_d433e11211
des	w7_d433e11214
hiesig=Löbl.	w9_d433e11217
Stadt	w1_d433e11223
und	w3_d433e11226
Land=gerichts	w5_d433e11229
zweyten	w7_d433e11232
Seniorem	w9_d433e11235
in	w1_d433e11240
Ansehung	w3_d433e11243
seiner	w5_d433e11246
durch	w7_d433e11249
etlich	w9_d433e11252
und	w11_d433e11255
zwan	w13_d433e11259
zig	w1_d433e11264
Jahr	w3_d433e11267
bey	w5_d433e11270
erdeutem	w7_d433e11273
Stadt	w9_d433e11276
und	w11_d433e11279
Landge	w13_d433e11283
richt	w1_d433e11288
geleist=ersprießlichen	w3_d433e11291
Dienste,	w5_d433e11294
und	w7_d433e11297
an	w9_d433e11300
durch	w1_d433e11306
sich	w3_d433e11309
erworbenen	w5_d433e11312
Erfahrnuß,	w7_d433e11315
auch	w9_d433e11318
sonst	w11_d433e11321
besitzenden	w1_d433e11326
rühmlichen	w3_d433e11329
Eigenschaften	w5_d433e11332
annoch	w7_d433e11335
unterm	w1_d433e11340
8.	w3_d433e11343
dies	w5_d433e11346
Monats	w7_d433e11349
Martii	w9_d433e11352
zu	w11_d433e11355
aller	w13_d433e11359
höchst=alhiesigen	w1_d433e11364
Stadt	w3_d433e11367
und	w5_d433e11370
Land=richter	w7_d433e11373
allergnädigst	w1_d433e11379
zu	w3_d433e11382
resolviren	w5_d433e11385
geruhet	w7_d433e11388
haben.	w9_d433e11391
So	w1_d433e11396
hat	w3_d433e11399
derselbe	w5_d433e11402
den	w7_d433e11405
17.	w9_d433e11408
hierauf	w11_d433e11411
fruh	w13_d433e11415
um	w15_d433e11418
9.	w1_d433e11423
Uhr	w3_d433e11426
in	w5_d433e11429
Folge	w7_d433e11432
der	w9_d433e11435
von	w11_d433e11438
einer	w13_d433e11442
Hoch=löbl.	w15_d433e11445
N.	w1_d433e11450
Oe.	w3_d433e11453
Regierung	w5_d433e11456
deshalben	w7_d433e11459
erlassenen	w9_d433e11462
hohen	w1_d433e11468
Verordnung	w3_d433e11471
in	w5_d433e11474
Begleitung	w7_d433e11477
des	w9_d433e11480
Hrn.	w11_d433e11483
Stadt	w1_d433e11488
und	w3_d433e11491
Land=gerichts=senioris,	w5_d433e11494
Ge	w7_d433e11497
gegen=handlers,	w1_d433e11502
beeder	w3_d433e11505
dasigen	w5_d433e11508
Gerichts	w7_d433e11511
actuarien,	w1_d433e11516
und	w3_d433e11519
noch	w5_d433e11522
8.	w7_d433e11525
anderen	w9_d433e11528
Herren	w11_d433e11531
Stadt	w1_d433e11537
und	w3_d433e11540
Land=gerichts=beysitzeren	w5_d433e11543
zur	w7_d433e11546
hohen	w1_d433e11551
Landes=fürstl.	w3_d433e11554
Regierung	w5_d433e11557
sich	w7_d433e11560
bege	w9_d433e11563
ben,	w1_d433e11568
und	w3_d433e11571
daselbst	w5_d433e11574
den	w7_d433e11577
gewöhnlichen	w9_d433e11580
Stadt	w11_d433e11583
und	w1_d433e11588
Land=richters=eid	w3_d433e11591
in	w5_d433e11594
dem	w7_d433e11597
Hoch=löbl.	w9_d433e11600
Ple	w11_d433e11603
no	w1_d433e11609
abgeleget,	w3_d433e11612
wobey	w5_d433e11615
auch	w7_d433e11618
unter	w9_d433e11621
einstens	w11_d433e11624
dem	w1_d433e11629
erwehnten	w3_d433e11632
neuen	w5_d433e11635
Herrn	w7_d433e11638
Stadtrich	w9_d433e11641
ter	w1_d433e11646
die	w3_d433e11649
Pann,	w5_d433e11652
und	w7_d433e11655
Acht	w9_d433e11658
ertheilet	w11_d433e11661
worden	w13_d433e11665
ist.	w15_d433e11668
</p>
<p id="p18_d433e11671">
Der	w1_d433e11675
schon	w3_d433e11678
einige	w5_d433e11681
Tage	w7_d433e11684
anhaltende	w9_d433e11687
Re	w11_d433e11690
gen,	w1_d433e11695
hat	w3_d433e11698
den	w5_d433e11701
noch	w7_d433e11704
in	w9_d433e11707
denen	w11_d433e11710
Bergen	w13_d433e11714
und	w15_d433e11717
Wäldern	w1_d433e11722
übrigen	w3_d433e11725
Schnee	w5_d433e11728
dergestalten	w7_d433e11731
zer	w9_d433e11734
schmolzen,	w1_d433e11740
und	w3_d433e11743
in	w5_d433e11746
den	w7_d433e11749
alhiesigen	w9_d433e11752
Donau	w11_d433e11755
strom	w1_d433e11760
geleitet,	w3_d433e11763
daß	w5_d433e11766
selbiger	w7_d433e11769
wegen	w9_d433e11772
Ueber	w11_d433e11775
maaß	w1_d433e11780
des	w3_d433e11783
Wassers	w5_d433e11786
aus	w7_d433e11789
seinen	w9_d433e11792
Ufern	w11_d433e11795
getret	w13_d433e11799
ten,	w1_d433e11804
und	w3_d433e11807
mit	w5_d433e11810
Weg=chwemmung	w7_d433e11813
einer	w9_d433e11816
Men	w11_d433e11819
ge	w1_d433e11825
des	w3_d433e11828
in	w5_d433e11831
der	w7_d433e11834
Spital=au	w9_d433e11837
vorrähtig	w11_d433e11840
gelegenen	w13_d433e11844
Brenn=hol	w1_d433e11849
es	w3_d433e11852
einen	w5_d433e11855
grossen	w7_d433e11858
Schaden	w9_d433e11861
verur	w11_d433e11864
sachet	w1_d433e11869
hat.	w3_d433e11872
</p>
<p id="p20_d433e11875">
Den	w1_d433e11879
22.	w3_d433e11882
Dieses	w5_d433e11885
wird	w7_d433e11888
alhier	w9_d433e11891
die	w11_d433e11894
Ziehun	w13_d433e11898
der	w1_d433e11903
Kaiserl.	w3_d433e11906
Königl.	w5_d433e11909
privilegirten	w7_d433e11912
Lotterie	w9_d433e11915
beschehen,	w1_d433e11920
und	w3_d433e11923
denen	w5_d433e11926
angestelten	w7_d433e11929
Collectan	w9_d433e11932
ten	w1_d433e11938
wegen	w3_d433e11941
Einreichung	w5_d433e11944
ihrer	w7_d433e11947
Schlüsse	w9_d433e11950
Tag	w1_d433e11955
und	w3_d433e11958
Stund,	w5_d433e11961
durch	w7_d433e11964
ein	w9_d433e11967
Averlissement	w11_d433e11970
bekannt	w1_d433e11975
gemacht	w3_d433e11978
werden.	w5_d433e11981
</p>
<head id="h2_d433e11987">
Lista	w1_d433e11991
deren	w3_d433e11994
Verstorbenen	w5_d433e11997
zu	w7_d433e12000
Wien	w9_d433e12003
in	w1_d433e12008
und	w3_d433e12011
vor	w5_d433e12014
der	w7_d433e12017
Stadt.	w9_d433e12020
Den	w1_d433e12025
15.	w3_d433e12028
Martii.	w5_d433e12031
Jn	w1_d433e12037
der	w3_d433e12040
Stadt.	w5_d433e12043
Niemand.	w1_d433e12048
Vor	w1_d433e12053
der	w3_d433e12056
Stadt.	w5_d433e12059
</head>
<list id="l4_d433e12062">
Dem	w1_d433e12066
Hrn.	w3_d433e12069
Franz	w5_d433e12072
Häderlein,	w7_d433e12075
Cassä=paup.=colleet.	w9_d433e12078
s.	w1_d433e12083
K.	w3_d433e12086
Magdal,	w5_d433e12089
im	w7_d433e12092
Lefleris.	w9_d433e12095
H.	w11_d433e12098
auf	w13_d433e12102
der	w15_d433e12105
Wied.	w17_d433e12108
3.	w19_d433e12111
J.	w21_d433e12114
Dem	w1_d433e12119
Jos.	w3_d433e12122
Milan,	w5_d433e12125
gew.	w7_d433e12128
Burgerl.	w9_d433e12131
Bier=leut	w11_d433e12134
geb.,	w13_d433e12138
s.	w15_d433e12141
W.	w1_d433e12147
Magdal.,	w3_d433e12150
beym	w5_d433e12153
gestreift.	w7_d433e12156
Stief.	w9_d433e12159
in	w11_d433e12162
der	w13_d433e12166
Leo	w15_d433e12169
poldst.,	w1_d433e12174
alt	w3_d433e12177
35.	w5_d433e12180
J.	w7_d433e12183
Math.	w1_d433e12188
Hofbauer,	w3_d433e12191
Doback=pfeiffen=mach.,	w5_d433e12194
beym	w7_d433e12197
gut.	w9_d433e12200
Hirt.	w1_d433e12205
am	w3_d433e12208
Hungelbrunn,	w5_d433e12211
alt	w7_d433e12214
40.	w9_d433e12217
J.	w11_d433e12220
Dem	w1_d433e12226
Gporg	w3_d433e12229
Kleinl,	w5_d433e12232
Creutzel=mach,	w7_d433e12235
s.	w9_d433e12238
K.	w11_d433e12241
Joh.,	w13_d433e12245
bey	w15_d433e12248
der	w1_d433e12253
rot.	w3_d433e12256
Bretz.	w5_d433e12259
bey	w7_d433e12262
Maria=hülf,	w9_d433e12265
alt	w11_d433e12268
10.	w13_d433e12272
J.	w15_d433e12275
Franz	w1_d433e12280
Wolland,	w3_d433e12283
Rauchfang=kehr.=ges.,	w5_d433e12286
im	w7_d433e12289
Rauch	w9_d433e12292
fangkehreris.	w1_d433e12297
H.	w3_d433e12300
in	w5_d433e12303
der	w7_d433e12306
Jesephst.	w9_d433e12309
alt	w11_d433e12312
24.	w13_d433e12316
J.	w15_d433e12319
Barb.	w1_d433e12325
Pichlerin,	w3_d433e12328
Wittwe,	w5_d433e12331
beym	w7_d433e12334
weis.	w9_d433e12337
Engel	w11_d433e12340
am	w13_d433e12344
Hungelbrunn,	w1_d433e12349
alt	w3_d433e12352
92.	w5_d433e12355
J.	w7_d433e12358
Dem	w1_d433e12363
Joh.	w3_d433e12366
Kränzer,	w5_d433e12369
Tag=löhn.,	w7_d433e12372
s.	w9_d433e12375
W.	w11_d433e12378
Eva,	w13_d433e12382
in	w15_d433e12385
dem	w17_d433e12388
Mayris.	w1_d433e12393
H.	w3_d433e12396
in	w5_d433e12399
der	w7_d433e12402
Unger=gas.,	w9_d433e12405
alt	w11_d433e12408
53.	w13_d433e12412
J.	w15_d433e12415
</list>
<head id="h2_d433e12422">
Summa	w1_d433e12426
7.	w3_d433e12429
Pers.	w5_d433e12432
darunter	w7_d433e12435
2.	w9_d433e12438
Kind.	w11_d433e12441
Den	w1_d433e12446
16	w3_d433e12449
Martii.	w5_d433e12452
Jn	w1_d433e12457
der	w3_d433e12460
Stadt.	w5_d433e12463
</head>
<list id="l4_d433e12466">
Die	w1_d433e12470
Hocheedel=geb.	w3_d433e12473
Frle	w5_d433e12476
Dorothe	w7_d433e12479
v.	w9_d433e12482
Moll,	w11_d433e12485
im	w13_d433e12489
Ca	w15_d433e12492
vrianis.	w1_d433e12497
H.	w3_d433e12500
in	w5_d433e12503
der	w7_d433e12506
obern	w9_d433e12509
Breunerstr,	w11_d433e12512
alt	w13_d433e12516
54.	w15_d433e12519
J.	w17_d433e12522
Fr.	w1_d433e12527
Rosal.	w3_d433e12530
Rauscherin,	w5_d433e12533
Burgerl.	w7_d433e12536
Wittwe,	w9_d433e12539
bey	w11_d433e12542
der	w13_d433e12546
bl.	w1_d433e12552
Flasch.	w3_d433e12555
beym	w5_d433e12558
Stock=am=eis.,	w7_d433e12561
alt	w9_d433e12564
81.	w11_d433e12567
J.	w13_d433e12571
</list>
<head id="h2_d433e12578">
Vor	w1_d433e12582
der	w3_d433e12585
Stadt.	w5_d433e12588
</head>
<list id="l4_d433e12591">
Theres.	w1_d433e12595
Liechteneckerin,	w3_d433e12598
Wittwe,	w5_d433e12601
beym	w7_d433e12604
rot.	w9_d433e12607
Stief.	w11_d433e12610
zu	w1_d433e12615
Margar.,	w3_d433e12618
alt	w5_d433e12621
52.	w7_d433e12624
J.	w9_d433e12627
Elisab.	w1_d433e12632
Reisingerin,	w3_d433e12635
Wittwe,	w5_d433e12638
im	w7_d433e12641
Neumanis.	w9_d433e12644
H.	w11_d433e12647
zu	w13_d433e12651
Margar.,	w1_d433e12657
alt	w3_d433e12660
57.	w5_d433e12663
J.	w7_d433e12666
</list>
<head id="h2_d433e12673">
Summa	w1_d433e12677
4.	w3_d433e12680
Pers.,	w5_d433e12683
darunter	w7_d433e12686
0.	w9_d433e12689
Kind.	w11_d433e12692
Den	w1_d433e12697
17.	w3_d433e12700
Martii.	w5_d433e12703
Jn	w1_d433e12708
der	w3_d433e12711
Stadt.	w5_d433e12714
</head>
<list id="l4_d433e12717">
Dem	w1_d433e12721
(Tit.)	w3_d433e12724
Hrn.	w5_d433e12727
Joh.	w7_d433e12730
Ant.	w9_d433e12733
v.	w11_d433e12736
Seltwan,	w13_d433e12740
K.	w15_d433e12743
K.	w17_d433e12746
Banat=administr.=secret.,	w1_d433e12751
s.	w3_d433e12754
K.	w5_d433e12757
Jos.,	w7_d433e12760
im	w9_d433e12763
Steinme	w11_d433e12766
tzis.	w1_d433e12771
H.	w3_d433e12774
am	w5_d433e12777
alt	w7_d433e12780
Fleischem.,	w9_d433e12783
alt	w11_d433e12786
6.	w13_d433e12790
J.	w15_d433e12793
Dem	w1_d433e12799
Hrn.	w3_d433e12802
Franz	w5_d433e12805
Mansperger,	w7_d433e12808
K.	w9_d433e12811
K.	w11_d433e12814
Kamwer	w13_d433e12818
haitz	w15_d433e12821
s.	w1_d433e12826
Jngf	w3_d433e12829
T.	w5_d433e12832
Elisab.,	w7_d433e12835
im	w9_d433e12838
Enderis.	w11_d433e12841
H.	w13_d433e12845
am	w15_d433e12848
Kohl=m.,/	w17_d433e12851
alt	w1_d433e12856
20	w3_d433e12859
J.	w5_d433e12862
Dem	w1_d433e12867
Jos.	w3_d433e12870
Eichhorn,	w5_d433e12873
Schreib.,	w7_d433e12876
s.	w9_d433e12879
K.	w11_d433e12882
Anna,	w13_d433e12886
beym	w15_d433e12889
gelb	w1_d433e12895
Adl.	w3_d433e12898
am	w5_d433e12901
alt.	w7_d433e12904
Fleisch=m.,	w9_d433e12907
alt	w11_d433e12910
2.	w13_d433e12914
J.	w15_d433e12917
</list>
<head id="h4_d433e12926">
Vor	w1_d433e12930
der	w3_d433e12933
Stadt.	w5_d433e12936
</head>
<list id="l6_d433e12939">
Dem	w1_d433e12943
Georg	w3_d433e12946
Schöfman,	w5_d433e12949
Burgerl.	w7_d433e12952
Schneib.,	w9_d433e12955
s.	w11_d433e12958
W.	w13_d433e12962
Anna,	w1_d433e12967
beym	w3_d433e12970
gold.	w5_d433e12973
Satel	w7_d433e12976
bey	w9_d433e12979
St.	w11_d433e12982
Ulrich,	w13_d433e12986
59.	w15_d433e12989
J.	w17_d433e12992
Joh.	w1_d433e12997
Haiger,	w3_d433e13000
Lack,	w5_d433e13003
bey	w7_d433e13006
der	w9_d433e13009
Stadt	w11_d433e13012
Rom	w13_d433e13016
auf	w15_d433e13019
der	w17_d433e13022
Wind=mühl,	w1_d433e13028
alt	w3_d433e13031
64.	w5_d433e13034
J.	w7_d433e13037
Domin	w1_d433e13042
Oppenritter,	w3_d433e13045
Barbierer=ges.,	w5_d433e13048
J.beym	w7_d433e13051
weissen	w9_d433e13054
Lämmel	w1_d433e13059
in	w3_d433e13062
der	w5_d433e13065
Josephst.,	w7_d433e13068
alt	w9_d433e13071
25.	w11_d433e13074
Nicol.	w1_d433e13079
la	w3_d433e13082
Signore,	w5_d433e13085
Comödi=aufwart.,	w7_d433e13088
bey	w9_d433e13091
der	w11_d433e13094
weis.	w1_d433e13100
Taub.	w3_d433e13103
auf	w5_d433e13106
der	w7_d433e13109
Wind=mühl,	w9_d433e13112
alt	w11_d433e13115
35.	w13_d433e13119
J.	w15_d433e13122
Georg	w1_d433e13127
Karrer,	w3_d433e13130
Zimmer=ges.,	w5_d433e13133
bey	w7_d433e13136
der	w9_d433e13139
H.	w11_d433e13142
Dreyfal	w13_d433e13146
tigk.	w1_d433e13151
in	w3_d433e13154
der	w5_d433e13157
Josephst.,	w7_d433e13160
alt	w9_d433e13163
50.	w11_d433e13166
J.	w13_d433e13170
Magdal.	w1_d433e13175
Steinbeckin,	w3_d433e13178
Wittwe,	w5_d433e13181
bey	w7_d433e13184
der	w9_d433e13187
gold	w11_d433e13190
Birn	w13_d433e13194
am	w1_d433e13200
Himmel=pfort	w3_d433e13203
gr.,	w5_d433e13206
alt	w7_d433e13209
77.	w9_d433e13212
J.	w11_d433e13215
Dem	w1_d433e13220
Ant.	w3_d433e13223
Herl,	w5_d433e13226
Keller=sitz.,	w7_d433e13229
s.	w9_d433e13232
W.	w11_d433e13235
Anna,	w13_d433e13239
beym	w15_d433e13242
gold.	w17_d433e13245
Schlus.	w1_d433e13250
in	w3_d433e13253
der	w5_d433e13256
Josephst.,	w7_d433e13259
alt	w9_d433e13262
38.	w11_d433e13265
J.	w13_d433e13269
Dem	w1_d433e13274
Vincent	w3_d433e13277
Hotschl,	w5_d433e13280
Huterern,	w7_d433e13283
s.	w9_d433e13286
K.	w11_d433e13289
Cathar.,	w13_d433e13293
beym	w1_d433e13299
Mohr.	w3_d433e13302
im	w5_d433e13305
Liechtenth.,	w7_d433e13308
alt	w9_d433e13311
4.	w11_d433e13314
J.	w13_d433e13318
Lorenz	w1_d433e13323
Gangl,	w3_d433e13326
Kutsch.,	w5_d433e13329
beym	w7_d433e13332
weis.	w9_d433e13335
Kreutz	w11_d433e13338
an	w13_d433e13342
der	w15_d433e13345
Wien,	w1_d433e13350
alt	w3_d433e13353
47.	w5_d433e13356
J.	w7_d433e13359
</list>
<head id="h2_d433e13367">
Summa	w1_d433e13371
12.	w3_d433e13374
Person.,	w5_d433e13377
darunter	w7_d433e13380
3.	w9_d433e13383
Kind.	w11_d433e13386
Den	w1_d433e13391
18.	w3_d433e13394
Martii.	w5_d433e13397
Jn	w1_d433e13402
der	w3_d433e13405
Stadt.	w5_d433e13408
</head>
<list id="l4_d433e13411">
Dem	w1_d433e13415
Hrn.	w3_d433e13418
Joh.	w5_d433e13421
Mich	w7_d433e13424
Girmuß,	w9_d433e13427
Herrschaftl.	w11_d433e13430
Ar	w13_d433e13434
chivar.,	w1_d433e13439
s.	w3_d433e13442
K.	w5_d433e13445
Josepha,	w7_d433e13448
in	w9_d433e13451
s.	w11_d433e13454
H.	w13_d433e13458
in	w15_d433e13461
der	w17_d433e13464
Wallerstr.,	w19_d433e13467
alt	w1_d433e13472
5.	w3_d433e13475
v.	w5_d433e13478
J.	w7_d433e13481
Fr.	w1_d433e13487
Barb.	w3_d433e13490
Barbierin,	w5_d433e13493
Burgerl.	w7_d433e13496
Handels=wittwe,	w9_d433e13499
beym	w1_d433e13504
gold	w3_d433e13507
Stern	w5_d433e13510
am	w7_d433e13513
Hof,	w9_d433e13516
alt	w11_d433e13519
70.	w13_d433e13523
J.	w15_d433e13526
Fr	w1_d433e13531
Anna	w3_d433e13534
Maria	w5_d433e13537
Wolfin,	w7_d433e13540
Burgerl	w9_d433e13543
Wittwe,	w11_d433e13546
bey	w13_d433e13550
dem	w15_d433e13553
Küh	w1_d433e13558
fuß	w3_d433e13561
untern	w5_d433e13564
Tuch	w7_d433e13567
laub.,	w9_d433e13570
alt	w11_d433e13573
73.	w13_d433e13577
J.	w15_d433e13580
Dem	w1_d433e13586
Jos	w3_d433e13589
Schönöger,	w5_d433e13592
K.	w7_d433e13595
K.	w9_d433e13598
Artillerie=ober=schmid,	w11_d433e13601
s	w1_d433e13606
Ehew	w3_d433e13609
Anna,	w5_d433e13612
im	w7_d433e13615
K.	w9_d433e13618
Zeug=H.	w11_d433e13621
auf	w13_d433e13625
der	w15_d433e13628
Sailer	w17_d433e13631
stadt,	w1_d433e13636
alt	w3_d433e13639
33.	w5_d433e13642
J.	w7_d433e13645
Jos.	w1_d433e13650
Model,	w3_d433e13653
Nieder	w5_d433e13656
lags=bediene.,	w7_d433e13659
im	w9_d433e13662
Albrechtisch.	w11_d433e13665
H.	w1_d433e13671
am	w3_d433e13674
Kohl=m.,	w5_d433e13677
alt	w7_d433e13680
24.	w9_d433e13683
J.	w11_d433e13686
</list>
<head id="h2_d433e13693">
Vor	w1_d433e13697
der	w3_d433e13700
Stadt.	w5_d433e13703
</head>
<list id="l4_d433e13706">
Dem	w1_d433e13710
Math.	w3_d433e13713
Taubenschmid,	w5_d433e13716
Burgerl.	w7_d433e13719
Bind.,	w9_d433e13722
s.	w11_d433e13725
K.	w13_d433e13729
Math.,	w1_d433e13734
im	w3_d433e13737
Frumwaltis.	w5_d433e13740
H.	w7_d433e13743
in	w9_d433e13746
der	w11_d433e13749
Unger=gas.,	w13_d433e13753
alt	w15_d433e13756
Susan.	w1_d433e13761
Lechnerin,	w3_d433e13764
Burgerl.	w5_d433e13767
Wittwe,	w7_d433e13770
im	w9_d433e13773
Huteris.	w11_d433e13776
H.	w1_d433e13782
zu	w3_d433e13785
Erdberg,	w5_d433e13788
alt	w7_d433e13791
48.	w9_d433e13794
J.	w11_d433e13797
Dem	w1_d433e13802
Nicol.	w3_d433e13805
Aruold,	w5_d433e13808
Lack.,	w7_d433e13811
s.	w9_d433e13814
W.	w11_d433e13817
Susan.,	w13_d433e13821
beyn	w15_d433e13824
3.	w17_d433e13827
Hirt.	w1_d433e13832
bey	w3_d433e13835
St.	w5_d433e13838
Ulrich,	w7_d433e13841
alt	w9_d433e13844
49.	w11_d433e13847
J.	w13_d433e13851
Dem	w1_d433e13856
Mich.	w3_d433e13859
Holzer,	w5_d433e13862
Hauskn.,	w7_d433e13865
s.	w9_d433e13868
W.	w11_d433e13871
Johanna,	w13_d433e13875
im	w15_d433e13878
Starhembergis.	w1_d433e13884
Gart.	w3_d433e13887
auf	w5_d433e13890
der	w7_d433e13893
Wied.,	w9_d433e13896
39.	w11_d433e13899
J.	w13_d433e13903
Eva	w1_d433e13908
Baurin,	w3_d433e13911
Wittwe,	w5_d433e13914
beym	w7_d433e13917
Eichbühel	w9_d433e13920
untern	w11_d433e13923
Fel	w13_d433e13927
bern,	w1_d433e13932
alt	w3_d433e13935
76.	w5_d433e13938
J.	w7_d433e13941
Dem	w1_d433e13946
Jacob	w3_d433e13949
Baumgartner,	w5_d433e13952
Maurer=ges,	w7_d433e13955
s.	w9_d433e13958
W.	w11_d433e13961
An	w13_d433e13965
Ra,	w1_d433e13971
so	w3_d433e13974
sich	w5_d433e13977
über	w7_d433e13980
eine	w9_d433e13983
Keller	w11_d433e13986
stieg	w13_d433e13990
erfallen,	w15_d433e13993
ist	w17_d433e13996
im	w19_d433e13999
Rumlis.	w1_d433e14004
H.	w3_d433e14007
auf	w5_d433e14010
der	w7_d433e14013
Landstr.	w9_d433e14016
vom	w11_d433e14019
K.	w13_d433e14023
K.	w15_d433e14026
Stadt	w17_d433e14029
und	w1_d433e14034
Lad	w3_d433e14037
gericht	w5_d433e14040
beschauet	w7_d433e14043
worden,	w9_d433e14046
62.	w11_d433e14049
J.	w13_d433e14053
Dem	w1_d433e14058
Mart.	w3_d433e14061
Töblack,	w5_d433e14064
Tag	w7_d433e14067
löhn,	w9_d433e14070
s.	w11_d433e14073
W.	w13_d433e14077
Maria,	w15_d433e14080
bey	w17_d433e14083
dem	w1_d433e14089
weis.	w3_d433e14092
Lämmel	w5_d433e14095
zu	w7_d433e14098
Mätzleinstorf,	w9_d433e14101
alt	w11_d433e14104
66.	w13_d433e14108
J.	w15_d433e14111
</list>
<head id="h2_d433e14118">
