<doc id="edoc_wd_1760-01-02" attrs="word" year="1760" month="01" day="02" corpus="1">
<head id="hl1">
Erfurt	w39
Re	w3636
<g/>
.
gistr	w3638
<g/>
=
und	w3640
Taxat	w3641
<g/>
.
<g/>
,
s	w3644
<g/>
.
Frle	w3646
T	w3647
<g/>
.
Elisab	w3649
<g/>
.
<g/>
,
im	w3652
alten	w3653
Futer	w3654
<g/>
=
amt	w3656
<g/>
,
alt	w3658
3	w3659
<g/>
.
J	w3661
<g/>
.
Hr	w3663
<g/>
.
Andre	w3665
Cour	w3666
<g/>
.
Mebes	w3668
<g/>
,
K	w3670
<g/>
.
K	w3672
<g/>
.
Hof	w3674
<g/>
=
und	w3676
Burgerl	w3677
<g/>
.
Chyrurg	w3679
<g/>
,
im	w3681
Satleris	w3682
<g/>
.
H	w3684
<g/>
.
am	w3686
Juden	w3687
<g/>
=
plaz	w3689
<g/>
,
55	w3691
<g/>
.
J	w3693
<g/>
.
Thom	w3695
<g/>
.
Clement	w3697
<g/>
,
Burgerl	w3699
Schneid	w3700
<g/>
.
<g/>
,
im	w3703
Wander=polis	w3704
<g/>
=
<g/>
.
H	w3707
<g/>
.
beym	w3709
Ofen	w3710
<g/>
-
loch	w3712
<g/>
,
alt	w3714
65	w3715
<g/>
.
J	w3717
<g/>
.
</list>
<head id="hl19">
Vor	w3719
der	w3720
Stadt	w3721
<g/>
.
</head>
<list id="">
Franz	w3723
Donreiter	w3724
<g/>
,
Schreib	w3726
<g/>
.
<g/>
,
in	w3729
s	w3730
<g/>
.
H	w3732
<g/>
.
oberm	w3734
Neust	w3735
<g/>
.
<g/>
,
alt	w3738
52	w3739
<g/>
.
J	w3741
<g/>
.
Dem	w3743
Ant	w3744
<g/>
.
Schwarz	w3746
<g/>
,
Tischl	w3748
<g/>
.
<g/>
,
s	w3751
<g/>
.
T	w3753
<g/>
.
Maria	w3755
Anna	w3756
<g/>
,
bey	w3758
dem	w3759
weis	w3760
<g/>
.
Lämmel	w3762
bey	w3763
Maria	w3764
<g/>
=
hülf	w3766
<g/>
,
18	w3768
<g/>
.
J	w3770
<g/>
.
Pet	w3772
<g/>
.
Stapf	w3774
<g/>
,
Schneider	w3776
<g/>
=
ges	w3778
<g/>
,
beym	w3780
hl	w3781
<g/>
.
Herr	w3783
<g/>
-
gott	w3785
am	w3786
Spitalberg	w3787
<g/>
,
alt	w3789
54	w3790
<g/>
.
J	w3792
<g/>
.
Dem	w3794
Joh	w3795
<g/>
.
Haberrecht	w3797
<g/>
,
Feldsold	w3799
<g/>
.
<g/>
,
s	w3802
<g/>
.
W	w3804
<g/>
.
Francisc	w3806
<g/>
.
<g/>
,
beym	w3809
Pin	w3810
<g/>
=
apsel	w3812
auf	w3813
der	w3814
Landstr	w3815
<g/>
.
<g/>
,
alt	w3818
29	w3819
<g/>
.
J	w3821
<g/>
.
Phil	w3823
<g/>
.
Pollhammer	w3825
<g/>
,
Geig	w3827
<g/>
,
bey	w3829
der	w3830
gold	w3831
<g/>
.
Kugel	w3833
auf	w3834
der	w3835
Wind	w3836
mühl	w3837
<g/>
,
alt	w3839
61	w3840
<g/>
.
J	w3842
<g/>
.
Elisab	w3844
<g/>
.
Edelbaurin	w3846
<g/>
,
Wittwe	w3848
<g/>
,
beym	w3850
gold	w3851
<g/>
.
Lämmel	w3853
im	w3854
Lerchenf	w3855
<g/>
.
<g/>
,
alt	w3858
75	w3859
<g/>
.
J	w3861
<g/>
.
Jos	w3863
<g/>
.
Widel	w3865
<g/>
,
Schuh	w3867
<g/>
=
kn	w3869
<g/>
.
<g/>
,
beym	w3872
gold	w3873
<g/>
.
Greif	w3875
<g/>
.
bey	w3877
Ma=ria	w3878
<g/>
=
<g/>
=
hülf	w3881
<g/>
,
alt	w3883
18	w3884
<g/>
.
J	w3886
<g/>
.
Eva	w3888
Wartmanin	w3889
<g/>
,
Wittwe	w3891
<g/>
,
deymbeym	w3893
kl	w3894
<g/>
.
Jordan	w3896
in	w3897
dem	w3898
Gergler	w3899
<g/>
=
gäs	w3901
<g/>
.
<g/>
,
alt	w3904
64	w3905
<g/>
.
J	w3907
<g/>
.
</list>
<list id="">
Magdal	w3909
<g/>
.
Heinrichin	w3911
<g/>
,
im	w3913
K	w3914
<g/>
.
K	w3916
<g/>
.
Hof	w3918
<g/>
=
spit	w3920
<g/>
,
72	w3922
<g/>
.
J	w3924
<g/>
.
</list>
<head id="hl20">
Den	w3926
29	w3927
<g/>
.
Dec	w3929
<g/>
.
1759	w3931
<g/>
.
</head>
<head id="hl21">
Jn	w3933
der	w3934
Stadt	w3935
<g/>
.
</head>
<list id="">
Dem	w3937
Wol	w3938
<g/>
-
edlen	w3940
Hrn	w3941
<g/>
.
Bernh	w3943
<g/>
.
Nestor	w3945
<g/>
,
K	w3947
<g/>
.
K	w3949
<g/>
.
al	w3951
Feuerwerk	w3952
<g/>
.
<g/>
,
s	w3955
<g/>
.
K	w3957
<g/>
.
Theres	w3959
<g/>
.
im	w3961
K	w3962
<g/>
.
K	w3964
<g/>
.
Zeug	w3966
<g/>
=
H	w3968
<g/>
.
auf	w3970
der	w3971
Sailerst	w3972
<g/>
.
<g/>
,
alt	w3975
1	w3976
<g/>
.
J	w3978
<g/>
.
Dem	w3980
Aldert	w3981
Wolla	w3982
<g/>
,
Burgerl	w3984
<g/>
.
Hof	w3986
<g/>
=
stuckador	w3988
<g/>
.
<g/>
,
s	w3991
<g/>
.
K	w3993
<g/>
.
Math	w3995
<g/>
.
<g/>
,
im	w3998
Amonis	w3999
<g/>
.
H	w4001
<g/>
.
am	w4003
rot	w4004
<g/>
.
Thurn	w4006
<g/>
,
4	w4008
<g/>
.
J	w4010
<g/>
.
Pet	w4012
<g/>
.
<g/>
,
Burgerl	w4015
<g/>
.
Sporrer	w4017
<g/>
,
im	w4019
Kupfer	w4020
<g/>
-
schmie=dis	w4022
<g/>
=
<g/>
.
H	w4025
<g/>
.
am	w4027
Katzen	w4028
<g/>
=
steig	w4030
<g/>
,
alt	w4032
36	w4033
<g/>
.
J	w4035
<g/>
.
Dem	w4037
Math	w4038
<g/>
.
Fridl	w4040
<g/>
,
Burgerl	w4042
Bier	w4043
<g/>
=
leut	w4045
<g/>
=
geb	w4047
<g/>
.
<g/>
,
s	w4050
<g/>
.
K	w4052
<g/>
.
Joh	w4054
<g/>
.
<g/>
,
im	w4057
Zeilingeris	w4058
<g/>
.
H	w4060
<g/>
.
in	w4062
der	w4063
untern	w4064
Bäckerst	w4065
<g/>
.
alt	w4067
2	w4068
<g/>
.
J	w4070
<g/>
.
Christian	w4072
Geyer	w4073
<g/>
,
gew	w4075
<g/>
.
Jäg	w4077
<g/>
.
<g/>
,
im	w4080
Fruhwirtis	w4081
<g/>
.
H	w4083
<g/>
.
auf	w4085
der	w4086
Fischer	w4087
<g/>
=
stieg	w4089
<g/>
.
<g/>
,
alt	w4092
75	w4093
<g/>
.
J	w4095
<g/>
.
</list>
<head id="hl22">
Vor	w4097
der	w4098
Stadt	w4099
<g/>
.
</head>
<list id="">
Dem	w4101
Pet	w4102
<g/>
.
Andre	w4104
<g/>
,
Pflasterern	w4106
<g/>
,
s	w4108
<g/>
.
W	w4110
<g/>
.
Theres	w4112
<g/>
.
<g/>
,
beym	w4115
schwarz	w4116
<g/>
.
Kegel	w4118
am	w4119
Neustift	w4120
<g/>
,
alt	w4122
59	w4123
<g/>
.
J	w4125
<g/>
.
Ant	w4127
<g/>
.
Schildberger	w4129
<g/>
,
Anstreich	w4131
<g/>
.
<g/>
,
bey	w4134
der	w4135
grün	w4136
<g/>
.
Wein-traub	w4138
<g/>
-
<g/>
.
in	w4141
der	w4142
Leopoldst	w4143
<g/>
.
<g/>
,
alt	w4146
61	w4147
<g/>
.
J	w4149
<g/>
.
Georg	w4151
Zimmerman	w4152
<g/>
,
Schulmeist	w4154
<g/>
.
<g/>
,
bey	w4157
der	w4158
Meer	w4159
<g/>
=
frle	w4161
im	w4162
Liechtenth	w4163
<g/>
.
<g/>
,
alt	w4166
55	w4167
<g/>
.
J	w4169
<g/>
.
Helena	w4171
Plackin	w4172
<g/>
,
Wittwe	w4174
<g/>
,
im	w4176
Urbanis	w4177
<g/>
.
H	w4179
<g/>
.
zu	w4181
Mar-gar	w4182
<g/>
-
<g/>
.
<g/>
,
alt	w4186
60	w4187
<g/>
.
J	w4189
<g/>
.
Simon	w4191
Jlling	w4192
<g/>
,
Trag	w4194
<g/>
.
<g/>
,
beym	w4197
rot	w4198
<g/>
.
Thor	w4200
in	w4201
der	w4202
Leo=poldst	w4203
<g/>
=
<g/>
,
alt	w4206
78	w4207
<g/>
.
J	w4209
<g/>
.
Der	w4211
Theres	w4212
<g/>
.
Hackerin	w4214
<g/>
,
Wittwe	w4216
<g/>
,
ihr	w4218
S	w4219
<g/>
.
Math	w4221
<g/>
.
<g/>
,
bey	w4224
dem	w4225
schwarz	w4226
<g/>
.
Adl	w4228
<g/>
.
zu	w4230
Nicolstorf	w4231
<g/>
,
alt	w4233
25	w4234
<g/>
.
J	w4236
<g/>
.
Theres	w4238
<g/>
.
Stegerin	w4240
<g/>
,
Wittwe	w4242
<g/>
,
bey	w4244
St	w4245
<g/>
.
Leop	w4247
zu	w4248
Gum=pendorf	w4249
<g/>
=
<g/>
,
alt	w4252
74	w4253
<g/>
.
J	w4255
<g/>
.
Summa	w4257
12	w4258
<g/>
.
Pers	w4260
<g/>
.
<g/>
,
darunter	w4263
3	w4264
<g/>
.
Kind	w4266
<g/>
.
</list>
<head id="hl23">
Den	w4268
30	w4269
<g/>
.
Dec	w4271
<g/>
.
1759	w4273
<g/>
.
</head>
<head id="hl24">
Jn	w4275
der	w4276
Stadt	w4277
<g/>
.
</head>
<list id="">
Jhro	w4279
Exccll	w4280
<g/>
.
der	w4282
Hoch	w4283
<g/>
=
und	w4285
Wol	w4286
<g/>
-
geb	w4288
<g/>
.
Hr	w4290
<g/>
.
Hr	w4292
<g/>
.
Jos	w4294
<g/>
.
Graf	w4296
v	w4297
<g/>
.
Muscettola	w4299
<g/>
,
aus	w4301
dem	w4302
Herzogl	w4303
<g/>
.
Haus	w4305
v	w4306
<g/>
.
Spez=za	w4308
<g/>
=
<g/>
,
ꝛc	w4311
<g/>
.
beeder	w4313
K	w4314
<g/>
.
K	w4316
<g/>
.
M	w4318
<g/>
.
würkl	w4320
<g/>
.
geh	w4322
<g/>
.
Raht	w4324
<g/>
,
und	w4326
Cammerer	w4327
<g/>
,
beym	w4329
Aug	w4330
GOttes	w4331
am	w4332
Pet	w4333
<g/>
.
<g/>
,
62	w4336
<g/>
.
J	w4338
<g/>
.
Der	w4340
Wol	w4341
edle	w4342
Hr	w4343
<g/>
.
Max	w4345
Honul	w4346
K	w4347
<g/>
.
K	w4349
<g/>
.
Cammer=mahl	w4351
<g/>
=
<g/>
.
<g/>
,
beyn	w4355
7	w4356
<g/>
.
Chur	w4358
<g/>
=
fürst	w4360
<g/>
.
am	w4362
rot	w4363
<g/>
.
Thurn	w4365
<g/>
,
65	w4367
<g/>
.
J	w4369
<g/>
.
Dem	w4371
Joh	w4372
<g/>
.
Gruber	w4374
<g/>
,
Burgerl	w4376
<g/>
.
Wein	w4378
<g/>
=
leut=geb	w4380
<g/>
.
<g/>
,
s	w4383
<g/>
.
K	w4385
<g/>
.
Jos	w4387
<g/>
.
<g/>
,
im	w4390
Wirts	w4391
H	w4392
<g/>
.
bey	w4394
der	w4395
H	w4396
<g/>
.
Dreyfaltigk	w4398
<g/>
.
6	w4400
<g/>
.
v	w4402
<g/>
.
J	w4404
<g/>
.
Dem	w4406
Ant	w4407
<g/>
.
Krauß	w4409
<g/>
,
Waldhornist	w4411
<g/>
.
<g/>
,
s	w4414
<g/>
.
K	w4416
<g/>
.
Agnes	w4418
<g/>
.
im	w4420
Mahleris	w4421
<g/>
.
H	w4423
<g/>
.
auf	w4425
der	w4426
Schotten	w4427
<g/>
=
bastey	w4429
<g/>
,
alt	w4431
5	w4432
<g/>
.
J	w4434
<g/>
.
</list>
<head id="hl25">
Vor	w4436
der	w4437
Stadt	w4438
<g/>
.
</head>
<list id="">
Der	w4440
Wol	w4441
<g/>
=
edel	w4443
<g/>
=
geb	w4445
<g/>
.
Hr	w4447
<g/>
.
Wenzel	w4449
v	w4450
<g/>
.
Luxenstein	w4452
<g/>
,
K	w4454
<g/>
.
K	w4456
<g/>
.
Bereut	w4458
<g/>
.
<g/>
,
beym	w4461
gold	w4462
<g/>
.
Adl	w4464
<g/>
.
am	w4466
Spitalb	w4467
<g/>
.
<g/>
,
33	w4470
<g/>
.
J	w4472
<g/>
.
Dem	w4474
Franz	w4475
Schenk	w4476
<g/>
,
Burgerl	w4478
Bind	w4479
<g/>
.
<g/>
,
s	w4482
<g/>
.
W	w4484
<g/>
.
Julia=na	w4486
<g/>
=
<g/>
,
bey	w4489
der	w4490
gold	w4491
<g/>
.
Kanne	w4493
am	w4494
Spitalb	w4495
<g/>
,
25	w4497
<g/>
.
J	w4499
<g/>
.
Elisab	w4501
<g/>
.
Rotrosin	w4503
<g/>
,
Burgerl	w4505
<g/>
.
Wittwe	w4507
<g/>
,
bey	w4509
dem	w4510
gold	w4511
<g/>
.
Harnisch	w4513
in	w4514
der	w4515
Josephst	w4516
<g/>
.
<g/>
,
alt	w4519
59	w4520
<g/>
.
J	w4522
<g/>
.
Dem	w4524
Jos	w4525
<g/>
.
Fellner	w4527
<g/>
,
Hof	w4529
<g/>
=
lust	w4531
<g/>
=
gart	w4533
<g/>
.
im	w4535
K	w4536
<g/>
.
K	w4538
<g/>
.
Belvede=re	w4540
<g/>
=
<g/>
,
s	w4543
<g/>
.
K	w4545
<g/>
.
Francisca	w4547
<g/>
,
alda	w4549
<g/>
,
alt	w4551
4	w4552
<g/>
.
J	w4554
<g/>
.
Der	w4556
Regina	w4557
Reittingerin	w4558
<g/>
,
Wittwe	w4560
<g/>
,
ihr	w4562
T	w4563
<g/>
.
Cathar	w4565
<g/>
.
<g/>
,
beyn	w4568
gut	w4569
<g/>
.
Hirt	w4571
<g/>
.
bey	w4573
Maria	w4574
<g/>
=
hülf	w4576
<g/>
,
alt	w4578
19	w4579
<g/>
.
J	w4581
<g/>
.
</list>
<list id="">
Christian	w4585
Krieger	w4586
<g/>
,
Trag	w4588
<g/>
.
<g/>
,
im	w4591
Chormeisteris	w4592
<g/>
.
H	w4594
<g/>
.
auf	w4596
der	w4597
Landstr	w4598
<g/>
.
<g/>
,
alt	w4601
77	w4602
<g/>
.
J	w4604
<g/>
.
Summa	w4606
10	w4607
<g/>
.
Person	w4609
<g/>
.
<g/>
/
darunter	w4612
3	w4613
<g/>
.
Kind	w4615
<g/>
.
</list>
<head id="hl26">
Den	w4617
31	w4618
<g/>
.
Dec	w4620
<g/>
.
1759	w4622
<g/>
.
</head>
<head id="hl27">
Jn	w4624
der	w4625
Stadt	w4626
<g/>
.
</head>
<list id="">
Fr	w4628
<g/>
.
Veron	w4630
<g/>
.
Wißgrillin	w4632
<g/>
,
Wittwe	w4634
<g/>
,
im	w4636
Bäckis	w4637
<g/>
.
H	w4639
<g/>
.
am	w4641
grün	w4642
<g/>
.
Anger	w4644
<g/>
,
alt	w4646
64	w4647
<g/>
.
J	w4649
Dem	w4650
Jos	w4651
<g/>
.
Zeschenauer	w4653
<g/>
,
Burgerl	w4655
<g/>
.
Schneid	w4657
<g/>
.
<g/>
,
s	w4660
<g/>
.
K	w4662
<g/>
.
Eberh	w4664
<g/>
.
<g/>
,
beym	w4667
Sperl	w4668
im	w4669
Schlosser	w4670
<g/>
=
gäs	w4672
<g/>
.
<g/>
,
alt	w4675
1	w4676
<g/>
.
J	w4678
<g/>
.
Dem	w4680
Lorenz	w4681
Schaus	w4682
<g/>
,
Lehen	w4684
<g/>
=
kutsch	w4686
<g/>
.
<g/>
,
s	w4689
<g/>
.
K	w4691
<g/>
.
Jos	w4693
<g/>
.
<g/>
,
bey	w4696
der	w4697
Hungaris	w4698
<g/>
.
Cron	w4700
in	w4701
der	w4702
Himmel	w4703
<g/>
=
pfort	w4705
<g/>
=
gassen	w4707
<g/>
,
alt	w4709
3	w4710
<g/>
.
J	w4712
<g/>
.
Dem	w4714
Joh	w4715
<g/>
.
Rott	w4717
<g/>
,
Lack	w4719
<g/>
.
<g/>
,
s	w4722
<g/>
.
K	w4724
<g/>
.
Franz	w4726
<g/>
,
im	w4728
K	w4729
<g/>
.
K	w4731
<g/>
.
Jn-gen	w4733
<g/>
-
<g/>
.
<g/>
=
H	w4737
<g/>
.
auf	w4739
der	w4740
Wasser	w4741
<g/>
=
kunst	w4743
<g/>
=
bastey	w4745
<g/>
,
alt	w4747
5	w4748
<g/>
.
v	w4750
<g/>
.
J	w4752
<g/>
.
</list>
<head id="hl28">
Vor	w4754
der	w4755
Stadt	w4756
<g/>
.
</head>
<list id="">
Die	w4758
<g/>
(
Tit	w4760
<g/>
.
<g/>
)
Fr	w4763
<g/>
.
Cäcil	w4765
<g/>
.
Drestlin	w4767
<g/>
,
Wittwe	w4769
bey	w4770
dem	w4771
gold	w4772
<g/>
.
Bärn	w4774
am	w4775
Spitalberg	w4776
<g/>
,
alt	w4778
54	w4779
<g/>
.
J	w4781
<g/>
.
Jos	w4783
<g/>
.
Kriegler	w4785
<g/>
,
Burgerl	w4787
Kuchel	w4788
<g/>
-
gart	w4790
<g/>
,
im	w4792
Zeillisch	w4793
<g/>
.
H	w4795
<g/>
.
zu	w4797
Erdberg	w4798
<g/>
,
alt	w4800
36	w4801
<g/>
.
J	w4803
<g/>
.
Dem	w4805
Mich	w4806
<g/>
.
Bauer	w4808
<g/>
,
Burgerl	w4810
<g/>
.
Web	w4812
<g/>
.
<g/>
,
s	w4815
<g/>
.
W	w4817
<g/>
.
Apol	w4819
<g/>
.
bey	w4821
denen	w4822
5	w4823
<g/>
.
Lerch	w4825
<g/>
.
im	w4827
Lerchenf	w4828
<g/>
.
<g/>
,
alt	w4831
60	w4832
<g/>
.
J	w4834
<g/>
.
Dem	w4836
Casp	w4837
<g/>
.
Gspan	w4839
<g/>
.
Fuhr	w4841
<g/>
-
m	w4843
<g/>
.
<g/>
,
s	w4846
<g/>
.
K	w4848
<g/>
.
Casp	w4850
<g/>
.
im	w4852
Sand=	w4853
werferis	w4854
<g/>
.
H	w4856
<g/>
.
auf	w4858
der	w4859
Wied	w4860
<g/>
.
<g/>
,
alt	w4863
5	w4864
<g/>
.
J	w4866
<g/>
.
Pet	w4868
<g/>
.
Franer	w4870
<g/>
,
Lack	w4872
<g/>
.
<g/>
,
beym	w4875
gold	w4876
<g/>
.
Greif	w4878
<g/>
.
bey	w4880
Maria=hülf	w4881
<g/>
=
<g/>
,
alt	w4884
42	w4885
<g/>
.
J	w4887
<g/>
.
Eva	w4889
Münzingerin	w4890
<g/>
,
Wittwe	w4892
<g/>
,
im	w4894
Schusteris	w4895
<g/>
.
H	w4897
<g/>
.
am	w4899
Hundsth	w4900
<g/>
.
<g/>
,
alt	w4903
64	w4904
<g/>
.
J	w4906
<g/>
.
Joh	w4908
<g/>
.
Wolf	w4910
<g/>
,
Lack	w4912
<g/>
.
<g/>
,
beym	w4915
weis	w4916
<g/>
.
Ochs	w4918
<g/>
.
an	w4920
der	w4921
Wien	w4922
alt	w4923
55	w4924
<g/>
.
J	w4926
<g/>
.
Juliana	w4928
Knaudinl	w4929
<g/>
,
Wittwe	w4931
<g/>
,
im	w4933
Werdeckeris	w4934
<g/>
.
H	w4936
<g/>
.
in	w4938
der	w4939
Leopoldst	w4940
<g/>
,
alt	w4942
62	w4943
<g/>
.
J	w4945
<g/>
.
Summa	w4947
12	w4948
<g/>
.
Pers	w4950
<g/>
.
<g/>
,
darunter	w4953
4	w4954
Kind	w4955
<g/>
.
</list>
<p id="p39">
Jm	w4957
Keßlerischen	w4958
Buch	w4959
<g/>
=
binder	w4961
<g/>
=
gewölb	w4963
bey	w4964
denen	w4965
Obern	w4966
Jesuitern	w4967
im	w4968
Steindl	w4969
<g/>
=
gässel	w4971
beym	w4972
goldenen	w4973
A	w4974
<g/>
.
B	w4976
<g/>
.
C	w4978
<g/>
.
oder	w4980
bey	w4981
denen	w4982
drey	w4983
weissen	w4984
Lilien	w4985
in	w4986
seiner	w4987
Wohnnng	w4988
<g/>
,
ist	w4990
nebst	w4991
andern	w4992
Calendern	w4993
zu	w4994
haben	w4995
<g/>
:
Calendrier	w4997
d'Etat	w4998
pour	w4999
l'Aannée	w5000
1760	w5001
<g/>
.
Contenant	w5003
outre	w5004
les	w5005
Articlies	w5006
familiers	w5007
<g/>
,
les	w5009
Ba-tailles	w5010
<g/>
-
<g/>
,
<g/>
&
Actions	w5014
depuit	w5015
l'Année	w5016
1755	w5017
<g/>
.
mit	w5019
Perl=mutter	w5020
<g/>
=
<g/>
=
deckel	w5023
und	w5024
Spiegel	w5025
1	w5026
<g/>
.
fl	w5028
<g/>
.
25	w5030
<g/>
.
kr	w5032
<g/>
.
in	w5034
roh=ten	w5035
<g/>
=
Carmersin	w5037
1	w5038
<g/>
.
fl	w5040
<g/>
.
8	w5042
<g/>
.
kr	w5044
<g/>
.
die	w5046
andere	w5047
Gattung	w5048
51	w5049
<g/>
.
kr	w5051
<g/>
.
ordinari	w5053
gebunden	w5054
17	w5055
<g/>
.
kr	w5057
<g/>
.
</p>
<p id="p40">
Es	w5059
wird	w5060
hiermit	w5061
jedermänniglich	w5062
kund	w5063
und	w5064
zu	w5065
wissen	w5066
gemacht	w5067
<g/>
,
wasgestalten	w5069
das	w5070
in	w5071
der	w5072
Rossau	w5073
in	w5074
der	w5075
Serviten	w5076
<g/>
=
gassen	w5078
ligende	w5079
<g/>
,
und	w5081
sogenannte	w5082
An=zenbergerische	w5083
<g/>
=
Back	w5085
<g/>
=
haus	w5087
den	w5088
15ten	w5089
Februarii	w5090
die=ses	w5091
<g/>
=
lauffenden	w5093
1760	w5094
<g/>
.
Jahrs	w5096
auf	w5097
dem	w5098
allhiesigen	w5099
Raht	w5100
<g/>
=
haus	w5102
fruh	w5103
um	w5104
9	w5105
<g/>
.
Uhr	w5107
gerichtlich	w5108
feil	w5109
gebotten	w5110
werden	w5111
wird	w5112
<g/>
;
wer	w5114
nun	w5115
also	w5116
sothanes	w5117
Back	w5118
<g/>
=
haus	w5120
<g/>
,
käuflich	w5122
an	w5123
sich	w5124
zu	w5125
bringen	w5126
gedenket	w5127
<g/>
,
hat	w5129
sich	w5130
an	w5131
ob=bestimtem	w5132
<g/>
=
Tag	w5134
<g/>
,
und	w5136
Stund	w5137
auf	w5138
sothanem	w5139
Raht=haus	w5140
<g/>
=
anzumelden	w5142
<g/>
.
</p>
<p id="p41">
Es	w5144
ist	w5145
zu	w5146
St	w5147
<g/>
.
Pölten	w5149
auf	w5150
dem	w5151
breiten	w5152
Markt	w5153
das	w5154
Meischische	w5155
Haus	w5156
bestehend	w5157
in	w5158
12	w5159
<g/>
.
Zimmern	w5161
<g/>
,
schö=nen	w5163
<g/>
=
Keller	w5165
<g/>
,
grossen	w5167
Wagen	w5168
<g/>
=
schupfen	w5170
<g/>
,
Pferd	w5172
<g/>
=
stall	w5174
<g/>
,
samt	w5176
einem	w5177
schönen	w5178
Gärtel	w5179
zu	w5180
verkauffen	w5181
<g/>
;
wer	w5183
nun	w5184
solches	w5185
käuflich	w5186
an	w5187
sich	w5188
zu	w5189
bringen	w5190
willens	w5191
ist	w5192
<g/>
,
hat	w5194
sich	w5195
in	w5196
dem	w5197
alten	w5198
Post	w5199
<g/>
=
haus	w5201
zu	w5202
Perschling	w5203
anzu=melden	w5204
<g/>
=
<g/>
.
</p>
<p id="p42">
DeuDen	w5207
4	w5208
<g/>
.
Jan	w5210
<g/>
.
1760	w5212
werden	w5213
im	w5214
Vorreitterischen	w5215
Haus	w5216
auf	w5217
dem	w5218
Franciscaner	w5219
<g/>
=
platz	w5221
im	w5222
3ten	w5223
Stock	w5224
ruckwärts	w5225
im	w5226
Hof	w5227
verschiedene	w5228
Verlassenschafts=effecten	w5229
<g/>
=
<g/>
,
bestehend	w5232
in	w5233
etwas	w5234
Silber	w5235
<g/>
,
und	w5237
Geschmuck	w5238
<g/>
,
dann	w5240
Frauen	w5241
<g/>
=
kleidern	w5243
<g/>
,
Leingewand	w5245
<g/>
,
nndund	w5247
Zimmer=einrichtungen	w5248
<g/>
=
<g/>
,
fruh	w5251
von	w5252
9	w5253
bis	w5254
12	w5255
<g/>
.
Uhr	w5257
<g/>
,
und	w5259
Nach=mittag	w5260
<g/>
=
von	w5262
2	w5263
<g/>
.
bis	w5265
5	w5266
<g/>
.
Uhr	w5268
dem	w5269
Meistbietenden	w5270
lici=tando	w5271
<g/>
=
verkauffet	w5273
werden	w5274
<g/>
.
</p>
<p id="p43">
Es	w5276
ist	w5277
zu	w5278
Enzerstorf	w5279
unter	w5280
dem	w5281
Wiener	w5282
<g/>
=
berg	w5284
ein	w5285
Haus	w5286
samt	w5287
einem	w5288
schönen	w5289
Lust	w5290
<g/>
=
und	w5292
Obst	w5293
<g/>
=
garten	w5295
auf	w5296
künftigen	w5297
Georgii	w5298
in	w5299
Bestand	w5300
zu	w5301
verlassen	w5302
<g/>
,
oder	w5304
auch	w5305
zu	w5306
verkauffen	w5307
<g/>
;
wer	w5309
solches	w5310
besichen	w5311
will	w5312
<g/>
,
kan	w5314
sich	w5315
im	w5316
Neuberger	w5317
<g/>
=
hof	w5319
zu	w5320
ebener	w5321
Erden	w5322
bey	w5323
dem	w5324
Haus	w5325
<g/>
=
meister	w5327
anfragen	w5328
<g/>
.
</p>
<p id="p44">
Es	w5330
werden	w5331
bey	w5332
dem	w5333
Löbl	w5334
<g/>
.
Kaiserl	w5336
<g/>
.
Königl	w5338
<g/>
.
Stadt	w5340
<g/>
-
und	w5342
Land	w5343
<g/>
=
gericht	w5345
den	w5346
15	w5347
<g/>
.
Januarii	w5349
des	w5350
1760sten	w5351
Jahrs	w5352
fruh	w5353
præcisepraecise	w5354
um	w5355
9	w5356
<g/>
.
Uhr	w5358
zwey	w5359
Stock	w5360
<g/>
=
uhren	w5362
<g/>
,
so	w5364
in	w5365
einer	w5366
8	w5367
<g/>
.
Tag	w5369
Uhr	w5370
<g/>
,
welche	w5372
spielet	w5373
<g/>
,
samt	w5375
grün	w5376
<g/>
=
lakirten	w5378
Kasten	w5379
<g/>
,
und	w5381
ge=schmelzten	w5382
<g/>
=
Ziffer	w5384
<g/>
=
blat	w5386
<g/>
,
dann	w5388
in	w5389
einer	w5390
gleich	w5391
mäs=sigen	w5392
<g/>
=
8	w5394
<g/>
.
Tag	w5396
Uhr	w5397
in	w5398
einem	w5399
schwarz	w5400
gebeitzten	w5401
Ka=sten	w5402
<g/>
=
<g/>
,
und	w5405
ein	w5406
Meister	w5407
<g/>
=
stuck	w5409
ist	w5410
<g/>
,
bestehen	w5412
<g/>
,
licitando	w5414
plus	w5415
offerenti	w5416
verkauffet	w5417
werden	w5418
<g/>
;
dahero	w5420
dann	w5421
der	w5422
oder	w5423
die	w5424
jenige	w5425
<g/>
,
welche	w5427
von	w5428
denen	w5429
obermeldten=Uhren	w5430
<g/>
=
etwas	w5432
käuflichen	w5433
an	w5434
sich	w5435
zu	w5436
bringen	w5437
gesinnet	w5438
seyn	w5439
möchten	w5440
<g/>
,
an	w5442
vorbesagten	w5443
Tag	w5444
<g/>
,
und	w5446
Stund	w5447
<g/>
,
ad	w5449
licitandum	w5450
alda	w5451
sich	w5452
unausbleiblich	w5453
einzufinden	w5454
haben	w5455
werden	w5456
<g/>
.
</p>
<p id="p45">
NB	w5458
<g/>
.
Bey	w5460
diesem	w5461
eintrettenden	w5462
1ten	w5463
Jah=res	w5464
<g/>
=
<g/>
=
quartal	w5467
werden	w5468
abermalen	w5469
die	w5470
