<doc id="wr_1759-01-20" attrs="word" year="1759" month="01" day="20" corpus="2">
<head id="h2_d315e2754">
Prag	w1_d315e2758
Hoheit	w5_d315e10064
der	w7_d315e10067
Frau	w9_d315e10070
Prinzeßin	w11_d315e10073
Gubernantin	w1_d315e10079
Meldung	w3_d315e10082
gethan,	w5_d315e10085
so	w7_d315e10088
schreibt	w9_d315e10091
man	w1_d315e10096
doch,	w3_d315e10099
daß	w5_d315e10102
Sie	w7_d315e10105
sich	w9_d315e10108
noch	w11_d315e10111
sehr	w13_d315e10115
schwach	w15_d315e10118
befänden,	w1_d315e10123
und	w3_d315e10126
ausser	w5_d315e10129
Stande	w7_d315e10132
wären,	w9_d315e10135
an	w11_d315e10138
denen	w13_d315e10142
Affairen	w1_d315e10147
Theil	w3_d315e10150
zu	w5_d315e10153
nehmen.	w7_d315e10156
Den	w9_d315e10159
24sten	w11_d315e10162
Decemb.	w1_d315e10168
wären	w3_d315e10171
Jhre	w5_d315e10174
Königl.	w7_d315e10177
Hoheit	w9_d315e10180
mit	w11_d315e10183
einer	w1_d315e10188
starken	w3_d315e10191
Schlafsucht	w5_d315e10194
befallen	w7_d315e10197
worden,	w9_d315e10200
welche	w1_d315e10205
bis	w3_d315e10208
den	w5_d315e10211
25sten	w7_d315e10214
gedauret,	w9_d315e10217
so,	w11_d315e10220
daß	w13_d315e10224
sich	w15_d315e10227
würklich	w1_d315e10232
das	w3_d315e10235
Gerüchte	w5_d315e10238
von	w7_d315e10241
Dero	w9_d315e10244
Hintritt	w11_d315e10247
verbreitete.	w1_d315e10253
Sonst	w3_d315e10256
liefern	w5_d315e10259
uns	w7_d315e10262
diese	w9_d315e10265
Be	w11_d315e10268
richte	w1_d315e10273
folgenden	w3_d315e10276
Auszug	w5_d315e10279
eines	w7_d315e10282
Schreibens,	w9_d315e10285
welches	w1_d315e10290
der	w3_d315e10293
Capitain	w5_d315e10296
Bruyt	w7_d315e10299
der	w9_d315e10302
von	w11_d315e10305
Alicante	w13_d315e10309
im	w1_d315e10314
Texel	w3_d315e10317
ankam,	w5_d315e10320
unterm	w7_d315e10323
30sten	w9_d315e10326
Decemb.	w11_d315e10329
an	w1_d315e10335
die	w3_d315e10338
Admiralität	w5_d315e10341
erließ:	w7_d315e10344
</p>
<p id="p16_d315e10347">
Jch	w1_d315e10351
habe	w3_d315e10354
(schreibt	w5_d315e10357
er)	w7_d315e10360
5.	w9_d315e10363
Engländische	w11_d315e10366
Corsaren	w1_d315e10371
am	w3_d315e10374
Bord	w5_d315e10377
gehabt.	w7_d315e10380
Sie	w9_d315e10383
sind	w11_d315e10386
mit	w13_d315e10390
mir	w1_d315e10395
nicht	w3_d315e10398
wie	w5_d315e10401
Christen,	w7_d315e10404
sondern	w9_d315e10407
wie	w11_d315e10410
Bar	w13_d315e10414
baren	w1_d315e10420
umgegangen.	w3_d315e10423
Sie	w5_d315e10426
nahmen	w7_d315e10429
mir	w9_d315e10432
5.	w1_d315e10437
Sack=uhren,	w3_d315e10440
10.	w5_d315e10443
schwere	w7_d315e10446
Piasters,	w9_d315e10449
meine	w1_d315e10454
Schuh=schnallen,	w3_d315e10457
eine	w5_d315e10460
Halsschlief	w7_d315e10463
se,	w1_d315e10468
meine	w3_d315e10471
Perücken,	w5_d315e10474
Schuhe,	w7_d315e10477
7.	w9_d315e10480
Messer,	w11_d315e10483
Toback,	w1_d315e10489
und	w3_d315e10492
16.	w5_d315e10495
Körbe	w7_d315e10498
mit	w9_d315e10501
Mandeln.	w11_d315e10504
Sie	w13_d315e10508
schnitten	w1_d315e10513
die	w3_d315e10516
kleinen	w5_d315e10519
Wollen	w7_d315e10522
Ballen	w9_d315e10525
auf	w11_d315e10528
und	w1_d315e10533
leerten	w3_d315e10536
sie,	w5_d315e10539
um	w7_d315e10542
sich	w9_d315e10545
Platz	w11_d315e10548
zu	w13_d315e10552
machen	w15_d315e10555
</p>
<p id="p20_d315e10560">
aus.	w1_d315e10564
Jm	w3_d315e10567
Fall	w5_d315e10570
eines	w7_d315e10573
Widerstands,	w9_d315e10576
drohe	w11_d315e10579
ten	w1_d315e10584
sie	w3_d315e10587
uns	w5_d315e10590
mit	w7_d315e10593
der	w9_d315e10596
Pistol,	w11_d315e10599
und	w13_d315e10603
Säbel	w15_d315e10606
in	w17_d315e10609
der	w1_d315e10614
Faust.	w3_d315e10617
Kurz,	w5_d315e10620
sie	w7_d315e10623
lebten	w9_d315e10626
wie	w11_d315e10629
das	w13_d315e10633
Vieh,	w15_d315e10636
tranken	w1_d315e10642
den	w3_d315e10645
Brand=wein,	w5_d315e10648
und	w7_d315e10651
Wein	w9_d315e10654
wie	w11_d315e10657
Wasser,	w1_d315e10662
und	w3_d315e10665
warfen	w5_d315e10668
die	w7_d315e10671
Bouteillen	w9_d315e10674
weg.	w11_d315e10677
Jeder	w1_d315e10682
hatte	w3_d315e10685
ein	w5_d315e10688
Beil	w7_d315e10691
oder	w9_d315e10694
einen	w11_d315e10697
Säbel	w13_d315e10701
in	w15_d315e10704
der	w1_d315e10709
Hand,	w3_d315e10712
und	w5_d315e10715
sie	w7_d315e10718
giengen	w9_d315e10721
so	w11_d315e10724
mit	w13_d315e10728
uns	w15_d315e10731
um,	w17_d315e10734
daß	w1_d315e10740
es	w3_d315e10743
ein	w5_d315e10746
Schrecken	w7_d315e10749
war.,	w9_d315e10752
</p>
<head id="h2_d315e10771">
Wien	w1_d315e10775
den	w3_d315e10778
20.	w5_d315e10781
Januarii	w7_d315e10784
1759.	w9_d315e10787
</head>
<p id="p4_d315e10790">
Weyde	w1_d315e10794
Kaiserl.	w3_d315e10797
Majestäten	w5_d315e10800
samt	w7_d315e10803
Jhren	w9_d315e10806
Königl.	w1_d315e10811
Hoheiten	w3_d315e10814
denen	w5_d315e10817
Durchl.	w7_d315e10820
jun	w9_d315e10823
gen	w1_d315e10828
Herrschaften	w3_d315e10831
befinden	w5_d315e10834
sich	w7_d315e10837
in	w9_d315e10840
allseitig	w11_d315e10843
hohen	w1_d315e10849
Wol=seyn,	w3_d315e10852
und	w5_d315e10855
haben	w7_d315e10858
unter	w9_d315e10861
andern	w11_d315e10864
vergangenen	w1_d315e10869
Mittwoch	w3_d315e10872
Abends	w5_d315e10875
die	w7_d315e10878
erste	w9_d315e10881
Faschings=redoute	w1_d315e10886
in	w3_d315e10889
diesfällig	w5_d315e10892
kleineren	w7_d315e10895
Saal	w1_d315e10900
in	w3_d315e10903
allerhöchsten	w5_d315e10906
Augenschein	w7_d315e10909
zu	w9_d315e10912
neh	w11_d315e10915
men	w1_d315e10921
geruhet.	w3_d315e10924
</p>
<p id="p6_d315e10927">
Den	w1_d315e10931
16.	w3_d315e10934
dieses	w5_d315e10937
seynd	w7_d315e10940
für	w9_d315e10943
nachfolgende	w11_d315e10946
verstorbene	w1_d315e10951
Hoch=adeliche	w3_d315e10954
Sternkreutz	w5_d315e10957
ordens=damen	w1_d315e10962
die	w3_d315e10965
feyerliche	w5_d315e10968
Exequien	w7_d315e10971
in	w9_d315e10974
der	w1_d315e10980
Kaiserl.	w3_d315e10983
Königl.	w5_d315e10986
grossen	w7_d315e10989
Hof=capelle	w9_d315e10992
gehalten	w1_d315e10997
worden,	w3_d315e11000
benanntlichen	w5_d315e11003
für	w7_d315e11006
(Tit.)	w9_d315e11009
Frau	w1_d315e11014
Josepha	w3_d315e11017
Marchesin	w5_d315e11020
Dyve,	w7_d315e11023
geborne	w9_d315e11026
Gräfin	w1_d315e11031
von	w3_d315e11034
Neiperg,	w5_d315e11037
so	w7_d315e11040
zu	w9_d315e11043
Namur	w11_d315e11046
den	w13_d315e11050
15.	w1_d315e11056
Decemb.	w3_d315e11059
1758.	w5_d315e11062
und	w7_d315e11065
für	w9_d315e11068
(Tit.)	w11_d315e11071
Frau	w13_d315e11075
Barbara	w1_d315e11080
Freyin	w3_d315e11083
von	w5_d315e11086
Wunschwitz,	w7_d315e11089
geborne	w9_d315e11092
Gräfin	w1_d315e11097
von	w3_d315e11100
Lamberg,	w5_d315e11103
so	w7_d315e11106
zu	w9_d315e11109
Wien	w11_d315e11112
im	w13_d315e11116
Monat	w1_d315e11121
Decemb.	w3_d315e11124
1758.	w5_d315e11127
gestorben;	w7_d315e11130
gestern	w9_d315e11133
als	w1_d315e11139
den	w3_d315e11142
19.	w5_d315e11145
dies	w7_d315e11148
seynd	w9_d315e11151
abermalen	w11_d315e11154
für	w13_d315e11158
(Tit.)	w1_d315e11163
Frau	w3_d315e11166
Rosina	w5_d315e11169
Freyin	w7_d315e11172
von	w9_d315e11175
Laglberg,	w11_d315e11178
geborne	w1_d315e11183
Freyin	w3_d315e11186
von	w5_d315e11189
Leysern,	w7_d315e11192
welche	w9_d315e11195
zu	w11_d315e11198
St.	w1_d315e11203
Pölten	w3_d315e11206
den	w5_d315e11209
23.	w7_d315e11212
Dec.	w9_d315e11215
1758.	w11_d315e11218
und	w13_d315e11222
für	w15_d315e11225
(Tit.)	w1_d315e11231
Frau	w3_d315e11234
Veronica	w5_d315e11237
Gräfin	w7_d315e11240
von	w9_d315e11243
Sa	w11_d315e11246
renthein,	w1_d315e11251
geborne	w3_d315e11254
Gräfin	w5_d315e11257
von	w7_d315e11260
Thun,	w9_d315e11263
so	w11_d315e11266
zu	w1_d315e11271
Jnspruck	w3_d315e11274
1758.	w5_d315e11277
gestorben,	w7_d315e11280
die	w9_d315e11283
feyer	w11_d315e11286
liche	w1_d315e11291
Exequien	w3_d315e11294
gehalten	w5_d315e11297
worden.	w7_d315e11300
</p>
<p id="p8_d315e11303">
Künftigen	w1_d315e11307
Mittwoch	w3_d315e11310
als	w5_d315e11313
den	w7_d315e11316
24.	w9_d315e11319
dieses,	w11_d315e11322
wird	w1_d315e11327
alhier	w3_d315e11330
die	w5_d315e11333
Ziehung	w7_d315e11336
der	w9_d315e11339
Kaiserl.	w11_d315e11342
Königl.	w13_d315e11346
privilegirten	w1_d315e11351
Lotterie	w3_d315e11354
beschehen,	w5_d315e11357
und	w7_d315e11360
ist	w9_d315e11363
de	w11_d315e11366
nen	w1_d315e11372
Collectanten	w3_d315e11375
wegen	w5_d315e11378
Einrichtung	w7_d315e11381
ihrer	w9_d315e11384
Schlüsse,	w1_d315e11389
Tag	w3_d315e11392
und	w5_d315e11395
Stund,	w7_d315e11398
durch	w9_d315e11401
ein	w11_d315e11404
Avertissement	w1_d315e11409
bekannt	w3_d315e11412
gemacht	w5_d315e11415
worden.	w7_d315e11418
</p>
<head id="h2_d315e11424">
Lista	w1_d315e11428
deren	w3_d315e11431
Verstorbenen	w5_d315e11434
zu	w7_d315e11437
Wien	w9_d315e11440
in	w1_d315e11445
und	w3_d315e11448
vor	w5_d315e11451
der	w7_d315e11454
Stadt.	w9_d315e11457
Den	w1_d315e11462
16.	w3_d315e11465
Januarii.	w5_d315e11468
Jn	w1_d315e11474
der	w3_d315e11477
Stadt.	w5_d315e11480
</head>
<list id="l4_d315e11483">
Dem	w1_d315e11487
Wol=edel=geb.	w3_d315e11490
Hrn.	w5_d315e11493
Jgnatz	w7_d315e11496
Warlich	w9_d315e11499
v.	w11_d315e11502
Bub	w13_d315e11506
na,	w1_d315e11511
K.	w3_d315e11514
K.	w5_d315e11517
Feld=artillerie=stuck=haupt=m.,	w7_d315e11520
s.	w9_d315e11523
Fr.	w11_d315e11526
Jo	w13_d315e11530
hanna,	w1_d315e11535
geb.	w3_d315e11538
Otto	w5_d315e11541
v.	w7_d315e11544
Ottenfeld,	w9_d315e11547
im	w11_d315e11550
Kaiserl.	w13_d315e11554
Zeug	w15_d315e11557
H.,	w1_d315e11563
alt	w3_d315e11566
30.	w5_d315e11569
Dem	w1_d315e11574
Simon	w3_d315e11577
Winkelmayr,	w5_d315e11580
Burgerl.	w7_d315e11583
Bier=leut=geb.	w9_d315e11586
s.	w1_d315e11591
K.	w3_d315e11594
Jos.,	w5_d315e11597
im	w7_d315e11600
Neu=bad,	w9_d315e11603
alt	w11_d315e11606
7.	w13_d315e11610
v.	w15_d315e11613
J.	w17_d315e11616
</list>
<head id="h2_d315e11624">
Vor	w1_d315e11628
der	w3_d315e11631
Stadt.	w5_d315e11634
</head>
<list id="l4_d315e11637">
Dem	w1_d315e11641
August.	w3_d315e11644
Leitner,	w5_d315e11647
Burgerl.	w7_d315e11650
Strümpf=würk.,	w9_d315e11653
s.	w11_d315e11656
K.	w1_d315e11661
Anna,	w3_d315e11664
beyn	w5_d315e11667
2.	w7_d315e11670
Schweitz.	w9_d315e11673
bey	w11_d315e11676
Maria=hülf,	w13_d315e11680
alt	w1_d315e11685
10.	w3_d315e11688
J.	w5_d315e11691
Franz	w1_d315e11697
Bader,	w3_d315e11700
Burgerl.	w5_d315e11703
Schneid.,	w7_d315e11706
beym	w9_d315e11709
weis.	w11_d315e11712
Peli	w13_d315e11716
can	w1_d315e11721
auf	w3_d315e11724
der	w5_d315e11727
Wied.,	w7_d315e11730
alt	w9_d315e11733
57.	w11_d315e11736
J.	w13_d315e11740
Dem	w1_d315e11745
Jos.	w3_d315e11748
Petschko,	w5_d315e11751
Burgerl.	w7_d315e11754
Eisen=tändl,	w9_d315e11757
s.	w11_d315e11760
K.	w13_d315e11764
Anna,	w1_d315e11769
bey	w3_d315e11772
der	w5_d315e11775
gold.	w7_d315e11778
Preß	w9_d315e11781
auf	w11_d315e11784
der	w13_d315e11788
Wied.,	w15_d315e11791
2.	w17_d315e11794
J.	w19_d315e11797
Casp.	w1_d315e11803
Cäsar,	w3_d315e11806
Farben=mach.,	w5_d315e11809
beym	w7_d315e11812
gold.	w9_d315e11815
Rauch	w11_d315e11818
fang	w1_d315e11823
auf	w3_d315e11826
der	w5_d315e11829
Wied.,	w7_d315e11832
alt	w9_d315e11835
51.	w11_d315e11838
J.	w13_d315e11842
Lorenz	w1_d315e11847
Dentl,	w3_d315e11850
Schuh=mach,	w5_d315e11853
beyn	w7_d315e11856
3.	w9_d315e11859
Bind.	w11_d315e11862
an	w13_d315e11866
dem	w15_d315e11869
Spitalberg,	w1_d315e11874
alt	w3_d315e11877
40.	w5_d315e11880
J.	w7_d315e11883
Dem	w1_d315e11889
Pet.	w3_d315e11892
Pesler,	w5_d315e11895
Tischl.,	w7_d315e11898
s.	w9_d315e11901
K.	w11_d315e11904
Ant.,	w13_d315e11908
im	w15_d315e11911
Bruck	w17_d315e11914
neris.	w1_d315e11919
H.	w3_d315e11922
in	w5_d315e11925
der	w7_d315e11928
Rossau,	w9_d315e11931
alt	w11_d315e11934
4.	w13_d315e11938
J.	w15_d315e11941
Casp.	w1_d315e11946
Lanzenhofer,	w3_d315e11949
Tag=löhn.,	w5_d315e11952
im	w7_d315e11955
Reisingeris.	w9_d315e11958
H.	w11_d315e11961
zu	w1_d315e11966
Erdberg,	w3_d315e11969
alt	w5_d315e11972
55.	w7_d315e11975
J.	w9_d315e11978
Dem	w1_d315e11984
Joh.	w3_d315e11987
Lumerstorfer,	w5_d315e11990
Tag=löhn.,	w7_d315e11993
s.	w9_d315e11996
W.	w11_d315e11999
Anna,	w13_d315e12003
beym	w1_d315e12008
schwarz.	w3_d315e12011
Eleph.	w5_d315e12014
zu	w7_d315e12017
Margar.,	w9_d315e12020
alt	w11_d315e12023
71.	w13_d315e12027
Sebast=Reisinger,	w1_d315e12032
ar.	w3_d315e12035
M.,	w5_d315e12038
im	w7_d315e12041
Sonnen=hof,	w9_d315e12044
74.	w11_d315e12047
J.	w13_d315e12051
</list>
<head id="h2_d315e12058">
Summa	w1_d315e12062
11.	w3_d315e12065
Person.	w5_d315e12068
/	w7_d315e12071
darunter	w9_d315e12074
4.	w11_d315e12077
Kind.	w13_d315e12081
Den	w1_d315e12086
17.	w3_d315e12089
Januarii.	w5_d315e12092
Jn	w1_d315e12097
der	w3_d315e12100
Stadt.	w5_d315e12103
</head>
<list id="l4_d315e12106">
Hr.	w1_d315e12110
Lorenz	w3_d315e12113
Higler,	w5_d315e12116
K.	w7_d315e12119
K.	w9_d315e12122
Proviant=verwalt.,	w11_d315e12125
im	w13_d315e12129
Hof=schusteris.	w1_d315e12134
H.	w3_d315e12137
im	w5_d315e12140
Färber=gäs.,	w7_d315e12143
alt	w9_d315e12146
46.	w11_d315e12149
J.	w13_d315e12153
Hr.	w1_d315e12158
Joh.	w3_d315e12161
Bedall,	w5_d315e12164
gew.	w7_d315e12167
K.	w9_d315e12170
K.	w11_d315e12173
Niederlags=verw.,	w13_d315e12177
im	w15_d315e12180
Jausis.	w1_d315e12186
H.	w3_d315e12189
am	w5_d315e12192
Juden=platz,	w7_d315e12195
alt	w9_d315e12198
70.	w11_d315e12201
J.	w13_d315e12205
Dem	w1_d315e12210
Franz	w3_d315e12213
Weda,	w5_d315e12216
Buchdruckerey=verw.,	w7_d315e12219
s.	w9_d315e12222
K.	w11_d315e12225
Panl,	w13_d315e12229
im	w1_d315e12234
Schleifferis.	w3_d315e12237
H.	w5_d315e12240
in	w7_d315e12243
der	w9_d315e12246
Nagler=gas.,	w11_d315e12249
7.	w13_d315e12253
v.	w15_d315e12256
J.	w17_d315e12259
</list>
<head id="h2_d315e12266">
Vor	w1_d315e12270
der	w3_d315e12273
Stadt.	w5_d315e12276
</head>
<list id="l4_d315e12279">
Wittwe,	w1_d315e12283
im	w3_d315e12286
Baderis.	w5_d315e12289
H.	w7_d315e12292
auf	w9_d315e12295
der	w11_d315e12298
Anna	w1_d315e12303
Rottin,	w3_d315e12306
Wied.,	w1_d315e12311
alt	w3_d315e12314
80.	w5_d315e12317
J.	w7_d315e12320
Jacob	w1_d315e12326
Hütter,	w3_d315e12329
Vieh=mayr,	w5_d315e12332
in	w7_d315e12335
s.	w9_d315e12338
H.	w11_d315e12341
zu	w13_d315e12345
Erdb.	w15_d315e12348
45.	w17_d315e12351
J.	w19_d315e12354
Theres.	w1_d315e12359
Lebecka,	w3_d315e12362
led.	w5_d315e12365
M.,	w7_d315e12368
beym	w9_d315e12371
gut.	w11_d315e12374
Hirt.	w13_d315e12378
im	w15_d315e12381
Liech	w17_d315e12384
tenth.,	w1_d315e12389
alt	w3_d315e12392
32.	w5_d315e12395
J.	w7_d315e12398
Dem	w1_d315e12403
Thob.	w3_d315e12406
ztmayr,	w1_d315e12412
Jnvalid.,	w3_d315e12415
s.	w5_d315e12418
W.	w7_d315e12421
Anna,	w9_d315e12424
im	w11_d315e12427
Strudel=hof,	w1_d315e12432
alt	w3_d315e12435
63.	w5_d315e12438
J.	w7_d315e12441
</list>
<head id="h2_d315e12448">
Summa	w1_d315e12452
7.	w3_d315e12455
Person.	w1_d315e12460
/	w3_d315e12463
darunter	w5_d315e12466
1.	w7_d315e12469
Kind.	w9_d315e12472
Den	w1_d315e12477
18.	w3_d315e12480
Januarii.	w5_d315e12483
Jn	w1_d315e12489
der	w3_d315e12492
Stadt.	w5_d315e12495
</head>
<list id="l4_d315e12498">
Jhre	w1_d315e12502
Excell.	w3_d315e12505
die	w5_d315e12508
Hoch	w7_d315e12511
und	w9_d315e12514
Wol=geb.	w11_d315e12517
Fr.	w13_d315e12521
Fr.	w15_d315e12524
Maria	w17_d315e12527
Theres.	w1_d315e12532
verwit.	w3_d315e12535
Gräfin	w5_d315e12538
v.	w7_d315e12541
Sereni,	w9_d315e12544
geb.	w11_d315e12547
Grafin	w13_d315e12551
v.	w15_d315e12554
Sternberg,	w1_d315e12559
im	w3_d315e12562
Rosenbergis.	w5_d315e12565
H.	w7_d315e12568
in	w9_d315e12571
der	w11_d315e12574
Dorothe	w13_d315e12578
2	w1_d315e12584
gas.,	w1_d315e12589
alt	w3_d315e12592
81.	w5_d315e12595
</list>
<list id="l8_d315e12601">
Dem	w1_d315e12605
Wol=edel=gestr.	w3_d315e12608
Hrn.	w5_d315e12611
Carl	w7_d315e12614
Jos.	w9_d315e12617
Breuninger,	w11_d315e12620
K.	w1_d315e12625
K.	w3_d315e12628
Universal=cämeral=zahl=amts=caßiern,	w5_d315e12631
s.	w7_d315e12634
Fr.	w9_d315e12637
Anna	w1_d315e12642
Sabina,	w3_d315e12645
im	w5_d315e12648
Walleris.	w7_d315e12651
H.	w9_d315e12654
beym	w11_d315e12657
Kärntner	w13_d315e12661
thor,	w1_d315e12667
alt	w3_d315e12670
38.	w5_d315e12673
J.	w7_d315e12676
Ludw.	w1_d315e12681
Prenter,	w3_d315e12684
Lack,	w5_d315e12687
im	w7_d315e12690
Margar=hof,	w9_d315e12693
alt	w11_d315e12696
33.	w13_d315e12700
J.	w15_d315e12703
</list>
<head id="h2_d315e12710">
Vor	w1_d315e12714
der	w3_d315e12717
Stadt.	w5_d315e12720
</head>
<list id="l4_d315e12723">
Dem	w1_d315e12727
Mich.	w3_d315e12730
Weidinger,	w5_d315e12733
Burgerl.	w7_d315e12736
Kuchel=gart.,	w9_d315e12739
s.	w11_d315e12742
W.	w1_d315e12747
Theres.,	w3_d315e12750
im	w5_d315e12753
Ohrlesteris.	w7_d315e12756
H.	w9_d315e12759
untern	w11_d315e12762
Felbern,	w13_d315e12766
alt	w1_d315e12771
30.	w3_d315e12774
J.	w5_d315e12777
Cathar.	w1_d315e12783
Wallia,	w3_d315e12786
Wittwe,	w5_d315e12789
im	w7_d315e12792
Mahleris.	w9_d315e12795
H.	w11_d315e12798
oberm	w13_d315e12802
Neustift,	w1_d315e12807
alt	w3_d315e12810
89.	w5_d315e12813
J.	w7_d315e12816
Judith	w1_d315e12821
Hollin,	w3_d315e12824
Wittwe,	w5_d315e12827
bey	w7_d315e12830
der	w9_d315e12833
gold.	w11_d315e12836
Kanne	w13_d315e12840
in	w15_d315e12843
der	w1_d315e12848
Josephst.,	w3_d315e12851
alt	w5_d315e12854
70.J	w7_d315e12857
Susan.	w1_d315e12863
Zismatschin,	w3_d315e12866
Wittwe,	w5_d315e12869
beym	w7_d315e12872
grün.	w9_d315e12875
Kranz	w11_d315e12878
am	w1_d315e12883
Neubau,	w3_d315e12886
alt	w5_d315e12889
73.	w7_d315e12892
J.	w9_d315e12895
Jos.	w1_d315e12900
Leßner,	w3_d315e12903
im	w5_d315e12906
Sonnen=hof,	w7_d315e12909
alt	w9_d315e12912
54.	w11_d315e12915
J.	w13_d315e12919
Dem	w1_d315e12924
Jos.	w3_d315e12927
Prickl,	w5_d315e12930
Tag=löhn.,	w7_d315e12933
s.	w9_d315e12936
W.	w11_d315e12939
Anna,	w13_d315e12943
bey	w15_d315e12946
der	w17_d315e12949
schon.	w1_d315e12955
Schäf.	w3_d315e12958
am	w5_d315e12961
Himmel=pfort=gr.,	w7_d315e12964
alt	w9_d315e12967
48.	w11_d315e12970
J.	w13_d315e12974
</list>
<head id="h2_d315e12981">
Summa	w1_d315e12985
9.	w3_d315e12988
Person.	w5_d315e12991
darunter	w7_d315e12994
0.	w9_d315e12997
Kind.	w11_d315e13000
EDICT.	w1_d315e13005
</head>
<list id="l4_d315e13008">
.	w1_d315e13012
</list>
<p id="p6_d315e13016">
Von	w1_d315e13020
der	w3_d315e13023
N.	w5_d315e13026
Oe.	w7_d315e13029
Regierung	w9_d315e13032
in	w11_d315e13035
Justitz=sachen	w13_d315e13039
wegen,	w1_d315e13044
wird	w3_d315e13047
mit	w5_d315e13050
gegenwärtig=offenen	w7_d315e13053
Edict	w9_d315e13056
jedermann	w1_d315e13061
sowol	w3_d315e13064
An	w5_d315e13067
als	w7_d315e13070
Abwesenden,	w9_d315e13073
deme	w11_d315e13076
da	w13_d315e13080
ran	w1_d315e13086
gelegen	w3_d315e13089
ist,	w5_d315e13092
kund	w7_d315e13095
und	w9_d315e13098
zu	w11_d315e13101
wissen	w13_d315e13105
gethan:	w15_d315e13108
Es	w17_d315e13111
seye	w1_d315e13116
die	w3_d315e13119
Frau	w5_d315e13122
Maria	w7_d315e13125
Anna	w9_d315e13128
Gräfin	w11_d315e13131
von	w13_d315e13135
Pagani	w15_d315e13138
geborne	w1_d315e13143
von	w3_d315e13146
Lamheim	w5_d315e13149
verstorben,	w7_d315e13152
und	w9_d315e13155
habe	w11_d315e13158
so	w13_d315e13162
wol	w1_d315e13167
in	w3_d315e13170
Kraft	w5_d315e13173
des	w7_d315e13176
errichteten	w9_d315e13179
Ehe=vertrags,	w11_d315e13182
als	w13_d315e13186
auch	w1_d315e13192
ihrer	w3_d315e13195
nachgelassenen	w5_d315e13198
letzten	w7_d315e13201
Willensverord	w9_d315e13204
nung	w1_d315e13209
ihren	w3_d315e13212
Herrn	w5_d315e13215
Ehe=gemahl	w7_d315e13218
Jnnocentium	w9_d315e13221
Sylvestrum	w1_d315e13226
Grafen	w3_d315e13229
von	w5_d315e13232
Pagani,	w7_d315e13235
als	w9_d315e13238
allgemei	w11_d315e13241
nen	w1_d315e13246
Erben	w3_d315e13249
ihres	w5_d315e13252
ganzen	w7_d315e13255
Vermögens	w9_d315e13258
bestimmet;	w11_d315e13261
nachdeme	w1_d315e13267
nun	w3_d315e13270
derselbe	w5_d315e13273
unterm	w7_d315e13276
11.	w9_d315e13279
Julii	w11_d315e13282
dieses	w13_d315e13286
Jahrs	w1_d315e13291
sich	w3_d315e13294
cum	w5_d315e13297
beneficio	w7_d315e13300
legis	w9_d315e13303
&	w11_d315e13306
inventarii	w13_d315e13310
Erbs	w15_d315e13313
erkläret,	w1_d315e13318
und	w3_d315e13321
sodann	w5_d315e13324
unterm	w7_d315e13327
28.	w9_d315e13330
Septemb.	w11_d315e13333
geziem	w13_d315e13337
mend	w1_d315e13342
gebetten	w3_d315e13345
hat,	w5_d315e13348
daß	w7_d315e13351
zur	w9_d315e13354
Ausfindig=machung	w11_d315e13357
deren	w1_d315e13363
etwann	w3_d315e13366
ihm	w5_d315e13369
unbekannten	w7_d315e13372
Schulden	w9_d315e13375
die	w11_d315e13378
Glau	w13_d315e13382
biger	w1_d315e13387
seiner	w3_d315e13390
abgelebten	w5_d315e13393
Frau	w7_d315e13396
Gemahlin	w9_d315e13399
durch	w11_d315e13402
of	w13_d315e13406
fentliche	w1_d315e13411
Edicta	w3_d315e13414
vorgeforderet	w5_d315e13417
werden	w7_d315e13420
mochten;	w9_d315e13423
Sie	w1_d315e13428
N.	w3_d315e13431
Oe.	w5_d315e13434
Regierung	w7_d315e13437
auch	w9_d315e13440
diesem	w11_d315e13443
Bitten,	w13_d315e13447
um	w15_d315e13450
zur	w1_d315e13456
Abhandlung	w3_d315e13459
sothaner	w5_d315e13462
Verlassenschaft	w7_d315e13465
sicher,	w9_d315e13468
und	w1_d315e13473
zuverläßig	w3_d315e13476
vorschreitten	w5_d315e13479
zu	w7_d315e13482
können	w9_d315e13485
zu	w11_d315e13488
willfah	w13_d315e13492
ren,	w1_d315e13497
und	w3_d315e13500
alle	w5_d315e13503
an	w7_d315e13506
dieser	w9_d315e13509
Verlassenschaft	w11_d315e13512
Theil	w13_d315e13516
Neh	w15_d315e13519
mende,	w1_d315e13524
sowol	w3_d315e13527
in	w5_d315e13530
als	w7_d315e13533
ausser	w9_d315e13536
deren	w11_d315e13539
Erb=ländern	w13_d315e13543
be	w15_d315e13546
findliche	w1_d315e13552
Personen	w3_d315e13555
zur	w5_d315e13558
Legitimir	w7_d315e13561
und	w9_d315e13564
Liquidirung	w11_d315e13567
ihrer	w1_d315e13572
an	w3_d315e13575
Eingangs	w5_d315e13578
gemeldete	w7_d315e13581
Verlassenschaft	w9_d315e13584
ex	w11_d315e13587
quacunque	w1_d315e13592
causa	w3_d315e13595
vel	w5_d315e13598
titulo	w7_d315e13601
habenden	w9_d315e13604
Spruchen	w11_d315e13607
und	w1_d315e13612
Forderungen	w3_d315e13615
vorzuladen,	w5_d315e13618
und	w7_d315e13621
vorzuforderen	w9_d315e13624
so	w1_d315e13630
billich	w3_d315e13633
als	w5_d315e13636
nöhtig	w7_d315e13639
gefunden	w9_d315e13642
hat.	w11_d315e13645
