<doc id="wr_1757-12-17" attrs="word" year="1757" month="12" day="17" corpus="2">
<head id="h2_d203e3207">
Nieder=elbe	w1_d203e3211
Uhr	w3_d203e10536
am	w5_d203e10539
heftigsten,	w7_d203e10542
dahero	w9_d203e10545
man	w11_d203e10548
sich	w13_d203e10552
alle	w15_d203e10555
Au	w17_d203e10558
geneblicke	w1_d203e10563
vorstellete,	w3_d203e10566
das	w5_d203e10569
Schloß	w7_d203e10572
darnieder	w9_d203e10575
fallen	w1_d203e10580
zu	w3_d203e10583
sehen,	w5_d203e10586
dessen	w7_d203e10589
Thurn=spitze	w9_d203e10592
man	w11_d203e10595
aber	w13_d203e10599
noch	w1_d203e10605
beständig	w3_d203e10608
wahrnehmen	w5_d203e10611
konte.	w7_d203e10614
Nach	w9_d203e10617
be	w11_d203e10620
meldeter	w1_d203e10625
Zeit	w3_d203e10628
hörete	w5_d203e10631
das	w7_d203e10634
Schiessen	w9_d203e10637
völlig	w11_d203e10640
auf	w13_d203e10644
</p>
<p id="p10_d203e10657">
Man	w1_d203e10661
bildete	w3_d203e10664
sich	w5_d203e10667
ein	w7_d203e10670
es	w9_d203e10673
würde	w11_d203e10676
dasselbe,	w13_d203e10680
waln	w15_d203e10683
der	w1_d203e10688
Mond	w3_d203e10691
aufgienge,	w5_d203e10694
wieder	w7_d203e10697
angehen;	w9_d203e10700
man	w11_d203e10703
hat	w1_d203e10708
es	w3_d203e10711
aber	w5_d203e10714
diese	w7_d203e10717
ganze	w9_d203e10720
Nacht,	w11_d203e10723
auch	w13_d203e10727
diesen	w15_d203e10730
Morgen	w1_d203e10736
nicht	w3_d203e10739
wieder	w5_d203e10742
gehöret.	w7_d203e10745
</p>
<p id="p12_d203e10749">
Das	w1_d203e10753
Groß	w3_d203e10756
der	w5_d203e10759
Hannöverischen	w7_d203e10762
Armee	w9_d203e10765
bey	w1_d203e10770
welcher	w3_d203e10773
vorgestern	w5_d203e10776
die	w7_d203e10779
Hessen,	w9_d203e10782
und	w11_d203e10785
alle	w13_d203e10789
übrige	w1_d203e10794
Trupen,	w3_d203e10797
ausser	w5_d203e10800
2.	w7_d203e10803
Regimentern,	w9_d203e10806
die	w11_d203e10809
in	w13_d203e10813
Stade	w1_d203e10819
zur	w3_d203e10822
Besatzung	w5_d203e10825
geblieben,	w7_d203e10828
eingetroffen	w9_d203e10831
seynd,	w1_d203e10836
ist	w3_d203e10839
schon	w5_d203e10842
vor	w7_d203e10845
der	w9_d203e10848
Beschiessung	w11_d203e10851
des	w13_d203e10855
Har	w15_d203e10858
burger=schlosses	w1_d203e10863
näher	w3_d203e10866
gegen	w5_d203e10869
Lüneburg	w7_d203e10872
fortge	w9_d203e10875
rücket	w1_d203e10880
gewesen,	w3_d203e10883
von	w5_d203e10886
wannen,	w7_d203e10889
zufolge	w9_d203e10892
einiger	w11_d203e10895
Berichte,	w1_d203e10901
die	w3_d203e10904
Armee	w5_d203e10907
des	w7_d203e10910
Herzogs	w9_d203e10913
von	w11_d203e10916
Riche	w13_d203e10920
lieu	w1_d203e10925
ebenfalls	w3_d203e10928
in	w5_d203e10931
Bewegung	w7_d203e10934
seyn	w9_d203e10937
soll,	w11_d203e10940
so,	w13_d203e10944
daß	w15_d203e10947
man	w1_d203e10952
auf	w3_d203e10955
diese	w5_d203e10958
Weise	w7_d203e10961
bald	w9_d203e10964
von	w11_d203e10967
einem	w13_d203e10971
wichti	w15_d203e10974
gen	w1_d203e10979
Vorfall	w3_d203e10982
zu	w5_d203e10985
hören	w7_d203e10988
haben	w9_d203e10991
dörfte.	w11_d203e10994
</p>
<head id="h2_d203e11000">
Eben	w1_d203e11004
alda	w3_d203e11007
den	w5_d203e11010
2.	w7_d203e11013
December.	w9_d203e11016
</head>
<p id="p4_d203e11019">
Wir	w1_d203e11023
hatten	w3_d203e11026
gestern	w5_d203e11029
den	w7_d203e11032
Bericht	w9_d203e11035
von	w11_d203e11038
Altona	w13_d203e11042
kaum	w1_d203e11047
geschrieben,	w3_d203e11050
und	w5_d203e11053
abdrucken	w7_d203e11056
lassen,	w9_d203e11059
so	w11_d203e11062
vernahmen	w1_d203e11067
wir,	w3_d203e11070
daß	w5_d203e11073
Vormittags	w7_d203e11076
zwey	w9_d203e11079
Fran	w11_d203e11082
zösische	w1_d203e11088
Soldaten	w3_d203e11091
aus	w5_d203e11094
dem	w7_d203e11097
Schlosse	w9_d203e11100
von	w11_d203e11103
Har	w13_d203e11107
burg	w1_d203e11112
in	w3_d203e11115
Hamburg	w5_d203e11118
angekommen	w7_d203e11121
wären.	w9_d203e11124
Das	w11_d203e11127
Haupt=sächlichste	w1_d203e11132
ihrer	w3_d203e11135
Erzehlung	w5_d203e11138
ist	w7_d203e11141
ungefähr	w9_d203e11144
dieses	w1_d203e11149
gewesen:	w3_d203e11152
Die	w5_d203e11155
Bemühung	w7_d203e11158
der	w9_d203e11161
Han	w11_d203e11164
"noveraner,	w1_d203e11170
das	w3_d203e11173
Schloß	w5_d203e11176
zur	w7_d203e11179
Uber	w9_d203e11182
gabe	w11_d203e11185
zu	w13_d203e11189
"zwingen,	w1_d203e11194
ist	w3_d203e11197
die	w5_d203e11200
vorige	w7_d203e11203
Nacht	w9_d203e11206
vergeblich	w11_d203e11209
ge	w13_d203e11213
wesen.	w1_d203e11218
Jhre	w3_d203e11221
Bomben	w5_d203e11224
haben	w7_d203e11227
das	w9_d203e11230
Schloß	w11_d203e11233
/gar	w1_d203e11238
nicht	w3_d203e11241
erreichet;	w5_d203e11244
sie	w7_d203e11247
seynd	w9_d203e11250
in	w11_d203e11253
der	w13_d203e11257
Luft	w15_d203e11260
zer	w17_d203e11263
"platzet,	w1_d203e11269
ehe	w3_d203e11272
sie	w5_d203e11275
dahin	w7_d203e11278
gekommen.	w9_d203e11281
Von	w11_d203e11284
ihren	w13_d203e11288
"Canon=kugeln	w1_d203e11293
seynd	w3_d203e11296
nur	w5_d203e11299
16.	w7_d203e11302
zur	w9_d203e11305
Stelle	w11_d203e11308
ge	w13_d203e11312
/	w1_d203e11317
kommen.	w3_d203e11320
Die	w5_d203e11323
Casematten	w7_d203e11326
der	w9_d203e11329
Wälle	w11_d203e11332
haben	w13_d203e11336
uns	w1_d203e11341
darwider	w3_d203e11344
in	w5_d203e11347
Sicherheit	w7_d203e11350
gesetzet.	w9_d203e11353
Wir	w11_d203e11356
haben	w1_d203e11362
zwey	w3_d203e11365
Todte,	w5_d203e11368
unter	w7_d203e11371
welchen	w9_d203e11374
sich	w11_d203e11377
ein	w13_d203e11381
Bedienter	w1_d203e11386
des	w3_d203e11389
Herrn	w5_d203e11392
Perreuse	w7_d203e11395
befindet,	w9_d203e11398
und	w11_d203e11401
17.	w1_d203e11406
Verwundete	w3_d203e11409
gehabt.”	w5_d203e11412
Es	w7_d203e11415
ist	w9_d203e11418
hierbey	w11_d203e11421
an	w13_d203e11425
zumerken,	w1_d203e11430
daß	w3_d203e11433
die	w5_d203e11436
Erzehlende	w7_d203e11439
nicht	w9_d203e11442
etwann	w11_d203e11445
heimlich	w1_d203e11451
Entwischte,	w3_d203e11454
sondern	w5_d203e11457
Abgesandte	w7_d203e11460
wa	w9_d203e11463
ren.	w1_d203e11468
Damit	w3_d203e11471
sie	w5_d203e11474
von	w7_d203e11477
denen	w9_d203e11480
Hannöverischen	w11_d203e11483
Trupen,	w1_d203e11488
welche	w3_d203e11491
die	w5_d203e11494
vorligende	w7_d203e11497
Jnsuln	w9_d203e11500
bey	w11_d203e11503
Har	w13_d203e11507
burg	w1_d203e11512
besetzet	w3_d203e11515
hatten,	w5_d203e11518
nicht	w7_d203e11521
ertappet	w9_d203e11524
werden	w11_d203e11527
mögen,	w1_d203e11533
so	w3_d203e11536
haben	w5_d203e11539
sie	w7_d203e11542
sich,	w9_d203e11545
zufolge	w11_d203e11548
der	w13_d203e11552
Erzeh	w15_d203e11555
lung,	w1_d203e11560
auf	w3_d203e11563
dem	w5_d203e11566
Schiffe,	w7_d203e11569
mit	w9_d203e11572
welchem	w11_d203e11575
sie	w13_d203e11579
über	w15_d203e11582
gekommen	w1_d203e11587
seynd,	w3_d203e11590
und	w5_d203e11593
worauf	w7_d203e11596
jene	w9_d203e11599
keine	w11_d203e11602
Fran	w13_d203e11606
zosen	w1_d203e11611
vermutet,	w3_d203e11614
unter	w5_d203e11617
etwas	w7_d203e11620
Stroh	w9_d203e11623
versteckt	w11_d203e11626
gehabt.	w1_d203e11632
</p>
<p id="p6_d203e11635">
Mit	w1_d203e11639
der	w3_d203e11642
Hannöverischen	w5_d203e11645
Post,	w7_d203e11648
welche	w9_d203e11651
ge	w11_d203e11654
stern	w1_d203e11659
um	w3_d203e11662
Mittag	w5_d203e11665
über	w7_d203e11668
Harburg	w9_d203e11671
ankam,	w11_d203e11674
ver	w13_d203e11678
nahm	w1_d203e11683
man	w3_d203e11686
folgendes:	w5_d203e11689
Die	w1_d203e11695
Franzosen	w3_d203e11698
haben	w5_d203e11701
</p>
<p id="p8_d203e11704">
isich	w1_d203e11708
zwar	w3_d203e11711
bishero	w5_d203e11714
noch	w7_d203e11717
in	w9_d203e11720
dem	w11_d203e11723
Schlosse	w13_d203e11727
gehal	w15_d203e11730
liten,	w1_d203e11735
weil	w3_d203e11738
man	w5_d203e11741
dasselbe	w7_d203e11744
nicht	w9_d203e11747
gerne	w11_d203e11750
hat	w13_d203e11754
zu	w15_d203e11757
Grunde	w1_d203e11762
richten	w3_d203e11765
wollen;	w5_d203e11768
doch	w7_d203e11771
wann	w9_d203e11774
sie	w11_d203e11777
sich	w13_d203e11781
"auf	w1_d203e11787
Hülfe	w3_d203e11790
von	w5_d203e11793
der	w7_d203e11796
Armee	w9_d203e11799
des	w11_d203e11802
Herzogs	w13_d203e11806
von	w15_d203e11809
Richelieu	w1_d203e11814
verlassen,	w3_d203e11817
so	w5_d203e11820
dörfte	w7_d203e11823
ihre	w9_d203e11826
Hofnung	w11_d203e11829
wol	w1_d203e11834
irren.	w3_d203e11837
Der	w5_d203e11840
Herzog	w7_d203e11843
Ferdinand	w9_d203e11846
ist	w11_d203e11849
der	w13_d203e11853
lfeindlichen	w1_d203e11858
Armee	w3_d203e11861
entgegen	w5_d203e11864
gerücket,	w7_d203e11867
und	w9_d203e11870
fer	w11_d203e11873
tig,	w1_d203e11879
falls	w3_d203e11882
diese	w5_d203e11885
anders	w7_d203e11888
Lust	w9_d203e11891
darzu	w11_d203e11894
hat,	w13_d203e11898
sich	w15_d203e11901
mit	w17_d203e11904
hr	w1_d203e11909
zu	w3_d203e11912
messen.	w5_d203e11915
Nur	w7_d203e11918
ungefähr	w9_d203e11921
4000.	w11_d203e11924
Mann	w13_d203e11928
seynd	w1_d203e11933
vor	w3_d203e11936
dem	w5_d203e11939
Schlosse	w7_d203e11942
geblieben,	w9_d203e11945
dessen	w11_d203e11948
Besatzung	w1_d203e11953
sich	w3_d203e11956
ohne	w5_d203e11959
weitere	w7_d203e11962
Beschiessung	w9_d203e11965
/	w1_d203e11971
wird	w3_d203e11974
ergeben	w5_d203e11977
müssen,	w7_d203e11980
obgleich	w9_d203e11983
in	w11_d203e11986
voriger	w13_d203e11990
Nacht	w1_d203e11995
eine	w3_d203e11998
neue	w5_d203e12001
Batterie	w7_d203e12004
von	w9_d203e12007
6.	w11_d203e12010
schweren	w13_d203e12014
Canonen	w1_d203e12019
alda	w3_d203e12022
fertig	w5_d203e12025
geworden	w7_d203e12028
ist.	w9_d203e12031
</p>
<head id="h2_d203e12037">
Lisabon,	w1_d203e12041
18.	w3_d203e12044
Novemb.	w5_d203e12047
</head>
<p id="p4_d203e12050">
Das	w1_d203e12054
Gouvernement	w3_d203e12057
der	w5_d203e12060
grossen	w7_d203e12063
Brasilischen	w9_d203e12066
Provinz	w1_d203e12071
Maragnan	w3_d203e12074
haben	w5_d203e12077
Se.	w7_d203e12080
Majestät	w9_d203e12083
der	w11_d203e12086
König	w1_d203e12091
dem	w3_d203e12094
Don	w5_d203e12097
Joseph	w7_d203e12100
d'Acunha,	w9_d203e12103
dem	w11_d203e12106
Bru	w13_d203e12110
des	w1_d203e12116
Staats=secretarii	w3_d203e12119
dieses	w5_d203e12122
Namens,	w7_d203e12125
erthei	w9_d203e12128
let,	w1_d203e12133
und	w3_d203e12136
Don	w5_d203e12139
Louis	w7_d203e12142
Quedez	w9_d203e12145
Mendoza	w11_d203e12148
wird	w13_d203e12152
ohne	w1_d203e12157
Zweifel	w3_d203e12160
mit	w5_d203e12163
dem	w7_d203e12166
Titul	w9_d203e12169
eines	w11_d203e12172
Grafens	w13_d203e12176
von	w15_d203e12179
Murcia	w1_d203e12184
zum	w3_d203e12187
Vice=könig	w5_d203e12190
von	w7_d203e12193
Goa	w9_d203e12196
erkläret	w11_d203e12199
werden.	w1_d203e12205
</p>
<head id="h2_d203e12211">
Prag	w1_d203e12215
12.	w3_d203e12218
December.	w5_d203e12221
</head>
<p id="p4_d203e12224">
Die	w1_d203e12228
von	w3_d203e12231
der	w5_d203e12234
Kaiserl.	w7_d203e12237
Königl.	w9_d203e12240
Armee	w11_d203e12243
den	w13_d203e12247
22sten	w1_d203e12252
vorigen	w3_d203e12255
Monats	w5_d203e12258
bey	w7_d203e12261
Breßlau	w9_d203e12264
erfoch	w11_d203e12267
tene	w1_d203e12272
herrliche	w3_d203e12275
Victorie	w5_d203e12278
hat	w7_d203e12281
unter	w9_d203e12284
andern	w11_d203e12287
die	w13_d203e12291
Folge	w1_d203e12297
gehabt,	w3_d203e12300
daß	w5_d203e12303
das	w7_d203e12306
unter	w9_d203e12309
Commando	w11_d203e12312
des	w13_d203e12316
Feld=marschallen	w1_d203e12321
Keith	w3_d203e12324
eingedrungene	w5_d203e12327
feindli	w7_d203e12330
che	w1_d203e12335
Corps,	w3_d203e12338
wovon	w5_d203e12341
einige	w7_d203e12344
Detaschements	w9_d203e12347
bis	w11_d203e12350
Postelberg,	w1_d203e12355
Laun,	w3_d203e12358
Leutmeritz	w5_d203e12361
und	w7_d203e12364
Budin	w9_d203e12367
vor	w11_d203e12370
gerucket,	w1_d203e12376
wiederum	w3_d203e12379
seinen	w5_d203e12382
Ruck=marsch	w7_d203e12385
über	w9_d203e12388
Commotau	w1_d203e12393
in	w3_d203e12396
das	w5_d203e12399
Sächsische	w7_d203e12402
genommen	w9_d203e12405
hat.	w1_d203e12410
</p>
<p id="p6_d203e12413">
Vor	w1_d203e12417
etwelchen	w3_d203e12420
Tägen	w5_d203e12423
seynd	w7_d203e12426
hier	w9_d203e12429
auf	w11_d203e12432
einmal	w13_d203e12436
250	w1_d203e12441
Prußische	w3_d203e12444
Deserteurs,	w5_d203e12447
so	w7_d203e12450
zu	w9_d203e12453
Schweid	w11_d203e12456
niz	w1_d203e12461
entwichen	w3_d203e12464
seynd,	w5_d203e12467
angekommen,	w7_d203e12470
und	w9_d203e12473
aus	w11_d203e12476
der	w1_d203e12482
Gegend	w3_d203e12485
von	w5_d203e12488
Pilsen,	w7_d203e12491
lauffen	w9_d203e12494
allenthalben	w11_d203e12497
die	w1_d203e12502
vorläuffige	w3_d203e12505
Nachrichten	w5_d203e12508
ein,	w7_d203e12511
daß	w9_d203e12514
der	w11_d203e12517
dor	w13_d203e12521
tige	w1_d203e12526
Kreiß	w3_d203e12529
von	w5_d203e12532
dergleichen	w7_d203e12535
Deserteurs	w9_d203e12538
wim	w11_d203e12541
melte,	w1_d203e12546
welche	w3_d203e12549
von	w5_d203e12552
dem	w7_d203e12555
Feldmarschall	w9_d203e12558
Kei	w11_d203e12561
thischen,	w1_d203e12567
in	w3_d203e12570
hiesige	w5_d203e12573
Lande	w7_d203e12576
eingedrungenen	w9_d203e12579
Corps	w1_d203e12584
kommen,	w3_d203e12587
und	w5_d203e12590
sich	w7_d203e12593
nach	w9_d203e12596
dem	w11_d203e12599
R.	w13_d203e12603
wenden.	w1_d203e12608
</p>
<head id="h4_d203e12624">
Kurz=gefäßte	w1_d203e12628
Nachrichten.	w3_d203e12631
</head>
<head id="h2_d203e12638">
Es	w1_d203e12642
geben	w3_d203e12645
die	w5_d203e12648
Briefe	w7_d203e12651
</head>
<p id="p4_d203e12654">
Von	w1_d203e12658
Cöln:	w3_d203e12661
daß	w5_d203e12664
man	w7_d203e12667
in	w9_d203e12670
dasigen	w11_d203e12673
Gegen	w13_d203e12677
den	w1_d203e12682
ehestens	w3_d203e12685
ein	w5_d203e12688
Corpo	w7_d203e12691
von	w9_d203e12694
16000.	w11_d203e12697
Mann	w13_d203e12701
Französischer	w1_d203e12706
Cavallerie	w3_d203e12709
aus	w5_d203e12712
Frankreich	w7_d203e12715
er	w9_d203e12718
warte,	w1_d203e12724
welches	w3_d203e12727
denen	w5_d203e12730
Trupen	w7_d203e12733
im	w9_d203e12736
Hannöveri	w11_d203e12739
schen	w1_d203e12744
zur	w3_d203e12747
Verstärkung	w5_d203e12750
dienen	w7_d203e12753
soll.	w9_d203e12756
Und	w11_d203e12759
das	w13_d203e12763
von	w1_d203e12768
Zeit	w3_d203e12771
zu	w5_d203e12774
Zeit	w7_d203e12777
ansehnliche	w9_d203e12780
Transports	w11_d203e12783
Re	w13_d203e12787
crouten	w1_d203e12792
nach	w3_d203e12795
dem	w5_d203e12798
Westphälischen	w7_d203e12801
abgehen,	w9_d203e12804
von	w1_d203e12810
da	w3_d203e12813
sie	w5_d203e12816
sich	w7_d203e12819
zu	w9_d203e12822
ihren	w11_d203e12825
bestimmten	w13_d203e12829
Corps	w15_d203e12832
begeben.	w1_d203e12837
Ein	w3_d203e12840
grosser	w5_d203e12843
Theil	w7_d203e12846
der	w9_d203e12849
Französischen	w11_d203e12852
Garde	w1_d203e12857
solle	w3_d203e12860
gleichfalls	w5_d203e12863
Ordre	w7_d203e12866
erhalten	w9_d203e12869
haben,	w11_d203e12872
nach	w1_d203e12877
Nieder=teutschland	w3_d203e12880
aufzubrechen.	w5_d203e12883
</p>
<p id="p6_d203e12886">
Die	w1_d203e12890
Pariser=zeitung	w3_d203e12893
enthält	w5_d203e12896
wiederum	w7_d203e12899
eine	w9_d203e12902
lange	w1_d203e12907
Liste	w3_d203e12910
v	w5_d203e12913
eroberten	w7_d203e12916
Engländischen=schiffen,	w9_d203e12919
unter	w1_d203e12924
welchen	w3_d203e12927
sich	w5_d203e12930
ein	w7_d203e12933
Engländischer	w9_d203e12936
Kaper	w11_d203e12939
befin	w13_d203e12943
det,	w1_d203e12949
der	w3_d203e12952
vormals	w5_d203e12955
nach	w7_d203e12958
St.	w9_d203e12961
Malo	w11_d203e12964
gehört,	w13_d203e12968
und	w1_d203e12973
der	w3_d203e12976
28	w5_d203e12979
Canonen,	w7_d203e12982
14.	w9_d203e12985
Stein=stücke	w11_d203e12988
und	w13_d203e12992
109.	w1_d203e12997
Mann	w3_d203e13000
geführet;	w5_d203e13003
ein	w7_d203e13006
anderes	w9_d203e13009
Engländisches	w11_d203e13012
Fahrzeug	w1_d203e13017
von	w3_d203e13020
350.	w5_d203e13023
Lasten,	w7_d203e13026
welches	w9_d203e13029
von	w11_d203e13032
St.	w13_d203e13036
Christoph	w1_d203e13042
gekommen,	w3_d203e13045
ist	w5_d203e13048
gleichfalls	w7_d203e13051
denen	w9_d203e13054
Fran	w11_d203e13057
zösischen	w1_d203e13062
Kapern	w3_d203e13065
in	w5_d203e13068
die	w7_d203e13071
Hände	w9_d203e13074
gefallen.	w11_d203e13077
</p>
<head id="h2_d203e13083">
Wien	w1_d203e13087
17.	w3_d203e13090
December	w5_d203e13093
1757.	w7_d203e13096
</head>
<p id="p4_d203e13099">
MJttwochs	w1_d203e13103
den	w3_d203e13106
14	w5_d203e13109
dieses	w7_d203e13112
Vormittags	w9_d203e13115
haben	w1_d203e13122
beyde	w3_d203e13125
Kaiserl.	w5_d203e13128
Majestäten	w7_d203e13131
mit	w9_d203e13134
Jhren	w1_d203e13139
Königl.	w3_d203e13142
Hoheiten	w5_d203e13145
denen	w7_d203e13148
Durchl.	w9_d203e13151
Herr	w11_d203e13154
schaften,	w1_d203e13160
denen	w3_d203e13163
für	w5_d203e13166
Weiland	w7_d203e13169
Jhre	w9_d203e13172
Majestät	w11_d203e13175
die	w1_d203e13180
Königin	w3_d203e13183
in	w5_d203e13186
Pohlen	w7_d203e13189
Höchst=seeligen	w9_d203e13192
Ange	w11_d203e13195
denkens,	w1_d203e13200
von	w3_d203e13203
dem	w5_d203e13206
Hoch=adelichen	w7_d203e13209
Stern	w9_d203e13212
kreutz=orden	w1_d203e13217
gehaltenen	w3_d203e13220
Exequien	w5_d203e13223
in	w7_d203e13226
der	w9_d203e13229
Cam	w11_d203e13232
mer=kapelle	w1_d203e13238
beygewohnet.	w3_d203e13241
</p>
<p id="p6_d203e13244">
Donnerstags	w1_d203e13248
den	w3_d203e13251
15.	w5_d203e13254
dito	w7_d203e13257
seynd	w9_d203e13260
beyde	w11_d203e13263
Kai	w13_d203e13267
serl.	w1_d203e13272
Majestäten	w3_d203e13275
mit	w5_d203e13278
Staats	w7_d203e13281
und	w9_d203e13284
Landes	w11_d203e13287
an	w13_d203e13291
ligenheiten	w1_d203e13296
beschäftiget	w3_d203e13299
gewesen.	w5_d203e13302
Dann	w7_d203e13305
Abends	w1_d203e13311
haben	w3_d203e13314
Allerhöchst=dieselbe	w5_d203e13317
mit	w7_d203e13320
Jhren	w9_d203e13323
Königl.	w1_d203e13328
Hoheiten	w3_d203e13331
denen	w5_d203e13334
älteren	w7_d203e13337
Durchleuch	w9_d203e13340
tigsten	w1_d203e13345
Herrschaften	w3_d203e13348
der	w5_d203e13351
für	w7_d203e13354
Weil.	w9_d203e13357
die	w11_d203e13360
Durchl.	w13_d203e13364
Erz=herzogin	w1_d203e13369
Maria	w3_d203e13372
Anna,	w5_d203e13375
Gouvernantin	w7_d203e13378
deren	w1_d203e13384
Spanisch=nieder=landen,	w3_d203e13387
Höchst	w5_d203e13390
seeligen	w7_d203e13393
Gedächtnüß	w1_d203e13398
gehaltenen	w3_d203e13401
Vigil,	w5_d203e13404
und	w7_d203e13407
gestrigen	w9_d203e13410
Freytags	w1_d203e13415
den	w3_d203e13418
16	w5_d203e13421
dito	w7_d203e13424
denen	w9_d203e13427
Exequien	w11_d203e13430
in	w13_d203e13434
der	w15_d203e13437
Cammer=kapelle	w1_d203e13442
beygewohnet;	w3_d203e13445
dann	w5_d203e13448
seynd	w7_d203e13451
beyde	w1_d203e13457
Kais.	w3_d203e13460
Majestäten	w5_d203e13463
abermal	w7_d203e13466
mit	w9_d203e13469
Staats	w11_d203e13472
und	w1_d203e13477
Landes=anligenheiten	w3_d203e13480
beschäftiget	w5_d203e13483
ge	w7_d203e13486
wisen.	w1_d203e13491
</p>
<p id="p8_d203e13494">
Dieser	w1_d203e13498
Tagen	w3_d203e13501
ist	w5_d203e13504
der	w7_d203e13507
geweste	w9_d203e13510
Preußische	w11_d203e13513
nunmehro	w1_d203e13518
Kriegs	w3_d203e13521
gefangene	w5_d203e13524
Commandant	w7_d203e13527
von	w9_d203e13530
Schweidnitz,	w1_d203e13535
General	w3_d203e13538
Sers	w5_d203e13541
mit	w7_d203e13544
seinen	w9_d203e13547
Be	w11_d203e13550
dienten,	w1_d203e13556
dem	w3_d203e13559
Vernehmen	w5_d203e13562
nach,	w7_d203e13565
zu	w9_d203e13568
Crems	w11_d203e13571
an	w13_d203e13575
gekommen,	w1_d203e13580
und	w3_d203e13583
hät	w5_d203e13586
sein	w7_d203e13589
Quartier	w9_d203e13592
in	w11_d203e13595
dasigen	w13_d203e13599
Casernen	w1_d203e13604
genommen.	w3_d203e13607
</p>
<head id="h2_d203e13613">
Lista	w1_d203e13617
deren	w3_d203e13620
Verstorbenen	w5_d203e13623
zu	w7_d203e13626
Wien	w9_d203e13629
in	w1_d203e13634
und	w3_d203e13637
vor	w5_d203e13640
der	w7_d203e13643
Stadt.	w9_d203e13646
Den	w1_d203e13651
13.	w3_d203e13654
Decemb.	w5_d203e13657
Jn	w1_d203e13663
der	w3_d203e13666
Stadt.	w5_d203e13669
</head>
<list id="l4_d203e13672">
Der	w1_d203e13676
Hoch=edel=geb.	w3_d203e13679
Hr.	w5_d203e13682
Joh.	w7_d203e13685
Fried.	w9_d203e13688
Jgnatz	w11_d203e13691
v.	w13_d203e13695
Sta	w15_d203e13698
der,	w1_d203e13703
Edler	w3_d203e13706
v.	w5_d203e13709
Adelsheim,	w7_d203e13712
des	w9_d203e13715
H.	w11_d203e13718
R	w13_d203e13722
R.	w15_d203e13725
Rit.,	w17_d203e13728
Jhrer	w19_d203e13731
R.	w1_d203e13736
K.	w3_d203e13739
K.	w5_d203e13742
M.	w7_d203e13745
N	w9_d203e13748
Oe.	w11_d203e13751
Reg.	w13_d203e13755
Raht	w15_d203e13758
in	w17_d203e13761
Justitz=sach.,	w19_d203e13764
in	w1_d203e13770
s.	w3_d203e13773
H	w5_d203e13776
in	w7_d203e13779
der	w9_d203e13782
klein.	w11_d203e13785
Dorothe=gas.,	w13_d203e13789
alt	w15_d203e13792
54.	w17_d203e13795
J.	w19_d203e13798
Dem	w1_d203e13803
Hoch=edel-geb.	w3_d203e13806
Hrn.	w5_d203e13809
Hrn.	w7_d203e13812
Pet.	w9_d203e13815
v.	w11_d203e13818
Begh	w13_d203e13822
K.	w15_d203e13825
K.	w17_d203e13828
Raht,	w1_d203e13833
und	w3_d203e13836
Hof=kammer=feeret.,s.	w5_d203e13839
S.	w7_d203e13842
Xav.,	w9_d203e13845
im	w11_d203e13848
Prieschenkis.	w1_d203e13853
H.	w3_d203e13856
am	w5_d203e13859
alt.	w7_d203e13862
Fleisch=m.,	w9_d203e13865
alt	w11_d203e13868
6.	w13_d203e13872
v.	w15_d203e13875
J.	w17_d203e13878
Die	w1_d203e13884
Wol=dle	w3_d203e13887
Jungf.	w5_d203e13890
Elson=Wimmerlin,	w7_d203e13893
im	w9_d203e13896
Car	w11_d203e13899
meliter=H.	w1_d203e13904
im	w3_d203e13907
Salvator=gäs.,	w5_d203e13910
alt	w7_d203e13913
33.	w9_d203e13916
J.	w11_d203e13919
</list>
<head id="h2_d203e13926">
Vor	w1_d203e13930
der	w3_d203e13933
Stadt.	w5_d203e13936
</head>
<list id="l4_d203e13939">
Dem	w1_d203e13943
Leop.	w3_d203e13946
Wachtl,	w5_d203e13949
Schreib.,	w7_d203e13952
s.	w9_d203e13955
K.	w11_d203e13958
Antonia	w13_d203e13962
/	w15_d203e13965
beym	w17_d203e13968
Fisch=zug	w1_d203e13973
am	w3_d203e13976
Neubau	w5_d203e13979
alt	w7_d203e13982
3.	w9_d203e13985
J.	w11_d203e13988
Dem	w1_d203e13993
Andre	w3_d203e13996
Geter,	w5_d203e13999
Jnstrnet,	w7_d203e14002
s.	w9_d203e14005
K.	w11_d203e14008
Aley,	w13_d203e14012
bey	w15_d203e14015
dem	w17_d203e14018
Einhorn	w1_d203e14024
auf	w3_d203e14027
der	w5_d203e14030
Wied.,	w7_d203e14033
alt	w9_d203e14036
7.	w11_d203e14039
v.	w13_d203e14043
J.	w15_d203e14046
Dem	w1_d203e14051
Joh.	w3_d203e14054
Burgauer,	w5_d203e14057
Betten=mach.,	w7_d203e14060
s.	w9_d203e14063
K.	w11_d203e14066
Elisab.,	w13_d203e14070
im	w1_d203e14075
Mahleris	w3_d203e14078
H.	w5_d203e14081
oderm	w7_d203e14084
Neustift,	w9_d203e14087
alt	w11_d203e14090
9.	w13_d203e14094
J.	w15_d203e14097
Dem	w1_d203e14102
Lorenz	w3_d203e14105
Brätler,	w5_d203e14108
Schneid.,	w7_d203e14111
s.	w9_d203e14114
W.	w11_d203e14117
Theres.,	w13_d203e14121
bey	w15_d203e14124
der	w1_d203e14130
gold.	w3_d203e14133
Weintr.	w5_d203e14136
in	w7_d203e14139
der	w9_d203e14142
