<doc id="wr_1760-01-26" attrs="word" year="1760" month="01" day="26" corpus="2">
<head id="h2_d418e2999">
Coblenz	w1_d418e3003
Hessen,	w9_d418e10291
ein	w11_d418e10294
grosser	w1_d418e10299
Wagen	w3_d418e10302
mit	w5_d418e10305
Silber=zeug	w7_d418e10308
und	w9_d418e10311
andern	w11_d418e10314
Deroselben	w1_d418e10320
zugehörigen	w3_d418e10323
kostbaren	w5_d418e10326
Sachen,	w7_d418e10329
welches	w1_d418e10334
alles	w3_d418e10337
in	w5_d418e10340
dem	w7_d418e10343
Schloß	w9_d418e10346
zu	w11_d418e10349
Cassel	w13_d418e10353
auf	w15_d418e10356
geladen	w1_d418e10361
worden,	w3_d418e10364
nebst	w5_d418e10367
einer	w7_d418e10370
neuen	w9_d418e10373
Türki	w11_d418e10376
schen	w1_d418e10381
Chaise	w3_d418e10384
von	w5_d418e10387
da	w7_d418e10390
nach	w9_d418e10393
Rinteln,	w11_d418e10396
zu	w13_d418e10400
dem	w15_d418e10403
gegenwärtigen	w1_d418e10409
Hof=lager	w3_d418e10412
unserer	w5_d418e10415
Landes	w7_d418e10418
herrschaft.	w1_d418e10423
</p>
<head id="h2_d418e10430">
Haerlem	w1_d418e10434
9.	w3_d418e10437
Jan.	w5_d418e10440
</head>
<p id="p4_d418e10443">
Gestern	w1_d418e10447
gegen	w3_d418e10450
8.	w5_d418e10453
Uhr	w7_d418e10456
des	w9_d418e10459
Abends,	w11_d418e10462
nahm	w1_d418e10467
man	w3_d418e10470
hier	w5_d418e10473
zum	w7_d418e10476
erstenmal	w9_d418e10479
einen	w11_d418e10482
Come	w13_d418e10486
ten	w1_d418e10491
zwischen	w3_d418e10494
der	w5_d418e10497
linken	w7_d418e10500
Schulter	w9_d418e10503
und	w11_d418e10506
dem	w13_d418e10510
Knie	w1_d418e10516
des	w3_d418e10519
Orions	w5_d418e10522
wahr.	w7_d418e10525
Unerachtet	w9_d418e10528
er	w11_d418e10531
gleich	w1_d418e10536
Anfangs	w3_d418e10539
dem	w5_d418e10542
Auge	w7_d418e10545
erkenntlich	w9_d418e10548
war,	w11_d418e10551
ward	w1_d418e10556
doch	w3_d418e10559
gegen	w5_d418e10562
10.	w7_d418e10565
Uhr	w9_d418e10568
viel	w11_d418e10571
heller	w13_d418e10575
sicht	w15_d418e10578
barer.	w1_d418e10583
Er	w3_d418e10586
war	w5_d418e10589
ungefehr	w7_d418e10592
15.	w9_d418e10595
Grad	w11_d418e10598
über	w13_d418e10602
dem	w1_d418e10608
Horizont,	w3_d418e10611
und	w5_d418e10614
dem	w7_d418e10617
Ansehen	w9_d418e10620
nach,	w11_d418e10623
wie	w13_d418e10627
ein	w1_d418e10632
Stern	w3_d418e10635
von	w5_d418e10638
der	w7_d418e10641
dritten	w9_d418e10644
Grösse.	w11_d418e10647
Groetuna	w1_d418e10652
in	w3_d418e10655
Ostdahland	w5_d418e10658
vom	w7_d418e10661
24.	w9_d418e10664
</p>
<head id="h2_d418e10670">
December	w1_d418e10674
1759.	w3_d418e10677
</head>
<p id="p4_d418e10680">
Am	w1_d418e10684
vorgestrigen	w3_d418e10687
Sonn=abend,	w5_d418e10690
Morgens	w7_d418e10693
früh	w1_d418e10698
um	w3_d418e10701
1.	w5_d418e10704
Uhr	w7_d418e10707
hörte	w9_d418e10710
man	w11_d418e10713
hier	w13_d418e10717
ein	w15_d418e10720
Poltern	w17_d418e10723
und	w1_d418e10728
Getöne,	w3_d418e10731
und	w5_d418e10734
erkannte	w7_d418e10737
man,	w9_d418e10740
daß	w11_d418e10743
es	w13_d418e10747
ein	w15_d418e10750
Erd=beben	w1_d418e10756
wäre,	w3_d418e10759
wovon	w5_d418e10762
dann	w7_d418e10765
auch	w9_d418e10768
die	w11_d418e10771
Häu	w13_d418e10775
ser	w1_d418e10780
bewegt,	w3_d418e10783
und	w5_d418e10786
die	w7_d418e10789
Leute	w9_d418e10792
in	w11_d418e10795
denen	w13_d418e10799
Behten	w15_d418e10802
geschüttelt	w1_d418e10807
wurden.	w3_d418e10810
Diese	w5_d418e10813
Erschütterung	w7_d418e10816
dauerte	w1_d418e10821
jedoch	w3_d418e10824
nicht	w5_d418e10827
länger	w7_d418e10830
als	w9_d418e10833
eine	w11_d418e10836
Minute.	w13_d418e10840
Sie	w1_d418e10846
ist	w3_d418e10849
auch	w5_d418e10852
zu	w7_d418e10855
Buskaker	w9_d418e10858
und	w11_d418e10861
Osterby	w13_d418e10865
gespü	w15_d418e10868
ret	w1_d418e10873
worden;	w3_d418e10876
doch	w5_d418e10879
hat	w7_d418e10882
man,	w9_d418e10885
GOtt	w11_d418e10888
Lob!	w13_d418e10892
nicht	w15_d418e10895
vernommen,	w1_d418e10900
daß	w3_d418e10903
sie	w5_d418e10906
einiges	w7_d418e10909
Unglück	w9_d418e10912
verur	w11_d418e10915
sachet	w1_d418e10920
habe.	w3_d418e10923
</p>
<head id="h2_d418e10929">
Frankfurt	w1_d418e10933
17.	w3_d418e10936
Jan.	w5_d418e10939
</head>
<p id="p4_d418e10942">
Gestern	w1_d418e10946
Abends	w3_d418e10949
zwischen	w5_d418e10952
4.	w7_d418e10955
und	w9_d418e10958
5.	w11_d418e10961
Uhr	w13_d418e10965
traf	w1_d418e10970
der	w3_d418e10973
Herr	w5_d418e10976
Marschall	w7_d418e10979
von	w9_d418e10982
Broglio,	w11_d418e10985
und	w13_d418e10989
</p>
<p id="p8_d418e10994">
mit	w1_d418e10998
Jhm	w3_d418e11001
das	w5_d418e11004
Haupt=quartier	w7_d418e11007
der	w9_d418e11010
Franzö	w11_d418e11013
sischen	w1_d418e11018
Armee	w3_d418e11021
unter	w5_d418e11024
Lösung	w7_d418e11027
der	w9_d418e11030
Canonen	w11_d418e11033
in	w13_d418e11037
hiesiger	w1_d418e11042
Stadt	w3_d418e11045
ein.	w5_d418e11048
Vor	w7_d418e11051
dem	w9_d418e11054
von	w11_d418e11057
Barck	w13_d418e11061
hausischen	w1_d418e11067
Hause,	w3_d418e11070
wo	w5_d418e11073
er	w7_d418e11076
abstieg,	w9_d418e11079
war	w11_d418e11082
eine	w13_d418e11086
Compagnie	w1_d418e11091
von	w3_d418e11094
dem	w5_d418e11097
Regiment	w7_d418e11100
von	w9_d418e11103
Royal	w11_d418e11106
Deuxponts,	w1_d418e11111
und	w3_d418e11114
eine	w5_d418e11117
von	w7_d418e11120
hiesiger	w9_d418e11123
Stadtsol	w11_d418e11126
datesca	w1_d418e11131
mit	w3_d418e11134
fliegenden	w5_d418e11137
Fahnen	w7_d418e11140
postiret.	w9_d418e11143
Se.	w11_d418e11146
Durchleucht	w1_d418e11152
wurden	w3_d418e11155
kurz	w5_d418e11158
hernach	w7_d418e11161
von	w9_d418e11164
Einer	w11_d418e11167
Rahts=deputation	w1_d418e11172
complimentiret,	w3_d418e11175
welche	w5_d418e11178
Sie	w1_d418e11183
sehr	w3_d418e11186
gnädig	w5_d418e11189
empfiengen.	w7_d418e11192
Der	w9_d418e11195
Zulauf	w11_d418e11198
des	w1_d418e11203
Volks,	w3_d418e11206
einen	w5_d418e11209
Herrn	w7_d418e11212
wieder	w9_d418e11215
zu	w11_d418e11218
sehen,	w13_d418e11222
den	w15_d418e11225
seine	w1_d418e11231
Kriegs=erfahrenheit	w3_d418e11234
eben	w5_d418e11237
so	w7_d418e11240
berühmt,	w9_d418e11243
als	w1_d418e11248
seine	w3_d418e11251
persönliche	w5_d418e11254
Eigenschaften	w7_d418e11257
bey	w9_d418e11260
jeder	w11_d418e11263
mann	w1_d418e11268
beliebt	w3_d418e11271
gemacht,	w5_d418e11274
war	w7_d418e11277
ungemein,	w9_d418e11280
und	w11_d418e11283
eine	w1_d418e11288
deutliche	w3_d418e11291
Probe	w5_d418e11294
der	w7_d418e11297
allgemeinen	w9_d418e11300
Zunei	w11_d418e11303
gung,	w1_d418e11309
die	w3_d418e11312
sich	w5_d418e11315
der	w7_d418e11318
Herr	w9_d418e11321
Marschall	w11_d418e11324
an	w13_d418e11328
allen	w15_d418e11331
Orten,	w1_d418e11336
wo	w3_d418e11339
er	w5_d418e11342
commandiret,	w7_d418e11345
erworben.	w9_d418e11348
Heu	w11_d418e11351
te	w1_d418e11356
ist	w3_d418e11359
das	w5_d418e11362
Corps	w7_d418e11365
der	w9_d418e11368
Grenadiers	w11_d418e11371
de	w13_d418e11375
France,	w15_d418e11378
aus	w1_d418e11383
lauter	w3_d418e11386
auserlesenen	w5_d418e11389
Leuten	w7_d418e11392
bestehend,	w9_d418e11395
dahier	w1_d418e11401
eingeruckt,	w3_d418e11404
und	w5_d418e11407
dagegen	w7_d418e11410
die	w9_d418e11413
noch	w11_d418e11416
hier	w13_d418e11420
gelegene	w1_d418e11425
Militz	w3_d418e11428
abmarschiret.	w5_d418e11431
</p>
<head id="h2_d418e11437">
Wien	w1_d418e11441
den	w3_d418e11444
26.	w5_d418e11447
Januarii	w7_d418e11450
1760	w9_d418e11453
</head>
<p id="p4_d418e11456">
Pittwoch	w1_d418e11460
den	w3_d418e11463
23.	w5_d418e11466
Januari	w7_d418e11469
nach	w9_d418e11472
dem	w11_d418e11475
Der	w1_d418e11480
ordinari	w1_d418e11485
Gottes=dienst	w3_d418e11488
seynd	w5_d418e11491
beede	w7_d418e11494
Kaiserl.	w1_d418e11500
Majestäten	w3_d418e11503
mit	w5_d418e11506
wichtigsten	w7_d418e11509
Staats	w9_d418e11512
und	w1_d418e11517
Landes=angelegenheiten	w3_d418e11520
beschäftiget	w5_d418e11523
ge	w7_d418e11526
wesen,	w1_d418e11531
dann	w3_d418e11534
Abends	w5_d418e11537
ist	w7_d418e11540
von	w9_d418e11543
Jhren	w11_d418e11546
Königl.	w13_d418e11550
Hoheiten	w1_d418e11555
denen	w3_d418e11558
Durchl.	w5_d418e11561
Jungen=herschaft	w7_d418e11564
ten,	w1_d418e11570
wie	w3_d418e11573
auch	w5_d418e11576
einigen	w7_d418e11579
jungen	w9_d418e11582
Staatsda	w11_d418e11585
men,	w1_d418e11590
und	w3_d418e11593
Cavalieren	w5_d418e11596
das	w7_d418e11599
verkleidete	w9_d418e11602
Cam	w11_d418e11605
mer=festin	w1_d418e11610
zum	w3_d418e11613
ersten	w5_d418e11616
mal	w7_d418e11619
bey	w9_d418e11622
Hof	w11_d418e11625
gehalten	w13_d418e11629
worden.	w1_d418e11634
</p>
<p id="p6_d418e11637">
Donnerstags	w1_d418e11641
den	w3_d418e11644
24sten	w5_d418e11647
waren	w7_d418e11650
beede	w9_d418e11653
Kaiserl.	w1_d418e11658
Majestäten	w3_d418e11661
mit	w5_d418e11664
wichtigen	w7_d418e11667
Staats	w9_d418e11670
und	w1_d418e11675
Landes=sachen	w3_d418e11678
mehrmalen	w5_d418e11681
beschäftiget	w7_d418e11684
tewesen.	w1_d418e11690
</p>
<p id="p8_d418e11693">
Freytag	w1_d418e11697
den	w3_d418e11700
25.	w5_d418e11703
dieses	w7_d418e11706
Vor	w9_d418e11709
und	w11_d418e11712
Nachmit	w13_d418e11716
tags	w1_d418e11721
ist	w3_d418e11724
in	w5_d418e11727
Beywohnung	w7_d418e11730
Allerhöchster	w9_d418e11733
Herr	w11_d418e11736
schaften	w1_d418e11741
der	w3_d418e11744
gewöhnliche	w5_d418e11747
Gottes=dienst,	w7_d418e11750
und	w9_d418e11753
das	w1_d418e11759
Wochen=gebett	w3_d418e11762
in	w5_d418e11765
der	w7_d418e11768
Cammercapel	w9_d418e11771
len	w1_d418e11776
gehalten	w3_d418e11779
worden.	w5_d418e11782
</p>
<head id="h2_d418e11788">
Lista	w1_d418e11792
deren	w3_d418e11795
Verstorbenen	w5_d418e11798
zu	w7_d418e11801
Wien	w9_d418e11804
in	w1_d418e11809
und	w3_d418e11812
vor	w5_d418e11815
der	w7_d418e11818
Stadt.	w9_d418e11821
Den	w1_d418e11826
23.	w3_d418e11829
Januarii.	w5_d418e11832
Jn	w7_d418e11835
der	w9_d418e11838
Stadt.	w11_d418e11841
</head>
<list id="l4_d418e11844">
Die	w1_d418e11848
Wol=edle	w3_d418e11851
Fr	w5_d418e11854
Elisab.	w7_d418e11857
Friedrichin,	w9_d418e11860
Wittwe,	w11_d418e11863
in	w13_d418e11867
ihrem	w1_d418e11872
H.	w3_d418e11875
in	w5_d418e11878
der	w7_d418e11881
Krugerstr.,	w9_d418e11884
alt	w11_d418e11887
68	w13_d418e11891
J.	w15_d418e11894
Ant.	w1_d418e11899
Neuman,	w3_d418e11902
Jurist,	w5_d418e11905
im	w7_d418e11908
Fuhrmanis.	w9_d418e11911
H.	w11_d418e11914
in	w13_d418e11918
der	w15_d418e11921
Römerstr.,	w1_d418e11927
alt	w3_d418e11930
24.	w5_d418e11933
J.	w7_d418e11936
</list>
<head id="h2_d418e11943">
Vor	w1_d418e11947
der	w3_d418e11950
Stadt.	w5_d418e11953
</head>
<list id="l4_d418e11956">
Dem	w1_d418e11960
Ant.	w3_d418e11963
Kick,	w5_d418e11966
Burgerl.	w7_d418e11969
Schnür=mach.,	w9_d418e11972
s.	w11_d418e11975
K.	w13_d418e11979
Eon	w15_d418e11982
rad,	w1_d418e11987
beym	w3_d418e11990
Grund=stein	w5_d418e11993
in	w7_d418e11996
der	w9_d418e11999
Josephst.,	w11_d418e12002
1.	w13_d418e12006
J.	w15_d418e12009
Fortunat	w1_d418e12014
Heinrich,	w3_d418e12017
Grund=richt.	w5_d418e12020
am	w7_d418e12023
Himmelpfort	w9_d418e12026
gr.,	w1_d418e12032
in	w3_d418e12035
s.	w5_d418e12038
H.	w7_d418e12041
alda,	w9_d418e12044
alt	w11_d418e12047
69.	w13_d418e12051
J.	w15_d418e12054
Eva	w1_d418e12059
Betzendorferin,	w3_d418e12062
Wittwe,	w5_d418e12065
im	w7_d418e12068
Dräxleris.	w9_d418e12071
H.	w11_d418e12074
am	w13_d418e12078
Hundsth.,	w1_d418e12083
alt	w3_d418e12086
62.	w5_d418e12089
J.	w7_d418e12092
</list>
<head id="h2_d418e12100">
Summa	w1_d418e12104
5.	w3_d418e12107
Person.	w5_d418e12110
darunter	w7_d418e12113
1.	w9_d418e12116
Kind.	w11_d418e12119
Den	w1_d418e12124
24.	w3_d418e12127
Januarii.	w5_d418e12130
Jn	w1_d418e12135
der	w3_d418e12138
Stadt.	w5_d418e12141
Niemand.	w1_d418e12147
Vor	w1_d418e12152
der	w3_d418e12155
Stadt.	w5_d418e12158
</head>
<list id="l4_d418e12161">
Dem	w1_d418e12165
Joh.	w3_d418e12168
Kick,	w5_d418e12171
Lack.,	w7_d418e12174
s.	w9_d418e12177
K.	w11_d418e12180
Cathar,	w13_d418e12184
bey	w15_d418e12187
der	w17_d418e12190
gold.	w19_d418e12193
Taub.	w1_d418e12198
in	w3_d418e12201
der	w5_d418e12204
Josephst.,	w7_d418e12207
alt	w9_d418e12210
4.	w11_d418e12213
J.	w13_d418e12217
Dem	w1_d418e12222
Mart.	w3_d418e12225
Langer,	w5_d418e12228
Zeug=mach=ges.,	w7_d418e12231
s.	w9_d418e12234
W.	w11_d418e12237
Cathar.	w13_d418e12241
im	w1_d418e12247
Stärk=macheris.	w3_d418e12250
H.	w5_d418e12253
zu	w7_d418e12256
Margar,	w9_d418e12259
alt	w11_d418e12262
27.	w13_d418e12266
J.	w15_d418e12269
Dem	w1_d418e12274
Georg	w3_d418e12277
Gmainer,	w5_d418e12280
Kutsch.,	w7_d418e12283
s.	w9_d418e12286
W.	w11_d418e12289
Rosin.,	w13_d418e12293
beym	w15_d418e12296
rot.	w1_d418e12301
Apfel	w3_d418e12304
auf	w5_d418e12307
der	w7_d418e12310
Wied.,	w9_d418e12313
alt	w11_d418e12316
39.	w13_d418e12320
J.	w15_d418e12323
Anna	w1_d418e12328
Humelbergerin,	w3_d418e12331
Wittwe,	w5_d418e12334
bey	w7_d418e12337
der	w9_d418e12340
gold.	w11_d418e12343
Ent.	w13_d418e12347
im	w1_d418e12353
Liechtenth.,	w3_d418e12356
alt	w5_d418e12359
56.	w7_d418e12362
J.	w9_d418e12365
Dem	w1_d418e12370
Joh.	w3_d418e12373
Schneider,	w5_d418e12376
Maurern,	w7_d418e12379
s.	w9_d418e12382
K.	w11_d418e12385
Anna,	w13_d418e12389
im	w15_d418e12392
Viehmayris.	w1_d418e12397
H.	w3_d418e12400
in	w5_d418e12403
der	w7_d418e12406
Leopoldst.,	w9_d418e12409
alt	w11_d418e12412
3.	w13_d418e12416
J.	w15_d418e12419
</list>
<head id="h2_d418e12426">
Summa	w1_d418e12430
5.	w3_d418e12433
Person.	w5_d418e12436
/	w7_d418e12439
darunter	w9_d418e12442
2.	w11_d418e12445
Kind.	w13_d418e12449
Den	w1_d418e12454
25	w3_d418e12457
Januarii.	w5_d418e12460
Jn	w1_d418e12465
der	w3_d418e12468
Stadt.	w5_d418e12471
</head>
<list id="l4_d418e12474">
Dem	w1_d418e12478
Hrn.	w3_d418e12481
Melch.	w5_d418e12484
Gerold,	w7_d418e12487
gem	w9_d418e12490
Stadt	w11_d418e12493
Steuer	w13_d418e12497
einnehm.,	w1_d418e12502
s.	w3_d418e12505
K.	w5_d418e12508
Sybil.,	w7_d418e12511
in	w9_d418e12514
s.	w11_d418e12517
H.	w13_d418e12521
am	w15_d418e12524
Salz=gries,	w17_d418e12527
alt	w1_d418e12532
4.	w3_d418e12535
J.	w5_d418e12538
Franz	w1_d418e12544
Götzel,	w3_d418e12547
Schreib,	w5_d418e12550
beym	w7_d418e12553
grün.	w9_d418e12556
Fäs.	w11_d418e12559
am	w13_d418e12563
Kohl	w15_d418e12566
markt,	w1_d418e12571
alt	w3_d418e12574
57.	w5_d418e12577
J.	w7_d418e12580
Dem	w1_d418e12585
Jos.	w3_d418e12588
Knamps,	w5_d418e12591
Hausmeist.,	w7_d418e12594
s.	w9_d418e12597
K.	w11_d418e12600
Theres.,	w13_d418e12604
im	w15_d418e12607
kl.	w1_d418e12612
Mölker=hof,	w3_d418e12615
alt	w5_d418e12618
5.	w7_d418e12621
v.	w9_d418e12624
J.	w11_d418e12627
</list>
<head id="h2_d418e12634">
Vor	w1_d418e12638
der	w3_d418e12641
Stadt.	w5_d418e12644
</head>
<list id="l4_d418e12647">
Valent.	w1_d418e12651
Molitsch,	w3_d418e12654
Burgerl.	w5_d418e12657
Wurst=mech.,	w7_d418e12660
bey	w9_d418e12663
dem	w11_d418e12666
schwarz.	w1_d418e12671
Ochs.	w3_d418e12674
oberm	w5_d418e12677
Neustift,	w7_d418e12680
alt	w9_d418e12683
61.	w11_d418e12686
J.	w13_d418e12690
Barb.	w1_d418e12695
Achholzerin,	w3_d418e12698
Wittwe,	w5_d418e12701
in	w7_d418e12704
ihrem	w9_d418e12707
H.	w11_d418e12710
am	w13_d418e12714
Neu	w15_d418e12717
stift,	w1_d418e12723
alt	w3_d418e12726
78.	w5_d418e12729
J.	w7_d418e12732
Paul	w1_d418e12737
Bartl,	w3_d418e12740
Academie=mahl.,	w5_d418e12743
beym	w7_d418e12746
braun	w9_d418e12749
Hirsch.	w11_d418e12752
am	w1_d418e12757
Neustift,	w3_d418e12760
alt	w5_d418e12763
32.	w7_d418e12766
J.	w9_d418e12769
Jacob	w1_d418e12774
Ertl,	w3_d418e12777
gew.	w5_d418e12780
K.	w7_d418e12783
Mund=kuchel=thür=hüt.,	w9_d418e12786
in	w11_d418e12789
dem	w13_d418e12793
Königl.	w1_d418e12799
Closter=H.	w3_d418e12802
in	w5_d418e12805
der	w7_d418e12808
Kohr=gas.,	w9_d418e12811
alt	w11_d418e12814
80.	w13_d418e12818
J.	w15_d418e12821
Anna	w1_d418e12826
Hirnerin,	w3_d418e12829
Wittwe,	w5_d418e12832
bey	w7_d418e12835
der	w9_d418e12838
H.	w11_d418e12841
Dreyfaltigk.	w13_d418e12845
in	w1_d418e12850
der	w3_d418e12853
Leopoldst.,	w5_d418e12856
alt	w7_d418e12859
52.	w9_d418e12862
J.	w11_d418e12865
Anna	w1_d418e12870
Mitichin,	w3_d418e12873
Wittwe,	w5_d418e12876
beym	w7_d418e12879
bl.	w9_d418e12882
Stief.	w11_d418e12885
zu	w13_d418e12889
Mar	w15_d418e12892
gar.,	w1_d418e12898
alt	w3_d418e12901
30.	w5_d418e12904
J.	w7_d418e12907
</list>
<p id="p10_d418e12921">
Wir	w1_d418e12925
Burger=meister	w3_d418e12928
und	w5_d418e12931
Raht	w7_d418e12934
der	w9_d418e12937
Stadt	w11_d418e12940
Wien,	w13_d418e12944
geben	w1_d418e12949
hiemit	w3_d418e12952
durch	w5_d418e12955
dieses	w7_d418e12958
offene	w9_d418e12961
Edict	w11_d418e12964
jedermän	w13_d418e12968
niglich	w1_d418e12973
zu	w3_d418e12976
vernehmen,	w5_d418e12979
was	w7_d418e12982
gestalten	w9_d418e12985
wir	w11_d418e12988
über	w13_d418e12992
ei	w15_d418e12995
neu	w1_d418e13001
berahtschlagten	w3_d418e13004
Grundbuchshandlersbe	w5_d418e13007
richt	w1_d418e13012
de	w3_d418e13015
Dato	w5_d418e13018
26.	w7_d418e13021
May	w9_d418e13024
1759.	w11_d418e13027
in	w13_d418e13031
ein	w15_d418e13034
nachmaliges	w17_d418e13037
citations=edict	w1_d418e13042
gewilliget,	w3_d418e13045
und	w5_d418e13048
verordnet	w7_d418e13051
haben,	w9_d418e13054
daß	w1_d418e13059
das	w3_d418e13062
Kellerische	w5_d418e13065
Häusel	w7_d418e13068
auf	w9_d418e13071
der	w11_d418e13074
Mölkerba	w13_d418e13078
stion	w1_d418e13084
mehrmalen	w3_d418e13087
ex	w5_d418e13090
Officio	w7_d418e13093
offentlich	w9_d418e13096
ausgefeilet,	w11_d418e13099
und	w1_d418e13104
dem	w3_d418e13107
Meist=bietenden	w5_d418e13110
verkauffet	w7_d418e13113
werden	w9_d418e13116
sol	w11_d418e13119
le;	w1_d418e13124
da	w3_d418e13127
nun	w5_d418e13130
hierzu	w7_d418e13133
der	w9_d418e13136
29.	w11_d418e13139
Februarii	w13_d418e13143
lauffenden	w15_d418e13146
1760sten	w1_d418e13151
Jahrs	w3_d418e13154
zur	w5_d418e13157
Tagsatzung	w7_d418e13160
bestimmet	w9_d418e13163
wor	w11_d418e13166
den	w1_d418e13172
ist;	w3_d418e13175
als	w5_d418e13178
wird	w7_d418e13181
ein	w9_d418e13184
solches	w11_d418e13187
hiemit	w13_d418e13191
jedermann,	w15_d418e13194
wer	w1_d418e13199
etwann	w3_d418e13202
dieses	w5_d418e13205
Haus	w7_d418e13208
käuflichen	w9_d418e13211
an	w11_d418e13214
sich	w13_d418e13218
zu	w15_d418e13221
brin	w17_d418e13224
gen	w1_d418e13229
gesinnet	w3_d418e13232
ist,	w5_d418e13235
mit	w7_d418e13238
diesem	w9_d418e13241
Edict	w11_d418e13244
zu	w13_d418e13248
dem	w15_d418e13251
Ende	w17_d418e13254
kund	w1_d418e13259
und	w3_d418e13262
zu	w5_d418e13265
wissen	w7_d418e13268
gemacht,	w9_d418e13271
damit	w11_d418e13274
ein	w13_d418e13278
sich	w15_d418e13281
her	w17_d418e13284
vorthuender	w1_d418e13290
Kauffer	w3_d418e13293
bey	w5_d418e13296
obbemeldt=bestimmten	w7_d418e13299
Licitations=tagsatzung	w1_d418e13304
fruh	w3_d418e13307
um	w5_d418e13310
9.	w7_d418e13313
Uhr,	w9_d418e13316
oder	w11_d418e13319
da	w1_d418e13324
wir	w3_d418e13327
selbigen	w5_d418e13330
Tags	w7_d418e13333
etwann	w9_d418e13336
anderer	w11_d418e13339
Geschäften	w13_d418e13343
halber	w1_d418e13348
nicht	w3_d418e13351
zu	w5_d418e13354
Raht	w7_d418e13357
sitzeten,	w9_d418e13360
den	w11_d418e13363
nächst	w13_d418e13367
darauf	w15_d418e13370
folgenden	w1_d418e13376
Rahts=tag	w3_d418e13379
vor	w5_d418e13382
uns	w7_d418e13385
erscheinen,	w9_d418e13388
und	w11_d418e13391
sich	w1_d418e13396
bey	w3_d418e13399
unser,	w5_d418e13402
und	w7_d418e13405
gemeiner	w9_d418e13408
Stadt	w11_d418e13411
Grund=buch	w13_d418e13415
durch	w1_d418e13420
den	w3_d418e13423
daselbstigen	w5_d418e13426
Amts=schreiber	w7_d418e13429
anzumel	w9_d418e13432
den	w1_d418e13437
wissen	w3_d418e13440
möge;	w5_d418e13443
allwo	w7_d418e13446
sodann	w9_d418e13449
das	w11_d418e13452
Weitere	w13_d418e13456
be	w15_d418e13459
hörig	w1_d418e13465
tractiret	w3_d418e13468
werden	w5_d418e13471
solle.	w7_d418e13474
Actum	w9_d418e13477
Wien	w11_d418e13480
den	w13_d418e13484
20.	w1_d418e13489
Decemb.	w3_d418e13492
1759.	w5_d418e13495
</p>
<p id="p12_d418e13499">
Es	w1_d418e13503
ist	w3_d418e13506
die	w5_d418e13509
an	w7_d418e13512
der	w9_d418e13515
Wien	w11_d418e13518
zu	w13_d418e13522
Gumppendorf	w15_d418e13525
lgende,	w1_d418e13530
vorhin	w3_d418e13533
sogenannt	w5_d418e13536
Stranitzkische	w7_d418e13539
Behau	w9_d418e13542
sung;	w1_d418e13547
bestehend	w3_d418e13550
aus	w5_d418e13553
vielen	w7_d418e13556
Wohnungen,	w9_d418e13559
Kellern,	w11_d418e13562
Pferd=stallung,	w1_d418e13568
Wagen=schupfen	w3_d418e13571
und	w5_d418e13574
Stadl,	w7_d418e13577
nebst	w9_d418e13580
dabey	w1_d418e13585
ligenden	w3_d418e13588
grossen	w5_d418e13591
Garten,	w7_d418e13594
täglich	w9_d418e13597
zu	w11_d418e13600
ver	w13_d418e13604
kauffen;	w1_d418e13609
und	w3_d418e13612
ist	w5_d418e13615
sich	w7_d418e13618
um	w9_d418e13621
die	w11_d418e13624
weitere	w13_d418e13628
Auskunft	w15_d418e13631
bey	w1_d418e13636
dem	w3_d418e13639
Haus=meister	w5_d418e13642
daselbst	w7_d418e13645
anzumelden.	w9_d418e13648
</p>
<p id="p14_d418e13651">
Demnach	w1_d418e13655
auf	w3_d418e13658
Verordnung	w5_d418e13661
eines	w7_d418e13664
Löbl.	w9_d418e13667
Stadt	w11_d418e13670
rahts	w1_d418e13675
zu	w3_d418e13678
Pruck	w5_d418e13681
an	w7_d418e13684
der	w9_d418e13687
Leytha,	w11_d418e13690
zu	w13_d418e13694
Verkauffun	w15_d418e13697
der	w1_d418e13702
alda	w3_d418e13705
auf	w5_d418e13708
dem	w7_d418e13711
Platz	w9_d418e13714
ligend=Solderischen	w11_d418e13717
Be	w13_d418e13721
hausung	w1_d418e13727
samt	w3_d418e13730
der	w5_d418e13733
darauf	w7_d418e13736
haftenden	w9_d418e13739
Handlungs	w11_d418e13742
freyheit,	w1_d418e13747
verschiedener	w3_d418e13750
Uberländ=äcker,	w5_d418e13753
und	w7_d418e13756
Wein=gärten,	w1_d418e13761
dann	w3_d418e13764
eines	w5_d418e13767
vor	w7_d418e13770
dem	w9_d418e13773
Wiener=thor	w11_d418e13776
befindlichen	w1_d418e13781
Uberländ=stadl	w3_d418e13784
und	w5_d418e13787
Garten,	w7_d418e13790
wie	w9_d418e13793
auch	w11_d418e13796
Meublen,	w1_d418e13802
und	w3_d418e13805
Effecten,	w5_d418e13808
samt	w7_d418e13811
denen	w9_d418e13814
verhande	w11_d418e13817
nen	w1_d418e13822
Weinen,	w3_d418e13825
und	w5_d418e13828
693.	w7_d418e13831
Eimer	w9_d418e13834
mit	w11_d418e13837
Eisen	w13_d418e13841
be	w15_d418e13844
schlagenen	w1_d418e13849
leeren	w3_d418e13852
Fassen;	w5_d418e13855
und	w7_d418e13858
endlichen	w9_d418e13861
des	w11_d418e13864
ge	w13_d418e13868
samten	w1_d418e13873
aus	w3_d418e13876
4.	w5_d418e13879
Stuck	w7_d418e13882
Pferde,	w9_d418e13885
3.	w11_d418e13888
s.	w13_d418e13892
