<doc id="wr_1762-04-03" attrs="word" year="1762" month="04" day="03" corpus="2">
<head id="h2_d644e3254">
Auszug=schreiben	w1_d644e3258
den	w3_d644e10507
3.	w5_d644e10510
April	w7_d644e10513
1762.	w9_d644e10516
</head>
<p id="p4_d644e10519">
DOnnerstags	w1_d644e10523
den	w3_d644e10526
1.	w5_d644e10529
April	w7_d644e10532
gegen	w9_d644e10535
Mittag	w11_d644e10538
haben	w1_d644e10543
Se.	w3_d644e10546
Majest	w5_d644e10549
der	w7_d644e10552
Kaiser	w9_d644e10555
mit	w11_d644e10558
Sr.	w13_d644e10562
Königl.	w1_d644e10567
Hoheit	w3_d644e10570
dem	w5_d644e10573
Erz=herzogen	w7_d644e10576
Joseph	w9_d644e10579
und	w11_d644e10582
einigen	w1_d644e10588
Cavalieren	w3_d644e10591
über	w5_d644e10594
die	w7_d644e10597
grosse	w9_d644e10600
Donau	w11_d644e10603
brücken	w1_d644e10608
sich	w3_d644e10611
erhoben,	w5_d644e10614
um	w7_d644e10617
in	w9_d644e10620
den	w11_d644e10623
nächst	w13_d644e10627
liegenden	w1_d644e10632
Gegenden	w3_d644e10635
sich	w5_d644e10638
mit	w7_d644e10641
Jagen	w9_d644e10644
zu	w11_d644e10647
erlusti	w13_d644e10651
gen,	w1_d644e10656
und	w3_d644e10659
sind	w5_d644e10662
von	w7_d644e10665
dannen	w9_d644e10668
Nachmittags	w11_d644e10671
wie	w13_d644e10675
der	w1_d644e10681
in	w3_d644e10684
die	w5_d644e10687
Burg	w7_d644e10690
zurück	w9_d644e10693
gelanget.	w11_d644e10696
</p>
<p id="p6_d644e10699">
Gestern	w1_d644e10703
Vormittags	w3_d644e10706
nach	w5_d644e10709
8.	w7_d644e10712
Uhr	w9_d644e10715
haben	w11_d644e10718
beede	w1_d644e10723
Kaiserl.	w3_d644e10726
Königl.	w5_d644e10729
Majestäten	w7_d644e10732
mit	w9_d644e10735
Sr.	w11_d644e10738
Königl.	w1_d644e10743
Hoheit	w3_d644e10746
dem	w5_d644e10749
Erzherzogen	w7_d644e10752
Joseph	w9_d644e10755
und	w1_d644e10761
den	w3_d644e10764
übrigen	w5_d644e10767
Königl.	w7_d644e10770
Hoheiten	w9_d644e10773
in	w11_d644e10776
öffent	w13_d644e10780
lichem	w1_d644e10785
Staat	w3_d644e10788
mit	w5_d644e10791
einem	w7_d644e10794
Gefolge	w9_d644e10797
von	w11_d644e10800
17.	w13_d644e10804
sechs=spännigen	w1_d644e10809
Wägen	w3_d644e10812
nach	w5_d644e10815
dem	w7_d644e10818
GOttes	w9_d644e10821
hause	w1_d644e10826
derer	w3_d644e10829
WW.	w5_d644e10832
EE.	w7_d644e10835
PP.	w9_d644e10838
Paulanern	w11_d644e10841
auf	w13_d644e10845
der	w1_d644e10851
Wieden,	w3_d644e10854
allwo	w5_d644e10857
auch	w7_d644e10860
Se.	w9_d644e10863
Excellenz	w11_d644e10866
der	w13_d644e10870
Päpstl.	w1_d644e10875
Hr.	w3_d644e10878
Nuntius	w5_d644e10881
mit	w7_d644e10884
dem	w9_d644e10887
Kaiserl.	w11_d644e10890
Kö	w13_d644e10894
nigl.	w1_d644e10899
hohen	w3_d644e10902
Ministerio	w5_d644e10905
die	w7_d644e10908
Aufwartung	w9_d644e10911
mach	w11_d644e10914
te,	w1_d644e10919
sich	w3_d644e10922
erhoben	w5_d644e10925
und	w7_d644e10928
dem	w9_d644e10931
feyerlich	w11_d644e10934
began	w13_d644e10938
genen	w1_d644e10944
Fest	w3_d644e10947
des	w5_d644e10950
Heil.	w7_d644e10953
Francisci	w9_d644e10956
de	w11_d644e10959
Paula	w13_d644e10963
beygewohnet.	w1_d644e10968
Um	w3_d644e10971
10.	w5_d644e10974
Uhr	w7_d644e10977
kehrete	w9_d644e10980
der	w11_d644e10983
Kai	w13_d644e10987
serl.	w1_d644e10992
Königl.	w3_d644e10995
Hof	w5_d644e10998
wieder	w7_d644e11001
zurück	w9_d644e11004
in	w11_d644e11007
die	w13_d644e11011
Burg,	w15_d644e11014
allwo	w1_d644e11019
nachgehends	w3_d644e11022
die	w5_d644e11025
höchsten	w7_d644e11028
Herrschaften	w9_d644e11031
bey	w1_d644e11037
den	w3_d644e11040
gewöhnlichen	w5_d644e11043
Fasten=andachten	w7_d644e11046
sich	w9_d644e11049
eingefunden.	w1_d644e11054
</p>
<head id="h4_d644e11070">
NB.	w1_d644e11074
</head>
<p id="p6_d644e11077">
Es	w1_d644e11081
ist	w3_d644e11084
eine	w5_d644e11087
kleine	w7_d644e11090
beyläufig	w9_d644e11093
eine	w11_d644e11096
Spanne=lange	w13_d644e11100
Hündin	w1_d644e11105
von	w3_d644e11108
Löwen=art,	w5_d644e11111
ganz	w7_d644e11114
weiß,	w9_d644e11117
ausser	w11_d644e11120
eini	w13_d644e11124
ger	w1_d644e11129
gelben	w3_d644e11132
Haaren	w5_d644e11135
an	w7_d644e11138
dem	w9_d644e11141
einen	w11_d644e11144
Ohr,	w13_d644e11148
mit	w15_d644e11151
ei	w17_d644e11154
nem	w1_d644e11160
ganz	w3_d644e11163
dünnen	w5_d644e11166
etwann	w7_d644e11169
eine	w9_d644e11172
Quer=hand	w11_d644e11175
lan	w13_d644e11179
gen	w1_d644e11184
Schweif	w3_d644e11187
den	w5_d644e11190
31.	w7_d644e11193
Martii	w9_d644e11196
verlohren	w11_d644e11199
gegan	w13_d644e11203
gen;	w1_d644e11208
wer	w3_d644e11211
solche	w5_d644e11214
gefunden,	w7_d644e11217
oder	w9_d644e11220
einige	w11_d644e11223
Wissen	w13_d644e11227
schaft	w1_d644e11232
davon	w3_d644e11235
hat,	w5_d644e11238
kan	w7_d644e11241
sich	w9_d644e11244
bey	w11_d644e11247
des	w13_d644e11251
Herrn	w15_d644e11254
Rußi	w17_d644e11257
schen	w1_d644e11263
Bothschafters	w3_d644e11266
Grafen	w5_d644e11269
von	w7_d644e11272
Czernischew	w9_d644e11275
cellenz	w1_d644e11280
Haus=hofmeister	w3_d644e11283
melden,	w5_d644e11286
und	w7_d644e11289
einen	w9_d644e11292
Re	w11_d644e11295
compens	w1_d644e11300
von	w3_d644e11303
10.	w5_d644e11306
Ducaten,	w7_d644e11309
ohne	w9_d644e11312
daß	w11_d644e11315
er	w13_d644e11319
weiteres	w15_d644e11322
Nach	w1_d644e11327
fragen	w3_d644e11330
zu	w5_d644e11333
besorgen	w7_d644e11336
habe,	w9_d644e11339
alsogleich	w11_d644e11342
empfangen.	w13_d644e11346
</p>
<head id="h2_d644e11352">
Lista	w1_d644e11356
deren	w3_d644e11359
Verstorbenen	w5_d644e11362
zu	w7_d644e11365
Wien	w9_d644e11368
in	w1_d644e11373
und	w3_d644e11376
vor	w5_d644e11379
der	w7_d644e11382
Stadt.	w9_d644e11385
Den	w1_d644e11390
29	w3_d644e11393
Martii	w5_d644e11396
Jn	w1_d644e11402
der	w3_d644e11405
Stadt.	w5_d644e11408
</head>
<list id="l4_d644e11411">
Dem	w1_d644e11415
Hoch=Wol=geb.	w3_d644e11418
Hrn.	w5_d644e11421
Hrn.	w7_d644e11424
Carl	w9_d644e11427
Maximil.	w11_d644e11430
Frey=hrn	w1_d644e11435
v.	w3_d644e11438
Berlichingen,	w5_d644e11441
K.	w7_d644e11444
K.	w9_d644e11447
Kämmerern,	w11_d644e11450
und	w1_d644e11455
General=feld=marschal=leuten.,	w3_d644e11458
rc.	w5_d644e11461
dero	w7_d644e11464
Hr.	w9_d644e11467
S.	w1_d644e11473
Carl	w3_d644e11476
Phil.,	w5_d644e11479
beym	w7_d644e11482
Aug	w9_d644e11485
GOttes	w11_d644e11488
am	w13_d644e11492
Peter,	w15_d644e11495
alt	w1_d644e11500
6	w3_d644e11503
J.	w5_d644e11506
Dem	w1_d644e11511
Franz	w3_d644e11514
Dauer,	w5_d644e11517
Zimmer=putz.,	w7_d644e11520
s.	w9_d644e11523
W.	w11_d644e11526
Cathar.,	w13_d644e11530
beym	w1_d644e11535
gut.	w3_d644e11538
Hirt.	w5_d644e11541
in	w7_d644e11544
der	w9_d644e11547
Nagler=gas.,	w11_d644e11550
alt	w13_d644e11554
46.	w15_d644e11557
J.	w17_d644e11560
</list>
<head id="h2_d644e11568">
Vor	w1_d644e11572
der	w3_d644e11575
Stadt.	w5_d644e11578
</head>
<list id="l4_d644e11581">
Georg	w1_d644e11585
Geiger,	w3_d644e11588
Burgerl.	w5_d644e11591
Bäck,	w7_d644e11594
in	w9_d644e11597
s.	w11_d644e11600
H.	w13_d644e11604
zu	w15_d644e11607
Margar.	w17_d644e11610
alt	w1_d644e11615
73.	w3_d644e11618
J.	w5_d644e11621
Mart.	w1_d644e11626
Fischer,	w3_d644e11629
Strümpfwürk=ges.,	w5_d644e11632
beym	w7_d644e11635
golden.	w9_d644e11638
Kreutz	w1_d644e11644
auf	w3_d644e11647
der	w5_d644e11650
Landstr.,	w7_d644e11653
alt	w9_d644e11656
46.	w11_d644e11659
J.	w13_d644e11663
Dem	w1_d644e11668
Joh.	w3_d644e11671
Werner,	w5_d644e11674
Herrschaftl.	w7_d644e11677
Lack,	w9_d644e11680
s.	w11_d644e11683
W.	w13_d644e11687
Anna,	w15_d644e11690
bey	w1_d644e11695
der	w3_d644e11698
gold.	w5_d644e11701
Schnal.	w7_d644e11704
bey	w9_d644e11707
Maria=hülf,	w11_d644e11710
alt	w13_d644e11714
39.	w15_d644e11717
J.	w17_d644e11720
Dem	w1_d644e11725
Georg	w3_d644e11728
Fenkler,	w5_d644e11731
Burgerl.	w7_d644e11734
Bildhau.,	w9_d644e11737
s.	w11_d644e11740
K.	w13_d644e11744
Fran	w15_d644e11747
cisca,	w1_d644e11753
beym	w3_d644e11756
Mohr.	w5_d644e11759
in	w7_d644e11762
der	w9_d644e11765
Josephst.,	w11_d644e11768
alt	w13_d644e11772
1.	w15_d644e11775
J.	w17_d644e11778
Dem	w1_d644e11783
Joh.	w3_d644e11786
Zauckenberger,	w5_d644e11789
Herrschaftl.	w7_d644e11792
Lauf.,	w9_d644e11795
s.	w11_d644e11798
K.	w13_d644e11802
Magdal.,	w1_d644e11807
bey	w3_d644e11810
der	w5_d644e11813
gold.	w7_d644e11816
Ros.	w9_d644e11819
bey	w11_d644e11822
St.	w13_d644e11826
Ulrich,	w15_d644e11829
6.	w17_d644e11832
v.	w1_d644e11837
J.	w3_d644e11840
Joh.	w1_d644e11846
Pollack,	w3_d644e11849
Holz=hack.,	w5_d644e11852
beym	w7_d644e11855
Mohr.	w9_d644e11858
im	w11_d644e11861
Liech	w13_d644e11865
tenth.,	w1_d644e11870
alt	w3_d644e11873
38.	w5_d644e11876
J.	w7_d644e11879
Math	w1_d644e11884
Griessenberger,	w3_d644e11887
Brunn=kn.,	w5_d644e11890
bey	w7_d644e11893
der	w9_d644e11896
golden.	w11_d644e11899
Kug	w1_d644e11904
in	w3_d644e11907
der	w5_d644e11910
Josephst.,	w7_d644e11913
alt	w9_d644e11916
60.	w11_d644e11919
J.	w13_d644e11923
Dorothe	w1_d644e11929
Reicherin	w3_d644e11932
led,	w5_d644e11935
im	w7_d644e11938
Fleischhackeris.	w9_d644e11941
H.	w11_d644e11944
am	w13_d644e11948
Hundsth,	w1_d644e11953
alt	w3_d644e11956
62.	w5_d644e11959
J.	w7_d644e11962
Dem	w1_d644e11967
Leov.	w3_d644e11970
Schwarzinger,	w5_d644e11973
Taglöhn.,	w7_d644e11976
s.	w9_d644e11979
K.	w11_d644e11982
Jos.	w13_d644e11986
im	w15_d644e11989
Pfaidis.	w1_d644e11994
H.	w3_d644e11997
zu	w5_d644e12000
Erdberg,	w7_d644e12003
alt	w9_d644e12006
3.	w11_d644e12009
J.	w13_d644e12013
Summa	w1_d644e12019
11.	w3_d644e12022
Pers.,	w5_d644e12025
darunter	w7_d644e12028
4.	w9_d644e12031
Kind.	w11_d644e12034
</list>
<head id="h2_d644e12041">
Den	w1_d644e12045
30.	w3_d644e12048
Mart.	w5_d644e12051
Jn	w7_d644e12054
der	w9_d644e12057
Stadt.	w11_d644e12060
</head>
<list id="l4_d644e12063">
Dem	w1_d644e12067
Conrad	w3_d644e12070
Fechtspiler,	w5_d644e12073
Burgerl	w7_d644e12076
Schneid.,	w9_d644e12079
s.	w11_d644e12082
K.	w13_d644e12086
Cathar.,	w1_d644e12091
im	w3_d644e12094
Hof=schusteris.	w5_d644e12097
H.	w7_d644e12100
im	w9_d644e12103
Färber=gäs.,	w11_d644e12106
alt	w1_d644e12111
1.	w3_d644e12114
J.	w5_d644e12117
Dem	w1_d644e12123
Joh.	w3_d644e12126
Fürst,	w5_d644e12129
gew.	w7_d644e12132
Militar=stadt=thor=schreib.,	w9_d644e12135
s.	w1_d644e12140
W.	w3_d644e12143
Magdal.,	w5_d644e12146
im	w7_d644e12149
Käßstecheris.	w9_d644e12152
H.	w11_d644e12155
in	w13_d644e12159
der	w15_d644e12162
Nu	w17_d644e12165
gler=gas.,	w1_d644e12170
alt	w3_d644e12173
70.	w5_d644e12176
J.	w7_d644e12179
Joh.	w1_d644e12184
Haußner,	w3_d644e12187
Lack.,	w5_d644e12190
im	w7_d644e12193
Färberis.	w9_d644e12196
H.	w11_d644e12199
am	w13_d644e12203
alt.	w15_d644e12206
Fleisch	w17_d644e12209
markt,	w1_d644e12215
alt	w3_d644e12218
39.	w5_d644e12221
J.	w7_d644e12224
</list>
<head id="h2_d644e12231">
Vor	w1_d644e12235
der	w3_d644e12238
Stadt.	w5_d644e12241
</head>
<list id="l4_d644e12244">
Dem	w1_d644e12248
Sim.	w3_d644e12251
Horn,	w5_d644e12254
Burgerl.	w7_d644e12257
Schuhmach.,	w9_d644e12260
s.	w11_d644e12263
W.	w13_d644e12267
</list>
<list id="l6_d644e12271">
Anna	w1_d644e12275
Maria,	w3_d644e12278
im	w5_d644e12281
Fischer=bäckis.	w7_d644e12284
H.	w9_d644e12287
im	w11_d644e12290
Lerchf.,	w13_d644e12294
alt	w1_d644e12299
62.	w3_d644e12302
J.	w5_d644e12305
Sigm.	w1_d644e12310
Jos.	w3_d644e12313
Wurzer,	w5_d644e12316
Burgerl.	w7_d644e12319
Stadt=fleischhack.,	w9_d644e12322
in	w1_d644e12328
s.	w3_d644e12331
H.	w5_d644e12334
auf	w7_d644e12337
der	w9_d644e12340
Landstr.,	w11_d644e12343
alt	w13_d644e12347
62.	w15_d644e12350
J.	w17_d644e12353
Ferd.	w1_d644e12358
Hofreiter,	w3_d644e12361
gew.	w5_d644e12364
Gericht=schreib.,	w7_d644e12367
bey	w9_d644e12370
drnen	w11_d644e12373
12.	w1_d644e12378
Himmels	w3_d644e12381
zeich.	w5_d644e12384
bey	w7_d644e12387
St.	w9_d644e12390
Ulrich,	w11_d644e12393
alt	w13_d644e12397
78.	w15_d644e12400
J.	w17_d644e12403
Dem	w1_d644e12408
Georg	w3_d644e12411
Miedler,	w5_d644e12414
Musicant.,	w7_d644e12417
s.	w9_d644e12420
W.	w11_d644e12423
Barb.,	w13_d644e12427
im	w15_d644e12430
Flecksiederis.	w1_d644e12436
H.	w3_d644e12439
am	w5_d644e12442
Thury,	w7_d644e12445
alt	w9_d644e12448
65.	w11_d644e12451
Dem	w1_d644e12456
Andre	w3_d644e12459
Raunker,	w5_d644e12462
Kutsch.,	w7_d644e12465
s.	w9_d644e12468
W.	w11_d644e12471
Barb.,	w13_d644e12475
beym	w15_d644e12478
weis.	w1_d644e12483
Löw.	w3_d644e12486
in	w5_d644e12489
der	w7_d644e12492
Alster=gas.,	w9_d644e12495
alt	w11_d644e12498
48.	w13_d644e12502
J.	w15_d644e12505
Dem	w1_d644e12510
Franz	w3_d644e12513
Metzner,	w5_d644e12516
Lack.,	w7_d644e12519
s.	w9_d644e12522
K.	w11_d644e12525
Elisab.,	w13_d644e12529
im	w15_d644e12532
Wi	w17_d644e12535
belneckis.	w1_d644e12541
H.	w3_d644e12544
in	w5_d644e12547
der	w7_d644e12550
Alster	w9_d644e12553
gas.,	w11_d644e12556
alt	w13_d644e12560
4.	w15_d644e12563
J.	w17_d644e12566
Leop.	w1_d644e12571
König,	w3_d644e12574
Hosen=schneid.,	w5_d644e12577
beyn	w7_d644e12580
3.	w9_d644e12583
Kug.	w11_d644e12586
an	w13_d644e12590
dem	w15_d644e12593
Spitalberg,	w1_d644e12598
alt	w3_d644e12601
66.	w5_d644e12604
J.	w7_d644e12607
Dem	w1_d644e12612
Joh.	w3_d644e12615
Krammer,	w5_d644e12618
Taglöhn.,	w7_d644e12621
s.	w9_d644e12624
K.	w11_d644e12627
Theres.,	w13_d644e12631
im	w15_d644e12634
Neuneris.	w1_d644e12640
H.	w3_d644e12643
untern	w5_d644e12646
Weiß=gärb.,	w7_d644e12649
alt	w9_d644e12652
6.	w11_d644e12655
v.	w13_d644e12659
J.	w15_d644e12662
Dem	w1_d644e12667
Carl	w3_d644e12670
Wagner,	w5_d644e12673
Taglöhn.,	w7_d644e12676
s.	w9_d644e12679
K.	w11_d644e12682
Maria	w13_d644e12686
Anna,	w15_d644e12689
beym	w1_d644e12694
gr.	w3_d644e12697
Baum	w5_d644e12700
im	w7_d644e12703
Liechtenth.,	w9_d644e12706
alt	w11_d644e12709
3.	w13_d644e12713
J.	w15_d644e12716
</list>
<head id="h2_d644e12723">
Summa	w1_d644e12727
12.	w3_d644e12730
Person.	w5_d644e12733
darunter	w7_d644e12736
4.	w9_d644e12739
Kind.	w11_d644e12742
Den	w1_d644e12747
31.	w3_d644e12750
Mart.	w5_d644e12753
Jn	w1_d644e12758
der	w3_d644e12761
Stadt.	w5_d644e12764
</head>
<list id="l4_d644e12767">
Der	w1_d644e12771
Wol=ehrw.	w3_d644e12774
P.	w5_d644e12777
Aron	w7_d644e12780
Maria	w9_d644e12783
Wöber,	w11_d644e12786
Ord.	w13_d644e12790
Mi	w15_d644e12793
nor.	w1_d644e12798
St.	w3_d644e12801
Franc.	w5_d644e12804
Convent.,	w7_d644e12807
im	w9_d644e12810
Klost.	w11_d644e12813
zum	w13_d644e12817
Heil.	w15_d644e12820
Kreutz	w1_d644e12825
unterm	w3_d644e12828
Land=H.,	w5_d644e12831
alt	w7_d644e12834
46.	w9_d644e12837
J.	w11_d644e12840
Joh.	w1_d644e12846
Neudorfer,	w3_d644e12849
Burgerl.	w5_d644e12852
Schneid.,	w7_d644e12855
im	w9_d644e12858
Frasis.	w11_d644e12861
H.	w13_d644e12865
bey	w1_d644e12870
St.	w3_d644e12873
Steph,	w5_d644e12876
alt	w7_d644e12879
76.	w9_d644e12882
J.	w11_d644e12885
Ferd.	w1_d644e12890
Bruner,	w3_d644e12893
Burgerl.	w5_d644e12896
Schwerdfeg.,	w7_d644e12899
im	w9_d644e12902
Dräxle	w11_d644e12905
ris.	w1_d644e12910
H.	w3_d644e12913
in	w5_d644e12916
der	w7_d644e12919
Singerstr.,	w9_d644e12922
alt	w11_d644e12925
60.	w13_d644e12929
J.	w15_d644e12932
Maria	w1_d644e12938
Kaiserin,	w3_d644e12941
led.,	w5_d644e12944
beym	w7_d644e12947
bl.	w9_d644e12950
Gat.	w11_d644e12953
am	w13_d644e12957
hoh.	w15_d644e12960
Markt,	w17_d644e12963
alt	w1_d644e12968
73.	w3_d644e12971
J.	w5_d644e12974
Cathar.	w1_d644e12979
Zeissenbeckin,	w3_d644e12982
Wittwe,	w5_d644e12985
im	w7_d644e12988
Zimmermeister	w9_d644e12991
ris.	w1_d644e12996
H.	w3_d644e12999
im	w5_d644e13002
Kumpf	w7_d644e13005
gäs.,	w9_d644e13008
alt	w11_d644e13011
67.	w13_d644e13015
J.	w15_d644e13018
</list>
<head id="h2_d644e13025">
Vor	w1_d644e13029
der	w3_d644e13032
Stadt.	w5_d644e13035
</head>
<list id="l4_d644e13038">
Die	w1_d644e13042
Ehrw.	w3_d644e13045
Lay=schwest.	w5_d644e13048
Maria	w7_d644e13051
Thecla	w9_d644e13054
vom	w11_d644e13057
Heil.	w13_d644e13061
Apost.	w1_d644e13066
Paulo,	w3_d644e13069
geb.	w5_d644e13072
Samin,	w7_d644e13075
im	w9_d644e13078
Klost.	w11_d644e13081
bey	w13_d644e13085
St.	w15_d644e13088
Elisab.	w1_d644e13093
auf	w3_d644e13096
der	w5_d644e13099
Landstr.,	w7_d644e13102
alt	w9_d644e13105
35.	w11_d644e13108
J.	w13_d644e13112
Friedr.	w1_d644e13118
Hegel,	w3_d644e13121
Bader,	w5_d644e13124
beyn	w7_d644e13127
3.	w9_d644e13130
gold.	w11_d644e13133
Kron.	w13_d644e13137
an	w15_d644e13140
dem	w17_d644e13143
Spitalberg,	w1_d644e13148
alt	w3_d644e13151
76.	w5_d644e13154
J.	w7_d644e13157
Dem	w1_d644e13162
Joh.	w3_d644e13165
Heidler,	w5_d644e13168
Peroquiern,	w7_d644e13171
s.	w9_d644e13174
T.	w11_d644e13177
Anna,	w13_d644e13181
beym	w15_d644e13184
verlor.	w1_d644e13189
Sohn	w3_d644e13192
bey	w5_d644e13195
St.	w7_d644e13198
Ulrich,	w9_d644e13201
alt	w11_d644e13204
22.	w13_d644e13208
J.	w15_d644e13211
Georg	w1_d644e13217
Bandl,	w3_d644e13220
Haus=inhab.,	w5_d644e13223
in	w7_d644e13226
s.	w9_d644e13229
H.	w11_d644e13232
bey	w13_d644e13236
Maria	w15_d644e13239
hülf,	w1_d644e13244
alt	w3_d644e13247
62.	w5_d644e13250
J.	w7_d644e13253
Dem	w1_d644e13258
Pet.	w3_d644e13261
Sprengl,	w5_d644e13264
Tanzmeist.,	w7_d644e13267
s.	w9_d644e13270
W.	w11_d644e13273
Eva,	w13_d644e13277
in	w15_d644e13280
dem	w17_d644e13283
Gemein=H.	w1_d644e13288
bey	w3_d644e13291
St.	w5_d644e13294
Ulrich,	w7_d644e13297
alt	w9_d644e13300
66.	w11_d644e13303
J.	w13_d644e13307
</list>
<head id="h2_d644e13314">
Summa	w1_d644e13318
10.	w3_d644e13321
Person.,	w5_d644e13324
darunt.	w7_d644e13327
0.	w9_d644e13330
Kind.	w11_d644e13333
</head>
<p id="p4_d644e13336">
Es	w1_d644e13340
sind	w3_d644e13343
hiernach	w5_d644e13346
specificirte	w7_d644e13349
Mobilien	w9_d644e13352
um	w11_d644e13355
einen	w13_d644e13359
sehr	w1_d644e13364
wolfeilen	w3_d644e13367
Preis	w5_d644e13370
stündlich	w7_d644e13373
zu	w9_d644e13376
verkauffen,	w11_d644e13379
als	w13_d644e13383
benanntlich	w1_d644e13388
zwey	w3_d644e13391
gleiche	w5_d644e13394
schöne	w7_d644e13397
Behter	w9_d644e13400
von	w11_d644e13403
Car	w13_d644e13407
mosin=farben	w1_d644e13413
Damast,	w3_d644e13416
bey	w5_d644e13419
246.	w7_d644e13422
Ellen	w9_d644e13425
Spallier	w11_d644e13428
und	w1_d644e13433
Sessel=überzüge	w3_d644e13436
von	w5_d644e13439
Sammet,	w7_d644e13442
dessen	w9_d644e13445
Boden	w11_d644e13448
von	w1_d644e13453
Gold	w3_d644e13456
mit	w5_d644e13459
Carmesin=farbnen	w7_d644e13462
Opern,	w9_d644e13465
ein	w11_d644e13468
Billard	w13_d644e13472
von	w1_d644e13477
grünem	w3_d644e13480
Tuch	w5_d644e13483
samt	w7_d644e13486
Leuchtern	w9_d644e13489
und	w11_d644e13492
übriger	w13_d644e13496
Zu	w15_d644e13499
gehör,	w1_d644e13505
zwey	w3_d644e13508
schöne	w5_d644e13511
Pferd=geschirr	w7_d644e13514
von	w9_d644e13517
carmosin	w11_d644e13520
farben	w1_d644e13525
Marockin	w3_d644e13528
leder,	w5_d644e13531
mit	w7_d644e13534
metallenen	w9_d644e13537
stark	w11_d644e13540
ver	w13_d644e13544
goldeten	w1_d644e13549
Schnallen	w3_d644e13552
und	w5_d644e13555
Beschläg	w7_d644e13558
Pariser	w9_d644e13561
Arbeit,	w11_d644e13564
</p>
<p id="p10_d644e13577">
wie	w1_d644e13581
auch	w3_d644e13584
darzu	w5_d644e13587
gehörigen	w7_d644e13590
Laitsailent	w9_d644e13593
von	w11_d644e13596
carmosin	w13_d644e13600
farber	w1_d644e13605
Seide	w3_d644e13608
und	w5_d644e13611
Gold.	w7_d644e13614
Jtem	w9_d644e13617
3.	w11_d644e13620
Stuck	w13_d644e13624
grüner	w15_d644e13627
Turineser	w1_d644e13632
Damast,	w3_d644e13635
und	w5_d644e13638
3.	w7_d644e13641
grosse	w9_d644e13644
Cron=leuchter	w11_d644e13647
von	w1_d644e13653
Cristall,	w3_d644e13656
deren	w5_d644e13659
einer	w7_d644e13662
mit	w9_d644e13665
24.	w11_d644e13668
und	w13_d644e13672
die	w15_d644e13675
übrige	w17_d644e13678
zwey	w1_d644e13683
jeder	w3_d644e13686
mit	w5_d644e13689
12.	w7_d644e13692
Armen	w9_d644e13695
versehen;	w11_d644e13698
wer	w13_d644e13702
nun	w15_d644e13705
solche	w1_d644e13710
zu	w3_d644e13713
sehen,	w5_d644e13716
oder	w7_d644e13719
eine	w9_d644e13722
weitere	w11_d644e13725
Jnformation	w13_d644e13729
davon	w1_d644e13734
zu	w3_d644e13737
haben	w5_d644e13740
verlanget,	w7_d644e13743
der	w9_d644e13746
kan	w11_d644e13749
sich	w13_d644e13753
auf	w15_d644e13756
dem	w17_d644e13759
Kohlmarkt	w1_d644e13765
in	w3_d644e13768
dem	w5_d644e13771
vorhin	w7_d644e13774
Graf	w9_d644e13777
Gurland	w11_d644e13780
nun	w13_d644e13784
mehr	w1_d644e13789
Montecucolischen	w3_d644e13792
Haus,	w5_d644e13795
gegen	w7_d644e13798
dem	w9_d644e13801
grünen	w11_d644e13804
Fässel	w1_d644e13809
über,	w3_d644e13812
im	w5_d644e13815
ersten	w7_d644e13818
Stock	w9_d644e13821
deßwegen	w11_d644e13824
anmelden.	w13_d644e13828
</p>
<p id="p12_d644e13832">
Von	w1_d644e13836
des	w3_d644e13839
Kaiserl.	w5_d644e13842
Königl.	w7_d644e13845
Judicii	w9_d644e13848
Deleg-mixti	w11_d644e13851
in	w1_d644e13856
Militaribus	w3_d644e13859
im	w5_d644e13862
Erz=herzogtum	w7_d644e13865
Oesterreich	w9_d644e13868
un	w11_d644e13871
ter	w1_d644e13876
und	w3_d644e13879
ob	w5_d644e13882
der	w7_d644e13885
Enns	w9_d644e13888
wegen,	w11_d644e13891
wird	w13_d644e13895
hiemit	w15_d644e13898
durch	w17_d644e13901
dieses	w1_d644e13907
offentliche	w3_d644e13910
Edict	w5_d644e13913
jedermänniglich,	w7_d644e13916
deme	w1_d644e13921
daran	w1_d644e13926
gelegen,	w3_d644e13929
kund	w5_d644e13932
und	w7_d644e13935
zu	w9_d644e13938
wissen	w11_d644e13941
gemacht:	w13_d644e13945
Was	w15_d644e13948
gestalten	w1_d644e13953
aus	w3_d644e13956
des	w5_d644e13959
Joseph	w7_d644e13962
Bussy,	w9_d644e13965
K.	w11_d644e13968
K.	w13_d644e13972
Kriegs	w15_d644e13975
agenten,	w1_d644e13981
als	w3_d644e13984
zu	w5_d644e13987
Vertrett	w7_d644e13990
und	w9_d644e13993
Richtigstellung	w11_d644e13996
der	w13_d644e14000
von	w1_d644e14005
dem	w3_d644e14008
den	w5_d644e14011
9.	w7_d644e14014
Jenner	w9_d644e14017
dies	w11_d644e14020
Jahrs	w13_d644e14024
zu	w15_d644e14027
Neapel	w17_d644e14030
ver	w19_d644e14033
storbenen	w1_d644e14038
K.	w3_d644e14041
K.	w5_d644e14044
General=feld=wachtmeistern,	w7_d644e14047
Hrn.	w9_d644e14050
Marcello	w1_d644e14055
Mastrilli	w3_d644e14058
Marchese	w5_d644e14061
del	w7_d644e14064
Gallo	w9_d644e14067
seel.	w11_d644e14070
ruck	w13_d644e14074
gebliebenen	w1_d644e14080
Verlassenschaft	w3_d644e14083
gerichtl.	w5_d644e14086
