<doc id="wr_1760-08-13" attrs="word" year="1760" month="08" day="13" corpus="2">
<head id="h2_d475e3099">
Von	w1_d475e3103
Leop.	w3_d475e10335
Kamltek=herm.	w5_d475e10338
s.	w7_d475e10341
Kräfl.	w9_d475e10344
Hr.	w11_d475e10347
F.	w13_d475e10351
Ant.,	w1_d475e10356
im	w3_d475e10359
Convict	w5_d475e10362
in	w7_d475e10365
der	w9_d475e10368
Josephst,	w11_d475e10371
alt	w13_d475e10375
13.	w15_d475e10378
J.	w17_d475e10381
Dem	w1_d475e10386
Lorenz	w3_d475e10389
Pitßeck,	w5_d475e10392
Burgerl.	w7_d475e10395
Schneid,	w9_d475e10398
s.	w11_d475e10401
K.	w13_d475e10405
Ca	w15_d475e10408
hein	w1_d475e10414
auf	w3_d475e10417
der	w5_d475e10420
Landstrat.	w7_d475e10423
thar,	w1_d475e10428
beym	w3_d475e10431
gold.	w5_d475e10434
ands	w1_d475e10439
alt	w1_d475e10444
4.	w3_d475e10447
J.	w5_d475e10450
Dem	w1_d475e10456
Franz	w3_d475e10459
Gasperl,	w5_d475e10462
gew.	w7_d475e10465
Burgerl.	w9_d475e10468
Wirt.,	w11_d475e10471
s.	w13_d475e10475
W.	w15_d475e10478
Theres.,	w1_d475e10483
beym	w3_d475e10486
gr.	w5_d475e10489
Paperl	w7_d475e10492
auf	w9_d475e10495
der	w11_d475e10498
Wied.,	w13_d475e10502
58.	w15_d475e10505
J.	w17_d475e10508
Steph.	w1_d475e10513
Kaltenmarker,	w3_d475e10516
Vieh=mayr,	w5_d475e10519
beym	w7_d475e10522
weis.	w9_d475e10525
Kr.	w11_d475e10528
in	w1_d475e10533
der	w3_d475e10536
Leopoldst.,	w5_d475e10539
alt	w7_d475e10542
42.	w9_d475e10545
J.	w11_d475e10548
Barb.	w1_d475e10554
Brunerin,	w3_d475e10557
Wittwe,	w5_d475e10560
im	w7_d475e10563
Schnür=macheris.	w9_d475e10566
H.	w11_d475e10569
auf	w1_d475e10574
der	w3_d475e10577
Landstr.,	w5_d475e10580
alt	w7_d475e10583
86.	w9_d475e10586
J.	w11_d475e10589
Leop.	w1_d475e10594
Hammermüller,	w3_d475e10597
K.	w5_d475e10600
Reit=kn.,	w7_d475e10603
beym	w9_d475e10606
gold.	w11_d475e10609
Ke	w13_d475e10613
gel	w1_d475e10618
am	w3_d475e10621
Spitalberg,	w5_d475e10624
alt	w7_d475e10627
53.	w9_d475e10630
J.	w11_d475e10633
</list>
<head id="h2_d475e10640">
Summa	w1_d475e10644
8.	w3_d475e10647
Pers.	w5_d475e10650
darunter	w7_d475e10653
1.	w9_d475e10656
Kind.	w11_d475e10659
</head>
<p id="p4_d475e10662">
Den	w1_d475e10666
19.	w3_d475e10669
Augusti	w5_d475e10672
fruhe	w7_d475e10675
von	w9_d475e10678
9.	w11_d475e10681
bis	w13_d475e10685
12.	w15_d475e10688
Uhr,	w17_d475e10691
werden	w1_d475e10696
in	w3_d475e10699
dem	w5_d475e10702
klein	w7_d475e10705
Sackischen	w9_d475e10708
Haus(	w11_d475e10711
oder	w13_d475e10715
in	w15_d475e10718
dem	w1_d475e10723
sogenannten	w3_d475e10726
alten	w5_d475e10729
Kupfer=amt)	w7_d475e10732
an	w9_d475e10735
der	w11_d475e10738
Klu	w13_d475e10742
ger=strassen	w1_d475e10748
im	w3_d475e10751
zweyten	w5_d475e10754
Stock	w7_d475e10757
nebst	w9_d475e10760
dem	w11_d475e10763
Wallsisch,	w13_d475e10767
folgende	w1_d475e10772
Jubellen,	w3_d475e10775
als	w5_d475e10778
ein	w7_d475e10781
gefaster	w9_d475e10784
Hut=krampen	w11_d475e10787
(oder	w1_d475e10792
Agrave)	w3_d475e10795
von	w5_d475e10798
Brillanten,	w7_d475e10801
dann	w9_d475e10804
eine	w11_d475e10807
mit	w13_d475e10811
Brillanten	w1_d475e10816
garnirte	w3_d475e10819
Jaspis=dosen,	w5_d475e10822
ein	w7_d475e10825
Brelaten	w9_d475e10828
creuz	w1_d475e10834
von	w3_d475e10837
Schmarack	w5_d475e10840
und	w7_d475e10843
Brillanten,	w9_d475e10846
dann	w11_d475e10849
eine	w13_d475e10853
mit	w1_d475e10858
Brillanten	w3_d475e10861
besetzte	w5_d475e10864
Türkische	w7_d475e10867
Uhr,	w9_d475e10870
und	w11_d475e10873
etliche	w13_d475e10877
garnierte	w1_d475e10882
Brillant=ringe	w3_d475e10885
dem	w5_d475e10888
Meist=bietenden	w7_d475e10891
gegen	w1_d475e10896
baarer	w3_d475e10899
Bezahlung	w5_d475e10902
verkauft	w7_d475e10905
werden.	w9_d475e10908
</p>
<p id="p6_d475e10911">
Von	w1_d475e10915
der	w3_d475e10918
N.	w5_d475e10921
Oe.	w7_d475e10924
Regierung	w9_d475e10927
wegen,	w11_d475e10930
wird	w13_d475e10934
mit	w15_d475e10937
gegenwärtig=offenem	w1_d475e10942
Edict	w3_d475e10945
jedermäniglich,	w5_d475e10948
so	w7_d475e10951
wol	w1_d475e10956
An	w3_d475e10959
als	w5_d475e10962
Abwesenden,	w7_d475e10965
deme	w9_d475e10968
daran	w11_d475e10971
gelegen,	w13_d475e10975
kund	w1_d475e10981
und	w3_d475e10984
zu	w5_d475e10987
wissen	w7_d475e10990
gemacht:	w9_d475e10993
Es	w11_d475e10996
habe	w13_d475e11000
Regie	w15_d475e11003
rung	w1_d475e11008
eine	w3_d475e11011
Rohtdurft	w5_d475e11014
zu	w7_d475e11017
seyn	w9_d475e11020
befunden	w11_d475e11023
über	w13_d475e11027
des	w15_d475e11030
verstorbenen	w1_d475e11035
Joseph	w3_d475e11038
Ott,	w5_d475e11041
gewest	w7_d475e11044
Kaiserl.	w9_d475e11047
Königl.	w11_d475e11050
Kriegs=buchhalterey=rait=officiers	w1_d475e11055
unterlassene	w3_d475e11058
Verlassenschaft	w1_d475e11064
einen	w3_d475e11067
ordentlichen	w5_d475e11070
Concurs	w7_d475e11073
anzu	w9_d475e11076
ordnen,	w1_d475e11081
und	w3_d475e11084
desselben	w5_d475e11087
sammentliche,	w7_d475e11090
sowol	w9_d475e11093
in	w11_d475e11096
als	w1_d475e11101
ausser	w3_d475e11104
Land	w5_d475e11107
befindliche	w7_d475e11110
Glaubige	w9_d475e11113
zu	w11_d475e11116
Anmeld	w13_d475e11120
und	w1_d475e11125
Liquidirung	w3_d475e11128
ihrer	w5_d475e11131
an	w7_d475e11134
erst	w9_d475e11137
bemeldten	w11_d475e11140
Ottischen	w13_d475e11144
Verlassenschaft	w1_d475e11150
zu	w3_d475e11153
stellen	w5_d475e11156
habender	w7_d475e11159
Sprüch	w9_d475e11162
und	w11_d475e11165
Forderungen	w1_d475e11170
einzuberuffen;	w3_d475e11173
zu	w5_d475e11176
welchem	w7_d475e11179
Ende	w9_d475e11182
denenselben	w1_d475e11187
der	w3_d475e11190
23.	w5_d475e11193
Tag	w7_d475e11196
dies	w9_d475e11199
Monats	w11_d475e11202
Augusti	w13_d475e11206
Nachmittags	w1_d475e11211
um	w3_d475e11214
4.	w5_d475e11217
Uhr	w7_d475e11220
zur	w9_d475e11223
gewöhnlichen	w11_d475e11226
Tag	w13_d475e11230
satzung	w1_d475e11236
für	w3_d475e11239
die	w5_d475e11242
erstandert	w7_d475e11245
und	w9_d475e11248
dritte	w11_d475e11251
auch	w13_d475e11255
all	w15_d475e11258
endliche	w1_d475e11263
Frist	w3_d475e11266
sub	w5_d475e11269
clausula	w7_d475e11272
præclusi	w9_d475e11275
anberaumet	w11_d475e11278
worden.	w1_d475e11283
Solchemnach	w3_d475e11286
werden	w5_d475e11289
alle	w7_d475e11292
und	w9_d475e11295
jede,	w11_d475e11298
welche	w1_d475e11303
an	w3_d475e11306
gedacht	w5_d475e11309
Joseph	w7_d475e11312
Ottische	w9_d475e11315
Verlassen	w11_d475e11318
schaft	w1_d475e11324
ex	w3_d475e11327
quacunque	w5_d475e11330
causa	w7_d475e11333
vel	w9_d475e11336
Titulo	w11_d475e11339
Sprüch	w13_d475e11343
und	w1_d475e11348
Anforberungen	w3_d475e11351
haben,	w5_d475e11354
oder	w7_d475e11357
zu	w9_d475e11360
haben	w11_d475e11363
ver	w13_d475e11367
meinen,	w1_d475e11372
an	w3_d475e11375
bestimmten	w5_d475e11378
Tag	w7_d475e11381
und	w9_d475e11384
Stund	w11_d475e11387
vor	w13_d475e11391
Re	w15_d475e11394
gierung	w1_d475e11399
in	w3_d475e11402
der	w5_d475e11405
daselbst	w7_d475e11408
zu	w9_d475e11411
solchem	w11_d475e11414
Ende	w13_d475e11418
offen	w15_d475e11421
hal	w17_d475e11424
tenden	w1_d475e11430
Commißions=stuben	w3_d475e11433
entweder	w5_d475e11436
selbst	w7_d475e11439
per	w9_d475e11442
sönlich,	w1_d475e11447
oder	w3_d475e11450
durch	w5_d475e11453
hierzu	w7_d475e11456
genugsam	w9_d475e11459
gevollmäch	w11_d475e11462
tigte	w1_d475e11467
Gewalt=tragere	w3_d475e11470
also	w5_d475e11473
gewiß	w7_d475e11476
zu	w9_d475e11479
erscheinen,	w11_d475e11482
und	w1_d475e11487
ihre	w3_d475e11490
an	w5_d475e11493
solche	w7_d475e11496
Crida=massa	w9_d475e11499
habende	w11_d475e11502
Anfor	w13_d475e11506
e	w1_d475e11512
</p>
<p id="p10_d475e11517">
derungen	w1_d475e11521
anzumelden,	w3_d475e11524
auch	w5_d475e11527
zu	w7_d475e11530
Herstellung	w9_d475e11533
des	w11_d475e11536
erforderlich	w1_d475e11541
rechtlichen	w3_d475e11544
Beweistum	w5_d475e11547
ihre	w7_d475e11550
Schuld	w9_d475e11553
und	w1_d475e11558
Satz=brief,	w3_d475e11561
oder	w5_d475e11564
ansonst	w7_d475e11567
habende	w9_d475e11570
Liquida	w11_d475e11573
tions=urkunden	w1_d475e11579
und	w3_d475e11582
rechtliche	w5_d475e11585
Behelf	w7_d475e11588
in	w9_d475e11591
beglaub	w11_d475e11594
ten	w1_d475e11599
Abschriften	w3_d475e11602
einzulegen	w5_d475e11605
haben,	w7_d475e11608
wie	w9_d475e11611
im	w11_d475e11614
widri	w13_d475e11618
gen	w1_d475e11623
der	w3_d475e11626
Ausbleibende	w5_d475e11629
von	w7_d475e11632
gegenwärtiger	w9_d475e11635
Con	w11_d475e11638
curs=massa	w1_d475e11643
gänzlich	w3_d475e11646
ausgeschlossen	w5_d475e11649
seyn,	w7_d475e11652
und	w9_d475e11655
ihme	w1_d475e11661
diesfalls	w3_d475e11664
das	w5_d475e11667
ewige	w7_d475e11670
Stillschweigen	w9_d475e11673
auferle	w11_d475e11676
get;	w1_d475e11681
der	w3_d475e11684
nicht	w5_d475e11687
liquiderende	w7_d475e11690
aber	w9_d475e11693
in	w11_d475e11696
der	w13_d475e11700
künftigen	w15_d475e11703
Claßification	w1_d475e11708
mit	w3_d475e11711
seiner	w5_d475e11714
unerwiesenen	w7_d475e11717
Anforde	w9_d475e11720
rung	w1_d475e11725
abgewiesen	w3_d475e11728
werden	w5_d475e11731
solle.	w7_d475e11734
Wornach	w9_d475e11737
sich	w11_d475e11740
ein	w13_d475e11744
jeder	w1_d475e11750
zu	w3_d475e11753
richten,	w5_d475e11756
und	w7_d475e11759
vor	w9_d475e11762
Schaden	w11_d475e11765
zu	w13_d475e11769
hüten	w15_d475e11772
wiß	w17_d475e11775
sen	w1_d475e11780
wird.	w3_d475e11783
</p>
<p id="p12_d475e11787">
Auf	w1_d475e11791
Verordnung	w3_d475e11794
einer	w5_d475e11797
Hoch=gräfl.	w7_d475e11800
Sigmund	w9_d475e11803
Heisensteinischen	w1_d475e11808
Herrschaft	w3_d475e11811
Starhemberg	w5_d475e11814
Piestin	w7_d475e11817
ger	w1_d475e11822
Antheils	w3_d475e11825
sollen	w5_d475e11828
all=diejenige,	w7_d475e11831
welche	w9_d475e11834
an	w11_d475e11837
Caspar	w13_d475e11841
Pauer,	w1_d475e11847
Burgerl.	w3_d475e11850
Weisgärber	w5_d475e11853
im	w7_d475e11856
Markt	w9_d475e11859
Piesting	w11_d475e11862
ad	w1_d475e11867
concursum	w3_d475e11870
Creditorum	w5_d475e11873
gediehenen	w7_d475e11876
Vermögen	w9_d475e11879
einige	w1_d475e11884
Sprüche	w3_d475e11887
oder	w5_d475e11890
sonst	w7_d475e11893
sub	w9_d475e11896
quocunque	w11_d475e11899
titulo	w13_d475e11903
einige	w1_d475e11908
Anforderung	w3_d475e11911
zu	w5_d475e11914
machen	w7_d475e11917
vermeinen,	w9_d475e11920
auf	w11_d475e11923
den	w13_d475e11927
27.	w1_d475e11933
Septemb	w3_d475e11936
1760.	w5_d475e11939
Vormittag	w7_d475e11942
præcise	w9_d475e11945
um	w11_d475e11948
9.	w13_d475e11952
Uhr	w1_d475e11957
in	w3_d475e11960
der	w5_d475e11963
Herrschaft	w7_d475e11966
Piestinger	w9_d475e11969
Amts=canzley	w11_d475e11972
zu	w13_d475e11976
Hörnstein	w1_d475e11981
pro	w3_d475e11984
1mo,	w5_d475e11987
2do	w7_d475e11990
&	w9_d475e11993
3tio	w11_d475e11996
termino	w13_d475e12000
sub	w15_d475e12003
clau-	w17_d475e12006
snla	w1_d475e12011
præclusi,	w3_d475e12014
ac	w5_d475e12017
perpetui	w7_d475e12020
silentii	w9_d475e12023
alsogewiß	w11_d475e12026
selbst	w13_d475e12030
persönlich,	w1_d475e12036
oder	w3_d475e12039
durch	w5_d475e12042
genugsame	w7_d475e12045
Mandatagios	w9_d475e12048
erscheinen,	w1_d475e12053
ihre	w3_d475e12056
Forderungen	w5_d475e12059
behörig	w7_d475e12062
anmelden	w9_d475e12065
als	w1_d475e12070
im	w3_d475e12073
widrigen	w5_d475e12076
mit	w7_d475e12079
denen	w9_d475e12082
vorkommenden	w11_d475e12085
Credi-	w13_d475e12089
roribus	w1_d475e12094
diese	w3_d475e12097
Cridä=sach	w5_d475e12100
geschlossen	w7_d475e12103
werden,	w9_d475e12106
und	w11_d475e12109
die	w1_d475e12115
nicht	w3_d475e12118
Angemeldete	w5_d475e12121
von	w7_d475e12124
diesem	w9_d475e12127
Concurs	w11_d475e12130
ganzlich	w13_d475e12134
ubgewiesen	w1_d475e12139
seyn	w3_d475e12142
sollen.	w5_d475e12145
</p>
<p id="p14_d475e12148">
Von	w1_d475e12152
einem	w3_d475e12155
Löbl.	w5_d475e12158
N.	w7_d475e12161
Oe.	w9_d475e12164
Landschaftsoberein	w11_d475e12167
nehmer=amt	w1_d475e12172
wird	w3_d475e12175
über	w5_d475e12178
vorhinnige	w7_d475e12181
Kund=machung	w9_d475e12184
hiemit	w1_d475e12189
weiters	w3_d475e12192
zu	w5_d475e12195
wissen	w7_d475e12198
gemacht;	w9_d475e12201
daß	w11_d475e12204
an	w13_d475e12208
denen	w15_d475e12211
zu	w1_d475e12217
Bestreitung	w3_d475e12220
derer	w5_d475e12223
erforderlichen	w7_d475e12226
Unkösten	w9_d475e12229
bey	w11_d475e12232
fürdaurend	w1_d475e12237
gegenwärtigen	w3_d475e12240
Krieg	w5_d475e12243
von	w7_d475e12246
Anno	w9_d475e12249
1756.	w11_d475e12252
bis	w1_d475e12257
inclusive	w3_d475e12260
1759	w5_d475e12263
in	w7_d475e12266
besagtem	w9_d475e12269
Amte	w11_d475e12272
erlegtes	w13_d475e12276
Anticipationen	w1_d475e12281
und	w3_d475e12284
Subsidien,	w5_d475e12287
auch	w7_d475e12290
alle	w9_d475e12293
von	w11_d475e12296
30.	w13_d475e12300
bin	w15_d475e12303
exclusive	w1_d475e12309
100.	w3_d475e12312
fl.	w5_d475e12315
(wovor	w7_d475e12318
unterm	w9_d475e12321
15.	w11_d475e12324
Octoris	w13_d475e12328
ei	w15_d475e12331
nes	w1_d475e12336
jeglichen	w3_d475e12339
obiger	w5_d475e12342
Jahren	w7_d475e12345
datirt=N.	w9_d475e12348
Oe.	w11_d475e12351
Land	w13_d475e12355
schafts=obligationen	w1_d475e12360
ertheilet	w3_d475e12363
worden	w5_d475e12366
seynd)	w7_d475e12369
in	w9_d475e12372
nächst	w1_d475e12377
künftigen	w3_d475e12380
Monat	w5_d475e12383
Octobri	w7_d475e12386
dieses	w9_d475e12389
1760sten	w11_d475e12392
Jahrs	w1_d475e12398
von	w3_d475e12401
da	w5_d475e12404
aus	w7_d475e12407
anwiederumen	w9_d475e12410
zuruck	w11_d475e12413
bezahlet	w13_d475e12417
werden;	w1_d475e12422
Solchemnach	w3_d475e12425
können	w5_d475e12428
all=jene	w7_d475e12431
Partheyen,	w9_d475e12434
so	w1_d475e12439
derley	w3_d475e12442
N.	w5_d475e12445
Oe.	w7_d475e12448
Landschafts=obligationen	w9_d475e12451
in	w11_d475e12454
Handen	w1_d475e12459
haben,	w3_d475e12462
zu	w5_d475e12465
Abholung	w7_d475e12468
dieser	w9_d475e12471
ihrer	w11_d475e12474
Capi	w13_d475e12478
ralien	w1_d475e12484
samt	w3_d475e12487
Jnteresse	w5_d475e12490
ber	w7_d475e12493
Verfall=zeit	w9_d475e12496
in	w11_d475e12499
bemelde	w13_d475e12503
tem	w1_d475e12508
Amte	w3_d475e12511
sich	w5_d475e12514
einfinden,	w7_d475e12517
dann	w9_d475e12520
hinnach	w11_d475e12523
kein	w13_d475e12527
wei	w15_d475e12530
teres	w1_d475e12535
Jnteresse	w3_d475e12538
hievon	w5_d475e12541
mehr	w7_d475e12544
abgereichet	w9_d475e12547
wird.	w11_d475e12550
</p>
<p id="p16_d475e12553">
Von	w1_d475e12557
N.	w3_d475e12560
Richter	w5_d475e12563
und	w7_d475e12566
Raht	w9_d475e12569
des	w11_d475e12572
Markts	w13_d475e12576
Himberg	w15_d475e12579
wegen,	w1_d475e12584
wird	w3_d475e12587
hiemit	w5_d475e12590
jedermänniglich	w7_d475e12593
kund	w9_d475e12596
und	w11_d475e12599
zu	w13_d475e12603
wissen	w1_d475e12608
gemacht:	w3_d475e12611
welchergestalten	w5_d475e12614
die	w7_d475e12617
Adam	w9_d475e12620
Plu	w11_d475e12623
merische	w1_d475e12629
Behausung	w3_d475e12632
zum	w5_d475e12635
weissen	w7_d475e12638
Rößl	w9_d475e12641
im	w11_d475e12644
Markt	w13_d475e12648
Himberg,	w1_d475e12653
samt	w3_d475e12656
denen	w5_d475e12659
hierzu	w7_d475e12662
gehörigen	w9_d475e12665
4.	w11_d475e12668
ordinari	w13_d475e12672
Haus=überländ=Grund=stücken,	w1_d475e12677
wie	w3_d475e12680
auch	w5_d475e12683
10.	w7_d475e12686
ein	w9_d475e12689
Viertl	w1_d475e12694
Joch	w3_d475e12697
überländ=Aecker,	w5_d475e12700
2.	w7_d475e12703
Viertl	w9_d475e12706
Weingart	w11_d475e12709
äcker	w1_d475e12715
samt	w3_d475e12718
Garten,	w5_d475e12721
ein	w7_d475e12724
Viertl	w9_d475e12727
Tagwerk	w11_d475e12730
Pomtl,	w13_d475e12734
ein	w1_d475e12739
Viertl	w3_d475e12742
Weingarien,	w5_d475e12745
und	w7_d475e12748
2.	w9_d475e12751
Kraut	w11_d475e12754
garten,	w13_d475e12758
ex	w15_d475e12761
</p>
<p id="p18_d475e12764">
officio	w1_d475e12768
verkauffet	w3_d475e12771
werden;	w5_d475e12774
Als	w7_d475e12777
wird	w9_d475e12780
hiemit	w11_d475e12783
auf	w13_d475e12787
den	w1_d475e12792
26.	w3_d475e12795
Monats=tag	w5_d475e12798
Augusti	w7_d475e12801
lauffenden	w9_d475e12804
Jahrs	w11_d475e12807
eine	w13_d475e12811
Licitations=tag=satzung	w1_d475e12816
angeordnet;	w3_d475e12819
wer	w5_d475e12822
demnach	w7_d475e12825
sothane	w1_d475e12831
Behausung	w3_d475e12834
samt	w5_d475e12837
Grund=ftücke	w7_d475e12840
zu	w9_d475e12843
erkauffen	w11_d475e12846
willens,	w1_d475e12851
hat	w3_d475e12854
an	w5_d475e12857
ob=bestimmten	w7_d475e12860
Tag	w9_d475e12863
Fruh	w11_d475e12866
um	w13_d475e12870
9.	w15_d475e12873
Uhr	w1_d475e12878
auf	w3_d475e12881
allhiesigen	w5_d475e12884
Raht=haus	w7_d475e12887
zu	w9_d475e12890
erscheinen,	w11_d475e12893
und	w13_d475e12897
sich	w1_d475e12902
allda	w3_d475e12905
anmelden	w5_d475e12908
zu	w7_d475e12911
lassen,	w9_d475e12914
welches	w11_d475e12917
denensel	w13_d475e12921
ben	w1_d475e12927
anmit	w3_d475e12930
durch	w5_d475e12933
dieses	w7_d475e12936
offentliche	w9_d475e12939
Edict	w11_d475e12942
erinneret	w13_d475e12946
wird.	w1_d475e12951
</p>
<p id="p20_d475e12954">
Es	w1_d475e12958
hat	w3_d475e12961
ein	w5_d475e12964
zur	w7_d475e12967
Gaun	w9_d475e12970
und	w11_d475e12973
Zanconi=wie	w13_d475e12977
auch	w15_d475e12980
Hautzenbergischen	w1_d475e12985
Massem	w3_d475e12988
allerhöchst	w5_d475e12991
bestättigter	w7_d475e12994
Ausschuß	w1_d475e12999
einen	w3_d475e13002
fünften	w5_d475e13005
Dividenten	w7_d475e13008
à	w9_d475e13011
7.	w11_d475e13014
pro	w13_d475e13018
Cento	w15_d475e13021
mehrmalen	w1_d475e13027
zu	w3_d475e13030
Stand	w5_d475e13033
gebracht,	w7_d475e13036
und	w9_d475e13039
den	w11_d475e13042
1.	w13_d475e13046
Au	w15_d475e13049
gusti	w1_d475e13054
dieses	w3_d475e13057
1760.	w5_d475e13060
Jahrs	w7_d475e13063
zur	w9_d475e13066
Anfangenden	w11_d475e13069
Aus	w13_d475e13073
theilung	w1_d475e13078
hiemit	w3_d475e13081
kund	w5_d475e13084
machen	w7_d475e13087
wollen:	w9_d475e13090
als	w11_d475e13093
werden	w13_d475e13097
alle	w1_d475e13102
refrectibe	w3_d475e13105
Heeren	w5_d475e13108
Jnteressenfen	w7_d475e13111
von	w9_d475e13114
gemel	w11_d475e13117
ten	w1_d475e13123
dato	w3_d475e13126
an,	w5_d475e13129
täglich	w7_d475e13132
Sonn	w9_d475e13135
Feyertag,	w11_d475e13138
und	w13_d475e13142
Mitt	w15_d475e13145
woch	w1_d475e13150
ausgenommen,	w3_d475e13153
fruhe	w5_d475e13156
von	w7_d475e13159
8.	w9_d475e13162
bis	w11_d475e13165
12.,	w13_d475e13169
und	w15_d475e13172
Nachmittag	w1_d475e13177
von	w3_d475e13180
2.	w5_d475e13183
bis	w7_d475e13186
6.	w9_d475e13189
Uhr,	w11_d475e13192
beym	w13_d475e13196
Stoß	w15_d475e13199
an	w17_d475e13202
Himmel,	w1_d475e13207
ebner	w3_d475e13210
Erden,	w5_d475e13213
gegen	w7_d475e13216
genugsamer	w9_d475e13219
Leal	w11_d475e13222
timation,	w1_d475e13228
die	w3_d475e13231
ihnen	w5_d475e13234
zukommende	w7_d475e13237
Ratam	w9_d475e13240
abzuhö	w11_d475e13243
len,	w1_d475e13248
und	w3_d475e13251
weilen	w5_d475e13254
gedacht	w7_d475e13257
Lobl.	w9_d475e13260
Ansschuß	w11_d475e13263
dieses	w13_d475e13267
se	w15_d475e13270
viel=jährige	w1_d475e13275
Schulden	w3_d475e13278
abledigungs=geschäft	w5_d475e13281
derma	w7_d475e13284
len	w1_d475e13289
durch	w3_d475e13292
Aufstellung	w5_d475e13295
eines	w7_d475e13298
Compromissi	w9_d475e13301
zum	w11_d475e13304
zanz	w13_d475e13308
lich	w1_d475e13314
erwünschten	w3_d475e13317
Ausgleichungs=ende	w5_d475e13320
zu	w7_d475e13323
bringen	w9_d475e13326
willens	w1_d475e13331
ist,	w3_d475e13334
ihre	w5_d475e13337
etwann	w7_d475e13340
benennende	w9_d475e13343
Mandatarios	w11_d475e13346
auch	w1_d475e13351
dahin	w3_d475e13354
zu	w5_d475e13357
begwalten	w7_d475e13360
belieben,	w9_d475e13363
daß	w11_d475e13366
sie	w13_d475e13370
die	w15_d475e13373
vorschlagende	w1_d475e13378
Subjecta	w3_d475e13381
pro	w5_d475e13384
Compromissariis,	w7_d475e13387
und	w9_d475e13390
genugsame	w1_d475e13396
Geschäfts=verwalter	w3_d475e13399
approbiren,	w5_d475e13402
ober	w7_d475e13405
sich	w1_d475e13410
diesfals	w3_d475e13413
wenigstens	w5_d475e13416
der	w7_d475e13419
Mehrheit	w9_d475e13422
der	w11_d475e13425
Crebb	w13_d475e13429
torschaft	w1_d475e13434
conformiren	w3_d475e13437
können.	w5_d475e13440
</p>
<p id="p22_d475e13443">
Von	w1_d475e13447
der	w3_d475e13450
N.	w5_d475e13453
Oe.	w7_d475e13456
Regierung	w9_d475e13459
regen,	w11_d475e13462
wird	w13_d475e13466
mit	w15_d475e13469
gegenwärtig=offenem	w1_d475e13474
Edict	w3_d475e13477
denen	w5_d475e13480
in	w7_d475e13483
dem	w9_d475e13486
Berin	w11_d475e13489
hard	w1_d475e13494
Adamischen	w3_d475e13497
Cridä=relations	w5_d475e13500
ausschlag	w7_d475e13503
Sraeie	w9_d475e13506
quarra	w1_d475e13512
einkommenden	w3_d475e13515
sammentlichen	w5_d475e13518
Churogradand	w7_d475e13521
ereditoren,	w1_d475e13526
benanntlichen:	w3_d475e13529
dem	w5_d475e13532
Woligang	w7_d475e13535
Her	w9_d475e13538
merl,	w1_d475e13543
Küner	w3_d475e13546
&	w5_d475e13549
Compag.	w7_d475e13552
dem	w9_d475e13555
Hern	w11_d475e13558
Ladislad	w13_d475e13562
Ba	w15_d475e13565
ron	w1_d475e13570
von	w3_d475e13573
Schigray,	w5_d475e13576
dem	w7_d475e13579
Franz	w9_d475e13582
Joserh	w11_d475e13585
Fehrner=,	w13_d475e13589
als	w1_d475e13595
Bevollmachtigten	w3_d475e13598
des	w5_d475e13601
Johann	w7_d475e13604
Joseph	w9_d475e13607
Stot	w11_d475e13610
negg	w1_d475e13615
in	w3_d475e13618
Grätz,	w5_d475e13621
dann	w7_d475e13624
als	w9_d475e13627
Mandat.	w11_d475e13630
des	w13_d475e13634
Georg	w15_d475e13637
Zecha	w17_d475e13640
zu	w1_d475e13645
Mährisch=Tribau,	w3_d475e13648
wie	w5_d475e13651
auch	w7_d475e13654
als	w9_d475e13657
Gewaltkra	w11_d475e13660
ger	w1_d475e13665
des	w3_d475e13668
Mathias	w5_d475e13671
Serz	w7_d475e13674
in	w9_d475e13677
Nürnberg,	w11_d475e13680
dem	w13_d475e13684
Franz	w15_d475e13687
Anton	w1_d475e13693
Simon	w3_d475e13696
Burgerl	w5_d475e13699
Glaser=meister,	w7_d475e13702
der	w9_d475e13705
Mariä	w1_d475e13710
Helenä	w3_d475e13713
Froschin,	w5_d475e13716
dem	w7_d475e13719
Anton	w9_d475e13722
Rissc	w11_d475e13725
neck,	w1_d475e13730
Tuchthandlern	w3_d475e13733
zu	w5_d475e13736
Neuhaus,	w7_d475e13739
dem	w9_d475e13742
Herrn	w11_d475e13745
Frey=herrn	w1_d475e13750
Pattachich,	w3_d475e13753
Canonico	w5_d475e13756
zu	w7_d475e13759
Agram,	w9_d475e13762
dem	w1_d475e13768
Herrn	w3_d475e13771
Baron	w5_d475e13774
de	w7_d475e13777
Sermage,	w9_d475e13780
dem	w11_d475e13783
Doct.	w13_d475e13787
Heim,	w1_d475e13792
als	w3_d475e13795
Johann	w5_d475e13798
Raymund	w7_d475e13801
Albrechtsbergischen	w9_d475e13804
Cepionario,	w1_d475e13809
dem	w3_d475e13812
Franz	w5_d475e13815
Gottlieb	w7_d475e13818
Stockhammer	w9_d475e13821
in	w1_d475e13826
Grieskirchen,	w3_d475e13829
der	w5_d475e13832
Williä	w7_d475e13835
Vandock	w9_d475e13838
und	w11_d475e13841
Stir	w13_d475e13845
ilng	w1_d475e13851
in	w3_d475e13854
Amsterdam,	w5_d475e13857
denen	w7_d475e13860
Gebrüdern	w9_d475e13863
Schrei	w11_d475e13866
ber,	w1_d475e13871
dem	w3_d475e13874
