<doc id="wr_1762-04-21" attrs="word" year="1762" month="04" day="21" corpus="2">
<head id="h2_d649e3413">
Madrit	w1_d649e3417
über	w7_d649e10677
den	w9_d649e10680
gewöhn	w11_d649e10683
lichen	w1_d649e10688
Gang	w3_d649e10691
nach	w5_d649e10694
derer	w7_d649e10697
WW.	w9_d649e10700
EE.	w11_d649e10703
PP.	w13_d649e10707
Au	w15_d649e10710
gustiner=barfüsser	w1_d649e10715
Hof=kirche	w3_d649e10718
sich	w5_d649e10721
erhoben,	w7_d649e10724
und	w1_d649e10729
von	w3_d649e10732
da	w5_d649e10735
aus	w7_d649e10738
die	w9_d649e10741
Proceßion,	w11_d649e10744
welche	w13_d649e10748
Se.	w15_d649e10751
Hochfürstl.	w1_d649e10757
Eminenz	w3_d649e10760
der	w5_d649e10763
Herr	w7_d649e10766
Cardinal	w9_d649e10769
und	w1_d649e10774
hiesige	w3_d649e10777
Erzbischof	w5_d649e10780
geführet,	w7_d649e10783
unter	w9_d649e10786
Vor	w11_d649e10789
gehung	w1_d649e10794
der	w3_d649e10797
gesamten	w5_d649e10800
Clerisey,	w7_d649e10803
und	w9_d649e10806
vie	w11_d649e10809
les	w1_d649e10814
Volkes	w3_d649e10817
nach	w5_d649e10820
der	w7_d649e10823
St.	w9_d649e10826
Stephansmetro	w11_d649e10829
politan=kirche	w1_d649e10835
begleitet,	w3_d649e10838
und	w5_d649e10841
allda	w7_d649e10844
zum	w9_d649e10847
Ein	w11_d649e10850
gang	w1_d649e10855
des	w3_d649e10858
angeordneten	w5_d649e10861
allgemeinen	w7_d649e10864
Gebets	w9_d649e10867
dem	w1_d649e10872
solennen	w3_d649e10875
Hochamt	w5_d649e10878
beygewohnet.	w7_d649e10881
</p>
<p id="p10_d649e10884">
Montags	w1_d649e10888
den	w3_d649e10891
19.	w5_d649e10894
dito	w7_d649e10897
früh	w9_d649e10900
ist	w11_d649e10903
die	w13_d649e10907
zwey	w15_d649e10910
te	w1_d649e10915
Colonne	w3_d649e10918
Bannalisten	w5_d649e10921
von	w7_d649e10924
900.	w9_d649e10927
Köpfen	w11_d649e10930
der	w1_d649e10935
schönsten	w3_d649e10938
Mannschaft,	w5_d649e10941
ganz	w7_d649e10944
neu	w9_d649e10947
monti	w11_d649e10950
ret,	w1_d649e10956
hier	w3_d649e10959
vorbey	w5_d649e10962
nach	w7_d649e10965
Schlesien	w9_d649e10968
marschi	w11_d649e10971
ret,	w1_d649e10976
und	w3_d649e10979
wird	w5_d649e10982
derselben	w7_d649e10985
nächster	w9_d649e10988
Tagen	w11_d649e10991
die	w13_d649e10995
dritte	w1_d649e11000
folgen.	w3_d649e11003
</p>
<p id="p12_d649e11007">
Den	w1_d649e11011
17.	w3_d649e11014
dieses	w5_d649e11017
ist	w7_d649e11020
die	w9_d649e11023
Ziehung	w11_d649e11026
der	w13_d649e11030
K.	w15_d649e11033
K.	w17_d649e11036
Lotterie	w1_d649e11041
in	w3_d649e11044
der	w5_d649e11047
K.	w7_d649e11050
K.	w9_d649e11053
Haupt=stadt	w11_d649e11056
Prag	w13_d649e11060
ge	w15_d649e11063
schehen,	w1_d649e11068
und	w3_d649e11071
die	w5_d649e11074
Nri.	w7_d649e11077
39.	w9_d649e11080
69.	w11_d649e11083
18.	w13_d649e11087
73.	w15_d649e11090
und	w1_d649e11096
56.	w3_d649e11099
mit	w5_d649e11102
verschiedenen	w7_d649e11105
beträchtlichen	w9_d649e11108
Ambi,	w1_d649e11113
nahmhaften	w3_d649e11116
Terni,	w5_d649e11119
und	w7_d649e11122
erheblichen	w9_d649e11125
Estrati	w1_d649e11130
gehoben	w3_d649e11133
worden.	w5_d649e11136
Mit	w7_d649e11139
Umgehung	w9_d649e11142
aller	w1_d649e11147
übrigen	w3_d649e11150
in	w5_d649e11153
besagter	w7_d649e11156
Ziehung	w9_d649e11159
sich	w11_d649e11162
ge	w13_d649e11166
äusserten	w1_d649e11172
Gewinne,	w3_d649e11175
will	w5_d649e11178
man	w7_d649e11181
lediglich	w9_d649e11184
nur	w11_d649e11187
</p>
<p id="p18_d649e11200">
ein	w1_d649e11204
und	w3_d649e11207
andere	w5_d649e11210
hiemit	w7_d649e11213
kund,	w9_d649e11216
machen,	w11_d649e11219
und	w1_d649e11224
zwar,	w3_d649e11227
daß	w5_d649e11230
von	w7_d649e11233
dem	w9_d649e11236
sub	w11_d649e11239
Nro	w13_d649e11243
5.	w15_d649e11246
auf	w17_d649e11249
dem	w1_d649e11254
Kohl=markt	w3_d649e11257
angestellten	w5_d649e11260
Collecteur	w7_d649e11263
ein	w9_d649e11266
Terno	w1_d649e11272
mit	w3_d649e11275
1018.	w5_d649e11278
Ducaten,	w7_d649e11281
von	w9_d649e11284
jenem	w11_d649e11287
sub	w13_d649e11291
Nro.	w1_d649e11296
16.	w3_d649e11299
einen	w5_d649e11302
detto	w7_d649e11305
mit	w9_d649e11308
103.	w11_d649e11311
Duc	w13_d649e11315
von	w15_d649e11318
dem	w1_d649e11323
sub	w3_d649e11326
Nro	w5_d649e11329
22.	w7_d649e11332
ein	w9_d649e11335
Quaterno	w11_d649e11338
nebst	w13_d649e11342
ei	w15_d649e11345
nem	w1_d649e11350
Ambo	w3_d649e11353
mit	w5_d649e11356
100.	w7_d649e11359
Ducaten,	w9_d649e11362
von	w11_d649e11365
jenem	w13_d649e11369
sub	w1_d649e11375
Nro.	w3_d649e11378
54.	w5_d649e11381
sechs	w7_d649e11384
Terni,	w9_d649e11387
wovon	w11_d649e11390
der	w13_d649e11394
höch	w15_d649e11397
ste	w1_d649e11402
mit	w3_d649e11405
203.	w5_d649e11408
Ducaten,	w7_d649e11411
und	w9_d649e11414
von	w11_d649e11417
dem	w13_d649e11421
sub	w15_d649e11424
Nero.	w1_d649e11429
105.	w3_d649e11432
in	w5_d649e11435
St.	w7_d649e11438
Pölten,	w9_d649e11441
einen	w11_d649e11444
deto	w13_d649e11448
mit	w15_d649e11451
100.	w1_d649e11456
Ducaten	w3_d649e11459
abgeführet	w5_d649e11462
worden	w7_d649e11465
seyen.	w9_d649e11468
</p>
<p id="p20_d649e11471">
Den	w1_d649e11475
5ten	w3_d649e11478
künftigen	w5_d649e11481
Monats	w7_d649e11484
May	w9_d649e11487
wird	w11_d649e11490
allhier	w1_d649e11495
die	w3_d649e11498
fernere	w5_d649e11501
Ziehung	w7_d649e11504
vorgenommen	w9_d649e11507
werden.	w1_d649e11512
</p>
<head id="h2_d649e11518">
Lista	w1_d649e11522
deren	w3_d649e11525
Verstorbenen	w5_d649e11528
zu	w7_d649e11531
Wien	w9_d649e11534
in	w1_d649e11539
und	w3_d649e11542
vor	w5_d649e11545
der	w7_d649e11548
Stadt.	w9_d649e11551
Den	w1_d649e11556
15	w3_d649e11559
April.	w5_d649e11562
Jn	w1_d649e11568
der	w3_d649e11571
Stadt.	w5_d649e11574
</head>
<list id="l4_d649e11577">
Die	w1_d649e11581
Hoch=edel=geb.	w3_d649e11584
Fr.	w5_d649e11587
Hipolita	w7_d649e11590
v.	w9_d649e11593
Carignani,	w11_d649e11596
geb.	w13_d649e11600
v.	w1_d649e11605
Poschi,	w3_d649e11608
Wittwe,	w5_d649e11611
beym	w7_d649e11614
Esel	w9_d649e11617
in	w11_d649e11620
der	w13_d649e11624
Wieg.,	w15_d649e11627
alt	w17_d649e11630
69.	w1_d649e11635
J.	w3_d649e11638
Der	w1_d649e11644
Wol=ehrw.	w3_d649e11647
P.	w5_d649e11650
Gonsalv.	w7_d649e11653
Ambroschütz,	w9_d649e11656
Ordin.	w11_d649e11659
Prädic.,	w1_d649e11664
in	w3_d649e11667
ihrem	w5_d649e11670
Klost.,	w7_d649e11673
alt	w9_d649e11676
41.	w11_d649e11679
J.	w13_d649e11683
Hr.	w1_d649e11688
Franz	w3_d649e11691
Jos.	w5_d649e11694
Rosenberg,	w7_d649e11697
K.	w9_d649e11700
K.	w11_d649e11703
Ministerialban	w13_d649e11707
co=hof	w1_d649e11712
deputations=cancel.,	w3_d649e11715
im	w5_d649e11718
Bäckisch.	w7_d649e11721
H.	w9_d649e11724
am	w11_d649e11727
grün.	w1_d649e11733
Anger,	w3_d649e11736
alt	w5_d649e11739
74.	w7_d649e11742
J.	w9_d649e11745
Dem	w1_d649e11750
Hrn	w3_d649e11753
Jos.	w5_d649e11756
Haidler,	w7_d649e11759
gem.	w9_d649e11762
Stadt	w11_d649e11765
Wien	w13_d649e11769
Domi	w15_d649e11772
nical=steuer=collectant.,	w1_d649e11777
s.	w3_d649e11780
K.	w5_d649e11783
Math.,	w7_d649e11786
bey	w9_d649e11789
der	w11_d649e11792
H.	w13_d649e11796
Dreyfaltigk.	w1_d649e11801
im	w3_d649e11804
Juden=gäs.,	w5_d649e11807
alt	w7_d649e11810
1.	w9_d649e11813
J.	w11_d649e11816
Dem	w1_d649e11822
Paul	w3_d649e11825
Jvanoschütz,	w5_d649e11828
gew.	w7_d649e11831
K.	w9_d649e11834
Elisabethinis.	w11_d649e11837
Ses	w13_d649e11841
sel=trag.,	w1_d649e11846
s.	w3_d649e11849
W.	w5_d649e11852
Elisab.,	w7_d649e11855
im	w9_d649e11858
Hof=tischleris.	w11_d649e11861
H.	w13_d649e11865
bey	w15_d649e11868
St.	w1_d649e11873
Ruprecht,	w3_d649e11876
alt	w5_d649e11879
66.	w7_d649e11882
J.	w9_d649e11885
Joh.	w1_d649e11890
Mich.	w3_d649e11893
Landsteger,	w5_d649e11896
Herrschaftl.	w7_d649e11899
Kutsch.,	w9_d649e11902
im	w11_d649e11905
Wagneris.	w1_d649e11911
H.	w3_d649e11914
auf	w5_d649e11917
der	w7_d649e11920
hoh	w9_d649e11923
Bruck,	w11_d649e11926
alt	w13_d649e11930
54.	w15_d649e11933
J.	w17_d649e11936
</list>
<head id="h2_d649e11944">
Vor	w1_d649e11948
der	w3_d649e11951
Stadt.	w5_d649e11954
</head>
<list id="l4_d649e11957">
Hr.	w1_d649e11961
Franz	w3_d649e11964
Ant.	w5_d649e11967
Caplani	w7_d649e11970
v.	w9_d649e11973
Reschitz,	w11_d649e11976
Ober=amtm.	w13_d649e11980
in	w1_d649e11985
der	w3_d649e11988
K.	w5_d649e11991
Herrsch	w7_d649e11994
Schaschin,	w9_d649e11997
beym	w11_d649e12000
bl.	w13_d649e12004
Hut	w15_d649e12007
in	w17_d649e12010
der	w1_d649e12015
Leopoldst.,	w3_d649e12018
alt	w5_d649e12021
65.	w7_d649e12024
J.	w9_d649e12027
Fr.	w1_d649e12033
Anna	w3_d649e12036
Maria	w5_d649e12039
Josepha	w7_d649e12042
v.	w9_d649e12045
Thalenberg,	w11_d649e12048
Wittwe,	w13_d649e12052
im	w1_d649e12057
erst=bemeldt.	w3_d649e12060
H.,	w5_d649e12063
alt	w7_d649e12066
38	w9_d649e12069
J.	w11_d649e12072
Anna	w1_d649e12077
Maria	w3_d649e12080
Kollerin,	w5_d649e12083
Wittwe,	w7_d649e12086
im	w9_d649e12089
Maurermeiste	w11_d649e12092
ris.	w1_d649e12097
H.	w3_d649e12100
auf	w5_d649e12103
der	w7_d649e12106
Landstr,	w9_d649e12109
alt	w11_d649e12112
90.	w13_d649e12116
J.	w15_d649e12119
Jos.	w1_d649e12125
Fockerl,	w3_d649e12128
Burgerl.	w5_d649e12131
Schuhmach.,	w7_d649e12134
beym	w9_d649e12137
golden.	w11_d649e12140
Engel	w1_d649e12145
in	w3_d649e12148
der	w5_d649e12151
Währinger=gas.,	w7_d649e12154
alt	w9_d649e12157
70	w11_d649e12160
Joh.	w1_d649e12165
Helftga,	w3_d649e12168
Sold.	w5_d649e12171
v.	w7_d649e12174
des	w9_d649e12177
Erz	w11_d649e12180
herzog.	w13_d649e12184
Ferdinand.	w15_d649e12187
Reg.	w1_d649e12192
in	w3_d649e12195
der	w5_d649e12198
Casarm	w7_d649e12201
in	w9_d649e12204
der	w11_d649e12207
Alster=gas.,	w13_d649e12211
alt	w15_d649e12214
37.	w17_d649e12217
J.	w19_d649e12220
Elisab.	w1_d649e12226
Straußin,	w3_d649e12229
Wittwe,	w5_d649e12232
beym	w7_d649e12235
gold.	w9_d649e12238
Pflug	w11_d649e12241
am	w13_d649e12245
Spitalberg,	w1_d649e12250
alt	w3_d649e12253
75.	w5_d649e12256
J.	w7_d649e12259
Margar	w1_d649e12264
Merlin,	w3_d649e12267
Wittwe,	w5_d649e12270
beyn	w7_d649e12273
3.	w9_d649e12276
Has.	w11_d649e12279
bey	w13_d649e12283
St.	w15_d649e12286
Ulrich,	w1_d649e12291
alt	w3_d649e12294
66.	w5_d649e12297
J.	w7_d649e12300
</list>
<list id="l6_d649e12304">
Adam	w1_d649e12308
Millner,	w3_d649e12311
gew.	w5_d649e12314
Lack.,	w7_d649e12317
beym	w9_d649e12320
gut.	w11_d649e12323
Hirt.	w13_d649e12327
in	w15_d649e12330
der	w17_d649e12333
Josephst,	w1_d649e12338
alt	w3_d649e12341
64.	w5_d649e12344
J.	w7_d649e12347
Math.	w1_d649e12352
Toppler,	w3_d649e12355
Schuhmach,	w5_d649e12358
beym	w7_d649e12361
Eichbühel	w9_d649e12364
un	w11_d649e12367
tern	w1_d649e12373
Felb.	w3_d649e12376
in	w5_d649e12379
der	w7_d649e12382
Leopoldst.,	w9_d649e12385
alt	w11_d649e12388
62.	w13_d649e12392
J.	w15_d649e12395
Jos.	w1_d649e12400
Fischer,	w3_d649e12403
Taglöhn.,	w5_d649e12406
beym	w7_d649e12409
dl.	w9_d649e12412
Hecht.	w11_d649e12415
im	w13_d649e12419
Liech	w15_d649e12422
tenth.,	w1_d649e12427
alt	w3_d649e12430
32.	w5_d649e12433
J.	w7_d649e12436
Jos.	w1_d649e12441
Niderbacher,	w3_d649e12444
Taglöhn.,	w5_d649e12447
bey	w7_d649e12450
der	w9_d649e12453
Holderstaud.	w11_d649e12456
bey	w1_d649e12462
St.	w3_d649e12465
Ulrich,	w5_d649e12468
alt	w7_d649e12471
57.	w9_d649e12474
J.	w11_d649e12477
Dem	w1_d649e12482
Jacob	w3_d649e12485
Ruf,	w5_d649e12488
Taglöhn.,	w7_d649e12491
s.	w9_d649e12494
W.	w11_d649e12497
Anna	w13_d649e12501
Maria,	w15_d649e12504
beym	w1_d649e12509
weis.	w3_d649e12512
Löw.	w5_d649e12515
am	w7_d649e12518
Spitalberg,	w9_d649e12521
alt	w11_d649e12524
50.	w13_d649e12528
J.	w15_d649e12531
Dem	w1_d649e12536
Math.	w3_d649e12539
Rueß,	w5_d649e12542
Pflasterer	w7_d649e12545
ges.,	w9_d649e12548
s.	w11_d649e12551
K.	w13_d649e12555
Rosalia,	w15_d649e12558
bey	w1_d649e12564
der	w3_d649e12567
gold.	w5_d649e12570
Ros.	w7_d649e12573
im	w9_d649e12576
Lerchenf.,	w11_d649e12579
alt	w13_d649e12583
6.	w15_d649e12586
J.	w17_d649e12589
Dem	w1_d649e12594
Wilh.	w3_d649e12597
Kopp,	w5_d649e12600
Taglöhn.,	w7_d649e12603
s.	w9_d649e12606
K.	w11_d649e12609
Georg,	w13_d649e12613
bey	w15_d649e12616
dem	w17_d649e12619
Saffran	w1_d649e12624
am	w3_d649e12627
Neubau,	w5_d649e12630
alt	w7_d649e12633
7.	w9_d649e12636
J.	w11_d649e12639
Dem	w1_d649e12644
Fried.	w3_d649e12647
Hauck,	w5_d649e12650
Bier=leut=geb.,	w7_d649e12653
s.	w9_d649e12656
K.	w11_d649e12659
Anna,	w13_d649e12663
beym	w1_d649e12669
rot.	w3_d649e12672
Krebs.	w5_d649e12675
in	w7_d649e12678
der	w9_d649e12681
Josephst.,	w11_d649e12684
alt	w13_d649e12688
10.	w15_d649e12691
J.	w17_d649e12694
Susan.	w1_d649e12699
Mayrin,	w3_d649e12702
led.,	w5_d649e12705
beym	w7_d649e12708
rot.	w9_d649e12711
Krebs.	w11_d649e12714
am	w13_d649e12718
Thury,	w15_d649e12721
alt	w1_d649e12726
70.	w3_d649e12729
J.	w5_d649e12732
</list>
<head id="h2_d649e12739">
Summa	w1_d649e12743
22.	w3_d649e12746
Person.	w5_d649e12749
darunter	w7_d649e12752
4.	w9_d649e12755
Kind.	w11_d649e12758
Den	w1_d649e12763
16.	w3_d649e12766
April.	w5_d649e12769
Jn	w1_d649e12774
der	w3_d649e12777
Stadt.	w5_d649e12780
</head>
<list id="l4_d649e12783">
Die	w1_d649e12787
Hochwolgeb.	w3_d649e12790
Fr.	w5_d649e12793
Elisab.	w7_d649e12796
Freyin	w9_d649e12799
v.	w11_d649e12802
Gall,	w13_d649e12806
geb.	w15_d649e12809
Gräfin	w1_d649e12814
und	w3_d649e12817
Herrin	w5_d649e12820
v.	w7_d649e12823
Scherffenberg,	w9_d649e12826
im	w11_d649e12829
Klost.	w13_d649e12833
bey	w1_d649e12838
St.	w3_d649e12841
Ursula,	w5_d649e12844
alt	w7_d649e12847
33.	w9_d649e12850
J.	w11_d649e12853
Dem	w1_d649e12859
Hoch=edel=geb.	w3_d649e12862
Hrn.	w5_d649e12865
Ant.	w7_d649e12868
Ferd.	w9_d649e12871
v.	w11_d649e12874
Lutter,	w13_d649e12878
Jh	w15_d649e12881
rer	w1_d649e12886
K.	w3_d649e12889
K.	w5_d649e12892
Apostol.	w7_d649e12895
Majest.	w9_d649e12898
würkl.	w11_d649e12901
Hof=raht,	w13_d649e12905
s.	w15_d649e12908
Fr.	w17_d649e12911
Gemahl.	w1_d649e12916
Eva	w3_d649e12919
Rosina,	w5_d649e12922
geb.	w7_d649e12925
Wagner,	w9_d649e12928
im	w11_d649e12931
Fillen	w13_d649e12935
baumis.	w1_d649e12940
H.	w3_d649e12943
in	w5_d649e12946
der	w7_d649e12949
Kärntnerstr.,	w9_d649e12952
alt	w11_d649e12955
64.	w13_d649e12959
J.	w15_d649e12962
Der	w1_d649e12968
Wol=ehrw.	w3_d649e12971
Hr.	w5_d649e12974
Sebast.	w7_d649e12977
Drechsler,	w9_d649e12980
weltl.	w11_d649e12983
Prie	w13_d649e12987
ster,	w1_d649e12992
im	w3_d649e12995
Steinhartis.	w5_d649e12998
H.	w7_d649e13001
in	w9_d649e13004
der	w11_d649e13007
untern	w13_d649e13011
Bäcker	w15_d649e13014
str.,	w1_d649e13019
alt	w3_d649e13022
65.	w5_d649e13025
J.	w7_d649e13028
</list>
<head id="h2_d649e13035">
Vor	w1_d649e13039
der	w3_d649e13042
Stadt.	w5_d649e13045
</head>
<list id="l4_d649e13048">
Die	w1_d649e13052
(Tit.)	w3_d649e13055
Fr.	w5_d649e13058
Antonia	w7_d649e13061
Datlin,	w9_d649e13064
Wittwe,	w11_d649e13067
im	w13_d649e13071
Hof	w15_d649e13074
rauchfankehreris	w1_d649e13079
H.	w3_d649e13082
auf	w5_d649e13085
der	w7_d649e13088
Landstr.,	w9_d649e13091
alt	w11_d649e13094
73.	w13_d649e13098
J.	w15_d649e13101
Dem	w1_d649e13106
Aegydio	w3_d649e13109
Lechner,	w5_d649e13112
Burgerl	w7_d649e13115
Cireul=schm.,	w9_d649e13118
s.	w11_d649e13121
W.	w1_d649e13127
Cathar.,	w3_d649e13130
beym	w5_d649e13133
gr.	w7_d649e13136
Thor	w9_d649e13139
in	w11_d649e13142
der	w13_d649e13146
Josephst.	w15_d649e13149
43.	w17_d649e13152
J.	w19_d649e13155
Dem	w1_d649e13160
Jos.	w3_d649e13163
Mayr,	w5_d649e13166
gew.	w7_d649e13169
Burgerl.	w9_d649e13172
Tüchelmach.	w11_d649e13175
s.	w13_d649e13179
W.	w15_d649e13182
Gertr.,	w1_d649e13187
in	w3_d649e13190
s.	w5_d649e13193
H.	w7_d649e13196
am	w9_d649e13199
Neubau,	w11_d649e13202
alt	w13_d649e13206
66.	w15_d649e13209
J.	w17_d649e13212
Ant.	w1_d649e13217
Lindner,	w3_d649e13220
Lack.,	w5_d649e13223
beym	w7_d649e13226
weis.	w9_d649e13229
Läm.	w11_d649e13232
am	w13_d649e13236
Neustift,	w15_d649e13239
alt	w1_d649e13245
38.	w3_d649e13248
J.	w5_d649e13251
Elisab.	w1_d649e13256
Petterin,	w3_d649e13259
Wittwe,	w5_d649e13262
bey	w7_d649e13265
Sonn	w9_d649e13268
und	w11_d649e13271
Mond	w13_d649e13275
bey	w1_d649e13280
St.	w3_d649e13283
Ulrich,	w5_d649e13286
alt	w7_d649e13289
33.	w9_d649e13292
J.	w11_d649e13295
Anna	w1_d649e13300
Maria	w3_d649e13303
Raidbergerin	w5_d649e13306
led.,	w7_d649e13309
beym	w9_d649e13312
bl.	w11_d649e13315
Pfauen	w13_d649e13319
am	w1_d649e13325
Spitalberg,	w3_d649e13328
alt	w5_d649e13331
73.	w7_d649e13334
J.	w9_d649e13337
Der	w1_d649e13342
Reg.	w3_d649e13345
Wagnerin,	w5_d649e13348
Wittwe,	w7_d649e13351
ihr	w9_d649e13354
T.	w11_d649e13357
Anna,	w13_d649e13361
bey	w15_d649e13364
der	w1_d649e13369
weis.	w3_d649e13372
Taub.	w5_d649e13375
im	w7_d649e13378
Lerchenf.,	w9_d649e13381
alt	w11_d649e13384
16.	w13_d649e13388
J.	w15_d649e13391
Math.	w1_d649e13396
Wiese,	w3_d649e13399
Schmalz	w5_d649e13402
trag.,	w7_d649e13405
beym	w9_d649e13408
schön.	w11_d649e13411
Hafner	w13_d649e13415
in	w1_d649e13421
der	w3_d649e13424
Leopoldst.,	w5_d649e13427
alt	w7_d649e13430
54.	w9_d649e13433
J.	w11_d649e13436
Adam	w1_d649e13441
Sigl,	w3_d649e13444
Spitz=handl.,	w5_d649e13447
beym	w7_d649e13450
gold.	w9_d649e13453
Kreutz	w11_d649e13456
bey	w13_d649e13460
Maria=hülf,	w1_d649e13465
alt	w3_d649e13468
66.	w5_d649e13471
J.	w7_d649e13474
Joh.	w1_d649e13479
Kern,	w3_d649e13482
Kutsch.,	w5_d649e13485
bey	w7_d649e13488
der	w9_d649e13491
gold.	w11_d649e13494
Kug.	w13_d649e13498
auf	w15_d649e13501
der	w17_d649e13504
Wind	w1_d649e13510
mühl,	w3_d649e13513
alt	w5_d649e13516
38.	w7_d649e13519
J.	w9_d649e13522
Joh.	w1_d649e13527
Georg	w3_d649e13530
Nürnberger,	w5_d649e13533
Taglöhn.,	w7_d649e13536
beym	w9_d649e13539
gr.	w11_d649e13542
Keg.	w13_d649e13546
am	w1_d649e13551
Neubau,	w3_d649e13554
alt	w5_d649e13557
80.	w7_d649e13560
J.	w9_d649e13563
Anna	w1_d649e13568
Wimmerspergerin,	w3_d649e13571
ledig,	w5_d649e13574
beym	w7_d649e13577
gold.	w9_d649e13580
Huf	w11_d649e13583
eis.	w1_d649e13589
am	w3_d649e13592
Neubau,	w5_d649e13595
alt	w7_d649e13598
60.	w9_d649e13601
J.	w11_d649e13604
</list>
<list id="l10_d649e13618">
Joh.	w1_d649e13622
Diani,	w3_d649e13625
Lust=gart.,	w5_d649e13628
in	w7_d649e13631
s.	w9_d649e13634
H.	w11_d649e13637
zu	w13_d649e13641
Mätzleinst.	w15_d649e13644
78.	w17_d649e13647
J.	w19_d649e13650
Der	w1_d649e13655
Anna	w3_d649e13658
Mandlin,	w5_d649e13661
Wittwe,	w7_d649e13664
ihr	w9_d649e13667
T.	w11_d649e13670
Anna,	w13_d649e13674
beym	w15_d649e13677
schwarz.	w1_d649e13682
Rös.	w3_d649e13685
im	w5_d649e13688
Lerchenf.,	w7_d649e13691
alt	w9_d649e13694
37.	w11_d649e13697
J.	w13_d649e13701
Joh.	w1_d649e13707
Lang,	w3_d649e13710
Bier=leut=geb.,	w5_d649e13713
beym	w7_d649e13716
gr.	w9_d649e13719
Läm.	w11_d649e13722
an	w13_d649e13726
dem	w15_d649e13729
Spitalberg,	w1_d649e13734
alt	w3_d649e13737
55.	w5_d649e13740
J.	w7_d649e13743
Valent.	w1_d649e13748
Miesauer,	w3_d649e13751
Bier=abtrag.,	w5_d649e13754
beym	w7_d649e13757
weis.	w9_d649e13760
Läm.	w11_d649e13763
am	w1_d649e13768
Himmel=pfort=gr,	w3_d649e13771
alt	w5_d649e13774
45.	w7_d649e13777
J.	w9_d649e13780
Georg	w1_d649e13786
Henggy,	w3_d649e13789
Taglöhn.,	w5_d649e13792
bey	w7_d649e13795
der	w9_d649e13798
Schmidten	w11_d649e13801
aus.	w13_d649e13805
der	w1_d649e13810
Rossau,	w3_d649e13813
alt	w5_d649e13816
30.	w7_d649e13819
J.	w9_d649e13822
Dem	w1_d649e13827
Jos.	w3_d649e13830
Berger,	w5_d649e13833
Taglöhn.,	w7_d649e13836
s.	w9_d649e13839
W.	w11_d649e13842
Barb.	w13_d649e13846
beym	w15_d649e13849
weis.	w1_d649e13854
Adl.	w3_d649e13857
an	w5_d649e13860
der	w7_d649e13863
Währinger=linie,	w9_d649e13866
alt	w11_d649e13869
38.	w13_d649e13873
J.	w15_d649e13876
Jacob	w1_d649e13882
Kleimmer,	w3_d649e13885
alt	w5_d649e13888
80.	w7_d649e13891
J.,	w9_d649e13894
und	w11_d649e13897
Lor.	w1_d649e13902
Topigler,	w3_d649e13905
alt	w5_d649e13908
74.	w7_d649e13911
J.,	w9_d649e13914
beyde	w11_d649e13917
im	w13_d649e13921
lang.	w15_d649e13924
Keller	w17_d649e13927
am	w1_d649e13932
Neubau.	w3_d649e13935
Dem	w1_d649e13940
Jgn.	w3_d649e13943
Selincka,	w5_d649e13946
Lack,	w7_d649e13949
s.	w9_d649e13952
K.	w11_d649e13955
Joach.,	w13_d649e13959
im	w15_d649e13962
Pau	w17_d649e13965
ckingeris.	w1_d649e13971
H.	w3_d649e13974
auf	w5_d649e13977
der	w7_d649e13980
Landstr.,	w9_d649e13983
alt	w11_d649e13986
5.	w13_d649e13990
v.	w15_d649e13993
J.	w17_d649e13996
Dem	w1_d649e14001
Franz	w3_d649e14004
Uberreiter,	w5_d649e14007
Strümpfwürk=ges.,	w7_d649e14010
s.	w9_d649e14013
K.	w11_d649e14016
Jos.,	w1_d649e14021
beym	w3_d649e14024
gold	w5_d649e14027
Eleph.	w7_d649e14030
im	w9_d649e14033
Liechtenth.,	w11_d649e14036
3.	w13_d649e14040
J.	w15_d649e14043
Dem	w1_d649e14048
Ant.	w3_d649e14051
Koy,	w5_d649e14054
Schreib.,	w7_d649e14057
s.	w9_d649e14060
K.	w11_d649e14063
Ant.,	w13_d649e14067
beym	w15_d649e14070
Röm.	w17_d649e14073
Kais.	w1_d649e14079
in	w3_d649e14082
der	w5_d649e14085
Josephst.,	w7_d649e14088
alt	w9_d649e14091
6.	w11_d649e14094
v.	w13_d649e14098
J.	w15_d649e14101
</list>
<head id="h2_d649e14108">
Summa	w1_d649e14112
26.	w3_d649e14115
Person.,	w5_d649e14118
darunt.	w7_d649e14121
3.	w9_d649e14124
Kind.	w11_d649e14127
</head>
<p id="p4_d649e14130">
Den	w1_d649e14134
26.	w3_d649e14137
April	w5_d649e14140
Nachmittag	w7_d649e14143
um	w9_d649e14146
3.	w11_d649e14149
Uhr	w13_d649e14153
werden	w15_d649e14156
in	w1_d649e14161
der	w3_d649e14164
obern	w5_d649e14167
Breuner=strassen	w7_d649e14170
im	w9_d649e14173
Ritterischen	w11_d649e14176
Haus	w13_d649e14180
im	w1_d649e14185
4.	w3_d649e14188
Stock	w5_d649e14191
verschiedene	w7_d649e14194
Oesterreicher	w9_d649e14197
Weine	w11_d649e14200
li	w13_d649e14204
citando	w1_d649e14210
verkauffet	w3_d649e14213
werden.	w5_d649e14216
</p>
<p id="p6_d649e14219">
Den	w1_d649e14223
28.	w3_d649e14226
Vormittag	w5_d649e14229
von	w7_d649e14232
9.	w9_d649e14235
bis	w11_d649e14238
12.	w13_d649e14242
und	w15_d649e14245
Nach	w17_d649e14248
mittag	w1_d649e14253
von	w3_d649e14256
2.	w5_d649e14259
