<doc id="wr_1758-12-09" attrs="word" year="1758" month="12" day="09" corpus="2">
<head id="h2_d303e2449">
Berlin	w1_d303e2453
Wittwoch	w1_d303e9727
den	w3_d303e9730
6.	w5_d303e9733
Decemb.	w7_d303e9736
als	w9_d303e9739
am	w11_d303e9742
Fest	w13_d303e9746
.	w1_d303e9751
des	w1_d303e9756
Heil.	w3_d303e9759
Nicolai	w5_d303e9762
Vor	w7_d303e9765
und	w9_d303e9768
Nach	w11_d303e9771
mittags	w1_d303e9777
nach	w3_d303e9780
der	w5_d303e9783
Rorate	w7_d303e9786
haben	w9_d303e9789
beede	w11_d303e9792
Kais.	w13_d303e9796
Majestäten	w1_d303e9801
mit	w3_d303e9804
Jhren	w5_d303e9807
Königl.	w7_d303e9810
Hoheiten	w9_d303e9813
de	w11_d303e9816
nen	w1_d303e9821
Durchl.	w3_d303e9824
jungen	w5_d303e9827
Herrschaften	w7_d303e9830
dem	w9_d303e9833
wo	w11_d303e9836
chentlichen	w1_d303e9841
Gebett	w3_d303e9844
in	w5_d303e9847
der	w7_d303e9850
Cammercapel	w9_d303e9853
len	w1_d303e9859
abgewartet.	w3_d303e9862
</p>
<p id="p6_d303e9865">
Vorgestrigen	w1_d303e9869
Donnerstag	w3_d303e9872
den	w5_d303e9875
7.	w7_d303e9878
Dito	w9_d303e9881
haben	w1_d303e9886
beede	w3_d303e9889
Kaiserl.	w5_d303e9892
Königl.	w7_d303e9895
Majestäten	w9_d303e9898
mit	w1_d303e9903
Staats	w3_d303e9906
und	w5_d303e9909
Landes=anligenheiten	w7_d303e9912
sich	w1_d303e9918
beschäftiget,	w3_d303e9921
dann	w5_d303e9924
Abends	w7_d303e9927
nach	w9_d303e9930
5.	w11_d303e9933
Uhr	w13_d303e9937
Se.	w1_d303e9942
Majestät	w3_d303e9945
der	w5_d303e9948
Kaiser	w7_d303e9951
in	w9_d303e9954
Aufwartung	w11_d303e9957
Jhrer	w1_d303e9962
Excellenzen	w3_d303e9965
des	w5_d303e9968
Päpstl.	w7_d303e9971
Monsig.	w9_d303e9974
Nun	w11_d303e9977
tii,	w1_d303e9982
und	w3_d303e9985
Venetianischen	w5_d303e9988
Herrn	w7_d303e9991
Bottschaf	w9_d303e9994
ters,	w1_d303e10000
wie	w3_d303e10003
auch	w5_d303e10006
deren	w7_d303e10009
Herren	w9_d303e10012
Toisonisten	w11_d303e10015
der	w1_d303e10020
feyerlichen	w3_d303e10023
Toison=vesper	w5_d303e10026
in	w7_d303e10029
der	w9_d303e10032
grossen	w11_d303e10035
Hof=capellen	w1_d303e10040
beygewohnet.	w3_d303e10043
</p>
<p id="p8_d303e10046">
Gestrigen	w1_d303e10050
Freytag	w3_d303e10053
als	w5_d303e10056
an	w7_d303e10059
dem	w9_d303e10062
hohen	w11_d303e10065
Fest	w1_d303e10070
der	w3_d303e10073
unbefleckten	w5_d303e10076
Empfängnuß	w7_d303e10079
Mariä,	w9_d303e10082
und	w1_d303e10087
Sr.	w3_d303e10090
Majestät	w5_d303e10093
des	w7_d303e10096
Kaisers,	w9_d303e10099
wie	w11_d303e10102
auch	w13_d303e10106
Sr.	w1_d303e10112
Königl.	w3_d303e10115
Hoheit	w5_d303e10118
des	w7_d303e10121
Durchl.	w9_d303e10124
Erzherzo	w11_d303e10127
gen	w1_d303e10132
Maximiliani,	w3_d303e10135
und	w5_d303e10138
Jhrer	w7_d303e10141
Königl.	w9_d303e10144
Hoheit	w11_d303e10147
der	w1_d303e10152
Durchl.	w3_d303e10155
Erz=herzogin	w5_d303e10158
Mariä	w7_d303e10161
Christinc	w9_d303e10164
bis	w1_d303e10169
anheut	w3_d303e10172
transferirten	w5_d303e10175
mäßigen	w7_d303e10178
Geburts	w9_d303e10181
</p>
<p id="p14_d303e10195">
tag	w1_d303e10199
seynd	w3_d303e10202
Vormittags	w5_d303e10205
nach	w7_d303e10208
9.	w9_d303e10211
Uhr	w11_d303e10214
die	w13_d303e10218
Her	w15_d303e10221
ren	w1_d303e10226
Bottschaftere,	w3_d303e10229
und	w5_d303e10232
Gesandte,	w7_d303e10235
dann	w9_d303e10238
ei	w11_d303e10241
nige	w1_d303e10246
hieher	w3_d303e10249
gekommene	w5_d303e10252
Hungarische	w7_d303e10255
Ma	w9_d303e10258
gnaten	w1_d303e10264
nebst	w3_d303e10267
dem	w5_d303e10270
gesamten	w7_d303e10273
hohen	w9_d303e10276
Adel	w11_d303e10279
in	w13_d303e10283
prächtiger	w1_d303e10288
Gala	w3_d303e10291
bey	w5_d303e10294
Hof	w7_d303e10297
erschiene,	w9_d303e10300
und	w11_d303e10303
haben	w1_d303e10308
bey	w3_d303e10311
Allerhöchst	w5_d303e10314
und	w7_d303e10317
Höchstbesag	w9_d303e10320
ten	w1_d303e10325
Herrschaften	w3_d303e10328
ihre	w5_d303e10331
Glückwünsche	w7_d303e10334
abge	w9_d303e10337
leget.	w1_d303e10343
Gegen	w3_d303e10346
11.	w5_d303e10349
Uhr	w7_d303e10352
sodann	w9_d303e10355
seynd	w11_d303e10358
Se.	w13_d303e10362
Majest.	w1_d303e10367
der	w3_d303e10370
Kaiser	w5_d303e10373
in	w7_d303e10376
offentlichen	w9_d303e10379
Staat	w11_d303e10382
nacher	w1_d303e10387
St.	w3_d303e10390
Stephan	w5_d303e10393
abgefahren,	w7_d303e10396
und	w9_d303e10399
haben	w1_d303e10404
alda	w3_d303e10407
unter	w5_d303e10410
Aufwartung	w7_d303e10413
des	w9_d303e10416
Päpstl.	w11_d303e10419
Monsig.	w1_d303e10425
Nuntii,	w3_d303e10428
und	w5_d303e10431
Venetianischen	w7_d303e10434
Herrn	w9_d303e10437
Bottschafters	w1_d303e10442
dem	w3_d303e10445
feyerlichen	w5_d303e10448
Toison=amt	w7_d303e10451
beygewohnet.	w1_d303e10456
</p>
<p id="p16_d303e10459">
Während	w1_d303e10463
vorbesagtem	w3_d303e10466
Hoch=amt	w5_d303e10469
haben	w7_d303e10472
der	w1_d303e10477
den	w3_d303e10480
30.	w5_d303e10483
erst	w7_d303e10486
abgeloffenen	w9_d303e10489
Monats	w11_d303e10492
No	w13_d303e10496
vember	w1_d303e10501
von	w3_d303e10504
der	w5_d303e10507
allhiesiguralt	w7_d303e10510
und	w9_d303e10513
Welt	w11_d303e10516
berühmten	w1_d303e10522
Universität	w3_d303e10525
neu=erwählte	w5_d303e10528
Herr	w7_d303e10531
Rector	w1_d303e10536
(Titl.)	w3_d303e10539
Reverendissimus,	w5_d303e10542
Perillustris,	w7_d303e10545
ac	w1_d303e10550
Magnificus	w3_d303e10553
Dominus	w5_d303e10556
Adamus	w7_d303e10559
Dvertitsch.	w9_d303e10562
AA.	w1_d303e10567
LL.	w3_d303e10570
Philosophiæ	w5_d303e10573
&	w7_d303e10576
SS.	w9_d303e10579
Theologiæ	w11_d303e10582
Do-	w13_d303e10586
ctor,	w1_d303e10592
Metropolitanæ	w3_d303e10595
Ecclesiæ	w5_d303e10598
ad	w7_d303e10601
Sanctum	w9_d303e10604
Ste-	w11_d303e10607
phanum	w1_d303e10612
Canonicus	w3_d303e10615
Capitularis,	w5_d303e10618
Celsissimi,	w7_d303e10621
ac	w1_d303e10626
Reverendissimi	w3_d303e10629
S.	w5_d303e10632
R.	w7_d303e10635
I.	w9_d303e10638
Principis,	w11_d303e10641
&	w13_d303e10645
Ar-	w15_d303e10648
thi-Episcopi	w1_d303e10653
Viennensis	w3_d303e10656
Consiliarius	w5_d303e10659
Consi-	w7_d303e10662
storialis,	w1_d303e10668
per	w3_d303e10671
urbem	w5_d303e10674
Viennam	w7_d303e10677
&	w9_d303e10680
districtum	w11_d303e10683
Claustro-Neoburgensem	w1_d303e10688
Decanus,	w3_d303e10691
Profes-	w5_d303e10694
sionis	w1_d303e10699
Religiosæ	w3_d303e10702
&	w5_d303e10705
Matrimoniorum	w7_d303e10708
Judicia-	w9_d303e10711
lis	w1_d303e10716
Defensor;	w3_d303e10719
dann	w5_d303e10722
die	w7_d303e10725
gleichfals	w9_d303e10728
neuer	w11_d303e10731
wählte	w1_d303e10737
4.	w3_d303e10740
Herren	w5_d303e10743
Decani	w7_d303e10746
deren	w9_d303e10749
Facultäten,	w11_d303e10752
benanntlichen:	w1_d303e10757
(Titl.)	w3_d303e10760
Admodum	w5_d303e10763
Reveren-	w7_d303e10766
dus,	w1_d303e10771
ac	w3_d303e10774
Clarissimus	w5_d303e10777
Pater	w7_d303e10780
Josephus	w9_d303e10783
Zanchi	w11_d303e10786
è	w1_d303e10791
Soc.	w3_d303e10794
J.	w5_d303e10797
AA.	w7_d303e10800
LL.	w9_d303e10803
Philosophiæ	w11_d303e10806
&	w13_d303e10810
SS.	w15_d303e10813
Théo-	w17_d303e10816
logiæ	w1_d303e10822
Doctor,	w3_d303e10825
und	w5_d303e10828
der	w7_d303e10831
Zeit	w9_d303e10834
einer	w11_d303e10837
Löbl.	w13_d303e10841
Theo	w15_d303e10844
logischen	w1_d303e10849
Facultät	w3_d303e10852
Decanus	w5_d303e10855
Spectabilis,	w7_d303e10858
dann	w9_d303e10861
(Titl.)	w1_d303e10866
Herr	w3_d303e10869
Johann	w5_d303e10872
Lorenz	w7_d303e10875
Salomon	w9_d303e10878
Fritz,	w11_d303e10881
U.	w1_d303e10886
J.	w3_d303e10889
D.	w5_d303e10892
Aulæ	w7_d303e10895
Judiciorumque	w9_d303e10898
Advocatus,	w11_d303e10901
nec	w1_d303e10907
non	w3_d303e10910
Venerabilis	w5_d303e10913
Consistorii	w7_d303e10916
Universitatis	w9_d303e10919
in	w1_d303e10924
Judicialibus	w3_d303e10927
Consiliarius	w5_d303e10930
perpetuus,	w7_d303e10933
und	w9_d303e10936
der	w1_d303e10941
Zeit	w3_d303e10944
einer	w5_d303e10947
Löbl.	w7_d303e10950
Juridischen	w9_d303e10953
Facultät	w11_d303e10956
in	w13_d303e10960
sextum	w1_d303e10965
annum	w3_d303e10968
Decanus	w5_d303e10971
Spectabilis,	w7_d303e10974
wie	w9_d303e10977
auch	w11_d303e10980
(Titl.)	w1_d303e10986
Herr	w3_d303e10989
Johann	w5_d303e10992
Maximilian	w7_d303e10995
Joseph	w9_d303e10998
</p>
<p id="p18_d303e11001">
Dietmann,	w1_d303e11005
AA.	w3_d303e11008
LL.	w5_d303e11011
Philosophie	w7_d303e11014
&	w9_d303e11017
saluber-	w11_d303e11020
rimæ	w1_d303e11025
Medicinæ	w3_d303e11028
Doctor,	w5_d303e11031
und	w7_d303e11034
der	w9_d303e11037
Zeit	w11_d303e11040
einer	w13_d303e11044
Löbl.	w1_d303e11049
Medicinischen	w3_d303e11052
Facultät	w5_d303e11055
Decanus	w7_d303e11058
Spe-	w9_d303e11061
ctabilis,	w1_d303e11067
dann	w3_d303e11070
(Titl)	w5_d303e11073
Admodum	w7_d303e11076
Reveren-	w9_d303e11079
dus,	w1_d303e11084
ac	w3_d303e11087
Clarissimus	w5_d303e11090
Dominus	w7_d303e11093
Joannes	w9_d303e11096
Ma-	w11_d303e11099
thias	w1_d303e11104
Zechmaister,	w3_d303e11107
AA.	w5_d303e11110
LL.	w7_d303e11113
&	w9_d303e11116
Philosophiæ	w11_d303e11119
Doctor,	w1_d303e11124
Metropolitanæ	w3_d303e11127
Ecclesiæ	w5_d303e11130
ad	w7_d303e11133
Sanctum	w9_d303e11136
Stepanum	w1_d303e11142
Pœenitentiarius	w3_d303e11145
&	w5_d303e11148
Levitarum	w7_d303e11151
Se-	w9_d303e11154
nior,	w1_d303e11159
und	w3_d303e11162
der	w5_d303e11165
Zeit	w7_d303e11168
einer	w9_d303e11171
Löbl.	w11_d303e11174
Philosophischen	w13_d303e11178
Facultät	w1_d303e11183
Decanus	w3_d303e11186
Spectabilis,	w5_d303e11189
den	w7_d303e11192
gewöhn	w9_d303e11195
lich=feyerlichen	w1_d303e11200
Eid	w3_d303e11203
von	w5_d303e11206
der	w7_d303e11209
Vertheidigung	w9_d303e11212
der	w1_d303e11218
unbefleckten	w3_d303e11221
Empfängnus	w5_d303e11224
Mariä	w7_d303e11227
offent	w9_d303e11230
lich	w1_d303e11235
abgeleget.	w3_d303e11238
</p>
<p id="p20_d303e11241">
Zu	w1_d303e11245
Mittag	w3_d303e11248
haben	w5_d303e11251
Beyde	w7_d303e11254
Kaiserl.	w9_d303e11257
Majestä	w11_d303e11260
ten	w1_d303e11265
mit	w3_d303e11268
Jhren	w5_d303e11271
Königl.	w7_d303e11274
Hoheiten	w9_d303e11277
denen	w11_d303e11280
Ael	w13_d303e11284
teren	w1_d303e11289
Durchl.	w3_d303e11292
Jungen	w5_d303e11295
Herrschaften,	w7_d303e11298
unter	w9_d303e11301
der	w1_d303e11307
gewöhnlichen	w3_d303e11310
Aufwartung	w5_d303e11313
deren	w7_d303e11316
obbe	w9_d303e11319
sagten	w1_d303e11324
beyden	w3_d303e11327
Herren	w5_d303e11330
Bottschaftern	w7_d303e11333
und	w9_d303e11336
des	w11_d303e11339
hohen	w1_d303e11344
Adels	w3_d303e11347
bey	w5_d303e11350
einer	w7_d303e11353
vortreflichen	w9_d303e11356
Tafel	w11_d303e11359
musique	w1_d303e11364
offentlich	w3_d303e11367
gespeiset.	w5_d303e11370
</p>
<p id="p22_d303e11373">
Uebrigens	w1_d303e11377
seynd	w3_d303e11380
Vorgestrigen	w5_d303e11383
Donnerstags	w7_d303e11386
den	w1_d303e11391
7.	w3_d303e11394
dieses	w5_d303e11397
Abends	w7_d303e11400
nach	w9_d303e11403
5.	w11_d303e11406
Uhr	w13_d303e11410
Se.	w15_d303e11413
Ex	w17_d303e11416
cellenz	w1_d303e11421
der	w3_d303e11424
Kaiserl.	w5_d303e11427
Königl.	w7_d303e11430
commandirende	w9_d303e11433
Herr	w1_d303e11439
Feld=marschall	w3_d303e11442
Graf	w5_d303e11445
Leopold	w7_d303e11448
von	w9_d303e11451
Daun	w11_d303e11454
in	w1_d303e11459
Begleitung	w3_d303e11462
dero	w5_d303e11465
Frauen	w7_d303e11468
Gemahlin	w9_d303e11471
Ex	w11_d303e11474
cellenz,	w1_d303e11479
welche	w3_d303e11482
hochderoselben	w5_d303e11485
bis	w7_d303e11488
nacher	w9_d303e11491
Jglau	w1_d303e11496
entgegen	w3_d303e11499
gegangen,	w5_d303e11502
und	w7_d303e11505
zweyer	w9_d303e11508
Her	w11_d303e11511
ren	w1_d303e11517
General=adjutanten	w3_d303e11520
von	w5_d303e11523
der	w7_d303e11526
Kaiserl.	w9_d303e11529
Königl.	w1_d303e11534
Armee	w3_d303e11537
alhier	w5_d303e11540
zurück	w7_d303e11543
angelanget,	w9_d303e11546
und	w11_d303e11549
haben	w1_d303e11554
Se.	w3_d303e11557
Excellenz	w5_d303e11560
hierauf	w7_d303e11563
gestern	w9_d303e11566
Vormit	w11_d303e11569
tags	w1_d303e11574
bey	w3_d303e11577
allerhöchsten	w5_d303e11580
Majestäten	w7_d303e11583
die	w9_d303e11586
aller	w11_d303e11589
unterthännigste	w1_d303e11595
Aufwartung	w3_d303e11598
gemacht.	w5_d303e11601
</p>
<head id="h2_d303e11607">
Lista	w1_d303e11611
deren	w3_d303e11614
Verstorbenen	w5_d303e11617
zu	w7_d303e11620
Wien	w9_d303e11623
in	w1_d303e11628
und	w3_d303e11631
vor	w5_d303e11634
der	w7_d303e11637
Stadt.	w9_d303e11640
Den	w1_d303e11645
5.	w3_d303e11648
Decemb.	w5_d303e11651
Jn	w1_d303e11657
der	w3_d303e11660
Stadt.	w5_d303e11663
</head>
<list id="l4_d303e11666">
Magdal.	w1_d303e11670
Kollerleichnerin,	w3_d303e11673
ledig,	w5_d303e11676
beym	w7_d303e11679
Stoßam	w9_d303e11682
Him.,	w1_d303e11687
alt	w3_d303e11690
60.	w5_d303e11693
J.	w7_d303e11696
Jac.	w1_d303e11701
Maritscheck,	w3_d303e11704
Heyduck,	w5_d303e11707
im	w7_d303e11710
Krieglerisch.	w9_d303e11713
H.	w11_d303e11716
in	w13_d303e11720
der	w1_d303e11726
Nagler=gas.,	w3_d303e11729
alt	w5_d303e11732
54.	w7_d303e11735
J.	w9_d303e11738
</list>
<head id="h2_d303e11745">
Vor	w1_d303e11749
der	w3_d303e11752
Stadt.	w5_d303e11755
</head>
<list id="l4_d303e11758">
Maria	w1_d303e11762
Falutrin,	w3_d303e11765
Wittwe,	w5_d303e11768
beym	w7_d303e11771
gut.	w9_d303e11774
Hirt.	w11_d303e11777
zu	w13_d303e11781
Mar	w15_d303e11784
gar.,	w1_d303e11789
alt	w3_d303e11792
70.	w5_d303e11795
J.	w7_d303e11798
</list>
<list id="l10_d303e11812">
Wolf	w1_d303e11816
Fur,	w3_d303e11819
K.	w5_d303e11822
Koch=provison,	w7_d303e11825
im	w9_d303e11828
Schlosseris.	w11_d303e11831
H.	w13_d303e11835
an	w15_d303e11838
der	w1_d303e11843
Wien,	w3_d303e11846
alt	w5_d303e11849
72.	w7_d303e11852
J.	w9_d303e11855
Franz	w1_d303e11860
Purkard,	w3_d303e11863
Fleisch=hack.,	w5_d303e11866
beym	w7_d303e11869
Englis.	w9_d303e11872
Gruß	w11_d303e11875
auf	w1_d303e11881
der	w3_d303e11884
Wied.,	w5_d303e11887
alt	w7_d303e11890
48.	w9_d303e11893
J.	w11_d303e11896
Dem	w1_d303e11901
Mich.	w3_d303e11904
Ridler,	w5_d303e11907
Lack.,	w7_d303e11910
s.	w9_d303e11913
K.	w11_d303e11916
Franz,	w13_d303e11920
im	w15_d303e11923
Vögel	w17_d303e11926
krammeris.	w1_d303e11931
H.	w3_d303e11934
am	w5_d303e11937
Spitalberg,	w7_d303e11940
alt	w9_d303e11943
2.	w11_d303e11946
J.	w13_d303e11950
Ursula	w1_d303e11955
Raffelnerin,	w3_d303e11958
Wittwe,	w5_d303e11961
beym	w7_d303e11964
gut.	w9_d303e11967
Hirt.	w11_d303e11970
un	w13_d303e11974
tern	w1_d303e11980
Weiß=gürb.,	w3_d303e11983
alt	w5_d303e11986
81.	w7_d303e11989
J.	w9_d303e11992
Dem	w1_d303e11997
Zachar.	w3_d303e12000
Löttinger,	w5_d303e12003
Schneid.,	w7_d303e12006
s.	w9_d303e12009
K.	w11_d303e12012
Jgnatz,	w13_d303e12016
bey	w15_d303e12019
dem	w1_d303e12024
Schutz=engel	w3_d303e12027
am	w5_d303e12030
Thury,	w7_d303e12033
alt	w9_d303e12036
10.	w11_d303e12039
J.	w13_d303e12043
Dem	w1_d303e12048
Gotth.	w3_d303e12051
Dietman,	w5_d303e12054
Lack,	w7_d303e12057
s.	w9_d303e12060
K.	w11_d303e12063
Gotth.,	w13_d303e12067
bey	w15_d303e12070
der	w17_d303e12073
Uhr	w1_d303e12079
im	w3_d303e12082
Lerchens.,	w5_d303e12085
alt	w7_d303e12088
2.	w9_d303e12091
J.	w11_d303e12094
Dem	w1_d303e12099
Mich.	w3_d303e12102
Gstettner,	w5_d303e12105
Tagw.,	w7_d303e12108
s.	w9_d303e12111
W.	w11_d303e12114
Theres.,	w13_d303e12118
bey	w15_d303e12121
der	w1_d303e12126
schon.	w3_d303e12129
Schäf.	w5_d303e12132
oberm	w7_d303e12135
Neustift,	w9_d303e12138
alt	w11_d303e12141
58.	w13_d303e12145
J.	w15_d303e12148
Carl	w1_d303e12153
Mereis,	w3_d303e12156
ar.	w5_d303e12159
M.,	w7_d303e12162
im	w9_d303e12165
Schnür=macheris.	w11_d303e12168
H.	w13_d303e12172
auf	w15_d303e12175
der	w1_d303e12181
Landstr.,	w3_d303e12184
alt	w5_d303e12187
81.	w7_d303e12190
J.	w9_d303e12193
</list>
<head id="h2_d303e12200">
Summa	w1_d303e12204
11.	w3_d303e12207
Person.	w5_d303e12210
/	w7_d303e12213
darunter	w9_d303e12216
3.	w11_d303e12219
Kind.	w13_d303e12223
Den	w1_d303e12228
6.	w3_d303e12231
Decemb.	w5_d303e12234
Jn	w1_d303e12239
der	w3_d303e12242
Stadt.	w5_d303e12245
</head>
<list id="l4_d303e12248">
Dem	w1_d303e12252
Hrn.	w3_d303e12255
Andre	w5_d303e12258
Kurz,	w7_d303e12261
Cammer=buchhalt=haitz.,	w9_d303e12264
s.	w1_d303e12269
Fr.	w3_d303e12272
Maria	w5_d303e12275
Anna,	w7_d303e12278
im	w9_d303e12281
Raben=hof,	w11_d303e12284
alt	w13_d303e12288
69.	w15_d303e12291
J.	w17_d303e12294
</list>
<head id="h2_d303e12301">
Vor	w1_d303e12305
der	w3_d303e12308
Stadt.	w5_d303e12311
</head>
<list id="l4_d303e12314">
Mart.	w1_d303e12318
Gassel,	w3_d303e12321
gew.	w5_d303e12324
Burgerl.	w7_d303e12327
Bäck,	w9_d303e12330
in	w11_d303e12333
s.	w13_d303e12337
H.	w15_d303e12340
in	w17_d303e12343
der	w19_d303e12346
Josephst.,	w1_d303e12351
alt	w3_d303e12354
67.	w5_d303e12357
J.	w7_d303e12360
Dem	w1_d303e12365
Ant.	w3_d303e12368
Opferman,	w5_d303e12371
Burgerl.	w7_d303e12374
Zirkel=schm.,	w9_d303e12377
s.	w11_d303e12380
W.	w13_d303e12384
Elisab.,	w1_d303e12390
beyn	w3_d303e12393
3.	w5_d303e12396
Kug.	w7_d303e12399
am	w9_d303e12402
Spitalberg,	w11_d303e12405
alt	w13_d303e12409
36.	w15_d303e12412
J.	w17_d303e12415
Dem	w1_d303e12420
Jacob	w3_d303e12423
Leitner.	w5_d303e12426
Band=mach.,	w7_d303e12429
s.	w9_d303e12432
K.	w11_d303e12435
Felix,	w13_d303e12439
beym	w15_d303e12442
grün.	w1_d303e12447
Brun	w3_d303e12450
am	w5_d303e12453
Neubau,	w7_d303e12456
alt	w9_d303e12459
2.	w11_d303e12462
J.	w13_d303e12466
Dem	w1_d303e12471
Sebast.	w3_d303e12474
Faistenberger,	w5_d303e12477
Schneid.,	w7_d303e12480
s.	w9_d303e12483
K.	w11_d303e12486
Anna,	w13_d303e12490
beym	w1_d303e12496
rok.	w3_d303e12499
Rös.	w5_d303e12502
am	w7_d303e12505
Neustift,	w9_d303e12508
alt	w11_d303e12511
6.	w13_d303e12515
J.	w15_d303e12518
Joh.	w1_d303e12523
Beidel,	w3_d303e12526
Kuchel=gart.,	w5_d303e12529
im	w7_d303e12532
Spitzel=krammerisch.	w9_d303e12535
H.	w1_d303e12540
in	w3_d303e12543
der	w5_d303e12546
Leopoldst.,	w7_d303e12549
alt	w9_d303e12552
26.	w11_d303e12555
J.	w13_d303e12559
Dem	w1_d303e12564
Mart.	w3_d303e12567
Hartl,	w5_d303e12570
Leinwat=druck=ges.,	w7_d303e12573
s.	w9_d303e12576
K.	w11_d303e12579
Mart.	w13_d303e12583
bey	w1_d303e12589
der	w3_d303e12592
gold.	w5_d303e12595
Sonn	w7_d303e12598
zu	w9_d303e12601
Mätzleinstorf,	w11_d303e12604
alt	w13_d303e12608
6.	w15_d303e12611
J.	w17_d303e12614
</list>
<head id="h2_d303e12621">
Summa	w1_d303e12625
7.	w3_d303e12628
Person.	w5_d303e12631
/	w7_d303e12634
darunter	w9_d303e12637
3.	w11_d303e12640
Kind.	w13_d303e12644
Den	w1_d303e12649
7.	w3_d303e12652
Decemb.	w5_d303e12655
Jn	w1_d303e12660
der	w3_d303e12663
Stadt.	w5_d303e12666
</head>
<list id="l4_d303e12669">
Dem	w1_d303e12673
Math.	w3_d303e12676
Mayr,	w5_d303e12679
Maurern,	w7_d303e12682
s.	w9_d303e12685
K.	w11_d303e12688
Rosina,	w13_d303e12692
in	w15_d303e12695
dem	w17_d303e12698
Palestratzis.	w1_d303e12703
H.	w3_d303e12706
in	w5_d303e12709
der	w7_d303e12712
untern	w9_d303e12715
Bäckerstr.,	w11_d303e12718
5.	w13_d303e12722
v.	w15_d303e12725
J.	w17_d303e12728
</list>
<head id="h2_d303e12736">
Vor	w1_d303e12740
der	w3_d303e12743
Stadt.	w5_d303e12746
</head>
<list id="l4_d303e12749">
Thom.	w1_d303e12753
Gigenbach,	w3_d303e12756
Burgerl.	w5_d303e12759
Tischl.,	w7_d303e12762
im	w9_d303e12765
Zimmer	w11_d303e12768
meisteris.	w1_d303e12773
H.	w3_d303e12776
in	w5_d303e12779
der	w7_d303e12782
Leopoldst.,	w9_d303e12785
alt	w11_d303e12788
62.	w13_d303e12792
J.	w15_d303e12795
Hr.	w1_d303e12800
Georg	w3_d303e12803
Fleischhäckl,	w5_d303e12806
Burgerl.	w7_d303e12809
Brandwein.,	w9_d303e12812
in	w11_d303e12815
s.	w13_d303e12819
H.	w1_d303e12825
in	w3_d303e12828
der	w5_d303e12831
Leopoldst.,	w7_d303e12834
alt	w9_d303e12837
42.	w11_d303e12840
J.	w13_d303e12844
Dem	w1_d303e12849
Georg	w3_d303e12852
Geiger,	w5_d303e12855
Bäckern,	w7_d303e12858
s.	w9_d303e12861
T.	w11_d303e12864
Magdal.,	w13_d303e12868
in	w15_d303e12871
s.	w17_d303e12874
H.	w1_d303e12879
zu	w3_d303e12882
Margar.,	w5_d303e12885
alt	w7_d303e12888
21.	w9_d303e12891
J.	w11_d303e12894
Norbert	w1_d303e12899
Mayer,	w3_d303e12902
Schuh=mach.,	w5_d303e12905
bey	w7_d303e12908
der	w9_d303e12911
gold.	w11_d303e12914
Birn	w13_d303e12918
im	w1_d303e12924
Lerchenf,	w3_d303e12927
alt	w5_d303e12930
48.	w7_d303e12933
J.	w9_d303e12936
Theres.	w1_d303e12941
N.	w3_d303e12944
Wittwe,	w5_d303e12947
bey	w7_d303e12950
der	w9_d303e12953
grün.	w11_d303e12956
Weintr.	w13_d303e12960
auf	w15_d303e12963
der	w17_d303e12966
Wied.,	w1_d303e12971
alt	w3_d303e12974
72.	w5_d303e12977
J.	w7_d303e12980
</list>
<head id="h2_d303e12987">
Summa	w1_d303e12991
6.	w3_d303e12994
Person.	w5_d303e12997
darunter	w7_d303e13000
1.	w9_d303e13003
Kind.	w11_d303e13006
</head>
<head id="h2_d303e13012">
Den	w1_d303e13016
8.	w3_d303e13019
Decemb.	w5_d303e13022
Jn	w1_d303e13027
der	w3_d303e13030
Stadt.	w5_d303e13033
</head>
<list id="l4_d303e13036">
Georg	w1_d303e13040
Crainer,	w3_d303e13043
Harrachis.	w5_d303e13046
Sold.,	w7_d303e13049
in	w9_d303e13052
der	w11_d303e13055
Casarmi,	w13_d303e13059
alt	w1_d303e13064
33.	w3_d303e13067
J.	w5_d303e13070
</list>
<head id="h2_d303e13077">
Vor	w1_d303e13081
der	w3_d303e13084
Stadt.	w5_d303e13087
</head>
<list id="l4_d303e13090">
Jos.	w1_d303e13094
Heyderer,	w3_d303e13097
Burgerl.	w5_d303e13100
Stärk=mach.,	w7_d303e13103
im	w9_d303e13106
Widma	w11_d303e13109
nis.	w1_d303e13114
H.	w3_d303e13117
auf	w5_d303e13120
der	w7_d303e13123
Landstr.,	w9_d303e13126
alt	w11_d303e13129
59.	w13_d303e13133
J.	w15_d303e13136
Dem	w1_d303e13141
Joh.	w3_d303e13144
Krieger,	w5_d303e13147
Hof=befr.	w7_d303e13150
Buch=bind.,	w9_d303e13153
s.	w11_d303e13156
T.	w13_d303e13160
Clara,	w1_d303e13166
im	w3_d303e13169
Gutis.	w5_d303e13172
H.	w7_d303e13175
auf	w9_d303e13178
der	w11_d303e13181
Laimgr.,	w13_d303e13185
alt	w15_d303e13188
21.	w17_d303e13191
J.	w19_d303e13194
Alb.	w1_d303e13199
Schillinger,	w3_d303e13202
Huf=schm.,	w5_d303e13205
in	w7_d303e13208
der	w9_d303e13211
Hartschieren	w11_d303e13214
schmidten	w1_d303e13219
auf	w3_d303e13222
der	w5_d303e13225
Wied.,	w7_d303e13228
alt	w9_d303e13231
34.	w11_d303e13234
J	w13_d303e13238
Barb.	w1_d303e13243
Gallin,	w3_d303e13246
Wittwe,	w5_d303e13249
in	w7_d303e13252
