<doc id="wr_1756-08-14" attrs="word" year="1756" month="08" day="14" corpus="2">
<head id="h2_d65e2587">
Extract=schreiben	w1_d65e2591
Anverwandten	w5_d65e9990
so	w7_d65e9993
verlassen	w9_d65e9996
wor	w11_d65e9999
den,	w1_d65e10005
daß	w3_d65e10008
er	w5_d65e10011
auf	w7_d65e10014
Unkosten	w9_d65e10017
hiesiger	w11_d65e10020
Policey	w13_d65e10024
wird	w1_d65e10029
beerdiget	w3_d65e10032
werden.	w5_d65e10035
Am	w7_d65e10038
künftigen	w9_d65e10041
Mon	w11_d65e10044
tage	w1_d65e10049
werden	w3_d65e10052
die	w5_d65e10055
in	w7_d65e10058
dem	w9_d65e10061
Urtheil	w11_d65e10064
zuletzt	w13_d65e10068
bereg	w15_d65e10071
ten	w1_d65e10076
4.	w3_d65e10079
Delinquenten	w5_d65e10082
gleichfalls	w7_d65e10085
enthauptet	w9_d65e10088
Zur	w1_d65e10094
Verhütung	w3_d65e10097
aller	w5_d65e10100
etwanig	w7_d65e10103
werden.	w1_d65e10108
entstehender	w1_d65e10113
Unordnung	w3_d65e10116
seynd	w5_d65e10119
bey	w7_d65e10122
der	w9_d65e10125
heuti	w11_d65e10128
gen	w1_d65e10133
Execution	w3_d65e10136
nicht	w5_d65e10139
nur	w7_d65e10142
ansehnliche	w9_d65e10145
Deta	w11_d65e10148
chements	w1_d65e10154
von	w3_d65e10157
der	w5_d65e10160
hiesigen	w7_d65e10163
Leib=garde	w9_d65e10166
und	w11_d65e10169
Ar	w13_d65e10173
tillerie,	w1_d65e10178
wie	w3_d65e10181
auch	w5_d65e10184
von	w7_d65e10187
der	w9_d65e10190
Cavallerie	w11_d65e10193
der	w13_d65e10197
Bürgerschaft,	w1_d65e10202
beym	w3_d65e10205
Gerichts=platz	w5_d65e10208
aufgestel	w7_d65e10211
let	w1_d65e10216
gewesen,	w3_d65e10219
sondern	w5_d65e10222
es	w7_d65e10225
hat	w9_d65e10228
auch	w11_d65e10231
die	w13_d65e10235
Jnfan	w15_d65e10238
terie	w1_d65e10244
der	w3_d65e10247
Bürgerschaft	w5_d65e10250
die	w7_d65e10253
vornehmsten	w9_d65e10256
Plä	w11_d65e10259
tze	w1_d65e10264
der	w3_d65e10267
Stadt	w5_d65e10270
occupiret;	w7_d65e10273
wie	w9_d65e10276
dann	w11_d65e10279
auch	w13_d65e10283
von	w15_d65e10286
beyden	w1_d65e10291
Corps	w3_d65e10294
der	w5_d65e10297
Bürgerschaft	w7_d65e10300
unter	w9_d65e10303
wah	w11_d65e10306
render	w1_d65e10311
Execution	w3_d65e10314
Patromillen	w5_d65e10317
in	w7_d65e10320
der	w9_d65e10323
Stadt,	w11_d65e10326
und	w1_d65e10332
in	w3_d65e10335
den	w5_d65e10338
Vorstädten	w7_d65e10341
seynd	w9_d65e10344
gehalten	w11_d65e10347
wor	w13_d65e10351
den.	w1_d65e10356
Die	w3_d65e10359
jenige,	w5_d65e10362
welche	w7_d65e10365
in	w9_d65e10368
den	w11_d65e10371
Provinzen,	w13_d65e10375
und	w1_d65e10380
sonderlich	w3_d65e10383
in	w5_d65e10386
Dahlland	w7_d65e10389
die	w9_d65e10392
Dahlbauren	w11_d65e10395
zu	w1_d65e10400
einer	w3_d65e10403
Aufruhr	w5_d65e10406
haben	w7_d65e10409
verleiten	w9_d65e10412
wollen,	w11_d65e10415
seynd	w1_d65e10421
bereits	w3_d65e10424
sammentlich	w5_d65e10427
gefesselt,	w7_d65e10430
und	w9_d65e10433
auf	w11_d65e10436
dem	w1_d65e10441
Wege	w3_d65e10444
hieher	w5_d65e10447
gebracht	w7_d65e10450
zu	w9_d65e10453
werden.	w11_d65e10456
Da	w13_d65e10460
der	w1_d65e10465
echapirte	w3_d65e10468
Oberster	w5_d65e10471
und	w7_d65e10474
Graf	w9_d65e10477
Hord	w11_d65e10480
den	w13_d65e10484
Plan	w1_d65e10489
zu	w3_d65e10492
der	w5_d65e10495
hier	w7_d65e10498
vorgehabten	w9_d65e10501
Aufruhr	w11_d65e10504
ge	w13_d65e10508
ma	w1_d65e10514
</p>
<p id="p10_d65e10519">
machet,	w1_d65e10523
so	w3_d65e10526
ist	w5_d65e10529
allen	w7_d65e10532
Königl.	w9_d65e10535
Ministris,	w11_d65e10538
Agen	w13_d65e10542
ten	w1_d65e10547
und	w3_d65e10550
Consuln	w5_d65e10553
anbefohlen	w7_d65e10556
worden,	w9_d65e10559
dessen	w11_d65e10562
Ausliefferung	w1_d65e10567
zu	w3_d65e10570
veranstalten.	w5_d65e10573
Es	w7_d65e10576
ist	w9_d65e10579
auch	w11_d65e10582
dieses	w1_d65e10588
in	w3_d65e10591
Ansehung	w5_d65e10594
des	w7_d65e10597
bereits	w9_d65e10600
vor	w11_d65e10603
einiger	w13_d65e10607
Zeit	w1_d65e10612
entwichenen	w3_d65e10615
Lagmann,	w5_d65e10618
Baron	w7_d65e10621
Eric	w9_d65e10624
Wrangels,	w1_d65e10629
und	w3_d65e10632
des	w5_d65e10635
Capt.	w7_d65e10638
Gyllenspetzes	w9_d65e10641
ge	w11_d65e10644
schehen,	w1_d65e10649
weil	w3_d65e10652
alle	w5_d65e10655
3.	w7_d65e10658
darinnen	w9_d65e10661
überein	w11_d65e10664
kom	w13_d65e10668
men,	w1_d65e10674
daß	w3_d65e10677
sie	w5_d65e10680
die	w7_d65e10683
allgemeine	w9_d65e10686
Sicherheit	w11_d65e10689
ha	w13_d65e10693
ben	w1_d65e10698
stören	w3_d65e10701
wollen	w5_d65e10704
</p>
<head id="h2_d65e10710">
Aus	w1_d65e10714
Dännemark.	w3_d65e10717
</head>
<head id="h2_d65e10724">
Kopenhagen	w1_d65e10728
23.	w3_d65e10731
Julii.	w5_d65e10734
</head>
<p id="p4_d65e10737">
Bey	w1_d65e10741
dem	w3_d65e10744
kurtzen	w5_d65e10747
Aufenthalt	w7_d65e10750
der	w9_d65e10753
Königl.	w11_d65e10756
Schwedischen	w1_d65e10761
Escadre	w3_d65e10764
auf	w5_d65e10767
der	w7_d65e10770
Rhede	w9_d65e10773
von	w11_d65e10776
Helsingöer,	w1_d65e10781
alwo	w3_d65e10784
dieselbe	w5_d65e10787
frisch	w7_d65e10790
Wasser	w9_d65e10793
ein	w11_d65e10796
genommen	w1_d65e10802
hat,	w3_d65e10805
seynd	w5_d65e10808
verschiedene	w7_d65e10811
Officiers	w9_d65e10814
an	w1_d65e10819
Land	w3_d65e10822
gewesen.	w5_d65e10825
Aus	w7_d65e10828
Norwegen	w9_d65e10831
wird	w11_d65e10834
ge	w13_d65e10838
meldet,	w1_d65e10843
daß	w3_d65e10846
in	w5_d65e10849
verschiedenen	w7_d65e10852
Gegenden	w9_d65e10855
der	w11_d65e10858
Grafschaft	w1_d65e10863
Jarlsberg	w3_d65e10866
sich	w5_d65e10869
dieß	w7_d65e10872
Jahr	w9_d65e10875
wieder	w11_d65e10878
eine	w1_d65e10884
schädliche	w3_d65e10887
Art	w5_d65e10890
Gewürme	w7_d65e10893
eingefunden,	w9_d65e10896
die	w1_d65e10901
einige	w3_d65e10904
Jahre	w5_d65e10907
zuvor	w7_d65e10910
immer	w9_d65e10913
in	w11_d65e10916
grosser	w13_d65e10920
Menge	w1_d65e10925
beydes	w3_d65e10928
Korn	w5_d65e10931
und	w7_d65e10934
Gras	w9_d65e10937
daselbst	w11_d65e10940
ver	w13_d65e10944
zehret	w1_d65e10949
haben.	w3_d65e10952
Ob	w5_d65e10955
gleich	w7_d65e10958
ihre	w9_d65e10961
Anzahl	w11_d65e10964
dieß	w13_d65e10968
mal	w1_d65e10974
nicht	w3_d65e10977
so	w5_d65e10980
groß	w7_d65e10983
ist,	w9_d65e10986
als	w11_d65e10989
in	w13_d65e10993
denen	w15_d65e10996
vorigen	w17_d65e10999
Jahren,	w1_d65e11004
und	w3_d65e11007
auch	w5_d65e11010
viele	w7_d65e11013
von	w9_d65e11016
der	w11_d65e11019
nassen	w13_d65e11023
und	w15_d65e11026
kalten	w1_d65e11031
Witterung	w3_d65e11034
crepiret	w5_d65e11037
seynd,	w7_d65e11040
so	w9_d65e11043
haben	w11_d65e11046
sie	w1_d65e11051
doch	w3_d65e11054
abermal	w5_d65e11057
unangenehme	w7_d65e11060
Spuren	w9_d65e11063
ihres	w11_d65e11066
Daseyns	w1_d65e11072
sowol	w3_d65e11075
an	w5_d65e11078
Korn	w7_d65e11081
als	w9_d65e11084
Wiesewachs	w11_d65e11087
zurück	w1_d65e11092
gelassen.	w3_d65e11095
Es	w5_d65e11098
wird	w7_d65e11101
ferner	w9_d65e11104
gemeldet	w11_d65e11107
daß	w1_d65e11112
man	w3_d65e11115
in	w5_d65e11118
der	w7_d65e11121
Gegend	w9_d65e11124
um	w11_d65e11127
Tönsberg	w13_d65e11131
dieß	w15_d65e11134
Jahr	w1_d65e11139
eben	w3_d65e11142
keine	w5_d65e11145
sonderliche	w7_d65e11148
Hitze	w9_d65e11151
verspüret,	w11_d65e11154
und	w1_d65e11160
dennoch	w3_d65e11163
öfters	w5_d65e11166
sehr	w7_d65e11169
starke	w9_d65e11172
Donner=wetter	w11_d65e11175
gehabt	w1_d65e11180
habe,	w3_d65e11183
wodurch	w5_d65e11186
in	w7_d65e11189
dem	w9_d65e11192
Kirchspiel	w11_d65e11195
An	w13_d65e11199
neboe	w1_d65e11204
eine	w3_d65e11207
Weibs=person	w5_d65e11210
erschlagen	w7_d65e11213
wor	w9_d65e11216
den.	w1_d65e11221
</p>
<head id="h2_d65e11227">
Aus	w1_d65e11231
Pohlen.	w3_d65e11234
Posen	w1_d65e11239
14.	w3_d65e11242
Julii.	w5_d65e11245
</head>
<p id="p4_d65e11248">
Aus	w1_d65e11252
der	w3_d65e11255
Ukraine	w5_d65e11258
wird	w7_d65e11261
berichtet,	w9_d65e11264
daß	w11_d65e11267
die	w13_d65e11271
Haydemaken	w1_d65e11276
etliche	w3_d65e11279
60.	w5_d65e11282
Personen	w7_d65e11285
stark	w9_d65e11288
zu	w11_d65e11291
Fuß,	w1_d65e11296
das	w3_d65e11299
Dorf	w5_d65e11302
Orsowka	w7_d65e11305
in	w9_d65e11308
der	w11_d65e11311
Ukraine	w13_d65e11315
aus	w15_d65e11318
geraubet,	w1_d65e11324
welches	w3_d65e11327
aus	w5_d65e11330
Behustow	w7_d65e11333
berichtet	w9_d65e11336
wird,	w1_d65e11341
und	w3_d65e11344
daß	w5_d65e11347
sie	w7_d65e11350
daselbst	w9_d65e11353
die	w11_d65e11356
Rußische	w13_d65e11360
Kirche	w15_d65e11363
erbrochen,	w1_d65e11368
und	w3_d65e11371
alles,	w5_d65e11374
was	w7_d65e11377
von	w9_d65e11380
einem	w11_d65e11383
Werth	w13_d65e11387
gewesen,	w1_d65e11392
daraus	w3_d65e11395
genommen.	w5_d65e11398
Aus	w7_d65e11401
Tetgow,	w9_d65e11404
12.	w1_d65e11410
Meilen	w3_d65e11413
von	w5_d65e11416
besagtem	w7_d65e11419
Behustow,	w9_d65e11422
hat	w11_d65e11425
man,	w1_d65e11430
daß	w3_d65e11433
daselbst,	w5_d65e11436
und	w7_d65e11439
in	w9_d65e11442
der	w11_d65e11445
Gegend	w13_d65e11449
etli	w15_d65e11452
che	w1_d65e11457
80.	w3_d65e11460
zu	w5_d65e11463
Pferde,	w7_d65e11466
welche	w9_d65e11469
brohen	w11_d65e11472
Berdico	w13_d65e11476
zu	w1_d65e11481
ataquiren,	w3_d65e11484
sich	w5_d65e11487
befinden,	w7_d65e11490
dahero	w9_d65e11493
mandenn	w11_d65e11496
daselbst	w1_d65e11502
auf	w3_d65e11505
zuter	w1_d65e11510
Hut	w3_d65e11513
ist.	w5_d65e11516
</p>
<head id="h2_d65e11522">
Aus	w1_d65e11526
Teutschland.	w3_d65e11529
Greding,	w1_d65e11534
im	w3_d65e11537
Eichstädtischen,	w5_d65e11540
9.	w1_d65e11545
Julii.	w3_d65e11548
</head>
<p id="p4_d65e11551">
Jn	w1_d65e11555
dem	w3_d65e11558
unweit	w5_d65e11561
hiesiger	w7_d65e11564
Stadt	w9_d65e11567
gelegenen	w11_d65e11570
Dorfe	w1_d65e11575
Möltendorf	w3_d65e11578
ist	w5_d65e11581
ein	w7_d65e11584
Mann	w9_d65e11587
mit	w11_d65e11590
Na	w13_d65e11594
men	w1_d65e11599
Philipp	w3_d65e11602
Scharpf	w5_d65e11605
im	w7_d65e11608
110.	w9_d65e11611
Jahre	w11_d65e11614
seines	w13_d65e11618
Alters	w1_d65e11624
verstorben.	w3_d65e11627
Er	w5_d65e11630
ist	w7_d65e11633
die	w9_d65e11636
Zeit	w11_d65e11639
seines	w13_d65e11643
Le	w15_d65e11646
bens	w1_d65e11651
frisch	w3_d65e11654
und	w5_d65e11657
gesund	w7_d65e11660
bis	w9_d65e11663
an	w11_d65e11666
sein	w13_d65e11670
Ende	w15_d65e11673
ge	w17_d65e11676
wesen,	w1_d65e11681
und	w3_d65e11684
hat	w5_d65e11687
die	w7_d65e11690
Wallfahrts=bilder	w9_d65e11693
St.	w11_d65e11696
Maria	w1_d65e11701
und	w3_d65e11704
St.	w5_d65e11707
Anna	w7_d65e11710
nach	w9_d65e11713
Möltendorf	w11_d65e11716
gebracht,	w1_d65e11722
auch	w3_d65e11725
von	w5_d65e11728
dieser	w7_d65e11731
Wallfahrt	w9_d65e11734
seine	w11_d65e11737
ganze	w1_d65e11742
Unterhaltung	w3_d65e11745
gehabt.	w5_d65e11748
</p>
<head id="h2_d65e11754">
Halle	w1_d65e11758
12.	w3_d65e11761
Julii.	w5_d65e11764
</head>
<p id="p4_d65e11767">
Am	w1_d65e11771
7.	w3_d65e11774
dieses	w5_d65e11777
des	w7_d65e11780
Nachts	w9_d65e11783
ward	w11_d65e11786
man	w13_d65e11790
hier	w15_d65e11793
2.	w1_d65e11798
starcke	w3_d65e11801
Feuers=brünste	w5_d65e11804
gewahr,	w7_d65e11807
davon	w9_d65e11810
die	w11_d65e11813
eine	w1_d65e11818
um	w3_d65e11821
11.	w5_d65e11824
Uhr	w7_d65e11827
Querfurt,	w9_d65e11830
einen	w11_d65e11833
noch	w13_d65e11837
unbe	w15_d65e11840
kannten	w1_d65e11846
Ort,	w3_d65e11849
die	w5_d65e11852
andere	w7_d65e11855
aber	w9_d65e11858
um	w11_d65e11861
3.	w13_d65e11865
Uhr	w15_d65e11868
Schafstädt,	w1_d65e11873
bey	w3_d65e11876
Lauchstädt,	w5_d65e11879
betroffen	w7_d65e11882
hat.	w9_d65e11885
An	w1_d65e11890
dem	w3_d65e11893
letzten	w5_d65e11896
Ort	w7_d65e11899
seynd	w9_d65e11902
48.	w11_d65e11905
Häuser	w13_d65e11909
im	w15_d65e11912
Feuer	w1_d65e11917
drauf	w3_d65e11920
gegangen,	w5_d65e11923
daneben	w7_d65e11926
viele	w9_d65e11929
Per	w11_d65e11932
sonen	w1_d65e11938
verunglücket,	w3_d65e11941
als	w5_d65e11944
3.	w7_d65e11947
verbrannt,	w9_d65e11950
3.	w11_d65e11953
er	w13_d65e11957
stickt,	w1_d65e11962
und	w3_d65e11965
mehrere	w5_d65e11968
beschädiget	w7_d65e11971
worden.	w9_d65e11974
Am	w11_d65e11977
9ten,	w1_d65e11982
Abends	w3_d65e11985
um	w5_d65e11988
9.	w7_d65e11991
Uhr,	w9_d65e11994
gieng	w11_d65e11997
wieder	w13_d65e12001
ein	w15_d65e12004
Feuer	w1_d65e12009
über	w3_d65e12012
der	w5_d65e12015
Heyde	w7_d65e12018
auf,	w9_d65e12021
welches	w11_d65e12024
aber	w13_d65e12028
bald	w15_d65e12031
wieder	w1_d65e12037
gelöschet	w3_d65e12040
ward.	w5_d65e12043
</p>
<head id="h2_d65e12049">
Dresden	w1_d65e12053
25.	w3_d65e12056
Julii.	w5_d65e12059
</head>
<p id="p4_d65e12062">
Heute	w1_d65e12066
vor	w3_d65e12069
8.	w5_d65e12072
Tagen	w7_d65e12075
wurde	w9_d65e12078
das	w11_d65e12081
Geburts	w13_d65e12085
fest	w1_d65e12090
Jhro	w3_d65e12093
Königl.	w5_d65e12096
Hoheit	w7_d65e12099
der	w9_d65e12102
Chur=prinzeßin	w11_d65e12105
welche	w1_d65e12110
daran	w3_d65e12113
das	w5_d65e12116
33ste	w7_d65e12119
Jahr	w9_d65e12122
Dero	w11_d65e12125
Alters	w13_d65e12129
glüklich	w1_d65e12135
angetretten,	w3_d65e12138
und	w5_d65e12141
gestern	w7_d65e12144
der	w9_d65e12147
Chri	w11_d65e12150
stinen=tag,	w1_d65e12155
wovon	w3_d65e12158
Jhro	w5_d65e12161
Königl.	w7_d65e12164
Hoheit	w9_d65e12167
die	w1_d65e12172
vierte	w3_d65e12175
Königl.	w5_d65e12178
Prinzeßin	w7_d65e12181
den	w9_d65e12184
Namen	w11_d65e12187
führen,	w1_d65e12192
in	w3_d65e12195
Gala	w5_d65e12198
gefeyert,	w7_d65e12201
und	w9_d65e12204
war	w11_d65e12207
am	w13_d65e12211
er	w15_d65e12214
stern	w1_d65e12220
Tage	w3_d65e12223
Apartement	w5_d65e12226
im	w7_d65e12229
Türkischen	w9_d65e12232
Gar	w11_d65e12235
ten.	w1_d65e12240
Se.	w3_d65e12243
Königl.	w5_d65e12246
Majest.	w7_d65e12249
haben	w9_d65e12252
sich	w11_d65e12255
in	w13_d65e12259
ab	w15_d65e12262
gewichener	w1_d65e12267
Woche	w3_d65e12270
mit	w5_d65e12273
Scheiben=Schiessen	w7_d65e12276
zu	w1_d65e12281
erlustigen	w3_d65e12284
beliebet.	w5_d65e12287
</p>
<head id="h2_d65e12293">
Wien	w1_d65e12297
den	w3_d65e12300
14.	w5_d65e12303
Augusti	w7_d65e12306
1756.	w9_d65e12309
</head>
<p id="p4_d65e12312">
Pittwoch	w1_d65e12316
den	w3_d65e12319
11.	w5_d65e12322
Augusti	w7_d65e12325
Vor	w9_d65e12328
und	w11_d65e12331
Nach	w13_d65e12335
du	w1_d65e12340
mittags	w1_d65e12345
haben	w3_d65e12348
Jhro	w5_d65e12351
Königl.	w7_d65e12354
Hoheiten	w9_d65e12357
die	w1_d65e12363
Durchleuchtigste	w3_d65e12366
junge	w5_d65e12369
Herrschaften	w7_d65e12372
dem	w9_d65e12375
ordinari	w1_d65e12380
GOttes=dienst	w3_d65e12383
in	w5_d65e12386
der	w7_d65e12389
Schönbrun	w9_d65e12392
ner	w1_d65e12397
Schloß=kapellen	w3_d65e12400
beygewohnet,	w5_d65e12403
auch	w7_d65e12406
</p>
<p id="p6_d65e12409">
Dito	w1_d65e12413
seynd	w3_d65e12416
Se.	w5_d65e12419
Excellenz	w7_d65e12422
der	w9_d65e12425
Herr	w11_d65e12428
Feld	w13_d65e12432
marschall,	w1_d65e12437
und	w3_d65e12440
commandirender	w5_d65e12443
General	w7_d65e12446
im	w9_d65e12449
Königreich	w1_d65e12454
Böheim,	w3_d65e12457
Graf	w5_d65e12460
von	w7_d65e12463
Broun,	w9_d65e12466
von	w11_d65e12469
hier	w1_d65e12475
in	w3_d65e12478
das	w5_d65e12481
bey	w7_d65e12484
Kolin	w9_d65e12487
angeordnete	w11_d65e12490
Lager	w13_d65e12494
ab	w15_d65e12497
gegangen.	w1_d65e12502
</p>
<p id="p12_d65e12516">
Donnerstag	w1_d65e12520
den	w3_d65e12523
12.	w5_d65e12526
Augusti,	w7_d65e12529
ist	w9_d65e12532
der	w11_d65e12535
ge	w13_d65e12539
wöhnliche	w1_d65e12544
GOttes=dienst	w3_d65e12547
in	w5_d65e12550
der	w7_d65e12553
Schönbrun	w9_d65e12556
ner	w1_d65e12561
Schloß=kapellen	w3_d65e12564
gehalten	w5_d65e12567
worden;	w7_d65e12570
dann	w9_d65e12573
Abends	w1_d65e12579
seynd	w3_d65e12582
beede	w5_d65e12585
Kaiserl.	w7_d65e12588
Majestäten	w9_d65e12591
von	w11_d65e12594
Schloß=hof	w1_d65e12599
in	w3_d65e12602
Schönbrunn	w5_d65e12605
wiederum	w7_d65e12608
zu	w9_d65e12611
ruck	w1_d65e12616
angelanget.	w3_d65e12619
</p>
<p id="p14_d65e12622">
Freytag	w1_d65e12626
den	w3_d65e12629
13.	w5_d65e12632
Augusti,	w7_d65e12635
Vormittags	w9_d65e12638
um	w1_d65e12643
9.	w3_d65e12646
Uhr	w5_d65e12649
seynd	w7_d65e12652
beede	w9_d65e12655
Kaiserl.	w11_d65e12658
Majestäten	w13_d65e12662
von	w1_d65e12667
Schönbrunn	w3_d65e12670
zu	w5_d65e12673
der	w7_d65e12676
so=genannten	w9_d65e12679
Fahnen	w11_d65e12682
stangen	w1_d65e12688
abgegangen,	w3_d65e12691
und	w5_d65e12694
haben	w7_d65e12697
alda	w9_d65e12700
das	w11_d65e12703
daselbst	w1_d65e12708
paradierende	w3_d65e12711
Löbl.	w5_d65e12714
Carl	w7_d65e12717
Palfische	w9_d65e12720
Cu	w11_d65e12723
raßier=regiment	w1_d65e12728
in	w3_d65e12731
allerhöchsten	w5_d65e12734
Augenschein	w7_d65e12737
genommen,	w1_d65e12742
solches	w3_d65e12745
auch	w5_d65e12748
allermildest	w7_d65e12751
be	w9_d65e12754
schenken	w1_d65e12760
lassen,	w3_d65e12763
sodann	w5_d65e12766
seynd	w7_d65e12769
Allerhöchste	w9_d65e12772
Herrschaften	w1_d65e12777
nacher	w3_d65e12780
Schönbrunn	w5_d65e12783
wider	w7_d65e12786
zuruck	w9_d65e12789
gekehret,	w1_d65e12794
worauf	w3_d65e12797
in	w5_d65e12800
Beywohnung	w7_d65e12803
Aller	w9_d65e12806
höchsten	w1_d65e12811
Herrschaften	w3_d65e12814
das	w5_d65e12817
wochentliche	w7_d65e12820
Gebett	w9_d65e12823
in	w1_d65e12829
bemeldter	w3_d65e12832
Schloß=kapellen	w5_d65e12835
gehalten	w7_d65e12838
worden,	w9_d65e12841
nach	w1_d65e12846
solchen	w3_d65e12849
aber	w5_d65e12852
haben	w7_d65e12855
Jhre	w9_d65e12858
Eminenzen	w11_d65e12861
die	w1_d65e12866
2.	w3_d65e12869
Herren	w5_d65e12872
Cardinäle,	w7_d65e12875
die	w9_d65e12878
Herren	w11_d65e12881
Bott	w13_d65e12885
schaffter,	w1_d65e12890
wie	w3_d65e12893
auch	w5_d65e12896
der	w7_d65e12899
hohe	w9_d65e12902
Adel	w11_d65e12905
(wegen	w13_d65e12909
Se.	w1_d65e12915
Königl.	w3_d65e12918
Hoheiten	w5_d65e12921
deren	w7_d65e12924
Durchleuchtig	w9_d65e12927
sten	w1_d65e12932
Erz=herzoginen	w3_d65e12935
Mariä	w5_d65e12938
Elisabethä,	w7_d65e12941
und	w9_d65e12944
Mariä	w1_d65e12949
Carolinä	w3_d65e12952
eingefallenen	w5_d65e12955
höchsten	w7_d65e12958
Ge	w9_d65e12961
burts=tägen	w1_d65e12966
ihre	w3_d65e12969
Glückwünschungscompli	w5_d65e12972
mente	w1_d65e12978
abgeleget.	w3_d65e12981
</p>
<head id="h2_d65e12988">
Lista	w1_d65e12992
deren	w3_d65e12995
Verstorbenen	w5_d65e12998
zu	w7_d65e13001
Wien	w9_d65e13004
in	w1_d65e13009
und	w3_d65e13012
vor	w5_d65e13015
der	w7_d65e13018
Stadt.	w9_d65e13021
Den	w1_d65e13026
11.	w3_d65e13029
Augusti	w5_d65e13032
Jn	w1_d65e13038
der	w3_d65e13041
Stadt.	w5_d65e13044
</head>
<list id="l4_d65e13047">
Der	w1_d65e13051
Wol=edle	w3_d65e13054
Hr.	w5_d65e13057
Ferd.	w7_d65e13060
Schmid,	w9_d65e13063
St.	w11_d65e13066
Stephan	w13_d65e13070
Gnaden=bilds=capell=meist.,	w1_d65e13075
im	w3_d65e13078
Dorothe=hof,	w5_d65e13081
alt	w1_d65e13086
63.	w3_d65e13089
J.	w5_d65e13092
Jos.	w1_d65e13098
Beringer,	w3_d65e13101
bebaust.	w5_d65e13104
Burger,	w7_d65e13107
in	w9_d65e13110
s.	w11_d65e13113
H.	w13_d65e13117
am	w15_d65e13120
neuen	w17_d65e13123
Markt,	w1_d65e13128
alt	w3_d65e13131
66.	w5_d65e13134
J.	w7_d65e13137
Cathai.	w1_d65e13142
Hauserin,	w3_d65e13145
led.	w5_d65e13148
M.,	w7_d65e13151
im	w9_d65e13154
Gundel=hof,	w11_d65e13157
42.	w13_d65e13161
J.	w15_d65e13164
</list>
<head id="h2_d65e13171">
Vor	w1_d65e13175
der	w3_d65e13178
Stadt.	w5_d65e13181
</head>
<list id="l4_d65e13184">
Der	w1_d65e13188
Wol=thrw.	w3_d65e13191
P.	w5_d65e13194
Emericus,	w7_d65e13197
Ord.	w9_d65e13200
Carmel.	w11_d65e13203
Disc.,	w13_d65e13207
im	w1_d65e13212
Kloster	w3_d65e13215
in	w5_d65e13218
der	w7_d65e13221
Leopoldst.,	w9_d65e13224
alt	w11_d65e13227
65.	w13_d65e13231
J.	w15_d65e13234
Dem	w1_d65e13239
Joh.	w3_d65e13242
Paul	w5_d65e13245
Stambacher,	w7_d65e13248
Burgerl.	w9_d65e13251
Kotzen	w11_d65e13254
mach.,	w1_d65e13260
s.	w3_d65e13263
W.	w5_d65e13266
Regina,	w7_d65e13269
beym	w9_d65e13272
gold.	w11_d65e13275
Hirsch.	w13_d65e13279
in	w15_d65e13282
der	w17_d65e13285
Leopoldst.,	w1_d65e13290
alt	w3_d65e13293
60.	w5_d65e13296
J.	w7_d65e13299
Ferd.	w1_d65e13304
Trost,	w3_d65e13307
K.	w5_d65e13310
K.	w7_d65e13313
Trad.,	w9_d65e13316
bey	w11_d65e13319
St.	w13_d65e13323
Joseph	w15_d65e13326
bey	w17_d65e13329
Ma	w19_d65e13332
ria=hülf,	w1_d65e13337
alt	w3_d65e13340
57.	w5_d65e13343
J.	w7_d65e13346
Ant.	w1_d65e13352
Pull,	w3_d65e13355
Schul=meist.,	w5_d65e13358
beym	w7_d65e13361
stein.	w9_d65e13364
Löwen	w11_d65e13367
am	w13_d65e13371
Himmel=pfort=gr.,	w1_d65e13376
alt	w3_d65e13379
56.	w5_d65e13382
J.	w7_d65e13385
Jos.	w1_d65e13390
Sagner,	w3_d65e13393
Portier	w5_d65e13396
im	w7_d65e13399
Starhembergis.	w9_d65e13402
Gart.	w11_d65e13405
auf	w13_d65e13409
der	w1_d65e13414
Wied.,	w3_d65e13417
alt	w5_d65e13420
65.	w7_d65e13423
J.	w9_d65e13426
Sufen.	w1_d65e13432
Krammerin,	w3_d65e13435
Wittwe,	w5_d65e13438
bey	w7_d65e13441
St.	w9_d65e13444
Florian	w11_d65e13447
im	w13_d65e13451
Lerchenf.	w1_d65e13456
alt	w3_d65e13459
84.	w5_d65e13462
J.	w7_d65e13465
Ftranz	w1_d65e13470
Molitor,	w3_d65e13473
Lack.,	w5_d65e13476
beym	w7_d65e13479
gold.	w9_d65e13482
Hirsch.	w11_d65e13485
bey	w13_d65e13489
Ma	w15_d65e13492
gia=hülf,	w1_d65e13497
alt	w3_d65e13500
36.	w5_d65e13503
J.	w7_d65e13506
</list>
<list id="l6_d65e13510">
Anna	w1_d65e13514
Maria	w3_d65e13517
Heckerin,	w5_d65e13520
led.	w7_d65e13523
M.,	w9_d65e13526
in	w11_d65e13529
St.	w13_d65e13533
Joh.	w15_d65e13536
Ner.	w17_d65e13539
Spital,	w1_d65e13544
alt	w3_d65e13547
26.	w5_d65e13550
J.	w7_d65e13553
Dem	w1_d65e13558
Jos.	w3_d65e13561
Reiser,	w5_d65e13564
Kutsch.,	w7_d65e13567
s.	w9_d65e13570
K.	w11_d65e13573
Jarob,	w13_d65e13577
beym	w15_d65e13580
gold.	w17_d65e13583
Adler	w1_d65e13589
auf	w3_d65e13592
der	w5_d65e13595
Wied.,	w7_d65e13598
alt	w9_d65e13601
3.	w11_d65e13604
J.	w13_d65e13608
