<doc id="wr_1758-03-01" attrs="word" year="1758" month="03" day="01" corpus="2">
<head id="h2_d222e2673">
Lüneburg	w1_d222e2677
Sept.	w9_d222e9943
in	w11_d222e9946
War	w13_d222e9950
„	w1_d222e9955
schau	w3_d222e9958
arrestirt,	w5_d222e9961
weil	w7_d222e9964
ein	w9_d222e9967
Verdacht	w11_d222e9970
einer	w13_d222e9974
be	w15_d222e9977
„	w1_d222e9983
gangenen	w3_d222e9986
Unrichtigkeit	w5_d222e9989
auf	w7_d222e9992
ihn	w9_d222e9995
gefallen	w11_d222e9998
„	w1_d222e10003
Nach	w3_d222e10006
gehaltenen	w5_d222e10009
etlichen	w7_d222e10012
Examinibus	w9_d222e10015
ist	w11_d222e10018
„,	w1_d222e10023
endlich	w3_d222e10026
dessen	w5_d222e10029
Aussage	w7_d222e10032
dahin	w9_d222e10035
gegangen,	w11_d222e10038
„	w1_d222e10043
daß	w3_d222e10046
er	w5_d222e10049
bekennet:	w7_d222e10052
wie	w9_d222e10055
er	w11_d222e10058
schon	w13_d222e10062
seit	w15_d222e10065
Anne	w17_d222e10068
„	w1_d222e10074
1753.	w3_d222e10077
dem	w5_d222e10080
Preußischen	w7_d222e10083
Gesandten	w9_d222e10086
von	w11_d222e10089
„Malzahn	w1_d222e10094
geheime	w3_d222e10097
Dapeschen,	w5_d222e10100
besenders	w7_d222e10103
„	w1_d222e10108
die	w3_d222e10111
Petersburger,	w5_d222e10114
aus	w7_d222e10117
dem	w9_d222e10120
Archiv	w11_d222e10123
com	w13_d222e10127
„	w1_d222e10132
municiret,	w3_d222e10135
und	w5_d222e10138
dafür	w7_d222e10141
nach	w9_d222e10144
und	w11_d222e10147
nach	w13_d222e10151
an	w15_d222e10154
,,	w1_d222e10160
die	w3_d222e10163
3000.	w5_d222e10166
Thlr.	w7_d222e10169
Belohnung,	w9_d222e10172
auch	w11_d222e10175
von	w13_d222e10179
„	w1_d222e10184
dem	w3_d222e10187
Preußischen	w5_d222e10190
Secretaire	w7_d222e10193
Pleßmann	w9_d222e10196
„	w1_d222e10201
Schlussel	w3_d222e10204
erhalten	w5_d222e10207
habe,	w7_d222e10210
um	w9_d222e10213
die	w11_d222e10216
Schränke	w13_d222e10220
„	w1_d222e10225
im	w3_d222e10228
Archiv	w5_d222e10231
aufzusperren.	w7_d222e10234
Seit	w9_d222e10237
dem	w11_d222e10240
der	w13_d222e10244
„	w1_d222e10250
Hof	w3_d222e10253
zu	w5_d222e10256
Warschau	w7_d222e10259
sey,	w9_d222e10262
habe	w11_d222e10265
er	w13_d222e10269
diese	w15_d222e10272
Com	w17_d222e10275
„	w1_d222e10280
munication	w3_d222e10283
dergestalt	w5_d222e10286
contiuuiret,	w7_d222e10289
daß	w9_d222e10292
er	w11_d222e10295
„	w1_d222e10300
die	w3_d222e10303
Depeschen	w5_d222e10306
an	w7_d222e10309
Preußische	w9_d222e10312
Bauern,	w11_d222e10315
die	w13_d222e10319
„	w1_d222e10324
sich	w3_d222e10327
bey	w5_d222e10330
dem	w7_d222e10333
Preußischen	w9_d222e10336
Secretair	w11_d222e10339
Be	w13_d222e10343
„,	w1_d222e10349
noit	w3_d222e10352
aufgehalten,	w5_d222e10355
zur	w7_d222e10358
Bestellung	w9_d222e10361
abgege	w11_d222e10364
ben	w1_d222e10369
hätte.	w3_d222e10372
</p>
<p id="p26_d222e10375">
Von	w1_d222e10379
Stein,	w3_d222e10382
bey	w5_d222e10385
Trems:	w7_d222e10388
daß	w9_d222e10391
durch	w11_d222e10394
den	w1_d222e10399
loß=gegangenen	w3_d222e10402
Eis=stoß	w5_d222e10405
auf	w7_d222e10408
der	w9_d222e10411
Donau,	w11_d222e10414
welcher	w1_d222e10419
dasiger	w3_d222e10422
Gegenden	w5_d222e10425
17.	w7_d222e10428
mal	w9_d222e10431
sich	w11_d222e10434
wie	w13_d222e10438
der	w1_d222e10444
zusamm	w3_d222e10447
gesetzt	w5_d222e10450
hat,	w7_d222e10453
24.	w9_d222e10456
Joch	w11_d222e10459
von	w13_d222e10463
daßi	w15_d222e10466
ger	w1_d222e10471
Brücke	w3_d222e10474
weggerissen	w5_d222e10477
worden	w7_d222e10480
seyen.	w9_d222e10483
</p>
<p id="p28_d222e10486">
Von	w1_d222e10490
Brünn.	w3_d222e10493
Daß	w5_d222e10496
den	w7_d222e10499
22.	w9_d222e10502
Febr.	w11_d222e10505
der	w13_d222e10509
Kais.	w1_d222e10514
Kön.	w3_d222e10517
Obriste	w5_d222e10520
Herr	w7_d222e10523
Baron	w9_d222e10526
Zedwitz	w11_d222e10529
mit	w13_d222e10533
1000.	w1_d222e10538
Mann	w3_d222e10541
Fustlier,	w5_d222e10544
und	w7_d222e10547
2.	w9_d222e10550
Granadiercom	w11_d222e10553
pagnien	w1_d222e10559
lauter	w3_d222e10562
auserlösenen	w5_d222e10565
Banalisten	w7_d222e10568
(mit	w9_d222e10571
welchen	w1_d222e10576
er	w3_d222e10579
zur	w5_d222e10582
Verstärkung	w7_d222e10585
der	w9_d222e10588
Kais.	w11_d222e10591
Königl.	w13_d222e10595
Armee	w1_d222e10600
auf	w3_d222e10603
dem	w5_d222e10606
Marsch	w7_d222e10609
sich	w9_d222e10612
befindet	w11_d222e10615
alda	w13_d222e10619
pa	w15_d222e10622
radirt,	w1_d222e10627
sohin	w3_d222e10630
aber	w5_d222e10633
mit	w7_d222e10636
sothaner	w9_d222e10639
Mannschaft	w11_d222e10642
alsogleich	w1_d222e10648
weiter	w3_d222e10651
nacher	w5_d222e10654
Königgrätz	w7_d222e10657
seinen	w9_d222e10660
Marsch	w1_d222e10665
fortgesetzet	w3_d222e10668
habe.	w5_d222e10671
</p>
<head id="h2_d222e10677">
Wien,	w1_d222e10681
den	w3_d222e10684
1.	w5_d222e10687
Martii.	w7_d222e10690
1758	w9_d222e10693
</head>
<p id="p4_d222e10696">
SSonntags	w1_d222e10700
den	w3_d222e10703
26.	w5_d222e10706
Februa	w7_d222e10709
ii	w9_d222e10712
als	w11_d222e10715
an	w13_d222e10719
dem	w15_d222e10722
Geburts=fest	w1_d222e10727
Jhrer	w3_d222e10730
Königl.	w5_d222e10733
Hoheit	w7_d222e10736
der	w9_d222e10739
Durchleuchtigst	w1_d222e10744
vierten	w3_d222e10747
Königl.	w5_d222e10750
Prinzeßinn	w7_d222e10753
und	w1_d222e10759
Erz=herzoginn	w3_d222e10762
Maria	w5_d222e10765
Amalia,	w7_d222e10768
da	w9_d222e10771
höchst	w11_d222e10774
dieselbe	w1_d222e10779
das	w3_d222e10782
12.	w5_d222e10785
Jahr	w7_d222e10788
dero	w9_d222e10791
Alters	w11_d222e10794
in	w13_d222e10798
er	w15_d222e10801
freulich	w1_d222e10806
beglückten	w3_d222e10809
Wolseyn,	w5_d222e10812
zurückgeleget	w7_d222e10815
haben	w1_d222e10820
die	w3_d222e10823
Herren	w5_d222e10826
Bottschaftere	w7_d222e10829
und	w9_d222e10832
Gesandte	w11_d222e10835
nebst	w1_d222e10841
dem	w3_d222e10844
übrig	w5_d222e10847
hohen	w7_d222e10850
Adel,	w9_d222e10853
um	w11_d222e10856
die	w13_d222e10860
Glück	w15_d222e10863
wünsche	w1_d222e10868
abzustatten,	w3_d222e10871
sich	w5_d222e10874
nach	w7_d222e10877
Hof	w9_d222e10880
begeben.	w11_d222e10883
Montags	w1_d222e10888
den	w3_d222e10891
27.	w5_d222e10894
nach	w7_d222e10897
dem	w9_d222e10900
Vormittägi	w11_d222e10903
gen	w1_d222e10908
GOttes=dienst	w3_d222e10911
haben	w5_d222e10914
Allerhöchste	w7_d222e10917
Ma	w9_d222e10920
jestäten	w1_d222e10926
mit	w3_d222e10929
dem	w5_d222e10932
hohen	w7_d222e10935
Ministenio	w9_d222e10938
über	w11_d222e10941
die	w13_d222e10945
</p>
<p id="p6_d222e10948">
wichtigen	w1_d222e10952
Staats	w3_d222e10955
und	w5_d222e10958
Landsangelegenhei	w7_d222e10961
ten	w1_d222e10966
conferiret.	w3_d222e10969
Und	w5_d222e10972
gestrigen	w7_d222e10975
Dienstags	w9_d222e10978
als	w1_d222e10983
den	w3_d222e10986
28.	w5_d222e10989
Februarii	w7_d222e10992
ware	w9_d222e10995
abermalen	w11_d222e10998
die	w13_d222e11002
gewöhnliche	w1_d222e11008
grosse	w3_d222e11011
Militar-conferenz	w5_d222e11014
in	w7_d222e11017
Beywohnung	w1_d222e11022
beyder	w3_d222e11025
Kaiserl.	w5_d222e11028
Majestäten.	w7_d222e11031
</p>
<p id="p8_d222e11034">
Nachdem	w1_d222e11038
durch	w3_d222e11041
die	w5_d222e11044
sich	w7_d222e11047
geäussert	w9_d222e11050
gelinde	w11_d222e11053
Witterung	w1_d222e11058
der	w3_d222e11061
Eiß=stoß	w5_d222e11064
sowol	w7_d222e11067
auf	w9_d222e11070
der	w11_d222e11073
gros	w13_d222e11077
sen	w1_d222e11082
Donau,	w3_d222e11085
als	w5_d222e11088
auch	w7_d222e11091
auf	w9_d222e11094
dem	w11_d222e11097
hier	w13_d222e11101
an	w15_d222e11104
der	w17_d222e11107
Stadt	w1_d222e11113
vorbey	w3_d222e11116
streichenden	w5_d222e11119
kleinen	w7_d222e11122
Donau=arm	w9_d222e11125
seit	w1_d222e11130
Sontags	w3_d222e11133
mit	w5_d222e11136
Gewalt	w7_d222e11139
gebrochen,	w9_d222e11142
und	w11_d222e11145
das	w1_d222e11150
Eiß	w3_d222e11153
häuffig	w5_d222e11156
angedrungen,	w7_d222e11159
so	w9_d222e11162
seynd	w11_d222e11165
von	w13_d222e11169
der	w1_d222e11174
äussersten	w3_d222e11177
grösten	w5_d222e11180
Tabor=brucken	w7_d222e11183
dreyze	w9_d222e11186
hen,	w1_d222e11192
von	w3_d222e11195
der	w5_d222e11198
mitteren	w7_d222e11201
allda	w9_d222e11204
aber	w11_d222e11207
4.	w13_d222e11211
Joche	w15_d222e11214
/	w17_d222e11217
und	w1_d222e11222
von	w3_d222e11225
der	w5_d222e11228
Schlag=brucken	w7_d222e11231
zwischen	w9_d222e11234
der	w11_d222e11237
soge	w13_d222e11241
nannten	w1_d222e11246
St	w3_d222e11249
Leopoldi	w5_d222e11252
Vorstadt	w7_d222e11255
und	w9_d222e11258
dieser	w11_d222e11261
Stadt	w1_d222e11266
alle	w3_d222e11269
Joche	w5_d222e11272
/	w7_d222e11275
welche	w9_d222e11278
in	w11_d222e11281
dem	w13_d222e11285
Wasser	w15_d222e11288
gestanden	w1_d222e11294
/	w3_d222e11297
auf	w5_d222e11300
einmal	w7_d222e11303
weggebrochen;	w9_d222e11306
es	w11_d222e11309
ist	w13_d222e11313
aber	w1_d222e11318
bey	w3_d222e11321
allem	w5_d222e11324
deme	w7_d222e11327
kein	w9_d222e11330
Mensch	w11_d222e11333
verun	w13_d222e11337
glücket	w1_d222e11342
worden;	w3_d222e11345
und	w5_d222e11348
sind	w7_d222e11351
deme	w9_d222e11354
ungeachtet	w11_d222e11357
die	w13_d222e11361
se	w1_d222e11366
Täge	w3_d222e11369
her,	w5_d222e11372
viele	w7_d222e11375
Herrn	w9_d222e11378
Stabs	w11_d222e11381
und	w13_d222e11385
an	w15_d222e11388
dere	w1_d222e11394
Officiere,	w3_d222e11397
wie	w5_d222e11400
auch	w7_d222e11403
zerschiedene	w9_d222e11406
Herren	w11_d222e11409
Generale	w1_d222e11414
von	w3_d222e11417
hier	w5_d222e11420
nach	w7_d222e11423
Böheim	w9_d222e11426
zu	w11_d222e11429
der	w13_d222e11433
Kai	w15_d222e11436
serl.	w1_d222e11441
Königl.	w3_d222e11444
Armee	w5_d222e11447
abgegangen.	w7_d222e11450
</p>
<p id="p10_d222e11453">
Ubrigens	w1_d222e11457
ist	w3_d222e11460
dem	w5_d222e11463
Generalen	w7_d222e11466
der	w9_d222e11469
Cavallerie	w11_d222e11472
(Tit.)	w1_d222e11477
Hrn	w3_d222e11480
Grafen	w5_d222e11483
Anton	w7_d222e11486
von	w9_d222e11489
Althann	w11_d222e11492
vor	w13_d222e11496
seiner	w1_d222e11501
Abreise	w3_d222e11504
das	w5_d222e11507
Coharische	w7_d222e11510
Dragonerre	w9_d222e11513
giment	w1_d222e11519
allergnädigst	w3_d222e11522
conferiret	w5_d222e11525
worden.	w7_d222e11528
</p>
<p id="p12_d222e11532">
Von	w1_d222e11536
der	w3_d222e11539
Preußischen	w5_d222e11542
Delogirung	w7_d222e11545
von	w9_d222e11548
Troppau,	w1_d222e11553
hat	w3_d222e11556
man	w5_d222e11559
seithero	w7_d222e11562
folgende,	w9_d222e11565
etwas	w11_d222e11568
mehrere	w1_d222e11573
Umstände	w3_d222e11576
erhalten:	w5_d222e11579
daß	w7_d222e11582
nämlichen	w9_d222e11585
diese	w1_d222e11591
Unternehmung	w3_d222e11594
den	w5_d222e11597
18.	w7_d222e11600
Febr.	w9_d222e11603
beschehen;	w11_d222e11606
daß	w1_d222e11611
der	w3_d222e11614
Herr	w5_d222e11617
General=leutenant	w7_d222e11620
Marquis	w9_d222e11623
de	w1_d222e11628
Ville	w3_d222e11631
beysolcher	w5_d222e11634
mit	w7_d222e11637
aller	w9_d222e11640
Klug	w11_d222e11643
und	w13_d222e11647
Tapferkeit	w1_d222e11652
das	w3_d222e11655
Commando	w5_d222e11658
geführet	w7_d222e11661
ha	w9_d222e11664
be;	w1_d222e11670
daß	w3_d222e11673
die	w5_d222e11676
Preussen	w7_d222e11679
mit	w9_d222e11682
vielem	w11_d222e11685
Verlust	w13_d222e11689
und	w1_d222e11694
gröster	w3_d222e11697
Präcipitanz	w5_d222e11700
sich	w7_d222e11703
von	w9_d222e11706
dannen	w11_d222e11709
zu	w13_d222e11713
ruck=gezogen	w1_d222e11718
haben;	w3_d222e11721
daß	w5_d222e11724
den	w7_d222e11727
19.	w9_d222e11730
darauf,	w11_d222e11733
nachdeme	w1_d222e11738
die	w3_d222e11741
Preussen	w5_d222e11744
schon	w7_d222e11747
aus	w9_d222e11750
Troppan	w11_d222e11753
vertrieben	w1_d222e11759
waren,	w3_d222e11762
dererselben	w5_d222e11765
sogenanntes	w7_d222e11768
Ste	w9_d222e11771
chauische	w1_d222e11776
Dragoner=regiment,	w3_d222e11779
in	w5_d222e11782
der	w7_d222e11785
Mei	w9_d222e11788
nung,	w1_d222e11793
daß	w3_d222e11796
noch	w5_d222e11799
Preussen	w7_d222e11802
darinnen	w9_d222e11805
wären,	w11_d222e11808
gegen	w1_d222e11813
die	w3_d222e11816
Vorstädte	w5_d222e11819
von	w7_d222e11822
Troppau	w9_d222e11825
angerucket	w11_d222e11828
seyen,	w1_d222e11834
bey	w3_d222e11837
dessen	w5_d222e11840
Gewahrnehmung	w7_d222e11843
sogleich	w9_d222e11846
eine	w1_d222e11851
Anzahl	w3_d222e11854
Uhlanen,	w5_d222e11857
nebst	w7_d222e11860
dem	w9_d222e11863
Karolischen	w11_d222e11866
Hussaren=regiment	w1_d222e11871
und	w3_d222e11874
einigen	w5_d222e11877
Carl=städter	w7_d222e11880
Hussaren	w1_d222e11885
gegen	w3_d222e11888
sie	w5_d222e11891
commandirt	w7_d222e11894
wurden,	w9_d222e11897
wel	w11_d222e11900
che	w1_d222e11906
dann	w3_d222e11909
auch	w5_d222e11912
nicht	w7_d222e11915
nur	w9_d222e11918
viele	w11_d222e11921
von	w13_d222e11925
denen	w15_d222e11928
Preußischen	w1_d222e11933
Dragonern	w3_d222e11936
erlegt,	w5_d222e11939
sondern	w7_d222e11942
auch	w9_d222e11945
gar	w1_d222e11950
bald	w3_d222e11953
das	w5_d222e11956
ganze	w7_d222e11959
Regiment	w9_d222e11962
in	w11_d222e11965
die	w13_d222e11969
Flucht	w15_d222e11972
gebracht,	w1_d222e11977
nachdeme	w3_d222e11980
sie	w5_d222e11983
vorhero	w7_d222e11986
den	w9_d222e11989
Preußi	w11_d222e11992
</p>
<p id="p18_d222e12005">
schen	w1_d222e12009
Major,	w3_d222e12012
welcher	w5_d222e12015
sie	w7_d222e12018
commandirte,	w9_d222e12021
ei	w11_d222e12024
nen	w1_d222e12029
Hauptmann,	w3_d222e12032
6.	w5_d222e12035
Leutenant,	w7_d222e12038
einen	w9_d222e12041
Fähn	w11_d222e12044
rich,	w1_d222e12049
und	w3_d222e12052
260.	w5_d222e12055
Gemeine	w7_d222e12058
von	w9_d222e12061
ihnen	w11_d222e12064
zu	w13_d222e12068
Kriegs	w15_d222e12071
gefangenen	w1_d222e12077
gemacht	w3_d222e12080
haben.	w5_d222e12083
</p>
<p id="p20_d222e12086">
Den	w1_d222e12090
9.	w3_d222e12093
dies	w5_d222e12096
lauffenden	w7_d222e12099
Monats	w9_d222e12102
werden	w11_d222e12105
die	w1_d222e12110
acht=tägige	w3_d222e12113
geistliche	w5_d222e12116
Exercitien	w7_d222e12119
in	w9_d222e12122
wel	w11_d222e12125
scher	w1_d222e12130
Sprache	w3_d222e12133
in	w5_d222e12136
der	w7_d222e12139
Kirche	w9_d222e12142
des	w11_d222e12145
Collegii	w13_d222e12149
der	w15_d222e12152
Gesellschaft	w1_d222e12158
JEsu,	w3_d222e12161
und	w5_d222e12164
zwar	w7_d222e12167
täglich	w9_d222e12170
um	w11_d222e12173
5.	w13_d222e12177
Uhr	w1_d222e12182
Nachmittag	w3_d222e12185
ihren	w5_d222e12188
Anfang	w7_d222e12191
nehmen.	w9_d222e12194
</p>
<head id="h2_d222e12200">
Lista	w1_d222e12204
deren	w3_d222e12207
Verstorbenen	w5_d222e12210
zu	w7_d222e12213
Wien	w9_d222e12216
in	w1_d222e12221
und	w3_d222e12224
vor	w5_d222e12227
der	w7_d222e12230
Stadt.	w9_d222e12233
Der	w1_d222e12238
24	w3_d222e12241
Frbr.	w5_d222e12244
Jn	w7_d222e12247
der	w9_d222e12250
Stadt.	w11_d222e12253
</head>
<list id="l4_d222e12256">
Dem	w1_d222e12260
Franz	w3_d222e12263
Linzberger,	w5_d222e12266
Burgerl.	w7_d222e12269
Gold=schm.,	w9_d222e12272
s.	w11_d222e12275
K.	w13_d222e12279
Anna,	w1_d222e12284
im	w3_d222e12287
Raden=hof	w5_d222e12290
in	w7_d222e12293
der	w9_d222e12296
Römerstr.,	w11_d222e12299
5.	w13_d222e12303
v.	w15_d222e12306
J.	w17_d222e12309
Joh.	w1_d222e12314
Cavalli,	w3_d222e12317
Lack.,	w5_d222e12320
im	w7_d222e12323
klein.	w9_d222e12326
Windischgrätzis.	w11_d222e12329
H.	w13_d222e12333
in	w1_d222e12339
der	w3_d222e12342
Schenkenstr.,	w5_d222e12345
alt	w7_d222e12348
63.	w9_d222e12351
J.	w11_d222e12354
Blast	w1_d222e12359
Pentenrieder,	w3_d222e12362
Haus=kn.,	w5_d222e12365
im	w7_d222e12368
Collaltoisch.	w9_d222e12371
H.	w11_d222e12374
am	w1_d222e12379
Hof,	w3_d222e12382
alt	w5_d222e12385
68.	w7_d222e12388
J.	w9_d222e12391
</list>
<head id="h2_d222e12398">
Vor	w1_d222e12402
der	w3_d222e12405
Stadt.	w5_d222e12408
</head>
<list id="l4_d222e12411">
Dem	w1_d222e12415
Tob.	w3_d222e12418
Nickel,	w5_d222e12421
Burgern,	w7_d222e12424
s.	w9_d222e12427
K.	w11_d222e12430
Toh.,	w13_d222e12434
in	w15_d222e12437
s.	w17_d222e12440
H.	w19_d222e12443
auf	w1_d222e12448
der	w3_d222e12451
Landstr.,	w5_d222e12454
alt	w7_d222e12457
3.	w9_d222e12460
J.	w11_d222e12463
Dem	w1_d222e12468
Franz	w3_d222e12471
Wagner,	w5_d222e12474
Burgerl.	w7_d222e12477
Betten=mach.,	w9_d222e12480
s.	w11_d222e12483
W.	w13_d222e12487
Eva,	w1_d222e12493
beyn	w3_d222e12496
2.	w5_d222e12499
Löw.	w7_d222e12502
am	w9_d222e12505
Neustift,	w11_d222e12508
alt	w13_d222e12512
49.	w15_d222e12515
J.	w17_d222e12518
Dem	w1_d222e12523
Casp.	w3_d222e12526
Broy,	w5_d222e12529
Schuh=mach.,	w7_d222e12532
s.	w9_d222e12535
K.	w11_d222e12538
Anna,	w13_d222e12542
in	w15_d222e12545
s.	w17_d222e12548
H.	w1_d222e12553
zu	w3_d222e12556
Erdberg,	w5_d222e12559
alt	w7_d222e12562
2.	w9_d222e12565
J.	w11_d222e12568
Dem	w1_d222e12573
Joh.	w3_d222e12576
Oeling,	w5_d222e12579
Bestand=wirt.,	w7_d222e12582
s.	w9_d222e12585
W.	w11_d222e12588
Cathar.,	w13_d222e12592
beym	w1_d222e12598
gold.	w3_d222e12601
Stuck	w5_d222e12604
ausser	w7_d222e12607
Maria=hülf,	w9_d222e12610
alt	w11_d222e12613
50.	w13_d222e12617
J.	w15_d222e12620
Dem	w1_d222e12625
Mart.	w3_d222e12628
Grim,	w5_d222e12631
Tischl.,	w7_d222e12634
s.	w9_d222e12637
W.	w11_d222e12640
Elbab.,	w13_d222e12644
bey	w15_d222e12647
dem	w17_d222e12650
rot.	w1_d222e12655
Ygel	w3_d222e12658
am	w5_d222e12661
Neubau	w7_d222e12664
alt	w9_d222e12667
37.	w11_d222e12670
J.	w13_d222e12674
Ursula	w1_d222e12679
Klingin,	w3_d222e12682
Wittwe,	w5_d222e12685
im	w7_d222e12688
Kaunitzis.	w9_d222e12691
H.	w11_d222e12694
in	w13_d222e12698
der	w15_d222e12701
Rossau,	w1_d222e12707
alt	w3_d222e12710
77.	w5_d222e12713
J.	w7_d222e12716
Georg	w1_d222e12721
Brändl,	w3_d222e12724
Lehen=kutsch.,	w5_d222e12727
beym	w7_d222e12730
Gänsel	w9_d222e12733
an	w11_d222e12736
der	w13_d222e12740
Wien	w1_d222e12745
alt	w3_d222e12748
26.	w5_d222e12751
J.	w7_d222e12754
Math.	w1_d222e12759
Mittentzwey,	w3_d222e12762
Kutsch.,	w5_d222e12765
bey	w7_d222e12768
der	w9_d222e12771
grün.	w11_d222e12774
Saulen	w13_d222e12778
in	w1_d222e12784
der	w3_d222e12787
Rossau,	w5_d222e12790
alt	w7_d222e12793
49.	w9_d222e12796
J.	w11_d222e12799
Pet.	w1_d222e12804
Hofstetter,	w3_d222e12807
Tagw.,	w5_d222e12810
beyn	w7_d222e12813
6.	w9_d222e12816
Schim.	w11_d222e12819
im	w13_d222e12823
Liech	w15_d222e12826
tenth.,	w1_d222e12831
alt	w3_d222e12834
53.	w5_d222e12837
J.	w7_d222e12840
Summa	w1_d222e12845
12.	w3_d222e12848
Person.,	w5_d222e12851
darunter	w7_d222e12854
3.	w9_d222e12857
Kind.	w11_d222e12860
Den	w1_d222e12866
25.	w3_d222e12869
Februarii.	w5_d222e12872
Jn	w7_d222e12875
der	w9_d222e12878
Stadt.	w11_d222e12881
Der	w1_d222e12886
(Tit.)	w3_d222e12889
Hr	w5_d222e12892
Carl	w7_d222e12895
Gotthelf	w9_d222e12898
v.	w11_d222e12901
Schütz,	w13_d222e12905
ein	w15_d222e12908
Säch	w17_d222e12911
sis.	w1_d222e12916
Cavalier,	w3_d222e12919
bern	w5_d222e12922
3.	w7_d222e12925
Has.	w9_d222e12928
in	w11_d222e12931
der	w13_d222e12935
Kärntnerstr.	w15_d222e12938
22.	w17_d222e12941
J.	w19_d222e12944
Dem	w1_d222e12949
Pet.	w3_d222e12952
Simanuell,	w5_d222e12955
Commediant.,	w7_d222e12958
s.	w9_d222e12961
Ehew.	w11_d222e12964
Mag	w13_d222e12968
dal.,	w1_d222e12974
beym	w3_d222e12977
Englis.	w5_d222e12980
Gruß	w7_d222e12983
am	w9_d222e12986
Salz	w11_d222e12989
gr.	w13_d222e12993
33.	w15_d222e12996
J.	w17_d222e12999
Maria	w1_d222e13004
Feichtingerin,	w3_d222e13007
Wittwe,	w5_d222e13010
im	w7_d222e13013
Eisenhutis.	w9_d222e13016
H.	w11_d222e13019
am	w1_d222e13024
Arscual,	w3_d222e13027
alt	w5_d222e13030
104.	w7_d222e13033
J.	w9_d222e13036
Andre	w1_d222e13041
Schirdman,	w3_d222e13044
Tagw.,	w5_d222e13047
im	w7_d222e13050
Pichlerisch.	w9_d222e13053
H.	w11_d222e13056
auf	w13_d222e13060
der	w1_d222e13066
hoh.	w3_d222e13069
Bruck,	w5_d222e13072
alt	w7_d222e13075
69.	w9_d222e13078
J.	w11_d222e13081
</list>
<head id="h2_d222e13089">
Vor	w1_d222e13093
der	w3_d222e13096
Stadt.	w5_d222e13099
</head>
<list id="l4_d222e13102">
Joh.	w1_d222e13106
Carl,	w3_d222e13109
Burgerl.	w5_d222e13112
Wirt,	w7_d222e13115
beym	w9_d222e13118
gold.	w11_d222e13121
Adl.	w13_d222e13125
in	w15_d222e13128
der	w17_d222e13131
Leopoldst.,	w1_d222e13136
alt	w3_d222e13139
48.	w5_d222e13142
J.	w7_d222e13145
Joh.	w1_d222e13150
Grebinger,	w3_d222e13153
Burgerl.	w5_d222e13156
Parücken=mach.,	w7_d222e13159
bey	w9_d222e13162
Maria	w1_d222e13168
täferl	w3_d222e13171
auf	w5_d222e13174
der	w7_d222e13177
Wied.,	w9_d222e13180
alt	w11_d222e13183
60.	w13_d222e13187
J.	w15_d222e13190
Dem	w1_d222e13195
Jos.	w3_d222e13198
Hölzel,	w5_d222e13201
Burgerl.	w7_d222e13204
Tischl.,	w9_d222e13207
s.	w11_d222e13210
W	w13_d222e13214
Anna,	w15_d222e13217
im	w1_d222e13222
Schwidis.	w3_d222e13225
H.	w5_d222e13228
auf	w7_d222e13231
der	w9_d222e13234
Landstr.,	w11_d222e13237
alt	w13_d222e13241
50.	w15_d222e13244
J.	w17_d222e13247
Theres	w1_d222e13252
Ritzin,	w3_d222e13255
Wittwe,	w5_d222e13258
im	w7_d222e13261
Welßmayrisch.	w9_d222e13264
H.	w11_d222e13267
in	w13_d222e13271
der	w1_d222e13277
Leopoldst.,	w3_d222e13280
alt	w5_d222e13283
58.	w7_d222e13286
J.	w9_d222e13289
</list>
<list id="l6_d222e13293">
Dem	w1_d222e13297
Joh.	w3_d222e13300
Jnger,	w5_d222e13303
Schneid.,	w7_d222e13306
s.	w9_d222e13309
W.	w11_d222e13312
Magdak.	w13_d222e13316
derm	w15_d222e13319
weis.	w1_d222e13324
Rös.	w3_d222e13327
am	w5_d222e13330
Spitalberg,	w7_d222e13333
alt	w9_d222e13336
72.	w11_d222e13339
J.	w13_d222e13343
y	w1_d222e13348
Dem	w1_d222e13354
Ant.	w3_d222e13357
Forstner,	w5_d222e13360
Tüchel=mach.,	w7_d222e13363
s.	w9_d222e13366
W.	w11_d222e13369
Susan.,	w13_d222e13373
im	w1_d222e13378
Baderis.	w3_d222e13381
H.	w5_d222e13384
zu	w7_d222e13387
Gumpendorf,	w9_d222e13390
alt	w11_d222e13393
36.	w13_d222e13397
J.	w15_d222e13400
Phil.	w1_d222e13405
Birringer,	w3_d222e13408
Schif	w5_d222e13411
kn.,	w7_d222e13414
im	w9_d222e13417
Stadlerisch.	w11_d222e13420
H.	w13_d222e13424
in	w15_d222e13427
der	w1_d222e13432
Leopoldst.,	w3_d222e13435
alt	w5_d222e13438
39.	w7_d222e13441
J.	w9_d222e13444
Dem	w1_d222e13450
Jgnatz	w3_d222e13453
Bergmayr,	w5_d222e13456
Tagw.,	w7_d222e13459
s.	w9_d222e13462
K.	w11_d222e13465
Mich.,	w13_d222e13469
beym	w15_d222e13472
rot.	w1_d222e13477
Rös.	w3_d222e13480
am	w5_d222e13483
Neustift,	w7_d222e13486
alt	w9_d222e13489
3.	w11_d222e13492
J.	w13_d222e13496
Anna	w1_d222e13501
Probstin,	w3_d222e13504
ar.	w5_d222e13507
W.,	w7_d222e13510
im	w9_d222e13513
Sonnen=hof,	w11_d222e13516
84.	w13_d222e13520
J.	w15_d222e13523
</list>
<head id="h2_d222e13530">
Suma	w1_d222e13534
13.	w3_d222e13537
Person.	w5_d222e13540
