<doc id="wr_1761-07-25" attrs="word" year="1761" month="07" day="25" corpus="2">
<head id="h2_d572e3011">
Umständliche	w1_d572e3015
bey	w15_d572e10338
Eisenberg	w1_d572e10343
Posto	w3_d572e10346
gefasset,	w5_d572e10349
nebst	w7_d572e10352
dem	w9_d572e10355
aber	w11_d572e10358
hält	w1_d572e10363
derselbe	w3_d572e10366
Crossen,	w5_d572e10369
Königshofen,	w7_d572e10372
Kam	w9_d572e10375
burg,	w1_d572e10381
und	w3_d572e10384
Kösen	w5_d572e10387
nebst	w7_d572e10390
der	w9_d572e10393
dasigen	w11_d572e10396
Brücke	w13_d572e10400
wol	w1_d572e10405
besetzet.	w3_d572e10408
Uber	w5_d572e10411
dieses	w7_d572e10414
gehen	w9_d572e10417
die	w11_d572e10420
diessei	w13_d572e10424
tige	w1_d572e10429
Partheyen	w3_d572e10432
dasiger	w5_d572e10435
Orten	w7_d572e10438
über	w9_d572e10441
Naum	w11_d572e10444
burg,	w1_d572e10449
Zeitz,	w3_d572e10452
Meschwitz,	w5_d572e10455
Altenburg,	w7_d572e10458
und	w9_d572e10461
Froburg,	w1_d572e10467
eben	w3_d572e10470
wie	w5_d572e10473
jene	w7_d572e10476
vom	w9_d572e10479
Herrn	w11_d572e10482
Feld	w13_d572e10486
marschall=leutenant	w1_d572e10491
von	w3_d572e10494
Nauendorf	w5_d572e10497
über	w7_d572e10500
Pe	w9_d572e10503
nig	w1_d572e10508
und	w3_d572e10511
Chemnitz	w5_d572e10514
weit	w7_d572e10517
hinaus	w9_d572e10520
abgeschicket	w11_d572e10523
werden,	w1_d572e10528
und	w3_d572e10531
von	w5_d572e10534
Waldheim	w7_d572e10537
längs	w9_d572e10540
der	w11_d572e10543
Tschop	w13_d572e10547
pau	w1_d572e10553
bis	w3_d572e10556
Frankenberg	w5_d572e10559
und	w7_d572e10562
Wiese	w9_d572e10565
die	w11_d572e10568
in	w13_d572e10572
da	w15_d572e10575
siger	w1_d572e10580
Gegend	w3_d572e10583
streiffende	w5_d572e10586
feindliche	w7_d572e10589
Com	w9_d572e10592
mandi	w1_d572e10597
zuruck	w3_d572e10600
halten.	w5_d572e10603
Sonst	w7_d572e10606
ist	w9_d572e10609
auch,	w11_d572e10612
nach	w13_d572e10616
den	w1_d572e10621
eingeloffenen	w3_d572e10624
Berichten,	w5_d572e10627
der	w7_d572e10630
Feind	w9_d572e10633
durch	w11_d572e10636
die	w1_d572e10642
diesseitige	w3_d572e10645
Vorkehrungen	w5_d572e10648
dergestalt	w7_d572e10651
allar	w9_d572e10654
miret	w1_d572e10659
gewesen,	w3_d572e10662
daß	w5_d572e10665
in	w7_d572e10668
dem	w9_d572e10671
Lager	w11_d572e10674
die	w13_d572e10678
Baga	w15_d572e10681
ge	w1_d572e10686
aufgepacket,	w3_d572e10689
und	w5_d572e10692
unterschiedene	w7_d572e10695
Partheyen	w9_d572e10698
von	w1_d572e10703
ihm	w3_d572e10706
ausgeschicket,	w5_d572e10709
welche	w7_d572e10712
aber,	w9_d572e10715
da	w11_d572e10718
sie	w13_d572e10722
auf	w1_d572e10728
die	w3_d572e10731
Unserige	w5_d572e10734
gestossen,	w7_d572e10737
von	w9_d572e10740
diesen	w11_d572e10743
zuruck	w13_d572e10747
getrieben	w1_d572e10752
worden	w3_d572e10755
sind;	w5_d572e10758
Nebst	w7_d572e10761
dem	w9_d572e10764
äussert	w11_d572e10767
sich	w1_d572e10772
noch	w3_d572e10775
immer,	w5_d572e10778
daß	w7_d572e10781
viele	w9_d572e10784
Selbstranzio	w11_d572e10787
nirte	w1_d572e10792
und	w3_d572e10795
Deserteurs	w5_d572e10798
täglich	w7_d572e10801
vom	w9_d572e10804
Feind	w11_d572e10807
all	w13_d572e10811
hier	w1_d572e10817
ankommen.	w3_d572e10820
Da	w5_d572e10823
übrigens	w7_d572e10826
noch	w9_d572e10829
allezeit	w11_d572e10832
der	w1_d572e10837
Befehl	w3_d572e10840
ist,	w5_d572e10843
daß	w7_d572e10846
alles	w9_d572e10849
in	w11_d572e10852
marschfertigem	w13_d572e10856
Stande	w1_d572e10861
zu	w3_d572e10864
verbleiben	w5_d572e10867
habe,	w7_d572e10870
so	w9_d572e10873
scheinet	w11_d572e10876
es,	w13_d572e10880
daß	w1_d572e10885
sich	w3_d572e10888
nun	w5_d572e10891
bald	w7_d572e10894
aufklären	w9_d572e10897
werde,	w11_d572e10900
wohin	w13_d572e10904
eigentlich	w1_d572e10910
der	w3_d572e10913
noch	w5_d572e10916
unbekannte	w7_d572e10919
Marsch	w9_d572e10922
der	w11_d572e10925
Reichs=armee	w1_d572e10930
gehen	w3_d572e10933
werde.	w5_d572e10936
</p>
<head id="h2_d572e10942">
Dresden	w1_d572e10946
16.	w3_d572e10949
Julii.	w5_d572e10952
</head>
<p id="p4_d572e10955">
Unsere	w1_d572e10959
Hofnung	w3_d572e10962
ist	w5_d572e10965
vergeblich	w7_d572e10968
gewesen,	w9_d572e10971
daß	w1_d572e10976
Sachsen	w3_d572e10979
sich	w5_d572e10982
unter	w7_d572e10985
dem	w9_d572e10988
dermaligen	w11_d572e10991
Com	w13_d572e10995
mando	w1_d572e11000
eines	w3_d572e11003
erträglichen	w5_d572e11006
Schicksals	w7_d572e11009
zu	w9_d572e11012
er	w11_d572e11015
freuen	w1_d572e11021
haben,	w3_d572e11024
und	w5_d572e11027
mit	w7_d572e11030
der	w9_d572e11033
Fouragirung	w11_d572e11036
ver	w13_d572e11040
schonet	w1_d572e11045
werden	w3_d572e11048
würde,	w5_d572e11051
zumalen	w7_d572e11054
da	w9_d572e11057
der	w11_d572e11060
Un	w13_d572e11064
terthan	w1_d572e11069
ganz	w3_d572e11072
unerschwingliche	w5_d572e11075
Lieferungen	w7_d572e11078
in	w9_d572e11081
die	w1_d572e11086
feindl.	w3_d572e11089
Magazins	w5_d572e11092
bringen	w7_d572e11095
müssen.	w9_d572e11098
Man	w11_d572e11101
schmeichelt	w1_d572e11107
uns	w3_d572e11110
zwar	w5_d572e11113
noch	w7_d572e11116
damit,	w9_d572e11119
dagegen	w11_d572e11122
aber	w1_d572e11127
ist	w3_d572e11130
eine	w5_d572e11133
abermalige	w7_d572e11136
Contribution	w9_d572e11139
von	w11_d572e11142
12.	w13_d572e11146
ggl.	w1_d572e11151
auf	w3_d572e11154
jedes	w5_d572e11157
Schock	w7_d572e11160
von	w9_d572e11163
Seiten	w11_d572e11166
des	w13_d572e11170
Preußi	w15_d572e11173
schen	w1_d572e11178
Commissariats	w3_d572e11181
in	w5_d572e11184
hiesigen	w7_d572e11187
Landen	w9_d572e11190
aus	w11_d572e11193
geschrieben	w1_d572e11199
worden.	w3_d572e11202
Eine	w5_d572e11205
Summa,	w7_d572e11208
die	w9_d572e11211
man	w11_d572e11214
</p>
<p id="p10_d572e11227">
anjetzo	w1_d572e11231
in	w3_d572e11234
allen	w5_d572e11237
Brandenburgischen	w7_d572e11240
Marken	w9_d572e11243
viell	w1_d572e11248
licht	w3_d572e11251
nicht	w5_d572e11254
aufbringen	w7_d572e11257
dürfte.	w9_d572e11260
Diese,	w11_d572e11263
und	w1_d572e11268
die	w3_d572e11271
vermeinten	w5_d572e11274
Ruckstände	w7_d572e11277
von	w9_d572e11280
1757.	w11_d572e11283
her	w1_d572e11289
desto	w3_d572e11292
geschwinder	w5_d572e11295
zu	w7_d572e11298
erpressen,	w9_d572e11301
haschet	w11_d572e11304
man	w1_d572e11309
die	w3_d572e11312
Königl.	w5_d572e11315
Beamten	w7_d572e11318
und	w9_d572e11321
den	w11_d572e11324
Adel	w13_d572e11328
vom	w1_d572e11333
neuen	w3_d572e11336
ein,	w5_d572e11339
welche	w7_d572e11342
nach	w9_d572e11345
Magdeburg	w11_d572e11348
und	w1_d572e11353
Leipzig	w3_d572e11356
geschleppet	w5_d572e11359
werden,	w7_d572e11362
dahero	w9_d572e11365
ein	w1_d572e11371
jeder	w3_d572e11374
nur	w5_d572e11377
auf	w7_d572e11380
die	w9_d572e11383
Sicherheit	w11_d572e11386
seiner	w13_d572e11390
Per	w15_d572e11393
son	w1_d572e11398
bedacht	w3_d572e11401
ist.	w5_d572e11404
Jmgleichen	w7_d572e11407
werden	w9_d572e11410
vom	w11_d572e11413
Lande	w1_d572e11418
eine	w3_d572e11421
grosse	w5_d572e11424
Menge	w7_d572e11427
4=spännige	w9_d572e11430
Wä	w11_d572e11433
gen,	w1_d572e11438
wozu	w3_d572e11441
der	w5_d572e11444
Unterthan	w7_d572e11447
das	w9_d572e11450
Futter	w11_d572e11453
auf	w13_d572e11457
8.	w1_d572e11463
Täge	w3_d572e11466
mitzunehmen	w5_d572e11469
angestrenget	w7_d572e11472
wird,	w9_d572e11475
zusammen,	w1_d572e11480
und	w3_d572e11483
in	w5_d572e11486
das	w7_d572e11489
feindl.	w9_d572e11492
Haupt	w11_d572e11495
quartier	w13_d572e11499
nach	w1_d572e11504
Schlettau	w3_d572e11507
getrieben.	w5_d572e11510
Das	w7_d572e11513
letzthin	w9_d572e11516
nach	w1_d572e11521
Torgau	w3_d572e11524
von	w5_d572e11527
der	w7_d572e11530
feindlichen	w9_d572e11533
Armee	w11_d572e11536
abgegangene	w1_d572e11542
grosse	w3_d572e11545
Detaschement	w5_d572e11548
hat	w7_d572e11551
aus	w9_d572e11554
Commandirten	w1_d572e11559
von	w3_d572e11562
allen	w5_d572e11565
Regimentern	w7_d572e11568
3.	w9_d572e11571
bis	w11_d572e11574
4000.	w1_d572e11579
Mann	w3_d572e11582
stark	w5_d572e11585
bestanden,	w7_d572e11588
welche	w9_d572e11591
bey	w11_d572e11594
Strehla	w1_d572e11599
stehen	w3_d572e11602
geblieben,	w5_d572e11605
dagegen	w7_d572e11608
seynd	w9_d572e11611
unlängst	w1_d572e11617
50.	w3_d572e11620
Pontons	w5_d572e11623
von	w7_d572e11626
Torgau	w9_d572e11629
unweit	w11_d572e11632
Zehren	w1_d572e11637
angelanget,	w3_d572e11640
welches	w5_d572e11643
uns	w7_d572e11646
alles	w9_d572e11649
in	w11_d572e11652
der	w1_d572e11657
Vermutung	w3_d572e11660
bestärket,	w5_d572e11663
daß	w7_d572e11666
der	w9_d572e11669
Aufbruch	w11_d572e11672
des	w1_d572e11677
Prinz	w3_d572e11680
Heinrichs	w5_d572e11683
nahe	w7_d572e11686
seyn	w9_d572e11689
müsse.	w11_d572e11692
</p>
<head id="h2_d572e11698">
Wien	w1_d572e11702
den	w3_d572e11705
25.	w5_d572e11708
Julii	w7_d572e11711
1761.	w9_d572e11714
</head>
<p id="p4_d572e11717">
Jonnerstags	w1_d572e11721
den	w3_d572e11724
23.	w5_d572e11727
dieses	w7_d572e11730
nach	w9_d572e11733
dem	w11_d572e11736
vormittägigen	w1_d572e11741
GOttes=dienst	w3_d572e11744
in	w5_d572e11747
der	w7_d572e11750
Schlos	w1_d572e11755
kapelle	w3_d572e11758
zu	w5_d572e11761
Schönbrunn	w7_d572e11764
haben	w9_d572e11767
bee	w11_d572e11770
de	w1_d572e11776
Kaiserl.	w3_d572e11779
Königl.	w5_d572e11782
Majestäten	w7_d572e11785
sich	w9_d572e11788
mit	w11_d572e11791
de	w13_d572e11795
nen	w1_d572e11800
wichtigen	w3_d572e11803
Staats	w5_d572e11806
und	w7_d572e11809
Landesangele	w9_d572e11812
genheiten	w1_d572e11817
beschäftiget.	w3_d572e11820
Mittags	w5_d572e11823
aber	w7_d572e11826
wur	w9_d572e11829
de	w1_d572e11834
grosse	w3_d572e11837
Tafel	w5_d572e11840
gehalten,	w7_d572e11843
wozu	w9_d572e11846
zerschiedene	w11_d572e11849
hohe	w1_d572e11855
Standes=personen	w3_d572e11858
geladen	w5_d572e11861
wurden.	w7_d572e11864
</p>
<p id="p6_d572e11867">
Gestern	w1_d572e11871
nach	w3_d572e11874
dem	w5_d572e11877
vormittägigen	w7_d572e11880
GOttes	w9_d572e11883
dienst	w1_d572e11888
ist	w3_d572e11891
zu	w5_d572e11894
Schönbrunn	w7_d572e11897
der	w9_d572e11900
gewöhnliche	w11_d572e11903
grosse	w1_d572e11908
Staats=raht	w3_d572e11911
in	w5_d572e11914
Beyseyn	w7_d572e11917
beeder	w9_d572e11920
Kai	w11_d572e11923
serl.	w1_d572e11929
Königl.	w3_d572e11932
Majestäten	w5_d572e11935
gehalten	w7_d572e11938
worden;	w9_d572e11941
und	w1_d572e11946
</p>
<p id="p8_d572e11949">
Heute	w1_d572e11953
als	w3_d572e11956
am	w5_d572e11959
Fest	w7_d572e11962
des	w9_d572e11965
H.	w11_d572e11968
Jacobi	w13_d572e11972
haben	w15_d572e11975
die	w1_d572e11980
höchsten	w3_d572e11983
Herrschaften	w5_d572e11986
des	w7_d572e11989
Kaiserl	w9_d572e11992
Kö	w11_d572e11995
nigl.	w1_d572e12000
Hofes	w3_d572e12003
dem	w5_d572e12006
feyetlich	w7_d572e12009
vormiträgigen	w9_d572e12012
GOttes=dienst	w1_d572e12018
in	w3_d572e12021
der	w5_d572e12024
Schloß=kapelle	w7_d572e12027
ab	w9_d572e12030
gewantet.	w1_d572e12035
</p>
<p id="p10_d572e12038">
Die	w1_d572e12042
allerneueste	w3_d572e12045
Nachrichten,	w5_d572e12048
so	w7_d572e12051
man	w9_d572e12054
von	w11_d572e12057
der	w1_d572e12062
Rußischen	w3_d572e12065
Armee	w5_d572e12068
hat,	w7_d572e12071
sind,	w9_d572e12074
daß	w11_d572e12077
des	w13_d572e12081
Hrn.	w15_d572e12084
Feld=marschalls	w1_d572e12089
Grafen	w3_d572e12092
von	w5_d572e12095
Butturling	w7_d572e12098
Ex	w9_d572e12101
cellenz,	w1_d572e12107
nachdeme	w3_d572e12110
er	w5_d572e12113
die	w7_d572e12116
weitere	w9_d572e12119
2.	w11_d572e12122
Divisio	w13_d572e12126
nen,	w1_d572e12131
und	w3_d572e12134
das	w5_d572e12137
Corps	w7_d572e12140
des	w9_d572e12143
Herrn	w11_d572e12146
Grafen	w13_d572e12150
von	w15_d572e12153
Czernichef,	w1_d572e12158
welche	w3_d572e12161
einen	w5_d572e12164
Theil	w7_d572e12167
der	w9_d572e12170
grossen	w11_d572e12173
Armee	w1_d572e12178
ausmachen,	w3_d572e12181
an	w5_d572e12184
sich	w7_d572e12187
gezogen,	w9_d572e12190
den	w11_d572e12193
4.	w13_d572e12197
von	w1_d572e12203
groß	w3_d572e12206
Gelowicze	w5_d572e12209
aufgebrochen,	w7_d572e12212
und	w9_d572e12215
nach	w11_d572e12218
Delewe	w1_d572e12223
marschiret	w3_d572e12226
seye.	w5_d572e12229
Der	w7_d572e12232
Prinz	w9_d572e12235
Galli	w11_d572e12238
ezin	w1_d572e12243
deckte	w3_d572e12246
die	w5_d572e12249
linke	w7_d572e12252
Flanque	w9_d572e12255
der	w11_d572e12258
Armee,	w13_d572e12262
und	w15_d572e12265
der	w1_d572e12270
Marsch	w3_d572e12273
wurde	w5_d572e12276
weiters	w7_d572e12279
gegen	w9_d572e12282
den	w11_d572e12285
Schle	w13_d572e12289
sischen	w1_d572e12295
Grenzen	w3_d572e12298
ununterbrochen	w5_d572e12301
fortgesetzet,	w7_d572e12304
so,	w1_d572e12309
daß	w3_d572e12312
einige	w5_d572e12315
Particular=nachrichten	w7_d572e12318
versi	w9_d572e12321
cheren	w1_d572e12326
wollen,	w3_d572e12329
wienach	w5_d572e12332
dieses	w7_d572e12335
Heer	w9_d572e12338
schon	w11_d572e12341
den	w1_d572e12346
16.	w3_d572e12349
bey	w5_d572e12352
Trebnitz,	w7_d572e12355
3.	w9_d572e12358
Meilen	w11_d572e12361
von	w13_d572e12365
Bres	w15_d572e12368
lau	w1_d572e12374
eingetroffen,	w3_d572e12377
und	w5_d572e12380
Willens	w7_d572e12383
gewesen	w9_d572e12386
sey=,	w11_d572e12389
den	w1_d572e12394
20.	w3_d572e12397
die	w5_d572e12400
Oder	w7_d572e12403
zu	w9_d572e12406
paßiren.	w11_d572e12409
Die	w13_d572e12413
Rußi	w15_d572e12416
sche	w1_d572e12421
Flotte	w3_d572e12424
stehet	w5_d572e12427
ebenfalls	w7_d572e12430
zu	w9_d572e12433
Cronstadt	w11_d572e12436
in	w13_d572e12440
Bereitschaft,	w1_d572e12445
und	w3_d572e12448
erwartet	w5_d572e12451
die	w7_d572e12454
letzte	w9_d572e12457
Ordre,	w11_d572e12460
unter	w1_d572e12466
Seegel	w3_d572e12469
zu	w5_d572e12472
gehen.	w7_d572e12475
Diese	w9_d572e12478
wird	w11_d572e12481
sich	w13_d572e12485
mit	w15_d572e12488
dem	w1_d572e12493
Geschwader	w3_d572e12496
von	w5_d572e12499
Reval,	w7_d572e12502
welches	w9_d572e12505
eben	w11_d572e12508
falls	w1_d572e12513
in	w3_d572e12516
Bereitschaft	w5_d572e12519
stehet,	w7_d572e12522
vereinen,	w9_d572e12525
und,	w1_d572e12530
wie	w3_d572e12533
es	w5_d572e12536
verlautet,	w7_d572e12539
neuerlich	w9_d572e12542
die	w11_d572e12545
Bela	w13_d572e12549
gerung	w1_d572e12555
von	w3_d572e12558
Colberg	w5_d572e12561
mit	w7_d572e12564
einem	w9_d572e12567
Bombarde	w11_d572e12570
ment	w1_d572e12575
unterstützen	w3_d572e12578
helfen.	w5_d572e12581
</p>
<head id="h2_d572e12587">
Lista	w1_d572e12591
deren	w3_d572e12594
Verstorbenen	w5_d572e12597
zu	w7_d572e12600
Wien	w9_d572e12603
in	w1_d572e12608
und	w3_d572e12611
vor	w5_d572e12614
der	w7_d572e12617
Stadt.	w9_d572e12620
Den	w1_d572e12625
21.	w3_d572e12628
Julii.	w5_d572e12631
Jn	w1_d572e12637
der	w3_d572e12640
Stadt.	w5_d572e12643
Niemand.	w1_d572e12648
Vor	w1_d572e12653
der	w3_d572e12656
Stadt.	w5_d572e12659
</head>
<list id="l4_d572e12662">
Hr.	w1_d572e12666
Warcus	w3_d572e12669
Wilkom	w5_d572e12672
v.	w7_d572e12675
Clausolis,	w9_d572e12678
K.	w11_d572e12681
K.	w13_d572e12685
Arcier,	w15_d572e12688
beym	w1_d572e12693
gold.	w3_d572e12696
Sieb	w5_d572e12699
auf	w7_d572e12702
der	w9_d572e12705
Wied,	w11_d572e12708
alt	w13_d572e12712
72.	w15_d572e12715
J.	w17_d572e12718
Theres.	w1_d572e12723
Bockerin,	w3_d572e12726
Wittwe,	w5_d572e12729
beym	w7_d572e12732
gold.	w9_d572e12735
Stern	w11_d572e12738
in	w13_d572e12742
der	w1_d572e12748
Währinger	w3_d572e12751
gas.,	w5_d572e12754
alt	w7_d572e12757
80.	w9_d572e12760
J.	w11_d572e12763
Dem	w1_d572e12768
Joh	w3_d572e12771
Pollester,	w5_d572e12774
ohne	w7_d572e12777
Condit.,	w9_d572e12780
s.	w11_d572e12783
T.	w13_d572e12787
Cathar.	w15_d572e12790
bey	w1_d572e12795
der	w3_d572e12798
gold.	w5_d572e12801
Eul	w7_d572e12804
bey	w9_d572e12807
St.	w11_d572e12810
Ulrich,	w13_d572e12814
alt	w15_d572e12817
24.	w17_d572e12820
J.	w19_d572e12823
Dem	w1_d572e12828
oh.	w3_d572e12831
Lucatelli,	w5_d572e12834
K.	w7_d572e12837
Rußis.	w9_d572e12840
Operisten,	w11_d572e12843
s.	w13_d572e12847
Ehe	w15_d572e12850
confortin,	w1_d572e12856
Johanna,	w3_d572e12859
bey	w5_d572e12862
der	w7_d572e12865
gold.	w9_d572e12868
Schlang.	w11_d572e12871
in	w13_d572e12875
der	w1_d572e12880
Josephst.,	w3_d572e12883
alt	w5_d572e12886
30	w7_d572e12889
J.	w9_d572e12892
Dem	w1_d572e12897
Jo	w3_d572e12900
Rahtheiser,	w5_d572e12903
Kutsch.,	w7_d572e12906
s.	w9_d572e12909
K.	w11_d572e12912
Carolina,	w13_d572e12916
bey	w15_d572e12919
dem	w1_d572e12924
bl.	w3_d572e12927
Hecht.	w5_d572e12930
auf	w7_d572e12933
der	w9_d572e12936
Wied.,	w11_d572e12939
alt	w13_d572e12943
5.	w15_d572e12946
J.	w17_d572e12949
Summa	w1_d572e12955
5.	w3_d572e12958
Pers.,	w5_d572e12961
darunter	w7_d572e12964
1.	w9_d572e12967
Kind.	w11_d572e12970
</list>
<head id="h4_d572e12987">
Den	w1_d572e12991
22.	w3_d572e12994
Julii.	w5_d572e12997
Jn	w1_d572e13002
der	w3_d572e13005
Stadt.	w5_d572e13008
</head>
<list id="l6_d572e13011">
Dem	w1_d572e13015
Hoch	w3_d572e13018
edel	w5_d572e13021
geb.	w7_d572e13024
Hrn.	w9_d572e13027
Jos.	w11_d572e13030
v.	w13_d572e13034
Kozma	w15_d572e13037
de	w17_d572e13040
Kez	w19_d572e13043
di	w1_d572e13048
Szeut	w3_d572e13051
Leleck,	w5_d572e13054
jubel.	w7_d572e13057
Siebenbürgis.	w9_d572e13060
Hof=raht,	w11_d572e13063
und	w1_d572e13068
Referendar.,	w3_d572e13071
s.	w5_d572e13074
Fr.	w7_d572e13077
Gemahl.	w9_d572e13080
Helena	w11_d572e13083
Julia	w13_d572e13087
na,	w1_d572e13093
in	w3_d572e13096
der	w5_d572e13099
gros.	w7_d572e13102
Lands	w9_d572e13105
kron	w11_d572e13108
im	w13_d572e13112
Winter=gäs.,	w15_d572e13115
alt	w17_d572e13118
70.	w1_d572e13123
J.	w3_d572e13126
Dem	w1_d572e13131
Hrn.	w3_d572e13134
Aut.	w5_d572e13137
Deppisch,	w7_d572e13140
K.	w9_d572e13143
K.	w11_d572e13146
Hof=kriegs=canzel.	w13_d572e13150
s.	w1_d572e13155
S	w3_d572e13158
Adam,	w5_d572e13161
im	w7_d572e13164
Götzis.	w9_d572e13167
H	w11_d572e13170
im	w13_d572e13174
Juden	w15_d572e13177
gäs.,	w17_d572e13180
10.	w19_d572e13183
J.	w21_d572e13186
Eva	w1_d572e13192
Dorothea	w3_d572e13195
Höfnerin,	w5_d572e13198
Wittwe,	w7_d572e13201
in	w9_d572e13204
ihrem	w11_d572e13207
H.	w13_d572e13211
am	w1_d572e13216
Stock=im	w3_d572e13219
eisen	w5_d572e13222
platz,	w7_d572e13225
alt	w9_d572e13228
68.	w11_d572e13231
J.	w13_d572e13235
Dem	w1_d572e13240
Christian	w3_d572e13243
Gallusehka,	w5_d572e13246
Kutsch,	w7_d572e13249
s.	w9_d572e13252
K.	w11_d572e13255
Georg,	w13_d572e13259
bey	w1_d572e13264
der	w3_d572e13267
bl.	w5_d572e13270
Kugel	w7_d572e13273
auf	w9_d572e13276
der	w11_d572e13279
Elend	w13_d572e13283
bastey,	w15_d572e13286
alt	w17_d572e13289
4.	w19_d572e13292
J.	w21_d572e13295
Mart.	w1_d572e13301
Kühtreiber,	w3_d572e13304
Kutsch.,	w5_d572e13307
im	w7_d572e13310
Goldhannis.	w9_d572e13313
H.	w11_d572e13316
auf	w13_d572e13320
der	w1_d572e13325
Fischer=stieg,	w3_d572e13328
alt	w5_d572e13331
61.	w7_d572e13334
J.	w9_d572e13337
</list>
<head id="h2_d572e13344">
Vor	w1_d572e13348
der	w3_d572e13351
Stadt.	w5_d572e13354
</head>
<list id="l4_d572e13357">
Math.	w1_d572e13361
Gilger,	w3_d572e13364
Buchdruckerey=verwandter,	w5_d572e13367
alt	w7_d572e13370
64.	w1_d572e13375
J.,	w3_d572e13378
bey	w5_d572e13381
denen	w7_d572e13384
FF.	w9_d572e13387
Mis.	w11_d572e13390
Bernh.	w1_d572e13395
Hörl,	w3_d572e13398
Burgerl.	w5_d572e13401
Schuhmach.,	w7_d572e13404
beym	w9_d572e13407
weis	w11_d572e13410
Kreutz	w1_d572e13416
in	w3_d572e13419
dar	w5_d572e13422
Leopoldst.,	w7_d572e13425
alt	w9_d572e13428
64.	w11_d572e13431
J.	w13_d572e13435
Dem	w1_d572e13440
Joh.	w3_d572e13443
Jann,	w5_d572e13446
Strümpf=würk.,	w7_d572e13449
s.	w9_d572e13452
S	w11_d572e13455
August.,	w13_d572e13459
beyn	w1_d572e13464
2.	w3_d572e13467
Turtel=taub.	w5_d572e13470
am	w7_d572e13473
Hungelbrun,	w9_d572e13476
13.	w11_d572e13479
J.	w13_d572e13483
Adam	w1_d572e13488
Mayr,	w3_d572e13491
Stücker=ges.,	w5_d572e13494
welcher	w7_d572e13497
sich	w9_d572e13500
erfallen,	w11_d572e13503
ist	w1_d572e13509
im	w3_d572e13512
Sandwerferisch.	w5_d572e13515
H.	w7_d572e13518
im	w9_d572e13521
Heu=gäs.	w11_d572e13524
auf	w13_d572e13528
der	w15_d572e13531
Wied.	w1_d572e13536
vom	w3_d572e13539
K.	w5_d572e13542
K.	w7_d572e13545
Stadt	w9_d572e13548
gericht	w11_d572e13551
beschauet	w13_d572e13555
wor	w15_d572e13558
den,	w1_d572e13563
alt	w3_d572e13566
62	w5_d572e13569
J.	w7_d572e13572
</list>
<head id="h2_d572e13580">
Summa	w1_d572e13584
8.	w3_d572e13587
Person.,	w5_d572e13590
darunter	w7_d572e13593
2.	w9_d572e13596
Kind.	w11_d572e13599
Den	w1_d572e13604
23.	w3_d572e13607
Julii.	w5_d572e13610
Jn	w1_d572e13615
der	w3_d572e13618
Stadt.	w5_d572e13621
</head>
<list id="l4_d572e13624">
Dem	w1_d572e13628
(Tit.)	w3_d572e13631
Hrn.	w5_d572e13634
Franz	w7_d572e13637
Carl	w9_d572e13640
Gilke,	w11_d572e13643
Erz=herzogl.	w13_d572e13647
Maximil.	w1_d572e13652
Küraßier	w3_d572e13655
regim.	w5_d572e13658
Rittmeist.,	w7_d572e13661
s	w9_d572e13664
Fr	w11_d572e13667
An	w13_d572e13671
tonia,	w1_d572e13676
beym	w3_d572e13679
rot.	w5_d572e13682
Gat.	w7_d572e13685
in	w9_d572e13688
der	w11_d572e13691
Wolzeil,	w13_d572e13695
alt	w15_d572e13698
28.	w17_d572e13701
J.	w19_d572e13704
Leop.	w1_d572e13710
Stumpf,	w3_d572e13713
Burgerl.	w5_d572e13716
Flaschn.,	w7_d572e13719
im	w9_d572e13722
Winklerisch.	w11_d572e13725
H.	w1_d572e13730
in	w3_d572e13733
der	w5_d572e13736
Riemerstr.,	w7_d572e13739
alt	w9_d572e13742
56.	w11_d572e13745
J.	w13_d572e13749
Dem	w1_d572e13754
Pet	w3_d572e13757
Clavreau,	w5_d572e13760
K.	w7_d572e13763
Comico,	w9_d572e13766
s.	w11_d572e13769
K.	w13_d572e13773
Antonia,	w15_d572e13776
bey	w1_d572e13781
St.	w3_d572e13784
Nicola	w5_d572e13787
am	w7_d572e13790
Juden	w9_d572e13793
platz,	w11_d572e13796
alt	w13_d572e13800
3.	w15_d572e13803
J.	w17_d572e13806
</list>
<head id="h2_d572e13813">
Vor	w1_d572e13817
der	w3_d572e13820
Stadt.	w5_d572e13823
</head>
<list id="l4_d572e13826">
Joh.	w1_d572e13830
Staudinger,	w3_d572e13833
Taglöhn.,	w5_d572e13836
beym	w7_d572e13839
bl.	w9_d572e13842
Hut	w11_d572e13845
hinter	w13_d572e13849
Maria	w1_d572e13854
hülf,	w3_d572e13857
alt	w5_d572e13860
52.	w7_d572e13863
J.	w9_d572e13866
Dem	w1_d572e13871
Mich.	w3_d572e13874
Sumer,	w5_d572e13877
Taglöhn.,	w7_d572e13880
s.	w9_d572e13883
K.	w11_d572e13886
Jos.,	w13_d572e13890
bey	w15_d572e13893
der	w17_d572e13896
bl.	w1_d572e13902
Kugel	w3_d572e13905
zu	w5_d572e13908
Erdberg,	w7_d572e13911
alt	w9_d572e13914
4.	w11_d572e13917
J.	w13_d572e13921
Math.	w1_d572e13926
Scheibenpflug,	w3_d572e13929
in	w5_d572e13932
St.	w7_d572e13935
Joh.	w9_d572e13938
Nep.	w11_d572e13941
Spit.,	w13_d572e13945
78.	w15_d572e13948
J.	w17_d572e13951
Dem	w1_d572e13956
