<doc id="wr_1759-07-07" attrs="word" year="1759" month="07" day="07" corpus="2">
<head id="h2_d363e4291">
Anrüchte	w1_d363e4295
aber	w3_d363e21932
dieses	w5_d363e21935
Corps	w7_d363e21938
eine	w9_d363e21941
Plaine	w11_d363e21944
zu	w13_d363e21948
pas	w15_d363e21951
siren	w1_d363e21957
hatte,	w3_d363e21960
so	w5_d363e21963
befahle	w7_d363e21966
der	w9_d363e21969
Hr.	w11_d363e21972
von	w13_d363e21976
Turpin	w15_d363e21979
seinem	w1_d363e21984
Regiment,	w3_d363e21987
auf	w5_d363e21990
allen	w7_d363e21993
Seiten	w9_d363e21996
Feuer	w11_d363e21999
auf	w1_d363e22004
sie	w3_d363e22007
zu	w5_d363e22010
geben,	w7_d363e22013
und	w9_d363e22016
sich	w11_d363e22019
also	w13_d363e22023
diesen	w15_d363e22026
günsti	w17_d363e22029
gen	w1_d363e22034
Augenblick	w3_d363e22037
zu	w5_d363e22040
Nutzen	w7_d363e22043
zu	w9_d363e22046
machen.	w11_d363e22049
Die	w13_d363e22053
300.	w1_d363e22059
Mann	w3_d363e22062
zu	w5_d363e22065
Pferd	w7_d363e22068
wurden	w9_d363e22071
über	w11_d363e22074
den	w13_d363e22078
Hauffen	w1_d363e22083
geworfen,	w3_d363e22086
und	w5_d363e22089
niedergesäbelt.	w7_d363e22092
Die	w9_d363e22095
jenige,	w1_d363e22100
welche	w3_d363e22103
entgangen	w5_d363e22106
seynd,	w7_d363e22109
haben	w9_d363e22112
ihr	w11_d363e22115
Heil	w1_d363e22120
der	w3_d363e22123
Flucht	w5_d363e22126
zu	w7_d363e22129
danken;	w9_d363e22132
sie	w11_d363e22135
warfen	w13_d363e22139
sich	w15_d363e22142
in	w1_d363e22148
gröster	w3_d363e22151
Geschwindigkeit	w5_d363e22154
in	w7_d363e22157
den	w9_d363e22160
Wald,	w11_d363e22163
wo	w1_d363e22168
ihre	w3_d363e22171
Trupen	w5_d363e22174
waren.	w7_d363e22177
Eben	w9_d363e22180
in	w11_d363e22183
dem	w13_d363e22187
Augenblick,	w1_d363e22192
da	w3_d363e22195
der	w5_d363e22198
übrige	w7_d363e22201
Theil	w9_d363e22204
der	w11_d363e22207
Jnkan	w13_d363e22211
terie	w1_d363e22216
den	w3_d363e22219
Streich	w5_d363e22222
aushalten	w7_d363e22225
sollte,	w9_d363e22228
seynd	w11_d363e22231
die	w13_d363e22235
4000.	w1_d363e22241
Mann,	w3_d363e22244
welche	w5_d363e22247
in	w7_d363e22250
dem	w9_d363e22253
Wald	w11_d363e22256
waren,	w13_d363e22260
plötzlich	w1_d363e22265
ausgerucket,	w3_d363e22268
und	w5_d363e22271
durch	w7_d363e22274
diese	w9_d363e22277
Be	w11_d363e22280
wegung	w1_d363e22285
haben	w3_d363e22288
sie	w5_d363e22291
die	w7_d363e22294
gänzliche	w9_d363e22297
Niederlage	w11_d363e22300
ihrer	w1_d363e22305
Jäger	w3_d363e22308
verhindert.	w5_d363e22311
Während	w7_d363e22314
dieser	w9_d363e22317
Action	w1_d363e22323
haben	w3_d363e22326
die	w5_d363e22329
Dragoner	w7_d363e22332
von	w9_d363e22335
denen	w11_d363e22338
Frey	w13_d363e22342
willigen	w1_d363e22347
von	w3_d363e22350
Dauphine	w5_d363e22353
den	w7_d363e22356
Angrif	w9_d363e22359
des	w11_d363e22362
Re	w13_d363e22366
giments	w1_d363e22371
Turpin	w3_d363e22374
unterstützet,	w5_d363e22377
und	w7_d363e22380
sodann	w9_d363e22383
auch	w11_d363e22386
den	w1_d363e22391
Zurückzug	w3_d363e22394
desselben	w5_d363e22397
begünstiget.	w7_d363e22400
Das	w9_d363e22403
Regiment	w1_d363e22409
Turpin	w3_d363e22412
hat	w5_d363e22415
nicht	w7_d363e22418
allein	w9_d363e22421
die	w11_d363e22424
Gefan	w13_d363e22428
gene	w1_d363e22433
frey	w3_d363e22436
gemacht,	w5_d363e22439
welche	w7_d363e22442
die	w9_d363e22445
Feinde	w11_d363e22448
bey	w13_d363e22452
dem	w15_d363e22455
Angrif	w1_d363e22460
zu	w3_d363e22463
Fürstenberg	w5_d363e22466
bekommen;	w7_d363e22469
sondern	w9_d363e22472
auch	w1_d363e22477
viele	w3_d363e22480
Gefangene,	w5_d363e22483
sowol	w7_d363e22486
zu	w9_d363e22489
Fuß,	w11_d363e22492
als	w13_d363e22496
Pferd,	w15_d363e22499
worunter	w1_d363e22505
2.	w3_d363e22508
Officiers	w5_d363e22511
seynd,	w7_d363e22514
von	w9_d363e22517
ihne	w11_d363e22520
erhalte.	w13_d363e22524
</p>
<list id="l18_d363e22529">
</list>
<p id="p20_d363e22534">
Von	w1_d363e22538
der	w3_d363e22541
N.	w5_d363e22544
Oe.	w7_d363e22547
Regierung	w9_d363e22550
wegen,	w11_d363e22553
wird	w13_d363e22557
mit	w15_d363e22560
gegenwärtig	w1_d363e22565
offenem	w3_d363e22568
Edict	w5_d363e22571
jedermänniglich	w7_d363e22574
sowohl	w9_d363e22577
an=als	w1_d363e22582
abwesenden,	w3_d363e22585
deme	w5_d363e22588
daran	w7_d363e22591
gelegen,	w9_d363e22594
kund	w11_d363e22597
und	w1_d363e22603
zu	w3_d363e22606
wissen	w5_d363e22609
gemachet.	w7_d363e22612
Es	w9_d363e22615
habe	w11_d363e22618
Regierung	w13_d363e22622
eine	w1_d363e22627
Nohtdurft	w3_d363e22630
zu	w5_d363e22633
seyn	w7_d363e22636
befunden,	w9_d363e22639
über	w11_d363e22642
der	w13_d363e22646
The	w15_d363e22649
resiä	w1_d363e22654
Zechmannin	w3_d363e22657
ihr	w5_d363e22660
gesamtes	w7_d363e22663
Vermögen	w9_d363e22666
einen	w11_d363e22669
Concurs	w1_d363e22674
anzuordnen,	w3_d363e22677
und	w5_d363e22680
derselben	w7_d363e22683
sammentliche	w9_d363e22686
sewohl	w1_d363e22692
in	w3_d363e22695
als	w5_d363e22698
ausser	w7_d363e22701
Land	w9_d363e22704
befindliche	w11_d363e22707
Glaubigero	w13_d363e22711
ier	w1_d363e22716
Anmeld	w3_d363e22719
und	w5_d363e22722
Liquidirung	w7_d363e22725
ihrer	w9_d363e22728
an	w11_d363e22731
erstgemel	w13_d363e22735
Therisia	w1_d363e22740
Zechmannin	w3_d363e22743
zu	w5_d363e22746
stellen	w7_d363e22749
habenden	w9_d363e22752
Sprüch	w11_d363e22755
und	w1_d363e22760
Forderungen	w3_d363e22763
einzuberuffen:	w5_d363e22766
zu	w7_d363e22769
welchem	w9_d363e22772
Ende	w11_d363e22775
denenselben	w1_d363e22781
der	w3_d363e22784
18.	w5_d363e22787
dieses	w7_d363e22790
Monats	w9_d363e22793
Julii,	w11_d363e22796
Nach	w13_d363e22800
mittag	w1_d363e22805
um	w3_d363e22808
3.	w5_d363e22811
Uhr,	w7_d363e22814
zur	w9_d363e22817
gewöhnlichen	w11_d363e22820
Tagsatzung	w13_d363e22824
fer	w1_d363e22829
die	w3_d363e22832
erst,	w5_d363e22835
andert,	w7_d363e22838
und	w9_d363e22841
dritte,	w11_d363e22844
auch	w13_d363e22848
allendliche	w15_d363e22851
Frist,	w1_d363e22856
sub	w3_d363e22859
clausula	w5_d363e22862
præclusi	w7_d363e22865
anberaumet	w9_d363e22868
worden:	w11_d363e22871
Solchemnach	w1_d363e22877
werden	w3_d363e22880
all	w5_d363e22883
und	w7_d363e22886
jede,	w9_d363e22889
welche	w11_d363e22892
an	w13_d363e22896
ge	w15_d363e22899
dacht	w1_d363e22904
Theresiä	w3_d363e22907
Zechmannin	w5_d363e22910
ex	w7_d363e22913
quacunque	w9_d363e22916
causa	w11_d363e22919
rel	w1_d363e22924
Titulo	w3_d363e22927
Sprüch	w5_d363e22930
und	w7_d363e22933
Anforderungen	w9_d363e22936
haben,	w11_d363e22939
oder	w1_d363e22944
zu	w3_d363e22947
haben	w5_d363e22950
vermeinen,	w7_d363e22953
an	w9_d363e22956
obbestimmten	w11_d363e22959
Tag	w13_d363e22963
und	w1_d363e22969
Stund	w3_d363e22972
vor	w5_d363e22975
Regierung	w7_d363e22978
in	w9_d363e22981
der	w11_d363e22984
daselbst	w13_d363e22988
zu	w15_d363e22991
sol	w17_d363e22994
chem	w1_d363e22999
Ende	w3_d363e23002
offenhaltenden	w5_d363e23005
Commißions=stuben,	w7_d363e23008
entweder	w1_d363e23013
selbst	w3_d363e23016
persönlich,	w5_d363e23019
oder	w7_d363e23022
durch	w9_d363e23025
hierzu	w11_d363e23028
ge	w13_d363e23032
lingsam	w1_d363e23037
gevollmächtigte	w3_d363e23040
Gewalttragere	w5_d363e23043
also	w7_d363e23046
gewiß	w9_d363e23049
zu	w1_d363e23055
erscheinen,	w3_d363e23058
und	w5_d363e23061
ihre	w7_d363e23064
an	w9_d363e23067
solcher	w11_d363e23070
Cridæ	w13_d363e23074
Massa	w15_d363e23077
habende	w1_d363e23082
Anforderungen	w3_d363e23085
anzumelden	w5_d363e23088
und	w7_d363e23091
zu	w9_d363e23094
Her	w11_d363e23097
stellung	w1_d363e23102
des	w3_d363e23105
erforderlich	w5_d363e23108
rechtlichen	w7_d363e23111
Beweißtum	w9_d363e23114
ihre	w1_d363e23119
Schuld	w3_d363e23122
und	w5_d363e23125
Satz=briefe,	w7_d363e23128
oder	w9_d363e23131
ansonst	w11_d363e23134
habende	w13_d363e23138
Liquidations=urkunden	w1_d363e23144
und	w3_d363e23147
rechtlichen	w5_d363e23150
Behelfe	w7_d363e23153
in	w1_d363e23158
beglaubten	w3_d363e23161
Abschriften	w5_d363e23164
einzulegen	w7_d363e23167
haben,	w9_d363e23170
wie	w11_d363e23173
im	w1_d363e23178
widrigen	w3_d363e23181
der	w5_d363e23184
Ausbleibende	w7_d363e23187
von	w9_d363e23190
gegenwärtiger	w11_d363e23193
Cncure-massa	w1_d363e23198
gänzlichen	w3_d363e23201
ausgeschlossen	w5_d363e23204
seyn,	w7_d363e23207
und	w1_d363e23213
ihme	w3_d363e23216
diesfalls	w5_d363e23219
das	w7_d363e23222
ewige	w9_d363e23225
Stillschweigen	w11_d363e23228
auf	w13_d363e23232
erlegt,	w1_d363e23237
der	w3_d363e23240
nicht	w5_d363e23243
Liquidirende	w7_d363e23246
aber	w9_d363e23249
in	w11_d363e23252
der	w13_d363e23256
künf	w15_d363e23259
tigen	w1_d363e23264
Classification	w3_d363e23267
mit	w5_d363e23270
seiner	w7_d363e23273
unerwiesenen	w9_d363e23276
An	w11_d363e23279
forderung	w1_d363e23284
abgewiesen	w3_d363e23287
werden	w5_d363e23290
solle.	w7_d363e23293
Wornach	w9_d363e23296
sich	w11_d363e23299
ein	w1_d363e23305
jeder	w3_d363e23308
zu	w5_d363e23311
richten,	w7_d363e23314
und	w9_d363e23317
vor	w11_d363e23320
Schaden	w13_d363e23324
zu	w15_d363e23327
hutten	w17_d363e23330
wissen	w1_d363e23335
wird.	w3_d363e23338
So	w5_d363e23341
beschehen	w7_d363e23344
Wien	w9_d363e23347
den	w11_d363e23350
29.	w13_d363e23354
May	w15_d363e23357
1759.	w1_d363e23362
</p>
<p id="p22_d363e23365">
Künftigen	w1_d363e23369
Mittwoch	w3_d363e23372
als	w5_d363e23375
den	w7_d363e23378
11.	w9_d363e23381
dieses	w11_d363e23384
Mo	w13_d363e23388
nats	w1_d363e23393
Julii	w3_d363e23396
werden	w5_d363e23399
in	w7_d363e23402
den	w9_d363e23405
Seeferinischen,	w11_d363e23408
oder	w13_d363e23412
gelben	w1_d363e23417
Adler=Haus	w3_d363e23420
zu	w5_d363e23423
Maria	w7_d363e23426
Hilf,	w9_d363e23429
verschiedene	w11_d363e23432
Bilder,	w1_d363e23438
und	w3_d363e23441
Mahlercyen,	w5_d363e23444
wie	w7_d363e23447
auch	w9_d363e23450
einige	w11_d363e23453
Ef	w13_d363e23457
secten	w1_d363e23462
plus	w3_d363e23465
offerenti,	w5_d363e23468
fruhe	w7_d363e23471
von	w9_d363e23474
8.	w11_d363e23477
bis	w13_d363e23481
12.,	w15_d363e23484
dann	w17_d363e23487
Nachmittag	w1_d363e23492
von	w3_d363e23495
2.	w5_d363e23498
bis	w7_d363e23501
6.	w9_d363e23504
Uhr	w11_d363e23507
verkauffet	w13_d363e23511
werden.	w15_d363e23514
</p>
<p id="p24_d363e23518">
Jch	w1_d363e23522
Johann	w3_d363e23525
Wilhelm	w5_d363e23528
des	w7_d363e23531
H.	w9_d363e23534
Röm.	w11_d363e23537
Reichs	w13_d363e23541
Fürst	w15_d363e23544
Trautson	w1_d363e23549
Graf	w3_d363e23552
zu	w5_d363e23555
Falkenstein,	w7_d363e23558
Ritter	w9_d363e23561
des	w11_d363e23564
goldenen	w13_d363e23568
Vliesses,	w1_d363e23573
der	w3_d363e23576
Rom.	w5_d363e23579
Kaiserl.	w7_d363e23582
Königl.	w9_d363e23585
Majest.	w11_d363e23588
würk	w13_d363e23592
lich	w1_d363e23598
geheimer	w3_d363e23601
Raht,	w5_d363e23604
Obrist=hof=meister,	w7_d363e23607
und	w9_d363e23610
Land	w11_d363e23613
marschall	w1_d363e23618
in	w3_d363e23621
Oesterreich	w5_d363e23624
unter	w7_d363e23627
der	w9_d363e23630
Enns,	w11_d363e23633
entbieten	w13_d363e23637
N.	w1_d363e23642
allen	w3_d363e23645
und	w5_d363e23648
jeden,	w7_d363e23651
was	w9_d363e23654
Standes	w11_d363e23657
und	w13_d363e23661
Würden	w15_d363e23664
die	w17_d363e23667
seynd,	w1_d363e23672
der	w3_d363e23675
Gebühr	w5_d363e23678
nach	w7_d363e23681
meinen	w9_d363e23684
respect.	w11_d363e23687
Dienst	w13_d363e23691
in	w15_d363e23694
guten	w1_d363e23700
Willen	w3_d363e23703
zuvor,	w5_d363e23706
und	w7_d363e23709
füge	w9_d363e23712
hiemit	w11_d363e23715
zu	w13_d363e23719
verneh	w15_d363e23722
men;	w1_d363e23727
Es	w3_d363e23730
habe	w5_d363e23733
bey	w7_d363e23736
dem	w9_d363e23739
mir	w11_d363e23742
allergnädigst	w13_d363e23746
anver	w15_d363e23749
trauten	w1_d363e23754
N.	w3_d363e23757
Oe.	w5_d363e23760
Land=marschallischen	w7_d363e23763
Gericht	w9_d363e23766
die	w11_d363e23769
Gräfl.	w1_d363e23774
Franz	w3_d363e23777
Hardeggische	w5_d363e23780
Vormandschaft	w7_d363e23783
schrift	w9_d363e23786
lich	w1_d363e23792
vorgestellet,	w3_d363e23795
daß	w5_d363e23798
Jhre	w7_d363e23801
Kaiserl.	w9_d363e23804
Königl.	w11_d363e23807
Apostol.	w13_d363e23811
</p>
<p id="p26_d363e23814">
Majest.	w1_d363e23818
unterm	w3_d363e23821
21.	w5_d363e23824
Apri	w7_d363e23827
dies	w9_d363e23830
Jahrs	w11_d363e23833
aller	w13_d363e23837
gnädigst	w1_d363e23842
resolviret,	w3_d363e23845
und	w5_d363e23848
bewilliget	w7_d363e23851
hätten;	w9_d363e23854
daß	w11_d363e23857
die	w1_d363e23862
von	w3_d363e23865
derselben	w5_d363e23868
tutorio	w7_d363e23871
nomine	w9_d363e23874
vorgeschlagene	w11_d363e23877
Corpora,	w1_d363e23883
benanntlich:	w3_d363e23886
das	w5_d363e23889
Dorf	w7_d363e23892
Buch,	w9_d363e23895
und	w11_d363e23898
Kleedorf	w1_d363e23903
mit	w3_d363e23906
allen	w5_d363e23909
Recht	w7_d363e23912
und	w9_d363e23915
Gerechtigkeiten,	w11_d363e23918
wie	w1_d363e23923
es	w3_d363e23926
die	w5_d363e23929
Herrschaft	w7_d363e23932
genutzet,	w9_d363e23935
und	w11_d363e23938
genossen,	w13_d363e23942
auf	w1_d363e23947
derselben	w3_d363e23950
Freyheits=gemarche	w5_d363e23953
umfanget,	w7_d363e23956
nicht	w9_d363e23959
minder	w1_d363e23965
die	w3_d363e23968
RöhrNeu	w5_d363e23971
und	w7_d363e23974
Goldgeber=mühs	w9_d363e23977
geschätzet,	w1_d363e23982
und	w3_d363e23985
käuflichen	w5_d363e23988
hindann	w7_d363e23991
gelassen	w9_d363e23994
wer	w11_d363e23997
den	w1_d363e24002
solle.	w3_d363e24005
Diesemnach	w5_d363e24008
dienstlich	w7_d363e24011
gebetten,	w9_d363e24014
ich	w11_d363e24017
geruhete	w1_d363e24022
wegen	w3_d363e24025
Schätzung	w5_d363e24028
ob=besagter	w7_d363e24031
Corporum	w9_d363e24034
das	w1_d363e24040
Behörige	w3_d363e24043
zu	w5_d363e24046
verordnen.	w7_d363e24049
Wann	w9_d363e24052
nun	w11_d363e24055
hier	w13_d363e24059
innfalls	w1_d363e24064
verwilliget,	w3_d363e24067
und	w5_d363e24070
zu	w7_d363e24073
Licitirung	w9_d363e24076
obbesagter	w11_d363e24079
Corporum	w1_d363e24084
der	w3_d363e24087
13.	w5_d363e24090
dieses	w7_d363e24093
Monats	w9_d363e24096
Julii	w11_d363e24099
bestimmet	w13_d363e24103
Als	w1_d363e24108
hat	w3_d363e24111
man	w5_d363e24114
ein	w7_d363e24117
solches	w9_d363e24120
hiemit	w11_d363e24123
zu	w13_d363e24127
worden	w1_d363e24133
ist.	w3_d363e24136
dem	w1_d363e24141
Ende	w3_d363e24144
jedermänniglich	w5_d363e24147
kund	w7_d363e24150
machen	w9_d363e24153
wollen,	w11_d363e24156
damit	w1_d363e24161
der,	w3_d363e24164
oder	w5_d363e24167
diejenige,	w7_d363e24170
so	w9_d363e24173
obbenannte	w11_d363e24176
Gü	w13_d363e24180
ter,	w1_d363e24185
und	w3_d363e24188
Gülten	w5_d363e24191
käuflichen	w7_d363e24194
an	w9_d363e24197
sich	w11_d363e24200
zu	w13_d363e24204
bringen	w15_d363e24207
willens	w1_d363e24213
seynd,	w3_d363e24216
an	w5_d363e24219
obbestimmten	w7_d363e24222
Tag	w9_d363e24225
fruh	w11_d363e24228
um	w13_d363e24232
8.	w1_d363e24237
Uhr	w3_d363e24240
ad	w5_d363e24243
licitandum,	w7_d363e24246
tractandum	w9_d363e24249
&	w11_d363e24252
conclu-	w13_d363e24256
dendum	w1_d363e24261
vor	w3_d363e24264
Gericht	w5_d363e24267
zu	w7_d363e24270
erscheinen	w9_d363e24273
wissen	w11_d363e24276
werden.	w13_d363e24280
Actum	w1_d363e24285
Wien	w3_d363e24288
den	w5_d363e24291
18.	w7_d363e24294
Junii	w9_d363e24297
1759.	w11_d363e24300
</p>
<p id="p28_d363e24303">
Wir	w1_d363e24307
N.	w3_d363e24310
Rector,	w5_d363e24313
&	w7_d363e24316
Consistorium	w9_d363e24319
der	w11_d363e24322
uralt	w13_d363e24326
und	w1_d363e24331
weit=berühmten	w3_d363e24334
Universität	w5_d363e24337
alhier,	w7_d363e24340
geben	w9_d363e24343
hiemit	w1_d363e24348
jedermänniglich	w3_d363e24351
zu	w5_d363e24354
vernehmen,	w7_d363e24357
welcher	w9_d363e24360
gestalten	w1_d363e24366
wir	w3_d363e24369
über	w5_d363e24372
jüngsthin	w7_d363e24375
ab	w9_d363e24378
intestato	w11_d363e24381
erfolg	w13_d363e24385
tes	w1_d363e24390
Absterben	w3_d363e24393
Herrn	w5_d363e24396
Ferdinand	w7_d363e24399
Aichinger	w9_d363e24402
von	w11_d363e24405
Buchenau	w1_d363e24410
J.	w3_d363e24413
U.	w5_d363e24416
Doctoris,	w7_d363e24419
auch	w9_d363e24422
Hof	w11_d363e24425
und	w13_d363e24429
Ge	w15_d363e24432
richts=advocatens	w1_d363e24437
seel.	w3_d363e24440
verpflegender	w5_d363e24443
Verlassen	w7_d363e24446
schafts=abhandlung	w1_d363e24452
zu	w3_d363e24455
Richtigstellung	w5_d363e24458
des	w7_d363e24461
eigent	w9_d363e24464
lichen	w1_d363e24469
Verlassenschafts=standes,	w3_d363e24472
sohin	w5_d363e24475
zu	w7_d363e24478
vor	w9_d363e24481
läuffiger	w1_d363e24486
Ausfindigmachung	w3_d363e24489
deren	w5_d363e24492
vorhandenen	w7_d363e24495
Passivorum	w1_d363e24500
alle	w3_d363e24503
und	w5_d363e24506
jede,	w7_d363e24509
welche	w9_d363e24512
an	w11_d363e24515
bemeldete	w13_d363e24519
Verlassenschaft	w1_d363e24525
titulo	w3_d363e24528
crediti,	w5_d363e24531
aut	w7_d363e24534
alio	w9_d363e24537
quocun-	w11_d363e24540
que	w1_d363e24545
etwas	w3_d363e24548
zu	w5_d363e24551
prätendiren	w7_d363e24554
vermeinen,	w9_d363e24557
mittels	w11_d363e24560
Affigirung	w1_d363e24565
deren	w3_d363e24568
in	w5_d363e24571
solchen	w7_d363e24574
Fällen	w9_d363e24577
gewöhnlichen	w11_d363e24580
Convocations=edicten	w1_d363e24585
gerichtlich	w3_d363e24588
fürzuladen,	w5_d363e24591
un	w7_d363e24594
ter	w1_d363e24600
einstens	w3_d363e24603
auch	w5_d363e24606
auf	w7_d363e24609
Anlangen	w9_d363e24612
des	w11_d363e24615
aufgestellten	w13_d363e24619
Herrn	w1_d363e24624
Curatoris	w3_d363e24627
ad	w5_d363e24630
lites	w7_d363e24633
die	w9_d363e24636
Ausfertigung	w11_d363e24639
sotha	w13_d363e24643
ner	w1_d363e24648
Convocations=edicten,	w3_d363e24651
und	w5_d363e24654
zwar	w7_d363e24657
sub	w9_d363e24660
clau	w11_d363e24663
sula	w1_d363e24668
præclusi,	w3_d363e24671
&	w5_d363e24674
perperui	w7_d363e24677
silentii	w9_d363e24680
verordnet.	w11_d363e24683
Solchemnach	w1_d363e24689
wirdet	w3_d363e24692
anmit	w5_d363e24695
allen	w7_d363e24698
und	w9_d363e24701
jeden,	w11_d363e24704
die	w13_d363e24708
an	w1_d363e24713
des	w3_d363e24716
vorbemeldeten	w5_d363e24719
Herrn	w7_d363e24722
Doctor	w9_d363e24725
Aichinger,	w11_d363e24728
ruckgebliebene	w1_d363e24733
Verlassenschaft	w3_d363e24736
quocunque	w5_d363e24739
demum	w7_d363e24742
Titulo	w1_d363e24747
einige	w3_d363e24750
Sprüch,	w5_d363e24753
und	w7_d363e24756
Anforderungen	w9_d363e24759
zu	w11_d363e24762
stel	w13_d363e24766
len	w1_d363e24772
vermeinen,	w3_d363e24775
erinneret,	w5_d363e24778
daß	w7_d363e24781
selbe	w9_d363e24784
pro	w11_d363e24787
primo,	w13_d363e24791
secundo,	w1_d363e24796
&	w3_d363e24799
tertio	w5_d363e24802
Termino	w7_d363e24805
den	w9_d363e24808
114.	w11_d363e24811
dies	w13_d363e24815
lauf-	w15_d363e24818
fenden	w1_d363e24823
Monats	w3_d363e24826
Julii	w5_d363e24829
Nachmittag	w7_d363e24832
um	w9_d363e24835
2.	w11_d363e24838
Uhr	w13_d363e24842
sub	w1_d363e24847
clausula	w3_d363e24850
præclusi,	w5_d363e24853
&	w7_d363e24856
perpetui	w9_d363e24859
silentii	w11_d363e24862
in	w13_d363e24866
der	w15_d363e24869
Universitäts=canzley	w1_d363e24875
zu	w3_d363e24878
erscheinen,	w5_d363e24881
allda	w7_d363e24884
ihre	w9_d363e24887
For	w11_d363e24890
derungen	w1_d363e24895
anmelden,	w3_d363e24898
auch	w5_d363e24901
solche	w7_d363e24904
untereinstens	w9_d363e24907
alsogewiß	w1_d363e24912
liquidiren,	w3_d363e24915
wie	w5_d363e24918
im	w7_d363e24921
widrigen,	w9_d363e24924
und	w11_d363e24927
nach	w13_d363e24931
Verfliessung	w1_d363e24936
dieses	w3_d363e24939
Termins,	w5_d363e24942
dieselbe	w7_d363e24945
nicht	w9_d363e24948
mehr	w1_d363e24954
gehöret	w3_d363e24957
werden,	w5_d363e24960
sondern	w7_d363e24963
ihnen	w9_d363e24966
das	w11_d363e24969
ewige	w13_d363e24973
Stillschweigen	w1_d363e24978
auferleget	w3_d363e24981
seyn,	w5_d363e24984
sohin	w7_d363e24987
bemeldte	w9_d363e24990
Verlassenschaft	w1_d363e24995
denen	w3_d363e24998
ab	w5_d363e25001
intestato	w7_d363e25004
kommenden	w9_d363e25007
Erben	w1_d363e25012
eingeantwortet	w3_d363e25015
werden	w5_d363e25018
solle.	w7_d363e25021
</p>
<p id="p34_d363e25034">
Wir	w1_d363e25038
Endes=gefertigte	w3_d363e25041
von	w5_d363e25044
dem	w7_d363e25047
Löbl.	w9_d363e25050
Land	w11_d363e25053
marschallischen	w1_d363e25058
Gerichts	w3_d363e25061
verordnete	w5_d363e25064
Commissa	w7_d363e25067
rien	w1_d363e25072
geben	w3_d363e25075
hiemit	w5_d363e25078
allen	w7_d363e25081
und	w9_d363e25084
jeden,	w11_d363e25087
welche	w13_d363e25091
an	w15_d363e25094
weil.	w1_d363e25100
den	w3_d363e25103
Hoch	w5_d363e25106
und	w7_d363e25109
Wol=gebornen	w9_d363e25112
Herrn	w11_d363e25115
Franz	w13_d363e25119
Ludwig	w1_d363e25124
Grafen	w3_d363e25127
von	w5_d363e25130
Sallaburg,	w7_d363e25133
Jhrer	w9_d363e25136
Kaiserl.	w11_d363e25139
Königl.	w1_d363e25144
Apostol.	w3_d363e25147
Majest.	w5_d363e25150
gewesten	w7_d363e25153
würkl.	w9_d363e25156
gehei	w11_d363e25159
men	w1_d363e25164
Raht,	w3_d363e25167
und	w5_d363e25170
General=feld=marschallen	w7_d363e25173
seel.	w9_d363e25176
Verlassenschaft	w1_d363e25182
Sprüch	w3_d363e25185
und	w5_d363e25188
Anforderungen	w7_d363e25191
an	w9_d363e25194
gemeldet,	w1_d363e25199
und	w3_d363e25202
ihre	w5_d363e25205
Cridä=exceptionen	w7_d363e25208
empfan	w9_d363e25211
gen	w1_d363e25216
haben,	w3_d363e25219
zu	w5_d363e25222
vernehmen:	w7_d363e25225
wie	w9_d363e25228
daß	w11_d363e25231
wir	w13_d363e25235
zufolge	w15_d363e25238
der	w1_d363e25243
an	w3_d363e25246
uns	w5_d363e25249
ergangenen	w7_d363e25252
gerichtlichen	w9_d363e25255
Auflag	w11_d363e25258
zu	w13_d363e25262
Einlegung	w1_d363e25268
deren	w3_d363e25271
Cridä=schlüssen	w5_d363e25274
eine	w7_d363e25277
nochmalige	w9_d363e25280
superperemptorie	w1_d363e25285
clausulirte	w3_d363e25288
Tagsatzung	w5_d363e25291
auf	w7_d363e25294
den	w9_d363e25297
12.	w1_d363e25302
dies	w3_d363e25305
Monats	w5_d363e25308
Julii	w7_d363e25311
Nachmittag	w9_d363e25314
um	w11_d363e25317
3.	w13_d363e25321
Uhr	w15_d363e25324
in	w1_d363e25329
mein	w3_d363e25332
Frey=herrn	w5_d363e25335
von	w7_d363e25338
Pechmann	w9_d363e25341
im	w11_d363e25344
langen	w13_d363e25348
Haus	w1_d363e25354
im	w3_d363e25357
ersten	w5_d363e25360
Stock	w7_d363e25363
habenden	w9_d363e25366
Wohn=zimmern	w11_d363e25369
zu	w1_d363e25374
erscheinen	w3_d363e25377
pro	w5_d363e25380
ultimo	w7_d363e25383
termino	w9_d363e25386
bestimmet	w11_d363e25389
ha	w13_d363e25393
ben.	w1_d363e25398
Werden	w3_d363e25401
demnach	w5_d363e25404
alle	w7_d363e25407
und	w9_d363e25410
jede	w11_d363e25413
an	w13_d363e25417
gedach	w15_d363e25420
tem	w1_d363e25425
Tag,	w3_d363e25428
Stund	w5_d363e25431
und	w7_d363e25434
Ort	w9_d363e25437
zu	w11_d363e25440
erscheinen,	w13_d363e25444
und	w15_d363e25447
ihre	w1_d363e25453
Cridä=schlüß	w3_d363e25456
also	w5_d363e25459
gewiß	w7_d363e25462
einzulegen	w9_d363e25465
haben,	w11_d363e25468
als	w1_d363e25473
im	w3_d363e25476
widrigen	w5_d363e25479
die	w7_d363e25482
Ausbleibende	w9_d363e25485
nicht	w11_d363e25488
mehr	w13_d363e25492
gehöret,	w1_d363e25497
sondern	w3_d363e25500
die	w5_d363e25503
Acta	w7_d363e25506
ex	w9_d363e25509
officio	w11_d363e25512
collocata-	w13_d363e25516
hierüber	w1_d363e25521
