<doc id="wr_1760-05-24" attrs="word" year="1760" month="05" day="24" corpus="2">
<head id="h2_d452e2550">
Weichsel=strom	w1_d452e2554
Herzogs	w3_d452e9820
Ferdinands	w5_d452e9823
von	w7_d452e9826
Braunschweig	w9_d452e9829
zu	w1_d452e9834
Neuhaus	w3_d452e9837
hat	w5_d452e9840
man,	w7_d452e9843
daß	w9_d452e9846
dasselbe	w11_d452e9849
von	w13_d452e9853
da	w15_d452e9856
in	w1_d452e9862
wenig	w3_d452e9865
Tagen	w5_d452e9868
nach	w7_d452e9871
Lippstadt	w9_d452e9874
werde	w11_d452e9877
ver	w13_d452e9881
leget	w1_d452e9886
werden.	w3_d452e9889
Die	w5_d452e9892
dasige	w7_d452e9895
Besatzung	w9_d452e9898
unter	w11_d452e9901
dem	w1_d452e9906
Commando	w3_d452e9909
des	w5_d452e9912
Herrn	w7_d452e9915
Generals	w9_d452e9918
von	w11_d452e9921
Hardenberg	w1_d452e9926
wird,	w3_d452e9929
wie	w5_d452e9932
bereits	w7_d452e9935
gemeldet,	w9_d452e9938
zu	w11_d452e9941
Armee	w1_d452e9947
stossen.	w3_d452e9950
Die	w5_d452e9953
Sage	w7_d452e9956
der	w1_d452e9961
Alliirten	w3_d452e9964
bestimmet	w1_d452e9969
diesen	w3_d452e9972
General	w5_d452e9975
mit	w7_d452e9978
einem	w9_d452e9981
Corps	w11_d452e9984
nach	w1_d452e9989
Sachsen,	w3_d452e9992
und	w5_d452e9995
läst	w7_d452e9998
es	w9_d452e10001
bereits	w11_d452e10004
mar	w13_d452e10008
schiren.	w1_d452e10014
Man	w3_d452e10017
hat	w5_d452e10020
aber	w7_d452e10023
noch	w9_d452e10026
keine	w11_d452e10029
Gewiß	w13_d452e10033
heit	w1_d452e10038
davon.	w3_d452e10041
Das	w5_d452e10044
erste	w7_d452e10047
neue	w9_d452e10050
Bataillon,	w11_d452e10053
welches	w1_d452e10058
im	w3_d452e10061
Bentheimischen	w5_d452e10064
zu	w7_d452e10067
Steinfurt	w9_d452e10070
gelegen,	w1_d452e10075
wird	w3_d452e10078
wieder	w5_d452e10081
in	w7_d452e10084
Lippstadt	w9_d452e10087
einrücken,	w11_d452e10090
und	w1_d452e10096
es	w3_d452e10099
ist	w5_d452e10102
gleich	w7_d452e10105
dem	w9_d452e10108
neuen	w11_d452e10111
zweyten	w13_d452e10115
Bata	w15_d452e10118
illon	w1_d452e10123
völlige	w3_d452e10126
1000.	w5_d452e10129
Mann	w7_d452e10132
stark.	w9_d452e10135
Gestern	w11_d452e10138
sind	w1_d452e10143
2.	w3_d452e10146
Compagnien	w5_d452e10149
von	w7_d452e10152
der	w9_d452e10155
hiesigen	w11_d452e10158
Gar	w13_d452e10162
nison	w1_d452e10167
nach	w3_d452e10170
Preußisch=minden	w5_d452e10173
zur	w7_d452e10176
Verstär	w9_d452e10179
kung	w1_d452e10185
abgegangen.	w3_d452e10188
</p>
<head id="h2_d452e10194">
ischen	w1_d452e10198
Aus	w1_d452e10203
dem	w3_d452e10206
Mecklenburgi	w5_d452e10209
6.	w1_d452e10214
May.	w3_d452e10217
</head>
<p id="p4_d452e10220">
Jn	w1_d452e10224
der	w3_d452e10227
Nacht	w5_d452e10230
vom	w7_d452e10233
29.	w9_d452e10236
auf	w11_d452e10239
den	w13_d452e10243
30.	w15_d452e10246
April	w17_d452e10249
kam	w1_d452e10254
ein	w3_d452e10257
Preußischer	w5_d452e10260
Haufe	w7_d452e10263
nach	w9_d452e10266
Malchin,	w11_d452e10269
</p>
<p id="p8_d452e10274">
bemächtigte	w1_d452e10278
sich	w3_d452e10281
der	w5_d452e10284
beyden	w7_d452e10287
Bürgermeister,	w9_d452e10290
und	w1_d452e10295
schleppete	w3_d452e10298
sie	w5_d452e10301
mit	w7_d452e10304
ins	w9_d452e10307
Haupt=quartier.	w11_d452e10310
Man	w1_d452e10315
will	w3_d452e10318
sie	w5_d452e10321
nun	w7_d452e10324
Preußischer	w9_d452e10327
Seits	w11_d452e10330
nicht	w13_d452e10334
eher	w1_d452e10340
losgeben,	w3_d452e10343
als	w5_d452e10346
bis	w7_d452e10349
die	w9_d452e10352
Stadt	w11_d452e10355
für	w13_d452e10359
zwey	w15_d452e10362
von	w1_d452e10367
denen	w3_d452e10370
Schweden	w5_d452e10373
daselbst	w7_d452e10376
aufgehobene	w9_d452e10379
Preußische	w1_d452e10384
Hussaren	w3_d452e10387
2000.	w5_d452e10390
Rthlr.	w7_d452e10393
bezahlt	w9_d452e10396
haben	w1_d452e10401
wird.	w3_d452e10404
Da	w5_d452e10407
indessen	w7_d452e10410
dieser	w9_d452e10413
kleine	w11_d452e10416
und	w13_d452e10420
bereits	w1_d452e10426
vorhin	w3_d452e10429
schon	w5_d452e10432
so	w7_d452e10435
sehr	w9_d452e10438
ausgesogene	w11_d452e10441
Ort	w1_d452e10446
jetzo	w3_d452e10449
kaum	w5_d452e10452
so	w7_d452e10455
viel	w9_d452e10458
100.	w11_d452e10461
aufzubringen	w13_d452e10465
im	w1_d452e10470
Stande	w3_d452e10473
ist,	w5_d452e10476
so	w7_d452e10479
müssen	w9_d452e10482
diese	w11_d452e10485
Bürgermei	w13_d452e10489
ster	w1_d452e10494
ihr	w3_d452e10497
Schicksal	w5_d452e10500
erwarten.	w7_d452e10503
</p>
<head id="h2_d452e10510">
Wien	w1_d452e10514
den	w3_d452e10517
24.	w5_d452e10520
May	w7_d452e10523
1760.	w9_d452e10526
</head>
<p id="p4_d452e10529">
Eede	w1_d452e10533
Kaiserl.	w3_d452e10536
Majestäten	w5_d452e10539
samt	w7_d452e10542
Jhren	w9_d452e10545
Königl.	w1_d452e10550
Hoheiten	w3_d452e10553
denen	w5_d452e10556
Durchleuch	w7_d452e10559
tigsten	w1_d452e10564
jungen	w3_d452e10567
Herrschaften	w5_d452e10570
werden	w7_d452e10573
anheute	w9_d452e10576
von	w1_d452e10582
Laxenburg	w3_d452e10585
nacher	w5_d452e10588
Schönbrunn	w7_d452e10591
gelan	w9_d452e10594
gen,	w1_d452e10599
und	w3_d452e10602
alda	w5_d452e10605
die	w7_d452e10608
Heil.	w9_d452e10611
Pfingst=feyertäge,	w11_d452e10614
und	w1_d452e10619
Fronleichnams=octav	w3_d452e10622
über	w5_d452e10625
verbleiben.	w7_d452e10628
</p>
<p id="p6_d452e10631">
Den	w1_d452e10635
20.	w3_d452e10638
dies	w5_d452e10641
ist	w7_d452e10644
die	w9_d452e10647
Ziehung	w11_d452e10650
der	w13_d452e10654
K.	w15_d452e10657
K.	w17_d452e10660
privilegirten	w1_d452e10665
Lotterie	w3_d452e10668
in	w5_d452e10671
der	w7_d452e10674
K.	w9_d452e10677
K.	w11_d452e10680
Haupt	w13_d452e10684
stadt	w1_d452e10689
Prag	w3_d452e10692
beschehen,	w5_d452e10695
und	w7_d452e10698
die	w9_d452e10701
Num.	w11_d452e10704
61.	w13_d452e10708
12.	w1_d452e10714
44.	w3_d452e10717
28.	w5_d452e10720
und	w7_d452e10723
60.	w9_d452e10726
mit	w11_d452e10729
vielen	w13_d452e10733
erheblichen	w15_d452e10736
Ambi,	w1_d452e10741
beträchtlichen	w3_d452e10744
Terni,	w5_d452e10747
und	w7_d452e10750
namhaf	w9_d452e10753
ten	w1_d452e10758
Estrati	w3_d452e10761
gehoben	w5_d452e10764
worden.	w7_d452e10767
</p>
<p id="p8_d452e10770">
Den	w1_d452e10774
4.	w3_d452e10777
künftigen	w5_d452e10780
Monats	w7_d452e10783
Junii	w9_d452e10786
wird	w11_d452e10789
alhier	w1_d452e10794
die	w3_d452e10797
fernere	w5_d452e10800
Ziehung	w7_d452e10803
beschehen.	w9_d452e10806
</p>
<head id="h2_d452e10812">
Lista	w1_d452e10816
deren	w3_d452e10819
Verstorbenen	w5_d452e10822
zu	w7_d452e10825
Wien	w9_d452e10828
in	w1_d452e10833
und	w3_d452e10836
vor	w5_d452e10839
der	w7_d452e10842
Stadt.	w9_d452e10845
Den	w1_d452e10850
21.	w3_d452e10853
May.	w5_d452e10856
Jn	w7_d452e10859
der	w9_d452e10862
Stadt.	w11_d452e10865
</head>
<list id="l4_d452e10868">
Dem	w1_d452e10872
Hrn.	w3_d452e10875
Joh.	w5_d452e10878
Kobler,	w7_d452e10881
Hof=theatri=cas,	w9_d452e10884
s.	w11_d452e10887
K.	w13_d452e10891
Fran	w15_d452e10894
cisca,	w1_d452e10899
im	w3_d452e10902
Binderis.	w5_d452e10905
H.	w7_d452e10908
in	w9_d452e10911
der	w11_d452e10914
Herren=gas.,	w13_d452e10918
1.	w15_d452e10921
J.	w17_d452e10924
</list>
<head id="h2_d452e10931">
Vor	w1_d452e10935
der	w3_d452e10938
Stadt.	w5_d452e10941
</head>
<list id="l4_d452e10944">
Die	w1_d452e10948
(Tit.)	w3_d452e10951
Fr.	w5_d452e10954
Fr.	w7_d452e10957
Antonia	w9_d452e10960
verw.	w11_d452e10963
Gräfin	w13_d452e10967
von	w15_d452e10970
Le	w17_d452e10973
than,	w1_d452e10978
geb.	w3_d452e10981
Reichs=gräfin	w5_d452e10984
v.	w7_d452e10987
Löwenschild,	w9_d452e10990
bey	w11_d452e10993
dm	w13_d452e10997
weis.	w1_d452e11002
Kreutz	w3_d452e11005
in	w5_d452e11008
der	w7_d452e11011
Leopoldst,	w9_d452e11014
alt	w11_d452e11017
80.	w13_d452e11021
J.	w15_d452e11024
Dem	w1_d452e11030
Ant.	w3_d452e11033
Huber,	w5_d452e11036
Burgerl	w7_d452e11039
Schuh=mach.,	w9_d452e11042
s.	w11_d452e11045
K.	w13_d452e11049
An	w15_d452e11052
na,	w1_d452e11057
in	w3_d452e11060
s.	w5_d452e11063
H.	w7_d452e11066
zu	w9_d452e11069
Gumpendorf,	w11_d452e11072
alt	w13_d452e11076
16.	w15_d452e11079
J.	w17_d452e11082
Ant.	w1_d452e11087
Gungl,	w3_d452e11090
Handschuh=mach.,	w5_d452e11093
beym	w7_d452e11096
gold.	w9_d452e11099
Rössel	w11_d452e11102
am	w1_d452e11107
Thury,	w3_d452e11110
alt	w5_d452e11113
55.	w7_d452e11116
J.	w9_d452e11119
Franz	w1_d452e11125
Steinsaller,	w3_d452e11128
Kellner,	w5_d452e11131
beym	w7_d452e11134
gold.	w9_d452e11137
Kreutz	w11_d452e11140
am	w13_d452e11144
Thurn,	w1_d452e11149
alt	w3_d452e11152
36.	w5_d452e11155
J.	w7_d452e11158
Dem	w1_d452e11163
Mart.	w3_d452e11166
Schuster,	w5_d452e11169
Maurern,	w7_d452e11172
s.	w9_d452e11175
K.	w11_d452e11178
Jos.,	w13_d452e11182
beym	w15_d452e11185
schön.	w1_d452e11190
Gart.	w3_d452e11193
an	w5_d452e11196
der	w7_d452e11199
Wien,	w9_d452e11202
alt	w11_d452e11205
4.	w13_d452e11209
J.	w15_d452e11212
</list>
<head id="h2_d452e11219">
Summa	w1_d452e11223
6.	w3_d452e11226
Person.,	w5_d452e11229
darunter	w7_d452e11232
3.	w9_d452e11235
Kind.	w11_d452e11238
</head>
<head id="h2_d452e11244">
Den	w1_d452e11248
22.	w3_d452e11251
May.	w5_d452e11254
Jn	w1_d452e11259
der	w3_d452e11262
Stadt.	w5_d452e11265
</head>
<list id="l4_d452e11268">
Jacob	w1_d452e11272
Nimpfer,	w3_d452e11275
Weber,	w5_d452e11278
beym	w7_d452e11281
weis.	w9_d452e11284
Rös.	w11_d452e11287
am	w13_d452e11291
Salz	w15_d452e11294
gr.,	w1_d452e11299
alt	w3_d452e11302
76.	w5_d452e11305
J.	w7_d452e11308
Cunig	w1_d452e11313
Müllnerin,	w3_d452e11316
Wittwe,	w5_d452e11319
beym	w7_d452e11322
Rit.	w9_d452e11325
St.	w11_d452e11328
Georg	w13_d452e11332
im	w1_d452e11338
Schlosser=gäs,	w3_d452e11341
alt	w5_d452e11344
78.	w7_d452e11347
J.	w9_d452e11350
</list>
<head id="h2_d452e11357">
Vor	w1_d452e11361
der	w3_d452e11364
Stadt.	w5_d452e11367
</head>
<list id="l4_d452e11370">
Dem	w1_d452e11374
Hrn.	w3_d452e11377
Leop.	w5_d452e11380
Schmauß,	w7_d452e11383
Koch,	w9_d452e11386
s.	w11_d452e11389
Fr.	w13_d452e11393
Barb.,	w15_d452e11396
beym	w1_d452e11401
weis.	w3_d452e11404
Hirsch.	w5_d452e11407
an	w7_d452e11410
der	w9_d452e11413
Wien,	w11_d452e11416
alt	w13_d452e11420
33.	w15_d452e11423
J.	w17_d452e11426
Dem	w1_d452e11431
Mich.	w3_d452e11434
Biringer,	w5_d452e11437
Burgerl.	w7_d452e11440
Kuchel=gart.,	w9_d452e11443
s.	w11_d452e11446
W.	w13_d452e11450
Cathar,	w1_d452e11456
im	w3_d452e11459
Bischof=gart.	w5_d452e11462
auf	w7_d452e11465
der	w9_d452e11468
Landstr.,	w11_d452e11471
alt	w13_d452e11475
80.	w1_d452e11480
J.	w3_d452e11483
Ursula	w1_d452e11488
Rahtbaurin,	w3_d452e11491
Wittwe,	w5_d452e11494
beym	w7_d452e11497
gut.	w9_d452e11500
Hirt.	w11_d452e11503
au	w13_d452e11507
der	w1_d452e11512
Landstr.,	w3_d452e11515
alt	w5_d452e11518
57.	w7_d452e11521
J.	w9_d452e11524
Dem	w1_d452e11530
Franz	w3_d452e11533
Steinbigler,	w5_d452e11536
Brudersch.=ausag.,	w7_d452e11539
s.	w9_d452e11542
S.	w11_d452e11545
Jos.,	w1_d452e11550
beym	w3_d452e11553
gold.	w5_d452e11556
Sieb	w7_d452e11559
auf	w9_d452e11562
der	w11_d452e11565
Wied.,	w13_d452e11569
13.	w15_d452e11572
J.	w17_d452e11575
Dem	w1_d452e11580
Joh.	w3_d452e11583
Schaudy,	w5_d452e11586
Post=kn.,	w7_d452e11589
s.	w9_d452e11592
T.	w11_d452e11595
Barb.,	w13_d452e11599
bey	w15_d452e11602
St.	w17_d452e11605
Peregrin	w1_d452e11610
auf	w3_d452e11613
der	w5_d452e11616
Landstr.,	w7_d452e11619
alt	w9_d452e11622
19.	w11_d452e11625
J.	w13_d452e11629
Joh.	w1_d452e11635
Hoyjatsch,	w3_d452e11638
Schneid.,	w5_d452e11641
beym	w7_d452e11644
blech.	w9_d452e11647
Thurn	w11_d452e11650
bey	w13_d452e11654
Maria=hülf,	w1_d452e11659
alt	w3_d452e11662
49.	w5_d452e11665
J.	w7_d452e11668
</list>
<head id="h2_d452e11676">
Summa	w1_d452e11680
8.	w3_d452e11683
Person.	w5_d452e11686
darunter	w7_d452e11689
0.	w9_d452e11692
Kind.	w11_d452e11695
Den	w1_d452e11700
23.	w3_d452e11703
May.	w5_d452e11706
Jn	w1_d452e11711
der	w3_d452e11714
Stadt.	w5_d452e11717
</head>
<list id="l4_d452e11720">
Der	w1_d452e11724
Ehrw.	w3_d452e11727
Novit.	w5_d452e11730
Bonascus	w7_d452e11733
Fux,	w9_d452e11736
im	w11_d452e11739
Kloster	w13_d452e11743
in	w15_d452e11746
der	w1_d452e11751
Leopoldst.,	w3_d452e11754
alt	w5_d452e11757
24.	w7_d452e11760
J.	w9_d452e11763
Dem	w1_d452e11768
(Tit.)	w3_d452e11771
Hrn.	w5_d452e11774
Franz	w7_d452e11777
v.	w9_d452e11780
Hartmann,	w11_d452e11783
K.	w13_d452e11787
K.	w15_d452e11790
Hof	w17_d452e11793
kammer	w1_d452e11799
concip.,	w3_d452e11802
s.	w5_d452e11805
K.	w7_d452e11808
Carl,	w9_d452e11811
im	w11_d452e11814
Nedorostisch.	w13_d452e11818
H.	w15_d452e11821
am	w1_d452e11826
Stuben=thor,	w3_d452e11829
alt	w5_d452e11832
2.	w7_d452e11835
J.	w9_d452e11838
Dem	w1_d452e11843
Hrn.	w3_d452e11846
Georg	w5_d452e11849
Spenkuch,	w7_d452e11852
Burger,	w9_d452e11855
n.	w11_d452e11858
Oberehof	w13_d452e11862
tapetzier.,	w1_d452e11867
s.	w3_d452e11870
Ehew.	w5_d452e11873
Magdal.,	w7_d452e11876
im	w9_d452e11879
Dempfinger=hof,	w11_d452e11882
alt	w1_d452e11888
63.	w3_d452e11891
J.	w5_d452e11894
Magdal.	w1_d452e11899
Dimichin,	w3_d452e11902
led.,	w5_d452e11905
im	w7_d452e11908
Schlosser=hof,	w9_d452e11911
66.	w11_d452e11914
J.	w13_d452e11918
</list>
<head id="h2_d452e11925">
Vor	w1_d452e11929
der	w3_d452e11932
Stadt.	w5_d452e11935
</head>
<list id="l4_d452e11938">
Veit	w1_d452e11942
Rockus,	w3_d452e11945
Burgerl.	w5_d452e11948
Wagn,	w7_d452e11951
im	w9_d452e11954
Ecklisch=H.	w11_d452e11957
an	w13_d452e11961
der	w1_d452e11966
Wien,	w3_d452e11969
alt	w5_d452e11972
48.	w7_d452e11975
J.	w9_d452e11978
Dem	w1_d452e11983
Leonh.	w3_d452e11986
Schlichtinger,	w5_d452e11989
Burgerl.	w7_d452e11992
Schuhmach	w9_d452e11995
s.	w1_d452e12001
W.	w3_d452e12004
Barb.,	w5_d452e12007
beym	w7_d452e12010
gold.	w9_d452e12013
Adl.	w11_d452e12016
auf	w13_d452e12020
der	w15_d452e12023
Landste,	w17_d452e12026
alt	w1_d452e12031
45.	w3_d452e12034
J.	w5_d452e12037
Thom.	w1_d452e12042
Wollenbatter,	w3_d452e12045
Grün=kräutl.,	w5_d452e12048
bey	w7_d452e12051
der	w9_d452e12054
schönl.	w11_d452e12057
Schäf.	w1_d452e12062
in	w3_d452e12065
der	w5_d452e12068
Josephst,	w7_d452e12071
alt	w9_d452e12074
44.	w11_d452e12077
J.	w13_d452e12081
Joh.	w1_d452e12087
Wiser,	w3_d452e12090
alt	w5_d452e12093
84.	w7_d452e12096
J.,	w9_d452e12099
und	w11_d452e12102
Anna	w13_d452e12106
Reichin,	w15_d452e12109
12.	w17_d452e12112
J.	w19_d452e12115
beyde	w1_d452e12120
in	w3_d452e12123
St.	w5_d452e12126
Joh.	w7_d452e12129
Nep	w9_d452e12132
Spit.	w11_d452e12135
Benjamin	w1_d452e12140
Hartman,	w3_d452e12143
Frisenr,	w5_d452e12146
beym	w7_d452e12149
last.	w9_d452e12152
Baur.	w11_d452e12155
in	w13_d452e12159
der	w1_d452e12164
Leopoldst.,	w3_d452e12167
alt	w5_d452e12170
46.	w7_d452e12173
J.	w9_d452e12176
Math.	w1_d452e12182
Reller,	w3_d452e12185
K.	w5_d452e12188
K.	w7_d452e12191
Haber=mes.,	w9_d452e12194
im	w11_d452e12197
Zanneris.	w13_d452e12201
H.	w15_d452e12204
bey	w1_d452e12209
St.	w3_d452e12212
Ulrich,	w5_d452e12215
alt	w7_d452e12218
67.	w9_d452e12221
J.	w11_d452e12224
</list>
<head id="h2_d452e12231">
Summa	w1_d452e12235
10.	w3_d452e12238
Pers.	w5_d452e12241
darunter	w7_d452e12244
1.	w9_d452e12247
Kind.	w11_d452e12250
</head>
<p id="p4_d452e12253">
Demnach	w1_d452e12257
von	w3_d452e12260
Seiten	w5_d452e12263
der	w7_d452e12266
Kaiserl.	w9_d452e12269
auch	w11_d452e12272
Kaiserl.	w13_d452e12276
Königl.	w1_d452e12281
Hof=cammer,	w3_d452e12284
die	w5_d452e12287
vorhin	w7_d452e12290
von	w9_d452e12293
dem	w11_d452e12296
alhie	w13_d452e12300
sig	w1_d452e12305
Kaiserl.	w3_d452e12308
Königl.	w5_d452e12311
Haupt=münz=amt	w7_d452e12314
pr.	w9_d452e12317
Conro	w11_d452e12320
der	w1_d452e12326
</p>
<p id="p8_d452e12331">
der	w1_d452e12335
auch	w3_d452e12338
Kaiserl.	w5_d452e12341
Königl.	w7_d452e12344
Berg=werks	w9_d452e12347
Producten	w11_d452e12350
verschleiß=direction	w1_d452e12355
besorgte	w3_d452e12358
Scheidwassersbreu	w5_d452e12361
nung,	w1_d452e12366
und	w3_d452e12369
dessen	w5_d452e12372
Verschleis	w7_d452e12375
pro	w9_d452e12378
Publico	w11_d452e12381
an	w13_d452e12385
den	w15_d452e12388
vorgedachter	w1_d452e12394
Hof=stelle	w3_d452e12397
untergebenen	w5_d452e12400
Concipisten	w7_d452e12403
Herrn	w1_d452e12408
Franz	w3_d452e12411
von	w5_d452e12414
Hartmann	w7_d452e12417
übertragen	w9_d452e12420
worden	w11_d452e12423
als	w1_d452e12428
wird	w3_d452e12431
ein	w5_d452e12434
solches	w7_d452e12437
dem	w9_d452e12440
Publico	w11_d452e12443
zu	w13_d452e12447
dem	w15_d452e12450
Ende	w17_d452e12453
erinneret,	w1_d452e12458
daß,	w3_d452e12461
nachdeme	w5_d452e12464
kurz	w7_d452e12467
besagter	w9_d452e12470
Hofcam	w11_d452e12473
mer=concipist,	w1_d452e12479
einen	w3_d452e12482
genugsamen	w5_d452e12485
Vor=raht	w7_d452e12488
sothanen	w1_d452e12493
Scheid=wassers	w3_d452e12496
in	w5_d452e12499
guter	w7_d452e12502
Qualität	w9_d452e12505
clabo	w11_d452e12508
riret,	w1_d452e12513
solches	w3_d452e12516
zu	w5_d452e12519
mehrerer	w7_d452e12522
Bequemlichkeit	w9_d452e12525
deren	w11_d452e12528
Bedarfenden	w1_d452e12533
nächst	w3_d452e12536
seiner	w5_d452e12539
Wohnung	w7_d452e12542
in	w9_d452e12545
dem	w11_d452e12548
Ne	w13_d452e12552
derostischen	w1_d452e12558
Haus	w3_d452e12561
gegen	w5_d452e12564
der	w7_d452e12567
Post	w9_d452e12570
über,	w11_d452e12573
in	w13_d452e12577
das	w15_d452e12580
ne	w17_d452e12583
benbefindlichen	w1_d452e12588
Taback=gewölb	w3_d452e12591
zum	w5_d452e12594
öffentlichen	w7_d452e12597
Verkauf	w1_d452e12602
das	w3_d452e12605
Pf.	w5_d452e12608
per	w7_d452e12611
33.	w9_d452e12614
kr.	w11_d452e12617
abgegeben	w13_d452e12621
habe,	w15_d452e12624
ein	w17_d452e12627
folglich	w1_d452e12632
jedermann	w3_d452e12635
mit	w5_d452e12638
mehr	w7_d452e12641
berührten	w9_d452e12644
Stärk	w11_d452e12647
wasser	w1_d452e12653
zu	w3_d452e12656
allen	w5_d452e12659
Zeiten	w7_d452e12662
bedienet	w9_d452e12665
werden	w11_d452e12668
könne.	w13_d452e12672
</p>
<p id="p10_d452e12675">
Wir	w1_d452e12679
Burgermeister	w3_d452e12682
Amts=verwalter,	w5_d452e12685
und	w7_d452e12688
Raht	w1_d452e12693
der	w3_d452e12696
Stadt	w5_d452e12699
Wien	w7_d452e12702
geben	w9_d452e12705
hiemit	w11_d452e12708
durch	w13_d452e12712
dieses	w15_d452e12715
offene	w1_d452e12720
Edict	w3_d452e12723
jedermänniglich	w5_d452e12726
zu	w7_d452e12729
vernehmen,	w9_d452e12732
was	w11_d452e12735
gestalten	w1_d452e12741
wir	w3_d452e12744
über	w5_d452e12747
beschehen	w7_d452e12750
schriftliches	w9_d452e12753
Anlan	w11_d452e12756
gen,	w1_d452e12761
und	w3_d452e12764
gehorsames	w5_d452e12767
Bitten	w7_d452e12770
Christian	w9_d452e12773
Anzellotti	w11_d452e12776
Lust=gartners,	w1_d452e12781
contra	w3_d452e12784
Joseph	w5_d452e12787
Dean	w7_d452e12790
behausten	w9_d452e12793
Lust=gartners	w1_d452e12798
zu	w3_d452e12801
St.	w5_d452e12804
Margarethen,	w7_d452e12807
und	w9_d452e12810
dessen	w11_d452e12813
Ehewirtin	w1_d452e12819
unterm	w3_d452e12822
12.	w5_d452e12825
Elapsi	w7_d452e12828
in	w9_d452e12831
ein	w11_d452e12834
gewöhnliches	w13_d452e12838
Licitations=edict	w1_d452e12843
gewilliget,	w3_d452e12846
und	w5_d452e12849
verordnet	w7_d452e12852
ha	w9_d452e12855
ben,	w1_d452e12860
daß	w3_d452e12863
die	w5_d452e12866
Deanische	w7_d452e12869
Behausung	w9_d452e12872
zu	w11_d452e12875
St.	w13_d452e12879
Mar	w15_d452e12882
garethen	w1_d452e12887
offentlich	w3_d452e12890
ausgefeilet,	w5_d452e12893
und	w7_d452e12896
dem	w9_d452e12899
Meist	w11_d452e12902
bietenden	w1_d452e12908
verkauffet	w3_d452e12911
werden	w5_d452e12914
solle;	w7_d452e12917
Da	w9_d452e12920
nun	w11_d452e12923
hierzu	w13_d452e12927
der	w1_d452e12932
7.	w3_d452e12935
Monats,	w5_d452e12938
tag	w7_d452e12941
Junii	w9_d452e12944
lauffend	w11_d452e12947
1760.	w13_d452e12951
Jahrs	w15_d452e12954
zur	w1_d452e12959
Tagsatzung	w3_d452e12962
bestimmet	w5_d452e12965
worden	w7_d452e12968
ist;	w9_d452e12971
als	w11_d452e12974
wird	w13_d452e12978
ein	w1_d452e12983
solches	w3_d452e12986
hiemit	w5_d452e12989
jedermann,	w7_d452e12992
wer	w9_d452e12995
etwann	w11_d452e12998
die	w13_d452e13002
ses	w1_d452e13008
Haus	w3_d452e13011
käuflichen	w5_d452e13014
an	w7_d452e13017
sich	w9_d452e13020
zu	w11_d452e13023
bringen	w13_d452e13027
gesinnet	w15_d452e13030
ist,	w1_d452e13035
mit	w3_d452e13038
diesem	w5_d452e13041
Edict	w7_d452e13044
zu	w9_d452e13047
dem	w11_d452e13050
Ende	w13_d452e13054
kund	w15_d452e13057
und	w17_d452e13060
zu	w1_d452e13065
wissen	w3_d452e13068
gemacht,	w5_d452e13071
damit	w7_d452e13074
ein	w9_d452e13077
sich	w11_d452e13080
hervorthuen	w13_d452e13084
der	w1_d452e13089
Kauffer	w3_d452e13092
bey	w5_d452e13095
obbemeldt=bestimmten	w7_d452e13098
Licita	w9_d452e13101
tions=tagsatzung	w1_d452e13107
fruh	w3_d452e13110
um	w5_d452e13113
9.	w7_d452e13116
Uhr,	w9_d452e13119
oder	w11_d452e13122
da	w13_d452e13126
wir	w15_d452e13129
selbigen	w1_d452e13134
Tags	w3_d452e13137
etwa	w5_d452e13140
anderer	w7_d452e13143
Geschäften	w9_d452e13146
halbet	w11_d452e13149
nicht	w1_d452e13154
zu	w3_d452e13157
Raht	w5_d452e13160
sitzeten,	w7_d452e13163
den	w9_d452e13166
nächst	w11_d452e13169
darauf	w13_d452e13173
folgen.	w15_d452e13176
den	w1_d452e13181
Rahts=tag	w3_d452e13184
vor	w5_d452e13187
uns	w7_d452e13190
erscheinen,	w9_d452e13193
und	w11_d452e13196
sich	w13_d452e13200
bey	w15_d452e13203
unser,	w1_d452e13209
und	w3_d452e13212
gemeiner	w5_d452e13215
Stadt	w7_d452e13218
Grund=buch	w9_d452e13221
durch	w11_d452e13224
ben	w1_d452e13229
daselbstigen	w3_d452e13232
Amts=schreiber	w5_d452e13235
anmelden	w7_d452e13238
lassen	w9_d452e13241
möge,	w1_d452e13246
allwo	w3_d452e13249
sodann	w5_d452e13252
das	w7_d452e13255
Weiter=behörige	w9_d452e13258
trac	w11_d452e13261
tirer	w1_d452e13266
werden	w3_d452e13269
solle.	w5_d452e13272
Actum	w7_d452e13275
Wien	w9_d452e13278
den	w11_d452e13281
9.	w13_d452e13285
April	w15_d452e13288
1760.	w17_d452e13291
</p>
<p id="p12_d452e13295">
Ein	w1_d452e13299
sich	w3_d452e13302
mit	w5_d452e13305
dem	w7_d452e13308
Namen	w9_d452e13311
David	w11_d452e13314
Müller	w13_d452e13318
angeben	w15_d452e13321
der	w1_d452e13326
zu	w3_d452e13329
Höchst	w5_d452e13332
unweit	w7_d452e13335
Frankfurt	w9_d452e13338
gebürtig	w11_d452e13341
seyn	w13_d452e13345
selender	w1_d452e13350
Weber,	w3_d452e13353
ist	w5_d452e13356
vor	w7_d452e13359
zwölf	w9_d452e13362
Jahren	w11_d452e13365
von	w13_d452e13369
fünf	w15_d452e13372
Kirchen	w1_d452e13378
aus	w3_d452e13381
Hungarn	w5_d452e13384
hinweg,	w7_d452e13387
ohne	w9_d452e13390
der	w11_d452e13393
