<doc id="wr_1760-12-03" attrs="word" year="1760" month="12" day="03" corpus="2">
<head id="h2_d506e4041">
Journal	w1_d506e4045
ten	w1_d506e19649
Beckerey	w3_d506e19652
wurde	w5_d506e19655
eine	w7_d506e19658
Menge	w9_d506e19661
Brods	w11_d506e19664
so	w13_d506e19668
wol	w1_d506e19674
für	w3_d506e19677
die	w5_d506e19680
in	w7_d506e19683
der	w9_d506e19686
Stadt	w11_d506e19689
selbst	w13_d506e19693
befindliche	w15_d506e19696
zahlreiche	w1_d506e19701
Garnison,	w3_d506e19704
als	w5_d506e19707
auch	w7_d506e19710
für	w9_d506e19713
die	w11_d506e19716
in	w13_d506e19720
der	w1_d506e19725
Nähe	w3_d506e19728
herum	w5_d506e19731
liegende	w7_d506e19734
Trupen	w9_d506e19737
gebacken	w11_d506e19740
Endlich	w1_d506e19745
war	w3_d506e19748
man	w5_d506e19751
beschäftiget,	w7_d506e19754
das	w9_d506e19757
in	w11_d506e19760
der	w13_d506e19764
dasigen	w1_d506e19770
Jacobi=kirche	w3_d506e19773
errichtete	w5_d506e19776
ansehnliche	w7_d506e19779
Magazin,	w1_d506e19784
zu	w3_d506e19787
Stande	w5_d506e19790
zu	w7_d506e19793
bringen,	w9_d506e19796
weswe	w11_d506e19799
gen	w1_d506e19804
noch	w3_d506e19807
fast	w5_d506e19810
täglich	w7_d506e19813
Fouragierungen	w9_d506e19816
vor	w11_d506e19819
genommen	w1_d506e19824
werden.	w3_d506e19827
Man	w5_d506e19830
glaubt,	w7_d506e19833
die	w9_d506e19836
bis	w11_d506e19839
her	w1_d506e19845
allda	w3_d506e19848
einquartirte	w5_d506e19851
Grenadiers	w7_d506e19854
werden	w9_d506e19857
nächstens	w1_d506e19862
abziehen,	w3_d506e19865
und	w5_d506e19868
dagegen	w7_d506e19871
ein	w9_d506e19874
Aus	w11_d506e19877
schuß	w1_d506e19882
aus	w3_d506e19885
verschiedenen	w5_d506e19888
Regimentern	w7_d506e19891
der	w9_d506e19894
grossen	w1_d506e19899
Französischen	w3_d506e19902
Armee	w5_d506e19905
zur	w7_d506e19908
ordentlichen	w9_d506e19911
Garnison	w1_d506e19917
in	w3_d506e19920
die	w5_d506e19923
Stadt	w7_d506e19926
verlegt	w9_d506e19929
werden.	w11_d506e19932
</p>
<p id="p6_d506e19935">
Von	w1_d506e19939
N.	w3_d506e19942
Burger=meister,	w5_d506e19945
Stadt=richter,	w7_d506e19948
und	w9_d506e19951
Raht	w1_d506e19956
der	w3_d506e19959
Landes=fürstlichen	w5_d506e19962
Stadt	w7_d506e19965
Rötz	w9_d506e19968
im	w11_d506e19971
Erz	w13_d506e19975
herzogtum	w1_d506e19980
Oesterreich	w3_d506e19983
unter	w5_d506e19986
der	w7_d506e19989
Enns,	w9_d506e19992
wird	w11_d506e19995
dem	w13_d506e19999
Hanns	w1_d506e20005
Adam	w3_d506e20008
Hueber,	w5_d506e20011
schon	w7_d506e20014
durch	w9_d506e20017
mehr	w11_d506e20020
dann	w13_d506e20024
32	w15_d506e20027
Jahr	w1_d506e20032
unwissenden,	w3_d506e20035
unter	w5_d506e20038
dem	w7_d506e20041
vormalig=gewest	w9_d506e20044
Löbl.	w1_d506e20049
Harrachischen	w3_d506e20052
Jnfanterie=regiments	w5_d506e20055
unter	w7_d506e20058
der	w1_d506e20063
Hauptmann	w3_d506e20066
Vovelischen	w5_d506e20069
Compagnie	w7_d506e20072
gewesten	w9_d506e20075
gemeinen	w1_d506e20081
Soldaten,	w3_d506e20084
oder	w5_d506e20087
im	w7_d506e20090
Fall,	w9_d506e20093
wie	w11_d506e20096
nicht	w13_d506e20100
an	w15_d506e20103
gleich	w1_d506e20108
zu	w3_d506e20111
vermuten	w5_d506e20114
ist,	w7_d506e20117
derselbe	w9_d506e20120
nicht	w11_d506e20123
mehr	w13_d506e20127
lebete,	w15_d506e20130
dessen	w1_d506e20135
nächsten	w3_d506e20138
Befreundten	w5_d506e20141
und	w7_d506e20144
Erben	w9_d506e20147
hiemit	w11_d506e20150
kund	w13_d506e20154
und	w1_d506e20159
zu	w3_d506e20162
wissen	w5_d506e20165
gemacht,	w7_d506e20168
daß	w9_d506e20171
selber,	w11_d506e20174
oder	w13_d506e20178
dessen	w15_d506e20181
rechtmäßige	w1_d506e20187
Erben	w3_d506e20190
von	w5_d506e20193
heut	w7_d506e20196
Dato	w9_d506e20199
innerhalb	w11_d506e20202
einen	w13_d506e20206
Jahr,	w1_d506e20211
6.	w3_d506e20214
Wochen	w5_d506e20217
und	w7_d506e20220
3.	w9_d506e20223
Tägen	w11_d506e20226
bey	w13_d506e20230
dem	w15_d506e20233
hiesigen	w17_d506e20236
Stadt=raht	w1_d506e20241
zu	w3_d506e20244
Rötz	w5_d506e20247
sich	w7_d506e20250
alsogewiß	w9_d506e20253
melden,	w11_d506e20256
und	w13_d506e20260
ihre	w1_d506e20265
auf	w3_d506e20268
das	w5_d506e20271
alda	w7_d506e20274
anligende	w9_d506e20277
dermalen	w11_d506e20280
cum	w13_d506e20284
sua	w15_d506e20287
bausa	w1_d506e20293
67.	w3_d506e20296
fl.	w5_d506e20299
21.	w7_d506e20302
kr.	w9_d506e20305
2.	w11_d506e20308
Pf.	w13_d506e20312
betragende	w15_d506e20315
Vermö	w17_d506e20318
gen	w1_d506e20323
habende	w3_d506e20326
Sprüch	w5_d506e20329
und	w7_d506e20332
Erbs=forderung	w9_d506e20335
legaliter	w11_d506e20338
darthuen	w1_d506e20343
sollen,	w3_d506e20346
als	w5_d506e20349
im	w7_d506e20352
widrigen	w9_d506e20355
besagten	w11_d506e20358
Vermö	w13_d506e20362
gen	w1_d506e20367
denen	w3_d506e20370
sich	w5_d506e20373
hierzu	w7_d506e20376
bereits	w9_d506e20379
angemeldtBlutsver	w11_d506e20382
wandten	w1_d506e20388
Wisingerischen	w3_d506e20391
Kindern	w5_d506e20394
zuerkennet,	w7_d506e20397
und	w9_d506e20400
</p>
<p id="p8_d506e20403">
Hanns	w1_d506e20407
Hueber,	w3_d506e20410
als	w5_d506e20413
dessen	w7_d506e20416
nicht	w9_d506e20419
erscheinenden,	w11_d506e20422
et	w13_d506e20426
wann	w1_d506e20431
nähere	w3_d506e20434
Ansprüch	w5_d506e20437
machenden	w7_d506e20440
Befreundten	w9_d506e20443
das	w1_d506e20448
ewige	w3_d506e20451
Stillschweigen	w5_d506e20454
auferleget	w7_d506e20457
seyn	w9_d506e20460
solle.	w11_d506e20463
</p>
<p id="p10_d506e20466">
Von	w1_d506e20470
Sr.	w3_d506e20473
Hochwürden	w5_d506e20476
und	w7_d506e20479
Gnaden	w9_d506e20482
Herrn	w11_d506e20485
Offi	w13_d506e20489
cialen	w1_d506e20494
und	w3_d506e20497
Venerabilis	w5_d506e20500
Archi-Episcopalis	w7_d506e20503
Consisto-	w9_d506e20506
rii	w1_d506e20511
wegen,	w3_d506e20514
wird	w5_d506e20517
durch	w7_d506e20520
gegenwärtiges	w9_d506e20523
Valval=edict	w11_d506e20526
dem	w1_d506e20532
Hrn.	w3_d506e20535
Johann	w5_d506e20538
Müller,	w7_d506e20541
Pfarrern	w9_d506e20544
zu	w11_d506e20547
Reinöck,	w13_d506e20551
als	w1_d506e20556
des	w3_d506e20559
Joseph	w5_d506e20562
Müller	w7_d506e20565
gewesten	w9_d506e20568
Pfarrers	w11_d506e20571
zu	w13_d506e20575
Unter	w15_d506e20578
walterstorf	w1_d506e20583
seel.	w3_d506e20586
pertestamentum	w5_d506e20589
eingesetzten	w7_d506e20592
Uni	w9_d506e20595
versal=erben,	w1_d506e20600
dann	w3_d506e20603
denen	w5_d506e20606
in	w7_d506e20609
dessen	w9_d506e20612
hinterlassenen	w11_d506e20615
Testament	w1_d506e20621
de	w3_d506e20624
publ.	w5_d506e20627
4.	w7_d506e20630
Septemb.	w9_d506e20633
1750.	w11_d506e20636
einkommen	w13_d506e20640
den	w1_d506e20645
Legatarien,	w3_d506e20648
benantl.	w5_d506e20651
denen	w7_d506e20654
PP.	w9_d506e20657
Minoriten	w11_d506e20660
zu	w13_d506e20664
Wimpaßing,	w1_d506e20669
denen	w3_d506e20672
PP.	w5_d506e20675
Serviten	w7_d506e20678
zu	w9_d506e20681
Loretha,	w11_d506e20684
der	w13_d506e20688
Pfarr=kirchen	w1_d506e20693
zu	w3_d506e20696
Pottendorf,	w5_d506e20699
dem	w7_d506e20702
Hrn.	w9_d506e20705
Carl	w11_d506e20708
Wrane	w13_d506e20712
cius,	w1_d506e20718
Pfarrern	w3_d506e20721
zu	w5_d506e20724
Weiglstorf,	w7_d506e20727
dem	w9_d506e20730
Hrn.	w11_d506e20733
Uriel	w13_d506e20737
Stöckel,	w1_d506e20742
Pfarrern	w3_d506e20745
zu	w5_d506e20748
Ebreichstorf,	w7_d506e20751
dem	w9_d506e20754
Hrn.	w11_d506e20757
Ste	w13_d506e20761
phan	w1_d506e20766
Reiter,	w3_d506e20769
Pfarrern	w5_d506e20772
zu	w7_d506e20775
Unter=walterstorf,	w9_d506e20778
denen	w11_d506e20781
Spitälern	w1_d506e20786
aldorten,	w3_d506e20789
dem	w5_d506e20792
Johann	w7_d506e20795
Schacard,	w9_d506e20798
Welt.	w11_d506e20801
Priestern,	w1_d506e20807
dem	w3_d506e20810
Johann	w5_d506e20813
Thaller,	w7_d506e20816
ingleichen	w9_d506e20819
Weltli	w11_d506e20822
chen	w1_d506e20827
Priestern,	w3_d506e20830
der	w5_d506e20833
Mariä	w7_d506e20836
Annä	w9_d506e20839
Lettin,	w11_d506e20842
dem	w13_d506e20846
Jo	w15_d506e20849
seph	w1_d506e20854
Müllner,	w3_d506e20857
Canzley=schreibern	w5_d506e20860
zu	w7_d506e20863
Sauschitz,	w9_d506e20866
der	w1_d506e20871
Veronicä	w3_d506e20874
Hölzlin,	w5_d506e20877
der	w7_d506e20880
Kirchen	w9_d506e20883
zu	w11_d506e20886
Langenau	w13_d506e20890
auf	w1_d506e20896
der	w3_d506e20899
Herrschaft	w5_d506e20902
Bergstein,	w7_d506e20905
der	w9_d506e20908
Pfarr	w11_d506e20911
kirchen	w13_d506e20915
zu	w15_d506e20918
Laxenburg,	w1_d506e20923
dem	w3_d506e20926
Andre	w5_d506e20929
Teibl	w7_d506e20932
nomine	w9_d506e20935
dessen	w11_d506e20938
3.	w13_d506e20942
Kindern,	w1_d506e20947
dem	w3_d506e20950
Schulmeister	w5_d506e20953
zu	w7_d506e20956
Unter=walterstorf,	w9_d506e20959
dem	w1_d506e20964
Christian	w3_d506e20967
Albert	w5_d506e20970
Kaiser,	w7_d506e20973
gewesten	w9_d506e20976
Verwalter	w11_d506e20979
zu	w1_d506e20985
Ebreichstorf,	w3_d506e20988
dem	w5_d506e20991
Zachariä	w7_d506e20994
Mathejo,	w9_d506e20997
Marktrich	w11_d506e21000
tern	w1_d506e21005
aldorten,	w3_d506e21008
und	w5_d506e21011
endlichen	w7_d506e21014
dem	w9_d506e21017
Melchior	w11_d506e21020
Brand	w13_d506e21024
stötter	w1_d506e21029
hiemit	w3_d506e21032
kund	w5_d506e21035
und	w7_d506e21038
zu	w9_d506e21041
wissen	w11_d506e21044
gemacht;	w13_d506e21048
Es	w15_d506e21051
ha	w17_d506e21054
be	w1_d506e21059
der	w3_d506e21062
von	w5_d506e21065
diesem	w7_d506e21068
Venerabili	w9_d506e21071
Officio	w11_d506e21074
zu	w13_d506e21078
dermalein	w15_d506e21081
stiger	w1_d506e21087
Richtig=stellung	w3_d506e21090
der	w5_d506e21093
Müllerischen	w7_d506e21096
Abhand	w9_d506e21099
lungs=sach	w1_d506e21104
aufgestellte	w3_d506e21107
Curator,	w5_d506e21110
Hr.	w7_d506e21113
Franz	w9_d506e21116
Edler	w11_d506e21119
v.	w1_d506e21124
Tasser,	w3_d506e21127
U.	w5_d506e21130
J.	w7_d506e21133
D.	w9_d506e21136
auch	w11_d506e21139
Hof	w13_d506e21143
und	w15_d506e21146
Gerichts=advocat	w17_d506e21149
gehorsamst	w1_d506e21154
angebracht,	w3_d506e21157
welcher	w5_d506e21160
gestalten	w7_d506e21163
die	w9_d506e21166
ehehin	w11_d506e21169
per	w1_d506e21175
Edictum	w3_d506e21178
convocirte	w5_d506e21181
Creditores	w7_d506e21184
vollständig	w9_d506e21187
be	w11_d506e21190
zahlet	w1_d506e21195
worden	w3_d506e21198
wären,	w5_d506e21201
einfolglichen	w7_d506e21204
es	w9_d506e21207
auf	w11_d506e21210
die	w13_d506e21214
Ab	w15_d506e21217
handlung	w1_d506e21222
mit	w3_d506e21225
dem	w5_d506e21228
Hrn.	w7_d506e21231
Universal	w9_d506e21234
erben,	w11_d506e21237
und	w13_d506e21241
de	w15_d506e21244
nen	w1_d506e21249
in	w3_d506e21252
Testament	w5_d506e21255
einkommenden	w7_d506e21258
Legatarien	w9_d506e21261
an	w11_d506e21264
kommete,	w1_d506e21270
weilen	w3_d506e21273
aber	w5_d506e21276
die	w7_d506e21279
Massa	w9_d506e21282
vor	w11_d506e21285
alle	w13_d506e21289
nicht	w15_d506e21292
hin	w17_d506e21295
länglich,	w1_d506e21300
anbey	w3_d506e21303
der	w5_d506e21306
Hr.	w7_d506e21309
Universal=erb,	w9_d506e21312
und	w11_d506e21315
die	w13_d506e21319
meh	w15_d506e21322
reste	w1_d506e21327
Legatarien	w3_d506e21330
abwesend,	w5_d506e21333
bate	w7_d506e21336
besagter	w9_d506e21339
Hr.	w11_d506e21342
Cura	w13_d506e21346
tor	w1_d506e21351
eine	w3_d506e21354
Abhandlungs=tag=satzung	w5_d506e21357
anzuorden,	w7_d506e21360
und	w9_d506e21363
hierzu	w1_d506e21369
sowol	w3_d506e21372
oft	w5_d506e21375
erwehnten	w7_d506e21378
Universal	w9_d506e21381
erben,	w11_d506e21384
Hrn.	w13_d506e21388
Johann	w1_d506e21393
Müller,	w3_d506e21396
Pfarrern	w5_d506e21399
zu	w7_d506e21402
Reinöck,	w9_d506e21405
als	w11_d506e21408
auch	w13_d506e21412
al	w15_d506e21415
le	w1_d506e21420
Legatarien	w3_d506e21423
per	w5_d506e21426
Edictum	w7_d506e21429
fürzufordern,	w9_d506e21432
wann	w11_d506e21435
nund	w13_d506e21439
in	w1_d506e21444
dieses	w3_d506e21447
Begehren	w5_d506e21450
gewilliget,	w7_d506e21453
und	w9_d506e21456
der	w11_d506e21459
9te	w13_d506e21463
Jenner	w15_d506e21466
des	w1_d506e21472
künftigen	w3_d506e21475
1761.	w5_d506e21478
Jahrs	w7_d506e21481
zur	w9_d506e21484
Abhandlung	w11_d506e21487
bestim	w13_d506e21491
met	w1_d506e21496
worden.	w3_d506e21499
Als	w5_d506e21502
wird	w7_d506e21505
all=Eingangs=besagten	w9_d506e21508
hie	w11_d506e21511
mit	w1_d506e21516
anbefohlen,	w3_d506e21519
daß	w5_d506e21522
selbe	w7_d506e21525
am	w9_d506e21528
ersten	w11_d506e21531
Tag,	w13_d506e21535
als	w15_d506e21538
dem	w17_d506e21541
</p>
<p id="p14_d506e21547">
9ten	w1_d506e21551
kommenden	w3_d506e21554
Monats	w5_d506e21557
Jenner	w7_d506e21560
1761.	w9_d506e21563
Nachmit	w11_d506e21566
tag	w1_d506e21571
um	w3_d506e21574
2.	w5_d506e21577
Uhr	w7_d506e21580
in	w9_d506e21583
der	w11_d506e21586
Erz	w13_d506e21590
bischöfl.	w15_d506e21593
Consistorial	w17_d506e21596
canzley	w1_d506e21601
ent	w3_d506e21604
veder	w5_d506e21607
selbst	w7_d506e21610
persönlich,	w9_d506e21613
oder	w11_d506e21616
per	w13_d506e21620
Man-	w15_d506e21623
datarios	w1_d506e21629
suihcienter	w3_d506e21632
instructos	w5_d506e21635
pro	w7_d506e21638
termino	w9_d506e21641
primo,	w11_d506e21644
sccundo	w1_d506e21649
&	w3_d506e21652
ter.o	w5_d506e21655
alsogewiß	w7_d506e21658
erscheinen,	w9_d506e21661
als	w11_d506e21664
im	w13_d506e21668
wi	w15_d506e21671
drigen	w1_d506e21676
die	w3_d506e21679
Abwesende	w5_d506e21682
der	w7_d506e21685
Ordnung	w9_d506e21688
nach	w11_d506e21691
vernom	w13_d506e21695
men,	w1_d506e21700
hierüber	w3_d506e21703
was	w5_d506e21706
Rechtens	w7_d506e21709
ist,	w9_d506e21712
fürgekehret,	w11_d506e21715
und	w13_d506e21719
denen	w1_d506e21725
nicht	w3_d506e21728
Erscheinenden	w5_d506e21731
das	w7_d506e21734
ewige	w9_d506e21737
Stillschwei	w11_d506e21740
gen	w1_d506e21745
auferlegt	w3_d506e21748
seyn	w5_d506e21751
sölle.	w7_d506e21754
So	w9_d506e21757
allen	w11_d506e21760
Eingans=be	w13_d506e21764
nannten	w1_d506e21769
hiemit	w3_d506e21772
zu	w5_d506e21775
dem	w7_d506e21778
Ende	w9_d506e21781
erinneret	w11_d506e21784
wird,	w13_d506e21788
damit	w15_d506e21791
dieselbe	w1_d506e21796
sich	w3_d506e21799
darnach	w5_d506e21802
zu	w7_d506e21805
richten,	w9_d506e21808
und	w11_d506e21811
vor	w13_d506e21815
Schaden	w15_d506e21818
zu	w1_d506e21824
hüten	w3_d506e21827
wissen	w5_d506e21830
mögen.	w7_d506e21833
</p>
<p id="p16_d506e21836">
Auf	w1_d506e21840
Verordnung	w3_d506e21843
eines	w5_d506e21846
Hoch	w7_d506e21849
löbl.	w9_d506e21852
in	w11_d506e21855
Wechsel	w13_d506e21859
sachen	w1_d506e21864
aus	w3_d506e21867
Regierung	w5_d506e21870
aufgestellten	w7_d506e21873
Judicii	w9_d506e21876
Delet	w11_d506e21879
werden	w1_d506e21884
in	w3_d506e21887
dem	w5_d506e21890
Burgerischen	w7_d506e21893
Haus	w9_d506e21896
am	w11_d506e21899
hohen	w13_d506e21903
Markt	w15_d506e21906
gerad	w1_d506e21912
bey	w3_d506e21915
der	w5_d506e21918
Schlangen	w7_d506e21921
über	w9_d506e21924
den	w11_d506e21927
9.	w13_d506e21931
Decemb.	w15_d506e21934
Vor	w17_d506e21937
mittag	w1_d506e21942
von	w3_d506e21945
9.	w5_d506e21948
bis	w7_d506e21951
12	w9_d506e21954
Nachmittag	w11_d506e21957
aber	w13_d506e21961
von	w15_d506e21964
3.	w17_d506e21967
bis	w19_d506e21970
6.	w1_d506e21975
Uhr	w3_d506e21978
verschiedene	w5_d506e21981
Seiden	w7_d506e21984
waaren,	w9_d506e21987
als	w11_d506e21990
Sammet,	w13_d506e21994
Atlas,	w1_d506e21999
Damast,	w3_d506e22002
Grosdetours,	w5_d506e22005
Taffet	w7_d506e22008
und	w9_d506e22011
Moir	w11_d506e22014
li	w13_d506e22018
citando	w1_d506e22024
dem	w3_d506e22027
Meist=bietenden	w5_d506e22030
verkauffet	w7_d506e22033
werden.	w9_d506e22036
</p>
<p id="p18_d506e22039">
Den	w1_d506e22043
10.	w3_d506e22046
dies	w5_d506e22049
lauffenden	w7_d506e22052
Monats	w9_d506e22055
Decembris	w11_d506e22058
wird	w1_d506e22063
auf	w3_d506e22066
dem	w5_d506e22069
alhiesigen	w7_d506e22072
Rahthaus,	w9_d506e22075
die	w11_d506e22078
vor	w13_d506e22082
hin	w1_d506e22087
Doctor	w3_d506e22090
Heißlerisch=nunmehro	w5_d506e22093
Lechenschnei	w7_d506e22096
derische	w1_d506e22102
Behausung	w3_d506e22105
dem	w5_d506e22108
Meist	w7_d506e22111
bietenden	w9_d506e22114
verkauf	w11_d506e22117
set	w1_d506e22122
werden;	w3_d506e22125
wer	w5_d506e22128
demnach	w7_d506e22131
solche	w9_d506e22134
Behausung	w11_d506e22137
käufli	w13_d506e22141
chen	w1_d506e22146
an	w3_d506e22149
sich	w5_d506e22152
zu	w7_d506e22155
bringen	w9_d506e22158
willens	w11_d506e22161
ist,	w13_d506e22165
der	w15_d506e22168
hat	w17_d506e22171
sich	w19_d506e22174
an	w21_d506e22177
obbestimmten	w1_d506e22182
Tag	w3_d506e22185
fruhe	w5_d506e22188
um	w7_d506e22191
10.	w9_d506e22194
Uhr	w11_d506e22197
auf	w13_d506e22201
dem	w15_d506e22204
Raht	w17_d506e22207
haus	w1_d506e22213
anzumelden.	w3_d506e22216
</p>
<p id="p20_d506e22221">
Auf	w1_d506e22225
Verordnung	w3_d506e22228
eines	w5_d506e22231
Löbl.	w7_d506e22234
Kaiserl.	w9_d506e22237
Königl.	w11_d506e22240
Stadt	w1_d506e22245
und	w3_d506e22248
Land=gerichts	w5_d506e22251
werden	w7_d506e22254
den	w9_d506e22257
16.	w11_d506e22260
dies	w13_d506e22264
lauffenden	w1_d506e22269
Monats	w3_d506e22272
Decemb.	w5_d506e22275
einige	w7_d506e22278
Effecten	w9_d506e22281
und	w11_d506e22284
Mobilien	w1_d506e22290
(so	w3_d506e22293
in	w5_d506e22296
Tisch,	w7_d506e22299
Canape,	w9_d506e22302
Sesseln,	w11_d506e22305
harten	w13_d506e22309
Gläter	w1_d506e22314
und	w3_d506e22317
Schreib=kästen,	w5_d506e22320
Lein=wäsch,	w7_d506e22323
Klei	w9_d506e22326
dern,	w1_d506e22331
Spiegeln,	w3_d506e22334
Behtern,	w5_d506e22337
samt	w7_d506e22340
Beht=gewand	w9_d506e22343
und	w11_d506e22346
anderen	w1_d506e22351
Haus	w3_d506e22354
gerähtschaften	w5_d506e22357
bestehen)	w7_d506e22360
plus	w9_d506e22363
offe	w11_d506e22366
renti	w1_d506e22372
verkauffet	w3_d506e22375
werden,	w5_d506e22378
wer	w7_d506e22381
nun	w9_d506e22384
von	w11_d506e22387
sothanen	w13_d506e22391
Ef	w15_d506e22394
fecten,	w1_d506e22399
und	w3_d506e22402
Mobilien	w5_d506e22405
etwas	w7_d506e22408
käuflichen	w9_d506e22411
an	w11_d506e22414
sich	w13_d506e22418
zu	w15_d506e22421
bringen	w1_d506e22426
gesinnet	w3_d506e22429
ist,	w5_d506e22432
derselbe	w7_d506e22435
beliebe	w9_d506e22438
sich	w11_d506e22441
an	w13_d506e22445
ob	w15_d506e22448
be	w17_d506e22451
stimmten	w1_d506e22456
Tag	w3_d506e22459
fruhe	w5_d506e22462
um	w7_d506e22465
9	w9_d506e22468
Uhr	w11_d506e22471
in	w13_d506e22475
dem	w15_d506e22478
sogenannt	w17_d506e22481
Pockischen	w1_d506e22487
in	w3_d506e22490
dem	w5_d506e22493
Kumpf=gassel	w7_d506e22496
in	w9_d506e22499
der	w11_d506e22502
neuen	w13_d506e22506
Welt	w1_d506e22511
ligenden	w3_d506e22514
Behausung	w5_d506e22517
einzufinden.	w7_d506e22520
</p>
<p id="p22_d506e22523">
Von	w1_d506e22527
N.	w3_d506e22530
Richter	w5_d506e22533
und	w7_d506e22536
Raht	w9_d506e22539
der	w11_d506e22542
Landes	w13_d506e22546
fürstl.	w15_d506e22549
N.	w1_d506e22554
Oe.	w3_d506e22557
Stadt	w5_d506e22560
Closter=neuburg	w7_d506e22563
wegen,	w9_d506e22566
all	w11_d506e22569
und	w13_d506e22573
jeden,	w1_d506e22578
so	w3_d506e22581
an	w5_d506e22584
den	w7_d506e22587
Joh.	w9_d506e22590
Lambert	w11_d506e22593
Schreiner,	w13_d506e22597
Bur	w15_d506e22600
gerl.	w1_d506e22606
Handels=mann	w3_d506e22609
allhier	w5_d506e22612
einige	w7_d506e22615
Sprüch	w9_d506e22618
und	w11_d506e22621
rechtliche	w1_d506e22626
Anforderungen	w3_d506e22629
zu	w5_d506e22632
haben	w7_d506e22635
vermeinen,	w9_d506e22638
kund	w1_d506e22643
und	w3_d506e22646
zu	w5_d506e22649
wissen	w7_d506e22652
zu	w9_d506e22655
machen,	w11_d506e22658
was	w13_d506e22662
gestalten	w15_d506e22665
man	w1_d506e22670
Obrigkeits	w3_d506e22673
wegen	w5_d506e22676
bemüßigtt	w7_d506e22679
ware,	w9_d506e22682
wegen	w11_d506e22685
verschiedenen	w1_d506e22691
sich	w3_d506e22694
hervorgethanenen	w5_d506e22697
Credits=par	w7_d506e22700
theyen	w1_d506e22705
einen	w3_d506e22708
ordentlichen	w5_d506e22711
Concurs	w7_d506e22714
auszuschreiben,	w9_d506e22717
zu	w1_d506e22722
welchem	w3_d506e22725
Ende	w5_d506e22728
dann	w7_d506e22731
der	w9_d506e22734
9.	w11_d506e22737
Jan.	w13_d506e22741
1761	w15_d506e22744
fruh	w17_d506e22747
um	w1_d506e22752
9.	w3_d506e22755
Uhr	w5_d506e22758
auf	w7_d506e22761
gemeiner	w9_d506e22764
Stadt	w11_d506e22767
Raht=haus	w13_d506e22771
ein	w15_d506e22774
zufinden	w1_d506e22780
bestimmet	w3_d506e22783
worden,	w5_d506e22786
an	w7_d506e22789
welchem	w9_d506e22792
Tag	w11_d506e22795
ein	w13_d506e22799
ziglicher,	w1_d506e22804
so	w3_d506e22807
an	w5_d506e22810
obbesagten	w7_d506e22813
Lambert	w9_d506e22816
Schreiner	w11_d506e22819
</p>
<p id="p24_d506e22823">
Sprüch	w1_d506e22827
zu	w3_d506e22830
haben	w5_d506e22833
vermeinet,	w7_d506e22836
mit	w9_d506e22839
denen	w11_d506e22842
in	w13_d506e22846
Han	w15_d506e22849
den	w1_d506e22854
habenden	w3_d506e22857
Original=documenten	w5_d506e22860
zu	w7_d506e22863
erscheinen	w9_d506e22866
wissen	w1_d506e22871
wird,	w3_d506e22874
wie	w5_d506e22877
dann	w7_d506e22880
zu	w9_d506e22883
Abschneidung	w11_d506e22886
deren	w13_d506e22890
dieser	w1_d506e22896
Maßä	w3_d506e22899
verursachenden	w5_d506e22902
Unkosten	w7_d506e22905
obangesetz	w9_d506e22908
ter	w1_d506e22913
Termin	w3_d506e22916
pro	w5_d506e22919
1mo.	w7_d506e22922
2do.	w9_d506e22925
&	w11_d506e22928
3tic.	w13_d506e22932
hiemit	w15_d506e22935
seine	w17_d506e22938
Kräften	w1_d506e22943
haben	w3_d506e22946
solle,	w5_d506e22949
wie	w7_d506e22952
dann	w9_d506e22955
derjenige,	w11_d506e22958
so	w13_d506e22962
sich	w15_d506e22965
an	w1_d506e22970
obbestimmten,	w3_d506e22973
Tag	w5_d506e22976
nicht	w7_d506e22979
einfinden	w9_d506e22982
wird,	w11_d506e22985
so	w13_d506e22989
dann	w1_d506e22995
mit	w3_d506e22998
seiner	w5_d506e23001
Forderung	w7_d506e23004
nicht	w9_d506e23007
mehr	w11_d506e23010
gehöret	w13_d506e23014
wes	w15_d506e23017
den	w1_d506e23022
solle.	w3_d506e23025
</p>
<p id="p26_d506e23030">
Von	w1_d506e23034
N.	w3_d506e23037
Nichter	w5_d506e23040
und	w7_d506e23043
Raht	w9_d506e23046
der	w11_d506e23049
Landesfürstl.	w13_d506e23053
N	w1_d506e23058
Oe.	w3_d506e23061
Stadt	w5_d506e23064
Closter=neuburg	w7_d506e23067
all	w9_d506e23070
und	w11_d506e23073
jeden,	w13_d506e23077
so	w1_d506e23082
an	w3_d506e23085
den	w5_d506e23088
Franz	w7_d506e23091
Schwaiger,	w9_d506e23094
Burgerl.	w11_d506e23097
Schnei	w13_d506e23101
dermeistern	w1_d506e23107
alhier	w3_d506e23110
einige	w5_d506e23113
Sprüch,	w7_d506e23116
und	w9_d506e23119
rechteche	w11_d506e23122
Anforderungen	w1_d506e23127
zu	w3_d506e23130
haben	w5_d506e23133
vermeinen,	w7_d506e23136
kund	w9_d506e23139
und	w11_d506e23142
zu	w1_d506e23147
wissen	w3_d506e23150
zu	w5_d506e23153
machen,	w7_d506e23156
wasgestalten	w9_d506e23159
man	w11_d506e23162
von	w13_d506e23166
Obrit	w15_d506e23169
keits	w1_d506e23174
wegen	w3_d506e23177
bemüßiget	w5_d506e23180
ware,	w7_d506e23183
wegen	w9_d506e23186
verschieden	w11_d506e23189
sich	w1_d506e23195
hervorgethanen	w3_d506e23198
Credits	w5_d506e23201
partheyen	w7_d506e23204
einen	w9_d506e23207
