<doc id="wr_1756-08-11" attrs="word" year="1756" month="08" day="11" corpus="2">
<head id="h2_d64e2523">
Boston	w1_d64e2527
</p>
<head id="h2_d64e9849">
Lista	w1_d64e9853
deren	w3_d64e9856
Verstorbenen	w5_d64e9859
zu	w7_d64e9862
Wien	w9_d64e9865
in	w1_d64e9870
und	w3_d64e9873
vor	w5_d64e9876
der	w7_d64e9879
Stadt	w9_d64e9882
Den	w1_d64e9887
7.	w3_d64e9890
Augusti.	w5_d64e9893
Jn	w1_d64e9899
der	w3_d64e9902
Stadt.	w5_d64e9905
Niemand.	w7_d64e9908
Vor	w1_d64e9913
der	w3_d64e9916
Stadt.	w5_d64e9919
</head>
<list id="l4_d64e9922">
Bened	w1_d64e9926
Brunnhuber,	w3_d64e9929
Burgerl.	w5_d64e9932
Seiden=färd.,	w7_d64e9935
in	w9_d64e9938
l.	w11_d64e9941
H.	w1_d64e9946
in	w3_d64e9949
der	w5_d64e9952
Leopoldst,	w7_d64e9955
alt	w9_d64e9958
60.	w11_d64e9961
J.	w13_d64e9965
Dem	w1_d64e9970
Phil.	w3_d64e9973
Purbaum,	w5_d64e9976
Burgerl	w7_d64e9979
Wirt.,	w9_d64e9982
s.	w11_d64e9985
W.	w13_d64e9989
Cle	w15_d64e9992
ra,	w1_d64e9998
bey	w3_d64e10001
der	w5_d64e10004
weis.	w7_d64e10007
Schwen.	w9_d64e10010
in	w11_d64e10013
der	w13_d64e10017
Rossau,	w15_d64e10020
22.	w17_d64e10023
J.	w19_d64e10026
Dem	w1_d64e10031
Joh.	w3_d64e10034
Lechner,	w5_d64e10037
Burgerl.	w7_d64e10040
Schnür=mach.,	w9_d64e10043
s.	w11_d64e10046
K.	w13_d64e10050
Elisab.,	w1_d64e10055
beym	w3_d64e10058
gold	w5_d64e10061
Schlös.	w7_d64e10064
am	w9_d64e10067
Spitalberg,	w11_d64e10070
k.J.	w13_d64e10074
Dem	w1_d64e10079
Mart.	w3_d64e10082
Hoch,	w5_d64e10085
Burgerl.	w7_d64e10088
Wirt,	w9_d64e10091
und	w11_d64e10094
Bad=meist	w13_d64e10098
2	w1_d64e10104
s.	w3_d64e10107
W.	w5_d64e10110
Bard.,	w7_d64e10113
im	w9_d64e10116
gem.	w11_d64e10119
Stadt	w13_d64e10123
Wasch=H.	w15_d64e10126
verm	w17_d64e10129
neuen	w1_d64e10134
Thor,	w3_d64e10137
alt	w5_d64e10140
30.	w7_d64e10143
J.	w9_d64e10146
</list>
<list id="l10_d64e10160">
Dem	w1_d64e10164
Anr.	w3_d64e10167
Wißmüller,	w5_d64e10170
Tischl.,	w7_d64e10173
s.	w9_d64e10176
K.	w11_d64e10179
Lorenz,	w13_d64e10183
beym	w15_d64e10186
grün.	w1_d64e10191
Schif	w3_d64e10194
ausser	w5_d64e10197
Maria=hülf,	w7_d64e10200
alt	w9_d64e10203
6.	w11_d64e10206
v.	w13_d64e10210
J.	w15_d64e10213
Dem	w1_d64e10218
Jos.	w3_d64e10221
Stitinger,	w5_d64e10224
Blümel=mach.,	w7_d64e10227
s.	w9_d64e10230
W.	w11_d64e10233
Felici	w13_d64e10237
tas,	w1_d64e10243
bey	w3_d64e10246
denen	w5_d64e10249
3.	w7_d64e10252
Hack.	w9_d64e10255
in	w11_d64e10258
der	w13_d64e10262
Josephst.,	w15_d64e10265
29.	w17_d64e10268
J.	w19_d64e10271
</list>
<head id="h2_d64e10278">
Summa	w1_d64e10282
6.	w3_d64e10285
Person.	w5_d64e10288
darunter	w7_d64e10291
2.	w9_d64e10294
Kinder.	w11_d64e10297
Den	w1_d64e10302
8.	w3_d64e10305
Augusti.	w5_d64e10308
Jn	w1_d64e10313
der	w3_d64e10316
Stadt.	w5_d64e10319
</head>
<list id="l4_d64e10322">
Dem	w1_d64e10326
Hrn.	w3_d64e10329
Phil.	w5_d64e10332
Math.	w7_d64e10335
Ziegler,	w9_d64e10338
Burgerl.	w11_d64e10341
Handels	w13_d64e10345
mann,	w1_d64e10350
s.	w3_d64e10353
K.	w5_d64e10356
Maria	w7_d64e10359
Anna,	w9_d64e10362
im	w11_d64e10365
Eisenhulis.	w13_d64e10369
H.	w15_d64e10372
in	w17_d64e10375
der	w1_d64e10380
Singerstr.,	w3_d64e10383
alt	w5_d64e10386
7.	w7_d64e10389
v.	w9_d64e10392
J.	w11_d64e10395
</list>
<head id="h2_d64e10403">
Vor	w1_d64e10407
der	w3_d64e10410
Stadt.	w5_d64e10413
</head>
<list id="l4_d64e10416">
Dem	w1_d64e10420
Joh.	w3_d64e10423
Schmid,	w5_d64e10426
Burgerl.	w7_d64e10429
Schwerd=feg.,	w9_d64e10432
s.	w11_d64e10435
K.	w13_d64e10439
Joh,	w1_d64e10444
beym	w3_d64e10447
gold.	w5_d64e10450
Adl.	w7_d64e10453
am	w9_d64e10456
Spitalberg,	w11_d64e10459
alt	w13_d64e10463
7.	w15_d64e10466
J.	w17_d64e10469
Dem	w1_d64e10474
Leop.	w3_d64e10477
Huber,	w5_d64e10480
Burgerl	w7_d64e10483
Füterern,	w9_d64e10486
s.	w11_d64e10489
K.	w13_d64e10493
Bard.	w15_d64e10496
bey	w1_d64e10502
denen	w3_d64e10505
3.	w5_d64e10508
Huf.	w7_d64e10511
eis.	w9_d64e10514
in	w11_d64e10517
der	w13_d64e10521
Koht=gas.,	w15_d64e10524
5.	w17_d64e10527
v.	w19_d64e10530
J.	w21_d64e10533
Dem	w1_d64e10538
Andre	w3_d64e10541
Schiderer	w5_d64e10544
Schuh=mach.	w7_d64e10547
s.	w9_d64e10550
K.	w11_d64e10553
Magdal.	w13_d64e10557
beym	w1_d64e10562
rot.	w3_d64e10565
Ochs.	w5_d64e10568
in	w7_d64e10571
der	w9_d64e10574
Josephst.,	w11_d64e10577
alt	w13_d64e10581
5.	w15_d64e10584
v.	w17_d64e10587
J.	w19_d64e10590
Dem	w1_d64e10595
Math.	w3_d64e10598
Kellner,	w5_d64e10601
Kleider=putz.,	w7_d64e10604
s.	w9_d64e10607
K.	w11_d64e10610
Johanna,	w13_d64e10614
beym	w1_d64e10620
rot.	w3_d64e10623
Krebs.	w5_d64e10626
auf	w7_d64e10629
der	w9_d64e10632
Laimgr.,	w11_d64e10635
alt	w13_d64e10639
5.	w15_d64e10642
v.	w17_d64e10645
J.	w19_d64e10648
Dem	w1_d64e10653
Franz	w3_d64e10656
Gabinta,	w5_d64e10659
Lack.,	w7_d64e10662
s.	w9_d64e10665
K.	w11_d64e10668
Magdal.,	w13_d64e10672
bey	w15_d64e10675
der	w1_d64e10680
Stadt	w3_d64e10683
Belgrad	w5_d64e10686
in	w7_d64e10689
der	w9_d64e10692
Josephst,	w11_d64e10695
alt	w13_d64e10699
1.	w15_d64e10702
J.	w17_d64e10705
Greg.	w1_d64e10710
Stegmayr,	w3_d64e10713
Wacht.	w5_d64e10716
zu	w7_d64e10719
Erdberg,	w9_d64e10722
im	w11_d64e10725
Kleinis.	w13_d64e10729
H.	w1_d64e10735
alda,	w3_d64e10738
alt	w5_d64e10741
47.	w7_d64e10744
J.	w9_d64e10747
Dem	w1_d64e10752
Franz	w3_d64e10755
Berger,	w5_d64e10758
Lehen=kutsch.,	w7_d64e10761
s.	w9_d64e10764
W.	w11_d64e10767
Magdal.,	w13_d64e10771
beym	w1_d64e10776
schwarz.	w3_d64e10779
Mohr.	w5_d64e10782
in	w7_d64e10785
der	w9_d64e10788
Josephst.,	w11_d64e10791
alt	w13_d64e10795
29.	w15_d64e10798
J.	w17_d64e10801
Dem	w1_d64e10806
Ant.	w3_d64e10809
Wätzl,	w5_d64e10812
Lehen=kutsch.,	w7_d64e10815
s.	w9_d64e10818
K.	w11_d64e10821
Elisab.,	w13_d64e10825
bey	w15_d64e10828
dem	w1_d64e10834
gold.	w3_d64e10837
Kreutz	w5_d64e10840
oberm	w7_d64e10843
Neustift,	w9_d64e10846
alt	w11_d64e10849
5.	w13_d64e10853
v.	w15_d64e10856
J.	w17_d64e10859
Eine	w1_d64e10864
unbekannte	w3_d64e10867
Manns=pers.,	w5_d64e10870
welche	w7_d64e10873
in	w9_d64e10876
der	w11_d64e10879
Do	w13_d64e10883
nau	w1_d64e10888
ertrunkener	w3_d64e10891
gesunden,	w5_d64e10894
und	w7_d64e10897
im	w9_d64e10900
K.	w11_d64e10903
K.	w13_d64e10907
Was	w15_d64e10910
ser=bau=stadel	w1_d64e10915
vom	w3_d64e10918
K.	w5_d64e10921
K.	w7_d64e10924
Stadt=gericht	w9_d64e10927
beschauet	w11_d64e10930
worden,	w1_d64e10936
alt	w3_d64e10939
bey	w5_d64e10942
40.	w7_d64e10945
J.	w9_d64e10948
</list>
<head id="h2_d64e10955">
Summa	w1_d64e10959
10.	w3_d64e10962
Person.,	w5_d64e10965
darunter	w7_d64e10968
7.	w9_d64e10971
Kinder.	w11_d64e10974
Den	w1_d64e10979
9.	w3_d64e10982
Augusti.	w5_d64e10985
Jn	w1_d64e10990
der	w3_d64e10993
Stadt.	w5_d64e10996
</head>
<list id="l4_d64e10999">
Die	w1_d64e11003
Wol=edel=ged.	w3_d64e11006
Fr.	w5_d64e11009
Eva	w7_d64e11012
Christina	w9_d64e11015
v.	w11_d64e11018
Lechner,	w13_d64e11022
Wittwe,	w1_d64e11027
im	w3_d64e11030
Teuts.	w5_d64e11033
H.,	w7_d64e11036
alt	w9_d64e11039
81.	w11_d64e11042
J.	w13_d64e11046
Fr.	w1_d64e11051
Eve	w3_d64e11054
Prumin,	w5_d64e11057
Wittwe,	w7_d64e11060
bey	w9_d64e11063
denen	w11_d64e11066
2.	w13_d64e11070
bl.	w15_d64e11073
Saul.	w17_d64e11076
auf	w1_d64e11082
der	w3_d64e11085
hohen	w5_d64e11088
Bruck,	w7_d64e11091
alt	w9_d64e11094
73.	w11_d64e11097
J.	w13_d64e11101
Dem	w1_d64e11106
Christoph	w3_d64e11109
Plunderich,	w5_d64e11112
Führern	w7_d64e11115
unterm	w9_d64e11118
Löbl.	w11_d64e11121
Harsts.	w1_d64e11126
Reg.,	w3_d64e11129
s.	w5_d64e11132
K.	w7_d64e11135
Margar.,	w9_d64e11138
beym	w11_d64e11141
Salz=küf.	w13_d64e11145
am	w15_d64e11148
Salz=gr.,	w1_d64e11153
alt	w3_d64e11156
6.	w5_d64e11159
J.	w7_d64e11162
Dem	w1_d64e11168
Georg	w3_d64e11171
Hindteringer,	w5_d64e11174
Lack.,	w7_d64e11177
s.	w9_d64e11180
K.	w11_d64e11183
Elisab.,	w13_d64e11187
im	w15_d64e11190
Brudetschaft=H.	w1_d64e11195
in	w3_d64e11198
der	w5_d64e11201
Teintfaltstr.,	w7_d64e11204
alt	w9_d64e11207
3.	w11_d64e11210
J.	w13_d64e11214
</list>
<head id="h2_d64e11221">
Vor	w1_d64e11225
der	w3_d64e11228
Stadt.	w5_d64e11231
</head>
<list id="l4_d64e11234">
Justina	w1_d64e11238
Zieglerin,	w3_d64e11241
Wittwe,	w5_d64e11244
im	w7_d64e11247
Selbis.	w9_d64e11250
Gart.	w11_d64e11253
in	w13_d64e11257
der	w1_d64e11262
Kobl=gas.,	w3_d64e11265
alt	w5_d64e11268
70.	w7_d64e11271
J.	w9_d64e11274
Dem	w1_d64e11279
Jacob	w3_d64e11282
Jäger,	w5_d64e11285
Reit=kn.,	w7_d64e11288
s.	w9_d64e11291
K.	w11_d64e11294
Anna,	w13_d64e11298
bey	w15_d64e11301
dem	w17_d64e11304
gold	w1_d64e11310
Anker	w3_d64e11313
am	w5_d64e11316
Spitalberg,	w7_d64e11319
alt	w9_d64e11322
4.	w11_d64e11325
J.	w13_d64e11329
Franz	w1_d64e11334
Breiteneder,	w3_d64e11337
alt	w5_d64e11340
17.	w7_d64e11343
J.,	w9_d64e11346
und	w11_d64e11349
Franz	w13_d64e11353
Wiser,	w15_d64e11356
alt	w1_d64e11361
27.	w3_d64e11364
J.,	w5_d64e11367
beyde	w7_d64e11370
bey	w9_d64e11373
denen	w11_d64e11376
FF.	w13_d64e11380
Mis.	w15_d64e11383
</list>
<head id="h2_d64e11390">
Summa	w1_d64e11394
8.	w3_d64e11397
Person.,	w5_d64e11400
darunter	w7_d64e11403
3.	w9_d64e11406
Kinder.	w11_d64e11409
Den	w1_d64e11414
10.	w3_d64e11417
Augusti	w5_d64e11420
Jn	w1_d64e11425
der	w3_d64e11428
Stadt.	w5_d64e11431
</head>
<list id="l4_d64e11434">
Dem	w1_d64e11438
Jacob	w3_d64e11441
Link,	w5_d64e11444
Lack.,	w7_d64e11447
s.	w9_d64e11450
K.	w11_d64e11453
Cathar.,	w13_d64e11457
im	w15_d64e11460
Wacker	w17_d64e11463
dartis.	w1_d64e11468
H.	w3_d64e11471
auf	w5_d64e11474
der	w7_d64e11477
Karntner	w9_d64e11480
bastey,	w11_d64e11483
alt	w13_d64e11487
5.	w15_d64e11490
v.	w17_d64e11493
J.	w19_d64e11496
</list>
<head id="h2_d64e11503">
Vor	w1_d64e11507
der	w3_d64e11510
Stadt.	w5_d64e11513
</head>
<list id="l4_d64e11516">
Anna	w1_d64e11520
Tagwertin,	w3_d64e11523
Wittwe,	w5_d64e11526
in	w7_d64e11529
ihrem	w9_d64e11532
H.	w11_d64e11535
im	w13_d64e11539
Liech	w15_d64e11542
lt	w1_d64e11549
62.	w3_d64e11552
J.	w5_d64e11555
</list>
<list id="l6_d64e11559">
Dem	w1_d64e11563
Zachar.	w3_d64e11566
Peller,	w5_d64e11569
Schneid.,	w7_d64e11572
s.	w9_d64e11575
T.	w11_d64e11578
Elisab.,	w13_d64e11582
im	w15_d64e11585
Schnür	w1_d64e11590
macheris.	w3_d64e11593
H.	w5_d64e11596
auf	w7_d64e11599
der	w9_d64e11602
Wied.,	w11_d64e11605
alt	w13_d64e11609
12.	w15_d64e11612
J.	w17_d64e11615
Dem	w1_d64e11620
Wolf	w3_d64e11623
Rigel,	w5_d64e11626
Roß=haar=handl.,	w7_d64e11629
s.	w9_d64e11632
T.	w11_d64e11635
Rosal.,	w13_d64e11639
beym	w1_d64e11645
gold.	w3_d64e11648
Schlös.	w5_d64e11651
zu	w7_d64e11654
Rämperstorf,	w9_d64e11657
alt	w11_d64e11660
24.	w13_d64e11664
J.	w15_d64e11667
Dem	w1_d64e11672
Lorenz	w3_d64e11675
Lindtner,	w5_d64e11678
Tagw,	w7_d64e11681
s.	w9_d64e11684
K.	w11_d64e11687
Lorenz,	w13_d64e11691
beym	w15_d64e11694
weis.	w1_d64e11699
En	w3_d64e11702
el	w5_d64e11705
in	w7_d64e11708
der	w9_d64e11711
Leopoldst.,	w11_d64e11714
alt	w13_d64e11718
7.	w15_d64e11721
v.	w17_d64e11724
J.	w19_d64e11727
Jacob	w1_d64e11732
Fastner,	w3_d64e11735
alt	w5_d64e11738
18.	w7_d64e11741
J.,	w9_d64e11744
bey	w11_d64e11747
denen	w13_d64e11751
FF.	w15_d64e11754
Mis.	w17_d64e11757
Summa	w1_d64e11763
6.	w3_d64e11766
Person.,	w5_d64e11769
darunter	w7_d64e11772
2.	w9_d64e11775
Kinder.	w11_d64e11778
</list>
<head id="h2_d64e11785">
EDICT.	w1_d64e11789
</head>
<p id="p4_d64e11792">
Von	w1_d64e11796
der	w3_d64e11799
Röm.	w5_d64e11802
Kaiserl.	w7_d64e11805
Königl.	w9_d64e11808
Majestät	w11_d64e11811
N.	w1_d64e11816
Oe.	w3_d64e11819
Regierung	w5_d64e11822
in	w7_d64e11825
Justitz=sachen	w9_d64e11828
wegen,	w11_d64e11831
wird	w1_d64e11836
durch	w3_d64e11839
gegenwärtig=offentliches	w5_d64e11842
Edict	w7_d64e11845
allen	w1_d64e11851
und	w3_d64e11854
jeden	w5_d64e11857
Creditoren,	w7_d64e11860
welche	w9_d64e11863
an	w11_d64e11866
der	w13_d64e11870
Franz=moserischen	w1_d64e11875
Massa	w3_d64e11878
die	w5_d64e11881
neunzehen	w7_d64e11884
repar	w9_d64e11887
tirte	w1_d64e11892
pro	w3_d64e11895
Cento	w5_d64e11898
zu	w7_d64e11901
forderen	w9_d64e11904
haben,	w11_d64e11907
als	w13_d64e11911
be	w15_d64e11914
nanntlich	w1_d64e11919
dem	w3_d64e11922
Dionisio	w5_d64e11925
Archi-mandrits,	w7_d64e11928
denen	w1_d64e11934
Gebrüdern	w3_d64e11937
Kormann	w5_d64e11940
und	w7_d64e11943
Compagl.	w9_d64e11946
von	w1_d64e11951
Straßburg,	w3_d64e11954
dem	w5_d64e11957
Carl	w7_d64e11960
Heinisch	w9_d64e11963
alhier,	w11_d64e11966
dem	w1_d64e11971
Joseph	w3_d64e11974
Anton	w5_d64e11977
Wiseneder	w7_d64e11980
alhier,	w9_d64e11983
dem	w11_d64e11986
Si	w13_d64e11990
mon	w1_d64e11995
Canton	w3_d64e11998
de	w5_d64e12001
Mantua,	w7_d64e12004
denen	w9_d64e12007
Erben	w11_d64e12010
des	w13_d64e12014
David	w1_d64e12020
Fano	w3_d64e12023
von	w5_d64e12026
Modena,	w7_d64e12029
dem	w9_d64e12032
Johann	w11_d64e12035
Baptist	w1_d64e12040
Lorenzini	w3_d64e12043
von	w5_d64e12046
Bologna,	w7_d64e12049
dem	w9_d64e12052
Abra	w11_d64e12055
ham	w1_d64e12060
Sanquinetti,	w3_d64e12063
und	w5_d64e12066
Söhnen	w7_d64e12069
von	w9_d64e12072
Mode	w11_d64e12075
na,	w1_d64e12080
dem	w3_d64e12083
Johann	w5_d64e12086
Baptist	w7_d64e12089
Foullon	w9_d64e12092
von	w11_d64e12095
Brüs	w13_d64e12099
sel,	w1_d64e12105
der	w3_d64e12108
Margareth	w5_d64e12111
Quastin	w7_d64e12114
de	w9_d64e12117
Trehibel,	w11_d64e12120
dem	w1_d64e12125
Franz	w3_d64e12128
Schlechel	w5_d64e12131
alhier,	w7_d64e12134
dem	w9_d64e12137
Wachter	w11_d64e12140
und	w1_d64e12145
Küchl	w3_d64e12148
von	w5_d64e12151
Ulm,	w7_d64e12154
dem	w9_d64e12157
Johann	w11_d64e12160
Bernhard	w13_d64e12164
Doppita	w1_d64e12169
von	w3_d64e12172
Brünn,	w5_d64e12175
dem	w7_d64e12178
Brey	w9_d64e12181
und	w11_d64e12184
Scheid	w13_d64e12188
lin	w1_d64e12194
von	w3_d64e12197
Nürnberg,	w5_d64e12200
dem	w7_d64e12203
Jgnatz	w9_d64e12206
Palatayn	w11_d64e12209
alhier,	w1_d64e12214
dem	w3_d64e12217
Severino	w5_d64e12220
Snidler	w7_d64e12223
von	w9_d64e12226
Berlin,	w11_d64e12229
dem	w1_d64e12234
Johann	w3_d64e12237
Christoph	w5_d64e12240
Falmer	w7_d64e12243
von	w9_d64e12246
Disel	w11_d64e12249
dorf,	w1_d64e12254
dem	w3_d64e12257
Johann	w5_d64e12260
Carl	w7_d64e12263
Balde	w9_d64e12266
von	w11_d64e12269
Amster	w13_d64e12273
dam,	w1_d64e12279
dem	w3_d64e12282
Marx	w5_d64e12285
Friderich	w7_d64e12288
Stenglin	w9_d64e12291
von	w11_d64e12294
Hamburg,	w1_d64e12299
dem	w3_d64e12302
Johann	w5_d64e12305
Vincenz	w7_d64e12308
alhier,	w9_d64e12311
dem	w11_d64e12314
Johann	w1_d64e12319
Gasmahr	w3_d64e12322
alhier,	w5_d64e12325
dem	w7_d64e12328
Joseph	w9_d64e12331
und	w11_d64e12334
Carl	w1_d64e12339
Cagmoni	w3_d64e12342
von	w5_d64e12345
Neapel,	w7_d64e12348
der	w9_d64e12351
Annä	w11_d64e12354
Ma	w13_d64e12358
riä	w1_d64e12364
Pertitat	w3_d64e12367
alhier,	w5_d64e12370
der	w7_d64e12373
Carl	w9_d64e12376
Joseph	w11_d64e12379
d'Oli	w13_d64e12383
vicciani	w1_d64e12388
von	w3_d64e12391
Grätz,	w5_d64e12394
dem	w7_d64e12397
Claudio	w9_d64e12400
de	w11_d64e12403
Comble	w13_d64e12407
alhier,	w1_d64e12412
denen	w3_d64e12415
Söhnen	w5_d64e12418
des	w7_d64e12421
verstorbenen	w9_d64e12424
Chri	w11_d64e12427
stoph	w1_d64e12432
Fraisauffan	w3_d64e12435
von	w5_d64e12438
Salzburg,	w7_d64e12441
denen	w9_d64e12444
Franz	w11_d64e12447
und	w1_d64e12453
Tobias	w3_d64e12456
Krantsky	w5_d64e12459
von	w7_d64e12462
Jägendorf,	w9_d64e12465
dem	w11_d64e12468
Franz	w1_d64e12473
Jacob	w3_d64e12476
Herzog	w5_d64e12479
alhier,	w7_d64e12482
dem	w9_d64e12485
Johann	w11_d64e12488
Baptist	w1_d64e12493
Mayr	w3_d64e12496
aus	w5_d64e12499
Londen,	w7_d64e12502
dem	w9_d64e12505
Sebastian	w11_d64e12508
Mayerlechner	w1_d64e12513
von	w3_d64e12516
Neuhaus,	w5_d64e12519
dem	w7_d64e12522
Christian	w9_d64e12525
Schlenker	w1_d64e12531
von	w3_d64e12534
Lebau,	w5_d64e12537
dem	w7_d64e12540
Philipp	w9_d64e12543
Copet	w11_d64e12546
teli	w1_d64e12551
von	w3_d64e12554
Rom,	w5_d64e12557
und	w7_d64e12560
der	w9_d64e12563
Annä	w11_d64e12566
Franciscä	w13_d64e12570
Se	w15_d64e12573
raert	w1_d64e12578
alhier	w3_d64e12581
kund	w5_d64e12584
und	w7_d64e12587
zu	w9_d64e12590
wissen	w11_d64e12593
gemacht;	w13_d64e12597
Was	w1_d64e12602
massen	w3_d64e12605
bey	w5_d64e12608
ihr	w7_d64e12611
Regierung	w9_d64e12614
in	w11_d64e12617
Justitz	w13_d64e12621
sachen	w1_d64e12627
Jacob	w3_d64e12630
Forster	w5_d64e12633
K.	w7_d64e12636
K.	w9_d64e12639
Tabackapaldo	w11_d64e12642
ober=caßirer	w1_d64e12647
als	w3_d64e12650
gerichtlich	w5_d64e12653
aufgestellt	w7_d64e12656
Mose	w9_d64e12659
rischer	w1_d64e12664
Massä=administrator	w3_d64e12667
gehorsamst	w5_d64e12670
an	w7_d64e12673
gezeiget,	w1_d64e12678
wie	w3_d64e12681
daß	w5_d64e12684
über	w7_d64e12687
zas	w9_d64e12690
wegen	w11_d64e12693
deren	w13_d64e12697
an	w15_d64e12700
</p>
<p id="p8_d64e12705">
ermeldt=Franz=Joseph=moserischen	w1_d64e12709
Massä,	w3_d64e12712
die	w1_d64e12717
19.	w3_d64e12720
repartirte	w5_d64e12723
pro	w7_d64e12726
Cento	w9_d64e12729
zu	w11_d64e12732
forderen	w13_d64e12736
ha	w15_d64e12739
benden	w1_d64e12744
Creditorum	w3_d64e12747
auf	w5_d64e12750
3.	w7_d64e12753
Monat,	w9_d64e12756
als	w11_d64e12759
den	w13_d64e12763
31.	w1_d64e12769
Octob.	w3_d64e12772
1755.	w5_d64e12775
affigirte,	w7_d64e12778
und	w9_d64e12781
den	w11_d64e12784
1	w13_d64e12788
Febr.	w15_d64e12791
dieses	w1_d64e12796
Jahrs	w3_d64e12799
abgenommene	w5_d64e12802
Edict,	w7_d64e12805
binnen	w9_d64e12808
wel	w11_d64e12811
cher	w1_d64e12816
Zeit	w3_d64e12819
sothan=moserische	w5_d64e12822
Creditores	w7_d64e12825
bey	w9_d64e12828
ihme	w1_d64e12833
Forster	w3_d64e12836
dieser	w5_d64e12839
Repartition	w7_d64e12842
halber	w9_d64e12845
zu	w11_d64e12848
er	w13_d64e12852
scheinen	w1_d64e12858
erforderet	w3_d64e12861
worden,	w5_d64e12864
sich	w7_d64e12867
nur	w9_d64e12870
3.	w11_d64e12873
als	w13_d64e12877
die	w1_d64e12882
obbesagt=Carl=heymische	w3_d64e12885
Erben,	w5_d64e12888
Joseph	w7_d64e12891
Anton	w1_d64e12896
Wiseneder,	w3_d64e12899
und	w5_d64e12902
Johann	w7_d64e12905
Baptist	w9_d64e12908
Lo	w11_d64e12911
renzini	w1_d64e12916
sich	w3_d64e12919
angemeldet	w5_d64e12922
hätten,	w7_d64e12925
dahero	w9_d64e12928
wie	w11_d64e12931
derholter	w1_d64e12937
Forster	w3_d64e12940
zu	w5_d64e12943
baldiger	w7_d64e12946
Ausmachung	w9_d64e12949
dieser	w1_d64e12954
Repartitions=sach,	w3_d64e12957
und	w5_d64e12960
Excludirung	w7_d64e12963
deren	w1_d64e12968
übrigen	w3_d64e12971
sich	w5_d64e12974
nicht	w7_d64e12977
angemeldten	w9_d64e12980
Glau	w11_d64e12983
digern,	w1_d64e12988
um	w3_d64e12991
fernere	w5_d64e12994
gerichtliche	w7_d64e12997
Verordnung	w9_d64e13000
gehorsamst	w1_d64e13006
angelanget,	w3_d64e13009
und	w5_d64e13012
gebetten,	w7_d64e13015
und	w9_d64e13018
nun	w1_d64e13023
Sie	w3_d64e13026
Regierung	w5_d64e13029
hierüber	w7_d64e13032
in	w9_d64e13035
einnochmah	w11_d64e13038
lige	w1_d64e13043
Ausfertigung	w3_d64e13046
eines	w5_d64e13049
drey=monatlichen	w7_d64e13052
Edicts	w1_d64e13057
gewilliget;	w3_d64e13060
Als	w5_d64e13063
wird	w7_d64e13066
eingangs	w9_d64e13069
al	w11_d64e13072
len	w1_d64e13078
und	w3_d64e13081
jeden	w5_d64e13084
Moserischen	w7_d64e13087
Creditorn	w9_d64e13090
durch	w11_d64e13093
gegenwärtiges	w1_d64e13098
Edict	w3_d64e13101
abermalen	w5_d64e13104
anbefohlen,	w7_d64e13107
daß	w1_d64e13112
sie	w3_d64e13115
inner	w5_d64e13118
drey	w7_d64e13121
Monaten	w9_d64e13124
à	w11_d64e13127
dato	w13_d64e13131
der	w15_d64e13134
Af	w17_d64e13137
figirung	w1_d64e13142
dieses	w3_d64e13145
Edicts	w5_d64e13148
also	w7_d64e13151
gewiß,	w9_d64e13154
entweder	w11_d64e13157
persörlich,	w1_d64e13163
oder	w3_d64e13166
durch	w5_d64e13169
genugsam	w7_d64e13172
Gevollmäch	w9_d64e13175
tigte	w1_d64e13180
vor	w3_d64e13183
Regierung	w5_d64e13186
sich	w7_d64e13189
melden,	w9_d64e13192
und	w11_d64e13195
ihre	w13_d64e13199
Liquidations=documenta	w1_d64e13204
beybringen,	w3_d64e13207
wie	w5_d64e13210
im	w7_d64e13213
widrigen	w1_d64e13218
die	w3_d64e13221
Repartition	w5_d64e13224
unter	w7_d64e13227
denen	w9_d64e13230
Anwe	w11_d64e13233
senden	w1_d64e13239
vorgenommen,	w3_d64e13242
und	w5_d64e13245
die	w7_d64e13248
Abwesende	w9_d64e13251
hiervon	w1_d64e13256
ausgeschlossen	w3_d64e13259
seyn	w5_d64e13262
sollen.	w7_d64e13265
</p>
<head id="h2_d64e13272">
NOTIFICATION.	w1_d64e13276
</head>
<p id="p4_d64e13279">
Denen	w1_d64e13283
resprctive	w3_d64e13286
Herr	w5_d64e13289
n	w7_d64e13292
Garten=liebhabern	w9_d64e13295
wird	w1_d64e13300
hiemit	w3_d64e13303
dienstlich	w5_d64e13306
zu	w7_d64e13309
wissen	w9_d64e13312
gemacht,	w11_d64e13315
daß	w13_d64e13319
gleichwie	w1_d64e13324
seit	w3_d64e13327
verschiedenen	w5_d64e13330
Jahren,	w7_d64e13333
also	w9_d64e13336
auch	w11_d64e13339
für	w1_d64e13345
gegenwärtiges	w3_d64e13348
Jahr	w5_d64e13351
wiederumen	w7_d64e13354
die	w9_d64e13357
neue	w11_d64e13360
Blumen=zwibel=catalogi	w1_d64e13365
von	w3_d64e13368
denen	w5_d64e13371
sehr	w7_d64e13374
be	w9_d64e13377
rühmten	w1_d64e13382
Blumisten	w3_d64e13385
Herren	w5_d64e13388
Gebrüderen	w7_d64e13391
Jo	w9_d64e13394
hann	w1_d64e13399
und	w3_d64e13402
Mathias	w5_d64e13405
Klefecker	w7_d64e13408
in	w9_d64e13411
Hamburg,	w11_d64e13414
alhier	w1_d64e13420
angekommen,	w3_d64e13423
