<doc id="wr_1758-08-09" attrs="word" year="1758" month="08" day="09" corpus="2">
<head id="h2_d268e3404">
Aachen	w1_d268e3408
welche	w1_d268e20841
auch	w3_d268e20844
von	w5_d268e20847
ihne	w7_d268e20850
angegriffen	w9_d268e20853
wurden;	w11_d268e20856
allein,	w13_d268e20860
da	w15_d268e20863
sie	w17_d268e20866
diese	w19_d268e20869
Vor=posten	w21_d268e20872
von	w23_d268e20875
der	w25_d268e20879
Jnfanterie,	w27_d268e20882
und	w29_d268e20885
auch	w1_d268e20890
mit	w3_d268e20893
Stücken	w5_d268e20896
unterstützet	w7_d268e20899
fanden,	w9_d268e20902
kehreten	w11_d268e20905
sie	w13_d268e20909
nacher	w15_d268e20912
Giessen	w17_d268e20915
zurück,	w19_d268e20918
von	w21_d268e20921
wannen	w23_d268e20924
sie	w25_d268e20928
dem	w1_d268e20934
Herzog	w3_d268e20937
von	w5_d268e20940
Broglio	w7_d268e20943
von	w9_d268e20946
deme,	w11_d268e20949
was	w13_d268e20953
ihnen	w15_d268e20956
begegnet	w17_d268e20959
ware,	w19_d268e20962
Nachricht	w21_d268e20965
gaben.	w23_d268e20968
Sie	w25_d268e20972
hatten	w27_d268e20975
in	w29_d268e20978
dieser	w1_d268e20983
kleinen	w3_d268e20986
Affaire	w5_d268e20989
einige	w7_d268e20992
Mann	w9_d268e20995
verloren,	w11_d268e20998
und	w13_d268e21002
ein	w15_d268e21005
Grenadier=officier	w17_d268e21008
ist	w19_d268e21011
dabey	w21_d268e21014
todt	w23_d268e21017
geblieben.	w25_d268e21021
Der	w1_d268e21026
Herzog	w3_d268e21029
von	w5_d268e21032
Broglio	w7_d268e21035
lagerte	w9_d268e21038
sich	w11_d268e21041
eine	w13_d268e21045
halbe	w15_d268e21048
Meile	w17_d268e21051
von	w19_d268e21054
Giessen,	w21_d268e21057
seinen	w23_d268e21060
rechten	w25_d268e21064
Flügel	w27_d268e21067
an	w29_d268e21070
das	w31_d268e21073
</p>
<p id="p20_d268e21086">
Dorf	w1_d268e21090
Klein=liesser,	w3_d268e21093
den	w5_d268e21096
linken	w7_d268e21099
aber	w9_d268e21102
an	w11_d268e21105
die	w13_d268e21109
Lahn	w15_d268e21112
anlehnend.	w17_d268e21115
Ueber	w19_d268e21118
den	w21_d268e21121
erhaltenen	w23_d268e21124
Rapork	w25_d268e21128
von	w1_d268e21133
dem	w3_d268e21136
Stand	w5_d268e21139
deren	w7_d268e21142
Hessen,	w9_d268e21145
und	w11_d268e21148
von	w13_d268e21152
deme,	w15_d268e21155
was	w17_d268e21158
erst=besagten	w19_d268e21161
Detaschement	w21_d268e21164
den	w23_d268e21167
vorher	w25_d268e21171
gehenden	w1_d268e21176
Tag	w3_d268e21179
begegnet	w5_d268e21182
ware,	w7_d268e21185
begabe	w9_d268e21188
sich	w11_d268e21191
der	w13_d268e21195
Herzog	w15_d268e21198
von	w17_d268e21201
Broglio	w19_d268e21204
mit	w21_d268e21207
allen	w23_d268e21210
Grenadiers	w25_d268e21214
dann	w1_d268e21220
200.	w3_d268e21223
Freywilligen	w5_d268e21226
von	w7_d268e21229
der	w9_d268e21232
Jnfanterie,	w11_d268e21235
und	w13_d268e21239
2.	w15_d268e21242
Stücken,	w17_d268e21245
unter	w19_d268e21248
Voraus=gehung	w21_d268e21251
deren	w23_d268e21254
Dragonern	w1_d268e21259
von	w3_d268e21262
Abschon,	w5_d268e21265
und	w7_d268e21268
deren	w9_d268e21271
Hussaren,	w11_d268e21274
selbst	w13_d268e21278
persönlich	w15_d268e21281
in	w17_d268e21284
das	w19_d268e21287
Dorf	w21_d268e21290
Loller,	w23_d268e21293
die	w25_d268e21297
Jä	w27_d268e21300
ger	w1_d268e21305
von	w3_d268e21308
dem	w5_d268e21311
Fischerischen	w7_d268e21314
Corps	w9_d268e21317
wurden	w11_d268e21320
nacher	w13_d268e21324
Lindorf	w15_d268e21327
abgeschicket,	w17_d268e21330
um	w19_d268e21333
des	w21_d268e21336
Feindes	w23_d268e21339
linken	w25_d268e21343
Flügel	w1_d268e21348
zu	w3_d268e21351
beunruhigen.	w5_d268e21354
Wir	w7_d268e21357
kamen	w9_d268e21360
endlich	w11_d268e21363
zu	w13_d268e21367
Loller	w15_d268e21370
an,	w17_d268e21373
und	w19_d268e21376
wir	w21_d268e21379
sahen,	w23_d268e21382
daß	w25_d268e21386
die	w27_d268e21389
Feinde	w29_d268e21392
eben	w1_d268e21398
noch	w3_d268e21401
den	w5_d268e21404
nämlichen	w7_d268e21407
Posto	w9_d268e21410
innen	w11_d268e21413
hatten;	w13_d268e21417
zumalen	w15_d268e21420
sie	w17_d268e21423
aber	w19_d268e21426
mehr	w21_d268e21429
als	w23_d268e21432
eine	w25_d268e21436
halbe	w27_d268e21439
Meilt	w29_d268e21442
von	w1_d268e21447
uns	w3_d268e21450
entfernet,	w5_d268e21453
und	w7_d268e21456
es	w9_d268e21459
anbey	w11_d268e21462
schon	w13_d268e21466
sehr	w15_d268e21469
spat	w17_d268e21472
ware,	w19_d268e21475
so	w21_d268e21478
bezogen	w23_d268e21481
die	w25_d268e21485
Freywillige	w27_d268e21488
das	w29_d268e21491
Dorf.	w31_d268e21494
die	w1_d268e21499
Hussaren	w3_d268e21502
setzten	w5_d268e21505
sich	w7_d268e21508
voran,	w9_d268e21511
und	w11_d268e21514
der	w13_d268e21518
Rest	w15_d268e21521
der	w17_d268e21524
Armee	w19_d268e21527
lagerte	w21_d268e21530
sich	w23_d268e21533
allda.	w25_d268e21537
Den	w1_d268e21542
16.	w3_d268e21545
verschwand	w5_d268e21548
der	w7_d268e21551
Feind	w9_d268e21554
in	w11_d268e21557
aller	w13_d268e21561
Fruhe,	w15_d268e21564
und	w17_d268e21567
unsere	w19_d268e21570
Hussaren	w21_d268e21573
verfolgten	w23_d268e21576
denselber,	w25_d268e21580
</p>
<p id="p22_d268e21583">
ohne	w1_d268e21587
daß	w3_d268e21590
sie	w5_d268e21593
ihn	w7_d268e21596
jedoch	w9_d268e21599
einholen	w11_d268e21602
konnten.	w13_d268e21606
</p>
<p id="p24_d268e21610">
Als	w1_d268e21614
sie	w3_d268e21617
an	w5_d268e21620
die	w7_d268e21623
anderthalb	w9_d268e21626
Meilen	w11_d268e21629
von	w13_d268e21633
Marburg	w15_d268e21636
bey	w17_d268e21639
Wolfshausen	w19_d268e21642
über	w21_d268e21645
die	w23_d268e21648
Lahn	w25_d268e21652
geschlagen	w27_d268e21655
Brücke	w1_d268e21660
kamen,	w3_d268e21663
erstatteten	w5_d268e21666
sie	w7_d268e21669
dem	w9_d268e21672
Herzog	w11_d268e21675
von	w13_d268e21679
Broglio	w15_d268e21682
den	w17_d268e21685
Raport,	w19_d268e21688
daß	w21_d268e21691
sie	w23_d268e21694
nichts	w25_d268e21698
mehr	w27_d268e21701
vom	w29_d268e21704
Feinde	w1_d268e21709
sähen,	w3_d268e21712
und	w5_d268e21715
daß	w7_d268e21718
dieser	w9_d268e21721
unfehlbar	w11_d268e21724
das	w13_d268e21728
Lager	w15_d268e21731
bey	w17_d268e21734
Marburg	w19_d268e21737
aufgehoben	w21_d268e21740
haben	w23_d268e21743
müste.	w25_d268e21747
Auf	w27_d268e21750
diese	w1_d268e21756
Nachricht	w3_d268e21759
erliesse	w5_d268e21762
der	w7_d268e21765
Herzog	w9_d268e21768
an	w11_d268e21771
das	w13_d268e21775
Detaschement,	w15_d268e21778
welches	w17_d268e21781
zu	w19_d268e21784
Loller	w21_d268e21787
campirte,	w23_d268e21790
den	w25_d268e21794
Befehl,	w27_d268e21797
alsogleich	w1_d268e21802
an	w3_d268e21805
die	w5_d268e21808
Brücke	w7_d268e21811
von	w9_d268e21814
Wolfshausen	w11_d268e21817
zu	w13_d268e21821
rucken,	w15_d268e21824
und	w17_d268e21827
solche	w19_d268e21830
zu	w21_d268e21833
bedecken,	w23_d268e21836
da	w25_d268e21840
indessen	w27_d268e21843
die	w29_d268e21846
Hussaren	w1_d268e21851
nacher	w3_d268e21854
Marburg	w5_d268e21857
marschiren,	w7_d268e21860
und	w9_d268e21863
von	w11_d268e21866
dem	w13_d268e21870
Feind	w15_d268e21873
nähere	w17_d268e21876
Kundschaft	w19_d268e21879
einziehen	w21_d268e21882
sollten	w23_d268e21885
er	w1_d268e21890
selbst	w3_d268e21893
aber	w5_d268e21896
lagerte	w7_d268e21899
sich	w9_d268e21902
zu	w11_d268e21905
Klein=lines,	w13_d268e21909
um	w15_d268e21912
seine	w17_d268e21915
Trupen	w19_d268e21918
ausrasten	w21_d268e21921
zu	w23_d268e21924
lassen,	w25_d268e21928
und	w27_d268e21931
von	w29_d268e21934
dem	w31_d268e21937
Prinzen	w1_d268e21943
von	w3_d268e21946
Soubise,	w5_d268e21949
wegen	w7_d268e21952
Fortsetzung	w9_d268e21955
seines	w11_d268e21958
Marsches,	w13_d268e21962
neue	w15_d268e21965
Jnstructionen	w17_d268e21968
zu	w19_d268e21971
erwarten.	w21_d268e21974
</p>
<p id="p26_d268e21977">
Der	w1_d268e21981
Herr	w3_d268e21984
von	w5_d268e21987
Wurmster,	w7_d268e21990
Commandant	w9_d268e21993
deren	w11_d268e21996
Hussaren,	w13_d268e22000
liesse	w15_d268e22003
gegen	w17_d268e22006
Abend	w19_d268e22009
vermelden,	w21_d268e22012
daß	w23_d268e22015
er	w1_d268e22020
in	w3_d268e22023
Marburg	w5_d268e22026
eingezogen,	w7_d268e22029
und	w9_d268e22032
daß	w11_d268e22035
die	w13_d268e22039
Freywillige	w15_d268e22042
sich	w17_d268e22045
des	w19_d268e22048
Schlosses	w21_d268e22051
bemächtiget	w23_d268e22054
hätten,	w25_d268e22058
in	w27_d268e22061
welchem	w1_d268e22066
sie	w3_d268e22069
zehen	w5_d268e22072
metallene	w7_d268e22075
Canonen,	w9_d268e22078
ohne	w11_d268e22081
einigen	w13_d268e22085
andern	w15_d268e22088
detto,	w17_d268e22091
welche	w19_d268e22094
der	w21_d268e22097
Feind	w23_d268e22100
auf	w25_d268e22104
dem	w27_d268e22107
Weeg	w1_d268e22113
in	w3_d268e22116
dem	w5_d268e22119
Stich	w7_d268e22122
gelassen,	w9_d268e22125
gefunden	w11_d268e22128
hätten,	w13_d268e22132
mit	w15_d268e22135
dem	w17_d268e22138
Beysatz:	w19_d268e22141
Daß	w21_d268e22144
der	w23_d268e22147
Feind	w25_d268e22151
nacher	w27_d268e22154
Casfel	w29_d268e22157
sich	w1_d268e22162
zuruck	w3_d268e22165
ziehe.	w5_d268e22168
Den	w7_d268e22171
17.	w9_d268e22174
campirten	w11_d268e22177
wir	w13_d268e22181
bey	w15_d268e22184
Marburg,	w17_d268e22187
und	w19_d268e22190
hatten	w21_d268e22193
diese	w23_d268e22196
Stadt	w25_d268e22200
an	w27_d268e22203
unserer	w29_d268e22206
Linken=mit	w1_d268e22211
darzwischen	w3_d268e22214
fliessender	w5_d268e22217
Lahn;	w7_d268e22220
unser	w9_d268e22223
rechter	w11_d268e22226
Flügel	w13_d268e22230
aber	w15_d268e22233
erstreckte	w17_d268e22236
sich	w19_d268e22239
bis	w21_d268e22242
Glaßkopfl.	w23_d268e22245
Die	w1_d268e22250
Dragoner	w3_d268e22253
cantonirten;	w5_d268e22256
die	w7_d268e22259
Grenadiers	w9_d268e22262
besetzten	w11_d268e22265
die	w13_d268e22269
Stadt,	w15_d268e22272
und	w17_d268e22275
die	w19_d268e22278
Hussaren	w21_d268e22281
von	w23_d268e22284
Nassau	w25_d268e22288
nebst	w1_d268e22294
denen	w3_d268e22297
Freywilligen	w5_d268e22300
rucketen	w7_d268e22303
bis	w9_d268e22306
vor	w11_d268e22309
das	w13_d268e22313
Angesicht	w15_d268e22316
des	w17_d268e22319
feindlichen	w19_d268e22322
Lagers,	w21_d268e22325
und	w23_d268e22328
es	w25_d268e22332
setzte	w27_d268e22335
hierbey	w1_d268e22340
einen	w3_d268e22343
Scharmützel	w5_d268e22346
ab,	w7_d268e22349
in	w9_d268e22352
welchem	w11_d268e22355
einige	w13_d268e22359
Hanoveraner,	w15_d268e22362
wie	w17_d268e22365
auch	w19_d268e22368
Jäger,	w21_d268e22371
todt	w23_d268e22374
blieben,	w25_d268e22378
auch	w1_d268e22383
einige	w3_d268e22386
bleßirt	w5_d268e22389
wurden.	w7_d268e22392
</p>
<p id="p28_d268e22395">
Den	w1_d268e22399
18ten	w3_d268e22402
erhielte	w5_d268e22405
der	w7_d268e22408
Herzog	w9_d268e22411
von	w11_d268e22414
Broglio	w13_d268e22418
in	w15_d268e22421
aller	w17_d268e22424
Fruh	w19_d268e22427
Nachricht,	w21_d268e22430
daß	w23_d268e22433
die	w25_d268e22437
Feinde	w27_d268e22440
ihr	w1_d268e22445
Lager	w3_d268e22448
aufgehoben,	w5_d268e22451
welches	w7_d268e22454
nicht	w9_d268e22457
weiter	w11_d268e22460
als	w13_d268e22464
anderthalb	w15_d268e22467
Meilen	w17_d268e22470
von	w19_d268e22473
Marburg	w21_d268e22476
entfernet	w23_d268e22479
wa	w25_d268e22483
re,	w1_d268e22488
und	w3_d268e22491
daß	w5_d268e22494
sie	w7_d268e22497
ihren	w9_d268e22500
Weeg	w11_d268e22503
nacher	w13_d268e22507
Cassel	w15_d268e22510
genommen	w17_d268e22513
hätten.	w19_d268e22516
</p>
<p id="p30_d268e22519">
Den	w1_d268e22523
19ten	w3_d268e22526
gienge	w5_d268e22529
die	w7_d268e22532
Absicht	w9_d268e22535
des	w11_d268e22538
Prinzens	w13_d268e22542
von	w15_d268e22545
Soubise	w17_d268e22548
dahin,	w19_d268e22551
daß	w21_d268e22554
der	w23_d268e22557
Herzog	w25_d268e22561
von	w27_d268e22564
Broglio	w1_d268e22569
trachten	w3_d268e22572
möchte,	w5_d268e22575
die	w7_d268e22578
Feinde	w9_d268e22581
einzuholen,	w11_d268e22584
und	w13_d268e22588
sie	w15_d268e22591
zu	w17_d268e22594
einer	w19_d268e22597
Bataille	w21_d268e22600
zu	w23_d268e22603
verleiten;	w25_d268e22607
unser	w27_d268e22610
Corps	w1_d268e22615
wurde	w3_d268e22618
hiernächst	w5_d268e22621
durch	w7_d268e22624
die	w9_d268e22627
Brigade	w11_d268e22630
des	w13_d268e22634
Prinzens	w15_d268e22637
von	w17_d268e22640
Rohan,	w19_d268e22643
welche	w21_d268e22646
aus	w23_d268e22649
4.	w25_d268e22653
Ba	w27_d268e22656
taillons	w1_d268e22662
bestunde,	w3_d268e22665
und	w5_d268e22668
durch	w7_d268e22671
die	w9_d268e22674
aus	w11_d268e22677
4.	w13_d268e22681
Schwadronen	w15_d268e22684
bestehenden	w17_d268e22687
Brigade	w19_d268e22690
von	w21_d268e22693
Würtemberg	w23_d268e22696
verstärket.	w1_d268e22701
Diese	w3_d268e22704
Brigaden,	w5_d268e22707
welche	w7_d268e22710
von	w9_d268e22713
der	w11_d268e22716
Armee	w13_d268e22720
kamen,	w15_d268e22723
lagerten	w17_d268e22726
sich	w19_d268e22729
oberhalb	w21_d268e22732
des	w23_d268e22735
Dor	w25_d268e22739
fes	w1_d268e22744
Kolb,	w3_d268e22747
eine	w5_d268e22750
Meile	w7_d268e22753
vor	w9_d268e22756
Marburg.	w11_d268e22759
Wir	w13_d268e22763
marschierten	w15_d268e22766
diesen	w17_d268e22769
Tag	w19_d268e22772
nicht,	w21_d268e22775
um	w23_d268e22778
unsere	w25_d268e22782
neue	w27_d268e22785
Brigaden	w1_d268e22790
ausrasten	w3_d268e22793
zu	w5_d268e22796
lassen,	w7_d268e22799
und	w9_d268e22802
den	w11_d268e22805
folgenden	w13_d268e22809
Tag	w15_d268e22812
mit	w17_d268e22815
ihnen	w19_d268e22818
zugleich	w21_d268e22821
aufzubrechen.	w23_d268e22824
</p>
<p id="p32_d268e22827">
Den	w1_d268e22831
20sten	w3_d268e22834
lagerten	w5_d268e22837
wir	w7_d268e22840
uns	w9_d268e22843
jenseits	w11_d268e22846
des	w13_d268e22850
Dorfes	w15_d268e22853
Holzdorf,	w17_d268e22856
4.	w19_d268e22859
Meilen	w21_d268e22862
von	w23_d268e22865
Marburg	w25_d268e22869
und	w1_d268e22874
anderthalb	w3_d268e22877
Meilen	w5_d268e22880
vor	w7_d268e22883
dem	w9_d268e22886
feindlichen	w11_d268e22889
Lager.	w13_d268e22893
Der	w15_d268e22896
Herzog	w17_d268e22899
von	w19_d268e22902
Broglio	w21_d268e22905
suchte	w23_d268e22908
einen	w25_d268e22912
Marsch	w1_d268e22917
dem	w3_d268e22920
Feind	w5_d268e22923
abzugewinnen,	w7_d268e22926
und	w9_d268e22929
weilen	w11_d268e22932
dieser	w13_d268e22936
schon	w15_d268e22939
gewohnt	w17_d268e22942
ware,	w19_d268e22945
unsere	w21_d268e22948
Hussaren	w23_d268e22951
an	w25_d268e22955
lezeit	w1_d268e22961
3.	w3_d268e22964
und	w5_d268e22967
4.	w7_d268e22970
Meilen	w9_d268e22973
vor	w11_d268e22976
der	w13_d268e22980
Armee	w15_d268e22983
voraus	w17_d268e22986
zu	w19_d268e22989
sehen,	w21_d268e22992
so	w23_d268e22995
liesse	w25_d268e22999
er	w27_d268e23002
dieses	w29_d268e23005
mal	w31_d268e23008
sein	w33_d268e23011
ganzer	w35_d268e23014
Corps	w1_d268e23019
beysammen	w3_d268e23022
marschieren,	w5_d268e23025
und	w7_d268e23028
zwar	w9_d268e23031
die	w11_d268e23034
Hussaren	w13_d268e23038
voran;	w15_d268e23041
so	w17_d268e23044
bald	w19_d268e23047
wir	w21_d268e23050
aber	w23_d268e23053
an	w25_d268e23057
Ort	w27_d268e23060
und	w29_d268e23063
Stelle	w1_d268e23068
angelanget	w3_d268e23071
waren,	w5_d268e23074
so	w7_d268e23077
liesse	w9_d268e23080
er	w11_d268e23083
die	w13_d268e23087
Hussaren	w15_d268e23090
ausrucken,	w17_d268e23093
um	w19_d268e23096
zu	w21_d268e23099
sehen,	w23_d268e23102
ob	w25_d268e23106
der	w27_d268e23109
Feind	w29_d268e23112
noch	w31_d268e23115
</p>
<p id="p38_d268e23129">
zinvirte;	w1_d268e23133
sie	w3_d268e23136
musten	w5_d268e23139
auch	w7_d268e23142
zugleich	w9_d268e23145
das	w11_d268e23148
nur	w13_d268e23152
eine	w15_d268e23155
halbe	w17_d268e23158
Meile	w19_d268e23161
von	w21_d268e23164
dem	w23_d268e23167
feindlichen	w25_d268e23171
Lager	w27_d268e23174
ent	w29_d268e23177
fernte	w1_d268e23182
Dorf	w3_d268e23185
Gisselberg	w5_d268e23188
recognosciren,	w7_d268e23191
um	w9_d268e23194
zu	w11_d268e23197
erfahren,	w13_d268e23201
ob	w15_d268e23204
solches	w17_d268e23207
von	w19_d268e23210
dem	w21_d268e23213
Feind	w23_d268e23216
besetzt	w25_d268e23220
seye,	w27_d268e23223
und	w1_d268e23228
von	w3_d268e23231
allem	w5_d268e23234
diesem	w7_d268e23237
dem	w9_d268e23240
Herzog	w11_d268e23243
von	w13_d268e23247
Broglio	w15_d268e23250
Bericht	w17_d268e23253
abstatten;	w19_d268e23256
als	w21_d268e23259
sie	w23_d268e23262
aber	w25_d268e23266
auf	w27_d268e23269
eine	w29_d268e23272
ge	w31_d268e23275
wisse	w1_d268e23281
Distanz	w3_d268e23284
alldahin	w5_d268e23287
ankamen,	w7_d268e23290
fanden	w9_d268e23293
sie	w11_d268e23296
das	w13_d268e23300
feindliche	w15_d268e23303
Lager	w17_d268e23306
aufgehoben,	w19_d268e23309
und	w21_d268e23312
da	w23_d268e23315
sie	w25_d268e23319
gegen	w27_d268e23322
Gisselberg	w1_d268e23327
zu	w3_d268e23330
ritten,	w5_d268e23333
trafen	w7_d268e23336
sie	w9_d268e23339
daselbst	w11_d268e23342
die	w13_d268e23346
Hanövrische	w15_d268e23349
Jäger	w17_d268e23352
an,	w19_d268e23355
mit	w21_d268e23358
welchen	w23_d268e23361
sie	w25_d268e23365
in	w27_d268e23368
ein	w29_d268e23371
Schar	w31_d268e23374
mützel	w1_d268e23379
geriethen;	w3_d268e23382
dieses	w5_d268e23385
daurete	w7_d268e23388
bey	w9_d268e23391
anderthalb	w11_d268e23394
Stunden,	w13_d268e23398
ohne	w15_d268e23401
jedoch	w17_d268e23404
ein	w19_d268e23407
oder	w21_d268e23410
anderseitigen	w23_d268e23413
Verlust.	w1_d268e23418
Unsere	w3_d268e23421
Hussaren	w5_d268e23424
trieben	w7_d268e23427
die	w9_d268e23430
Jäger	w11_d268e23433
bis	w13_d268e23437
an	w15_d268e23440
das	w17_d268e23443
Dorf	w19_d268e23446
Jesberg,	w21_d268e23449
2.	w23_d268e23452
Meilen	w25_d268e23456
weit	w27_d268e23459
zu	w29_d268e23462
rücke,	w1_d268e23468
und	w3_d268e23471
blieben	w5_d268e23474
allda	w7_d268e23477
über	w9_d268e23480
Nacht,	w11_d268e23483
worbey	w13_d268e23487
sie	w15_d268e23490
die	w17_d268e23493
Pickets	w19_d268e23496
von	w21_d268e23499
unseren	w23_d268e23502
Freywilligen	w25_d268e23506
in	w27_d268e23509
lei	w29_d268e23512
termäßig	w1_d268e23517
abgetheilt	w3_d268e23520
und	w5_d268e23523
bis	w7_d268e23526
an	w9_d268e23529
das	w11_d268e23532
eine	w13_d268e23536
einzige	w15_d268e23539
Meile	w17_d268e23542
vor	w19_d268e23545
unserem	w21_d268e23548
Lager	w23_d268e23551
ligende	w25_d268e23555
mit	w27_d268e23558
einer	w29_d268e23561
Anzahl	w1_d268e23566
unseriger	w3_d268e23569
Grenadiers,	w5_d268e23572
und	w7_d268e23575
Dragonern	w9_d268e23578
besetzte	w11_d268e23581
Dorf	w13_d268e23585
Josburg	w15_d268e23588
postirten	w17_d268e23591
Reihen,	w19_d268e23594
hin	w21_d268e23597
ter	w1_d268e23602
sich	w3_d268e23605
hatten.	w5_d268e23608
</p>
<p id="p40_d268e23611">
Den	w1_d268e23615
21.	w3_d268e23618
lagerten	w5_d268e23621
wir	w7_d268e23624
uns	w9_d268e23627
bey	w11_d268e23630
Jesberg;	w13_d268e23634
und	w15_d268e23637
sobald	w17_d268e23640
der	w19_d268e23643
Herzog	w21_d268e23646
von	w23_d268e23649
Broglio	w25_d268e23653
allda	w27_d268e23656
angelanget	w1_d268e23661
ware,	w3_d268e23664
schickte	w5_d268e23667
er	w7_d268e23670
die	w9_d268e23673
Hussaren	w11_d268e23676
eine	w13_d268e23680
Meile	w15_d268e23683
weit	w17_d268e23686
gegen	w19_d268e23689
Fritzlar,	w21_d268e23692
allwo	w23_d268e23695
der	w25_d268e23699
Feind	w27_d268e23702
campirte,	w1_d268e23707
und	w3_d268e23710
befahle	w5_d268e23713
ihnen	w7_d268e23716
zugleich,	w9_d268e23719
ihren	w11_d268e23722
Marsch,	w13_d268e23726
so	w15_d268e23729
viel	w17_d268e23732
möglich,	w19_d268e23735
zu	w21_d268e23738
verbergen,	w23_d268e23741
und	w25_d268e23745
den	w27_d268e23748
Feind	w1_d268e23754
zu	w3_d268e23757
observiren,	w5_d268e23760
jedoch	w7_d268e23763
nicht	w9_d268e23766
zu	w11_d268e23769
avanciren,	w13_d268e23773
noch	w15_d268e23776
förmlich	w17_d268e23779
zu	w19_d268e23782
recognosciren,	w21_d268e23785
sondern	w23_d268e23788
sich	w25_d268e23792
wol	w1_d268e23797
versteckt	w3_d268e23800
zu	w5_d268e23803
halten,	w7_d268e23806
bis	w9_d268e23809
sie	w11_d268e23812
neue	w13_d268e23816
Ordre	w15_d268e23819
empfangen	w17_d268e23822
wurden;	w19_d268e23825
worbey	w21_d268e23828
sie	w23_d268e23831
zwar	w25_d268e23835
einige	w27_d268e23838
Patrouillen	w1_d268e23843
ausschicken	w3_d268e23846
könten,	w5_d268e23849
aber	w7_d268e23852
bey	w9_d268e23855
erster	w11_d268e23858
Rencontre	w13_d268e23862
sogleich	w15_d268e23865
die	w17_d268e23868
Flucht	w19_d268e23871
nehmen	w21_d268e23874
sollten,	w23_d268e23877
um	w1_d268e23882
dem	w3_d268e23885
Feind	w5_d268e23888
glauben	w7_d268e23891
zu	w9_d268e23894
machen,	w11_d268e23897
daß	w13_d268e23901
sie	w15_d268e23904
nicht	w17_d268e23907
unterstützet	w19_d268e23910
wären,	w21_d268e23913
und	w23_d268e23916
also	w25_d268e23920
den	w27_d268e23923
Prinzen	w29_d268e23926
von	w31_d268e23929
Jsenburg	w1_d268e23935
das	w3_d268e23938
Vertrauen	w5_d268e23941
beyzubringen,	w7_d268e23944
daß	w9_d268e23947
er	w11_d268e23950
annoch	w13_d268e23954
in	w15_d268e23957
seinem	w17_d268e23960
Lager	w19_d268e23963
bleibe;	w21_d268e23966
indessen	w23_d268e23969
wur	w25_d268e23973
den	w1_d268e23978
die	w3_d268e23981
Grenadiers	w5_d268e23984
und	w7_d268e23987
Dragoner	w9_d268e23990
nebst	w11_d268e23993
unseren	w13_d268e23997
2.	w15_d268e24000
Artillerie=brigaden	w17_d268e24003
in	w19_d268e24006
das	w21_d268e24009
Dorf	w23_d268e24012
Katzen	w25_d268e24016
hausen,	w1_d268e24021
2.	w3_d268e24024
kleine	w5_d268e24027
Meilen	w7_d268e24030
von	w9_d268e24033
unserem	w11_d268e24036
Lager,	w13_d268e24040
vorzurucken	w15_d268e24043
beorderet.	w17_d268e24046
</p>
<p id="p42_d268e24049">
Der	w1_d268e24053
Herzog	w3_d268e24056
von	w5_d268e24059
Broglio	w7_d268e24062
wurde	w9_d268e24065
um	w11_d268e24068
8.	w13_d268e24072
Uhr	w15_d268e24075
Abends	w17_d268e24078
versicheret,	w19_d268e24081
daß	w21_d268e24084
die	w23_d268e24087
Feinde	w25_d268e24091
noch	w27_d268e24094
in	w29_d268e24097
ihrem	w1_d268e24102
Lager	w3_d268e24105
wären;	w5_d268e24108
er	w7_d268e24111
liesse	w9_d268e24114
dahero	w11_d268e24117
alsogleich	w13_d268e24121
alle	w15_d268e24124
nöhtige	w17_d268e24127
Vorkehrungen	w19_d268e24130
machen,	w21_d268e24133
um	w23_d268e24136
ganz	w25_d268e24140
leicht	w1_d268e24145
gegen	w3_d268e24148
sie	w5_d268e24151
zu	w7_d268e24154
marschiren,	w9_d268e24157
und	w11_d268e24160
vor	w13_d268e24164
anbrechenden	w15_d268e24167
Tag	w17_d268e24170
bey	w19_d268e24173
selben	w21_d268e24176
einzutreffen;	w23_d268e24179
er	w25_d268e24183
brache	w27_d268e24186
dahero	w1_d268e24192
um	w3_d268e24195
11.	w5_d268e24198
Uhr	w7_d268e24201
Nachts	w9_d268e24204
ganz	w11_d268e24207
in	w13_d268e24211
der	w15_d268e24214
Stille	w17_d268e24217
auf,	w19_d268e24220
und	w21_d268e24223
marschirte	w23_d268e24226
nach	w25_d268e24230
Fritzlar;	w27_d268e24233
weilen	w29_d268e24236
aber	w31_d268e24239
der	w1_d268e24244
Prinz	w3_d268e24247
von	w5_d268e24250
Jsenburg	w7_d268e24253
Nachricht	w9_d268e24256
erhalten	w11_d268e24259
hatte,	w13_d268e24263
daß	w15_d268e24266
wir	w17_d268e24269
unsere	w19_d268e24272
Artillerie	w21_d268e24275
vorrucken	w23_d268e24278
lassen,	w25_d268e24282
so	w1_d268e24287
bemerkte	w3_d268e24290
er	w5_d268e24293
unfehlbar	w7_d268e24296
unsere	w9_d268e24299
Absicht,	w11_d268e24302
und,	w13_d268e24306
gleichwie	w15_d268e24309
er	w17_d268e24312
gewohnt	w19_d268e24315
ware,	w21_d268e24318
nach	w23_d268e24321
Maaß	w25_d268e24325
unseret	w27_d268e24328
Vorruckungen,	w1_d268e24333
sich	w3_d268e24336
allzeit	w5_d268e24339
zuruck	w7_d268e24342
zu	w9_d268e24345
ziehen,	w11_d268e24348
so	w13_d268e24352
brache	w15_d268e24355
er	w17_d268e24358
um	w19_d268e24361
halb	w21_d268e24364
11.	w23_d268e24367
