<doc id="edoc_wd_1762-07-14" attrs="word" year="1762" month="07" day="14" corpus="1">
<head id="hl1">
Petersburg	w39
Pers	w3644
<g/>
.
<g/>
,
darunter	w3647
0	w3648
<g/>
.
Kind	w3650
<g/>
.
</list>
<p id="p32">
Bey	w3652
Hrn	w3653
<g/>
.
Franz	w3655
Bochini	w3656
<g/>
,
Burgerl	w3658
<g/>
.
Specerey=handlern	w3660
<g/>
=
<g/>
,
sind	w3663
zu	w3664
haben	w3665
<g/>
,
die	w3667
neu	w3668
von	w3669
besonderer	w3670
Gattung	w3671
und	w3672
besten	w3673
Geschmack	w3674
sogenannte	w3675
Trie=stiner	w3676
<g/>
=
Häringe	w3678
<g/>
.
</p>
<p id="p33">
Bey	w3680
dem	w3681
Univerfitäts	w3682
<g/>
=
buchdrucker	w3684
Gerog	w3685
Lud=wig	w3686
<g/>
=
Schulz	w3688
<g/>
,
in	w3690
der	w3691
Römer	w3692
<g/>
=
strasse	w3694
<g/>
,
neben	w3696
den	w3697
Ja=coberinnen	w3698
<g/>
=
<g/>
,
sind	w3701
gedruckt	w3702
und	w3703
zu	w3704
haben	w3705
<g/>
:
</p>
<p id="p34">
Die	w3707
Welt	w3708
<g/>
.
Eine	w3710
Wochenschrift	w3711
<g/>
.
Et	w3713
je	w3714
serai	w3715
le	w3716
seul	w3717
qui	w3718
ne	w3719
pourrai	w3720
rien	w3721
dire	w3722
<g/>
?
On	w3724
sera	w3725
1i-dicule	w3726
<g/>
-
<g/>
,
<g/>
&
je	w3730
n	w3731
oserai	w3732
rire	w3733
<g/>
?
Boileau	w3735
<g/>
.
Des	w3737
ersten	w3738
Jahrgangs	w3739
erster	w3740
Band	w3741
à	w3742
1	w3743
<g/>
.
fl	w3745
<g/>
.
42	w3747
<g/>
.
kr	w3749
<g/>
.
Wird	w3751
con-tinuiret	w3752
<g/>
-
<g/>
.
</p>
<p id="p35">
Rede	w3755
auf	w3756
Marien	w3757
Theresien	w3758
<g/>
,
Kaiserin	w3760
Königin	w3761
<g/>
,
von	w3763
Hungarn	w3764
und	w3765
Böheim	w3766
<g/>
.
An	w3768
ihrem	w3769
Geburts=tage	w3770
<g/>
=
gehalten	w3772
<g/>
,
ven	w3774
J	w3775
<g/>
.
e	w3777
<g/>
.
v	w3779
<g/>
.
Sonnenfels	w3781
<g/>
,
4to	w3783
17	w3784
<g/>
.
kr	w3786
<g/>
.
</p>
<p id="p36">
P	w3788
<g/>
.
von	w3790
Chavenettes	w3791
Staatsgeschichte	w3792
von	w3793
der	w3794
Vermählung	w3795
Sr	w3796
<g/>
.
Königl	w3798
<g/>
.
Hoheit	w3800
des	w3801
Erzherzog	w3802
Josephs	w3803
<g/>
.
Aus	w3805
dem	w3806
Französischen	w3807
übersetzt	w3808
<g/>
,
8vo	w3810
17	w3811
<g/>
.
kr	w3813
<g/>
.
</p>
<p id="p37">
Manuale	w3815
vom	w3816
Gebrauch	w3817
und	w3818
Recht	w3819
der	w3820
Wech=selbriefe	w3821
<g/>
=
<g/>
,
besonders	w3824
nach	w3825
der	w3826
Wienerischen	w3827
Wech=sel	w3828
<g/>
=
<g/>
=
ordnung	w3831
<g/>
,
von	w3833
Ph	w3834
<g/>
.
C	w3836
<g/>
.
Meyer	w3838
<g/>
,
kaiserl	w3840
<g/>
.
Nota=rio	w3842
<g/>
=
<g/>
,
8vo	w3845
24	w3846
<g/>
.
kr	w3848
<g/>
.
</p>
<p id="p38">
Versuch	w3850
von	w3851
den	w3852
Ursachen	w3853
der	w3854
gegenwärtig	w3855
all=inen	w3856
<g/>
=
Brustkrankheiten	w3858
<g/>
,
8vo	w3860
7	w3861
<g/>
.
kr	w3863
<g/>
.
</p>
<p id="p39">
Discoues	w3865
historique	w3866
sur	w3867
ce	w3868
qui	w3869
s'est	w3870
passe	w3871
en	w3872
Europe	w3873
depuis	w3874
1450	w3875
<g/>
.
jusqu'a	w3877
1500	w3878
<g/>
.
par	w3880
le	w3881
R	w3882
<g/>
.
P	w3884
<g/>
.
Rerens	w3886
de	w3887
la	w3888
Comp	w3889
<g/>
.
de	w3891
Jesus	w3892
<g/>
,
4to	w3894
24	w3895
<g/>
.
kr	w3897
<g/>
.
</p>
<p id="p40">
Proprium	w3899
Sanctorum	w3900
EcclesiæEcclesiae	w3901
Metropol	w3902
<g/>
.
<g/>
&
Archid	w3905
<g/>
.
Viennenfis	w3907
<g/>
,
cui	w3909
adjuncta	w3910
sunt	w3911
Festa	w3912
no-va	w3913
<g/>
-
<g/>
.
Auf	w3916
Schreibpapier	w3917
30	w3918
<g/>
.
kr	w3920
<g/>
.
</p>
<p id="p41">
Disseriation	w3922
sar	w3923
les	w3924
Bains	w3925
des	w3926
Orientaux	w3927
<g/>
,
par	w3929
M	w3930
<g/>
.
Timony	w3932
Doct	w3933
<g/>
.
en	w3935
Med	w3936
<g/>
.
à	w3938
Constantinople	w3939
<g/>
,
41o	w3941
17	w3942
<g/>
.
kr	w3944
<g/>
.
</p>
<p id="p42">
<g/>
-
sur	w3947
l'Inoculation	w3948
de	w3949
la	w3950
petite	w3951
Verole	w3952
<g/>
,
p	w3954
<g/>
.
le	w3956
meme	w3957
<g/>
,
4to	w3959
17	w3960
<g/>
.
kr	w3962
<g/>
.
</p>
<p id="p43">
Von	w3964
der	w3965
N	w3966
<g/>
.
Oe	w3968
<g/>
.
Regierung	w3970
wegen	w3971
wird	w3972
mit	w3973
ge=genwärtig	w3974
<g/>
=
offenem	w3976
Ediet	w3977
jedermänniglich	w3978
<g/>
,
sowol	w3980
An	w3981
<g/>
=
als	w3983
Abwesenden	w3984
<g/>
,
deme	w3986
daran	w3987
gelegen	w3988
<g/>
,
kund	w3990
und	w3991
zu	w3992
wissen	w3993
gemacht	w3994
<g/>
:
Es	w3996
seye	w3997
der	w3998
Johann	w3999
Wel=burger	w4000
<g/>
=
<g/>
,
gewester	w4003
Pensionisten	w4004
<g/>
=
leutenant	w4006
des	w4007
Harra=chischen	w4008
<g/>
=
Jnfanterie	w4010
<g/>
=
regiments	w4012
<g/>
,
in	w4014
dem	w4015
K	w4016
<g/>
.
K	w4018
<g/>
.
Spa=nischen	w4020
<g/>
=
Spital	w4022
allhier	w4023
ohne	w4024
hinterlassen	w4025
<g/>
=
letztwilli-gen	w4027
<g/>
-
Geschäft	w4029
mit	w4030
Tod	w4031
abgegangen	w4032
<g/>
,
und	w4034
habe	w4035
sich	w4036
hinnach	w4037
um	w4038
desselben	w4039
ab	w4040
intestato	w4041
ruckgebliebene	w4042
Verlassenschaft	w4043
der	w4044
Zeit	w4045
niemand	w4046
angemeldet	w4047
<g/>
;
Wann	w4049
nun	w4050
Regierung	w4051
um	w4052
die	w4053
etwann	w4054
ein	w4055
<g/>
=
oder	w4057
anderen	w4058
bey	w4059
dieser	w4060
Verlassenschaft	w4061
von	w4062
rechtswe=gen	w4063
<g/>
=
gebührend	w4065
<g/>
=
nähere	w4067
Erb	w4068
<g/>
=
sprüch	w4070
in	w4071
Erfahrung	w4072
zu	w4073
bringen	w4074
<g/>
,
anbey	w4076
aber	w4077
das	w4078
etwann	w4079
vorhandene	w4080
Es	w4081
alienum	w4082
ausfindig	w4083
zu	w4084
machen	w4085
<g/>
,
folgsam	w4087
zu	w4088
Ab=handlung	w4089
<g/>
=
solcher	w4091
Verlassenschaft	w4092
sicher	w4093
fürschreiten	w4094
</p>
<p id="p44">
zu	w4095
können	w4096
<g/>
,
eine	w4098
Nohtdurft	w4099
zu	w4100
seyn	w4101
befunden	w4102
hat	w4103
<g/>
,
alle	w4105
hieran	w4106
Theil	w4107
<g/>
=
nehmende	w4109
sowol	w4110
in	w4111
<g/>
=
als	w4113
ausser	w4114
Land	w4115
befindliche	w4116
Personen	w4117
durch	w4118
dieses	w4119
offentliche	w4120
Ediet	w4121
zu	w4122
Anmeld	w4123
<g/>
=
Leaitimir	w4125
und	w4126
Liquidirung	w4127
ibrer	w4128
an	w4129
obbemeldte	w4130
Verlassenschaft	w4131
ex	w4132
quacunque	w4133
cau-sa	w4134
<g/>
-
vel	w4136
titulo	w4137
habender	w4138
Sprüch	w4139
<g/>
=
und	w4141
Forderungen	w4142
Gerichtl	w4143
<g/>
.
vorzuladen	w4145
und	w4146
einzuberuffen	w4147
<g/>
,
zu	w4149
wel=chem	w4150
<g/>
=
Ende	w4152
dann	w4153
denenselben	w4154
der	w4155
19	w4156
<g/>
.
des	w4158
künftigen	w4159
Monats	w4160
Augusti	w4161
1762	w4162
<g/>
.
Nachmittag	w4164
um	w4165
3	w4166
<g/>
.
Uhr	w4168
zur	w4169
gewönlichen	w4170
Convocations	w4171
<g/>
=
und	w4173
Anmeldungs=tagsatzung	w4174
<g/>
=
zu	w4176
all	w4177
<g/>
=
endlicher	w4179
Frist	w4180
anberaumet	w4181
wor=den	w4182
<g/>
=
<g/>
.
Solchemnach	w4185
werden	w4186
all	w4187
<g/>
=
und	w4189
jede	w4190
<g/>
,
welche	w4192
bey	w4193
gedacht	w4194
<g/>
=
Weburgerischen	w4196
ruckgebliebenen	w4197
Verlassenschaft	w4198
um	w4199
rechtmäßiger	w4200
Erbs	w4201
oder	w4202
Schuld=forderung	w4203
<g/>
=
<g/>
=
willen	w4206
einige	w4207
Sprüch	w4208
haben	w4209
<g/>
,
oder	w4211
zu	w4212
ha=ben	w4213
<g/>
=
vermeinen	w4215
an	w4216
obbestimmten	w4217
Tag	w4218
und	w4219
Stund	w4220
vor	w4221
Regierung	w4222
in	w4223
der	w4224
daselbst	w4225
zu	w4226
solchem	w4227
Ende	w4228
of=fen	w4229
<g/>
=
haltenden	w4231
Commißions	w4232
<g/>
=
stuben	w4234
entweder	w4235
selbst	w4236
persönlich	w4237
oder	w4238
durch	w4239
hiezu	w4240
genugsam	w4241
gevollmäch=tigte	w4242
<g/>
=
Gewalt	w4244
<g/>
=
tragere	w4246
alsogewiß	w4247
zu	w4248
erscheinen	w4249
<g/>
,
und	w4251
ihre	w4252
an	w4253
solche	w4254
Verlassenschaft	w4255
habende	w4256
Anforde=rungen	w4257
<g/>
=
anzumelden	w4259
<g/>
,
rechtlich	w4261
zu	w4262
legitimiren	w4263
<g/>
,
und	w4265
zu	w4266
liquidiren	w4267
haben	w4268
<g/>
,
als	w4270
im	w4271
widrigen	w4272
die	w4273
Ab=handlung	w4274
<g/>
=
gleichwolen	w4276
vorgenommen	w4277
<g/>
,
und	w4279
unge=hindert	w4280
<g/>
=
deren	w4282
etwan	w4283
vorhandenen	w4284
Erbs	w4285
<g/>
=
präten=denten	w4287
<g/>
=
oder	w4289
Glaubigern	w4290
<g/>
,
so	w4292
sich	w4293
mit	w4294
ihren	w4295
Erbs	w4296
<g/>
=
und	w4298
Schuld	w4299
<g/>
=
forderungen	w4301
in	w4302
bestimmter	w4303
Zeit	w4304
nicht	w4305
angemeldet	w4306
<g/>
,
solche	w4308
Verlassenschaft	w4309
dem	w4310
K	w4311
<g/>
.
K	w4313
<g/>
.
Hof	w4315
<g/>
=
und	w4317
N	w4318
<g/>
.
Oe	w4320
<g/>
.
Herrn	w4322
Cammer	w4323
procuratori	w4324
als	w4325
erblos	w4326
eingeantwortet	w4327
<g/>
,
auch	w4329
ansonsten	w4330
ex	w4331
officio	w4332
vorgekehret	w4333
werden	w4334
solle	w4335
<g/>
,
was	w4337
Rechtens	w4338
ist	w4339
<g/>
,
wor=nach	w4341
<g/>
=
sich	w4343
also	w4344
ein	w4345
jeder	w4346
zu	w4347
richten	w4348
wissen	w4349
wird	w4350
<g/>
.
</p>
<p id="p45">
Auf	w4352
künftigen	w4353
Montag	w4354
als	w4355
den	w4356
19	w4357
<g/>
.
Julii	w4359
und	w4360
folgende	w4361
Täge	w4362
hindurch	w4363
<g/>
,
werden	w4365
in	w4366
der	w4367
Himmel=pfort	w4368
<g/>
=
gassen	w4370
im	w4371
sogenannten	w4372
Stadt	w4373
<g/>
=
haus	w4375
gegenüber	w4376
der	w4377
Hungarischen	w4378
Cron	w4379
im	w4380
dritten	w4381
Stock	w4382
verschie=dene	w4383
<g/>
=
Mobilien	w4385
und	w4386
Effecten	w4387
<g/>
,
als	w4389
grosse	w4390
Spiegel	w4391
und	w4392
Wand	w4393
<g/>
=
leichter	w4395
<g/>
,
Luster	w4397
<g/>
,
Kästen	w4399
<g/>
,
Spallier	w4401
<g/>
,
Bil=der	w4403
<g/>
=
von	w4405
guten	w4406
Meistern	w4407
<g/>
,
besonders	w4409
schönes	w4410
Japo=nisch	w4411
<g/>
=
<g/>
=
und	w4414
Holländisches	w4415
Porcelain	w4416
von	w4417
verschiede=nen	w4418
<g/>
=
Sorten	w4420
<g/>
,
auch	w4422
ein	w4423
Jndianischer	w4424
Kasten	w4425
mit	w4426
al=lerhand	w4427
<g/>
=
Figürl	w4429
und	w4430
anderen	w4431
Galanterie	w4432
<g/>
=
sachen	w4434
<g/>
,
ein	w4436
Altar	w4437
von	w4438
Elfenbein	w4439
<g/>
,
goldene	w4441
und	w4442
silberne	w4443
Sack	w4444
<g/>
=
uhren	w4446
<g/>
,
dann	w4448
Steck	w4449
<g/>
.
und	w4451
Perpendicul	w4452
<g/>
=
uhren	w4454
von	w4455
guten	w4456
Meistern	w4457
<g/>
,
nuch	w4459
allerhand	w4460
Silber	w4461
<g/>
=
sachen	w4463
<g/>
,
gutes	w4465
Türkisch	w4466
und	w4467
Spanisches	w4468
Gewöhr	w4469
von	w4470
allen	w4471
Gattungen	w4472
<g/>
,
bordirte	w4474
und	w4475
glatte	w4476
Manns	w4477
<g/>
=
kleider	w4479
<g/>
,
steinene	w4481
und	w4482
andere	w4483
Tisch	w4484
<g/>
,
Sesseln	w4486
<g/>
,
Zinn	w4488
<g/>
,
Kupfer	w4490
<g/>
,
Meßing	w4492
<g/>
,
Bebt	w4494
<g/>
=
gewand	w4496
und	w4497
andere	w4498
Haus	w4499
<g/>
=
geräht=schaften	w4501
<g/>
=
Vormittag	w4503
von	w4504
9	w4505
<g/>
.
bis	w4507
12	w4508
<g/>
.
und	w4510
Nachmit=tag	w4511
<g/>
=
von	w4513
3	w4514
<g/>
.
bis	w4516
6	w4517
Uhr	w4518
licitando	w4519
verkauffet	w4520
werden	w4521
<g/>
.
</p>
<p id="p46">
Den	w4523
21	w4524
<g/>
.
Julii	w4526
wird	w4527
zu	w4528
Maria	w4529
Hiezing	w4530
die	w4531
vorhin	w4532
Etmanningerische	w4533
<g/>
,
nunmehro	w4535
Unterholzerische	w4536
Be=hausung	w4537
<g/>
=
<g/>
,
samt	w4540
dabey	w4541
befindlichen	w4542
Garten	w4543
und	w4544
ein	w4545
Achtel	w4546
uberländ	w4547
<g/>
=
Weingarten	w4549
am	w4550
Hiezinger	w4551
abusi-ve	w4552
<g/>
-
Königlberg	w4554
an	w4555
den	w4556
Meist	w4557
<g/>
=
bietenden	w4559
plus	w4560
offerenofferenii	w4561
<g/>
-
</p>
<p id="p47">
ii	w4564
in	w4565
obbemelter	w4566
Behausung	w4567
fruhe	w4568
um	w4569
9	w4570
<g/>
.
Uhr	w4572
li=citando	w4573
<g/>
=
verkauffet	w4575
<g/>
,
der	w4577
Liebhaber	w4578
kan	w4579
sich	w4580
daselbst	w4581
zur	w4582
bestimmten	w4583
Zeit	w4584
anmelden	w4585
<g/>
.
</p>
<head id="hl20">
Landmarschall	w4587
<g/>
.
ꝛc	w4589
<g/>
.
</head>
<p id="p48">
Entbiete	w4591
N	w4592
<g/>
.
allen	w4594
und	w4595
jeden	w4596
<g/>
,
was	w4598
Standes	w4599
oder	w4600
Würde	w4601
die	w4602
seynd	w4603
<g/>
,
der	w4605
Gebühr	w4606
nach	w4607
meinen	w4608
respect	w4609
<g/>
.
Dienst	w4611
und	w4612
guten	w4613
Willen	w4614
zuvor	w4615
<g/>
,
und	w4617
gede	w4618
hiemit	w4619
zu	w4620
vernehmen	w4621
<g/>
:
</p>
<p id="p49">
Es	w4623
hätten	w4624
Jhre	w4625
Kais	w4626
<g/>
.
Kön	w4628
<g/>
.
Ap	w4630
<g/>
.
Majest	w4632
<g/>
.
vermög	w4634
Allerhöchst	w4635
eingelangten	w4636
Hof	w4637
<g/>
=
deerets	w4639
allergnädigst	w4640
zu	w4641
resolviren	w4642
geruhet	w4643
<g/>
,
daß	w4645
der	w4646
wegen	w4647
der	w4648
Gräfl	w4649
<g/>
.
Sel=bischen	w4651
<g/>
=
Herrschaft	w4653
Weinern	w4654
ertheilt	w4655
geweste	w4656
Ver	w4657
kaufs	w4658
<g/>
=
stillstand	w4660
sogleich	w4661
aufgehoben	w4662
<g/>
,
folglich	w4664
mit	w4665
derselben	w4666
Gerichtl	w4667
<g/>
.
Veräusserung	w4669
ohne	w4670
Weiteren	w4671
zu	w4672
Werk	w4673
gegangen	w4674
werden	w4675
solle	w4676
<g/>
;
Wann	w4678
nun	w4679
in	w4680
Folge	w4681
dieser	w4682
allerhöchsten	w4683
Entschliessung	w4684
wegen	w4685
Verkauffung	w4686
besagter	w4687
Herrschaft	w4688
der	w4689
25	w4690
<g/>
.
Augusti	w4692
dies	w4693
Jahrs	w4694
zur	w4695
Licitations	w4696
<g/>
=
tagsatzung	w4698
anberaumet	w4699
worden	w4700
<g/>
;
Als	w4702
hat	w4703
man	w4704
ein	w4705
solches	w4706
hiemit	w4707
jeder=manniglich	w4708
<g/>
=
zu	w4710
dem	w4711
Ende	w4712
kund	w4713
machen	w4714
wollen	w4715
<g/>
,
damit	w4717
der	w4718
<g/>
-
oder	w4720
diejenige	w4721
<g/>
,
welche	w4723
sothane	w4724
Herr=schaft	w4725
<g/>
=
Weinern	w4727
käuflichen	w4728
an	w4729
sich	w4730
zu	w4731
bringen	w4732
Wil=lens	w4733
<g/>
=
seynd	w4735
<g/>
,
am	w4737
obbestimmten	w4738
Tag	w4739
fruhe	w4740
um	w4741
8	w4742
<g/>
.
Uhr	w4744
ad	w4745
licitandum	w4746
für	w4747
Gericht	w4748
zu	w4749
erscheinen	w4750
wissen	w4751
mögen	w4752
<g/>
.
</p>
<p id="p50">
Wir	w4754
Burgermeister	w4755
Amts	w4756
verwalter	w4757
und	w4758
Raht	w4759
der	w4760
Stadt	w4761
Wien	w4762
geben	w4763
hiemit	w4764
jedermänniglich	w4765
zu	w4766
vernehmen	w4767
<g/>
,
wasmassen	w4769
uus	w4770
der	w4771
Ferdinand	w4772
Ober=mayer	w4773
<g/>
=
<g/>
,
Gemeiner	w4776
Stadt	w4777
Wien	w4778
Steuer	w4779
<g/>
=
einnehmer	w4781
angezeiget	w4782
<g/>
,
wie	w4784
daß	w4785
ihme	w4786
der	w4787
über	w4788
von	w4789
Titl	w4790
<g/>
.
Frauen	w4792
Maria	w4793
Anna	w4794
Antonia	w4795
Gräfin	w4796
von	w4797
Pagani	w4798
<g/>
,
gebohr=ne	w4800
<g/>
=
v	w4802
<g/>
.
Lambheim	w4804
ausgestellte	w4805
Obligation	w4806
pr	w4807
<g/>
.
155	w4809
<g/>
.
fl	w4811
<g/>
.
b	w4813
<g/>
.
d	w4815
<g/>
.
22	w4817
<g/>
.
Decemb	w4819
<g/>
.
1755	w4821
auf	w4822
deroselben	w4823
Häuser=antheil	w4824
<g/>
=
ausgefertigte	w4826
Satz	w4827
<g/>
=
brief	w4829
d	w4830
<g/>
.
d	w4832
<g/>
.
31	w4834
<g/>
.
May	w4836
1758	w4837
in	w4838
Verstoß	w4839
gerahten	w4840
seye	w4841
<g/>
,
und	w4843
ungehin=dert	w4844
<g/>
=
alles	w4846
möglichen	w4847
Nachforschens	w4848
nicht	w4849
zu	w4850
Han=den	w4851
<g/>
=
zu	w4853
bringen	w4854
wäre	w4855
<g/>
,
um	w4857
dahero	w4858
um	w4859
Affigirung	w4860
eines	w4861
in	w4862
derley	w4863
Fällen	w4864
gewönlichen	w4865
Valval	w4866
<g/>
=
edicts	w4868
bey	w4869
kuns	w4870
angelanget	w4871
hat	w4872
<g/>
,
so	w4874
ihme	w4875
auch	w4876
über	w4877
von	w4878
Gemeiner	w4879
Stadt	w4880
Grund	w4881
<g/>
=
buch	w4883
abgefordert	w4884
und	w4885
er=stattlichen	w4886
<g/>
=
Bericht	w4888
verwilliget	w4889
worden	w4890
ist	w4891
<g/>
.
Sol-chemnach	w4893
<g/>
-
wird	w4895
der	w4896
<g/>
=
und	w4898
die	w4899
jeuige	w4900
<g/>
,
so	w4902
von	w4903
obermel=ten	w4904
<g/>
=
Satz	w4906
brief	w4907
pr	w4908
<g/>
.
155	w4910
<g/>
.
fl	w4912
<g/>
.
einige	w4914
Wissenschaft	w4915
ha=ben	w4916
<g/>
=
<g/>
,
oder	w4919
hieran	w4920
einige	w4921
Sprüch	w4922
zu	w4923
haben	w4924
vermeine	w4925
<g/>
,
von	w4927
heut	w4928
gesetztem	w4929
Dato	w4930
an	w4931
inner	w4932
Jahr	w4933
<g/>
,
6	w4935
<g/>
.
Wochen	w4937
und	w4938
3	w4939
<g/>
.
Tägen	w4941
bey	w4942
unser	w4943
und	w4944
Gemeiner	w4945
Stadt	w4946
Grund	w4947
buch	w4948
alsogewiß	w4949
zu	w4950
erscheinen	w4951
<g/>
,
und	w4953
sich	w4954
hier=zu	w4955
<g/>
=
zu	w4957
legitimiren	w4958
haben	w4959
<g/>
,
wie	w4961
im	w4962
widrigen	w4963
nach	w4964
Verfliessung	w4965
sothanen	w4966
Termins	w4967
besagter	w4968
Satz	w4969
<g/>
=
brief	w4971
änzlichen	w4972
caßiret	w4973
<g/>
,
und	w4975
hinführo	w4976
für	w4977
null	w4978
<g/>
=
nich=ig	w4980
<g/>
=
und	w4982
unkräftig	w4983
geachtet	w4984
<g/>
,
folgsam	w4986
besagten	w4987
Ober=mayr	w4988
<g/>
=
ein	w4990
anderer	w4991
ausgefertiget	w4992
und	w4993
behändiget	w4994
werden	w4995
wurde	w4996
<g/>
.
So	w4998
man	w4999
durch	w5000
dieses	w5001
offene	w5002
Edict	w5003
hiemit	w5004
kund	w5005
und	w5006
zu	w5007
wissen	w5008
machen	w5009
wollen	w5010
<g/>
.
Actum	w5012
Wien	w5013
den	w5014
22	w5015
<g/>
.
Jnnii	w5017
1762	w5018
<g/>
.
</p>
<p id="p51">
Von	w5020
dem	w5021
Grund	w5022
<g/>
=
buch	w5024
des	w5025
Kaiserl	w5026
<g/>
.
Conviets	w5028
ad	w5029
S	w5030
<g/>
.
Barbaram	w5032
allhier	w5033
<g/>
,
als	w5035
Herrschaft	w5036
Azgerstorf	w5037
wegen	w5038
<g/>
,
wird	w5040
jedermänniglich	w5041
kund	w5042
und	w5043
zu	w5044
wissen	w5045
gemacht	w5046
<g/>
:
daß	w5048
die	w5049
Anna	w5050
Maria	w5051
Rohrerin	w5052
<g/>
,
behau=ste	w5054
<g/>
=
Unterthauin	w5056
und	w5057
Wittib	w5058
zu	w5059
Angerstorf	w5060
<g/>
,
wegen	w5062
eingeklagt	w5063
<g/>
=
und	w5065
auf	w5066
des	w5067
Thomas	w5068
Caspar	w5069
eigentüm=lich	w5070
<g/>
=
zu	w5072
Azgerstorf	w5073
gelegenen	w5074
und	w5075
diesseitigem	w5076
Grund=buch	w5077
<g/>
=
unterthänig	w5079
<g/>
=
dienstbaren	w5081
Behaufung	w5082
haften=den	w5083
<g/>
=
Satz	w5085
<g/>
=
capital	w5087
die	w5088
öffentliche	w5089
Ausfeilung	w5090
und	w5091
gerichtlichen	w5092
Verkauf	w5093
ermeldter	w5094
Behausung	w5095
in	w5096
ordine	w5097
Executionis	w5098
den	w5099
8	w5100
<g/>
.
Junii	w5102
lauffenden	w5103
Jah=res	w5104
<g/>
=
bewürket	w5106
<g/>
.
Solchemnach	w5108
haben	w5109
all	w5110
<g/>
=
und	w5112
jede	w5113
<g/>
,
welche	w5115
besagte	w5116
Thomas	w5117
Casparische	w5118
Behausung	w5119
<g/>
,
samt	w5121
dem	w5122
hierauf	w5123
haftenden	w5124
Schuster	w5125
<g/>
=
gewerb	w5127
käuflich	w5128
an	w5129
sich	w5130
zu	w5131
bringen	w5132
willens	w5133
den	w5134
20	w5135
<g/>
.
künf=tigen	w5137
<g/>
=
Monats	w5139
Augusti	w5140
fruhe	w5141
um	w5142
9	w5143
<g/>
.
Uhr	w5145
entweder	w5146
selbst	w5147
<g/>
,
oder	w5149
durch	w5150
genugsame	w5151
Bevollmächtigte	w5152
all=hier	w5153
<g/>
=
in	w5155
der	w5156
Grund	w5157
<g/>
=
stuben	w5159
erscheinen	w5160
<g/>
,
und	w5162
sich	w5163
be=hörig	w5164
<g/>
=
anzumelben	w5166
<g/>
,
allermassen	w5168
mit	w5169
dem	w5170
vorkom=mend	w5171
<g/>
=
Meist	w5173
bietenden	w5174
der	w5175
Kauf	w5176
gegen	w5177
gleich	w5178
baa=ren	w5179
<g/>
=
Erlag	w5181
des	w5182
paetirten	w5183
Kauf	w5184
schilliugs	w5185
ex	w5186
officio	w5187
geschlossen	w5188
werden	w5189
solle	w5190
<g/>
.
</p>
<head id="hl21">
Landmarschall	w5192
<g/>
.
ꝛc	w5194
<g/>
.
</head>
<p id="p52">
Entbiete	w5196
allen	w5197
und	w5198
jeden	w5199
<g/>
,
was	w5201
Standes	w5202
und	w5203
Würden	w5204
sie	w5205
seynd	w5206
<g/>
,
welche	w5208
an	w5209
weyl	w5210
<g/>
.
Herrn	w5212
Earl	w5213
Michael	w5214
Tobias	w5215
Grafen	w5216
von	w5217
Sinzendorf	w5218
seel	w5219
<g/>
.
Ver=lassenschaft	w5221
<g/>
=
Sprüche	w5223
und	w5224
Anforderungen	w5225
haben	w5226
<g/>
,
oder	w5228
zu	w5229
haben	w5230
vermeinen	w5231
<g/>
,
daß	w5233
dieselben	w5234
bey	w5235
der	w5236
guf	w5237
den	w5238
23	w5239
<g/>
.
künftigen	w5241
Monats	w5242
Augusti	w5243
dies	w5244
Jahrs	w5245
angeordneten	w5246
Convocations	w5247
tagsatzung	w5248
Nachmit=tag	w5249
<g/>
=
um	w5251
3	w5252
<g/>
.
Uhr	w5254
bey	w5255
Herrn	w5256
Baron	w5257
von	w5258
Ludwig=storf	w5259
<g/>
=
in	w5261
dessen	w5262
in	w5263
dem	w5264
Baron	w5265
Schmidlinischen	w5266
Haus	w5267
am	w5268
Stock	w5269
am	w5270
Eisenplatz	w5271
habender	w5272
Wohnung	w5273
pro	w5274
imo	w5275
<g/>
,
2do	w5277
<g/>
,
3tio	w5279
<g/>
,
ac	w5281
ultimo	w5282
Termino	w5283
also	w5284
ge=wiß	w5285
<g/>
=
persönlich	w5287
<g/>
,
oder	w5289
durch	w5290
genugsam	w5291
Bevollmäch=tigte	w5292
<g/>
=
erscheinen	w5294
<g/>
,
ihre	w5296
Sprüche	w5297
und	w5298
Anforderun=gen	w5299
<g/>
=
anmelden	w5301
<g/>
,
und	w5303
zugleich	w5304
behörig	w5305
liquidiren	w5306
<g/>
,
als	w5308
im	w5309
widrigen	w5310
die	w5311
Abhandlung	w5312
vorgenommen	w5313
<g/>
,
hierüber	w5315
ex	w5316
oflicio	w5317
relationiret	w5318
<g/>
,
denen	w5320
Ausblei=benden	w5321
<g/>
=
aber	w5323
das	w5324
ewige	w5325
Stillschweigen	w5326
auferleget	w5327
werden	w5328
solle	w5329
<g/>
.
</p>
<p id="p53">
Von	w5331
der	w5332
Hochgräfl	w5333
<g/>
.
Stellaischen	w5335
Herrschaft	w5336
des	w5337
Markts	w5338
Neusikirchen	w5339
am	w5340
Stainfeld	w5341
<g/>
,
wird	w5343
auf	w5344
hohe	w5345
Verordnung	w5346
eines	w5347
Hochlöbl	w5348
<g/>
.
Landmarschal=lischen	w5350
<g/>
=
Gerichts	w5352
die	w5353
von	w5354
weyl	w5355
<g/>
.
Fräule	w5357
Maria	w5358
Po=lixena	w5359
<g/>
=
Gräfin	w5361
von	w5362
Hochburg	w5363
seel	w5364
<g/>
.
