<doc id="wr_1762-03-24" attrs="word" year="1762" month="03" day="24" corpus="2">
<head id="h2_d641e3335">
Cadir	w1_d641e3339
drey=malige	w7_d641e10611
Lösung	w1_d641e10617
der	w3_d641e10620
Canonen	w5_d641e10623
rings	w7_d641e10626
um	w9_d641e10629
die	w11_d641e10632
Stadt	w13_d641e10636
erfolgte.	w1_d641e10641
Die	w3_d641e10644
beeden	w5_d641e10647
Herren	w7_d641e10650
Cardinälen	w9_d641e10653
von	w1_d641e10658
Wien,	w3_d641e10661
und	w5_d641e10664
von	w7_d641e10667
Speyer	w9_d641e10670
Hochfürstl.	w11_d641e10673
Eminenzen	w1_d641e10678
haben	w3_d641e10681
beede	w5_d641e10684
Kaiserl.	w7_d641e10687
Königl.	w9_d641e10690
Majestäten	w1_d641e10696
sowol	w3_d641e10699
zum	w5_d641e10702
offentlichen	w7_d641e10705
Kirch	w9_d641e10708
gang,	w1_d641e10713
als	w3_d641e10716
zur	w5_d641e10719
Tauf=ceremonie,	w7_d641e10722
cortegi	w9_d641e10725
ret,	w1_d641e10730
und	w3_d641e10733
hernach	w5_d641e10736
auch	w7_d641e10739
der	w9_d641e10742
Tafel,	w11_d641e10745
worun	w13_d641e10749
ter	w1_d641e10754
eine	w3_d641e10757
vortrefliche	w5_d641e10760
Music	w7_d641e10763
sich	w9_d641e10766
hören	w11_d641e10769
ließ,	w13_d641e10773
nebst	w1_d641e10779
des	w3_d641e10782
Päpstl.	w5_d641e10785
Herrn	w7_d641e10788
Nuntii	w9_d641e10791
Excellenz	w11_d641e10794
bis	w1_d641e10799
nach	w3_d641e10802
dem	w5_d641e10805
ersten	w7_d641e10808
Trunk	w9_d641e10811
der	w11_d641e10814
allerhöchst	w13_d641e10818
und	w1_d641e10823
höchsten	w3_d641e10826
Herrschaften	w5_d641e10829
gewöhnlichermas	w7_d641e10832
sen	w1_d641e10837
beygewohnet.	w3_d641e10840
Ubrigens	w5_d641e10843
ware	w7_d641e10846
der	w9_d641e10849
Hof	w11_d641e10852
ungemein	w1_d641e10858
zahlreich	w3_d641e10861
und	w5_d641e10864
prächtig.	w7_d641e10867
</p>
<p id="p18_d641e10870">
Montags	w1_d641e10874
ist	w3_d641e10877
der	w5_d641e10880
hohe	w7_d641e10883
Adel	w9_d641e10886
abermal	w11_d641e10889
in	w13_d641e10893
prächtigster	w1_d641e10898
Galla	w3_d641e10901
bey	w5_d641e10904
Hofe	w7_d641e10907
erschienen,	w9_d641e10910
und	w11_d641e10913
Abends	w1_d641e10918
alda	w3_d641e10921
ein	w5_d641e10924
musicalisches	w7_d641e10927
Concert	w9_d641e10930
ge	w11_d641e10933
halten	w1_d641e10939
worden.	w3_d641e10942
</p>
<p id="p20_d641e10945">
Gestern	w1_d641e10949
war	w3_d641e10952
zum	w5_d641e10955
drittenmal	w7_d641e10958
grosse	w9_d641e10961
Gal	w11_d641e10964
la,	w1_d641e10969
und	w3_d641e10972
Abends	w5_d641e10975
ist	w7_d641e10978
dieses	w9_d641e10981
freudige	w11_d641e10984
Geburts	w13_d641e10988
fest	w1_d641e10993
mit	w3_d641e10996
einer	w5_d641e10999
neuen	w7_d641e11002
schönen	w9_d641e11005
Serenada,	w11_d641e11008
unter	w13_d641e11012
dem	w1_d641e11018
Titel:	w3_d641e11021
Prometeo	w5_d641e11024
Assoluto,	w7_d641e11027
beschlossen	w9_d641e11030
worden.	w1_d641e11035
</p>
<p id="p22_d641e11038">
Jhre	w1_d641e11042
Königl.	w3_d641e11045
Hoheit	w5_d641e11048
die	w7_d641e11051
vermählte	w9_d641e11054
Erzherzogin,	w1_d641e11059
wie	w3_d641e11062
auch	w5_d641e11065
die	w7_d641e11068
Durchl.	w9_d641e11071
neuge	w11_d641e11074
bohrne	w1_d641e11079
Prinzeßin,	w3_d641e11082
befinden	w5_d641e11085
sich	w7_d641e11088
GOtt	w9_d641e11091
Lob	w11_d641e11094
im	w1_d641e11100
erwünschten	w3_d641e11103
Wolstand.	w5_d641e11106
</p>
<head id="h2_d641e11112">
Lista	w1_d641e11116
deren	w3_d641e11119
Verstorbenen	w5_d641e11122
zu	w7_d641e11125
Wien	w9_d641e11128
in	w1_d641e11133
und	w3_d641e11136
vor	w5_d641e11139
der	w7_d641e11142
Stadt.	w9_d641e11145
Den	w1_d641e11150
18.	w3_d641e11153
Mart.	w5_d641e11156
Jn	w7_d641e11159
der	w9_d641e11162
Stadt.	w11_d641e11165
</head>
<list id="l4_d641e11168">
Dem	w1_d641e11172
Franz	w3_d641e11175
Wöber,	w5_d641e11178
Burgerl.	w7_d641e11181
Schneid.,	w9_d641e11184
s.	w11_d641e11187
K.	w13_d641e11191
An	w15_d641e11194
dre,	w1_d641e11199
im	w3_d641e11202
Mauris.	w5_d641e11205
H.	w7_d641e11208
am	w9_d641e11211
hoh.	w11_d641e11214
Markt,	w13_d641e11218
3.	w15_d641e11221
J.	w17_d641e11224
</list>
<list id="l10_d641e11238">
Anna	w1_d641e11242
Maria	w3_d641e11245
Flernsteinerin,	w5_d641e11248
Wittwe,	w7_d641e11251
im	w9_d641e11254
Tillis.	w11_d641e11257
H.	w13_d641e11261
in	w1_d641e11266
der	w3_d641e11269
Singerstr.,	w5_d641e11272
alt	w7_d641e11275
74.	w9_d641e11278
J.	w11_d641e11281
</list>
<head id="h2_d641e11288">
Vor	w1_d641e11292
der	w3_d641e11295
Stadt.	w5_d641e11298
</head>
<list id="l4_d641e11301">
Dem	w1_d641e11305
Georg	w3_d641e11308
Hochreider,	w5_d641e11311
Kuchel=gart.,	w7_d641e11314
s.	w9_d641e11317
K.	w11_d641e11320
Barb.	w13_d641e11324
in	w1_d641e11329
s.	w3_d641e11332
H.	w5_d641e11335
zu	w7_d641e11338
Erdberg,	w9_d641e11341
alt	w11_d641e11344
3.	w13_d641e11348
J.	w15_d641e11351
Mich.	w1_d641e11356
Kretischneck,	w3_d641e11359
Taglöhn.,	w5_d641e11362
beym	w7_d641e11365
schwarz.	w9_d641e11368
Adl.	w11_d641e11371
in	w1_d641e11377
der	w3_d641e11380
Rossau,	w5_d641e11383
alt	w7_d641e11386
60.	w9_d641e11389
J.	w11_d641e11392
</list>
<head id="h2_d641e11399">
Summa	w1_d641e11403
4.	w3_d641e11406
Person.	w5_d641e11409
darunter	w7_d641e11412
2.	w9_d641e11415
Kind.	w11_d641e11418
Den	w1_d641e11423
19.	w3_d641e11426
Mart.	w5_d641e11429
Jn	w1_d641e11434
der	w3_d641e11437
Stadt.	w5_d641e11440
</head>
<list id="l4_d641e11443">
Dem	w1_d641e11447
(Tit.)	w3_d641e11450
Hrn	w5_d641e11453
Jos.	w7_d641e11456
v.	w9_d641e11459
Nagel,	w11_d641e11462
K.	w13_d641e11466
K.	w15_d641e11469
Hofmathe	w17_d641e11472
matic.,	w1_d641e11477
s.	w3_d641e11480
K.	w5_d641e11483
Joh.	w7_d641e11486
Fried,	w9_d641e11489
beym	w11_d641e11492
gold.	w13_d641e11496
Läm.	w15_d641e11499
auf	w17_d641e11502
der	w19_d641e11505
hoh.	w1_d641e11510
Bruck.,	w3_d641e11513
alt	w5_d641e11516
2.	w7_d641e11519
J.	w9_d641e11522
Elisab.	w1_d641e11528
Letayn,	w3_d641e11531
Burgerl.	w5_d641e11534
Wittwe,	w7_d641e11537
im	w9_d641e11540
Freysinger	w11_d641e11543
hof	w1_d641e11548
am	w3_d641e11551
Grab.,	w5_d641e11554
alt	w7_d641e11557
70.	w9_d641e11560
J.	w11_d641e11563
</list>
<head id="h2_d641e11571">
Vor	w1_d641e11575
der	w3_d641e11578
Stadt.	w5_d641e11581
</head>
<list id="l4_d641e11584">
Dem	w1_d641e11588
Joh.	w3_d641e11591
Gschwandtner,	w5_d641e11594
Lack.,	w7_d641e11597
s.	w9_d641e11600
T.	w11_d641e11603
Theres.,	w13_d641e11607
bey	w15_d641e11610
dem	w1_d641e11615
gold.	w3_d641e11618
Sattel	w5_d641e11621
bey	w7_d641e11624
St.	w9_d641e11627
Ulrich,	w11_d641e11630
alt	w13_d641e11634
26.	w15_d641e11637
J.	w17_d641e11640
Dem	w1_d641e11645
Ant.	w3_d641e11648
Wagner,	w5_d641e11651
Haus=inhab.,	w7_d641e11654
s.	w9_d641e11657
S.	w11_d641e11660
Jos.,	w13_d641e11664
in	w15_d641e11667
s.	w17_d641e11670
H.	w1_d641e11676
in	w3_d641e11679
der	w5_d641e11682
Rossau,	w7_d641e11685
alt	w9_d641e11688
18.	w11_d641e11691
J.	w13_d641e11695
Jos.	w1_d641e11700
Helicka,	w3_d641e11703
Fack,	w5_d641e11706
bey	w7_d641e11709
der	w9_d641e11712
weis.	w11_d641e11715
Schwan.	w13_d641e11719
auf	w15_d641e11722
der	w17_d641e11725
neuen	w1_d641e11730
Wied,	w3_d641e11733
alt	w5_d641e11736
58.	w7_d641e11739
J.	w9_d641e11742
Der	w1_d641e11747
Anna	w3_d641e11750
Maria	w5_d641e11753
Heiligin,	w7_d641e11756
Wittwe,	w9_d641e11759
ihr	w11_d641e11762
S.	w13_d641e11766
Pet.,	w15_d641e11769
beym	w1_d641e11775
schwarz.	w3_d641e11778
Adl.	w5_d641e11781
in	w7_d641e11784
der	w9_d641e11787
Alster=gas.,	w11_d641e11790
alt	w13_d641e11794
22.	w15_d641e11797
J.	w17_d641e11800
</list>
<head id="h2_d641e11807">
Summa	w1_d641e11811
6.	w3_d641e11814
Pers.,	w5_d641e11817
darunter	w7_d641e11820
1.	w9_d641e11823
Kind.	w11_d641e11826
Den	w1_d641e11831
20	w3_d641e11834
Martii	w5_d641e11837
Jn	w1_d641e11842
der	w3_d641e11845
Stadt.	w5_d641e11848
</head>
<list id="l4_d641e11851">
Hr.	w1_d641e11855
Joh.	w3_d641e11858
Mich.	w5_d641e11861
Hollick,	w7_d641e11864
N.	w9_d641e11867
Oe.	w11_d641e11870
Reg.	w13_d641e11874
Cancel.,	w15_d641e11877
bey	w17_d641e11880
der	w1_d641e11885
Eisen	w3_d641e11888
stang.	w5_d641e11891
im	w7_d641e11894
lief.	w9_d641e11897
Grab.,	w11_d641e11900
alt	w13_d641e11904
19.	w15_d641e11907
J.	w17_d641e11910
Dem	w1_d641e11915
Hrn.	w3_d641e11918
Joh	w5_d641e11921
Prestinari,	w7_d641e11924
gew.	w9_d641e11927
Burgerl.	w11_d641e11930
Han	w13_d641e11934
dels=m.,	w1_d641e11940
s.	w3_d641e11943
Fr.	w5_d641e11946
Theres.,	w7_d641e11949
im	w9_d641e11952
Martinelis.	w11_d641e11955
H.	w13_d641e11959
am	w15_d641e11962
Lug=eck,	w1_d641e11967
alt	w3_d641e11970
55.	w5_d641e11973
J.	w7_d641e11976
Dem	w1_d641e11981
Hrn.	w3_d641e11984
Christoph	w5_d641e11987
Wagner,	w7_d641e11990
gew.	w9_d641e11993
Burgerl.	w11_d641e11996
Han	w13_d641e12000
dels=m.,	w1_d641e12005
s.	w3_d641e12008
K.	w5_d641e12011
Joh.	w7_d641e12014
Mich.,	w9_d641e12017
im	w11_d641e12020
Gablis.	w13_d641e12024
H.	w15_d641e12027
am	w17_d641e12030
Ka	w19_d641e12033
tzensteig,	w1_d641e12039
alt	w3_d641e12042
8.	w5_d641e12045
J.	w7_d641e12048
Dem	w1_d641e12053
Christoph	w3_d641e12056
Holzer,	w5_d641e12059
Burgerl.	w7_d641e12062
Brod=sitz.,	w9_d641e12065
s.	w11_d641e12068
W.	w13_d641e12072
Rosina,	w1_d641e12077
im	w3_d641e12080
Baderis.	w5_d641e12083
H.	w7_d641e12086
im	w9_d641e12089
Ror=gäs.,	w11_d641e12092
49.	w13_d641e12096
J.	w15_d641e12099
Maria	w1_d641e12104
Kerschbaumin,	w3_d641e12107
Wittwe,	w5_d641e12110
im	w7_d641e12113
Bricklis.	w9_d641e12116
H.	w11_d641e12119
auf	w13_d641e12123
der	w1_d641e12129
Schotten=bastey,	w3_d641e12132
alt	w5_d641e12135
99.	w7_d641e12138
J.	w9_d641e12141
Cathar.	w1_d641e12146
Schulzin,	w3_d641e12149
Wittwe,	w5_d641e12152
bey	w7_d641e12155
der	w9_d641e12158
weis.	w11_d641e12161
Ros.	w13_d641e12165
in	w15_d641e12168
der	w1_d641e12173
untern	w3_d641e12176
Bäckerstr.,	w5_d641e12179
alt	w7_d641e12182
69.	w9_d641e12185
J.	w11_d641e12188
Dem	w1_d641e12193
Franz	w3_d641e12196
Binhack,	w5_d641e12199
Lack.,	w7_d641e12202
s.	w9_d641e12205
K.	w11_d641e12208
Anna,	w13_d641e12212
im	w15_d641e12215
Wen	w17_d641e12218
zellis.	w1_d641e12224
H.	w3_d641e12227
in	w5_d641e12230
der	w7_d641e12233
obern	w9_d641e12236
Breunerstr.,	w11_d641e12239
alt	w13_d641e12243
2.	w15_d641e12246
J.	w17_d641e12249
</list>
<head id="h2_d641e12256">
Vor	w1_d641e12260
der	w3_d641e12263
Stadt.	w5_d641e12266
</head>
<list id="l4_d641e12269">
Math.	w1_d641e12275
May,	w3_d641e12278
Burgerl.	w5_d641e12281
Wirt,	w7_d641e12284
beym	w9_d641e12287
gold.	w11_d641e12290
Harnisch	w13_d641e12294
in	w1_d641e12299
der	w3_d641e12302
Josephst.,	w5_d641e12305
alt	w7_d641e12308
67.	w9_d641e12311
J.	w11_d641e12314
Der	w1_d641e12319
Ehrw	w3_d641e12322
Novit	w5_d641e12325
Damian.	w7_d641e12328
Kuchler	w9_d641e12331
Ord.	w11_d641e12334
S.	w13_d641e12338
Joh.	w15_d641e12341
Dei,	w1_d641e12347
im	w3_d641e12350
Klost.	w5_d641e12353
in	w7_d641e12356
der	w9_d641e12359
Leopoldst.,	w11_d641e12362
alt	w13_d641e12366
19.	w15_d641e12369
J.	w17_d641e12372
Magdal.	w1_d641e12377
Widonin,	w3_d641e12380
Wittwe,	w5_d641e12383
beym	w7_d641e12386
weis.	w9_d641e12389
Ochs.	w11_d641e12392
bey	w13_d641e12396
St.	w1_d641e12401
Ulrich,	w3_d641e12404
alt	w5_d641e12407
76.	w7_d641e12410
J.	w9_d641e12413
Der	w1_d641e12418
Anna	w3_d641e12421
Ofnerin,	w5_d641e12424
Wittwe,	w7_d641e12427
ihr	w9_d641e12430
T.	w11_d641e12433
Anna,	w13_d641e12437
in	w15_d641e12440
den	w17_d641e12443
Breißleris.	w1_d641e12449
Zinz.	w3_d641e12452
am	w5_d641e12455
Alster	w7_d641e12458
bach/	w9_d641e12461
alt	w11_d641e12464
27.	w13_d641e12468
J.	w15_d641e12471
</list>
<list id="l6_d641e12479">
Eleon.	w1_d641e12483
Ritterin,	w3_d641e12486
Wittwe,	w5_d641e12489
beym	w7_d641e12492
braun.	w9_d641e12495
Adler	w11_d641e12498
bey	w13_d641e12502
Maria=hülf,	w1_d641e12507
alt	w3_d641e12510
66.	w5_d641e12513
J.	w7_d641e12516
Dem	w1_d641e12521
Mich.	w3_d641e12524
Eder,	w5_d641e12527
Fragner,	w7_d641e12530
s.	w9_d641e12533
K	w11_d641e12536
Elisab.,	w13_d641e12540
im	w15_d641e12543
Bart,	w17_d641e12546
lis.	w1_d641e12552
H.	w3_d641e12555
untern	w5_d641e12558
Weiß=gärb,	w7_d641e12561
alt	w9_d641e12564
2.	w11_d641e12567
J.	w13_d641e12571
Dem	w1_d641e12576
Mart.	w3_d641e12579
Burger,	w5_d641e12582
Trag.,	w7_d641e12585
s.	w9_d641e12588
K.	w11_d641e12591
Josepha,	w13_d641e12595
in	w15_d641e12598
der	w17_d641e12601
Dorothe	w1_d641e12606
mühl	w3_d641e12609
zu	w5_d641e12612
Gumpendorf,	w7_d641e12615
alt	w9_d641e12618
7.	w11_d641e12621
v.	w13_d641e12625
J.	w15_d641e12628
Dem	w1_d641e12633
Jacob	w3_d641e12636
Steiner,	w5_d641e12639
Büchsen=mach.,	w7_d641e12642
s.	w9_d641e12645
S.	w11_d641e12648
Leop.,	w13_d641e12652
bey	w1_d641e12658
der	w3_d641e12661
gold.	w5_d641e12664
Glock.	w7_d641e12667
in	w9_d641e12670
der	w11_d641e12673
Leopoldst.,	w13_d641e12677
13.	w15_d641e12680
J.	w17_d641e12683
Dem	w1_d641e12688
Georg	w3_d641e12691
Mayrhofer,	w5_d641e12694
Taglöhn.,	w7_d641e12697
s.	w9_d641e12700
K.	w11_d641e12703
Florian,	w13_d641e12707
beym	w1_d641e12712
gold.	w3_d641e12715
Stern	w5_d641e12718
im	w7_d641e12721
Liechtenth.,	w9_d641e12724
alt	w11_d641e12727
6.	w13_d641e12731
v.	w15_d641e12734
J.	w17_d641e12737
</list>
<head id="h2_d641e12744">
Summa	w1_d641e12748
16.	w3_d641e12751
Person.,	w5_d641e12754
darunt.	w7_d641e12757
5.	w9_d641e12760
Kind.	w11_d641e12763
</head>
<head id="h2_d641e12769">
Jud	w1_d641e12773
Simon	w3_d641e12776
Michl,	w5_d641e12779
im	w7_d641e12782
kl.	w9_d641e12785
Nostitzis.	w11_d641e12788
H.	w13_d641e12792
am	w15_d641e12795
untern	w17_d641e12798
Arsenal,	w1_d641e12803
alt	w3_d641e12806
60.	w5_d641e12809
J.	w7_d641e12812
</head>
<head id="h2_d641e12820">
Den	w1_d641e12824
21.	w3_d641e12827
Mart.	w5_d641e12830
Jn	w1_d641e12835
der	w3_d641e12838
Stadt.	w5_d641e12841
Nie	w1_d641e12846
mand.	w3_d641e12849
Vor	w1_d641e12855
der	w3_d641e12858
Stadt	w5_d641e12861
</head>
<list id="l4_d641e12864">
Dem	w1_d641e12868
Hrn.	w3_d641e12871
Joh.	w5_d641e12874
Keller,	w7_d641e12877
Herrschaftl.	w9_d641e12880
Kammer	w11_d641e12883
dien.,	w13_d641e12887
s.	w1_d641e12892
K.	w3_d641e12895
Anna,	w5_d641e12898
beym	w7_d641e12901
rot.	w9_d641e12904
Adl.	w11_d641e12907
auf	w13_d641e12911
der	w15_d641e12914
Wied.,	w17_d641e12917
2.	w19_d641e12920
J.	w21_d641e12923
Marcus	w1_d641e12928
Labin,	w3_d641e12931
gew.	w5_d641e12934
K.	w7_d641e12937
Trab.,	w9_d641e12940
beym	w11_d641e12943
schwarz	w13_d641e12947
Eleph.	w15_d641e12950
auf	w1_d641e12956
der	w3_d641e12959
Wied.,	w5_d641e12962
alt	w7_d641e12965
77.	w9_d641e12968
J.	w11_d641e12971
Franz	w1_d641e12976
Stöckel,	w3_d641e12979
gew.	w5_d641e12982
Lack.,	w7_d641e12985
beym	w9_d641e12988
schwarz.	w11_d641e12991
Stief.	w13_d641e12995
am	w15_d641e12998
Thury,	w1_d641e13003
alt	w3_d641e13006
50.	w5_d641e13009
J.	w7_d641e13012
Dem	w1_d641e13017
Thom.	w3_d641e13020
Bachmayr,	w5_d641e13023
Postil.,	w7_d641e13026
s.	w9_d641e13029
K.	w11_d641e13032
Theres.,	w13_d641e13036
bey	w15_d641e13039
der	w1_d641e13045
Hofnung	w3_d641e13048
in	w5_d641e13051
der	w7_d641e13054
Josephst.,	w9_d641e13057
alt	w11_d641e13060
3.	w13_d641e13064
J.	w15_d641e13067
Der	w1_d641e13072
Magdal.	w3_d641e13075
Agnerin,	w5_d641e13078
Wittwe,	w7_d641e13081
ihr	w9_d641e13084
K.	w11_d641e13087
Theres.	w13_d641e13091
im	w15_d641e13094
Königl.	w1_d641e13099
Kloster=H.	w3_d641e13102
in	w5_d641e13105
der	w7_d641e13108
Koht=gas.,	w9_d641e13111
5.	w11_d641e13114
v.	w13_d641e13118
J.	w15_d641e13121
Ursula	w1_d641e13126
Auerin,	w3_d641e13129
ledig,	w5_d641e13132
beym	w7_d641e13135
schwarz.	w9_d641e13138
Adl.	w11_d641e13141
auf	w13_d641e13145
der	w15_d641e13148
Laimgr.,	w1_d641e13154
alt	w3_d641e13157
76.	w5_d641e13160
J.	w7_d641e13163
Dem	w1_d641e13168
Barthl.	w3_d641e13171
Stolhofer,	w5_d641e13174
Wäsch,	w7_d641e13177
s.	w9_d641e13180
W.	w11_d641e13183
Cathar.,	w13_d641e13187
im	w1_d641e13192
rot.	w3_d641e13195
H.	w5_d641e13198
an	w7_d641e13201
der	w9_d641e13204
Wien,	w11_d641e13207
alt	w13_d641e13211
39.	w15_d641e13214
J.	w17_d641e13217
Dem	w1_d641e13222
Adam	w3_d641e13225
Ruchel,	w5_d641e13228
Lack.,	w7_d641e13231
s.	w9_d641e13234
W.	w11_d641e13237
Elisab.,	w13_d641e13241
im	w15_d641e13244
Stah	w17_d641e13247
rembergis.	w1_d641e13253
Gart	w3_d641e13256
auf	w5_d641e13259
der	w7_d641e13262
Wied.,	w9_d641e13265
alt	w11_d641e13268
42.	w13_d641e13272
J.	w15_d641e13275
</list>
<head id="h2_d641e13283">
Summa	w1_d641e13287
8.	w3_d641e13290
Pers.,	w5_d641e13293
darunter	w7_d641e13296
2.	w9_d641e13299
Kind.	w11_d641e13302
</head>
<p id="p4_d641e13305">
Den	w1_d641e13309
25.	w3_d641e13312
dies	w5_d641e13315
Monats	w7_d641e13318
Martii	w9_d641e13321
werden	w11_d641e13324
in	w1_d641e13329
der	w3_d641e13332
Academischen	w5_d641e13335
Kirchen	w7_d641e13338
der	w9_d641e13341
Gesellschaft	w11_d641e13344
JEsu	w1_d641e13349
die	w3_d641e13352
gewöhnliche	w5_d641e13355
geistliche	w7_d641e13358
Uebungen	w9_d641e13361
für	w1_d641e13367
die	w3_d641e13370
Manns=personen.	w5_d641e13373
welche	w7_d641e13376
der	w9_d641e13379
Wel	w11_d641e13382
schen	w1_d641e13387
Sprach	w3_d641e13390
kündig	w5_d641e13393
seynd,	w7_d641e13396
ihren	w9_d641e13399
Anfang	w11_d641e13402
nehmen.	w1_d641e13407
Es	w3_d641e13410
werden	w5_d641e13413
selbe	w7_d641e13416
täglich	w9_d641e13419
um	w11_d641e13422
5.	w13_d641e13426
Uhr	w1_d641e13431
Abends	w3_d641e13434
anfangen.	w5_d641e13437
</p>
<p id="p6_d641e13445">
Von	w1_d641e13449
des	w3_d641e13452
Landes=fürstl.	w5_d641e13455
St.	w7_d641e13458
Leopoldi	w9_d641e13461
Stifts	w11_d641e13464
Kloster	w1_d641e13469
Neuburg	w3_d641e13472
Ober=cammer,	w5_d641e13475
wird	w7_d641e13478
hiemit	w9_d641e13481
jedermänniglich,	w1_d641e13486
so	w3_d641e13489
bey	w5_d641e13492
dem	w7_d641e13495
Wenzl	w9_d641e13498
Forstner,	w11_d641e13501
gedachten	w1_d641e13507
Stifts	w3_d641e13510
behausten	w5_d641e13513
Unterthan	w7_d641e13516
zu	w9_d641e13519
Unter	w11_d641e13522
döbling	w1_d641e13527
Sprüch	w3_d641e13530
und	w5_d641e13533
Anforderung	w7_d641e13536
haben,	w9_d641e13539
kund	w11_d641e13542
und	w1_d641e13547
zu	w3_d641e13550
wissen	w5_d641e13553
gemacht,	w7_d641e13556
wie	w9_d641e13559
daß	w11_d641e13562
der	w13_d641e13566
über	w15_d641e13569
die	w17_d641e13572
in	w19_d641e13575
wehrender	w1_d641e13580
Convocations=zeit	w3_d641e13583
von	w5_d641e13586
verschiedenen	w7_d641e13589
</p>
<p id="p12_d641e13603">
Partheyen	w1_d641e13607
eingelegten	w3_d641e13610
Nohtdurften	w5_d641e13613
verfaste	w7_d641e13616
Cridä	w9_d641e13619
abschied	w1_d641e13624
auf	w3_d641e13627
den	w5_d641e13630
1.	w7_d641e13633
April	w9_d641e13636
fruh	w11_d641e13639
um	w13_d641e13643
9.	w15_d641e13646
Uhr	w17_d641e13649
mit	w19_d641e13652
Ausschlüssung	w1_d641e13657
der	w3_d641e13660
einfallenden	w5_d641e13663
Faßnachts=ferien	w7_d641e13666
auf	w1_d641e13672
obgedeute,	w3_d641e13675
Stifts	w5_d641e13678
Ober=cammer	w7_d641e13681
publiciret	w9_d641e13684
werden	w1_d641e13689
solle;	w3_d641e13692
Solchemnach	w5_d641e13695
werden	w7_d641e13698
die	w9_d641e13701
hiebey	w11_d641e13704
Jntereßirte	w1_d641e13709
zu	w3_d641e13712
vernehmen,	w5_d641e13715
und	w7_d641e13718
Anhörung	w9_d641e13721
ange	w11_d641e13724
führten	w1_d641e13729
Abschied	w3_d641e13732
an	w5_d641e13735
dem	w7_d641e13738
bestimmten	w9_d641e13741
Tag,	w11_d641e13744
Stund	w13_d641e13748
und	w1_d641e13754
Ort	w3_d641e13757
zu	w5_d641e13760
erscheinen	w7_d641e13763
wissen.	w9_d641e13766
</p>
<p id="p14_d641e13769">
Auf	w1_d641e13773
dem	w3_d641e13776
Salz=grieß	w5_d641e13779
nächst	w7_d641e13782
dem	w9_d641e13785
untern	w11_d641e13788
Arse	w13_d641e13792
nal	w1_d641e13797
in	w3_d641e13800
dem	w5_d641e13803
kleinen	w7_d641e13806
gräfl.	w9_d641e13809
Nostitzischen	w11_d641e13812
oder	w13_d641e13816
kleinen	w15_d641e13819
Eisenhuterischen	w1_d641e13824
Haus	w3_d641e13827
im	w5_d641e13830
ersten	w7_d641e13833
Stock	w9_d641e13836
ist	w11_d641e13839
um	w13_d641e13843
einen	w1_d641e13849
billigen	w3_d641e13852
Preiß	w5_d641e13855
wol	w7_d641e13858
faconirtes	w9_d641e13861
Silberge	w11_d641e13864
schirr,	w1_d641e13869
bestehend	w3_d641e13872
in	w5_d641e13875
einer	w7_d641e13878
nach	w9_d641e13881
neuester	w11_d641e13884
Facon	w13_d641e13888
wol	w1_d641e13893
gearbeiteten	w3_d641e13896
grossen	w5_d641e13899
Platmenage,	w7_d641e13902
2.	w9_d641e13905
kleineren	w11_d641e13908
Schwenk=kesseln,	w1_d641e13913
Eiß=kesseln,	w3_d641e13916
Girandol	w5_d641e13919
len,	w1_d641e13925
Leuchtern,	w3_d641e13928
Presentier=tellern,	w5_d641e13931
und	w7_d641e13934
anderen	w9_d641e13937
dergleichen	w1_d641e13942
Sachen	w3_d641e13945
mehr	w5_d641e13948
zu	w7_d641e13951
verkauffen,	w9_d641e13954
und	w11_d641e13957
kan	w1_d641e13962
selbiges	w3_d641e13965
täglich	w5_d641e13968
in	w7_d641e13971
Augenschein	w9_d641e13974
genommen	w11_d641e13977
werden.	w1_d641e13982
</p>
<p id="p16_d641e13985">
Zu	w1_d641e13989
Liesina	w3_d641e13992
ist	w5_d641e13995
die	w7_d641e13998
von	w9_d641e14001
Montfortische	w11_d641e14004
Mühl	w13_d641e14008
mit	w15_d641e14011
3.	w1_d641e14016
Gängen,	w3_d641e14019
genugsamer	w5_d641e14022
Wohnung,	w7_d641e14025
sieben	w9_d641e14028
ein	w11_d641e14031
halb	w13_d641e14035
Joch	w1_d641e14040
Aecker,	w3_d641e14043
5.	w5_d641e14046
Tagwerk	w7_d641e14049
Wiesen,	w9_d641e14052
2.	w11_d641e14055
Viertel	w13_d641e14059
Wein	w15_d641e14062
garten	w1_d641e14068
zu	w3_d641e14071
verkauffen,	w5_d641e14074
item	w7_d641e14077
ein	w9_d641e14080
wolgebauter	w11_d641e14083
Hof	w13_d641e14087
mit	w1_d641e14092
3.	w3_d641e14095
Viertel	w5_d641e14098
Weingarten	w7_d641e14101
am	w9_d641e14104
Haus,	w11_d641e14107
19.	w13_d641e14111
Joch	w15_d641e14114
Aecker,	w1_d641e14119
3.	w3_d641e14122
Tagwerk	w5_d641e14125
Cromet	w7_d641e14128
wiesen.	w9_d641e14131
Ein	w11_d641e14134
Haus	w13_d641e14138
im	w1_d641e14143
neuen	w3_d641e14146
Lerchenfeld	w5_d641e14149
zur	w7_d641e14152
grünen	w9_d641e14155
Hofnung	w11_d641e14158
ge	w13_d641e14162
nannt	w1_d641e14168
an	w3_d641e14171
der	w5_d641e14174
Linie,	w7_d641e14177
2.	w9_d641e14180
Viertel	w11_d641e14183
Weingarten	w13_d641e14187
zu	w15_d641e14190
Weinhaus,	w1_d641e14195
in	w3_d641e14198
