<doc id="wr_1761-12-16" attrs="word" year="1761" month="12" day="16" corpus="2">
<head id="h2_d613e3063">
Barcelona	w1_d613e3067
Donau=brücken	w3_d613e10306
nach	w5_d613e10309
Aspern	w7_d613e10312
erhoben,	w9_d613e10315
und	w1_d613e10320
daselbst	w3_d613e10323
mit	w5_d613e10326
einer	w7_d613e10329
Par=force=jagd	w9_d613e10332
sich	w11_d613e10335
erlustiget,	w1_d613e10340
von	w3_d613e10343
wannen	w5_d613e10346
Höchst=dieselben	w7_d613e10349
Nach	w9_d613e10352
mittags	w1_d613e10358
um	w3_d613e10361
4.	w5_d613e10364
Uhr	w7_d613e10367
wieder	w9_d613e10370
in	w11_d613e10373
die	w13_d613e10377
Burg	w15_d613e10380
zu	w17_d613e10383
rück	w1_d613e10388
gelanget.	w3_d613e10391
</p>
<p id="p14_d613e10394">
Gestern	w1_d613e10398
Abends	w3_d613e10401
haben	w5_d613e10404
beede	w7_d613e10407
Kaiserliche	w9_d613e10410
Majestäten	w1_d613e10415
mit	w3_d613e10418
Jhren	w5_d613e10421
Königl.	w7_d613e10424
Hoheiten	w9_d613e10427
denen	w1_d613e10432
älteren	w3_d613e10435
Durchl.	w5_d613e10438
Herrschaften	w7_d613e10441
der	w9_d613e10444
Vigil;	w11_d613e10447
</p>
<p id="p16_d613e10450">
Heute	w1_d613e10454
den	w3_d613e10457
16.	w5_d613e10460
Decemb.	w7_d613e10463
dem	w9_d613e10466
Seel	w11_d613e10469
und	w13_d613e10473
Lob=amt	w1_d613e10478
für	w3_d613e10481
weil	w5_d613e10484
die	w7_d613e10487
Durchl.	w9_d613e10490
Erzherzogin	w11_d613e10493
Maria	w1_d613e10498
Anna,	w3_d613e10501
Gouvernantin	w5_d613e10504
in	w7_d613e10507
Spanisch	w9_d613e10510
Niederlanden	w1_d613e10516
seel.	w3_d613e10519
Gedächtnuß,	w5_d613e10522
in	w7_d613e10525
der	w9_d613e10528
Cam	w11_d613e10531
mer=capelle	w1_d613e10536
beygewohnet.	w3_d613e10539
</p>
<p id="p18_d613e10542">
Den	w1_d613e10546
12.	w3_d613e10549
dieses	w5_d613e10552
ist	w7_d613e10555
alhier	w9_d613e10558
die	w11_d613e10561
Ziehung	w13_d613e10565
der	w1_d613e10570
K.	w3_d613e10573
K.	w5_d613e10576
Lotterie	w7_d613e10579
vor	w9_d613e10582
sich	w11_d613e10585
gegangen,	w13_d613e10589
und	w15_d613e10592
die	w1_d613e10597
Num.	w3_d613e10600
10.	w5_d613e10603
63.	w7_d613e10606
72.	w9_d613e10609
70.	w11_d613e10612
und	w13_d613e10616
43.	w15_d613e10619
mit	w17_d613e10622
verschiedenen	w1_d613e10628
beträchtlichen	w3_d613e10631
Ambi	w5_d613e10634
und	w7_d613e10637
Ter	w9_d613e10640
ni,	w1_d613e10645
deren	w3_d613e10648
einer	w5_d613e10651
pr.	w7_d613e10654
200.	w9_d613e10657
Ducaten,	w11_d613e10660
welchen	w13_d613e10664
der	w1_d613e10669
sub	w3_d613e10672
Nro.	w5_d613e10675
19.	w7_d613e10678
bey	w9_d613e10681
der	w11_d613e10684
Wälschen	w13_d613e10688
Capel	w15_d613e10691
le	w1_d613e10696
angestellte	w3_d613e10699
Collectant	w5_d613e10702
zu	w7_d613e10705
entrichten,	w9_d613e10708
zwey	w11_d613e10711
hingegen	w1_d613e10717
einen	w3_d613e10720
pr.	w5_d613e10723
200.	w7_d613e10726
detto,	w9_d613e10729
und	w11_d613e10732
den	w13_d613e10736
an	w15_d613e10739
deren	w1_d613e10744
mit	w3_d613e10747
130.	w5_d613e10750
detto,	w7_d613e10753
welche	w9_d613e10756
jener	w11_d613e10759
sul	w13_d613e10763
Nro.	w1_d613e10768
32.	w3_d613e10771
auf	w5_d613e10774
der	w7_d613e10777
hohen	w9_d613e10780
Brucken	w11_d613e10783
abzufüh	w13_d613e10787
ren	w1_d613e10792
hat,	w3_d613e10795
wie	w5_d613e10798
nicht	w7_d613e10801
minder	w9_d613e10804
viele	w11_d613e10807
Estrati	w13_d613e10811
gehoben	w1_d613e10817
worden.	w3_d613e10820
</p>
<p id="p24_d613e10834">
Den	w1_d613e10838
30.	w3_d613e10841
lauffenden	w5_d613e10844
Monats	w7_d613e10847
wird	w9_d613e10850
in	w11_d613e10853
der	w1_d613e10858
K.	w3_d613e10861
K.	w5_d613e10864
Haupt=stadt	w7_d613e10867
Prag	w9_d613e10870
die	w11_d613e10873
fernere	w13_d613e10877
Ziehung	w1_d613e10882
geschehen.	w3_d613e10885
</p>
<head id="h2_d613e10892">
Lista	w1_d613e10896
deren	w3_d613e10899
Verstorbenen	w5_d613e10902
zu	w7_d613e10905
Wien	w9_d613e10908
in	w1_d613e10913
und	w3_d613e10916
vor	w5_d613e10919
der	w7_d613e10922
Stadt.	w9_d613e10925
Den	w1_d613e10930
9.	w3_d613e10933
Dec.	w5_d613e10936
Jn	w1_d613e10942
der	w3_d613e10945
Stadt.	w5_d613e10948
</head>
<list id="l4_d613e10951">
Elisab.	w1_d613e10955
Weingartnerin,	w3_d613e10958
led.	w5_d613e10961
M.,	w7_d613e10964
im	w9_d613e10967
neuen	w11_d613e10970
Michae	w13_d613e10974
ler	w1_d613e10979
H.	w3_d613e10982
am	w5_d613e10985
Kohl=markt,	w7_d613e10988
alt	w9_d613e10991
64.	w11_d613e10994
J.	w13_d613e10998
Magdal.	w1_d613e11003
Wendlingerin,	w3_d613e11006
led.	w5_d613e11009
M.,	w7_d613e11012
im	w9_d613e11015
Fuxis.	w11_d613e11018
H.	w13_d613e11022
am	w15_d613e11025
Stuben=thor,	w1_d613e11031
alt	w3_d613e11034
75.	w5_d613e11037
J.	w7_d613e11040
</list>
<head id="h2_d613e11047">
Vor	w1_d613e11051
der	w3_d613e11054
Stadt.	w5_d613e11057
</head>
<list id="l4_d613e11060">
Dem	w1_d613e11064
Ant.	w3_d613e11067
Laimgruber,	w5_d613e11070
Burgerl.	w7_d613e11073
Schneid.,	w9_d613e11076
s.	w11_d613e11079
K.	w13_d613e11083
Elisab.,	w1_d613e11088
beym	w3_d613e11091
gold.	w5_d613e11094
Lux.	w7_d613e11097
am	w9_d613e11100
Spitalb.	w11_d613e11103
6.	w13_d613e11107
v.	w15_d613e11110
J.	w17_d613e11113
Anna	w1_d613e11118
Wisingerin,	w3_d613e11121
led.,	w5_d613e11124
im	w7_d613e11127
Gold=spinneris.	w9_d613e11130
H.	w11_d613e11133
in	w13_d613e11137
der	w1_d613e11143
Unger=gas.,	w3_d613e11146
alt	w5_d613e11149
59.	w7_d613e11152
J.	w9_d613e11155
Dem	w1_d613e11160
Blasi	w3_d613e11163
Melchior,	w5_d613e11166
Tratzieh.=ges.,	w7_d613e11169
s.	w9_d613e11172
K.	w11_d613e11175
Joh.,	w13_d613e11179
bey	w15_d613e11182
der	w1_d613e11187
gold.	w3_d613e11190
Ros.	w5_d613e11193
auf	w7_d613e11196
der	w9_d613e11199
neuen	w11_d613e11202
Wied.,	w13_d613e11206
6.	w15_d613e11209
v.	w17_d613e11212
J.	w19_d613e11215
Adam	w1_d613e11220
Petterman,	w3_d613e11223
Schlosser=ges.,	w5_d613e11226
beyn	w7_d613e11229
2.	w9_d613e11232
Schlüs.	w11_d613e11235
am	w1_d613e11241
obern	w3_d613e11244
Neustift,	w5_d613e11247
alt	w7_d613e11250
38.	w9_d613e11253
J.	w11_d613e11256
Dem	w1_d613e11261
Mich.	w3_d613e11264
Köberl,	w5_d613e11267
Sesselmach.,	w7_d613e11270
s.	w9_d613e11273
K.	w11_d613e11276
Anna,	w13_d613e11280
bey	w15_d613e11283
der	w1_d613e11288
gr.	w3_d613e11291
Lind.	w5_d613e11294
am	w7_d613e11297
Thury,	w9_d613e11300
alt	w11_d613e11303
7.	w13_d613e11307
v.	w15_d613e11310
J.	w17_d613e11313
Dem	w1_d613e11318
Joh.	w3_d613e11321
Weigl,	w5_d613e11324
Taglöhn.,	w7_d613e11327
s.	w9_d613e11330
K.	w11_d613e11333
Paul,	w13_d613e11337
im	w15_d613e11340
Da	w17_d613e11343
nielis.	w1_d613e11349
H.	w3_d613e11352
zu	w5_d613e11355
Margar.,	w7_d613e11358
alt	w9_d613e11361
3.	w11_d613e11364
J.	w13_d613e11368
</list>
<head id="h2_d613e11375">
Summa	w1_d613e11379
8.	w3_d613e11382
Pers.,	w5_d613e11385
darunter	w7_d613e11388
4.	w9_d613e11391
Kind.	w11_d613e11394
Den	w1_d613e11399
10.	w3_d613e11402
Dec.	w5_d613e11405
Jn	w1_d613e11410
der	w3_d613e11413
Stadt.	w5_d613e11416
</head>
<list id="l4_d613e11419">
Dem	w1_d613e11423
Hoch	w3_d613e11426
und	w5_d613e11429
Wol=geb.	w7_d613e11432
Hrn.	w9_d613e11435
Hrn.	w11_d613e11438
Jos.	w13_d613e11442
des	w15_d613e11445
H.	w17_d613e11448
R.	w1_d613e11453
R.	w3_d613e11456
Grafen	w5_d613e11459
v.	w7_d613e11462
Herberstein,	w9_d613e11465
Jhrer	w11_d613e11468
K.	w13_d613e11472
K.	w15_d613e11475
Apo	w17_d613e11478
stol.	w1_d613e11483
Majest.	w3_d613e11486
würkl.	w5_d613e11489
Kammerern,	w7_d613e11492
und	w9_d613e11495
N.	w11_d613e11498
Oe.	w13_d613e11502
Raht,	w15_d613e11505
dero	w1_d613e11511
Hoch=gräfl.	w3_d613e11514
Frle	w5_d613e11517
T.	w7_d613e11520
Aloysia,	w9_d613e11523
im	w11_d613e11526
Oerdödis.	w13_d613e11530
H.	w1_d613e11535
in	w3_d613e11538
der	w5_d613e11541
Himmel=pfort	w7_d613e11544
gas.,	w9_d613e11547
alt	w11_d613e11550
6.	w13_d613e11554
J.	w15_d613e11557
Dem	w1_d613e11562
Hrn.	w3_d613e11565
Joh.	w5_d613e11568
Jos.	w7_d613e11571
Fitzinger,	w9_d613e11574
N.	w11_d613e11577
Oe.	w13_d613e11581
Landsch.	w15_d613e11584
Hrn.	w1_d613e11589
Hrn.	w3_d613e11592
verordn.	w5_d613e11595
Rahts=thürhüt.,	w7_d613e11598
s.	w9_d613e11601
Fr.	w11_d613e11604
Elis.,	w13_d613e11608
im	w1_d613e11614
klein.	w3_d613e11617
Rosenbergis.	w5_d613e11620
H.	w7_d613e11623
in	w9_d613e11626
der	w11_d613e11629
Teintfalt=stras.,	w13_d613e11633
alt	w1_d613e11638
30.	w3_d613e11641
J.	w5_d613e11644
Joh.	w1_d613e11649
Pfeiffer,	w3_d613e11652
gew.	w5_d613e11655
Burgerl.	w7_d613e11658
Goldschm.,	w9_d613e11661
im	w11_d613e11664
Bockis.	w13_d613e11668
H.	w1_d613e11673
in	w3_d613e11676
der	w5_d613e11679
Teinfaltstras.,	w7_d613e11682
alt	w9_d613e11685
63.	w11_d613e11688
J.	w13_d613e11692
Jos.	w1_d613e11698
Huterer,	w3_d613e11701
Maurer=ges.,	w5_d613e11704
bey	w7_d613e11707
der	w9_d613e11710
schwarz.	w11_d613e11713
Bürst.	w13_d613e11717
am	w1_d613e11722
alt	w3_d613e11725
Kienm.,	w5_d613e11728
alt	w7_d613e11731
42.	w9_d613e11734
J.	w11_d613e11737
Dem	w1_d613e11742
Franz	w3_d613e11745
Schulz,	w5_d613e11748
Burgerl.	w7_d613e11751
Stein=schueid,	w9_d613e11754
s.	w11_d613e11757
K.	w13_d613e11761
Johanna,	w1_d613e11766
im	w3_d613e11769
gros.	w5_d613e11772
Ofen=loch,	w7_d613e11775
alt	w9_d613e11778
1.	w11_d613e11781
J.	w13_d613e11785
</list>
<head id="h2_d613e11792">
Vor	w1_d613e11796
der	w3_d613e11799
Stadt	w5_d613e11802
</head>
<list id="l4_d613e11805">
Lor.	w1_d613e11809
Pigler,	w3_d613e11812
Haus=inhab,	w5_d613e11815
in	w7_d613e11818
s.	w9_d613e11821
H.	w11_d613e11824
am	w13_d613e11828
Magdal.=gr.	w15_d613e11831
alt	w1_d613e11836
51.	w3_d613e11839
J.	w5_d613e11842
Dem	w1_d613e11847
Joh.	w3_d613e11850
Sched,	w5_d613e11853
Herrschaftl.	w7_d613e11856
Lack,	w9_d613e11859
s.	w11_d613e11862
K.	w13_d613e11866
Joh.	w15_d613e11869
im	w1_d613e11875
Graf=Kaunitzis.	w3_d613e11878
Gart	w5_d613e11881
in	w7_d613e11884
der	w9_d613e11887
Rossau,	w11_d613e11890
2.	w13_d613e11894
J.	w15_d613e11897
Andre	w1_d613e11902
Krammel,	w3_d613e11905
gew.	w5_d613e11908
Kursch.,	w7_d613e11911
beym,	w9_d613e11914
weis.	w11_d613e11917
Kreutz	w13_d613e11921
auf	w1_d613e11926
der	w3_d613e11929
Wied.,	w5_d613e11932
alt	w7_d613e11935
68.	w9_d613e11938
J.	w11_d613e11941
Magdal.	w1_d613e11946
Ludwigin,	w3_d613e11949
Wittwe,	w5_d613e11952
im	w7_d613e11955
Oelerisch.	w9_d613e11958
H.	w11_d613e11961
zu	w13_d613e11965
Margaar.,	w1_d613e11971
alt	w3_d613e11974
50.	w5_d613e11977
J.	w7_d613e11980
Barb.	w1_d613e11985
Mayrhoferin,	w3_d613e11988
led.	w5_d613e11991
M.,	w7_d613e11994
im	w9_d613e11997
Bistlisch.	w11_d613e12000
H.	w13_d613e12004
auf	w15_d613e12007
der	w1_d613e12012
Wied.,	w3_d613e12015
alt	w5_d613e12018
70.	w7_d613e12021
J.	w9_d613e12024
</list>
<list id="l6_d613e12028">
Dem	w1_d613e12032
Adam	w3_d613e12035
Fuller,	w5_d613e12038
Weber=ges.,	w7_d613e12041
s.	w9_d613e12044
K.	w11_d613e12047
Carl,	w13_d613e12051
in	w15_d613e12054
dem	w17_d613e12057
Stegmayris.	w1_d613e12062
H.	w3_d613e12065
am	w5_d613e12068
Thury,	w7_d613e12071
alt	w9_d613e12074
4.	w11_d613e12077
J.	w13_d613e12081
Greg.	w1_d613e12086
Hochhofer,	w3_d613e12089
Schwein=handl.,	w5_d613e12092
beyn	w7_d613e12095
3.	w9_d613e12098
König.	w11_d613e12101
auf	w1_d613e12107
der	w3_d613e12110
Landstr.,	w5_d613e12113
alt	w7_d613e12116
42.	w9_d613e12119
J.	w11_d613e12122
Barb.	w1_d613e12127
Scheiberin,	w3_d613e12130
in	w5_d613e12133
St.	w7_d613e12136
Joh.	w9_d613e12139
Nep.	w11_d613e12142
Spit,	w13_d613e12146
75.	w15_d613e12149
J.	w17_d613e12152
Dem	w1_d613e12157
Leop.	w3_d613e12160
Albertsberger,	w5_d613e12163
Taglöhn.,	w7_d613e12166
s.	w9_d613e12169
K.	w11_d613e12172
Mich.,	w13_d613e12176
beyn	w1_d613e12181
3.	w3_d613e12184
Has.	w5_d613e12187
im	w7_d613e12190
Liechtenth.	w9_d613e12193
alt	w11_d613e12196
11.	w13_d613e12200
J.	w15_d613e12203
</list>
<head id="h2_d613e12210">
Summa	w1_d613e12214
14.	w3_d613e12217
Person.,	w5_d613e12220
darunter	w7_d613e12223
5.	w9_d613e12226
Kind.	w11_d613e12229
Den	w1_d613e12234
11.	w3_d613e12237
Dec.	w5_d613e12240
Jn	w1_d613e12245
der	w3_d613e12248
Stadt.	w5_d613e12251
Niemand.	w1_d613e12257
Vor	w1_d613e12262
der	w3_d613e12265
Stadt.	w5_d613e12268
</head>
<list id="l4_d613e12271">
Ant.	w1_d613e12275
Laur,	w3_d613e12278
Burgerl.	w5_d613e12281
Wirt.,	w7_d613e12284
beym	w9_d613e12287
gold.	w11_d613e12290
Ochs.	w13_d613e12294
in	w15_d613e12297
der	w1_d613e12302
Leopoldst.,	w3_d613e12305
alt	w5_d613e12308
47.	w7_d613e12311
J.	w9_d613e12314
Elisab.	w1_d613e12319
Göltlin,	w3_d613e12322
Wittwe,	w5_d613e12325
bey	w7_d613e12328
der	w9_d613e12331
Holderstand.	w11_d613e12334
bey	w13_d613e12338
St.	w1_d613e12344
Ulrich,	w3_d613e12347
alt	w5_d613e12350
64.	w7_d613e12353
J.	w9_d613e12356
Dem	w1_d613e12361
Frauz	w3_d613e12364
Spohrenberger,	w5_d613e12367
gew.	w7_d613e12370
Silber	w9_d613e12373
dien,	w11_d613e12376
s.	w13_d613e12380
K.	w15_d613e12383
Jos.,	w1_d613e12388
im	w3_d613e12391
Füderis.	w5_d613e12394
H.	w7_d613e12397
auf	w9_d613e12400
der	w11_d613e12403
Wied,	w13_d613e12407
alt	w15_d613e12410
2.	w17_d613e12413
J.	w19_d613e12416
Dem	w1_d613e12421
Franz	w3_d613e12424
Eichholtzer,	w5_d613e12427
Herrschaftl.	w7_d613e12430
Koch.,	w9_d613e12433
s.	w11_d613e12436
K.	w13_d613e12440
Theres.,	w1_d613e12446
beym	w3_d613e12449
schw.	w5_d613e12452
Adl.	w7_d613e12455
bey	w9_d613e12458
St.	w11_d613e12461
Ulrich,	w13_d613e12465
alt	w15_d613e12468
5.	w17_d613e12471
J.	w19_d613e12474
Dem	w1_d613e12479
Joh.	w3_d613e12482
Huber,	w5_d613e12485
K.	w7_d613e12488
Kutsch.,	w9_d613e12491
s.	w11_d613e12494
W.	w13_d613e12498
Susan.,	w15_d613e12501
bey	w17_d613e12504
der	w1_d613e12509
Flucht	w3_d613e12512
in	w5_d613e12515
Egypt.	w7_d613e12518
auf	w9_d613e12521
der	w11_d613e12524
Wied.	w13_d613e12528
alt	w15_d613e12531
67.	w17_d613e12534
J.	w19_d613e12537
Franz	w1_d613e12542
Lampl,	w3_d613e12545
gew.	w5_d613e12548
Trag.,	w7_d613e12551
beym	w9_d613e12554
gr.	w11_d613e12557
Säbel	w13_d613e12561
in	w15_d613e12564
dem	w17_d613e12567
Liechtenth.,	w1_d613e12573
alt	w3_d613e12576
71.	w5_d613e12579
J.	w7_d613e12582
Mass.	w1_d613e12587
Sebeck,	w3_d613e12590
Taglöhn.,	w5_d613e12593
in	w7_d613e12596
Witmanis.	w9_d613e12599
Zim.	w11_d613e12602
auf	w13_d613e12606
der	w1_d613e12611
Landstr,	w3_d613e12614
alt	w5_d613e12617
44.	w7_d613e12620
J	w9_d613e12623
Apol.	w1_d613e12628
Gruberin,	w3_d613e12631
in	w5_d613e12634
St.	w7_d613e12637
Joh.	w9_d613e12640
Nep.	w11_d613e12643
Spit.,	w13_d613e12647
65.	w15_d613e12650
J.	w17_d613e12653
</list>
<head id="h2_d613e12660">
Summa	w1_d613e12664
8.	w3_d613e12667
Person,	w5_d613e12670
darunter	w7_d613e12673
2.	w9_d613e12676
Kind.	w11_d613e12679
</head>
<p id="p4_d613e12682">
Wir	w1_d613e12686
Endes=gefertigte,	w3_d613e12689
von	w5_d613e12692
einem	w7_d613e12695
Löbl.	w9_d613e12698
Land	w11_d613e12701
marschallischen	w1_d613e12706
Gericht	w3_d613e12709
verordnete	w5_d613e12712
Commissarien	w7_d613e12715
fügen	w1_d613e12720
denen	w3_d613e12723
Haßlingerischen	w5_d613e12726
Kindern,	w7_d613e12729
dem	w9_d613e12732
Augu	w11_d613e12735
stin	w1_d613e12741
Higler,	w3_d613e12744
oder	w5_d613e12747
dessen	w7_d613e12750
Erben,	w9_d613e12753
der	w11_d613e12756
Theresiä	w13_d613e12760
Gei	w15_d613e12763
terin	w1_d613e12768
Erbens=erben,	w3_d613e12771
und	w5_d613e12774
der	w7_d613e12777
Theresiä	w9_d613e12780
von	w11_d613e12783
Ro	w13_d613e12787
senfeld,	w1_d613e12792
oder	w3_d613e12795
derselben	w5_d613e12798
Erben	w7_d613e12801
hiemit	w9_d613e12804
zu	w11_d613e12807
wissen:	w13_d613e12811
Es	w1_d613e12816
hätten	w3_d613e12819
weil.	w5_d613e12822
Annä	w7_d613e12825
Mariä	w9_d613e12828
Lobwein	w11_d613e12831
seel.	w13_d613e12835
Erben	w15_d613e12838
für	w1_d613e12844
dieselbe	w3_d613e12847
nachfolgende,	w5_d613e12850
aus	w7_d613e12853
weil.	w9_d613e12856
Barbarä	w11_d613e12859
Mo	w13_d613e12863
nicä	w1_d613e12868
Zettin	w3_d613e12871
seel.	w5_d613e12874
Testament	w7_d613e12877
herrührende	w9_d613e12880
Legata	w11_d613e12883
und	w1_d613e12888
Schuld=forderungen,	w3_d613e12891
als	w5_d613e12894
für	w7_d613e12897
die	w9_d613e12900
Haslin	w11_d613e12903
gerische	w1_d613e12908
Kinder	w3_d613e12911
38.	w5_d613e12914
fl.	w7_d613e12917
22.	w9_d613e12920
kr.	w11_d613e12923
für	w13_d613e12927
den	w15_d613e12930
Augustin	w17_d613e12933
Higler	w1_d613e12939
9.	w3_d613e12942
fl.	w5_d613e12945
20.	w7_d613e12948
kr.	w9_d613e12951
für	w11_d613e12954
die	w13_d613e12958
Theresia	w15_d613e12961
Getterin	w17_d613e12964
Erbens=erben	w1_d613e12969
9.	w3_d613e12972
fl.	w5_d613e12975
20.	w7_d613e12978
kr.	w9_d613e12981
und	w11_d613e12984
für	w13_d613e12988
die	w15_d613e12991
Theresia	w17_d613e12994
von	w1_d613e12999
Rosenfeld	w3_d613e13002
20.	w5_d613e13005
fl	w7_d613e13008
mittelst	w9_d613e13011
Depositirung	w11_d613e13014
einer	w13_d613e13018
N.	w1_d613e13023
Oe.	w3_d613e13026
Landschafts	w5_d613e13029
obligation	w7_d613e13032
gerichtl.	w9_d613e13035
versichert,	w11_d613e13038
zugleich	w1_d613e13044
aber	w3_d613e13047
gebetten,	w5_d613e13050
daß	w7_d613e13053
obbenannte	w9_d613e13056
samment	w11_d613e13059
liche	w1_d613e13064
Jntereßirte	w3_d613e13067
über	w5_d613e13070
bereits	w7_d613e13073
angeschlagen	w9_d613e13076
gewe	w11_d613e13079
ste	w1_d613e13084
2.	w3_d613e13087
Edicten,	w5_d613e13090
mit	w7_d613e13093
Affigirung	w9_d613e13096
des	w11_d613e13099
dretten	w13_d613e13103
und	w15_d613e13106
letzten	w1_d613e13111
Edicts	w3_d613e13114
sub	w5_d613e13117
clansula	w7_d613e13120
præclusi	w9_d613e13123
fürgeladen	w11_d613e13126
wurden,	w1_d613e13132
welches	w3_d613e13135
uns	w5_d613e13138
Sperrs=commissarien	w7_d613e13141
auf	w9_d613e13144
erlegt,	w1_d613e13149
und	w3_d613e13152
von	w5_d613e13155
uns	w7_d613e13158
den	w9_d613e13161
11.	w11_d613e13164
Februarii	w13_d613e13168
1762.	w15_d613e13171
Nachmittag	w1_d613e13176
um	w3_d613e13179
2.	w5_d613e13182
Uhr	w7_d613e13185
in	w9_d613e13188
mein	w11_d613e13191
Landschreibers	w13_d613e13195
in	w1_d613e13200
der	w3_d613e13203
Waidzeil	w5_d613e13206
im	w7_d613e13209
vorhin	w9_d613e13212
Zickinischen,	w11_d613e13215
nuntneh	w13_d613e13219
ro	w1_d613e13225
Hartenbergischen	w3_d613e13228
Haus	w5_d613e13231
im	w7_d613e13234
anderten	w9_d613e13237
Stock	w11_d613e13240
habenden	w1_d613e13245
Wohn=zimmern	w3_d613e13248
zu	w5_d613e13251
erscheinen,	w7_d613e13254
zur	w9_d613e13257
clau	w11_d613e13260
sulirten	w1_d613e13265
Tagsatzung	w3_d613e13268
pro	w5_d613e13271
ultimo	w7_d613e13274
termino	w9_d613e13277
bestim	w11_d613e13280
met	w1_d613e13285
worden	w3_d613e13288
ist.	w5_d613e13291
Solchemnach	w7_d613e13294
werden	w9_d613e13297
obbe	w11_d613e13300
nann	w1_d613e13306
</p>
<p id="p8_d613e13311">
nannte	w1_d613e13315
Haßlingerische	w3_d613e13318
Kinder	w5_d613e13321
der	w7_d613e13324
Augustin	w9_d613e13327
Higler,	w11_d613e13330
oder	w1_d613e13335
dessen	w3_d613e13338
Erben,	w5_d613e13341
der	w7_d613e13344
Theresiä	w9_d613e13347
Geiterin	w11_d613e13350
Erbens	w13_d613e13354
erben,	w1_d613e13359
und	w3_d613e13362
die	w5_d613e13365
Theresia	w7_d613e13368
von	w9_d613e13371
Rosenfeld,	w11_d613e13374
oder	w13_d613e13378
der	w15_d613e13381
selben	w1_d613e13387
Erben	w3_d613e13390
an	w5_d613e13393
obgedachten	w7_d613e13396
Tag,	w9_d613e13399
Stund	w11_d613e13402
und	w13_d613e13406
Ort	w1_d613e13411
alsogewiß	w3_d613e13414
erscheinen,	w5_d613e13417
und	w7_d613e13420
sich	w9_d613e13423
behörig	w11_d613e13426
legi	w13_d613e13430
timiren,	w1_d613e13435
wie	w3_d613e13438
im	w5_d613e13441
widrigen	w7_d613e13444
ihre	w9_d613e13447
aus	w11_d613e13450
der	w13_d613e13454
Barbarä	w15_d613e13457
Monicä	w1_d613e13462
Zettin	w3_d613e13465
seel.	w5_d613e13468
Testament	w7_d613e13471
zu	w9_d613e13474
prätendiren	w11_d613e13477
habende,	w1_d613e13483
und	w3_d613e13486
von	w5_d613e13489
denen	w7_d613e13492
Lobweinischen	w9_d613e13495
Erben	w11_d613e13498
gerichtl.	w1_d613e13503
Depositirte	w3_d613e13506
Legata	w5_d613e13509
ihnen	w7_d613e13512
Lobweinischen	w9_d613e13515
Erben	w1_d613e13520
auf	w3_d613e13523
Anlangen	w5_d613e13526
zuruck	w7_d613e13529
erfolget	w9_d613e13532
werden	w11_d613e13535
sol	w13_d613e13539
len.	w1_d613e13544
Actum	w3_d613e13547
Wien	w5_d613e13550
den	w7_d613e13553
3.	w9_d613e13556
Decemb.	w11_d613e13559
1761.	w13_d613e13563
</p>
<p id="p12_d613e13621">
Von	w1_d613e13625
der	w3_d613e13628
Kaiserl.	w5_d613e13631
Königl.	w7_d613e13634
N.	w9_d613e13637
Oe.	w11_d613e13640
Regierung	w13_d613e13644
wegen,	w1_d613e13649
wird	w3_d613e13652
mit	w5_d613e13655
gegenwärtigen	w7_d613e13658
offenem	w9_d613e13661
Edict	w11_d613e13664
de	w13_d613e13668
nen	w1_d613e13673
sammentlichen	w3_d613e13676
sowol	w5_d613e13679
An	w7_d613e13682
als	w9_d613e13685
Abwesenden,	w11_d613e13688
sonderheitlich	w1_d613e13694
aber	w3_d613e13697
bey	w5_d613e13700
der	w7_d613e13703
unterm	w9_d613e13706
7.	w11_d613e13709
May	w13_d613e13713
1756.	w15_d613e13716
in	w1_d613e13721
Sachen	w3_d613e13724
angeordnet=gewesten	w5_d613e13727
Convocations	w7_d613e13730
tagsatzung	w1_d613e13735
sich	w3_d613e13738
angemeldeten	w5_d613e13741
Christian	w7_d613e13744
Volkmay	w9_d613e13747
rischen	w1_d613e13752
Credits=partheyen,	w3_d613e13755
benanntl.	w5_d613e13758
Johann	w7_d613e13761
Georg	w9_d613e13764
Klebinder,	w1_d613e13770
Burgerl.	w3_d613e13773
Handelsmann	w5_d613e13776
alhier,	w7_d613e13779
Ludvig	w9_d613e13782
Heurie,	w1_d613e13787
Balthasar	w3_d613e13790
Scholz,	w5_d613e13793
&	w7_d613e13796
Compag.	w9_d613e13799
Rosina	w11_d613e13802
Scholzin,	w1_d613e13807
Johann	w3_d613e13810
Anton	w5_d613e13813
Segger,	w7_d613e13816
Burgerl.	w9_d613e13819
Han	w11_d613e13822
delsmann	w1_d613e13827
alhier,	w3_d613e13830
dann	w5_d613e13833
Mathias	w7_d613e13836
Wurm,	w9_d613e13839
allenfalls	w11_d613e13842
derenselben	w1_d613e13848
Erben,	w3_d613e13851
Ceßionarien,	w5_d613e13854
oder	w7_d613e13857
deme	w9_d613e13860
son	w11_d613e13863
sten	w1_d613e13868
daran	w3_d613e13871
gelegen,	w5_d613e13874
kund	w7_d613e13877
und	w9_d613e13880
zu	w11_d613e13883
wissen	w13_d613e13887
gemacht;	w15_d613e13890
Es	w1_d613e13895
habe	w3_d613e13898
bey	w5_d613e13901
Regierung	w7_d613e13904
der	w9_d613e13907
gerichtl.	w11_d613e13910
verordnete	w13_d613e13914
Christian	w1_d613e13919
Volmayrische	w3_d613e13922
Curator	w5_d613e13925
ad	w7_d613e13928
