<doc id="wr_1761-10-21" attrs="word" year="1761" month="10" day="21" corpus="2">
<head id="h2_d597e3304">
Brest	w1_d597e3308
Wit.	w1_d597e10530
geb.	w3_d597e10533
v.	w5_d597e10536
Frotin,	w7_d597e10539
im	w9_d597e10542
Fockonetis.	w11_d597e10545
H.	w13_d597e10549
an	w15_d597e10552
der	w17_d597e10555
Wien,	w1_d597e10560
alt	w3_d597e10563
73.	w5_d597e10566
J.	w7_d597e10569
Dem	w1_d597e10575
Math.	w3_d597e10578
Mayr,	w5_d597e10581
Burgerl.	w7_d597e10584
Kuchel=gart.,	w9_d597e10587
s.	w11_d597e10590
W.	w13_d597e10594
An	w15_d597e10597
na,	w1_d597e10602
in	w3_d597e10605
s.	w5_d597e10608
H.	w7_d597e10611
in	w9_d597e10614
der	w11_d597e10617
Leopoldst.,	w13_d597e10621
alt	w15_d597e10624
29.	w17_d597e10627
J.	w19_d597e10630
Franz	w1_d597e10635
Krammer,	w3_d597e10638
Kuchel=gart.,	w5_d597e10641
in	w7_d597e10644
s.	w9_d597e10647
H.	w11_d597e10650
zu	w13_d597e10654
Erdberg,	w15_d597e10657
alt	w1_d597e10662
61.	w3_d597e10665
J.	w5_d597e10668
Dem	w1_d597e10674
Pet.	w3_d597e10677
Pauer,	w5_d597e10680
Pflasterer=ges.,	w7_d597e10683
s.	w9_d597e10686
W.	w11_d597e10689
Eathar.,	w13_d597e10693
beym	w1_d597e10698
gut.	w3_d597e10701
Hirt.	w5_d597e10704
am	w7_d597e10707
Neustift,	w9_d597e10710
alt	w11_d597e10713
30.	w13_d597e10717
J.	w15_d597e10720
Dem	w1_d597e10725
Wenzel	w3_d597e10728
Gallian,	w5_d597e10731
Bind.,	w7_d597e10734
s.	w9_d597e10737
K.	w11_d597e10740
Elisab.	w13_d597e10744
im	w15_d597e10747
Hof	w17_d597e10750
satleris.	w1_d597e10755
H.	w3_d597e10758
zu	w5_d597e10761
Gumpendorf,	w7_d597e10764
alt	w9_d597e10767
7.	w11_d597e10770
v.	w13_d597e10774
J.	w15_d597e10777
Dem	w1_d597e10783
Jacob	w3_d597e10786
Seel,	w5_d597e10789
Taglöhn,	w7_d597e10792
s.	w9_d597e10795
W.	w11_d597e10798
Cathar.,	w13_d597e10802
in	w15_d597e10805
s.	w17_d597e10808
H.	w19_d597e10811
zu	w1_d597e10816
Gumpendorf,	w3_d597e10819
alt	w5_d597e10822
53.	w7_d597e10825
J.	w9_d597e10828
Dem	w1_d597e10833
Jos.	w3_d597e10836
Hell,	w5_d597e10839
Stadt=nacht=wacht.,	w7_d597e10842
s.	w9_d597e10845
K.	w11_d597e10848
Cathar.	w13_d597e10852
beyn	w1_d597e10857
3.	w3_d597e10860
König.	w5_d597e10863
im	w7_d597e10866
Liechtenth.,	w9_d597e10869
alt	w11_d597e10872
4.	w13_d597e10876
J.	w15_d597e10879
Dem	w1_d597e10885
Joh.	w3_d597e10888
Dräxler,	w5_d597e10891
arm.,	w7_d597e10894
s.	w9_d597e10897
W.	w11_d597e10900
Cathar.,	w13_d597e10904
im	w15_d597e10907
lang.	w17_d597e10910
EKeller	w1_d597e10915
am	w3_d597e10918
Neubau,	w5_d597e10921
alt	w7_d597e10924
37.	w9_d597e10927
J.	w11_d597e10930
</list>
<head id="h2_d597e10937">
Summa	w1_d597e10941
9.	w3_d597e10944
Pers.,	w5_d597e10947
darunter	w7_d597e10950
3.	w9_d597e10953
Kind.	w11_d597e10956
Den	w1_d597e10961
15.	w3_d597e10964
Octob.	w5_d597e10967
Jn	w1_d597e10972
der	w3_d597e10975
Stadt.	w5_d597e10978
</head>
<list id="l4_d597e10981">
Cur	w1_d597e10985
alda,	w3_d597e10988
alt	w5_d597e10991
48.	w7_d597e10994
J.	w9_d597e10997
Der	w1_d597e11002
Ehrw.	w3_d597e11005
Fr.	w5_d597e11008
Maximin.	w7_d597e11011
Paul	w9_d597e11014
Lang,	w11_d597e11017
Ord.	w13_d597e11021
St.	w15_d597e11024
Franc.,	w1_d597e11029
im	w3_d597e11032
Klost.	w5_d597e11035
bey	w7_d597e11038
St.	w9_d597e11041
Hieron.,	w11_d597e11044
alt	w13_d597e11048
63.	w15_d597e11051
J.	w17_d597e11054
Dem	w1_d597e11060
Math.	w3_d597e11063
Paulla,	w5_d597e11066
Burgerl.	w7_d597e11069
Satl.,	w9_d597e11072
s.	w11_d597e11075
K.	w13_d597e11079
Franci	w15_d597e11082
sca,	w1_d597e11087
beym	w3_d597e11090
gold.	w5_d597e11093
Greif.	w7_d597e11096
in	w9_d597e11099
der	w11_d597e11102
Kärntnerstr.,	w13_d597e11106
1.	w15_d597e11109
J.	w17_d597e11112
</list>
<head id="h2_d597e11119">
Vor	w1_d597e11123
der	w3_d597e11126
Stadt.	w5_d597e11129
</head>
<list id="l4_d597e11132">
Der	w1_d597e11136
(Tit.)	w3_d597e11139
Hr.	w5_d597e11142
Franz	w7_d597e11145
v.	w9_d597e11148
Kneschowig,	w11_d597e11151
Cadet	w13_d597e11155
in	w15_d597e11158
der	w17_d597e11161
K.	w1_d597e11166
K.	w3_d597e11169
adel.	w5_d597e11172
Milit.	w7_d597e11175
Cadeten=pflanz=schul	w9_d597e11178
auf	w11_d597e11181
der	w13_d597e11185
Laimgr,	w1_d597e11190
alda,	w3_d597e11193
alt	w5_d597e11196
11.	w7_d597e11199
J.	w9_d597e11202
Dem	w1_d597e11208
Hrn.	w3_d597e11211
Leop.	w5_d597e11214
Lubach,	w7_d597e11217
gem.	w9_d597e11220
Stadt	w11_d597e11223
Wien	w13_d597e11227
Banco	w15_d597e11230
</list>
<list id="l10_d597e11244">
haupt=cassa=beamt.,	w1_d597e11248
s.	w3_d597e11251
K.	w5_d597e11254
Math.,	w7_d597e11257
Leop.,	w9_d597e11260
bey	w11_d597e11263
dem	w13_d597e11267
Reichs=adl.	w1_d597e11272
in	w3_d597e11275
der	w5_d597e11278
Josephst.,	w7_d597e11281
alt	w9_d597e11284
1.	w11_d597e11287
J.	w13_d597e11291
Dem	w1_d597e11296
Joh.	w3_d597e11299
Lechner,	w5_d597e11302
Burgerl.	w7_d597e11305
Schnür=mach.,	w9_d597e11308
s.	w11_d597e11311
K.	w13_d597e11315
Anna,	w1_d597e11321
beym	w3_d597e11324
gold.	w5_d597e11327
Schlös.	w7_d597e11330
am	w9_d597e11333
Spitalb.,	w11_d597e11336
3.	w13_d597e11340
J.	w15_d597e11343
Maria	w1_d597e11348
Barb.	w3_d597e11351
Settelin,	w5_d597e11354
Burgerl.	w7_d597e11357
Wittwe,	w9_d597e11360
in	w11_d597e11363
ihrem	w13_d597e11367
H.	w1_d597e11372
auf	w3_d597e11375
der	w5_d597e11378
Landstr.,	w7_d597e11381
alt	w9_d597e11384
58.	w11_d597e11387
J.	w13_d597e11391
Ursula	w1_d597e11396
Lippingerin,	w3_d597e11399
Burgerl.	w5_d597e11402
Wittwe,	w7_d597e11405
in	w9_d597e11408
ihrem	w11_d597e11411
H.	w13_d597e11415
ausser	w1_d597e11421
Maria=hülf,	w3_d597e11424
alt	w5_d597e11427
67.	w7_d597e11430
J.	w9_d597e11433
Joh.	w1_d597e11438
Lorenzer,	w3_d597e11441
Schneid.,	w5_d597e11444
im	w7_d597e11447
Haueris.	w9_d597e11450
H.	w11_d597e11453
am	w13_d597e11457
Neu	w15_d597e11460
stift,	w1_d597e11465
alt	w3_d597e11468
66	w5_d597e11471
J.	w7_d597e11474
Franz	w1_d597e11479
Grünweber,	w3_d597e11482
ohne	w5_d597e11485
Condit.,	w7_d597e11488
im	w9_d597e11491
Rachellis.	w11_d597e11494
H.	w13_d597e11498
in	w1_d597e11504
der	w3_d597e11507
kl.	w5_d597e11510
Alster=gas,	w7_d597e11513
alt	w9_d597e11516
75.	w11_d597e11519
J.	w13_d597e11523
</list>
<head id="h2_d597e11530">
Summa	w1_d597e11534
10.	w3_d597e11537
Pers.,	w5_d597e11540
darunter	w7_d597e11543
4.	w9_d597e11546
Kind.	w11_d597e11549
Den	w1_d597e11554
16.	w3_d597e11557
Octob.	w5_d597e11560
Jn	w7_d597e11563
der	w9_d597e11566
Stadt.	w11_d597e11569
</head>
<list id="l4_d597e11572">
Dem	w1_d597e11576
Hoch	w3_d597e11579
und	w5_d597e11582
Wol=geb.	w7_d597e11585
Hrn.	w9_d597e11588
Hrn.	w11_d597e11591
Ant.	w13_d597e11595
Paul,	w15_d597e11598
des	w1_d597e11603
H.	w3_d597e11606
R.	w5_d597e11609
R.	w7_d597e11612
Graf.	w9_d597e11615
und	w11_d597e11618
Hrn.	w13_d597e11622
v.	w15_d597e11625
Gatterburg,	w17_d597e11628
Frey=hrn.	w1_d597e11633
auf	w3_d597e11636
Rötz,	w5_d597e11639
Hern.	w7_d597e11642
deren	w9_d597e11645
Herrschaften	w11_d597e11648
Zwölfäxing,	w1_d597e11654
u.	w3_d597e11657
Pellendorf,	w5_d597e11660
dero	w7_d597e11663
Gräfl.	w9_d597e11666
Hr.	w11_d597e11669
S.	w13_d597e11673
Camil.	w1_d597e11678
Jos.,	w3_d597e11681
beym	w5_d597e11684
stein.	w7_d597e11687
Rös.	w9_d597e11690
in	w11_d597e11693
der	w13_d597e11697
Singerstr.,	w15_d597e11700
alt	w1_d597e11705
10.	w3_d597e11708
J.	w5_d597e11711
Dem	w1_d597e11716
Hrn.	w3_d597e11719
Joh.	w5_d597e11722
Andre,	w7_d597e11725
K.	w9_d597e11728
K.	w11_d597e11731
Kammer	w13_d597e11735
trab.,	w15_d597e11738
s.	w17_d597e11741
K.	w19_d597e11744
Carnel.,	w1_d597e11750
im	w3_d597e11753
Bockis.	w5_d597e11756
H	w7_d597e11759
in	w9_d597e11762
der	w11_d597e11765
Teintfaltstr.	w13_d597e11769
5.	w15_d597e11772
J.	w17_d597e11775
Dem	w1_d597e11780
Andre	w3_d597e11783
Hufnagl,	w5_d597e11786
Burgel.	w7_d597e11789
Parock.,	w9_d597e11792
s.	w11_d597e11795
K.	w13_d597e11799
Pet.,	w15_d597e11802
beym	w1_d597e11807
gold.	w3_d597e11810
Reb=han	w5_d597e11813
im	w7_d597e11816
Schlosser=gäs.,	w9_d597e11819
3.	w11_d597e11822
J.	w13_d597e11826
Cathar.	w1_d597e11831
Angermayrin,	w3_d597e11834
Burgerl.	w5_d597e11837
Wittwe,	w7_d597e11840
in	w9_d597e11843
dem	w11_d597e11846
Goldschlageris.	w1_d597e11852
H.	w3_d597e11855
am	w5_d597e11858
Kohlm.,	w7_d597e11861
alt	w9_d597e11864
56.	w11_d597e11867
J.	w13_d597e11871
Elisab.	w1_d597e11876
Lutzin,	w3_d597e11879
Wittwe,	w5_d597e11882
im	w7_d597e11885
alt=Wenighoferis.	w9_d597e11888
H.	w11_d597e11891
am	w1_d597e11896
Juden=platz,	w3_d597e11899
alt	w5_d597e11902
77.	w7_d597e11905
J.	w9_d597e11908
</list>
<head id="h2_d597e11915">
Vor	w1_d597e11919
der	w3_d597e11922
Stadt.	w5_d597e11925
</head>
<list id="l4_d597e11928">
Fr.	w1_d597e11932
Maria	w3_d597e11935
Barb.	w5_d597e11938
Witmanin,	w7_d597e11941
Wittwe,	w9_d597e11944
bey	w11_d597e11947
der	w13_d597e11951
gol	w15_d597e11954
den.	w1_d597e11959
Kanne	w3_d597e11962
in	w5_d597e11965
der	w7_d597e11968
Josephst.,	w9_d597e11971
alt	w11_d597e11974
53.	w13_d597e11978
J.	w15_d597e11981
Dem	w1_d597e11986
Joh.	w3_d597e11989
Mich.	w5_d597e11992
Planer,	w7_d597e11995
Burgerl.	w9_d597e11998
Schuhmach.	w11_d597e12001
s	w13_d597e12005
W.	w15_d597e12008
Theres.,	w1_d597e12014
beym	w3_d597e12017
schw.	w5_d597e12020
Bauren	w7_d597e12023
bey	w9_d597e12026
St.	w11_d597e12029
Ulrich,	w13_d597e12033
alt	w15_d597e12036
30.	w1_d597e12041
J.	w3_d597e12044
Elisab.	w1_d597e12049
Pfeifferin,	w3_d597e12052
Burgerl.	w5_d597e12055
Wittwe,	w7_d597e12058
beym	w9_d597e12061
weis.	w11_d597e12064
Rös.	w1_d597e12069
am	w3_d597e12072
Neubau,	w5_d597e12075
alt	w7_d597e12078
78.	w9_d597e12081
J.	w11_d597e12084
Elisab.	w1_d597e12090
Eglauerin,	w3_d597e12093
led.,	w5_d597e12096
beym	w7_d597e12099
schwarz.	w9_d597e12102
Bärn.	w11_d597e12105
in	w13_d597e12109
der	w1_d597e12114
Leopoldst.,	w3_d597e12117
alt	w5_d597e12120
81.	w7_d597e12123
J.	w9_d597e12126
Ant.	w1_d597e12131
Rosset,	w3_d597e12134
gew.	w5_d597e12137
Kammer=dien.,	w7_d597e12140
beym	w9_d597e12143
schwarz.	w11_d597e12146
Rab.	w1_d597e12151
bey	w3_d597e12154
St.	w5_d597e12157
Ulrich,	w7_d597e12160
alt	w9_d597e12163
65.	w11_d597e12166
J.	w13_d597e12170
Dem	w1_d597e12176
Leonh	w3_d597e12179
Eibel,	w5_d597e12182
Tändl.,	w7_d597e12185
s.	w9_d597e12188
K.	w11_d597e12191
Math.,	w13_d597e12195
beyn	w15_d597e12198
3.	w17_d597e12201
Kron.	w1_d597e12206
am	w3_d597e12209
Spitalberg,	w5_d597e12212
alt	w7_d597e12215
6.	w9_d597e12218
J.	w11_d597e12221
Eva	w1_d597e12226
Baschingerin,	w3_d597e12229
Wittwe,	w5_d597e12232
beyn	w7_d597e12235
12.	w9_d597e12238
Apost.	w11_d597e12241
in	w13_d597e12245
der	w15_d597e12248
Josephst,	w1_d597e12253
alt	w3_d597e12256
81.	w5_d597e12259
J.	w7_d597e12262
</list>
<head id="h2_d597e12269">
Summa	w1_d597e12273
12.	w3_d597e12276
Person.	w5_d597e12279
darunter	w7_d597e12282
4.	w9_d597e12285
Kind.	w11_d597e12288
Den	w1_d597e12293
17.	w3_d597e12296
Octob.	w5_d597e12299
Jn	w1_d597e12304
der	w3_d597e12307
Stadt.	w5_d597e12310
</head>
<list id="l4_d597e12313">
Der	w1_d597e12317
(Tit.)	w3_d597e12320
Hr.	w5_d597e12323
Adolph	w7_d597e12326
Franz	w9_d597e12329
Pirot,	w11_d597e12332
K.	w13_d597e12336
K.	w15_d597e12339
Jnval.	w17_d597e12342
Hof=commis=secret.,	w1_d597e12347
im	w3_d597e12350
Kummetingeris.	w5_d597e12353
H.	w7_d597e12356
auf	w9_d597e12359
der	w1_d597e12364
Kärntner=thor=bastey,	w3_d597e12367
alt	w5_d597e12370
65.	w7_d597e12373
J.	w9_d597e12376
Dem	w1_d597e12382
Hrn.	w3_d597e12385
Jos.	w5_d597e12388
Staudinger,	w7_d597e12391
Burgerl.	w9_d597e12394
Handelsm.	w11_d597e12397
s.	w1_d597e12402
Fr.	w3_d597e12405
Maria	w5_d597e12408
Anna,	w7_d597e12411
beym	w9_d597e12414
Hasel	w11_d597e12417
am	w13_d597e12421
Hof,	w15_d597e12424
37.	w17_d597e12427
J.	w19_d597e12430
Dem	w1_d597e12435
Conrad	w3_d597e12438
Fleischman,	w5_d597e12441
Burgerl.	w7_d597e12444
Land=kutsch.,	w9_d597e12447
s.	w1_d597e12452
K.	w3_d597e12455
Carl,	w5_d597e12458
im	w7_d597e12461
Fuhrmanis.	w9_d597e12464
H.	w11_d597e12467
in	w13_d597e12471
der	w15_d597e12474
Riemerstr.,	w17_d597e12477
alt	w1_d597e12483
3.	w3_d597e12486
J.	w5_d597e12489
</list>
<head id="h2_d597e12497">
Vor	w1_d597e12501
der	w3_d597e12504
Stadt.	w5_d597e12507
</head>
<list id="l4_d597e12510">
Der	w1_d597e12514
Elisab.	w3_d597e12517
Fischerin,	w5_d597e12520
Burgerl.	w7_d597e12523
Wittwe,	w9_d597e12526
ihr	w11_d597e12529
K.	w13_d597e12533
Elisab.,	w1_d597e12538
in	w3_d597e12541
ihrem	w5_d597e12544
H.	w7_d597e12547
untern	w9_d597e12550
Weiß	w11_d597e12553
gärb.,	w13_d597e12557
7.	w15_d597e12560
J.	w17_d597e12563
Der	w1_d597e12568
Elisab.	w3_d597e12571
Freundin,	w5_d597e12574
Wittwe,	w7_d597e12577
ihr	w9_d597e12580
K.	w11_d597e12583
Jos.,	w13_d597e12587
beym	w15_d597e12590
gold.	w1_d597e12596
Löw.	w3_d597e12599
am	w5_d597e12602
Neustift,	w7_d597e12605
alt	w9_d597e12608
11.	w11_d597e12611
J.	w13_d597e12615
Dem	w1_d597e12620
Jos.	w3_d597e12623
Schönwetter,	w5_d597e12626
Stuben=vat.	w7_d597e12629
in	w9_d597e12632
U.	w11_d597e12635
L.	w13_d597e12639
Fr.	w15_d597e12642
Spit.	w1_d597e12647
am	w3_d597e12650
Rennwey,	w5_d597e12653
s.	w7_d597e12656
W.	w9_d597e12659
Elisab.,	w11_d597e12662
alda,	w13_d597e12666
70.	w15_d597e12669
J.	w17_d597e12672
Theres.	w1_d597e12677
Feidin,	w3_d597e12680
Wittwe,	w5_d597e12683
in	w7_d597e12686
ihrem	w9_d597e12689
H.	w11_d597e12692
im	w13_d597e12696
Liechten	w15_d597e12699
thal,	w1_d597e12705
alt	w3_d597e12708
55.	w5_d597e12711
J.	w7_d597e12714
Joh.	w1_d597e12719
Georg	w3_d597e12722
Landgraf,	w5_d597e12725
Lack,	w7_d597e12728
im	w9_d597e12731
Arcieris.	w11_d597e12734
H.	w13_d597e12738
auf	w15_d597e12741
der	w17_d597e12744
neu.	w1_d597e12749
Wied.,	w3_d597e12752
alt	w5_d597e12755
58.	w7_d597e12758
J.	w9_d597e12761
Anna	w1_d597e12766
Leidenfrostin,	w3_d597e12769
led.	w5_d597e12772
M.,	w7_d597e12775
bey	w9_d597e12778
der	w11_d597e12781
H.	w13_d597e12785
Dreyfol	w15_d597e12788
tigk.	w1_d597e12794
am	w3_d597e12797
Thury,	w5_d597e12800
alt	w7_d597e12803
25.	w9_d597e12806
J.	w11_d597e12809
Joh.	w1_d597e12814
Gutenthaller,	w3_d597e12817
Holz=hack.,	w5_d597e12820
im	w7_d597e12823
Zeuzis.	w9_d597e12826
H.	w11_d597e12829
an	w13_d597e12833
Himmel=pfort=gr.,	w1_d597e12838
alt	w3_d597e12841
61.	w5_d597e12844
J	w7_d597e12847
Dem	w1_d597e12852
Jos.	w3_d597e12855
Pachleutner,	w5_d597e12858
Lust=gartn.,	w7_d597e12861
s.	w9_d597e12864
S.	w11_d597e12867
Jos.,	w13_d597e12871
im	w15_d597e12874
Wagenrockis.	w1_d597e12880
H.	w3_d597e12883
in	w5_d597e12886
der	w7_d597e12889
Leopoldst.,	w9_d597e12892
12.	w11_d597e12895
J.	w13_d597e12899
Sim.	w1_d597e12904
Kröner,	w3_d597e12907
in	w5_d597e12910
St.	w7_d597e12913
Joh.	w9_d597e12916
Nep.	w11_d597e12919
Spit.,	w13_d597e12923
alt	w15_d597e12926
81.	w17_d597e12929
J.	w19_d597e12932
Sim.	w1_d597e12937
Fanl,	w3_d597e12940
Lust=gart.,	w5_d597e12943
im	w7_d597e12946
Pelseris.	w9_d597e12949
Gart.	w11_d597e12952
zu	w13_d597e12956
Matz	w15_d597e12959
leinstorf,	w1_d597e12964
alt	w3_d597e12967
50.	w5_d597e12970
J.	w7_d597e12973
Joh.	w1_d597e12979
Sultzbacher,	w3_d597e12982
Taglöhn.,	w5_d597e12985
beym	w7_d597e12988
weis.	w9_d597e12991
Wolf.	w11_d597e12994
im	w13_d597e12998
Lerchenf.,	w1_d597e13003
alt	w3_d597e13006
37.	w5_d597e13009
J.	w7_d597e13012
Dem	w1_d597e13017
Veit	w3_d597e13020
Schmid,	w5_d597e13023
Taglöhn.,	w7_d597e13026
s.	w9_d597e13029
K.	w11_d597e13032
Jos.,	w13_d597e13036
bey	w15_d597e13039
St.	w17_d597e13042
Florian	w1_d597e13047
zu	w3_d597e13050
Nicolstorf,	w5_d597e13053
alt	w7_d597e13056
2.	w9_d597e13059
J.	w11_d597e13062
Dem	w1_d597e13068
Math.	w3_d597e13071
Mayr,	w5_d597e13074
Kutsch.,	w7_d597e13077
s.	w9_d597e13080
K.	w11_d597e13083
Georg,	w13_d597e13087
bey	w15_d597e13090
der	w17_d597e13093
gold.	w1_d597e13098
Birn	w3_d597e13101
am	w5_d597e13104
Spitalberg,	w7_d597e13107
alt	w9_d597e13110
6.	w11_d597e13113
v.	w13_d597e13117
J.	w15_d597e13120
</list>
<head id="h2_d597e13127">
Summa	w1_d597e13131
16.	w3_d597e13134
Perst,	w5_d597e13137
darunter	w7_d597e13140
5.	w9_d597e13143
Kind.	w11_d597e13146
</head>
<list id="l4_d597e13149">
Bey	w1_d597e13153
den	w3_d597e13156
Verlegern	w5_d597e13159
des	w7_d597e13162
Wienerischen	w9_d597e13165
Diarii	w11_d597e13168
und	w1_d597e13173
in	w3_d597e13176
allen	w5_d597e13179
hiesigen	w7_d597e13182
Buchhandlungen	w9_d597e13185
ist	w11_d597e13188
zu	w13_d597e13192
haben:	w15_d597e13195
Schreiben	w1_d597e13200
an	w3_d597e13203
den	w5_d597e13206
Verfasser	w7_d597e13209
des	w9_d597e13212
Desretes	w11_d597e13215
für	w13_d597e13219
den	w1_d597e13225
Vicepräsidenten	w3_d597e13228
der	w5_d597e13231
Gesellschaft	w7_d597e13234
der	w9_d597e13237
Wissen	w11_d597e13240
schaften	w1_d597e13245
zu	w3_d597e13248
Wißburg,	w5_d597e13251
Grafen	w7_d597e13254
von	w9_d597e13257
Haubenstock	w11_d597e13260
Das	w1_d597e13265
Stück	w3_d597e13268
pr.	w5_d597e13271
7.	w7_d597e13274
Kr.	w9_d597e13277
Jtem	w1_d597e13282
Helden=ruf	w3_d597e13285
erschallend	w5_d597e13288
durch	w7_d597e13291
Röm.	w9_d597e13294
Teutschss	w1_d597e13300
Reich,	w3_d597e13303
vom	w5_d597e13306
grossen	w7_d597e13309
Generalfeldzeug	w9_d597e13312
meister	w1_d597e13317
Hrn.	w3_d597e13320
Baron	w5_d597e13323
Gedeon	w7_d597e13326
v.	w9_d597e13329
Loudon,	w11_d597e13332
abgesungen	w13_d597e13336
von	w1_d597e13341
l.	w3_d597e13344
H.	w5_d597e13347
M.	w7_d597e13350
das	w9_d597e13353
Stuck	w11_d597e13356
pr.	w13_d597e13360
3.	w15_d597e13363
kr.	w17_d597e13366
</list>
<p id="p6_d597e13370">
Bey	w1_d597e13374
Hrn.	w3_d597e13377
Johann	w5_d597e13380
Michael	w7_d597e13383
Pöck,	w9_d597e13386
Burgerl.	w11_d597e13389
Han	w13_d597e13393
dels=mann	w1_d597e13398
in	w3_d597e13401
seinem	w5_d597e13404
Specerey=handlungs	w7_d597e13407
gewolb	w9_d597e13410
bey	w1_d597e13415
dem	w3_d597e13418
weissen	w5_d597e13421
Rößl	w7_d597e13424
am	w9_d597e13427
hohen	w11_d597e13430
Markt	w13_d597e13434
dem	w15_d597e13437
Brun	w17_d597e13440
haus	w1_d597e13446
gegenüber,	w3_d597e13449
ist	w5_d597e13452
ein	w7_d597e13455
extra	w9_d597e13458
gut	w11_d597e13461
und	w13_d597e13465
gerechter	w15_d597e13468
Hungarischer	w1_d597e13473
Oedenburger	w3_d597e13476
ausbruch	w5_d597e13479
wermut	w7_d597e13482
alige	w9_d597e13485
kommen,	w1_d597e13490
wovon	w3_d597e13493
die	w5_d597e13496
Maß	w7_d597e13499
pr	w9_d597e13502
36.	w11_d597e13505
kr.	w13_d597e13509
verkauffet	w15_d597e13512
wird.	w17_d597e13515
</p>
<p id="p8_d597e13518">
Es	w1_d597e13522
wird	w3_d597e13525
hiemit	w5_d597e13528
jedermänniglich	w7_d597e13531
kund	w9_d597e13534
und	w11_d597e13537
zu	w13_d597e13541
wis	w15_d597e13544
sen	w1_d597e13549
gemacht,	w3_d597e13552
welchergestalten	w5_d597e13555
den	w7_d597e13558
9.	w9_d597e13561
künftigen	w11_d597e13564
Monats	w1_d597e13569
Novemb.	w3_d597e13572
die	w5_d597e13575
auf	w7_d597e13578
der	w9_d597e13581
alten	w11_d597e13584
Burger=mut	w13_d597e13588
sterung	w1_d597e13594
gelegene,	w3_d597e13597
zu	w5_d597e13600
denen	w7_d597e13603
12.	w9_d597e13606
Aposteln	w11_d597e13609
genannte	w13_d597e13613
Behausung	w1_d597e13618
offentlich	w3_d597e13621
wird	w5_d597e13624
seil	w7_d597e13627
geboten	w9_d597e13630
werden,	w11_d597e13633
wer	w1_d597e13638
nun	w3_d597e13641
sothane	w5_d597e13644
Behausung	w7_d597e13647
käuflichen	w9_d597e13650
an	w11_d597e13653
sich	w13_d597e13657
zu	w15_d597e13660
bringen	w1_d597e13665
gedenket,	w3_d597e13668
derselbe	w5_d597e13671
beliebe	w7_d597e13674
sich	w9_d597e13677
an	w11_d597e13680
obbestim	w13_d597e13684
ten	w1_d597e13690
Tag	w3_d597e13693
auf	w5_d597e13696
dem	w7_d597e13699
alhiesigen	w9_d597e13702
Raht=haus	w11_d597e13705
frahe	w13_d597e13709
um	w15_d597e13712
8.	w1_d597e13717
Uhr	w3_d597e13720
anzumelden.	w5_d597e13723
</p>
<p id="p10_d597e13726">
Mdcihakiultiemn	w1_d597e13730
Tanerden.,	w3_d597e13733
in	w5_d597e13736
den	w7_d597e13739
2.	w9_d597e13742
Msi	w11_d597e13745
Wanand	w1_d597e13750
Depeht	w3_d597e13753
werden	w5_d597e13756
den	w7_d597e13759
der	w9_d597e13762
Oherdactenshedges	w11_d597e13765
</p>
<p id="p14_d597e13773">
im	w1_d597e13777
Stillfridischen	w3_d597e13780
Haus	w5_d597e13783
im	w7_d597e13786
anderten	w9_d597e13789
Stock	w11_d597e13792
ver	w13_d597e13796
schiedene	w1_d597e13801
Verlassenschafts=effecten,	w3_d597e13804
als	w5_d597e13807
etwas	w7_d597e13810
Frauen=kleider,	w1_d597e13815
deto	w3_d597e13818
Wäsch,	w5_d597e13821
dann	w7_d597e13824
Niederländer,	w9_d597e13827
ingleichen	w1_d597e13833
grün	w3_d597e13836
und	w5_d597e13839
rot	w7_d597e13842
brokatellene	w9_d597e13845
Spallier,	w11_d597e13848
ge	w13_d597e13852
nähte	w1_d597e13857
und	w3_d597e13860
Brokatellene	w5_d597e13863
Lähn	w7_d597e13866
und	w9_d597e13869
Stock=sesseln,	w11_d597e13872
Spiegel,	w1_d597e13877
Kästen,	w3_d597e13880
Luster,	w5_d597e13883
Tisch,	w7_d597e13886
dann	w9_d597e13889
1.	w11_d597e13892
mit	w13_d597e13896
aller	w15_d597e13899
Zugehör	w1_d597e13904
versehenes	w3_d597e13907
Billiard,	w5_d597e13910
nicht	w7_d597e13913
weniger	w9_d597e13916
1.	w11_d597e13919
zwey	w13_d597e13923
sitziger	w1_d597e13929
mit	w3_d597e13932
seinen	w5_d597e13935
Cremoisin=sammet	w7_d597e13938
gefüttert	w9_d597e13941
halb	w1_d597e13946
neuer	w3_d597e13949
Staats=wagen,	w5_d597e13952
und	w7_d597e13955
2.	w9_d597e13958
Rappen	w11_d597e13961
Vormit	w13_d597e13965
tag	w1_d597e13970
von	w3_d597e13973
9.	w5_d597e13976
bis	w7_d597e13979
12.	w9_d597e13982
Nachmittag	w11_d597e13985
von	w13_d597e13989
3.	w15_d597e13992
bis	w17_d597e13995
6.	w19_d597e13998
Uhr	w21_d597e14001
dem	w1_d597e14006
Meist	w3_d597e14009
bietenden	w5_d597e14012
gegen	w7_d597e14015
alsogleich	w9_d597e14018
baar	w11_d597e14021
leisten	w13_d597e14025
der	w1_d597e14031
Bezahlung	w3_d597e14034
licitando	w5_d597e14037
verkauffet	w7_d597e14040
werden.	w9_d597e14043
</p>
<p id="p16_d597e14046">
Von	w1_d597e14050
der	w3_d597e14053
Römisch=Kaiserl	w5_d597e14056
zu	w7_d597e14059
Hungarn	w9_d597e14062
und	w11_d597e14065
Bö	w13_d597e14069
