<doc id="wr_1757-09-03" attrs="word" year="1757" month="09" day="03" corpus="2">
<head id="h2_d175e2874">
Alicante	w1_d175e2878
die	w7_d175e10135
Stadt	w9_d175e10138
Stallupön,	w11_d175e10141
sondern	w1_d175e10146
auch	w3_d175e10149
die	w5_d175e10152
Vogtey	w7_d175e10155
Spirwind,	w9_d175e10158
und	w11_d175e10161
die	w13_d175e10165
Stadt	w1_d175e10170
Gumbin	w3_d175e10173
alsogleich	w5_d175e10176
denen	w7_d175e10179
Russen	w9_d175e10182
sich	w11_d175e10185
unterworfen,	w1_d175e10190
diese	w3_d175e10193
Oerter	w5_d175e10196
auch	w7_d175e10199
bereits	w9_d175e10202
den	w11_d175e10205
Eid	w13_d175e10209
der	w1_d175e10215
Treue	w3_d175e10218
Jhrer	w5_d175e10221
Majestät	w7_d175e10224
der	w9_d175e10227
Rußischen	w11_d175e10230
Mo	w13_d175e10234
narchin	w1_d175e10239
geschworen	w3_d175e10242
hätten;	w5_d175e10245
daß	w7_d175e10248
in	w9_d175e10251
Gumbin	w11_d175e10254
ein	w1_d175e10259
Rußisches	w3_d175e10262
Jnfanterie=regiment	w5_d175e10265
unter	w7_d175e10268
Com	w9_d175e10271
mando	w1_d175e10276
des	w3_d175e10279
Obristens	w5_d175e10282
Gerstorf	w7_d175e10285
zur	w9_d175e10288
Bedeckung	w11_d175e10291
ihrer	w1_d175e10297
dasigen	w3_d175e10300
Magazinen,	w5_d175e10303
und	w7_d175e10306
Spitals	w9_d175e10309
zu	w11_d175e10312
ruck	w1_d175e10317
gelassen	w3_d175e10320
worden;	w5_d175e10323
daß	w7_d175e10326
den	w9_d175e10329
9.	w11_d175e10332
Augusti	w13_d175e10336
abermal	w1_d175e10341
ein	w3_d175e10344
Detaschement	w5_d175e10347
Russen	w7_d175e10350
gegen	w9_d175e10353
ein	w11_d175e10356
Preußisches	w1_d175e10361
(welches	w3_d175e10364
in	w5_d175e10367
dem	w7_d175e10370
Wald	w9_d175e10373
Piczkems	w11_d175e10376
ky	w1_d175e10382
hinter	w3_d175e10385
dem	w5_d175e10388
Dorf	w7_d175e10391
Gerwichkene	w9_d175e10394
postirt	w11_d175e10397
ware,	w13_d175e10401
und	w1_d175e10406
welchen	w3_d175e10409
Wald	w5_d175e10412
die	w7_d175e10415
Rußische	w9_d175e10418
Armee	w11_d175e10421
zu	w13_d175e10425
pas	w15_d175e10428
siren	w1_d175e10433
hatte)	w3_d175e10436
voraus	w5_d175e10439
geschicket	w7_d175e10442
worden	w9_d175e10445
seye:	w11_d175e10448
daß	w1_d175e10453
eben	w3_d175e10456
dieses	w5_d175e10459
Detaschement,	w7_d175e10462
ungeachtet	w9_d175e10465
solches	w1_d175e10471
nur	w3_d175e10474
aus	w5_d175e10477
300.	w7_d175e10480
Hussaren,	w9_d175e10483
dann	w11_d175e10486
300.	w13_d175e10490
Czuhujewischen,	w1_d175e10495
und	w3_d175e10498
500.	w5_d175e10501
Dohnischen	w7_d175e10504
Cosa	w9_d175e10507
cken	w1_d175e10512
bestanden,	w3_d175e10515
dannoch	w5_d175e10518
den	w7_d175e10521
Feind,	w9_d175e10524
welcher	w11_d175e10527
5.	w1_d175e10532
Schwadronen	w3_d175e10535
gelb	w5_d175e10538
und	w7_d175e10541
schwarze	w9_d175e10544
Hussa	w11_d175e10547
ren,	w1_d175e10553
und	w3_d175e10556
60.	w5_d175e10559
Boßniacken,	w7_d175e10562
nebst	w9_d175e10565
300.	w11_d175e10568
Jä	w13_d175e10572
gern	w1_d175e10577
in	w3_d175e10580
gedachten	w5_d175e10583
Wald	w7_d175e10586
sehr	w9_d175e10589
vortheilhaft	w11_d175e10592
ste	w13_d175e10596
hend	w1_d175e10601
gehabt,	w3_d175e10604
dannoch	w5_d175e10607
glücklich	w7_d175e10610
daraus	w9_d175e10613
ver	w11_d175e10616
trieben,	w1_d175e10621
und	w3_d175e10624
bis	w5_d175e10627
nach	w7_d175e10630
Jnsterburg	w9_d175e10633
verfolgt,	w11_d175e10636
auch	w1_d175e10642
bey	w3_d175e10645
diesfälligen	w5_d175e10648
Angrif	w7_d175e10651
mehr	w9_d175e10654
nicht	w11_d175e10657
als	w13_d175e10661
einen	w1_d175e10666
Leutenant	w3_d175e10669
und	w5_d175e10672
5.	w7_d175e10675
Hussaren	w9_d175e10678
todt,	w11_d175e10681
dann	w13_d175e10685
einen	w1_d175e10690
Leutenant	w3_d175e10693
und	w5_d175e10696
15.	w7_d175e10699
Mann	w9_d175e10702
blessirt,	w11_d175e10705
ein	w13_d175e10709
gebüsset	w1_d175e10714
habe,	w3_d175e10717
unter	w5_d175e10720
welch=letzteren	w7_d175e10723
ein	w9_d175e10726
Ca	w11_d175e10729
poral,	w1_d175e10735
und	w3_d175e10738
2.	w5_d175e10741
Czuhujewische	w7_d175e10744
Cosacken	w9_d175e10747
sich	w11_d175e10750
befänden,	w1_d175e10755
dargegen	w3_d175e10758
Preußischer	w5_d175e10761
Seits	w7_d175e10764
mehr	w9_d175e10767
als	w1_d175e10772
50.	w3_d175e10775
Hussaren	w5_d175e10778
und	w7_d175e10781
Boßniacken	w9_d175e10784
nebst	w11_d175e10787
einem	w13_d175e10791
Officier	w1_d175e10796
geblieben,	w3_d175e10799
ein	w5_d175e10802
schwarzer	w7_d175e10805
Hussar,	w9_d175e10808
und	w11_d175e10811
26.	w1_d175e10817
Jäger	w3_d175e10820
aber	w5_d175e10823
gefangen	w7_d175e10826
worden	w9_d175e10829
wären,	w11_d175e10832
bey	w13_d175e10836
welchem	w1_d175e10841
Angrif	w3_d175e10844
hauptsächlichen	w5_d175e10847
der	w7_d175e10850
Rußische	w9_d175e10853
Obriste	w1_d175e10858
von	w3_d175e10861
Stojanow	w5_d175e10864
eine	w7_d175e10867
ganz	w9_d175e10870
besondere	w11_d175e10873
Tapferkeit	w1_d175e10878
erwiesen	w3_d175e10881
habe;	w5_d175e10884
daß	w7_d175e10887
die	w9_d175e10890
Rußische	w11_d175e10893
Armee,	w1_d175e10899
welche	w3_d175e10902
gleich	w5_d175e10905
darauf	w7_d175e10908
nahe	w9_d175e10911
an	w11_d175e10914
dem	w13_d175e10918
Wald,	w1_d175e10923
wo	w3_d175e10926
diese	w5_d175e10929
Affaire	w7_d175e10932
vorgefallen,	w9_d175e10935
sich	w11_d175e10938
gelagert	w1_d175e10943
hatte,,	w3_d175e10946
den	w5_d175e10949
11.	w7_d175e10952
weiters	w9_d175e10955
gegen	w11_d175e10958
Georgenburg	w1_d175e10963
vorgeruckt	w3_d175e10966
seye;	w5_d175e10969
daß	w7_d175e10972
eben	w9_d175e10975
an	w11_d175e10978
diesem	w1_d175e10984
letzteren	w3_d175e10987
Ort	w5_d175e10990
der	w7_d175e10993
Rußische	w9_d175e10996
Herr	w11_d175e10999
Gene	w13_d175e11003
ral	w1_d175e11008
Fermer	w3_d175e11011
(welcher	w5_d175e11014
die	w7_d175e11017
Stadt	w9_d175e11020
Tilsit,	w11_d175e11023
und	w13_d175e11027
alle	w1_d175e11032
darzu	w3_d175e11035
gehörige	w5_d175e11038
Kirch=spiele	w7_d175e11041
sich	w9_d175e11044
unterwür	w11_d175e11047
</p>
<p id="p12_d175e11051">
fig	w1_d175e11055
gemacht,	w3_d175e11058
auch	w5_d175e11061
zu	w7_d175e11064
Tilsit	w9_d175e11067
eine	w11_d175e11070
Besatzung	w13_d175e11074
zur	w1_d175e11079
Bedeckung	w3_d175e11082
des	w5_d175e11085
alda	w7_d175e11088
errichteten	w9_d175e11091
Maga	w11_d175e11094
zins	w1_d175e11099
zuruck	w3_d175e11102
gelassen)	w5_d175e11105
mit	w7_d175e11108
der	w9_d175e11111
Rußischer	w11_d175e11114
Haupt=armee	w1_d175e11120
sich	w3_d175e11123
wieder	w5_d175e11126
vereinigen	w7_d175e11129
wurde;	w9_d175e11132
daß	w1_d175e11137
auch	w3_d175e11140
die	w5_d175e11143
Stadt	w7_d175e11146
Ragnit	w9_d175e11149
mit	w11_d175e11152
allen	w13_d175e11156
dahin	w1_d175e11161
gehörigen	w3_d175e11164
Vogtheyen	w5_d175e11167
denen	w7_d175e11170
Rus	w9_d175e11173
sen	w1_d175e11178
sich	w3_d175e11181
ergeben;	w5_d175e11184
nicht	w7_d175e11187
minder	w9_d175e11190
der	w11_d175e11193
Rußische	w13_d175e11197
General	w1_d175e11203
Sybilsky	w3_d175e11206
seiner	w5_d175e11209
Seits	w7_d175e11212
die	w9_d175e11215
Städte	w11_d175e11218
Orletzko	w1_d175e11223
und	w3_d175e11226
Goldau	w5_d175e11229
sich	w7_d175e11232
unterwürfig	w9_d175e11235
ge	w11_d175e11238
macht,	w1_d175e11243
und	w3_d175e11246
besetzt	w5_d175e11249
habe;	w7_d175e11252
daß,	w9_d175e11255
als	w11_d175e11258
den	w13_d175e11262
9	w15_d175e11265
dito	w1_d175e11270
von	w3_d175e11273
der	w5_d175e11276
Rußischen	w7_d175e11279
Avant=garde	w9_d175e11282
dem	w11_d175e11285
commandirenden	w1_d175e11291
Herrn	w3_d175e11294
Feld=marschall	w5_d175e11297
Apra	w7_d175e11300
xin	w1_d175e11305
der	w3_d175e11308
Bericht	w5_d175e11311
eingeschickt	w7_d175e11314
worden,	w9_d175e11317
welcher	w11_d175e11320
gestalten	w1_d175e11325
verschiedene	w3_d175e11328
Preußische	w5_d175e11331
Jnfanterie	w7_d175e11334
und	w1_d175e11339
Cavallerie=regimenter	w3_d175e11342
jenseits	w5_d175e11345
des	w7_d175e11348
ob	w9_d175e11351
benannten	w1_d175e11357
Waldes	w3_d175e11360
auf	w5_d175e11363
der	w7_d175e11366
Ebene	w9_d175e11369
sich	w11_d175e11372
in	w13_d175e11376
Schlacht=ordnung	w1_d175e11381
stelleten,	w3_d175e11384
man	w5_d175e11387
Rußischer	w7_d175e11390
Seits	w1_d175e11395
sogleich,	w3_d175e11398
und	w5_d175e11401
zwar	w7_d175e11404
gegen	w9_d175e11407
10.	w11_d175e11410
Uhr	w13_d175e11414
Abends	w1_d175e11419
mit	w3_d175e11422
Zurucklassung	w5_d175e11425
der	w7_d175e11428
Bagage	w9_d175e11431
auf	w11_d175e11434
gebrochen	w1_d175e11440
und	w3_d175e11443
gegen	w5_d175e11446
selbe	w7_d175e11449
durch	w9_d175e11452
den	w11_d175e11455
Wald	w13_d175e11459
anmarschieret	w1_d175e11464
wäre,	w3_d175e11467
da	w5_d175e11470
man	w7_d175e11473
aber	w9_d175e11476
bey	w11_d175e11479
An	w13_d175e11483
bruch	w1_d175e11488
des	w3_d175e11491
folgenden	w5_d175e11494
Tages,	w7_d175e11497
zu	w9_d175e11500
der	w11_d175e11503
schon	w13_d175e11507
Tages	w1_d175e11512
zuvor	w3_d175e11515
durch	w5_d175e11518
solchen	w7_d175e11521
Wald	w9_d175e11524
voraus	w11_d175e11527
ge	w13_d175e11531
gangenen	w1_d175e11537
Avant=garde	w3_d175e11540
gestossen,	w5_d175e11543
besagte	w7_d175e11546
Preußische	w1_d175e11551
Regimenter	w3_d175e11554
sammentlich	w5_d175e11557
in	w7_d175e11560
grö	w9_d175e11563
ster	w1_d175e11568
Eile	w3_d175e11571
nach	w5_d175e11574
der	w7_d175e11577
Gegend	w9_d175e11580
von	w11_d175e11583
Wehlau	w13_d175e11587
sich	w1_d175e11592
zuruck	w3_d175e11595
gezogen	w5_d175e11598
hätten,	w7_d175e11601
nachdeme	w9_d175e11604
hier	w11_d175e11607
bey	w1_d175e11613
nichts	w3_d175e11616
anderes	w5_d175e11619
als	w7_d175e11622
ein	w9_d175e11625
kleiner	w11_d175e11628
Schar	w13_d175e11632
mützel	w1_d175e11637
zwischen	w3_d175e11640
ihren	w5_d175e11643
Hussaren,	w7_d175e11646
und	w9_d175e11649
einem	w11_d175e11652
unter	w1_d175e11657
Commando	w3_d175e11660
des	w5_d175e11663
Brigadiers	w7_d175e11666
Kras-	w9_d175e11669
noszezokov	w1_d175e11674
ausgeschickten	w3_d175e11677
Rußischen	w5_d175e11680
De	w7_d175e11683
taschement	w1_d175e11689
vorgefallen	w3_d175e11692
ist;	w5_d175e11695
und	w7_d175e11698
endlich	w9_d175e11701
die	w11_d175e11704
Geistlichkeit,	w1_d175e11709
wie	w3_d175e11712
auch	w5_d175e11715
der	w7_d175e11718
Magistrat	w9_d175e11721
und	w11_d175e11724
die	w1_d175e11729
Burgerschaft	w3_d175e11732
von	w5_d175e11735
Jnsterburg	w7_d175e11738
den	w9_d175e11741
10.	w11_d175e11744
August	w1_d175e11749
der	w3_d175e11752
Rußischen	w5_d175e11755
Monarchin	w7_d175e11758
gehuldiget;	w9_d175e11761
und	w1_d175e11767
der	w3_d175e11770
Feld=marschall	w5_d175e11773
Apraxin	w7_d175e11776
ein	w9_d175e11779
Jnfan	w11_d175e11782
terie=regiment	w1_d175e11787
unter	w3_d175e11790
Commando	w5_d175e11793
des	w7_d175e11796
Gene	w9_d175e11799
ral=quartier=meisters	w1_d175e11804
Stoffel	w3_d175e11807
zur	w5_d175e11810
Besatzung	w7_d175e11813
in	w1_d175e11818
diese	w3_d175e11821
Stadt	w5_d175e11824
gelegt	w7_d175e11827
habe.	w9_d175e11830
</p>
<p id="p14_d175e11833">
Von	w1_d175e11837
Neuburg	w3_d175e11840
an	w5_d175e11843
der	w7_d175e11846
Donau:	w9_d175e11849
daß	w11_d175e11852
den	w1_d175e11857
8.	w3_d175e11860
August	w5_d175e11863
die	w7_d175e11866
Herzogliche	w9_d175e11869
Würzburgische	w11_d175e11872
Trupen	w1_d175e11877
in	w3_d175e11880
drey	w5_d175e11883
Abtheilungen	w7_d175e11886
auf	w9_d175e11889
der	w11_d175e11892
Donau	w13_d175e11896
herab	w1_d175e11902
allda	w3_d175e11905
vorbey	w5_d175e11908
gefahren	w7_d175e11911
seyen;	w9_d175e11914
als	w11_d175e11917
nämlich	w13_d175e11921
um	w1_d175e11926
9.	w3_d175e11929
Uhr	w5_d175e11932
der	w7_d175e11935
erste	w9_d175e11938
Transport	w11_d175e11941
auf	w13_d175e11945
59.	w15_d175e11948
Schiffen,	w17_d175e11951
etliche	w1_d175e11956
Stunden	w3_d175e11959
darnach	w5_d175e11962
der	w7_d175e11965
anderte	w9_d175e11968
auf	w11_d175e11971
33.	w13_d175e11975
Flössen,	w1_d175e11980
worauf	w3_d175e11983
meistentheils	w5_d175e11986
Pferde	w7_d175e11989
und	w9_d175e11992
Bagage	w1_d175e11998
waren,	w3_d175e12001
und	w5_d175e12004
Nachmittag	w7_d175e12007
der	w9_d175e12010
dritte	w11_d175e12013
auf	w1_d175e12018
49.	w3_d175e12021
Schiffen.	w5_d175e12024
</p>
<p id="p16_d175e12027">
Von	w1_d175e12031
Braunschweig:	w3_d175e12034
Daß	w5_d175e12037
diese	w7_d175e12040
Stadt	w9_d175e12043
auch	w1_d175e12048
bereits	w3_d175e12051
der	w5_d175e12054
Französischen	w7_d175e12057
Macht	w9_d175e12060
sich	w11_d175e12063
</p>
<p id="p22_d175e12076">
unterworfen	w1_d175e12080
habe,	w3_d175e12083
und	w5_d175e12086
die	w7_d175e12089
Brigade	w9_d175e12092
von	w11_d175e12095
Conti	w1_d175e12100
solche	w3_d175e12103
in	w5_d175e12106
Besitz	w7_d175e12109
zu	w9_d175e12112
nehmen	w11_d175e12115
beordert	w13_d175e12119
seye;	w15_d175e12122
daß	w1_d175e12127
die	w3_d175e12130
Herzogliche	w5_d175e12133
Besatzung	w7_d175e12136
allda	w9_d175e12139
entwaf	w11_d175e12142
net,	w1_d175e12148
und	w3_d175e12151
in	w5_d175e12154
die	w7_d175e12157
Pflicht,	w9_d175e12160
diesen	w11_d175e12163
ganzen	w13_d175e12167
Krieg	w15_d175e12170
hindurch	w1_d175e12175
wider	w3_d175e12178
die	w5_d175e12181
Cron	w7_d175e12184
Frankreich,	w9_d175e12187
und	w11_d175e12190
de	w13_d175e12194
ro	w1_d175e12199
Bunds=genossene	w3_d175e12202
nicht	w5_d175e12205
zu	w7_d175e12208
dienen	w9_d175e12211
gesetzt,	w11_d175e12214
dahingegen	w1_d175e12219
dannoch	w3_d175e12222
dem	w5_d175e12225
Herzog	w7_d175e12228
seine	w9_d175e12231
Leib	w11_d175e12234
wache,	w1_d175e12240
und	w3_d175e12243
die	w5_d175e12246
zur	w7_d175e12249
Sicherheit	w9_d175e12252
dessen	w11_d175e12255
Palla	w13_d175e12259
stes	w1_d175e12264
erforderliche	w3_d175e12267
Militz	w5_d175e12270
aus	w7_d175e12273
Hoch=achtung	w9_d175e12276
gegen	w1_d175e12281
souveraine	w3_d175e12284
Fürsten	w5_d175e12287
beygelassen,	w7_d175e12290
und	w9_d175e12293
hierinfalls	w1_d175e12298
dem	w3_d175e12301
Preußischen	w5_d175e12304
widrigen	w7_d175e12307
Bey	w9_d175e12310
spiele	w1_d175e12316
(so	w3_d175e12319
von	w5_d175e12322
keiner	w7_d175e12325
gearteten	w9_d175e12328
Nation	w11_d175e12331
ge	w13_d175e12335
billiget	w1_d175e12340
werden	w3_d175e12343
kan)	w5_d175e12346
gar	w7_d175e12349
nicht	w9_d175e12352
gefolget	w11_d175e12355
wor	w13_d175e12359
den	w1_d175e12364
seye;	w3_d175e12367
daß	w5_d175e12370
man	w7_d175e12373
in	w9_d175e12376
besagten	w11_d175e12379
Braunschweig	w13_d175e12383
sehr	w1_d175e12388
viele	w3_d175e12391
Artillerie,	w5_d175e12394
und	w7_d175e12397
anderen	w9_d175e12400
Kriegs	w11_d175e12403
vorrat	w1_d175e12409
vorgefunden	w3_d175e12412
habe;	w5_d175e12415
daß	w7_d175e12418
man	w9_d175e12421
Fran	w11_d175e12424
zösischer	w1_d175e12429
Seits	w3_d175e12432
auch	w5_d175e12435
Wolfenbüttel	w7_d175e12438
zu	w9_d175e12441
besetzen	w11_d175e12444
in	w1_d175e12449
Begrif	w3_d175e12452
stunde;	w5_d175e12455
daß	w7_d175e12458
bey	w9_d175e12461
beschehener	w11_d175e12464
An	w13_d175e12468
ruckung	w1_d175e12473
des	w3_d175e12476
Grafens	w5_d175e12479
von	w7_d175e12482
Chabo	w9_d175e12485
auch	w11_d175e12488
Nien	w13_d175e12492
burg	w1_d175e12498
mit	w3_d175e12501
aller	w5_d175e12504
Eilfertigkeit	w7_d175e12507
von	w9_d175e12510
dasiger	w11_d175e12513
Be	w13_d175e12517
satzung	w1_d175e12522
verlassen,	w3_d175e12525
und	w5_d175e12528
von	w7_d175e12531
ernannten	w9_d175e12534
Gra	w11_d175e12537
fen	w1_d175e12542
sohin	w3_d175e12545
bey	w5_d175e12548
seiner	w7_d175e12551
Einruckung	w9_d175e12554
allda	w11_d175e12557
sehr	w13_d175e12561
vieler	w1_d175e12566
Artillerie,	w3_d175e12569
Lebens=mitteln,	w5_d175e12572
und	w7_d175e12575
Bagage	w1_d175e12581
sich	w3_d175e12584
bemächtiget,	w5_d175e12587
annebst	w7_d175e12590
200.	w9_d175e12593
Mann	w1_d175e12598
(darunter	w3_d175e12601
drey	w5_d175e12604
Haupt=leute	w7_d175e12607
und	w9_d175e12610
8.	w1_d175e12615
Leutenannts	w3_d175e12618
seynd)	w5_d175e12621
zu	w7_d175e12624
Kriegs=gefangenen	w9_d175e12627
gemacht	w1_d175e12632
worden	w3_d175e12635
seyen;	w5_d175e12638
und	w7_d175e12641
daß	w9_d175e12644
die	w11_d175e12647
Han	w13_d175e12651
növerische	w1_d175e12657
Armee	w3_d175e12660
ihre	w5_d175e12663
grosse	w7_d175e12666
Bagage,	w9_d175e12669
und	w11_d175e12672
vielen	w1_d175e12677
Vorrat	w3_d175e12680
gegen	w5_d175e12683
Bremerwerde	w7_d175e12686
abzu	w9_d175e12689
schicken	w1_d175e12694
angefangen	w3_d175e12697
habe,	w5_d175e12700
welches	w7_d175e12703
ein	w9_d175e12706
klares	w11_d175e12709
Zeichen	w1_d175e12714
ist,	w3_d175e12717
daß	w5_d175e12720
sie	w7_d175e12723
vollends	w9_d175e12726
nacher	w11_d175e12729
Stade	w13_d175e12733
sich	w1_d175e12739
zuruck	w3_d175e12742
zu	w5_d175e12745
ziehen	w7_d175e12748
gesinnet	w9_d175e12751
seye.	w11_d175e12754
</p>
<p id="p24_d175e12758">
Von	w1_d175e12762
Hannover:	w3_d175e12765
Daß	w5_d175e12768
die	w7_d175e12771
Kön.	w9_d175e12774
Fran	w11_d175e12777
zösische	w1_d175e12782
Regimenter,	w3_d175e12785
Poitu	w5_d175e12788
und	w7_d175e12791
Provence,	w9_d175e12794
um	w1_d175e12799
sich	w3_d175e12802
zu	w5_d175e12805
der	w7_d175e12808
Armee	w9_d175e12811
des	w11_d175e12814
Prinzens	w13_d175e12818
von	w15_d175e12821
Sou	w17_d175e12824
bise	w1_d175e12830
zu	w3_d175e12833
begeben,	w5_d175e12836
den	w7_d175e12839
Marsch	w9_d175e12842
angetretten	w11_d175e12845
ha	w13_d175e12849
ben.	w1_d175e12854
</p>
<head id="h2_d175e12860">
Wien	w1_d175e12864
den	w3_d175e12867
3.	w5_d175e12870
September	w7_d175e12873
1757.	w9_d175e12876
</head>
<p id="p4_d175e12879">
WAehrenden	w1_d175e12883
Aufenthalt	w3_d175e12886
beyder	w5_d175e12889
Kaiserl.	w7_d175e12892
0	w1_d175e12897
Majestäten	w1_d175e12902
zu	w3_d175e12905
Holitsch,	w5_d175e12908
haben	w7_d175e12911
sich	w9_d175e12914
zer	w11_d175e12917
schiedene	w1_d175e12923
hohe	w3_d175e12926
Standes=perfonen	w5_d175e12929
dahin	w7_d175e12932
ver	w9_d175e12935
füget,	w1_d175e12940
Allerhöchst	w3_d175e12943
Denenselben	w5_d175e12946
die	w7_d175e12949
allerun	w9_d175e12952
terthänigste	w1_d175e12957
Aufwartung	w3_d175e12960
zu	w5_d175e12963
machen,	w7_d175e12966
und	w9_d175e12969
seynd	w1_d175e12974
vorgestrigen	w3_d175e12977
Donnerstag	w5_d175e12980
Jhre	w7_d175e12983
Majest.	w9_d175e12986
die	w1_d175e12992
Kaiserin	w3_d175e12995
unsere	w5_d175e12998
allergnädigste	w7_d175e13001
Frau	w9_d175e13004
von	w11_d175e13007
dannen	w1_d175e13012
über	w3_d175e13015
Dürnkrut,	w5_d175e13018
allwo	w7_d175e13021
Höchstdie	w9_d175e13024
selbe	w1_d175e13029
Nachmittag	w3_d175e13032
mit	w5_d175e13035
Caffee	w7_d175e13038
bewirtet	w9_d175e13041
wor	w11_d175e13044
den,	w1_d175e13049
wiederum	w3_d175e13052
nach	w5_d175e13055
Schönbrunn	w7_d175e13058
zurück	w9_d175e13061
ge	w11_d175e13064
länget,	w1_d175e13070
und	w3_d175e13073
haben	w5_d175e13076
noch	w7_d175e13079
diesen	w9_d175e13082
Abend	w11_d175e13085
dem	w13_d175e13089
</p>
<p id="p6_d175e13092">
wochentlichen	w1_d175e13096
Gebett	w3_d175e13099
in	w5_d175e13102
der	w7_d175e13105
Schloß=kapellen	w9_d175e13108
allda	w1_d175e13113
beygewohnet.	w3_d175e13116
</p>
<p id="p8_d175e13119">
Bey	w1_d175e13123
dem	w3_d175e13126
Hechpreißl.	w5_d175e13129
Reichs=hof=raht	w7_d175e13132
alhier	w9_d175e13135
ist	w1_d175e13140
den	w3_d175e13143
22.	w5_d175e13146
erst=verstrichenen	w7_d175e13149
Monats	w9_d175e13152
Au	w11_d175e13155
gusti	w1_d175e13160
auf	w3_d175e13163
Anlangen	w5_d175e13166
des	w7_d175e13169
Reichs=fiscals	w9_d175e13172
wider	w11_d175e13175
den	w1_d175e13181
König	w3_d175e13184
von	w5_d175e13187
Preussen	w7_d175e13190
als	w9_d175e13193
Chur=fürsten	w11_d175e13196
zu	w1_d175e13201
Brandenburg	w3_d175e13204
wegen	w5_d175e13207
der	w7_d175e13210
unternommenen	w9_d175e13213
feindlichen	w1_d175e13218
Uberziehung	w3_d175e13221
des	w5_d175e13224
Chur=fürstentums	w7_d175e13227
Sachsen,	w1_d175e13232
und	w3_d175e13235
weiterer	w5_d175e13238
Reichs=landen,	w7_d175e13241
ein	w9_d175e13244
Conclusum	w1_d175e13250
abgefasset	w3_d175e13253
worden,	w5_d175e13256
Kraft	w7_d175e13259
wel	w9_d175e13262
chen	w1_d175e13267
dieser	w3_d175e13270
Prinz	w5_d175e13273
als	w7_d175e13276
Chur=fürst	w9_d175e13279
von	w11_d175e13282
Bran	w13_d175e13286
denburg	w1_d175e13291
vorberuffen	w3_d175e13294
wird,	w5_d175e13297
um	w7_d175e13300
zu	w9_d175e13303
sehen,	w11_d175e13306
und	w13_d175e13310
anzuhören,	w1_d175e13315
daß	w3_d175e13318
er	w5_d175e13321
die	w7_d175e13324
Straffe	w9_d175e13327
der	w11_d175e13330
Erklärung	w13_d175e13334
in	w1_d175e13340
die	w3_d175e13343
Acht,	w5_d175e13346
und	w7_d175e13349
die	w9_d175e13352
Entziehung	w11_d175e13355
aller	w13_d175e13359
Reichs=gerechtsamen	w1_d175e13364
und	w3_d175e13367
Freyheiten	w5_d175e13370
ver	w7_d175e13373
würket	w1_d175e13378
habe.	w3_d175e13381
Seine	w5_d175e13384
Majestät	w7_d175e13387
der	w9_d175e13390
Kaiser	w11_d175e13393
haben	w1_d175e13398
sothanes	w3_d175e13401
Reichs=hof=rähtliches	w5_d175e13404
Con	w7_d175e13407
clusum	w1_d175e13413
nicht	w3_d175e13416
allein	w5_d175e13419
mit	w7_d175e13422
Dero	w9_d175e13425
Allerhöchsten	w11_d175e13428
Genehmhaltung	w1_d175e13433
bekräftiget,	w3_d175e13436
sondern	w5_d175e13439
auch	w7_d175e13442
ihme	w1_d175e13447
Friederich,	w3_d175e13450
Chur=fürsten	w5_d175e13453
zu	w7_d175e13456
Branden	w9_d175e13459
burg,	w1_d175e13464
einen	w3_d175e13467
diesfälligen	w5_d175e13470
Termin	w7_d175e13473
von	w9_d175e13476
2.	w11_d175e13479
Monaten	w1_d175e13485
bestimmet,	w3_d175e13488
annebst	w5_d175e13491
alle	w7_d175e13494
diejenige	w9_d175e13497
weitere	w1_d175e13502
Verfügungen,	w3_d175e13505
welche	w5_d175e13508
vermög	w7_d175e13511
des	w9_d175e13514
22.	w1_d175e13519
Artickuls	w3_d175e13522
§.	w5_d175e13525
4.	w7_d175e13528
und	w9_d175e13531
5.	w11_d175e13534
Dero	w13_d175e13538
Wahlca	w15_d175e13541
pitulation	w1_d175e13546
das	w3_d175e13549
Recht	w5_d175e13552
erheuschet,	w7_d175e13555
sich	w9_d175e13558
aus	w11_d175e13561
drücklich	w1_d175e13567
vorbehalten.	w3_d175e13570
</p>
<p id="p10_d175e13573">
Vergangenen	w1_d175e13577
Mittwoch	w3_d175e13580
als	w5_d175e13583
den	w7_d175e13586
31sten	w9_d175e13589
August	w1_d175e13594
seynd	w3_d175e13597
Se.	w5_d175e13600
Excellenz	w7_d175e13603
der	w9_d175e13606
Hoch	w11_d175e13609
und	w13_d175e13613
Wol=geborne	w1_d175e13618
Herr	w3_d175e13621
Niclas	w5_d175e13624
Graf	w7_d175e13627
von	w9_d175e13630
Erdödy	w11_d175e13633
de	w1_d175e13639
Monyorokerek,	w3_d175e13642
Montis	w5_d175e13645
Claudii	w7_d175e13648
und	w9_d175e13651
Wa	w11_d175e13654
rasdiner=comitats	w1_d175e13659
Ober=gespann,	w3_d175e13662
Jhrer	w5_d175e13665
Röm.	w1_d175e13670
Kaiserl.	w3_d175e13673
und	w5_d175e13676
Königl.	w7_d175e13679
Majestäten	w9_d175e13682
würk	w11_d175e13685
lich	w1_d175e13690
geheimer	w3_d175e13693
Raht,	w5_d175e13696
Cammerer,	w7_d175e13699
auch	w9_d175e13702
Königl.	w11_d175e13705
Hungarischer	w1_d175e13711
Statt=halterey	w3_d175e13714
Raht,	w5_d175e13717
in	w7_d175e13720
dem	w9_d175e13723
Thronischen	w1_d175e13728
