<doc id="edoc_wd_1727-11-12" attrs="word" year="1727" month="11" day="12" corpus="1">
<head id="hl1">
Peking	w54
es	w3611
in	w3612
dieser	w3613
</p>
<p id="p45">
Stadt	w3617
sehr	w3618
wenig	w3619
Merkwürdiges	w3620
<g/>
/
ausser	w3622
daß	w3623
jüngst	w3624
hin	w3625
die	w3626
Gräfin	w3627
von	w3628
Sorcino	w3629
den	w3630
zwöften	w3631
Sohn	w3632
zur	w3633
Welt	w3634
gebracht	w3635
<g/>
/
und	w3637
des=sentwegen	w3638
<g/>
=
dasselbe	w3640
Haus	w3641
hinfüro	w3642
von	w3643
allen	w3644
Auflagen	w3645
<g/>
/
nach	w3647
hiesigem	w3648
Gebrauch	w3649
<g/>
/
frey	w3651
seyn	w3652
wird	w3653
<g/>
.
Man	w3655
arbeitet	w3656
alhier	w3657
an	w3658
ver=schiedenen	w3659
<g/>
=
reichen	w3661
und	w3662
kostbaren	w3663
Sticke=reyen	w3664
<g/>
=
<g/>
/
Kutschen	w3667
<g/>
/
und	w3669
anderen	w3670
prächtigen	w3671
Sachen	w3672
<g/>
/
zu	w3674
der	w3675
Vermählung	w3676
des	w3677
Hertzogen	w3678
von	w3679
Parma	w3680
<g/>
,
welche	w3682
künftigen	w3683
Fasching	w3684
vor	w3685
sich	w3686
gehen	w3687
solle	w3688
<g/>
.
</p>
<head id="hl14">
Venedig	w3690
1	w3691
<g/>
.
November	w3693
<g/>
.
</head>
<p id="p46">
Freytags	w3695
verwichener	w3696
Woche	w3697
langete	w3698
ei=ne	w3699
<g/>
=
unserige	w3701
Marciliana	w3702
von	w3703
Maina	w3704
mit	w3705
gu=ter	w3706
<g/>
=
Ladung	w3708
alhier	w3709
an	w3710
<g/>
;
solche	w3712
ist	w3713
von	w3714
dreyen	w3715
Barbarischen	w3716
Galleotten	w3717
oder	w3718
Raub	w3719
<g/>
=
Schiffen	w3721
angefallen	w3722
worden	w3723
<g/>
/
allein	w3725
ein	w3726
Stuck	w3727
<g/>
=
Schuß	w3729
von	w3730
unserer	w3731
Marciliana	w3732
risse	w3733
von	w3734
der	w3735
grö=sten	w3736
<g/>
=
Galeotte	w3738
den	w3739
völligen	w3740
Vorder	w3741
<g/>
=
Theil	w3743
hinweg	w3744
da	w3745
dann	w3746
alsobald	w3747
gedachte	w3748
Rauber	w3749
die	w3750
anderen	w3751
zwey	w3752
mit	w3753
derselben	w3754
Mannschaft	w3755
verstärkten	w3756
<g/>
/
und	w3758
unsere	w3759
Marciliana	w3760
mit	w3761
neuem	w3762
Gewalt	w3763
angriffen	w3764
<g/>
/
welche	w3766
sich	w3767
aber	w3768
so	w3769
tapfer	w3770
gewehret	w3771
<g/>
/
daß	w3773
sie	w3774
diese	w3775
zwey	w3776
Gal-leotten	w3777
<g/>
-
nach	w3779
einem	w3780
zwey	w3781
stündigen	w3782
Gefecht	w3783
<g/>
/
bey	w3785
welchem	w3786
30	w3787
<g/>
.
derer	w3789
Barbaren	w3790
geblieben	w3791
<g/>
/
und	w3793
9	w3794
<g/>
.
verwundet	w3796
worden	w3797
die	w3798
Flucht	w3799
zu	w3800
neh=men	w3801
<g/>
=
genöthiget	w3803
<g/>
.
</p>
<p id="p47">
Es	w3805
seynd	w3806
schon	w3807
einige	w3808
Tage	w3809
alhier	w3810
wegen	w3811
häuffigen	w3812
Regen	w3813
<g/>
=
Wetters	w3815
keine	w3816
auswertige	w3817
Nachrichten	w3818
eingeloffen	w3819
<g/>
:
Mittwochs	w3821
gegen	w3822
3	w3823
Uhr	w3824
des	w3825
Nachts	w3826
entstunde	w3827
alhier	w3828
ein	w3829
sehr	w3830
starkes	w3831
Ungewitter	w3832
mit	w3833
sehr	w3834
häuffigem	w3835
Re=gen	w3836
<g/>
=
<g/>
/
und	w3839
heftigem	w3840
Sturm	w3841
<g/>
=
Winde	w3843
<g/>
.
</p>
<head id="hl15">
Wien	w3845
12ten	w3846
November	w3847
1727	w3848
<g/>
.
</head>
<p id="p48">
SAmstag	w3850
<g/>
/
den	w3852
8	w3853
November	w3854
<g/>
/
haben	w3856
vor	w3857
<g/>
=
Mittag	w3859
Jhre	w3860
Kaiserl	w3861
<g/>
.
Cathol	w3863
<g/>
.
Majestät	w3865
<g/>
/
unser	w3867
Allergnädigster	w3868
Herr	w3869
<g/>
/
in	w3871
dero	w3872
Aller=höchsten	w3873
<g/>
=
Gegenwart	w3875
geheimen	w3876
Raht	w3877
ge=halten	w3878
<g/>
=
<g/>
.
</p>
<p id="p49">
Abgewichene	w3881
Nacht	w3882
zwischen	w3883
11	w3884
<g/>
.
und	w3886
12	w3887
<g/>
.
Uhr	w3889
lieferte	w3890
seinen	w3891
Geist	w3892
der	w3893
fromme	w3894
und	w3895
berühmte	w3896
in	w3897
diesem	w3898
Jahr	w3899
von	w3900
Rom	w3901
alhier	w3902
angelangte	w3903
Wol	w3904
<g/>
=
Ehrwürdige	w3906
P	w3907
<g/>
.
Josephus	w3909
Antonius	w3910
von	w3911
Trevigliano	w3912
<g/>
,
Capuciner	w3914
<g/>
=
Or=dens	w3916
<g/>
=
und	w3918
Apostolischer	w3919
Missionarius	w3920
<g/>
,
in	w3922
dem	w3923
alhiesigen	w3924
Closter	w3925
auf	w3926
dem	w3927
Neuen	w3928
<g/>
=
Markt	w3930
<g/>
/
durch	w3932
einen	w3933
unverhoften	w3934
doch	w3935
sanf=ten	w3936
<g/>
=
Tod	w3938
in	w3939
die	w3940
Hände	w3941
sein	w3942
Erschaffers	w3943
<g/>
/
</p>
<p id="p50">
im	w3945
64sten	w3946
Jahr	w3947
seines	w3948
Alters	w3949
<g/>
/
und	w3951
im	w3952
45sten	w3953
seiner	w3954
Einkleidung	w3955
in	w3956
diesen	w3957
Orden	w3958
<g/>
.
Auf	w3960
welches	w3961
Hinscheiden	w3962
Hr	w3963
<g/>
.
Johann	w3965
Carl	w3966
von	w3967
Newen	w3968
<g/>
/
der	w3970
Röm	w3971
<g/>
.
Kaiserl	w3973
Cathol	w3974
<g/>
.
Maiestät	w3976
gecrönten	w3977
Hof	w3978
<g/>
=
Poët	w3980
<g/>
,
folgendes	w3982
Grab	w3983
<g/>
=
Mahl	w3985
aufgesetzet	w3986
<g/>
.
</p>
<p id="p51">
Servo	w3988
DEI	w3989
Bono	w3990
<g/>
,
Viro	w3992
optimo	w3993
<g/>
,
cum	w3995
bona	w3996
<g/>
&
mala	w3998
fortuna	w3999
composito	w4000
<g/>
,
JOSEPHO	w4002
ANTONIO	w4003
<g/>
,
CAPUCINO	w4005
<g/>
:
SIc	w4007
moritur	w4008
Justus	w4009
<g/>
,
longinquo	w4011
munere	w4012
fessus	w4013
<g/>
,
Francisci	w4015
effigiem	w4016
deficientis	w4017
habens	w4018
<g/>
.
Officiosa	w4020
silet	w4021
Pietas	w4022
<g/>
,
Facundia	w4024
<g/>
,
Candor	w4026
<g/>
,
Suadaque	w4028
<g/>
,
nun	w4030
populo	w4031
<g/>
,
nunc	w4033
operata	w4034
DEO	w4035
<g/>
,
Lux	w4037
aeterna	w4038
Senem	w4039
recreat	w4040
<g/>
;
fors	w4042
nescia	w4043
fortis	w4044
Explet	w4045
inexhaustis	w4046
<g/>
,
simplicibusque	w4048
bonis	w4049
<g/>
.
Non	w4051
moritur	w4052
<g/>
,
quisquis	w4054
bene	w4055
vixit	w4056
<g/>
.
Vivere	w4058
solus	w4059
Definit	w4060
<g/>
,
ignavi	w4062
cui	w4063
periere	w4064
dies	w4065
<g/>
.
Palladium	w4067
tabulis	w4068
urbi	w4069
transmisit	w4070
in	w4071
aevum	w4072
<g/>
,
Missus	w4074
Apostolica	w4075
Sede	w4076
<g/>
,
Vienna	w4078
<g/>
,
Tibi	w4080
<g/>
.
Haec	w4082
manus	w4083
<g/>
,
haec	w4085
facies	w4086
<g/>
,
haec	w4088
ara	w4089
tuebirur	w4090
omnes	w4091
<g/>
,
Dum	w4093
micat	w4094
Austriaci	w4095
pulcra	w4096
Corona	w4097
Throni	w4098
<g/>
.
Tanta	w4100
ibi	w4101
Divinae	w4102
bonitas	w4103
<g/>
&
gratia	w4105
Matris	w4106
<g/>
,
Tanta	w4108
revelantis	w4109
gloria	w4110
<g/>
,
tantus	w4112
honos	w4113
<g/>
.
</p>
<p id="p52">
Sonntag	w4115
<g/>
/
den	w4117
9ten	w4118
Dito	w4119
<g/>
/
ware	w4121
vor	w4122
<g/>
=
Mittag	w4124
in	w4125
der	w4126
Kaiserl	w4127
<g/>
.
grossen	w4129
Hof	w4130
<g/>
=
Capelle	w4132
der	w4133
gewöhnliche	w4134
GOttes	w4135
<g/>
=
Dienst	w4137
mit	w4138
Bey=wohnung	w4139
<g/>
=
Allerhöchster	w4141
Herrschaften	w4142
<g/>
:
und	w4144
nach	w4145
<g/>
=
Mittag	w4147
wurde	w4148
in	w4149
dem	w4150
Kaiserl	w4151
<g/>
.
grossen	w4153
Theatro	w4154
bey	w4155
Hofe	w4156
zu	w4157
zweytenmal	w4158
jüngst=gemeldete	w4159
<g/>
=
Opera	w4161
gehalten	w4162
<g/>
.
</p>
<p id="p53">
Montag	w4164
<g/>
/
den	w4166
10den	w4167
Dito	w4168
<g/>
/
hielte	w4170
vor	w4171
<g/>
=
Mittag	w4173
der	w4174
Allerhöchste	w4175
Monarch	w4176
abermalen	w4177
geheimen	w4178
Raht	w4179
<g/>
:
und	w4181
nach	w4182
<g/>
=
Mittag	w4184
haben	w4185
sich	w4186
beede	w4187
Regierende	w4188
Kaiserl	w4189
<g/>
.
Cathol	w4191
<g/>
.
Ma=jestäten	w4193
<g/>
=
mit	w4195
dem	w4196
gewöhnlichen	w4197
Gefolg	w4198
in	w4199
die	w4200
Kaiserl	w4201
<g/>
.
Hof	w4203
<g/>
=
Kirche	w4205
zu	w4206
denen	w4207
WW	w4208
<g/>
.
EE	w4210
<g/>
.
PP	w4212
<g/>
.
Augustinern	w4214
Barfüssern	w4215
erhoben	w4216
<g/>
/
und	w4218
alda	w4219
der	w4220
Procession	w4221
<g/>
,
und	w4223
dem	w4224
Beschluß	w4225
der	w4226
Octav	w4227
des	w4228
Aller	w4229
<g/>
=
SeelenFests	w4231
auferbäu=lichst	w4232
<g/>
=
beygewohnet	w4234
<g/>
.
</p>
<p id="p54">
Dienstag	w4236
<g/>
/
den	w4238
11	w4239
<g/>
.
Dito	w4241
<g/>
/
als	w4243
am	w4244
Fest	w4245
des	w4246
Heil	w4247
<g/>
.
Bischofs	w4249
und	w4250
Martirers	w4251
Martini	w4252
<g/>
,
wur=de	w4254
<g/>
=
abermalen	w4256
in	w4257
der	w4258
grossen	w4259
Kaiserlichen	w4260
Hof	w4261
<g/>
=
Capelle	w4263
der	w4264
gewöhnliche	w4265
offentliche	w4266
GOttes	w4267
Dienst	w4268
gehalten	w4269
<g/>
.
</p>
<p id="p55">
Von	w4271
Semlin	w4272
in	w4273
Sclavonien	w4274
wurde	w4275
berich=tet	w4276
<g/>
=
<g/>
/
wie	w4279
daß	w4280
Sonntags	w4281
den	w4282
26sten	w4283
abge=wichenen	w4284
<g/>
=
Monats	w4286
Octobris	w4287
<g/>
,
die	w4289
Standar=ten	w4290
<g/>
=
des	w4292
Löbl	w4293
Kaiserl	w4294
<g/>
.
Kürassier	w4296
<g/>
=
Regiments	w4298
des	w4299
<g/>
(
Tit	w4301
<g/>
.
<g/>
)
<g/>
/
Herrn	w4305
Generalen	w4306
Grafen	w4307
von	w4308
</p>
<p id="p56">
Offeln	w4311
<g/>
/
mit	w4313
grosser	w4314
Pracht	w4315
und	w4316
Feyerlichkeit	w4317
in	w4318
Beyseyn	w4319
verschiedener	w4320
Herren	w4321
Generalen	w4322
<g/>
/
und	w4324
anderen	w4325
hohen	w4326
Standes	w4327
<g/>
=
Personen	w4329
<g/>
/
ge=weihet	w4331
<g/>
=
worden	w4333
<g/>
/
wobey	w4335
auch	w4336
alle	w4337
so	w4338
wol	w4339
Officier	w4340
als	w4341
Gemeine	w4342
in	w4343
Küriß	w4344
<g/>
/
und	w4346
völliger	w4347
Feld	w4348
<g/>
=
Zuges	w4350
Ordnung	w4351
erschienen	w4352
<g/>
;
anbey	w4354
ei=ne	w4355
<g/>
=
Predig	w4357
<g/>
/
und	w4359
Hoch	w4360
<g/>
=
Amt	w4362
unter	w4363
Trompeten	w4364
<g/>
=
und	w4366
Paucken	w4367
<g/>
=
Schall	w4369
gehalten	w4370
worden	w4371
<g/>
:
nach	w4373
vollbrachter	w4374
Feyerlichkeit	w4375
hatte	w4376
obgedachte	w4377
Seine	w4378
Excellenz	w4379
Herr	w4380
General	w4381
von	w4382
Offeln	w4383
<g/>
/
alle	w4385
anwesende	w4386
Herren	w4387
Officiers	w4388
<g/>
/
und	w4390
Standes	w4391
<g/>
=
Personen	w4393
auf	w4394
das	w4395
herrlichste	w4396
tracti- ret	w4397
<g/>
-
<g/>
/
unter	w4400
welchem	w4401
Tractament	w4402
sich	w4403
als	w4404
stets	w4405
die	w4406
Trompeten	w4407
<g/>
/
und	w4409
Paucken	w4410
hören	w4411
liessen	w4412
<g/>
;
und	w4414
darauf	w4415
alles	w4416
mit	w4417
einem	w4418
fast	w4419
durch	w4420
die	w4421
gantze	w4422
Nacht	w4423
gedaureten	w4424
Ball	w4425
zu	w4426
gröstem	w4427
Vergnügen	w4428
aller	w4429
hohen	w4430
Gästen	w4431
beschlossen	w4432
wurde	w4433
<g/>
.
</p>
<head id="hl16">
NB	w4435
<g/>
.
</head>
<p id="p57">
Hiermit	w4437
wird	w4438
jedermänniglich	w4439
erinnert	w4440
<g/>
/
und	w4442
zu	w4443
wissen	w4444
gemacht	w4445
<g/>
/
wie	w4447
daß	w4448
den	w4449
28sten	w4450
dieses	w4451
Monats	w4452
Novemb	w4453
<g/>
.
in	w4455
des	w4456
Herrn	w4457
Do-ctoris	w4458
<g/>
-
Schaden	w4460
<g/>
/
als	w4462
gerichtlich	w4463
<g/>
=
verordne=ten	w4465
<g/>
=
Doctor	w4467
Andeneggischen	w4468
Curatoris	w4469
bono-rum	w4470
<g/>
-
seinen	w4472
Wohn	w4473
<g/>
=
Zimmern	w4475
in	w4476
der	w4477
Zolleri=schen	w4478
<g/>
=
Behausung	w4480
unter	w4481
denen	w4482
Tuch	w4483
<g/>
=
Lauben	w4485
<g/>
/
im	w4487
anderten	w4488
Stok	w4489
rukwärts	w4490
<g/>
/
verschiedene	w4492
Pretiosa	w4493
meistens	w4494
in	w4495
Geschmuck	w4496
<g/>
/
und	w4498
Silber	w4499
bestehend	w4500
<g/>
/
zufolge	w4502
der	w4503
bey	w4504
Hochlöbl	w4505
<g/>
.
Regie=rung	w4507
<g/>
=
in	w4509
Sachen	w4510
geschöpften	w4511
Veranlassung	w4512
<g/>
/
dem	w4514
plus	w4515
offerenti	w4516
licitando	w4517
<g/>
,
werden	w4519
ver=kauffet	w4520
<g/>
=
werden	w4522
<g/>
;
wer	w4524
demnach	w4525
von	w4526
solchen	w4527
etwas	w4528
zu	w4529
kauffen	w4530
willens	w4531
<g/>
/
kan	w4533
sich	w4534
an	w4535
ob=bestimmten	w4536
<g/>
=
Tag	w4538
<g/>
/
und	w4540
Stund	w4541
in	w4542
ermeldter	w4543
Wohnung	w4544
anmelden	w4545
<g/>
.
</p>
<head id="hl17">
NB	w4547
<g/>
.
</head>
<p id="p58">
Den	w4549
25	w4550
sten	w4551
dieses	w4552
fruhe	w4553
um	w4554
9	w4555
<g/>
.
Uhr	w4557
<g/>
/
wer=den	w4559
<g/>
=
auf	w4561
einer	w4562
Hochlöbl	w4563
<g/>
.
N	w4565
<g/>
.
Oe	w4567
<g/>
.
Regierungs	w4569
<g/>
=
Verordnung	w4571
<g/>
/
in	w4573
dem	w4574
neu	w4575
<g/>
=
erbauten	w4577
Wenig=hofferischen	w4578
<g/>
=
Haus	w4580
am	w4581
Juden	w4582
<g/>
=
Platz	w4584
<g/>
/
in	w4586
dem	w4587
ersten	w4588
Stok	w4589
<g/>
/
etlich	w4591
und	w4592
viertzig	w4593
Stuk	w4594
kost=barer	w4595
<g/>
=
jüngsthin	w4597
aus	w4598
Jtalien	w4599
anhero	w4600
gebrach=te	w4601
<g/>
=
Mahlereyen	w4603
<g/>
/
deren	w4605
grösten	w4606
Virtuosen	w4607
<g/>
/
als	w4609
von	w4610
Titiano	w4611
<g/>
,
Rafaele	w4613
d'	w4614
Urbino	w4615
<g/>
,
Correg-gio	w4617
<g/>
-
<g/>
,
Paolo	w4620
Veronese	w4621
<g/>
,
Bassano	w4623
<g/>
,
&c	w4625
<g/>
.
dem	w4627
Meistbietenden	w4628
käuflich	w4629
überlassen	w4630
werden	w4631
<g/>
.
</p>
<head id="hl18">
NB	w4633
<g/>
.
</head>
<p id="p59">
Jn	w4635
Herrn	w4636
Paul	w4637
Straubens	w4638
Buch	w4639
<g/>
=
Laden	w4641
</p>
<p id="p60">
auf	w4642
dem	w4643
Peters	w4644
<g/>
=
Freythof	w4646
<g/>
/
den	w4648
goldenen	w4649
Fässel	w4650
gegen	w4651
über	w4652
<g/>
/
ist	w4654
zu	w4655
haben	w4656
<g/>
:
Allgemei=nes	w4658
<g/>
=
Lexicon	w4660
aller	w4661
Künsten	w4662
<g/>
/
und	w4664
Wissen=schaften	w4665
<g/>
=
<g/>
/
oder	w4668
Beschreibung	w4669
aller	w4670
Mensch=lichen	w4671
<g/>
=
Handlungen	w4673
<g/>
/
Staats	w4675
<g/>
=
Rechts	w4677
<g/>
=
Kriegs	w4679
<g/>
=
Policey	w4681
<g/>
,
Haushaltungs	w4683
<g/>
=
und	w4685
Gelehrten	w4686
<g/>
=
Ge=schäften	w4688
<g/>
=
<g/>
/
Handthierungen	w4691
<g/>
/
imgleichen	w4693
ei=ner	w4694
<g/>
=
Beschreibung	w4696
des	w4697
Reichs	w4698
der	w4699
Natur	w4700
<g/>
/
samt	w4702
denen	w4703
bekannten	w4704
Gewächsen	w4705
<g/>
/
deren	w4707
Thieren	w4708
<g/>
/
Steinen	w4710
<g/>
/
und	w4712
Ertz	w4713
<g/>
/
des	w4715
Meers	w4716
<g/>
/
und	w4718
deren	w4719
darinnen	w4720
lebenden	w4721
Geschöpfen	w4722
<g/>
/
samt	w4724
der	w4725
Erklärung	w4726
deren	w4727
darinnen	w4728
vorkom=menden	w4729
<g/>
=
Kunst	w4731
<g/>
=
Wörtern	w4733
<g/>
/
und	w4735
Redens	w4736
<g/>
=
Ar=ten	w4738
<g/>
=
<g/>
/
mit	w4741
Beysetzung	w4742
deren	w4743
Lateinischen	w4744
und	w4745
Frantzösischen	w4746
Benennungen	w4747
<g/>
/
mit	w4749
Fi=guren	w4750
<g/>
=
<g/>
.
in	w4753
4	w4754
to	w4755
Leipzig	w4756
<g/>
.
</p>
<p id="p61">
Item	w4758
<g/>
,
von	w4760
Hoffmanns	w4761
Waldau	w4762
<g/>
/
und	w4764
an=deren	w4765
<g/>
=
Teutschen	w4767
auserlesenen	w4768
<g/>
/
und	w4770
bishe=ro	w4771
<g/>
=
ungedrukten	w4773
Gedichten	w4774
Continuatio	w4775
<g/>
,
oder	w4777
7der	w4778
Theil	w4779
<g/>
.
in	w4781
8	w4782
vo	w4783
<g/>
.
Leipzig	w4785
<g/>
.
</p>
<p id="p62">
Item	w4787
<g/>
,
Bruckmanni	w4789
Francisci	w4790
unter	w4791
<g/>
=
irdi=sche	w4793
<g/>
=
Schatz	w4795
<g/>
=
Kammer	w4797
<g/>
/
aller	w4799
Königreiche	w4800
und	w4801
Länder	w4802
<g/>
/
in	w4804
ausführlicher	w4805
Beschreibung	w4806
al=ler	w4807
<g/>
=
<g/>
/
mehr	w4810
als	w4811
MDC	w4812
<g/>
.
Berg	w4814
<g/>
=
Werke	w4816
<g/>
/
durch	w4818
alle	w4819
vier	w4820
Welt	w4821
<g/>
=
Theile	w4823
<g/>
/
welche	w4825
von	w4826
Entde=ckung	w4827
<g/>
=
derenselben	w4829
bis	w4830
auf	w4831
gegenwärtige	w4832
Zeit	w4833
gebauet	w4834
worden	w4835
<g/>
/
und	w4837
noch	w4838
gebauet	w4839
werden	w4840
<g/>
/
in	w4842
was	w4843
Stande	w4844
sie	w4845
jemals	w4846
gewesen	w4847
<g/>
/
und	w4849
wie	w4850
jetzo	w4851
beschaffen	w4852
<g/>
;
was	w4854
für	w4855
Ertzt	w4856
<g/>
/
Stei=ne	w4858
<g/>
=
<g/>
/
und	w4861
Berg	w4862
<g/>
=
Arten	w4864
<g/>
/
aus	w4866
solchen	w4867
jemals	w4868
gewonnen	w4869
<g/>
/
und	w4871
noch	w4872
zu	w4873
Tage	w4874
ausgeför=dert	w4875
<g/>
=
werden	w4877
<g/>
.
fol	w4879
<g/>
.
Braunschweig	w4881
<g/>
/
mit	w4883
Ku=pfern	w4884
<g/>
=
<g/>
.
</p>
<head id="hl19">
Lista	w4887
deren	w4888
Verstorbenen	w4889
zu	w4890
Wien	w4891
<g/>
/
in	w4893
und	w4894
vor	w4895
der	w4896
<g/>
.
</head>
<head id="hl20">
Den	w4898
7	w4899
<g/>
.
November	w4901
1727	w4902
<g/>
.
</head>
<head id="hl21">
Jn	w4904
der	w4905
Stadt	w4906
<g/>
.
</head>
<list id="">
Dem	w4908
Matthias	w4909
Aichhöltzer	w4910
<g/>
/
Brod	w4912
<g/>
=
Sitzern	w4914
<g/>
/
s	w4916
<g/>
.
W	w4918
<g/>
.
Urs	w4920
<g/>
.
<g/>
/
im	w4923
Nessisch	w4924
<g/>
.
H	w4926
<g/>
.
am	w4928
Roten	w4929
<g/>
=
Thurn	w4931
<g/>
/
alt	w4933
55	w4934
<g/>
.
J	w4936
<g/>
.
Dominicus	w4938
Luchin	w4939
<g/>
/
Rauch	w4941
<g/>
=
Fang	w4943
<g/>
=
Kehrer	w4945
<g/>
=
Gesell	w4947
<g/>
/
im	w4949
Doctor	w4950
-Latzen	w4951
Hof	w4952
<g/>
/
alt	w4954
60	w4955
<g/>
.
J	w4957
<g/>
.
Dem	w4959
Georg	w4960
Hien	w4961
<g/>
/
Guardi	w4963
<g/>
=
Soldaten	w4965
<g/>
/
s	w4967
<g/>
.
W	w4969
<g/>
.
Magd	w4971
<g/>
.
<g/>
/
auf	w4974
der	w4975
Schotten	w4976
<g/>
=
Pastey	w4978
<g/>
/
alt	w4980
20	w4981
<g/>
.
J	w4983
<g/>
.
Christina	w4985
Pahlerin	w4986
<g/>
/
im	w4988
Burger	w4989
<g/>
=
Spital	w4991
<g/>
/
alt	w4993
77	w4994
<g/>
.
J	w4996
<g/>
.
</list>
<head id="hl22">
Vor	w4998
der	w4999
Stadt	w5000
<g/>
.
</head>
<list id="">
Dem	w5002
Jos	w5003
<g/>
.
Babl	w5005
<g/>
/
Schneidern	w5007
<g/>
/
s	w5009
<g/>
.
K	w5011
<g/>
.
Francisca	w5013
<g/>
/
im	w5015
Gartnerisch	w5016
<g/>
.
H	w5018
<g/>
.
ausserm	w5020
Neubau	w5021
<g/>
/
alt	w5023
7	w5024
<g/>
.
Viertl	w5026
J	w5027
<g/>
.
Dem	w5029
Christian	w5030
Kablunger	w5031
<g/>
/
Tapetzierern	w5033
<g/>
/
s	w5035
<g/>
.
K	w5037
Carl	w5038
<g/>
/
im	w5040
Spengerisch	w5041
<g/>
.
H	w5043
<g/>
.
am	w5045
Magdalena	w5046
<g/>
=
Grund	w5048
<g/>
/
alt	w5050
3	w5051
<g/>
.
J	w5053
<g/>
.
Dem	w5055
Abrah	w5056
<g/>
.
Ehrhard	w5058
<g/>
/
Tischlern	w5060
<g/>
/
s	w5062
<g/>
.
K	w5064
<g/>
.
Abrah	w5066
<g/>
.
<g/>
/
beym	w5069
Anna	w5070
<g/>
=
Berg	w5072
bey	w5073
Maria	w5074
<g/>
=
Hülf	w5076
<g/>
/
alt	w5078
5	w5079
<g/>
.
J	w5081
<g/>
.
</list>
<list id="">
Dem	w5084
Joh	w5085
<g/>
.
Georg	w5087
Betz	w5088
<g/>
/
gewesten	w5090
Becken	w5091
<g/>
/
s	w5093
<g/>
.
W	w5095
<g/>
.
An	w5097
<g/>
.
<g/>
/
im	w5100
Spalliermacheris	w5101
<g/>
.
H	w5103
<g/>
.
zu	w5105
Matzelsdorf	w5106
<g/>
/
alt	w5108
42	w5109
<g/>
.
J	w5111
<g/>
.
Dem	w5113
Frantz	w5114
Ramer	w5115
<g/>
/
Maurer	w5117
<g/>
=
Gesellen	w5119
<g/>
/
s	w5121
<g/>
.
W	w5123
<g/>
.
Julia=na	w5125
<g/>
=
<g/>
/
beim	w5128
Emaus	w5129
im	w5130
Liechtenthal	w5131
<g/>
/
alt	w5133
36	w5134
<g/>
.
J	w5136
<g/>
.
Bertha	w5138
Strecker	w5139
<g/>
/
im	w5141
St	w5142
<g/>
.
Johann	w5144
Nepom	w5145
<g/>
.
Spital	w5147
auf	w5148
der	w5149
Landstraß	w5150
<g/>
/
alt	w5152
53	w5153
<g/>
.
J	w5155
<g/>
.
Dem	w5157
Georg	w5158
Walter	w5159
<g/>
/
Tagw	w5161
<g/>
.
<g/>
/
s	w5164
<g/>
.
W	w5166
<g/>
.
Urs	w5168
<g/>
.
<g/>
/
im	w5171
Bräu=meisterischen	w5172
<g/>
=
H	w5174
<g/>
.
zu	w5176
Gundendorf	w5177
<g/>
/
alt	w5179
55	w5180
<g/>
.
J	w5182
<g/>
.
Dem	w5184
Georg	w5185
Kern	w5186
<g/>
/
Tagw	w5188
<g/>
.
<g/>
/
s	w5191
<g/>
.
K	w5193
<g/>
.
An	w5195
<g/>
.
<g/>
/
beym	w5198
golden	w5199
Bern	w5200
in	w5201
der	w5202
Rossau	w5203
<g/>
/
alt	w5205
4	w5206
<g/>
.
J	w5208
<g/>
.
Christoph	w5210
N	w5211
<g/>
.
<g/>
/
armer	w5214
mann	w5215
<g/>
/
untern	w5217
Weis	w5218
<g/>
=
Gärbern	w5220
<g/>
/
alt	w5222
70	w5223
<g/>
.
J	w5225
<g/>
.
An	w5227
<g/>
.
Graberin	w5229
<g/>
/
alt	w5231
19	w5232
<g/>
.
J	w5234
<g/>
.
Und	w5236
Sus	w5237
<g/>
.
Walin	w5239
<g/>
/
alt	w5241
50	w5242
<g/>
.
J	w5244
<g/>
/
beede	w5246
im	w5247
Kranken	w5248
<g/>
=
H	w5250
<g/>
.
</list>
<head id="hl23">
Den	w5252
8	w5253
<g/>
.
Novemb	w5255
<g/>
.
</head>
<head id="hl24">
Jn	w5257
der	w5258
Stadt	w5259
<g/>
.
</head>
<list id="">
Joh	w5261
<g/>
.
Jac	w5263
<g/>
.
Hochhaumer	w5265
<g/>
/
gewester	w5267
Hartschiern	w5268
<g/>
=
Rott	w5270
<g/>
=
Meister	w5272
<g/>
/
im	w5274
Mahlerisch	w5275
<g/>
.
H	w5277
<g/>
.
in	w5279
der	w5280
Himmelport	w5281
<g/>
=
Gassen	w5283
<g/>
/
alt	w5285
63	w5286
<g/>
.
J	w5288
<g/>
.
</list>
<head id="hl25">
Vor	w5290
der	w5291
Stadt	w5292
<g/>
.
</head>
<list id="">
Dem	w5294
Paul	w5295
Mantl	w5296
<g/>
/
B	w5298
<g/>
.
Strumpf	w5300
<g/>
=
Strickern	w5302
<g/>
/
s	w5304
<g/>
.
W	w5306
<g/>
.
Eva	w5308
Rosina	w5309
<g/>
/
beyn	w5311
weissen	w5312
Adler	w5313
am	w5314
Neustift	w5315
<g/>
/
alt	w5317
27	w5318
<g/>
.
J	w5320
<g/>
.
Elis	w5322
<g/>
.
Balkin	w5324
<g/>
/
Wittib	w5326
<g/>
/
beym	w5328
schwartzen	w5329
Mohrn	w5330
bey	w5331
Maria	w5332
<g/>
=
Hülf	w5334
<g/>
/
alt	w5336
50	w5337
<g/>
.
J	w5339
<g/>
.
Joh	w5341
<g/>
.
Georg	w5343
Unterholfer	w5344
<g/>
/
