<doc id="wr_1763-08-10" attrs="word" year="1763" month="08" day="10" corpus="2">
<head id="h2_d782e3112">
Elvas,	w1_d782e3116
ein	w5_d782e10383
Estratto	w7_d782e10386
mit	w9_d782e10389
1456.	w11_d782e10392
fl.	w13_d782e10396
bey	w15_d782e10399
dem	w1_d782e10404
sub	w3_d782e10407
Nro.	w5_d782e10410
16.	w7_d782e10413
Hrn.	w9_d782e10416
Georg	w11_d782e10419
Mallknecht,	w13_d782e10423
und	w1_d782e10428
bey	w3_d782e10431
jenem	w5_d782e10434
sub	w7_d782e10437
Nro.	w9_d782e10440
17.	w11_d782e10443
Hrn.	w13_d782e10447
Jgnati	w15_d782e10450
Freysauff	w1_d782e10456
ebenfalls	w3_d782e10459
jeder	w5_d782e10462
einen	w7_d782e10465
Terno	w9_d782e10468
von	w11_d782e10471
100.	w1_d782e10476
Ducaten,	w3_d782e10479
bey	w5_d782e10482
dem	w7_d782e10485
sub	w9_d782e10488
Nro.	w11_d782e10491
60.	w13_d782e10495
Hrn.	w1_d782e10500
Mathias	w3_d782e10503
Paldt	w5_d782e10506
ein	w7_d782e10509
Quaterno,	w9_d782e10512
bey	w11_d782e10515
jenem	w1_d782e10520
sub	w3_d782e10523
Nro.	w5_d782e10526
68.	w7_d782e10529
Herrn	w9_d782e10532
Adam	w11_d782e10535
Wach	w13_d782e10539
berger	w1_d782e10545
zwey	w3_d782e10548
Terni	w5_d782e10551
mit	w7_d782e10554
100.	w9_d782e10557
und	w11_d782e10560
ein	w13_d782e10564
Am	w15_d782e10567
bo	w1_d782e10572
mit	w3_d782e10575
eben	w5_d782e10578
100.	w7_d782e10581
Ducaten,	w9_d782e10584
und	w11_d782e10587
bey	w13_d782e10591
dem	w15_d782e10594
sub	w1_d782e10599
Nro.	w3_d782e10602
107.	w5_d782e10605
Hrn.	w7_d782e10608
Georg	w9_d782e10611
Kaminscheg	w11_d782e10614
in	w1_d782e10619
der	w3_d782e10622
Neustadt	w5_d782e10625
verschiedene	w7_d782e10628
namhafte	w9_d782e10631
Estrat	w11_d782e10634
ti	w1_d782e10640
in	w3_d782e10643
Summa	w5_d782e10646
1070.	w7_d782e10649
fl.	w9_d782e10652
betragend	w11_d782e10655
gewon	w13_d782e10659
nen	w1_d782e10664
und	w3_d782e10667
abgeführet	w5_d782e10670
worden.	w7_d782e10673
</p>
<p id="p12_d782e10677">
Den	w1_d782e10681
18ten	w3_d782e10684
dies	w5_d782e10687
wird	w7_d782e10690
die	w9_d782e10693
fernere	w11_d782e10696
Zie	w13_d782e10700
hung	w1_d782e10705
zu	w3_d782e10708
Gratz	w5_d782e10711
der	w7_d782e10714
Hauptstadt	w9_d782e10717
in	w11_d782e10720
Steuer	w13_d782e10724
mark	w1_d782e10729
geschehen.	w3_d782e10732
</p>
<head id="h2_d782e10738">
Lista	w1_d782e10742
deren	w3_d782e10745
Verstorbenen	w5_d782e10748
zu	w7_d782e10751
Wien	w9_d782e10754
in	w1_d782e10759
und	w3_d782e10762
vor	w5_d782e10765
der	w7_d782e10768
Stadt.	w9_d782e10771
Den	w1_d782e10776
5.	w3_d782e10779
Aug.	w5_d782e10782
Jn	w7_d782e10785
der	w9_d782e10788
Stadt.	w11_d782e10791
</head>
<list id="l4_d782e10794">
Sr.	w1_d782e10798
Excel.	w3_d782e10801
dem	w5_d782e10804
Hoch	w7_d782e10807
und	w9_d782e10810
Wohlgeb.	w11_d782e10813
Hrn.	w13_d782e10817
Hrn.	w15_d782e10820
Niclas,	w1_d782e10825
Grafen	w3_d782e10828
Esterhatzy	w5_d782e10831
v.	w7_d782e10834
Galantha,	w9_d782e10837
K.	w11_d782e10840
K.	w13_d782e10844
Kammerer,	w1_d782e10849
würkl.	w3_d782e10852
peheimer	w5_d782e10855
Raht,	w7_d782e10858
Königlich	w9_d782e10861
Hungaris.	w1_d782e10867
Kron=hüt.	w3_d782e10870
des	w5_d782e10873
Sarosser=comit.	w7_d782e10876
Ober	w9_d782e10879
gespan,	w1_d782e10884
General.	w3_d782e10887
der	w5_d782e10890
Cavallerie,	w7_d782e10893
und	w9_d782e10896
Capitain	w11_d782e10899
der	w1_d782e10904
Königl.	w3_d782e10907
Hungaris.	w5_d782e10910
Adel.	w7_d782e10913
Leib=garde,	w9_d782e10916
seine	w11_d782e10919
Frle.	w1_d782e10924
Tocht.	w3_d782e10927
Maria	w5_d782e10930
Antonia,	w7_d782e10933
in	w9_d782e10936
dero	w11_d782e10939
Behausung	w13_d782e10943
auf	w1_d782e10949
der	w3_d782e10952
Schotten=bastey,	w5_d782e10955
alt	w7_d782e10958
1.	w9_d782e10961
J.	w11_d782e10964
Dem	w1_d782e10969
Hrn.	w3_d782e10972
Jacob	w5_d782e10975
Jagatitsch,	w7_d782e10978
Burgerl.	w9_d782e10981
Handelsm.	w11_d782e10984
s.	w1_d782e10989
Fr.	w3_d782e10992
Maria	w5_d782e10995
Barb.,	w7_d782e10998
in	w9_d782e11001
s.	w11_d782e11004
H.	w13_d782e11008
am	w15_d782e11011
hoh.	w17_d782e11014
Markt,	w19_d782e11017
alt	w1_d782e11022
29.	w3_d782e11025
J.	w5_d782e11028
Dem	w1_d782e11034
Adam	w3_d782e11037
Neck,	w5_d782e11040
Burgerl.	w7_d782e11043
Satl.,	w9_d782e11046
s.	w11_d782e11049
W.	w13_d782e11053
Doroth.	w15_d782e11056
im	w1_d782e11061
Föderl=hof,	w3_d782e11064
alt	w5_d782e11067
44.	w7_d782e11070
J.	w9_d782e11073
</list>
<head id="h2_d782e11080">
Vor	w1_d782e11084
der	w3_d782e11087
Stadt.	w5_d782e11090
</head>
<list id="l4_d782e11093">
Dem	w1_d782e11097
Jos.	w3_d782e11100
Ehrenreich,	w5_d782e11103
Model=stech.,	w7_d782e11106
s.	w9_d782e11109
K.	w11_d782e11112
Joh.,	w13_d782e11116
bey	w1_d782e11121
der	w3_d782e11124
Stadt	w5_d782e11127
München	w7_d782e11130
oberm	w9_d782e11133
Neust.,	w11_d782e11136
5.	w13_d782e11140
Dem	w1_d782e11145
Carl	w3_d782e11148
Berger,	w5_d782e11151
Hof=bau=amts=aufseh.,	w7_d782e11154
s.	w9_d782e11157
K.	w11_d782e11160
Magdal.,	w1_d782e11166
im	w3_d782e11169
Kühtreiberis.	w5_d782e11172
H.	w7_d782e11175
auf	w9_d782e11178
der	w11_d782e11181
Landstr.	w13_d782e11185
alt	w1_d782e11190
2.	w3_d782e11193
J.	w5_d782e11196
Dem	w1_d782e11201
Franz	w3_d782e11204
Killich,	w5_d782e11207
Tischler=ges.,	w7_d782e11210
s.	w9_d782e11213
K.	w11_d782e11216
Phil.,	w13_d782e11220
beym	w15_d782e11223
weis.	w1_d782e11228
Drack.	w3_d782e11231
zu	w5_d782e11234
Maria=hülf,	w7_d782e11237
alt	w9_d782e11240
3.	w11_d782e11243
J.	w13_d782e11247
Der	w1_d782e11253
Barb.	w3_d782e11256
Gindlin,	w5_d782e11259
Wittwe,	w7_d782e11262
ihr	w9_d782e11265
K.	w11_d782e11268
Jos.,	w13_d782e11272
im	w15_d782e11275
Hack	w17_d782e11278
lis.	w1_d782e11283
H.	w3_d782e11286
auf	w5_d782e11289
der	w7_d782e11292
neuen	w9_d782e11295
Wied.,	w11_d782e11298
alt	w13_d782e11302
3.	w15_d782e11305
J.	w17_d782e11308
Dem	w1_d782e11313
Math.	w3_d782e11316
Schneider,	w5_d782e11319
Kutsch.,	w7_d782e11322
s.	w9_d782e11325
K.	w11_d782e11328
Phil.,	w13_d782e11332
im	w15_d782e11335
Zimenteris.	w1_d782e11340
H.	w3_d782e11343
am	w5_d782e11346
Thury,	w7_d782e11349
alt	w9_d782e11352
2.	w11_d782e11355
J.	w13_d782e11359
</list>
<list id="l10_d782e11373">
Dem	w1_d782e11377
Math.	w3_d782e11380
Stapf,	w5_d782e11383
Herrschaftl.	w7_d782e11386
Lack.,	w9_d782e11389
s.	w11_d782e11392
K.	w13_d782e11396
Anna,	w15_d782e11399
beym	w1_d782e11404
gr.	w3_d782e11407
Salz=küf,	w5_d782e11410
auf	w7_d782e11413
der	w9_d782e11416
Laimgr.,	w11_d782e11419
alt	w13_d782e11423
3.	w15_d782e11426
J.	w17_d782e11429
Dem	w1_d782e11434
Joh.	w3_d782e11437
Mages,	w5_d782e11440
gew.	w7_d782e11443
Lack.,	w9_d782e11446
s.	w11_d782e11449
W.	w13_d782e11453
Gertr.,	w15_d782e11456
im	w17_d782e11459
Gerichtschreiberis.	w1_d782e11465
H.	w3_d782e11468
auf	w5_d782e11471
der	w7_d782e11474
neuen	w9_d782e11477
Wied.,	w11_d782e11480
51.	w13_d782e11484
J.	w15_d782e11487
Casp.	w1_d782e11492
Witmnann,	w3_d782e11495
gew.	w5_d782e11498
Ochsen=treib.,	w7_d782e11501
im	w9_d782e11504
Gottes	w11_d782e11507
acker	w1_d782e11512
auf	w3_d782e11515
der	w5_d782e11518
Landstr.,	w7_d782e11521
alt	w9_d782e11524
81.	w11_d782e11527
J.	w13_d782e11531
Der	w1_d782e11536
Magdal.	w3_d782e11539
Pascherin,	w5_d782e11542
Wittwe,	w7_d782e11545
ihr	w9_d782e11548
T.	w11_d782e11551
Anna,	w13_d782e11555
im	w15_d782e11558
Kirchbergeris.	w1_d782e11564
H.	w3_d782e11567
in	w5_d782e11570
der	w7_d782e11573
Alster=gas,	w9_d782e11576
alt	w11_d782e11579
22.	w13_d782e11583
J.	w15_d782e11586
</list>
<head id="h2_d782e11593">
Summa	w1_d782e11597
12.	w3_d782e11600
Person,	w5_d782e11603
därunter	w7_d782e11606
7.	w9_d782e11609
Kind.	w11_d782e11612
Den	w1_d782e11617
6.	w3_d782e11620
Aug.	w5_d782e11623
Jn	w7_d782e11626
der	w9_d782e11629
Stadt.	w11_d782e11632
</head>
<list id="l4_d782e11635">
Dem	w1_d782e11639
Gottl.	w3_d782e11642
Peißker,	w5_d782e11645
Hochfürstl.	w7_d782e11648
Lobkowitzis.	w9_d782e11651
Can	w11_d782e11654
cellist.	w1_d782e11659
s.	w3_d782e11662
Ehew.	w5_d782e11665
Theres,	w7_d782e11668
beym	w9_d782e11671
gold.	w11_d782e11674
Straussen	w13_d782e11678
auf	w1_d782e11683
der	w3_d782e11686
Freyung,	w5_d782e11689
alt	w7_d782e11692
50.	w9_d782e11695
J.	w11_d782e11698
Dem	w1_d782e11704
Franz	w3_d782e11707
Escher,	w5_d782e11710
Maurer=ges.,	w7_d782e11713
s.	w9_d782e11716
S.	w11_d782e11719
Andre,	w13_d782e11723
bey	w15_d782e11726
der	w1_d782e11731
weis.	w3_d782e11734
Ros.	w5_d782e11737
am	w7_d782e11740
Grab,	w9_d782e11743
alt	w11_d782e11746
13.	w13_d782e11750
J.	w15_d782e11753
Der	w1_d782e11758
Sabina	w3_d782e11761
Münichin,	w5_d782e11764
Wittwe,	w7_d782e11767
ihr	w9_d782e11770
K.	w11_d782e11773
Margar.,	w13_d782e11777
im	w1_d782e11782
Zuanis.	w3_d782e11785
H.	w5_d782e11788
in	w7_d782e11791
der	w9_d782e11794
Krugerstr.,	w11_d782e11797
alt	w13_d782e11801
7.	w15_d782e11804
J.	w17_d782e11807
Dem	w1_d782e11813
Joh.	w3_d782e11816
Mich.	w5_d782e11819
Schneider,	w7_d782e11822
Hausmeist.,	w9_d782e11825
s.	w11_d782e11828
K.	w13_d782e11832
Maria	w1_d782e11837
Anna,	w3_d782e11840
im	w5_d782e11843
Mayrhoferisch.	w7_d782e11846
H.	w9_d782e11849
auf	w11_d782e11852
der	w13_d782e11856
Fi	w15_d782e11859
scher=stieg.,	w1_d782e11864
alt	w3_d782e11867
1.	w5_d782e11870
J.	w7_d782e11873
Dem	w1_d782e11878
Franz	w3_d782e11881
Gottschachner,	w5_d782e11884
Oeler=sitz,	w7_d782e11887
s.	w9_d782e11890
K.	w11_d782e11893
Elisab.	w13_d782e11897
im	w1_d782e11903
Bischof=H.	w3_d782e11906
auf	w5_d782e11909
der	w7_d782e11912
Freyung,	w9_d782e11915
alt	w11_d782e11918
2.	w13_d782e11922
J.	w15_d782e11925
</list>
<head id="h2_d782e11933">
Vor	w1_d782e11937
der	w3_d782e11940
Stadt.	w5_d782e11943
</head>
<list id="l4_d782e11946">
Dem	w1_d782e11950
Leop.	w3_d782e11953
Mann,	w5_d782e11956
Burgerl.	w7_d782e11959
Schuhmach.,	w9_d782e11962
s.	w11_d782e11965
K.	w13_d782e11969
Paul,	w1_d782e11974
beyn	w3_d782e11977
2.	w5_d782e11980
gold.	w7_d782e11983
Schlüs.	w9_d782e11986
am	w11_d782e11989
Neust.,	w13_d782e11993
5.	w15_d782e11996
v.	w17_d782e11999
J.	w19_d782e12002
Dem	w1_d782e12007
Adam	w3_d782e12010
Resch,	w5_d782e12013
Zimmer=ges.,	w7_d782e12016
s.	w9_d782e12019
K.	w11_d782e12022
Elisab.,	w13_d782e12026
im	w15_d782e12029
Satleris.	w1_d782e12035
H.	w3_d782e12038
auf	w5_d782e12041
der	w7_d782e12044
Landstr.,	w9_d782e12047
alt	w11_d782e12050
4.	w13_d782e12054
J.	w15_d782e12057
Dem	w1_d782e12062
Joh.	w3_d782e12065
Georg	w5_d782e12068
Schaler,	w7_d782e12071
Herrschaftl.	w9_d782e12074
Lack.,	w11_d782e12077
s.	w13_d782e12081
K.	w15_d782e12084
Anna,	w1_d782e12089
beym	w3_d782e12092
gold.	w5_d782e12095
Engel	w7_d782e12098
im	w9_d782e12101
Liechtenth.,	w11_d782e12104
3.	w13_d782e12108
J.	w15_d782e12111
Der	w1_d782e12116
Maria	w3_d782e12119
Anna	w5_d782e12122
Zodeckin,	w7_d782e12125
Wittwe,	w9_d782e12128
ihr	w11_d782e12131
K.	w13_d782e12135
Theres.	w15_d782e12138
in	w1_d782e12144
der	w3_d782e12147
Kirchen=mühl	w5_d782e12150
zu	w7_d782e12153
Gumpendorf,	w9_d782e12156
alt	w11_d782e12159
2.	w13_d782e12163
J.	w15_d782e12166
Dem	w1_d782e12171
Joh.	w3_d782e12174
Raffelsperger,	w5_d782e12177
Holz	w7_d782e12180
handl.,	w9_d782e12183
s.	w11_d782e12186
K.	w13_d782e12190
Theres.	w15_d782e12193
bey	w1_d782e12198
der	w3_d782e12201
weis.	w5_d782e12204
Schwan.	w7_d782e12207
in	w9_d782e12210
der	w11_d782e12213
Rossau,	w13_d782e12217
10.	w15_d782e12220
J.	w17_d782e12223
Dem	w1_d782e12228
Lucas	w3_d782e12231
Klopf,	w5_d782e12234
Musico,	w7_d782e12237
s.	w9_d782e12240
W.	w11_d782e12243
Anna,	w13_d782e12247
beym	w15_d782e12250
gr.	w17_d782e12253
Klee=blat	w1_d782e12259
zu	w3_d782e12262
Maria=hülf,	w5_d782e12265
alt	w7_d782e12268
38.	w9_d782e12271
J.	w11_d782e12274
Der	w1_d782e12279
Theres.	w3_d782e12282
Grossauerin,	w5_d782e12285
Wittwe,	w7_d782e12288
ihr	w9_d782e12291
K.	w11_d782e12294
Joh.,	w13_d782e12298
beym	w1_d782e12303
weis.	w3_d782e12306
Läm.	w5_d782e12309
am	w7_d782e12312
Althanis.	w9_d782e12315
Grund,	w11_d782e12318
alt	w13_d782e12322
5.	w15_d782e12325
J.	w17_d782e12328
Dem	w1_d782e12333
Pet	w3_d782e12336
Penz,	w5_d782e12339
Tändl.,	w7_d782e12342
s.	w9_d782e12345
W	w11_d782e12348
Eva,	w13_d782e12352
beym	w15_d782e12355
Winter	w17_d782e12358
in	w1_d782e12364
der	w3_d782e12367
Josephst.,	w5_d782e12370
alt	w7_d782e12373
60.	w9_d782e12376
J.	w11_d782e12379
Dem	w1_d782e12384
Mich.	w3_d782e12387
Rottbauer,	w5_d782e12390
Taglöhn.,	w7_d782e12393
s.	w9_d782e12396
W.	w11_d782e12399
Clara,	w13_d782e12403
im	w15_d782e12406
Schlosseris.	w1_d782e12411
H.	w3_d782e12414
zu	w5_d782e12417
Margar,	w7_d782e12420
alt	w9_d782e12423
50.	w11_d782e12426
J.	w13_d782e12430
Der	w1_d782e12435
Elisab.	w3_d782e12438
Wollinin,	w5_d782e12441
Wittwe,	w7_d782e12444
ihr	w9_d782e12447
S	w11_d782e12450
Jos.,	w13_d782e12454
wel	w15_d782e12457
cher	w1_d782e12463
bey	w3_d782e12466
der	w5_d782e12469
aldasigen	w7_d782e12472
Reuter=cafarmen	w9_d782e12475
in	w11_d782e12478
der	w1_d782e12483
Leopoldst.	w3_d782e12486
im	w5_d782e12489
Donau.	w7_d782e12492
strom	w9_d782e12495
ertrunken,	w11_d782e12498
und	w13_d782e12502
alda	w1_d782e12507
vom	w3_d782e12510
K.	w5_d782e12513
K.	w7_d782e12516
Stadt	w9_d782e12519
und	w11_d782e12522
Land=gericht	w13_d782e12526
besch.	w15_d782e12529
worden,	w1_d782e12534
alt	w3_d782e12537
11.	w5_d782e12540
J.	w7_d782e12543
</list>
<head id="h2_d782e12550">
Summa	w1_d782e12554
15.	w3_d782e12557
Pers.,	w5_d782e12560
darunter	w7_d782e12563
10.	w9_d782e12566
Kind.	w11_d782e12569
Den	w1_d782e12574
7	w3_d782e12577
Aug.	w5_d782e12580
Jn	w7_d782e12583
der	w9_d782e12586
Stadt.	w11_d782e12589
Fr.	w1_d782e12594
Maria	w3_d782e12597
Rosal.	w5_d782e12600
Reichhartin,	w7_d782e12603
Wittwe,	w9_d782e12606
in	w11_d782e12609
ihrem	w13_d782e12613
H.	w1_d782e12619
auf	w3_d782e12622
der	w5_d782e12625
Brandst.,	w7_d782e12628
alt	w9_d782e12631
71.	w11_d782e12634
J.	w13_d782e12638
</head>
<head id="h2_d782e12644">
Vor	w1_d782e12648
der	w3_d782e12651
Stadt.	w5_d782e12654
</head>
<list id="l4_d782e12657">
Der	w1_d782e12661
Wol=geb.	w3_d782e12664
Hr.	w5_d782e12667
Jos.	w7_d782e12670
Carl	w9_d782e12673
von	w11_d782e12676
Siebenschön,	w13_d782e12680
General=feld=wachtmeist.,	w1_d782e12685
Juhab.	w3_d782e12688
eines	w5_d782e12691
Hungaris.	w7_d782e12694
Jnfanterie=regim.,	w1_d782e12699
im	w3_d782e12702
Kirchbergeris.	w5_d782e12705
H.	w7_d782e12708
in	w9_d782e12711
der	w1_d782e12717
Alster=gas.,	w3_d782e12720
alt	w5_d782e12723
59.	w7_d782e12726
J.	w9_d782e12729
Dem	w1_d782e12734
Ant	w3_d782e12737
Schuhman,	w5_d782e12740
Lack.,	w7_d782e12743
s.	w9_d782e12746
W.	w11_d782e12749
Doroth.,	w13_d782e12753
beym	w15_d782e12756
König	w1_d782e12761
David	w3_d782e12764
zu	w5_d782e12767
Maria=hülf,	w7_d782e12770
alt	w9_d782e12773
48.	w11_d782e12776
J.	w13_d782e12780
</list>
<list id="l6_d782e12784">
Dem	w1_d782e12788
Math.	w3_d782e12791
Glorner,	w5_d782e12794
Taglöhn.,	w7_d782e12797
s.	w9_d782e12800
W.	w11_d782e12803
Elisab.,	w13_d782e12807
in	w15_d782e12810
Piaristen=zim,	w1_d782e12815
auf	w3_d782e12818
der	w5_d782e12821
Wied.,	w7_d782e12824
alt	w9_d782e12827
56.	w11_d782e12830
J.	w13_d782e12834
Maria	w1_d782e12839
Elisab.	w3_d782e12842
Stadlerin,	w5_d782e12845
Wittwe,	w7_d782e12848
im	w9_d782e12851
Frey=H.	w11_d782e12854
beym	w1_d782e12860
gold.	w3_d782e12863
Metz.	w5_d782e12866
am	w7_d782e12869
Getraldm,	w9_d782e12872
alt	w11_d782e12875
66.	w13_d782e12879
J.	w15_d782e12882
Joh.	w1_d782e12887
Volkmann,	w3_d782e12890
Burgerl.	w5_d782e12893
Strümpfwürk.,	w7_d782e12896
bey	w9_d782e12899
dem	w11_d782e12902
gold.	w1_d782e12907
Hirsch.	w3_d782e12910
zu	w5_d782e12913
Maria=hülf,	w7_d782e12916
alt	w9_d782e12919
69.	w11_d782e12922
J.	w13_d782e12926
Joh.	w1_d782e12931
Kren,	w3_d782e12934
Maurer	w5_d782e12937
ges.,	w7_d782e12940
im	w9_d782e12943
Gatonisch.	w11_d782e12946
H.	w13_d782e12950
in	w15_d782e12953
der	w17_d782e12956
Leopoldst.,	w1_d782e12962
alt	w3_d782e12965
84.	w5_d782e12968
J.	w7_d782e12971
Dem	w1_d782e12976
Elias	w3_d782e12979
Perger,	w5_d782e12982
Burgerl.	w7_d782e12985
Schuhmach.,	w9_d782e12988
s.	w11_d782e12991
K.	w13_d782e12995
Maria	w1_d782e13000
Anna,	w3_d782e13003
beym	w5_d782e13006
Berg	w7_d782e13009
Thabor	w9_d782e13012
auf	w11_d782e13015
der	w13_d782e13019
Laim	w15_d782e13022
grub,	w1_d782e13027
alt	w3_d782e13030
2.	w5_d782e13033
J.	w7_d782e13036
Dem	w1_d782e13042
Ant.	w3_d782e13045
Donberger,	w5_d782e13048
Schuhmach.,	w7_d782e13051
s.	w9_d782e13054
K.	w11_d782e13057
Clara.,	w13_d782e13061
bey	w1_d782e13066
St.	w3_d782e13069
Jos.	w5_d782e13072
zu	w7_d782e13075
Maria=hülf,	w9_d782e13078
alt	w11_d782e13081
2.	w13_d782e13085
J.	w15_d782e13088
Dem	w1_d782e13093
Ant.	w3_d782e13096
Lederer,	w5_d782e13099
Taglöhn.,	w7_d782e13102
s.	w9_d782e13105
K.	w11_d782e13108
Mich.,	w13_d782e13112
in	w15_d782e13115
dem	w17_d782e13118
Oeleris.	w1_d782e13123
H.	w3_d782e13126
zu	w5_d782e13129
Margar.,	w7_d782e13132
alt	w9_d782e13135
3.	w11_d782e13138
J.	w13_d782e13142
</list>
<head id="h2_d782e13149">
Summa	w1_d782e13153
10	w3_d782e13156
Person.,	w5_d782e13159
darunter	w7_d782e13162
3.	w9_d782e13165
Kind	w11_d782e13168
Den	w1_d782e13173
8.	w3_d782e13176
Aug.	w5_d782e13179
Jn	w7_d782e13182
der	w9_d782e13185
Stadt.	w11_d782e13188
</head>
<list id="l4_d782e13191">
Dem	w1_d782e13195
(Tit.)	w3_d782e13198
Hrn.	w5_d782e13201
Ant.	w7_d782e13204
Ziegler,	w9_d782e13207
Königl.	w11_d782e13210
Polnisch.	w13_d782e13214
und	w1_d782e13219
Churfürstl.	w3_d782e13222
Sächsisch=wie	w5_d782e13225
auch	w7_d782e13228
Churfürstl.	w9_d782e13231
Bayrisch.	w1_d782e13236
gevollmächtigt.	w3_d782e13239
Co-acministrat.	w5_d782e13242
s.	w7_d782e13245
Fr.	w9_d782e13248
Maria	w1_d782e13254
Francisca,	w3_d782e13257
beyn	w5_d782e13260
7.	w7_d782e13263
Churfürst.	w9_d782e13266
am	w11_d782e13269
roten	w13_d782e13273
Thurn,	w1_d782e13278
alt	w3_d782e13281
57.	w5_d782e13284
J.	w7_d782e13287
Leop.	w1_d782e13292
Fux,	w3_d782e13295
Maurer=ges.,	w5_d782e13298
und	w7_d782e13301
Hausmeist.,	w9_d782e13304
bey	w11_d782e13307
dem	w13_d782e13311
gut.	w1_d782e13316
Hirt.	w3_d782e13319
in	w5_d782e13322
der	w7_d782e13325
Nagler=gas.,	w9_d782e13328
alt	w11_d782e13331
68.	w13_d782e13335
J.	w15_d782e13338
</list>
<head id="h2_d782e13345">
Vor	w1_d782e13349
der	w3_d782e13352
Stadt.	w5_d782e13355
</head>
<list id="l4_d782e13358">
Dem	w1_d782e13362
Jos.	w3_d782e13365
Mayr,	w5_d782e13368
Musico,	w7_d782e13371
s.	w9_d782e13374
K.	w11_d782e13377
Christian,	w13_d782e13381
bey	w15_d782e13384
dem	w17_d782e13387
gold.	w1_d782e13392
Rös.	w3_d782e13395
in	w5_d782e13398
der	w7_d782e13401
Josephst.,	w9_d782e13404
alt	w11_d782e13407
6.	w13_d782e13411
v.	w15_d782e13414
J.	w17_d782e13417
Dem	w1_d782e13422
Math.	w3_d782e13425
Wagner,	w5_d782e13428
Wirt.,	w7_d782e13431
s.	w9_d782e13434
K.	w11_d782e13437
Ant.,	w13_d782e13441
in	w15_d782e13444
s.	w17_d782e13447
H.	w19_d782e13450
beyn	w1_d782e13456
2.	w3_d782e13459
Schwerd.	w5_d782e13462
im	w7_d782e13465
Liechtenth,	w9_d782e13468
alt	w11_d782e13471
4.	w13_d782e13475
J.	w15_d782e13478
Dem	w1_d782e13483
Jos	w3_d782e13486
Winkler,	w5_d782e13489
Herrschaftl.	w7_d782e13492
Lack.,	w9_d782e13495
s.	w11_d782e13498
K.	w13_d782e13502
Franz	w15_d782e13505
Joh,	w1_d782e13510
beym	w3_d782e13513
gold.	w5_d782e13516
Sieb	w7_d782e13519
auf	w9_d782e13522
der	w11_d782e13525
Wied.,	w13_d782e13529
alt	w15_d782e13532
2.	w17_d782e13535
J.	w19_d782e13538
Dem	w1_d782e13543
Ant.	w3_d782e13546
Weigel,	w5_d782e13549
Kellnern,	w7_d782e13552
s.	w9_d782e13555
K.	w11_d782e13558
Ant.,	w13_d782e13562
bey	w15_d782e13565
dem	w17_d782e13568
gold.	w1_d782e13574
Läm.	w3_d782e13577
am	w5_d782e13580
Neustift,	w7_d782e13583
alt	w9_d782e13586
4.	w11_d782e13589
J.	w13_d782e13593
Dem	w1_d782e13598
Jacob	w3_d782e13601
Weigel,	w5_d782e13604
Lack.,	w7_d782e13607
s.	w9_d782e13610
K.	w11_d782e13613
Cyrilli	w13_d782e13617
Methud,	w15_d782e13620
im	w1_d782e13625
Stockadoris.	w3_d782e13628
H.	w5_d782e13631
am	w7_d782e13634
Neustift,	w9_d782e13637
alt	w11_d782e13640
4.	w13_d782e13644
J.	w15_d782e13647
Dem	w1_d782e13652
Pet.	w3_d782e13655
Steg,	w5_d782e13658
Herrschaftl.	w7_d782e13661
Reutschm.	w9_d782e13664
s.	w11_d782e13667
K.	w13_d782e13671
Joh.	w15_d782e13674
Georg,	w1_d782e13680
im	w3_d782e13683
Gräfl.	w5_d782e13686
Schönbornisch.	w7_d782e13689
Gart	w9_d782e13692
an	w11_d782e13695
der	w13_d782e13699
hinteren	w1_d782e13704
Alster	w3_d782e13707
gas.,	w5_d782e13710
alt	w7_d782e13713
2.	w9_d782e13716
J.	w11_d782e13719
Dem	w1_d782e13724
Jos.	w3_d782e13727
Settel,	w5_d782e13730
Miniatur=mahl.,	w7_d782e13733
s.	w9_d782e13736
W.	w11_d782e13739
Eathar.	w13_d782e13743
beym	w1_d782e13748
gold.	w3_d782e13751
Kegel	w5_d782e13754
am	w7_d782e13757
Spitalberg,	w9_d782e13760
alt	w11_d782e13763
28.	w13_d782e13767
J.	w15_d782e13770
Joh.	w1_d782e13776
Dörrer,	w3_d782e13779
gew.	w5_d782e13782
Lack.,	w7_d782e13785
im	w9_d782e13788
Eyerkrammeris.	w11_d782e13791
H.	w13_d782e13795
auf	w1_d782e13800
der	w3_d782e13803
Wied.,	w5_d782e13806
alt	w7_d782e13809
77.	w9_d782e13812
J.	w11_d782e13815
Mich.	w1_d782e13820
Michaelmann,	w3_d782e13823
Sag=feil.,	w5_d782e13826
bey	w7_d782e13829
der	w9_d782e13832
gr.	w11_d782e13835
Kanne	w13_d782e13839
am	w1_d782e13844
obern	w3_d782e13847
Neustift,	w5_d782e13850
alt	w7_d782e13853
75.	w9_d782e13856
J.	w11_d782e13859
Barb.	w1_d782e13865
Bartwischin,	w3_d782e13868
in	w5_d782e13871
St.	w7_d782e13874
Joh.	w9_d782e13877
Nep.	w11_d782e13880
Spit.	w13_d782e13884
40.	w15_d782e13887
J.	w17_d782e13890
Deo	w1_d782e13895
Barb.	w3_d782e13898
Greinesin,	w5_d782e13901
Wirtwe,	w7_d782e13904
ihr	w9_d782e13907
K.	w11_d782e13910
Anna,	w13_d782e13914
im	w15_d782e13917
Leuardis.	w1_d782e13922
H.	w3_d782e13925
zu	w5_d782e13928
Erdberg,	w7_d782e13931
