<doc id="wr_1761-03-14" attrs="word" year="1761" month="03" day="14" corpus="2">
<head id="h2_d535e2483">
Barcellona	w1_d535e2487
zum	w7_d535e9805
ehebaldigen	w9_d535e9808
Aufbruch	w1_d535e9814
in	w3_d535e9817
die	w5_d535e9820
Campagne	w7_d535e9823
alle	w9_d535e9826
nöhtige	w11_d535e9829
Vorkehrungen	w1_d535e9834
machen.	w3_d535e9837
</p>
<p id="p6_d535e9840">
Eben	w1_d535e9844
am	w3_d535e9847
Dienstage	w5_d535e9850
Nachmittags	w7_d535e9853
hat	w9_d535e9856
der	w11_d535e9859
Kais.	w1_d535e9864
Kön.	w3_d535e9867
Hof	w5_d535e9870
Sich	w7_d535e9873
nach	w9_d535e9876
den	w11_d535e9879
Collegium	w13_d535e9883
Theresianum	w1_d535e9888
auf	w3_d535e9891
der	w5_d535e9894
Wieden	w7_d535e9897
erhoben,	w9_d535e9900
allda	w11_d535e9903
von	w1_d535e9909
den	w3_d535e9912
Hoch=adelichen	w5_d535e9915
Allumnis	w7_d535e9918
eine	w9_d535e9921
Fran	w11_d535e9924
zösische	w1_d535e9929
Comödie,	w3_d535e9932
und	w5_d535e9935
ein	w7_d535e9938
Feuer=werk	w9_d535e9941
pro	w11_d535e9944
duciret	w1_d535e9949
worden,	w3_d535e9952
das	w5_d535e9955
sowol	w7_d535e9958
von	w9_d535e9961
höchsten	w11_d535e9964
Herrschaften,	w1_d535e9969
als	w3_d535e9972
allen	w5_d535e9975
anderen	w7_d535e9978
sonders	w9_d535e9981
be	w11_d535e9984
lobet	w1_d535e9990
worden,	w3_d535e9993
dito	w5_d535e9996
Abends	w7_d535e9999
ist	w9_d535e10002
der	w11_d535e10005
Hr.	w13_d535e10009
Graf	w15_d535e10012
von	w1_d535e10017
Zernizew,	w3_d535e10020
der	w5_d535e10023
als	w7_d535e10026
Rußisch=Kaiserlicher	w9_d535e10029
Bottschafter	w1_d535e10034
an	w3_d535e10037
den	w5_d535e10040
KöniglichFranzösi	w7_d535e10043
schen	w1_d535e10048
Hof	w3_d535e10051
nach	w5_d535e10054
Paris	w7_d535e10057
abgehet,	w9_d535e10060
samt	w11_d535e10063
der	w13_d535e10067
Frauen	w1_d535e10073
Gemahlin	w3_d535e10076
von	w5_d535e10079
Petersburg	w7_d535e10082
dahier	w9_d535e10085
angelanget.	w1_d535e10090
</p>
<p id="p8_d535e10093">
Mittwoch	w1_d535e10097
den	w3_d535e10100
11.	w5_d535e10103
Dieses	w7_d535e10106
Vormittags	w9_d535e10109
um	w1_d535e10114
9.	w3_d535e10117
Uhr	w5_d535e10120
ist	w7_d535e10123
in	w9_d535e10126
Gegenwart	w11_d535e10129
allerhöchsten	w13_d535e10133
Herrschaften	w1_d535e10138
die	w3_d535e10141
Fasten=predig	w5_d535e10144
und	w7_d535e10147
Amt	w9_d535e10150
in	w11_d535e10153
der	w1_d535e10159
Cammer=kapellen	w3_d535e10162
gehalten	w5_d535e10165
worden;	w7_d535e10168
dann	w9_d535e10171
seynd	w1_d535e10176
beede	w3_d535e10179
Kais.	w5_d535e10182
Majestäten	w7_d535e10185
mit	w9_d535e10188
wichtigen	w11_d535e10191
Staats,	w1_d535e10196
und	w3_d535e10199
Landes=sachen	w5_d535e10202
beschäftiget	w7_d535e10205
ge	w9_d535e10208
wesen;	w1_d535e10213
Se.	w3_d535e10216
Kön.	w5_d535e10219
Hoheit	w7_d535e10222
der	w9_d535e10225
Erz=herzog	w11_d535e10228
Jo	w13_d535e10232
seph	w1_d535e10238
aber	w3_d535e10241
haben	w5_d535e10244
dem	w7_d535e10247
wochentlichhalten	w9_d535e10250
den	w1_d535e10255
Commercien=raht	w3_d535e10258
beygewohnet.	w5_d535e10261
</p>
<p id="p10_d535e10264">
Donnerstags	w1_d535e10268
den	w3_d535e10271
12.	w5_d535e10274
Dito	w7_d535e10277
sind	w9_d535e10280
die	w11_d535e10283
all	w13_d535e10287
jährlich	w1_d535e10292
gewöhnlichen	w3_d535e10295
13.	w5_d535e10298
Geheimnußpre	w7_d535e10301
digen	w1_d535e10306
in	w3_d535e10309
der	w5_d535e10312
Cammer=kapelle	w7_d535e10315
gehalten	w9_d535e10318
wor	w11_d535e10321
den,	w1_d535e10327
denen	w3_d535e10330
die	w5_d535e10333
höchsten	w7_d535e10336
Kaiserl.	w9_d535e10339
Königl.	w11_d535e10342
Herrschaften	w1_d535e10347
mit	w3_d535e10350
dem	w5_d535e10353
hohen	w7_d535e10356
Adel	w9_d535e10359
Wechsels	w11_d535e10362
weise	w1_d535e10367
beygewohnet.	w3_d535e10370
Diesen	w5_d535e10373
Vormittags	w7_d535e10376
nach	w1_d535e10381
10.	w3_d535e10384
Uhr	w5_d535e10387
sind	w7_d535e10390
die	w9_d535e10393
berittene	w11_d535e10396
Corlstädter	w13_d535e10400
Croatischen	w1_d535e10406
Hussaren	w3_d535e10409
bey	w5_d535e10412
800.	w7_d535e10415
Köpfe,	w9_d535e10418
lau	w11_d535e10421
ter	w1_d535e10426
auserlesene	w3_d535e10429
schöne	w5_d535e10432
Leute,	w7_d535e10435
wol	w9_d535e10438
mondiret,	w11_d535e10441
</p>
<p id="p16_d535e10455">
und	w1_d535e10459
beritten,	w3_d535e10462
zur	w5_d535e10465
Favoriten=linie	w7_d535e10468
herein,	w9_d535e10471
um	w1_d535e10476
die	w3_d535e10479
hiesige	w5_d535e10482
Glacis	w7_d535e10485
über	w9_d535e10488
die	w11_d535e10491
grossen	w13_d535e10495
Do	w15_d535e10498
nau=brücken	w1_d535e10503
nach	w3_d535e10506
Schlesien	w5_d535e10509
zu	w7_d535e10512
dem	w9_d535e10515
Corps	w11_d535e10518
des	w1_d535e10524
Herrn	w3_d535e10527
Feld=zeugmeisters	w5_d535e10530
Frey=herrns	w7_d535e10533
von	w1_d535e10538
Loudon	w3_d535e10541
marschiret.	w5_d535e10544
</p>
<p id="p18_d535e10547">
Gestern	w1_d535e10551
Vormittag	w3_d535e10554
ware	w5_d535e10557
die	w7_d535e10560
Fastenpre	w9_d535e10563
dig	w1_d535e10568
und	w3_d535e10571
Amt	w5_d535e10574
in	w7_d535e10577
der	w9_d535e10580
Cammer=kapellen,	w11_d535e10583
dann	w13_d535e10587
seynd	w1_d535e10592
die	w3_d535e10595
Herren	w5_d535e10598
Bottschaftere,	w7_d535e10601
Gesandte,	w9_d535e10604
und	w1_d535e10610
der	w3_d535e10613
hohe	w5_d535e10616
Adel	w7_d535e10619
in	w9_d535e10622
Gala,	w11_d535e10625
(und	w13_d535e10629
zwar	w15_d535e10632
we	w17_d535e10635
gen	w1_d535e10640
der	w3_d535e10643
anhaltenden	w5_d535e10646
Trauer)	w7_d535e10649
im	w9_d535e10652
schwarzen	w11_d535e10655
Sammet,	w1_d535e10660
Spitz,	w3_d535e10663
und	w5_d535e10666
Geschmuck	w7_d535e10669
bey	w9_d535e10672
Hof	w11_d535e10675
erschienen,	w1_d535e10680
und	w3_d535e10683
haben	w5_d535e10686
bey	w7_d535e10689
Seiner	w9_d535e10692
Königl.	w11_d535e10695
Hoheit	w1_d535e10701
dem	w3_d535e10704
Durchl.	w5_d535e10707
Erb	w7_d535e10710
und	w9_d535e10713
KronPrin	w11_d535e10716
zen,	w1_d535e10721
dem	w3_d535e10724
Erz=herzog	w5_d535e10727
Joseph,	w7_d535e10730
wegen	w9_d535e10733
Dero	w11_d535e10736
höchsten	w1_d535e10741
Geburts=tag,	w3_d535e10744
wie	w5_d535e10747
auch	w7_d535e10750
wegen	w9_d535e10753
De	w11_d535e10756
ro	w1_d535e10761
auf	w3_d535e10764
dem	w5_d535e10767
19ten,	w7_d535e10770
als	w9_d535e10773
am	w11_d535e10776
Antlaß=pfingstag	w13_d535e10780
einfallenden,	w1_d535e10786
imgleichen	w3_d535e10789
Jhrer	w5_d535e10792
Kön.	w7_d535e10795
Hoheit	w9_d535e10798
der	w1_d535e10803
Erz=herzogin	w3_d535e10806
Josepha	w5_d535e10809
zugleich	w7_d535e10812
haltenden	w9_d535e10815
Namens=tägen	w1_d535e10820
ihre	w3_d535e10823
Glückwünschungscom	w5_d535e10826
plimenten	w1_d535e10831
abgeleget.	w3_d535e10834
Dann	w5_d535e10837
Mittags	w7_d535e10840
ha	w9_d535e10843
ben	w1_d535e10849
beede	w3_d535e10852
Kaiserl.	w5_d535e10855
Majestäten	w7_d535e10858
mit	w9_d535e10861
Jhren	w11_d535e10864
Königl.	w1_d535e10869
Hoheiten,	w3_d535e10872
denen	w5_d535e10875
älteren	w7_d535e10878
Durchl.	w9_d535e10881
Herrschaften	w1_d535e10886
offentlich	w3_d535e10889
gespeiset,	w5_d535e10892
und	w7_d535e10895
Abends	w9_d535e10898
ist	w1_d535e10903
ein	w3_d535e10906
zahlreiches	w5_d535e10909
Apartement	w7_d535e10912
gehalten	w9_d535e10915
wor	w11_d535e10918
den.	w1_d535e10924
</p>
<p id="p20_d535e10927">
Jmmittelst	w1_d535e10931
werden	w3_d535e10934
zu	w5_d535e10937
Eröfnung	w7_d535e10940
einer	w9_d535e10943
fruhezeitigen	w1_d535e10948
Campagne	w3_d535e10951
die	w5_d535e10954
Veranstaltun	w7_d535e10957
gen	w1_d535e10962
überhaupt	w3_d535e10965
gemacht,	w5_d535e10968
und	w7_d535e10971
starke	w9_d535e10974
Trans	w11_d535e10977
ports	w1_d535e10983
von	w3_d535e10986
Recrouten,	w5_d535e10989
des	w7_d535e10992
Artillerie	w9_d535e10995
Fuhr	w11_d535e10998
wesen	w1_d535e11003
und	w3_d535e11006
anderen	w5_d535e11009
Gerähtschaften	w7_d535e11012
von	w9_d535e11015
hier	w11_d535e11018
abgeschicket.	w1_d535e11023
</p>
<p id="p22_d535e11026">
Den	w1_d535e11030
10.	w3_d535e11033
lauffenden	w5_d535e11036
Monats	w7_d535e11039
ist	w9_d535e11042
allhier	w11_d535e11045
die	w1_d535e11050
Ziehang	w3_d535e11053
der	w5_d535e11056
K.	w7_d535e11059
K.	w9_d535e11062
priv.	w11_d535e11065
Lotterie	w13_d535e11069
besche	w15_d535e11072
hen,	w1_d535e11077
und	w3_d535e11080
die	w5_d535e11083
Num.	w7_d535e11086
56.	w9_d535e11089
57.	w11_d535e11092
67.	w13_d535e11096
80.	w15_d535e11099
und	w17_d535e11102
51.	w1_d535e11108
mit	w3_d535e11111
zerschiedenen	w5_d535e11114
Ambi,	w7_d535e11117
Terni,	w9_d535e11120
wor	w11_d535e11123
runter	w1_d535e11128
einer	w3_d535e11131
mit	w5_d535e11134
1000.	w7_d535e11137
Ducaten,	w9_d535e11140
welchen	w11_d535e11143
der	w1_d535e11148
sub	w3_d535e11151
Num.	w5_d535e11154
2.	w7_d535e11157
auf	w9_d535e11160
der	w11_d535e11163
Brand=stadt	w13_d535e11167
an	w15_d535e11170
gestellte	w1_d535e11175
Collectant	w3_d535e11178
abzuführen	w5_d535e11181
hat,	w7_d535e11184
wie	w9_d535e11187
auch	w1_d535e11193
erhebliche	w3_d535e11196
Estrati	w5_d535e11199
gehoben	w7_d535e11202
worden.	w9_d535e11205
</p>
<p id="p24_d535e11209">
Den	w1_d535e11213
28.	w3_d535e11216
dies	w5_d535e11219
wird	w7_d535e11222
die	w9_d535e11225
fernere	w11_d535e11228
Ziehung	w13_d535e11232
in	w1_d535e11237
der	w3_d535e11240
K.	w5_d535e11243
K.	w7_d535e11246
Haupt=stadt	w9_d535e11249
Prag	w11_d535e11252
beschehen.	w13_d535e11256
</p>
<head id="h2_d535e11262">
Lista	w1_d535e11266
deren	w3_d535e11269
Verstorbenen	w5_d535e11272
zu	w7_d535e11275
Wien	w9_d535e11278
in	w1_d535e11283
und	w3_d535e11286
vor	w5_d535e11289
der	w7_d535e11292
Stadt.	w9_d535e11295
Den	w1_d535e11300
10.	w3_d535e11303
Martii.	w5_d535e11306
Jn	w1_d535e11312
der	w3_d535e11315
Stadt.	w5_d535e11318
</head>
<list id="l4_d535e11321">
Jungf.	w1_d535e11325
Kunig.	w3_d535e11328
Fleischmanin,	w5_d535e11331
im	w7_d535e11334
Fischerisch.	w9_d535e11337
H.	w11_d535e11340
in	w13_d535e11344
der	w1_d535e11349
Singerstr,	w3_d535e11352
alt	w5_d535e11355
80.	w7_d535e11358
J.	w9_d535e11361
Dem	w1_d535e11366
Jac.	w3_d535e11369
Schirom,	w5_d535e11372
Herren=koch,	w7_d535e11375
s.	w9_d535e11378
K.	w11_d535e11381
Joh.,	w13_d535e11385
im	w15_d535e11388
Pauliner	w1_d535e11394
H.	w3_d535e11397
am	w5_d535e11400
Haiden=schuß,	w7_d535e11403
alt	w9_d535e11406
2.	w11_d535e11409
J.	w13_d535e11413
</list>
<head id="h2_d535e11420">
Vor	w1_d535e11424
der	w3_d535e11427
Stadt.	w5_d535e11430
</head>
<list id="l4_d535e11433">
Dem	w1_d535e11437
Christ.	w3_d535e11440
Ernst,	w5_d535e11443
Burgerl.	w7_d535e11446
Schlos.,	w9_d535e11449
s.	w11_d535e11452
K.	w13_d535e11456
Agnes,	w15_d535e11459
in	w1_d535e11464
s.	w3_d535e11467
H.	w5_d535e11470
in	w7_d535e11473
der	w9_d535e11476
Josephst.,	w11_d535e11479
alt	w13_d535e11483
2.	w15_d535e11486
J.	w17_d535e11489
Fr.	w1_d535e11494
Susan	w3_d535e11497
Kräutlerin,	w5_d535e11500
Wittwe.	w7_d535e11503
beym	w9_d535e11506
gold.	w11_d535e11509
Hirsch.	w13_d535e11513
bey	w1_d535e11519
St.	w3_d535e11522
Ulrich,	w5_d535e11525
alt	w7_d535e11528
78.	w9_d535e11531
J.	w11_d535e11534
Dem	w1_d535e11539
Math	w3_d535e11542
Osterman,	w5_d535e11545
gew.	w7_d535e11548
K.	w9_d535e11551
K.	w11_d535e11554
Hauptmantof	w13_d535e11558
sie,	w1_d535e11563
s.	w3_d535e11566
Ehew.	w5_d535e11569
Barb.,	w7_d535e11572
im	w9_d535e11575
Waldhornis.	w11_d535e11578
H.	w13_d535e11582
in	w15_d535e11585
der	w17_d535e11588
Leopoldst.,	w1_d535e11593
alt	w3_d535e11596
79.	w5_d535e11599
J.	w7_d535e11602
Dem	w1_d535e11608
Thom.	w3_d535e11611
Kugler,	w5_d535e11614
Burgerl.	w7_d535e11617
Kuchel=gart.,	w9_d535e11620
s.	w11_d535e11623
W.	w13_d535e11627
Barb.,	w1_d535e11632
im	w3_d535e11635
Weinlingeris.	w5_d535e11638
H.	w7_d535e11641
in	w9_d535e11644
der	w11_d535e11647
Leopoldst.,	w13_d535e11651
alt	w15_d535e11654
69.	w1_d535e11659
J.	w3_d535e11662
Christoph	w1_d535e11667
Ringbauer,	w3_d535e11670
Schneid.,	w5_d535e11673
beym	w7_d535e11676
bl.	w9_d535e11679
Jgel	w11_d535e11682
in	w13_d535e11686
der	w1_d535e11692
Leopoldst.,	w3_d535e11695
alt	w5_d535e11698
89.	w7_d535e11701
J.	w9_d535e11704
Math.	w1_d535e11709
Seitl,	w3_d535e11712
Lehen	w5_d535e11715
kutsch.,	w7_d535e11718
beym	w9_d535e11721
bl.	w11_d535e11724
Einhorn	w13_d535e11728
am	w15_d535e11731
Neustift,	w1_d535e11736
alt	w3_d535e11739
52.	w5_d535e11742
J.	w7_d535e11745
Franz	w1_d535e11750
Worsikofsky,	w3_d535e11753
alt	w5_d535e11756
12.	w7_d535e11759
J.,	w9_d535e11762
und	w11_d535e11765
Jos.	w13_d535e11769
Scharpf,	w15_d535e11772
alt	w1_d535e11778
6.	w3_d535e11781
J.,	w5_d535e11784
beyde	w7_d535e11787
in	w9_d535e11790
U.	w11_d535e11793
L	w13_d535e11797
Frauen=sper.	w15_d535e11800
Magdal.	w1_d535e11805
Schlagerin,	w3_d535e11808
Wittwe,	w5_d535e11811
im	w7_d535e11814
Dietrichis.	w9_d535e11817
H.	w11_d535e11820
zu	w13_d535e11824
Erdberg,	w1_d535e11829
alt	w3_d535e11832
30.	w5_d535e11835
J.	w7_d535e11838
Franz	w1_d535e11843
Hochhauser,	w3_d535e11846
gew.	w5_d535e11849
Haupt=mant	w7_d535e11852
besch.,	w9_d535e11855
beym	w11_d535e11858
3.	w1_d535e11864
Lil.	w3_d535e11867
in	w5_d535e11870
der	w7_d535e11873
Josephst.,	w9_d535e11876
alt	w11_d535e11879
80.	w13_d535e11883
J.	w15_d535e11886
Mich.	w1_d535e11891
Leutner,	w3_d535e11894
Schuh=mach.,	w5_d535e11897
bey	w7_d535e11900
der	w9_d535e11903
gold.	w11_d535e11906
Kugel	w13_d535e11910
am	w1_d535e11915
Neubau,	w3_d535e11918
alt	w5_d535e11921
65.	w7_d535e11924
J.	w9_d535e11927
</list>
<head id="h2_d535e11935">
Summa	w1_d535e11939
13.	w3_d535e11942
Pers.,	w5_d535e11945
darunter	w7_d535e11948
3.	w9_d535e11951
Kind.	w11_d535e11954
Den	w1_d535e11959
11.	w3_d535e11962
Martii.	w5_d535e11965
Jn	w1_d535e11970
der	w3_d535e11973
Stadt.	w5_d535e11976
</head>
<list id="l4_d535e11979">
Dem	w1_d535e11983
Wok=edel=gestr.	w3_d535e11986
und	w5_d535e11989
Hoch=gelehrt.	w7_d535e11992
Hrn.	w9_d535e11995
Marx	w11_d535e11998
Ant.	w1_d535e12003
Plencig,	w3_d535e12006
Med.	w5_d535e12009
Doct.	w7_d535e12012
s.	w9_d535e12015
T.	w11_d535e12018
Jos.pha,	w13_d535e12022
bey	w15_d535e12025
der	w17_d535e12028
weis.	w1_d535e12033
Ros	w3_d535e12036
am	w5_d535e12039
Grab.,	w7_d535e12042
alt	w9_d535e12045
13.	w11_d535e12048
J.	w13_d535e12052
Dem	w1_d535e12058
Joh.	w3_d535e12061
Graßman,	w5_d535e12064
Rumor=sold.,	w7_d535e12067
s.	w9_d535e12070
K.	w11_d535e12073
Franz,	w13_d535e12077
im	w15_d535e12080
Rumor	w1_d535e12085
H.,	w3_d535e12088
alt	w5_d535e12091
4.	w7_d535e12094
J.	w9_d535e12097
</list>
<head id="h2_d535e12104">
Vor	w1_d535e12108
der	w3_d535e12111
Stadt.	w5_d535e12114
</head>
<list id="l4_d535e12117">
Anna	w1_d535e12121
Huberin,	w3_d535e12124
Wittwe,	w5_d535e12127
bey	w7_d535e12130
St.	w9_d535e12133
Jos.	w11_d535e12136
bey	w13_d535e12140
Maria	w15_d535e12143
hülf,	w1_d535e12148
alt	w3_d535e12151
34.	w5_d535e12154
J.	w7_d535e12157
Mich.	w1_d535e12162
Mülner,	w3_d535e12165
Schneid.,	w5_d535e12168
beym	w7_d535e12171
schwarz.	w9_d535e12174
Bock	w11_d535e12177
in	w13_d535e12181
der	w1_d535e12187
Josephst.,	w3_d535e12190
alt	w5_d535e12193
68.	w7_d535e12196
Dem	w1_d535e12201
Jac.	w3_d535e12204
Porel,	w5_d535e12207
Lack.,	w7_d535e12210
s.	w9_d535e12213
W.	w11_d535e12216
Rosina,	w13_d535e12220
im	w15_d535e12223
Arcieris.	w17_d535e12226
H.	w1_d535e12231
auf	w3_d535e12234
der	w5_d535e12237
Wied,	w7_d535e12240
alt	w9_d535e12243
29.	w11_d535e12246
J.	w13_d535e12250
Anna	w1_d535e12255
Freudenschußin,	w3_d535e12258
Wittwe,	w5_d535e12261
beym	w7_d535e12264
bl.	w9_d535e12267
Hut	w11_d535e12270
hin	w13_d535e12274
ter	w1_d535e12280
Maria=hülf,	w3_d535e12283
alt	w5_d535e12286
66.	w7_d535e12289
J.	w9_d535e12292
</list>
<head id="h2_d535e12299">
Den	w1_d535e12303
12.	w3_d535e12306
Martii.	w5_d535e12309
Jn	w1_d535e12314
der	w3_d535e12317
Stadt.	w5_d535e12320
Niemand.	w7_d535e12323
Vor	w1_d535e12328
der	w3_d535e12331
Stadt.	w5_d535e12334
</head>
<list id="l4_d535e12337">
Dem	w1_d535e12341
Jos.	w3_d535e12344
Sütl,	w5_d535e12347
Herrschaftl.	w7_d535e12350
Hofmeist.	w9_d535e12353
s.	w11_d535e12356
K.	w13_d535e12360
Franz,	w15_d535e12363
beym	w1_d535e12368
weis.	w3_d535e12371
Pelican	w5_d535e12374
auf	w7_d535e12377
der	w9_d535e12380
Wied.,	w11_d535e12383
alt	w13_d535e12387
6.	w15_d535e12390
v.	w17_d535e12393
J.	w19_d535e12396
</list>
<list id="l8_d535e12402">
Leop.	w1_d535e12406
Edlpauer,	w3_d535e12409
gew.	w5_d535e12412
Schlos.,	w7_d535e12415
beym	w9_d535e12418
gold.	w11_d535e12421
Greif.	w13_d535e12425
im	w15_d535e12428
Lerchenf.,	w1_d535e12433
alt	w3_d535e12436
68.	w5_d535e12439
J.	w7_d535e12442
Barb.	w1_d535e12447
Deinichin,	w3_d535e12450
led.,	w5_d535e12453
beym	w7_d535e12456
schwarz.	w9_d535e12459
Lämmel	w11_d535e12462
ober	w13_d535e12466
dem	w1_d535e12472
Neustift,	w3_d535e12475
alt	w5_d535e12478
24.	w7_d535e12481
J.	w9_d535e12484
Wenz	w1_d535e12489
Wollein,	w3_d535e12492
gew.	w5_d535e12495
Koch,	w7_d535e12498
beym	w9_d535e12501
gold.	w11_d535e12504
Engel	w13_d535e12508
im	w15_d535e12511
Liechtenth,	w1_d535e12516
alt	w3_d535e12519
66	w5_d535e12522
J.	w7_d535e12525
Blasi	w1_d535e12530
Gmainer,	w3_d535e12533
Schuh=mach.,	w5_d535e12536
beym	w7_d535e12539
rot.	w9_d535e12542
Rös.	w11_d535e12545
am	w13_d535e12549
Neustift,	w1_d535e12555
alt	w3_d535e12558
75.	w5_d535e12561
J.	w7_d535e12564
Magdal.	w1_d535e12569
Nixin,	w3_d535e12572
led.	w5_d535e12575
M.,	w7_d535e12578
beym	w9_d535e12581
gr.	w11_d535e12584
Thor	w13_d535e12588
zu	w15_d535e12591
Mätz	w17_d535e12594
leinstorf,	w1_d535e12599
alt	w3_d535e12602
21.	w5_d535e12605
J.	w7_d535e12608
Pet.	w1_d535e12613
Eibel,	w3_d535e12616
Steinmetz	w5_d535e12619
ges.,	w7_d535e12622
im	w9_d535e12625
Greineris.	w11_d535e12628
H.	w13_d535e12632
untern	w15_d535e12635
Meiß	w1_d535e12641
gärb.,	w3_d535e12644
alt	w5_d535e12647
48.	w7_d535e12650
J.	w9_d535e12653
Dem	w1_d535e12658
Andre	w3_d535e12661
Plasky,	w5_d535e12664
Taglöhn,	w7_d535e12667
s.	w9_d535e12670
W.	w11_d535e12673
Anna,	w13_d535e12677
beym	w15_d535e12680
schwarz.	w1_d535e12685
Bärn	w3_d535e12688
am	w5_d535e12691
Neustift,	w7_d535e12694
alt	w9_d535e12697
68.	w11_d535e12700
J.	w13_d535e12704
</list>
<head id="h2_d535e12711">
Summa	w1_d535e12715
8.	w3_d535e12718
Pers.,	w5_d535e12721
darunter	w7_d535e12724
0	w9_d535e12727
Kind.	w11_d535e12730
</head>
<p id="p4_d535e12733">
Es	w1_d535e12737
ist	w3_d535e12740
der	w5_d535e12743
Johannes	w7_d535e12746
Hollfelder	w9_d535e12749
allhier	w11_d535e12752
von	w13_d535e12756
Bam	w15_d535e12759
berg	w1_d535e12764
angekommen,	w3_d535e12767
welcher	w5_d535e12770
Obst=bäumer	w7_d535e12773
von	w9_d535e12776
allen	w11_d535e12779
Gattungen	w1_d535e12784
Aepfeln,	w3_d535e12787
Birnen,	w5_d535e12790
wie	w7_d535e12793
auch	w9_d535e12796
Stein=obst	w11_d535e12799
mit	w1_d535e12805
sich	w3_d535e12808
gebracht;	w5_d535e12811
wem	w7_d535e12814
gefällig	w9_d535e12817
ist	w11_d535e12820
solche	w13_d535e12824
in	w15_d535e12827
sei	w17_d535e12830
nen	w1_d535e12835
Garten	w3_d535e12838
zu	w5_d535e12841
setzen,	w7_d535e12844
der	w9_d535e12847
beliebe	w11_d535e12850
sich	w13_d535e12854
in	w15_d535e12857
der	w17_d535e12860
Leo	w19_d535e12863
pold=stadt	w1_d535e12868
beym	w3_d535e12871
Fisch=trühel	w5_d535e12874
bey	w7_d535e12877
obbemeldtem	w9_d535e12880
Johannes	w1_d535e12885
Hollfelder	w3_d535e12888
anzumelden,	w5_d535e12891
allwo	w7_d535e12894
sie	w9_d535e12897
um	w11_d535e12900
einen	w1_d535e12906
billigen	w3_d535e12909
Preiß	w5_d535e12912
zu	w7_d535e12915
haben	w9_d535e12918
seynd.	w11_d535e12921
</p>
<head id="h2_d535e12927">
Landmarschall.	w1_d535e12931
rc.	w3_d535e12934
</head>
<p id="p4_d535e12937">
Entbiete	w1_d535e12941
N.	w3_d535e12944
allen	w5_d535e12947
und	w7_d535e12950
jeden	w9_d535e12953
was	w11_d535e12956
Standes	w13_d535e12960
und	w1_d535e12965
Würden	w3_d535e12968
die	w5_d535e12971
seynd,	w7_d535e12974
der	w9_d535e12977
Gebühr	w11_d535e12980
nach	w13_d535e12984
meinen	w15_d535e12987
respective	w1_d535e12992
Dienst	w3_d535e12995
und	w5_d535e12998
guten	w7_d535e13001
Willen	w9_d535e13004
zuvor,	w11_d535e13007
und	w13_d535e13011
ge	w15_d535e13014
be	w1_d535e13020
hiemit	w3_d535e13023
zu	w5_d535e13026
vernehmen:	w7_d535e13029
</p>
<p id="p6_d535e13032">
Es	w1_d535e13036
habe	w3_d535e13039
bey	w5_d535e13042
dem	w7_d535e13045
mir	w9_d535e13048
allergnädigst	w11_d535e13051
anvertrau	w13_d535e13055
ten	w1_d535e13060
N.	w3_d535e13063
Oe.	w5_d535e13066
Land=marschallischen	w7_d535e13069
Gericht	w9_d535e13072
der	w11_d535e13075
Carl	w13_d535e13079
Anton	w1_d535e13084
Riva	w3_d535e13087
schriftlich	w5_d535e13090
vorgestellet,	w7_d535e13093
welcherge	w9_d535e13096
stulten	w1_d535e13102
ihme	w3_d535e13105
eine	w5_d535e13108
N.	w7_d535e13111
Oe.	w9_d535e13114
Landschafts=obligation	w11_d535e13117
de	w1_d535e13122
Dato	w3_d535e13125
15.	w5_d535e13128
Appil	w7_d535e13131
1759.	w9_d535e13134
pr.	w11_d535e13137
1430.	w13_d535e13141
fl.	w15_d535e13144
à	w17_d535e13147
5.	w19_d535e13150
pro	w21_d535e13153
Cento	w1_d535e13158
auf	w3_d535e13161
Herrn	w5_d535e13164
Rudolph	w7_d535e13167
Grafen	w9_d535e13170
von	w11_d535e13173
Collo	w13_d535e13177
redo	w1_d535e13182
lautend,	w3_d535e13185
samt	w5_d535e13188
der	w7_d535e13191
auf	w9_d535e13194
selben	w11_d535e13197
eingerichteten	w13_d535e13201
Original=ceßion	w1_d535e13207
in	w3_d535e13210
Verstoß	w5_d535e13213
gerahten	w7_d535e13216
wäre,	w9_d535e13219
und	w11_d535e13222
er	w1_d535e13227
solche	w3_d535e13230
über	w5_d535e13233
all	w7_d535e13236
beschehenes	w9_d535e13239
Nachsuchen	w11_d535e13242
nicht	w13_d535e13246
ausfindig	w1_d535e13251
machen	w3_d535e13254
könne;	w5_d535e13257
diesemnach	w7_d535e13260
um	w9_d535e13263
Ausfer	w11_d535e13266
tigung	w1_d535e13271
des	w3_d535e13274
in	w5_d535e13277
derley	w7_d535e13280
Fällen	w9_d535e13283
gewöhnlichen	w11_d535e13286
Amor	w13_d535e13290
tisations=edicts	w1_d535e13296
gehorsamst	w3_d535e13299
gebetten,	w5_d535e13302
wann	w7_d535e13305
nun	w9_d535e13308
in	w1_d535e13313
dieses	w3_d535e13316
Begehren	w5_d535e13319
gewilliget	w7_d535e13322
worden;	w9_d535e13325
als	w11_d535e13328
ist	w13_d535e13332
im	w1_d535e13337
Namen	w3_d535e13340
Jhrer	w5_d535e13343
Kaiserl.	w7_d535e13346
Königl.	w9_d535e13349
Majest.	w11_d535e13352
un	w13_d535e13356
serer	w1_d535e13361
allergnädigsten	w3_d535e13364
Frauen	w5_d535e13367
mein	w7_d535e13370
Befehl,	w9_d535e13373
