<doc id="wr_1762-07-28" attrs="word" year="1762" month="07" day="28" corpus="2">
<head id="h2_d677e3437">
Warschau	w1_d677e3441
er	w5_d677e20307
seine	w7_d677e20310
historische	w9_d677e20313
Betrachtun	w11_d677e20316
gen	w1_d677e20321
für	w3_d677e20324
diejenigen	w5_d677e20327
seiner	w7_d677e20330
Schüler	w9_d677e20333
hat	w11_d677e20336
dru	w13_d677e20340
cken	w1_d677e20345
lassen,	w3_d677e20348
welche	w5_d677e20351
mehr	w7_d677e20354
französisch	w9_d677e20357
als	w11_d677e20360
deutsch	w1_d677e20365
können;	w3_d677e20368
den	w5_d677e20371
andern	w7_d677e20374
Liebhabern	w9_d677e20377
der	w11_d677e20380
Geschichte	w1_d677e20386
wird	w3_d677e20389
man	w5_d677e20392
vermuthlich	w7_d677e20395
mit	w9_d677e20398
einer	w11_d677e20401
Uebersetzung	w1_d677e20406
zu	w3_d677e20409
dienen	w5_d677e20412
suchen.	w7_d677e20415
Wenigstens	w9_d677e20418
wäre	w1_d677e20423
zu	w3_d677e20426
wünschen,	w5_d677e20429
daß	w7_d677e20432
nach	w9_d677e20435
dem	w11_d677e20438
gegenwär	w13_d677e20442
tigen	w1_d677e20447
schönen	w3_d677e20450
Beyspiele	w5_d677e20453
die	w7_d677e20456
Lehrart,	w9_d677e20459
welche	w11_d677e20462
mehr	w1_d677e20468
auf	w3_d677e20471
den	w5_d677e20474
Geist,	w7_d677e20477
als	w9_d677e20480
den	w11_d677e20483
Körper	w13_d677e20487
der	w15_d677e20490
Ge	w17_d677e20493
schichte	w1_d677e20498
stehet,	w3_d677e20501
bey	w5_d677e20504
uns	w7_d677e20507
allgemeiner	w9_d677e20510
würde,	w11_d677e20513
und	w1_d677e20518
daß	w3_d677e20521
man	w5_d677e20524
endlich	w7_d677e20527
aufhörete,	w9_d677e20530
das	w11_d677e20533
Gedächt	w13_d677e20537
nis	w1_d677e20542
auf	w3_d677e20545
Kosten	w5_d677e20548
des	w7_d677e20551
Verstandes	w9_d677e20554
zu	w11_d677e20557
üben.	w13_d677e20561
Die	w15_d677e20564
Betrachtungen,	w1_d677e20570
welche	w3_d677e20573
wir	w5_d677e20576
hier	w7_d677e20579
ankündigen,	w9_d677e20582
sind	w1_d677e20587
eigentlich	w3_d677e20590
eine	w5_d677e20593
Einleitung	w7_d677e20596
in	w9_d677e20599
die	w11_d677e20602
neuere	w13_d677e20606
Geschichte,	w1_d677e20611
und	w3_d677e20614
haben	w5_d677e20617
den	w7_d677e20620
Zeitraum	w9_d677e20623
zwischen	w11_d677e20626
1450.	w1_d677e20631
und	w3_d677e20634
1500.	w5_d677e20637
zum	w7_d677e20640
Gegenstande.	w9_d677e20643
Die	w11_d677e20646
Welt	w1_d677e20652
bekömmt	w3_d677e20655
in	w5_d677e20658
demselben	w7_d677e20661
eine	w9_d677e20664
ganz	w11_d677e20667
andere	w13_d677e20671
Gestalt:	w1_d677e20676
man	w3_d677e20679
siehet	w5_d677e20682
eine	w7_d677e20685
allgemeine	w9_d677e20688
Ver	w11_d677e20691
änderung	w1_d677e20696
in	w3_d677e20699
den	w5_d677e20702
Gemüthern	w7_d677e20705
der	w9_d677e20708
Menschen,	w11_d677e20711
und	w1_d677e20716
in	w3_d677e20719
ihrer	w5_d677e20722
Art	w7_d677e20725
zu	w9_d677e20728
denken,	w11_d677e20731
in	w13_d677e20735
den	w15_d677e20738
Regierungs	w17_d677e20741
verfassungen,	w1_d677e20747
in	w3_d677e20750
den	w5_d677e20753
Künsten,	w7_d677e20756
in	w9_d677e20759
den	w11_d677e20762
Wissen	w13_d677e20766
schaften,	w1_d677e20771
in	w3_d677e20774
der	w5_d677e20777
Staatskunst,	w7_d677e20780
in	w9_d677e20783
der	w11_d677e20786
Hand	w13_d677e20790
lung.	w1_d677e20795
Mit	w3_d677e20798
einem	w5_d677e20801
Worte,	w7_d677e20804
die	w9_d677e20807
Menschen	w11_d677e20810
scheinen	w1_d677e20815
ganz	w3_d677e20818
neue	w5_d677e20821
Geschöpfe	w7_d677e20824
zu	w9_d677e20827
werden.	w11_d677e20830
Es	w13_d677e20834
wird	w1_d677e20840
in	w3_d677e20843
diesen	w5_d677e20846
50.	w7_d677e20849
Jahren	w9_d677e20852
der	w11_d677e20855
Grund	w13_d677e20859
zu	w15_d677e20862
</p>
<p id="p14_d677e20876">
der	w1_d677e20880
Größe	w3_d677e20883
derjenigen	w5_d677e20886
Monarchien	w7_d677e20889
geleget,	w9_d677e20892
welche	w1_d677e20897
noch	w3_d677e20900
heute	w5_d677e20903
bestehen.	w7_d677e20906
Es	w9_d677e20909
zeigen	w11_d677e20912
sich	w13_d677e20916
in	w1_d677e20921
denselben	w3_d677e20924
schon	w5_d677e20927
die	w7_d677e20930
Quellen	w9_d677e20933
derjenigen	w11_d677e20936
Veränderungen,	w1_d677e20942
worauf	w3_d677e20945
sich	w5_d677e20948
noch	w7_d677e20951
jetzo	w9_d677e20954
der	w11_d677e20957
Landfriede	w1_d677e20962
und	w3_d677e20965
das	w5_d677e20968
allgemeine	w7_d677e20971
Staatsrecht	w9_d677e20974
gründen.	w1_d677e20979
Ein	w3_d677e20982
Werk,	w5_d677e20985
das	w7_d677e20988
einen	w9_d677e20991
so	w11_d677e20994
wichtigen	w13_d677e20998
Zeitraum	w1_d677e21003
zum	w3_d677e21006
Gegenstande	w5_d677e21009
hat,	w7_d677e21012
kan	w9_d677e21015
niemals	w11_d677e21018
ohne	w1_d677e21024
Nutzen	w3_d677e21027
seyn:	w5_d677e21030
gleichwie	w7_d677e21033
auch	w9_d677e21036
dem	w11_d677e21039
Hrn.	w1_d677e21044
Verfasser,	w3_d677e21047
wenn	w5_d677e21050
er	w7_d677e21053
es	w9_d677e21056
fortzusetzen	w11_d677e21059
ge	w13_d677e21063
denket,	w1_d677e21068
in	w3_d677e21071
dem	w5_d677e21074
darauf	w7_d677e21077
folgenden	w9_d677e21080
Jahrhunder	w11_d677e21083
te	w1_d677e21088
der	w3_d677e21091
Stoff	w5_d677e21094
an	w7_d677e21097
merkwürdige	w9_d677e21100
Staatsbegeben	w11_d677e21103
heiten	w1_d677e21109
und	w3_d677e21112
Veränderungen	w5_d677e21115
nicht	w7_d677e21118
fehlen	w9_d677e21121
wird.	w11_d677e21124
</p>
<p id="p16_d677e21127">
Autonii	w1_d677e21131
Augustini	w3_d677e21134
Arcbiep.	w5_d677e21137
Tarvaconensis	w7_d677e21140
AI	w1_d677e21145
de	w1_d677e21150
emendatione	w3_d677e21153
gratiani	w5_d677e21156
Dialogorum	w7_d677e21159
Li-	w9_d677e21162
dri	w1_d677e21168
II.	w3_d677e21171
Cum	w5_d677e21174
Steph.	w7_d677e21177
Baluxii	w9_d677e21180
&	w11_d677e21183
Gerbardi	w13_d677e21187
Ma-	w15_d677e21190
strichtii	w1_d677e21195
notis.	w3_d677e21198
Curaute	w5_d677e21201
M.	w7_d677e21204
Jos.	w9_d677e21207
Aut.	w11_d677e21210
de	w13_d677e21214
Rieg	w15_d677e21217
ger,	w1_d677e21222
caes.	w3_d677e21225
reg.	w5_d677e21228
acad.	w7_d677e21231
Roboret.	w9_d677e21234
Socio.	w11_d677e21237
Liber	w13_d677e21241
prior,	w1_d677e21246
Vindob.	w3_d677e21249
zypis	w5_d677e21252
Georg.	w7_d677e21255
Ludou.	w9_d677e21258
Schulzii,	w11_d677e21261
ppogr.	w1_d677e21267
Kad,	w3_d677e21270
1762.	w5_d677e21273
in	w7_d677e21276
8vo.	w9_d677e21279
</p>
<p id="p18_d677e21282">
Wie	w1_d677e21286
viel	w3_d677e21289
verdienet	w5_d677e21292
nicht	w7_d677e21295
der	w9_d677e21298
junge	w11_d677e21301
Hr.	w13_d677e21305
v.	w15_d677e21308
Riegger	w1_d677e21313
Lob,	w3_d677e21316
daß	w5_d677e21319
er	w7_d677e21322
den	w9_d677e21325
Liebhabern	w11_d677e21328
der	w13_d677e21332
geist	w15_d677e21335
lichen	w1_d677e21340
Rechtsgelehrsamkeit	w3_d677e21343
dieses	w5_d677e21346
vortrefliche	w7_d677e21349
Werk	w1_d677e21355
eines	w3_d677e21358
der	w5_d677e21361
grösten	w7_d677e21364
Männer	w9_d677e21367
Spaniens	w11_d677e21370
wieder	w1_d677e21375
in	w3_d677e21378
die	w5_d677e21381
Hände	w7_d677e21384
giebt,	w9_d677e21387
der	w11_d677e21390
mit	w13_d677e21394
seinen	w15_d677e21397
Schriften	w1_d677e21402
eben	w3_d677e21405
so	w5_d677e21408
viel	w7_d677e21411
Beweise	w9_d677e21414
seiner	w11_d677e21417
erha	w13_d677e21421
bensten	w1_d677e21426
Gaben	w3_d677e21429
des	w5_d677e21432
Geistes	w7_d677e21435
und	w9_d677e21438
Verstandes	w11_d677e21441
hinterlassen	w1_d677e21447
hat.	w3_d677e21450
Der	w5_d677e21453
Jnhalt	w7_d677e21456
und	w9_d677e21459
Endzweck	w11_d677e21462
dieses	w1_d677e21467
Werkes,	w3_d677e21470
besonders	w5_d677e21473
die	w7_d677e21476
Aehnlichkeit,	w9_d677e21479
die	w1_d677e21484
der	w3_d677e21487
Hr.	w5_d677e21490
Herausgeber	w7_d677e21493
zwischen	w9_d677e21496
dem	w11_d677e21499
Ver	w13_d677e21503
fasser,	w1_d677e21508
und	w3_d677e21511
unserm	w5_d677e21514
Hrn.	w7_d677e21517
Cardinalen	w9_d677e21520
Erzbi	w11_d677e21523
schofen,	w1_d677e21529
in	w3_d677e21532
Ansehung	w5_d677e21535
ihres	w7_d677e21538
heiligen	w9_d677e21541
Berufes,	w11_d677e21544
ihrer	w1_d677e21549
Würde,	w3_d677e21552
und	w5_d677e21555
Verdienste,	w7_d677e21558
ihrer	w9_d677e21561
Denkens	w11_d677e21564
art,	w1_d677e21569
und	w3_d677e21572
ihres	w5_d677e21575
Eifers	w7_d677e21578
sowol	w9_d677e21581
für	w11_d677e21584
die	w13_d677e21588
Religion	w15_d677e21591
als	w1_d677e21596
die	w3_d677e21599
Wissenschaften,	w5_d677e21602
gefunden	w7_d677e21605
hat,	w9_d677e21608
gaben	w11_d677e21611
demselben	w1_d677e21617
Anlaß,	w3_d677e21620
die	w5_d677e21623
Ausgabe	w7_d677e21626
des	w9_d677e21629
ersten	w11_d677e21632
Theiles	w1_d677e21637
dieses	w3_d677e21640
Werkes	w5_d677e21643
dem	w7_d677e21646
Namen	w9_d677e21649
Sr.	w11_d677e21652
hoch	w13_d677e21656
fürstl.	w1_d677e21661
Eminenz	w3_d677e21664
in	w5_d677e21667
einer	w7_d677e21670
sehr	w9_d677e21673
schönen	w11_d677e21676
und	w13_d677e21680
nach	w15_d677e21683
drücklichen	w1_d677e21688
Zueignungsschrift	w3_d677e21691
zu	w5_d677e21694
widmen.	w7_d677e21697
Wir	w1_d677e21703
finden	w3_d677e21706
darinn	w5_d677e21709
insonderheit	w7_d677e21712
die	w9_d677e21715
Errich	w11_d677e21718
tung	w1_d677e21723
einer	w3_d677e21726
neuen	w5_d677e21729
Pflanzschule	w7_d677e21732
junger	w9_d677e21735
Geistli	w11_d677e21738
chen	w1_d677e21743
allhier	w3_d677e21746
mit	w5_d677e21749
vielem	w7_d677e21752
Ruhme	w9_d677e21755
erwähnet.	w11_d677e21758
Wer	w1_d677e21763
wird	w3_d677e21766
hierinn	w5_d677e21769
dem	w7_d677e21772
Redner	w9_d677e21775
nicht	w11_d677e21778
von	w13_d677e21782
gan	w15_d677e21785
zem	w1_d677e21791
Herzen	w3_d677e21794
beystimmen?	w5_d677e21797
</p>
<p id="p20_d677e21800">
Die	w1_d677e21804
bekannte	w3_d677e21807
vortrefliche	w5_d677e21810
Schreibart	w7_d677e21813
des	w9_d677e21816
grossen	w1_d677e21821
Rechtsgelehrten	w3_d677e21824
Ant.	w5_d677e21827
Augustin	w7_d677e21830
giebt	w9_d677e21833
seinem	w1_d677e21838
Herausgeber	w3_d677e21841
Gelegenheit,	w5_d677e21844
in	w7_d677e21847
der	w9_d677e21850
Vorrede	w1_d677e21856
von	w3_d677e21859
der	w5_d677e21862
Vorzüglichkeit	w7_d677e21865
und	w9_d677e21868
dem	w11_d677e21871
nothwendigen	w1_d677e21876
Gebrauche	w3_d677e21879
einer	w5_d677e21882
reinen	w7_d677e21885
und	w9_d677e21888
zierlichen	w1_d677e21893
Schreibart	w3_d677e21896
in	w5_d677e21899
der	w7_d677e21902
geistlichen	w9_d677e21905
Rechts	w11_d677e21908
gelehrsamkeit	w1_d677e21913
ausführlich	w3_d677e21916
zu	w5_d677e21919
handeln,	w7_d677e21922
und	w9_d677e21925
zu	w11_d677e21928
gleich	w1_d677e21934
seine	w3_d677e21937
eigene	w5_d677e21940
Stärke	w7_d677e21943
in	w9_d677e21946
derselben	w11_d677e21949
zu	w13_d677e21953
zei	w15_d677e21956
gen.	w1_d677e21961
Er	w3_d677e21964
gestehet	w5_d677e21967
selbst,	w7_d677e21970
und	w9_d677e21973
wir	w11_d677e21976
müssen	w13_d677e21980
ihm	w15_d677e21983
allerdings	w1_d677e21988
beystimmen,	w3_d677e21991
daß	w5_d677e21994
bey	w7_d677e21997
den	w9_d677e22000
Franzo	w11_d677e22003
sen	w1_d677e22008
und	w3_d677e22011
Wälschen,	w5_d677e22014
ja	w7_d677e22017
selbst	w9_d677e22020
bey	w11_d677e22023
den	w13_d677e22027
Spaniern	w15_d677e22030
kein	w1_d677e22036
Abgang	w3_d677e22039
an	w5_d677e22042
solchen	w7_d677e22045
Schriftstellern	w9_d677e22048
ist,	w11_d677e22051
welche	w1_d677e22056
die	w3_d677e22059
Reinlichkeit	w5_d677e22062
in	w7_d677e22065
der	w9_d677e22068
lateinischen	w11_d677e22071
Sprache	w1_d677e22076
mit	w3_d677e22079
einer	w5_d677e22082
gründlichen	w7_d677e22085
Gelehrsam	w9_d677e22088
keit	w1_d677e22093
in	w3_d677e22096
den	w5_d677e22099
Kirchenrechten	w7_d677e22102
vereinbaret	w9_d677e22105
haben.	w11_d677e22108
Bey	w1_d677e22114
den	w3_d677e22117
unserigen	w5_d677e22120
Canonisten	w7_d677e22123
aber	w9_d677e22126
siehet	w11_d677e22129
es	w13_d677e22133
noch	w1_d677e22138
ziemlich	w3_d677e22141
rauch	w5_d677e22144
und	w7_d677e22147
scholastisch	w9_d677e22150
aus.	w11_d677e22153
We	w13_d677e22157
nigstens	w1_d677e22162
haben	w3_d677e22165
wir	w5_d677e22168
von	w7_d677e22171
den	w9_d677e22174
ältern	w11_d677e22177
niemand,	w13_d677e22181
den	w1_d677e22186
wir	w3_d677e22189
desfalls	w5_d677e22192
jenen	w7_d677e22195
an	w9_d677e22198
die	w11_d677e22201
Seite	w13_d677e22205
setzen	w15_d677e22208
könnten.	w1_d677e22214
</p>
<p id="p22_d677e22217">
Zu	w1_d677e22221
Neapel	w3_d677e22224
ist	w5_d677e22227
vor	w7_d677e22230
zwey	w9_d677e22233
Jahren	w11_d677e22236
eine	w13_d677e22240
neue	w15_d677e22243
Ausgabe	w1_d677e22248
dieser	w3_d677e22251
Gespräche	w5_d677e22254
des	w7_d677e22257
Ant.	w9_d677e22260
Augustin	w11_d677e22263
in	w1_d677e22268
2.	w3_d677e22271
Bänden,	w5_d677e22274
unter	w7_d677e22277
der	w9_d677e22280
Aufschrift	w11_d677e22283
von	w13_d677e22287
Paris,	w15_d677e22290
erschienen.	w1_d677e22296
Allein	w3_d677e22299
dieses	w5_d677e22302
harunsern	w7_d677e22305
Hrn.	w9_d677e22308
v.	w11_d677e22311
Riegger	w1_d677e22316
von	w3_d677e22319
der	w5_d677e22322
seinigen,	w7_d677e22325
welche	w9_d677e22328
mit	w11_d677e22331
des	w13_d677e22335
Mastrichts	w1_d677e22340
gelehrten	w3_d677e22343
Anmerkungen	w5_d677e22346
begleitet	w7_d677e22349
ist,	w1_d677e22354
und	w3_d677e22357
ihren	w5_d677e22360
Vorzug	w7_d677e22363
allzeit	w9_d677e22366
vor	w11_d677e22369
jener	w13_d677e22373
behaupten	w15_d677e22376
wird,	w1_d677e22382
nicht	w3_d677e22385
abgehalten:	w5_d677e22388
er	w7_d677e22391
ist	w9_d677e22394
von	w11_d677e22397
diesem	w13_d677e22401
fremden	w15_d677e22404
Beyspiele	w1_d677e22409
dazu	w3_d677e22412
nur	w5_d677e22415
mehr	w7_d677e22418
ermuntert	w9_d677e22421
worden.	w11_d677e22424
Von	w13_d677e22428
dem	w1_d677e22433
Leben	w3_d677e22436
des	w5_d677e22439
Verfassers,	w7_d677e22442
welches	w9_d677e22445
der	w11_d677e22448
berühmte	w13_d677e22452
Herr	w1_d677e22457
Bregor.	w3_d677e22460
Mayans	w5_d677e22463
in	w7_d677e22466
spanischer	w9_d677e22469
Sprache	w11_d677e22472
1738.	w1_d677e22478
beschrieben	w3_d677e22481
hat,	w5_d677e22484
verspricht	w7_d677e22487
er	w9_d677e22490
uns	w11_d677e22493
in	w13_d677e22497
derFol	w15_d677e22500
ge	w1_d677e22505
eine	w3_d677e22508
lateinische	w5_d677e22511
Uebersetzung.	w7_d677e22514
Der	w9_d677e22517
gegenwärtige	w11_d677e22520
erste	w1_d677e22525
Theil	w3_d677e22528
enthält	w5_d677e22531
folgendes:	w7_d677e22534
1)	w9_d677e22537
Vorrede	w11_d677e22540
der	w13_d677e22544
er	w15_d677e22547
sten	w1_d677e22552
pariser	w3_d677e22555
Ausgabe.	w5_d677e22558
2)	w7_d677e22561
Stephans	w9_d677e22564
Baluze	w11_d677e22567
weitläuftige,	w1_d677e22573
aber	w3_d677e22576
sehr	w5_d677e22579
gelehrte	w7_d677e22582
und	w9_d677e22585
lesenswürdige	w11_d677e22588
Vorrede	w1_d677e22593
zu	w3_d677e22596
seiner	w5_d677e22599
Ausgabe.	w7_d677e22602
Er	w9_d677e22605
ist	w11_d677e22608
zwar	w13_d677e22612
wegen	w15_d677e22615
sei	w17_d677e22618
ner	w1_d677e22623
darinn	w3_d677e22626
angebrachten	w5_d677e22629
Lehre	w7_d677e22632
von	w9_d677e22635
dem	w11_d677e22638
Ursprunge	w13_d677e22642
des	w1_d677e22647
jüngern	w3_d677e22650
geistlichen	w5_d677e22653
Rechtes,	w7_d677e22656
von	w9_d677e22659
einigen	w11_d677e22662
eifri	w13_d677e22666
gen	w1_d677e22672
Verfechtern	w3_d677e22675
der	w5_d677e22678
römischen	w7_d677e22681
Grundsätze	w9_d677e22684
hart	w11_d677e22687
und	w13_d677e22691
mit	w1_d677e22696
vieler	w3_d677e22699
Bitterkeit	w5_d677e22702
hergenommen	w7_d677e22705
worden:	w9_d677e22708
Jta	w11_d677e22711
lien	w1_d677e22716
allein	w3_d677e22719
aber	w5_d677e22722
kan	w7_d677e22725
die	w9_d677e22728
Frage	w11_d677e22731
nicht	w13_d677e22735
entscheiden.	w15_d677e22738
3)	w17_d677e22741
Folget	w1_d677e22746
das	w3_d677e22749
erste	w5_d677e22752
Buch	w7_d677e22755
von	w9_d677e22758
den	w11_d677e22761
Fehlern	w13_d677e22765
und	w15_d677e22768
Verbes	w17_d677e22771
serungen	w1_d677e22777
der	w3_d677e22780
Sammlung,	w5_d677e22783
welche	w7_d677e22786
der	w9_d677e22789
Mönch	w11_d677e22792
Gratianus	w1_d677e22797
im	w3_d677e22800
eilften	w5_d677e22803
Jahrhunderte	w7_d677e22806
von	w9_d677e22809
den	w11_d677e22812
al	w13_d677e22816
ten	w1_d677e22821
Kirchencanonen	w3_d677e22824
gemacht	w5_d677e22827
hat.	w7_d677e22830
Dabey	w9_d677e22833
findet	w11_d677e22836
man	w1_d677e22841
die	w3_d677e22844
baluzischen	w5_d677e22847
und	w7_d677e22850
mastrichtischen	w9_d677e22853
Anmer	w11_d677e22856
gungen,	w1_d677e22862
nebst	w3_d677e22865
des	w5_d677e22868
Augustins	w7_d677e22871
eigenen	w9_d677e22874
Zusätzen	w11_d677e22877
</p>
<head id="h4_d677e22885">
Wir	w1_d677e22889
Catharina	w3_d677e22892
die	w5_d677e22895
Zweyte,	w1_d677e22900
Kaiserin	w3_d677e22903
und	w1_d677e22908
Selbstherrscherin	w3_d677e22911
aller	w5_d677e22914
Reussen	w7_d677e22917
rc.	w9_d677e22920
rc.	w11_d677e22923
rc.	w13_d677e22927
Thun	w1_d677e22933
hiemit	w3_d677e22936
allen	w5_d677e22939
Unsern	w7_d677e22942
getreuen	w9_d677e22945
Unterthanen	w11_d677e22948
sowol	w13_d677e22952
Geistlichen	w15_d677e22955
als	w17_d677e22958
</head>
<p id="p6_d677e22961">
nsere	w1_d677e22965
Gelangung	w3_d677e22968
auf	w5_d677e22971
den	w7_d677e22974
Rußisch=kaiserl.	w9_d677e22977
Thron	w11_d677e22980
ist	w13_d677e22984
ein	w15_d677e22987
Beweis	w17_d677e22990
der	w19_d677e22993
Wahrheit,	w21_d677e22996
daß	w23_d677e22999
die	w1_d677e23004
Hand	w3_d677e23007
GOttes	w5_d677e23010
würke,	w7_d677e23013
wenn	w9_d677e23016
die	w11_d677e23019
Herzen	w13_d677e23023
der	w15_d677e23026
Menschen	w17_d677e23029
ohne	w19_d677e23032
Heucheley	w21_d677e23035
das	w23_d677e23038
Gute	w25_d677e23042
auszuüben	w1_d677e23047
suchen.	w3_d677e23050
Es	w5_d677e23053
ist	w7_d677e23056
weder	w9_d677e23059
Unser	w11_d677e23062
Vorsatz,	w13_d677e23066
noch	w15_d677e23069
Wunsch	w17_d677e23072
jemalen	w19_d677e23075
gewesen,	w21_d677e23078
auf	w23_d677e23081
eine	w1_d677e23087
solche	w3_d677e23090
Art	w5_d677e23093
zur	w7_d677e23096
Regierung	w9_d677e23099
zu	w11_d677e23102
gelangen,	w13_d677e23106
wie	w15_d677e23109
GOtt	w17_d677e23112
nach	w19_d677e23115
seinem	w21_d677e23118
allweisen	w23_d677e23121
Rahtschluß	w25_d677e23125
be	w27_d677e23128
stimmet,	w1_d677e23133
daß	w3_d677e23136
wir	w5_d677e23139
den	w7_d677e23142
Rußischen	w9_d677e23145
Thron	w11_d677e23148
besteigen	w13_d677e23152
sollten.	w15_d677e23155
</p>
<p id="p8_d677e23158">
Nachdem	w1_d677e23162
Unsere	w3_d677e23165
in	w5_d677e23168
GOtt	w7_d677e23171
ruhende	w9_d677e23174
allerdurchläuchtigste	w11_d677e23177
und	w13_d677e23181
geliebteste	w15_d677e23184
Muhme,	w17_d677e23187
die	w19_d677e23190
Kaiserin	w1_d677e23195
Elisabeth	w3_d677e23198
Petrowna	w5_d677e23201
das	w7_d677e23204
Zeitliche	w9_d677e23207
mit	w11_d677e23210
dem	w13_d677e23214
Ewigen	w15_d677e23217
verwechselt	w17_d677e23220
hatten,	w19_d677e23223
hoften	w21_d677e23226
alle	w23_d677e23229
wahre	w1_d677e23234
Söhne	w3_d677e23237
des	w5_d677e23240
Vatterlands,	w7_d677e23243
und	w9_d677e23246
nunmehro	w11_d677e23249
Unsere	w13_d677e23253
getreue	w15_d677e23256
Unterthanen,	w17_d677e23259
die	w19_d677e23262
durch	w21_d677e23265
den	w23_d677e23268
Verlust	w1_d677e23274
ihrer	w3_d677e23277
treuesten	w5_d677e23280
Landes=mutter	w7_d677e23283
äufferst	w9_d677e23286
niedergeschlagen	w11_d677e23289
waren,	w13_d677e23293
wenigstens	w15_d677e23296
darinn	w17_d677e23299
einigen	w1_d677e23304
Trost	w3_d677e23307
zu	w5_d677e23310
finden,	w7_d677e23313
daß	w9_d677e23316
sie	w11_d677e23319
durch	w13_d677e23323
den	w15_d677e23326
Gehorsam,	w17_d677e23329
den	w19_d677e23332
sie	w21_d677e23335
ihrem	w23_d677e23338
Neve,	w25_d677e23342
und	w27_d677e23345
von	w29_d677e23348
ihr	w31_d677e23351
selbst	w1_d677e23356
ernannten	w3_d677e23359
Thron=folger	w5_d677e23362
leisten	w7_d677e23365
würden,	w9_d677e23368
ihre	w11_d677e23371
Erkenntlichkeit	w13_d677e23375
gegen	w15_d677e23378
Dieselbe	w17_d677e23381
würden	w19_d677e23384
beweisen	w1_d677e23389
können.	w3_d677e23392
Man	w5_d677e23395
wurde	w7_d677e23398
zwar	w9_d677e23401
an	w11_d677e23404
ihm	w13_d677e23408
seine	w15_d677e23411
wenige	w17_d677e23414
Fähigkeit	w19_d677e23417
ein	w21_d677e23420
so	w23_d677e23423
grosses	w25_d677e23427
Reich	w27_d677e23430
zu	w29_d677e23433
regieren	w1_d677e23439
bald	w3_d677e23442
gewahr,	w5_d677e23445
jedoch	w7_d677e23448
schmeichelte	w9_d677e23451
man	w11_d677e23454
sich	w13_d677e23458
mit	w15_d677e23461
der	w17_d677e23464
Hofnung,	w19_d677e23467
daß	w21_d677e23470
Er	w23_d677e23473
dieses	w25_d677e23477
selbst	w27_d677e23480
erkennen	w1_d677e23485
würde,	w3_d677e23488
und	w5_d677e23491
man	w7_d677e23494
bewarb	w9_d677e23497
sich	w11_d677e23500
unterdessen	w13_d677e23504
um	w15_d677e23507
Unsere	w17_d677e23510
Landes=mütterliche	w19_d677e23513
Beyhülfe	w21_d677e23516
in	w1_d677e23521
den	w3_d677e23524
Regierungs=geschäften.	w5_d677e23527
Da	w7_d677e23530
aber	w9_d677e23533
die	w11_d677e23536
unumschränkte	w13_d677e23540
Macht,	w15_d677e23543
wofern	w17_d677e23546
sie	w19_d677e23549
in	w21_d677e23552
einem	w23_d677e23555
re	w25_d677e23559
gierenden	w1_d677e23564
Herrn	w3_d677e23567
nicht	w5_d677e23570
von	w7_d677e23573
der	w9_d677e23576
Menschen=liebe	w11_d677e23579
und	w13_d677e23583
andern	w15_d677e23586
löblichen	w17_d677e23589
Eigenschaften	w19_d677e23592
ver	w21_d677e23595
gesellschaftet	w1_d677e23601
wird,	w3_d677e23604
ein	w5_d677e23607
Uebel	w7_d677e23610
ist,	w9_d677e23613
aus	w11_d677e23616
welchem	w13_d677e23620
unmittelbar	w15_d677e23623
viele	w17_d677e23626
unglückliche	w19_d677e23629
Folgen	w21_d677e23632
zu	w23_d677e23635
ent	w25_d677e23639
springen	w1_d677e23644
pflegen;	w3_d677e23647
so	w5_d677e23650
ward	w7_d677e23653
auch,	w9_d677e23656
gleich	w11_d677e23659
nach	w13_d677e23663
der	w15_d677e23666
Thron=besteigung	w17_d677e23669
des	w19_d677e23672
gewesenen	w21_d677e23675
Kaisers	w23_d677e23678
unser	w1_d677e23683
Vatterland	w3_d677e23686
in	w5_d677e23689
Forcht	w7_d677e23692
und	w9_d677e23695
Zittern	w11_d677e23698
gesetzet,	w13_d677e23702
indem	w15_d677e23705
es	w17_d677e23708
einen	w19_d677e23711
Herrn	w21_d677e23714
und	w23_d677e23717
Regenten	w25_d677e23721
über	w27_d677e23724
sich	w1_d677e23729
sahe,	w3_d677e23732
der,	w5_d677e23735
ehe	w7_d677e23738
er	w9_d677e23741
noch	w11_d677e23744
angefangen,	w13_d677e23748
auf	w15_d677e23751
das	w17_d677e23754
Wol	w19_d677e23757
des	w21_d677e23760
ihme	w23_d677e23763
anvertraueten	w25_d677e23767
Reiches	w27_d677e23770
zu	w29_d677e23773
denken,	w1_d677e23779
zu	w3_d677e23782
allerförderst	w5_d677e23785
sich	w7_d677e23788
befließ,	w9_d677e23791
allen	w11_d677e23794
seinen	w13_d677e23798
Leidenschaften	w15_d677e23801
auf	w17_d677e23804
eine	w19_d677e23807
gleichsam	w21_d677e23810
knechtische	w23_d677e23813
Weise	w1_d677e23818
ein	w3_d677e23821
Genüge	w5_d677e23824
zu	w7_d677e23827
thun,	w9_d677e23830
und	w11_d677e23833
auch	w13_d677e23837
mit	w15_d677e23840
solchen	w17_d677e23843
Gesinnungen	w19_d677e23846
auf	w21_d677e23849
den	w23_d677e23852
Thron	w25_d677e23856
gestiegen	w27_d677e23859
war.	w29_d677e23862
</p>
<p id="p10_d677e23865">
Schon	w1_d677e23869
als	w3_d677e23872
