<doc id="wr_1759-04-11" attrs="word" year="1759" month="04" day="11" corpus="2">
<head id="h2_d338e3632">
Coburg	w1_d338e3636
genug	w11_d338e10881
wäre,	w1_d338e10886
in	w3_d338e10889
ein	w5_d338e10892
fremdes	w7_d338e10895
Gebiet	w9_d338e10898
einzufallen,	w11_d338e10901
und	w13_d338e10905
in	w1_d338e10910
solchen	w3_d338e10913
alle	w5_d338e10916
Feindseeligkeiten	w7_d338e10919
auszuüben.	w9_d338e10922
</p>
<p id="p24_d338e10926">
Aus	w1_d338e10930
Portugal:	w3_d338e10933
daß	w5_d338e10936
auch	w7_d338e10939
kürzlich	w9_d338e10942
die	w11_d338e10945
Marquise	w1_d338e10950
de	w3_d338e10953
Marialva	w5_d338e10956
und	w7_d338e10959
d'Algretta,	w9_d338e10962
der	w11_d338e10965
Graf	w1_d338e10970
von	w3_d338e10973
Villa	w5_d338e10976
Majot,	w7_d338e10979
ein	w9_d338e10982
Mönch,	w11_d338e10985
und	w13_d338e10989
der	w1_d338e10995
Herzog	w3_d338e10998
de	w5_d338e11001
la	w7_d338e11004
Fox	w9_d338e11007
gefänglich	w11_d338e11010
eingezo	w13_d338e11014
gen	w1_d338e11019
worden	w3_d338e11022
seyen.	w5_d338e11025
Von	w7_d338e11028
einer	w9_d338e11031
weiteren	w11_d338e11034
Ex	w13_d338e11038
ecution	w1_d338e11043
wäre	w3_d338e11046
alles	w5_d338e11049
stille,	w7_d338e11052
nur	w9_d338e11055
dieses	w11_d338e11058
mel	w13_d338e11062
det	w1_d338e11067
man,	w3_d338e11070
daß	w5_d338e11073
Se.	w7_d338e11076
Königl.	w9_d338e11079
Majest.	w11_d338e11082
auf	w13_d338e11086
Für	w15_d338e11089
bitt	w1_d338e11095
Dero	w3_d338e11098
Durchl.	w5_d338e11101
Gemahlin	w7_d338e11104
der	w9_d338e11107
Gräfin	w11_d338e11110
von	w13_d338e11114
Antougia,	w1_d338e11119
und	w3_d338e11122
der	w5_d338e11125
Herzogin	w7_d338e11128
von	w9_d338e11131
Aveiro	w11_d338e11134
das	w13_d338e11138
Leben	w1_d338e11143
geschenket	w3_d338e11146
hätten,	w5_d338e11149
jedoch,	w7_d338e11152
daß	w9_d338e11155
sie	w11_d338e11158
ihre	w13_d338e11162
Täge	w1_d338e11167
in	w3_d338e11170
einem	w5_d338e11173
Kloster	w7_d338e11176
beschliessen	w9_d338e11179
solten.	w11_d338e11182
</p>
<p id="p26_d338e11185">
Aus	w1_d338e11189
Sachsen:	w3_d338e11192
daß	w5_d338e11195
das	w7_d338e11198
Haupt=quartier	w9_d338e11201
deren	w1_d338e11206
unter	w3_d338e11209
Commando	w5_d338e11212
des	w7_d338e11215
Prinzens	w9_d338e11218
Hein	w11_d338e11221
rich	w1_d338e11226
stehenden	w3_d338e11229
Preußischen	w5_d338e11232
Trupen	w7_d338e11235
zu	w9_d338e11238
Lock	w11_d338e11241
witz	w1_d338e11247
ausgesteckt	w3_d338e11250
seye,	w5_d338e11253
alwohin	w7_d338e11256
alle	w9_d338e11259
diese	w11_d338e11262
Völ	w13_d338e11266
ker	w1_d338e11271
sich	w3_d338e11274
zusammen	w5_d338e11277
ziehen.	w7_d338e11280
</p>
<p id="p28_d338e11283">
Von	w1_d338e11287
Warschau:	w3_d338e11290
daß	w5_d338e11293
Se.	w7_d338e11296
Königliche	w9_d338e11299
Hoheit	w1_d338e11304
der	w3_d338e11307
Herzog	w5_d338e11310
von	w7_d338e11313
Curland	w9_d338e11316
auf	w11_d338e11319
dero	w13_d338e11323
angetrettenen	w1_d338e11328
Reise	w3_d338e11331
den	w5_d338e11334
15.	w7_d338e11337
Martii	w9_d338e11340
zu	w11_d338e11343
Bialystock	w1_d338e11349
angelangt,	w3_d338e11352
und	w5_d338e11355
daselbst	w7_d338e11358
von	w9_d338e11361
dem	w11_d338e11364
Groß=feld=herrn	w1_d338e11369
der	w3_d338e11372
Crone	w5_d338e11375
Grafen	w7_d338e11378
von	w9_d338e11381
Bra	w11_d338e11384
nicky	w1_d338e11389
mit	w3_d338e11392
allen	w5_d338e11395
ihme	w7_d338e11398
schuldigen	w9_d338e11401
Ehrenbe	w11_d338e11404
zeugungen	w1_d338e11409
empfangen,	w3_d338e11412
und	w5_d338e11415
nach	w7_d338e11418
daselbst	w9_d338e11421
gehabt	w1_d338e11427
5.	w3_d338e11430
tägiger	w5_d338e11433
Aufenthalt	w7_d338e11436
auf	w9_d338e11439
Dero	w11_d338e11442
nacher	w13_d338e11446
Mietau	w1_d338e11451
fortgesetzten	w3_d338e11454
Reise,	w5_d338e11457
einige	w7_d338e11460
Meilen	w9_d338e11463
weit	w1_d338e11468
begleitet	w3_d338e11471
worden	w5_d338e11474
seye.	w7_d338e11477
</p>
<head id="h2_d338e11498">
Wien	w1_d338e11502
den	w3_d338e11505
11.	w5_d338e11508
April	w7_d338e11511
1759.	w9_d338e11514
</head>
<p id="p4_d338e11517">
ergangenen	w1_d338e11521
Samstag	w3_d338e11524
als	w5_d338e11527
den	w7_d338e11530
7.	w9_d338e11533
die	w11_d338e11536
ses	w1_d338e11541
haben	w3_d338e11544
Jhre	w5_d338e11547
Kaiserl.	w7_d338e11550
Majestäten	w9_d338e11553
nebst	w1_d338e11558
einiger	w3_d338e11561
Durchl.	w5_d338e11564
Jungen	w7_d338e11567
Herrschaften	w9_d338e11570
Königl.	w1_d338e11576
Hoheiten,	w3_d338e11579
denen	w5_d338e11582
gewöhnlichen	w7_d338e11585
5.	w9_d338e11588
Geheimnuß=predigen	w1_d338e11593
bey	w3_d338e11596
dem	w5_d338e11599
beleuchteten	w7_d338e11602
Hoch=altar	w1_d338e11607
in	w3_d338e11610
der	w5_d338e11613
Kaiserl.	w7_d338e11616
Hof=kirche	w9_d338e11619
deren	w11_d338e11622
WW.	w1_d338e11627
EE.	w3_d338e11630
PP.	w5_d338e11633
Augustinern	w7_d338e11636
Baarfüssern,	w9_d338e11639
an	w1_d338e11645
dem	w3_d338e11648
folgenden	w5_d338e11651
Palm=sonntag	w7_d338e11654
Vormit	w9_d338e11657
tags	w1_d338e11662
eben	w3_d338e11665
alda	w5_d338e11668
unter	w7_d338e11671
gewöhnlicher	w9_d338e11674
Aufwar	w11_d338e11677
tung	w1_d338e11682
deren	w3_d338e11685
Herren	w5_d338e11688
Bottschafteren	w7_d338e11691
und	w9_d338e11694
des	w11_d338e11697
hohen	w1_d338e11702
Ministerii	w3_d338e11705
der	w5_d338e11708
feyerlichen	w7_d338e11711
Palmwei	w9_d338e11714
hung;	w1_d338e11720
Nachmittags	w3_d338e11723
dito	w5_d338e11726
aber	w7_d338e11729
bey	w9_d338e11732
denen	w11_d338e11735
WW.	w1_d338e11740
EE.	w3_d338e11743
PP.	w5_d338e11746
Capucinern	w7_d338e11749
dem	w9_d338e11752
40	w11_d338e11755
stündigen	w1_d338e11760
Gebett	w3_d338e11763
beygewohnet.	w5_d338e11766
</p>
<p id="p6_d338e11769">
Gestrigen	w1_d338e11773
Dienstags	w3_d338e11776
haben	w5_d338e11779
Allerhöchste	w7_d338e11782
Majestäten	w1_d338e11787
sich	w3_d338e11790
nacher	w5_d338e11793
Herrnals	w7_d338e11796
zu	w9_d338e11799
erheben	w11_d338e11802
und	w1_d338e11807
allda	w3_d338e11810
die	w5_d338e11813
Paßions=stationen	w7_d338e11816
zu	w9_d338e11819
besu	w11_d338e11822
chen	w1_d338e11828
geruhet.	w3_d338e11831
</p>
<head id="h2_d338e11837">
Lista	w1_d338e11841
deren	w3_d338e11844
Verstorbenen	w5_d338e11847
zu	w7_d338e11850
Wien	w9_d338e11853
in	w1_d338e11858
und	w3_d338e11861
vor	w5_d338e11864
der	w7_d338e11867
Stadt.	w9_d338e11870
Den	w1_d338e11875
5.	w3_d338e11878
April.	w5_d338e11881
Jn	w1_d338e11887
der	w3_d338e11890
Stadt.	w5_d338e11893
Niemand.	w1_d338e11898
Vor	w1_d338e11903
der	w3_d338e11906
Stadt.	w5_d338e11909
</head>
<list id="l4_d338e11912">
Theres.	w1_d338e11916
Widmanin,	w3_d338e11919
ledig,	w5_d338e11922
im	w7_d338e11925
Hofeckeris.	w9_d338e11928
H.	w11_d338e11931
zu	w13_d338e11935
Ni	w15_d338e11938
colstorf,	w1_d338e11943
alt	w3_d338e11946
30.	w5_d338e11949
Jos.	w1_d338e11954
Dopman,	w3_d338e11957
Goller=step.,	w5_d338e11960
beym	w7_d338e11963
rot.	w9_d338e11966
Creutz	w11_d338e11969
im	w13_d338e11973
Lerchenf,	w1_d338e11979
alt	w3_d338e11982
58.	w5_d338e11985
J.	w7_d338e11988
Anna	w1_d338e11993
Wallenreiterin,	w3_d338e11996
Wittwe,	w5_d338e11999
im	w7_d338e12002
Rablis.	w9_d338e12005
H.	w11_d338e12008
zu	w13_d338e12012
Erdberg,	w1_d338e12017
alt	w3_d338e12020
87.	w5_d338e12023
J.	w7_d338e12026
Ant.	w1_d338e12031
Degler,	w3_d338e12034
Tag=löhn.,	w5_d338e12037
bey	w7_d338e12040
der	w9_d338e12043
Meer=fräule	w11_d338e12046
in	w13_d338e12050
dem	w15_d338e12053
Liechtenth.,	w1_d338e12059
alt	w3_d338e12062
55.	w5_d338e12065
J.	w7_d338e12068
Anna	w1_d338e12073
Fraunbergerin,	w3_d338e12076
Wittwe,	w5_d338e12079
deym	w7_d338e12082
schwarz.	w9_d338e12085
Ele	w11_d338e12088
—phant.	w1_d338e12093
zu	w3_d338e12096
Margar.,	w5_d338e12099
alt	w7_d338e12102
60.	w9_d338e12105
J.	w11_d338e12108
Barb.	w1_d338e12113
Watzain,	w3_d338e12116
arm.,	w5_d338e12119
bey	w7_d338e12122
der	w9_d338e12125
grün.	w11_d338e12128
Satzl.	w13_d338e12132
in	w15_d338e12135
dem	w17_d338e12138
Liechtenth.,	w1_d338e12144
alt	w3_d338e12147
95.	w5_d338e12150
J.	w7_d338e12153
</list>
<head id="h2_d338e12160">
Summa	w1_d338e12164
6.	w3_d338e12167
Person.	w5_d338e12170
darunter	w7_d338e12173
0.	w9_d338e12176
Kind.	w11_d338e12179
Den	w1_d338e12184
6.	w3_d338e12187
April.	w5_d338e12190
Jn	w1_d338e12195
der	w3_d338e12198
Stadt.	w5_d338e12201
</head>
<list id="l4_d338e12204">
Dem	w1_d338e12208
Hrn.	w3_d338e12211
Christoph	w5_d338e12214
Gieglein,	w7_d338e12217
K.	w9_d338e12220
K.	w11_d338e12223
Jnvalidenhof	w13_d338e12227
commis.	w1_d338e12232
thür=hüt.,	w3_d338e12235
s.	w5_d338e12238
K.	w7_d338e12241
Jos.,	w9_d338e12244
im	w11_d338e12247
bemeldt.	w13_d338e12251
Com	w15_d338e12254
mis.	w1_d338e12259
Cassa=H.	w3_d338e12262
auf	w5_d338e12265
der	w7_d338e12268
Stuben=thor=bastey,	w9_d338e12271
alt	w11_d338e12274
1.	w13_d338e12278
J.	w15_d338e12281
Jungf.	w1_d338e12287
Elisab.	w3_d338e12290
Schwindbergerin,	w5_d338e12293
im	w7_d338e12296
Selmis.	w9_d338e12299
H.	w11_d338e12302
am	w13_d338e12306
Grab.,	w1_d338e12311
alt	w3_d338e12314
41.	w5_d338e12317
J.	w7_d338e12320
</list>
<head id="h2_d338e12327">
Vor	w1_d338e12331
der	w3_d338e12334
Stadt.	w5_d338e12337
</head>
<list id="l4_d338e12340">
Dem	w1_d338e12344
Simon	w3_d338e12347
Jnsprucker,	w5_d338e12350
Hof=befr.	w7_d338e12353
Schuh=mach.,	w9_d338e12356
s.	w1_d338e12361
K.	w3_d338e12364
Joh.,	w5_d338e12367
beym	w7_d338e12370
bl.	w9_d338e12373
Hecht.	w11_d338e12376
an	w13_d338e12380
Spitalb,	w15_d338e12383
8.	w17_d338e12386
J.	w19_d338e12389
Leop.	w1_d338e12394
Wimmer,	w3_d338e12397
Bestand=wirt,	w5_d338e12400
bey	w7_d338e12403
der	w9_d338e12406
gold.	w11_d338e12409
Sonn	w13_d338e12413
zu	w1_d338e12419
Margar.,	w3_d338e12422
alt	w5_d338e12425
28.	w7_d338e12428
J.	w9_d338e12431
Jos.	w1_d338e12436
Höhzel,	w3_d338e12439
Lebzelter=ges.,	w5_d338e12442
beym	w7_d338e12445
rot.	w9_d338e12448
Kreutz	w11_d338e12451
auf	w13_d338e12455
der	w1_d338e12460
Wied.,	w3_d338e12463
alt	w5_d338e12466
69.	w7_d338e12469
J.	w9_d338e12472
Jos.	w1_d338e12477
Bock,	w3_d338e12480
Taglöhn.,	w5_d338e12483
beym	w7_d338e12486
schwarz.	w9_d338e12489
Bärn	w11_d338e12492
am	w13_d338e12496
Neu	w15_d338e12499
stift,	w1_d338e12505
alt	w3_d338e12508
61.	w5_d338e12511
J.	w7_d338e12514
Georg	w1_d338e12519
Vogl,	w3_d338e12522
Tag=löhn.,	w5_d338e12525
beym	w7_d338e12528
schw.	w9_d338e12531
Eleph.	w11_d338e12534
zu	w13_d338e12538
Matzleinstorf,	w1_d338e12543
alt	w3_d338e12546
66.	w5_d338e12549
J.	w7_d338e12552
</list>
<head id="h2_d338e12559">
Summa	w1_d338e12563
7.	w3_d338e12566
Person.	w5_d338e12569
/	w7_d338e12572
darunter	w9_d338e12575
2.	w11_d338e12578
Kind.	w13_d338e12582
Den	w1_d338e12587
7.	w3_d338e12590
April.	w5_d338e12593
Jn	w1_d338e12598
der	w3_d338e12601
Stadt.	w5_d338e12604
</head>
<list id="l4_d338e12607">
Sr.	w1_d338e12611
Excel.	w3_d338e12614
dem	w5_d338e12617
Hoch	w7_d338e12620
und	w9_d338e12623
Wol=geb.	w11_d338e12626
Hrn.	w13_d338e12630
Hrn.	w15_d338e12633
La	w17_d338e12636
disl.	w1_d338e12641
Grafen	w3_d338e12644
v.	w5_d338e12647
Kollonitz,	w7_d338e12650
und	w9_d338e12653
Kollograd,	w11_d338e12656
beeder	w13_d338e12660
R.	w1_d338e12665
K.	w3_d338e12668
und	w5_d338e12671
K.	w7_d338e12674
K.	w9_d338e12677
M.	w11_d338e12680
Cammerern,	w13_d338e12684
und	w15_d338e12687
würkl.	w17_d338e12690
geh.	w19_d338e12693
Raht,	w1_d338e12699
s.	w3_d338e12702
Fr.	w5_d338e12705
Gemahl.	w7_d338e12708
Fr.	w9_d338e12711
Eleon.	w11_d338e12714
geb.	w13_d338e12718
Gräfin	w15_d338e12721
von	w17_d338e12724
Kollonitz,	w1_d338e12729
und	w3_d338e12732
Kollograd,	w5_d338e12735
im	w7_d338e12738
Gundolaisch.	w9_d338e12741
H.	w11_d338e12744
in	w13_d338e12748
</list>
<p id="p6_d338e12752">
der	w1_d338e12756
Renn=gas.,	w3_d338e12759
alt	w5_d338e12762
46.	w7_d338e12765
J.	w9_d338e12768
</p>
<head id="h2_d338e12775">
Vor	w1_d338e12779
der	w3_d338e12782
Stadt.	w5_d338e12785
</head>
<list id="l4_d338e12788">
Niclas	w1_d338e12792
Linzer,	w3_d338e12795
gew.	w5_d338e12798
Burgerl.	w7_d338e12801
Wirt,	w9_d338e12804
in	w11_d338e12807
s.	w13_d338e12811
H.	w15_d338e12814
am	w17_d338e12817
Neubau,	w1_d338e12822
alt	w3_d338e12825
86.	w5_d338e12828
Dem	w1_d338e12833
Joh.	w3_d338e12836
Negerle,	w5_d338e12839
Verwalt.,	w7_d338e12842
s.	w9_d338e12845
S.	w11_d338e12848
Joh.,	w13_d338e12852
bey	w15_d338e12855
dem	w17_d338e12858
weis.	w1_d338e12864
Hahn	w3_d338e12867
in	w5_d338e12870
der	w7_d338e12873
Josephist,	w9_d338e12876
alt	w11_d338e12879
16.	w13_d338e12883
J.	w15_d338e12886
Reym.	w1_d338e12891
Corwetta,	w3_d338e12894
Zeug=mach=ges.,	w5_d338e12897
im	w7_d338e12900
Kesselreibs	w9_d338e12903
ris.	w1_d338e12908
H.	w3_d338e12911
zu	w5_d338e12914
Margar.,	w7_d338e12917
alt	w9_d338e12920
31.	w11_d338e12923
J.	w13_d338e12927
Dem	w1_d338e12932
Mich.	w3_d338e12935
Aigner,	w5_d338e12938
Tag=löhn.,	w7_d338e12941
s.	w9_d338e12944
W	w11_d338e12947
Agnes,	w13_d338e12951
im	w15_d338e12954
Schnür=macheris.	w1_d338e12960
H.	w3_d338e12963
in	w5_d338e12966
der	w7_d338e12969
Leopoldst.,	w9_d338e12972
42.	w11_d338e12975
J.	w13_d338e12979
</list>
<head id="h2_d338e12986">
Summa	w1_d338e12990
5.	w3_d338e12993
Person.	w5_d338e12996
/	w7_d338e12999
darunter	w9_d338e13002
0.	w11_d338e13005
Kind.	w13_d338e13009
Den	w1_d338e13014
8.	w3_d338e13017
April.	w5_d338e13020
Jn	w1_d338e13025
der	w3_d338e13028
Stadt	w5_d338e13031
</head>
<list id="l4_d338e13034">
Dem	w1_d338e13038
Hoch=edel=geb.	w3_d338e13041
Hrn.	w5_d338e13044
Pet.	w7_d338e13047
v.	w9_d338e13050
Vegh,	w11_d338e13053
K.	w13_d338e13057
K.	w15_d338e13060
Hof=cammer=hof=secret.,	w1_d338e13065
s.	w3_d338e13068
Fräule	w5_d338e13071
T.	w7_d338e13074
Maria	w9_d338e13077
An	w11_d338e13080
tonia	w1_d338e13085
Juliana,	w3_d338e13088
im	w5_d338e13091
Prieschenkis.	w7_d338e13094
H.	w9_d338e13097
am	w11_d338e13100
alt.	w13_d338e13104
Fleisch	w15_d338e13107
markt,	w1_d338e13113
alt	w3_d338e13116
4.	w5_d338e13119
J.	w7_d338e13122
Der	w1_d338e13127
Wol=edlen	w3_d338e13130
Fr.	w5_d338e13133
Margar.	w7_d338e13136
v.	w9_d338e13139
Conradi,	w11_d338e13142
Wittwe,	w13_d338e13146
ihr	w1_d338e13151
K.	w3_d338e13154
Joh.,	w5_d338e13157
beym	w7_d338e13160
grün.	w9_d338e13163
Säbel	w11_d338e13166
in	w13_d338e13170
der	w15_d338e13173
Krugerst	w17_d338e13176
alt	w1_d338e13181
6.	w3_d338e13184
J.	w5_d338e13187
Dem	w1_d338e13193
Hrn.	w3_d338e13196
Jos.	w5_d338e13199
Holbein,	w7_d338e13202
K.	w9_d338e13205
K.	w11_d338e13208
Minist.baneohof	w13_d338e13212
depnt.=buchhalt.=rait=offic.,	w1_d338e13217
s.	w3_d338e13220
K.	w5_d338e13223
Franz,	w7_d338e13226
im	w9_d338e13229
Do	w11_d338e13232
rothe=hof,	w1_d338e13237
alt	w3_d338e13240
2.	w5_d338e13243
J.	w7_d338e13246
Charlota	w1_d338e13251
Doschin,	w3_d338e13254
ledig,	w5_d338e13257
im	w7_d338e13260
Buchbinberis.	w9_d338e13263
H.	w11_d338e13266
auf	w13_d338e13270
der	w1_d338e13276
Mölker=bastey,	w3_d338e13279
alt	w5_d338e13282
46.	w7_d338e13285
J.	w9_d338e13288
</list>
<head id="h2_d338e13295">
Vor	w1_d338e13299
der	w3_d338e13302
Stadt.	w5_d338e13305
</head>
<list id="l4_d338e13308">
Der	w1_d338e13312
Wol=edle	w3_d338e13315
Hr.	w5_d338e13318
Andre	w7_d338e13321
Alexandrini,	w9_d338e13324
des	w11_d338e13327
Löblich.	w13_d338e13331
Sargothais.	w1_d338e13336
Dragon.	w3_d338e13339
Reg.	w5_d338e13342
Ober=leuten,	w7_d338e13345
in	w9_d338e13348
dem	w11_d338e13351
Schwarzenbergis.	w1_d338e13356
Gart.	w3_d338e13359
vorm	w5_d338e13362
Kärntner=thor,	w7_d338e13365
alt	w9_d338e13368
38.	w1_d338e13374
J.	w3_d338e13377
Theres.	w1_d338e13382
Löwin,	w3_d338e13385
ledig,	w5_d338e13388
beym	w7_d338e13391
schwarz	w9_d338e13394
Adl.	w11_d338e13397
bey	w13_d338e13401
Ma	w15_d338e13404
ria=hülf,	w1_d338e13409
alt	w3_d338e13412
42.	w5_d338e13415
J.	w7_d338e13418
Georg	w1_d338e13423
Haringer.	w3_d338e13426
Haus=meist.,	w5_d338e13429
beym	w7_d338e13432
Englis.	w9_d338e13435
Gruß	w11_d338e13438
in	w1_d338e13444
der	w3_d338e13447
Josephst.,	w5_d338e13450
alt	w7_d338e13453
63.	w9_d338e13456
J.	w11_d338e13459
Cathar.	w1_d338e13464
Prinzin,	w3_d338e13467
Wittwe,	w5_d338e13470
bey	w7_d338e13473
der	w9_d338e13476
H.	w11_d338e13479
Dreyfaltigt.	w13_d338e13483
im	w1_d338e13488
Lerchenf.,	w3_d338e13491
alt	w5_d338e13494
73.	w7_d338e13497
J.	w9_d338e13500
</list>
<list id="l8_d338e13506">
Nich.	w1_d338e13510
Reiener,	w3_d338e13513
Tag=löhn.,	w5_d338e13516
in	w7_d338e13519
s.	w9_d338e13522
H.	w11_d338e13525
zu	w13_d338e13529
Erdberg	w15_d338e13532
/	w17_d338e13535
alt	w1_d338e13540
85.	w3_d338e13543
J.	w5_d338e13546
Uesula	w1_d338e13551
Krawadin,	w3_d338e13554
Wittwe,	w5_d338e13557
im	w7_d338e13560
Gobeschnickisch.	w9_d338e13563
H.	w11_d338e13566
zu	w1_d338e13572
Gumpendorf,	w3_d338e13575
alt	w5_d338e13578
81.	w7_d338e13581
J.	w9_d338e13584
</list>
<head id="h2_d338e13591">
Summa	w1_d338e13595
10.	w3_d338e13598
Person.,	w5_d338e13601
darunter	w7_d338e13604
3.	w9_d338e13607
Kind.	w11_d338e13610
</head>
<p id="p4_d338e13613">
Mit	w1_d338e13617
Genehmhaltung	w3_d338e13620
(Titl.)	w5_d338e13623
Sr.	w7_d338e13626
Gnaden	w9_d338e13629
Herrn	w1_d338e13634
Baron	w3_d338e13637
von	w5_d338e13640
Spieten,	w7_d338e13643
Kaiserl.	w9_d338e13646
Königl.	w11_d338e13649
Hof	w13_d338e13653
medici,	w1_d338e13658
ist	w3_d338e13661
bey	w5_d338e13664
Herrn	w7_d338e13667
Johann	w9_d338e13670
Jgnati	w11_d338e13673
Babitsch,	w13_d338e13677
Burgerl.	w1_d338e13683
Materialisten	w3_d338e13686
bey	w5_d338e13689
St.	w7_d338e13692
Michael,	w9_d338e13695
nächst	w11_d338e13698
der	w1_d338e13703
Kaiserl.	w3_d338e13706
Burg	w5_d338e13709
in	w7_d338e13712
Wein	w9_d338e13715
in	w11_d338e13718
Commißion	w13_d338e13722
zu	w15_d338e13725
haben:	w1_d338e13730
daß	w3_d338e13733
gerechte	w5_d338e13736
Schwannen=salz,	w7_d338e13739
oder	w9_d338e13742
soge	w11_d338e13745
nannte	w1_d338e13750
sel	w3_d338e13753
Polychreste	w5_d338e13756
de	w7_d338e13759
Mr.	w9_d338e13762
Seignette	w11_d338e13765
de	w13_d338e13769
la	w15_d338e13772
Rochelle,	w1_d338e13778
das	w3_d338e13781
Paquet	w5_d338e13784
von	w7_d338e13787
1.	w9_d338e13790
Loth	w11_d338e13793
pr.	w13_d338e13797
30.	w15_d338e13800
kr.	w17_d338e13803
oder	w1_d338e13808
das	w3_d338e13811
Loth	w5_d338e13814
in	w7_d338e13817
Crystallen	w9_d338e13820
pr.	w11_d338e13823
15.	w13_d338e13827
kr.	w15_d338e13830
</p>
<p id="p6_d338e13833">
Jtem	w1_d338e13837
findet	w3_d338e13840
man	w5_d338e13843
auch	w7_d338e13846
alda,	w9_d338e13849
die	w11_d338e13852
gerechten	w13_d338e13856
Mi	w15_d338e13859
neralische	w1_d338e13864
Wund=kugeln,	w3_d338e13867
oder	w5_d338e13870
sogenannte	w7_d338e13873
Boules	w9_d338e13876
d'acier,	w1_d338e13881
welche	w3_d338e13884
durch	w5_d338e13887
ihre	w7_d338e13890
berühmte	w9_d338e13893
Würkung	w11_d338e13896
in	w13_d338e13900
allen	w1_d338e13906
Zerquetschungen	w3_d338e13909
und	w5_d338e13912
allerley	w7_d338e13915
Wunden,	w9_d338e13918
besonders	w1_d338e13923
denen	w3_d338e13926
Feld=scherern	w5_d338e13929
gut	w7_d338e13932
bekannt,	w9_d338e13935
sehr	w1_d338e13940
dienlich	w3_d338e13943
seyn,	w5_d338e13946
solche	w7_d338e13949
sind	w9_d338e13952
von	w11_d338e13955
verschiedener	w13_d338e13959
Größe	w1_d338e13964
das	w3_d338e13967
Loth	w5_d338e13970
pr.	w7_d338e13973
17.	w9_d338e13976
kr.	w11_d338e13979
</p>
<p id="p8_d338e13982">
Robertus	w1_d338e13986
Albt	w3_d338e13989
des	w5_d338e13992
Löbl.	w7_d338e13995
Stifts	w9_d338e13998
und	w11_d338e14001
würdigen	w13_d338e14005
U.	w1_d338e14010
L.	w3_d338e14013
Frauen	w5_d338e14016
GOttes=hauses	w7_d338e14019
zu	w9_d338e14022
denen	w11_d338e14025
Schotten	w13_d338e14029
in	w15_d338e14032
Wien,	w1_d338e14037
und	w3_d338e14040
zu	w5_d338e14043
Thelk	w7_d338e14046
in	w9_d338e14049
Hungarn,	w11_d338e14052
und	w13_d338e14056
Böheim	w15_d338e14059
Königl.	w1_d338e14065
Apostolischen	w3_d338e14068
Majest.	w5_d338e14071
Raht,	w7_d338e14074
wie	w9_d338e14077
auch	w11_d338e14080
ei	w13_d338e14084
ner	w1_d338e14089
Löbl.	w3_d338e14092
N.	w5_d338e14095
Oe.	w7_d338e14098
Landschaft	w9_d338e14101
erwehlter	w11_d338e14104
Aus	w13_d338e14108
schuß	w1_d338e14113
rc.	w3_d338e14116
fügen	w5_d338e14119
hiemit	w7_d338e14122
jedermänniglich	w9_d338e14125
zu	w11_d338e14128
verneh	w13_d338e14132
men:	w1_d338e14137
Es	w3_d338e14140
habe	w5_d338e14143
bey	w7_d338e14146
diesseitig=bestellten	w9_d338e14149
Hof	w11_d338e14152
und	w13_d338e14156
Grund=gericht	w1_d338e14162
Hr.	w3_d338e14165
Maximilian	w5_d338e14168
Moritz	w7_d338e14171
von	w9_d338e14174
Mo	w11_d338e14177
schort	w1_d338e14182
J.	w3_d338e14185
U.	w5_d338e14188
D.	w7_d338e14191
geschworner	w9_d338e14194
Hof	w11_d338e14197
und	w13_d338e14201
Schraunen	w15_d338e14204
advocatus	w1_d338e14209
in	w3_d338e14212
Steyer	w5_d338e14215
schriftlich	w7_d338e14218
angebracht,	w9_d338e14221
wel	w11_d338e14224
cher=gestalten	w1_d338e14229
dee	w3_d338e14232
zu	w5_d338e14235
St.	w7_d338e14238
Ulrich	w9_d338e14241
am	w11_d338e14244
Neustift	w13_d338e14248
zwi	w15_d338e14251
schen	w1_d338e14257
Johann	w3_d338e14260
Georg	w5_d338e14263
Pfanzelter,	w7_d338e14266
und	w9_d338e14269
Johann	w11_d338e14272
Jacob	w1_d338e14277
Pauer,	w3_d338e14280
beeder	w5_d338e14283
Hauser	w7_d338e14286
daselbst	w9_d338e14289
gelegen,	w11_d338e14292
un	w13_d338e14296
ter	w1_d338e14301
dies	w3_d338e14304
Orts	w5_d338e14307
Grund=buch	w7_d338e14310
gehörigen	w9_d338e14313
Behausung,	w11_d338e14316
an	w1_d338e14321
welcher	w3_d338e14324
vorhin	w5_d338e14327
weiland	w7_d338e14330
Herr	w9_d338e14333
Thomas	w11_d338e14336
Ter	w13_d338e14340
mo	w1_d338e14346
Pegorini,	w3_d338e14349
gewest	w5_d338e14352
Kaiserlicher	w7_d338e14355
Haupt=mann	w9_d338e14358
der	w1_d338e14363
Stadt=guarde	w3_d338e14366
allhier	w5_d338e14369
Seeligen	w7_d338e14372
an	w9_d338e14375
der	w11_d338e14378
Gwohr	w1_d338e14383
gestanden,	w3_d338e14386
über	w5_d338e14389
gepflogene	w7_d338e14392
Richtigkeit	w9_d338e14395
recht	w11_d338e14398
mäßig	w1_d338e14403
an	w3_d338e14406
selben	w5_d338e14409
gediehen	w7_d338e14412
seye;	w9_d338e14415
da	w11_d338e14418
nun	w13_d338e14422
auf	w15_d338e14425
dieser	w17_d338e14428
dero	w1_d338e14434
eigentumlich	w3_d338e14437
