<doc id="wr_1763-03-09" attrs="word" year="1763" month="03" day="09" corpus="2">
<head id="h2_d741e3075">
Schluß	w1_d741e3079
Jhren	w9_d741e10349
Königl.	w11_d741e10352
Hoheiten	w1_d741e10357
einigen	w3_d741e10360
Durchl.	w5_d741e10363
Erzherzoginnen	w7_d741e10366
bey	w1_d741e10372
den	w3_d741e10375
WW.	w5_d741e10378
EE.	w7_d741e10381
PP.	w9_d741e10384
Augustinern	w11_d741e10387
in	w13_d741e10391
dem	w15_d741e10394
Oratorio	w1_d741e10399
der	w3_d741e10402
dasigen	w5_d741e10405
Todten=kapelle	w7_d741e10408
für	w9_d741e10411
den	w11_d741e10414
verstorbenen	w1_d741e10419
Hrn.	w3_d741e10422
Obersten	w5_d741e10425
v.	w7_d741e10428
Szezeny,	w9_d741e10431
Ri	w11_d741e10434
	w13_d741e10438
|	w15_d741e10441
tern	w1_d741e10446
des	w3_d741e10449
Theresiä=ordens,	w5_d741e10452
dem	w7_d741e10455
Seel	w9_d741e10458
und	w11_d741e10461
Lob=amt	w1_d741e10467
incognito	w3_d741e10470
beygewohnet.	w5_d741e10473
</p>
<p id="p6_d741e10476">
Dito	w1_d741e10480
Nachmittag	w3_d741e10483
um	w5_d741e10486
3.	w7_d741e10489
Uhr	w9_d741e10492
ist	w11_d741e10495
allhier	w13_d741e10499
verschieden	w1_d741e10504
im	w3_d741e10507
73sten	w5_d741e10510
Jahr	w7_d741e10513
ihres	w9_d741e10516
Alters,	w11_d741e10519
die	w1_d741e10524
Durchl.	w3_d741e10527
Fürstin	w5_d741e10530
und	w7_d741e10533
Frau,	w9_d741e10536
Frau	w11_d741e10539
Anna	w13_d741e10543
Christina,	w1_d741e10549
Herzogin	w3_d741e10552
zu	w5_d741e10555
Sachsen,	w7_d741e10558
Jülich,	w9_d741e10561
|	w11_d741e10564
Cleve	w1_d741e10569
und	w3_d741e10572
Bergen,	w5_d741e10575
auch	w7_d741e10578
Engern	w9_d741e10581
und	w11_d741e10584
West	w13_d741e10588
phalen,	w1_d741e10593
Landgräfin	w3_d741e10596
in	w5_d741e10599
Thüringen,	w7_d741e10602
Marg	w9_d741e10605
gräfin	w1_d741e10610
zu	w3_d741e10613
Meissen,	w5_d741e10616
auch	w7_d741e10619
Ober	w9_d741e10622
und	w11_d741e10625
Nieder	w13_d741e10629
laußnitz,	w1_d741e10635
gefürstete	w3_d741e10638
Gräfin	w5_d741e10641
zu	w7_d741e10644
Henneberg,	w9_d741e10647
|	w11_d741e10650
|	w13_d741e10654
Gräfin	w1_d741e10659
zu	w3_d741e10662
der	w5_d741e10665
Mark,	w7_d741e10668
Ravensperg	w9_d741e10671
und	w11_d741e10674
Bar	w13_d741e10678
by,	w1_d741e10683
Frau	w3_d741e10686
zu	w5_d741e10689
Ravenstein,	w7_d741e10692
eine	w9_d741e10695
Stiefschwe	w11_d741e10698
ster	w1_d741e10703
der	w3_d741e10706
Durchl.	w5_d741e10709
Hochgebornen	w7_d741e10712
Fürsten	w9_d741e10715
Hrn.	w11_d741e10718
Joseph	w1_d741e10724
Wenzls,	w3_d741e10727
und	w5_d741e10730
Hrn.	w7_d741e10733
Emanuelis	w9_d741e10736
Ge	w11_d741e10739
brüdere,	w1_d741e10744
Fürsten	w3_d741e10747
von	w5_d741e10750
Liechtenstein,	w7_d741e10753
Herzoge	w9_d741e10756
zu	w1_d741e10761
Troppau	w3_d741e10764
und	w5_d741e10767
Jägerndorf	w7_d741e10770
in	w9_d741e10773
Schlesien.	w11_d741e10776
</p>
<p id="p8_d741e10779">
Demnach	w1_d741e10783
den	w3_d741e10786
7.	w5_d741e10789
8.	w7_d741e10792
und	w9_d741e10795
9.	w11_d741e10798
die	w13_d741e10802
Bett=täge	w15_d741e10805
zur	w1_d741e10810
Danksagung	w3_d741e10813
für	w5_d741e10816
den	w7_d741e10819
von	w9_d741e10822
GOtt	w11_d741e10825
dem	w13_d741e10829
All	w15_d741e10832
mächtigen	w1_d741e10837
verliehenen	w3_d741e10840
Frieden	w5_d741e10843
angeordnet	w7_d741e10846
worden;	w1_d741e10852
so	w3_d741e10855
seynd	w5_d741e10858
auch	w7_d741e10861
Vormittags	w9_d741e10864
vor	w11_d741e10867
9.	w13_d741e10871
Uhr	w1_d741e10876
beede	w3_d741e10879
Kais.	w5_d741e10882
Majestäten	w7_d741e10885
in	w9_d741e10888
die	w11_d741e10891
Domkir	w13_d741e10895
che	w1_d741e10900
zu	w3_d741e10903
St.	w5_d741e10906
Stephan	w7_d741e10909
incognito	w9_d741e10912
gefahren,	w11_d741e10915
und	w13_d741e10919
haben	w1_d741e10924
alda,	w3_d741e10927
bey	w5_d741e10930
Aussetzung	w7_d741e10933
des	w9_d741e10936
hochwürdig	w11_d741e10939
</p>
<p id="p14_d741e10953">
sten	w1_d741e10957
Altars=sacrament,	w3_d741e10960
dem	w5_d741e10963
Anfang	w7_d741e10966
der	w9_d741e10969
be	w11_d741e10972
sagten	w1_d741e10977
drey=tägigen	w3_d741e10980
Andacht	w5_d741e10983
bis	w7_d741e10986
10.	w9_d741e10989
Uhr	w11_d741e10992
beygewohnet.	w1_d741e10997
Einige	w3_d741e11000
von	w5_d741e11003
den	w7_d741e11006
jungen	w9_d741e11009
Durchl.	w11_d741e11012
Herrschaften	w1_d741e11018
Königl.	w3_d741e11021
Hoheiten	w5_d741e11024
haben	w7_d741e11027
hierauf	w9_d741e11030
bis	w1_d741e11035
12.	w3_d741e11038
Uhr,	w5_d741e11041
Nachmittags	w7_d741e11044
aber	w9_d741e11047
von	w11_d741e11050
3.	w13_d741e11054
bis	w15_d741e11057
6.	w1_d741e11062
Uhr	w3_d741e11065
Jhre	w5_d741e11068
Majestät	w7_d741e11071
die	w9_d741e11074
Kaiserin,	w11_d741e11077
wie	w13_d741e11081
auch	w15_d741e11084
einige	w1_d741e11089
von	w3_d741e11092
den	w5_d741e11095
Königl.	w7_d741e11098
Hoheiten	w9_d741e11101
bey	w11_d741e11104
der	w13_d741e11108
wie	w15_d741e11111
derholten	w1_d741e11117
Andacht	w3_d741e11120
Abwechslungs=weis	w5_d741e11123
all	w7_d741e11126
da	w1_d741e11131
sich	w3_d741e11134
wieder	w5_d741e11137
eingefunden:	w7_d741e11140
welches	w9_d741e11143
</p>
<p id="p16_d741e11146">
Den	w1_d741e11150
8.	w3_d741e11153
und	w5_d741e11156
9ten	w7_d741e11159
Vor	w9_d741e11162
und	w11_d741e11165
Nachmit	w13_d741e11169
tags	w1_d741e11174
von	w3_d741e11177
Jhro	w5_d741e11180
Kaiserl.	w7_d741e11183
Majestät	w9_d741e11186
und	w11_d741e11189
de	w13_d741e11193
nen	w1_d741e11198
Durchl.	w3_d741e11201
Herrschaften	w5_d741e11204
wiederum	w7_d741e11207
gesche	w9_d741e11210
hen.	w1_d741e11216
</p>
<p id="p18_d741e11219">
Künstigen	w1_d741e11223
Samstag,	w3_d741e11226
als	w5_d741e11229
den	w7_d741e11232
12.	w9_d741e11235
Mar	w11_d741e11238
tii	w1_d741e11243
werden	w3_d741e11246
die	w5_d741e11249
geistliche	w7_d741e11252
Exercitien	w9_d741e11255
mit	w11_d741e11258
de	w13_d741e11262
nen	w1_d741e11267
verehlichten	w3_d741e11270
Herren	w5_d741e11273
in	w7_d741e11276
der	w9_d741e11279
Herren	w11_d741e11282
capelle	w1_d741e11288
bey	w3_d741e11291
der	w5_d741e11294
Profeß=haus=kirche	w7_d741e11297
S.J.	w9_d741e11300
3.	w1_d741e11305
Viertel	w3_d741e11308
auf	w5_d741e11311
7.	w7_d741e11314
Uhr	w9_d741e11317
in	w11_d741e11320
der	w13_d741e11324
fruhe	w15_d741e11327
mit	w17_d741e11330
der	w19_d741e11333
geistlichen	w1_d741e11338
Lesung	w3_d741e11341
ihren	w5_d741e11344
Anfang	w7_d741e11347
nehmen.	w9_d741e11350
</p>
<p id="p20_d741e11353">
Den	w1_d741e11357
17.	w3_d741e11360
dies	w5_d741e11363
laufenden	w7_d741e11366
Monats	w9_d741e11369
Mar	w11_d741e11372
tii	w1_d741e11377
werden	w3_d741e11380
die	w5_d741e11383
8tägige	w7_d741e11386
geistliche	w9_d741e11389
Exercitien	w11_d741e11392
in	w1_d741e11397
Welscher	w3_d741e11400
Sprache	w5_d741e11403
in	w7_d741e11406
der	w9_d741e11409
Kirche	w11_d741e11412
des	w13_d741e11416
Col	w15_d741e11419
legii	w1_d741e11425
der	w3_d741e11428
Gesellschaft	w5_d741e11431
JEsu,	w7_d741e11434
und	w9_d741e11437
zwar	w11_d741e11440
täg	w13_d741e11444
lich	w1_d741e11449
um	w3_d741e11452
5.	w5_d741e11455
Uhr	w7_d741e11458
Nachmittag	w9_d741e11461
ihren	w11_d741e11464
Anfang	w13_d741e11468
nehmen.	w1_d741e11473
</p>
<head id="h2_d741e11479">
Lista	w1_d741e11483
deren	w3_d741e11486
Verstorbenen	w5_d741e11489
zu	w7_d741e11492
Wien	w9_d741e11495
in	w1_d741e11500
und	w3_d741e11503
vor	w5_d741e11506
der	w7_d741e11509
Stadt.	w9_d741e11512
Den	w1_d741e11517
3.	w3_d741e11520
Martii.	w5_d741e11523
Jn	w1_d741e11529
der	w3_d741e11532
Stadt.	w5_d741e11535
</head>
<list id="l4_d741e11538">
Joh.	w1_d741e11542
Mich.	w3_d741e11545
Arnet,	w5_d741e11548
Hoch	w7_d741e11551
fürstl.	w9_d741e11554
Liechtensteinischer	w11_d741e11557
Haus=tapetzier.,	w1_d741e11562
im	w3_d741e11565
alt.	w5_d741e11568
Lichtensteinis.	w7_d741e11571
H.	w9_d741e11574
in	w11_d741e11577
der	w13_d741e11581
Herren=gas.,	w1_d741e11586
alt	w3_d741e11589
70.	w5_d741e11592
J.	w7_d741e11595
Joh.	w1_d741e11601
Math.	w3_d741e11604
Lanz,	w5_d741e11607
Tanzmeist.,	w7_d741e11610
im	w9_d741e11613
Selausischen	w11_d741e11616
H.	w13_d741e11620
im	w1_d741e11625
tief.	w3_d741e11628
Grab.,	w5_d741e11631
alt	w7_d741e11634
50.	w9_d741e11637
J.	w11_d741e11640
</list>
<head id="h2_d741e11647">
Vor	w1_d741e11651
der	w3_d741e11654
Stadt.	w5_d741e11657
</head>
<list id="l4_d741e11660">
Franz	w1_d741e11664
Eberl,	w3_d741e11667
Burgerl.	w5_d741e11670
Saitenmach.,	w7_d741e11673
in	w9_d741e11676
s.	w11_d741e11679
H.	w13_d741e11683
im	w15_d741e11686
Lerchenf.,	w1_d741e11691
alt	w3_d741e11694
74.	w5_d741e11697
J.	w7_d741e11700
Dem	w1_d741e11705
Andre	w3_d741e11708
Neureiter,	w5_d741e11711
Schuhmach.,	w7_d741e11714
s.	w9_d741e11717
K.	w11_d741e11720
Anna,	w13_d741e11724
beym	w1_d741e11730
br.	w3_d741e11733
Hirsch.	w5_d741e11736
zu	w7_d741e11739
Matzleinstorf,	w9_d741e11742
alt	w11_d741e11745
7.	w13_d741e11749
J.	w15_d741e11752
Dem	w1_d741e11757
Franz	w3_d741e11760
Wohalzky,	w5_d741e11763
Lust=gart.,	w7_d741e11766
s.	w9_d741e11769
W	w11_d741e11772
Sabin,	w13_d741e11776
bey	w15_d741e11779
denen	w1_d741e11784
3.	w3_d741e11787
Eng.	w5_d741e11790
auf	w7_d741e11793
der	w9_d741e11796
neuen	w11_d741e11799
Wied.,	w13_d741e11803
alt	w15_d741e11806
42.	w17_d741e11809
J.	w19_d741e11812
Barb.	w1_d741e11817
Höferin,	w3_d741e11820
ledig,	w5_d741e11823
beym	w7_d741e11826
gold.	w9_d741e11829
Sperl	w11_d741e11832
bey	w13_d741e11836
St.	w15_d741e11839
Ulrich,	w1_d741e11845
alt	w3_d741e11848
28.	w5_d741e11851
J.	w7_d741e11854
Dem	w1_d741e11859
Phil.	w3_d741e11862
Kuttinger,	w5_d741e11865
Schreib.,	w7_d741e11868
s.	w9_d741e11871
K.	w11_d741e11874
Anna	w13_d741e11878
Ma	w15_d741e11881
ria,	w1_d741e11886
im	w3_d741e11889
Baderis.	w5_d741e11892
H.	w7_d741e11895
zu	w9_d741e11898
Margar.,	w11_d741e11901
alt	w13_d741e11905
1.	w15_d741e11908
J.	w17_d741e11911
</list>
<head id="h2_d741e11919">
Dem	w1_d741e11923
Mich.	w3_d741e11926
Taxbeck,	w5_d741e11929
Taglöhn.,	w7_d741e11932
s.	w9_d741e11935
K.	w11_d741e11938
Eathar.,	w13_d741e11942
im	w15_d741e11945
rot.	w1_d741e11950
H.	w3_d741e11953
vorm	w5_d741e11956
Schotten=thor,	w7_d741e11959
alt	w9_d741e11962
4.	w11_d741e11965
J.	w13_d741e11969
Summa	w1_d741e11974
8.	w3_d741e11977
Person.,	w5_d741e11980
darunter	w7_d741e11983
3.	w9_d741e11986
Kind.	w11_d741e11989
Den	w1_d741e11995
4.	w3_d741e11998
Martti.	w5_d741e12001
Jn	w1_d741e12006
der	w3_d741e12009
Stadt.	w5_d741e12012
</head>
<list id="l4_d741e12015">
Hr.	w1_d741e12019
Mich.	w3_d741e12022
Dantelsböck,	w5_d741e12025
gew.	w7_d741e12028
Burgerl.	w9_d741e12031
Chyrurg.,	w11_d741e12034
im	w1_d741e12039
Eisenhutis.	w3_d741e12042
H.	w5_d741e12045
in	w7_d741e12048
der	w9_d741e12051
Singerstr.,	w11_d741e12054
alt	w13_d741e12058
75.	w15_d741e12061
J.	w17_d741e12064
Dem	w1_d741e12069
Georg	w3_d741e12072
Gerner,	w5_d741e12075
Burgerl.	w7_d741e12078
Schneid.,	w9_d741e12081
s.	w11_d741e12084
K.	w13_d741e12088
Jos.,	w15_d741e12091
im	w1_d741e12097
Aplis.	w3_d741e12100
H.	w5_d741e12103
im	w7_d741e12106
Juden=gäs.,	w9_d741e12109
alt	w11_d741e12112
6.	w13_d741e12116
v.	w15_d741e12119
J.	w17_d741e12122
</list>
<head id="h2_d741e12129">
Vor	w1_d741e12133
der	w3_d741e12136
Stadt.	w5_d741e12139
</head>
<list id="l4_d741e12142">
Dem	w1_d741e12146
Epimacho	w3_d741e12149
Krammer,	w5_d741e12152
Burgerl.	w7_d741e12155
Schneid.	w9_d741e12158
s.	w11_d741e12161
T.	w13_d741e12165
Francisca,	w1_d741e12170
beyn	w3_d741e12173
3.	w5_d741e12176
Huf	w7_d741e12179
eis.	w9_d741e12182
an	w11_d741e12185
der	w13_d741e12189
Wien,	w15_d741e12192
19.	w17_d741e12195
J.	w19_d741e12198
Dem	w1_d741e12203
Paul	w3_d741e12206
Fried,	w5_d741e12209
Burgerl.	w7_d741e12212
Tändl.,	w9_d741e12215
s.	w11_d741e12218
K.	w13_d741e12222
Anna,	w15_d741e12225
im	w17_d741e12228
erst=bemeldt.	w1_d741e12234
H.,	w3_d741e12237
alt	w5_d741e12240
3.	w7_d741e12243
J.	w9_d741e12246
Dem	w1_d741e12251
Carl	w3_d741e12254
Mäuschl,	w5_d741e12257
Burgerl.	w7_d741e12260
Tuchscher.,	w9_d741e12263
s.	w11_d741e12266
K.	w13_d741e12270
Paul,	w1_d741e12275
bey	w3_d741e12278
St.	w5_d741e12281
Jos.	w7_d741e12284
am	w9_d741e12287
Spitalb.,	w11_d741e12290
alt	w13_d741e12294
4.	w15_d741e12297
J.	w17_d741e12300
Dem	w1_d741e12305
Joh.	w3_d741e12308
Launer,	w5_d741e12311
Burgerl.	w7_d741e12314
Sammet=mach.,	w9_d741e12317
s.	w11_d741e12320
K.	w13_d741e12324
Joh.,	w1_d741e12330
im	w3_d741e12333
Jorlbauris.	w5_d741e12336
H.	w7_d741e12339
in	w9_d741e12342
der	w11_d741e12345
Rossau,	w13_d741e12349
alt	w15_d741e12352
3.	w17_d741e12355
J.	w19_d741e12358
Math.	w1_d741e12363
Känlstorfer,	w3_d741e12366
Wais,	w5_d741e12369
in	w7_d741e12372
U.	w9_d741e12375
L.	w11_d741e12378
Frauen=spit.,	w13_d741e12382
am	w1_d741e12387
Rennweg,	w3_d741e12390
alt	w5_d741e12393
10.	w7_d741e12396
J.	w9_d741e12399
</list>
<head id="h2_d741e12406">
Summa	w1_d741e12410
7.	w3_d741e12413
Person.,	w5_d741e12416
darunter	w7_d741e12419
5.	w9_d741e12422
Kind.	w11_d741e12425
Den	w1_d741e12430
5.	w3_d741e12433
Martii.	w5_d741e12436
Jn	w1_d741e12441
der	w3_d741e12444
Stadt.	w5_d741e12447
</head>
<list id="l4_d741e12450">
Dem	w1_d741e12454
Hrn.	w3_d741e12457
Andre	w5_d741e12460
Putz,	w7_d741e12463
Burgerl.	w9_d741e12466
Leinwad=bandl.,	w11_d741e12469
s.	w1_d741e12474
Fr.	w3_d741e12477
Theres.,	w5_d741e12480
geb.	w7_d741e12483
v.	w9_d741e12486
Pocksteiner,	w11_d741e12489
im	w13_d741e12493
Graseris.	w15_d741e12496
H.	w1_d741e12501
untern	w3_d741e12504
Tuchlaub.,	w5_d741e12507
alt	w7_d741e12510
52.	w9_d741e12513
J.	w11_d741e12516
Fr.	w1_d741e12522
Barb.	w3_d741e12525
Nauchheimerin,	w5_d741e12528
Wittwe,	w7_d741e12531
im	w9_d741e12534
Druckmil	w11_d741e12537
leris.	w1_d741e12542
H.	w3_d741e12545
am	w5_d741e12548
neuen	w7_d741e12551
Thor,	w9_d741e12554
alt	w11_d741e12557
36.	w13_d741e12561
J.	w15_d741e12564
Der	w1_d741e12569
Fr.	w3_d741e12572
Maria	w5_d741e12575
Anna	w7_d741e12578
Schillingerin,	w9_d741e12581
Wittwe,	w11_d741e12584
ihr	w13_d741e12588
K.	w1_d741e12593
Maria	w3_d741e12596
Anna,	w5_d741e12599
im	w7_d741e12602
alt.	w9_d741e12605
Wagneris.	w11_d741e12608
H.	w13_d741e12612
auf	w15_d741e12615
der	w17_d741e12618
Fischer=stieg.,	w1_d741e12624
alt	w3_d741e12627
2.	w5_d741e12630
J.	w7_d741e12633
</list>
<head id="h2_d741e12640">
Vor	w1_d741e12644
der	w3_d741e12647
Stadt.	w5_d741e12650
</head>
<list id="l4_d741e12653">
Dem	w1_d741e12657
Hrn.	w3_d741e12660
Joh.	w5_d741e12663
Franz	w7_d741e12666
Mayr,	w9_d741e12669
gem.	w11_d741e12672
Stadt	w13_d741e12676
Wien	w15_d741e12679
Grund=buchs=handl.,	w1_d741e12684
s.	w3_d741e12687
Fr.	w5_d741e12690
Maria	w7_d741e12693
Elisab.,	w9_d741e12696
beym	w11_d741e12699
gold.	w1_d741e12704
Hirsch.	w3_d741e12707
zu	w5_d741e12710
Maria	w7_d741e12713
hülf,	w9_d741e12716
alt	w11_d741e12719
59.	w13_d741e12723
J.	w15_d741e12726
Dem	w1_d741e12732
Mart.	w3_d741e12735
Eisenkolb,	w5_d741e12738
Burgerl.	w7_d741e12741
Schnürmach.	w9_d741e12744
s.	w11_d741e12747
K.	w13_d741e12751
Ludw.,	w1_d741e12756
beym	w3_d741e12759
gold.	w5_d741e12762
Adl.	w7_d741e12765
am	w9_d741e12768
Neubau,	w11_d741e12771
alt	w13_d741e12775
9.	w15_d741e12778
J.	w17_d741e12781
Cäsp.	w1_d741e12786
Lidmayr,	w3_d741e12789
Pensionist,	w5_d741e12792
im	w7_d741e12795
Pletschachneris.	w9_d741e12798
H.	w11_d741e12801
zu	w1_d741e12806
Nicolstorf,	w3_d741e12809
alt	w5_d741e12812
44.	w7_d741e12815
J.	w9_d741e12818
Margar.	w1_d741e12824
Böckin,	w3_d741e12827
Wittwe,	w5_d741e12830
beym	w7_d741e12833
H.	w9_d741e12836
Geist	w11_d741e12839
an	w13_d741e12843
dem	w15_d741e12846
Neubau,	w1_d741e12851
alt	w3_d741e12854
68.	w5_d741e12857
J.	w7_d741e12860
Mart.	w1_d741e12865
Gerstl,	w3_d741e12868
Schmid=kn.,	w5_d741e12871
beym	w7_d741e12874
gold.	w9_d741e12877
Bärn	w11_d741e12880
in	w13_d741e12884
der	w1_d741e12889
Leopoldst,	w3_d741e12892
alt	w5_d741e12895
33.	w7_d741e12898
J.	w9_d741e12901
Dem	w1_d741e12907
Joh.	w3_d741e12910
Zober,	w5_d741e12913
Herrschaftl.	w7_d741e12916
Heyd.,	w9_d741e12919
s.	w11_d741e12922
W.	w13_d741e12926
Elis.,	w15_d741e12929
bey	w1_d741e12934
der	w3_d741e12937
gold.	w5_d741e12940
Ros.	w7_d741e12943
auf	w9_d741e12946
der	w11_d741e12949
Laimgr.,	w13_d741e12953
alt	w15_d741e12956
59.	w17_d741e12959
J.	w19_d741e12962
Anna	w1_d741e12967
Maria	w3_d741e12970
Gagoldin,	w5_d741e12973
Wittwe,	w7_d741e12976
im	w9_d741e12979
Fierlingeris.	w11_d741e12982
H.	w1_d741e12987
in	w3_d741e12990
der	w5_d741e12993
Leopoldst,	w7_d741e12996
alt	w9_d741e12999
69.	w11_d741e13002
Ant.	w1_d741e13008
Madelmayr,	w3_d741e13011
Taglöhn.,	w5_d741e13014
beym	w7_d741e13017
Englis.	w9_d741e13020
Gruß	w11_d741e13023
zu	w1_d741e13028
Nicolstorf,	w3_d741e13031
alt	w5_d741e13034
39.	w7_d741e13037
J.	w9_d741e13040
Cajetana	w1_d741e13045
Groißin,	w3_d741e13048
Wittwe,	w5_d741e13051
bey	w7_d741e13054
der	w9_d741e13057
gr.	w11_d741e13060
Saul.	w13_d741e13064
zu	w15_d741e13067
Maria	w1_d741e13072
hülf,	w3_d741e13075
alt	w5_d741e13078
48.	w7_d741e13081
J.	w9_d741e13084
Dem	w1_d741e13090
Jos.	w3_d741e13093
Pruckner,	w5_d741e13096
gew.	w7_d741e13099
Bestand=wirt.,	w9_d741e13102
s.	w11_d741e13105
W.	w1_d741e13110
Cathar.,	w3_d741e13113
beym	w5_d741e13116
weis.	w7_d741e13119
Wolf.	w9_d741e13122
in	w11_d741e13125
der	w13_d741e13129
Josephst.,	w15_d741e13132
alt	w1_d741e13137
29.	w3_d741e13140
J.	w5_d741e13143
</list>
<list id="l10_d741e13157">
Dem	w1_d741e13161
Mich.	w3_d741e13164
Schlair,	w5_d741e13167
Taglöhn.,	w7_d741e13170
s.	w9_d741e13173
K.	w11_d741e13176
Rosina,	w13_d741e13180
bey	w15_d741e13183
der	w1_d741e13188
H.	w3_d741e13191
Dreyfaltigk.	w5_d741e13194
auf	w7_d741e13197
der	w9_d741e13200
7.	w11_d741e13203
Brünner=wies.,	w13_d741e13207
alt	w1_d741e13212
5.	w3_d741e13215
J.	w5_d741e13218
</list>
<head id="h2_d741e13225">
Summa	w1_d741e13229
14.	w3_d741e13232
Person.,	w5_d741e13235
darunter	w7_d741e13238
3.	w9_d741e13241
Kind.	w11_d741e13244
Den	w1_d741e13249
6.	w3_d741e13252
Martii.	w5_d741e13255
Jn	w1_d741e13260
der	w3_d741e13263
Stadt.	w5_d741e13266
</head>
<list id="l4_d741e13269">
Dem	w1_d741e13273
Wol=edel=geb.	w3_d741e13276
Hrn.	w5_d741e13279
Franz	w7_d741e13282
v.	w9_d741e13285
Hillebrand,	w11_d741e13288
K.	w13_d741e13292
K.	w1_d741e13297
Hungaris.	w3_d741e13300
Hof=kammer=architect.	w5_d741e13303
und	w7_d741e13306
Jnge	w9_d741e13309
nieur,	w1_d741e13314
s.	w3_d741e13317
S.	w5_d741e13320
Franz	w7_d741e13323
bey	w9_d741e13326
der	w11_d741e13329
weis.	w13_d741e13333
Ros.	w15_d741e13336
in	w17_d741e13339
der	w19_d741e13342
un	w21_d741e13345
tern	w1_d741e13351
Bäckerstr.,	w3_d741e13354
alt	w5_d741e13357
5.	w7_d741e13360
J.	w9_d741e13363
Hr.	w1_d741e13368
Joh.	w3_d741e13371
Paul	w5_d741e13374
Schnöller,	w7_d741e13377
K.	w9_d741e13380
K.	w11_d741e13383
privil.	w13_d741e13387
Schwechat	w15_d741e13390
Caton=fabrique=buchhalt.	w1_d741e13395
und	w3_d741e13398
Caßier,	w5_d741e13401
im	w7_d741e13404
Huf	w9_d741e13407
schmidis.	w1_d741e13412
H.	w3_d741e13415
in	w5_d741e13418
der	w7_d741e13421
Römerstr.,	w9_d741e13424
alt	w11_d741e13427
52.	w13_d741e13431
J.	w15_d741e13434
Dem	w1_d741e13440
Hrn.	w3_d741e13443
Jos.	w5_d741e13446
Kabas,	w7_d741e13449
Burgerl.	w9_d741e13452
Caffee=sied.,	w11_d741e13455
s.	w13_d741e13459
S.	w15_d741e13462
Bened,	w1_d741e13467
in	w3_d741e13470
s.	w5_d741e13473
H.	w7_d741e13476
im	w9_d741e13479
Schlosser=gäs.,	w11_d741e13482
alt	w13_d741e13486
18.	w15_d741e13489
J.	w17_d741e13492
Dem	w1_d741e13497
Jacob	w3_d741e13500
Brenner,	w5_d741e13503
Burgerl.	w7_d741e13506
Pfaidl.,	w9_d741e13509
s.	w11_d741e13512
K.	w13_d741e13516
An	w15_d741e13519
na,	w1_d741e13524
im	w3_d741e13527
Scheichis.	w5_d741e13530
H.	w7_d741e13533
im	w9_d741e13536
Schlosser=gäs.,	w11_d741e13539
9.	w13_d741e13543
J.	w15_d741e13546
Theres.	w1_d741e13552
Stadlerin,	w3_d741e13555
ledig,	w5_d741e13558
im	w7_d741e13561
kl.	w9_d741e13564
Baderis.	w11_d741e13567
H.	w13_d741e13571
in	w15_d741e13574
der	w17_d741e13577
Wolseil,	w1_d741e13582
alt	w3_d741e13585
37.	w5_d741e13588
J.	w7_d741e13591
</list>
<head id="h2_d741e13598">
Vor	w1_d741e13602
der	w3_d741e13605
Stadt.	w5_d741e13608
</head>
<list id="l4_d741e13611">
Joh.	w1_d741e13615
Topitz,	w3_d741e13618
Burgerl.	w5_d741e13621
Mehl=mess.,	w7_d741e13624
im	w9_d741e13627
kl.	w11_d741e13630
Pißlis.	w13_d741e13634
H.	w15_d741e13637
auf	w1_d741e13642
der	w3_d741e13645
Wied.,	w5_d741e13648
alt	w7_d741e13651
48.	w9_d741e13654
J.	w11_d741e13657
Dem	w1_d741e13662
Leop.	w3_d741e13665
Kapel,	w5_d741e13668
Maurer=ges.,	w7_d741e13671
s.	w9_d741e13674
K.	w11_d741e13677
Math.,	w13_d741e13681
im	w15_d741e13684
erst=bemeldt.	w1_d741e13690
H.,	w3_d741e13693
alt	w5_d741e13696
8.	w7_d741e13699
J.	w9_d741e13702
Eva	w1_d741e13707
Kuckenusin,	w3_d741e13710
Wittwe,	w5_d741e13713
beym	w7_d741e13716
grün.	w9_d741e13719
Baum	w11_d741e13722
im	w13_d741e13726
Liechtenth.,	w1_d741e13731
alt	w3_d741e13734
55.	w5_d741e13737
J.	w7_d741e13740
Dem	w1_d741e13745
Franz	w3_d741e13748
Töller,	w5_d741e13751
Schneid.,	w7_d741e13754
s.	w9_d741e13757
W.	w11_d741e13760
Anna,	w13_d741e13764
beym	w15_d741e13767
gold.	w1_d741e13773
Bärn	w3_d741e13776
zu	w5_d741e13779
Maria=hülf,	w7_d741e13782
alt	w9_d741e13785
60.	w11_d741e13788
J.	w13_d741e13792
Dem	w1_d741e13797
Joh.	w3_d741e13800
Salzer,	w5_d741e13803
Burgerl.	w7_d741e13806
Strümpf=würk.,	w9_d741e13809
s.	w11_d741e13812
K.	w13_d741e13816
Theres.,	w1_d741e13821
beym	w3_d741e13824
rot.	w5_d741e13827
Rös.	w7_d741e13830
in	w9_d741e13833
der	w11_d741e13836
Leopoldst.,	w13_d741e13840
1.	w15_d741e13843
J.	w17_d741e13846
Dem	w1_d741e13851
Joh.	w3_d741e13854
Gogony,	w5_d741e13857
Lust=gart.,	w7_d741e13860
s.	w9_d741e13863
K.	w11_d741e13866
Maria	w13_d741e13870
Anna,	w15_d741e13873
in	w1_d741e13879
s.	w3_d741e13882
H.	w5_d741e13885
am	w7_d741e13888
Hundsth.,	w9_d741e13891
alt	w11_d741e13894
3.	w13_d741e13898
J.	w15_d741e13901
