<doc id="edoc_wd_1753-07-07" attrs="word" year="1753" month="07" day="07" corpus="1">
<p id="p4">
Jn	w33
ge=halten	w3625
<g/>
=
<g/>
:
auch	w3628
seynd	w3629
allerhöchst	w3630
<g/>
=
besagt	w3632
Jhro	w3633
Majestät	w3634
die	w3635
Kaiserin	w3636
Vormittags	w3637
nach	w3638
8	w3639
<g/>
.
Uhr	w3641
von	w3642
Schönbrunn	w3643
herein	w3644
in	w3645
die	w3646
Burg	w3647
ge=kommen	w3648
<g/>
=
<g/>
,
und	w3651
haben	w3652
alda	w3653
einer	w3654
Conferenz	w3655
bey=gewohnet	w3656
<g/>
=
<g/>
,
sodann	w3659
auf	w3660
Mittag	w3661
sich	w3662
nacher	w3663
Schön=brunn	w3664
<g/>
=
zuruck	w3666
verfüget	w3667
<g/>
;
alwo	w3669
Abends	w3670
Seine	w3671
Majestät	w3672
der	w3673
Kaiser	w3674
mit	w3675
Seiner	w3676
Königl	w3677
<g/>
.
Ho=heit	w3679
<g/>
=
Dero	w3681
Herrn	w3682
Brudern	w3683
Herzogen	w3684
Carl	w3685
von	w3686
Lothringen	w3687
von	w3688
Eckerzau	w3689
zuruck	w3690
angelanget	w3691
<g/>
,
worauf	w3693
in	w3694
allerhöchster	w3695
Gegenwart	w3696
beeder	w3697
Kai=serl	w3698
<g/>
=
<g/>
.
Majestäten	w3701
das	w3702
Ehe	w3703
<g/>
=
verlobnuß	w3705
zwischen	w3706
der	w3707
Kaiserl	w3708
<g/>
.
Königl	w3710
<g/>
.
Kammer	w3712
<g/>
=
fräulein	w3714
<g/>
(
Tit	w3716
<g/>
.
<g/>
)
Maximiliana	w3719
Gräfin	w3720
von	w3721
Petazzi	w3722
<g/>
,
und	w3724
dem	w3725
<g/>
(
Tit	w3727
<g/>
.
<g/>
)
Herrn	w3730
Sigismund	w3731
Grafen	w3732
von	w3733
Heissen=stein	w3734
<g/>
=
Kaiserl	w3736
<g/>
.
Königl	w3738
<g/>
.
Kammerern	w3740
vorbeyge=gangen	w3741
<g/>
=
<g/>
,
und	w3744
nach	w3745
solcher	w3746
Apartament	w3747
zu	w3748
Schön=brunn	w3749
<g/>
=
gehalten	w3751
worden	w3752
<g/>
.
</p>
<p id="p33">
Freytag	w3754
<g/>
,
den	w3756
6	w3757
<g/>
.
Julii	w3759
<g/>
,
haben	w3761
in	w3762
der	w3763
fruhe	w3764
beede	w3765
Kaiserl	w3766
<g/>
.
Majestäten	w3768
dem	w3769
gewöhnlichen	w3770
GOttes	w3771
<g/>
=
dienst	w3773
in	w3774
der	w3775
Schönbrunner	w3776
Schloß=kapellen	w3777
<g/>
=
beygewohnet	w3779
<g/>
,
und	w3781
sodann	w3782
mit	w3783
Staats	w3784
<g/>
=
und	w3786
Landes	w3787
<g/>
=
anligenheiten	w3789
sich	w3790
beschäftiget	w3791
<g/>
.
</p>
<p id="p34">
Nach	w3793
dem	w3794
bereits	w3795
sich	w3796
zusammen	w3797
gezogenen	w3798
Husaren	w3799
<g/>
=
campement	w3801
auf	w3802
der	w3803
Hochfürstl	w3804
<g/>
.
Ester=hazischen	w3806
<g/>
=
Herrschaft	w3808
Kitsee	w3809
<g/>
,
nächst	w3811
Preßburg	w3812
in	w3813
Hungarn	w3814
siehet	w3815
man	w3816
täglich	w3817
viele	w3818
<g/>
,
Bedürf=nussen	w3820
<g/>
=
von	w3822
hier	w3823
abführen	w3824
<g/>
,
wie	w3826
dann	w3827
imgleichen	w3828
hoch	w3829
ersagter	w3830
Fürst	w3831
zur	w3832
Bewirtung	w3833
des	w3834
aller=höchsten	w3835
<g/>
=
Kaiserl	w3837
<g/>
.
Hofes	w3839
ungemein	w3840
prächtige	w3841
Zu=bereitungen	w3842
<g/>
=
machen	w3844
lasset	w3845
<g/>
.
</p>
<p id="p35">
Aus	w3847
Allerhöchsten	w3848
Gnaden	w3849
Jhro	w3850
Kaiserl	w3851
<g/>
.
Königl	w3853
<g/>
.
Majestät	w3855
werden	w3856
in	w3857
der	w3858
Kaiserl	w3859
<g/>
.
Kön	w3861
<g/>
.
Academie	w3863
der	w3864
Mahler	w3865
<g/>
=
Bildhauer	w3867
<g/>
=
und	w3869
Bau=kunst	w3870
<g/>
=
heuer	w3872
wiederum	w3873
die	w3874
gewöhnliche	w3875
Præmia Praemia	w3876
ausgesetzet	w3877
<g/>
:
Wer	w3879
demnach	w3880
um	w3881
diese	w3882
zu	w3883
certi- ren	w3884
<g/>
-
gesinnet	w3886
ist	w3887
<g/>
,
der	w3889
hat	w3890
sich	w3891
bis	w3892
14	w3893
<g/>
.
Julii	w3895
al=dorten	w3896
<g/>
=
anzumelden	w3898
<g/>
,
und	w3900
einschreiben	w3901
zu	w3902
lassen	w3903
<g/>
.
</p>
<head id="hl21">
Lista	w3907
deren	w3908
Verstorbenen	w3909
zu	w3910
Wien	w3911
in	w3912
<g/>
=
und	w3914
vor	w3915
der	w3916
Stadt	w3917
<g/>
.
</head>
<head id="hl22">
Den	w3919
4	w3920
<g/>
.
Julii	w3922
<g/>
.
</head>
<head id="hl23">
Jn	w3924
der	w3925
Stadt	w3926
<g/>
.
</head>
<list id="">
Der	w3928
Wol	w3929
<g/>
=
edel	w3931
<g/>
=
geb	w3933
<g/>
.
und	w3935
Hochgelehrte	w3936
Hr	w3937
<g/>
.
Egydi	w3939
Casp	w3940
<g/>
.
v	w3942
<g/>
.
Pelser	w3944
<g/>
,
Hochfürstl	w3946
<g/>
.
Passaueris	w3948
<g/>
.
unter	w3950
Ernsis	w3951
<g/>
.
Con=sistorial	w3953
<g/>
=
<g/>
=
raht	w3956
<g/>
,
Senior	w3958
<g/>
,
und	w3960
Officii	w3961
Notarius	w3962
<g/>
,
wie	w3964
auch	w3965
Ritter	w3966
<g/>
=
lehens	w3968
<g/>
=
Secretar	w3970
<g/>
.
im	w3972
obern	w3973
Passauer	w3974
<g/>
=
hof	w3976
<g/>
,
73	w3978
<g/>
.
J	w3980
<g/>
.
</list>
<list id="">
Dem	w3982
Hrn	w3983
<g/>
.
Thom	w3985
<g/>
.
Lueger	w3987
<g/>
,
K	w3989
<g/>
.
K	w3991
<g/>
.
Haupt	w3993
<g/>
=
maut	w3995
Gegen=handl	w3996
<g/>
=
<g/>
.
<g/>
,
s	w4000
<g/>
.
T	w4002
<g/>
.
Theres	w4004
<g/>
.
<g/>
,
im	w4007
Pichlerisch	w4008
<g/>
.
H	w4010
<g/>
.
am	w4012
roten	w4013
Thurn	w4014
<g/>
,
alt	w4016
15	w4017
<g/>
.
J	w4019
<g/>
.
</list>
<list id="">
Joh	w4021
<g/>
.
Georg	w4023
Wäzl	w4024
<g/>
,
Hof	w4026
<g/>
=
befr	w4028
<g/>
.
klein	w4030
<g/>
=
Uhrmach	w4032
<g/>
.
im	w4034
Gat=terburgis	w4035
<g/>
=
<g/>
.
H	w4038
<g/>
.
am	w4040
alt	w4041
<g/>
.
Haarmarkt	w4043
<g/>
,
alt	w4045
85	w4046
<g/>
.
J	w4048
<g/>
.
</list>
<head id="hl24">
Vor	w4050
der	w4051
Stadt	w4052
<g/>
.
</head>
<list id="">
Dem	w4054
Toussaint	w4055
Brocard	w4056
<g/>
,
Kaiserl	w4058
<g/>
.
Leib	w4060
<g/>
=
lack	w4062
<g/>
.
<g/>
;
s	w4065
<g/>
.
K	w4067
<g/>
.
Jos	w4069
<g/>
.
beym	w4071
blech	w4072
<g/>
.
Thurn	w4074
auf	w4075
der	w4076
Wind	w4077
<g/>
=
mühl	w4079
<g/>
,
alt	w4081
2	w4082
<g/>
.
J	w4084
<g/>
.
</list>
<list id="">
Dem	w4086
Conrad	w4087
Plessinger	w4088
<g/>
,
Burgerl	w4090
<g/>
.
Strümpf	w4092
<g/>
=
würk	w4094
<g/>
.
<g/>
,
s	w4097
<g/>
.
W	w4099
<g/>
.
Eva	w4101
<g/>
,
beym	w4103
gold	w4104
Wetz	w4105
<g/>
.
am	w4107
Traidmarkt	w4108
<g/>
,
32	w4110
<g/>
.
J	w4112
<g/>
.
</list>
<list id="">
Dem	w4114
Ant	w4115
<g/>
.
Schmid	w4117
<g/>
,
Goldschm	w4119
<g/>
.
<g/>
,
s	w4122
<g/>
.
K	w4124
<g/>
.
Susan	w4126
<g/>
.
<g/>
,
beym	w4129
Englis	w4130
<g/>
.
Gruß	w4132
in	w4133
der	w4134
Josephst	w4135
<g/>
.
<g/>
,
alt	w4138
7	w4139
<g/>
.
v	w4141
<g/>
.
J	w4143
<g/>
.
</list>
<list id="">
Dem	w4145
Georg	w4146
Feldmayr	w4147
<g/>
,
Tischl	w4149
<g/>
.
<g/>
,
s	w4152
<g/>
.
W	w4154
<g/>
.
Charitas	w4156
<g/>
,
im	w4158
Lamheimis	w4159
<g/>
.
H	w4161
<g/>
.
in	w4163
der	w4164
Alster	w4165
<g/>
=
gas	w4167
<g/>
.
<g/>
,
alt	w4170
29	w4171
<g/>
.
J	w4173
<g/>
.
</list>
<list id="">
Dem	w4175
Jos	w4176
<g/>
.
Boll	w4178
<g/>
,
Burgerl	w4180
<g/>
.
Kotzen	w4182
<g/>
=
mach	w4184
<g/>
.
<g/>
,
s	w4187
<g/>
.
K	w4189
<g/>
.
Ant	w4191
<g/>
.
<g/>
,
beym	w4194
gold	w4195
<g/>
.
Ochsen	w4197
in	w4198
der	w4199
Leopoldst	w4200
<g/>
.
<g/>
,
alt	w4203
7	w4204
<g/>
.
v	w4206
<g/>
.
J	w4208
<g/>
.
</list>
<list id="">
Dem	w4210
Andre	w4211
Zehner	w4212
<g/>
,
Büchsen	w4214
<g/>
=
mach	w4216
<g/>
.
<g/>
,
s	w4219
<g/>
.
K	w4221
<g/>
.
Anna	w4223
<g/>
,
beym	w4225
silb	w4226
<g/>
.
Bärn	w4228
in	w4229
der	w4230
Leopoldst	w4231
<g/>
.
<g/>
,
alt	w4234
7	w4235
<g/>
.
v	w4237
<g/>
.
J	w4239
<g/>
.
Dem	w4241
Jos	w4242
<g/>
.
Zimmermann	w4244
<g/>
,
Tüchel	w4246
<g/>
=
mach	w4248
<g/>
.
<g/>
,
s	w4251
<g/>
.
K	w4253
<g/>
.
Jos	w4255
<g/>
.
<g/>
,
beym	w4258
von	w4259
<g/>
.
Kreutz	w4261
im	w4262
Liechtenth	w4263
<g/>
.
<g/>
,
alt	w4266
2	w4267
<g/>
.
J	w4269
<g/>
.
Dem	w4271
Georg	w4272
Kauner	w4273
<g/>
,
Holzhack	w4275
<g/>
.
<g/>
,
s	w4278
<g/>
.
K	w4280
<g/>
.
Math	w4282
<g/>
.
<g/>
,
beym	w4285
rot	w4286
<g/>
.
Krebs	w4288
<g/>
.
am	w4290
Neustift	w4291
<g/>
,
alt	w4293
5	w4294
<g/>
.
J	w4296
<g/>
.
Anna	w4298
Zererin	w4299
<g/>
,
im	w4301
langen	w4302
Keller	w4303
<g/>
,
alt	w4305
68	w4306
<g/>
.
J	w4308
<g/>
.
Summa	w4310
12	w4311
<g/>
.
Personen	w4313
darunter	w4314
6	w4315
<g/>
.
</list>
<head id="hl25">
Den	w4317
5	w4318
<g/>
.
Julii	w4320
<g/>
.
</head>
<head id="hl26">
Jn	w4322
der	w4323
Stadt	w4324
<g/>
.
</head>
<list id="">
Der	w4326
Wol	w4327
<g/>
=
edle	w4329
Hr	w4330
<g/>
.
Jos	w4332
<g/>
.
Prinz	w4334
<g/>
,
der	w4336
K	w4337
<g/>
.
K	w4339
<g/>
.
obristen	w4341
Ju=stitz	w4342
<g/>
=
<g/>
=
stelle	w4345
Cancellist	w4346
<g/>
,
im	w4348
Amonis	w4349
<g/>
.
H	w4351
<g/>
.
am	w4353
rot	w4354
<g/>
.
Thurn	w4356
<g/>
,
alt	w4358
61	w4359
<g/>
.
J	w4361
<g/>
.
Dem	w4363
Joh	w4364
<g/>
.
Klarmayr	w4366
<g/>
,
Burgerl	w4368
<g/>
.
Gold	w4370
<g/>
=
arbeit	w4372
<g/>
.
<g/>
,
s	w4375
<g/>
.
K	w4377
<g/>
.
Pe=lena	w4379
<g/>
=
<g/>
,
im	w4382
Freysinger	w4383
<g/>
=
hof	w4385
<g/>
,
alt	w4387
6	w4388
<g/>
.
v	w4390
<g/>
.
J	w4392
<g/>
.
Dem	w4394
Lorenz	w4395
Petl	w4396
<g/>
,
Hausmeist	w4398
<g/>
.
s	w4400
<g/>
.
K	w4402
<g/>
.
Theres	w4404
<g/>
.
<g/>
,
im	w4407
Rahr=gebis	w4408
<g/>
=
<g/>
.
H	w4411
<g/>
.
in	w4413
der	w4414
Wolzeil	w4415
<g/>
,
alt	w4417
6	w4418
<g/>
.
v	w4420
<g/>
.
J	w4422
<g/>
.
</list>
<head id="hl27">
Vor	w4424
der	w4425
Stadt	w4426
<g/>
.
</head>
<list id="">
Hr	w4428
<g/>
.
Andre	w4430
Bauman	w4431
<g/>
,
Burgerl	w4433
<g/>
.
Handels	w4435
<g/>
=
m	w4437
<g/>
.
<g/>
,
bey	w4440
dem	w4441
schwarz	w4442
<g/>
.
Adler	w4444
zu	w4445
Erdberg	w4446
<g/>
,
alt	w4448
52	w4449
<g/>
.
J	w4451
<g/>
.
Rosal	w4453
<g/>
.
Debin	w4455
<g/>
,
Wittwe	w4457
<g/>
,
im	w4459
Starhembergis	w4460
<g/>
.
Gart	w4462
<g/>
.
auf	w4464
der	w4465
Wied	w4466
<g/>
,
alt	w4468
77	w4469
<g/>
.
J	w4471
<g/>
.
Dem	w4473
Pet	w4474
<g/>
.
Bechman	w4476
<g/>
,
Orgel	w4478
<g/>
=
mach	w4480
<g/>
.
<g/>
,
s	w4483
<g/>
.
K	w4485
<g/>
.
Antonia	w4487
<g/>
,
bey	w4489
Sr	w4490
Leop	w4491
<g/>
.
ober	w4493
dem	w4494
Neustift	w4495
<g/>
,
alt	w4497
<g/>
.
2	w4499
<g/>
.
J	w4501
<g/>
.
Dorothe	w4503
Kastnerin	w4504
<g/>
,
Wittwe	w4506
<g/>
,
beym	w4508
grün	w4509
<g/>
.
Jäger	w4511
zu	w4512
Mätzleinstorf	w4513
<g/>
,
alt	w4515
57	w4516
<g/>
.
J	w4518
<g/>
.
Wolf	w4520
<g/>
.
Hepfl	w4522
<g/>
,
Schuh	w4524
<g/>
=
mach	w4526
<g/>
.
beym	w4528
schwarz	w4529
<g/>
.
Adler	w4531
bey	w4532
St	w4533
<g/>
.
Ulrich	w4535
<g/>
,
alt	w4537
46	w4538
<g/>
.
J	w4540
<g/>
.
Dem	w4542
Joh	w4543
<g/>
.
Mitman	w4545
<g/>
,
Lust	w4547
<g/>
=
gart	w4549
<g/>
.
<g/>
,
s	w4552
<g/>
.
W	w4554
<g/>
.
Maria	w4556
<g/>
,
im	w4558
Hein=mühl	w4559
<g/>
=
<g/>
-
gart	w4562
<g/>
.
an	w4564
der	w4565
Wien	w4566
<g/>
,
alt	w4568
63	w4569
<g/>
.
J	w4571
<g/>
.
Joh	w4573
<g/>
.
Sten	w4575
<g/>
,
Reit	w4577
<g/>
=
kn	w4579
<g/>
.
<g/>
,
in	w4582
Schotten	w4583
<g/>
=
zim	w4585
<g/>
.
bey	w4587
St	w4588
<g/>
.
Ulrich	w4590
<g/>
,
alt	w4592
42	w4593
<g/>
.
J	w4595
<g/>
.
Cathar	w4597
<g/>
.
Emigin	w4599
<g/>
,
im	w4601
arm	w4602
<g/>
.
H	w4604
<g/>
.
oberm	w4606
Neustift	w4607
<g/>
,
84	w4609
<g/>
.
J	w4611
<g/>
.
Summa	w4613
11	w4614
<g/>
.
Personen	w4616
<g/>
,
darunter	w4618
3	w4619
<g/>
.
Kinder	w4621
<g/>
.
</list>
<head id="hl28">
Den	w4623
6	w4624
<g/>
.
Julii	w4626
<g/>
.
</head>
<head id="hl29">
Jn	w4628
der	w4629
Stadt	w4630
<g/>
.
</head>
<list id="">
Dem	w4632
Bernh	w4633
<g/>
.
Köllner	w4635
<g/>
,
Burgerl	w4637
<g/>
.
Schlos	w4639
<g/>
.
<g/>
,
s	w4642
<g/>
.
T	w4644
<g/>
.
Anna	w4646
<g/>
,
beym	w4648
weis	w4649
<g/>
.
Hahn	w4651
im	w4652
tief	w4653
<g/>
.
Graben	w4655
<g/>
,
alt	w4657
19	w4658
<g/>
.
J	w4660
<g/>
.
Dem	w4662
Joh	w4663
<g/>
.
Sinamanowitsch	w4665
<g/>
,
Lack	w4667
<g/>
.
<g/>
,
s	w4670
<g/>
.
K	w4672
<g/>
.
Anna	w4674
<g/>
,
im	w4676
Binderis	w4677
<g/>
.
H	w4679
<g/>
.
am	w4681
rot	w4682
<g/>
.
Thurn	w4684
<g/>
,
alt	w4686
5	w4687
<g/>
.
v	w4689
<g/>
.
J	w4691
<g/>
.
</list>
<head id="hl30">
Vor	w4693
der	w4694
Stadt	w4695
<g/>
.
</head>
<list id="">
Die	w4697
Wol	w4698
<g/>
=
edel	w4700
<g/>
=
geb	w4702
<g/>
.
Frle	w4704
Maria	w4705
Clara	w4706
v	w4707
<g/>
.
Drohn	w4709
<g/>
,
in	w4711
ih=rem	w4712
<g/>
=
H	w4714
<g/>
.
in	w4716
der	w4717
Unger	w4718
<g/>
=
gas	w4720
<g/>
.
<g/>
,
alt	w4723
15	w4724
<g/>
.
J	w4726
<g/>
.
Hr	w4728
<g/>
.
Hermannus	w4730
Werner	w4731
<g/>
,
Provisor	w4733
in	w4734
der	w4735
Apotheck	w4736
<g/>
.
bey	w4738
St	w4739
<g/>
.
Ulrich	w4741
<g/>
,
alda	w4743
<g/>
,
alt	w4745
51	w4746
<g/>
.
J	w4748
<g/>
.
Dem	w4750
Math	w4751
<g/>
.
Berner	w4753
<g/>
,
Burgerl	w4755
<g/>
.
Gold	w4757
<g/>
=
arbeit	w4759
<g/>
.
<g/>
,
s	w4762
<g/>
.
K	w4764
<g/>
.
Elis=sab	w4766
<g/>
=
<g/>
.
<g/>
,
beym	w4770
grün	w4771
<g/>
.
Ygel	w4773
bey	w4774
Maria	w4775
<g/>
=
hülf	w4777
<g/>
,
alt	w4779
2	w4780
<g/>
.
J	w4782
<g/>
.
Franz	w4784
Müllner	w4785
<g/>
,
Wirt	w4787
<g/>
,
in	w4789
s	w4790
<g/>
.
H	w4792
<g/>
.
zu	w4794
Nicolstorf	w4795
<g/>
,
54	w4797
<g/>
.
J	w4799
<g/>
.
Dem	w4801
Marx	w4802
Windgärner	w4803
<g/>
,
Kais	w4805
<g/>
.
Garde	w4807
<g/>
=
schweitz	w4809
<g/>
,
s	w4811
<g/>
.
K	w4813
<g/>
.
Elisab	w4815
<g/>
.
<g/>
,
beym	w4818
gold	w4819
<g/>
.
Löw	w4821
<g/>
.
auf	w4823
der	w4824
Laimgr	w4825
<g/>
.
<g/>
,
alt	w4828
2	w4829
<g/>
.
J	w4831
<g/>
.
Dem	w4833
Leonh	w4834
<g/>
.
Wetzl	w4836
<g/>
,
s	w4838
<g/>
.
K	w4840
<g/>
.
Franz	w4842
<g/>
,
im	w4844
Vögel	w4845
<g/>
=
kramme=ris	w4847
<g/>
=
<g/>
.
H	w4850
<g/>
.
am	w4852
Spitalberg	w4853
<g/>
,
alt	w4855
2	w4856
<g/>
.
J	w4858
<g/>
.
Agnes	w4860
Amonin	w4861
<g/>
,
Wittwe	w4863
<g/>
,
beym	w4865
Stuck	w4866
<g/>
=
gies	w4868
<g/>
.
auf	w4870
der	w4871
Wendelst	w4872
<g/>
.
<g/>
,
alt	w4875
36	w4876
J	w4877
<g/>
.
Dem	w4879
Jacob	w4880
Fuhrman	w4881
<g/>
,
Tagw	w4883
<g/>
.
<g/>
,
s	w4886
<g/>
.
W	w4888
<g/>
.
Anna	w4890
<g/>
,
bey	w4892
denen	w4893
2	w4894
<g/>
.
Schwert	w4896
<g/>
.
im	w4898
Liechtenth	w4899
<g/>
.
<g/>
,
alt	w4902
52	w4903
J	w4904
<g/>
.
Jos	w4906
<g/>
.
Tull	w4908
<g/>
,
Tagw	w4910
<g/>
.
<g/>
,
im	w4913
Dopsis	w4914
<g/>
.
H	w4916
<g/>
.
zu	w4918
Erdberg	w4919
<g/>
,
40	w4921
<g/>
.
J	w4923
<g/>
.
Joh	w4925
<g/>
.
Ellerman	w4927
<g/>
,
alt	w4929
55	w4930
<g/>
.
J	w4932
<g/>
.
<g/>
,
bey	w4935
denen	w4936
FF	w4937
<g/>
.
Mis	w4939
<g/>
.
Summa	w4941
12	w4942
<g/>
.
Personen	w4944
<g/>
,
darunter	w4946
4	w4947
<g/>
.
Kinder	w4949
<g/>
.
</list>
<p id="p36">
Es	w4951
wird	w4952
den	w4953
11ten	w4954
Julii	w4955
1753	w4956
<g/>
.
und	w4958
die	w4959
da=rauf	w4960
<g/>
=
folgende	w4962
Täge	w4963
eine	w4964
Licitation	w4965
<g/>
,
in	w4967
dem	w4968
so	w4969
genannten	w4970
Margareten	w4971
<g/>
=
hof	w4973
auf	w4974
dem	w4975
alten	w4976
Bauern	w4977
<g/>
=
markt	w4979
im	w4980
ersten	w4981
Stock	w4982
<g/>
,
bestehend	w4984
<g/>
:
in	w4986
kostbaren	w4987
und	w4988
schönen	w4989
Gemählden	w4990
<g/>
,
Silber	w4992
<g/>
=
ge=schmuck	w4994
<g/>
=
<g/>
,
Perlen	w4997
<g/>
,
verschiedenen	w4999
schönen	w5000
Galan=terien	w5001
<g/>
=
<g/>
,
goldenen	w5004
Uhren	w5005
<g/>
,
in	w5007
Kupfer	w5008
<g/>
,
weisser	w5010
Wäsch	w5011
<g/>
,
Spitzen	w5013
<g/>
,
etwas	w5015
Frauen	w5016
<g/>
=
kleidern	w5018
<g/>
,
auch	w5020
Manns	w5021
<g/>
=
vesten	w5023
<g/>
,
schönen	w5025
Spiegeln	w5026
<g/>
,
Sesseln	w5028
<g/>
,
Tische	w5030
<g/>
,
Kästen	w5032
und	w5033
mehrer	w5034
dergleichen	w5035
Haus=einrichtungen	w5036
<g/>
=
<g/>
,
Porzelan	w5039
und	w5040
anderes	w5041
Geschirr	w5042
<g/>
,
dem	w5044
Meistbietenden	w5045
verkauft	w5046
werden	w5047
<g/>
.
</p>
<p id="p37">
Den	w5049
18	w5050
<g/>
.
Julii	w5052
<g/>
,
und	w5054
folgende	w5055
Täge	w5056
werden	w5057
mit	w5058
Verwilligung	w5059
einer	w5060
Löbl	w5061
<g/>
.
Universität	w5063
<g/>
,
in	w5065
der	w5066
Karntner	w5067
<g/>
=
Strassen	w5069
im	w5070
Bockischen	w5071
Haus	w5072
über	w5073
die	w5074
Haupt	w5075
<g/>
=
stiegen	w5077
auf	w5078
die	w5079
Gassen	w5080
im	w5081
an=derten	w5082
<g/>
=
Stock	w5084
<g/>
,
Vormittag	w5086
von	w5087
9	w5088
<g/>
.
bis	w5090
12	w5091
Uhr	w5092
<g/>
,
Nachmittag	w5094
von	w5095
3	w5096
<g/>
.
bis	w5098
6	w5099
<g/>
.
Uhr	w5101
<g/>
,
unterschiede=ne	w5103
<g/>
=
<g/>
(
von	w5106
berühmt	w5107
<g/>
=
und	w5109
ersten	w5110
Meisteren	w5111
<g/>
)
Mahle=reyen	w5113
<g/>
=
<g/>
,
als	w5116
von	w5117
Welschen	w5118
<g/>
,
Niederländischen	w5120
<g/>
,
Französischen	w5122
<g/>
,
Teutschen	w5124
<g/>
,
und	w5126
andern	w5127
Virtuo- sen	w5128
<g/>
-
<g/>
,
besonders	w5131
ein	w5132
Wol	w5133
<g/>
=
conservirter	w5135
Raphael	w5136
Urbin	w5137
<g/>
,
ein	w5139
Michael	w5140
Angelo	w5141
<g/>
,
sodann	w5143
ein	w5144
ganzer	w5145
Kasten	w5146
<g/>
,
mit	w5148
Curiossis	w5149
<g/>
,
wie	w5151
auch	w5152
ein	w5153
be=sonderer	w5154
<g/>
=
Glieder	w5156
<g/>
=
Mann	w5158
<g/>
,
nebst	w5160
seiner	w5161
Rüstung	w5162
und	w5163
anderen	w5164
Sachen	w5165
an	w5166
dem	w5167
plus	w5168
offerenti	w5169
verkauffet	w5170
werden	w5171
<g/>
.
</p>
<p id="p38">
Auf	w5173
nächst	w5174
<g/>
=
künftigen	w5176
12ten	w5177
Julii	w5178
Fruhe	w5179
um	w5180
9	w5181
<g/>
.
Uhr	w5183
werden	w5184
auf	w5185
dem	w5186
Kaiserl	w5187
<g/>
.
Königl	w5189
<g/>
.
Stadt	w5191
<g/>
=
und	w5193
Land	w5194
<g/>
=
Gericht	w5196
verschiedene	w5197
Wäsche	w5198
<g/>
,
und	w5200
Kleider	w5201
<g/>
-
Effecten	w5203
denen	w5204
Meistbiettenden	w5205
verkauf=fet	w5206
<g/>
=
werden	w5208
<g/>
.
</p>
<p id="p39">
NB	w5210
<g/>
.
Il	w5212
se	w5213
trouvent	w5214
chen	w5215
Monsr	w5216
<g/>
.
Briffaut	w5218
Libraire	w5219
<g/>
.
plusieurs	w5221
nouveautez	w5222
trés	w5223
conside-rables	w5224
<g/>
-
<g/>
,
que	w5227
chacun	w5228
peut	w5229
voir	w5230
dans	w5231
sa	w5232
Bi=bliothéque	w5233
<g/>
=
<g/>
,
im	w5236
Stadt	w5237
<g/>
-
anwaltischen	w5239
Haus	w5240
au	w5241
premier	w5242
Etage	w5243
<g/>
:
vis	w5245
<g/>
-
à	w5247
vis	w5248
les	w5249
Peres	w5250
Caje=tans	w5251
<g/>
=
<g/>
:
sur	w5254
le	w5255
haut	w5256
Pont	w5257
<g/>
.
</p>
<p id="p40">
La	w5259
Science	w5260
des	w5261
Personnes	w5262
de	w5263
Cour	w5264
<g/>
,
d'epée	w5266
<g/>
&
de	w5268
robe	w5269
avec	w5270
nombres	w5271
de	w5272
figures	w5273
<g/>
;
qui	w5275
embrassent	w5276
toutes	w5277
les	w5278
Sciences	w5279
<g/>
;
<g/>
&
la	w5282
me-chanie	w5283
<g/>
-
<g/>
;
c'est	w5286
une	w5287
encyclopedie	w5288
<g/>
,
qui	w5290
ren-ferme	w5291
<g/>
-
tout	w5293
ce	w5294
que	w5295
la	w5296
noblesse	w5297
doit	w5298
sa-voir	w5299
<g/>
-
<g/>
&
s'instruire	w5302
<g/>
,
dedié	w5304
à	w5305
S	w5306
<g/>
.
A	w5308
<g/>
.
S	w5310
<g/>
.
l'Archi-duc	w5312
<g/>
-
Joseph	w5314
en	w5315
18	w5316
<g/>
.
Vol	w5318
<g/>
.
en	w5320
Feuille	w5321
à	w5322
23	w5323
<g/>
.
fl	w5325
<g/>
.
ou	w5327
peut	w5328
l'avoir	w5329
aussi	w5330
aussirelié	w5331
<g/>
.
</p>
<p id="p41">
Carte	w5333
Militaire	w5334
<g/>
,
ou	w5336
Liste	w5337
Générale	w5338
des	w5339
Troupes	w5340
de	w5341
Françe	w5342
<g/>
,
pied	w5344
en	w5345
Janvier	w5346
1753	w5347
<g/>
.
à	w5349
1	w5350
<g/>
.
fl	w5352
<g/>
.
8	w5354
<g/>
.
Kr	w5356
<g/>
.
</p>
<p id="p42">
Ordonance	w5358
du	w5359
Roi	w5360
<g/>
,
pour	w5362
le	w5363
Service	w5364
de	w5365
l'Infanterie	w5366
en	w5367
Campagne	w5368
du	w5369
17	w5370
<g/>
.
Fevrier	w5372
1753	w5373
<g/>
.
</p>
<p id="p43">
Subordination	w5375
sur	w5376
l'exercice	w5377
<g/>
,
<g/>
&
sur	w5380
l'art	w5381
militaire	w5382
<g/>
,
ou	w5384
il	w5385
est	w5386
parté	w5387
l'exercice	w5388
de	w5389
Prusse	w5390
<g/>
,
d'Aujourd'huy	w5392
<g/>
,
<g/>
&
de	w5395
toutes	w5396
les	w5397
puissances	w5398
de	w5399
l'Europe	w5400
in	w5401
8vo	w5402
<g/>
.
1653	w5404
<g/>
.
</p>
<p id="p44">
Droit	w5406
publie	w5407
Germanique	w5408
<g/>
,
in	w5410
8vo	w5411
<g/>
.
relié	w5413
<g/>
,
Vol	w5415
<g/>
