<doc id="wr_1758-01-28" attrs="word" year="1758" month="01" day="28" corpus="2">
<head id="h2_d214e2819">
Altona,	w1_d214e2823
einen	w5_d214e10034
kleinen	w7_d214e10037
Fischer=nachen	w9_d214e10040
mit	w1_d214e10045
8.	w3_d214e10048
Mann	w5_d214e10051
lauter	w7_d214e10054
alten	w9_d214e10057
Leuten	w11_d214e10060
in	w13_d214e10064
den	w15_d214e10067
al	w17_d214e10070
dasigen	w1_d214e10075
Hafenkglücklich	w3_d214e10078
einlauffen	w5_d214e10081
gesehen.	w7_d214e10084
</p>
<p id="p22_d214e10087">
Von	w1_d214e10091
Londen:	w3_d214e10094
daß	w5_d214e10097
man	w7_d214e10100
am	w9_d214e10103
Engländi	w11_d214e10106
schen	w1_d214e10111
Hof	w3_d214e10114
diesen	w5_d214e10117
Winter	w7_d214e10120
über	w9_d214e10123
mit	w11_d214e10126
Frankreich	w13_d214e10130
ein	w1_d214e10135
Cartel,	w3_d214e10138
zur	w5_d214e10141
Auswechslung	w7_d214e10144
aller	w9_d214e10147
derer	w11_d214e10150
Kriegs=gefangenen,	w1_d214e10156
welche	w3_d214e10159
auch	w5_d214e10162
noch	w7_d214e10165
vor	w9_d214e10168
der	w1_d214e10173
Kriegs=erklärung	w3_d214e10176
gemacht	w5_d214e10179
worden,	w7_d214e10182
errich	w9_d214e10185
ten	w1_d214e10190
wolle.	w3_d214e10193
Den	w5_d214e10196
6.	w7_d214e10199
expedirte	w9_d214e10202
das	w11_d214e10205
Ministe	w13_d214e10209
rium	w1_d214e10214
einen	w3_d214e10217
Courier	w5_d214e10220
an	w7_d214e10223
den	w9_d214e10226
Obristen	w11_d214e10229
York	w13_d214e10233
im	w15_d214e10236
Haag,	w1_d214e10242
dessen	w3_d214e10245
Depeschen	w5_d214e10248
sehr	w7_d214e10251
important	w9_d214e10254
seyn	w11_d214e10257
sollen.	w1_d214e10262
Den	w3_d214e10265
5.	w5_d214e10268
dieses	w7_d214e10271
Abends	w9_d214e10274
um	w11_d214e10277
10.	w13_d214e10281
Uhr	w15_d214e10284
wurde	w1_d214e10289
der	w3_d214e10292
Leichnam	w5_d214e10295
Jhrer	w7_d214e10298
Königl.	w9_d214e10301
Hoheit,	w11_d214e10304
der	w1_d214e10309
Prinzeßin	w3_d214e10312
Caroline,	w5_d214e10315
nachdem	w7_d214e10318
derselbe	w9_d214e10321
auf	w11_d214e10324
einem	w1_d214e10330
Parade=beht	w3_d214e10333
gelegen,	w5_d214e10336
in	w7_d214e10339
der	w9_d214e10342
Capelle	w11_d214e10345
Henrici	w1_d214e10350
des	w3_d214e10353
VII.	w5_d214e10356
in	w7_d214e10359
der	w9_d214e10362
Abtey	w11_d214e10365
von	w13_d214e10369
West	w15_d214e10372
münster	w1_d214e10377
beygesetzet.	w3_d214e10380
Vor	w5_d214e10383
der	w7_d214e10386
Leiche	w9_d214e10389
her	w11_d214e10392
gien	w13_d214e10396
gen	w1_d214e10401
die	w3_d214e10404
Waffen=träger	w5_d214e10407
und	w7_d214e10410
verschiedene	w9_d214e10413
Be	w11_d214e10416
amte	w1_d214e10422
des	w3_d214e10425
Königl.	w5_d214e10428
Hauses,	w7_d214e10431
und	w9_d214e10434
nach	w11_d214e10437
denen	w13_d214e10441
selben	w1_d214e10446
die	w3_d214e10449
Staats=damen	w5_d214e10452
der	w7_d214e10455
verstorbenen	w9_d214e10458
Prinzeßin.	w1_d214e10463
Der	w3_d214e10466
Sarg	w5_d214e10469
war	w7_d214e10472
mit	w9_d214e10475
schwarzen	w11_d214e10478
Sammet	w1_d214e10483
überzogen,	w3_d214e10486
und	w5_d214e10489
mit	w7_d214e10492
8.	w9_d214e10495
Wappen	w11_d214e10498
schildern	w1_d214e10504
gezieret.	w3_d214e10507
</p>
<head id="h2_d214e10513">
Wien	w1_d214e10517
28.	w3_d214e10520
Januarii	w5_d214e10523
1758.	w7_d214e10526
</head>
<p id="p4_d214e10529">
Littwochs	w1_d214e10533
den	w3_d214e10536
25.	w5_d214e10539
dieses	w7_d214e10542
als	w9_d214e10545
am	w11_d214e10548
Fest	w13_d214e10552
Pauli	w15_d214e10555
2.v	w1_d214e10560
Bekehrung	w3_d214e10563
warteten	w5_d214e10566
beyde	w7_d214e10569
Kaiserl.	w9_d214e10572
Majestäten	w1_d214e10577
dem	w3_d214e10580
gewöhnlichen	w5_d214e10583
GOttes	w7_d214e10586
dienst;	w9_d214e10589
Donnerstags	w1_d214e10595
und	w3_d214e10598
gestrigen	w5_d214e10601
Freytags	w7_d214e10604
aber	w9_d214e10607
denen	w11_d214e10610
Staats	w1_d214e10615
und	w3_d214e10618
Landes=angelegenheiten	w5_d214e10621
ab	w7_d214e10624
wie	w1_d214e10629
dann	w3_d214e10632
Jnsonderheit	w5_d214e10635
gestern	w7_d214e10638
eine	w9_d214e10641
grosse	w11_d214e10644
Militar=conferenz	w1_d214e10649
gewesen.	w3_d214e10652
</p>
<p id="p6_d214e10655">
Ubrigens	w1_d214e10659
ist	w3_d214e10662
letztern	w5_d214e10665
Sonntags	w7_d214e10668
bey	w9_d214e10671
Hof	w11_d214e10674
nachfolgende	w1_d214e10679
Militar=promotion	w3_d214e10682
kund	w5_d214e10685
gemacht	w7_d214e10688
worden.	w1_d214e10693
</p>
<list id="l8_d214e10696">
Zum	w1_d214e10700
Feld=marschallen.	w3_d214e10703
Prinz	w1_d214e10708
von	w3_d214e10711
Zweybrücken.	w5_d214e10714
Zu	w1_d214e10719
General	w3_d214e10722
feld=zeugmeistern.	w5_d214e10725
Baaden=durlach,	w1_d214e10731
Ahremberg,	w3_d214e10734
Sineere,	w5_d214e10737
Andlau,	w1_d214e10742
Puebla,	w3_d214e10745
Bohn,	w5_d214e10748
Clerici.	w7_d214e10751
Zu	w1_d214e10756
Generalen	w3_d214e10759
der	w5_d214e10762
Cavallerie.	w7_d214e10765
Buccow,	w1_d214e10770
Odonell,	w3_d214e10773
Althann,	w5_d214e10776
Spada,	w7_d214e10779
Kol	w9_d214e10782
</list>
<p id="p10_d214e10786">
lowrath	w1_d214e10790
Em.,	w3_d214e10793
Wölwarth,	w5_d214e10796
Daun	w7_d214e10799
Be	w9_d214e10802
nedict.	w1_d214e10807
</p>
<list id="l12_d214e10811">
Zu	w1_d214e10815
Feld=marschall=leutenants.	w3_d214e10818
d'Aynse,	w1_d214e10823
Ockelly,	w3_d214e10826
Lascy,	w5_d214e10829
Cavriani,	w7_d214e10832
Wul	w9_d214e10835
fen,	w1_d214e10840
Guasco	w3_d214e10843
der	w5_d214e10846
ältere,	w7_d214e10849
Bathyani	w9_d214e10852
Adam,	w11_d214e10855
Clefs,	w1_d214e10861
Aspermont=lynden,	w3_d214e10864
Schallenberg,	w5_d214e10867
Lantieri,	w1_d214e10872
Lobkowitz	w3_d214e10875
Carl,	w5_d214e10878
Kleinholt.	w7_d214e10881
Zu	w1_d214e10886
General=feld=wacht=meistern.	w3_d214e10889
Gaisrugg,	w1_d214e10894
Herberstein,	w3_d214e10897
Vitelesky,	w5_d214e10900
Guasco	w7_d214e10903
der	w1_d214e10909
Jüngere,	w3_d214e10912
Hartenegg,	w5_d214e10915
Vogelsang,	w7_d214e10918
Mi	w9_d214e10921
gazzi,	w1_d214e10926
Tillier,	w3_d214e10929
Stahremberg	w5_d214e10932
Joseph,	w7_d214e10935
Kra	w9_d214e10938
mer,	w1_d214e10943
Szigan,	w3_d214e10946
Voghera,	w5_d214e10949
Bettoni,	w7_d214e10952
Gourcy,	w9_d214e10955
Lobkowitz	w1_d214e10960
Joseph,	w3_d214e10963
Rehbach,	w5_d214e10966
d'Ayasass,	w7_d214e10969
Esterhasy	w1_d214e10975
Emreich.	w3_d214e10978
</list>
<head id="h2_d214e10985">
Lista	w1_d214e10989
deren	w3_d214e10992
Verstorbenen	w5_d214e10995
zu	w7_d214e10998
Wien	w9_d214e11001
in	w1_d214e11006
und	w3_d214e11009
vor	w5_d214e11012
der	w7_d214e11015
Stadt.	w9_d214e11018
Den	w1_d214e11023
24.	w3_d214e11026
Januarii.	w5_d214e11029
Jn	w1_d214e11035
der	w3_d214e11038
Stadt.	w5_d214e11041
</head>
<list id="l4_d214e11044">
Dem	w1_d214e11048
Hrn.	w3_d214e11051
Ant.	w5_d214e11054
Huter,	w7_d214e11057
Burgerl.	w9_d214e11060
Handels=m.,	w11_d214e11063
s.	w13_d214e11067
K.	w15_d214e11070
Ant.,	w1_d214e11075
beym	w3_d214e11078
gold.	w5_d214e11081
Wagen	w7_d214e11084
am	w9_d214e11087
alt.	w11_d214e11090
Bauren=m.,	w13_d214e11094
alt	w1_d214e11099
3.	w3_d214e11102
J.	w5_d214e11105
Bernh.	w1_d214e11111
Fischer,	w3_d214e11114
Burgerl.	w5_d214e11117
Schneid.,	w7_d214e11120
im	w9_d214e11123
Eberlis.	w11_d214e11126
H.	w13_d214e11130
im	w1_d214e11135
tief.	w3_d214e11138
Grab,	w5_d214e11141
alt	w7_d214e11144
59.	w9_d214e11147
J.	w11_d214e11150
Math.	w1_d214e11155
Prelß,	w3_d214e11158
Lack.,	w5_d214e11161
im	w7_d214e11164
Dorothe=hof,	w9_d214e11167
alt	w11_d214e11170
40.	w13_d214e11174
J.	w15_d214e11177
Lorenz	w1_d214e11182
Wilhelm,	w3_d214e11185
Gräu=kn.,	w5_d214e11188
beym	w7_d214e11191
Wall=sisch	w9_d214e11194
in	w11_d214e11197
der	w13_d214e11201
Krugerstr.,	w1_d214e11207
alt	w3_d214e11210
38.	w5_d214e11213
J.	w7_d214e11216
Urban	w1_d214e11221
Sieß,	w3_d214e11224
im	w5_d214e11227
K.	w7_d214e11230
K.	w9_d214e11233
Hof=spit.,	w11_d214e11236
alt	w13_d214e11240
92.	w15_d214e11243
J.	w17_d214e11246
</list>
<head id="h2_d214e11254">
Vor	w1_d214e11258
der	w3_d214e11261
Stadt.	w5_d214e11264
</head>
<list id="l4_d214e11267">
Dem	w1_d214e11271
Hrn.	w3_d214e11274
Franz	w5_d214e11277
Schippel,	w7_d214e11280
K.	w9_d214e11283
K.	w11_d214e11286
Hartsch.=rott=m.,	w13_d214e11290
s.	w1_d214e11295
Fr.	w3_d214e11298
Anna	w5_d214e11301
Cathar.,	w7_d214e11304
beym	w9_d214e11307
grün.	w11_d214e11310
Ygel	w13_d214e11314
bey	w15_d214e11317
Ma	w17_d214e11320
ria=hülf,	w1_d214e11325
alt	w3_d214e11328
54.	w5_d214e11331
J.	w7_d214e11334
Dem	w1_d214e11340
Hrn.	w3_d214e11343
Joh.	w5_d214e11346
Kronschnabel,	w7_d214e11349
Regens=Chori,	w9_d214e11352
s.	w11_d214e11355
T.	w13_d214e11359
Josepha,	w1_d214e11364
im	w3_d214e11367
Keylis.	w5_d214e11370
H.	w7_d214e11373
auf	w9_d214e11376
der	w11_d214e11379
Landst.,	w13_d214e11383
12.	w15_d214e11386
J.	w17_d214e11389
Dem	w1_d214e11394
Elias	w3_d214e11397
Nadlinger,	w5_d214e11400
Burgerl.	w7_d214e11403
Land-kutsch.,	w9_d214e11406
s.	w11_d214e11409
Ehew.	w1_d214e11414
Anna	w3_d214e11417
Maria,	w5_d214e11420
in	w7_d214e11423
s.	w9_d214e11426
H.	w11_d214e11429
in	w13_d214e11433
der	w15_d214e11436
Leopoldst.,	w17_d214e11439
alt	w1_d214e11445
24.	w3_d214e11448
J.	w5_d214e11451
Dem	w1_d214e11456
Joh.	w3_d214e11459
Kohlberger,	w5_d214e11462
Schneid.,	w7_d214e11465
s.	w9_d214e11468
W.	w11_d214e11471
Elisab.	w13_d214e11475
bey	w15_d214e11478
dem	w1_d214e11483
Grund=stein	w3_d214e11486
in	w5_d214e11489
der	w7_d214e11492
Josephst.,	w9_d214e11495
alt	w11_d214e11498
53	w13_d214e11502
J.	w15_d214e11505
Math.	w1_d214e11510
Lechner,	w3_d214e11513
Fuhr=m.,	w5_d214e11516
beym	w7_d214e11519
gold.	w9_d214e11522
Schif	w11_d214e11525
zu	w13_d214e11529
Mätz	w15_d214e11532
leinstorf,	w1_d214e11538
alt	w3_d214e11541
54.	w5_d214e11544
J.	w7_d214e11547
Maria	w1_d214e11552
Fischerin,	w3_d214e11555
Soldaten=weib,	w5_d214e11558
im	w7_d214e11561
Brandweine	w9_d214e11564
ris.	w1_d214e11569
H.	w3_d214e11572
auf	w5_d214e11575
der	w7_d214e11578
Wied.,	w9_d214e11581
alt	w11_d214e11584
60.	w13_d214e11588
J.	w15_d214e11591
</list>
<head id="h2_d214e11598">
Summa	w1_d214e11602
11.	w3_d214e11605
Persoy.,	w5_d214e11608
darunter	w7_d214e11611
1.	w9_d214e11614
Kind.	w11_d214e11617
Den	w1_d214e11622
25.	w3_d214e11625
Januarii.	w5_d214e11628
Jn	w1_d214e11633
der	w3_d214e11636
Stadt.	w5_d214e11639
</head>
<list id="l4_d214e11642">
Dem	w1_d214e11646
Joh.	w3_d214e11649
Rigler,	w5_d214e11652
Burgerl.	w7_d214e11655
Schwert=seg.,	w9_d214e11658
s.	w11_d214e11661
K.	w13_d214e11665
Jos.,	w1_d214e11670
im	w3_d214e11673
klein.	w5_d214e11676
Ofen=loch,	w7_d214e11679
alt	w9_d214e11682
1.	w11_d214e11685
J.	w13_d214e11689
Elisab.	w1_d214e11694
Ernstin,	w3_d214e11697
Wittwe,	w5_d214e11700
beym	w7_d214e11703
Winter	w9_d214e11706
unter	w11_d214e11709
denen	w13_d214e11713
Tuch=laub.,	w1_d214e11719
alt	w3_d214e11722
62.	w5_d214e11725
J.	w7_d214e11728
Dem	w1_d214e11733
Carl	w3_d214e11736
Freytag,	w5_d214e11739
Lack.,	w7_d214e11742
s.	w9_d214e11745
K.	w11_d214e11748
Jos.,	w13_d214e11752
im	w15_d214e11755
Tischleris.	w17_d214e11758
H.	w1_d214e11763
am	w3_d214e11766
rot.	w5_d214e11769
Thurn,	w7_d214e11772
alt	w9_d214e11775
3.	w11_d214e11778
J.	w13_d214e11782
</list>
<head id="h4_d214e11799">
Vor	w1_d214e11803
der	w3_d214e11806
Stadt.	w5_d214e11809
</head>
<list id="l6_d214e11812">
Der	w1_d214e11816
(Tit)	w3_d214e11819
Hr.	w5_d214e11822
Jos.	w7_d214e11825
Claudi	w9_d214e11828
v.	w11_d214e11831
Claudenburg,	w13_d214e11835
Haupt	w15_d214e11838
m.	w1_d214e11843
unterm	w3_d214e11846
Lobl.	w5_d214e11849
Erz=herzog	w7_d214e11852
Jos.	w9_d214e11855
Dragoner=reg.,	w11_d214e11858
bey	w1_d214e11863
der	w3_d214e11866
weis.	w5_d214e11869
Ros.	w7_d214e11872
in	w9_d214e11875
der	w11_d214e11878
Lropoldst.,	w13_d214e11882
alt	w15_d214e11885
51.	w17_d214e11888
J.	w19_d214e11891
Dem	w1_d214e11897
Hrn.	w3_d214e11900
Joh.	w5_d214e11903
Georg	w7_d214e11906
Tendler,	w9_d214e11909
N.	w11_d214e11912
Oe.	w13_d214e11916
Landsch.	w15_d214e11919
cancellist.,	w1_d214e11924
s.	w3_d214e11927
K.	w5_d214e11930
Anna	w7_d214e11933
Maria,	w9_d214e11936
in	w11_d214e11939
s.	w13_d214e11943
H.	w15_d214e11946
in	w17_d214e11949
der	w19_d214e11952
Josephst.,	w1_d214e11957
alt	w3_d214e11960
3.	w5_d214e11963
J.	w7_d214e11966
Dem	w1_d214e11971
Mart.	w3_d214e11974
Weggiesser,	w5_d214e11977
Burgerl.	w7_d214e11980
Bad.,	w9_d214e11983
s.	w11_d214e11986
K.	w13_d214e11990
Ca	w15_d214e11993
thar.,	w1_d214e11999
beym	w3_d214e12002
gold.	w5_d214e12005
Brunn	w7_d214e12008
zu	w9_d214e12011
Mätzleinst.,	w11_d214e12014
3.	w13_d214e12018
J.	w15_d214e12021
Dem	w1_d214e12026
Mart.	w3_d214e12029
Lebersorg,	w5_d214e12032
s.	w7_d214e12035
K.	w9_d214e12038
Ant.,	w11_d214e12041
im	w13_d214e12045
Schmidisch.	w15_d214e12048
H.	w1_d214e12053
in	w3_d214e12056
der	w5_d214e12059
Leopoldst.,	w7_d214e12062
alt	w9_d214e12065
6.	w11_d214e12068
p.	w13_d214e12072
J.	w15_d214e12075
Dem	w1_d214e12080
Franz	w3_d214e12083
Berthold,	w5_d214e12086
Vergoldt.,	w7_d214e12089
s.	w9_d214e12092
K.	w11_d214e12095
Ant.,	w13_d214e12099
im	w15_d214e12102
Mahleris.	w1_d214e12108
H.	w3_d214e12111
oberm	w5_d214e12114
Neustift,	w7_d214e12117
alt	w9_d214e12120
2.	w11_d214e12123
J.	w13_d214e12127
Dem	w1_d214e12132
Mich.	w3_d214e12135
Reißner,	w5_d214e12138
Schuh=mach.,	w7_d214e12141
s.	w9_d214e12144
K.	w11_d214e12147
Elisab.,	w13_d214e12151
beym	w1_d214e12156
Ritter	w3_d214e12159
St.	w5_d214e12162
Georg	w7_d214e12165
im	w9_d214e12168
Lerchenf.,	w11_d214e12171
alt	w13_d214e12175
2.	w15_d214e12178
J.	w17_d214e12181
Elisab.	w1_d214e12186
Claufin,	w3_d214e12189
Wittwe,	w5_d214e12192
beym	w7_d214e12195
rot.	w9_d214e12198
Hahn	w11_d214e12201
am	w13_d214e12205
Him	w15_d214e12208
mel=pfort=gr.,	w1_d214e12214
alt	w3_d214e12217
75.	w5_d214e12220
J.	w7_d214e12223
Franz	w1_d214e12228
Dorr,	w3_d214e12231
Fortisications=wall=kn.,	w5_d214e12234
beym	w7_d214e12237
golden.	w9_d214e12240
Mond	w1_d214e12245
schein	w3_d214e12248
auf	w5_d214e12251
der	w7_d214e12254
Wied.,	w9_d214e12257
alt	w11_d214e12260
90.	w13_d214e12264
J.	w15_d214e12267
Theres.	w1_d214e12272
Matzingerin,	w3_d214e12275
led.	w5_d214e12278
M,	w7_d214e12281
beym	w9_d214e12284
gold.	w11_d214e12287
Ring	w13_d214e12291
bey	w15_d214e12294
St.	w1_d214e12300
Ulrich,	w3_d214e12303
alt	w5_d214e12306
19.	w7_d214e12309
J.	w9_d214e12312
Dem	w1_d214e12317
Joh.	w3_d214e12320
Sträner,	w5_d214e12323
Tagw.,	w7_d214e12326
s.	w9_d214e12329
W.	w11_d214e12332
Theres.,	w13_d214e12336
im	w15_d214e12339
Kochis.	w1_d214e12344
H.	w3_d214e12347
am	w5_d214e12350
Hundsth.,	w7_d214e12353
alt	w9_d214e12356
78.	w11_d214e12359
J.	w13_d214e12363
Summa	w1_d214e12368
13.	w3_d214e12371
Person.,	w5_d214e12374
darunter	w7_d214e12377
7.	w9_d214e12380
Kinder.	w11_d214e12383
</list>
<head id="h2_d214e12390">
Den	w1_d214e12394
26.	w3_d214e12397
Januarii.	w5_d214e12400
Jn	w1_d214e12405
der	w3_d214e12408
Stadt.	w5_d214e12411
</head>
<list id="l4_d214e12414">
Hr.	w1_d214e12418
Andr.	w3_d214e12421
Reger,	w5_d214e12424
K.	w7_d214e12427
K.	w9_d214e12430
Hof=kapell=dien.,	w11_d214e12433
in	w13_d214e12437
dem	w15_d214e12440
Schneideris.	w1_d214e12445
H.	w3_d214e12448
in	w5_d214e12451
der	w7_d214e12454
Wildwerkerstr.,	w9_d214e12457
55.	w11_d214e12460
J.	w13_d214e12464
Dem	w1_d214e12469
Hrn.	w3_d214e12472
Joh.	w5_d214e12475
Georg	w7_d214e12478
Regler,	w9_d214e12481
Haus=vat.	w11_d214e12484
im	w13_d214e12488
Lazaret,	w15_d214e12491
und	w1_d214e12497
Kranken=H.,	w3_d214e12500
s.	w5_d214e12503
Ehew.	w7_d214e12506
Rosal.,	w9_d214e12509
im	w11_d214e12512
Ruckebau	w13_d214e12516
mis.	w1_d214e12521
H.	w3_d214e12524
im	w5_d214e12527
Hutstepper=gäs.,	w7_d214e12530
alt	w9_d214e12533
59.	w11_d214e12536
J.	w13_d214e12540
</list>
<head id="h2_d214e12547">
Vor	w1_d214e12551
der	w3_d214e12554
Stadt.	w5_d214e12557
</head>
<list id="l4_d214e12560">
Dem	w1_d214e12564
Ferd.	w3_d214e12567
Pauß,	w5_d214e12570
Burgerl.	w7_d214e12573
Zischme=mach.,	w9_d214e12576
s.	w11_d214e12579
W.	w13_d214e12583
Rosal.,	w1_d214e12588
beym	w3_d214e12591
Herzog	w5_d214e12594
in	w7_d214e12597
der	w9_d214e12600
Leophldst.,	w11_d214e12603
34.	w13_d214e12607
J.	w15_d214e12610
Mart.	w1_d214e12615
Billinger,	w3_d214e12618
Kirschn.,	w5_d214e12621
beyn	w7_d214e12624
3.	w9_d214e12627
Brüd.	w11_d214e12630
oberm	w13_d214e12634
Neustift,	w1_d214e12640
alt	w3_d214e12643
68.	w5_d214e12646
J.	w7_d214e12649
Dem	w1_d214e12654
Niclas	w3_d214e12657
Ruedhofer,	w5_d214e12660
gew.	w7_d214e12663
Bier=leut=geb.,	w9_d214e12666
s.	w11_d214e12669
W.	w13_d214e12673
Barb.,	w1_d214e12678
beym	w3_d214e12681
stein.	w5_d214e12684
Kopf	w7_d214e12687
oberm	w9_d214e12690
Neustift,	w11_d214e12693
28.	w13_d214e12697
J.	w15_d214e12700
Elisab.	w1_d214e12705
ämlin.	w3_d214e12708
Wittwe,	w5_d214e12711
in	w7_d214e12714
der	w9_d214e12717
Schön=färberey	w11_d214e12720
in	w13_d214e12724
der	w1_d214e12730
Leopoldst.,	w3_d214e12733
alt	w5_d214e12736
45.	w7_d214e12739
J.	w9_d214e12742
Dem	w1_d214e12747
Max	w3_d214e12750
Hollinger,	w5_d214e12753
Geig.,	w7_d214e12756
s.	w9_d214e12759
K.	w11_d214e12762
Jos.,	w13_d214e12766
beym	w15_d214e12769
gol	w17_d214e12772
ben.	w1_d214e12777
Satel	w3_d214e12780
bey	w5_d214e12783
St.	w7_d214e12786
Ulrich,	w9_d214e12789
alt	w11_d214e12792
4.	w13_d214e12796
J.	w15_d214e12799
Anna	w1_d214e12804
Magrhof.rin,	w3_d214e12807
Wittwe,	w5_d214e12810
beym	w7_d214e12813
grün.	w9_d214e12816
Thor	w11_d214e12819
untern	w1_d214e12825
Feld.,	w3_d214e12828
alt	w5_d214e12831
78.	w7_d214e12834
J.	w9_d214e12837
Dem	w1_d214e12842
Jos.	w3_d214e12845
Pramper,	w5_d214e12848
Maurern,	w7_d214e12851
s.	w9_d214e12854
W.	w11_d214e12857
Margar.,	w13_d214e12861
beym	w1_d214e12866
rot.	w3_d214e12869
Haus	w5_d214e12872
an	w7_d214e12875
der	w9_d214e12878
Wien,	w11_d214e12881
alt	w13_d214e12885
27.	w15_d214e12888
J.	w17_d214e12891
Summa	w1_d214e12896
9.	w3_d214e12899
Person.,	w5_d214e12902
darunter	w7_d214e12905
1.	w9_d214e12908
Kind.	w11_d214e12911
</list>
<p id="p6_d214e12915">
Poetisches	w1_d214e12919
Gespräche	w3_d214e12922
zwischen	w5_d214e12925
Hrn.	w7_d214e12928
Adolph	w9_d214e12931
einem	w1_d214e12936
klug	w3_d214e12939
und	w5_d214e12942
unverzagten,	w7_d214e12945
und	w9_d214e12948
Meister	w11_d214e12951
Valentin,	w1_d214e12956
einen	w3_d214e12959
einfält	w5_d214e12962
ig	w1_d214e12968
und	w3_d214e12971
verzagten	w5_d214e12974
Wiener.	w1_d214e12979
Pr.	w3_d214e12982
7.	w5_d214e12985
kr.	w7_d214e12988
</p>
<list id="l8_d214e12991">
Jn	w1_d214e12995
der	w3_d214e12998
Kurzböckischen	w5_d214e13001
Buch=druckerey	w7_d214e13004
in	w9_d214e13007
der	w1_d214e13012
Bogner=gassen	w3_d214e13015
im	w5_d214e13018
Hof=glaserischen	w7_d214e13021
Haus	w9_d214e13024
im	w1_d214e13029
ersten	w3_d214e13032
Stock	w5_d214e13035
ist	w7_d214e13038
zu	w9_d214e13041
haben:	w11_d214e13044
</list>
<p id="p10_d214e13048">
Es	w1_d214e13052
wird	w3_d214e13055
hiemit	w5_d214e13058
allen	w7_d214e13061
und	w9_d214e13064
jeden	w11_d214e13067
kund	w13_d214e13071
und	w15_d214e13074
zu	w1_d214e13079
wissen	w3_d214e13082
gemacht,	w5_d214e13085
wie	w7_d214e13088
daß	w9_d214e13091
auf	w11_d214e13094
Verordnung	w13_d214e13098
Jhro	w1_d214e13103
Hochwürden	w3_d214e13106
und	w5_d214e13109
Gnaden	w7_d214e13112
Hrn.	w9_d214e13115
Alberici	w11_d214e13118
Würdigsten	w1_d214e13124
Abtens	w3_d214e13127
zum	w5_d214e13130
Heil	w7_d214e13133
Creutz,	w9_d214e13136
und	w11_d214e13139
St.	w13_d214e13143
Gotthard	w1_d214e13148
als	w3_d214e13151
Grund=herrn,	w5_d214e13154
und	w7_d214e13157
Obrigkeit	w9_d214e13160
in	w11_d214e13163
dem	w1_d214e13168
Heil.	w3_d214e13171
Creutzer	w5_d214e13174
Stein=bruch	w7_d214e13177
an	w9_d214e13180
dem	w11_d214e13183
Leitha	w13_d214e13187
berg,	w1_d214e13192
des	w3_d214e13195
verstorbenen	w5_d214e13198
Eliä	w7_d214e13201
Högls,	w9_d214e13204
gewesten	w11_d214e13207
Unterthan,	w1_d214e13213
Steinmetz=meisters	w3_d214e13216
hinterlassene	w5_d214e13219
zwey	w1_d214e13224
Häuser,	w3_d214e13227
Obst	w5_d214e13230
und	w7_d214e13233
Kraut=garten,	w9_d214e13236
Keller,	w11_d214e13239
und	w1_d214e13244
Preß=haus,	w3_d214e13247
wie	w5_d214e13250
auch	w7_d214e13253
zwey	w9_d214e13256
Stein=brüche,	w11_d214e13259
samt	w1_d214e13264
verfertigter	w3_d214e13267
Steinmetz=arbeit,	w5_d214e13270
und	w7_d214e13273
schon	w9_d214e13276
ausgebrochenen	w1_d214e13282
rauhen	w3_d214e13285
Steinen	w5_d214e13288
den	w7_d214e13291
13.	w9_d214e13294
Febr.	w11_d214e13297
feil	w1_d214e13302
geboten,	w3_d214e13305
und	w5_d214e13308
dem	w7_d214e13311
Meistbietenden	w9_d214e13314
gegen	w11_d214e13317
baarer	w1_d214e13322
Bezahlung	w3_d214e13325
hindan	w5_d214e13328
gegeben	w7_d214e13331
werden;	w9_d214e13334
wer	w1_d214e13339
also	w3_d214e13342
obbemeldete	w5_d214e13345
zwey	w7_d214e13348
Häuser,	w9_d214e13351
Grund	w11_d214e13354
stück,	w1_d214e13360
Obst=garten,	w3_d214e13363
samt	w5_d214e13366
vorhandenen	w7_d214e13369
ausge	w9_d214e13372
arbeiteten,	w1_d214e13377
und	w3_d214e13380
rauhen	w5_d214e13383
Steinern	w7_d214e13386
zu	w9_d214e13389
erkauffen	w11_d214e13392
gedenket,	w1_d214e13397
der	w3_d214e13400
kan	w5_d214e13403
sich	w7_d214e13406
an	w9_d214e13409
obbestimmten	w11_d214e13412
Tag	w13_d214e13416
um	w15_d214e13419
10.	w1_d214e13424
Uhr	w3_d214e13427
fruh	w5_d214e13430
bey	w7_d214e13433
der	w9_d214e13436
Heil.	w11_d214e13439
Creutzer=Herrschaft	w13_d214e13443
Königs=hofen	w1_d214e13449
an	w3_d214e13452
der	w5_d214e13455
Leitha	w7_d214e13458
entweder	w9_d214e13461
in	w11_d214e13464
Per	w13_d214e13468
son,	w1_d214e13473
oder	w3_d214e13476
durch	w5_d214e13479
Bevollmächtigte	w7_d214e13482
ad	w9_d214e13485
tractan-	w11_d214e13488
dum	w1_d214e13493
&	w3_d214e13496
concludendum	w5_d214e13499
anmelden.	w7_d214e13502
</p>
<head id="h2_d214e13508">
EDICT.	w1_d214e13512
</head>
<p id="p4_d214e13515">
Von	w1_d214e13519
dem	w3_d214e13522
zu	w5_d214e13525
Erörterung	w7_d214e13528
deren	w9_d214e13531
zwischen	w11_d214e13534
dem	w1_d214e13539
Kaiserl.	w3_d214e13542
Königl.	w5_d214e13545
Ærario,	w7_d214e13548
dann	w9_d214e13551
der	w11_d214e13554
