<doc id="wr_1759-07-18" attrs="word" year="1759" month="07" day="18" corpus="2">
<head id="h2_d365e3112">
Oldendorf	w1_d365e3116
10.	w13_d365e10403
daselbst	w1_d365e10408
zurückgebliebene	w3_d365e10411
Reiter,	w5_d365e10414
nebst	w7_d365e10417
einer	w9_d365e10420
ziemlichen	w1_d365e10425
Anzahl	w3_d365e10428
Engländischer	w5_d365e10431
Kranken,	w7_d365e10434
zu	w1_d365e10440
Kriegs=gefangenen	w3_d365e10443
gemacht;	w5_d365e10446
mehrer	w7_d365e10449
wehnte	w1_d365e10454
unsere	w3_d365e10457
leichte	w5_d365e10460
Trupen	w7_d365e10463
auch	w9_d365e10466
viele	w11_d365e10469
Proviant=wägen,	w1_d365e10474
und	w3_d365e10477
Bagage	w5_d365e10480
erbeutet	w7_d365e10483
haben.	w1_d365e10488
</p>
<head id="h2_d365e10494">
Kurz=gefaßte	w1_d365e10498
Nachrichten	w3_d365e10501
von	w1_d365e10506
verschiedenen	w3_d365e10509
Orten.	w5_d365e10512
Man	w1_d365e10517
vernihmt	w3_d365e10520
</head>
<p id="p4_d365e10523">
Von	w1_d365e10527
Warschau:	w3_d365e10530
daß	w5_d365e10533
die	w7_d365e10536
RußischKai	w9_d365e10539
serl.	w1_d365e10544
Armee	w3_d365e10547
den	w5_d365e10550
8.	w7_d365e10553
dieses	w9_d365e10556
gegen	w11_d365e10559
Oppernicky	w13_d365e10563
sich	w1_d365e10568
in	w3_d365e10571
Marsch	w5_d365e10574
gesetzet	w7_d365e10577
habe,	w9_d365e10580
um	w11_d365e10583
die	w13_d365e10587
unter	w15_d365e10590
dem	w1_d365e10596
Commando	w3_d365e10599
des	w5_d365e10602
General	w7_d365e10605
Dohna	w9_d365e10608
ste	w11_d365e10611
hende	w1_d365e10616
Preußische	w3_d365e10619
Armee	w5_d365e10622
anzugreiffen,	w7_d365e10625
wel	w9_d365e10628
che	w1_d365e10633
auch	w3_d365e10636
den	w5_d365e10639
9.	w7_d365e10642
darauf	w9_d365e10645
bis	w11_d365e10648
Jankowiez	w13_d365e10652
vorgerucket	w1_d365e10657
ist.	w3_d365e10660
</p>
<p id="p6_d365e10663">
Von	w1_d365e10667
Berlin:	w3_d365e10670
Daß	w5_d365e10673
am	w7_d365e10676
15.	w9_d365e10679
Jun.	w11_d365e10682
der	w13_d365e10686
Kö	w15_d365e10689
nigl.	w1_d365e10694
Preuß.	w3_d365e10697
General	w5_d365e10700
der	w7_d365e10703
Cavallerie	w9_d365e10706
von	w11_d365e10709
Bre	w13_d365e10713
dow	w1_d365e10718
im	w3_d365e10721
77sten	w5_d365e10724
Jahr	w7_d365e10727
seines	w9_d365e10730
Alters	w11_d365e10733
allda	w13_d365e10737
mit	w15_d365e10740
Tod	w1_d365e10746
abgegangen	w3_d365e10749
seye.	w5_d365e10752
</p>
<p id="p8_d365e10755">
Von	w1_d365e10759
Copenhagen:	w3_d365e10762
Daß	w5_d365e10765
Se.	w7_d365e10768
Majestät	w9_d365e10771
der	w1_d365e10776
König	w3_d365e10779
von	w5_d365e10782
Dännemark	w7_d365e10785
den	w9_d365e10788
29.	w11_d365e10791
Junii	w13_d365e10795
bey	w1_d365e10800
vollkommenem	w3_d365e10803
Wolstand	w5_d365e10806
wieder	w7_d365e10809
in	w9_d365e10812
be	w11_d365e10815
sagt=Dero	w1_d365e10821
Residenz	w3_d365e10824
zuruck=gekommen	w5_d365e10827
seyes	w7_d365e10830
</p>
<p id="p10_d365e10833">
Von	w1_d365e10837
Tschirna	w3_d365e10840
aus	w5_d365e10843
Schlesien:	w7_d365e10846
Daß	w9_d365e10849
den	w11_d365e10852
22.	w1_d365e10857
Junii	w3_d365e10860
eine	w5_d365e10863
Meile	w7_d365e10866
von	w9_d365e10869
dannen	w11_d365e10872
zwischen	w13_d365e10876
einer	w1_d365e10881
Parthey	w3_d365e10884
Rußischer	w5_d365e10887
Cosaquen,	w7_d365e10890
und	w9_d365e10893
ei	w11_d365e10896
ner	w1_d365e10902
Parthey	w3_d365e10905
Preußischer	w5_d365e10908
Hussaren	w7_d365e10911
ein	w9_d365e10914
star	w11_d365e10917
</p>
<p id="p16_d365e10931">
kes	w1_d365e10935
Scharmützel	w3_d365e10938
gewesen	w5_d365e10941
seye,	w7_d365e10944
in	w9_d365e10947
welchem	w11_d365e10950
die	w1_d365e10955
Cosaquen	w3_d365e10958
87.	w5_d365e10961
Hussaren	w7_d365e10964
von	w9_d365e10967
dem	w11_d365e10970
Regi	w13_d365e10974
ment	w1_d365e10979
Ziethen	w3_d365e10982
gefangen	w5_d365e10985
genommen,	w7_d365e10988
und	w9_d365e10991
sol	w11_d365e10994
che	w1_d365e11000
nacher	w3_d365e11003
Pohlnisch	w5_d365e11006
Lissa	w7_d365e11009
mit	w9_d365e11012
sich	w11_d365e11015
geführet	w13_d365e11019
hätten.	w1_d365e11024
</p>
<p id="p18_d365e11027">
Von	w1_d365e11031
Manheim:	w3_d365e11034
Daß	w5_d365e11037
der	w7_d365e11040
Hr.	w9_d365e11043
Feldmar	w11_d365e11046
schall	w1_d365e11051
Prinz	w3_d365e11054
v.	w5_d365e11057
Zweybrücken	w7_d365e11060
den	w9_d365e11063
10.	w11_d365e11066
dieses	w13_d365e11070
Monats	w1_d365e11075
Julii,	w3_d365e11078
um	w5_d365e11081
den	w7_d365e11084
12.	w9_d365e11087
darauf	w11_d365e11090
bey	w13_d365e11094
der	w15_d365e11097
Reichs=armee	w1_d365e11103
sich	w3_d365e11106
wiederumen	w5_d365e11109
einzufinden,	w7_d365e11112
von	w1_d365e11117
Schwetzingen	w3_d365e11120
aufgebrochen	w5_d365e11123
seye.	w7_d365e11126
</p>
<p id="p20_d365e11129">
Von	w1_d365e11133
Dürnkrut:	w3_d365e11136
daß	w5_d365e11139
alda	w7_d365e11142
Se.	w9_d365e11145
Excel	w11_d365e11148
lenz	w1_d365e11153
der	w3_d365e11156
Hoch	w5_d365e11159
und	w7_d365e11162
Wolgeborne	w9_d365e11165
Herr	w11_d365e11168
Ju	w13_d365e11172
lius	w1_d365e11177
Franz,	w3_d365e11180
des	w5_d365e11183
Heil.	w7_d365e11186
Röm.	w9_d365e11189
Reichs=graf	w11_d365e11192
von	w1_d365e11198
Hamilton	w3_d365e11201
Jhrer	w5_d365e11204
Römisch=Kaiserl.	w7_d365e11207
Kö	w9_d365e11210
nigl.	w1_d365e11215
Apostolischen	w3_d365e11218
Majestät	w5_d365e11221
würklich	w7_d365e11224
ge	w9_d365e11227
heimer	w1_d365e11232
Raht,	w3_d365e11235
Cammerer,	w5_d365e11238
wie	w7_d365e11241
auch	w9_d365e11244
Sr.	w11_d365e11247
Kaiserl.	w1_d365e11252
Majestät	w3_d365e11255
Caroli	w5_d365e11258
VI.	w7_d365e11261
höchst	w9_d365e11264
seel.	w11_d365e11267
Ge	w13_d365e11271
dächtnuß	w1_d365e11277
hinterlassener	w3_d365e11280
Reichs=hof=raht,	w5_d365e11283
den	w7_d365e11286
13.	w1_d365e11291
dieses	w3_d365e11294
um	w5_d365e11297
11.	w7_d365e11300
Uhr	w9_d365e11303
Vormittag	w11_d365e11306
das	w13_d365e11310
Zeit	w15_d365e11313
liche	w1_d365e11318
mit	w3_d365e11321
dem	w5_d365e11324
Ewigen	w7_d365e11327
verwechselt	w9_d365e11330
habe.	w11_d365e11333
</p>
<head id="h2_d365e11347">
Wien	w1_d365e11351
den	w3_d365e11354
18.	w5_d365e11357
Julii	w7_d365e11360
1759.	w9_d365e11363
</head>
<p id="p4_d365e11366">
Da	w1_d365e11370
schon	w3_d365e11373
vor	w5_d365e11376
einigen	w7_d365e11379
Monaten	w9_d365e11382
dem	w11_d365e11385
(Titl.)	w13_d365e11389
Herrn	w1_d365e11394
Grafen	w3_d365e11397
von	w5_d365e11400
Frankenberg	w7_d365e11403
Jn	w9_d365e11406
fulirten	w1_d365e11411
Probsten	w3_d365e11414
zu	w5_d365e11417
Prag,	w7_d365e11420
das	w9_d365e11423
Erz=bistum	w11_d365e11426
Mecheln	w1_d365e11432
in	w3_d365e11435
denen	w5_d365e11438
Niederlanden	w7_d365e11441
von	w9_d365e11444
aller	w11_d365e11447
höchst	w1_d365e11452
Jhrer	w3_d365e11455
Majestät	w5_d365e11458
der	w7_d365e11461
Kaiserin	w9_d365e11464
aller	w11_d365e11467
gnädigst	w1_d365e11472
tenferiret,	w3_d365e11475
und	w5_d365e11478
hierüber	w7_d365e11481
jüngsthin	w9_d365e11484
das	w1_d365e11489
diesfällige	w3_d365e11492
Pallium	w5_d365e11495
von	w7_d365e11498
Rom	w9_d365e11501
einge	w11_d365e11504
schicket	w1_d365e11510
worden;	w3_d365e11513
so	w5_d365e11516
ist	w7_d365e11519
hochersagter	w9_d365e11522
Herr	w11_d365e11525
Graf	w1_d365e11530
vergangenen	w3_d365e11533
Samstags	w5_d365e11536
durch	w7_d365e11539
(Titl.)	w9_d365e11542
den	w1_d365e11547
alhiesigen	w3_d365e11550
Herrn	w5_d365e11553
Erz=bischoffen,	w7_d365e11556
unter	w9_d365e11559
Aßistenz	w1_d365e11564
des	w3_d365e11567
(Titl.)	w5_d365e11570
Herrn	w7_d365e11573
Bischoffens	w9_d365e11576
zur	w11_d365e11579
Wienerischen	w1_d365e11585
Neustadt,	w3_d365e11588
Herrn	w5_d365e11591
Grafens	w7_d365e11594
von	w9_d365e11597
Halleweil,	w1_d365e11602
und	w3_d365e11605
des	w5_d365e11608
(Titl.)	w7_d365e11611
Herrn	w9_d365e11614
Weihe	w11_d365e11617
bischoffens	w1_d365e11622
von	w3_d365e11625
Marxer,	w5_d365e11628
dann	w7_d365e11631
deren	w9_d365e11634
zweyen	w11_d365e11637
Jnfulirten	w1_d365e11642
hiesigen	w3_d365e11645
Dom=herren	w5_d365e11648
von	w7_d365e11651
Stock,	w9_d365e11654
und	w1_d365e11660
von	w3_d365e11663
Spiegelfeld,	w5_d365e11666
in	w7_d365e11669
der	w9_d365e11672
Kaiserl.	w11_d365e11675
Kö	w13_d365e11679
nigl.	w1_d365e11684
Schloß=kapelle	w3_d365e11687
zu	w5_d365e11690
Schönbrunn	w7_d365e11693
in	w9_d365e11696
Beyseyn	w1_d365e11701
allerhöchster	w3_d365e11704
Kaiserl.	w5_d365e11707
Majestäten	w7_d365e11710
und	w1_d365e11715
deren	w3_d365e11718
gesamten	w5_d365e11721
Durchl.	w7_d365e11724
jungen	w9_d365e11727
Herr	w11_d365e11730
schaften	w1_d365e11736
Königl.	w3_d365e11739
Hoheiten,	w5_d365e11742
mit	w7_d365e11745
dem	w9_d365e11748
ge	w11_d365e11751
wöhnlichen	w1_d365e11756
Ceremoniel	w3_d365e11759
zum	w5_d365e11762
Erz=bischoffen	w7_d365e11765
</p>
<p id="p6_d365e11768">
consecriret,	w1_d365e11772
und	w3_d365e11775
deroselben	w5_d365e11778
das	w7_d365e11781
gedachte	w9_d365e11784
Pallium	w1_d365e11789
überreichet	w3_d365e11792
worden.	w5_d365e11795
</p>
<p id="p8_d365e11798">
Ubrigens	w1_d365e11802
ist	w3_d365e11805
gestern	w5_d365e11808
die	w7_d365e11811
erfreuliche	w9_d365e11814
Nach	w11_d365e11817
richt	w1_d365e11822
alhier	w3_d365e11825
eingetroffen,	w5_d365e11828
daß	w7_d365e11831
die	w9_d365e11834
Königl.	w11_d365e11837
Französische	w1_d365e11842
Trupen	w3_d365e11845
unter	w5_d365e11848
Commando	w7_d365e11851
des	w9_d365e11854
Herrn	w1_d365e11860
Grafens	w3_d365e11863
von	w5_d365e11866
Broglie,	w7_d365e11869
die	w9_d365e11872
unweit	w11_d365e11875
Oßnabrück	w1_d365e11880
an	w3_d365e11883
der	w5_d365e11886
Weser	w7_d365e11889
ligende	w9_d365e11892
Preußische	w11_d365e11895
Festung	w1_d365e11900
Minden	w3_d365e11903
mit	w5_d365e11906
dem	w7_d365e11909
Säbel	w9_d365e11912
in	w11_d365e11915
der	w13_d365e11919
Faust	w15_d365e11922
erobert,	w1_d365e11927
und	w3_d365e11930
die	w5_d365e11933
daselbstige	w7_d365e11936
aus	w9_d365e11939
1400.	w11_d365e11942
Mann	w13_d365e11946
bestandene	w1_d365e11952
ganze	w3_d365e11955
Besatzung	w5_d365e11958
nebst	w7_d365e11961
dem	w9_d365e11964
Ge	w11_d365e11967
neral	w1_d365e11972
Zastrow,	w3_d365e11975
als	w5_d365e11978
dasigen	w7_d365e11981
Commendanten	w9_d365e11984
zu	w1_d365e11989
Kriegs=gefangenen	w3_d365e11992
gemacht,	w5_d365e11995
auch	w7_d365e11998
da	w9_d365e12001
bey	w1_d365e12006
ein	w3_d365e12009
beträchtliches	w5_d365e12012
Magazin	w7_d365e12015
erbeutet	w9_d365e12018
haben.	w1_d365e12024
</p>
<p id="p10_d365e12027">
Abgewichenen	w1_d365e12031
Samstag	w3_d365e12034
als	w5_d365e12037
den	w7_d365e12040
14.	w9_d365e12043
Dieses	w1_d365e12048
ist	w3_d365e12051
die	w5_d365e12054
Ziehung	w7_d365e12057
der	w9_d365e12060
K.	w11_d365e12063
K.	w13_d365e12067
privilegir	w15_d365e12070
ten	w1_d365e12075
Lotterie	w3_d365e12078
in	w5_d365e12081
der	w7_d365e12084
K.	w9_d365e12087
K.	w11_d365e12090
Haupt=stadt	w13_d365e12094
Prag	w15_d365e12097
beschehen,	w1_d365e12103
und	w3_d365e12106
die	w5_d365e12109
Num.	w7_d365e12112
56.	w9_d365e12115
11.	w11_d365e12118
31.	w13_d365e12122
78.	w15_d365e12125
und	w1_d365e12130
71.	w3_d365e12133
gehoben	w5_d365e12136
worden.	w7_d365e12139
Die	w9_d365e12142
beträch	w11_d365e12145
tlichere	w1_d365e12150
Gewinne,	w3_d365e12153
mit	w5_d365e12156
Umgehung	w7_d365e12159
aller	w9_d365e12162
an	w11_d365e12165
deren,	w1_d365e12170
bestunden	w3_d365e12173
in	w5_d365e12176
einem	w7_d365e12179
Terno	w9_d365e12182
mit	w11_d365e12185
400.	w13_d365e12189
Ducaten,	w1_d365e12195
den	w3_d365e12198
der	w5_d365e12201
Amts=collector	w7_d365e12204
Joseph	w9_d365e12207
Trinchi	w1_d365e12212
abzuführen	w3_d365e12215
hat.	w5_d365e12218
Bey	w7_d365e12221
dem	w9_d365e12224
Collector	w11_d365e12227
sub	w1_d365e12232
Num.	w3_d365e12235
9.	w5_d365e12238
hingegen	w7_d365e12241
in	w9_d365e12244
der	w11_d365e12247
Wald=zeil	w13_d365e12251
ist	w15_d365e12254
ein	w1_d365e12259
Estrat	w3_d365e12262
mit	w5_d365e12265
1000.	w7_d365e12268
fl.	w9_d365e12271
Bey	w11_d365e12274
jenem	w13_d365e12278
sub	w15_d365e12281
Num.	w1_d365e12287
13.	w3_d365e12290
auf	w5_d365e12293
dem	w7_d365e12296
Graben	w9_d365e12299
ein	w11_d365e12302
deto	w13_d365e12306
mit	w15_d365e12309
1100.	w1_d365e12314
fl.	w3_d365e12317
Bey	w5_d365e12320
dem	w7_d365e12323
sub	w9_d365e12326
Num.	w11_d365e12329
14	w13_d365e12333
in	w15_d365e12336
der	w17_d365e12339
Schuler=strasse	w1_d365e12344
ein	w3_d365e12347
deto	w5_d365e12350
mit	w7_d365e12353
4200.	w9_d365e12356
fl.	w11_d365e12359
Bey	w13_d365e12363
jenem	w1_d365e12368
sub	w3_d365e12371
Num.	w5_d365e12374
16.	w7_d365e12377
auf	w9_d365e12380
dem	w11_d365e12383
Peter	w13_d365e12387
ein	w15_d365e12390
Quaterno.	w1_d365e12396
Bey	w3_d365e12399
dem	w5_d365e12402
sub	w7_d365e12405
Num.	w9_d365e12408
27.	w11_d365e12411
bey	w13_d365e12415
der	w15_d365e12418
Heil.	w1_d365e12423
Dreyfaltigkeit	w3_d365e12426
ein	w5_d365e12429
Estertto	w7_d365e12432
mit	w9_d365e12435
1000.	w11_d365e12438
fl.	w1_d365e12443
Und	w3_d365e12446
bey	w5_d365e12449
jenem	w7_d365e12452
sub	w9_d365e12455
Num.	w11_d365e12458
30.	w13_d365e12462
auf	w15_d365e12465
dem	w17_d365e12468
Bauer=markt	w1_d365e12473
ebenfalls	w3_d365e12476
einen	w5_d365e12479
Quaterno	w7_d365e12482
ge	w9_d365e12485
wonnen	w1_d365e12491
worden.	w3_d365e12494
Den	w5_d365e12497
1	w7_d365e12500
künstigen	w9_d365e12503
Mo	w11_d365e12506
nats	w1_d365e12511
Augusti	w3_d365e12514
wird	w5_d365e12517
allhier	w7_d365e12520
die	w9_d365e12523
fernere	w11_d365e12526
Zie	w13_d365e12530
hung	w1_d365e12535
vorgenommen	w3_d365e12538
worden.	w5_d365e12541
</p>
<head id="h2_d365e12547">
Lista	w1_d365e12551
deren	w3_d365e12554
Verstorbenen	w5_d365e12557
zu	w7_d365e12560
Wien	w9_d365e12563
in	w1_d365e12568
und	w3_d365e12571
vor	w5_d365e12574
der	w7_d365e12577
Stadt.	w9_d365e12580
Den	w1_d365e12585
13.	w3_d365e12588
Julii.	w5_d365e12591
Jn	w1_d365e12597
der	w3_d365e12600
Stadt.	w5_d365e12603
</head>
<list id="l4_d365e12606">
Dem	w1_d365e12610
Hrn.	w3_d365e12613
Franz	w5_d365e12616
Adam	w7_d365e12619
Schreiner,	w9_d365e12622
Burgerl.	w11_d365e12625
Hau	w13_d365e12629
dels=m,	w1_d365e12634
s.	w3_d365e12637
K.	w5_d365e12640
Anna,	w7_d365e12643
im	w9_d365e12646
Freysinger=hof,	w11_d365e12649
10.	w13_d365e12653
J.	w15_d365e12656
Dem	w1_d365e12661
</list>
<list id="l8_d365e12667">
Dem	w1_d365e12671
Andre	w3_d365e12674
Grobner,	w5_d365e12677
Burgerl.	w7_d365e12680
Wirt.,	w9_d365e12683
s.	w11_d365e12686
W.	w13_d365e12690
Elis,	w15_d365e12693
beym	w1_d365e12698
gold.	w3_d365e12701
Greif.	w5_d365e12704
in	w7_d365e12707
der	w9_d365e12710
Kärntnerstr,	w11_d365e12713
66.	w13_d365e12717
J.	w15_d365e12720
Juliana	w1_d365e12725
Willingerin,	w3_d365e12728
led.	w5_d365e12731
M.,	w7_d365e12734
im	w9_d365e12737
Trienter=hof,	w11_d365e12740
alt	w1_d365e12746
16.	w3_d365e12749
J.	w5_d365e12752
</list>
<head id="h2_d365e12759">
Vor	w1_d365e12763
der	w3_d365e12766
Stadt.	w5_d365e12769
</head>
<list id="l4_d365e12772">
Dem	w1_d365e12776
Paul	w3_d365e12779
Allneider,	w5_d365e12782
Burgerl.	w7_d365e12785
Schlos.,	w9_d365e12788
s.	w11_d365e12791
W.	w13_d365e12795
Mag	w15_d365e12798
dal,	w1_d365e12803
in	w3_d365e12806
s.	w5_d365e12809
H.	w7_d365e12812
in	w9_d365e12815
der	w11_d365e12818
Leopoldst.,	w13_d365e12822
alt	w15_d365e12825
33.	w17_d365e12828
J.	w19_d365e12831
Anna	w1_d365e12836
Rahtin,	w3_d365e12839
Wittwe,	w5_d365e12842
im	w7_d365e12845
Fell=färberis.	w9_d365e12848
H.	w11_d365e12851
in	w13_d365e12855
der	w15_d365e12858
Leopoldst.,	w1_d365e12864
alt	w3_d365e12867
76.	w5_d365e12870
J.	w7_d365e12873
</list>
<head id="h2_d365e12880">
Summa	w1_d365e12884
5.	w3_d365e12887
Person:	w5_d365e12890
darunter	w7_d365e12893
1.	w9_d365e12896
Kind.	w11_d365e12899
Den	w1_d365e12904
14.	w3_d365e12907
Julii.	w5_d365e12910
Jn	w1_d365e12915
der	w3_d365e12918
Stadt	w5_d365e12921
</head>
<list id="l4_d365e12924">
Dem	w1_d365e12928
Hrn.	w3_d365e12931
Ant.	w5_d365e12934
Schröck,	w7_d365e12937
K.	w9_d365e12940
K.	w11_d365e12943
Hofcontrolamts	w13_d365e12947
offic.,	w1_d365e12952
s.	w3_d365e12955
K.	w5_d365e12958
Anna,	w7_d365e12961
im	w9_d365e12964
Schwarzlis.	w11_d365e12967
H.	w13_d365e12971
unter	w15_d365e12974
de	w17_d365e12977
nen	w1_d365e12982
Tuch=laub.,	w3_d365e12985
alt	w5_d365e12988
3.	w7_d365e12991
J.	w9_d365e12994
</list>
<head id="h2_d365e13001">
Vor	w1_d365e13005
der	w3_d365e13008
Stadt.	w5_d365e13011
</head>
<list id="l4_d365e13014">
Dem	w1_d365e13018
Hoch	w3_d365e13021
und	w5_d365e13024
Wol=geb.	w7_d365e13027
Hrn.	w9_d365e13030
Hrn.	w11_d365e13033
Jos.	w13_d365e13037
Grafen	w15_d365e13040
v.	w1_d365e13045
Herberstein,	w3_d365e13048
K.	w5_d365e13051
K.	w7_d365e13054
würkl.	w9_d365e13057
Cammerern,	w11_d365e13060
und	w13_d365e13064
N.	w15_d365e13067
s.	w1_d365e13072
Gräfl.	w3_d365e13075
Hr.	w5_d365e13078
S.	w7_d365e13081
Ferd	w9_d365e13084
Oc.	w1_d365e13090
Regim.=raht,	w3_d365e13093
Schmidlinis.	w1_d365e13098
Gart.	w3_d365e13101
zu	w5_d365e13104
Gumpend.,	w7_d365e13107
alt	w9_d365e13110
6.	w11_d365e13113
J.	w13_d365e13117
Dem	w1_d365e13122
Hoch=edel=geb.	w3_d365e13125
Hrn.	w5_d365e13128
Ant.	w7_d365e13131
Aichler	w9_d365e13134
v.	w11_d365e13137
Auritz	w13_d365e13141
Obrist=wach=meist.	w1_d365e13146
des	w3_d365e13149
Löbl.	w5_d365e13152
Sincereis.	w7_d365e13155
Jnfan	w9_d365e13158
terie=regim	w1_d365e13164
s.	w3_d365e13167
Fr.	w5_d365e13170
Josepha,	w7_d365e13173
in	w9_d365e13176
der	w11_d365e13179
Casarm	w13_d365e13183
in	w15_d365e13186
der	w17_d365e13189
Alster=gas.,	w1_d365e13194
alt	w3_d365e13197
31.	w5_d365e13200
J.	w7_d365e13203
Dem	w1_d365e13208
Jos.	w3_d365e13211
Bader,	w5_d365e13214
Zeug=mach=ges.,	w7_d365e13217
s.	w9_d365e13220
W.	w11_d365e13223
Magdal.,	w13_d365e13227
beym	w1_d365e13232
wild.	w3_d365e13235
Mann	w5_d365e13238
am	w7_d365e13241
Neubau,	w9_d365e13244
alt	w11_d365e13247
51.	w13_d365e13251
J.	w15_d365e13254
Elisab.	w1_d365e13260
Bernhardin,	w3_d365e13263
led.	w5_d365e13266
M.,	w7_d365e13269
bey	w9_d365e13272
St.	w11_d365e13275
Math.	w13_d365e13279
im	w15_d365e13282
Lerchenf.,	w1_d365e13287
alt	w3_d365e13290
60	w5_d365e13293
Dem	w1_d365e13298
Georg	w3_d365e13301
Moser,	w5_d365e13304
Brief=trag,	w7_d365e13307
s.	w9_d365e13310
T.	w11_d365e13313
Magdal,	w13_d365e13317
bey	w15_d365e13320
dem	w1_d365e13325
weis.	w3_d365e13328
Lämmel	w5_d365e13331
im	w7_d365e13334
Liechtenth.,	w9_d365e13337
alt	w11_d365e13340
18.	w13_d365e13344
J.	w15_d365e13347
Dem	w1_d365e13353
Georg	w3_d365e13356
Holzapfel,	w5_d365e13359
Maurern,	w7_d365e13362
s.	w9_d365e13365
K.	w11_d365e13368
Johanna,	w13_d365e13372
beym	w1_d365e13377
gold.	w3_d365e13380
Lämmel	w5_d365e13383
im	w7_d365e13386
Lerchenf.,	w9_d365e13389
alt	w11_d365e13392
7.	w13_d365e13396
Elisab	w1_d365e13401
Schmidin,	w3_d365e13404
Wittwe,	w5_d365e13407
beym	w7_d365e13410
gold.	w9_d365e13413
Copäunl	w11_d365e13416
am	w1_d365e13421
Neustift,	w3_d365e13424
alt	w5_d365e13427
63.	w7_d365e13430
J.	w9_d365e13433
Jos.	w1_d365e13439
Hofer,	w3_d365e13442
Tag=löhn.,	w5_d365e13445
beym	w7_d365e13448
Kipfel	w9_d365e13451
im	w11_d365e13454
Liechten	w13_d365e13458
thal,	w1_d365e13463
alt	w3_d365e13466
59.	w5_d365e13469
J.	w7_d365e13472
</list>
<head id="h2_d365e13479">
Suma	w1_d365e13483
9.	w3_d365e13486
Person.	w5_d365e13489
darunter	w7_d365e13492
3.	w9_d365e13495
Kind.	w11_d365e13498
Den	w1_d365e13503
15.	w3_d365e13506
Julii.	w5_d365e13509
Jn	w1_d365e13514
der	w3_d365e13517
Stadt.	w5_d365e13520
</head>
<list id="l4_d365e13523">
Cr.	w1_d365e13527
Excell.	w3_d365e13530
dem	w5_d365e13533
Hoch	w7_d365e13536
und	w9_d365e13539
Wol=geb.	w11_d365e13542
Hrn.	w13_d365e13546
Hrn.	w15_d365e13549
Carl	w1_d365e13554
Egon,	w3_d365e13557
des	w5_d365e13560
H.	w7_d365e13563
R.	w9_d365e13566
R.	w11_d365e13569
Land=grafen	w13_d365e13573
zu	w15_d365e13576
Fürsten	w17_d365e13579
berg,	w1_d365e13584
Jhrer	w3_d365e13587
R.	w5_d365e13590
K.	w7_d365e13593
K.	w9_d365e13596
M.	w11_d365e13599
würkl.	w13_d365e13603
geh.	w15_d365e13606
Raht,	w17_d365e13609
und	w19_d365e13612
Cammer.,	w1_d365e13618
s.	w3_d365e13621
Gräfl.	w5_d365e13624
Hr.	w7_d365e13627
S.	w9_d365e13630
Jos.,	w11_d365e13633
im	w13_d365e13637
Hamiltho	w15_d365e13640
nis.	w1_d365e13645
H.	w3_d365e13648
in	w5_d365e13651
der	w7_d365e13654
Teintfaltstras.,	w9_d365e13657
alt	w11_d365e13660
5.	w13_d365e13664
J.	w15_d365e13667
Die	w1_d365e13672
Nol=edel=geb.	w3_d365e13675
Fr.	w5_d365e13678
Barb.	w7_d365e13681
Majestratzin,	w9_d365e13684
geborne	w11_d365e13687
Maderna	w1_d365e13692
und	w3_d365e13695
Quednitz,	w5_d365e13698
Wittwe,	w7_d365e13701
im	w9_d365e13704
Druckmil	w11_d365e13707
leris.	w1_d365e13713
H.	w3_d365e13716
am	w5_d365e13719
Salz=gr.,	w7_d365e13722
alt	w9_d365e13725
46.	w11_d365e13728
J.	w13_d365e13732
Ensab.	w1_d365e13737
Kundingerin,	w3_d365e13740
Wittwe,	w5_d365e13743
im	w7_d365e13746
Schillinge	w9_d365e13749
ri.	w1_d365e13754
H.	w3_d365e13757
auf	w5_d365e13760
der	w7_d365e13763
Freyung,	w9_d365e13766
alt	w11_d365e13769
65.	w13_d365e13773
J.	w15_d365e13776
</list>
<head id="h2_d365e13784">
Vor	w1_d365e13788
der	w3_d365e13791
Stadt.	w5_d365e13794
</head>
<p id="p4_d365e13797">
Der	w1_d365e13801
Hoch=edel=geb.	w3_d365e13804
Hr.	w5_d365e13807
Joh.	w7_d365e13810
Heinr.	w9_d365e13813
v.	w11_d365e13816
Alpmans	w13_d365e13820
hoven,	w1_d365e13825
des	w3_d365e13828
H.	w5_d365e13831
R	w7_d365e13834
R.	w9_d365e13837
Rit.	w11_d365e13840
und	w13_d365e13844
K.	w15_d365e13847
würkl.	w17_d365e13850
Raht,	w19_d365e13853
und	w1_d365e13858
Registr.,	w3_d365e13861
in	w5_d365e13864
s.	w7_d365e13867
H.	w9_d365e13870
auf	w11_d365e13873
der	w13_d365e13877
Landstr.,	w15_d365e13880
alt	w17_d365e13883
59.	w19_d365e13886
J.	w21_d365e13889
</p>
<list id="l6_d365e13892">
Georg	w1_d365e13896
Dürnbauer,	w3_d365e13899
in	w5_d365e13902
St.	w7_d365e13905
Joh.	w9_d365e13908
Nep.	w11_d365e13911
Spit.,	w13_d365e13915
83	w15_d365e13918
J.	w17_d365e13921
Dem	w1_d365e13926
Bernh.	w3_d365e13929
Federl,	w5_d365e13932
Wäsch.,	w7_d365e13935
s.	w9_d365e13938
W.	w11_d365e13941
Anna,	w13_d365e13945
im	w15_d365e13948
Frein	w17_d365e13951
thalleris.	w1_d365e13956
H.	w3_d365e13959
in	w5_d365e13962
der	w7_d365e13965
Leopoldst.,	w9_d365e13968
alt	w11_d365e13971
