<doc id="wr_1763-08-27" attrs="word" year="1763" month="08" day="27" corpus="2">
<head id="h2_d786e3060">
Cartagena	w1_d786e3064
anfangen,	w7_d786e10237
und	w9_d786e10240
die	w11_d786e10243
vollkom	w13_d786e10247
mene	w1_d786e10252
Herstellung	w3_d786e10255
sicher	w5_d786e10258
zu	w7_d786e10261
hoffen	w9_d786e10264
sey.	w11_d786e10267
</p>
<head id="h2_d786e10274">
Lista	w1_d786e10278
deren	w3_d786e10281
Verstorbenen	w5_d786e10284
zu	w7_d786e10287
Wien	w9_d786e10290
in	w1_d786e10295
und	w3_d786e10298
vor	w5_d786e10301
der	w7_d786e10304
Stadt.	w9_d786e10307
Den	w1_d786e10312
23.	w3_d786e10315
Aug.	w5_d786e10318
Jn	w7_d786e10321
der	w9_d786e10324
Stadt.	w11_d786e10327
</head>
<list id="l4_d786e10330">
Der	w1_d786e10334
Hoch=edel	w3_d786e10337
geb.	w5_d786e10340
Hr.	w7_d786e10343
Ant.	w9_d786e10346
Ferd.	w11_d786e10349
v.	w13_d786e10353
Lutter,	w15_d786e10356
deren	w17_d786e10359
gesamt.	w1_d786e10364
Königl.	w3_d786e10367
Böheimis.	w5_d786e10370
Erb=landen	w7_d786e10373
Rit.,	w9_d786e10376
Jh	w11_d786e10379
rer	w1_d786e10384
K.	w3_d786e10387
K.	w5_d786e10390
Apostol.	w7_d786e10393
Majest.	w9_d786e10396
würkl.	w11_d786e10399
Hof=raht	w13_d786e10403
bey	w15_d786e10406
der	w17_d786e10409
Hof=rechnungs=kam.,	w1_d786e10415
im	w3_d786e10418
Fillenbaumis.	w5_d786e10421
H.	w7_d786e10424
in	w9_d786e10427
der	w11_d786e10430
Kärntnerstr.,	w1_d786e10435
alt	w3_d786e10438
62.	w5_d786e10441
J.	w7_d786e10444
Dem	w1_d786e10449
Wol=edlen	w3_d786e10452
Hrn.	w5_d786e10455
Franz	w7_d786e10458
Jos.	w9_d786e10461
Varenna,	w11_d786e10464
K.	w13_d786e10468
K.	w15_d786e10471
Mehl=aufschlags	w1_d786e10476
=einnehm.,	w3_d786e10479
s.	w5_d786e10482
Fr.	w7_d786e10485
Maria	w9_d786e10488
Caro	w11_d786e10491
lina,	w1_d786e10497
im	w3_d786e10500
Stillis.	w5_d786e10503
H.	w7_d786e10506
im	w9_d786e10509
Comödi=gäs.,	w11_d786e10512
alt	w13_d786e10516
36.	w15_d786e10519
J.	w17_d786e10522
Dem	w1_d786e10527
Joh.	w3_d786e10530
Lorenz,	w5_d786e10533
Herrschaftl.	w7_d786e10536
Kapell=dien.,	w9_d786e10539
s.	w11_d786e10542
W.	w13_d786e10546
Anna,	w1_d786e10551
im	w3_d786e10554
Harrachis.	w5_d786e10557
H.	w7_d786e10560
auf	w9_d786e10563
der	w11_d786e10566
Freyung,	w13_d786e10570
51.	w15_d786e10573
J.	w17_d786e10576
</list>
<head id="h2_d786e10583">
Vor	w1_d786e10587
der	w3_d786e10590
Stadt.	w5_d786e10593
</head>
<list id="l4_d786e10596">
Dem	w1_d786e10600
(Tit.)	w3_d786e10603
Hrn.	w5_d786e10606
Franz	w7_d786e10609
Freyhern	w9_d786e10612
v.	w11_d786e10615
Mladota,	w13_d786e10619
des	w15_d786e10622
Löbl.	w1_d786e10627
K.	w3_d786e10630
K.	w5_d786e10633
Althannis.	w7_d786e10636
Dragon.=regim.	w9_d786e10639
Obrist	w11_d786e10642
Wachtmeist.,	w1_d786e10647
seine	w3_d786e10650
Frle.	w5_d786e10653
T.	w7_d786e10656
Aloysia,	w9_d786e10659
in	w11_d786e10662
der	w13_d786e10666
Casarm	w15_d786e10669
in	w1_d786e10675
der	w3_d786e10678
Leopoldst.,	w5_d786e10681
alt	w7_d786e10684
6.	w9_d786e10687
J.	w11_d786e10690
Jos.	w1_d786e10695
Beywinkler,	w3_d786e10698
Burgerl.	w5_d786e10701
Zeugmach.,	w7_d786e10704
in	w9_d786e10707
der	w11_d786e10710
Kühnmayris.	w1_d786e10715
Fabric.	w3_d786e10718
auf	w5_d786e10721
der	w7_d786e10724
Landstr.,	w9_d786e10727
70.	w11_d786e10730
J.	w13_d786e10734
Dem	w1_d786e10739
Gottfr.	w3_d786e10742
Schreyvogel,	w5_d786e10745
Burgerl.	w7_d786e10748
Holz=handl.,	w9_d786e10751
s.	w1_d786e10757
K.	w3_d786e10760
Erasm.,	w5_d786e10763
bey	w7_d786e10766
der	w9_d786e10769
gold.	w11_d786e10772
Kanne	w13_d786e10776
zu	w15_d786e10779
St.	w17_d786e10782
Ulrich.	w19_d786e10785
alt	w1_d786e10790
2.	w3_d786e10793
J.	w5_d786e10796
Dem	w1_d786e10801
Joh.	w3_d786e10804
Pußi,	w5_d786e10807
Burgerl.	w7_d786e10810
Stuckador.,	w9_d786e10813
s.	w11_d786e10816
K.	w13_d786e10820
The	w15_d786e10823
res.,	w1_d786e10828
bey	w3_d786e10831
ber	w5_d786e10834
schön.	w7_d786e10837
Schäf.	w9_d786e10840
in	w11_d786e10843
der	w13_d786e10847
Josephst.,	w15_d786e10850
1.	w17_d786e10853
J.	w19_d786e10856
Dem	w1_d786e10862
Wenzel	w3_d786e10865
Wittoscheck,	w5_d786e10868
des	w7_d786e10871
Löbl.	w9_d786e10874
K.	w11_d786e10877
K.	w13_d786e10881
Harrsis.	w15_d786e10884
Jnfant.=regim.	w1_d786e10889
Führer,	w3_d786e10892
s.	w5_d786e10895
K.	w7_d786e10898
Fried.,	w9_d786e10901
in	w11_d786e10904
der	w13_d786e10908
Ca	w15_d786e10911
sarm	w1_d786e10916
in	w3_d786e10919
der	w5_d786e10922
Alster=gas.,	w7_d786e10925
alt	w9_d786e10928
11.	w11_d786e10931
J.	w13_d786e10935
Dem	w1_d786e10940
Lor.	w3_d786e10943
Klar,	w5_d786e10946
K.	w7_d786e10949
K.	w9_d786e10952
Aegdemie=tischl.,	w11_d786e10955
s.	w13_d786e10959
W.	w15_d786e10962
Anna,	w17_d786e10965
beyn	w1_d786e10971
6.	w3_d786e10974
Schim.	w5_d786e10977
zu	w7_d786e10980
St.	w9_d786e10983
Ulrich,	w11_d786e10986
alt	w13_d786e10990
36.	w15_d786e10993
J.	w17_d786e10996
Sebast.	w1_d786e11001
Mayr,	w3_d786e11004
Wais,	w5_d786e11007
in	w7_d786e11010
U.	w9_d786e11013
L.	w11_d786e11016
Frauen=spit.	w13_d786e11020
am	w15_d786e11023
Renn=weg,	w1_d786e11028
alt	w3_d786e11031
14.	w5_d786e11034
J.	w7_d786e11037
</list>
<list id="l10_d786e11051">
Dem	w1_d786e11055
Phll.	w3_d786e11058
Eberwein,	w5_d786e11061
Lack.,	w7_d786e11064
s.	w9_d786e11067
K.	w11_d786e11070
Anna,	w13_d786e11074
bey	w15_d786e11077
der	w17_d786e11080
Reichs=kron	w1_d786e11085
in	w3_d786e11088
der	w5_d786e11091
Josephst.	w7_d786e11094
alt	w9_d786e11097
6.	w11_d786e11100
J.	w13_d786e11104
Dem	w1_d786e11109
Thom.	w3_d786e11112
Meidinger,	w5_d786e11115
gew.	w7_d786e11118
Bier	w9_d786e11121
leut=geb.,	w11_d786e11124
s.	w13_d786e11128
W.	w15_d786e11131
Anna,	w1_d786e11137
beym	w3_d786e11140
gold.	w5_d786e11143
Hirsch.	w7_d786e11146
zu	w9_d786e11149
Maria=hülf,	w11_d786e11152
47.	w13_d786e11156
J.	w15_d786e11159
Dem	w1_d786e11164
Jacob	w3_d786e11167
Bihocker,	w5_d786e11170
Taglöhn.,	w7_d786e11173
s.	w9_d786e11176
K.	w11_d786e11179
Joh.,	w13_d786e11183
beym	w15_d786e11186
weis.	w1_d786e11191
Wolf.	w3_d786e11194
im	w5_d786e11197
Liechtenth.,	w7_d786e11200
alt	w9_d786e11203
5.	w11_d786e11206
J.	w13_d786e11210
Dem	w1_d786e11215
Georg	w3_d786e11218
Kirchhuber,	w5_d786e11221
Tischl.,	w7_d786e11224
s.	w9_d786e11227
K.	w11_d786e11230
Jacob,	w13_d786e11234
beyn	w15_d786e11237
3.	w1_d786e11243
weis.	w3_d786e11246
Taub.	w5_d786e11249
zu	w7_d786e11252
Maria=hülf,	w9_d786e11255
alt	w11_d786e11258
6.	w13_d786e11262
v.	w15_d786e11265
J.	w17_d786e11268
Dem	w1_d786e11273
Mich.	w3_d786e11276
Ellminger,	w5_d786e11279
Friseurn,	w7_d786e11282
s.	w9_d786e11285
K.	w11_d786e11288
Jos.,	w13_d786e11292
im	w15_d786e11295
Maurermeisteris.	w1_d786e11300
H.	w3_d786e11303
auf	w5_d786e11306
der	w7_d786e11309
Wied.,	w9_d786e11312
alt	w11_d786e11315
1.	w13_d786e11319
J.	w15_d786e11322
Dem	w1_d786e11327
Georg	w3_d786e11330
Kremnitzsteiner,	w5_d786e11333
Taglöhn.,	w7_d786e11336
s.	w9_d786e11339
K.	w11_d786e11342
Elis.	w13_d786e11346
beym	w1_d786e11352
schön.	w3_d786e11355
Brunn	w5_d786e11358
im	w7_d786e11361
Lerchenf.,	w9_d786e11364
alt	w11_d786e11367
5.	w13_d786e11371
J.	w15_d786e11374
Dem	w1_d786e11379
Jos.	w3_d786e11382
Eckmayr,	w5_d786e11385
Schocolatamach.,	w7_d786e11388
s.	w9_d786e11391
K.	w11_d786e11394
Cath.	w13_d786e11398
beym	w1_d786e11403
rot.	w3_d786e11406
Herz	w5_d786e11409
auf	w7_d786e11412
der	w9_d786e11415
Landstr.,	w11_d786e11418
alt	w13_d786e11422
3.	w15_d786e11425
J.	w17_d786e11428
Dem	w1_d786e11433
Lor.	w3_d786e11436
Veigel,	w5_d786e11439
Maurer=ges.,	w7_d786e11442
s.	w9_d786e11445
K.	w11_d786e11448
Magdal,	w13_d786e11452
bey	w15_d786e11455
dem	w1_d786e11461
gold.	w3_d786e11464
Pfauen	w5_d786e11467
oberm	w7_d786e11470
Neustift,	w9_d786e11473
alt	w11_d786e11476
4.	w13_d786e11480
J.	w15_d786e11483
Joh.	w1_d786e11488
Hink,	w3_d786e11491
Taglöhn.,	w5_d786e11494
im	w7_d786e11497
kleinen	w9_d786e11500
Lucatelis.	w11_d786e11503
H.	w13_d786e11507
zu	w15_d786e11510
Gumpendorf,	w1_d786e11515
alt	w3_d786e11518
70.	w5_d786e11521
J.	w7_d786e11524
Maximil.	w1_d786e11529
Schäffer,	w3_d786e11532
Musicant,	w5_d786e11535
im	w7_d786e11538
Füteris.	w9_d786e11541
H.	w11_d786e11544
in	w13_d786e11548
der	w1_d786e11554
Leopoldst.,	w3_d786e11557
alt	w5_d786e11560
64.	w7_d786e11563
J.	w9_d786e11566
</list>
<head id="h2_d786e11573">
Summa	w1_d786e11577
20.	w3_d786e11580
Person.,	w5_d786e11583
darunter	w7_d786e11586
11.	w9_d786e11589
Kind.	w11_d786e11592
Den	w1_d786e11597
24.	w3_d786e11600
Aug.	w5_d786e11603
Jn	w7_d786e11606
der	w9_d786e11609
Stadt.	w11_d786e11612
</head>
<list id="l4_d786e11615">
Ant.	w1_d786e11619
Frauendorfer,	w3_d786e11622
Burgerl.	w5_d786e11625
Schneid.,	w7_d786e11628
bey	w9_d786e11631
dem	w11_d786e11634
schwarz.	w1_d786e11639
Stief.	w3_d786e11642
im	w5_d786e11645
Salvator=gäs.,	w7_d786e11648
alt	w9_d786e11651
59.	w11_d786e11654
J.	w13_d786e11658
Dem	w1_d786e11663
Xav.	w3_d786e11666
Amant,	w5_d786e11669
Koch,	w7_d786e11672
s.	w9_d786e11675
K.	w11_d786e11678
Anna,	w13_d786e11682
im	w15_d786e11685
Liechten	w17_d786e11688
steinis.	w1_d786e11694
H.	w3_d786e11697
unterm	w5_d786e11700
Land=H.	w7_d786e11703
alt	w9_d786e11706
4.	w11_d786e11709
J.	w13_d786e11713
</list>
<head id="h2_d786e11720">
Vor	w1_d786e11724
der	w3_d786e11727
Stadt.	w5_d786e11730
</head>
<list id="l4_d786e11733">
Dem	w1_d786e11737
Paul	w3_d786e11740
Frank,	w5_d786e11743
Lust=gart.,	w7_d786e11746
s.	w9_d786e11749
W.	w11_d786e11752
Anna,	w13_d786e11756
beym	w15_d786e11759
gold.	w1_d786e11764
Schif	w3_d786e11767
im	w5_d786e11770
Liechtenth,	w7_d786e11773
alt	w9_d786e11776
36.	w11_d786e11779
J.	w13_d786e11783
Der	w1_d786e11788
Johanna	w3_d786e11791
Vollmayrin,	w5_d786e11794
Wittwe,	w7_d786e11797
ihr	w9_d786e11800
K.	w11_d786e11803
Johan	w13_d786e11807
na,	w1_d786e11813
bey	w3_d786e11816
der	w5_d786e11819
gr.	w7_d786e11822
Weintr.	w9_d786e11825
zu	w11_d786e11828
St.	w13_d786e11832
Ulrich,	w15_d786e11835
alt	w17_d786e11838
5.	w19_d786e11841
J.	w21_d786e11844
Barb.	w1_d786e11849
Kochin,	w3_d786e11852
Wittwe,	w5_d786e11855
beym	w7_d786e11858
gold.	w9_d786e11861
Schlüs.	w11_d786e11864
in	w13_d786e11868
der	w15_d786e11871
Josephst.,	w1_d786e11876
alt	w3_d786e11879
68.	w5_d786e11882
J.	w7_d786e11885
Dem	w1_d786e11890
Gottfr.	w3_d786e11893
Springler,	w5_d786e11896
Goldschm.=ges.,	w7_d786e11899
s.	w9_d786e11902
K.	w11_d786e11905
An	w13_d786e11909
na,	w1_d786e11915
beym	w3_d786e11918
stein.	w5_d786e11921
Kopf	w7_d786e11924
oberm	w9_d786e11927
Neustift,	w11_d786e11930
alt	w13_d786e11934
4.	w15_d786e11937
J.	w17_d786e11940
Dem	w1_d786e11945
Christian	w3_d786e11948
Hummel,	w5_d786e11951
Tüchelmach.=ges.,	w7_d786e11954
s.	w9_d786e11957
K.	w11_d786e11960
Joh.	w1_d786e11965
Georg,	w3_d786e11968
im	w5_d786e11971
erstbemeldt.	w7_d786e11974
H.,	w9_d786e11977
alt	w11_d786e11980
1.	w13_d786e11984
J.	w15_d786e11987
Dem	w1_d786e11992
Adam	w3_d786e11995
Hölzel,	w5_d786e11998
Burgerl.	w7_d786e12001
Schuhmach.,	w9_d786e12004
s.	w11_d786e12007
K.	w13_d786e12011
Cathar.,	w1_d786e12017
beym	w3_d786e12020
bl.	w5_d786e12023
Hecht.	w7_d786e12026
am	w9_d786e12029
Spitalb.,	w11_d786e12032
2.	w13_d786e12036
J.	w15_d786e12039
Dem	w1_d786e12044
Christian	w3_d786e12047
Wachter,	w5_d786e12050
Tischl.,	w7_d786e12053
s.	w9_d786e12056
K.	w11_d786e12059
Mich,	w13_d786e12063
bey	w15_d786e12066
dem	w1_d786e12071
rot.	w3_d786e12074
Ygel	w5_d786e12077
am	w7_d786e12080
Neubau,	w9_d786e12083
alt	w11_d786e12086
4.	w13_d786e12090
J.	w15_d786e12093
Dem	w1_d786e12098
Carl	w3_d786e12101
Beck,	w5_d786e12104
Taglöhn,	w7_d786e12107
s.	w9_d786e12110
K.	w11_d786e12113
Joh.,	w13_d786e12117
in	w15_d786e12120
der	w17_d786e12123
Do	w19_d786e12126
rothe	w1_d786e12132
mühl	w3_d786e12135
zu	w5_d786e12138
Gumpendorf,	w7_d786e12141
alt	w9_d786e12144
4.	w11_d786e12147
J.	w13_d786e12151
</list>
<head id="h2_d786e12158">
Summa	w1_d786e12162
10	w3_d786e12165
Person.,	w5_d786e12168
darunter	w7_d786e12171
7.	w9_d786e12174
Kind.	w11_d786e12177
Den	w1_d786e12182
24.	w3_d786e12185
Aug.	w5_d786e12188
Jn	w7_d786e12191
der	w9_d786e12194
Stadt.	w11_d786e12197
</head>
<list id="l4_d786e12200">
Jhre	w1_d786e12204
Excell.	w3_d786e12207
die	w5_d786e12210
Hoch	w7_d786e12213
und	w9_d786e12216
Wol=geb.	w11_d786e12219
Fr.	w13_d786e12223
Fr.	w15_d786e12226
Leo	w17_d786e12229
poldina	w1_d786e12234
verwittibte	w3_d786e12237
Gräfin	w5_d786e12240
von	w7_d786e12243
Starhemberg,	w9_d786e12246
geb	w1_d786e12251
Fürstin	w3_d786e12254
von	w5_d786e12257
Löwenstein	w7_d786e12260
Wertheim,	w9_d786e12263
in	w11_d786e12266
kl.	w13_d786e12270
Jo	w15_d786e12273
hannes=hof	w1_d786e12279
in	w3_d786e12282
der	w5_d786e12285
Kärntnerstr.	w7_d786e12288
alt	w9_d786e12291
73.	w11_d786e12294
J.	w13_d786e12298
Hr.	w1_d786e12303
Ludw.	w3_d786e12306
Springer,	w5_d786e12309
Burgerl.	w7_d786e12312
Gold=arbeit.,	w9_d786e12315
im	w11_d786e12318
Ludwigstorfis.	w1_d786e12323
H.	w3_d786e12326
in	w5_d786e12329
der	w7_d786e12332
Wildwerkerstr.,	w9_d786e12335
67.	w11_d786e12338
J.	w13_d786e12342
Dem	w1_d786e12347
Adam	w3_d786e12350
Brandl,	w5_d786e12353
Maurer=ges.,	w7_d786e12356
s.	w9_d786e12359
K.	w11_d786e12362
Barb.,	w13_d786e12366
in	w15_d786e12369
Gundianis.	w1_d786e12375
H.	w3_d786e12378
am	w5_d786e12381
Baurenm.,	w7_d786e12384
alt	w9_d786e12387
6.	w11_d786e12390
J.	w13_d786e12394
Dem	w1_d786e12399
Joh.	w3_d786e12402
Georg	w5_d786e12405
Eckhard,	w7_d786e12408
Burgerl.	w9_d786e12411
Bier=leut=geb.	w11_d786e12414
s.	w1_d786e12419
K.	w3_d786e12422
Anna	w5_d786e12425
Maria,	w7_d786e12428
im	w9_d786e12431
Becherl=hof	w11_d786e12434
in	w13_d786e12438
der	w15_d786e12441
Rö	w17_d786e12444
merstr.,	w1_d786e12449
alt	w3_d786e12452
7	w5_d786e12455
v.	w7_d786e12458
J.	w9_d786e12461
</list>
<p id="p6_d786e12465">
Dem	w1_d786e12469
Joh.	w3_d786e12472
Mayr,	w5_d786e12475
Burgerl.	w7_d786e12478
Bier=leut	w9_d786e12481
geb.,	w11_d786e12484
s.	w13_d786e12488
K.	w15_d786e12491
Ant.,	w1_d786e12496
im	w3_d786e12499
Gerroldis.	w5_d786e12502
H.	w7_d786e12505
am	w9_d786e12508
Salz	w11_d786e12511
gr.,	w13_d786e12515
alt	w15_d786e12518
1.	w17_d786e12521
J.	w19_d786e12524
</p>
<list id="l8_d786e12527">
Dem	w1_d786e12531
Hrn.	w3_d786e12534
Jos.	w5_d786e12537
Krammer	w7_d786e12540
Officiant	w9_d786e12543
in	w11_d786e12546
der	w13_d786e12550
Lioni	w15_d786e12553
schen	w1_d786e12558
Dratzug=fadric.	w3_d786e12561
s.	w5_d786e12564
K.	w7_d786e12567
Jos.,	w9_d786e12570
bey	w11_d786e12573
der	w13_d786e12577
Spanis.	w15_d786e12580
Kron	w1_d786e12585
auf	w3_d786e12588
der	w5_d786e12591
neuen	w7_d786e12594
Wied.,	w9_d786e12597
alt	w11_d786e12600
5.	w13_d786e12604
v.	w15_d786e12607
J.	w17_d786e12610
Dem	w1_d786e12616
Christian	w3_d786e12619
Schmid,	w5_d786e12622
Burgerl.	w7_d786e12625
Huterer,	w9_d786e12628
s.	w11_d786e12631
K.	w13_d786e12635
Joh.	w1_d786e12640
Georg,	w3_d786e12643
in	w5_d786e12646
s.	w7_d786e12649
H.	w9_d786e12652
auf	w11_d786e12655
der	w13_d786e12659
Laimgr.,	w15_d786e12662
alt	w17_d786e12665
1.	w19_d786e12668
J.	w21_d786e12671
Dem	w1_d786e12676
Jacob	w3_d786e12679
Schäffer,	w5_d786e12682
Burgerl.	w7_d786e12685
Schneid.,	w9_d786e12688
s.	w11_d786e12691
K.	w13_d786e12695
Eleon.,	w1_d786e12700
beym	w3_d786e12703
gold.	w5_d786e12706
Läm.	w7_d786e12709
auf	w9_d786e12712
der	w11_d786e12715
Wied.,	w13_d786e12719
2.	w15_d786e12722
J.	w17_d786e12725
Angelus	w1_d786e12731
Constantin,	w3_d786e12734
Burgerl.	w5_d786e12737
Zeugmach.,	w7_d786e12740
beym	w9_d786e12743
gr.	w1_d786e12748
Kegel	w3_d786e12751
am	w5_d786e12754
Neubau,	w7_d786e12757
alt	w9_d786e12760
52.	w11_d786e12763
J.	w13_d786e12767
Franz	w1_d786e12772
Marx,	w3_d786e12775
Burgerl.	w5_d786e12778
Faßzieh.,	w7_d786e12781
im	w9_d786e12784
Statzerisch.	w11_d786e12787
h.	w13_d786e12791
in	w1_d786e12796
der	w3_d786e12799
Rossau,	w5_d786e12802
alt	w7_d786e12805
65.	w9_d786e12808
J.	w11_d786e12811
Dem	w1_d786e12817
Jacob	w3_d786e12820
Hagen,	w5_d786e12823
Hof=befr.	w7_d786e12826
Gold	w9_d786e12829
arbeit.,	w11_d786e12832
s.	w13_d786e12836
K.	w15_d786e12839
Francisea,	w1_d786e12844
im	w3_d786e12847
Bildhaueris.	w5_d786e12850
H.	w7_d786e12853
am	w9_d786e12856
Spitalberg,	w11_d786e12859
alt	w1_d786e12864
6.	w3_d786e12867
v.	w5_d786e12870
J.	w7_d786e12873
Joh.	w1_d786e12878
Hubernagel,	w3_d786e12881
gew.	w5_d786e12884
K.	w7_d786e12887
Amalisch.	w9_d786e12890
Leiblack,	w11_d786e12893
bey	w13_d786e12897
dem	w1_d786e12903
gold.	w3_d786e12906
Bärn	w5_d786e12909
auf	w7_d786e12912
der	w9_d786e12915
Wind	w11_d786e12918
mühl,	w13_d786e12922
alt	w15_d786e12925
65.	w17_d786e12928
J.	w19_d786e12931
Joh.	w1_d786e12936
Baumgartner	w3_d786e12939
Zeugmach.	w5_d786e12942
ges.,	w7_d786e12945
beyn	w9_d786e12948
2.	w11_d786e12951
weis.	w13_d786e12955
Löw.	w1_d786e12960
am	w3_d786e12963
Neustift,	w5_d786e12966
alt	w7_d786e12969
58.	w9_d786e12972
J.	w11_d786e12975
Franz	w1_d786e12980
Millner,	w3_d786e12983
Schneid.,	w5_d786e12986
beym	w7_d786e12989
weis.	w9_d786e12992
Adl.	w11_d786e12995
am	w13_d786e12999
Tu	w15_d786e13002
ro,	w1_d786e13008
alt	w3_d786e13011
60.	w5_d786e13014
J.	w7_d786e13017
Georg	w1_d786e13022
Schwarzmayr,	w3_d786e13025
Schmalz	w5_d786e13028
wacht.,	w7_d786e13031
im	w9_d786e13034
Binde	w11_d786e13037
ris.	w1_d786e13042
H.	w3_d786e13045
in	w5_d786e13048
der	w7_d786e13051
Leopoldst.,	w9_d786e13054
alt	w11_d786e13057
47.	w13_d786e13061
J.	w15_d786e13064
Cathar.	w1_d786e13069
Baumgartnerin,	w3_d786e13072
Wittwe,	w5_d786e13075
im	w7_d786e13078
Tischleris.	w9_d786e13081
H.	w11_d786e13084
auf	w1_d786e13090
der	w3_d786e13093
Wied.,	w5_d786e13096
alt	w7_d786e13099
66.	w9_d786e13102
J.	w11_d786e13105
Anna	w1_d786e13110
Rauschin,	w3_d786e13113
Wittwe,	w5_d786e13116
bey	w7_d786e13119
der	w9_d786e13122
gold.	w11_d786e13125
Rosen	w13_d786e13129
zu	w15_d786e13132
Matzleinstorf,	w1_d786e13137
alt	w3_d786e13140
81.	w5_d786e13143
J.	w7_d786e13146
Dem	w1_d786e13151
Casp.	w3_d786e13154
Pieringer,	w5_d786e13157
Schneid.,	w7_d786e13160
s.	w9_d786e13163
K.	w11_d786e13166
Reg.,	w13_d786e13170
beym	w15_d786e13173
gold.	w1_d786e13179
Hirsch.	w3_d786e13182
am	w5_d786e13185
Neubau,	w7_d786e13188
alt	w9_d786e13191
4.	w11_d786e13194
J.	w13_d786e13198
Dem	w1_d786e13203
Sim.	w3_d786e13206
Artner,	w5_d786e13209
Taglöhn,	w7_d786e13212
s.	w9_d786e13215
S.	w11_d786e13218
Carl,	w13_d786e13222
beym	w15_d786e13225
bl.	w17_d786e13228
Stief.	w1_d786e13233
zu	w3_d786e13236
Erdberg,	w5_d786e13239
alt	w7_d786e13242
22.	w9_d786e13245
J.	w11_d786e13248
Dem	w1_d786e13253
Jos.	w3_d786e13256
Kegel,	w5_d786e13259
Taglöhn.,	w7_d786e13262
s.	w9_d786e13265
K.	w11_d786e13268
Maria	w13_d786e13272
Anna,	w15_d786e13275
bey	w17_d786e13278
denen	w1_d786e13284
3.	w3_d786e13287
Senj.	w5_d786e13290
im	w7_d786e13293
Lerchenf.,	w9_d786e13296
alt	w11_d786e13299
4.	w13_d786e13303
J.	w15_d786e13306
</list>
<head id="h2_d786e13313">
Vor	w1_d786e13317
der	w3_d786e13320
Stadt.	w5_d786e13323
</head>
<head id="h2_d786e13330">
Summa	w1_d786e13334
20.	w3_d786e13337
Pers.,	w5_d786e13340
darunter	w7_d786e13343
9.	w9_d786e13346
Kind.	w11_d786e13349
</head>
<head id="h2_d786e13355">
AVERTISSEMENT.	w1_d786e13359
</head>
<p id="p4_d786e13362">
Es	w1_d786e13366
wird	w3_d786e13369
dem	w5_d786e13372
Publico	w7_d786e13375
hiemit	w9_d786e13378
bekannt	w11_d786e13381
gemacht,	w13_d786e13385
baß	w1_d786e13390
in	w3_d786e13393
den	w5_d786e13396
drey	w7_d786e13399
Monaten	w9_d786e13402
Julio,	w11_d786e13405
Augusto	w13_d786e13409
und	w15_d786e13412
Septemb.	w1_d786e13417
dies	w3_d786e13420
Jahrs	w5_d786e13423
bis	w7_d786e13426
zu	w9_d786e13429
neuer	w11_d786e13432
Regulirung	w13_d786e13436
in	w1_d786e13442
dem	w3_d786e13445
Detail=verkauf	w5_d786e13448
gegen	w7_d786e13451
baarer	w9_d786e13454
Bezahlung	w11_d786e13457
der	w1_d786e13462
Zucker	w3_d786e13465
ohne	w5_d786e13468
Papier	w7_d786e13471
und	w9_d786e13474
Spagat	w11_d786e13477
allhier	w13_d786e13481
in	w15_d786e13484
den	w1_d786e13489
nachgesetzten	w3_d786e13492
Preisen	w5_d786e13495
nach	w7_d786e13498
seiner	w9_d786e13501
Qualität	w11_d786e13504
von	w13_d786e13508
den	w1_d786e13513
Material	w3_d786e13516
und	w5_d786e13519
Specerey=händlern	w7_d786e13522
hindan	w9_d786e13525
gegeben,	w1_d786e13531
und	w3_d786e13534
diese	w5_d786e13537
Preise	w7_d786e13540
bey	w9_d786e13543
gemessener	w11_d786e13546
Stra	w13_d786e13550
fe	w1_d786e13555
nicht	w3_d786e13558
überschritten	w5_d786e13561
werden	w7_d786e13564
sollen,	w9_d786e13567
als	w11_d786e13570
Candie	w13_d786e13574
brod	w1_d786e13579
das	w3_d786e13582
Pf.	w5_d786e13585
pr.	w7_d786e13588
52.	w9_d786e13591
kr.	w11_d786e13594
Fein	w13_d786e13598
fein,	w15_d786e13601
das	w17_d786e13604
Pf.	w19_d786e13607
pr.	w21_d786e13610
49.	w1_d786e13615
kr.	w3_d786e13618
Ord.	w5_d786e13621
fein.	w7_d786e13624
das	w9_d786e13627
Pf.	w11_d786e13630
pr.	w13_d786e13634
46.	w15_d786e13637
kr.	w17_d786e13640
Fein	w19_d786e13643
Rassi	w21_d786e13646
nat,	w1_d786e13652
das	w3_d786e13655
Pf.	w5_d786e13658
pr.	w7_d786e13661
44.	w9_d786e13664
kr.	w11_d786e13667
Mittel	w13_d786e13671
deto,	w15_d786e13674
das	w17_d786e13677
Pf.	w19_d786e13680
pr.	w1_d786e13685
42.	w3_d786e13688
kr.	w5_d786e13691
Ord.	w7_d786e13694
deto,	w9_d786e13697
das	w11_d786e13700
Pf.	w13_d786e13704
pr.	w15_d786e13707
40.	w17_d786e13710
kr.	w19_d786e13713
Fein	w21_d786e13716
klein	w1_d786e13721
Melis,	w3_d786e13724
das	w5_d786e13727
Pf.	w7_d786e13730
pr.	w9_d786e13733
37.	w11_d786e13736
kr.	w13_d786e13740
Fein	w15_d786e13743
groß	w17_d786e13746
Me	w19_d786e13749
liß,	w1_d786e13754
das	w3_d786e13757
Pf.	w5_d786e13760
pr.	w7_d786e13763
35.	w9_d786e13766
kr.	w11_d786e13769
Ord.	w13_d786e13773
