<doc id="wr_1759-05-02" attrs="word" year="1759" month="05" day="02" corpus="2">
<head id="h2_d344e3775">
Maynstrom	w1_d344e3779
<p id="p10_d344e11092">
Von	w1_d344e11096
Marienwerder:	w3_d344e11099
daß	w5_d344e11102
die	w7_d344e11105
Kaiserl.	w9_d344e11108
Rußische	w1_d344e11113
Armee	w3_d344e11116
aus	w5_d344e11119
3.	w7_d344e11122
Abtheilungen	w9_d344e11125
bestehe,	w11_d344e11128
deren	w1_d344e11133
die	w3_d344e11136
erstere	w5_d344e11139
von	w7_d344e11142
dem	w9_d344e11145
Herrn	w11_d344e11148
Grafen	w13_d344e11152
Braulow	w1_d344e11158
Bakreof;	w3_d344e11161
die	w5_d344e11164
anderte	w7_d344e11167
von	w9_d344e11170
dem	w11_d344e11173
Herrn	w1_d344e11178
Grafen	w3_d344e11181
Roumanzof,	w5_d344e11184
und	w7_d344e11187
die	w9_d344e11190
dritte	w11_d344e11193
von	w13_d344e11197
dem	w1_d344e11202
Herrn	w3_d344e11205
Villebois	w5_d344e11208
all=seitigen	w7_d344e11211
Leute	w9_d344e11214
nants	w1_d344e11219
Generals;	w3_d344e11222
das	w5_d344e11225
sogenannte	w7_d344e11228
neue	w9_d344e11231
Corps	w11_d344e11234
aber	w1_d344e11240
von	w3_d344e11243
dem	w5_d344e11246
Leutenant=General	w7_d344e11249
Prinzen	w9_d344e11252
Galliczin	w1_d344e11257
commandiret	w3_d344e11260
werde.	w5_d344e11263
</p>
<p id="p12_d344e11267">
Von	w1_d344e11271
Thoren:	w3_d344e11274
daß	w5_d344e11277
der	w7_d344e11280
gröste	w9_d344e11283
Theil	w11_d344e11286
der	w13_d344e11290
allda	w1_d344e11295
zusammen	w3_d344e11298
ziehenden	w5_d344e11301
Rußischen	w7_d344e11304
Armee	w9_d344e11307
geraden	w1_d344e11312
Weegs	w3_d344e11315
nach	w5_d344e11318
Schlesienzmarschiren,	w7_d344e11321
ein	w1_d344e11327
kleineres	w3_d344e11330
Corps	w5_d344e11333
aber	w7_d344e11336
in	w9_d344e11339
die	w11_d344e11342
Gegend	w13_d344e11346
von	w15_d344e11349
Cüstrin	w1_d344e11354
vorrucken,	w3_d344e11357
und	w5_d344e11360
noch	w7_d344e11363
ein	w9_d344e11366
kleineres	w11_d344e11369
den	w13_d344e11373
Strich	w1_d344e11378
bey	w3_d344e11381
Dirschau	w5_d344e11384
längs	w7_d344e11387
der	w9_d344e11390
Weichsel	w11_d344e11393
beobachten	w1_d344e11398
werde.	w3_d344e11401
</p>
<p id="p14_d344e11404">
Von	w1_d344e11408
Versailles:	w3_d344e11411
daß	w5_d344e11414
man	w7_d344e11417
an	w9_d344e11420
der	w11_d344e11423
Reise	w13_d344e11427
des	w1_d344e11432
Königs	w3_d344e11435
nach	w5_d344e11438
Lyon	w7_d344e11441
zu	w9_d344e11444
zweifeln	w11_d344e11447
anfange;	w13_d344e11451
daß	w1_d344e11456
hingegen	w3_d344e11459
am	w5_d344e11462
11.	w7_d344e11465
dieses	w9_d344e11468
die	w11_d344e11471
Reise	w13_d344e11475
des	w15_d344e11478
Herr	w1_d344e11484
Grafens	w3_d344e11487
von	w5_d344e11490
Lausitz	w7_d344e11493
nach	w9_d344e11496
der	w11_d344e11499
Armee	w13_d344e11503
am	w15_d344e11506
Ober=rheine	w1_d344e11511
würklich	w3_d344e11514
vor	w5_d344e11517
sich	w7_d344e11520
gegangen	w9_d344e11523
sey;	w11_d344e11526
daß	w1_d344e11531
die	w3_d344e11534
meiste	w5_d344e11537
Generalen,	w7_d344e11540
und	w9_d344e11543
unter	w11_d344e11546
ande	w13_d344e11550
ren	w1_d344e11555
der	w3_d344e11558
Herr	w5_d344e11561
Herzog	w7_d344e11564
von	w9_d344e11567
Havre,	w11_d344e11570
der	w13_d344e11574
Herr	w15_d344e11577
Herzog	w1_d344e11583
von	w3_d344e11586
Laval,	w5_d344e11589
und	w7_d344e11592
der	w9_d344e11595
Herr	w11_d344e11598
von	w13_d344e11602
Plania,	w15_d344e11605
eben	w1_d344e11610
dahin	w3_d344e11613
abzugehen	w5_d344e11616
im	w7_d344e11619
Begrif	w9_d344e11622
stünden;	w11_d344e11625
daß	w1_d344e11630
der	w3_d344e11633
Herr	w5_d344e11636
Marschall	w7_d344e11639
von	w9_d344e11642
Contades	w11_d344e11645
schon	w13_d344e11649
am	w1_d344e11654
25.	w3_d344e11657
April	w5_d344e11660
bey	w7_d344e11663
besagter	w9_d344e11666
Armee	w11_d344e11669
einzutreffen	w13_d344e11673
gesonnen	w1_d344e11679
gewesen,	w3_d344e11682
und	w5_d344e11685
daß	w7_d344e11688
auch	w9_d344e11691
der	w11_d344e11694
Herr	w13_d344e11698
Prinz	w1_d344e11703
von	w3_d344e11706
Conde	w5_d344e11709
(welcher	w7_d344e11712
den	w9_d344e11715
heurigen	w11_d344e11718
Feld	w13_d344e11722
zug	w1_d344e11727
abermals	w3_d344e11730
mitzumachen	w5_d344e11733
beschlossen)	w7_d344e11736
dem	w9_d344e11739
selben	w1_d344e11744
in	w3_d344e11747
denen	w5_d344e11750
ersten	w7_d344e11753
Tagen	w9_d344e11756
des	w11_d344e11759
May	w13_d344e11763
dahin	w15_d344e11766
folgen	w1_d344e11772
werde.	w3_d344e11775
</p>
<p id="p16_d344e11778">
Die	w1_d344e11782
neueste	w3_d344e11785
Briefe	w5_d344e11788
aus	w7_d344e11791
Böhmen	w9_d344e11794
mel	w11_d344e11797
den,	w1_d344e11802
daß	w3_d344e11805
das	w5_d344e11808
Corps	w7_d344e11811
Preussen,	w9_d344e11814
welches	w11_d344e11817
un	w13_d344e11821
längst	w1_d344e11826
über	w3_d344e11829
Comotau,	w5_d344e11832
und	w7_d344e11835
Außig	w9_d344e11838
eingedrun	w11_d344e11841
gen,	w1_d344e11847
wiederum,	w3_d344e11850
und	w5_d344e11853
zwar	w7_d344e11856
eine	w9_d344e11859
Colonne	w11_d344e11862
über	w13_d344e11866
Welmarn,	w1_d344e11871
Budin,	w3_d344e11874
und	w5_d344e11877
Lowositz,	w7_d344e11880
die	w9_d344e11883
andere	w11_d344e11886
aber	w1_d344e11891
nach	w3_d344e11894
Postelberg	w5_d344e11897
und	w7_d344e11900
Saatz	w9_d344e11903
sich	w11_d344e11906
zuruck	w13_d344e11910
gezogen	w1_d344e11915
habe.	w3_d344e11918
Die	w5_d344e11921
Kaiserl.	w7_d344e11924
Königl.	w9_d344e11927
Regi	w11_d344e11930
menter,	w1_d344e11936
welche	w3_d344e11939
bey	w5_d344e11942
Türsko	w7_d344e11945
gestanden,	w9_d344e11948
rucken	w11_d344e11951
</p>
<p id="p20_d344e11956">
dem	w1_d344e11960
Feind	w3_d344e11963
immer	w5_d344e11966
nach,	w7_d344e11969
und	w9_d344e11972
der	w11_d344e11975
Succurs	w13_d344e11979
von	w1_d344e11984
der	w3_d344e11987
Haupt=armee	w5_d344e11990
ist	w7_d344e11993
nicht	w9_d344e11996
weiter	w11_d344e11999
als	w13_d344e12003
bis	w15_d344e12006
Jung=bunzlau	w1_d344e12011
gekommen,	w3_d344e12014
die	w5_d344e12017
Cavallerie	w7_d344e12020
regimenter	w1_d344e12026
Los	w3_d344e12029
Rios,	w5_d344e12032
und	w7_d344e12035
Arberg	w9_d344e12038
ausge	w11_d344e12041
nommen,	w1_d344e12046
welche	w3_d344e12049
bis	w5_d344e12052
Brandeis	w7_d344e12055
vorgerücket.	w9_d344e12058
Der	w1_d344e12063
Herr	w3_d344e12066
General	w5_d344e12069
von	w7_d344e12072
Brentano	w9_d344e12075
scharmu	w11_d344e12078
ziret	w1_d344e12083
beständig	w3_d344e12086
mit	w5_d344e12089
denen	w7_d344e12092
Preußischen	w9_d344e12095
Trupen,	w11_d344e12098
und	w1_d344e12104
macht	w3_d344e12107
immer	w5_d344e12110
Gefangene.	w7_d344e12113
Von	w9_d344e12116
der	w11_d344e12119
Haupt=armee	w1_d344e12124
vernihmt	w3_d344e12127
man,	w5_d344e12130
daß	w7_d344e12133
das	w9_d344e12136
Haupt	w11_d344e12139
quartier	w1_d344e12144
von	w3_d344e12147
Gitschin	w5_d344e12150
nach	w7_d344e12153
Schurz	w9_d344e12156
verleget	w11_d344e12159
worden,	w1_d344e12164
und	w3_d344e12167
daß	w5_d344e12170
auch	w7_d344e12173
der	w9_d344e12176
Herr	w11_d344e12179
General	w13_d344e12183
Laudon	w1_d344e12189
mit	w3_d344e12192
denen	w5_d344e12195
Preußischen	w7_d344e12198
Vor=trupen	w9_d344e12201
beständig	w1_d344e12206
scharmuzire.	w3_d344e12209
Preußischer	w5_d344e12212
Seits	w7_d344e12215
werden	w1_d344e12220
immerzu	w3_d344e12223
Bewegungen	w5_d344e12226
gemacht,	w7_d344e12229
so,	w9_d344e12232
daß,	w1_d344e12237
wo	w3_d344e12240
heute	w5_d344e12243
die	w7_d344e12246
Avant=garde	w9_d344e12249
gestanden,	w11_d344e12252
worgen	w1_d344e12258
die	w3_d344e12261
Arrier=garde	w5_d344e12264
zu	w7_d344e12267
stehen	w9_d344e12270
kommet.	w11_d344e12273
</p>
<p id="p22_d344e12276">
Von	w1_d344e12280
Hanau:	w3_d344e12283
Daß	w5_d344e12286
die	w7_d344e12289
Alliirte	w9_d344e12292
seit	w11_d344e12295
der	w13_d344e12299
den	w1_d344e12304
13.	w3_d344e12307
April	w5_d344e12310
bey	w7_d344e12313
Bergen	w9_d344e12316
verlornen	w11_d344e12319
Schlacht	w13_d344e12323
fortfahren,	w1_d344e12328
sich	w3_d344e12331
nacher	w5_d344e12334
Ziegenhayn	w7_d344e12337
zuruck	w9_d344e12340
zu	w1_d344e12346
ziehen,	w3_d344e12349
und	w5_d344e12352
daß	w7_d344e12355
die	w9_d344e12358
unter	w11_d344e12361
Commando	w13_d344e12365
des	w1_d344e12370
Generals	w3_d344e12373
von	w5_d344e12376
Hartenberg	w7_d344e12379
zu	w9_d344e12382
ihrer	w11_d344e12385
Ver	w13_d344e12389
stärkung	w1_d344e12394
gewiedmete	w3_d344e12397
5000.	w5_d344e12400
Mann	w7_d344e12403
das	w9_d344e12406
feind	w11_d344e12409
liche	w1_d344e12414
Absehen,	w3_d344e12417
die	w5_d344e12420
Stadt	w7_d344e12423
Marburg	w9_d344e12426
zu	w11_d344e12429
be	w13_d344e12433
setzen,	w1_d344e12439
allwürklichen	w3_d344e12442
erfüllet	w5_d344e12445
hätte,	w7_d344e12448
alwo	w9_d344e12451
aber	w1_d344e12456
in	w3_d344e12459
dem	w5_d344e12462
Schloß	w7_d344e12465
annoch	w9_d344e12468
eine	w11_d344e12471
hinläng	w13_d344e12475
liche	w1_d344e12480
Französische	w3_d344e12483
Besatzung	w5_d344e12486
sich	w7_d344e12489
befinde.	w9_d344e12492
</p>
<head id="h2_d344e12506">
Wien	w1_d344e12510
den	w3_d344e12513
2.	w5_d344e12516
May	w7_d344e12519
1759.	w9_d344e12522
</head>
<p id="p4_d344e12525">
Vorigen	w1_d344e12529
Samstag	w3_d344e12532
den	w5_d344e12535
28.	w7_d344e12538
April	w9_d344e12541
haben	w11_d344e12544
beyde	w1_d344e12549
Kaiserl.	w3_d344e12552
Majestäten	w5_d344e12555
samt	w7_d344e12558
Sr.	w9_d344e12561
Königl.	w1_d344e12566
Hoheit	w3_d344e12569
dem	w5_d344e12572
Durchl.	w7_d344e12575
Cron	w9_d344e12578
und	w11_d344e12581
Erb	w13_d344e12585
prinzen	w1_d344e12591
Erz=herzogen	w3_d344e12594
Joseph	w5_d344e12597
die	w7_d344e12600
Burg	w9_d344e12603
ver	w11_d344e12606
lassen,	w1_d344e12611
und	w3_d344e12614
das	w5_d344e12617
Lust=schloß	w7_d344e12620
Schönbrunn	w9_d344e12623
be	w11_d344e12626
zogen.	w1_d344e12631
</p>
<p id="p6_d344e12634">
Sonntag	w1_d344e12638
den	w3_d344e12641
21.	w5_d344e12644
dito,	w7_d344e12647
haben	w9_d344e12650
Se.	w11_d344e12653
Ma	w13_d344e12657
jestät	w1_d344e12662
der	w3_d344e12665
Kaiser	w5_d344e12668
samt	w7_d344e12671
höchst=gedacht	w9_d344e12674
Sr.	w11_d344e12677
Königl.	w1_d344e12682
Hoheit	w3_d344e12685
dem	w5_d344e12688
Durchleuchtigsten	w7_d344e12691
Erz	w9_d344e12694
herzogen	w1_d344e12700
Joseph	w3_d344e12703
bey	w5_d344e12706
denen	w7_d344e12709
WW.	w9_d344e12712
EE.	w11_d344e12715
PP.	w13_d344e12719
Franciscanern,	w1_d344e12724
wegen	w3_d344e12727
des	w5_d344e12730
alda	w7_d344e12733
begangenen	w9_d344e12736
guten	w1_d344e12741
Hirten=festes,	w3_d344e12744
unter	w5_d344e12747
Aufwartung	w7_d344e12750
des	w9_d344e12753
Päpstl.	w1_d344e12758
Monsig.	w3_d344e12761
Nuntii,	w5_d344e12764
und	w7_d344e12767
Venetiani	w9_d344e12770
schen	w1_d344e12776
Herrn	w3_d344e12779
Bottschafters,	w5_d344e12782
der	w7_d344e12785
feyerlichen	w9_d344e12788
Andacht	w1_d344e12793
abgewartet.	w3_d344e12796
</p>
<p id="p8_d344e12799">
Eodem	w1_d344e12803
seynd	w3_d344e12806
für	w5_d344e12809
nachfolgende	w7_d344e12812
Hoch	w9_d344e12815
adeliche	w1_d344e12820
Stern=kreutz=ordens=damen,	w3_d344e12823
be	w5_d344e12826
nanntlich	w1_d344e12831
für	w3_d344e12834
(Titl.)	w5_d344e12837
Frau	w7_d344e12840
Clara	w9_d344e12843
Herzogin	w11_d344e12846
von	w1_d344e12852
Caraccioli,	w3_d344e12855
geborne	w5_d344e12858
Herzogin	w7_d344e12861
von	w9_d344e12864
St.	w11_d344e12867
Vito,	w1_d344e12872
so	w3_d344e12875
zu	w5_d344e12878
Neapel	w7_d344e12881
den	w9_d344e12884
15.	w11_d344e12887
Martii	w13_d344e12891
in	w15_d344e12894
Gott	w1_d344e12899
selig	w3_d344e12902
verschieden;	w5_d344e12905
dann	w7_d344e12908
für	w9_d344e12911
(Titl.)	w11_d344e12914
Frau	w1_d344e12919
Maria	w3_d344e12922
Anna	w5_d344e12925
Gräfin	w7_d344e12928
von	w9_d344e12931
Gallas,	w11_d344e12934
geborne	w1_d344e12940
Gräfin	w3_d344e12943
von	w5_d344e12946
Colonna,	w7_d344e12949
und	w9_d344e12952
Föls,	w11_d344e12955
welche	w1_d344e12960
zu	w3_d344e12963
Prag	w5_d344e12966
den	w7_d344e12969
6.	w9_d344e12972
April	w11_d344e12975
lauffenden	w13_d344e12979
Jahrs	w1_d344e12984
verblichen,	w3_d344e12987
in	w5_d344e12990
der	w7_d344e12993
grossen	w9_d344e12996
Hof=kapelle	w11_d344e12999
die	w1_d344e13004
Exequien	w3_d344e13007
gehalten	w5_d344e13010
worden.	w7_d344e13013
</p>
<p id="p10_d344e13016">
Gestrigen	w1_d344e13020
Dienstag,	w3_d344e13023
als	w5_d344e13026
den	w7_d344e13029
1.	w9_d344e13032
May,	w11_d344e13035
und	w1_d344e13040
Fest	w3_d344e13043
deren	w5_d344e13046
heiligen	w7_d344e13049
Aposteln	w9_d344e13052
Philippi,	w11_d344e13055
und	w1_d344e13060
Jacobi	w3_d344e13063
seynd	w5_d344e13066
Jhre	w7_d344e13069
Kaiserl.	w9_d344e13072
Königl.	w11_d344e13075
Majestät	w1_d344e13081
samt	w3_d344e13084
zweyer	w5_d344e13087
Durchl.	w7_d344e13090
Erz=herzogen	w9_d344e13093
und	w1_d344e13098
zweyer	w3_d344e13101
Durchl.	w5_d344e13104
Erz=herzoginnen	w7_d344e13107
Kö	w9_d344e13110
nigl.	w1_d344e13115
Hoheiten	w3_d344e13118
von	w5_d344e13121
Schönbrunn	w7_d344e13124
herein	w9_d344e13127
in	w11_d344e13130
die	w1_d344e13135
Kirche	w3_d344e13138
St.	w5_d344e13141
Ursula	w7_d344e13144
abgefahren,	w9_d344e13147
und	w11_d344e13150
ha	w13_d344e13154
ben	w1_d344e13160
allda	w3_d344e13163
der	w5_d344e13166
Einkleidung	w7_d344e13169
(Titl.)	w9_d344e13172
Fräule	w11_d344e13175
Gräfin	w1_d344e13180
von	w3_d344e13183
Goes	w5_d344e13186
beygewohnet.	w7_d344e13189
</p>
<p id="p12_d344e13193">
Uebrigens	w1_d344e13197
haben	w3_d344e13200
die	w5_d344e13203
Allerhöchste	w7_d344e13206
Herr	w9_d344e13209
schaften	w1_d344e13214
auch	w3_d344e13217
diese	w5_d344e13220
drey	w7_d344e13223
letztere	w9_d344e13226
Täge	w11_d344e13229
hin	w13_d344e13233
durch	w1_d344e13238
in	w3_d344e13241
der	w5_d344e13244
Kirche	w7_d344e13247
deren	w9_d344e13250
WW.	w11_d344e13253
EE.	w13_d344e13257
PP.	w15_d344e13260
Augustinern	w1_d344e13266
bey	w3_d344e13269
dem	w5_d344e13272
Schluß	w7_d344e13275
des	w9_d344e13278
angeord	w11_d344e13281
neten	w1_d344e13286
Kriegs=gebetts	w3_d344e13289
verschiedene	w5_d344e13292
Bettstun	w7_d344e13295
den	w1_d344e13300
Abwechslungs=weise	w3_d344e13303
gehalten.	w5_d344e13306
</p>
<p id="p14_d344e13309">
Das	w1_d344e13313
im	w3_d344e13316
verwichenen	w5_d344e13319
Diario	w7_d344e13322
gestandene	w9_d344e13325
Datum	w1_d344e13330
Constantinopel	w3_d344e13333
den	w5_d344e13336
26.	w7_d344e13339
April	w9_d344e13342
ist	w11_d344e13345
ein	w13_d344e13349
Verstoß	w1_d344e13354
gewesen,	w3_d344e13357
und	w5_d344e13360
hätte	w7_d344e13363
heissen	w9_d344e13366
sollen:	w11_d344e13369
den	w1_d344e13375
26.	w3_d344e13378
Martki.	w5_d344e13381
</p>
<head id="h2_d344e13387">
Lista	w1_d344e13391
deren	w3_d344e13394
Verstorbenen	w5_d344e13397
zu	w7_d344e13400
Wien	w9_d344e13403
in	w1_d344e13408
und	w3_d344e13411
vor	w5_d344e13414
der	w7_d344e13417
Stadt.	w9_d344e13420
Den	w1_d344e13425
26.	w3_d344e13428
April.	w5_d344e13431
Jn	w1_d344e13437
der	w3_d344e13440
Stadt.	w5_d344e13443
</head>
<list id="l4_d344e13446">
Pet.	w1_d344e13450
Duwald,	w3_d344e13453
gew.	w5_d344e13456
K.	w7_d344e13459
Trab,	w9_d344e13462
bey	w11_d344e13465
der	w13_d344e13469
gold.	w15_d344e13472
Ent.	w17_d344e13475
in	w19_d344e13478
der	w1_d344e13483
Schulerstr.,	w3_d344e13486
alt	w5_d344e13489
75.	w7_d344e13492
J.	w9_d344e13495
Eva	w1_d344e13500
Moserin,	w3_d344e13503
Burgerl.	w5_d344e13506
Wittwe,	w7_d344e13509
im	w9_d344e13512
Hof=wagneris.	w11_d344e13515
H.	w1_d344e13521
im	w3_d344e13524
Comödi=gäs.,	w5_d344e13527
alt	w7_d344e13530
52.	w9_d344e13533
J.	w11_d344e13536
</list>
<head id="h2_d344e13544">
Vor	w1_d344e13548
der	w3_d344e13551
Stadt.	w5_d344e13554
</head>
<p id="p4_d344e13557">
Dem	w1_d344e13561
Ferd.	w3_d344e13564
Prinner,	w5_d344e13567
Burgerl.	w7_d344e13570
Kuchel=gart.,	w9_d344e13573
s.	w11_d344e13576
G.	w13_d344e13580
Jos.,	w1_d344e13585
beym	w3_d344e13588
gold.	w5_d344e13591
Löw.	w7_d344e13594
untern	w9_d344e13597
Weiß=garb.,	w11_d344e13600
17.	w13_d344e13604
J.	w15_d344e13607
Ursula	w1_d344e13612
Steinerin,	w3_d344e13615
Burgerl.	w5_d344e13618
Wittwe,	w7_d344e13621
im	w9_d344e13624
Kraupzel	w11_d344e13627
binderis.	w1_d344e13633
H.	w3_d344e13636
auf	w5_d344e13639
der	w7_d344e13642
Landstr.,	w9_d344e13645
alt	w11_d344e13648
79.	w13_d344e13652
J.	w15_d344e13655
</p>
<list id="l10_d344e13668">
Jacob	w1_d344e13672
Veit,	w3_d344e13675
Zimmer=ges.,	w5_d344e13678
beym	w7_d344e13681
gold.	w9_d344e13684
Baum	w11_d344e13687
im	w13_d344e13691
Liechtenth,	w1_d344e13696
alt	w3_d344e13699
59.	w5_d344e13702
J.	w7_d344e13705
</list>
<head id="h2_d344e13712">
Summa	w1_d344e13716
5.	w3_d344e13719
Person.	w5_d344e13722
darunter	w7_d344e13725
0.	w9_d344e13728
Kind.	w11_d344e13731
Den	w1_d344e13736
27.	w3_d344e13739
April.	w5_d344e13742
Jn	w1_d344e13747
der	w3_d344e13750
Stadt	w5_d344e13753
</head>
<list id="l4_d344e13756">
Der	w1_d344e13760
Hoch=u.	w3_d344e13763
Wol	w5_d344e13766
geb.	w7_d344e13769
Hr.	w9_d344e13772
Jgnatz	w11_d344e13775
Bar.	w13_d344e13779
von	w15_d344e13782
Khül	w17_d344e13785
bach,	w1_d344e13790
gew.	w3_d344e13793
KK.	w5_d344e13796
Obrist=leuten.,	w7_d344e13799
im	w9_d344e13802
Riemeris.	w11_d344e13805
H.	w13_d344e13809
in	w1_d344e13814
der	w3_d344e13817
Krugerstr.,	w5_d344e13820
alt	w7_d344e13823
74	w9_d344e13826
J.	w11_d344e13829
Die	w1_d344e13835
Wol=edel=geb.	w3_d344e13838
Fr.	w5_d344e13841
Anna	w7_d344e13844
Barb.	w9_d344e13847
v.	w11_d344e13850
Böck,	w13_d344e13854
Witt	w15_d344e13857
we,	w1_d344e13862
im	w3_d344e13865
Brandweineris.	w5_d344e13868
H.	w7_d344e13871
in	w9_d344e13874
der	w11_d344e13877
Nagler=gas.,	w13_d344e13881
alt	w1_d344e13886
67.	w3_d344e13889
Dem	w1_d344e13894
Georg	w3_d344e13897
Kürner,	w5_d344e13900
Burgerl.	w7_d344e13903
Oel.,	w9_d344e13906
s.	w11_d344e13909
Ehew.	w13_d344e13913
Ma	w15_d344e13916
ria	w1_d344e13922
Anna,	w3_d344e13925
in	w5_d344e13928
s.	w7_d344e13931
H.	w9_d344e13934
in	w11_d344e13937
der	w13_d344e13941
Schulerstr.,	w15_d344e13944
alt	w17_d344e13947
37.	w19_d344e13950
J.	w21_d344e13953
</list>
<head id="h2_d344e13960">
Vor	w1_d344e13964
der	w3_d344e13967
Stadt.	w5_d344e13970
</head>
<list id="l4_d344e13973">
Elisab.	w1_d344e13977
Stockabäurin,	w3_d344e13980
Wittwe,	w5_d344e13983
beym	w7_d344e13986
grün.	w9_d344e13989
Krantz	w11_d344e13992
ausser	w1_d344e13997
Maria=hülf,	w3_d344e14000
alt	w5_d344e14003
43.	w7_d344e14006
Ant.	w1_d344e14011
Schlesinger,	w3_d344e14014
Schneid,	w5_d344e14017
beyn	w7_d344e14020
3.	w9_d344e14023
Engeln	w11_d344e14026
im	w13_d344e14030
Ler	w15_d344e14033
chenf.,	w1_d344e14039
alt	w3_d344e14042
42.	w5_d344e14045
J.	w7_d344e14048
Paul	w1_d344e14053
Hick,	w3_d344e14056
Heyd.,	w5_d344e14059
beyn	w7_d344e14062
3.	w9_d344e14065
Huf=cis.	w11_d344e14068
in	w13_d344e14072
der	w15_d344e14075
Koht	w17_d344e14078
gas.,	w1_d344e14083
alt	w3_d344e14086
47.	w5_d344e14089
J.	w7_d344e14092
Dem	w1_d344e14097
Leop.	w3_d344e14100
Wißbauer,	w5_d344e14103
Maurern,	w7_d344e14106
s.	w9_d344e14109
W.	w11_d344e14112
Theres.,	w13_d344e14116
in	w15_d344e14119
s.	w1_d344e14125
H.	w3_d344e14128
zu	w5_d344e14131
Erdberg,	w7_d344e14134
alt	w9_d344e14137
59.	w11_d344e14140
J.	w13_d344e14144
Dem	w1_d344e14149
Georg	w3_d344e14152
Agner,	w5_d344e14155
Trag.,	w7_d344e14158
s.	w9_d344e14161
W.	w11_d344e14164
Cathar.,	w13_d344e14168
bey	w15_d344e14171
der	w17_d344e14174
gold.	w1_d344e14179
Glock.	w3_d344e14182
oberm	w5_d344e14185
Neustift,	w7_d344e14188
alt	w9_d344e14191
37.	w11_d344e14194
J.	w13_d344e14198
</list>
<head id="h2_d344e14205">
Summa	w1_d344e14209
8.	w3_d344e14212
Person.	w5_d344e14215
/	w7_d344e14218
darunter	w9_d344e14221
0.	w11_d344e14224
Kind.	w13_d344e14228
Den	w1_d344e14233
28.	w3_d344e14236
April.	w5_d344e14239
Jn	w1_d344e14244
der	w3_d344e14247
Stadt.	w5_d344e14250
</head>
<list id="l4_d344e14253">
Casp.	w1_d344e14257
Wohlschlager,	w3_d344e14260
K.	w5_d344e14263
K.	w7_d344e14266
Kutsch,	w9_d344e14269
beyn	w11_d344e14272
7.	w13_d344e14276
Körben	w15_d344e14279
im	w1_d344e14284
Sailer=gäs.,	w3_d344e14287
alt	w5_d344e14290
64.	w7_d344e14293
J.	w9_d344e14296
</list>
<head id="h2_d344e14303">
Vor	w1_d344e14307
der	w3_d344e14310
Stadt.	w5_d344e14313
</head>
<list id="l4_d344e14316">
Leop.	w1_d344e14320
Winkler,	w3_d344e14323
Burgerl.	w5_d344e14326
Holz=handl.,	w7_d344e14329
bey	w9_d344e14332
der	w11_d344e14335
gold.	w13_d344e14339
Gans	w1_d344e14344
in	w3_d344e14347
der	w5_d344e14350
Rossau,	w7_d344e14353
alt	w9_d344e14356
63.	w11_d344e14359
J.	w13_d344e14363
Joh.	w1_d344e14368
Mayr,	w3_d344e14371
Burgerl.	w5_d344e14374
Schuh=mach,	w7_d344e14377
beym	w9_d344e14380
gold.	w11_d344e14383
Ros.	w13_d344e14387
am	w1_d344e14393
Thury,	w3_d344e14396
alt	w5_d344e14399
76.	w7_d344e14402
J.	w9_d344e14405
Elisab.	w1_d344e14410
Danauerin,	w3_d344e14413
led.,	w5_d344e14416
beym	w7_d344e14419
gold.	w9_d344e14422
Lux.	w11_d344e14425
am	w13_d344e14429
Spi	w15_d344e14432
talberg,	w1_d344e14437
alt	w3_d344e14440
71.	w5_d344e14443
J.	w7_d344e14446
Dem	w1_d344e14451
Blasi	w3_d344e14454
Gmeiner,	w5_d344e14457
Schuh=mach.,	w7_d344e14460
s.	w9_d344e14463
W.	w11_d344e14466
Anna,	w13_d344e14470
beym	w1_d344e14476
rot.	w3_d344e14479
Rös.	w5_d344e14482
am	w7_d344e14485
Neustift,	w9_d344e14488
alt	w11_d344e14491
68.	w13_d344e14495
J.	w15_d344e14498
Lorenz	w1_d344e14503
Richter,	w3_d344e14506
Tag=löhn.,	w5_d344e14509
bey	w7_d344e14512
der	w9_d344e14515
gold.	w11_d344e14518
Sonn	w13_d344e14522
am	w15_d344e14525
Thury,	w1_d344e14530
alt	w3_d344e14533
65.	w5_d344e14536
J.	w7_d344e14539
</list>
<head id="h2_d344e14546">
Summa	w1_d344e14550
6.	w3_d344e14553
Person.	w5_d344e14556
/	w7_d344e14559
darunter	w9_d344e14562
g.	w11_d344e14565
Kind.	w13_d344e14569
Den	w1_d344e14574
29.	w3_d344e14577
April.	w5_d344e14580
Jn	w1_d344e14585
der	w3_d344e14588
Stadt.	w5_d344e14591
</head>
<list id="l4_d344e14594">
Der	w1_d344e14598
Wol=ehrw.	w3_d344e14601
P.	w5_d344e14604
Edilbert,	w7_d344e14607
Ord.	w9_d344e14610
Capuc.,	w11_d344e14613
im	w13_d344e14617
Klo	w15_d344e14620
ster	w1_d344e14625
am	w3_d344e14628
Neuen=markt,	w5_d344e14631
alt	w7_d344e14634
58.	w9_d344e14637
J.	w11_d344e14640
Franz	w1_d344e14645
Seiwert,	w3_d344e14648
Lak.,	w5_d344e14651
im	w7_d344e14654
Breineris.	w9_d344e14657
H.	w11_d344e14660
in	w13_d344e14664
der	w15_d344e14667
Kru	w17_d344e14670
gerstr,	w1_d344e14676
alt	w3_d344e14679
30.	w5_d344e14682
J.	w7_d344e14685
</list>
<head id="h2_d344e14693">
Vor	w1_d344e14697
der	w3_d344e14700
Stadt.	w5_d344e14703
