<doc id="wr_1757-06-29" attrs="word" year="1757" month="06" day="29" corpus="2">
<head id="h2_d156e3893">
Stokholm	w1_d156e3897
aufge	w9_d156e11097
tragen	w1_d156e11102
worden,	w3_d156e11105
bey	w5_d156e11108
alhiesigem	w7_d156e11111
Kais.	w9_d156e11114
Königl.	w11_d156e11117
Hof	w1_d156e11122
die	w3_d156e11125
Erklärung	w5_d156e11128
zu	w7_d156e11131
thun,	w9_d156e11134
daß	w11_d156e11137
in	w13_d156e11141
kurzem	w15_d156e11144
ei	w17_d156e11147
ne	w1_d156e11152
neue	w3_d156e11155
Französische	w5_d156e11158
Armee	w7_d156e11161
in	w9_d156e11164
Teutschland	w11_d156e11167
einrucken	w1_d156e11173
werde,	w3_d156e11176
um	w5_d156e11179
den	w7_d156e11182
Fortgang	w9_d156e11185
deren	w11_d156e11188
Kai	w13_d156e11192
serl.	w1_d156e11197
Königl.	w3_d156e11200
Waffen	w5_d156e11203
an	w7_d156e11206
jenen	w9_d156e11209
Orten,	w11_d156e11212
wo	w13_d156e11216
es	w15_d156e11219
die	w1_d156e11224
Umstände	w3_d156e11227
erheuschen	w5_d156e11230
solten,	w7_d156e11233
zu	w9_d156e11236
beförderen.	w11_d156e11239
</p>
<p id="p28_d156e11242">
Besagter	w1_d156e11246
Herr	w3_d156e11249
Graf	w5_d156e11252
hat	w7_d156e11255
gleich	w9_d156e11258
nach	w11_d156e11261
seiner	w13_d156e11265
Ankunft	w1_d156e11270
denselben	w3_d156e11273
Tag	w5_d156e11276
bey	w7_d156e11279
beyden	w9_d156e11282
Kaiserl.	w11_d156e11285
Königl.	w1_d156e11290
Majestäten,	w3_d156e11293
und	w5_d156e11296
denen	w7_d156e11299
Allerdurch	w9_d156e11302
leuchtigsten	w1_d156e11308
jungen	w3_d156e11311
Herrschaften,	w5_d156e11314
in	w7_d156e11317
Beglei	w9_d156e11320
tung	w1_d156e11325
des	w3_d156e11328
alhiesigen	w5_d156e11331
Französischen	w7_d156e11334
Sachwal	w9_d156e11337
ters	w1_d156e11342
Herrn	w3_d156e11345
von	w5_d156e11348
Ratte	w7_d156e11351
seine	w9_d156e11354
Audienz	w11_d156e11357
gehabt.	w13_d156e11361
</p>
<p id="p30_d156e11364">
Hier	w1_d156e11368
in	w3_d156e11371
der	w5_d156e11374
Kaiserl.	w7_d156e11377
Königl.	w9_d156e11380
Jngenieur	w11_d156e11383
schul	w1_d156e11388
zu	w3_d156e11391
Gumpendorf	w5_d156e11394
ist	w7_d156e11397
wegen	w9_d156e11400
der	w11_d156e11403
in	w13_d156e11407
Böhmen	w15_d156e11410
von	w1_d156e11415
denen	w3_d156e11418
Kaiserl.	w5_d156e11421
Kriegs=völkern	w7_d156e11424
glorreich	w9_d156e11427
erfochtenen	w1_d156e11433
Sieg	w3_d156e11436
den	w5_d156e11439
26.	w7_d156e11442
Junii	w9_d156e11445
eine	w11_d156e11448
allge	w13_d156e11452
meine	w1_d156e11457
Dank	w3_d156e11460
und	w5_d156e11463
Freuden=feyer,	w7_d156e11466
zu	w9_d156e11469
aller	w11_d156e11472
Anwesenden	w1_d156e11477
grösten	w3_d156e11480
Vergnügen	w5_d156e11483
gehalten	w7_d156e11486
worden.	w1_d156e11491
Den	w3_d156e11494
Anfang	w5_d156e11497
dieser	w7_d156e11500
Feyerlichkeit	w9_d156e11503
machte	w1_d156e11509
daselbst	w3_d156e11512
in	w5_d156e11515
der	w7_d156e11518
Kirche	w9_d156e11521
eine	w11_d156e11524
Lob	w13_d156e11528
und	w15_d156e11531
Dankerede,	w1_d156e11536
wodurch	w3_d156e11539
sowol	w5_d156e11542
der	w7_d156e11545
Göttliche	w9_d156e11548
Beystand	w1_d156e11553
und	w3_d156e11556
des	w5_d156e11559
grossen	w7_d156e11562
Feld=herrn	w9_d156e11565
Ehre	w11_d156e11568
und	w1_d156e11573
Tapferkeit	w3_d156e11576
gepriesen,	w5_d156e11579
als	w7_d156e11582
auch	w9_d156e11585
die	w11_d156e11588
edle	w13_d156e11592
und	w1_d156e11598
Hofnungs=volle	w3_d156e11601
Jugend,	w5_d156e11604
welche	w7_d156e11607
alhier	w9_d156e11610
in	w1_d156e11615
allen	w3_d156e11618
Kriegs=wissenschaften	w5_d156e11621
aufs	w7_d156e11624
Beste	w9_d156e11627
unterrichtet,	w1_d156e11632
und	w3_d156e11635
zu	w5_d156e11638
tapfern	w7_d156e11641
Kriegs=männern	w9_d156e11644
vollkommen	w1_d156e11649
zubereitet	w3_d156e11652
wird,	w5_d156e11655
ermuntert,	w7_d156e11658
und	w9_d156e11661
in	w1_d156e11667
diesem	w3_d156e11670
Endzwecke	w5_d156e11673
zu	w7_d156e11676
ihrer	w9_d156e11679
Lust	w11_d156e11682
gestärket	w13_d156e11686
wurde.	w1_d156e11691
Gleich	w3_d156e11694
darauf	w5_d156e11697
ist	w7_d156e11700
unter	w9_d156e11703
Aussetzung	w11_d156e11706
des	w1_d156e11711
Höchsten	w3_d156e11714
Guts	w5_d156e11717
und	w7_d156e11720
Abfeuerung	w9_d156e11723
des	w11_d156e11726
Ge	w13_d156e11730
schützes,	w1_d156e11735
das	w3_d156e11738
Te	w5_d156e11741
Deum	w7_d156e11744
Laudamus	w9_d156e11747
ange	w11_d156e11750
stimmet;	w1_d156e11756
sodann	w3_d156e11759
mit	w5_d156e11762
fortwährendem	w7_d156e11765
Schies	w9_d156e11768
sen	w1_d156e11773
und	w3_d156e11776
guter	w5_d156e11779
Music	w7_d156e11782
das	w9_d156e11785
Hoch=amt	w11_d156e11788
zu	w13_d156e11792
göttli	w15_d156e11795
cher	w1_d156e11800
Danksagung	w3_d156e11803
feyerlich	w5_d156e11806
abgesungen	w7_d156e11809
worden.	w9_d156e11812
Nachmittags	w1_d156e11817
um	w3_d156e11820
5.	w5_d156e11823
Uhr	w7_d156e11826
rückte	w9_d156e11829
die	w11_d156e11832
aldasige	w13_d156e11836
Jugend	w1_d156e11842
mit	w3_d156e11845
ihren	w5_d156e11848
Waffen,	w7_d156e11851
unter	w9_d156e11854
fliegenden	w11_d156e11857
Fahnen	w1_d156e11862
und	w3_d156e11865
klingendem	w5_d156e11868
Spiele	w7_d156e11871
der	w9_d156e11874
Feldmu	w11_d156e11877
sic	w1_d156e11882
auf	w3_d156e11885
ihren	w5_d156e11888
Waffen=platz	w7_d156e11891
in	w9_d156e11894
den	w11_d156e11897
Garten	w13_d156e11901
aus.	w1_d156e11906
Alda	w3_d156e11909
machte	w5_d156e11912
sie	w7_d156e11915
unter	w9_d156e11918
dem	w11_d156e11921
Comman	w13_d156e11925
do	w1_d156e11931
ihrer	w3_d156e11934
Officieren,	w5_d156e11937
welche	w7_d156e11940
die	w9_d156e11943
Aeltesten	w11_d156e11946
aus	w13_d156e11950
ihnen	w1_d156e11955
seynd,	w3_d156e11958
erstlich	w5_d156e11961
die	w7_d156e11964
Hand=griffe	w9_d156e11967
so	w11_d156e11970
nett	w13_d156e11974
und	w1_d156e11979
ordentlich,	w3_d156e11982
als	w5_d156e11985
ein	w7_d156e11988
jedes	w9_d156e11991
geübtes	w11_d156e11994
Krie	w13_d156e11998
ges=heer.	w1_d156e12003
Nach	w3_d156e12006
denen	w5_d156e12009
Hand=griffen	w7_d156e12012
folgte	w9_d156e12015
das	w1_d156e12021
Exercitium	w3_d156e12024
im	w5_d156e12027
Feuer,	w7_d156e12030
worinn	w9_d156e12033
alle	w11_d156e12036
Ver	w13_d156e12040
änderungen	w1_d156e12045
und	w3_d156e12048
Bewegungen,	w5_d156e12051
die	w7_d156e12054
im	w9_d156e12057
Felde	w11_d156e12060
vorgehen	w1_d156e12065
können,	w3_d156e12068
mit	w5_d156e12071
dem	w7_d156e12074
erfreulichsten	w9_d156e12077
</p>
<p id="p32_d156e12080">
Beyfalle	w1_d156e12084
des	w3_d156e12087
anwesenden	w5_d156e12090
hohen	w7_d156e12093
Adels	w9_d156e12096
und	w11_d156e12099
anderer	w1_d156e12104
vornehmen	w3_d156e12107
Personen	w5_d156e12110
zu	w7_d156e12113
sehen	w9_d156e12116
waren.	w11_d156e12119
Dieses	w1_d156e12124
Exercieren	w3_d156e12127
und	w5_d156e12130
Schiessen	w7_d156e12133
der	w9_d156e12136
Ju	w11_d156e12139
gend	w1_d156e12145
wurde	w3_d156e12148
durch	w5_d156e12151
Abfeurung	w7_d156e12154
etlicher	w9_d156e12157
Feld	w11_d156e12160
stücklein	w1_d156e12165
und	w3_d156e12168
Untermischung	w5_d156e12171
der	w7_d156e12174
Feld=music,	w9_d156e12177
folglich	w1_d156e12182
mit	w3_d156e12185
einer	w5_d156e12188
angenehmen	w7_d156e12191
Abwechslung	w9_d156e12194
un	w1_d156e12199
erbrochen,	w3_d156e12202
so,	w5_d156e12205
daß	w7_d156e12208
alle	w9_d156e12211
Anwesende	w11_d156e12214
eine	w13_d156e12218
grosse	w1_d156e12224
Freude	w3_d156e12227
darüber	w5_d156e12230
bezeuget	w7_d156e12233
haben.	w9_d156e12236
End	w11_d156e12239
lichen	w1_d156e12244
nach	w3_d156e12247
8.	w5_d156e12250
Uhr	w7_d156e12253
geschahe	w9_d156e12256
der	w11_d156e12259
Einzug	w13_d156e12263
mit	w15_d156e12266
fliegenden	w1_d156e12271
Fahnen	w3_d156e12274
und	w5_d156e12277
klingendem	w7_d156e12280
Spiele.	w9_d156e12283
</p>
<p id="p34_d156e12286">
Die	w1_d156e12290
Kaiserl.	w3_d156e12293
Königl.	w5_d156e12296
unter	w7_d156e12299
Commando	w9_d156e12302
Sr.	w1_d156e12307
Exellenz	w3_d156e12310
Hrn.	w5_d156e12313
General=Feld=marschalls	w7_d156e12316
Grafens	w1_d156e12321
von	w3_d156e12324
Daun	w5_d156e12327
stehende	w7_d156e12330
Armee,	w9_d156e12333
hat	w11_d156e12336
den	w1_d156e12342
26.	w3_d156e12345
dieses	w5_d156e12348
zu	w7_d156e12351
Kolodieg	w9_d156e12354
campiret,	w11_d156e12357
das	w13_d156e12361
Haupt=quartier	w1_d156e12366
aber	w3_d156e12369
zu	w5_d156e12372
Unter=potschernitz	w7_d156e12375
gehabt.	w1_d156e12380
</p>
<p id="p36_d156e12384">
Denen	w1_d156e12388
von	w3_d156e12391
Prag	w5_d156e12394
eingeloffenen	w7_d156e12397
sicheren	w9_d156e12400
Nachrichten	w1_d156e12405
zu	w3_d156e12408
Folge	w5_d156e12411
seynd	w7_d156e12414
Se.	w9_d156e12417
Excellenz	w11_d156e12420
der	w1_d156e12425
Herr	w3_d156e12428
General	w5_d156e12431
Feld=marschall	w7_d156e12434
Graf	w9_d156e12437
von	w11_d156e12440
Broune	w1_d156e12446
den	w3_d156e12449
26.	w5_d156e12452
dieses	w7_d156e12455
gegen	w9_d156e12458
6.	w11_d156e12461
Uhr	w13_d156e12465
Frühe	w15_d156e12468
aldaselbst	w1_d156e12473
gestorben,	w3_d156e12476
welcher	w5_d156e12479
Tod=fall	w7_d156e12482
so	w9_d156e12485
wol	w1_d156e12490
von	w3_d156e12493
dem	w5_d156e12496
alhiesigen	w7_d156e12499
Hof,	w9_d156e12502
als	w11_d156e12505
auch	w13_d156e12509
von	w15_d156e12512
der	w1_d156e12517
ganzen	w3_d156e12520
Armee	w5_d156e12523
sehr	w7_d156e12526
bedauert	w9_d156e12529
wird.	w11_d156e12532
</p>
<p id="p38_d156e12535">
Ubrigens	w1_d156e12539
haben	w3_d156e12542
Jhre	w5_d156e12545
Majestät	w7_d156e12548
die	w9_d156e12551
Kaise	w11_d156e12554
rin	w1_d156e12559
Königin	w3_d156e12562
allen	w5_d156e12565
denen	w7_d156e12568
Herren	w9_d156e12571
Officieren,	w11_d156e12574
welche	w1_d156e12579
bey	w3_d156e12582
der	w5_d156e12585
Battaille	w7_d156e12588
von	w9_d156e12591
Krzezhor	w11_d156e12594
gewesen.	w13_d156e12598
eine	w1_d156e12604
Monat=gage,	w3_d156e12607
dann	w5_d156e12610
denen	w7_d156e12613
Unterofficie	w9_d156e12616
ren	w1_d156e12621
und	w3_d156e12624
gemeinen	w5_d156e12627
Soldaten	w7_d156e12630
15.	w9_d156e12633
Kr.	w11_d156e12636
zur	w13_d156e12640
Por	w15_d156e12643
tion,	w1_d156e12648
denen	w3_d156e12651
Verwundeten	w5_d156e12654
Herren	w7_d156e12657
Officieren	w9_d156e12660
aber	w1_d156e12665
eine	w3_d156e12668
zwey=monatliche	w5_d156e12671
Gage	w7_d156e12674
zur	w9_d156e12677
Gratifi	w11_d156e12680
cation	w1_d156e12686
allergnädigst	w3_d156e12689
zuerkannt,	w5_d156e12692
auch	w7_d156e12695
wer	w9_d156e12698
den	w1_d156e12703
Allerhöchst=dieselbe	w3_d156e12706
allen	w5_d156e12709
denen	w7_d156e12712
jenigen,	w9_d156e12715
welche	w1_d156e12720
ihre	w3_d156e12723
Pferde	w5_d156e12726
verloren,	w7_d156e12729
solche	w9_d156e12732
unentgelt	w11_d156e12735
lich	w1_d156e12740
ersetzen.	w3_d156e12743
</p>
<p id="p40_d156e12746">
Nicht	w1_d156e12750
minder	w3_d156e12753
haben	w5_d156e12756
Jhre	w7_d156e12759
Kaiserl.	w9_d156e12762
Kön.	w11_d156e12765
Majestät	w1_d156e12770
einen	w3_d156e12773
Militar=orden	w5_d156e12776
gestiftet,	w7_d156e12779
wel	w9_d156e12782
cher	w1_d156e12787
der	w3_d156e12790
Orden	w5_d156e12793
MARIÆ	w7_d156e12796
THERESIÆ	w9_d156e12799
benamset	w11_d156e12802
werden,	w1_d156e12808
und	w3_d156e12811
den	w5_d156e12814
18.	w7_d156e12817
Junii	w9_d156e12820
dieses	w11_d156e12823
Jahrs,	w13_d156e12827
als	w1_d156e12832
den	w3_d156e12835
wegen	w5_d156e12838
der	w7_d156e12841
besagten	w9_d156e12844
Schlacht	w11_d156e12847
bey	w13_d156e12851
Krzezhor	w1_d156e12856
so	w3_d156e12859
merkwürdigen	w5_d156e12862
Tag	w7_d156e12865
zu	w9_d156e12868
seinen	w11_d156e12871
Ursprungs=punct	w1_d156e12876
haben	w3_d156e12879
solle.	w5_d156e12882
Es	w7_d156e12885
werden	w9_d156e12888
auch	w1_d156e12894
grosse	w3_d156e12897
Kreutze	w5_d156e12900
bey	w7_d156e12903
diesem	w9_d156e12906
Orden	w11_d156e12909
seyn.	w13_d156e12913
und	w1_d156e12918
die	w3_d156e12921
Rittere	w5_d156e12924
denen	w7_d156e12927
zweyerley	w9_d156e12930
diesfälligen	w11_d156e12933
Qualitäten	w1_d156e12938
gemäß	w3_d156e12941
Pensionen	w5_d156e12944
zu	w7_d156e12947
geniessen,	w9_d156e12950
haben.	w1_d156e12955
Die	w3_d156e12958
Zeit	w5_d156e12961
lässet	w7_d156e12964
nicht	w9_d156e12967
zu,	w11_d156e12970
hievon	w13_d156e12974
für	w15_d156e12977
heute	w1_d156e12983
mehrere	w3_d156e12986
Umstände	w5_d156e12989
zu	w7_d156e12992
erwehnen,	w9_d156e12995
welche	w1_d156e13000
aber	w3_d156e13003
nächsten	w5_d156e13006
Post=tag	w7_d156e13009
kundbar	w9_d156e13012
ge	w11_d156e13015
macht	w1_d156e13020
werden	w3_d156e13023
sollen.	w5_d156e13026
</p>
<head id="h4_d156e13042">
Lista	w1_d156e13046
deren	w3_d156e13049
Verstorbenen	w5_d156e13052
zu	w7_d156e13055
Wien	w9_d156e13058
in	w1_d156e13063
und	w3_d156e13066
vor	w5_d156e13069
der	w7_d156e13072
Stadt	w9_d156e13075
Den	w1_d156e13080
25.	w3_d156e13083
Junii.	w5_d156e13086
Jn	w1_d156e13092
der	w3_d156e13095
Stadt.	w5_d156e13098
</head>
<list id="l6_d156e13101">
Hr.	w1_d156e13105
Jgnatz	w3_d156e13108
Kragowitz,	w5_d156e13111
beym	w7_d156e13114
grün.	w9_d156e13117
Get.	w11_d156e13120
am	w13_d156e13124
Kohl	w15_d156e13127
m.,	w1_d156e13132
alt	w3_d156e13135
47.	w5_d156e13138
J.	w7_d156e13141
Dem	w1_d156e13146
Andre	w3_d156e13149
Rohthelfer,	w5_d156e13152
Burgetl.	w7_d156e13155
Greißl.,	w9_d156e13158
s.	w11_d156e13161
K.	w13_d156e13165
Theres.,	w1_d156e13171
in	w3_d156e13174
s.	w5_d156e13177
H.	w7_d156e13180
am	w9_d156e13183
Hohen=markt,	w11_d156e13186
alt	w13_d156e13190
1.	w15_d156e13193
J.	w17_d156e13196
Georg	w1_d156e13201
Goldman,	w3_d156e13204
Schneider=ges.,	w5_d156e13207
beym	w7_d156e13210
Küß=den	w9_d156e13213
pfen.	w1_d156e13218
am	w3_d156e13221
rot.	w5_d156e13224
Thurn,	w7_d156e13227
alt	w9_d156e13230
26.	w11_d156e13233
J.	w13_d156e13237
</list>
<head id="h2_d156e13244">
Vor	w1_d156e13248
der	w3_d156e13251
Stadt.	w5_d156e13254
</head>
<list id="l4_d156e13257">
Dem	w1_d156e13261
Hrn.	w3_d156e13264
Jacob	w5_d156e13267
Salcher,	w7_d156e13270
Bürgerl.	w9_d156e13273
Gold=schlag.,	w11_d156e13276
s.	w1_d156e13281
K.	w3_d156e13284
Mart.,	w5_d156e13287
bey	w7_d156e13290
denen	w9_d156e13293
3.	w11_d156e13296
Trom.	w13_d156e13300
auf	w15_d156e13303
der	w17_d156e13306
Laimgr.	w19_d156e13309
alt	w1_d156e13314
5.	w3_d156e13317
v.	w5_d156e13320
J.	w7_d156e13323
Dem	w1_d156e13329
Andre	w3_d156e13332
Steinmetz,	w5_d156e13335
Mahl,	w7_d156e13338
s.	w9_d156e13341
K.	w11_d156e13344
Francisca,	w13_d156e13348
bey	w15_d156e13351
der	w1_d156e13356
Stabt	w3_d156e13359
Venedig	w5_d156e13362
bey	w7_d156e13365
Maria=hülf,	w9_d156e13368
alt	w11_d156e13371
1.	w13_d156e13375
J.	w15_d156e13378
Franz	w1_d156e13383
Harbeck,	w3_d156e13386
Schuh=mach.,	w5_d156e13389
in	w7_d156e13392
s.	w9_d156e13395
H.	w11_d156e13398
zu	w13_d156e13402
Erdberg,	w15_d156e13405
alt	w1_d156e13410
70.	w3_d156e13413
J.	w5_d156e13416
Jos.	w1_d156e13422
Baumgarkner,	w3_d156e13425
gew.	w5_d156e13428
Kavoral,	w7_d156e13431
beym	w9_d156e13434
gold.	w11_d156e13437
Läm	w13_d156e13441
mel	w1_d156e13446
in	w3_d156e13449
der	w5_d156e13452
Alster=gas.,	w7_d156e13455
alt	w9_d156e13458
56.	w11_d156e13461
J.	w13_d156e13465
Dem	w1_d156e13470
Franz	w3_d156e13473
Scheidenpauer,	w5_d156e13476
Brod=sitz.,	w7_d156e13479
s.	w9_d156e13482
K.	w11_d156e13485
Joh.	w13_d156e13489
bey	w1_d156e13494
denen	w3_d156e13497
3.	w5_d156e13500
Bind.	w7_d156e13503
im	w9_d156e13506
Liechtenth.,	w11_d156e13509
alt	w13_d156e13513
2.	w15_d156e13516
J.	w17_d156e13519
Dem	w1_d156e13525
Joh.	w3_d156e13528
Kugler,	w5_d156e13531
Lack.,	w7_d156e13534
s.	w9_d156e13537
K.	w11_d156e13540
Franz,	w13_d156e13544
im	w15_d156e13547
Tändle	w17_d156e13550
1ris.	w1_d156e13555
H.	w3_d156e13558
bey	w5_d156e13561
Maria	w7_d156e13564
hülf,	w9_d156e13567
alt	w11_d156e13570
2.	w13_d156e13574
J.	w15_d156e13577
Dem	w1_d156e13582
Jos.	w3_d156e13585
Jordan,	w5_d156e13588
Lack.,	w7_d156e13591
s.	w9_d156e13594
W.	w11_d156e13597
Theres.,	w13_d156e13601
im	w15_d156e13604
Fuch	w17_d156e13607
sis.	w1_d156e13612
H.	w3_d156e13615
auf	w5_d156e13618
der	w7_d156e13621
Laimgr.,	w9_d156e13624
alt	w11_d156e13627
67.	w13_d156e13631
J.	w15_d156e13634
2oh.	w1_d156e13640
Rößler,	w3_d156e13643
in	w5_d156e13646
St.	w7_d156e13649
Joh	w9_d156e13652
Nep.	w11_d156e13655
Spit,	w13_d156e13659
alt	w15_d156e13662
63.	w17_d156e13665
J.	w19_d156e13668
Dem	w1_d156e13673
Jos.	w3_d156e13676
Megisch,	w5_d156e13679
Nacht=wacht.,	w7_d156e13682
s.	w9_d156e13685
K.	w11_d156e13688
Math.,	w13_d156e13692
beym	w1_d156e13697
grün.	w3_d156e13700
Brunn	w5_d156e13703
am	w7_d156e13706
Neubau,	w9_d156e13709
alt	w11_d156e13712
7.	w13_d156e13716
v.	w15_d156e13719
J.	w17_d156e13722
Dem	w1_d156e13727
Georg	w3_d156e13730
Weichert,	w5_d156e13733
Tagw.,	w7_d156e13736
s.	w9_d156e13739
K.	w11_d156e13742
Franz,	w13_d156e13746
im	w15_d156e13749
Wagenreiteris.	w1_d156e13755
H.	w3_d156e13758
in	w5_d156e13761
der	w7_d156e13764
Leopoldst.,	w9_d156e13767
alt	w11_d156e13770
2.	w13_d156e13774
J.	w15_d156e13777
Dem	w1_d156e13782
Pet.	w3_d156e13785
Reitner,	w5_d156e13788
Tagw.,	w7_d156e13791
s.	w9_d156e13794
K.	w11_d156e13797
Cathar.,	w13_d156e13801
im	w15_d156e13804
Feß	w17_d156e13807
lis.	w1_d156e13812
H.	w3_d156e13815
auf	w5_d156e13818
der	w7_d156e13821
Wied.,	w9_d156e13824
alt	w11_d156e13827
5.	w13_d156e13831
J.	w15_d156e13834
</list>
<head id="h2_d156e13841">
Summa	w1_d156e13845
14.	w3_d156e13848
Person.	w5_d156e13851
darunter	w7_d156e13854
1.	w9_d156e13857
Kind.	w11_d156e13860
Den	w1_d156e13865
26.	w3_d156e13868
Junii.	w5_d156e13871
Jn	w1_d156e13876
der	w3_d156e13879
Stad	w5_d156e13882
</head>
<list id="l4_d156e13885">
Dem	w1_d156e13889
Hrn.	w3_d156e13892
Lorenz	w5_d156e13895
Ant.	w7_d156e13898
Spenn,	w9_d156e13901
K.	w11_d156e13904
K.	w13_d156e13908
Kammer	w15_d156e13911
trab.,	w1_d156e13916
s.	w3_d156e13919
K.	w5_d156e13922
Elisab.,	w7_d156e13925
im	w9_d156e13928
Krotenthallerisch.	w11_d156e13931
H.	w13_d156e13935
im	w15_d156e13938
tief.	w1_d156e13943
Grab.,	w3_d156e13946
alt	w5_d156e13949
7.	w7_d156e13952
v.	w9_d156e13955
J.	w11_d156e13958
</list>
<head id="h2_d156e13965">
Vor	w1_d156e13969
der	w3_d156e13972
Stadt.	w5_d156e13975
</head>
<head id="h2_d156e13981">
Suma	w1_d156e13985
10	w3_d156e13988
Person.	w5_d156e13991
darunter	w7_d156e13994
3.	w9_d156e13997
Kinder.	w11_d156e14000
</head>
<list id="l4_d156e14003">
Dem	w1_d156e14007
Leop.	w3_d156e14010
Ernesty,	w5_d156e14013
Hand=gräfl.	w7_d156e14016
Beschauern	w9_d156e14019
am	w11_d156e14022
Nußdonfer=posto,	w1_d156e14027
s.	w3_d156e14030
K.	w5_d156e14033
Joh.,	w7_d156e14036
aldo,	w9_d156e14039
alt	w11_d156e14042
2.	w13_d156e14046
J.	w15_d156e14049
Anna	w1_d156e14054
Zetschgin,	w3_d156e14057
Wittwe,	w5_d156e14060
beym	w7_d156e14063
Jordan	w9_d156e14066
im	w11_d156e14069
Ber	w13_d156e14073
gler=gäs.,	w1_d156e14079
alt	w3_d156e14082
65.	w5_d156e14085
J.	w7_d156e14088
Joh.	w1_d156e14093
Huber,	w3_d156e14096
Kram.,	w5_d156e14099
beym	w7_d156e14102
schwarz.	w9_d156e14105
Kegel	w11_d156e14108
ober	w13_d156e14112
dem	w15_d156e14115
Neuttift,	w1_d156e14120
alt	w3_d156e14123
32.	w5_d156e14126
J.	w7_d156e14129
Dem	w1_d156e14134
Math.	w3_d156e14137
Pachmeyr,	w5_d156e14140
K.	w7_d156e14143
K.	w9_d156e14146
Reil=kn.,	w11_d156e14149
s.	w13_d156e14153
K.	w15_d156e14156
Reg.	w17_d156e14159
beym	w1_d156e14165
gold.	w3_d156e14168
Peliran	w5_d156e14171
am	w7_d156e14174
Spitalberg,	w9_d156e14177
alt	w11_d156e14180
3.	w13_d156e14184
J.	w15_d156e14187
Ulrich	w1_d156e14192
Mißauer,	w3_d156e14195
in	w5_d156e14198
St.	w7_d156e14201
Joh.	w9_d156e14204
Nep.	w11_d156e14207
Spit.,	w13_d156e14211
54.	w15_d156e14214
J.	w17_d156e14217
Anna	w1_d156e14222
Fidlerin,	w3_d156e14225
led.	w5_d156e14228
M.,	w7_d156e14231
beym	w9_d156e14234
weis.	w11_d156e14237
Rös.	w13_d156e14241
ober	w15_d156e14244
dem	w17_d156e14247
Neustift,	w1_d156e14252
alt	w3_d156e14255
50.	w5_d156e14258
J.	w7_d156e14261
Lorenz	w1_d156e14267
Mayr,	w3_d156e14270
Nacht=wacht.,	w5_d156e14273
bey	w7_d156e14276
der	w9_d156e14279
Schwäbisch.	w11_d156e14282
Jungf.	w1_d156e14287
am	w3_d156e14290
Neubau,	w5_d156e14293
alt	w7_d156e14296
57.	w9_d156e14299
J.	w11_d156e14302
Jos.	w1_d156e14307
Gatff,	w3_d156e14310
alt	w5_d156e14313
50.	w7_d156e14316
J.,	w9_d156e14319
und	w11_d156e14322
Meth.	w13_d156e14326
Caull,	w15_d156e14329
alt	w17_d156e14332
56.	w19_d156e14335
J.,	w1_d156e14340
beyde	w3_d156e14343
bey	w5_d156e14346
denen	w7_d156e14349
FB.	w9_d156e14352
Mis.	w11_d156e14355
</list>
<head id="h2_d156e14363">
Den	w1_d156e14367
27.	w3_d156e14370
Junii.	w5_d156e14373
Jn	w1_d156e14378
der	w3_d156e14381
Stadt.	w5_d156e14384
</head>
<list id="l4_d156e14387">
Dem	w1_d156e14391
Wol=edel=gestr.	w3_d156e14394
Hrn.	w5_d156e14397
Joh.	w7_d156e14400
Ferd.	w9_d156e14403
v.	w11_d156e14406
Schwef	w13_d156e14410
K.	w1_d156e14415
K.	w3_d156e14418
ersten	w5_d156e14421
Kammer=dien.	w7_d156e14424
s.	w9_d156e14427
Fr.	w11_d156e14430
Victoria,	w13_d156e14434
beyn	w15_d156e14437
grün.	w1_d156e14442
Fäl.	w3_d156e14445
am	w5_d156e14448
Kohl=markt,	w7_d156e14451
alt	w9_d156e14454
64.	w11_d156e14457
J.	w13_d156e14461
Hr.	w1_d156e14467
Jos.	w3_d156e14470
Spöckel,	w5_d156e14473
Herrschaftl.	w7_d156e14476
Secret.,	w9_d156e14479
im	w11_d156e14482
Trientn	w13_d156e14486
hof,	w1_d156e14491
alt	w3_d156e14494
52.	w5_d156e14497
J.	w7_d156e14500
</list>
<head id="h2_d156e14507">
Vor	w1_d156e14511
der	w3_d156e14514
Stadt.	w5_d156e14517
</head>
<list id="l4_d156e14520">
Dem	w1_d156e14524
Joh.	w3_d156e14527
Watzgei,	w5_d156e14530
Burgerl.	w7_d156e14533
Hendels=m.,	w9_d156e14536
f.	w11_d156e14539
8.	w13_d156e14543
Ant,	w1_d156e14548
bey	w3_d156e14551
der	w5_d156e14554
gold.	w7_d156e14557
Schaal.	w9_d156e14560
in	w11_d156e14563
der	w13_d156e14567
Josephst.,J	w15_d156e14570
Dem	w1_d156e14575
Sehast.	w3_d156e14578
Bäck,	w5_d156e14581
Burgerl.	w7_d156e14584
Bier=leut=geb.,	w9_d156e14587
s.	w11_d156e14590
s.	w13_d156e14594
Eva,	w1_d156e14600
in	w3_d156e14603
s.	w5_d156e14606
H.	w7_d156e14609
auf	w9_d156e14612
der	w11_d156e14615
Wied.,	w13_d156e14619
alt	w15_d156e14622
1.	w17_d156e14625
J.	w19_d156e14628
Dem	w1_d156e14633
Beorg	w3_d156e14636
Wolf,	w5_d156e14639
Heyduck.,	w7_d156e14642
s.	w9_d156e14645
W.	w11_d156e14648
Susan.,	w13_d156e14652
den	w15_d156e14655
gold.	w1_d156e14660
