<doc id="wr_1760-04-05" attrs="word" year="1760" month="04" day="05" corpus="2">
<head id="h2_d438e2535">
Frankfort	w1_d438e2539
jun	w13_d438e9839
gen	w1_d438e9844
Mannschaft	w3_d438e9847
nicht	w5_d438e9850
verschonet.	w7_d438e9853
Unter	w9_d438e9856
andern	w1_d438e9862
ließ	w3_d438e9865
der	w5_d438e9868
in	w7_d438e9871
der	w9_d438e9874
Stadt	w11_d438e9877
Osnabrück	w13_d438e9881
ligende	w1_d438e9886
Engländische	w3_d438e9889
General	w5_d438e9892
vor	w7_d438e9895
einigen	w9_d438e9898
Tagen	w1_d438e9903
Lärm	w3_d438e9906
schlagen.	w5_d438e9909
Die	w7_d438e9912
Besatzung	w9_d438e9915
ver	w11_d438e9918
sammlete	w1_d438e9923
sich	w3_d438e9926
und	w5_d438e9929
marschirte	w7_d438e9932
auf.	w9_d438e9935
Die	w11_d438e9938
Einwohner	w1_d438e9944
liefen	w3_d438e9947
neugierig	w5_d438e9950
aus	w7_d438e9953
ihren	w9_d438e9956
Häu	w11_d438e9959
sern,	w1_d438e9964
um	w3_d438e9967
zu	w5_d438e9970
sehen,	w7_d438e9973
was	w9_d438e9976
vorgieng;	w11_d438e9979
wider	w13_d438e9983
Vermuten	w1_d438e9988
aber	w3_d438e9991
umzingelte	w5_d438e9994
man	w7_d438e9997
sie	w9_d438e10000
von	w11_d438e10003
al	w13_d438e10007
len	w1_d438e10012
Seiten,	w3_d438e10015
und	w5_d438e10018
die	w7_d438e10021
brauchbare	w9_d438e10024
Mannschaft	w11_d438e10027
davon	w1_d438e10033
wurde	w3_d438e10036
zum	w5_d438e10039
Engländischen	w7_d438e10042
Artillerie	w9_d438e10045
train	w1_d438e10050
ausgehoben.	w3_d438e10053
</p>
<head id="h2_d438e10059">
Wien	w1_d438e10063
den	w3_d438e10066
5.	w5_d438e10069
April	w7_d438e10072
1760.	w9_d438e10075
</head>
<p id="p4_d438e10078">
DErgangenen	w1_d438e10082
Mittwochs,	w3_d438e10085
als	w5_d438e10088
den	w7_d438e10091
2.	w9_d438e10094
Ap	w11_d438e10097
ril,	w1_d438e10102
Vormittags	w3_d438e10105
um	w5_d438e10108
10.	w7_d438e10111
Uhr	w9_d438e10114
haben	w11_d438e10117
beede	w1_d438e10122
Kaiserl.	w3_d438e10125
Majestäten	w5_d438e10128
mit	w7_d438e10131
Jhren	w9_d438e10134
Königl.	w11_d438e10137
Hoheiten,	w1_d438e10143
denen	w3_d438e10146
älteren	w5_d438e10149
Durchl.	w7_d438e10152
jungen	w9_d438e10155
Herrschaften	w1_d438e10160
dem	w3_d438e10163
Paßion=amt,	w5_d438e10166
dann	w7_d438e10169
ge	w9_d438e10172
gen	w1_d438e10177
dem	w3_d438e10180
Abend	w5_d438e10183
der	w7_d438e10186
ersten	w9_d438e10189
Pumper=metten	w11_d438e10192
in	w1_d438e10197
der	w3_d438e10200
Hof=kapellen	w5_d438e10203
beygewohnet.	w7_d438e10206
</p>
<p id="p6_d438e10209">
Vorgestern,	w1_d438e10213
als	w3_d438e10216
am	w5_d438e10219
Grün=donnerstag	w7_d438e10222
fruhe	w1_d438e10227
um	w3_d438e10230
8.	w5_d438e10233
Uhr	w7_d438e10236
haben	w9_d438e10239
allerhöchste	w11_d438e10242
Herr	w13_d438e10246
schaften	w1_d438e10251
der	w3_d438e10254
Heil.	w5_d438e10257
Communion=meß	w7_d438e10260
(wor	w9_d438e10263
unter	w1_d438e10269
Allerhöchst=dieselbe	w3_d438e10272
mit	w5_d438e10275
Jhren	w7_d438e10278
Königl.	w9_d438e10281
Hoheiten,	w1_d438e10286
denen	w3_d438e10289
Hof=damen,	w5_d438e10292
geheimen	w7_d438e10295
Räh	w9_d438e10298
ten,	w1_d438e10303
und	w3_d438e10306
Cammerern	w5_d438e10309
communiciret)	w7_d438e10312
hier	w9_d438e10315
auf	w1_d438e10320
der	w3_d438e10323
Predig,	w5_d438e10326
dem	w7_d438e10329
Paßion=amt,	w9_d438e10332
der	w11_d438e10335
Ein	w13_d438e10339
setzung	w1_d438e10345
des	w3_d438e10348
SS.	w5_d438e10351
Viatici	w7_d438e10354
in	w9_d438e10357
die	w11_d438e10360
Todtencapel	w13_d438e10364
len,	w1_d438e10369
letztlich	w3_d438e10372
der	w5_d438e10375
Vesper	w7_d438e10378
bey	w9_d438e10381
denen	w11_d438e10384
W.W.	w13_d438e10388
E.E.	w1_d438e10393
P.	w3_d438e10396
P.	w5_d438e10399
Augustinern	w7_d438e10402
abgewartet,	w9_d438e10405
sodann	w11_d438e10408
</p>
<p id="p10_d438e10413">
ist	w1_d438e10417
von	w3_d438e10420
Seiner	w5_d438e10423
Majestät	w7_d438e10426
dem	w9_d438e10429
Kaiser	w11_d438e10432
die	w13_d438e10436
ge	w15_d438e10439
wöhnliche	w1_d438e10444
Fuß=waschung	w3_d438e10447
an	w5_d438e10450
12.	w7_d438e10453
armen	w9_d438e10456
Männern,	w1_d438e10461
von	w3_d438e10464
Jhrer	w5_d438e10467
Majestät	w7_d438e10470
der	w9_d438e10473
Kaiserin	w11_d438e10476
aber	w1_d438e10482
an	w3_d438e10485
12.	w5_d438e10488
deto	w7_d438e10491
Weibern	w9_d438e10494
bey	w11_d438e10497
Hof	w13_d438e10501
vorge	w15_d438e10504
nommen	w1_d438e10509
worden,	w3_d438e10512
und	w5_d438e10515
haben	w7_d438e10518
die	w9_d438e10521
Jahre	w11_d438e10524
des	w13_d438e10528
Alters	w1_d438e10533
deren	w3_d438e10536
Männern	w5_d438e10539
1038.,	w7_d438e10542
deren	w9_d438e10545
Wei	w11_d438e10548
dern	w1_d438e10553
aber	w3_d438e10556
968.	w5_d438e10559
zusammen	w7_d438e10562
ausgetragen.	w9_d438e10565
</p>
<p id="p12_d438e10569">
Gestern,	w1_d438e10573
als	w3_d438e10576
an	w5_d438e10579
dem	w7_d438e10582
Heil.	w9_d438e10585
Charfreytag:	w11_d438e10588
haben	w1_d438e10593
allerhöchste	w3_d438e10596
Herrschaften	w5_d438e10599
der	w7_d438e10602
Paßion	w9_d438e10605
predig,	w1_d438e10610
dem	w3_d438e10613
Paßion=ceremoniel,	w5_d438e10616
der	w7_d438e10619
Kreutz	w9_d438e10622
büssng,	w1_d438e10628
dann	w3_d438e10631
der	w5_d438e10634
Einsetzung	w7_d438e10637
des	w9_d438e10640
Hochwür	w11_d438e10643
digsten	w1_d438e10648
Guts	w3_d438e10651
in	w5_d438e10654
der	w7_d438e10657
Todten=kapellen,	w9_d438e10660
und	w11_d438e10663
Vesper,	w1_d438e10668
dann	w3_d438e10671
Nachmittags	w5_d438e10674
gegen	w7_d438e10677
dem	w9_d438e10680
Abend	w11_d438e10683
der	w1_d438e10688
letzten	w3_d438e10691
Pumper=metten	w5_d438e10694
in	w7_d438e10697
der	w9_d438e10700
Hofkapel	w11_d438e10703
len	w1_d438e10709
abgewartet.	w3_d438e10712
</p>
<p id="p14_d438e10715">
Den	w1_d438e10719
10.	w3_d438e10722
dies	w5_d438e10725
wird	w7_d438e10728
die	w9_d438e10731
Ziehung	w11_d438e10734
der	w13_d438e10738
Kai	w15_d438e10741
serl.	w1_d438e10746
Königl.	w3_d438e10749
privilegirten	w5_d438e10752
Lotterie	w7_d438e10755
in	w9_d438e10758
der	w11_d438e10761
Kaiserl.	w1_d438e10766
Königl.	w3_d438e10769
Haupt=stadt	w5_d438e10772
Prag	w7_d438e10775
besche	w9_d438e10778
hen,	w1_d438e10784
und	w3_d438e10787
wird	w5_d438e10790
denen	w7_d438e10793
Collectanten	w9_d438e10796
wegen	w11_d438e10799
Ein	w13_d438e10803
reichung	w1_d438e10808
ihrer	w3_d438e10811
Schlüsse	w5_d438e10814
Tag	w7_d438e10817
und	w9_d438e10820
Stund	w11_d438e10823
durch	w13_d438e10827
ein	w1_d438e10832
Avertissement	w3_d438e10835
bekannt	w5_d438e10838
gemacht.	w7_d438e10841
</p>
<head id="h2_d438e10847">
Lista	w1_d438e10851
deren	w3_d438e10854
Verstorbenen	w5_d438e10857
zu	w7_d438e10860
Wien	w9_d438e10863
in	w1_d438e10868
und	w3_d438e10871
vor	w5_d438e10874
der	w7_d438e10877
Stadt.	w9_d438e10880
Den	w1_d438e10885
1.	w3_d438e10888
April.	w5_d438e10891
Jn	w1_d438e10897
der	w3_d438e10900
Stadt.	w5_d438e10903
</head>
<list id="l4_d438e10906">
Dem	w1_d438e10910
Wol=ebel=geb.	w3_d438e10913
Hrn.	w5_d438e10916
Math.	w7_d438e10919
v.	w9_d438e10922
Heidl,	w11_d438e10925
des	w13_d438e10929
Löbl.	w1_d438e10934
Thierheimis.	w3_d438e10937
Jnfanterie	w5_d438e10940
regim.	w7_d438e10943
Haupt=m.,	w9_d438e10946
s.	w1_d438e10951
Jr.	w3_d438e10954
Maria	w5_d438e10957
Rosina,	w7_d438e10960
geb.	w9_d438e10963
v.	w11_d438e10966
Eßig,	w13_d438e10970
im	w15_d438e10973
Maureris.	w17_d438e10976
H.	w1_d438e10982
am	w3_d438e10985
hohen	w5_d438e10988
Markt,	w7_d438e10991
alt	w9_d438e10994
39.	w11_d438e10997
J.	w13_d438e11001
Dem	w1_d438e11006
Hrn.	w3_d438e11009
Casp.	w5_d438e11012
Fournari,	w7_d438e11015
ohne	w9_d438e11018
Condit.	w11_d438e11021
s.	w13_d438e11025
Fr.	w15_d438e11028
Do	w17_d438e11031
min.	w1_d438e11036
im	w3_d438e11039
Riemeris.	w5_d438e11042
H.	w7_d438e11045
in	w9_d438e11048
der	w11_d438e11051
Krugerstr.,	w13_d438e11055
30.	w15_d438e11058
J.	w17_d438e11061
</list>
<head id="h2_d438e11068">
Vor	w1_d438e11072
der	w3_d438e11075
Stadt.	w5_d438e11078
</head>
<list id="l4_d438e11081">
Francisca	w1_d438e11085
Hanlin,	w3_d438e11088
Burgerl.	w5_d438e11091
Wittwe,	w7_d438e11094
beym	w9_d438e11097
gold.	w11_d438e11100
Kranz	w1_d438e11105
in	w3_d438e11108
der	w5_d438e11111
Josephst.,	w7_d438e11114
alt	w9_d438e11117
78.	w11_d438e11120
J.	w13_d438e11124
Jacob	w1_d438e11129
Mayr,	w3_d438e11132
Burgerl.	w5_d438e11135
Wirt,	w7_d438e11138
bey	w9_d438e11141
der	w11_d438e11144
gold.	w13_d438e11148
Kron	w15_d438e11151
in	w1_d438e11157
der	w3_d438e11160
Leopoldst,	w5_d438e11163
alt	w7_d438e11166
33.	w9_d438e11169
J.	w11_d438e11172
Georg	w1_d438e11177
Krauß,	w3_d438e11180
Burgerl.	w5_d438e11183
Fleisch=selch,	w7_d438e11186
in	w9_d438e11189
s.	w11_d438e11192
H.	w13_d438e11196
auf	w15_d438e11199
der	w1_d438e11204
Wied.,	w3_d438e11207
alt	w5_d438e11210
60.	w7_d438e11213
J.	w9_d438e11216
Math.	w1_d438e11221
Witman,	w3_d438e11224
Stein=schneid=ges.,	w5_d438e11227
beym	w7_d438e11230
grün.	w9_d438e11233
Dächel	w1_d438e11239
am	w3_d438e11242
Neustift,	w5_d438e11245
alt	w7_d438e11248
22.	w9_d438e11251
J.	w11_d438e11254
Dem	w1_d438e11259
Simon	w3_d438e11262
Brener,	w5_d438e11265
Lein=web.,	w7_d438e11268
s.	w9_d438e11271
W.	w11_d438e11274
Regina,	w13_d438e11278
beymeweis.	w1_d438e11283
Adl.	w3_d438e11286
oberm	w5_d438e11289
Neustift,	w7_d438e11292
alt	w9_d438e11295
38.	w11_d438e11298
J.	w13_d438e11302
Jgnatz	w1_d438e11307
Kollatz,	w3_d438e11310
Knab	w5_d438e11313
im	w7_d438e11316
Chaosis.	w9_d438e11319
Stift,	w11_d438e11322
12.	w13_d438e11326
J.	w15_d438e11329
Dem	w1_d438e11335
Fried.	w3_d438e11338
Denk,	w5_d438e11341
Lack,	w7_d438e11344
s.	w9_d438e11347
W.	w11_d438e11350
Eathar.,	w13_d438e11354
bey	w15_d438e11357
dem	w17_d438e11360
schwarz.	w1_d438e11365
Adl.	w3_d438e11368
auf	w5_d438e11371
der	w7_d438e11374
Wind=mühl,	w9_d438e11377
alt	w11_d438e11380
35.	w13_d438e11384
J.	w15_d438e11387
ttuna	w1_d438e11392
Haderleinin,	w3_d438e11395
Wittwe,	w5_d438e11398
im	w7_d438e11401
Maurer=meisteris.	w9_d438e11404
H.	w1_d438e11409
auf	w3_d438e11412
der	w5_d438e11415
Wied.,	w7_d438e11418
alt	w9_d438e11421
70.	w11_d438e11424
J.	w13_d438e11428
</list>
<head id="h2_d438e11436">
der	w1_d438e11440
Wied,	w3_d438e11443
alt	w5_d438e11446
6.	w7_d438e11449
J.	w9_d438e11452
Summa	w1_d438e11457
11	w3_d438e11460
Pers.	w5_d438e11463
darunter	w7_d438e11466
1.	w9_d438e11469
Kind.	w11_d438e11472
Den	w1_d438e11477
2.	w3_d438e11480
April.	w5_d438e11483
Jn	w1_d438e11489
der	w3_d438e11492
Stadt.	w5_d438e11495
</head>
<p id="p4_d438e11498">
Wrbna,	w1_d438e11502
u.	w3_d438e11505
Freudenthal,	w5_d438e11508
Obrer	w7_d438e11511
R.	w9_d438e11514
K.	w11_d438e11517
K.	w13_d438e11521
M.	w15_d438e11524
Kammerern,	w1_d438e11529
u.	w3_d438e11532
Commerc.	w5_d438e11535
direct.=hof=raht,	w7_d438e11538
s.	w9_d438e11541
Frle	w1_d438e11546
T.	w3_d438e11549
Maria	w5_d438e11552
Anna,	w7_d438e11555
im	w9_d438e11558
Traunis.	w11_d438e11561
H.	w13_d438e11565
auf	w15_d438e11568
der	w17_d438e11571
Freyung,	w1_d438e11577
alt	w3_d438e11580
5.	w5_d438e11583
v.	w7_d438e11586
J.	w9_d438e11589
</p>
<list id="l6_d438e11592">
Dem	w1_d438e11596
Hoch	w3_d438e11599
und	w5_d438e11602
Wol=geb.	w7_d438e11605
Hrn.	w9_d438e11608
Eugen.	w11_d438e11611
Grafen	w13_d438e11615
von	w15_d438e11618
</list>
<head id="h2_d438e11625">
Vor	w1_d438e11629
der	w3_d438e11632
Stadt.	w5_d438e11635
</head>
<list id="l4_d438e11638">
Joh.	w1_d438e11642
Ditz,	w3_d438e11645
Burgerl.	w5_d438e11648
Galanterie=arbeit.,	w7_d438e11651
beym	w9_d438e11654
grof	w11_d438e11657
Christoph	w1_d438e11662
in	w3_d438e11665
der	w5_d438e11668
Josephst,	w7_d438e11671
alt	w9_d438e11674
44.	w11_d438e11677
J.	w13_d438e11681
Dem	w1_d438e11686
Richard	w3_d438e11689
Amon,	w5_d438e11692
Burgerl.	w7_d438e11695
Riem,	w9_d438e11698
s.	w11_d438e11701
W.	w13_d438e11705
Chri	w15_d438e11708
stina,	w1_d438e11714
im	w3_d438e11717
Tespanis.	w5_d438e11720
H.	w7_d438e11723
auf	w9_d438e11726
der	w11_d438e11729
Landstr.,	w13_d438e11733
62.	w15_d438e11736
J.	w17_d438e11739
Jgnatz	w1_d438e11744
Hallacher,	w3_d438e11747
gew.	w5_d438e11750
Burgerl.	w7_d438e11753
Schlos.,	w9_d438e11756
in	w11_d438e11759
dem	w13_d438e11763
Bi	w15_d438e11766
schof=gart.	w1_d438e11771
auf	w3_d438e11774
der	w5_d438e11777
Landstr.,	w7_d438e11780
alt	w9_d438e11783
50.	w11_d438e11786
J.	w13_d438e11790
Balthas.	w1_d438e11795
Papiel,	w3_d438e11798
gew.	w5_d438e11801
Burgerl.	w7_d438e11804
Schuh=mach.	w9_d438e11807
beym	w11_d438e11810
gold.	w1_d438e11816
Stuck	w3_d438e11819
im	w5_d438e11822
Liechtenth.,	w7_d438e11825
alt	w9_d438e11828
80.	w11_d438e11831
J.	w13_d438e11835
Mich.	w1_d438e11840
Müller,	w3_d438e11843
Schuh=mach.,	w5_d438e11846
beym	w7_d438e11849
schwarz	w9_d438e11852
Ochs.	w11_d438e11855
am	w1_d438e11860
Spitalberg,	w3_d438e11863
alt	w5_d438e11866
59.	w7_d438e11869
J.	w9_d438e11872
Theres.	w1_d438e11877
Baumgartnerin,	w3_d438e11880
Wittwe,	w5_d438e11883
beyn	w7_d438e11886
3.	w9_d438e11889
weissen	w11_d438e11892
Kugeln	w1_d438e11898
im	w3_d438e11901
Liechtenth.,	w5_d438e11904
alt	w7_d438e11907
77.	w9_d438e11910
J.	w11_d438e11913
Dem	w1_d438e11918
Wenzel	w3_d438e11921
Matjeczeck,	w5_d438e11924
Lack,	w7_d438e11927
s.	w9_d438e11930
W.	w11_d438e11933
Eva,	w13_d438e11937
bey	w15_d438e11940
dem	w17_d438e11943
bl.	w1_d438e11948
Ygel	w3_d438e11951
am	w5_d438e11954
Spitalberg,	w7_d438e11957
alt	w9_d438e11960
40.	w11_d438e11963
J.	w13_d438e11967
Joh.	w1_d438e11972
Getzinger,	w3_d438e11975
Schif=kn.,	w5_d438e11978
beym	w7_d438e11981
gold.	w9_d438e11984
Hammer	w11_d438e11987
im	w1_d438e11993
Liechtenth.,	w3_d438e11996
alt	w5_d438e11999
74.	w7_d438e12002
J.	w9_d438e12005
Dem	w1_d438e12010
Guidobaldo	w3_d438e12013
Romani,	w5_d438e12016
K.	w7_d438e12019
K.	w9_d438e12022
Maulbeerbaum	w11_d438e12025
pftanz.,	w1_d438e12030
s.	w3_d438e12033
T.	w5_d438e12036
Rosal.,	w7_d438e12039
in	w9_d438e12042
der	w11_d438e12045
K.	w13_d438e12049
K.	w15_d438e12052
Seiden=fahr.	w17_d438e12055
auf	w1_d438e12060
der	w3_d438e12063
Landstr.,	w5_d438e12066
alt	w7_d438e12069
36.	w9_d438e12072
J.	w11_d438e12075
Elisab.	w1_d438e12081
Brunerin,	w3_d438e12084
Wittwe,	w5_d438e12087
bey	w7_d438e12090
St.	w9_d438e12093
Anna	w11_d438e12096
in	w13_d438e12100
der	w15_d438e12103
Josephst,	w1_d438e12108
alt	w3_d438e12111
71.	w5_d438e12114
J.	w7_d438e12117
Dem	w1_d438e12122
Sigm.	w3_d438e12125
Dirnhofer,	w5_d438e12128
Sack=trag.,	w7_d438e12131
s.	w9_d438e12134
W.	w11_d438e12137
Theres.,	w13_d438e12141
beym	w1_d438e12146
gold.	w3_d438e12149
Metz.	w5_d438e12152
am	w7_d438e12155
Getreid=m.,	w9_d438e12158
alt	w11_d438e12161
50.	w13_d438e12165
J.	w15_d438e12168
Sibol.	w1_d438e12174
Kernin,	w3_d438e12177
led.	w5_d438e12180
M.,	w7_d438e12183
beym	w9_d438e12186
blech.	w11_d438e12189
Thurn	w13_d438e12193
bey	w15_d438e12196
Maria	w1_d438e12201
hülf,	w3_d438e12204
alt	w5_d438e12207
60.	w7_d438e12210
J.	w9_d438e12213
Dem	w1_d438e12218
Adam	w3_d438e12221
Künstler,	w5_d438e12224
Tag=löhn.,	w7_d438e12227
s.	w9_d438e12230
W.	w11_d438e12233
Anna,	w13_d438e12237
bey	w15_d438e12240
Maria=ötting	w1_d438e12245
am	w3_d438e12248
Himmel=pfort	w5_d438e12251
gr.,	w7_d438e12254
alt	w9_d438e12257
50.	w11_d438e12260
J.	w13_d438e12264
</list>
<head id="h2_d438e12271">
Summa	w1_d438e12275
14.	w3_d438e12278
Person.,	w5_d438e12281
darunter	w7_d438e12284
1.	w9_d438e12287
Kind.	w11_d438e12290
Den	w1_d438e12295
3.	w3_d438e12298
April.	w5_d438e12301
Jn	w1_d438e12306
der	w3_d438e12309
Stadt.	w5_d438e12312
</head>
<list id="l4_d438e12315">
Dem	w1_d438e12319
(Tit)	w3_d438e12322
Hrn.	w5_d438e12325
Mich.	w7_d438e12328
v.	w9_d438e12331
Kärgl,	w11_d438e12334
s.	w13_d438e12338
Frle	w15_d438e12341
T.	w17_d438e12344
Barb.	w19_d438e12347
im	w1_d438e12352
Gstatteris.	w3_d438e12355
H.	w5_d438e12358
in	w7_d438e12361
der	w9_d438e12364
Dorothe=gas.,	w11_d438e12367
4.	w13_d438e12371
J.	w15_d438e12374
Dem	w1_d438e12379
Hrn	w3_d438e12382
Jacob	w5_d438e12385
Dollinger,	w7_d438e12388
Hof=befr.	w9_d438e12391
Wachs=handl.	w11_d438e12394
s.	w1_d438e12400
K.	w3_d438e12403
Theres.,	w5_d438e12406
im	w7_d438e12409
Kheris.	w9_d438e12412
H.	w11_d438e12415
am	w13_d438e12419
Kohlm.,	w15_d438e12422
5.	w17_d438e12425
v.	w19_d438e12428
J.	w21_d438e12431
Dem	w1_d438e12436
Pet.	w3_d438e12439
Augustin,	w5_d438e12442
gew.	w7_d438e12445
Burgerl.	w9_d438e12448
Wirt.,	w11_d438e12451
s.	w13_d438e12455
W.	w15_d438e12458
Anna,	w1_d438e12463
in	w3_d438e12466
s.	w5_d438e12469
H.	w7_d438e12472
am	w9_d438e12475
Arsenal,	w11_d438e12478
alt	w13_d438e12482
60.	w15_d438e12485
J.	w17_d438e12488
Dem	w1_d438e12493
Thom.	w3_d438e12496
Standhartinger,	w5_d438e12499
Kutsch.,	w7_d438e12502
s.	w9_d438e12505
W	w11_d438e12508
Ther.,	w13_d438e12512
bey	w1_d438e12518
der	w3_d438e12521
Fortuna	w5_d438e12524
in	w7_d438e12527
der	w9_d438e12530
Schulerstr.,	w11_d438e12533
alt	w13_d438e12537
38.	w15_d438e12540
J.	w17_d438e12543
</list>
<head id="h2_d438e12550">
Vor.	w1_d438e12554
der	w3_d438e12557
Stadt.	w5_d438e12560
</head>
<list id="l4_d438e12563">
Dem	w1_d438e12567
Hrn.	w3_d438e12570
Joh.	w5_d438e12573
Armold,	w7_d438e12576
Kammer=dien,	w9_d438e12579
s.	w11_d438e12582
K.	w13_d438e12586
Franz,	w15_d438e12589
im	w1_d438e12594
Schmidis.	w3_d438e12597
H.	w5_d438e12600
in	w7_d438e12603
der	w9_d438e12606
Josephst.,	w11_d438e12609
alt	w13_d438e12613
5.	w15_d438e12616
v.	w17_d438e12619
J.	w19_d438e12622
Anna	w1_d438e12627
Welischin,	w3_d438e12630
Burgerl.	w5_d438e12633
Wittwe,	w7_d438e12636
beyn	w9_d438e12639
6.	w11_d438e12642
Schim.	w13_d438e12646
bey	w1_d438e12652
St.	w3_d438e12655
Ulrich,	w5_d438e12658
alt	w7_d438e12661
44.	w9_d438e12664
J.	w11_d438e12667
</list>
<list id="l10_d438e12681">
Franz	w1_d438e12685
Felderill,	w3_d438e12688
Lack,	w5_d438e12691
beyn	w7_d438e12694
3.	w9_d438e12697
Hack.	w11_d438e12700
auf	w13_d438e12704
der	w15_d438e12707
Wind	w17_d438e12710
mühl,	w1_d438e12715
alt	w3_d438e12718
35.	w5_d438e12721
J.	w7_d438e12724
Dem	w1_d438e12729
Steph.	w3_d438e12732
Fropeis,	w5_d438e12735
Billiard=mach.,	w7_d438e12738
s.	w9_d438e12741
W.	w11_d438e12744
Elis.,	w13_d438e12748
beyn	w1_d438e12754
2.	w3_d438e12757
Kändln	w5_d438e12760
bey	w7_d438e12763
Maria=hülf,	w9_d438e12766
alt	w11_d438e12769
43.	w13_d438e12773
J.	w15_d438e12776
Dem	w1_d438e12781
Valent.	w3_d438e12784
Dachman,	w5_d438e12787
Kutsch.,	w7_d438e12790
s.	w9_d438e12793
T.	w11_d438e12796
Anna,	w13_d438e12800
beym	w15_d438e12803
wild.	w1_d438e12808
Mann	w3_d438e12811
im	w5_d438e12814
Lerchenf.,	w7_d438e12817
alt	w9_d438e12820
19.	w11_d438e12823
J.	w13_d438e12827
Anna	w1_d438e12832
Wegerin,	w3_d438e12835
Wittwe,	w5_d438e12838
bey	w7_d438e12841
der	w9_d438e12844
gold.	w11_d438e12847
Birn	w13_d438e12851
zu	w15_d438e12854
Mätzleinstorf,	w1_d438e12860
alt	w3_d438e12863
40.	w5_d438e12866
J.	w7_d438e12869
Dem	w1_d438e12874
Franz	w3_d438e12877
Hartl,	w5_d438e12880
Tüchel=mach.,	w7_d438e12883
s.	w9_d438e12886
W.	w11_d438e12889
Magdal,	w13_d438e12893
bey	w1_d438e12898
Mariasötting	w3_d438e12901
am	w5_d438e12904
Himmel	w7_d438e12907
pfort=gr.,	w9_d438e12910
18.	w11_d438e12913
J	w13_d438e12917
Dem	w1_d438e12922
Jgnatz	w3_d438e12925
Denk,	w5_d438e12928
Schneid.,	w7_d438e12931
s.	w9_d438e12934
W.	w11_d438e12937
Barb.,	w13_d438e12941
beym	w15_d438e12944
rot.	w1_d438e12950
Anker	w3_d438e12953
zu	w5_d438e12956
Mätzleinstorf,	w7_d438e12959
alt	w9_d438e12962
60.	w11_d438e12965
J.	w13_d438e12969
Mich.	w1_d438e12974
Hämpel,	w3_d438e12977
Sessel=trag,	w5_d438e12980
bey	w7_d438e12983
der	w9_d438e12986
gold.	w11_d438e12989
Saul	w13_d438e12993
am	w15_d438e12996
Himmel=pfort=gr.,	w1_d438e13001
alt	w3_d438e13004
69.	w5_d438e13007
J.	w7_d438e13010
Elisab.	w1_d438e13015
Grünerin,	w3_d438e13018
in	w5_d438e13021
St.	w7_d438e13024
Joh.	w9_d438e13027
Nep.	w11_d438e13030
Spit.,	w13_d438e13034
64.	w15_d438e13037
J.	w17_d438e13040
</list>
<head id="h2_d438e13047">
Summa	w1_d438e13051
14.	w3_d438e13054
Pers.,	w5_d438e13057
darunter	w7_d438e13060
3.	w9_d438e13063
Kind.	w11_d438e13066
</head>
<head id="h2_d438e13072">
AVERTISSEMENT.	w1_d438e13076
</head>
<p id="p4_d438e13079">
Demnach	w1_d438e13083
sub	w3_d438e13086
Dato	w5_d438e13089
10.	w7_d438e13092
Martii	w9_d438e13095
jüngsthin	w11_d438e13098
vom	w13_d438e13102
Hof	w1_d438e13107
resolviret	w3_d438e13110
worden	w5_d438e13113
ist,	w7_d438e13116
alle	w9_d438e13119
wider	w11_d438e13122
den	w13_d438e13126
Juden	w15_d438e13129
Alexander	w1_d438e13134
Oesterreicher	w3_d438e13137
Rechtsführungen	w5_d438e13140
zu	w7_d438e13143
in	w9_d438e13146
caminiren	w1_d438e13152
gedenkende	w3_d438e13155
Partheyen	w5_d438e13158
an	w7_d438e13161
die	w9_d438e13164
zu	w11_d438e13167
Preß	w13_d438e13171
burg	w1_d438e13176
befindlich	w3_d438e13179
Königl.	w5_d438e13182
Hungarische	w7_d438e13185
Stadtbalte	w9_d438e13188
rey	w1_d438e13193
anzuweisen.	w3_d438e13196
Als	w5_d438e13199
wird	w7_d438e13202
jedermänniglich,	w9_d438e13205
so	w11_d438e13208
daran	w1_d438e13213
gelegen	w3_d438e13216
ist,	w5_d438e13219
solche	w7_d438e13222
Hof=resolution	w9_d438e13225
zu	w11_d438e13228
aller	w13_d438e13232
gehorsamster	w1_d438e13238
Nachacht	w3_d438e13241
und	w5_d438e13244
Vermeidung	w7_d438e13247
aller	w9_d438e13250
sich	w11_d438e13253
selbst	w1_d438e13258
zuzuschreibendon	w3_d438e13261
Umtrieben	w5_d438e13264
und	w7_d438e13267
Unkösten	w9_d438e13270
hiemit	w1_d438e13275
kund	w3_d438e13278
und	w5_d438e13281
zu	w7_d438e13284
wissen	w9_d438e13287
gemacht.	w11_d438e13290
</p>
<p id="p6_d438e13293">
Den	w1_d438e13297
10.	w3_d438e13300
dieses	w5_d438e13303
Monats	w7_d438e13306
Aprilis	w9_d438e13309
werden	w11_d438e13312
unweit	w13_d438e13316
des	w1_d438e13321
alten	w3_d438e13324
Bauren=markt	w5_d438e13327
in	w7_d438e13330
der	w9_d438e13333
sogenannten	w11_d438e13336
klei	w13_d438e13340
nen	w1_d438e13345
Lands=eron	w3_d438e13348
im	w5_d438e13351
anderten	w7_d438e13354
Stock	w9_d438e13357
verschiedene	w11_d438e13360
Verlassenschafts=effecten,	w1_d438e13366
als	w3_d438e13369
etwas	w5_d438e13372
Silber,	w7_d438e13375
Gal	w9_d438e13378
lalterten,	w1_d438e13383
bordirt	w3_d438e13386
