<doc id="wr_1762-02-03" attrs="word" year="1762" month="02" day="03" corpus="2">
<head id="h2_d627e3760">
Madrit,	w1_d627e3764
einfolgsam	w1_d627e11034
dem	w3_d627e11037
nunmehro	w5_d627e11040
vereinbahrten	w7_d627e11043
Hof=kriegs=rahts=dicosterio	w1_d627e11048
in	w3_d627e11051
Publicis	w5_d627e11054
&	w1_d627e11059
Justitialibus	w3_d627e11062
herkommlicher	w5_d627e11065
massen	w7_d627e11068
vor	w9_d627e11071
gestellet.	w1_d627e11076
</p>
<p id="p10_d627e11079">
Gestern	w1_d627e11083
als	w3_d627e11086
am	w5_d627e11089
Maria	w7_d627e11092
Lichtmeß=fest	w9_d627e11095
Vormittags	w1_d627e11100
haben	w3_d627e11103
beyde	w5_d627e11106
Kaiserl.	w7_d627e11109
Majestäten	w9_d627e11112
mit	w1_d627e11117
Jhren	w3_d627e11120
Königl.	w5_d627e11123
Hoheiten	w7_d627e11126
denen	w9_d627e11129
älteren	w11_d627e11132
Durchl.	w1_d627e11138
Herrschaften,	w3_d627e11141
in	w5_d627e11144
Erscheinung	w7_d627e11147
des	w9_d627e11150
Päpstl.	w1_d627e11155
Monsig.	w3_d627e11158
Nuntil	w5_d627e11161
der	w7_d627e11164
gewöhnlichen	w9_d627e11167
Kerzen=weihung,	w1_d627e11172
dem	w3_d627e11175
Umgang,	w5_d627e11178
und	w7_d627e11181
Toi	w9_d627e11184
son=amt	w1_d627e11189
bey	w3_d627e11192
denen	w5_d627e11195
WW.	w7_d627e11198
EE.	w9_d627e11201
PP.	w11_d627e11204
Au	w13_d627e11208
gustinern,	w1_d627e11214
in	w3_d627e11217
der	w5_d627e11220
Kaiserl.	w7_d627e11223
Hof=kirche,	w9_d627e11226
bey	w11_d627e11229
gewohnet.	w1_d627e11234
</p>
<p id="p12_d627e11238">
Den	w1_d627e11242
6.	w3_d627e11245
Febr.	w5_d627e11248
werden	w7_d627e11251
die	w9_d627e11254
geistliche	w11_d627e11257
acht	w13_d627e11261
tägige	w1_d627e11266
Exercitien	w3_d627e11269
des	w5_d627e11272
Heil.	w7_d627e11275
Jgnatii	w9_d627e11278
mit	w11_d627e11281
denen	w1_d627e11286
Christlichen	w3_d627e11289
Dienstbothen	w5_d627e11292
weiblichen	w7_d627e11295
Geschlechts	w1_d627e11301
im	w3_d627e11304
Kaiserl.	w5_d627e11307
Königl.	w7_d627e11310
Profesi	w9_d627e11313
haus	w1_d627e11318
der	w3_d627e11321
Gesellschaft	w5_d627e11324
JEsu	w7_d627e11327
am	w9_d627e11330
Hof	w11_d627e11333
in	w13_d627e11337
der	w1_d627e11342
Herrn=capelle	w3_d627e11345
um	w5_d627e11348
halber	w7_d627e11351
6.	w9_d627e11354
Uhr	w11_d627e11357
in	w13_d627e11361
der	w1_d627e11366
Frühe	w3_d627e11369
mit	w5_d627e11372
der	w7_d627e11375
heiligen	w9_d627e11378
Seegen=meß	w11_d627e11381
angefangen	w1_d627e11387
werden,	w3_d627e11390
und	w5_d627e11393
kan	w7_d627e11396
man	w9_d627e11399
dabey	w11_d627e11402
voll	w13_d627e11406
kommenen	w1_d627e11411
Ablaß	w3_d627e11414
gewinnen.	w5_d627e11417
Es	w7_d627e11420
werden	w9_d627e11423
auch	w1_d627e11428
selben	w3_d627e11431
die	w5_d627e11434
darzu	w7_d627e11437
dienliche	w9_d627e11440
Büchlein	w11_d627e11443
aus	w13_d627e11447
getheilet	w1_d627e11452
werden.	w3_d627e11455
</p>
<head id="h2_d627e11462">
Lista	w1_d627e11466
deren	w3_d627e11469
Verstorbenen	w5_d627e11472
zu	w7_d627e11475
Wien	w9_d627e11478
in	w1_d627e11483
und	w3_d627e11486
vor	w5_d627e11489
der	w7_d627e11492
Stadt.	w9_d627e11495
Den	w1_d627e11500
28.	w3_d627e11503
Jan.	w5_d627e11506
Jn	w1_d627e11512
der	w3_d627e11515
Stadt.	w5_d627e11518
</head>
<list id="l4_d627e11521">
Dem	w1_d627e11525
Wol=edel	w3_d627e11528
gestr.	w5_d627e11531
Hrn.	w7_d627e11534
Mich.	w9_d627e11537
August.	w11_d627e11540
Münzer,	w13_d627e11544
der	w1_d627e11549
Röm.	w3_d627e11552
Kais.	w5_d627e11555
geh	w7_d627e11558
Canzley=offic.,	w9_d627e11561
s.	w11_d627e11564
Fr.	w13_d627e11568
Maria	w15_d627e11571
Eleyn.,	w1_d627e11576
beyn	w3_d627e11579
5.	w5_d627e11582
Kron.	w7_d627e11585
am	w9_d627e11588
Hof,	w11_d627e11591
alt	w13_d627e11595
27.	w15_d627e11598
J.	w17_d627e11601
</list>
<list id="l10_d627e11615">
Dem	w1_d627e11619
Franz	w3_d627e11622
Kerzl,	w5_d627e11625
Musico,	w7_d627e11628
s.	w9_d627e11631
K.	w11_d627e11634
Rosina,	w13_d627e11638
im	w15_d627e11641
Ba	w17_d627e11644
deris.	w1_d627e11649
H.	w3_d627e11652
in	w5_d627e11655
der	w7_d627e11658
Himmel=pfort	w9_d627e11661
gas.,	w11_d627e11664
alt	w13_d627e11668
4.	w15_d627e11671
J.	w17_d627e11674
Anna	w1_d627e11679
Beckin,	w3_d627e11682
led.,	w5_d627e11685
auf	w7_d627e11688
der	w9_d627e11691
Bäcken	w11_d627e11694
herberg	w13_d627e11698
an	w15_d627e11701
dem	w17_d627e11704
Salz	w1_d627e11710
gr.,	w3_d627e11713
alt	w5_d627e11716
51.	w7_d627e11719
J.	w9_d627e11722
Dem	w1_d627e11727
Jos.	w3_d627e11730
Baumann,	w5_d627e11733
Zimmer	w7_d627e11736
ges.,	w9_d627e11739
s.	w11_d627e11742
K.	w13_d627e11746
Cathar.,	w15_d627e11749
bey	w1_d627e11754
der	w3_d627e11757
schön.	w5_d627e11760
Lantern	w7_d627e11763
nächst	w9_d627e11766
dem	w11_d627e11769
H.	w13_d627e11773
Kreutzer	w15_d627e11776
hof,	w1_d627e11781
alt	w3_d627e11784
7.	w5_d627e11787
v.	w7_d627e11790
J.	w9_d627e11793
</list>
<head id="h2_d627e11800">
Vor	w1_d627e11804
der	w3_d627e11807
Stadt.	w5_d627e11810
</head>
<list id="l4_d627e11813">
Der	w1_d627e11817
Wol=ehrw.	w3_d627e11820
Hr.	w5_d627e11823
Joh.	w7_d627e11826
Ludw.	w9_d627e11829
Weiß,	w11_d627e11832
weltli	w13_d627e11836
Priest.,	w1_d627e11841
beym	w3_d627e11844
Salz=kuf.	w5_d627e11847
im	w7_d627e11850
Liechtenth.,	w9_d627e11853
64.	w11_d627e11856
J.	w13_d627e11860
Joh.	w1_d627e11865
Franz	w3_d627e11868
Pusseti,	w5_d627e11871
Burgerl.	w7_d627e11874
Gold	w9_d627e11877
arbeit.,	w11_d627e11880
beym	w13_d627e11884
Rit.	w1_d627e11890
St.	w3_d627e11893
Keorg	w5_d627e11896
bey	w7_d627e11899
Mariathülf,	w9_d627e11902
alt	w11_d627e11905
63.	w13_d627e11909
J.	w15_d627e11912
Der	w1_d627e11917
Ursula	w3_d627e11920
Adamin,	w5_d627e11923
Burgerl.	w7_d627e11926
Wittwe,	w9_d627e11929
ihr	w11_d627e11932
T.	w13_d627e11936
Cla	w15_d627e11939
ra,	w1_d627e11944
beym	w3_d627e11947
gut.	w5_d627e11950
Hirt	w7_d627e11953
untern	w9_d627e11956
Weiß=gärb.,	w11_d627e11959
22.	w13_d627e11963
J.	w15_d627e11966
Dem	w1_d627e11971
Ferd:	w3_d627e11974
Birick.	w5_d627e11977
Burgerl.	w7_d627e11980
Strümpftstrück,	w9_d627e11983
s.	w11_d627e11986
K	w13_d627e11990
Andre,	w1_d627e11996
in	w3_d627e11999
Forstmaisteris.	w5_d627e12002
H.	w7_d627e12005
in	w9_d627e12008
der	w11_d627e12011
Leopoldst,	w13_d627e12015
alt	w1_d627e12020
6.	w3_d627e12023
v.	w5_d627e12026
J.	w7_d627e12029
Ant.	w1_d627e12034
Katzianer,	w3_d627e12037
Schuhmach,	w5_d627e12040
beym	w7_d627e12043
Schab	w9_d627e12046
den	w11_d627e12049
ries.	w13_d627e12053
in	w1_d627e12058
der	w3_d627e12061
Leopoldst.,	w5_d627e12064
alt	w7_d627e12067
75	w9_d627e12070
Gertr.	w1_d627e12076
Fischerin,	w3_d627e12079
led.	w5_d627e12082
M.,	w7_d627e12085
beyn	w9_d627e12088
3.	w11_d627e12091
Hack.	w13_d627e12095
am	w15_d627e12098
Him	w17_d627e12101
mel=pfort=gr.,	w1_d627e12106
alt	w3_d627e12109
60.	w5_d627e12112
J.	w7_d627e12115
Andre	w1_d627e12120
Holzgaßner,	w3_d627e12123
Taglöhn,	w5_d627e12126
im	w7_d627e12129
Prucknerisch.	w9_d627e12132
H.	w11_d627e12135
zu	w13_d627e12139
Erdberg,	w1_d627e12144
alt	w3_d627e12147
58.	w5_d627e12150
J.	w7_d627e12153
Joh.	w1_d627e12159
Mansdorf,	w3_d627e12162
arm.,	w5_d627e12165
im	w7_d627e12168
Kreutz=herren	w9_d627e12171
hof=spit.	w11_d627e12174
auf	w1_d627e12179
der	w3_d627e12182
Wied.,	w5_d627e12185
alt	w7_d627e12188
66.	w9_d627e12191
J.	w11_d627e12194
Elisab.	w1_d627e12199
Bärnköpfin,	w3_d627e12202
Wittwe,	w5_d627e12205
beym	w7_d627e12208
bl.	w9_d627e12211
Pfauen	w11_d627e12214
un	w13_d627e12218
tern	w1_d627e12223
Felb.,	w3_d627e12226
alt	w5_d627e12229
66.	w7_d627e12232
J.	w9_d627e12235
</list>
<head id="h2_d627e12242">
Summa	w1_d627e12246
13.	w3_d627e12249
Person.,	w5_d627e12252
darunter	w7_d627e12255
3.	w9_d627e12258
Kind.	w11_d627e12261
Den	w1_d627e12266
29.	w3_d627e12269
Jan.	w5_d627e12272
Jn	w1_d627e12277
der	w3_d627e12280
Stadt.	w5_d627e12283
</head>
<list id="l4_d627e12286">
Hr.	w1_d627e12290
Barthol.	w3_d627e12293
Poli,	w5_d627e12296
Banco=haupt=cassa=rait=offic.,	w7_d627e12299
im	w1_d627e12304
Baderis.	w3_d627e12307
H.	w5_d627e12310
auf	w7_d627e12313
der	w9_d627e12316
hoh.	w11_d627e12319
Bruck.,	w13_d627e12323
alt	w15_d627e12326
58.	w17_d627e12329
J.	w19_d627e12332
Der	w1_d627e12337
Ehrw.	w3_d627e12340
Fr.	w5_d627e12343
Remig.	w7_d627e12346
Reichhofer,	w9_d627e12349
Ord.	w11_d627e12352
St.	w13_d627e12356
Fr.	w15_d627e12359
cisei,	w1_d627e12365
im	w3_d627e12368
Kloster	w5_d627e12371
bey	w7_d627e12374
St.	w9_d627e12377
Hieron.,	w11_d627e12380
alt	w13_d627e12384
41.	w15_d627e12387
J.	w17_d627e12390
</list>
<head id="h2_d627e12397">
Vor	w1_d627e12401
der	w3_d627e12404
Stadt.	w5_d627e12407
</head>
<list id="l4_d627e12410">
Dem	w1_d627e12414
Hrn.	w3_d627e12417
Niclas	w5_d627e12420
Maurer,	w7_d627e12423
K.	w9_d627e12426
K.	w11_d627e12429
Handgrafen	w13_d627e12433
amts=offic.,	w1_d627e12438
s.	w3_d627e12441
K.	w5_d627e12444
Eleon.,	w7_d627e12447
im	w9_d627e12450
Steinl=bäckis.	w11_d627e12453
H.	w13_d627e12457
auf	w1_d627e12462
der	w3_d627e12465
Landstr.,	w5_d627e12468
alt	w7_d627e12471
6.	w9_d627e12474
v.	w11_d627e12477
J.	w13_d627e12481
Die	w1_d627e12487
Wol=edle	w3_d627e12490
Fr.	w5_d627e12493
Delfine	w7_d627e12496
de	w9_d627e12499
Brathin,	w11_d627e12502
Wittwe,	w13_d627e12506
im	w15_d627e12509
Nilleris.	w1_d627e12514
H.	w3_d627e12517
auf	w5_d627e12520
der	w7_d627e12523
Landstr.,	w9_d627e12526
alt	w11_d627e12529
48.	w13_d627e12533
J.	w15_d627e12536
Dem	w1_d627e12541
Pet.	w3_d627e12544
Huber,	w5_d627e12547
Mahl.,	w7_d627e12550
s.	w9_d627e12553
K.	w11_d627e12556
Francisea,	w13_d627e12560
bey	w15_d627e12563
dem	w17_d627e12566
gold.	w1_d627e12571
Kegel	w3_d627e12574
an	w5_d627e12577
der	w7_d627e12580
Wien,	w9_d627e12583
alt	w11_d627e12586
8.	w13_d627e12590
J.	w15_d627e12593
Elisab.	w1_d627e12599
Klingin,	w3_d627e12602
led.,	w5_d627e12605
beym	w7_d627e12608
gold.	w9_d627e12611
Hirsch.	w11_d627e12614
bey	w13_d627e12618
St.	w15_d627e12621
Ulrich,	w1_d627e12626
alt	w3_d627e12629
88.	w5_d627e12632
J.	w7_d627e12635
Barb.	w1_d627e12640
Weyerin,	w3_d627e12643
Wittwe,	w5_d627e12646
im	w7_d627e12649
Partlis.	w9_d627e12652
H.	w11_d627e12655
unt.	w13_d627e12659
Weiß	w15_d627e12662
gärb.,	w1_d627e12667
alt	w3_d627e12670
42.	w5_d627e12673
J.	w7_d627e12676
Dem	w1_d627e12682
Joh.	w3_d627e12685
Humelberger,	w5_d627e12688
Kutsch.,	w7_d627e12691
s.	w9_d627e12694
W.	w11_d627e12697
Juliana,	w13_d627e12701
im	w1_d627e12706
Penkleris.	w3_d627e12709
H.	w5_d627e12712
auf	w7_d627e12715
der	w9_d627e12718
Landstr.,	w11_d627e12721
alt	w13_d627e12725
27.	w15_d627e12728
J.	w17_d627e12731
</list>
<head id="h2_d627e12738">
Summa	w1_d627e12742
8.	w3_d627e12745
Person.	w5_d627e12748
darunter	w7_d627e12751
2.	w9_d627e12754
Kind.	w11_d627e12757
Den	w1_d627e12762
30.	w3_d627e12765
Jan.	w5_d627e12768
Jn	w1_d627e12773
der	w3_d627e12776
Stadt.	w5_d627e12779
</head>
<list id="l4_d627e12782">
Joh.	w1_d627e12786
Welsle,	w3_d627e12789
Burgerl.	w5_d627e12792
klein.	w7_d627e12795
Uhrmach.,	w9_d627e12798
im	w11_d627e12801
Frey	w13_d627e12805
singer=hof,	w1_d627e12810
alt	w3_d627e12813
47.	w5_d627e12816
J.	w7_d627e12819
Der	w1_d627e12824
Benigna	w3_d627e12827
Fundeisin,	w5_d627e12830
Burgerl.	w7_d627e12833
Wittwe,	w9_d627e12836
ihr	w11_d627e12839
T.	w13_d627e12843
Cathar.,	w1_d627e12849
beym	w3_d627e12852
Rit.	w5_d627e12855
St.	w7_d627e12858
Georg	w9_d627e12861
im	w11_d627e12864
Schlosser=gäs.	w13_d627e12868
alt	w1_d627e12873
16.	w3_d627e12876
J.	w5_d627e12879
</list>
<head id="h2_d627e12886">
Vor	w1_d627e12890
der	w3_d627e12893
Stadt.	w5_d627e12896
</head>
<list id="l4_d627e12899">
Dem	w1_d627e12903
Phil.	w3_d627e12906
Kollfellner,	w5_d627e12909
Burgerl.	w7_d627e12912
Tischl,	w9_d627e12915
s.	w11_d627e12918
W.	w13_d627e12922
Sp	w15_d627e12925
phia,	w1_d627e12930
im	w3_d627e12933
Schreyeris.	w5_d627e12936
H.	w7_d627e12939
in	w9_d627e12942
der	w11_d627e12945
Leopoldst.,	w13_d627e12949
28.	w15_d627e12952
J.	w17_d627e12955
Joh	w1_d627e12960
Mich.	w3_d627e12963
Reichl,	w5_d627e12966
Wirt,	w7_d627e12969
in	w9_d627e12972
s.	w11_d627e12975
H.	w13_d627e12979
am	w15_d627e12982
obern	w17_d627e12985
Neu	w19_d627e12988
stift,	w1_d627e12994
alt	w3_d627e12997
36.	w5_d627e13000
J.	w7_d627e13003
Jgn.	w1_d627e13008
Kampel,	w3_d627e13011
Schuh=kn.,	w5_d627e13014
beym	w7_d627e13017
gold.	w9_d627e13020
Kreutz	w11_d627e13023
am	w13_d627e13027
Neustift,	w1_d627e13032
alt	w3_d627e13035
30.	w5_d627e13038
J.	w7_d627e13041
Dem	w1_d627e13046
Jgn.	w3_d627e13049
Ulrich,	w5_d627e13052
Jnvalid.,	w7_d627e13055
s.	w9_d627e13058
W.	w11_d627e13061
Sabina,	w13_d627e13065
beym	w15_d627e13068
braun.	w1_d627e13074
Hirsch.	w3_d627e13077
ausser	w5_d627e13080
Maria=hülf,	w7_d627e13083
alt	w9_d627e13086
66	w11_d627e13089
J.	w13_d627e13093
Dem	w1_d627e13098
Math.	w3_d627e13101
Schmid,	w5_d627e13104
Lehen=kutsch.	w7_d627e13107
kn,	w9_d627e13110
s.	w11_d627e13113
K.	w13_d627e13117
Jos.,	w15_d627e13120
beym	w1_d627e13125
bl.	w3_d627e13128
Ygel	w5_d627e13131
am	w7_d627e13134
Spitalberg,	w9_d627e13137
alt	w11_d627e13140
4	w13_d627e13144
J.	w15_d627e13147
Dem	w1_d627e13152
Lucas	w3_d627e13155
Framberger,	w5_d627e13158
Taglöhn.,	w7_d627e13161
s.	w9_d627e13164
K.	w11_d627e13167
Anna,	w13_d627e13171
bey	w15_d627e13174
dem	w1_d627e13180
Elephant.	w3_d627e13183
zu	w5_d627e13186
Margar.,	w7_d627e13189
alt	w9_d627e13192
3.	w11_d627e13195
J.	w13_d627e13199
Dem	w1_d627e13204
Niclas	w3_d627e13207
Neidel,	w5_d627e13210
Wäsch,	w7_d627e13213
s.	w9_d627e13216
K.	w11_d627e13219
Wolf,	w13_d627e13223
im	w15_d627e13226
Hand	w17_d627e13229
schuhmacheris.	w1_d627e13234
H.	w3_d627e13237
am	w5_d627e13240
Alster=bach,	w7_d627e13243
alt	w9_d627e13246
5.	w11_d627e13249
v.	w13_d627e13253
J.	w15_d627e13256
</list>
<head id="h2_d627e13264">
Summa	w1_d627e13268
9.	w3_d627e13271
Pers.,	w5_d627e13274
darunter	w7_d627e13277
3.	w9_d627e13280
Kind.	w11_d627e13283
</head>
<list id="l4_d627e13288">
Bey	w1_d627e13292
Joseph	w3_d627e13295
Kurzböck,	w5_d627e13298
Universitätsbuchdru	w7_d627e13301
ckern,	w1_d627e13306
in	w3_d627e13309
der	w5_d627e13312
Bogner=gasse	w7_d627e13315
im	w9_d627e13318
Hof=glaserischen	w11_d627e13321
Haus	w1_d627e13326
ist	w3_d627e13329
zu	w5_d627e13332
haben:	w7_d627e13335
Das	w1_d627e13341
vor	w3_d627e13344
einigen	w5_d627e13347
Wochen	w7_d627e13350
allbier	w9_d627e13353
unter	w11_d627e13356
guten	w13_d627e13360
Freunden	w1_d627e13365
aufgeführte	w3_d627e13368
Lustspiel	w5_d627e13371
unter	w7_d627e13374
dem	w9_d627e13377
Titul:	w11_d627e13380
die	w1_d627e13385
reisenden	w3_d627e13388
Comcdianten,	w5_d627e13391
oder	w7_d627e13394
der	w9_d627e13397
gescheide	w11_d627e13400
und	w1_d627e13405
Dämische	w3_d627e13408
Jmpressarius,	w5_d627e13411
verfasset	w7_d627e13414
von	w9_d627e13417
Phi	w11_d627e13420
lipp	w1_d627e13426
Hafner,	w3_d627e13429
8vo.	w5_d627e13432
à	w7_d627e13435
24.	w9_d627e13438
kr.	w11_d627e13441
Seltsame	w1_d627e13446
Begebenheiten	w3_d627e13449
eines	w5_d627e13452
Preußischen	w7_d627e13455
Gre	w9_d627e13458
nadiers,	w1_d627e13463
Namens	w3_d627e13466
Gustav	w5_d627e13469
Schnurbart,	w7_d627e13472
ein	w9_d627e13475
Hel	w11_d627e13478
den=gedicht	w1_d627e13483
in	w3_d627e13486
6.	w5_d627e13489
Büchern,	w7_d627e13492
8vo.	w9_d627e13495
10.	w11_d627e13498
kr.	w13_d627e13502
Poetische	w1_d627e13508
Bilder,	w3_d627e13511
2ter	w5_d627e13514
Theil	w7_d627e13517
der	w9_d627e13520
meisten	w11_d627e13523
krie	w13_d627e13527
gerischen	w1_d627e13532
Vorgänge	w3_d627e13535
in	w5_d627e13538
Europa	w7_d627e13541
seit	w9_d627e13544
dem	w11_d627e13547
Jahr	w13_d627e13551
1760.	w1_d627e13556
à	w3_d627e13559
24.	w5_d627e13562
kr.	w7_d627e13565
NB.	w1_d627e13570
Es	w3_d627e13573
ist	w5_d627e13576
auch	w7_d627e13579
noch	w9_d627e13582
der	w11_d627e13585
erste	w13_d627e13589
Theil	w15_d627e13592
zu	w17_d627e13595
haben.	w19_d627e13598
Schädlich	w1_d627e13604
betrübte	w3_d627e13607
Folgen	w5_d627e13610
einer	w7_d627e13613
ungegründe	w9_d627e13616
ten	w1_d627e13621
Eisersucht,	w3_d627e13624
erwiesen	w5_d627e13627
durch	w7_d627e13630
die	w9_d627e13633
selbst	w11_d627e13636
Entlei	w13_d627e13640
bung	w1_d627e13645
Herrn	w3_d627e13648
Veltens	w5_d627e13651
und	w7_d627e13654
seiner	w9_d627e13657
Mariane	w11_d627e13660
zu	w13_d627e13664
Ber	w15_d627e13667
lin,	w1_d627e13672
8vo.	w3_d627e13675
à	w5_d627e13678
7.	w7_d627e13681
kr.	w9_d627e13684
Herrn	w1_d627e13690
Niclas	w3_d627e13693
Schwachbergers	w5_d627e13696
patriotische	w7_d627e13699
Er	w9_d627e13702
klärung	w1_d627e13707
über	w3_d627e13710
die	w5_d627e13713
auf	w7_d627e13716
dem	w9_d627e13719
Freythof	w11_d627e13722
zu	w13_d627e13726
Todtenau	w15_d627e13729
in	w1_d627e13734
Lappland	w3_d627e13737
1760.	w5_d627e13740
gesetzten	w7_d627e13743
Grabschriften,	w9_d627e13746
8vo.	w11_d627e13749
7.	w1_d627e13754
kr.	w3_d627e13757
Der	w1_d627e13763
am	w3_d627e13766
neuen	w5_d627e13769
Jahrs=tage	w7_d627e13772
sich	w9_d627e13775
zu	w11_d627e13778
GOtt	w13_d627e13782
be	w15_d627e13785
bekehrende	w1_d627e13790
Sünder,	w3_d627e13793
8vo.	w5_d627e13796
7.	w7_d627e13799
kr.	w9_d627e13802
Ode	w1_d627e13807
auf	w3_d627e13810
die	w5_d627e13813
Cardinals=würde	w7_d627e13816
Sr.	w9_d627e13819
Hochfürstl.	w11_d627e13822
Eminenz	w1_d627e13827
Herrn,	w3_d627e13830
Herrn	w5_d627e13833
Christoph	w7_d627e13836
von	w9_d627e13839
Migazzi,	w11_d627e13842
Erz=bischoffen	w1_d627e13848
zu	w3_d627e13851
Wien,	w5_d627e13854
verfast	w7_d627e13857
von	w9_d627e13860
Joseph	w11_d627e13863
Burk	w13_d627e13867
hart	w1_d627e13872
S.	w3_d627e13875
J.	w5_d627e13878
groß	w7_d627e13881
4to.	w9_d627e13884
7.	w11_d627e13887
Ermahnung	w1_d627e13892
eines	w3_d627e13895
sterbenden	w5_d627e13898
Jünglings	w7_d627e13901
an	w9_d627e13904
sei	w11_d627e13907
nen	w1_d627e13912
Bruder,	w3_d627e13915
8vo.	w5_d627e13918
10.	w7_d627e13921
kr.	w9_d627e13924
Neu=Jahrs=gespräch	w1_d627e13930
zwischen	w3_d627e13933
dem	w5_d627e13936
Richter	w7_d627e13939
von	w9_d627e13942
Tripstrill	w1_d627e13947
und	w3_d627e13950
dem	w5_d627e13953
Herrschafts=inspector	w7_d627e13956
a	w9_d627e13959
7.	w11_d627e13962
kr.	w13_d627e13966
</list>
<p id="p6_d627e13970">
Es	w1_d627e13974
wird	w3_d627e13977
hiemit	w5_d627e13980
jedermänniglich	w7_d627e13983
kund	w9_d627e13986
und	w11_d627e13989
zu	w13_d627e13993
wissen	w1_d627e13998
gemacht:	w3_d627e14001
welchergestalten	w5_d627e14004
den	w7_d627e14007
10.	w9_d627e14010
nächst	w11_d627e14013
künftigen	w1_d627e14018
Monats	w3_d627e14021
Februarii	w5_d627e14024
die	w7_d627e14027
der	w9_d627e14030
Herrschaft	w11_d627e14033
Königstätten	w1_d627e14039
unterthänige	w3_d627e14042
Johann	w5_d627e14045
Georg	w7_d627e14048
Prandt	w9_d627e14051
nerische	w1_d627e14056
Mühl	w3_d627e14059
zu	w5_d627e14062
Unterolberndorf	w7_d627e14065
am	w9_d627e14068
Kreitbach	w11_d627e14071
mit	w1_d627e14076
2.	w3_d627e14079
Gängen	w5_d627e14082
versehen,	w7_d627e14085
nebst	w9_d627e14088
vielen	w11_d627e14091
überländ	w13_d627e14095
</p>
<p id="p12_d627e14109">
Grund=stücken	w1_d627e14113
entweders	w3_d627e14116
licitando	w5_d627e14119
dem	w7_d627e14122
Meistbie	w9_d627e14125
tenden	w1_d627e14130
verkauft	w3_d627e14133
oder	w5_d627e14136
in	w7_d627e14139
Bestand	w9_d627e14142
verlassen	w11_d627e14145
wird	w13_d627e14149
werden;	w1_d627e14154
wer	w3_d627e14157
nun	w5_d627e14160
sothane	w7_d627e14163
Mühl	w9_d627e14166
und	w11_d627e14169
Grundstück	w13_d627e14173
käuflich	w1_d627e14179
an	w3_d627e14182
sich	w5_d627e14185
zu	w7_d627e14188
bringen	w9_d627e14191
gedenket,	w11_d627e14194
derselbe	w13_d627e14198
kau	w15_d627e14201
sich	w1_d627e14206
an	w3_d627e14209
obbestimmten	w5_d627e14212
Tag	w7_d627e14215
fruhe	w9_d627e14218
um	w11_d627e14221
9.	w13_d627e14225
Uhr	w15_d627e14228
bey	w17_d627e14231
der	w19_d627e14234
Rent=amts=cauzley	w1_d627e14239
Königstätten	w3_d627e14242
anmelden.	w5_d627e14245
</p>
<list id="l14_d627e14248">
Es	w1_d627e14252
dienet	w3_d627e14255
dem	w5_d627e14258
Publico	w7_d627e14261
zur	w9_d627e14264
Nachricht,	w1_d627e14269
daß	w3_d627e14272
den	w1_d627e14277
10.	w3_d627e14280
Febr.	w5_d627e14283
a.	w7_d627e14286
e.	w9_d627e14289
ein	w11_d627e14292
schöner	w13_d627e14296
Vorraht	w15_d627e14299
von	w17_d627e14302
Hi	w19_d627e14305
storischen	w1_d627e14311
und	w3_d627e14314
Juristischen	w5_d627e14317
Büchern	w7_d627e14320
auf	w9_d627e14323
dem	w11_d627e14326
al	w13_d627e14330
ten	w1_d627e14335
Kienmarkt	w3_d627e14338
im	w5_d627e14341
Nillerischen	w7_d627e14344
Haus	w9_d627e14347
zweyten	w11_d627e14350
Stock	w1_d627e14355
licitando	w3_d627e14358
verkauft	w5_d627e14361
werden.	w7_d627e14364
Der	w1_d627e14369
Catalogus	w3_d627e14372
ist	w5_d627e14375
in	w7_d627e14378
der	w9_d627e14381
Buchhandlung	w11_d627e14384
zum	w13_d627e14388
goldenen	w1_d627e14394
Vließ	w3_d627e14397
auf	w5_d627e14400
der	w7_d627e14403
hohen	w9_d627e14406
Brucken	w11_d627e14409
gratis	w13_d627e14413
zu	w15_d627e14416
bekommen.	w1_d627e14421
</list>
<p id="p16_d627e14425">
Bey	w1_d627e14429
Herrn	w3_d627e14432
Franz	w5_d627e14435
Xaveri	w7_d627e14438
Hueber,	w9_d627e14441
Burgerl.	w11_d627e14444
Handels=mann	w1_d627e14449
seel.	w3_d627e14452
Wittib	w5_d627e14455
auf	w7_d627e14458
dem	w9_d627e14461
Hof	w11_d627e14464
bey	w13_d627e14468
der	w1_d627e14473
Stadt	w3_d627e14476
Worms	w5_d627e14479
am	w7_d627e14482
Rhein,	w9_d627e14485
seynd	w11_d627e14488
zu	w13_d627e14492
haben	w15_d627e14495
folgende	w1_d627e14501
Ausländer=weine,	w3_d627e14504
als:	w5_d627e14507
Rhein=wein,	w7_d627e14510
Mosler,	w1_d627e14515
Burgunder,	w3_d627e14518
Champagner,	w5_d627e14521
Gibraltar,	w7_d627e14524
Frontignac,	w1_d627e14529
Monte=Polciano,	w3_d627e14532
Muscate,	w5_d627e14535
Vin	w7_d627e14538
de	w1_d627e14543
Ree,	w3_d627e14546
Risoseo,	w5_d627e14549
weissen	w7_d627e14552
und	w9_d627e14555
roten	w11_d627e14558
Tyroler,	w13_d627e14562
Rätzerstorfer,	w1_d627e14568
Tockayer,	w3_d627e14571
und	w5_d627e14574
Holländer-thee.	w7_d627e14577
</p>
<p id="p18_d627e14580">
Wir	w1_d627e14584
Endes	w3_d627e14587
Gefertigte	w5_d627e14590
von	w7_d627e14593
einem	w9_d627e14596
