<doc id="wr_1761-05-20" attrs="word" year="1761" month="05" day="20" corpus="2">
<head id="h2_d554e2562">
Mayland	w1_d554e2566
(Tit)	w3_d554e9849
Hrn.	w5_d554e9852
Leop.	w7_d554e9855
v.	w9_d554e9858
Hauer,	w11_d554e9861
K.	w13_d554e9865
K.	w15_d554e9868
Obrist.	w17_d554e9871
feld=proviant=haupt	w1_d554e9876
buchhalt.	w3_d554e9879
revis.,	w5_d554e9882
s.	w7_d554e9885
K.	w9_d554e9888
Ant.,	w11_d554e9891
im	w1_d554e9896
Doct.	w3_d554e9899
Heißleris.	w5_d554e9902
H.	w7_d554e9905
in	w9_d554e9908
der	w11_d554e9911
gr.	w13_d554e9915
Anger=gas.,	w15_d554e9918
1.	w17_d554e9921
J.	w19_d554e9924
Dem	w1_d554e9930
Joh	w3_d554e9933
Mich.	w5_d554e9936
Landsteger,	w7_d554e9939
Herrschaftl.	w9_d554e9942
Kutsch.,	w11_d554e9945
s.	w1_d554e9950
K.	w3_d554e9953
Aloys.,	w5_d554e9956
im	w7_d554e9959
Wagnerisch.	w9_d554e9962
H.	w11_d554e9965
auf	w13_d554e9969
der	w15_d554e9972
hohen	w17_d554e9975
Bruck,	w1_d554e9980
alt	w3_d554e9983
1.	w5_d554e9986
J.	w7_d554e9989
</list>
<head id="h2_d554e9996">
Vor	w1_d554e10000
der	w3_d554e10003
Stadt.	w5_d554e10006
</head>
<list id="l4_d554e10009">
Der	w1_d554e10013
Juliana	w3_d554e10016
Trichtlin,	w5_d554e10019
Burgerl.	w7_d554e10022
Wittwe,	w9_d554e10025
ihr	w11_d554e10028
K.	w13_d554e10032
Casp.,	w1_d554e10037
beym	w3_d554e10040
gr.	w5_d554e10043
Fäs.	w7_d554e10046
am	w9_d554e10049
Himmel=pfort	w11_d554e10052
gr.,	w13_d554e10056
4.	w15_d554e10059
J.	w17_d554e10062
Dem	w1_d554e10067
Joh.	w3_d554e10070
Grünwald,	w5_d554e10073
K.	w7_d554e10076
Heyduck.,	w9_d554e10079
s.	w11_d554e10082
W.	w13_d554e10086
Ursula,	w15_d554e10089
beym	w1_d554e10095
gros.	w3_d554e10098
wild.	w5_d554e10101
Mann	w7_d554e10104
um	w9_d554e10107
Spitalberg,	w11_d554e10110
54.	w13_d554e10114
J.	w15_d554e10117
Mich.	w1_d554e10122
Berger,	w3_d554e10125
Schuh=kn.,	w5_d554e10128
beym	w7_d554e10131
weis.	w9_d554e10134
Hirsch.	w11_d554e10137
an	w13_d554e10141
der	w1_d554e10146
Wien,	w3_d554e10149
alt	w5_d554e10152
27.	w7_d554e10155
J.	w9_d554e10158
Carl	w1_d554e10163
Reitz,	w3_d554e10166
Schnürmach	w5_d554e10169
=ges.,	w7_d554e10172
beym	w9_d554e10175
Rit.	w11_d554e10178
St.	w13_d554e10182
Georg	w15_d554e10185
in	w1_d554e10191
der	w3_d554e10194
Josephst.,	w5_d554e10197
alt	w7_d554e10200
28.	w9_d554e10203
J.	w11_d554e10206
Joh.	w1_d554e10211
Wilh.	w3_d554e10214
Wend,	w5_d554e10217
Dräxl.,	w7_d554e10220
bey	w9_d554e10223
der	w11_d554e10226
Stadt	w13_d554e10230
Wien	w15_d554e10233
am	w1_d554e10238
Himmel=pfort=gr.,	w3_d554e10241
alt	w5_d554e10244
61.	w7_d554e10247
J.	w9_d554e10250
Jos.	w1_d554e10255
Schneeberger,	w3_d554e10258
Binder,	w5_d554e10261
beym	w7_d554e10264
Steg	w9_d554e10267
am	w11_d554e10270
Alster	w13_d554e10274
bach,	w1_d554e10280
alt	w3_d554e10283
64.	w5_d554e10286
J.	w7_d554e10289
Heinr.	w1_d554e10294
Widman,	w3_d554e10297
Lack.,	w5_d554e10300
bey	w7_d554e10303
der	w9_d554e10306
gold.	w11_d554e10309
Saul.	w13_d554e10313
in	w15_d554e10316
der	w17_d554e10319
1.	w1_d554e10324
Josephst.,	w3_d554e10327
alt	w5_d554e10330
44.	w7_d554e10333
J.	w9_d554e10336
Franz	w1_d554e10341
Rieder,	w3_d554e10344
K.	w5_d554e10347
K.	w7_d554e10350
Obrist=schif=amts=nau=führ.,	w9_d554e10353
bey	w1_d554e10359
St.	w3_d554e10362
Peregrin	w5_d554e10365
in	w7_d554e10368
der	w9_d554e10371
Leopoldst.,	w11_d554e10374
alt	w13_d554e10378
63.	w15_d554e10381
J.	w17_d554e10384
Simon	w1_d554e10389
Brummer,	w3_d554e10392
Tresch.,	w5_d554e10395
im	w7_d554e10398
Schotten=stadel	w9_d554e10401
am	w11_d554e10404
oberen	w1_d554e10409
Neustift,	w3_d554e10412
alt	w5_d554e10415
73.	w7_d554e10418
J.	w9_d554e10421
</list>
<head id="h2_d554e10428">
Summa	w1_d554e10432
11.	w3_d554e10435
Person.,	w5_d554e10438
darunter	w7_d554e10441
3.	w9_d554e10444
Kind.	w11_d554e10447
Den	w1_d554e10452
17.	w3_d554e10455
May.	w5_d554e10458
Jn	w1_d554e10463
der	w3_d554e10466
Stadt,	w5_d554e10469
</head>
<list id="l4_d554e10472">
Der	w1_d554e10476
Wol=ehrw.	w3_d554e10479
P.	w5_d554e10482
Placidus	w7_d554e10485
Klueman,	w9_d554e10488
Ord.	w11_d554e10491
St.	w13_d554e10495
Bened.	w1_d554e10500
Profes.,	w3_d554e10503
im	w5_d554e10506
Kloster	w7_d554e10509
zun	w9_d554e10512
Schot.	w11_d554e10515
alda,	w13_d554e10519
alt	w15_d554e10522
75.	w1_d554e10527
J.	w3_d554e10530
Der	w1_d554e10536
Wol=edle	w3_d554e10539
Hr.	w5_d554e10542
Jos.	w7_d554e10545
Klemmer,	w9_d554e10548
K.	w11_d554e10551
K.	w13_d554e10555
Münz	w15_d554e10558
quardein,	w1_d554e10563
und	w3_d554e10566
Controlor	w5_d554e10569
bey	w7_d554e10572
dem	w9_d554e10575
K.	w11_d554e10578
K.	w13_d554e10582
Münz	w15_d554e10585
amt	w1_d554e10590
zu	w3_d554e10593
Gratz,	w5_d554e10596
im	w7_d554e10599
K.	w9_d554e10602
K.	w11_d554e10605
Münz=H.	w13_d554e10609
in	w15_d554e10612
der	w17_d554e10615
Himmel	w19_d554e10618
pfort=gas.,	w1_d554e10623
alt	w3_d554e10626
35.	w5_d554e10629
J.	w7_d554e10632
</list>
<head id="h2_d554e10640">
Vor	w1_d554e10644
der	w3_d554e10647
Stadt.	w5_d554e10650
</head>
<list id="l4_d554e10653">
Dem	w1_d554e10657
Paul	w3_d554e10660
Gußman,	w5_d554e10663
Burgerl.	w7_d554e10666
Messerschm.,	w9_d554e10669
s.	w11_d554e10672
W.	w13_d554e10676
Juliana,	w1_d554e10681
beym	w3_d554e10684
gold.	w5_d554e10687
Pelican	w7_d554e10690
am	w9_d554e10693
Spit,	w11_d554e10696
53.	w13_d554e10700
J.	w15_d554e10703
Dem	w1_d554e10708
Mart.	w3_d554e10711
Kallinger,	w5_d554e10714
Hof=befr.	w7_d554e10717
Lederer=meist.,	w9_d554e10720
s.	w11_d554e10723
T.	w1_d554e10729
Juliana,	w3_d554e10732
in	w5_d554e10735
s.	w7_d554e10738
H.	w9_d554e10741
in	w11_d554e10744
der	w13_d554e10748
Josephst.,	w15_d554e10751
20.	w17_d554e10754
J.	w19_d554e10757
Dem	w1_d554e10762
Jos.	w3_d554e10765
Schusteck,	w5_d554e10768
Schreib.,	w7_d554e10771
s.	w9_d554e10774
K.	w11_d554e10777
Susan.,	w13_d554e10781
bey	w15_d554e10784
der	w1_d554e10789
Stadt	w3_d554e10792
Belgrad	w5_d554e10795
in	w7_d554e10798
der	w9_d554e10801
Josephst.,	w11_d554e10804
alt	w13_d554e10808
4.	w15_d554e10811
Dem	w1_d554e10816
</list>
<list id="l8_d554e10822">
Dem	w1_d554e10826
Jos.	w3_d554e10829
Buchecker,	w5_d554e10832
Land=kram.,	w7_d554e10835
s.	w9_d554e10838
K.	w11_d554e10841
Carl,	w13_d554e10845
beym	w15_d554e10848
Englis.	w1_d554e10853
Gruß	w3_d554e10856
im	w5_d554e10859
Liechtenth.,	w7_d554e10862
alt	w9_d554e10865
6.	w11_d554e10868
Dem	w1_d554e10873
Valent.	w3_d554e10876
Rauscher,	w5_d554e10879
Taglöhn.,	w7_d554e10882
s.	w9_d554e10885
T.	w11_d554e10888
Theres.,	w13_d554e10892
beym	w1_d554e10898
gold.	w3_d554e10901
Adl.	w5_d554e10904
bey	w7_d554e10907
St.	w9_d554e10910
Ulrich,	w11_d554e10913
alt	w13_d554e10917
15.	w15_d554e10920
J.	w17_d554e10923
Magdal.	w1_d554e10928
Oeberlin,	w3_d554e10931
Wittwe,	w5_d554e10934
im	w7_d554e10937
Salesianer=kloster	w9_d554e10940
H.	w1_d554e10945
am	w3_d554e10948
Renn=weg,	w5_d554e10951
alt	w7_d554e10954
84	w9_d554e10957
J.	w11_d554e10960
</list>
<head id="h2_d554e10967">
Summa	w1_d554e10971
8.	w3_d554e10974
Pers.,	w5_d554e10977
darunter	w7_d554e10980
2.	w9_d554e10983
Kind.	w11_d554e10986
Den	w1_d554e10991
18.	w3_d554e10994
May.	w5_d554e10997
Jn	w1_d554e11002
der	w3_d554e11005
Stadt.	w5_d554e11008
</head>
<list id="l4_d554e11011">
Hr.	w1_d554e11015
Joh.	w3_d554e11018
Schmid,	w5_d554e11021
K	w7_d554e11024
K.	w9_d554e11027
Lotterie=kam.=cas.	w11_d554e11030
adjunet,	w13_d554e11034
im	w1_d554e11039
Goldschlageris.	w3_d554e11042
H.	w5_d554e11045
im	w7_d554e11048
Juden=gäs.,	w9_d554e11051
alt	w11_d554e11054
34.	w13_d554e11058
J.	w15_d554e11061
Dem	w1_d554e11066
Mich.	w3_d554e11069
Schell,	w5_d554e11072
Maurern,	w7_d554e11075
s.	w9_d554e11078
K	w11_d554e11081
Jos.,	w13_d554e11085
im	w15_d554e11088
Jaco	w17_d554e11091
ber	w1_d554e11097
H.	w3_d554e11100
in	w5_d554e11103
der	w7_d554e11106
Anna=gas.,	w9_d554e11109
alt	w11_d554e11112
3.	w13_d554e11116
J.	w15_d554e11119
Paul	w1_d554e11124
Harer,	w3_d554e11127
K.	w5_d554e11130
Einspän,	w7_d554e11133
im	w9_d554e11136
Schmidis.	w11_d554e11139
H.	w13_d554e11143
in	w15_d554e11146
der	w17_d554e11149
Römerstr.,	w1_d554e11154
alt	w3_d554e11157
43.	w5_d554e11160
J.	w7_d554e11163
</list>
<head id="h2_d554e11170">
Vor	w1_d554e11174
der	w3_d554e11177
Stadt.	w5_d554e11180
</head>
<list id="l4_d554e11183">
Der	w1_d554e11187
Ursula	w3_d554e11190
Becherin,	w5_d554e11193
Wittwe,	w7_d554e11196
ihr	w9_d554e11199
K.	w11_d554e11202
Justina,	w13_d554e11206
bey	w15_d554e11209
dem	w1_d554e11214
weis.	w3_d554e11217
Hahn	w5_d554e11220
in	w7_d554e11223
der	w9_d554e11226
Josephst.,	w11_d554e11229
alt	w13_d554e11233
4.	w15_d554e11236
J.	w17_d554e11239
Dem	w1_d554e11244
Franz	w3_d554e11247
Michael,	w5_d554e11250
Schmid=ges.,	w7_d554e11253
s.	w9_d554e11256
W.	w11_d554e11259
Anna,	w13_d554e11263
beym	w1_d554e11269
schwarz.	w3_d554e11272
Adl.	w5_d554e11275
in	w7_d554e11278
der	w9_d554e11281
Alster=gas.,	w11_d554e11284
alt	w13_d554e11288
35.	w15_d554e11291
J.	w17_d554e11294
Pet.	w1_d554e11299
Zeyer,	w3_d554e11302
Schlos.,	w5_d554e11305
im	w7_d554e11308
Werdeckeris.	w9_d554e11311
H.	w11_d554e11314
in	w13_d554e11318
der	w15_d554e11321
Leo	w17_d554e11324
poldst.,	w1_d554e11329
alt	w3_d554e11332
43.	w5_d554e11335
J.	w7_d554e11338
Steph.	w1_d554e11343
Schmid,	w3_d554e11346
Taglöhn.,	w5_d554e11349
im	w7_d554e11352
Welhornis.	w9_d554e11355
H.	w11_d554e11358
am	w13_d554e11362
Hunds	w1_d554e11368
h.,	w3_d554e11371
alt	w5_d554e11374
27.	w7_d554e11377
J.	w9_d554e11380
Dem	w1_d554e11385
Jos.	w3_d554e11388
Zellner,	w5_d554e11391
Buchdruckerey=verw.,	w7_d554e11394
s.	w9_d554e11397
K.	w11_d554e11400
Jos.	w13_d554e11404
beyn	w1_d554e11409
6.	w3_d554e11412
stein.	w5_d554e11415
Kräg.	w7_d554e11418
in	w9_d554e11421
der	w11_d554e11424
Alster=gas.,	w13_d554e11428
5.	w15_d554e11431
v.	w17_d554e11434
J.	w19_d554e11437
</list>
<head id="h2_d554e11444">
Summa	w1_d554e11448
8.	w3_d554e11451
Pers.,	w5_d554e11454
darunter	w7_d554e11457
3.	w9_d554e11460
Kind.	w11_d554e11463
</head>
<p id="p4_d554e11466">
Von	w1_d554e11470
des	w3_d554e11473
Kaiserl	w5_d554e11476
Pfarr	w7_d554e11479
Hütteldorf	w9_d554e11482
Grund=buchs	w11_d554e11485
Judicii	w1_d554e11490
Deleg.	w3_d554e11493
wegen	w5_d554e11496
wird	w7_d554e11499
mit	w9_d554e11502
gegenwärtig	w11_d554e11505
offe	w13_d554e11509
nem	w1_d554e11514
Edict	w3_d554e11517
jedermänniglich	w5_d554e11520
kund	w7_d554e11523
und	w9_d554e11526
zu	w11_d554e11529
wissen	w13_d554e11533
ge	w15_d554e11536
macht:	w1_d554e11542
Es	w3_d554e11545
habe	w5_d554e11548
gedachtes	w7_d554e11551
Judicium	w9_d554e11554
Deleg.	w11_d554e11557
eine	w13_d554e11561
Nohrdurft	w1_d554e11566
zu	w3_d554e11569
seyn	w5_d554e11572
befunden,	w7_d554e11575
daß	w9_d554e11578
des	w11_d554e11581
entwichenen	w13_d554e11585
Paul	w1_d554e11590
Kreutzer,	w3_d554e11593
Unterthans	w5_d554e11596
zu	w7_d554e11599
Weinhaus,	w9_d554e11602
samt	w11_d554e11605
Barbara	w1_d554e11610
dessen	w3_d554e11613
Ehe	w5_d554e11616
weib	w7_d554e11619
eigentumlich	w9_d554e11622
zu	w11_d554e11625
gedach	w13_d554e11629
ten	w1_d554e11635
Wein=haus	w3_d554e11638
ligende	w5_d554e11641
Behausung,	w7_d554e11644
samt	w9_d554e11647
einem	w11_d554e11650
darzu	w1_d554e11655
gehörigen	w3_d554e11658
kleinen	w5_d554e11661
Gärtel	w7_d554e11664
und	w9_d554e11667
sehr	w11_d554e11670
geringen,	w13_d554e11674
in	w1_d554e11679
einer	w3_d554e11682
Kuhe	w5_d554e11685
und	w7_d554e11688
einen	w9_d554e11691
alten	w11_d554e11694
Tisch	w13_d554e11698
bestehenden	w15_d554e11701
Einrichtung	w1_d554e11706
ex	w3_d554e11709
officio	w5_d554e11712
offentlich	w7_d554e11715
ausgefeilet,	w9_d554e11718
und	w11_d554e11721
dem	w1_d554e11727
Meist=bietenden	w3_d554e11730
verkauffet	w5_d554e11733
werden	w7_d554e11736
solle,	w9_d554e11739
da	w11_d554e11742
nun	w1_d554e11747
hierzu	w3_d554e11750
der	w5_d554e11753
10	w7_d554e11756
Monats=tag	w9_d554e11759
Junii	w11_d554e11762
lauffen	w13_d554e11766
den	w1_d554e11771
1761sten	w3_d554e11774
Jahrs	w5_d554e11777
zur	w7_d554e11780
Tagsatzung	w9_d554e11783
bey	w11_d554e11786
mir	w13_d554e11790
Judice	w15_d554e11793
Deieg	w1_d554e11798
in	w3_d554e11801
meiner	w5_d554e11804
auf	w7_d554e11807
dem	w9_d554e11810
obern	w11_d554e11813
Jesuiter=platzel	w13_d554e11817
in	w1_d554e11823
von	w3_d554e11826
Streckerischen	w5_d554e11829
Haus	w7_d554e11832
im	w9_d554e11835
ersten	w11_d554e11838
Stock	w13_d554e11842
ha	w15_d554e11845
benden	w1_d554e11850
Wohnung	w3_d554e11853
fruhe	w5_d554e11856
um	w7_d554e11859
8.	w9_d554e11862
Uhr	w11_d554e11865
zu	w13_d554e11869
erscheinen	w15_d554e11872
bestimmet	w1_d554e11877
worden	w3_d554e11880
ist,	w5_d554e11883
als	w7_d554e11886
werden	w9_d554e11889
all=diejenige,	w11_d554e11892
so	w1_d554e11897
obgedacht=Kreutzerisches	w3_d554e11900
Haus,	w5_d554e11903
Garten	w7_d554e11906
und	w9_d554e11909
Ku	w11_d554e11912
he	w1_d554e11918
zu	w3_d554e11921
erkauffen	w5_d554e11924
gesinnet	w7_d554e11927
seynd,	w9_d554e11930
bey	w11_d554e11933
obbestimmter	w13_d554e11937
Licitations	w1_d554e11942
tag	w3_d554e11945
satzung	w5_d554e11948
zu	w7_d554e11951
erscheinen,	w9_d554e11954
und	w11_d554e11957
sich	w13_d554e11961
allda	w15_d554e11964
anzumelden	w1_d554e11969
haben,	w3_d554e11972
wo	w5_d554e11975
sodann	w7_d554e11978
mit	w9_d554e11981
dem	w11_d554e11984
Meistbie	w13_d554e11988
tenden	w1_d554e11993
der	w3_d554e11996
Kauf	w5_d554e11999
geschlossen,	w7_d554e12002
und	w9_d554e12005
hierüber	w11_d554e12008
das	w13_d554e12012
weitere	w1_d554e12018
vorgekehret	w3_d554e12021
werden	w5_d554e12024
solle.	w7_d554e12027
</p>
<p id="p6_d554e12030">
Auf	w1_d554e12034
Verordnung	w3_d554e12037
eines	w5_d554e12040
Löbl.	w7_d554e12043
Stadt=magistrats	w9_d554e12046
wird	w1_d554e12051
den	w3_d554e12054
10	w5_d554e12057
künftigen	w7_d554e12060
Monars	w9_d554e12063
Junii	w11_d554e12066
fruh	w13_d554e12070
um	w15_d554e12073
9.	w1_d554e12078
Uhr	w3_d554e12081
auf	w5_d554e12084
alhiesigem	w7_d554e12087
Raht=haus	w9_d554e12090
die	w11_d554e12093
von	w13_d554e12097
Weil.	w15_d554e12100
Heinrich	w1_d554e12106
Hörmann	w3_d554e12109
und	w5_d554e12112
Clara	w7_d554e12115
dessen	w9_d554e12118
Ehe=wirtin,	w11_d554e12121
</p>
<p id="p8_d554e12124">
beeder	w1_d554e12128
seel.	w3_d554e12131
ruckgelassene,	w5_d554e12134
auf	w7_d554e12137
der	w9_d554e12140
Wieden	w11_d554e12143
bey	w13_d554e12147
dem	w15_d554e12150
Berg	w1_d554e12155
Tabor	w3_d554e12158
sogenant=liegende	w5_d554e12161
Behausung	w7_d554e12164
samt	w9_d554e12167
Gärtel	w1_d554e12172
dem	w3_d554e12175
Meist=bietenden	w5_d554e12178
käuflich	w7_d554e12181
hindangelas	w9_d554e12184
sen	w1_d554e12190
werden.	w3_d554e12193
</p>
<p id="p10_d554e12196">
Nächst=künftigen	w1_d554e12200
Freytag	w3_d554e12203
als	w5_d554e12206
den	w7_d554e12209
22.	w9_d554e12212
dies	w11_d554e12215
Mo	w13_d554e12219
nats	w1_d554e12224
May	w3_d554e12227
werden	w5_d554e12230
in	w7_d554e12233
der	w9_d554e12236
Kruger=strassen	w11_d554e12239
im	w13_d554e12243
Käs	w15_d554e12246
stecherischen	w1_d554e12251
Haus	w3_d554e12254
im	w5_d554e12257
anderten	w7_d554e12260
Stock	w9_d554e12263
allerhand	w11_d554e12266
reiche,	w1_d554e12272
ingleichen	w3_d554e12275
mit	w5_d554e12278
Gold	w7_d554e12281
und	w9_d554e12284
Silber	w11_d554e12287
gallonirt,	w13_d554e12291
dann	w1_d554e12296
seiden	w3_d554e12299
und	w5_d554e12302
andere	w7_d554e12305
schöne	w9_d554e12308
Tücher,	w11_d554e12311
Manns	w13_d554e12315
kleider,	w1_d554e12320
dergleichen	w3_d554e12323
Wäsch,	w5_d554e12326
und	w7_d554e12329
ein	w9_d554e12332
schönes	w11_d554e12335
mit	w13_d554e12339
grünen	w1_d554e12344
Tuch	w3_d554e12347
gefüttertes	w5_d554e12350
Pirutsch	w7_d554e12353
Vormittag	w9_d554e12356
von	w11_d554e12359
9.	w1_d554e12365
bis	w3_d554e12368
12.	w5_d554e12371
Uhr	w7_d554e12374
dem	w9_d554e12377
Meist	w11_d554e12380
bietenden	w13_d554e12384
gegen	w15_d554e12387
alsogleich	w17_d554e12390
baar	w1_d554e12395
leistender	w3_d554e12398
Bezahlung	w5_d554e12401
licitando	w7_d554e12404
verkauffet	w9_d554e12407
werden.	w1_d554e12412
</p>
<list id="l12_d554e12416">
Bey	w1_d554e12420
dem	w3_d554e12423
Buchhandler	w5_d554e12426
Krauß,	w7_d554e12429
nächst	w9_d554e12432
der	w11_d554e12435
Kai	w13_d554e12439
serl.	w1_d554e12444
Königl.	w3_d554e12447
Burg,	w5_d554e12450
dem	w7_d554e12453
Comedien=haus	w9_d554e12456
gegen	w11_d554e12459
über	w1_d554e12464
ist	w3_d554e12467
zu	w5_d554e12470
haben:	w7_d554e12473
Des	w1_d554e12479
Herrn	w3_d554e12482
Franz	w5_d554e12485
Lasitau,	w7_d554e12488
Bischofs	w9_d554e12491
zu	w11_d554e12494
Se	w13_d554e12498
steron	w1_d554e12503
Fasten=predigen,	w3_d554e12506
2.	w5_d554e12509
Theile	w7_d554e12512
in	w9_d554e12515
gr.	w11_d554e12518
8vo.	w13_d554e12522
1761.	w1_d554e12527
pr.	w3_d554e12530
1.	w5_d554e12533
fl.	w7_d554e12536
30.	w9_d554e12539
kr.	w11_d554e12542
Die	w1_d554e12547
Teutsche	w3_d554e12550
Schau=bühne	w5_d554e12553
zu	w7_d554e12556
Wien,	w9_d554e12559
nach	w11_d554e12562
alten	w1_d554e12568
und	w3_d554e12571
neuen	w5_d554e12574
Mustern,	w7_d554e12577
9ter	w9_d554e12580
Theil,	w11_d554e12583
8vo.	w13_d554e12587
1761.	w1_d554e12592
pr.	w3_d554e12595
45.	w5_d554e12598
kr.	w7_d554e12601
NB.	w9_d554e12604
Es	w11_d554e12607
seynd	w13_d554e12611
auch	w15_d554e12614
noch	w17_d554e12617
die	w19_d554e12620
8.	w1_d554e12625
erste	w3_d554e12628
Theile	w5_d554e12631
zu	w7_d554e12634
haben,	w9_d554e12637
alle	w11_d554e12640
9.	w13_d554e12644
Theile	w15_d554e12647
pr.	w17_d554e12650
6.	w19_d554e12653
fl.	w21_d554e12656
45.	w1_d554e12661
kr.	w3_d554e12664
Ein	w1_d554e12670
hundert	w3_d554e12673
neue	w5_d554e12676
Neuigkeiten,	w7_d554e12679
oder	w9_d554e12682
auserle	w11_d554e12685
sene	w1_d554e12690
Historien,	w3_d554e12693
aus	w5_d554e12696
dem	w7_d554e12699
Französischen	w9_d554e12702
der	w11_d554e12705
Frau	w13_d554e12709
von	w1_d554e12714
Gometz,	w3_d554e12717
10.	w5_d554e12720
Theile	w7_d554e12723
dritte	w9_d554e12726
Auflag,	w11_d554e12729
8vo.	w13_d554e12733
pr.	w15_d554e12736
5.	w17_d554e12739
fl.	w19_d554e12742
Des	w1_d554e12747
Herrn	w3_d554e12750
Marquis	w5_d554e12753
von	w7_d554e12756
Santa	w9_d554e12759
Cruz,	w11_d554e12762
Ge	w13_d554e12766
danken	w1_d554e12772
von	w3_d554e12775
Kriegs	w5_d554e12778
und	w7_d554e12781
Staats=geschäften,	w9_d554e12784
12.	w11_d554e12787
Theile	w1_d554e12792
8vo.	w3_d554e12795
9.	w5_d554e12798
fl.	w7_d554e12801
Hand=buch	w1_d554e12806
der	w3_d554e12809
neuesten	w5_d554e12812
Genealogie	w7_d554e12815
und	w9_d554e12818
Hi	w11_d554e12821
raldik,	w1_d554e12826
gr.	w3_d554e12829
8vo.	w5_d554e12832
Nürnb.	w7_d554e12835
1761.	w9_d554e12838
pr.	w11_d554e12841
2.	w13_d554e12845
fl.	w15_d554e12848
Eichhorn,	w1_d554e12854
die	w3_d554e12857
Erscheinung	w5_d554e12860
der	w7_d554e12863
Venus	w9_d554e12866
in	w11_d554e12869
der	w13_d554e12873
Sonnenscheibe,	w1_d554e12878
als	w3_d554e12881
eine	w5_d554e12884
sehr	w7_d554e12887
seltene,	w9_d554e12890
und	w11_d554e12893
wei	w13_d554e12897
die	w1_d554e12902
Welt	w3_d554e12905
stehet	w5_d554e12908
nur	w7_d554e12911
einmal	w9_d554e12914
bemerkte	w11_d554e12917
Himmels	w13_d554e12921
begebenheit,	w1_d554e12926
welche	w3_d554e12929
zum	w5_d554e12932
andernmal	w7_d554e12935
den	w9_d554e12938
6.	w11_d554e12941
Junii	w13_d554e12945
dieses	w1_d554e12951
Jahrs	w3_d554e12954
Vormittags	w5_d554e12957
erscheinen	w7_d554e12960
wird,	w9_d554e12963
mit	w11_d554e12966
Kupf.	w1_d554e12971
4to.	w3_d554e12974
Nürnb.	w5_d554e12977
1761.	w7_d554e12980
pr.	w9_d554e12983
17.	w11_d554e12986
kr.	w13_d554e12990
</list>
<p id="p14_d554e12994">
Es	w1_d554e12998
is	w3_d554e13001
in	w5_d554e13004
der	w7_d554e13007
Leopold=stadt	w9_d554e13010
in	w11_d554e13013
dem	w13_d554e13017
Gersten	w15_d554e13020
brandischen	w1_d554e13025
Haus,	w3_d554e13028
unweit	w5_d554e13031
dem	w7_d554e13034
Schif=amt	w9_d554e13037
ein	w11_d554e13040
schöner	w1_d554e13045
Zier=garten,	w3_d554e13048
mit	w5_d554e13051
einem	w7_d554e13054
kleinem	w9_d554e13057
Saal,	w11_d554e13060
einem	w1_d554e13066
Zimmer,	w3_d554e13069
und	w5_d554e13072
einer	w7_d554e13075
guten	w9_d554e13078
Kuchel	w11_d554e13081
bis	w13_d554e13085
künf	w15_d554e13088
tige	w1_d554e13093
Michaelis=zeit	w3_d554e13096
in	w5_d554e13099
Bestand	w7_d554e13102
zu	w9_d554e13105
verlassen,	w11_d554e13108
und	w13_d554e13112
ist	w1_d554e13117
sich	w3_d554e13120
dessentwegen	w5_d554e13123
bey	w7_d554e13126
dem	w9_d554e13129
Gartner	w11_d554e13132
allda	w13_d554e13136
an	w15_d554e13139
zumelden.	w1_d554e13144
</p>
<p id="p16_d554e13147">
Auf	w1_d554e13151
Verordnung	w3_d554e13154
eines	w5_d554e13157
Löbl.	w7_d554e13160
Stadt	w9_d554e13163
=magistrats	w11_d554e13166
wird	w1_d554e13171
den	w3_d554e13174
10.	w5_d554e13177
Junii	w7_d554e13180
dies	w9_d554e13183
Jahrs	w11_d554e13186
fruh	w13_d554e13190
um	w15_d554e13193
9.	w17_d554e13196
Uhr	w19_d554e13199
auf	w1_d554e13204
allhiesigem	w3_d554e13207
Raht=haus	w5_d554e13210
die	w7_d554e13213
Johann	w9_d554e13216
Michael	w11_d554e13219
Flehelische	w1_d554e13225
Behausung	w3_d554e13228
zu	w5_d554e13231
Reinprechtsdorf	w7_d554e13234
samt	w9_d554e13237
Zugehör	w1_d554e13242
dem	w3_d554e13245
Meistbietenden	w5_d554e13248
hindann	w7_d554e13251
gelassen	w9_d554e13254
werden.	w1_d554e13259
</p>
<p id="p18_d554e13262">
Auf	w1_d554e13266
dem	w3_d554e13269
Neubau	w5_d554e13272
bey	w7_d554e13275
den	w9_d554e13278
sogenannten	w11_d554e13281
drey	w13_d554e13285
Reitern	w1_d554e13290
ist	w3_d554e13293
zu	w5_d554e13296
verlassen	w7_d554e13299
auf	w9_d554e13302
künftigen	w11_d554e13305
1.	w13_d554e13309
Monat	w15_d554e13312
Zu	w1_d554e13317
</p>
<p id="p22_d554e13322">
Junii	w1_d554e13326
nach	w3_d554e13329
dem	w5_d554e13332
Jahr,	w7_d554e13335
oder	w9_d554e13338
Monlatlich	w11_d554e13341
der	w13_d554e13345
ganze	w15_d554e13348
erste	w1_d554e13353
Stock	w3_d554e13356
auf	w5_d554e13359
die	w7_d554e13362
Gassen,	w9_d554e13365
bestehend	w11_d554e13368
in	w13_d554e13372
wol	w15_d554e13375
ge	w17_d554e13378
theilten	w1_d554e13383
7.	w3_d554e13386
mobilirten	w5_d554e13389
Zimmern,	w7_d554e13392
2.	w9_d554e13395
Kucheln,	w11_d554e13398
und	w1_d554e13404
zu	w3_d554e13407
