<doc id="edoc_wd_1771-03-27" attrs="word" year="1771" month="03" day="27" corpus="1">
<head id="hl1">
Cadix	w33
bis	w8556
kleinsten	w8557
Format	w8558
<g/>
,
schwarz	w8560
<g/>
,
blau	w8562
<g/>
,
roth	w8564
<g/>
,
sam=met	w8566
<g/>
=
oder	w8568
andere	w8569
Stiche	w8570
<g/>
,
auch	w8572
illuminirt	w8573
<g/>
,
Models	w8575
für	w8576
Künstler	w8577
ꝛc	w8578
<g/>
.
große	w8580
und	w8581
kleine	w8582
Landkarten	w8583
<g/>
,
Bücher	w8585
zur	w8586
Civil	w8587
<g/>
=
und	w8589
Militarbaukunst	w8590
gehörig	w8591
<g/>
,
Portraits	w8593
großer	w8594
Herren	w8595
<g/>
,
Staatsmänner	w8597
<g/>
,
Helden	w8599
<g/>
,
Gelehrten	w8601
<g/>
,
Künstler	w8603
ꝛc	w8604
<g/>
.
um	w8606
die	w8607
billigsten	w8608
Preise	w8609
<g/>
.
</p>
<p id="p88">
Muster	w8611
zum	w8612
Ausnähen	w8613
der	w8614
Tazeln	w8615
oder	w8616
Manchetten	w8617
<g/>
,
das	w8619
Blatt	w8620
4	w8621
kr	w8622
<g/>
.
</p>
<p id="p89">
Verschiedene	w8624
Sorten	w8625
großer	w8626
und	w8627
kleiner	w8628
Zeichenbüchel	w8629
<g/>
,
für	w8631
20	w8632
<g/>
,
30	w8634
<g/>
,
40	w8636
<g/>
,
45	w8638
kr	w8639
<g/>
.
bis	w8641
10	w8642
fl	w8643
<g/>
.
</p>
<p id="p90">
Das	w8645
Narrenspital	w8646
<g/>
,
aus	w8648
dem	w8649
Engländ	w8650
<g/>
.
des	w8652
Herrn	w8653
Wilh	w8654
<g/>
.
Walsh	w8656
<g/>
.
Sobald	w8658
der	w8659
Mensch	w8660
sich	w8661
kennt	w8662
<g/>
,
sieht	w8664
er	w8665
<g/>
,
er	w8667
sey	w8668
ein	w8669
Narr	w8670
<g/>
:
Und	w8672
dennoch	w8673
zürnt	w8674
der	w8675
Narr	w8676
<g/>
,
Wenn	w8678
man	w8679
ihn	w8680
also	w8681
nennt	w8682
<g/>
.
Leßing	w8684
<g/>
.
8	w8686
<g/>
.
Wien	w8688
1771	w8689
<g/>
.
auf	w8691
fein	w8692
holländisch	w8693
Schreibpapier	w8694
sauber	w8695
gedruckt	w8696
<g/>
,
17	w8698
kr	w8699
<g/>
.
gebunden	w8701
21	w8702
kr	w8703
<g/>
.
</p>
<p id="p91">
Jacob	w8705
Tollii	w8706
<g/>
,
insignia	w8708
Italici	w8709
<g/>
,
quibus	w8711
continentur	w8712
Antiquitates	w8713
sacræ sacrae	w8714
<g/>
,
4	w8716
<g/>
.
gebund	w8718
<g/>
.
4	w8720
fl	w8721
<g/>
.
</p>
<p id="p92">
SS	w8723
<g/>
.
Cocilium	w8725
Tridentinum	w8726
<g/>
,
additis	w8728
declarationum	w8729
Cardinalium	w8730
Concilii	w8731
interpretum	w8732
<g/>
,
ex	w8734
ulti-ma	w8735
<g/>
-
recognitione	w8737
Jo	w8738
<g/>
.
Gallemart	w8740
<g/>
&
citationibus	w8742
Jo	w8743
<g/>
.
Sotcalli	w8745
ed	w8746
<g/>
.
reformata	w8748
<g/>
&
supra	w8750
omnes	w8751
supe=riores	w8752
<g/>
=
locupletata	w8754
<g/>
.
8	w8756
<g/>
.
Aug	w8758
<g/>
.
Vind	w8760
<g/>
.
1746	w8762
<g/>
.
in	w8764
neuen	w8765
Franzband	w8766
<g/>
.
2	w8768
fl	w8769
<g/>
.
45	w8771
kr	w8772
<g/>
.
</p>
<p id="p93">
The	w8774
neu	w8775
Method	w8776
of	w8777
Fortification	w8778
as	w8779
praetised	w8780
bey	w8781
Monsieur	w8782
de	w8783
Vauban	w8784
Engineer	w8785
<g/>
-
General	w8787
of	w8788
France	w8789
<g/>
.
together	w8791
with	w8792
a	w8793
neu	w8794
Treatise	w8795
of	w8796
Geometrie	w8797
<g/>
,
the	w8799
fifth	w8800
Edition	w8801
with	w8802
Copper	w8803
Plattes	w8804
<g/>
.
8	w8806
<g/>
.
London	w8808
1748	w8809
<g/>
.
in	w8811
Franzband	w8812
4	w8813
fl	w8814
<g/>
.
</p>
<p id="p94">
Tablettes	w8816
chronologiques	w8817
de	w8818
histoire	w8819
universelle	w8820
sacrée	w8821
<g/>
&
profane	w8823
<g/>
,
ecclesiastique	w8825
<g/>
&
civile	w8827
de-puis	w8828
<g/>
-
la	w8830
Creation	w8831
du	w8832
monde	w8833
<g/>
,
jusqu	w8835
à	w8836
l'anné	w8837
1743	w8838
par	w8839
Mr	w8840
<g/>
.
Abbé	w8842
lenglet	w8843
du	w8844
Fresnoy	w8845
<g/>
,
a	w8847
Volumes	w8848
<g/>
.
gr	w8850
8	w8851
<g/>
.
à	w8853
la	w8854
Have	w8855
1745	w8856
<g/>
.
in	w8858
2	w8859
Franzbänden	w8860
<g/>
.
4	w8862
fl	w8863
30	w8864
kr	w8865
<g/>
.
</p>
<p id="p95">
Telemaco	w8867
<g/>
,
in	w8869
ottava	w8870
rima	w8871
tratto	w8872
dal	w8873
Francese	w8874
<g/>
,
e	w8876
dedicato	w8877
alla	w8878
Maestà	w8879
cristianissima	w8880
di	w8881
Lodovico	w8882
XV	w8883
<g/>
.
da	w8885
Flaminio	w8886
Scarselli	w8887
<g/>
,
a	w8889
Vol	w8890
<g/>
.
8	w8892
<g/>
.
Venezia	w8894
1748	w8895
<g/>
.
in	w8897
Franzb	w8898
<g/>
.
2	w8900
fl	w8901
<g/>
.
30	w8903
kr	w8904
<g/>
.
</p>
<p id="p96">
Von	w8916
der	w8917
Freyherrlich	w8918
Toussainctischen	w8919
Amts=kanzley	w8920
<g/>
=
der	w8922
Herrschaft	w8923
Schönau	w8924
wirdet	w8925
hiemit	w8926
allen	w8927
und	w8928
jeden	w8929
kund	w8930
und	w8931
zu	w8932
wissen	w8933
gemacht	w8934
<g/>
:
wie	w8936
daß	w8937
auf	w8938
mehrmalen	w8939
anhero	w8940
ergangen	w8941
hochlöbl	w8942
<g/>
.
kais	w8944
<g/>
.
kön	w8946
<g/>
.
nied	w8948
<g/>
.
österr	w8950
<g/>
.
Regierungs	w8952
Befehl	w8953
<g/>
,
eine	w8955
noch=malige	w8956
<g/>
=
Licitationstagsatzung	w8958
über	w8959
die	w8960
zu	w8961
Solle=nau	w8962
<g/>
=
befindlich	w8964
privilegirte	w8965
Säbel	w8966
<g/>
=
und	w8968
Klingen=fabricke	w8969
<g/>
=
<g/>
,
und	w8972
hierzu	w8973
gehörigen	w8974
Realitäten	w8975
<g/>
,
als	w8977
da	w8978
seynd	w8979
Schleif	w8980
<g/>
=
und	w8982
Palliermahl	w8983
<g/>
,
Eisenwerk=zleich	w8985
<g/>
=
<g/>
,
nebst	w8988
einig	w8989
schon	w8990
verfertigten	w8991
Säbelklingen	w8992
<g/>
,
dann	w8994
ein	w8995
halb	w8996
Joch	w8997
Acker	w8998
und	w8999
Kuchelgärtel	w9000
<g/>
,
angeordnet	w9002
werden	w9003
solle	w9004
<g/>
.
Da	w9006
nun	w9007
zu	w9008
diesem	w9009
Ende	w9010
der	w9011
29te	w9012
Tag	w9013
des	w9014
künftigen	w9015
Monats	w9016
April	w9017
Fruh	w9018
um	w9019
9	w9020
Uhr	w9021
bestimmet	w9022
worden	w9023
<g/>
;
als	w9025
belieben	w9026
dieje=nige	w9027
<g/>
=
<g/>
,
welche	w9030
obbemeldte	w9031
Fabrick	w9032
samt	w9033
übrigen	w9034
Zugehörungen	w9035
auf	w9036
solche	w9037
Art	w9038
käuflich	w9039
an	w9040
sich	w9041
zu	w9042
bringen	w9043
gedenken	w9044
<g/>
,
an	w9046
obigen	w9047
Tag	w9048
und	w9049
Stund	w9050
in	w9051
allhiesiger	w9052
Amtskanzley	w9053
zu	w9054
Schönau	w9055
zu	w9056
erscheinen	w9057
<g/>
,
alwo	w9059
sodann	w9060
die	w9061
angeordnete	w9062
Licitation	w9063
vorgenoh=men	w9064
<g/>
=
werden	w9066
wird	w9067
<g/>
.
</p>
<p id="p97">
Wir	w9069
Joseph	w9070
Georg	w9071
Hörl	w9072
<g/>
,
ihrer	w9074
kais	w9075
<g/>
.
kön	w9077
<g/>
.
apost	w9079
<g/>
.
Majestät	w9081
Stadt	w9082
<g/>
=
und	w9084
Landrichter	w9085
in	w9086
dero	w9087
Haupt	w9088
<g/>
=
und	w9090
Residenzstadt	w9091
Wien	w9092
<g/>
,
dann	w9094
N	w9095
<g/>
.
und	w9097
N	w9098
<g/>
.
gesam=te	w9100
<g/>
=
Beysitzere	w9102
des	w9103
kais	w9104
<g/>
.
kön	w9106
<g/>
.
Stadt	w9108
und	w9109
Landgerichts	w9110
allda	w9111
<g/>
,
thuen	w9113
in	w9114
Kraft	w9115
gegenwärtig	w9116
offenen	w9117
Edicts	w9118
allen	w9119
und	w9120
jeden	w9121
<g/>
,
so	w9123
daran	w9124
gelegen	w9125
<g/>
,
kund	w9127
und	w9128
zu	w9129
wissen	w9130
<g/>
:
wasgestalten	w9132
der	w9133
Mathias	w9134
Schwemmer	w9135
<g/>
,
burgerl	w9137
<g/>
.
Schneidermeister	w9139
allhier	w9140
<g/>
,
wegen	w9142
überhäuf	w9143
ten	w9144
Schuldenlast	w9145
Cessionem	w9146
bonorum	w9147
angemel=det	w9148
<g/>
=
<g/>
;
dahero	w9151
dann	w9152
die	w9153
Nothwendigkeit	w9154
erforderet	w9155
<g/>
,
ein	w9157
in	w9158
dergleichen	w9159
Fällen	w9160
gewöhnliche	w9161
Einberuf=fung	w9162
<g/>
=
deren	w9164
gesamt	w9165
diesfällig	w9166
sowohl	w9167
inn	w9168
<g/>
=
als	w9170
etwa	w9171
außer	w9172
Landes	w9173
befindlichen	w9174
Creditspartheyen	w9175
anzu=ordnen	w9176
<g/>
=
<g/>
,
und	w9179
damit	w9180
die	w9181
behörige	w9182
Abhandlung	w9183
vor=gekehret	w9184
<g/>
=
werden	w9186
möge	w9187
<g/>
.
Solchemnach	w9189
wird	w9190
hiemit	w9191
all	w9192
und	w9193
jeden	w9194
<g/>
,
des	w9196
obgedachten	w9197
Schwemmer	w9198
Gläubigern	w9199
zur	w9200
Anmeldung	w9201
ihrer	w9202
habenden	w9203
Sprü=che	w9204
<g/>
=
und	w9206
Anforderungen	w9207
eine	w9208
Tagsatzung	w9209
pro	w9210
ter-mino	w9211
<g/>
-
1mo	w9213
<g/>
,
2do	w9215
<g/>
&
tertio	w9217
peremptorio	w9218
von	w9219
unten	w9220
gesetzten	w9221
Dato	w9222
an	w9223
<g/>
,
und	w9225
zwar	w9226
mit	w9227
Einschließung	w9228
deren	w9229
entzwischen	w9230
fallenden	w9231
Osterferien	w9232
auf	w9233
den	w9234
8	w9235
<g/>
.
des	w9237
künftigen	w9238
Monats	w9239
April	w9240
dies	w9241
Jahrs	w9242
Fruh	w9243
um	w9244
8	w9245
Uhr	w9246
auf	w9247
dem	w9248
kais	w9249
<g/>
.
kön	w9251
<g/>
.
Stadtgericht	w9253
entwe=des	w9254
<g/>
=
persönlich	w9256
oder	w9257
durch	w9258
genugsam	w9259
Bevollmäch=tigte	w9260
<g/>
=
alsogewiß	w9262
zu	w9263
erscheinen	w9264
bestimmet	w9265
<g/>
,
wie	w9267
im	w9268
widrigen	w9269
die	w9270
ausbleibend	w9271
und	w9272
sich	w9273
in	w9274
bestimter	w9275
Zeit	w9276
nicht	w9277
anmeldende	w9278
Gläubigere	w9279
mit	w9280
ihren	w9281
Sprüchen	w9282
nichtmehr	w9283
angehöret	w9284
<g/>
,
sondern	w9286
von	w9287
des	w9288
mehr	w9289
wiederholten	w9290
Mathias	w9291
Schwemmer	w9292
vorhan=dener	w9293
<g/>
=
Habis	w9295
t	w9296
und	w9297
Vermögen	w9298
völlig	w9299
ausgeschlos=sen	w9300
<g/>
=
seyn	w9302
<g/>
,
auch	w9304
hieran	w9305
nicht	w9306
das	w9307
Geringste	w9308
mehr	w9309
bey	w9310
ewigem	w9311
Stillschweigen	w9312
zu	w9313
forderen	w9314
haben	w9315
sol=len	w9316
<g/>
=
<g/>
;
wornach	w9319
sich	w9320
ein	w9321
jeder	w9322
zu	w9323
richten	w9324
<g/>
,
und	w9326
sein	w9327
Recht	w9328
zu	w9329
besorgen	w9330
wissen	w9331
wird	w9332
<g/>
.
</p>
<p id="p98">
Von	w9334
des	w9335
Landesfürstl	w9336
<g/>
.
Set	w9338
<g/>
.
Leopoldistift	w9340
Klo=sterneuburg	w9341
<g/>
=
Oberkammer	w9343
wird	w9344
durch	w9345
gegenwärtig	w9346
offenes	w9347
Edict	w9348
jedermänniglich	w9349
<g/>
,
sonderheitlich	w9351
de=nen	w9352
<g/>
=
daran	w9354
gelegen	w9355
<g/>
,
kund	w9357
und	w9358
zu	w9359
wissen	w9360
gemacht	w9361
<g/>
:
welchergestalten	w9363
über	w9364
die	w9365
auf	w9366
Absterben	w9367
Simon	w9368
Sigland	w9369
<g/>
,
behausten	w9371
Unterthann	w9372
zu	w9373
Ottakrin	w9374
<g/>
,
Eva	w9376
Regina	w9377
seine	w9378
Ehewirthin	w9379
beeden	w9380
sel	w9381
veroffenbarten	w9382
Crida	w9383
<g/>
,
die	w9385
zu	w9386
Liquidirung	w9387
ihrer	w9388
Forderungen	w9389
und	w9390
Verkauf	w9391
sein	w9392
Sigland	w9393
Behausung	w9394
und	w9395
Zugehör	w9396
auf	w9397
den	w9398
20	w9399
<g/>
.
dieses	w9401
Monats	w9402
Martii	w9403
edictaliter	w9404
ge=machten	w9405
<g/>
=
Fürforderung	w9407
<g/>
,
nur	w9409
von	w9410
den	w9411
eingefunde=nen	w9412
<g/>
=
Käufern	w9414
<g/>
,
einer	w9416
sich	w9417
auf	w9418
690	w9419
Fl	w9420
<g/>
.
zu	w9422
geben	w9423
ein=gelassen	w9424
<g/>
=
<g/>
,
mithin	w9427
eine	w9428
nochmalige	w9429
Licitationstag=satzung	w9430
<g/>
=
vorbehalten	w9432
<g/>
,
und	w9434
hierzu	w9435
der	w9436
23	w9437
<g/>
.
künftiges	w9439
Monat	w9440
April	w9441
Fruhe	w9442
um	w9443
9	w9444
Uhr	w9445
bestimmet	w9446
worden	w9447
<g/>
.
Als	w9449
werden	w9450
alle	w9451
und	w9452
jede	w9453
welche	w9454
obersagt	w9455
Sig=landisches	w9456
<g/>
=
Haus	w9458
mit	w9459
seiner	w9460
Zugehörde	w9461
an	w9462
sich	w9463
zu	w9464
bringen	w9465
gedenken	w9466
<g/>
,
an	w9468
obbestimten	w9469
Tag	w9470
und	w9471
Stund	w9472
sich	w9473
auf	w9474
gedachten	w9475
Oberkammer	w9476
anzumelden	w9477
<g/>
,
des	w9479
Sigland	w9480
seine	w9481
Gläubigere	w9482
aber	w9483
bey	w9484
ewigen	w9485
Still=schweigen	w9486
<g/>
=
zu	w9488
erscheinen	w9489
haben	w9490
<g/>
,
wo	w9492
sodann	w9493
mit	w9494
dem	w9495
Meistbietenden	w9496
ein	w9497
ordentlicher	w9498
Contract	w9499
ge=schlossen	w9500
<g/>
=
werden	w9502
solle	w9503
<g/>
.
</p>
<p id="p99">
Magistratus	w9505
allhier	w9506
citiret	w9507
den	w9508
seit	w9509
länger	w9510
als	w9511
36	w9512
Jahre	w9513
abwesenden	w9514
<g/>
,
und	w9516
nunmehro	w9517
verscholle=nen	w9518
<g/>
=
Anton	w9520
Fünfstück	w9521
<g/>
,
oder	w9523
dessen	w9524
etwannige	w9525
Lei=beserben	w9526
<g/>
=
<g/>
,
um	w9529
in	w9530
Termino	w9531
ultimo	w9532
<g/>
&
perempt	w9534
<g/>
.
den	w9536
10	w9537
<g/>
.
Juny	w9539
c	w9540
<g/>
.
a	w9542
<g/>
.
Fruh	w9544
um	w9545
9	w9546
Uhr	w9547
in	w9548
curia	w9549
zu	w9550
erscheinen	w9551
<g/>
,
die	w9553
ihm	w9554
zugefallene	w9555
in	w9556
circa	w9557
29	w9558
Reichs=thaler	w9559
<g/>
=
bestehende	w9561
mütterliche	w9562
Erbschaft	w9563
in	w9564
Em=pfang	w9565
<g/>
=
zu	w9567
nehmen	w9568
<g/>
,
bey	w9570
seinem	w9571
und	w9572
seiner	w9573
Erben	w9574
Außenbleibens	w9575
aber	w9576
<g/>
,
haben	w9578
dieselben	w9579
zu	w9580
gewärti=gen	w9581
<g/>
=
<g/>
,
daß	w9584
der	w9585
Anton	w9586
Fünffstück	w9587
pro	w9588
mortuo	w9589
de- clariret	w9590
<g/>
-
<g/>
,
seine	w9593
Erben	w9594
aber	w9595
mit	w9596
ihren	w9597
Ansprüchen	w9598
præeludiret ret	w9599
<g/>
,
und	w9601
die	w9602
dem	w9603
Anton	w9604
Fünfstück	w9605
zuge=fallene	w9606
<g/>
=
Erbschaft	w9608
<g/>
,
dem	w9610
sich	w9611
hier	w9612
Orts	w9613
bereits	w9614
ge=meldeten	w9615
<g/>
=
nächsten	w9617
Anverwandten	w9618
absque	w9619
caution-ne	w9620
<g/>
-
<g/>
,
man	w9623
<g/>
.
abgefolget	w9625
werden	w9626
wird	w9627
<g/>
.
Neysse	w9629
den	w9630
25	w9631
<g/>
.
Februarii	w9633
1771	w9634
<g/>
.
</p>
<p id="p100">
Jn	w9636
des	w9637
Herrman	w9638
Jos	w9639
<g/>
.
Krüchtens	w9641
Buchhandlung	w9642
bey	w9643
der	w9644
Weltkugel	w9645
im	w9646
Seizerhof	w9647
ist	w9648
zu	w9649
haben	w9650
<g/>
.
</p>
<p id="p101">
Avrillon	w9652
<g/>
,
Eliä	w9654
<g/>
,
geistreiche	w9656
Fastenandacht	w9657
<g/>
.
8	w9659
<g/>
.
Augsb	w9661
<g/>
.
1758	w9663
<g/>
.
45	w9665
kr	w9666
<g/>
.
</p>
<p id="p102">
Desselben	w9668
anmuthige	w9669
Erklärung	w9670
des	w9671
Psalm	w9672
Mi-serere	w9673
<g/>
-
mei	w9675
Deus	w9676
<g/>
,
als	w9678
eine	w9679
Zubereitung	w9680
zu	w9681
einem	w9682
glückseligen	w9683
Tod	w9684
<g/>
.
8	w9686
<g/>
.
Augsb	w9688
<g/>
.
1765	w9690
<g/>
.
24	w9692
kr	w9693
<g/>
.
</p>
<p id="p103">
Desselben	w9695
geistreiches	w9696
Communionbuch	w9697
<g/>
,
enthal=tend	w9699
<g/>
=
auserlesene	w9701
Betrachtungen	w9702
und	w9703
anmuthige	w9704
Gedanken	w9705
zur	w9706
Aufmunterung	w9707
zartester	w9708
Andacht	w9709
ge=gen	w9710
<g/>
=
das	w9712
allerheil	w9713
<g/>
.
Sacrament	w9715
des	w9716
Altars	w9717
<g/>
.
8	w9719
<g/>
.
36	w9721
kr	w9722
<g/>
.
</p>
<p id="p104">
Dess	w9724
<g/>
.
kernhafte	w9726
Gedanken	w9727
über	w9728
verschiedene	w9729
Ge=genstände	w9730
<g/>
=
der	w9732
Sittenlehre	w9733
<g/>
.
8	w9735
<g/>
.
42	w9737
kr	w9738
<g/>
.
</p>
<p id="p105">
Bellarini	w9742
<g/>
,
Joh	w9744
<g/>
.
<g/>
,
Lehre	w9747
und	w9748
Auslegung	w9749
der	w9750
heil	w9751
<g/>
.
Kirchenversamlung	w9753
zu	w9754
Trient	w9755
<g/>
,
2	w9757
Thle	w9758
<g/>
.
8	w9760
<g/>
.
2	w9762
fl	w9763
<g/>
.
15	w9765
k	w9766
<g/>
.
</p>
<p id="p106">
Bellecii	w9768
<g/>
,
Aloysii	w9770
<g/>
,
Lehrschule	w9772
kernhafter	w9773
Tugen=den	w9774
<g/>
=
<g/>
,
in	w9777
erbaulichen	w9778
Betrachtungen	w9779
erkläret	w9780
<g/>
,
und	w9782
in	w9783
Form	w9784
der	w9785
gewöhnlichen	w9786
Geistesübungen	w9787
einge=richtet	w9788
<g/>
=
<g/>
,
3	w9791
Theile	w9792
<g/>
,
8	w9794
<g/>
.
Augsb	w9796
<g/>
.
1764	w9798
<g/>
.
1	w9800
fl	w9801
<g/>
.
45	w9803
kr	w9804
<g/>
.
</p>
<p id="p107">
Boissieu	w9806
<g/>
,
S	w9808
<g/>
.
J	w9810
<g/>
,
Betrachtungen	w9812
auf	w9813
alle	w9814
Tage	w9815
des	w9816
ganzen	w9817
Jahrs	w9818
<g/>
,
4	w9820
Theile	w9821
<g/>
.
8	w9823
<g/>
.
Augsb	w9825
<g/>
.
3	w9827
fl	w9828
<g/>
.
15	w9830
kr	w9831
<g/>
.
</p>
<p id="p108">
Fontana	w9833
<g/>
,
Faloii	w9835
S	w9836
<g/>
.
J	w9838
<g/>
.
<g/>
,
auserlesene	w9841
Buß	w9842
und	w9843
Fastenpredigten	w9844
<g/>
.
4	w9846
<g/>
.
eb	w9848
<g/>
.
da	w9850
<g/>
.
1765	w9852
<g/>
.
1	w9854
fl	w9855
<g/>
.
48	w9857
kr	w9858
<g/>
.
</p>
<p id="p109">
Bossaet	w9860
<g/>
,
Jac	w9862
<g/>
.
Benigni	w9864
<g/>
,
Geschichte	w9866
von	w9867
den	w9868
Ver=änderungen	w9869
<g/>
=
der	w9871
protestantischen	w9872
Kirchen	w9873
<g/>
.
2	w9875
Theile	w9876
<g/>
.
8	w9878
<g/>
.
Passau	w9880
1769	w9881
<g/>
.
3	w9883
fl	w9884
<g/>
.
30	w9886
kr	w9887
<g/>
.
</p>
<p id="p110">
Bougeant	w9889
<g/>
,
Wilh	w9891
<g/>
.
Hyae	w9893
<g/>
.
<g/>
,
vollkommene	w9896
Erklä=klärung	w9897
<g/>
=
der	w9899
christlichen	w9900
Lehre	w9901
in	w9902
Fragen	w9903
und	w9904
Ant=worden	w9905
<g/>
=
mit	w9907
eingemengter	w9908
Controvers	w9909
und	w9910
kurzge=faßten	w9911
<g/>
=
Historie	w9913
der	w9914
Ketzereyen	w9915
jedes	w9916
Säculi	w9917
<g/>
.
3	w9919
Theile	w9920
<g/>
.
4	w9922
<g/>
.
Augsb	w9924
<g/>
.
1751	w9926
<g/>
.
2	w9928
fl	w9929
<g/>
.
15	w9931
kr	w9932
<g/>
.
</p>
<p id="p111">
Bourdon	w9934
<g/>
,
Henr	w9936
<g/>
.
Mariä	w9938
<g/>
,
ewige	w9940
Anbettung	w9941
der	w9942
göttlichen	w9943
Fürsichtigkeit	w9944
<g/>
.
8	w9946
<g/>
.
Augsb	w9948
<g/>
.
10	w9950
kr	w9951
<g/>
.
</p>
<p id="p112">
Bulle	w9953
seiner	w9954
päbstl	w9955
<g/>
.
Heiligkeit	w9957
Clemens	w9958
des	w9959
14ten	w9960
an	w9961
die	w9962
Bischöffe	w9963
in	w9964
Sardinien	w9965
<g/>
,
in	w9967
welcher	w9968
er	w9969
die	w9970
in	w9971
ihren	w9972
Diöcesen	w9973
bishero	w9974
gewöhnlichen	w9975
Taxen	w9976
bey	w9977
Ertheilung	w9978
der	w9979
heil	w9980
<g/>
.
Weihen	w9982
u	w9983
<g/>
.
a	w9985
<g/>
.
Sacramenten	w9987
<g/>
,
bey	w9989
Beneficien	w9990
<g/>
,
Eheverlobnißen	w9992
<g/>
,
Begräbnißen	w9994
<g/>
,
Visitationen	w9996
u	w9997
<g/>
.
dergleichen	w9999
theils	w10000
verbiethet	w10001
theils	w10002
reformiret	w10003
<g/>
.
München	w10005
1770	w10006
<g/>
.
15	w10008
kr	w10009
<g/>
.
</p>
<p id="p113">
Brettouneau	w10011
<g/>
,
Franz	w10013
<g/>
,
sämtliche	w10015
Reden	w10016
<g/>
.
7	w10018
Theile	w10019
8	w10020
<g/>
.
Augsb	w10022
<g/>
.
1768	w10024
<g/>
.
8	w10026
fl	w10027
<g/>
.
15	w10029
kr	w10030
<g/>
.
</p>
<p id="p114">
Fastenspeis	w10032
<g/>
,
geistliche	w10034
<g/>
,
einer	w10036
bußfertigen	w10037
Seele	w10038
<g/>
,
alle	w10040
Abend	w10041
der	w10042
ganzen	w10043
Fasten	w10044
unter	w10045
gewöhnlichem	w10046
Miserere	w10047
zu	w10048
gebrauchen	w10049
<g/>
.
Augsb	w10051
<g/>
.
1763	w10053
<g/>
.
12	w10055
<g/>
.
7	w10057
kr	w10058
<g/>
.
</p>
<p id="p115">
Weltmensch	w10060
<g/>
,
der	w10062
zur	w10063
10tägigen	w10064
geistlichen	w10065
Ein=samkeit	w10066
<g/>
=
bezwungene	w10068
<g/>
,
oder	w10070
kurze	w10071
Weiß	w10072
die	w10073
geistliche	w10074
Exercitia	w10075
durch	w10076
eine	w10077
halbe	w10078
Viertelstunde	w10079
des	w10080
Tags	w10081
zu	w10082
machen	w10083
<g/>
.
12	w10085
<g/>
.
Wien	w10087
<g/>
.
geb	w10089
<g/>
.
10	w10091
kr	w10092
<g/>
.
</p>
<p id="p116">
Constantiensis	w10094
<g/>
,
Joh	w10096
<g/>
.
Mich	w10098
<g/>
.
<g/>
,
Geistes	w10101
Unterhal=tungen	w10102
<g/>
=
für	w10104
alle	w10105
1	w10106
<g/>
)
sich	w10108
von	w10109
Sünden	w10110
zu	w10111
Gott	w10112
in	w10113
Wahrheit	w10114
bekehren	w10115
wollende	w10116
<g/>
,
2	w10118
<g/>
)
sich	w10120
der	w10121
recht	w10122
christlichen	w10123
Tugenden	w10124
zu	w10125
befleissen	w10126
begierige	w10127
<g/>
,
3	w10129
<g/>
)
sich	w10131
in	w10132
<g/>
,
bey	w10134
<g/>
,
und	w10136
mit	w10137
Gott	w10138
in	w10139
dem	w10140
Jnnersten	w10141
ihres	w10142
Herzens	w10143
aufzuhalten	w10144
verlangende	w10145
christliche	w10146
Seele	w10147
<g/>
.
3	w10149
Theile	w10150
<g/>
.
8	w10152
<g/>
.
Cöln	w10154
<g/>
.
1	w10156
fl	w10157
<g/>
.
30	w10159
kr	w10160
<g/>
.
</p>
<p id="p117">
Contat	w10162
<g/>
,
Joach	w10164
<g/>
.
le	w10166
<g/>
,
Erinnerung	w10168
des	w10169
Geistes	w10170
<g/>
,
durch	w10172
10tägige	w10173
geistliche	w10174
Uebungen	w10175
<g/>
.
8	w10177
<g/>
.
Augsb	w10179
<g/>
.
18	w10181
kr	w10182
<g/>
.
</p>
<p id="p118">
Geistliche	w10184
Einöde	w10185
für	w10186
junge	w10187
Kosttöchter	w10188
<g/>
,
welche	w10190
in	w10191
Klöstern	w10192
erzogen	w10193
werden	w10194
<g/>
.
12	w10196
<g/>
.
Augsb	w10198
<g/>
.
12	w10200
kr	w10201
<g/>
.
</p>
<p id="p119">
Engelberti	w10203
von	w10204
Dillingen	w10205
<g/>
,
christliches	w10207
mit	w10208
aller=hand	w10209
<g/>
=
den	w10211
Tag	w10212
hindurch	w10213
üblichen	w10214
Andachten	w10215
einge=richtetes	w10216
<g/>
=
Leß	w10218
<g/>
=
Kranken	w10220
<g/>
=
und	w10222
Bethbuch	w10223
<g/>
.
8	w10225
<g/>
.
36	w10227
kr	w10228
<g/>
.
</p>
<p id="p120">
Erwegungen	w10230
<g/>
,
vierzig	w10232
<g/>
,
von	w10234
den	w10235
4	w10236
letzten	w10237
Dingen	w10238
<g/>
,
sowohl	w10240
zu	w10241
nutz	w10242
<g/>
=
als	w10244
schreckbaren	w10245
Uebung	w10246
deren	w10247
ihrer	w10248
Belehrung	w10249
und	w10250
Seelenheils	w10251
begierigen	w10252
Sündern	w10253
<g/>
.
12	w10255
<g/>
.
Jngolstadt	w10257
<g/>
.
17	w10259
kr	w10260
<g/>
.
</p>
<p id="p121">
Es	w10262
werden	w10263
künftigen	w10264
Mittwoch	w10265
<g/>
,
als	w10267
den	w10268
3ten	w10269
April	w10270
auf	w10271
dem	w10272
Salzgries	w10273
im	w10274
Hannswurstischen	w10275
Haus	w10276
im	w10277
3ten	w10278
Stock	w10279
verschiedene	w10280
Verlassenschafts Verlassenschaftseffecten	w10281
<g/>
=
</p>
<p id="p122">
effecten	w10283
<g/>
,
als	w10285
