<doc id="wr_1757-04-13" attrs="word" year="1757" month="04" day="13" corpus="2">
<head id="h2_d134e3550">
Genua,	w1_d134e3554
ren	w1_d134e10839
wird	w3_d134e10842
mit	w5_d134e10845
dem	w7_d134e10848
grösten	w9_d134e10851
Eifer	w11_d134e10854
fortgesetzt,	w13_d134e10858
damit	w1_d134e10863
die	w3_d134e10866
Flotte,	w5_d134e10869
so	w7_d134e10872
bald	w9_d134e10875
sie	w11_d134e10878
Befehl	w13_d134e10882
dazu	w15_d134e10885
er	w17_d134e10888
hält,	w1_d134e10893
in	w3_d134e10896
See	w5_d134e10899
stechen	w7_d134e10902
könne.	w9_d134e10905
Der	w11_d134e10908
Graf	w13_d134e10912
von	w15_d134e10915
Rasumofski,	w1_d134e10921
Hettmann,	w3_d134e10924
oder	w5_d134e10927
Generalca	w7_d134e10930
pitan	w1_d134e10935
von	w3_d134e10938
der	w5_d134e10941
Ukraine,	w7_d134e10944
ist	w9_d134e10947
abgereiset,	w11_d134e10950
um	w13_d134e10954
</p>
<p id="p8_d134e10959">
in	w1_d134e10963
diese	w3_d134e10966
Provinz	w5_d134e10969
zurück	w7_d134e10972
zu	w9_d134e10975
kehren.	w11_d134e10978
Der	w13_d134e10982
Be	w15_d134e10985
wegungs=grund	w1_d134e10990
dazu	w3_d134e10993
sind	w5_d134e10996
die	w7_d134e10999
Maas=regeln	w9_d134e11002
die	w1_d134e11007
er	w3_d134e11010
nehmen	w5_d134e11013
will,	w7_d134e11016
um	w9_d134e11019
noch	w11_d134e11022
einige	w13_d134e11026
Trupen	w15_d134e11029
heraus	w1_d134e11035
zu	w3_d134e11038
ziehen,	w5_d134e11041
wann	w7_d134e11044
die	w9_d134e11047
Umstände	w11_d134e11050
es	w13_d134e11054
er	w15_d134e11057
fordern	w1_d134e11062
sollten.	w3_d134e11065
</p>
<head id="h2_d134e11071">
Prag	w1_d134e11075
2.	w3_d134e11078
April.	w5_d134e11081
</head>
<p id="p4_d134e11084">
Dienstags	w1_d134e11088
Vormittags,	w3_d134e11091
verfügten	w5_d134e11094
sich	w7_d134e11097
Jh	w9_d134e11100
re	w1_d134e11105
Königl.	w3_d134e11108
Hoheiten	w5_d134e11111
die	w7_d134e11114
Königl.	w9_d134e11117
Pohlnischen	w11_d134e11120
und	w1_d134e11125
Chur=sächsischen	w3_d134e11128
Prinzen	w5_d134e11131
aus	w7_d134e11134
Dero	w9_d134e11137
Ab	w11_d134e11140
steig=quartier	w1_d134e11146
von	w3_d134e11149
Hradschin	w5_d134e11152
zu	w7_d134e11155
Pferd	w9_d134e11158
in	w11_d134e11161
die	w13_d134e11165
Königl.	w1_d134e11170
Neustadt	w3_d134e11173
Prag,	w5_d134e11176
alwo	w7_d134e11179
Hoch=dieselb	w9_d134e11182
ten	w1_d134e11187
mit	w3_d134e11190
Sr.	w5_d134e11193
des	w7_d134e11196
Commandierenden	w9_d134e11199
Feldmar	w11_d134e11202
schallen	w1_d134e11207
Herrn	w3_d134e11210
Grafen	w5_d134e11213
von	w7_d134e11216
Bronne	w9_d134e11219
Excellenz,	w11_d134e11222
und	w1_d134e11228
der	w3_d134e11231
hohen	w5_d134e11234
hier	w7_d134e11237
anwesenden	w9_d134e11240
Generalität,	w11_d134e11243
das	w1_d134e11248
hier	w3_d134e11251
in	w5_d134e11254
Garnison	w7_d134e11257
befindliche	w9_d134e11260
auf	w11_d134e11263
denen	w13_d134e11267
sogenannten	w1_d134e11272
Gräben	w3_d134e11275
paradierende	w5_d134e11278
Löbl.	w7_d134e11281
Wie	w9_d134e11284
dische	w1_d134e11289
Jnfanterie=regiment	w3_d134e11292
zu	w5_d134e11295
besehen,	w7_d134e11298
und	w9_d134e11301
über	w1_d134e11307
dessen	w3_d134e11310
Ansehnlichkeit	w5_d134e11313
Dero	w7_d134e11316
hohes	w9_d134e11319
Ver	w11_d134e11322
gnügen	w1_d134e11327
zu	w3_d134e11330
bezeugen	w5_d134e11333
geruhet.	w7_d134e11336
Nach	w9_d134e11339
solcher	w11_d134e11342
Besehung	w1_d134e11347
haben	w3_d134e11350
sich	w5_d134e11353
Se.	w7_d134e11356
des	w9_d134e11359
Commandieren	w11_d134e11362
den	w1_d134e11367
Feld=marschallen	w3_d134e11370
Excellenz	w5_d134e11373
nebst	w7_d134e11376
höchst	w9_d134e11379
besagt	w1_d134e11385
Jhren	w3_d134e11388
Königl.	w5_d134e11391
Hoheiten	w7_d134e11394
Prinzen	w9_d134e11397
Xa	w11_d134e11400
veri,	w1_d134e11405
und	w3_d134e11408
Carl,	w5_d134e11411
in	w7_d134e11414
Begleitung	w9_d134e11417
der	w11_d134e11420
hier	w13_d134e11424
anwe	w15_d134e11427
senden	w1_d134e11432
hohen	w3_d134e11435
Generalität	w5_d134e11438
auf	w7_d134e11441
den	w9_d134e11444
Wischehral	w11_d134e11447
begeben,	w1_d134e11452
und	w3_d134e11455
daselbsten	w5_d134e11458
die	w7_d134e11461
kurz	w9_d134e11464
vorhero	w11_d134e11467
an	w13_d134e11471
gekommene,	w1_d134e11477
nebst	w3_d134e11480
denen	w5_d134e11483
übrigen	w7_d134e11486
alda	w9_d134e11489
befind	w11_d134e11492
lichen,	w1_d134e11497
und	w3_d134e11500
in	w5_d134e11503
Parade	w7_d134e11506
gestandenen	w9_d134e11509
Feldartil	w11_d134e11512
lerie=compagnien,	w1_d134e11517
samt	w3_d134e11520
der	w5_d134e11523
mitgebrachten	w7_d134e11526
Ar	w9_d134e11529
tillerie,	w1_d134e11534
und	w3_d134e11537
das	w5_d134e11540
dortige	w7_d134e11543
Zeug=haus	w9_d134e11546
in	w11_d134e11549
hohen	w13_d134e11553
Augenschein	w1_d134e11559
zu	w3_d134e11562
nehmen,	w5_d134e11565
sich	w7_d134e11568
gefallen	w9_d134e11571
lassen.	w11_d134e11574
Eben	w1_d134e11579
desselbigen	w3_d134e11582
Tages	w5_d134e11585
gienge	w7_d134e11588
ein	w9_d134e11591
grosser	w11_d134e11594
Train	w1_d134e11599
Artillerie	w3_d134e11602
von	w5_d134e11605
hier	w7_d134e11608
ab,	w9_d134e11611
der	w11_d134e11614
seinen	w13_d134e11618
Zug	w15_d134e11621
gegen	w1_d134e11626
Eger	w3_d134e11629
nihmt,	w5_d134e11632
woselbst	w7_d134e11635
sich	w9_d134e11638
unter	w11_d134e11641
Com	w13_d134e11645
mando	w1_d134e11651
Sr.	w3_d134e11654
Durchleucht	w5_d134e11657
des	w7_d134e11660
Herrn	w9_d134e11663
General	w11_d134e11666
feld=marschall=leutenants,	w1_d134e11671
Herzogs	w3_d134e11674
von	w5_d134e11677
Ah	w7_d134e11680
remberg,	w1_d134e11685
an	w3_d134e11688
Jnfanterie,	w5_d134e11691
Cavallerie,	w7_d134e11694
und	w9_d134e11697
Hus	w11_d134e11700
saren	w1_d134e11705
ein	w3_d134e11708
Corpo	w5_d134e11711
von	w7_d134e11714
20000.	w9_d134e11717
Mann	w11_d134e11720
zusammen	w13_d134e11724
ziehet,	w1_d134e11730
zu	w3_d134e11733
dessen	w5_d134e11736
Behuf,	w7_d134e11739
und	w9_d134e11742
Versorgung	w11_d134e11745
in	w13_d134e11749
dortiger	w1_d134e11754
Gegend	w3_d134e11757
viele	w5_d134e11760
Back=öfen,	w7_d134e11763
und	w9_d134e11766
ansehn	w11_d134e11769
liche	w1_d134e11774
Magatzinen	w3_d134e11777
angeleget	w5_d134e11780
werden.	w7_d134e11783
Wozu	w9_d134e11786
nun	w1_d134e11791
dieses	w3_d134e11794
Corpo	w5_d134e11797
d'Armee	w7_d134e11800
bestimmet	w9_d134e11803
seye,	w11_d134e11806
und	w13_d134e11810
worin	w1_d134e11816
seine	w3_d134e11819
Unternehmungen	w5_d134e11822
bestehen	w7_d134e11825
dörften,	w9_d134e11828
wird	w1_d134e11833
sich	w3_d134e11836
erst	w5_d134e11839
offenbaren,	w7_d134e11842
wie	w9_d134e11845
dann	w11_d134e11848
übri	w13_d134e11852
gens	w1_d134e11857
täglich	w3_d134e11860
sowol	w5_d134e11863
Jnfanterie	w7_d134e11866
als	w9_d134e11869
Caval	w11_d134e11872
lerie=regimenter	w1_d134e11877
hier	w3_d134e11880
durch	w5_d134e11883
paßiren,	w7_d134e11886
welche	w9_d134e11889
ihren	w1_d134e11895
Marsch	w3_d134e11898
theils	w5_d134e11901
gegen	w7_d134e11904
Sachsen,	w9_d134e11907
theils	w11_d134e11910
gegen	w1_d134e11915
Schlesien	w3_d134e11918
fortsetzen.	w5_d134e11921
Eodem	w7_d134e11924
seynd	w9_d134e11927
41.	w11_d134e11930
Rimonta=pferde	w1_d134e11935
für	w3_d134e11938
das	w5_d134e11941
Löbl.	w7_d134e11944
Bathyanischi	w9_d134e11947
Dragoner=regiment	w1_d134e11952
von	w3_d134e11955
hier	w5_d134e11958
nacher	w7_d134e11961
Jung	w9_d134e11964
bunzlau	w1_d134e11970
abgeführet	w3_d134e11973
worden.	w5_d134e11976
Mitwochs	w7_d134e11979
den	w9_d134e11982
</p>
<p id="p6_d134e11985">
30.	w1_d134e11989
Martii	w3_d134e11992
ist	w5_d134e11995
ein	w7_d134e11998
Fähndrich	w9_d134e12001
mit	w11_d134e12004
133.	w13_d134e12008
Mann.	w15_d134e12011
worunter	w1_d134e12016
verschiedene	w3_d134e12019
Unter=officiers	w5_d134e12022
sich	w7_d134e12025
be	w9_d134e12028
finden,	w1_d134e12033
von	w3_d134e12036
dem	w5_d134e12039
ChursächstschRutowsky	w7_d134e12042
schen	w1_d134e12048
Regiment	w3_d134e12051
(so	w5_d134e12054
die	w7_d134e12057
Königl.	w9_d134e12060
Preußische	w11_d134e12063
Dienste	w1_d134e12068
anzunehmen	w3_d134e12071
gezwungen	w5_d134e12074
worden,	w7_d134e12077
und	w9_d134e12080
den	w1_d134e12085
23ten	w3_d134e12088
abgeruckten	w5_d134e12091
Monats	w7_d134e12094
bey	w9_d134e12097
Bischofs	w11_d134e12100
werda,	w1_d134e12105
alwo	w3_d134e12108
sie	w5_d134e12111
gestanden,	w7_d134e12114
bey	w9_d134e12117
einem	w11_d134e12120
entstan	w13_d134e12124
denen	w1_d134e12130
Lärmen,	w3_d134e12133
daß	w5_d134e12136
sich	w7_d134e12139
einige	w9_d134e12142
Croaten	w11_d134e12145
sehen	w13_d134e12149
liessen,	w1_d134e12154
die	w3_d134e12157
Gelegenheit	w5_d134e12160
gefunden,	w7_d134e12163
bey	w9_d134e12166
der	w11_d134e12169
Ge	w13_d134e12173
gen=ausruckung	w1_d134e12178
samt	w3_d134e12181
Pferden,	w5_d134e12184
und	w7_d134e12187
der	w9_d134e12190
gan	w11_d134e12193
zen	w1_d134e12198
Rüstung	w3_d134e12201
durchzukommen,	w5_d134e12204
und	w7_d134e12207
sich	w9_d134e12210
in	w11_d134e12213
die	w13_d134e12217
Freyheit	w1_d134e12223
zu	w3_d134e12226
setzen)	w5_d134e12229
hier	w7_d134e12232
angelanget,	w9_d134e12235
welche	w11_d134e12238
sich	w13_d134e12242
so	w1_d134e12247
fort,	w3_d134e12250
bey	w5_d134e12253
ihrer	w7_d134e12256
Anlangung,	w9_d134e12259
vor	w11_d134e12262
die	w13_d134e12266
Erzebi	w15_d134e12269
schöfliche	w1_d134e12274
Residenz,	w3_d134e12277
alwo	w5_d134e12280
Jhre	w7_d134e12283
Königl.	w9_d134e12286
Hohei	w11_d134e12289
ten,	w1_d134e12294
nebst	w3_d134e12297
der	w5_d134e12300
hohen	w7_d134e12303
Generalität,	w9_d134e12306
und	w11_d134e12309
dem	w13_d134e12313
vornehmsten	w1_d134e12319
hiesigen	w3_d134e12322
hohen	w5_d134e12325
Adel,	w7_d134e12328
zur	w9_d134e12331
Tafel	w11_d134e12334
waren,	w1_d134e12339
begeben,	w3_d134e12342
und	w5_d134e12345
präsentiret	w7_d134e12348
haben,	w9_d134e12351
von	w11_d134e12354
dannen	w1_d134e12359
aber,	w3_d134e12362
nach	w5_d134e12365
deren	w7_d134e12368
Besichtigung,	w9_d134e12371
kehrten	w11_d134e12374
sie	w1_d134e12379
wieder	w3_d134e12382
zurück,	w5_d134e12385
und	w7_d134e12388
seynd	w9_d134e12391
in	w11_d134e12394
der	w13_d134e12398
Königl.	w15_d134e12401
Neustadt	w1_d134e12407
einquartieret	w3_d134e12410
worden.	w5_d134e12413
Diese	w7_d134e12416
Mann	w9_d134e12419
schaft	w1_d134e12424
ist	w3_d134e12427
auserlösen,	w5_d134e12430
und	w7_d134e12433
durchgehends	w9_d134e12436
mit	w11_d134e12439
Pohlnischen	w1_d134e12444
Pferden	w3_d134e12447
beritten.	w5_d134e12450
Der	w7_d134e12453
Herr	w9_d134e12456
Ge	w11_d134e12459
neral	w1_d134e12464
Baron	w3_d134e12467
von	w5_d134e12470
Bretlach,	w7_d134e12473
ist	w9_d134e12476
den	w11_d134e12479
30.	w13_d134e12483
Martii	w15_d134e12486
hier	w1_d134e12492
angelanget.	w3_d134e12495
</p>
<head id="h2_d134e12501">
Wien	w1_d134e12505
den	w3_d134e12508
13.	w5_d134e12511
April	w7_d134e12514
1757.	w9_d134e12517
</head>
<p id="p4_d134e12520">
Samstag	w1_d134e12524
den	w3_d134e12527
9.	w5_d134e12530
April.	w7_d134e12533
haben	w9_d134e12536
Jhre	w11_d134e12539
Kaiserl.	w13_d134e12543
Königl.	w1_d134e12548
Majestäten	w3_d134e12551
wegen	w5_d134e12554
fort	w7_d134e12557
währen	w9_d134e12560
der	w1_d134e12565
Krankheit	w3_d134e12568
Jhrer	w5_d134e12571
Kön.	w7_d134e12574
Hoheit	w9_d134e12577
der	w11_d134e12580
Durchl.	w13_d134e12584
Erz=herzogin	w1_d134e12590
Maria	w3_d134e12593
Anna	w5_d134e12596
die	w7_d134e12599
sonst	w9_d134e12602
alle	w11_d134e12605
Jahr	w1_d134e12610
an	w3_d134e12613
diesem	w5_d134e12616
Tag	w7_d134e12619
gewöhnliche	w9_d134e12622
Besuchung	w11_d134e12625
deren	w1_d134e12630
heiligen	w3_d134e12633
Gräbern	w5_d134e12636
nicht	w7_d134e12639
verrichtet,	w9_d134e12642
son	w11_d134e12645
dern	w1_d134e12650
anstatt	w3_d134e12653
dessen	w5_d134e12656
Dero	w7_d134e12659
Andacht	w9_d134e12662
in	w11_d134e12665
der	w13_d134e12669
Kaiserl.	w1_d134e12675
Königl.	w3_d134e12678
Hof=kirchen	w5_d134e12681
bey	w7_d134e12684
denen	w9_d134e12687
P.	w11_d134e12690
P.	w13_d134e12694
Augustinern	w1_d134e12699
und	w3_d134e12702
in	w5_d134e12705
der	w7_d134e12708
Kammer=capellen	w9_d134e12711
bey	w1_d134e12716
Hof	w3_d134e12719
gepflogen;	w5_d134e12722
wie	w7_d134e12725
dann	w9_d134e12728
auch	w11_d134e12731
den	w13_d134e12735
dar	w15_d134e12738
auf	w1_d134e12743
gefolgten	w3_d134e12746
Oster=sonntag	w5_d134e12749
als	w7_d134e12752
den	w9_d134e12755
10ten	w11_d134e12758
dieses	w1_d134e12764
Allerhöchst	w3_d134e12767
Jhre	w5_d134e12770
Majestäten	w7_d134e12773
nicht	w9_d134e12776
zu	w11_d134e12779
St.	w1_d134e12784
Stephan	w3_d134e12787
sich	w5_d134e12790
erhoben,	w7_d134e12793
sondern	w9_d134e12796
dem	w11_d134e12799
GOttes=dienst	w1_d134e12804
bey	w3_d134e12807
Hof	w5_d134e12810
beygewohnet	w7_d134e12813
haben.	w9_d134e12816
Ein	w1_d134e12821
Gleiches	w3_d134e12824
beschahe	w5_d134e12827
am	w7_d134e12830
Oster=montag	w9_d134e12833
und	w1_d134e12839
Oster=dienstag.	w3_d134e12842
Höchst=gedacht	w1_d134e12847
Jhre	w3_d134e12850
Königl.	w5_d134e12853
Hoheit	w7_d134e12856
die	w9_d134e12859
Durchl.	w1_d134e12864
Erz=herzogin	w3_d134e12867
Maria	w5_d134e12870
Anna	w7_d134e12873
befinden	w9_d134e12876
sich	w1_d134e12881
in	w3_d134e12884
etwas	w5_d134e12887
besser.	w7_d134e12890
Ubrigens	w1_d134e12896
ist	w3_d134e12899
vergangenen	w5_d134e12902
Oster=samstag	w7_d134e12905
Abends	w1_d134e12910
der	w3_d134e12913
Hr.	w5_d134e12916
Herzog	w7_d134e12919
Friederich	w9_d134e12922
von	w11_d134e12925
Pfalz	w13_d134e12929
zweybrücken	w1_d134e12934
dahier	w3_d134e12937
eingetroffen,	w5_d134e12940
und	w7_d134e12943
am	w9_d134e12946
Mon	w11_d134e12949
tag	w1_d134e12954
Vormittags	w3_d134e12957
bey	w5_d134e12960
Hof	w7_d134e12963
erschienen,	w9_d134e12966
alwo	w11_d134e12969
Se.	w1_d134e12975
Durchl.	w3_d134e12978
von	w5_d134e12981
Allerhöchsten	w7_d134e12984
Majestäten	w9_d134e12987
</p>
<p id="p10_d134e13000">
wie	w1_d134e13004
auch	w3_d134e13007
von	w5_d134e13010
denen	w7_d134e13013
Durchl.	w9_d134e13016
jungen	w11_d134e13019
Herrschaf	w13_d134e13023
ten	w1_d134e13028
Königl.	w3_d134e13031
Hoheiten	w5_d134e13034
mit	w7_d134e13037
besonderer	w9_d134e13040
Distin	w11_d134e13043
ction	w1_d134e13048
empfangen	w3_d134e13051
worden.	w5_d134e13054
Se.	w7_d134e13057
Durchl.	w9_d134e13060
werden	w1_d134e13066
dem	w3_d134e13069
Vernehmen	w5_d134e13072
nach,	w7_d134e13075
eine	w9_d134e13078
wenige	w11_d134e13081
Zeit	w13_d134e13085
alhier	w1_d134e13090
verbleiben,	w3_d134e13093
folglich	w5_d134e13096
zu	w7_d134e13099
der	w9_d134e13102
Kaiserl.	w11_d134e13105
Königl.	w1_d134e13110
Armee	w3_d134e13113
nach	w5_d134e13116
Böheim	w7_d134e13119
abgehen.	w9_d134e13122
</p>
<p id="p12_d134e13126">
Briefe	w1_d134e13130
von	w3_d134e13133
Paris	w5_d134e13136
geben	w7_d134e13139
daß	w9_d134e13142
aldaselbst	w11_d134e13145
den	w1_d134e13150
28sten	w3_d134e13153
Martii	w5_d134e13156
der	w7_d134e13159
bekannte	w9_d134e13162
Königsmör	w11_d134e13165
der	w1_d134e13170
um	w3_d134e13173
5	w5_d134e13176
Uhr	w7_d134e13179
Nachmittags	w9_d134e13182
auf	w11_d134e13185
dem	w13_d134e13189
Platz	w15_d134e13192
Greve	w1_d134e13198
unter	w3_d134e13201
einem	w5_d134e13204
unglaublichen	w7_d134e13207
Zulauf	w9_d134e13210
von	w11_d134e13213
Volk	w1_d134e13218
zufolge	w3_d134e13221
dem	w5_d134e13224
wider	w7_d134e13227
ihn	w9_d134e13230
geschöpften	w11_d134e13233
End=urtheil,	w1_d134e13238
offentlich	w3_d134e13241
hingerichtet	w5_d134e13244
worden	w7_d134e13247
seye,	w1_d134e13252
und	w3_d134e13255
dabey	w5_d134e13258
eine	w7_d134e13261
Stunde	w9_d134e13264
und	w11_d134e13267
26.	w13_d134e13271
Minu	w15_d134e13274
ten	w1_d134e13280
lang	w3_d134e13283
gelitten	w5_d134e13286
habe.	w7_d134e13289
Als	w9_d134e13292
man	w11_d134e13295
ihm	w13_d134e13299
zum	w15_d134e13302
5.	w17_d134e13305
mal	w1_d134e13310
die	w3_d134e13313
Glieder	w5_d134e13316
auseinander	w7_d134e13319
ziehen,	w9_d134e13322
die	w11_d134e13325
Ner	w13_d134e13329
ven	w1_d134e13334
aber	w3_d134e13337
nicht	w5_d134e13340
zerbrechen	w7_d134e13343
wollen,	w9_d134e13346
haben	w11_d134e13349
16.	w13_d134e13353
Scharf=richter	w1_d134e13358
dieselben	w3_d134e13361
mit	w5_d134e13364
Messern	w7_d134e13367
abge	w9_d134e13370
schnitten,	w1_d134e13376
darbey	w3_d134e13379
man	w5_d134e13382
noch	w7_d134e13385
ein	w9_d134e13388
Lebens=zeichen	w11_d134e13391
an	w1_d134e13396
ihme	w3_d134e13399
bemerket	w5_d134e13402
hat.	w7_d134e13405
Der	w9_d134e13408
Jnhalt	w11_d134e13411
seines	w13_d134e13415
Ur	w15_d134e13418
theils	w1_d134e13423
befindet	w3_d134e13426
sich	w5_d134e13429
in	w7_d134e13432
beygehendem	w9_d134e13435
Anhang.	w11_d134e13438
</p>
<p id="p14_d134e13441">
Die	w1_d134e13445
Unkosten	w3_d134e13448
für	w5_d134e13451
die	w7_d134e13454
Wache	w9_d134e13457
und	w11_d134e13460
Unterhal	w13_d134e13464
tung	w1_d134e13469
des	w3_d134e13472
erstgedachten	w5_d134e13475
Damiens	w7_d134e13478
solle	w9_d134e13481
täglich	w11_d134e13484
auf	w1_d134e13489
600.	w3_d134e13492
Livres	w5_d134e13495
sich	w7_d134e13498
beloffen	w9_d134e13501
haben.	w11_d134e13504
</p>
<p id="p16_d134e13507">
Von	w1_d134e13511
Senftenberg:	w3_d134e13514
Daß	w5_d134e13517
der	w7_d134e13520
aldasige	w9_d134e13523
Preußische	w1_d134e13528
Commendant	w3_d134e13531
der	w5_d134e13534
starken	w7_d134e13537
Citadelle	w9_d134e13540
alle	w1_d134e13545
Canonen,	w3_d134e13548
Büchsen,	w5_d134e13551
Pulfer,	w7_d134e13554
und	w9_d134e13557
was	w11_d134e13560
son	w13_d134e13564
sten	w1_d134e13570
in	w3_d134e13573
dasigen	w5_d134e13576
Magazinen	w7_d134e13579
sich	w9_d134e13582
befunden,	w11_d134e13585
habe	w13_d134e13589
wegbringen	w1_d134e13594
lassen.	w3_d134e13597
</p>
<p id="p18_d134e13600">
Von	w1_d134e13604
Hamburg:	w3_d134e13607
Daß	w5_d134e13610
zwischen	w7_d134e13613
denen	w9_d134e13616
Königl.	w11_d134e13619
Höfen	w1_d134e13624
zu	w3_d134e13627
Verfailles	w5_d134e13630
und	w7_d134e13633
Copenhagen	w9_d134e13636
der	w11_d134e13639
Sub	w13_d134e13643
sidien=tractat	w1_d134e13648
fernerhin	w3_d134e13651
bestehen	w5_d134e13654
werde,	w7_d134e13657
wel	w9_d134e13660
ches	w1_d134e13666
von	w3_d134e13669
verschiedenen	w5_d134e13672
Oertern	w7_d134e13675
her	w9_d134e13678
bestätti	w11_d134e13681
get	w1_d134e13686
wird.	w3_d134e13689
</p>
<p id="p20_d134e13692">
Von	w1_d134e13696
Lippstadt:	w3_d134e13699
daß	w5_d134e13702
die	w7_d134e13705
Besatzung	w9_d134e13708
von	w11_d134e13711
Wesel,	w1_d134e13716
welche	w3_d134e13719
den	w5_d134e13722
19.	w7_d134e13725
daselbst	w9_d134e13728
mit	w11_d134e13731
bey	w13_d134e13735
sich	w15_d134e13738
gehabter	w1_d134e13743
Artillerie	w3_d134e13746
und	w5_d134e13749
Munition	w7_d134e13752
angekom	w9_d134e13755
men,	w1_d134e13761
gleich	w3_d134e13764
Freytags	w5_d134e13767
darauf	w7_d134e13770
ihren	w9_d134e13773
Marsch	w11_d134e13776
weiter	w1_d134e13781
nacher	w3_d134e13784
Rittberg	w5_d134e13787
und	w7_d134e13790
Bielfeld	w9_d134e13793
fortge	w11_d134e13796
setzet	w1_d134e13801
habe,	w3_d134e13804
wie	w5_d134e13807
dann	w7_d134e13810
auch	w9_d134e13813
eben	w11_d134e13816
selbigen	w13_d134e13820
Tags	w15_d134e13823
die	w1_d134e13828
Regimenter	w3_d134e13831
des	w5_d134e13834
Erb=prinzens	w7_d134e13837
von	w9_d134e13840
Hessen	w11_d134e13843
cassel,	w1_d134e13849
Junkheim.	w3_d134e13852
und	w5_d134e13855
Salmut	w7_d134e13858
von	w9_d134e13861
besagten	w11_d134e13864
Wesel	w1_d134e13869
allda	w3_d134e13872
erwartet	w5_d134e13875
worden	w7_d134e13878
seyen.	w9_d134e13881
</p>
<p id="p22_d134e13884">
Von	w1_d134e13888
Dreßden:	w3_d134e13891
Daß	w5_d134e13894
die	w7_d134e13897
aldasige	w9_d134e13900
Bur	w11_d134e13903
gerschaft	w1_d134e13908
von	w3_d134e13911
dem	w5_d134e13914
König	w7_d134e13917
in	w9_d134e13920
Preussen	w11_d134e13923
den	w13_d134e13927
Be	w15_d134e13930
fehl	w1_d134e13935
bekommen,	w3_d134e13938
all=ihr	w5_d134e13941
habendes	w7_d134e13944
Ober	w9_d134e13947
und	w11_d134e13950
Un	w13_d134e13954
tergewehr	w1_d134e13960
in	w3_d134e13963
das	w5_d134e13966
Zeug=haus	w7_d134e13969
zu	w9_d134e13972
liefern;	w11_d134e13975
daß	w13_d134e13979
der	w1_d134e13984
bishero	w3_d134e13987
daselbst	w5_d134e13990
gestandene	w7_d134e13993
commandiren	w9_d134e13996
de	w1_d134e14001
General	w3_d134e14004
Willig	w5_d134e14007
die	w7_d134e14010
Ordre	w9_d134e14013
erhalten,	w11_d134e14016
dem	w13_d134e14020
König	w1_d134e14025
zu	w3_d134e14028
folgen,	w5_d134e14031
und	w7_d134e14034
demnach	w9_d134e14037
die	w11_d134e14040
Comman	w13_d134e14044
danten=stelle	w1_d134e14050
in	w3_d134e14053
gedachter	w5_d134e14056
Haupt=stadt	w7_d134e14059
dem	w9_d134e14062
Ge	w11_d134e14065
neral=major	w1_d134e14070
von	w3_d134e14073
Loenstadt	w5_d134e14076
aufgetragen	w7_d134e14079
wor	w9_d134e14082
</p>
<p id="p24_d134e14086">
den;	w1_d134e14090
und	w3_d134e14093
die	w5_d134e14096
Sächsische	w7_d134e14099
Schutz=verwandte,	w9_d134e14102
sie	w1_d134e14107
mögen	w3_d134e14110
stehen,	w5_d134e14113
unter	w7_d134e14116
wem	w9_d134e14119
sie	w11_d134e14122
wollen,	w13_d134e14126
blaue	w15_d134e14129
Röcke,	w1_d134e14134
Gewehr,	w3_d134e14137
und	w5_d134e14140
Degen	w7_d134e14143
tragen,	w9_d134e14146
auch	w11_d134e14149
Brod	w1_d134e14155
und	w3_d134e14158
Lohnung	w5_d134e14161
nehmen,	w7_d134e14164
und	w9_d134e14167
dargegen	w11_d134e14170
die	w13_d134e14174
Schantzen	w1_d134e14179
besetzen	w3_d134e14182
müssen.	w5_d134e14185
</p>
<p id="p26_d134e14188">
Von	w1_d134e14192
Düsseldorf.	w3_d134e14195
Daß	w5_d134e14198
die	w7_d134e14201
aldasige	w9_d134e14204
Be	w11_d134e14207
satzungs=regimenter	w1_d134e14212
den	w3_d134e14215
23.	w5_d134e14218
Martii	w7_d134e14221
die	w9_d134e14224
letzte	w11_d134e14227
re	w1_d134e14232
Ordre	w3_d134e14235
zum	w5_d134e14238
Aus=marsch	w7_d134e14241
zwar	w9_d134e14244
annoch	w11_d134e14247
nicht	w13_d134e14251
gehabt,	w1_d134e14257
jedoch	w3_d134e14260
daselbst	w5_d134e14263
die	w7_d134e14266
Anstalten	w9_d134e14269
bereits	w11_d134e14272
dahin	w1_d134e14277
vorgekehret	w3_d134e14280
worden	w5_d134e14283
wären,	w7_d134e14286
daß	w9_d134e14289
es	w11_d134e14292
gar	w13_d134e14296
nicht	w1_d134e14301
zu	w3_d134e14304
zweifeln,	w5_d134e14307
daß	w7_d134e14310
diese	w9_d134e14313
Trupen	w11_d134e14316
mit	w13_d134e14320
En	w15_d134e14323
de	w1_d134e14328
dieses	w3_d134e14331
Monats	w5_d134e14334
Aprilis	w7_d134e14337
unter	w9_d134e14340
Zelten	w11_d134e14343
sich	w13_d134e14347
be	w15_d134e14350
finden	w1_d134e14356
werden;	w3_d134e14359
daß	w5_d134e14362
die	w7_d134e14365
Jnnwohner	w9_d134e14368
des	w11_d134e14371
gan	w13_d134e14375
tzen	w1_d134e14380
Clevischen	w3_d134e14383
Gebietes,	w5_d134e14386
und	w7_d134e14389
der	w9_d134e14392
Mark	w11_d134e14395
noch	w13_d134e14399
immer	w1_d134e14404
fortfahren,	w3_d134e14407
mit	w5_d134e14410
Hab	w7_d134e14413
und	w9_d134e14416
Gut	w11_d134e14419
von	w13_d134e14423
dan	w15_d134e14426
