<doc id="edoc_wd_1726-09-18" attrs="word" year="1726" month="09" day="18" corpus="1">
<head id="hl1">
Smirna	w54
</p>
<head id="hl17">
Wien	w3601
18	w3602
<g/>
.
September	w3604
<g/>
.
1726	w3606
<g/>
.
</head>
<p id="p52">
SAmstag	w3608
<g/>
/
den	w3610
14	w3611
<g/>
.
September	w3613
<g/>
/
erhuben	w3615
Sich	w3616
beede	w3617
Regierende	w3618
Kaiserl	w3619
<g/>
.
Maje=stäten	w3621
<g/>
=
des	w3623
Morgens	w3624
zur	w3625
Andacht	w3626
nacher	w3627
Ma=ria	w3628
<g/>
=
<g/>
=
Lantzendorf	w3631
<g/>
/
und	w3633
von	w3634
dar	w3635
nacher	w3636
Him Himberg	w3637
<g/>
=
</p>
<p id="p53">
berg	w3642
auf	w3643
die	w3644
Hirsch	w3645
<g/>
=
Pürst	w3647
<g/>
.
Auch	w3649
wurde	w3650
die=sen	w3651
<g/>
=
Tag	w3653
eine	w3654
kleine	w3655
Gala	w3656
wegen	w3657
des	w3658
Ge=burts	w3659
<g/>
=
<g/>
=
Tags	w3662
der	w3663
Durchl	w3664
<g/>
.
Ertz	w3666
<g/>
=
Hertzogin	w3668
<g/>
/
und	w3670
Infantin	w3671
von	w3672
Spanien	w3673
Maria	w3674
Anna	w3675
<g/>
,
und	w3677
nach	w3678
<g/>
=
Mittag	w3680
die	w3681
schon	w3682
öfters	w3683
gemeldte	w3684
Jtaliänische	w3685
Opera	w3686
<g/>
,
genannt	w3688
die	w3689
Cron	w3690
A- riadnæ Ariadnae	w3691
<g/>
-
<g/>
,
in	w3694
dem	w3695
Favorita	w3696
-Garten	w3697
in	w3698
Bey=seyn	w3699
<g/>
=
Allerhöchster	w3701
Majestäten	w3702
zum	w3703
letztenmal	w3704
gehalten	w3705
<g/>
.
</p>
<p id="p54">
Dito	w3707
<g/>
/
als	w3709
am	w3710
Fest	w3711
Creutz	w3712
<g/>
=
Erhöhung	w3714
<g/>
/
ha=ben	w3716
<g/>
=
Jhre	w3718
Majestät	w3719
die	w3720
Verwittibte	w3721
Römi=sche	w3722
<g/>
=
Kaiserin	w3724
Amalia	w3725
Wilhelmina	w3726
<g/>
,
in	w3728
Be=gleitung	w3729
<g/>
=
deren	w3731
Hoch	w3732
Adelichen	w3733
Stern	w3734
<g/>
=
Creutz	w3736
<g/>
=
Ordens	w3738
<g/>
=
Damen	w3740
<g/>
/
vor	w3742
<g/>
=
und	w3744
nach	w3745
<g/>
=
Mittag	w3747
in	w3748
dem	w3749
Kaiserl	w3750
<g/>
.
Profess	w3752
-Haus	w3753
Soc	w3754
<g/>
.
JEsu	w3756
am	w3757
Hof	w3758
<g/>
/
dem	w3760
GOttes	w3761
<g/>
=
Dienst	w3763
<g/>
/
welchen	w3765
Jhrer	w3766
Päpstl	w3767
<g/>
.
Heiligkeit	w3769
Nuntius	w3770
alhier	w3771
<g/>
/
Monsig	w3773
<g/>
.
Girolamo	w3775
Grimaldi	w3776
<g/>
,
Ertz	w3778
<g/>
=
Bischof	w3780
zu	w3781
Edes=sen	w3782
<g/>
=
<g/>
/
ꝛc	w3785
<g/>
.
gehalten	w3787
<g/>
/
als	w3789
auch	w3790
der	w3791
vorherge=henden	w3792
<g/>
=
Predig	w3794
auferbäulichst	w3795
beygewohnet	w3796
<g/>
/
und	w3798
folgende	w3799
Hoch	w3800
<g/>
=
Adeliche	w3802
Personen	w3803
in	w3804
obgedachten	w3805
Orden	w3806
an	w3807
<g/>
=
und	w3809
aufgenommen	w3810
<g/>
.
Des	w3812
Abends	w3813
begaben	w3814
Sich	w3815
Jhre	w3816
Majestät	w3817
wieder	w3818
in	w3819
Dero	w3820
Frauen	w3821
<g/>
=
Closter	w3823
am	w3824
Renn	w3825
<g/>
=
Weg	w3827
<g/>
.
</p>
<p id="p55">
Maria	w3829
Anna	w3830
AnnaGräfin	w3831
Manfredi	w3832
<g/>
,
geborne	w3834
Marchesin	w3835
della	w3836
Casta	w3837
<g/>
.
</p>
<p id="p56">
Maria	w3839
Francisca	w3840
Freyin	w3841
von	w3842
Clam	w3843
<g/>
/
geborne	w3845
Gräfin	w3846
von	w3847
Sallaburg	w3848
<g/>
.
</p>
<p id="p57">
Maria	w3850
Johanna	w3851
Fräule	w3852
von	w3853
Henneberg	w3854
<g/>
/
Chur	w3856
<g/>
=
Bay=rische	w3858
<g/>
=
Hof HofDame	w3860
<g/>
=
Dame	w3862
<g/>
.
</p>
<p id="p58">
Maria	w3864
Anna	w3865
Freyin	w3866
von	w3867
Loo	w3868
<g/>
,
geborne	w3870
Freyin	w3871
von	w3872
Wachtendonk	w3873
<g/>
.
</p>
<p id="p59">
Francisca	w3875
Marchesin	w3876
Panzi	w3877
<g/>
,
geb	w3879
<g/>
.
Marchesin	w3881
Sampieri	w3882
<g/>
.
</p>
<p id="p60">
Josepha	w3884
Fräule	w3885
Gräfin	w3886
Fuxin	w3887
<g/>
/
Kaiserl	w3889
<g/>
.
Hof HofDame	w3891
<g/>
=
Dame	w3893
<g/>
.
</p>
<p id="p61">
Maria	w3895
Catharina	w3896
della	w3897
Fuente	w3898
<g/>
,
geborne	w3900
Gräfin	w3901
von	w3902
Archinto	w3903
<g/>
.
</p>
<p id="p62">
Maria	w3905
Anna	w3906
Gräfin	w3907
von	w3908
Churschwandt	w3909
<g/>
/
geborne	w3911
Grä=fin	w3912
<g/>
=
von	w3914
Harrach	w3915
<g/>
.
</p>
<p id="p63">
Maria	w3917
Charlotta	w3918
Fräule	w3919
Freyin	w3920
von	w3921
Friesenhausen	w3922
<g/>
/
Chur	w3924
<g/>
=
Bayrische	w3926
Hof HofDame	w3927
<g/>
=
Dame	w3929
<g/>
.
</p>
<p id="p64">
Maria	w3931
Catharina	w3932
Gräfin	w3933
von	w3934
Berg	w3935
<g/>
/
geborne	w3937
Gräfin	w3938
Truchsessin	w3939
zu	w3940
Zeil	w3941
<g/>
.
</p>
<p id="p65">
Maria	w3943
Magdalena	w3944
Marchesin	w3945
Malaspina	w3946
<g/>
,
geborne	w3948
Marchesin	w3949
Landi	w3950
<g/>
.
</p>
<p id="p66">
Anna	w3952
Charlotta	w3953
Gräfin	w3954
von	w3955
Ostein	w3956
<g/>
/
geborne	w3958
Gräfin	w3959
von	w3960
Schönborn	w3961
<g/>
.
</p>
<p id="p67">
Catharina	w3963
Freyin	w3964
von	w3965
Jmsen	w3966
<g/>
/
geborne	w3968
von	w3969
Wend	w3970
<g/>
.
</p>
<p id="p68">
Maria	w3972
Carolina	w3973
Fräule	w3974
von	w3975
Thierheim	w3976
<g/>
/
Chur	w3978
<g/>
=
Bayri=sche	w3980
<g/>
=
Hof HofDame	w3982
<g/>
=
Dame	w3984
<g/>
.
</p>
<p id="p69">
Lavinea	w3986
von	w3987
Marini	w3988
Marchesin	w3989
von	w3990
Castel	w3991
<g/>
-
Novo	w3993
<g/>
,
geborne	w3995
Gräfin	w3996
von	w3997
Villalegre	w3998
<g/>
.
</p>
<p id="p70">
Theresia	w4000
Fräule	w4001
Gräfin	w4002
von	w4003
Windischgrätz	w4004
<g/>
.
</p>
<p id="p71">
Maria	w4006
Theresia	w4007
Gräfin	w4008
von	w4009
Götzen	w4010
<g/>
/
geborne	w4012
Gräfin	w4013
von	w4014
Fünfkirchen	w4015
<g/>
.
</p>
<p id="p72">
Maria	w4017
Josepha	w4018
Gräfin	w4019
von	w4020
Naidasti	w4021
<g/>
,
geborne	w4023
Gräfin	w4024
von	w4025
Trautmanstorf	w4026
<g/>
.
</p>
<p id="p73">
Josepha	w4028
Fräule	w4029
Gräfin	w4030
von	w4031
Brandeis	w4032
<g/>
/
Kais	w4034
<g/>
.
Hof HofDame	w4036
<g/>
=
Dame	w4038
<g/>
.
</p>
<p id="p74">
Maria	w4040
Catharina	w4041
Gräfin	w4042
von	w4043
Gelhorn	w4044
<g/>
/
geborne	w4046
Freyin	w4047
Sakin	w4048
<g/>
.
</p>
<p id="p75">
Bradamante	w4050
Marchesin	w4051
von	w4052
Gattinara	w4053
<g/>
,
geborne	w4055
Grä=fin	w4056
<g/>
=
Rasini	w4058
<g/>
.
</p>
<p id="p76">
Francisca	w4060
Fürstin	w4061
von	w4062
Auersperg	w4063
<g/>
/
geborne	w4065
Gräfin	w4066
von	w4067
Trautson	w4068
<g/>
.
</p>
<p id="p77">
Maria	w4070
Catharina	w4071
Gräfin	w4072
Gallerin	w4073
<g/>
/
geborne	w4075
Freyin	w4076
Gloyach	w4077
<g/>
.
</p>
<p id="p78">
Maria	w4079
Josepha	w4080
Marchesin	w4081
Barisoni	w4082
<g/>
,
geborne	w4084
Gräfin	w4085
von	w4086
Strasoldo	w4087
<g/>
.
</p>
<p id="p79">
Philippina	w4089
Gräfin	w4090
von	w4091
Braun	w4092
<g/>
/
geborne	w4094
Gräfin	w4095
von	w4096
Martiniz	w4097
<g/>
.
</p>
<p id="p80">
Barbara	w4099
Gräfin	w4100
von	w4101
Kollowrat	w4102
<g/>
/
geb	w4104
<g/>
.
Gräfin	w4106
v	w4107
<g/>
.
Micsna	w4109
<g/>
.
</p>
<p id="p81">
Cornelia	w4111
von	w4112
Amoroso	w4113
Marchesin	w4114
von	w4115
Afflitto	w4116
<g/>
,
gebor=ne	w4118
<g/>
=
Fürstin	w4120
von	w4121
Scanno	w4122
<g/>
.
</p>
<p id="p82">
Hingegen	w4124
seynd	w4125
vom	w4126
3	w4127
<g/>
.
May	w4129
bis	w4130
14	w4131
<g/>
.
Se=ptember	w4133
<g/>
=
lauffenden	w4135
Jahrs	w4136
folgende	w4137
Hoch	w4138
<g/>
=
Adeliche	w4140
Stern	w4141
<g/>
=
Creutz	w4143
<g/>
=
Ordens	w4145
<g/>
=
Frauen	w4147
in	w4148
GOtt	w4149
selig	w4150
entschlaffen	w4151
<g/>
.
</p>
<p id="p83">
Ludmilla	w4153
Gräfin	w4154
von	w4155
Herberstein	w4156
<g/>
/
zu	w4158
Wien	w4159
den	w4160
2	w4161
<g/>
.
May	w4163
1726	w4164
<g/>
.
</p>
<p id="p84">
Charlotta	w4166
Gräfin	w4167
von	w4168
Tattenbach	w4169
<g/>
/
geborne	w4171
Gräfin	w4172
von	w4173
Stirheim	w4174
<g/>
/
zu	w4176
München	w4177
<g/>
.
</p>
<p id="p85">
Maria	w4179
Josepha	w4180
Gräfin	w4181
Königlin	w4182
<g/>
/
geborne	w4184
Gräfin	w4185
Tscher=ninin	w4186
<g/>
=
<g/>
/
zu	w4189
Jnsbrugg	w4190
<g/>
.
</p>
<p id="p86">
Maria	w4192
Margaretha	w4193
Gräfin	w4194
Palfin	w4195
<g/>
/
geborne	w4197
Herrin	w4198
von	w4199
Stubenberg	w4200
<g/>
/
zu	w4202
Wien	w4203
den	w4204
7	w4205
<g/>
.
May	w4207
<g/>
.
</p>
<p id="p87">
Magdalena	w4209
Victoria	w4210
Freyin	w4211
von	w4212
Firmian	w4213
<g/>
,
geborne	w4215
Grä=fin	w4216
<g/>
=
von	w4218
Thun	w4219
<g/>
/
zu	w4221
Verona	w4222
den	w4223
7	w4224
<g/>
.
April	w4226
<g/>
.
</p>
<p id="p88">
Paula	w4228
Gräfin	w4229
Simonetta	w4230
von	w4231
Sanvitali	w4232
<g/>
,
zu	w4234
Parma	w4235
den	w4236
12	w4237
<g/>
.
May	w4239
<g/>
.
</p>
<p id="p89">
Josepha	w4241
Gräfin	w4242
Brennerin	w4243
<g/>
/
geborne	w4245
Gräfin	w4246
v	w4247
<g/>
.
Khien=burg	w4249
<g/>
=
<g/>
/
zu	w4252
Wien	w4253
den	w4254
12	w4255
<g/>
.
Junii	w4257
<g/>
.
</p>
<p id="p90">
Anna	w4259
Catharina	w4260
Gräfin	w4261
von	w4262
Zintzendorf	w4263
<g/>
/
geb	w4265
<g/>
.
Freyin	w4267
von	w4268
Fürst	w4269
<g/>
/
zu	w4271
Wasserburg	w4272
den	w4273
8	w4274
<g/>
.
Augusti	w4276
<g/>
.
</p>
<p id="p91">
Maria	w4278
Magdalena	w4279
Fräule	w4280
Gräfin	w4281
Fuggerin	w4282
<g/>
.
</p>
<p id="p92">
Maria	w4284
Victoria	w4285
Gräfin	w4286
von	w4287
Veterani	w4288
<g/>
,
geborne	w4290
Marche-sin	w4291
<g/>
-
von	w4293
Triulz	w4294
<g/>
,
den	w4296
22	w4297
<g/>
.
Augusti	w4299
<g/>
.
</p>
<p id="p93">
Laura	w4301
Marchesin	w4302
Pepoli	w4303
<g/>
,
zu	w4305
Bologna	w4306
<g/>
.
</p>
<p id="p94">
Isabella	w4308
Grafin	w4309
zu	w4310
Zeil	w4311
<g/>
/
geborne	w4313
Gräfin	w4314
v	w4315
<g/>
.
Montfort	w4317
<g/>
.
</p>
<p id="p95">
Sonntag	w4319
<g/>
/
den	w4321
15	w4322
<g/>
.
Dito	w4324
wurde	w4325
alhier	w4326
das	w4327
jährliche	w4328
Dank	w4329
<g/>
=
Fest	w4331
<g/>
/
wegen	w4333
des	w4334
glüklichen	w4335
Entsatzes	w4336
dieser	w4337
Kaiserl	w4338
<g/>
.
Residentz	w4340
<g/>
=
Stadt	w4342
Wien	w4343
von	w4344
der	w4345
letzten	w4346
Anno	w4347
1683	w4348
<g/>
.
bey	w4350
die	w4351
300000	w4352
<g/>
.
Mann	w4354
starken	w4355
Türkischen	w4356
Belage=rung	w4357
<g/>
=
<g/>
/
mit	w4360
einer	w4361
vor	w4362
<g/>
=
mittägigen	w4364
Procession	w4365
von	w4366
der	w4367
Kaiserl	w4368
<g/>
.
Hof	w4370
<g/>
=
Kirchen	w4372
deren	w4373
WW	w4374
<g/>
.
EE	w4376
<g/>
.
PP	w4378
<g/>
.
Augustiner	w4380
Barfüssern	w4381
nach	w4382
St	w4383
<g/>
.
Ste=phans	w4385
<g/>
=
<g/>
=
Metropolitan	w4388
<g/>
-
Kirchen	w4390
<g/>
/
und	w4392
einer	w4393
Dank	w4394
<g/>
=
und	w4396
Ehren	w4397
<g/>
=
Predig	w4399
<g/>
/
welche	w4401
der	w4402
ordi-nari	w4403
<g/>
-
Metropolitan	w4405
Prediger	w4406
<g/>
.
A	w4408
<g/>
.
R	w4410
<g/>
.
S	w4412
<g/>
.
Franci-scus	w4414
<g/>
-
Peickard	w4416
<g/>
.
Soc	w4418
<g/>
.
Jesu	w4420
<g/>
,
des	w4422
sodann	w4423
mit	w4424
dem	w4425
Am Ambrosianischen	w4426
<g/>
-
</p>
<p id="p96">
brosianischen	w4430
Lob	w4431
<g/>
=
Gesang	w4433
<g/>
/
und	w4435
hohen	w4436
Amt	w4437
<g/>
/
welches	w4439
Jhre	w4440
Hochfürstl	w4441
<g/>
.
Gnaden	w4443
Herr	w4444
Sig=mund	w4445
<g/>
=
<g/>
/
des	w4448
Heil	w4449
<g/>
.
Röm	w4451
<g/>
.
Reichs	w4453
Fürst	w4454
<g/>
/
und	w4456
Ertz	w4457
<g/>
=
Bischof	w4459
zu	w4460
Wien	w4461
<g/>
/
Graf	w4463
von	w4464
Kollo=nitsch	w4465
<g/>
=
<g/>
/
ꝛc	w4468
<g/>
.
gehalten	w4470
<g/>
/
unter	w4472
einer	w4473
herrlichen	w4474
Music	w4475
<g/>
,
wie	w4477
auch	w4478
Trompeten	w4479
<g/>
=
und	w4481
Pauken	w4482
<g/>
=
Schall	w4484
<g/>
/
nicht	w4486
weniger	w4487
dreymaliger	w4488
Lösung	w4489
des	w4490
Gewehrs	w4491
von	w4492
der	w4493
auf	w4494
dem	w4495
St	w4496
<g/>
.
Ste=phans	w4498
<g/>
=
<g/>
=
Freythof	w4501
gestandenen	w4502
Kaiserl	w4503
<g/>
.
Stadt	w4505
<g/>
=
Guardi	w4507
<g/>
/
und	w4509
aller	w4510
Stuken	w4511
rings	w4512
um	w4513
der	w4514
hie=sigen	w4515
<g/>
=
Kaiserl	w4517
<g/>
.
Residentz	w4519
<g/>
=
Stadt	w4521
begangen	w4522
<g/>
:
welcher	w4524
Procession	w4525
so	w4526
wol	w4527
als	w4528
der	w4529
Predig	w4530
<g/>
/
und	w4532
dem	w4533
Hohen	w4534
<g/>
=
Amt	w4536
höchst	w4537
<g/>
=
gedachte	w4539
beede	w4540
Regierende	w4541
Kaiserliche	w4542
Majestäten	w4543
<g/>
/
Dero	w4545
Durchl	w4546
<g/>
.
Ertz	w4548
<g/>
=
Hertzogin	w4550
<g/>
/
und	w4552
Infantin	w4553
Toch=ter	w4554
<g/>
=
Maria	w4556
Theresia	w4557
<g/>
,
und	w4559
die	w4560
Durchl	w4561
<g/>
.
Leo=poldinische	w4563
<g/>
=
Ertz	w4565
<g/>
=
Hertzogin	w4567
Maria	w4568
Magdale-na	w4569
<g/>
-
<g/>
,
in	w4572
Begleitung	w4573
obbenannten	w4574
Päpstlichen	w4575
Herrn	w4576
Nuntii	w4577
<g/>
,
und	w4579
des	w4580
Venetianisch	w4581
<g/>
.
Herrn	w4583
Bottschafters	w4584
Cav	w4585
<g/>
.
Andrea	w4587
Cornaro	w4588
<g/>
,
deren	w4590
Kaiserl	w4591
<g/>
.
Herren	w4593
Ministern	w4594
<g/>
/
Cavalieren	w4596
<g/>
/
und	w4598
Damen	w4599
mit	w4600
gröster	w4601
Auferbaulichteit	w4602
beyge=wohnet	w4603
<g/>
=
haben	w4605
<g/>
.
</p>
<p id="p97">
Montag	w4607
<g/>
/
den	w4609
16	w4610
<g/>
.
Dito	w4612
<g/>
/
belustigte	w4614
Sich	w4615
Jhre	w4616
Kaiserl	w4617
<g/>
.
Königl	w4619
<g/>
.
Cathol	w4621
<g/>
.
Majestät	w4623
mit	w4624
Hirschen	w4625
<g/>
=
Schiessen	w4627
<g/>
.
</p>
<p id="p98">
Eodem	w4629
wurde	w4630
in	w4631
Höchst	w4632
<g/>
=
gedachte	w4634
Jhrer	w4635
Majestät	w4636
der	w4637
Verwittibten	w4638
Kaiserin	w4639
Hof	w4640
<g/>
=
Capelle	w4642
für	w4643
die	w4644
zu	w4645
Bologna	w4646
in	w4647
GOtt	w4648
selig	w4649
entschlaffene	w4650
Hoch	w4651
<g/>
=
Adeliche	w4653
Stern	w4654
<g/>
=
Creutz	w4656
<g/>
=
Ordens	w4658
<g/>
=
Dame	w4660
<g/>
(
Tit	w4662
<g/>
.
<g/>
)
Frau	w4665
Laura	w4666
Marche-sin	w4667
<g/>
-
Pepoli	w4669
<g/>
,
das	w4671
gewöhnliche	w4672
Seelen	w4673
Amt	w4674
gehalten	w4675
<g/>
.
</p>
<p id="p99">
Von	w4677
Ofen	w4678
wird	w4679
berichtet	w4680
<g/>
/
wie	w4682
daß	w4683
ver=wichenen	w4684
<g/>
=
Montag	w4686
<g/>
/
als	w4688
den	w4689
2	w4690
<g/>
.
September	w4692
<g/>
/
wegen	w4694
glüklicher	w4695
Eroberung	w4696
dasiger	w4697
Königl	w4698
<g/>
.
Haupt	w4700
<g/>
=
und	w4702
Residentz	w4703
<g/>
=
Stadt	w4705
in	w4706
Hungarn	w4707
<g/>
/
aus	w4709
denen	w4710
Händen	w4711
des	w4712
Erb	w4713
<g/>
=
Feindes	w4715
Christ=lichen	w4716
<g/>
=
Nahmens	w4718
<g/>
/
welches	w4720
nunmehro	w4721
das	w4722
40ste	w4723
Jahr	w4724
von	w4725
Anno	w4726
1686	w4727
zu	w4728
End	w4729
lauffet	w4730
<g/>
/
die	w4732
gewöhnlich	w4733
<g/>
/
das	w4735
jährliche	w4736
Te	w4737
Deum	w4738
Lau-damus	w4739
<g/>
-
unter	w4741
Abfeurung	w4742
des	w4743
grossen	w4744
und	w4745
kleinen	w4746
Gewehrs	w4747
von	w4748
der	w4749
aldasigen	w4750
Besa=tzung	w4751
<g/>
=
gehalten	w4753
worden	w4754
<g/>
;
dabey	w4756
die	w4757
völlige	w4758
Besatzung	w4759
in	w4760
schönster	w4761
Parada	w4762
<g/>
,
nebst	w4764
Seiner	w4765
Excellentz	w4766
des	w4767
aldasigen	w4768
commandirenden	w4769
General	w4770
und	w4771
Commendanten	w4772
<g/>
(
Tit	w4774
<g/>
.
<g/>
)
Herrn	w4777
General	w4778
<g/>
=
Feld	w4780
<g/>
=
Zeug	w4782
<g/>
=
Meistern	w4784
Grafen	w4785
von	w4786
und	w4787
zu	w4788
Daun	w4789
<g/>
/
nebst	w4791
allen	w4792
anwesenden	w4793
Her=ren	w4794
<g/>
=
Officieren	w4796
<g/>
/
in	w4798
schönster	w4799
Gala	w4800
erschienen	w4801
<g/>
/
und	w4803
die	w4804
gewöhnliche	w4805
Procession	w4806
mit	w4807
dem	w4808
Hochwürdigsten	w4809
Gut	w4810
<g/>
/
aus	w4812
derer	w4813
WW	w4814
<g/>
.
EE	w4816
<g/>
.
</p>
<p id="p100">
PP	w4818
<g/>
.
Jesuitern	w4820
Pfarr	w4821
<g/>
=
Kirchen	w4823
durch	w4824
die	w4825
gan=tze	w4826
<g/>
=
Festung	w4828
und	w4829
Stadt	w4830
<g/>
/
bis	w4832
auf	w4833
die	w4834
Kaiserl	w4835
<g/>
.
Bresche	w4837
begleitet	w4838
<g/>
/
worbey	w4840
auch	w4841
die	w4842
aldasige	w4843
Burgerschaft	w4844
nebst	w4845
allen	w4846
in	w4847
zahlreicher	w4848
Men=ge	w4849
<g/>
=
so	w4851
wol	w4852
Teutsche	w4853
Hungarische	w4854
<g/>
/
als	w4856
Rätzi=sche	w4857
<g/>
=
Hand	w4859
<g/>
=
Werks	w4861
<g/>
=
Zünften	w4863
<g/>
/
mit	w4865
ihren	w4866
schö=nen	w4867
<g/>
=
Fahnen	w4869
in	w4870
vielen	w4871
tausenden	w4872
Personen	w4873
erschienen	w4874
<g/>
/
und	w4876
die	w4877
Danksagungs	w4878
<g/>
=
Predig	w4880
<g/>
/
nebst	w4882
dem	w4883
Hoch	w4884
<g/>
=
Amt	w4886
mit	w4887
angehöret	w4888
<g/>
;
wor=bey	w4890
<g/>
=
dieses	w4892
zu	w4893
merken	w4894
<g/>
/
daß	w4896
anheuer	w4897
aberma=len	w4898
<g/>
=
<g/>
/
gleichwie	w4901
alle	w4902
Jahr	w4903
<g/>
/
von	w4905
dieser	w4906
so	w4907
glor=reichen	w4908
<g/>
=
Eroberung	w4910
bey	w4911
dieser	w4912
Festivität	w4913
in	w4914
wehrender	w4915
Predig	w4916
die	w4917
Adler	w4918
in	w4919
der	w4920
Luft	w4921
<g/>
/
ober	w4923
der	w4924
Stadt	w4925
und	w4926
Festung	w4927
sich	w4928
haben	w4929
sehen	w4930
las=sen	w4931
<g/>
=
<g/>
;
nach	w4934
geendigter	w4935
geistlichen	w4936
Solenni- tät	w4937
<g/>
-
<g/>
/
haben	w4940
Se	w4941
<g/>
.
Excellentz	w4943
der	w4944
Herr	w4945
General	w4946
<g/>
=
Feld	w4948
<g/>
=
Zeug	w4950
<g/>
=
Meister	w4952
und	w4953
Commendant	w4954
in	w4955
Ofen	w4956
<g/>
/
die	w4958
sammentliche	w4959
Herren	w4960
Officiers	w4961
in	w4962
Zahl	w4963
<g/>
=
reicher	w4965
Menge	w4966
auf	w4967
das	w4968
herrlichste	w4969
tra- ctiret	w4970
<g/>
-
<g/>
/
und	w4973
also	w4974
diesen	w4975
so	w4976
glorreichen	w4977
<g/>
/
und	w4979
der	w4980
gantzen	w4981
Christenheit	w4982
<g/>
/
wegen	w4984
dieser	w4985
glük=lichen	w4986
<g/>
=
Eroberung	w4988
höchst	w4989
<g/>
=
glückseliger	w4991
Jahrs	w4992
<g/>
=
Tag	w4994
<g/>
/
in	w4996
Freuden	w4997
celebriret	w4998
<g/>
/
und	w5000
abermal	w5001
geschlossen	w5002
worden	w5003
<g/>
.
</p>
<p id="p101">
Dienstag	w5005
<g/>
/
den	w5007
17	w5008
<g/>
.
Dito	w5010
<g/>
/
haben	w5012
beede	w5013
Re=gierende	w5014
<g/>
=
Kaiserl	w5016
<g/>
.
Majestäten	w5018
Sich	w5019
mit	w5020
Hir=schen	w5021
<g/>
=
<g/>
=
Pürsten	w5024
belustiget	w5025
<g/>
.
</p>
<p id="p102">
Ansonsten	w5027
seynd	w5028
dieser	w5029
Tagen	w5030
über	w5031
20	w5032
<g/>
.
Tür=ken	w5034
<g/>
=
von	w5036
dem	w5037
Gefolg	w5038
des	w5039
alhiesigen	w5040
Türki=schen	w5041
<g/>
=
Omer	w5043
<g/>
-
Aga	w5045
zu	w5046
Wasser	w5047
nacher	w5048
Hungarn	w5049
abgefahren	w5050
<g/>
/
um	w5052
sodann	w5053
ferner	w5054
nacher	w5055
Hau=se	w5056
<g/>
=
zuruk	w5058
zukehren	w5059
<g/>
/
und	w5061
ist	w5062
hierdurch	w5063
obgedach=tes	w5064
<g/>
=
Gefolg	w5066
um	w5067
ein	w5068
merkliches	w5069
verringert	w5070
worden	w5071
<g/>
.
</p>
<head id="hl18">
NB	w5073
<g/>
.
</head>
<p id="p103">
Künftigen	w5075
Montag	w5076
<g/>
/
als	w5078
den	w5079
23	w5080
<g/>
.
dieses	w5082
<g/>
/
werden	w5084
bey	w5085
der	w5086
jüngsthin	w5087
schon	w5088
errinnerten	w5089
Verlassenschaft	w5090
in	w5091
dem	w5092
Strattmanis	w5093
Haus	w5094
<g/>
/
diesen	w5096
denen	w5097
Zimmern	w5098
befindliche	w5099
Tappeze=reyen	w5100
<g/>
=
<g/>
/
Sessel	w5103
<g/>
/
Portieren	w5105
<g/>
/
Fenste	w5107
<g/>
=
Für	w5109
<g/>
=
Heng	w5111
<g/>
/
und	w5113
Spiegel	w5114
<g/>
/
vor	w5116
<g/>
=
Mittag	w5118
von	w5119
9	w5120
bis	w5121
11	w5122
Uhr	w5123
<g/>
/
nach	w5125
<g/>
=
Mittag	w5127
von	w5128
3	w5129
bis	w5130
5	w5131
<g/>
.
Uhr	w5133
<g/>
/
dem	w5135
plus	w5136
offerenti	w5137
verkauffet	w5138
werden	w5139
<g/>
.
</p>
<head id="hl19">
NB	w5141
<g/>
.
</head>
<p id="p104">
Es	w5143
ist	w5144
den	w5145
12	w5146
<g/>
,
dieses	w5148
dem	w5149
Thomas	w5150
Hueber	w5151
<g/>
/
Roß	w5153
<g/>
=
Ausleiher	w5155
in	w5156
der	w5157
Leopoldstadt	w5158
<g/>
/
im	w5160
Baron	w5161
Wallhornischen	w5162
Haus	w5163
an	w5164
Wasser	w5165
wohnhaft	w5166
<g/>
/
ein	w5168
Kerl	w5169
bey	w5170
20	w5171
<g/>
.
Jahren	w5173
alt	w5174
<g/>
/
seiner	w5176
Profession	w5177
ein	w5178
Koch	w5179
<g/>
/
mit	w5181
einem	w5182
braun braunTüchern	w5183
<g/>
=
</p>
<p id="p105">
Tüchern	w5186
Rok	w5187
<g/>
/
und	w5189
grauen	w5190
Camisol	w5191
beklei=det	w5192
<g/>
=
<g/>
/
in	w5195
einem	w5196
weissen	w5197
Paröklein	w5198
mit	w5199
einem	w5200
Zopf	w5201
<g/>
/
deme	w5203
er	w5204
ein	w5205
Hungarisch	w5206
5	w5207
<g/>
.
jähriges	w5209
Blau	w5210
<g/>
=
Schimmel	w5212
<g/>
/
im	w5214
rechten	w5215
Ohr	w5216
<g/>
=
wäschel	w5218
ein	w5219
Schnitt	w5220
<g/>
/
und	w5222
mitten	w5223
auf	w5224
dem	w5225
Rucken	w5226
ei=nen	w5227
<g/>
=
Druk	w5229
<g/>
/
samt	w5231
einem	w5232
schwartzen	w5233
Sattel	w5234
<g/>
/
und	w5236
grünen	w5237
Valldrappen	w5238
mit	w5239
gelben	w5240
Borden	w5241
bordirt	w5242
<g/>
/
ausgeliehen	w5244
<g/>
/
durchgegangen	w5246
<g/>
;
wird	w5248
dahero	w5249
männiglich	w5250
dienst	w5251
<g/>
=
freundlich	w5253
ersu=chet	w5254
<g/>
=
<g/>
/
so	w5257
dieser	w5258
solte	w5259
etwann	w5260
in	w5261
