<doc id="wr_1759-12-12" attrs="word" year="1759" month="12" day="12" corpus="2">
<head id="h2_d405e4228">
Lahn=strom	w4_d405e4231
Herrn	w246_d405e11717
Boltschafters	w248_d405e11721
dem	w250_d405e11724
von	w252_d405e11727
Sr.	w254_d405e11730
Hoch	w256_d405e11733
fürstl.	w259_d405e11738
Gnaden	w261_d405e11742
dem	w263_d405e11745
alhiesigen	w265_d405e11748
Herrn	w267_d405e11751
Erz	w269_d405e11755
bischoffen	w272_d405e11759
gehaltenen	w274_d405e11763
feyerlichen	w276_d405e11766
Toison	w278_d405e11769
hoch=amt	w281_d405e11774
beygewohnet.	w283_d405e11778
</p>
<p id="p6_d405e11781">
Während	w4_d405e11784
vorbesagten	w6_d405e11788
Hoch=amt	w8_d405e11791
haben	w10_d405e11794
der	w13_d405e11799
den	w15_d405e11803
30.	w17_d405e11806
erst=abgeloffenen	w19_d405e11809
Monats	w21_d405e11812
No	w23_d405e11815
vembris	w26_d405e11820
von	w28_d405e11824
der	w30_d405e11827
alhiesig=Uralt	w32_d405e11830
und	w34_d405e11833
weitbe	w36_d405e11837
rühmten	w39_d405e11841
Universität	w41_d405e11845
neu=erwählte	w43_d405e11848
Herr	w45_d405e11851
Rector	w48_d405e11856
(Titl.)	w50_d405e11860
Perillustris,	w52_d405e11863
ac	w54_d405e11866
Magnificus	w56_d405e11869
Dominus	w59_d405e11874
Ignatius	w61_d405e11878
Franciscus	w63_d405e11881
Xaverius	w65_d405e11884
Jo-	w67_d405e11887
sephus	w70_d405e11892
Stökl	w72_d405e11896
U.	w74_d405e11899
J.	w76_d405e11902
Doctor,	w78_d405e11905
Cæsareæ	w80_d405e11909
Re-	w82_d405e11912
giæque	w85_d405e11916
Majestatis	w87_d405e11920
inferioris	w89_d405e11923
Austriæ	w91_d405e11927
Regi-	w93_d405e11930
minis	w96_d405e11934
Consiliarius	w98_d405e11938
actualis,	w100_d405e11941
&	w102_d405e11945
Judicii	w104_d405e11948
Dele-	w106_d405e11951
gati	w109_d405e11955
mixti	w111_d405e11959
in	w113_d405e11963
Militaribus	w115_d405e11966
Asiessor;	w117_d405e11969
dann	w119_d405e11972
die	w122_d405e11976
gleichfalls	w124_d405e11981
neu=erwählte	w126_d405e11984
vier	w128_d405e11987
Herren	w130_d405e11990
Decani	w133_d405e11994
deren	w135_d405e11999
Facultäten,	w137_d405e12002
benanntlichen	w139_d405e12005
(Titls	w141_d405e12008
Admodum	w144_d405e12012
Reverendus	w146_d405e12017
Religiosus,	w148_d405e12020
ac	w150_d405e12023
Cla	w152_d405e12026
rissimus	w155_d405e12030
Dominus	w157_d405e12035
Ferdinandus	w159_d405e12038
Carolus	w161_d405e12041
Rist	w163_d405e12044
Sacri,	w166_d405e12048
&	w168_d405e12053
Apostolici	w170_d405e12056
Ordinis	w172_d405e12059
Canonicorum	w174_d405e12062
Rarariunn	w177_d405e12066
L.aderanensine	w179_d405e12071
Dan	w181_d405e12074
Se	w183_d405e12077
Laurde	w185_d405e12080
</p>
<list id="l10_d405e12085">
in	w5_d405e12088
Celeberrima,	w7_d405e12092
&	w9_d405e12095
Antiqui	w11_d405e12098
Sma	w13_d405e12101
Collegiata	w15_d405e12105
Ecclesia	w18_d405e12109
ad	w20_d405e12113
Divam	w22_d405e12116
Virginem	w24_d405e12119
Claustro-Neo-	w26_d405e12123
.2	w32_d405e12130
.	w35_d405e12135
r	w38_d405e12141
40.ncologiæ	w44_d405e12149
Doctor,	w46_d405e12153
und	w48_d405e12157
der	w50_d405e12160
Zeit	w52_d405e12163
einer	w54_d405e12166
Löblichen	w57_d405e12170
Theologischen	w59_d405e12175
Facultät	w61_d405e12178
Decanus	w63_d405e12181
Spoctabilis,	w66_d405e12185
dann	w68_d405e12189
(Titl.)	w70_d405e12193
Herr	w72_d405e12196
Philipp	w74_d405e12199
Jo	w76_d405e12202
„seph	w79_d405e12206
von	w81_d405e12211
Fillnbaum	w83_d405e12214
U.	w85_d405e12217
J.	w87_d405e12220
Doctor,	w89_d405e12223
Aulæ	w91_d405e12226
Judiciorumque	w94_d405e12231
Advocatus,	w96_d405e12235
Eminentissimi	w98_d405e12238
ac	w101_d405e12242
Celsissimi.	w103_d405e12246
S.	w105_d405e12250
R.	w107_d405e12253
E.	w109_d405e12256
Cardinalis	w111_d405e12259
S.	w113_d405e12262
R.	w115_d405e12265
J.	w117_d405e12269
Principis,	w120_d405e12273
ac	w122_d405e12277
Exempti	w124_d405e12280
Episcopi	w126_d405e12283
Passaviemsis	w128_d405e12287
Consiliariiis	w131_d405e12291
Consistorialis,	w133_d405e12295
und	w135_d405e12298
der	w137_d405e12301
Zeit	w139_d405e12305
einer	w141_d405e12308
Löbl.	w144_d405e12312
Juridischen	w146_d405e12316
Facultät	w148_d405e12319
Decanus	w150_d405e12323
Specta-	w152_d405e12326
bilis;	w155_d405e12330
wie	w157_d405e12334
auch	w159_d405e12337
(Titl.)	w161_d405e12341
Herr	w163_d405e12344
Johann	w165_d405e12347
Maximilian	w168_d405e12351
Joseph	w170_d405e12355
Dietmann	w172_d405e12359
AA.	w174_d405e12362
LL.	w176_d405e12365
Philosophiæ,	w179_d405e12369
&	w181_d405e12373
Saluberrimæ	w183_d405e12377
Medicinæ	w185_d405e12380
Doctor,	w188_d405e12384
und	w190_d405e12388
der	w192_d405e12391
Zeit	w194_d405e12395
einer	w196_d405e12398
Löbl.	w198_d405e12401
Medicini	w200_d405e12404
schen	w203_d405e12408
Facultät	w205_d405e12413
in	w207_d405e12416
2dum	w209_d405e12419
Annum	w211_d405e12422
Confirma-	w213_d405e12425
tas	w216_d405e12430
Decanus	w218_d405e12434
Spectabilis;	w220_d405e12437
desgleichen	w222_d405e12440
(Titl.)	w224_d405e12443
Herr	w227_d405e12448
Josephus	w229_d405e12452
Christophorus	w231_d405e12455
Nobilis	w233_d405e12458
de	w235_d405e12461
rn	w238_d405e12466
AA.	w240_d405e12470
LL.	w242_d405e12473
Philosophie,	w244_d405e12476
&	w246_d405e12479
J.	w248_d405e12482
U.	w250_d405e12486
Doctor,	w252_d405e12489
und	w255_d405e12493
der	w257_d405e12497
Zeit	w259_d405e12500
seiner	w261_d405e12504
Löbl.	w263_d405e12507
Philosophischen	w265_d405e12510
Facultät	w268_d405e12514
Decanus	w270_d405e12518
Spectabilis	w272_d405e12522
den	w274_d405e12525
gewöhnlich	w276_d405e12528
feyerlichen	w279_d405e12532
Eid	w281_d405e12536
von	w283_d405e12540
der	w285_d405e12543
Vertheidigung	w287_d405e12546
der	w289_d405e12549
unbefleckten	w292_d405e12553
Empfängnus	w294_d405e12558
Maria,	w296_d405e12561
offent	w298_d405e12564
lich	w301_d405e12568
abgeleget.	w303_d405e12572
</list>
<p id="p12_d405e12577">
Zu	w4_d405e12580
Mittag	w6_d405e12584
haben	w8_d405e12587
beyde	w10_d405e12590
Kaiserl.	w12_d405e12593
Maje	w14_d405e12597
stäten	w17_d405e12601
mit	w19_d405e12605
Jhren	w21_d405e12608
Königl.	w23_d405e12611
Hoheiten	w25_d405e12615
denen	w27_d405e12618
Durchl.	w30_d405e12622
Erz=herzogen	w32_d405e12626
Joseph,	w34_d405e12629
und	w36_d405e12633
Leo	w38_d405e12636
pold,	w41_d405e12640
wie	w43_d405e12644
auch	w45_d405e12647
denen	w47_d405e12651
Durchl.	w49_d405e12654
Erzherzo	w51_d405e12657
ginnen	w54_d405e12661
Maria	w56_d405e12665
Anna,	w58_d405e12669
Amalia,	w60_d405e12672
und	w62_d405e12675
Jo	w64_d405e12678
haung	w67_d405e12682
unter	w69_d405e12687
der	w71_d405e12690
gewöhnlichen	w73_d405e12693
Aufwartung	w75_d405e12696
des	w78_d405e12700
Venetianischen	w80_d405e12705
Herrn	w82_d405e12708
Bottschafters	w84_d405e12711
und	w87_d405e12715
einer	w89_d405e12719
vortreflichen	w91_d405e12723
Cammer=musique	w93_d405e12726
offentlich	w96_d405e12730
gespeiset.	w98_d405e12734
Montag	w101_d405e12738
den	w103_d405e12743
10.	w105_d405e12746
dieses	w107_d405e12749
seynd	w109_d405e12752
für	w111_d405e12755
nach	w113_d405e12758
folgende	w116_d405e12763
Hoch=adeliche	w118_d405e12767
Sternkreutzor	w120_d405e12770
dens=damen,	w123_d405e12774
benanntlich:	w125_d405e12778
für	w127_d405e12782
die	w129_d405e12785
(Titl.)	w131_d405e12788
Frau	w134_d405e12792
Maria	w136_d405e12796
Elisabetha	w138_d405e12800
Freyin	w140_d405e12803
von	w142_d405e12806
Kal	w144_d405e12809
krauth,	w147_d405e12813
Geborne	w149_d405e12818
Schmerowskyn	w151_d405e12821
von	w153_d405e12824
Litt	w155_d405e12827
lowitz,	w158_d405e12831
so	w160_d405e12836
zu	w162_d405e12839
Kammendorf	w164_d405e12842
in	w166_d405e12845
Schiesten	w168_d405e12848
in	w171_d405e12853
GOtt	w173_d405e12857
fielig	w175_d405e12860
verschieden;	w177_d405e12863
dann	w179_d405e12866
für	w181_d405e12869
(Tul.)	w183_d405e12873
Fran	w186_d405e12877
Hellag	w188_d405e12881
Jnditha	w190_d405e12884
Freyin	w192_d405e12887
Bordogna	w194_d405e12891
von	w196_d405e12894
.	w202_d405e12901
</p>
<list id="l14_d405e12905">
Taßis,	w5_d405e12908
Gebornen	w7_d405e12912
Freyin	w9_d405e12915
Crosina	w11_d405e12918
von	w13_d405e12921
Man	w15_d405e12925
burg,	w18_d405e12929
so	w20_d405e12933
zu	w22_d405e12936
Trient	w24_d405e12939
den	w26_d405e12943
21.	w28_d405e12946
verflossenen	w30_d405e12949
1.Phuslbphes	w33_d405e12953
&	w35_d405e12957
Momnats	w37_d405e12961
Rövembris	w39_d405e12964
das	w41_d405e12967
Zeitliche	w43_d405e12970
mit	w45_d405e12973
dem	w47_d405e12976
Ewigen	w50_d405e12981
verwechselt,	w52_d405e12985
in	w54_d405e12988
der	w56_d405e12991
grossen	w58_d405e12994
Hof	w60_d405e12998
capelle	w63_d405e13002
die	w65_d405e13006
Exequien	w67_d405e13009
gehalten	w69_d405e13012
worden.	w71_d405e13016
NB.	w74_d405e13020
Anstatt	w76_d405e13024
den	w78_d405e13027
20.	w80_d405e13030
wie	w82_d405e13034
jüngsthin	w84_d405e13037
ge	w86_d405e13040
</list>
<p id="p16_d405e13044">
meldet	w4_d405e13047
worden,	w6_d405e13051
wird	w8_d405e13054
die	w10_d405e13057
fernere	w12_d405e13060
Ziehung	w14_d405e13064
der	w17_d405e13068
K.	w19_d405e13072
K.	w21_d405e13075
privil.	w23_d405e13078
Lotterie	w25_d405e13082
in	w27_d405e13085
der	w29_d405e13088
K.	w31_d405e13091
K.	w33_d405e13094
Haupt=stadt	w36_d405e13099
Prag	w38_d405e13103
den	w40_d405e13106
22.	w42_d405e13109
dieses	w44_d405e13112
beschehen.	w46_d405e13115
</p>
<list id="l18_d405e13118">
</list>
<head id="h2_d405e13127">
AVERTISSEMENT.	w4_d405e13130
</head>
<p id="p4_d405e13134">
Dem	w4_d405e13137
Publico	w6_d405e13141
wird	w8_d405e13144
hiemit	w10_d405e13147
bekannt	w12_d405e13150
gemacht	w14_d405e13154
daß	w17_d405e13158
in	w19_d405e13162
alhiesig	w21_d405e13165
Kaiserl.	w23_d405e13168
Königl.	w25_d405e13172
Haupt=münz=amt	w27_d405e13175
Scheid=wasser	w30_d405e13179
von	w32_d405e13183
der	w34_d405e13186
besten	w36_d405e13190
Qualität	w38_d405e13193
das	w40_d405e13196
Pfund	w42_d405e13199
zu	w45_d405e13203
39.	w47_d405e13208
kr.	w49_d405e13211
alla	w51_d405e13214
minuta	w53_d405e13217
zu	w55_d405e13220
haben	w57_d405e13223
seye.	w59_d405e13227
Diejenige	w62_d405e13231
aber,	w65_d405e13236
welche	w67_d405e13240
von	w69_d405e13243
diesem	w71_d405e13247
Materiali	w73_d405e13250
etwas	w75_d405e13253
all	w77_d405e13256
in	w79_d405e13259
grosso	w82_d405e13264
an	w84_d405e13268
sich	w86_d405e13271
zu	w88_d405e13274
bringen	w90_d405e13277
gedenken,	w92_d405e13280
haben	w95_d405e13285
sich	w97_d405e13289
dieserwegen	w100_d405e13293
bey	w102_d405e13297
der	w104_d405e13300
Kaiserl.	w106_d405e13304
Königl.	w108_d405e13307
Bergwerks	w110_d405e13310
prodneten=verschleiß=direction	w113_d405e13314
zu	w115_d405e13318
melden.	w117_d405e13322
</p>
<head id="h2_d405e13328">
Lista	w4_d405e13331
deren	w6_d405e13335
Verstorbenen	w8_d405e13338
zu	w10_d405e13341
Wien	w12_d405e13344
in	w15_d405e13349
und	w17_d405e13353
vor	w19_d405e13356
der	w21_d405e13359
Stadt.	w23_d405e13362
Den	w26_d405e13367
6.	w28_d405e13371
Dec.	w30_d405e13374
Jn	w33_d405e13378
der	w35_d405e13382
Stadt.	w37_d405e13386
</head>
<list id="l4_d405e13389">
Der	w5_d405e13392
Hoch=edel=geb.	w7_d405e13396
Hr.	w9_d405e13399
Jos.	w11_d405e13402
Edler	w13_d405e13405
v.	w15_d405e13409
Dornfelb,	w17_d405e13412
des	w20_d405e13416
H.	w22_d405e13420
R.	w24_d405e13423
R.	w26_d405e13427
Rit.	w28_d405e13430
und	w30_d405e13433
Böheimis.	w32_d405e13436
Land=mann,	w34_d405e13439
im	w37_d405e13444
Engelshofenis.	w39_d405e13448
H.	w41_d405e13451
am	w43_d405e13454
Pet.,	w45_d405e13457
alt	w47_d405e13460
54.	w49_d405e13464
J.	w51_d405e13467
Dem	w54_d405e13471
Joh.	w56_d405e13475
Kißling,	w58_d405e13478
Lack,	w60_d405e13482
s.	w62_d405e13485
W.	w64_d405e13488
Adelg,	w66_d405e13491
im	w68_d405e13494
Schif	w70_d405e13497
neris.	w73_d405e13502
H.	w75_d405e13506
in	w77_d405e13509
der	w79_d405e13512
Krugerstr.,	w81_d405e13515
alt	w83_d405e13519
40.	w85_d405e13522
J.	w87_d405e13525
</list>
<head id="h2_d405e13532">
Vor	w4_d405e13535
der	w6_d405e13539
Stadt.	w8_d405e13542
</head>
<list id="l4_d405e13545">
Dem	w5_d405e13548
Jos.	w7_d405e13552
Kohlbauer,	w9_d405e13555
Pfleg.,	w11_d405e13558
s.	w13_d405e13561
K.	w15_d405e13565
Josepha,	w17_d405e13568
in	w19_d405e13571
dem	w21_d405e13574
Chormeisteris.	w24_d405e13578
H.	w26_d405e13583
auf	w28_d405e13586
der	w30_d405e13589
Landstr,	w32_d405e13592
alt	w34_d405e13595
5.	w36_d405e13598
v.	w38_d405e13602
J.	w40_d405e13605
Anna	w43_d405e13609
Verdrusin,	w45_d405e13613
Wittwe,	w47_d405e13616
beym	w49_d405e13620
Pinapfel	w51_d405e13623
auf	w53_d405e13626
der	w55_d405e13629
Landstr.,	w58_d405e13633
alt	w60_d405e13638
52.	w62_d405e13641
J.	w64_d405e13644
Dem	w67_d405e13648
Franz	w69_d405e13652
Scheidl,	w71_d405e13656
Hof=kupfer=wäsch.,	w73_d405e13659
s.	w75_d405e13662
K.	w77_d405e13665
Lam	w79_d405e13668
bert,	w82_d405e13673
beym	w84_d405e13677
Wallfisch	w86_d405e13680
bey	w88_d405e13683
Maria=hülf,	w90_d405e13686
alt	w92_d405e13689
3.	w94_d405e13693
J.	w96_d405e13696
Dem	w99_d405e13700
Franz	w101_d405e13704
Schlögl,	w103_d405e13707
Wacht,	w105_d405e13711
s.	w107_d405e13714
W.	w109_d405e13717
Susan.,	w111_d405e13720
beym	w113_d405e13723
rot.	w116_d405e13728
Rös.	w118_d405e13732
in	w120_d405e13735
der	w122_d405e13738
Leopoldst,	w124_d405e13741
alt	w126_d405e13744
58.	w128_d405e13748
J.	w130_d405e13751
Math.	w133_d405e13755
Krager,	w135_d405e13759
Tag=löhn,	w137_d405e13762
beym	w139_d405e13766
gold.	w141_d405e13769
Adl.	w143_d405e13772
am	w145_d405e13775
Neu	w147_d405e13778
stift,	w150_d405e13783
alt	w152_d405e13787
57.	w154_d405e13790
J.	w156_d405e13793
Wolf	w159_d405e13797
Strassenreiter,	w161_d405e13802
Tag=löhn.,	w163_d405e13805
bey	w165_d405e13808
der	w167_d405e13811
gold.	w169_d405e13814
Rosa	w171_d405e13817
oberm	w174_d405e13822
Neustift,	w176_d405e13826
alt	w178_d405e13829
65.	w180_d405e13832
J.	w182_d405e13835
Jos.	w185_d405e13840
Graf,	w187_d405e13844
Lack,	w189_d405e13847
beyn	w191_d405e13850
3.	w193_d405e13853
gold.	w195_d405e13857
Engeln	w197_d405e13860
im	w199_d405e13863
Lerchf.,	w201_d405e13866
alt	w204_d405e13870
49.	w206_d405e13875
J.	w208_d405e13878
Math.	w211_d405e13882
Pruckmüllner,	w213_d405e13886
Tag=löhn.,	w215_d405e13889
bey	w217_d405e13893
Maria=öttina	w219_d405e13896
am	w222_d405e13900
Himmel=pfort=gr.,	w224_d405e13904
alt	w226_d405e13907
64.	w228_d405e13911
J.	w230_d405e13914
</list>
<head id="h2_d405e13921">
Summa	w4_d405e13924
10.	w6_d405e13928
Person.	w8_d405e13931
darunter	w10_d405e13934
2.	w12_d405e13937
Kind.	w14_d405e13941
Den	w20_d405e13948
7.	w22_d405e13952
Dec.	w24_d405e13955
Jn	w30_d405e13963
der	w32_d405e13967
Stadt.	w34_d405e13970
</head>
<list id="l4_d405e13973">
Die	w5_d405e13976
Wol=ebel=geb.	w7_d405e13980
Fr.	w9_d405e13983
Charlotia	w11_d405e13986
Joanna	w13_d405e13989
verwän	w15_d405e13993
von	w18_d405e13997
Unkrechtsberg,	w20_d405e14001
geb.	w22_d405e14004
v.	w24_d405e14007
Bastenauin,	w26_d405e14011
im	w28_d405e14014
Un	w30_d405e14017
lrechtsbergis.	w33_d405e14021
H.	w35_d405e14025
im	w37_d405e14029
Strauch=gas,	w39_d405e14032
alt	w41_d405e14035
63.	w43_d405e14038
J.	w45_d405e14041
dr	w48_d405e14046
5	w54_d405e14054
</list>
<list id="l8_d405e14061">
.	w5_d405e14064
Theres	w7_d405e14068
Kutstogesia,	w9_d405e14071
Bargenl=Wittere,	w11_d405e14074
im	w13_d405e14077
Huteris.	w16_d405e14082
H.	w18_d405e14086
im	w20_d405e14089
Kraut=gäs.,	w22_d405e14092
alt	w24_d405e14095
72.	w26_d405e14099
J.	w28_d405e14102
Dem	w31_d405e14106
Hrn.	w33_d405e14110
Joh.	w35_d405e14113
Pet.	w37_d405e14117
Neuhauser,	w39_d405e14120
Burgerl.	w41_d405e14123
Hau	w43_d405e14126
dels=m.,	w46_d405e14130
s.	w48_d405e14135
K.	w50_d405e14138
Jacob,	w52_d405e14141
im	w54_d405e14144
Neuberger=hof,	w56_d405e14147
6	w58_d405e14150
v.	w60_d405e14154
J.	w62_d405e14157
Jacob	w65_d405e14161
Stampfer,	w67_d405e14165
Maurer,	w69_d405e14168
im	w71_d405e14172
Himmel=pfort=H.	w73_d405e14175
im	w75_d405e14178
Ball=gäs.,	w78_d405e14182
alt	w80_d405e14186
65.	w82_d405e14190
Dem	w85_d405e14194
Jos.	w87_d405e14198
Schwarz,	w89_d405e14201
Kutsch.,	w91_d405e14204
s.	w93_d405e14208
K.	w95_d405e14211
Magdal.,	w97_d405e14214
beym	w99_d405e14217
gold.	w102_d405e14221
A.	w104_d405e14226
B.	w106_d405e14229
C.	w108_d405e14232
in	w110_d405e14235
der	w112_d405e14238
Himmel=pfort=gas.,	w114_d405e14241
5.	w116_d405e14245
v.	w118_d405e14248
J.	w120_d405e14251
</list>
<head id="h2_d405e14259">
Vor	w4_d405e14262
der	w6_d405e14266
Stadt.	w8_d405e14269
</head>
<list id="l4_d405e14272">
Joh.	w8_d405e14278
Marsch,	w10_d405e14282
Burgerl.	w12_d405e14285
Mahl.,	w14_d405e14289
s.	w16_d405e14292
Ehewirtin	w18_d405e14295
Magdal,	w21_d405e14299
beym	w23_d405e14303
gold.	w25_d405e14307
Pelican	w27_d405e14310
am	w29_d405e14313
Spitalb.	w31_d405e14316
62.	w33_d405e14319
J.	w35_d405e14322
Dem	w38_d405e14327
Franz	w40_d405e14331
Fux,	w42_d405e14334
Burgerl.	w44_d405e14337
Nadl,	w46_d405e14340
s.	w48_d405e14344
K.	w50_d405e14347
Anna,	w52_d405e14350
bey	w54_d405e14353
Sonn	w57_d405e14357
und	w59_d405e14362
Mond	w61_d405e14365
bey	w63_d405e14368
St.	w65_d405e14371
Ulrich,	w67_d405e14374
alt	w69_d405e14377
3.	w71_d405e14381
J.	w73_d405e14384
Dem	w76_d405e14388
Adam	w78_d405e14392
Häusler,	w80_d405e14395
Burgerl.	w82_d405e14399
Fuhr=m.,	w84_d405e14402
s.	w86_d405e14405
S.	w88_d405e14408
Ge	w90_d405e14411
org,	w93_d405e14416
in	w95_d405e14420
s.	w97_d405e14423
H.	w99_d405e14426
in	w101_d405e14429
der	w103_d405e14432
Rossau,	w105_d405e14436
alt	w107_d405e14439
19.	w109_d405e14442
J.	w111_d405e14445
Dem	w114_d405e14449
Joh.	w116_d405e14454
Prestelin,	w118_d405e14457
Burgerl.	w120_d405e14460
Schuh=mach.,	w122_d405e14463
s.	w124_d405e14466
W.	w126_d405e14469
Eva,	w129_d405e14474
beyn	w131_d405e14478
12.	w133_d405e14481
Himmels=zeich.	w135_d405e14484
bey	w137_d405e14487
St.	w139_d405e14491
Ulrich,	w141_d405e14494
alt	w143_d405e14497
62.	w146_d405e14501
J.	w148_d405e14505
Dem	w151_d405e14510
Joh.	w153_d405e14514
Schinack,	w155_d405e14517
Kram.,	w157_d405e14520
s.	w159_d405e14523
K.	w161_d405e14527
Eva,	w163_d405e14530
in	w165_d405e14533
s.	w167_d405e14536
H.	w169_d405e14539
am	w172_d405e14544
Himmel=pfort=gr.,	w174_d405e14548
alt	w176_d405e14551
8.	w178_d405e14554
J.	w180_d405e14557
Barthl.	w183_d405e14562
Kreilinger,	w185_d405e14566
K.	w187_d405e14569
K.	w189_d405e14572
Burg=thor=steh.,	w191_d405e14575
im	w193_d405e14578
bl.	w195_d405e14582
H.	w198_d405e14586
am	w200_d405e14590
Spitalberg,	w202_d405e14593
alt	w204_d405e14596
70.	w206_d405e14600
J.	w208_d405e14603
Dem	w211_d405e14607
Georg	w213_d405e14611
Strohmayr,	w215_d405e14614
Maurern,	w217_d405e14618
s.	w219_d405e14621
W.	w221_d405e14624
Cathar.,	w223_d405e14627
beym	w226_d405e14631
schwarz.	w228_d405e14636
Rös.	w230_d405e14639
im	w232_d405e14642
Lerchenf.,	w234_d405e14645
alt	w236_d405e14648
72.	w238_d405e14651
Mich.	w241_d405e14656
Ermel,	w243_d405e14660
Tag	w245_d405e14663
löhn.,	w247_d405e14666
beym	w249_d405e14669
gold.	w251_d405e14673
Rös.	w253_d405e14676
im	w255_d405e14679
Ler	w257_d405e14682
chenf,	w260_d405e14686
alt	w262_d405e14691
65.	w264_d405e14694
J.	w266_d405e14697
</list>
<head id="h2_d405e14704">
Summa	w4_d405e14707
13.	w6_d405e14711
Pers.,	w8_d405e14714
darunter	w10_d405e14717
4.	w12_d405e14720
Kind.	w14_d405e14724
Den	w17_d405e14728
8.	w19_d405e14732
Dec.	w21_d405e14735
Jn	w27_d405e14743
der	w29_d405e14747
Stadt.	w31_d405e14750
</head>
<list id="l4_d405e14753">
Dem	w5_d405e14756
Wol=edel=geb.	w7_d405e14760
Hrn.	w9_d405e14763
Jos.	w11_d405e14766
v.	w13_d405e14769
Underain,	w15_d405e14773
K.	w17_d405e14776
K.	w19_d405e14779
Minist	w22_d405e14783
banco=hof=deput=registr.,	w24_d405e14787
s	w26_d405e14791
T.	w28_d405e14794
Anna	w30_d405e14797
Ca	w32_d405e14800
athar,	w35_d405e14804
im	w37_d405e14809
Moseris.	w39_d405e14812
H.	w41_d405e14815
untern	w43_d405e14818
Tuch=laub.,	w45_d405e14821
1.	w47_d405e14824
J.	w49_d405e14828
</list>
<head id="h2_d405e14835">
Vor	w4_d405e14838
der	w6_d405e14842
Stadt.	w8_d405e14845
</head>
<list id="l4_d405e14848">
Dem	w5_d405e14851
Wol=edel=gestr.	w7_d405e14855
Hrn.	w9_d405e14858
Math.	w11_d405e14861
Franz	w13_d405e14864
Platzer,	w15_d405e14868
K.	w17_d405e14871
K.	w20_d405e14875
Obrist=hof=post=amts=offic.,	w22_d405e14879
s.	w24_d405e14882
S.	w26_d405e14886
Joh.,	w28_d405e14889
im	w30_d405e14892
Frey=gut	w33_d405e14896
auf	w35_d405e14900
der	w37_d405e14904
Wied.,	w39_d405e14907
alt	w41_d405e14910
4.	w43_d405e14913
J.	w45_d405e14916
Dem	w48_d405e14921
Hrn.	w50_d405e14925
Franz	w52_d405e14928
Herl,	w54_d405e14931
K	w56_d405e14934
K.	w58_d405e14937
Acad.	w60_d405e14941
fecht	w62_d405e14944
meist	w64_d405e14947
K.	w67_d405e14951
Jos.,	w69_d405e14955
in	w71_d405e14959
der	w73_d405e14962
Schmidten	w75_d405e14965
in	w77_d405e14968
der	w79_d405e14971
Josephst.	w81_d405e14974
7.	w83_d405e14978
Dem	w86_d405e14982
Hrn.	w88_d405e14986
Jgnatz	w90_d405e14989
Klina,	w92_d405e14992
K.	w94_d405e14996
K.	w96_d405e14999
Hartsch.,	w98_d405e15002
s.	w100_d405e15005
T.	w102_d405e15008
An	w104_d405e15011
na,	w107_d405e15016
beyn	w109_d405e15020
gold.	w111_d405e15023
Schif	w113_d405e15026
auf	w115_d405e15029
der	w117_d405e15033
Wied.,	w119_d405e15036
alt	w121_d405e15039
19.	w123_d405e15042
J.	w125_d405e15045
Dem	w128_d405e15050
Ant.	w130_d405e15054
Wimmer,	w132_d405e15057
gew.	w134_d405e15060
Verwalt.,	w136_d405e15063
s.	w138_d405e15066
K.	w140_d405e15070
Elisab.,	w142_d405e15073
beym	w145_d405e15077
schwarz.	w147_d405e15081
Adl.	w149_d405e15084
in	w151_d405e15088
der	w153_d405e15091
Leopoldst.,	w155_d405e15094
alt	w157_d405e15097
2.	w159_d405e15100
J.	w161_d405e15103
Math	w164_d405e15108
Reiseck,	w166_d405e15112
Schuh=mach,	w168_d405e15115
beym	w170_d405e15118
kl	w172_d405e15121
Jordan	w174_d405e15125
ober	w176_d405e15128
dem	w179_d405e15132
Neustift,	w181_d405e15136
alt	w183_d405e15139
66.	w185_d405e15143
J.	w187_d405e15146
Andre	w190_d405e15150
Schnabel,	w192_d405e15154
Lack,	w194_d405e15157
in	w196_d405e15161
der	w198_d405e15164
Hartsch.=schmidten	w200_d405e15167
auf	w203_d405e15171
der	w205_d405e15175
Wied.,	w207_d405e15179
alt	w209_d405e15182
66.	w211_d405e15185
J.	w213_d405e15188
Barb.	w216_d405e15192
Maurin,	w218_d405e15197
Wittwe,	w220_d405e15200
in	w222_d405e15203
der	w224_d405e15206
Bleich	w226_d405e15209
in	w228_d405e15212
der	w230_d405e15216
Spi	w232_d405e15219
tek	w238_d405e15226
an,	w240_d405e15230
alt	w242_d405e15234
68.	w244_d405e15237
J.	w246_d405e15240
Dem	w249_d405e15244
Joh.	w251_d405e15248
Kridl,	w253_d405e15252
Tag=löhn.,	w255_d405e15255
s.	w257_d405e15258
K.	w259_d405e15261
Joh.,	w261_d405e15264
im	w263_d405e15267
Maut	w265_d405e15271
neris.	w268_d405e15275
H.	w270_d405e15279
auf	w272_d405e15282
der	w274_d405e15285
Wied.,	w276_d405e15289
alt	w278_d405e15292
3.	w280_d405e15295
J.	w282_d405e15298
</list>
<head id="h2_d405e15305">
Summa	w4_d405e15308
9.	w6_d405e15312
Person.	w8_d405e15315
darunter	w10_d405e15318
5.	w12_d405e15321
Kind.	w14_d405e15325
Den	w17_d405e15329
9.	w19_d405e15333
Dea.	w21_d405e15336
Jn	w27_d405e15344
der	w29_d405e15348
Stadt.	w31_d405e15351
</head>
<list id="l4_d405e15357">
Die	w5_d405e15360
