<doc id="wr_1762-06-12" attrs="word" year="1762" month="06" day="12" corpus="2">
<head id="h2_d664e3095">
Monte=Christo,	w1_d664e3099
Schab=den	w5_d664e10340
ries.	w7_d664e10343
in	w9_d664e10346
der	w11_d664e10349
Leopodst.,	w13_d664e10353
13.	w15_d664e10356
J.	w17_d664e10359
Dem	w1_d664e10364
Pet.	w3_d664e10367
Pigler,	w5_d664e10370
Taglöhn.,	w7_d664e10373
s.	w9_d664e10376
T.	w11_d664e10379
Theres.,	w13_d664e10383
beym	w15_d664e10386
rot	w1_d664e10391
Jgel	w3_d664e10394
zu	w5_d664e10397
Erdberg,	w7_d664e10400
alt	w9_d664e10403
15.	w11_d664e10406
J.	w13_d664e10410
Dem	w1_d664e10415
Phil.	w3_d664e10418
Zuloß,	w5_d664e10421
Burgerl	w7_d664e10424
Stick,	w9_d664e10427
s.	w11_d664e10430
K.	w13_d664e10434
Antonia,	w15_d664e10437
bey	w1_d664e10443
der	w3_d664e10446
gold	w5_d664e10449
Schnal.	w7_d664e10452
bey	w9_d664e10455
Maria=hülf,	w11_d664e10458
alt	w13_d664e10462
1.	w15_d664e10465
J.	w17_d664e10468
Dem	w1_d664e10473
Jos.	w3_d664e10476
Böhm,	w5_d664e10479
Taglöhn.,	w7_d664e10482
s.	w9_d664e10485
K.	w11_d664e10488
Ant.,	w13_d664e10492
am	w15_d664e10495
alten	w17_d664e10498
Thabor	w1_d664e10503
in	w3_d664e10506
der	w5_d664e10509
Leopoldst.,	w7_d664e10512
alt	w9_d664e10515
2.	w11_d664e10518
J.	w13_d664e10522
</list>
<head id="h2_d664e10529">
Summa	w1_d664e10533
13.	w3_d664e10536
Pers.,	w5_d664e10539
darunter	w7_d664e10542
4.	w9_d664e10545
Kind.	w11_d664e10548
Den	w1_d664e10553
8.	w3_d664e10556
Junii.	w5_d664e10559
Jn	w1_d664e10564
der	w3_d664e10567
Stadt.	w5_d664e10570
</head>
<list id="l4_d664e10573">
Dem	w1_d664e10577
Wol=edlen	w3_d664e10580
Hrn.	w5_d664e10583
Pet.	w7_d664e10586
Jos.	w9_d664e10589
Passy,	w11_d664e10592
K.	w13_d664e10596
K.	w15_d664e10599
Nie	w17_d664e10602
derlags=verw.,	w1_d664e10607
s.	w3_d664e10610
K.	w5_d664e10613
Bernh.,	w7_d664e10616
im	w9_d664e10619
Martinellis.	w11_d664e10622
H.	w13_d664e10626
am	w1_d664e10631
Lugeck,	w3_d664e10634
alt	w5_d664e10637
5.	w7_d664e10640
v.	w9_d664e10643
J.	w11_d664e10646
Dem	w1_d664e10652
Hrn.	w3_d664e10655
Wenzel	w5_d664e10658
Jos.	w7_d664e10661
Keil,	w9_d664e10664
K.	w11_d664e10667
K.	w13_d664e10671
N.	w15_d664e10674
Oe.	w17_d664e10677
Reg.	w19_d664e10680
Registr,	w1_d664e10685
s.	w3_d664e10688
Fr.	w5_d664e10691
Elisab.,	w7_d664e10694
im	w9_d664e10697
Fuxis.	w11_d664e10700
H.	w13_d664e10704
am	w15_d664e10707
Stock	w17_d664e10710
im	w1_d664e10715
Eisen=platz,	w3_d664e10718
all57.	w5_d664e10721
J.	w7_d664e10724
</list>
<head id="h2_d664e10732">
Vor	w1_d664e10736
der	w3_d664e10739
Stadt.	w5_d664e10742
</head>
<list id="l4_d664e10745">
Dem	w1_d664e10749
Hrn.	w3_d664e10752
Ant.	w5_d664e10755
Zange,	w7_d664e10758
gew.	w9_d664e10761
Rait=offic.,	w11_d664e10764
s.	w13_d664e10768
Fr.	w15_d664e10771
Maria	w1_d664e10776
Josepha,	w3_d664e10779
im	w5_d664e10782
Maut=H.	w7_d664e10785
bey	w9_d664e10788
der	w11_d664e10791
Lerchen	w13_d664e10795
felder=linie,	w1_d664e10800
alt	w3_d664e10803
59.	w5_d664e10806
J.	w7_d664e10809
Hr.	w1_d664e10815
Joh.	w3_d664e10818
Leop.	w5_d664e10821
Schreder,	w7_d664e10824
gew.	w9_d664e10827
K.	w11_d664e10830
K.	w13_d664e10834
Aeciß=einuch.	w15_d664e10837
im	w1_d664e10842
Herzogtum	w3_d664e10845
Schlesien,	w5_d664e10848
im	w7_d664e10851
Rudolph	w9_d664e10854
Tischle	w11_d664e10857
ris.	w1_d664e10862
H.	w3_d664e10865
in	w5_d664e10868
der	w7_d664e10871
Leopoldst.,	w9_d664e10874
alt	w11_d664e10877
84.	w13_d664e10881
J.	w15_d664e10884
Dem	w1_d664e10889
Joh.	w3_d664e10892
Georg	w5_d664e10895
Langensee,	w7_d664e10898
gew.	w9_d664e10901
Burgerl.	w11_d664e10904
Han	w13_d664e10908
dels=m.,	w1_d664e10914
s.	w3_d664e10917
K.	w5_d664e10920
Elisab.,	w7_d664e10923
bey	w9_d664e10926
der	w11_d664e10929
gold.	w13_d664e10933
Eul	w15_d664e10936
bey	w17_d664e10939
St.	w19_d664e10942
Ulrich,	w1_d664e10947
alt	w3_d664e10950
8.	w5_d664e10953
J.	w7_d664e10956
Jungf.	w1_d664e10961
Johanna	w3_d664e10964
Reg.	w5_d664e10967
Schäfferin,	w7_d664e10970
bey	w9_d664e10973
der	w11_d664e10976
golden.	w13_d664e10980
Bien	w1_d664e10985
in	w3_d664e10988
der	w5_d664e10991
Josephst.,	w7_d664e10994
alt	w9_d664e10997
69.	w11_d664e11000
J.	w13_d664e11004
</list>
<list id="l10_d664e11018">
Der	w1_d664e11022
Theres.	w3_d664e11025
Partlin,	w5_d664e11028
Wittwe,	w7_d664e11031
ihr	w9_d664e11034
K.	w11_d664e11037
Joh.,	w13_d664e11041
beym	w15_d664e11044
braun.	w1_d664e11049
Hirsch.	w3_d664e11052
am	w5_d664e11055
Neustift,	w7_d664e11058
alt	w9_d664e11061
6.	w11_d664e11064
J.	w13_d664e11068
Dem	w1_d664e11073
Mart.	w3_d664e11076
Ludwig,	w5_d664e11079
gew.	w7_d664e11082
Bestand	w9_d664e11085
wirt.,	w11_d664e11088
s.	w13_d664e11092
W.	w15_d664e11095
An	w17_d664e11098
na	w1_d664e11104
Maria,	w3_d664e11107
beym	w5_d664e11110
Wolf.	w7_d664e11113
in	w9_d664e11116
der	w11_d664e11119
Au	w13_d664e11123
am	w15_d664e11126
Neustift,	w17_d664e11129
alt	w1_d664e11134
73.	w3_d664e11137
J.	w5_d664e11140
Poncratz	w1_d664e11145
Hasenbauer,	w3_d664e11148
Ziegel=scheib.,	w5_d664e11151
im	w7_d664e11154
Weiglisch.	w9_d664e11157
H.	w1_d664e11162
am	w3_d664e11165
Alster=bach,	w5_d664e11168
alt	w7_d664e11171
65.	w9_d664e11174
J.	w11_d664e11177
Joh.	w1_d664e11183
Mich.	w3_d664e11186
Erfurt,	w5_d664e11189
Heu=bind.,	w7_d664e11192
im	w9_d664e11195
K.	w11_d664e11198
K.	w13_d664e11202
Magatzin	w15_d664e11205
in	w1_d664e11210
der	w3_d664e11213
Leopoldst.,	w5_d664e11216
alda,	w7_d664e11219
alt	w9_d664e11222
36.	w11_d664e11225
J.	w13_d664e11229
Dem	w1_d664e11234
Jos.	w3_d664e11237
Obleschill,	w5_d664e11240
Herrschaftl.	w7_d664e11243
Lack.	w9_d664e11246
s.	w11_d664e11249
W.	w13_d664e11253
Eva,	w15_d664e11256
beym	w1_d664e11261
gold.	w3_d664e11264
Löw.	w5_d664e11267
auf	w7_d664e11270
der	w9_d664e11273
Wind=mühl,	w11_d664e11276
alt	w13_d664e11280
49.	w15_d664e11283
J.	w17_d664e11286
Dem	w1_d664e11292
Joh.	w3_d664e11295
Georg	w5_d664e11298
Fibring,	w7_d664e11301
K.	w9_d664e11304
K.	w11_d664e11307
Reit=kn.,	w13_d664e11311
s.	w15_d664e11314
W.	w17_d664e11317
Elisab.,	w1_d664e11322
im	w3_d664e11325
Stegeris.	w5_d664e11328
H.	w7_d664e11331
in	w9_d664e11334
der	w11_d664e11337
Unger=gas.,	w13_d664e11341
alt	w15_d664e11344
49.	w1_d664e11349
J.	w3_d664e11352
Anna	w1_d664e11357
Maria	w3_d664e11360
Stellnerin,	w5_d664e11363
led.,	w7_d664e11366
im	w9_d664e11369
Walhornis.	w11_d664e11372
H.	w13_d664e11376
in	w1_d664e11382
der	w3_d664e11385
Leopoldst,	w5_d664e11388
alt	w7_d664e11391
48.	w9_d664e11394
J.	w11_d664e11397
Joh.	w1_d664e11402
Schwarz,	w3_d664e11405
arm.,	w5_d664e11408
im	w7_d664e11411
lang.	w9_d664e11414
Keller	w11_d664e11417
am	w13_d664e11421
Neubau,	w15_d664e11424
alt	w1_d664e11429
69.	w3_d664e11432
J.	w5_d664e11435
Dem	w1_d664e11440
Ant.	w3_d664e11443
Tuscani,	w5_d664e11446
Rauchfangkehrer=ges.,	w7_d664e11449
s.	w9_d664e11452
K.	w11_d664e11455
Theres.,	w1_d664e11461
beyn	w3_d664e11464
6.	w5_d664e11467
Schim.	w7_d664e11470
bey	w9_d664e11473
St.	w11_d664e11476
Ulrich,	w13_d664e11480
1.	w15_d664e11483
J.	w17_d664e11486
Dem	w1_d664e11491
Leop.	w3_d664e11494
Lucas,	w5_d664e11497
Taglöhn.,	w7_d664e11500
s.	w9_d664e11503
K.	w11_d664e11506
Anna,	w13_d664e11510
im	w15_d664e11513
Mit	w17_d664e11516
terstelleris.	w1_d664e11521
H.	w3_d664e11524
auf	w5_d664e11527
der	w7_d664e11530
Landstr.,	w9_d664e11533
alt	w11_d664e11536
7.	w13_d664e11540
v.	w15_d664e11543
J.	w17_d664e11546
</list>
<head id="h2_d664e11553">
Summa	w1_d664e11557
16.	w3_d664e11560
Person.,	w5_d664e11563
darunter	w7_d664e11566
5.	w1_d664e11571
Kind.	w3_d664e11574
Den	w1_d664e11579
9.	w3_d664e11582
Junii.	w5_d664e11585
Vor	w1_d664e11591
der	w3_d664e11594
Stadt.	w5_d664e11597
</head>
<list id="l4_d664e11600">
Der	w1_d664e11604
Wol=geb.	w3_d664e11607
Hr.	w5_d664e11610
Wolf	w7_d664e11613
Ferd.	w9_d664e11616
Händl,	w11_d664e11619
von	w13_d664e11623
und	w15_d664e11626
zu	w17_d664e11629
Ramingdorf,	w1_d664e11634
Jhrer	w3_d664e11637
K.	w5_d664e11640
K.	w7_d664e11643
Apostol.	w9_d664e11646
Maj.	w11_d664e11649
Raht,	w13_d664e11653
wie	w1_d664e11658
auch	w3_d664e11661
einer	w5_d664e11664
Löbl.	w7_d664e11667
N.	w9_d664e11670
Oe.	w11_d664e11673
Landsch.	w13_d664e11677
perpetuirl.	w15_d664e11680
Ausschuß,	w1_d664e11686
im	w3_d664e11689
Neustädter	w5_d664e11692
hof	w7_d664e11695
am	w9_d664e11698
alt.	w11_d664e11701
Kien=m.	w13_d664e11705
alt	w1_d664e11710
80.	w3_d664e11713
J.	w5_d664e11716
Dem	w1_d664e11721
Ul	w3_d664e11724
ich	w5_d664e11727
Schenker,	w7_d664e11730
gew.	w9_d664e11733
K.	w11_d664e11736
Amalis.	w13_d664e11740
Leib	w15_d664e11743
lack.,	w17_d664e11746
s.	w1_d664e11751
W.	w3_d664e11754
Cathar.,	w5_d664e11757
im	w7_d664e11760
Pfaidleris.	w9_d664e11763
H.	w11_d664e11766
im	w13_d664e11770
Jacober	w15_d664e11773
gäs.,	w1_d664e11779
alt	w3_d664e11782
68.	w5_d664e11785
J.	w7_d664e11788
</list>
<head id="h2_d664e11795">
Vor	w1_d664e11799
der	w3_d664e11802
Stadt.	w5_d664e11805
</head>
<list id="l4_d664e11808">
Hr.	w1_d664e11812
Franz	w3_d664e11815
Georg	w5_d664e11818
Sauder,	w7_d664e11821
gew.	w9_d664e11824
K.	w11_d664e11827
Eleonoris.	w13_d664e11831
Ar	w15_d664e11834
cier,	w1_d664e11839
in	w3_d664e11842
s.	w5_d664e11845
H.	w7_d664e11848
in	w9_d664e11851
der	w11_d664e11854
Josephst.,	w13_d664e11858
alt	w15_d664e11861
100.	w17_d664e11864
J.	w19_d664e11867
Dem	w1_d664e11872
Mart.	w3_d664e11875
Stridlinger,	w5_d664e11878
Burgerl.	w7_d664e11881
Eisen=tändl.,	w9_d664e11884
s.	w11_d664e11887
K.	w1_d664e11893
Elisab.,	w3_d664e11896
beym	w5_d664e11899
gold.	w7_d664e11902
Huf=eis.	w9_d664e11905
am	w11_d664e11908
Neubau,	w13_d664e11912
alt	w15_d664e11915
6.	w1_d664e11920
v.	w3_d664e11923
J.	w5_d664e11926
Dem	w1_d664e11931
Casp.	w3_d664e11934
Rab,	w5_d664e11937
Musicant.,	w7_d664e11940
s.	w9_d664e11943
K.	w11_d664e11946
Aloys.,	w13_d664e11950
beyn	w15_d664e11953
3.	w17_d664e11956
gold.	w1_d664e11961
Kron	w3_d664e11964
am	w5_d664e11967
Spitalberg,	w7_d664e11970
alt	w9_d664e11973
6.	w11_d664e11976
v.	w13_d664e11980
J.	w15_d664e11983
Joh.	w1_d664e11989
Schrimpf,	w3_d664e11992
Krapfen=bach.,	w5_d664e11995
beyn	w7_d664e11998
3.	w9_d664e12001
weis.	w11_d664e12004
Löw.	w13_d664e12008
bey	w1_d664e12013
St.	w3_d664e12016
Ulrich,	w5_d664e12019
alt	w7_d664e12022
70.	w9_d664e12025
J.	w11_d664e12028
Math.	w1_d664e12033
Lobinger,	w3_d664e12036
Kutsch.,	w5_d664e12039
im	w7_d664e12042
Fuxis.	w9_d664e12045
H.	w11_d664e12048
in	w13_d664e12052
der	w15_d664e12055
Un	w17_d664e12058
ger=gas.,	w1_d664e12063
alt	w3_d664e12066
45.	w5_d664e12069
J.	w7_d664e12072
Anna	w1_d664e12078
Lieblin,	w3_d664e12081
Wittwe,	w5_d664e12084
beym	w7_d664e12087
rot.	w9_d664e12090
Krebs.	w11_d664e12093
in	w13_d664e12097
der	w15_d664e12100
Jo	w17_d664e12103
sephst.,	w1_d664e12108
alt	w3_d664e12111
64.	w5_d664e12114
J.	w7_d664e12117
Dem	w1_d664e12122
Joh.	w3_d664e12125
Schwarz,	w5_d664e12128
Geig.,	w7_d664e12131
s.	w9_d664e12134
K.	w11_d664e12137
Anna,	w13_d664e12141
bey	w15_d664e12144
J.	w17_d664e12147
M.	w19_d664e12150
J.	w1_d664e12155
im	w3_d664e12158
Lerchenf.,	w5_d664e12161
alt	w7_d664e12164
9.	w9_d664e12167
J.	w11_d664e12170
Wenzel	w1_d664e12176
Rochitzer,	w3_d664e12179
Reit	w5_d664e12182
kn.,	w7_d664e12185
beym	w9_d664e12188
schwarz.	w11_d664e12191
Rös.	w13_d664e12195
in	w15_d664e12198
der	w1_d664e12203
Rossau,	w3_d664e12206
alt	w5_d664e12209
34.	w7_d664e12212
J.	w9_d664e12215
Dem	w1_d664e12220
Joh.	w3_d664e12223
Petschauer,	w5_d664e12226
Taglöhn.,	w7_d664e12229
s.	w9_d664e12232
K.	w11_d664e12235
Jgnatz,	w13_d664e12239
bey	w15_d664e12242
denen	w1_d664e12247
2.	w3_d664e12250
schwarz.	w5_d664e12253
Läm.	w7_d664e12256
am	w9_d664e12259
Neustift,	w11_d664e12262
alt	w13_d664e12266
3.	w15_d664e12269
J.	w17_d664e12272
</list>
<head id="h2_d664e12279">
Summa	w1_d664e12283
11.	w3_d664e12286
Pers.,	w5_d664e12289
darunter	w7_d664e12292
4.	w9_d664e12295
Kind.	w11_d664e12298
</head>
<p id="p4_d664e12301">
Von	w1_d664e12305
einer	w3_d664e12308
Löbl.	w5_d664e12311
N.	w7_d664e12314
Oe.	w9_d664e12317
Landschafts	w11_d664e12320
obereinneh	w13_d664e12324
menamt	w1_d664e12329
wird	w3_d664e12332
hiemit	w5_d664e12335
kund	w7_d664e12338
gemacht,	w9_d664e12341
daß	w11_d664e12344
an	w13_d664e12348
denen	w15_d664e12351
</p>
<p id="p6_d664e12354">
zu	w1_d664e12358
Bestreitung	w3_d664e12361
deren	w5_d664e12364
erforderlichen	w7_d664e12367
Unkösten	w9_d664e12370
bey	w11_d664e12373
fürdaurend=gegenwärtigen	w1_d664e12378
Krieg	w3_d664e12381
von	w5_d664e12384
Anno	w7_d664e12387
1756.	w9_d664e12390
bis	w1_d664e12395
inclusive	w3_d664e12398
1759.	w5_d664e12401
in	w7_d664e12404
besagtem	w9_d664e12407
Amte	w11_d664e12410
erlegten	w13_d664e12414
Anticipationen	w1_d664e12420
und	w3_d664e12423
Subsidien	w5_d664e12426
alle	w7_d664e12429
von	w9_d664e12432
31.	w11_d664e12435
fl.	w13_d664e12439
bis	w15_d664e12442
exclusive	w1_d664e12447
60.	w3_d664e12450
fl.	w5_d664e12453
(wofür	w7_d664e12456
unterm	w9_d664e12459
14.	w11_d664e12462
und	w13_d664e12466
29.	w15_d664e12469
No	w17_d664e12472
vemb.	w1_d664e12477
eines	w3_d664e12480
jeglichen	w5_d664e12483
obiger	w7_d664e12486
Jahren	w9_d664e12489
datirte	w11_d664e12492
N.	w13_d664e12496
Oe.	w1_d664e12501
Landschafts=obligationen	w3_d664e12504
ertheilet	w5_d664e12507
worden	w7_d664e12510
seynd)	w1_d664e12516
dermalen	w3_d664e12519
anwiederum	w5_d664e12522
von	w7_d664e12525
da	w9_d664e12528
aus	w11_d664e12531
zuruck	w13_d664e12535
bezahlet	w1_d664e12540
werden;	w3_d664e12543
Solchemnach	w5_d664e12546
werden	w7_d664e12549
all=jene,	w9_d664e12552
Partheyen,	w1_d664e12557
so	w3_d664e12560
derley	w5_d664e12563
N.	w7_d664e12566
Oe.	w9_d664e12569
Landschaftsobliga	w11_d664e12572
tionen	w1_d664e12577
in	w3_d664e12580
Handen	w5_d664e12583
haben,	w7_d664e12586
zu	w9_d664e12589
Abholung	w11_d664e12592
dieser	w13_d664e12596
ihrer	w15_d664e12599
Capitalien	w1_d664e12605
samt	w3_d664e12608
Jnteresse	w5_d664e12611
an	w7_d664e12614
denen	w9_d664e12617
gewöhnlichen	w11_d664e12620
Zahlungs=tägen	w1_d664e12625
in	w3_d664e12628
bemeltem	w5_d664e12631
Amte	w7_d664e12634
sich	w9_d664e12637
einzufin	w11_d664e12640
den	w1_d664e12645
haben,	w3_d664e12648
als	w5_d664e12651
wie	w7_d664e12654
im	w9_d664e12657
widrigen	w11_d664e12660
von	w13_d664e12664
denen	w15_d664e12667
vom	w17_d664e12670
31.	w1_d664e12675
bis	w3_d664e12678
exclusive	w5_d664e12681
50.	w7_d664e12684
fl.	w9_d664e12687
betragenden	w11_d664e12690
Posten,	w13_d664e12694
und	w15_d664e12697
zwar	w1_d664e12703
respectu	w3_d664e12706
deren	w5_d664e12709
ersteren	w7_d664e12712
von	w9_d664e12715
14.	w11_d664e12718
Junii	w13_d664e12722
dieses	w15_d664e12725
1762.	w1_d664e12730
Jahres,	w3_d664e12733
und	w5_d664e12736
respectu	w7_d664e12739
deren	w9_d664e12742
zweyten	w11_d664e12745
von	w13_d664e12749
29.	w1_d664e12754
dito,	w3_d664e12757
dann	w5_d664e12760
von	w7_d664e12763
jenen	w9_d664e12766
Posten,	w11_d664e12769
welche	w13_d664e12773
von	w15_d664e12776
50.	w1_d664e12781
bis	w3_d664e12784
exclusive	w5_d664e12787
60.	w7_d664e12790
fl.	w9_d664e12793
betragen,	w11_d664e12796
von	w13_d664e12800
15.	w15_d664e12803
Julii	w17_d664e12806
dies	w1_d664e12812
Jahrs	w3_d664e12815
ein	w5_d664e12818
weiteres	w7_d664e12821
Jnteresse	w9_d664e12824
nicht	w11_d664e12827
mehr	w13_d664e12831
ab	w15_d664e12834
gereichet	w1_d664e12839
würde.	w3_d664e12842
</p>
<p id="p8_d664e12845">
Auf	w1_d664e12849
Verordnung	w3_d664e12852
einer	w5_d664e12855
Hochlöbl.	w7_d664e12858
N.	w9_d664e12861
Oe.	w11_d664e12864
Re	w13_d664e12868
gierung	w1_d664e12873
werden	w3_d664e12876
künftigen	w5_d664e12879
Mittwoch	w7_d664e12882
als	w9_d664e12885
den	w11_d664e12888
16.	w13_d664e12892
Junii	w1_d664e12897
und	w3_d664e12900
folgende	w5_d664e12903
Täge	w7_d664e12906
in	w9_d664e12909
dem	w11_d664e12912
grossen	w13_d664e12916
Wag	w15_d664e12919
haus	w1_d664e12925
im	w3_d664e12928
Rot=gässel	w5_d664e12931
beym	w7_d664e12934
kleinen	w9_d664e12937
Thürl	w11_d664e12940
hinauf	w13_d664e12944
im	w15_d664e12947
2ten	w1_d664e12952
Stock	w3_d664e12955
verschiedene	w5_d664e12958
Verlassenschafts=effecten	w7_d664e12961
und	w1_d664e12966
Mobilien,	w3_d664e12969
als	w5_d664e12972
carmosirte	w7_d664e12975
goldene,	w9_d664e12978
mit	w11_d664e12981
Dia	w13_d664e12985
mante	w1_d664e12990
besetzte	w3_d664e12993
Ringeln,	w5_d664e12996
silberne	w7_d664e12999
Dosen,	w9_d664e13002
silberne	w11_d664e13005
und	w13_d664e13009
tombackene	w1_d664e13015
Sack	w3_d664e13018
und	w5_d664e13021
Stock=uhren,	w7_d664e13024
ein	w9_d664e13027
schöner	w11_d664e13030
prätioser	w1_d664e13035
Stock	w3_d664e13038
von	w5_d664e13041
Helfenbein,	w7_d664e13044
ein	w9_d664e13047
goldenes	w11_d664e13050
Ringel,	w1_d664e13055
Manns=kleider,	w3_d664e13058
Wäsch,	w5_d664e13061
Bilder,	w7_d664e13064
Kasten,	w9_d664e13067
Sessel,	w1_d664e13072
Spiegel,	w3_d664e13075
ein	w5_d664e13078
Violadamor	w7_d664e13081
und	w9_d664e13084
andere	w11_d664e13087
Fahrnussen	w1_d664e13093
Vormittag	w3_d664e13096
von	w5_d664e13099
9.	w7_d664e13102
bis	w9_d664e13105
12.	w11_d664e13108
Nachmit	w13_d664e13112
tag	w1_d664e13117
von	w3_d664e13120
3.	w5_d664e13123
bis	w7_d664e13126
6.	w9_d664e13129
Uhr	w11_d664e13132
denen	w13_d664e13136
Meistbietenden	w15_d664e13139
lici	w17_d664e13142
tando	w1_d664e13147
gegen	w3_d664e13150
baarer	w5_d664e13153
Bezahlung	w7_d664e13156
verkauffet	w9_d664e13159
werden.	w11_d664e13162
</p>
<p id="p10_d664e13165">
Von	w1_d664e13169
dem	w3_d664e13172
Löbl.	w5_d664e13175
Grund=buch	w7_d664e13178
deren	w9_d664e13181
PP.	w11_d664e13184
Augusti	w13_d664e13188
nern	w1_d664e13193
auf	w3_d664e13196
der	w5_d664e13199
Land=strassen	w7_d664e13202
zu	w9_d664e13205
Wien	w11_d664e13208
wird	w13_d664e13212
hiemit	w15_d664e13215
al	w17_d664e13218
len	w1_d664e13223
und	w3_d664e13226
jeden	w5_d664e13229
zu	w7_d664e13232
wissen	w9_d664e13235
erinneret,	w11_d664e13238
welchergestalten	w13_d664e13242
des	w1_d664e13248
bereits	w3_d664e13251
im	w5_d664e13254
1758.	w7_d664e13257
Jahr	w9_d664e13260
entwichenen,	w11_d664e13263
und	w13_d664e13267
bishe	w15_d664e13270
ro	w1_d664e13275
unwissenden	w3_d664e13278
Pbilipp	w5_d664e13281
Sibelmühlners	w7_d664e13284
unterthä	w9_d664e13287
nige	w1_d664e13292
Behausung	w3_d664e13295
und	w5_d664e13298
Grund=stuck	w7_d664e13301
zu	w9_d664e13304
Altmannstorf	w11_d664e13307
über	w1_d664e13312
die	w3_d664e13315
fürgewest	w5_d664e13318
zweymalige	w7_d664e13321
Licitationen	w9_d664e13324
noch	w11_d664e13327
malen,	w1_d664e13333
und	w3_d664e13336
letztlichen	w5_d664e13339
den	w7_d664e13342
19.	w9_d664e13345
dies	w11_d664e13348
Monats	w13_d664e13352
Ju	w15_d664e13355
nii	w1_d664e13360
Vormittag	w3_d664e13363
um	w5_d664e13366
9.	w7_d664e13369
Uhr	w9_d664e13372
in	w11_d664e13375
der	w13_d664e13379
Grundbuchs	w15_d664e13382
canzley	w1_d664e13387
besagter	w3_d664e13390
PP.	w5_d664e13393
Augustinern	w7_d664e13396
auf	w9_d664e13399
der	w11_d664e13402
Land	w13_d664e13406
strassen	w1_d664e13411
öffentlich	w3_d664e13414
an	w5_d664e13417
den	w7_d664e13420
Meistbietenden	w9_d664e13423
ausge	w11_d664e13426
feilet,	w1_d664e13432
und	w3_d664e13435
da	w5_d664e13438
sich	w7_d664e13441
keiner	w9_d664e13444
vorfündete,	w11_d664e13447
welcher	w13_d664e13451
über	w1_d664e13456
den	w3_d664e13459
pr.	w5_d664e13462
600.	w7_d664e13465
fl.	w9_d664e13468
dermalen	w11_d664e13471
angebottenen	w13_d664e13475
Kauf	w15_d664e13478
schilling	w1_d664e13483
ein	w3_d664e13486
mehreres	w5_d664e13489
darbietete,	w7_d664e13492
mit	w9_d664e13495
dem	w11_d664e13498
sich	w13_d664e13502
an	w15_d664e13505
gemeldeten	w1_d664e13510
Kauffer	w3_d664e13513
der	w5_d664e13516
Kauf	w7_d664e13519
geschlossen,	w9_d664e13522
und	w11_d664e13525
das	w1_d664e13531
Weitere	w3_d664e13534
tractiret	w5_d664e13537
werden	w7_d664e13540
solle.	w9_d664e13543
</p>
<p id="p12_d664e13547">
Von	w1_d664e13551
des	w3_d664e13554
Collegii	w5_d664e13557
Clericorum	w7_d664e13560
Regul.	w9_d664e13563
S.	w11_d664e13566
Pauli	w13_d664e13570
Apost	w1_d664e13575
bey	w3_d664e13578
St.	w5_d664e13581
Michael	w7_d664e13584
in	w9_d664e13587
Wien	w11_d664e13590
Grund=buchs	w13_d664e13594
wegen,	w1_d664e13599
wird	w3_d664e13602
durch	w5_d664e13605
gegenwärtiges	w7_d664e13608
Edict	w9_d664e13611
jeder	w11_d664e13614
männiglich,	w1_d664e13620
deme	w3_d664e13623
daran	w5_d664e13626
gelegen,	w7_d664e13629
kund	w9_d664e13632
und	w11_d664e13635
zu	w13_d664e13639
</p>
<p id="p18_d664e13652">
wissen	w1_d664e13656
gemacht:	w3_d664e13659
welchergestalten	w5_d664e13662
kraft	w7_d664e13665
des	w9_d664e13668
un	w11_d664e13671
term	w1_d664e13676
2ten	w3_d664e13679
dies	w5_d664e13682
Monats	w7_d664e13685
Junii	w9_d664e13688
bey	w11_d664e13691
diesem	w13_d664e13695
Grund	w15_d664e13698
buch	w1_d664e13703
ergangenen	w3_d664e13706
Verlasses,	w5_d664e13709
über	w7_d664e13712
des	w9_d664e13715
Sebastian	w11_d664e13718
Groß	w1_d664e13724
behaust	w3_d664e13727
diesseitigen	w5_d664e13730
Unterthan	w7_d664e13733
zu	w9_d664e13736
Streber	w11_d664e13739
storf,	w1_d664e13744
und	w3_d664e13747
seiner	w5_d664e13750
Ehewirthin	w7_d664e13753
Juliana	w9_d664e13756
habendes	w11_d664e13759
Vermögen	w1_d664e13764
eine	w3_d664e13767
Crida	w5_d664e13770
anzuordnen,	w7_d664e13773
und	w9_d664e13776
die	w11_d664e13779
be	w13_d664e13783
hörige	w1_d664e13788
Edicta	w3_d664e13791
also	w5_d664e13794
gleich	w7_d664e13797
auszufertigen	w9_d664e13800
veranlast	w11_d664e13803
worden	w1_d664e13809
seye;	w3_d664e13812
Wann	w5_d664e13815
nun	w7_d664e13818
zur	w9_d664e13821
Convocationstag	w11_d664e13824
satzung	w1_d664e13829
der	w3_d664e13832
20.	w5_d664e13835
künftigen	w7_d664e13838
Monats	w9_d664e13841
Julii	w11_d664e13844
(unge	w13_d664e13848
hindert	w1_d664e13853
deren	w3_d664e13856
eintretenden	w5_d664e13859
Schnitt=ferien)	w7_d664e13862
ange	w9_d664e13865
setzet	w1_d664e13870
worden	w3_d664e13873
ist;	w5_d664e13876
Als	w7_d664e13879
werden	w9_d664e13882
alle	w11_d664e13885
diejenige,	w13_d664e13889
wel	w15_d664e13892
che	w1_d664e13898
an	w3_d664e13901
obberührten	w5_d664e13904
Großischen	w7_d664e13907
Eheleuthen	w9_d664e13910
einige	w11_d664e13913
Anforderung	w1_d664e13918
haben,	w3_d664e13921
ober	w5_d664e13924
