<doc id="wr_1759-09-08" attrs="word" year="1759" month="09" day="08" corpus="2">
<head id="h2_d379e4399">
Königsberg	w1_d379e4403
unterschiedenen	w5_d379e20250
malen	w7_d379e20253
aufs	w9_d379e20256
neue	w11_d379e20259
an,	w1_d379e20264
wurde	w3_d379e20267
aber	w5_d379e20270
allemal	w7_d379e20273
mit	w9_d379e20276
einem	w11_d379e20279
beträcht	w13_d379e20283
lichen	w1_d379e20288
Verlust,	w3_d379e20291
theils	w5_d379e20294
an	w7_d379e20297
Todten	w9_d379e20300
und	w11_d379e20303
Ver	w13_d379e20307
wunde	w1_d379e20312
</p>
<p id="p10_d379e20317">
wundeten,	w1_d379e20321
theils	w3_d379e20324
an	w5_d379e20327
Gefangenen	w7_d379e20330
repoußiret;	w9_d379e20333
und	w1_d379e20338
bey	w3_d379e20341
dem	w5_d379e20344
letzten	w7_d379e20347
Angrif	w9_d379e20350
ware	w11_d379e20353
die	w13_d379e20357
Unor	w15_d379e20360
dnung	w1_d379e20365
so	w3_d379e20368
groß,	w5_d379e20371
daß,	w7_d379e20374
wann	w9_d379e20377
die	w11_d379e20380
Nacht	w13_d379e20384
nicht	w15_d379e20387
dazu	w1_d379e20393
gekommen	w3_d379e20396
wäre,	w5_d379e20399
die	w7_d379e20402
dem	w9_d379e20405
Erbprin	w11_d379e20408
zen	w1_d379e20413
noch	w3_d379e20416
zur	w5_d379e20419
Retraite	w7_d379e20422
behülflich	w9_d379e20425
ware,	w11_d379e20428
und	w13_d379e20432
wann	w1_d379e20437
es	w3_d379e20440
über	w5_d379e20443
dies	w7_d379e20446
dem	w9_d379e20449
Hrn.	w11_d379e20452
Grafen	w13_d379e20456
von	w15_d379e20459
St.	w1_d379e20464
Germain	w3_d379e20467
nicht	w5_d379e20470
an	w7_d379e20473
leichten	w9_d379e20476
Trupen	w11_d379e20479
ge	w13_d379e20483
fehlet	w1_d379e20489
hätte,	w3_d379e20492
eine	w5_d379e20495
gänzliche	w7_d379e20498
Niederlage	w9_d379e20501
des	w11_d379e20504
Feindes	w1_d379e20509
erfolget,	w3_d379e20512
der	w5_d379e20515
Sieg	w7_d379e20518
des	w9_d379e20521
Französischen	w11_d379e20524
Generals	w1_d379e20529
aber	w3_d379e20532
vollständig	w5_d379e20535
gewesen	w7_d379e20538
seyn	w9_d379e20541
würde.	w1_d379e20546
Der	w3_d379e20549
Hr.	w5_d379e20552
Graf	w7_d379e20555
von	w9_d379e20558
St.	w11_d379e20561
Germain	w13_d379e20565
brachte	w1_d379e20571
die	w3_d379e20574
Nacht	w5_d379e20577
auf	w7_d379e20580
dem	w9_d379e20583
Schlacht=feld	w11_d379e20586
zu,	w1_d379e20591
und	w3_d379e20594
des	w5_d379e20597
andern	w7_d379e20600
Morgens,	w9_d379e20603
da	w11_d379e20606
alle	w13_d379e20610
Equi	w15_d379e20613
pagen	w1_d379e20618
defiliret	w3_d379e20621
hatten,	w5_d379e20624
setzte	w7_d379e20627
er	w9_d379e20630
sich	w11_d379e20633
wieder	w13_d379e20637
in	w1_d379e20642
Marsch,	w3_d379e20645
und	w5_d379e20648
begab	w7_d379e20651
sich	w9_d379e20654
hieher	w11_d379e20657
nach	w13_d379e20661
Lut	w15_d379e20664
Seit	w1_d379e20670
dieser	w3_d379e20673
Affaire	w5_d379e20676
haben	w7_d379e20679
wir	w9_d379e20682
terberg.	w1_d379e20687
keinen	w1_d379e20692
Feind	w3_d379e20695
gesehen.	w5_d379e20698
</p>
<p id="p12_d379e20702">
Von	w1_d379e20706
der	w3_d379e20709
N.	w5_d379e20712
Oe.	w7_d379e20715
Regierung	w9_d379e20718
wegen	w11_d379e20721
wird	w13_d379e20725
mit	w15_d379e20728
gegenwärtigen	w1_d379e20733
Edict	w3_d379e20736
jedermänniglich	w5_d379e20739
sowol	w7_d379e20742
An	w9_d379e20745
als	w1_d379e20750
Abwesenden	w3_d379e20753
kund	w5_d379e20756
gemacht:	w7_d379e20759
Es	w9_d379e20762
habe	w11_d379e20765
Regie	w13_d379e20769
rung	w1_d379e20775
nach	w3_d379e20778
erfolgt=tödtlichen	w5_d379e20781
Hintritt	w7_d379e20784
des	w9_d379e20787
Hrn.	w11_d379e20790
Jacob	w1_d379e20795
Friederich	w3_d379e20798
Mühler,	w5_d379e20801
gewest	w7_d379e20804
Kaiserl.	w9_d379e20807
Rahts	w11_d379e20810
zu	w1_d379e20815
sicherer	w3_d379e20818
Abhandlung	w5_d379e20821
solcher	w7_d379e20824
Verlassenschaft	w9_d379e20827
für	w11_d379e20830
nöhtig	w1_d379e20835
befunden,	w3_d379e20838
die	w5_d379e20841
sammentliche	w7_d379e20844
sowol	w9_d379e20847
in	w11_d379e20850
als	w13_d379e20854
ausser	w1_d379e20860
Land	w3_d379e20863
befindlich=Mühlerische	w5_d379e20866
Glaubigere	w7_d379e20869
zur	w9_d379e20872
Anmeld	w1_d379e20877
und	w3_d379e20880
Liquidirung	w5_d379e20883
ihrer	w7_d379e20886
an	w9_d379e20889
wiederholte	w11_d379e20892
Verlassenschaft	w1_d379e20897
stellenden	w3_d379e20900
Forderungen	w5_d379e20903
gerichtlich	w7_d379e20906
vorzuladen,	w1_d379e20911
zu	w3_d379e20914
welchem	w5_d379e20917
Ende	w7_d379e20920
denenselben	w9_d379e20923
der	w11_d379e20926
24.	w1_d379e20932
Tag	w3_d379e20935
des	w5_d379e20938
künftigen	w7_d379e20941
Monats	w9_d379e20944
Novembris	w11_d379e20947
Nach	w13_d379e20951
mittags	w1_d379e20956
um	w3_d379e20959
3.	w5_d379e20962
Uhr	w7_d379e20965
zur	w9_d379e20968
Convocations	w11_d379e20971
und	w13_d379e20975
An	w15_d379e20978
meldungs=tagsatzung	w1_d379e20983
zu	w3_d379e20986
all=endlicher	w5_d379e20989
Frist	w7_d379e20992
an	w9_d379e20995
beraumet	w1_d379e21000
worden;	w3_d379e21003
solchemnach	w5_d379e21006
werden	w7_d379e21009
all	w9_d379e21012
und	w11_d379e21015
jede,	w1_d379e21021
welche	w3_d379e21024
bey	w5_d379e21027
gedacht=Jacob	w7_d379e21030
Friederich	w9_d379e21033
Müh	w11_d379e21036
lerischen	w1_d379e21041
Verlassenschaft	w3_d379e21044
Recht=maßige	w5_d379e21047
Forderun	w7_d379e21050
gen	w1_d379e21055
haben,	w3_d379e21058
an	w5_d379e21061
obbestimmten	w7_d379e21064
Tag	w9_d379e21067
und	w11_d379e21070
Stund	w13_d379e21074
vor	w1_d379e21079
Regierung	w3_d379e21082
in	w5_d379e21085
der	w7_d379e21088
daselbst	w9_d379e21091
offen	w11_d379e21094
stehenden	w13_d379e21098
Commißions=stuben	w1_d379e21104
entweder	w3_d379e21107
selbst	w5_d379e21110
persönlich	w7_d379e21113
oder	w1_d379e21118
durch	w3_d379e21121
genugsam	w5_d379e21124
Bevollmächtigte	w7_d379e21127
also	w9_d379e21130
gewiß	w11_d379e21133
zu	w1_d379e21138
erscheinen,	w3_d379e21141
und	w5_d379e21144
ihre	w7_d379e21147
Anforderungen	w9_d379e21150
anzumel	w11_d379e21153
den,	w1_d379e21158
und	w3_d379e21161
zu	w5_d379e21164
liquidiren	w7_d379e21167
haben,	w9_d379e21170
als	w11_d379e21173
im	w13_d379e21177
widrigen	w15_d379e21180
die	w1_d379e21186
Abhandlung	w3_d379e21189
gleichwolen	w5_d379e21192
vorgenommen,	w7_d379e21195
und	w9_d379e21198
solche	w1_d379e21203
Verlassenschaft	w3_d379e21206
denen	w5_d379e21209
bereits	w7_d379e21212
erklärten	w9_d379e21215
E	w11_d379e21218
ben	w1_d379e21223
eingeantwortet	w3_d379e21226
werden	w5_d379e21229
solle.	w7_d379e21232
So	w9_d379e21235
beschehen	w11_d379e21238
Wien	w1_d379e21243
den	w3_d379e21246
25.	w5_d379e21249
Augusti	w7_d379e21252
1759.	w9_d379e21255
</p>
<p id="p14_d379e21258">
Es	w1_d379e21262
ist	w3_d379e21265
in	w5_d379e21268
Meidling	w7_d379e21271
nahe	w9_d379e21274
an	w11_d379e21277
Schönbrunn	w13_d379e21281
ein	w15_d379e21284
aut	w1_d379e21289
gebautes	w3_d379e21292
Haus,	w5_d379e21295
nebst	w7_d379e21298
Gelegenheit	w9_d379e21301
zur	w11_d379e21304
Haus	w13_d379e21308
virtschaft	w1_d379e21313
und	w3_d379e21316
Vieh=haltung,	w5_d379e21319
auch	w7_d379e21322
einen	w9_d379e21325
grossen	w11_d379e21328
Zierkuchel	w1_d379e21334
und	w3_d379e21337
Obst=garten,	w5_d379e21340
Glas=haus,	w7_d379e21343
und	w9_d379e21346
Drangerie,	w1_d379e21351
nebst	w3_d379e21354
Einrichtung	w5_d379e21357
zu	w7_d379e21360
verkauffen,	w9_d379e21363
und	w11_d379e21366
stch	w1_d379e21371
darum	w3_d379e21374
auf	w5_d379e21377
dem	w7_d379e21380
Lug=eck	w9_d379e21383
im	w11_d379e21386
Kirchstädteri	w13_d379e21390
</p>
<p id="p16_d379e21393">
schen	w1_d379e21397
Haus	w3_d379e21400
im	w5_d379e21403
3.	w7_d379e21406
Stock	w9_d379e21409
bey	w11_d379e21412
Herrn	w13_d379e21416
ben	w15_d379e21419
Damm	w17_d379e21422
anzufragen.	w1_d379e21427
</p>
<p id="p18_d379e21430">
Den	w1_d379e21434
10.	w3_d379e21437
Sept.	w5_d379e21440
werden	w7_d379e21443
auf	w9_d379e21446
Verordnung	w11_d379e21449
eines	w13_d379e21453
Löbl.	w1_d379e21458
Land=marschallischen	w3_d379e21461
Gerichts	w5_d379e21464
fruh	w7_d379e21467
von	w9_d379e21470
9.	w11_d379e21473
bis	w1_d379e21478
12.	w3_d379e21481
Nachmittags	w5_d379e21484
aber	w7_d379e21487
von	w9_d379e21490
3.	w11_d379e21493
bis	w13_d379e21497
6.	w15_d379e21500
Uhr	w17_d379e21503
verschiedene	w1_d379e21509
Frauen=leibs=kleidungen,	w3_d379e21512
Wäsch	w5_d379e21515
Zinn,	w1_d379e21520
Kupfer,	w3_d379e21523
und	w5_d379e21526
andere	w7_d379e21529
Effceten	w9_d379e21532
in	w11_d379e21535
dem	w13_d379e21539
Mau	w15_d379e21542
rerischen	w1_d379e21547
Haus	w3_d379e21550
am	w5_d379e21553
neuen	w7_d379e21556
Markt	w9_d379e21559
im	w11_d379e21562
dritten	w13_d379e21566
Stock	w1_d379e21571
an	w3_d379e21574
den	w5_d379e21577
Meist=bietenden	w7_d379e21580
licitando	w9_d379e21583
ver	w11_d379e21586
kauffet	w1_d379e21592
werden.	w3_d379e21595
</p>
<p id="p20_d379e21598">
Den	w1_d379e21602
11.	w3_d379e21605
dies	w5_d379e21608
Monats	w7_d379e21611
werden	w9_d379e21614
auf	w11_d379e21617
Verodnung	w13_d379e21621
eines	w1_d379e21626
Löbl.	w3_d379e21629
Stadt	w5_d379e21632
und	w7_d379e21635
Land=gerichts	w9_d379e21638
fruh	w11_d379e21641
von	w13_d379e21645
9.	w1_d379e21650
bis	w3_d379e21653
12.	w5_d379e21656
Nachmittags	w7_d379e21659
aber	w9_d379e21662
von	w11_d379e21665
3.	w13_d379e21669
bis	w15_d379e21672
6.	w17_d379e21675
Uhr	w19_d379e21678
verschiedene	w1_d379e21684
Zimmer=effceten	w3_d379e21687
und	w5_d379e21690
Mobilien,	w7_d379e21693
dann	w1_d379e21698
andere	w3_d379e21701
Haus=gerätschaften,	w5_d379e21704
als:	w7_d379e21707
Tisch,	w9_d379e21710
Behter,	w1_d379e21715
Bilder,	w3_d379e21718
Kleider,	w5_d379e21721
wie	w7_d379e21724
auch	w9_d379e21727
allerhand	w11_d379e21730
Gattungen	w1_d379e21735
neuer	w3_d379e21738
Fässern	w5_d379e21741
sowol	w7_d379e21744
in	w9_d379e21747
eisenen	w11_d379e21750
als	w13_d379e21754
hölzernen	w1_d379e21760
Banden,	w3_d379e21763
Schäffel,	w5_d379e21766
Buten,	w7_d379e21769
und	w9_d379e21772
end	w11_d379e21775
lichen	w1_d379e21780
Binder=Werk=zeug	w3_d379e21783
in	w5_d379e21786
der	w7_d379e21789
Rossau	w9_d379e21792
in	w11_d379e21795
der	w13_d379e21799
sogenannten	w1_d379e21804
Hauenlichtisch	w3_d379e21807
in	w5_d379e21810
der	w7_d379e21813
Hahn=gassen	w9_d379e21816
ligenden	w1_d379e21821
Behausung	w3_d379e21824
an	w5_d379e21827
den	w7_d379e21830
Meist=bierenden	w9_d379e21833
le	w11_d379e21836
citando	w1_d379e21842
verkauffet	w3_d379e21845
werden.	w5_d379e21848
</p>
<p id="p22_d379e21851">
Auf	w1_d379e21855
nächst=künftigen	w3_d379e21858
Montag	w5_d379e21861
als	w7_d379e21864
den	w9_d379e21867
10.	w11_d379e21870
die	w13_d379e21874
ses	w1_d379e21879
werden	w3_d379e21882
mit	w5_d379e21885
hoher	w7_d379e21888
Obrigkeitlicher	w9_d379e21891
Bewilligung	w11_d379e21894
in	w1_d379e21899
dem	w3_d379e21902
Goldschlagerischen	w5_d379e21905
Haus	w7_d379e21908
im	w9_d379e21911
vierten	w11_d379e21914
Sto	w13_d379e21918
im	w1_d379e21924
sogenannten	w3_d379e21927
Juden=gässel	w5_d379e21930
nächst	w7_d379e21933
der	w9_d379e21936
heiligen	w11_d379e21939
Dreyfaltigkeit	w1_d379e21944
verschiedene	w3_d379e21947
Mobilien	w5_d379e21950
und	w7_d379e21953
Effecten,	w9_d379e21956
als	w1_d379e21961
Kästen,	w3_d379e21964
Spiegel,	w5_d379e21967
Tisch,	w7_d379e21970
Bilder,	w9_d379e21973
Ber	w11_d379e21976
städte	w1_d379e21981
samt	w3_d379e21984
Beht=gewand,	w5_d379e21987
Seffeln,	w7_d379e21990
Exallier,	w9_d379e21993
und	w1_d379e21999
andere	w3_d379e22002
dergleichen	w5_d379e22005
mehrere	w7_d379e22008
Zimmergerür	w9_d379e22011
schaften,	w1_d379e22016
verschiedenes	w3_d379e22019
Gewehr,	w5_d379e22022
Eisen=werk,	w7_d379e22025
porcelanenes	w1_d379e22030
Geschirr,	w3_d379e22033
Manns=kleider,	w5_d379e22036
Vor	w7_d379e22039
mittag	w1_d379e22044
von	w3_d379e22047
9.	w1_d379e22053
bis	w3_d379e22056
12.	w5_d379e22059
Nachmittag	w7_d379e22062
aber	w9_d379e22065
von	w11_d379e22068
3.	w13_d379e22072
bis	w1_d379e22077
6.	w3_d379e22080
Uhr	w5_d379e22083
licitando	w7_d379e22086
verkauffet	w9_d379e22089
werden.	w11_d379e22092
</p>
<p id="p24_d379e22096">
Den	w1_d379e22100
13.	w3_d379e22103
dies	w5_d379e22106
Monats	w7_d379e22109
Septembris,	w9_d379e22112
und	w11_d379e22115
fol	w13_d379e22119
gende	w1_d379e22124
Täge	w3_d379e22127
Vormittag	w5_d379e22130
von	w7_d379e22133
9.	w9_d379e22136
bis	w11_d379e22139
12.	w13_d379e22143
und	w15_d379e22146
Nach	w17_d379e22149
3.	w1_d379e22154
bis	w3_d379e22157
6.	w5_d379e22160
Uhr	w7_d379e22163
werden	w9_d379e22166
auf	w11_d379e22169
Verord	w13_d379e22173
mittag	w1_d379e22179
von	w3_d379e22182
nung	w1_d379e22187
einer	w3_d379e22190
Löbl.	w5_d379e22193
Universität	w7_d379e22196
alhier	w9_d379e22199
im	w11_d379e22202
Baren	w13_d379e22206
Schmidlinischen	w1_d379e22211
Haus	w3_d379e22214
am	w5_d379e22217
Stock	w7_d379e22220
am	w9_d379e22223
Eisen=Naß	w11_d379e22226
anderten	w1_d379e22231
Stocks	w3_d379e22234
verschiedene	w5_d379e22237
Verlassenschaftsef	w7_d379e22240
bestehend	w1_d379e22246
in	w3_d379e22249
Jubellen,	w5_d379e22252
Galavterten	w7_d379e22255
fecten	w1_d379e22260
Gold,	w1_d379e22265
und	w3_d379e22268
Silber,	w5_d379e22271
schönen	w7_d379e22274
Bildern,	w9_d379e22277
Manns	w11_d379e22280
und	w1_d379e22285
Kleidern,	w3_d379e22288
Porcclan,	w5_d379e22291
Mobilien,	w7_d379e22294
wäsch,	w1_d379e22300
Zimmer=einrichtung,	w1_d379e22305
Pferd,	w3_d379e22308
und	w5_d379e22311
Wägen	w7_d379e22314
dam	w9_d379e22317
Zinn,	w1_d379e22322
Kupfer,	w3_d379e22325
und	w5_d379e22328
Kuchen=geschirr	w7_d379e22331
licitands	w9_d379e22334
dem	w1_d379e22339
Meist=bietenden	w3_d379e22342
verkauffet	w5_d379e22345
werden.	w7_d379e22348
</p>
<p id="p26_d379e22351">
Es	w1_d379e22355
ist	w3_d379e22358
auf	w5_d379e22361
künftigen	w7_d379e22364
St.	w9_d379e22367
Michaclis	w11_d379e22370
das	w13_d379e22374
Zaplhes	w15_d379e22377
mische	w1_d379e22382
Bräu=haus	w3_d379e22385
auf	w5_d379e22388
der	w7_d379e22391
Schwechat	w9_d379e22394
im	w11_d379e22397
Bestand	w13_d379e22401
zu	w15_d379e22404
verlassen,	w1_d379e22409
auch	w3_d379e22412
allenfalls	w5_d379e22415
bis	w7_d379e22418
dahin	w9_d379e22421
Täglich	w11_d379e22424
zu	w13_d379e22428
ver	w15_d379e22431
kauffen,	w1_d379e22437
wer	w3_d379e22440
zu	w5_d379e22443
solchem	w7_d379e22446
Belieben	w9_d379e22449
traget,	w11_d379e22452
der	w13_d379e22456
hat	w15_d379e22459
sich	w17_d379e22462
bey	w1_d379e22467
denen	w3_d379e22470
von	w5_d379e22473
Zahlheimischen	w7_d379e22476
Herren	w9_d379e22479
Gebrüberen;	w11_d379e22482
als	w1_d379e22487
Administratoribus	w3_d379e22490
alhier,	w5_d379e22493
entweder	w7_d379e22496
auf	w9_d379e22499
dem	w11_d379e22502
Hohen	w1_d379e22507
Markt	w3_d379e22510
im	w5_d379e22513
Fernerischen	w7_d379e22516
Haus	w9_d379e22519
im	w11_d379e22522
2.	w13_d379e22526
Stock,	w15_d379e22529
oder	w1_d379e22535
unterhalb	w3_d379e22538
des	w5_d379e22541
alten	w7_d379e22544
Fleisch=marks	w9_d379e22547
im	w11_d379e22550
Schurd	w13_d379e22554
dischen	w1_d379e22559
Haus	w3_d379e22562
im	w5_d379e22565
3.	w7_d379e22568
Stock	w9_d379e22571
anzumeldas,	w11_d379e22574
</p>
<head id="h2_d379e22612">
JOURNAL	w1_d379e22616
von	w3_d379e22619
dem	w5_d379e22622
unter	w7_d379e22625
Commando	w9_d379e22628
des	w11_d379e22631
G.	w13_d379e22635
F.	w15_d379e22638
Z.	w17_d379e22641
M.	w19_d379e22644
Grafen	w21_d379e22647
von	w23_d379e22650
Harsch	w25_d379e22654
stehenden	w27_d379e22657
Corps	w1_d379e22662
d'Armee	w3_d379e22665
vom	w5_d379e22668
29.	w7_d379e22671
Augusti	w9_d379e22674
bis	w11_d379e22677
6.	w13_d379e22681
Septembris	w15_d379e22684
1759.	w17_d379e22687
</head>
<p id="p4_d379e22690">
Es	w1_d379e22694
hat	w3_d379e22697
der	w5_d379e22700
G.	w7_d379e22703
F.	w9_d379e22706
Z.	w11_d379e22709
M.	w13_d379e22713
Graf	w15_d379e22716
von	w17_d379e22719
Harsch,	w19_d379e22722
da	w21_d379e22725
dessen	w23_d379e22728
unterhabendes	w25_d379e22732
Corps	w27_d379e22735
Ed'Armee	w1_d379e22740
noch	w3_d379e22743
bey	w5_d379e22746
Trauttenbach	w7_d379e22749
gestanden,	w9_d379e22752
den	w11_d379e22755
Obrist=leutenant	w13_d379e22759
Gra	w15_d379e22762
fen	w1_d379e22767
von	w3_d379e22770
Dönhof	w5_d379e22773
mit	w7_d379e22776
einem	w9_d379e22779
ziemlichen	w11_d379e22782
starken	w13_d379e22786
Commando	w15_d379e22789
nacher	w17_d379e22792
Schlesien,	w19_d379e22795
und	w1_d379e22801
in	w3_d379e22804
die	w5_d379e22807
Grafschaft	w7_d379e22810
Glatz	w9_d379e22813
abgesendet,	w11_d379e22816
um	w13_d379e22820
alldorten	w15_d379e22823
sowol	w17_d379e22826
Contribution	w19_d379e22829
als	w21_d379e22832
Natural=lieferungen	w1_d379e22837
einzutreiben.	w3_d379e22840
Von	w5_d379e22843
diesem	w7_d379e22846
Obrist=leutenant	w9_d379e22849
erhielte	w11_d379e22852
man	w13_d379e22856
</p>
<p id="p6_d379e22859">
Den	w1_d379e22863
29.	w3_d379e22866
den	w5_d379e22869
Raport,	w7_d379e22872
daß	w9_d379e22875
er	w11_d379e22878
seinen	w13_d379e22882
Weeg	w15_d379e22885
über	w17_d379e22888
Braunau	w19_d379e22891
nacher	w21_d379e22894
Neu	w23_d379e22897
wde	w1_d379e22902
genommen,	w3_d379e22905
und	w5_d379e22908
über	w7_d379e22911
Langen=billa	w9_d379e22914
in	w11_d379e22917
Schlesien	w13_d379e22921
zu	w15_d379e22924
rucken	w17_d379e22927
des	w19_d379e22930
Vorhabens	w21_d379e22933
gewesen,	w1_d379e22938
da	w3_d379e22941
er	w5_d379e22944
aber	w7_d379e22947
die	w9_d379e22950
dortige	w11_d379e22953
Strassen	w13_d379e22957
dergestalten	w15_d379e22960
verhauen	w17_d379e22963
angetroffen	w19_d379e22966
daß	w1_d379e22972
solche	w3_d379e22975
nicht	w5_d379e22978
zu	w7_d379e22981
paßiren	w9_d379e22984
waren,	w11_d379e22987
hat	w13_d379e22991
er	w15_d379e22994
einsweilen	w17_d379e22997
zu	w19_d379e23000
gedachtem	w21_d379e23003
Neurode	w23_d379e23006
Halt	w1_d379e23011
gemacht,	w3_d379e23014
sofort	w5_d379e23017
die	w7_d379e23020
Strassen	w9_d379e23023
über	w11_d379e23026
Silberberg	w13_d379e23030
gewählet,	w15_d379e23033
und	w17_d379e23036
sich	w19_d379e23039
von	w21_d379e23042
dannen	w1_d379e23047
nacher	w3_d379e23050
Reichenbach	w5_d379e23053
gezogen.	w7_d379e23056
</p>
<p id="p8_d379e23059">
Den30	w1_d379e23063
hat	w3_d379e23066
der	w5_d379e23069
G.	w7_d379e23072
F	w9_d379e23075
Z	w11_d379e23078
M.	w13_d379e23082
Graf	w15_d379e23085
von	w17_d379e23088
Harsch	w19_d379e23091
sich	w21_d379e23094
mit	w23_d379e23097
stäten	w25_d379e23101
Recognosciren	w27_d379e23104
der	w1_d379e23109
feindlichen	w3_d379e23112
Position	w5_d379e23115
beschäftiget,	w7_d379e23118
und	w9_d379e23121
um	w11_d379e23124
die	w13_d379e23128
bey	w15_d379e23131
Landshut,	w17_d379e23134
und	w19_d379e23137
dortiger	w21_d379e23140
Gegend	w1_d379e23145
vom	w3_d379e23148
Feind	w5_d379e23151
errichtete	w7_d379e23154
Verschanzungen	w9_d379e23157
desto	w11_d379e23160
füglicher,	w13_d379e23164
und	w15_d379e23167
in	w17_d379e23170
der	w19_d379e23173
Nähe	w1_d379e23179
betrachten	w3_d379e23182
zu	w5_d379e23185
können,	w7_d379e23188
wurde	w9_d379e23191
denen	w11_d379e23194
beeden	w13_d379e23198
General=majors	w15_d379e23201
Frey=herrr	w17_d379e23204
von	w1_d379e23209
Jahnus,	w3_d379e23212
und	w5_d379e23215
Grafen	w7_d379e23218
von	w9_d379e23221
Reuard	w11_d379e23224
aufgetragen,	w13_d379e23228
die	w15_d379e23231
feindliche	w17_d379e23234
Vor=posten	w19_d379e23237
zuruck	w1_d379e23242
zu	w3_d379e23245
treiben,	w5_d379e23248
dem	w7_d379e23251
Generalen	w9_d379e23254
Baron	w11_d379e23257
von	w13_d379e23261
Jahnus	w15_d379e23264
hiernächst	w17_d379e23267
ins	w19_d379e23270
besondere	w21_d379e23273
mit	w1_d379e23278
ge	w3_d379e23281
eben,	w5_d379e23284
die	w7_d379e23287
Plasdorfer=anhöhen	w9_d379e23290
diesseits	w11_d379e23293
des	w13_d379e23297
Bobers	w15_d379e23300
zu	w17_d379e23303
behaupten,	w19_d379e23306
und	w21_d379e23309
zu	w1_d379e23315
besetzen.	w3_d379e23318
Hierzu	w5_d379e23321
ware	w7_d379e23324
</p>
<p id="p10_d379e23327">
Der	w1_d379e23331
31.	w3_d379e23334
dieses	w5_d379e23337
zu	w7_d379e23340
Ende	w9_d379e23343
gehenden	w11_d379e23346
Monats	w13_d379e23350
bestimmet.	w15_d379e23353
Eine	w17_d379e23356
Stunde	w19_d379e23359
vor	w21_d379e23362
Tags	w1_d379e23367
muste	w3_d379e23370
1.	w5_d379e23373
Grenadiers=bataillon	w7_d379e23376
mit	w9_d379e23379
2.	w11_d379e23382
Canonen	w13_d379e23386
sich	w15_d379e23389
bey	w17_d379e23392
dem	w19_d379e23395
Anfang	w21_d379e23398
des	w23_d379e23401
Dorfs	w1_d379e23406
Weissenbach	w3_d379e23409
postiren.	w5_d379e23412
Jn	w7_d379e23415
der	w9_d379e23418
Mitte	w11_d379e23421
zwischen	w13_d379e23425
dem	w15_d379e23428
Schatten	w17_d379e23431
und	w19_d379e23434
Sat	w21_d379e23437
telberg	w1_d379e23443
nahmen	w3_d379e23446
2.	w5_d379e23449
Grenadiers=compagnien	w7_d379e23452
des	w9_d379e23455
Gradiscaner=regiments	w11_d379e23458
mit	w13_d379e23462
2.	w15_d379e23465
Falcaunen	w1_d379e23470
ihre	w3_d379e23473
Stellung.	w5_d379e23476
Rechts	w7_d379e23479
am	w9_d379e23482
Schattenberg	w11_d379e23485
stunde	w13_d379e23489
der	w15_d379e23492
Obristleute	w17_d379e23495
nant	w1_d379e23500
Papilla	w3_d379e23503
mit	w5_d379e23506
1000.	w7_d379e23509
Sclavoniern,	w9_d379e23512
so	w11_d379e23515
die	w13_d379e23519
Occupirung	w15_d379e23522
deren	w17_d379e23525
beeden	w19_d379e23528
Plas	w21_d379e23531
dorfer=anhöhen	w1_d379e23536
zu	w3_d379e23539
unternehmen	w5_d379e23542
hatte.	w7_d379e23545
Untereinstens	w9_d379e23548
ruckte	w11_d379e23551
der	w13_d379e23555
Obriste	w15_d379e23558
des	w17_d379e23561
Rudolph	w1_d379e23567
Palfischen	w3_d379e23570
Hussaren=regiments	w5_d379e23573
von	w7_d379e23576
Revitzky	w9_d379e23579
mit	w11_d379e23582
100.	w13_d379e23586
Hussaren	w15_d379e23589
welche	w1_d379e23594
mit	w3_d379e23597
100	w5_d379e23600
Uhlanen	w7_d379e23603
unterstützet	w9_d379e23606
wurden,	w11_d379e23609
in	w13_d379e23613
dem	w15_d379e23616
Thal	w17_d379e23619
gegen	w19_d379e23622
Plasdorf	w21_d379e23625
vor,	w1_d379e23630
allwo	w3_d379e23633
er	w5_d379e23636
die	w7_d379e23639
feindliche	w9_d379e23642
Feld=wachten	w11_d379e23645
repoußiret.	w13_d379e23649
</p>
<p id="p12_d379e23653">
Es	w1_d379e23657
ware	w3_d379e23660
kaum	w5_d379e23663
Tag,	w7_d379e23666
so	w9_d379e23669
canonirte	w11_d379e23672
man	w13_d379e23676
feindlicher	w15_d379e23679
Seits	w17_d379e23682
von	w19_d379e23685
3.	w21_d379e23688
Batterien	w23_d379e23691
die	w1_d379e23696
auf	w3_d379e23699
denen	w5_d379e23702
Johnsdorfer=auhöhen	w7_d379e23705
errichtet	w9_d379e23708
waren,	w11_d379e23711
auf	w13_d379e23715
unsere	w15_d379e23718
Trupen,	w17_d379e23721
wel	w19_d379e23724
ches	w1_d379e23729
auch	w3_d379e23732
von	w5_d379e23735
dem	w7_d379e23738
Reichhenersdorfer=berge,	w9_d379e23741
obwolen	w11_d379e23744
ohne	w13_d379e23748
Würkung	w15_d379e23751
geschahe,	w17_d379e23754
</p>
<p id="p14_d379e23757">
Unter	w1_d379e23761
dieser	w3_d379e23764
Canonade	w5_d379e23767
zeigten	w7_d379e23770
sich	w9_d379e23773
verschiedene	w11_d379e23776
feindliche	w13_d379e23780
Escadrons	w15_d379e23783
in	w17_d379e23786
8.	w19_d379e23789
Cruben	w1_d379e23794
eingetheilet,	w3_d379e23797
so	w5_d379e23800
sich	w7_d379e23803
