<doc id="wr_1759-07-04" attrs="word" year="1759" month="07" day="04" corpus="2">
<head id="h2_d362e3837">
Cassel	w1_d362e3841
rich	w1_d362e11101
Müller,	w3_d362e11104
und	w5_d362e11107
Maria	w7_d362e11110
Morigglin	w9_d362e11113
mit	w11_d362e11116
Namen,	w1_d362e11121
im	w3_d362e11124
57.	w5_d362e11127
Jahr	w7_d362e11130
ihres	w9_d362e11133
wolvergnüg	w11_d362e11136
ten	w1_d362e11141
Ehe=standes,	w3_d362e11144
ihre	w5_d362e11147
anderte	w7_d362e11150
Hochzeit	w9_d362e11153
auf	w11_d362e11156
das	w1_d362e11161
feyrlichste	w3_d362e11164
gehalten.	w5_d362e11167
</p>
<p id="p6_d362e11170">
Der	w1_d362e11174
Bräutigam	w3_d362e11177
hat	w5_d362e11180
bereits	w7_d362e11183
90.,	w9_d362e11186
die	w11_d362e11189
Braut	w1_d362e11194
80.	w3_d362e11197
Jahr	w5_d362e11200
erreichet,	w7_d362e11203
des	w9_d362e11206
Ehe=manns	w11_d362e11209
sein	w1_d362e11214
Profeßion	w3_d362e11217
ist	w5_d362e11220
die	w7_d362e11223
Feld=messerey,	w9_d362e11226
welche	w11_d362e11229
er	w1_d362e11235
in	w3_d362e11238
diesem	w5_d362e11241
seinem	w7_d362e11244
hohen	w9_d362e11247
Alter	w11_d362e11250
so	w13_d362e11254
unbe	w15_d362e11257
schwert,	w1_d362e11262
als	w3_d362e11265
in	w5_d362e11268
seinen	w7_d362e11271
jüngern	w9_d362e11274
Jahren	w11_d362e11277
übet.	w1_d362e11282
Se.	w3_d362e11285
Freyherrliche	w5_d362e11288
Gnaden	w7_d362e11291
(Titl.)	w9_d362e11294
Herr	w1_d362e11299
Baron	w3_d362e11302
von	w5_d362e11305
Federspill,	w7_d362e11308
von	w9_d362e11311
und	w11_d362e11314
in	w13_d362e11318
Liechtenegg,	w1_d362e11324
des	w3_d362e11327
Heil.	w5_d362e11330
Römischen	w7_d362e11333
Reichs	w9_d362e11336
fürsten,	w1_d362e11341
und	w3_d362e11344
Bischoffen	w5_d362e11347
zu	w7_d362e11350
Chur	w9_d362e11353
leibli	w11_d362e11356
cher	w1_d362e11361
Herr	w3_d362e11364
Bruder,	w5_d362e11367
würdigten	w7_d362e11370
sich	w9_d362e11373
in	w11_d362e11376
eige	w13_d362e11380
ner	w1_d362e11385
Person	w3_d362e11388
die	w5_d362e11391
Stelle	w7_d362e11394
eines	w9_d362e11397
Brautfüh	w11_d362e11400
rers	w1_d362e11406
zu	w3_d362e11409
vertretten.	w5_d362e11412
Was	w7_d362e11415
aber	w9_d362e11418
die	w11_d362e11421
Verwun	w13_d362e11425
derung	w1_d362e11430
bey	w3_d362e11433
dem	w5_d362e11436
von	w7_d362e11439
allen	w9_d362e11442
Orten	w11_d362e11445
herzu	w13_d362e11449
ge	w15_d362e11452
loffenen	w1_d362e11457
Volk	w3_d362e11460
dergestalten	w5_d362e11463
vermehret,	w7_d362e11466
daß	w9_d362e11469
selbes	w1_d362e11474
den	w3_d362e11477
ganzen	w5_d362e11480
Tag	w7_d362e11483
in	w9_d362e11486
vollem	w11_d362e11489
Freuden	w13_d362e11493
und	w15_d362e11496
Jubel=geschrey	w1_d362e11502
allda	w3_d362e11505
zugebracht,	w5_d362e11508
ware	w7_d362e11511
die	w9_d362e11514
gegen	w1_d362e11519
diesen	w3_d362e11522
so	w5_d362e11525
geringen	w7_d362e11528
Ehe=leuten	w9_d362e11531
niemalen	w11_d362e11534
genug	w1_d362e11539
zu	w3_d362e11542
preisende	w5_d362e11545
Milde,	w7_d362e11548
und	w9_d362e11551
Güte	w11_d362e11554
Jhrer	w13_d362e11558
Kais.	w1_d362e11563
Königl.	w3_d362e11566
Apostolischen	w5_d362e11569
Majestät,	w7_d362e11572
aller	w9_d362e11575
qnä	w1_d362e11581
</p>
<p id="p10_d362e11586">
gnädigsten	w1_d362e11590
Landes=fürstin	w3_d362e11593
und	w5_d362e11596
Frau	w7_d362e11599
Frau	w9_d362e11602
rc.	w11_d362e11605
Als	w1_d362e11610
allerhöchst	w3_d362e11613
Dieselbe	w5_d362e11616
diese	w7_d362e11619
Brautper	w9_d362e11622
sonen,	w1_d362e11627
durch	w3_d362e11630
ihren	w5_d362e11633
Ehrwürdigen	w7_d362e11636
Sohn	w9_d362e11639
weltlichen	w1_d362e11645
Priester,	w3_d362e11648
und	w5_d362e11651
dermaligen	w7_d362e11654
Bene	w9_d362e11657
ficiaten	w1_d362e11662
im	w3_d362e11665
Waisen=haus	w5_d362e11668
zu	w7_d362e11671
Wien	w9_d362e11674
am	w11_d362e11677
Renn	w13_d362e11681
weg,	w1_d362e11686
zwey	w3_d362e11689
goldene	w5_d362e11692
Gnaden=pfenning,	w7_d362e11695
zu	w9_d362e11698
einen	w1_d362e11703
Hochzeit=präsent	w3_d362e11706
überschicket.	w5_d362e11709
Nach	w7_d362e11712
einer	w1_d362e11718
kurzen	w3_d362e11721
Anrede	w5_d362e11724
und	w7_d362e11727
gewöhnlichen	w9_d362e11730
Ce	w11_d362e11733
remoniel,	w1_d362e11738
legte	w3_d362e11741
dieser	w5_d362e11744
Ehr=würdige	w7_d362e11747
Sohn	w9_d362e11750
obige	w1_d362e11755
goldene	w3_d362e11758
Gnaden=pfenning	w5_d362e11761
seinen	w7_d362e11764
lie	w9_d362e11767
ben	w1_d362e11772
Eltern	w3_d362e11775
unter	w5_d362e11778
Trompeten	w7_d362e11781
und	w9_d362e11784
Paucken	w11_d362e11787
schall	w1_d362e11793
um	w3_d362e11796
den	w5_d362e11799
Hals,	w7_d362e11802
und	w9_d362e11805
sange	w11_d362e11808
darauf	w13_d362e11812
bey	w15_d362e11815
vortreflicher	w1_d362e11820
Music	w3_d362e11823
das	w5_d362e11826
Hoch=amt	w7_d362e11829
ab,	w9_d362e11832
und	w11_d362e11835
nach	w1_d362e11840
dessen	w3_d362e11843
Ende	w5_d362e11846
das	w7_d362e11849
feyerliche	w9_d362e11852
Te	w11_d362e11855
Deum	w13_d362e11859
Lau	w15_d362e11862
damus.	w1_d362e11867
Nach	w3_d362e11870
dem	w5_d362e11873
Credo	w7_d362e11876
bestiege	w9_d362e11879
der	w11_d362e11882
WW.	w13_d362e11886
EE.	w1_d362e11892
PP.	w3_d362e11895
Ottmarus	w5_d362e11898
Capuciner=ordens,	w7_d362e11901
als	w1_d362e11906
älterer	w3_d362e11909
Sohn	w5_d362e11912
die	w7_d362e11915
Canzel,	w9_d362e11918
und	w11_d362e11921
hielte	w13_d362e11925
eine	w1_d362e11930
für	w3_d362e11933
diese	w5_d362e11936
Umstände	w7_d362e11939
sowol	w9_d362e11942
nutzlich,	w11_d362e11945
als	w1_d362e11950
wol	w3_d362e11953
ausgearbeitete	w5_d362e11956
Predig.	w7_d362e11959
Nach	w9_d362e11962
ge	w11_d362e11965
endigten	w1_d362e11971
GOttes=dienst	w3_d362e11974
zoge	w5_d362e11977
man	w7_d362e11980
ordent	w9_d362e11983
lich	w1_d362e11988
in	w3_d362e11991
das	w5_d362e11994
Haus	w7_d362e11997
des	w9_d362e12000
Herrn	w11_d362e12003
Baron	w13_d362e12007
von	w1_d362e12012
Federspill	w3_d362e12015
rc.	w5_d362e12018
alwo	w7_d362e12021
24.	w9_d362e12024
die	w11_d362e12027
üb	w13_d362e12031
rige	w1_d362e12036
aber	w3_d362e12039
bey	w5_d362e12042
dasigen	w7_d362e12045
Herrn	w9_d362e12048
Anwald	w11_d362e12051
bey	w13_d362e12055
45.	w1_d362e12061
Nächstverwandte,	w3_d362e12064
herrlich	w5_d362e12067
tractirt	w7_d362e12070
wur	w9_d362e12073
den.	w1_d362e12078
Unter	w3_d362e12081
währender	w5_d362e12084
Tafel	w7_d362e12087
wurden	w9_d362e12090
zwey	w11_d362e12093
wol	w1_d362e12098
componirte	w3_d362e12101
Lieder,	w5_d362e12104
das	w7_d362e12107
erste	w9_d362e12110
von	w11_d362e12113
der	w13_d362e12117
Milde	w1_d362e12122
und	w3_d362e12125
Güte	w5_d362e12128
Jhrer	w7_d362e12131
Kaiserl.	w9_d362e12134
Königl.	w11_d362e12137
Apostolischen	w1_d362e12143
Majestät,	w3_d362e12146
das	w5_d362e12149
anderte	w7_d362e12152
von	w9_d362e12155
beyden	w1_d362e12160
alten	w3_d362e12163
Ehe=leuten,	w5_d362e12166
Musicalisch	w7_d362e12169
abge	w9_d362e12172
sungen,	w1_d362e12177
und	w3_d362e12180
also	w5_d362e12183
beschlosse	w7_d362e12186
man	w9_d362e12189
diesen	w11_d362e12192
freu	w13_d362e12196
den=vollen	w1_d362e12201
Tag.	w3_d362e12204
</p>
<head id="h2_d362e12210">
Kurz=gefaßte	w1_d362e12214
Nachrichten	w3_d362e12217
von	w1_d362e12222
verschiedenen	w3_d362e12225
Orten.	w5_d362e12228
Man	w1_d362e12233
vernihmt	w3_d362e12236
</head>
<p id="p4_d362e12239">
Von	w1_d362e12243
Mecklenburg:	w3_d362e12246
daß	w5_d362e12249
ein	w7_d362e12252
Corps	w9_d362e12255
Schwedischer	w1_d362e12260
Trupen	w3_d362e12263
5.	w5_d362e12266
Preußische	w7_d362e12269
unter	w9_d362e12272
dem	w1_d362e12277
Commando	w3_d362e12280
des	w5_d362e12283
General	w7_d362e12286
Kleist	w9_d362e12289
gestan	w11_d362e12292
dene	w1_d362e12298
Postirungen	w3_d362e12301
nach	w5_d362e12304
und	w7_d362e12307
nach	w9_d362e12310
aufgehoben,	w11_d362e12313
auch	w1_d362e12318
sohin	w3_d362e12321
Grimen	w5_d362e12324
besetzt,	w7_d362e12327
und	w9_d362e12330
daselbst	w11_d362e12333
ei	w13_d362e12337
nes	w1_d362e12342
Preußischen	w3_d362e12345
Magazins	w5_d362e12348
sich	w7_d362e12351
bemäch	w9_d362e12354
</p>
<p id="p6_d362e12357">
tiget,	w1_d362e12361
auch	w3_d362e12364
einer	w5_d362e12367
ihren	w7_d362e12370
Kriegscom	w9_d362e12373
missarien	w1_d362e12378
gefangen	w3_d362e12381
genommen,	w5_d362e12384
nicht	w7_d362e12387
min	w9_d362e12390
der	w1_d362e12395
von	w3_d362e12398
einer	w5_d362e12401
Preußischen	w7_d362e12404
Convoy	w9_d362e12407
5.	w11_d362e12410
Mu	w13_d362e12414
nitions=wägen,	w1_d362e12420
nebst	w3_d362e12423
vielen	w5_d362e12426
anderen	w7_d362e12429
Mu	w9_d362e12432
nitions=karren	w1_d362e12437
erobert	w3_d362e12440
hätten,	w5_d362e12443
und	w7_d362e12446
bis	w9_d362e12449
Greifswalde	w1_d362e12454
vorgedrungen	w3_d362e12457
wären,	w5_d362e12460
wobey	w7_d362e12463
sie	w1_d362e12468
auch	w3_d362e12471
einen	w5_d362e12474
Preußischen	w7_d362e12477
Transport	w9_d362e12480
Re	w11_d362e12483
cruten,	w1_d362e12489
welche	w3_d362e12492
aus	w5_d362e12495
dem	w7_d362e12498
Mecklenburgischen	w9_d362e12501
gehoben	w1_d362e12506
worden,	w3_d362e12509
denen	w5_d362e12512
Preußischen	w7_d362e12515
leich	w9_d362e12518
ten	w1_d362e12523
Trupen	w3_d362e12526
abgejagt,	w5_d362e12529
und	w7_d362e12532
der	w9_d362e12535
Schwedi	w11_d362e12538
sche	w1_d362e12543
General	w3_d362e12546
von	w5_d362e12549
Latinghausen	w7_d362e12552
diesfällige	w9_d362e12555
Mannschaft	w1_d362e12561
dem	w3_d362e12564
Herzog	w5_d362e12567
von	w7_d362e12570
Mecklenburg	w9_d362e12573
wieder	w1_d362e12578
zuruck	w3_d362e12581
geschickt	w5_d362e12584
habe.	w7_d362e12587
</p>
<p id="p8_d362e12590">
Von	w1_d362e12594
Altona:	w3_d362e12597
daß	w5_d362e12600
die	w7_d362e12603
Russen	w9_d362e12606
bereits	w11_d362e12609
ins	w1_d362e12614
Glogauische	w3_d362e12617
und	w5_d362e12620
bis	w7_d362e12623
auf	w9_d362e12626
einige	w11_d362e12629
Meilen	w13_d362e12633
von	w1_d362e12638
Breßlau	w3_d362e12641
Streiffereyen	w5_d362e12644
vorgenommen,	w7_d362e12647
sich	w1_d362e12653
aber	w3_d362e12656
hierauf	w5_d362e12659
wieder	w7_d362e12662
gegen	w9_d362e12665
Lissa	w11_d362e12668
und	w13_d362e12672
Fraustadt	w1_d362e12677
gezogen	w3_d362e12680
hätten.	w5_d362e12683
</p>
<p id="p10_d362e12686">
Von	w1_d362e12690
Patschau	w3_d362e12693
aus	w5_d362e12696
Schlesien:	w7_d362e12699
daß	w9_d362e12702
das	w11_d362e12705
Preußische	w1_d362e12710
Fouquetische	w3_d362e12713
Corps	w5_d362e12716
noch	w7_d362e12719
immer	w9_d362e12722
in	w1_d362e12727
denen	w3_d362e12730
Gegenden	w5_d362e12733
von	w7_d362e12736
Frankenstein	w9_d362e12739
sich	w11_d362e12742
befinde,	w1_d362e12748
und	w3_d362e12751
sowol	w5_d362e12754
an	w7_d362e12757
der	w9_d362e12760
Wartha,	w11_d362e12763
als	w13_d362e12767
auch	w1_d362e12772
bey	w3_d362e12775
der	w5_d362e12778
Abbtey	w7_d362e12781
von	w9_d362e12784
Camenz	w11_d362e12787
ausge	w13_d362e12791
setzte	w1_d362e12796
Vor=posten	w3_d362e12799
halte,	w5_d362e12802
welche	w7_d362e12805
alle	w9_d362e12808
Brü	w11_d362e12811
cken	w1_d362e12816
über	w3_d362e12819
die	w5_d362e12822
Neiß,	w7_d362e12825
wie	w9_d362e12828
nicht	w11_d362e12831
minder	w13_d362e12835
4.	w15_d362e12838
Pulfer=mühlen	w1_d362e12844
unweit	w3_d362e12847
besagten	w5_d362e12850
Patschau	w7_d362e12853
abgebrannt	w1_d362e12858
haben,	w3_d362e12861
zu	w5_d362e12864
welcher	w7_d362e12867
Expedition	w9_d362e12870
sie	w1_d362e12875
sowol	w3_d362e12878
mit	w5_d362e12881
Jnfanterie	w7_d362e12884
als	w9_d362e12887
auch	w11_d362e12890
so	w13_d362e12894
gar	w15_d362e12897
mit	w1_d362e12902
Stücken	w3_d362e12905
dahin	w5_d362e12908
angerückt	w7_d362e12911
wären;	w9_d362e12914
das	w11_d362e12917
Haupt=quartier	w1_d362e12923
des	w3_d362e12926
de	w5_d362e12929
Villischen	w7_d362e12932
Corps	w9_d362e12935
seye	w11_d362e12938
den	w1_d362e12943
25.	w3_d362e12946
Junii	w5_d362e12949
zu	w7_d362e12952
Weischitz	w9_d362e12955
gewesen,	w11_d362e12958
und	w13_d362e12962
die	w1_d362e12967
Vor=trupen	w3_d362e12970
davon	w5_d362e12973
wären	w7_d362e12976
von	w9_d362e12979
Weiß	w11_d362e12982
wasser	w1_d362e12987
aus	w3_d362e12990
längs	w5_d362e12993
der	w7_d362e12996
Neiß	w9_d362e12999
ausgestellet,	w11_d362e13002
auch	w1_d362e13008
seyen	w3_d362e13011
von	w5_d362e13014
diesem	w7_d362e13017
Corps	w9_d362e13020
die	w11_d362e13023
Anhöhen	w13_d362e13027
von	w1_d362e13032
Duchelsdorf	w3_d362e13035
bey	w5_d362e13038
Johannes=berg	w7_d362e13041
be	w9_d362e13044
setzt.	w1_d362e13049
Der	w3_d362e13052
Herr	w5_d362e13055
General	w7_d362e13058
Graf	w9_d362e13061
von	w11_d362e13064
Re	w13_d362e13068
nard	w1_d362e13073
wäre	w3_d362e13076
mit	w5_d362e13079
einem	w7_d362e13082
Theil	w9_d362e13085
leichter	w11_d362e13088
Trupen	w13_d362e13092
gegen	w1_d362e13098
die	w3_d362e13101
Ober	w5_d362e13104
detaschirt,	w7_d362e13107
und	w9_d362e13110
streiffe	w11_d362e13113
bis	w13_d362e13117
jenseit	w1_d362e13122
Oppeln;	w3_d362e13125
wie	w5_d362e13128
dann	w7_d362e13131
annebst	w9_d362e13134
die	w11_d362e13137
Kas	w13_d362e13141
serl.	w1_d362e13146
Königl.	w3_d362e13149
Völker	w5_d362e13152
aus	w7_d362e13155
dem	w9_d362e13158
ganzen	w11_d362e13161
Strich	w13_d362e13165
Landes	w1_d362e13170
diesseits	w3_d362e13173
der	w5_d362e13176
Neiß	w7_d362e13179
Contributionen	w9_d362e13182
sowol	w1_d362e13188
an	w3_d362e13191
Geld	w5_d362e13194
als	w7_d362e13197
Fourage	w9_d362e13200
ziehen.	w11_d362e13203
Wien	w1_d362e13208
</p>
<p id="p16_d362e13224">
Vorgestrigen	w1_d362e13228
Montag	w3_d362e13231
als	w5_d362e13234
am	w7_d362e13237
Fest	w9_d362e13240
Ma	w11_d362e13243
ria	w1_d362e13248
Heimsuchung,	w3_d362e13251
seynd	w5_d362e13254
Vormittags	w7_d362e13257
beyde	w1_d362e13262
Kaiserl.	w3_d362e13265
Majestäten	w5_d362e13268
mit	w7_d362e13271
Seiner	w9_d362e13274
Kö	w11_d362e13277
nigl.	w1_d362e13283
Hoheit	w3_d362e13286
dem	w5_d362e13289
Durchl.	w7_d362e13292
Erz=herzogen	w9_d362e13295
Joseph	w1_d362e13300
von	w3_d362e13303
Schönbrunn	w5_d362e13306
herein	w7_d362e13309
in	w9_d362e13312
offentli	w11_d362e13315
chen	w1_d362e13320
Staat,	w3_d362e13323
in	w5_d362e13326
das	w7_d362e13329
Frauen=kloster	w9_d362e13332
deren	w11_d362e13335
Salesianerinnen	w1_d362e13340
am	w3_d362e13343
Renn=weeg	w5_d362e13346
abgefahren,	w7_d362e13349
und	w1_d362e13355
haben	w3_d362e13358
alda	w5_d362e13361
in	w7_d362e13364
Aufwartung	w9_d362e13367
beyder	w11_d362e13370
Excellenzen	w1_d362e13375
des	w3_d362e13378
Päpstl.	w5_d362e13381
Monsig.	w7_d362e13384
Nuntii,	w9_d362e13387
und	w1_d362e13392
Venetianischen	w3_d362e13395
Herrn	w5_d362e13398
Bottschafters	w7_d362e13401
ene	w1_d362e13406
feyerlichen	w3_d362e13409
GOttes=dienst	w5_d362e13412
beygewoh	w7_d362e13415
it	w1_d362e13421
hierauf	w3_d362e13424
in	w5_d362e13427
die	w7_d362e13430
Burg	w9_d362e13433
sich	w11_d362e13436
begeben,	w13_d362e13440
al	w15_d362e13443
wo	w1_d362e13448
Seine	w3_d362e13451
Excellenz	w5_d362e13454
der	w7_d362e13457
vor	w9_d362e13460
etlichen	w11_d362e13463
Tägen	w13_d362e13467
alhier	w1_d362e13472
angelangte	w3_d362e13475
Königl.	w5_d362e13478
Französische	w7_d362e13481
Herr	w9_d362e13484
Bottschafter	w1_d362e13489
Comte	w3_d362e13492
de	w5_d362e13495
Choiseuil,	w7_d362e13498
bey	w9_d362e13501
bey	w11_d362e13504
den	w1_d362e13510
Kaiserl.	w3_d362e13513
Königl.	w5_d362e13516
Majestäten,	w7_d362e13519
und	w9_d362e13522
Se.	w11_d362e13525
Königl.	w1_d362e13530
Hoheit	w3_d362e13533
dem	w5_d362e13536
Durchl.	w7_d362e13539
Cron	w9_d362e13542
und	w11_d362e13545
Ecb=prinzen	w1_d362e13550
Erz=herzogen	w3_d362e13553
Joseph,	w5_d362e13556
seine	w7_d362e13559
be	w9_d362e13562
sondere	w1_d362e13567
Ankunfts=audienz	w3_d362e13570
gehabt.	w5_d362e13573
Mit	w7_d362e13576
tags	w1_d362e13582
haben	w3_d362e13585
Allerhöchste	w5_d362e13588
Herrschaften	w7_d362e13591
alda	w9_d362e13594
gespeiset,	w1_d362e13599
dann	w3_d362e13602
Nachmittags	w5_d362e13605
des	w7_d362e13608
gedachten	w9_d362e13611
Französischen	w1_d362e13616
Herrn	w3_d362e13619
Bottschafters	w5_d362e13622
seine	w7_d362e13625
Frau	w1_d362e13630
Gemahlin,	w3_d362e13633
bey	w5_d362e13636
ihrer	w7_d362e13639
Majestät	w9_d362e13642
der	w11_d362e13645
Kaiserin	w1_d362e13651
eine	w3_d362e13654
gleichförmige	w5_d362e13657
besondere	w7_d362e13660
An	w9_d362e13663
kunfts=audienz	w1_d362e13668
gehabt;	w3_d362e13671
hierauf	w5_d362e13674
seynd	w7_d362e13677
bee	w9_d362e13680
de	w1_d362e13685
Kaiserliche	w3_d362e13688
Majestäten	w5_d362e13691
mit	w7_d362e13694
Sr.	w9_d362e13697
Königl.	w11_d362e13700
Hoheit	w1_d362e13705
dem	w3_d362e13708
Durchl.	w5_d362e13711
Erz=herzogen	w7_d362e13714
Joseph,	w9_d362e13717
in	w1_d362e13723
das	w3_d362e13726
Profeß=haus	w5_d362e13729
deren	w7_d362e13732
WW.	w9_d362e13735
EE.	w11_d362e13738
PP.	w13_d362e13742
Jesulten	w1_d362e13747
am	w3_d362e13750
Hof	w5_d362e13753
gefahren,	w7_d362e13756
und	w9_d362e13759
haben	w11_d362e13762
alda	w13_d362e13766
unter	w1_d362e13771
Aufwartung	w3_d362e13774
beyder	w5_d362e13777
Herrn	w7_d362e13780
Bottschaf	w9_d362e13783
teren	w1_d362e13788
der	w3_d362e13791
Vesper,	w5_d362e13794
dann	w7_d362e13797
bey	w9_d362e13800
der	w11_d362e13803
Mariani	w13_d362e13807
schen	w1_d362e13813
Saulen	w3_d362e13816
auf	w5_d362e13819
dem	w7_d362e13822
Hof	w9_d362e13825
der	w11_d362e13828
Lauretani	w13_d362e13832
schen	w1_d362e13837
Litaney	w3_d362e13840
beygewohnet,	w5_d362e13843
einfolglich	w7_d362e13846
nacher	w1_d362e13851
Schönbrunn	w3_d362e13854
sich	w5_d362e13857
anwiederumen	w7_d362e13860
zu	w9_d362e13863
ruck	w1_d362e13868
begeben.	w3_d362e13871
</p>
<head id="h2_d362e13877">
Wien	w1_d362e13881
den	w3_d362e13884
4.	w5_d362e13887
Julii	w7_d362e13890
1759.	w9_d362e13893
</head>
<p id="p4_d362e13896">
Die	w1_d362e13900
Kais.	w3_d362e13903
Königl.	w5_d362e13906
unter	w7_d362e13909
Commando	w9_d362e13912
Sr.	w11_d362e13915
Ex	w13_d362e13919
cell.	w1_d362e13924
des	w3_d362e13927
Hrn.	w5_d362e13930
Feld=marschalls	w7_d362e13933
Grafens	w9_d362e13936
von	w11_d362e13939
Daun	w1_d362e13944
stehende	w3_d362e13947
Armee	w5_d362e13950
hat	w7_d362e13953
den	w9_d362e13956
28.	w11_d362e13959
erstabge	w13_d362e13963
wichenen	w1_d362e13969
Monats	w3_d362e13972
Junii	w5_d362e13975
sich	w7_d362e13978
in	w9_d362e13981
Marsch	w11_d362e13984
ge	w13_d362e13988
setzet,	w1_d362e13993
und	w3_d362e13996
ist	w5_d362e13999
diesen	w7_d362e14002
Tag	w9_d362e14005
in	w11_d362e14008
4.	w13_d362e14012
Colonnen	w15_d362e14015
aus	w1_d362e14020
dem	w3_d362e14023
bey	w5_d362e14026
Schurz	w7_d362e14029
gehabten	w9_d362e14032
Lager	w11_d362e14035
nach	w13_d362e14039
</p>
<p id="p6_d362e14042">
Bielorad,	w1_d362e14046
und	w3_d362e14049
den	w5_d362e14052
29.	w7_d362e14055
Dito	w9_d362e14058
nacher	w11_d362e14061
Lom	w13_d362e14065
nitz	w1_d362e14070
marschirt,	w3_d362e14073
woselbst	w5_d362e14076
sie	w7_d362e14079
den	w9_d362e14082
30.	w11_d362e14085
Dito	w13_d362e14089
Rast=tag	w1_d362e14094
gehalten.	w3_d362e14097
Den	w5_d362e14100
1.	w7_d362e14103
dieses	w9_d362e14106
Mo	w11_d362e14109
nats	w1_d362e14115
Julii	w3_d362e14118
muß	w5_d362e14121
dieselbe	w7_d362e14124
zu	w9_d362e14127
Bredell,	w11_d362e14130
und	w13_d362e14134
den	w1_d362e14139
2.	w3_d362e14142
zu	w5_d362e14145
Reichenberg	w7_d362e14148
eingetroffen	w9_d362e14151
seyn.	w11_d362e14154
</p>
<p id="p8_d362e14157">
Gestern	w1_d362e14161
als	w3_d362e14164
den	w5_d362e14167
3.	w7_d362e14170
dito	w9_d362e14173
fruhe,	w11_d362e14176
seynd	w13_d362e14180
Se.	w15_d362e14183
Majestät	w1_d362e14188
der	w3_d362e14191
Kaiser	w5_d362e14194
in	w7_d362e14197
Begleitung	w9_d362e14200
einiger	w11_d362e14203
Herren	w1_d362e14208
Cavalieren	w3_d362e14211
nach	w5_d362e14214
dero	w7_d362e14217
Schloß	w9_d362e14220
Hol	w11_d362e14223
litsch	w1_d362e14229
(um	w3_d362e14232
alda	w5_d362e14235
mit	w7_d362e14238
einer	w9_d362e14241
Jagd	w11_d362e14244
sich	w13_d362e14248
zu	w15_d362e14251
be	w17_d362e14254
lustigen)	w1_d362e14259
auf	w3_d362e14262
etliche	w5_d362e14265
Täge	w7_d362e14268
abgegangen.	w9_d362e14271
</p>
<p id="p10_d362e14274">
Ubrigens	w1_d362e14278
hat	w3_d362e14281
den	w5_d362e14284
29.	w7_d362e14287
erst	w9_d362e14290
verstrichenen	w11_d362e14293
Monats	w1_d362e14298
Junii	w3_d362e14301
Herr	w5_d362e14304
Joseph	w7_d362e14307
Baron	w9_d362e14310
von	w11_d362e14313
der	w1_d362e14318
Mark	w3_d362e14321
in	w5_d362e14324
der	w7_d362e14327
Herzogl.	w9_d362e14330
Savoyschen	w11_d362e14333
Aca	w13_d362e14337
demie	w1_d362e14343
alhier	w3_d362e14346
ein	w5_d362e14349
offentliches	w7_d362e14352
Examen	w9_d362e14355
ex	w11_d362e14358
uni-	w13_d362e14362
verso	w1_d362e14367
Jure	w3_d362e14370
gehalten.	w5_d362e14373
Jn	w7_d362e14376
welchem	w9_d362e14379
er	w11_d362e14382
so	w13_d362e14386
wol	w15_d362e14389
in	w17_d362e14392
Beantwortung	w1_d362e14397
der	w3_d362e14400
ihme	w5_d362e14403
gesetzten	w7_d362e14406
Fragen,	w9_d362e14409
als	w1_d362e14414
Auflösung	w3_d362e14417
der	w5_d362e14420
ihme	w7_d362e14423
gemachten	w9_d362e14426
Einwür	w11_d362e14429
fen	w1_d362e14435
seine	w3_d362e14438
gründliche	w5_d362e14441
Einsicht	w7_d362e14444
in	w9_d362e14447
die	w11_d362e14450
Rechte	w13_d362e14454
zur	w1_d362e14459
Bewunderung	w3_d362e14462
aller	w5_d362e14465
Anwesenden	w7_d362e14468
an	w9_d362e14471
den	w1_d362e14476
Tag	w3_d362e14479
geleget.	w5_d362e14482
</p>
<p id="p12_d362e14486">
Nachdeme	w1_d362e14490
die	w3_d362e14493
geistliche	w5_d362e14496
Exercitien	w7_d362e14499
an	w9_d362e14502
dem	w1_d362e14507
hierzu	w3_d362e14510
gewiedmeten	w5_d362e14513
Ort	w7_d362e14516
auf	w9_d362e14519
der	w11_d362e14522
Maur,	w13_d362e14526
ben	w1_d362e14531
16.	w3_d362e14534
dieses	w5_d362e14537
Monats	w7_d362e14540
Julii	w9_d362e14543
ihren	w11_d362e14546
An	w13_d362e14550
fang	w1_d362e14556
nehmen,	w3_d362e14559
und	w5_d362e14562
bis	w7_d362e14565
auf	w9_d362e14568
den	w11_d362e14571
21.	w13_d362e14575
erstbe	w15_d362e14578
sagten	w1_d362e14583
Monats	w3_d362e14586
werden	w5_d362e14589
fortgesetzet	w7_d362e14592
werden	w9_d362e14595
hiebey	w1_d362e14600
aber	w3_d362e14603
den	w5_d362e14606
vorgemeldeten	w7_d362e14609
16.	w9_d362e14612
Julii	w11_d362e14615
Nachmittag	w1_d362e14620
zwischen	w3_d362e14623
4.	w5_d362e14626
und	w7_d362e14629
5.	w9_d362e14632
Uhr	w11_d362e14635
zu	w13_d362e14639
er	w15_d362e14642
scheinen	w1_d362e14648
ist,	w3_d362e14651
der	w5_d362e14654
Schluß	w7_d362e14657
sodann	w9_d362e14660
am	w11_d362e14663
schon	w13_d362e14667
benannten	w1_d362e14672
21.	w3_d362e14675
Julii,	w5_d362e14678
Vormittag	w7_d362e14681
zwischen	w9_d362e14684
9.	w1_d362e14689
und	w3_d362e14692
10.	w5_d362e14695
Uhr	w7_d362e14698
gemacht	w9_d362e14701
wird;	w11_d362e14704
als	w13_d362e14708
