<doc id="wr_1758-10-04" attrs="word" year="1758" month="10" day="04" corpus="2">
<head id="h2_d284e3507">
Smirna	w1_d284e3511
und	w11_d284e10788
der	w13_d284e10792
Engländischen	w1_d284e10797
Armee	w3_d284e10800
unter	w5_d284e10803
dem	w7_d284e10806
General	w9_d284e10809
Abercrombie,	w1_d284e10815
bey	w3_d284e10818
dem	w5_d284e10821
Fort	w7_d284e10824
Carillon,	w9_d284e10827
abzu	w11_d284e10830
statten.	w1_d284e10835
Diese	w3_d284e10838
Action	w5_d284e10841
ist	w7_d284e10844
für	w9_d284e10847
Frankreich	w11_d284e10850
noch	w1_d284e10855
viel	w3_d284e10858
rühmlicher,	w5_d284e10861
als	w7_d284e10864
man	w9_d284e10867
Anfangs	w11_d284e10870
ge	w13_d284e10874
glaubt	w1_d284e10879
hat,	w3_d284e10882
sowol	w5_d284e10885
wegen	w7_d284e10888
Ungleichheit	w9_d284e10891
der	w11_d284e10894
Macht,	w1_d284e10900
als	w3_d284e10903
auch	w5_d284e10906
des	w7_d284e10909
Verlusts	w9_d284e10912
der	w11_d284e10915
Feinde.	w13_d284e10919
Am	w1_d284e10924
Samstag,	w3_d284e10927
als	w5_d284e10930
den	w7_d284e10933
9ten	w9_d284e10936
dieses,	w11_d284e10939
that	w13_d284e10943
der	w1_d284e10948
Spanische	w3_d284e10951
Ambassadeur	w5_d284e10954
dem	w7_d284e10957
König	w9_d284e10960
den	w11_d284e10963
tödtlichen	w1_d284e10968
Hintritt	w3_d284e10971
Jhro	w5_d284e10974
Majestät	w7_d284e10977
der	w9_d284e10980
Kö	w11_d284e10983
nigin	w1_d284e10989
von	w3_d284e10992
Spanien,	w5_d284e10995
in	w7_d284e10998
feyerlicher	w9_d284e11001
Cere	w11_d284e11004
monie	w1_d284e11009
zu	w3_d284e11012
wissen,	w5_d284e11015
und	w7_d284e11018
der	w9_d284e11021
Hof	w11_d284e11024
hat	w13_d284e11028
sich	w15_d284e11031
un	w17_d284e11034
mittelbar	w1_d284e11039
darauf	w3_d284e11042
in	w5_d284e11045
drey	w7_d284e11048
wöchentliche	w9_d284e11051
Trauer	w11_d284e11054
gesetzt.	w1_d284e11059
</p>
<head id="h2_d284e11065">
Dreßden	w1_d284e11069
21.	w3_d284e11072
Sept.	w5_d284e11075
</head>
<p id="p4_d284e11078">
Am	w1_d284e11082
Sonnabend	w3_d284e11085
ist	w5_d284e11088
bey	w7_d284e11091
Fischbach	w9_d284e11094
ein	w11_d284e11097
starker	w1_d284e11102
Scharmützel	w3_d284e11105
vorgefallen;	w5_d284e11108
und	w7_d284e11111
es	w9_d284e11114
hat	w1_d284e11119
nicht	w3_d284e11122
viel	w5_d284e11125
gefehlt,	w7_d284e11128
so	w9_d284e11131
wäre	w11_d284e11134
es	w13_d284e11138
zu	w15_d284e11141
ei	w17_d284e11144
ner	w1_d284e11150
ordentlichen	w3_d284e11153
Bataille	w5_d284e11156
gekommen,	w7_d284e11159
in	w9_d284e11162
deme	w1_d284e11167
beyde	w3_d284e11170
Armeen	w5_d284e11173
sich	w7_d284e11176
in	w9_d284e11179
Schlachtord	w11_d284e11182
nung	w1_d284e11187
gestellet,	w3_d284e11190
jedoch	w5_d284e11193
ohne	w7_d284e11196
förmlichen	w9_d284e11199
An	w11_d284e11202
grief	w1_d284e11207
sich	w3_d284e11210
wieder	w5_d284e11213
zuruck	w7_d284e11216
gezogen	w9_d284e11219
haben.	w11_d284e11222
Die	w1_d284e11228
Bleßirten	w3_d284e11231
hat	w5_d284e11234
man	w7_d284e11237
gegen	w9_d284e11240
Abend	w11_d284e11243
he	w13_d284e11247
rein	w1_d284e11252
gebracht.	w3_d284e11255
Die	w5_d284e11258
Anzahl	w7_d284e11261
der	w9_d284e11264
Bleßirten	w11_d284e11267
und	w1_d284e11272
Kranken	w3_d284e11275
wird	w5_d284e11278
sich	w7_d284e11281
wohl	w9_d284e11284
auf	w11_d284e11287
2000.	w13_d284e11291
Mann	w1_d284e11296
belauffen.	w3_d284e11299
Diesen	w5_d284e11302
Vormittag	w7_d284e11305
wur	w9_d284e11308
de	w1_d284e11314
ein	w3_d284e11317
starkes	w5_d284e11320
Detaschement	w7_d284e11323
von	w9_d284e11326
hiesiger	w11_d284e11329
Garuison	w1_d284e11334
nach	w3_d284e11337
dem	w5_d284e11340
Lager	w7_d284e11343
detaschiret,	w9_d284e11346
um	w11_d284e11349
einige	w1_d284e11354
Kriegs=gefangene	w3_d284e11357
abzuholen;	w5_d284e11360
indeme	w7_d284e11363
gestern	w1_d284e11368
und	w3_d284e11371
heute	w5_d284e11374
früh	w7_d284e11377
wieder	w9_d284e11380
Scharmützeln	w11_d284e11383
vorgefallen	w1_d284e11389
seynd.	w3_d284e11392
</p>
<head id="h2_d284e11398">
Kurz=gefaßte	w1_d284e11402
Nachrichten	w3_d284e11405
En	w1_d284e11410
geberde	w3_d284e11413
Feschecher	w5_d284e11416
Bocke.	w7_d284e11419
</head>
<p id="p4_d284e11422">
Von	w1_d284e11426
Cadix:	w3_d284e11429
Daß	w5_d284e11432
die	w7_d284e11435
aus	w9_d284e11438
Neu=Spanien	w11_d284e11441
angekommenen	w1_d284e11446
Flotte	w3_d284e11449
in	w5_d284e11452
14.	w7_d284e11455
Millionen,	w9_d284e11458
966000.	w1_d284e11463
schweren	w3_d284e11466
Piastres	w5_d284e11469
in	w7_d284e11472
Silber,	w9_d284e11475
ei	w11_d284e11478
</p>
<p id="p10_d284e11491">
ner	w1_d284e11495
Millionen,	w3_d284e11498
323000.	w5_d284e11501
Piastres	w7_d284e11504
in	w9_d284e11507
Golde,	w11_d284e11510
und	w1_d284e11515
verschiedenen	w3_d284e11518
Millionen	w5_d284e11521
an	w7_d284e11524
allerley	w9_d284e11527
Waaren	w1_d284e11532
bestehe,	w3_d284e11535
</p>
<p id="p12_d284e11539">
Von	w1_d284e11543
Dublin:	w3_d284e11546
Daß	w5_d284e11549
man	w7_d284e11552
den	w9_d284e11555
26.	w11_d284e11558
Aug.	w13_d284e11562
allda	w1_d284e11567
die	w3_d284e11570
von	w5_d284e11573
Erz	w7_d284e11576
gegossene	w9_d284e11579
Statue	w11_d284e11582
des	w13_d284e11586
Lords	w1_d284e11591
Blakneys,	w3_d284e11594
eines	w5_d284e11597
gebohrnen	w7_d284e11600
Jrrlän	w9_d284e11603
ders,	w1_d284e11609
welcher	w3_d284e11612
sich	w5_d284e11615
bey	w7_d284e11618
seinen	w9_d284e11621
Lands=leuten	w11_d284e11624
wegen	w1_d284e11629
der	w3_d284e11632
langen	w5_d284e11635
und	w7_d284e11638
tapfern	w9_d284e11641
Vertheidi	w11_d284e11644
gung	w1_d284e11649
des	w3_d284e11652
Forts	w5_d284e11655
St.	w7_d284e11658
Philipp	w9_d284e11661
auf	w11_d284e11664
der	w13_d284e11668
Jnsel	w15_d284e11671
Minorca	w1_d284e11676
einen	w3_d284e11679
so	w5_d284e11682
grossen	w7_d284e11685
Ruhm	w9_d284e11688
erworben,	w11_d284e11691
in	w1_d284e11697
der	w3_d284e11700
Strasse	w5_d284e11703
Sakville	w7_d284e11706
aufgerichtet	w9_d284e11709
habe.	w11_d284e11712
</p>
<p id="p14_d284e11715">
Von	w1_d284e11719
Trient:	w3_d284e11722
daß	w5_d284e11725
der	w7_d284e11728
aldasige	w9_d284e11731
Bischof	w11_d284e11734
und	w13_d284e11738
des	w1_d284e11743
Heil.	w3_d284e11746
Römischen	w5_d284e11749
Reichs=Fürst	w7_d284e11752
(Titl.)	w9_d284e11755
Herr	w1_d284e11760
Dominicus	w3_d284e11763
Anton	w5_d284e11766
Graf	w7_d284e11769
von	w9_d284e11772
Thunn	w11_d284e11775
im	w1_d284e11781
74.	w3_d284e11784
Jahr	w5_d284e11787
seines	w7_d284e11790
Alters	w9_d284e11793
mit	w11_d284e11796
Tod	w13_d284e11800
abge	w15_d284e11803
gangen,	w1_d284e11808
und	w3_d284e11811
dessen	w5_d284e11814
Coadjutor	w7_d284e11817
Herr	w9_d284e11820
Franz	w11_d284e11823
Felix	w1_d284e11828
Alberti,	w3_d284e11831
ihme	w5_d284e11834
in	w7_d284e11837
besagt=Bischöflicher	w9_d284e11840
Würde	w1_d284e11845
succedirt	w3_d284e11848
seye.	w5_d284e11851
</p>
<p id="p16_d284e11854">
Die	w1_d284e11858
Soubisische	w3_d284e11861
Armee	w5_d284e11864
dringet	w7_d284e11867
immer	w9_d284e11870
weiter	w1_d284e11875
vorwärts;	w3_d284e11878
den	w5_d284e11881
12ten	w7_d284e11884
war	w9_d284e11887
deren	w11_d284e11890
Haupt=quartier	w1_d284e11895
zu	w3_d284e11898
Nordheim.	w5_d284e11901
</p>
<head id="h2_d284e11907">
Wien,	w1_d284e11911
den	w3_d284e11914
4.	w5_d284e11917
October	w7_d284e11920
1758.	w9_d284e11923
</head>
<p id="p4_d284e11926">
Samstag	w1_d284e11930
den	w3_d284e11933
30.	w5_d284e11936
September,	w7_d284e11939
nach	w9_d284e11942
dem	w11_d284e11945
Ordinari	w1_d284e11950
GOttes=dienst	w3_d284e11953
seynd	w5_d284e11956
beede	w7_d284e11959
Kaiserl.	w1_d284e11964
Majestäten	w3_d284e11967
mit	w5_d284e11970
wichtigen	w7_d284e11973
Staats	w9_d284e11976
und	w1_d284e11982
Landes=anliegenheiten	w3_d284e11985
beschäftiget	w5_d284e11988
ge	w7_d284e11991
wesen.	w1_d284e11996
</p>
<p id="p6_d284e11999">
Sonntag	w1_d284e12003
den	w3_d284e12006
1.	w5_d284e12009
October	w7_d284e12012
als	w9_d284e12015
am	w11_d284e12018
Fest	w13_d284e12022
des	w15_d284e12025
heiligen	w1_d284e12030
Rosenkranzes	w3_d284e12033
haben	w5_d284e12036
Vormittags	w7_d284e12039
beede	w1_d284e12044
Kaiserl.	w3_d284e12047
Majestäten	w5_d284e12050
in	w7_d284e12053
offentlichem	w9_d284e12056
Staat	w1_d284e12062
sich	w3_d284e12065
herein	w5_d284e12068
in	w7_d284e12071
die	w9_d284e12074
Stadt	w11_d284e12077
zu	w13_d284e12081
denen	w15_d284e12084
WW.	w1_d284e12089
EE.	w3_d284e12092
PP.	w5_d284e12095
Dominicanern	w7_d284e12098
begeben,	w9_d284e12101
und	w1_d284e12106
alda	w3_d284e12109
dem	w5_d284e12112
feyerlichen	w7_d284e12115
GOttes=dienst	w9_d284e12118
bey	w11_d284e12121
gewohnet,	w1_d284e12126
und	w3_d284e12129
hierauf	w5_d284e12132
nacher	w7_d284e12135
Schönbrun	w9_d284e12138
sich	w1_d284e12144
zuruck	w3_d284e12147
verfüget,	w5_d284e12150
allwo	w7_d284e12153
Mittags	w9_d284e12156
ge	w11_d284e12159
gen	w1_d284e12164
1.	w3_d284e12167
Uhr	w5_d284e12170
Se.	w7_d284e12173
Excellenz	w9_d284e12176
der	w11_d284e12179
Venetianische	w13_d284e12183
Herr	w1_d284e12188
Bottschafter	w3_d284e12191
Cavalier	w5_d284e12194
Rutzini	w7_d284e12197
bey	w9_d284e12200
Jhro	w1_d284e12205
Majestät	w3_d284e12208
der	w5_d284e12211
Kaiserin,	w7_d284e12214
als	w9_d284e12217
Köni	w11_d284e12220
</p>
<p id="p8_d284e12226">
gin	w1_d284e12230
von	w3_d284e12233
Hungarn	w5_d284e12236
und	w7_d284e12239
Böheim,	w9_d284e12242
wie	w11_d284e12245
auch	w13_d284e12249
bey	w1_d284e12254
Jhren	w3_d284e12257
Königl.	w5_d284e12260
Hoheiten	w7_d284e12263
denen	w9_d284e12266
Durchl.	w11_d284e12269
jungen	w1_d284e12274
Herrschaften;	w3_d284e12277
dann	w5_d284e12280
Nachmittags	w7_d284e12283
Se.	w1_d284e12289
Excellenz	w3_d284e12292
die	w5_d284e12295
Frau	w7_d284e12298
Bottschafterin	w9_d284e12301
bey	w11_d284e12304
Allerhöchst=deroselbten,	w1_d284e12309
und	w3_d284e12312
Jhren	w5_d284e12315
Königl.	w7_d284e12318
Hoheiten	w1_d284e12323
denen	w3_d284e12326
Durchl.	w5_d284e12329
Erz=herzoginnen	w7_d284e12332
mit	w1_d284e12337
dem	w3_d284e12340
gewöhnlichen	w5_d284e12343
Ceremoniel	w7_d284e12346
ihre	w9_d284e12349
gleichförmige	w1_d284e12355
offentliche	w3_d284e12358
Audienzien	w5_d284e12361
gehabt.	w7_d284e12364
</p>
<p id="p10_d284e12367">
Montag	w1_d284e12371
den	w3_d284e12374
2.	w5_d284e12377
waren	w7_d284e12380
beede	w9_d284e12383
Kaiserl.	w11_d284e12386
Majestäten	w1_d284e12391
nach	w3_d284e12394
dem	w5_d284e12397
ordinari	w7_d284e12400
GOttes=dienst	w9_d284e12403
mit	w1_d284e12408
wichtigen	w3_d284e12411
Staats	w5_d284e12414
und	w7_d284e12417
Landesanli	w9_d284e12420
genheiten	w1_d284e12426
anwiederumen	w3_d284e12429
beschäftiget;	w5_d284e12432
dann	w7_d284e12435
</p>
<p id="p12_d284e12439">
Dienstags	w1_d284e12443
den	w3_d284e12446
3.	w5_d284e12449
haben	w7_d284e12452
Allerhöchstdie	w9_d284e12455
selbe	w1_d284e12460
einer	w3_d284e12463
Militais=conferenz	w5_d284e12466
mehrmalen	w7_d284e12469
beygewohnet;	w1_d284e12474
und	w3_d284e12477
Abends	w5_d284e12480
wurde	w7_d284e12483
in	w9_d284e12486
Ge	w11_d284e12489
genwart	w1_d284e12495
Allerhöchsten	w3_d284e12498
Herrschaften	w5_d284e12501
eine	w7_d284e12504
neue	w1_d284e12509
Französische	w3_d284e12512
Opera	w5_d284e12515
Comique	w7_d284e12518
betitult:	w9_d284e12521
L’Isle	w1_d284e12526
de	w3_d284e12529
Merin,	w5_d284e12532
ou	w7_d284e12535
le	w9_d284e12538
Monde	w11_d284e12541
renversé,	w13_d284e12545
in	w1_d284e12550
dem	w3_d284e12553
Kaiserl.	w5_d284e12556
Königl.	w7_d284e12559
Theater	w9_d284e12562
zu	w11_d284e12565
Schön	w13_d284e12569
brun	w1_d284e12575
aufgeführet.	w3_d284e12578
</p>
<head id="h2_d284e12585">
Lista	w1_d284e12589
deren	w3_d284e12592
Verstorbenen	w5_d284e12595
zu	w7_d284e12598
Wien	w9_d284e12601
in	w1_d284e12606
und	w3_d284e12609
vor	w5_d284e12612
der	w7_d284e12615
Stadt.	w9_d284e12618
Den	w1_d284e12623
29.	w3_d284e12626
Sept	w5_d284e12629
Jn	w1_d284e12635
der	w3_d284e12638
Stadt.	w5_d284e12641
</head>
<list id="l4_d284e12644">
Der	w1_d284e12648
Hochw.	w3_d284e12651
Hoch=edel=geb.	w5_d284e12654
Hr.	w7_d284e12657
Ant.	w9_d284e12660
v.	w11_d284e12663
Marduzzi,	w13_d284e12667
Dom=herr	w1_d284e12672
bey	w3_d284e12675
St.	w5_d284e12678
Steph.,	w7_d284e12681
im	w9_d284e12684
klein.	w11_d284e12687
Domherren	w13_d284e12691
hof,	w1_d284e12696
alda,	w3_d284e12699
alt	w5_d284e12702
41.	w7_d284e12705
J.	w9_d284e12708
Dem	w1_d284e12714
Joh.	w3_d284e12717
Paul	w5_d284e12720
Herrzog,	w7_d284e12723
Burgern,	w9_d284e12726
und	w11_d284e12729
Hof=wagn.,	w13_d284e12733
s.	w1_d284e12738
W.	w3_d284e12741
Anna,	w5_d284e12744
im	w7_d284e12747
Burger=spital,	w9_d284e12750
alt	w11_d284e12753
36.	w13_d284e12757
J.	w15_d284e12760
Magdal.	w1_d284e12765
Reinaglin,	w3_d284e12768
Wittwe,	w5_d284e12771
im	w7_d284e12774
Schwarzenba	w9_d284e12777
chis.	w1_d284e12782
H.	w3_d284e12785
im	w5_d284e12788
Rosen=gäs.,	w7_d284e12791
alt	w9_d284e12794
75.	w11_d284e12797
J.	w13_d284e12801
Der	w1_d284e12807
Ursula	w3_d284e12810
Hermanin,	w5_d284e12813
Wittwe,	w7_d284e12816
ihr	w9_d284e12819
S.	w11_d284e12822
Franz,	w13_d284e12826
im	w15_d284e12829
Schusteris.	w1_d284e12834
H.	w3_d284e12837
am	w5_d284e12840
grün.	w7_d284e12843
Anger,	w9_d284e12846
alt	w11_d284e12849
18.	w13_d284e12853
J.	w15_d284e12856
</list>
<head id="h2_d284e12863">
Vor	w1_d284e12867
der	w3_d284e12870
Stadt.	w5_d284e12873
</head>
<list id="l4_d284e12876">
Elisab.	w1_d284e12880
Rußbacherin,	w3_d284e12883
Burgerl.	w5_d284e12886
Wittwe,	w7_d284e12889
im	w9_d284e12892
Zim	w11_d284e12895
mermanis.	w1_d284e12900
H.	w3_d284e12903
zu	w5_d284e12906
Erdberg,	w7_d284e12909
alt	w9_d284e12912
60.	w11_d284e12915
J.	w13_d284e12919
Dem	w1_d284e12924
Pet.	w3_d284e12927
Suttner,	w5_d284e12930
Vergoldt.,	w7_d284e12933
s.	w9_d284e12936
W.	w11_d284e12939
Anna,	w13_d284e12943
bey	w15_d284e12946
der	w1_d284e12952
gold.	w3_d284e12955
Weintr.	w5_d284e12958
bey	w7_d284e12961
St.	w9_d284e12964
Ulrich,	w11_d284e12967
alt	w13_d284e12971
59.	w15_d284e12974
J.	w17_d284e12977
Regina	w1_d284e12982
Grießmayrin,	w3_d284e12985
led.	w5_d284e12988
M.,	w7_d284e12991
im	w9_d284e12994
Bahrausleihe	w11_d284e12997
ris.	w1_d284e13002
H.	w3_d284e13005
auf	w5_d284e13008
der	w7_d284e13011
Wied.,	w9_d284e13014
alt	w11_d284e13017
36.	w13_d284e13021
J.	w15_d284e13024
Der	w1_d284e13029
Cathar.	w3_d284e13032
Vweixerin,	w5_d284e13035
Wittwe,	w7_d284e13038
ihr	w9_d284e13041
K.	w11_d284e13044
Ant.,	w13_d284e13048
beyn	w15_d284e13051
4.	w1_d284e13057
Kron.	w3_d284e13060
am	w5_d284e13063
Neustift,	w7_d284e13066
alt	w9_d284e13069
8.	w11_d284e13072
J.	w13_d284e13076
</list>
<head id="h2_d284e13083">
Summa	w1_d284e13087
8.	w3_d284e13090
Person.	w5_d284e13093
/	w7_d284e13096
darunter	w9_d284e13099
1.	w11_d284e13102
Kind.	w13_d284e13106
</head>
<head id="h4_d284e13122">
Den	w1_d284e13126
30.	w3_d284e13129
Septemb.	w5_d284e13132
Jn	w1_d284e13137
der	w3_d284e13140
Stadt.	w5_d284e13143
</head>
<list id="l6_d284e13146">
Die	w1_d284e13150
Wol=ehrw.	w3_d284e13153
Chor=frau	w5_d284e13156
Magdal.	w7_d284e13159
v.	w9_d284e13162
Pallestrazzi,	w11_d284e13165
im	w1_d284e13170
Stift	w3_d284e13173
bey	w5_d284e13176
St.	w7_d284e13179
Jacob,	w9_d284e13182
alt	w11_d284e13185
53.	w13_d284e13189
J.	w15_d284e13192
Dem	w1_d284e13197
Hrn.	w3_d284e13200
Pet.	w5_d284e13203
Poncratz,	w7_d284e13206
Hungaris.	w9_d284e13209
Canzl.	w11_d284e13212
Canzel.	w13_d284e13216
s.	w1_d284e13222
K.	w3_d284e13225
Franz,	w5_d284e13228
im	w7_d284e13231
Hartmanis.	w9_d284e13234
H.	w11_d284e13237
in	w13_d284e13241
der	w15_d284e13244
untern	w17_d284e13247
Bä	w19_d284e13250
ckerstr.,	w1_d284e13255
alt	w3_d284e13258
1.	w5_d284e13261
J.	w7_d284e13264
Hr.	w1_d284e13269
Joh.	w3_d284e13272
Pet.	w5_d284e13275
Zintl,	w7_d284e13278
Kirchen=schreib.	w9_d284e13281
bey	w11_d284e13284
St.	w13_d284e13288
Ste	w15_d284e13291
phan,	w1_d284e13296
in	w3_d284e13299
s.	w5_d284e13302
Quartier	w7_d284e13305
alda,	w9_d284e13308
alt	w11_d284e13311
58.	w13_d284e13315
J.	w15_d284e13318
Joh.	w1_d284e13324
Mayrhofer,	w3_d284e13327
Wais,	w5_d284e13330
im	w7_d284e13333
Fockis.	w9_d284e13336
H.	w11_d284e13339
in	w13_d284e13343
der	w15_d284e13346
unt.	w17_d284e13349
Bäckerstr.,	w1_d284e13354
alt	w3_d284e13357
6.	w5_d284e13360
J.	w7_d284e13363
Jos.	w1_d284e13368
Quecker,	w3_d284e13371
ar.	w5_d284e13374
Knab,	w7_d284e13377
im	w9_d284e13380
Bockis.	w11_d284e13383
H.	w13_d284e13387
im	w15_d284e13390
Kumpf	w17_d284e13393
gäs.,	w1_d284e13398
alt	w3_d284e13401
10.	w5_d284e13404
J.	w7_d284e13407
</list>
<head id="h2_d284e13414">
Vor	w1_d284e13418
der	w3_d284e13421
Stadt.	w5_d284e13424
</head>
<list id="l4_d284e13427">
Joh.	w1_d284e13431
Binder,	w3_d284e13434
Burgerl.	w5_d284e13437
Tändl.,	w7_d284e13440
bey	w9_d284e13443
der	w11_d284e13446
bl.	w13_d284e13450
Weintr.	w15_d284e13453
am	w1_d284e13458
Spitalb.,	w3_d284e13461
alt	w5_d284e13464
53.	w7_d284e13467
J.	w9_d284e13470
Margar.	w1_d284e13475
Waisingerin,	w3_d284e13478
Wittwe,	w5_d284e13481
in	w7_d284e13484
ihrem	w9_d284e13487
H.	w11_d284e13490
zu	w13_d284e13494
Erdberg,	w1_d284e13500
alt	w3_d284e13503
67.	w5_d284e13506
J.	w7_d284e13509
Sebast.	w1_d284e13514
Seitl,	w3_d284e13517
Tagw.,	w5_d284e13520
im	w7_d284e13523
Fuxis.	w9_d284e13526
Gart.	w11_d284e13529
in	w13_d284e13533
der	w15_d284e13536
Un	w17_d284e13539
ger=gas.,	w1_d284e13544
alt	w3_d284e13547
50.	w5_d284e13550
J.	w7_d284e13553
Anna	w1_d284e13558
Maria	w3_d284e13561
Schmidin,	w5_d284e13564
im	w7_d284e13567
Arbeit=H.,	w9_d284e13570
alt	w11_d284e13573
55.	w13_d284e13577
J.	w15_d284e13580
</list>
<head id="h2_d284e13587">
Summa	w1_d284e13591
9.	w3_d284e13594
Person.,	w5_d284e13597
darunter	w7_d284e13600
3.	w9_d284e13603
Kind.	w11_d284e13606
Den	w1_d284e13611
1.	w3_d284e13614
Octob.	w5_d284e13617
Jn	w1_d284e13622
der	w3_d284e13625
Stadt.	w5_d284e13628
</head>
<list id="l4_d284e13631">
Die	w1_d284e13635
Hoch=edel=geb.	w3_d284e13638
Frle	w5_d284e13641
Maria	w7_d284e13644
Josepha	w9_d284e13647
Luchstn	w11_d284e13650
v.	w13_d284e13654
Luchsenfeld,	w1_d284e13659
beym	w3_d284e13662
schwarz.	w5_d284e13665
Lämmel	w7_d284e13668
am	w9_d284e13671
Kohl=m.	w11_d284e13674
alt	w1_d284e13679
33.	w3_d284e13682
J.	w5_d284e13685
Die	w1_d284e13691
Wol=ehrw.	w3_d284e13694
Chor=frau	w5_d284e13697
Augustina	w7_d284e13700
v.	w9_d284e13703
Häumin,	w11_d284e13706
im	w1_d284e13711
Stift	w3_d284e13714
bey	w5_d284e13717
St.	w7_d284e13720
Jacob,	w9_d284e13723
alt	w11_d284e13726
52.	w13_d284e13730
J.	w15_d284e13733
Die	w1_d284e13738
Wol=geb.	w3_d284e13741
Fr.	w5_d284e13744
Anna	w7_d284e13747
Claudia	w9_d284e13750
v.	w11_d284e13753
Bockin,	w13_d284e13757
Witt	w15_d284e13760
we,	w1_d284e13765
beym	w3_d284e13768
gold.	w5_d284e13771
Rös.	w7_d284e13774
am	w9_d284e13777
alt.	w11_d284e13780
Bauren=m.,	w13_d284e13784
74.	w15_d284e13787
J.	w17_d284e13790
Dem	w1_d284e13796
Hrn.	w3_d284e13799
Jos.	w5_d284e13802
Kaiser,	w7_d284e13805
Herrschaftl.	w9_d284e13808
Secret.,	w11_d284e13811
s.	w13_d284e13815
Fr.	w15_d284e13818
Barb.,	w1_d284e13823
im	w3_d284e13826
Maureris.	w5_d284e13829
H.	w7_d284e13832
am	w9_d284e13835
neuen=Markt,	w11_d284e13838
60.	w13_d284e13842
J.	w15_d284e13845
Hr.	w1_d284e13850
Hieron.	w3_d284e13853
Cailol,	w5_d284e13856
Herrschaftl.	w7_d284e13859
Stallmeist.,	w9_d284e13862
im	w11_d284e13865
Beschau=H.,	w1_d284e13870
alt	w3_d284e13873
40.	w5_d284e13876
J.	w7_d284e13879
Franz	w1_d284e13885
Neuhofer,	w3_d284e13888
Kirchen=dien.	w5_d284e13891
bey	w7_d284e13894
St.	w9_d284e13897
Mich.,	w11_d284e13900
al	w13_d284e13904
da,	w1_d284e13909
alt	w3_d284e13912
37.	w5_d284e13915
J.	w7_d284e13918
Mich.	w1_d284e13923
Westerthaller,	w3_d284e13926
im	w5_d284e13929
K.	w7_d284e13932
K.	w9_d284e13935
Hof=spit.,	w11_d284e13938
alt	w13_d284e13942
69.	w15_d284e13945
J.	w17_d284e13948
</list>
<head id="h2_d284e13956">
Vor	w1_d284e13960
der	w3_d284e13963
Stadt.	w5_d284e13966
</head>
<list id="l4_d284e13969">
Joh.	w1_d284e13973
Wagner,	w3_d284e13976
gew.	w5_d284e13979
Burgerl.	w7_d284e13982
Fuhr=m.,	w9_d284e13985
bey	w11_d284e13988
dem	w13_d284e13992
schwarz.	w1_d284e13997
Thor	w3_d284e14000
in	w5_d284e14003
der	w7_d284e14006
Rossau,	w9_d284e14009
alt	w11_d284e14012
88.	w13_d284e14016
J.	w15_d284e14019
Bened.	w1_d284e14024
Mauckner,	w3_d284e14027
Bier=leut=geb,	w5_d284e14030
beym	w7_d284e14033
weis.	w9_d284e14036
Hahn	w11_d284e14039
am	w1_d284e14045
Spitalberg,	w3_d284e14048
alt	w5_d284e14051
34.	w7_d284e14054
J.	w9_d284e14057
Franz	w1_d284e14062
Reuterer,	w3_d284e14065
Schul=meist.,	w5_d284e14068
bey	w7_d284e14071
der	w9_d284e14074
H.	w11_d284e14077
Dreyfal	w13_d284e14081
tigk.	w1_d284e14086
bey	w3_d284e14089
Maria=hülf,	w5_d284e14092
alt	w7_d284e14095
26.	w9_d284e14098
J.	w11_d284e14101
Dem	w1_d284e14106
Georg	w3_d284e14109
Pechmayr,	w5_d284e14112
Tischl.,	w7_d284e14115
s.	w9_d284e14118
W.	w11_d284e14121
Anna,	w13_d284e14125
beym	w15_d284e14128
grün.	w1_d284e14134
Kegel	w3_d284e14137
ausser	w5_d284e14140
Maria=hülf,	w7_d284e14143
alt	w9_d284e14146
35.	w11_d284e14149
J.	w13_d284e14153
Dem	w1_d284e14158
Carl	w3_d284e14161
Hendler,	w5_d284e14164
Lack.,	w7_d284e14167
s.	w9_d284e14170
K.	w11_d284e14173
Josepha,	w13_d284e14177
bey	w15_d284e14180
der	w17_d284e14183
Reichs=kron	w1_d284e14188
in	w3_d284e14191
der	w5_d284e14194
Josephst.,	w7_d284e14197
alt	w9_d284e14200
5.	w11_d284e14203
J.	w13_d284e14207
Eva	w1_d284e14212
Beerin,	w3_d284e14215
Wittwe,	w5_d284e14218
bey	w7_d284e14221
der	w9_d284e14224
Holder=stand.	w11_d284e14227
in	w13_d284e14231
der	w15_d284e14234
Leopoldst.,	w1_d284e14240
alt	w3_d284e14243
44.	w5_d284e14246
J.	w7_d284e14249
Dem	w1_d284e14254
Ant.	w3_d284e14257
Kirchschlager,	w5_d284e14260
Ziegel=deck.,	w7_d284e14263
s.	w9_d284e14266
K.	w11_d284e14269
Ant.,	w13_d284e14273
im	w1_d284e14278
Pfaidleris.	w3_d284e14281
H.	w5_d284e14284
in	w7_d284e14287
der	w9_d284e14290
Leopoldst.,	w11_d284e14293
alt	w13_d284e14297
4.	w15_d284e14300
J.	w17_d284e14303
Elisab.	w1_d284e14308
Enischin,	w3_d284e14311
Wittwe,	w5_d284e14314
im	w7_d284e14317
Kollmunzeris.	w9_d284e14320
H.	w11_d284e14323
auf	w13_d284e14327
der	w1_d284e14333
Laimgr.,	w3_d284e14336
alt	w5_d284e14339
55.	w7_d284e14342
J.	w9_d284e14345
</list>
<list id="l6_d284e14349">
Dem	w1_d284e14353
