<doc id="wr_1759-12-05" attrs="word" year="1759" month="12" day="05" corpus="2">
<head id="h2_d403e4038">
Werra=strom	w1_d403e4042
werden	w3_d403e11396
sich	w5_d403e11399
allemal,	w7_d403e11402
wann	w9_d403e11405
Höchst	w11_d403e11408
dieselbe	w1_d403e11413
den	w3_d403e11416
Frieden	w5_d403e11419
auf	w7_d403e11422
gerechte	w9_d403e11425
und	w11_d403e11428
für	w13_d403e11432
Höchst=dieselbe	w1_d403e11437
und	w3_d403e11440
dero	w5_d403e11443
Alliirte	w7_d403e11446
rühmliche	w9_d403e11449
und	w1_d403e11454
solche	w3_d403e11457
Bedingnüße,	w5_d403e11460
welche	w7_d403e11463
die	w9_d403e11466
Vor	w11_d403e11469
theile	w1_d403e11475
dero	w3_d403e11478
Waffen	w5_d403e11481
mit	w7_d403e11484
Gründe	w9_d403e11487
können	w11_d403e11490
hoffen	w1_d403e11495
lassen,	w3_d403e11498
und	w5_d403e11501
da	w7_d403e11504
man	w9_d403e11507
Sicherheiten	w11_d403e11510
für	w13_d403e11514
das	w1_d403e11519
Künftige	w3_d403e11522
haben	w5_d403e11525
wird,	w7_d403e11528
den	w9_d403e11531
Frieden	w11_d403e11534
her	w13_d403e11538
stellen	w1_d403e11543
können	w3_d403e11546
werden,	w5_d403e11549
sich	w7_d403e11552
erfreuen,	w9_d403e11555
die	w11_d403e11558
Ruhe	w1_d403e11564
von	w3_d403e11567
Europa	w5_d403e11570
auf	w7_d403e11573
feste	w9_d403e11576
und	w11_d403e11579
dauerhafte	w13_d403e11583
Gründe	w1_d403e11588
versichert	w3_d403e11591
zu	w5_d403e11594
sehen,	w7_d403e11597
und	w9_d403e11600
es	w11_d403e11603
für	w13_d403e11607
eine	w1_d403e11612
Glückseeligkeit	w3_d403e11615
halten,	w5_d403e11618
dero	w7_d403e11621
Untertha	w9_d403e11624
nen,	w1_d403e11629
welche	w3_d403e11632
Höchst=dieselbe	w5_d403e11635
mit	w7_d403e11638
so	w9_d403e11641
vieler	w11_d403e11644
Standhaftigkeit	w1_d403e11650
unterstützet,	w3_d403e11653
die	w5_d403e11656
Annehm	w7_d403e11659
lichkeiten	w1_d403e11664
des	w3_d403e11667
Friedens	w5_d403e11670
und	w7_d403e11673
der	w9_d403e11676
Ruhe	w11_d403e11679
ge	w13_d403e11683
niessen	w1_d403e11688
zu	w3_d403e11691
lassen.	w5_d403e11694
Se.	w7_d403e11697
Majestät	w9_d403e11700
aber	w11_d403e11703
ver	w13_d403e11707
sprechen	w1_d403e11712
sich,	w3_d403e11715
daß	w5_d403e11718
sie	w7_d403e11721
eben	w9_d403e11724
so	w11_d403e11727
gut,	w13_d403e11731
als	w15_d403e11734
Höchst	w17_d403e11737
dieselbe	w1_d403e11743
einsehen,	w3_d403e11746
daß,	w5_d403e11749
um	w7_d403e11752
einen	w9_d403e11755
so	w11_d403e11758
grossen	w13_d403e11762
und	w1_d403e11767
so	w3_d403e11770
sehr	w5_d403e11773
zu	w7_d403e11776
wünschenden	w9_d403e11779
Endzweck	w11_d403e11782
zu	w13_d403e11786
er	w15_d403e11789
reichen,	w1_d403e11794
die	w3_d403e11797
weitschichtigste	w5_d403e11800
Maaß=regeln,	w7_d403e11803
um	w1_d403e11808
den	w3_d403e11811
Krieg	w5_d403e11814
auf	w7_d403e11817
allen	w9_d403e11820
Seiten	w11_d403e11823
mit	w13_d403e11827
äus	w15_d403e11830
ferstem	w1_d403e11836
Nachdruck	w3_d403e11839
fortzutreiben,	w5_d403e11842
erge	w7_d403e11845
werden	w1_d403e11850
müssen.	w3_d403e11853
</p>
<head id="h2_d403e11859">
Kurz=gefaßte	w1_d403e11863
Nachricht	w3_d403e11866
von	w1_d403e11871
verschiedenen	w3_d403e11874
Orten.	w5_d403e11877
Man	w1_d403e11882
vernihmt	w3_d403e11885
</head>
<p id="p4_d403e11888">
Von	w1_d403e11892
Paris:	w3_d403e11895
daß	w5_d403e11898
die	w7_d403e11901
Flotte	w9_d403e11904
von	w11_d403e11907
Brest	w13_d403e11911
den	w1_d403e11916
14.	w3_d403e11919
Novemb.	w5_d403e11922
alwürklich	w7_d403e11925
ausgeloffen	w9_d403e11928
seye.	w1_d403e11933
</p>
<p id="p6_d403e11936">
Von	w1_d403e11940
Sarragossa:	w3_d403e11943
daß	w5_d403e11946
der	w7_d403e11949
Prinz	w9_d403e11952
von	w11_d403e11955
Asturien	w1_d403e11960
an	w3_d403e11963
denen	w5_d403e11966
ihme	w7_d403e11969
zugestossenen	w9_d403e11972
Kin	w11_d403e11975
der=flecken	w1_d403e11980
zwar	w3_d403e11983
bereits	w5_d403e11986
wieder	w7_d403e11989
aus	w9_d403e11992
der	w11_d403e11995
Gefahr	w1_d403e12001
seye,	w3_d403e12004
nichts	w5_d403e12007
destoweniger	w7_d403e12010
werde	w9_d403e12013
der	w11_d403e12016
Königl.	w1_d403e12021
Spanische	w3_d403e12024
Hof	w5_d403e12027
bis	w7_d403e12030
zu	w9_d403e12033
dieses	w11_d403e12036
Prin	w13_d403e12040
</p>
<p id="p12_d403e12054">
zens	w1_d403e12058
vollständiger	w3_d403e12061
Genesung,	w5_d403e12064
die	w7_d403e12067
Reise	w9_d403e12070
nach	w11_d403e12073
Madrid	w1_d403e12078
nicht	w3_d403e12081
ferners	w5_d403e12084
fortsetzen.	w7_d403e12087
Von	w1_d403e12092
Mietau:	w3_d403e12095
daß	w5_d403e12098
dem	w7_d403e12101
neuen	w9_d403e12104
Herzo	w11_d403e12107
</p>
<p id="p14_d403e12110">
2.	w1_d403e12114
gen	w1_d403e12119
von	w3_d403e12122
Eurland	w5_d403e12125
den	w7_d403e12128
5.	w9_d403e12131
Nov.	w11_d403e12134
von	w13_d403e12138
allen	w15_d403e12141
Ständen	w1_d403e12146
der	w3_d403e12149
Eid	w5_d403e12152
der	w7_d403e12155
Treue	w9_d403e12158
alwürklich	w11_d403e12161
ab	w13_d403e12165
gelegt	w1_d403e12171
worden	w3_d403e12174
seye;	w5_d403e12177
daß	w7_d403e12180
man	w9_d403e12183
diese	w11_d403e12186
Feyer	w13_d403e12190
lichkeit	w1_d403e12195
bey	w3_d403e12198
anbrechenden	w5_d403e12201
Tag	w7_d403e12204
mit	w9_d403e12207
100.	w11_d403e12210
Ca	w13_d403e12214
nonen	w1_d403e12219
schüssen	w3_d403e12222
angekündet,	w5_d403e12225
und	w7_d403e12228
dar	w9_d403e12231
auf	w11_d403e12234
der	w13_d403e12238
Marschall	w1_d403e12243
des	w3_d403e12246
Land=tages	w5_d403e12249
Herr	w7_d403e12252
Koschkuhla	w9_d403e12255
in	w1_d403e12261
Bezleitung	w3_d403e12264
des	w5_d403e12267
ganzen	w7_d403e12270
Adels	w9_d403e12273
gegen	w11_d403e12276
9.	w13_d403e12280
Uhr	w1_d403e12285
in	w3_d403e12288
dem	w5_d403e12291
Pallast	w7_d403e12294
des	w9_d403e12297
Herzogs	w11_d403e12300
sich	w13_d403e12304
ein	w15_d403e12307
gefunden	w1_d403e12312
habe,	w3_d403e12315
alwo	w5_d403e12318
der	w7_d403e12321
Herzog	w9_d403e12324
auf	w11_d403e12327
den	w13_d403e12331
Thron	w1_d403e12336
gesessen,	w3_d403e12339
und	w5_d403e12342
durch	w7_d403e12345
den	w9_d403e12348
Canzier	w11_d403e12351
die	w13_d403e12355
Eides=formul	w1_d403e12361
abgelesen	w3_d403e12364
worden,	w5_d403e12367
dero	w7_d403e12370
sich	w9_d403e12373
die	w1_d403e12378
Stände	w3_d403e12381
mit	w5_d403e12384
gröstem	w7_d403e12387
Vergnügen	w9_d403e12390
unter	w11_d403e12393
zogen,	w1_d403e12398
und	w3_d403e12401
diesfalls	w5_d403e12404
der	w7_d403e12407
Deputirte	w9_d403e12410
von	w11_d403e12413
Selburg	w1_d403e12418
Herr	w3_d403e12421
Brinken	w5_d403e12424
im	w7_d403e12427
Namen	w9_d403e12430
aller	w11_d403e12433
die	w13_d403e12437
Freude	w1_d403e12443
erklärte,	w3_d403e12446
welche	w5_d403e12449
die	w7_d403e12452
ganze	w9_d403e12455
Nation	w11_d403e12458
hätte,	w1_d403e12463
unter	w3_d403e12466
einen	w5_d403e12469
so	w7_d403e12472
gnädigen	w9_d403e12475
Landes	w11_d403e12478
fürsten	w1_d403e12483
zu	w3_d403e12486
stehen.	w5_d403e12489
Und	w7_d403e12492
hierauf	w9_d403e12495
legten	w11_d403e12498
an	w13_d403e12502
fänglich	w1_d403e12507
die	w3_d403e12510
Rähte,	w5_d403e12513
dann	w7_d403e12516
die	w9_d403e12519
Grafen	w11_d403e12522
des	w13_d403e12526
erst	w1_d403e12532
und	w3_d403e12535
anderten	w5_d403e12538
Rangs,	w7_d403e12541
und	w9_d403e12544
endlichen	w11_d403e12547
die	w1_d403e12552
Deputirte	w3_d403e12555
denen	w5_d403e12558
27.	w7_d403e12561
Cantons	w9_d403e12564
nach	w11_d403e12567
ih	w13_d403e12571
rer	w1_d403e12576
Ordnung	w3_d403e12579
den	w5_d403e12582
Eid	w7_d403e12585
ab.	w9_d403e12588
Bey	w11_d403e12591
dem	w13_d403e12595
Schluß	w15_d403e12598
dieser	w1_d403e12603
Ceremonie	w3_d403e12606
wurden	w5_d403e12609
abermal	w7_d403e12612
100.	w9_d403e12615
Ca	w11_d403e12618
nonen	w1_d403e12624
abgefeuret,	w3_d403e12627
und	w5_d403e12630
alle	w7_d403e12633
Glocken	w9_d403e12636
geläu	w11_d403e12639
tet.	w1_d403e12644
Abends	w3_d403e12647
sahe	w5_d403e12650
man	w7_d403e12653
den	w9_d403e12656
Herzogl.	w11_d403e12659
Pal	w13_d403e12663
last	w1_d403e12668
und	w3_d403e12671
Garten,	w5_d403e12674
wie	w7_d403e12677
auch	w9_d403e12680
die	w11_d403e12683
ganze	w13_d403e12687
Stadt	w15_d403e12690
beleuchtet.	w1_d403e12695
Was	w3_d403e12698
diese	w5_d403e12701
Solennität	w7_d403e12704
merk	w9_d403e12707
würdig	w1_d403e12713
machet,	w3_d403e12716
ist,	w5_d403e12719
daß	w7_d403e12722
verschiedene	w9_d403e12725
deren	w11_d403e12728
abwesenden	w1_d403e12733
Herren,	w3_d403e12736
welche	w5_d403e12739
nicht	w7_d403e12742
erschei	w9_d403e12745
nen	w1_d403e12750
konten,	w3_d403e12753
den	w5_d403e12756
Herzogen	w7_d403e12759
schriftlich	w9_d403e12762
gebet	w11_d403e12765
ten,	w1_d403e12770
den	w3_d403e12773
Eid	w5_d403e12776
ihrer	w7_d403e12779
Mit=ständen	w9_d403e12782
bey	w11_d403e12785
sich	w13_d403e12789
unterschreiben	w1_d403e12795
zu	w3_d403e12798
dörfen.	w5_d403e12801
.	w1_d403e12806
—	w1_d403e12811
</p>
<head id="h2_d403e12818">
Wien	w1_d403e12822
den	w3_d403e12825
5.	w5_d403e12828
December	w7_d403e12831
1759.	w9_d403e12834
</head>
<p id="p4_d403e12837">
Vorgestern	w1_d403e12841
als	w3_d403e12844
am	w5_d403e12847
Fest	w7_d403e12850
des	w9_d403e12853
Heil.	w11_d403e12856
Fran	w13_d403e12860
cisci	w1_d403e12865
Xaverii,	w3_d403e12868
Vormittags	w5_d403e12871
haben	w7_d403e12874
beyde	w1_d403e12879
Kaiserl.	w3_d403e12882
Majestäten	w5_d403e12885
sich	w7_d403e12888
zu	w9_d403e12891
denen	w11_d403e12894
WW.	w1_d403e12900
EE.	w3_d403e12903
PP.	w5_d403e12906
Jesuiten	w7_d403e12909
des	w9_d403e12912
grossen	w11_d403e12915
Colle	w13_d403e12919
git	w1_d403e12924
erhoben,	w3_d403e12927
und	w5_d403e12930
allda	w7_d403e12933
in	w9_d403e12936
Aufwartung	w11_d403e12939
des	w13_d403e12943
Venetianischen	w1_d403e12948
Herrn	w3_d403e12951
Bottschafters	w5_d403e12954
dem	w7_d403e12957
eyerlichen	w1_d403e12962
GOttes=dienst	w3_d403e12965
abgewartet.	w5_d403e12968
.	w1_d403e12974
</p>
<p id="p6_d403e12977">
zog	w1_d403e12981
Carl	w3_d403e12984
werden	w5_d403e12987
von	w7_d403e12990
Tag	w9_d403e12993
zu	w11_d403e12996
Tag	w13_d403e13000
besser.	w15_d403e13003
Letztere	w1_d403e13008
Nachrichten	w3_d403e13011
von	w5_d403e13014
dem	w7_d403e13017
Laudohni	w9_d403e13020
schen	w1_d403e13025
Corps	w3_d403e13028
bringen,	w5_d403e13031
daß	w7_d403e13034
dieser	w9_d403e13037
Hr.	w11_d403e13040
General	w13_d403e13044
den	w1_d403e13050
1.	w3_d403e13053
dieses	w5_d403e13056
Monats	w7_d403e13059
Decembris	w9_d403e13062
mit	w11_d403e13065
sei	w13_d403e13069
nen	w1_d403e13074
unterhabenden	w3_d403e13077
Trupen	w5_d403e13080
zu	w7_d403e13083
Bielitz,	w9_d403e13086
seine	w11_d403e13089
Avant=garde	w1_d403e13094
aber	w3_d403e13097
zu	w5_d403e13100
Teschen	w7_d403e13103
eingetroffen	w9_d403e13106
seye.	w1_d403e13111
Die	w3_d403e13114
Feinde	w5_d403e13117
haben	w7_d403e13120
dasiger	w9_d403e13123
Gegenden	w11_d403e13126
verschiedene	w1_d403e13132
Detaschements	w3_d403e13135
ausgeschicket,	w5_d403e13138
welches	w1_d403e13143
zu	w3_d403e13146
mehreren	w5_d403e13149
Scharmützeln	w7_d403e13152
Anlaß	w9_d403e13155
gegeben,	w1_d403e13160
bey	w3_d403e13163
welchen	w5_d403e13166
aber	w7_d403e13169
die	w9_d403e13172
Feinde	w11_d403e13175
jeder	w13_d403e13179
zeit	w1_d403e13184
das	w3_d403e13187
kürzere	w5_d403e13190
gezogen,	w7_d403e13193
und	w9_d403e13196
sich	w11_d403e13199
zuruck	w13_d403e13203
zu	w1_d403e13209
ziehen	w3_d403e13212
bemüßiget	w5_d403e13215
worden;	w7_d403e13218
worüber	w9_d403e13221
end	w11_d403e13224
lichen	w1_d403e13229
unsere	w3_d403e13232
Trupen	w5_d403e13235
die	w7_d403e13238
Contonirungs	w9_d403e13241
quartiere	w1_d403e13246
pro	w3_d403e13249
interim	w5_d403e13252
bezogen	w7_d403e13255
haben.	w9_d403e13258
</p>
<head id="h2_d403e13264">
Lista	w1_d403e13268
deren	w3_d403e13271
Verstorbenen	w5_d403e13274
zu	w7_d403e13277
Wien	w9_d403e13280
in	w1_d403e13285
und	w3_d403e13288
vor	w5_d403e13291
der	w7_d403e13294
Stadt.	w9_d403e13297
Den	w1_d403e13302
29.	w3_d403e13305
Novemb.	w5_d403e13308
Jn	w1_d403e13314
der	w3_d403e13317
Stadt.	w5_d403e13320
</head>
<list id="l4_d403e13323">
Dem	w1_d403e13327
Hoch	w3_d403e13330
und	w5_d403e13333
Wol=geb.	w7_d403e13336
Hrn.	w9_d403e13339
Christoph,	w11_d403e13342
des	w13_d403e13346
H.	w15_d403e13349
R.	w1_d403e13354
R.	w3_d403e13357
Grrf.	w5_d403e13360
v.	w7_d403e13363
Cavriani,	w9_d403e13366
Jhrer	w11_d403e13369
Kais.	w13_d403e13373
Kön.	w15_d403e13376
Maj.	w17_d403e13379
würkl.	w1_d403e13384
Cammerer,	w3_d403e13387
u.	w5_d403e13390
N.	w7_d403e13393
Oe.	w9_d403e13396
Land=rechts=beysitz.,	w11_d403e13399
s.	w1_d403e13405
Bräfl.	w3_d403e13408
Frle	w5_d403e13411
T.	w7_d403e13414
Elisab.,	w9_d403e13417
im	w11_d403e13420
Auersperg=hof	w13_d403e13424
in	w15_d403e13427
der	w17_d403e13430
klein.	w1_d403e13435
Dorothe=gas.,	w3_d403e13438
alt	w5_d403e13441
1.	w7_d403e13444
J.	w9_d403e13447
Dem	w1_d403e13452
Wol=edel=geb.	w3_d403e13455
Hrn.	w5_d403e13458
Ant.	w7_d403e13461
Wiselberger,	w9_d403e13464
K.	w11_d403e13467
K.	w13_d403e13471
Feld=prov.=commissar.,	w1_d403e13476
s.	w3_d403e13479
S.	w5_d403e13482
Jos.,	w7_d403e13485
im	w9_d403e13488
Dorothe	w11_d403e13491
hof,	w1_d403e13497
alt	w3_d403e13500
3.	w5_d403e13503
J.	w7_d403e13506
</list>
<head id="h2_d403e13513">
Vor	w1_d403e13517
der	w3_d403e13520
Stadt.	w5_d403e13523
</head>
<list id="l4_d403e13526">
Barb.	w1_d403e13530
Baumanin,	w3_d403e13533
Wittwe,	w5_d403e13536
beym	w7_d403e13539
gold.	w9_d403e13542
Adl.	w11_d403e13545
im	w13_d403e13549
Liechtenth.,	w1_d403e13554
alt	w3_d403e13557
80.	w5_d403e13560
J.	w7_d403e13563
Dem	w1_d403e13568
Adam	w3_d403e13571
Napert,	w5_d403e13574
Universitäts=kupfer=stech.,	w7_d403e13577
s.	w9_d403e13580
W.	w1_d403e13586
Anna,	w3_d403e13589
beym	w5_d403e13592
gold.	w7_d403e13595
Adl.	w9_d403e13598
in	w11_d403e13601
der	w13_d403e13605
Leopolst.	w15_d403e13608
46.	w17_d403e13611
J.	w19_d403e13614
Joh.	w1_d403e13619
Schirmer,	w3_d403e13622
Lauf,	w5_d403e13625
im	w7_d403e13628
Spallier=macheris.	w9_d403e13631
H.	w11_d403e13634
bey	w13_d403e13638
St.	w1_d403e13643
Ulrich,	w3_d403e13646
alt	w5_d403e13649
59.	w7_d403e13652
J.	w9_d403e13655
Georg	w1_d403e13660
Zollner,	w3_d403e13663
Schocolata=mach.,	w5_d403e13666
im	w7_d403e13669
Blümelmæ	w9_d403e13672
cheris.	w1_d403e13678
H.	w3_d403e13681
auf	w5_d403e13684
der	w7_d403e13687
Landstr.,	w9_d403e13690
alt	w11_d403e13693
55.	w13_d403e13697
J.	w15_d403e13700
Cathar.	w1_d403e13705
Sünin,	w3_d403e13708
Wittwe,	w5_d403e13711
bey	w7_d403e13714
der	w9_d403e13717
H.	w11_d403e13720
Dreyfaltigt.	w13_d403e13724
am	w1_d403e13729
Thury,	w3_d403e13732
alt	w5_d403e13735
60.	w7_d403e13738
J.	w9_d403e13741
Dem	w1_d403e13746
Georg	w3_d403e13749
Zählinger,	w5_d403e13752
Zimmer=ges.,	w7_d403e13755
s.	w9_d403e13758
W.	w11_d403e13761
Eva,	w13_d403e13765
beym	w1_d403e13771
rot.	w3_d403e13774
Herz	w5_d403e13777
am	w7_d403e13780
Himmel=pfort=gr.,	w9_d403e13783
66.	w11_d403e13786
J.	w13_d403e13790
Dem	w1_d403e13795
Mich.	w3_d403e13798
Strebl,	w5_d403e13801
Tagelöhn.,	w7_d403e13804
s.	w9_d403e13807
W.	w11_d403e13810
Barb.,	w13_d403e13814
beym	w15_d403e13817
gut.	w1_d403e13822
Hirt.	w3_d403e13825
zu	w5_d403e13828
Mätzleinstorf,	w7_d403e13831
alt	w9_d403e13834
36.	w11_d403e13837
J.	w13_d403e13841
Jos	w1_d403e13846
Reichenauer,	w3_d403e13849
Geig.,	w5_d403e13852
beyn	w7_d403e13855
2.	w9_d403e13858
Turtel=taub.	w11_d403e13861
am	w13_d403e13865
Hungelbrun,	w1_d403e13871
alt	w3_d403e13874
68.	w5_d403e13877
J.	w7_d403e13880
Dem	w1_d403e13885
Fried.	w3_d403e13888
Haneman,	w5_d403e13891
Gelb=gies.,	w7_d403e13894
s.	w9_d403e13897
K.	w11_d403e13900
Carl,	w13_d403e13904
beym	w15_d403e13907
Moyses	w1_d403e13912
am	w3_d403e13915
Neubau,	w5_d403e13918
alt	w7_d403e13921
5.	w9_d403e13924
J.	w11_d403e13927
Summa	w1_d403e13932
11.	w3_d403e13935
Pers.,	w5_d403e13938
arunter	w7_d403e13941
3.	w9_d403e13944
Kind	w11_d403e13947
</list>
<head id="h4_d403e13966">
Den	w1_d403e13970
30.	w3_d403e13973
Novemb.	w5_d403e13976
Jn	w1_d403e13981
der	w3_d403e13984
Stadt.	w5_d403e13987
</head>
<list id="l6_d403e13990">
Dem	w1_d403e13994
Wol=edel=geb.	w3_d403e13997
Hrn.	w5_d403e14000
Jos.	w7_d403e14003
de	w9_d403e14006
Lara,	w11_d403e14009
K.	w13_d403e14013
K.	w15_d403e14016
Hof	w17_d403e14019
secret,	w1_d403e14024
s.	w3_d403e14027
S.	w5_d403e14030
Carl,	w7_d403e14033
im	w9_d403e14036
Hof=tischleris.	w11_d403e14039
H.	w13_d403e14043
am	w15_d403e14046
Ka	w17_d403e14049
tzensteig,	w1_d403e14054
alt	w3_d403e14057
6.	w5_d403e14060
Dem	w1_d403e14066
Hrn,	w3_d403e14069
Joh.	w5_d403e14072
Veit	w7_d403e14075
Rauscher,	w9_d403e14078
K.	w11_d403e14081
K.	w13_d403e14085
geh.	w15_d403e14088
Dire	w17_d403e14091
corial=hof=anzollist.,	w1_d403e14096
s.	w3_d403e14099
K.	w5_d403e14102
Jos.,	w7_d403e14105
im	w9_d403e14108
Breanis.	w11_d403e14111
H.	w13_d403e14115
in	w1_d403e14120
der	w3_d403e14123
Cärntnerstr.,	w5_d403e14126
alt	w7_d403e14129
6.	w9_d403e14132
J.	w11_d403e14135
Fr.	w1_d403e14140
Anna	w3_d403e14143
Pirknerin,	w5_d403e14146
Wittwe,	w7_d403e14149
im	w9_d403e14152
Vorreiterisch.	w11_d403e14155
H.	w13_d403e14159
beyn	w1_d403e14165
Franciscan.,	w3_d403e14168
alt	w5_d403e14171
32.	w7_d403e14174
J.	w9_d403e14177
</list>
<head id="h2_d403e14184">
Vor	w1_d403e14188
der	w3_d403e14191
Stadt.	w5_d403e14194
</head>
<list id="l4_d403e14197">
Dem	w1_d403e14201
Sebast.	w3_d403e14204
Heyduck,	w5_d403e14207
Vurgerl.	w7_d403e14210
Schuh=mach.	w9_d403e14213
s.	w11_d403e14216
K.	w13_d403e14220
Anna,	w1_d403e14225
bey	w3_d403e14228
der	w5_d403e14231
gold.	w7_d403e14234
Sonn	w9_d403e14237
in	w11_d403e14240
der	w13_d403e14244
Josephst.,	w15_d403e14247
alt	w17_d403e14250
2	w1_d403e14255
Dem	w1_d403e14261
Jos.	w3_d403e14264
Creditsch,	w5_d403e14267
Arad.=mahl,	w7_d403e14270
s.	w9_d403e14273
K.	w11_d403e14276
Joh.,	w13_d403e14280
beym	w15_d403e14283
gr.	w1_d403e14288
Thor	w3_d403e14291
auf	w5_d403e14294
der	w7_d403e14297
Laimgr.,	w9_d403e14300
alt	w11_d403e14303
5.	w13_d403e14307
v.	w15_d403e14310
J.	w17_d403e14313
Adam	w1_d403e14318
Harers,	w3_d403e14321
Tischl.,	w5_d403e14324
beym	w7_d403e14327
gr.	w9_d403e14330
Thor	w11_d403e14333
in	w13_d403e14337
der	w15_d403e14340
Jo	w17_d403e14343
sephst.,	w1_d403e14348
alt	w3_d403e14351
59.	w5_d403e14354
Joh.	w1_d403e14360
Druschl,	w3_d403e14363
Band=mach=ges.,	w5_d403e14366
beym	w7_d403e14369
weis.	w9_d403e14372
Engel	w11_d403e14375
am	w1_d403e14380
Neustift,	w3_d403e14383
alt	w5_d403e14386
56.	w7_d403e14389
J.	w9_d403e14392
Der	w1_d403e14397
Ursula	w3_d403e14400
Anhausn,	w5_d403e14403
Wittwe,	w7_d403e14406
ihr	w9_d403e14409
T.	w11_d403e14412
Barb.,	w13_d403e14416
bey	w15_d403e14419
der	w1_d403e14424
gold	w3_d403e14427
Glock.	w5_d403e14430
oberm	w7_d403e14433
Neustift,	w9_d403e14436
alt	w11_d403e14439
22.	w13_d403e14443
Cathar.	w1_d403e14449
Strohmayriu,	w3_d403e14452
led,	w5_d403e14455
beym	w7_d403e14458
biech.	w9_d403e14461
Thurn	w11_d403e14464
auf	w13_d403e14468
der	w1_d403e14473
Wind=mühl,	w3_d403e14476
alt	w5_d403e14479
45.	w7_d403e14482
J.	w9_d403e14485
Joh.	w1_d403e14490
Trieb,	w3_d403e14493
Wäsch,	w5_d403e14496
beym	w7_d403e14499
schwarz.	w9_d403e14502
Eleph.	w11_d403e14505
am	w13_d403e14509
Al	w15_d403e14512
ster=bach,	w1_d403e14517
alt	w3_d403e14520
68.	w5_d403e14523
J.	w7_d403e14526
</list>
<head id="h2_d403e14533">
Summa	w1_d403e14537
10.	w3_d403e14540
Person.	w5_d403e14543
/	w7_d403e14546
darunter	w9_d403e14549
4.	w11_d403e14552
Kind.	w13_d403e14556
Den	w1_d403e14561
1.	w3_d403e14564
Dec.	w5_d403e14567
Jn	w1_d403e14572
der	w3_d403e14575
Stadt.	w5_d403e14578
</head>
<list id="l4_d403e14581">
Dem	w1_d403e14585
Wich.	w3_d403e14588
Baumgartuer,	w5_d403e14591
Burgerl.	w7_d403e14594
Peruckenmach.	w9_d403e14597
s.	w1_d403e14602
K.	w3_d403e14605
Jos.,	w5_d403e14608
im	w7_d403e14611
Cölner=hof,	w9_d403e14614
alt	w11_d403e14617
2.	w13_d403e14621
J.	w15_d403e14624
</list>
<list id="l6_d403e14628">
Dem	w1_d403e14632
(Tit.)	w3_d403e14635
Hr.	w5_d403e14638
Jos.	w7_d403e14641
v.	w9_d403e14644
Forster,	w11_d403e14647
gew.	w13_d403e14651
K.	w15_d403e14654
K.	w17_d403e14657
Haupt	w19_d403e14660
2.	w1_d403e14665
Antonia,	w3_d403e14668
beym	w5_d403e14671
grün.	w7_d403e14674
Vogel	w9_d403e14677
bey	w11_d403e14680
Ma	w13_d403e14684
mann,	w1_d403e14689
s.	w3_d403e14692
ria=Hülf,	w1_d403e14698
alt	w3_d403e14701
52.	w5_d403e14704
J.	w7_d403e14707
im	w1_d403e14712
bl.	w3_d403e14715
H.	w5_d403e14718
in	w7_d403e14721
Joh.	w1_d403e14726
Kramer,	w3_d403e14729
Burgerl.	w5_d403e14732
Zeug=mach.	w7_d403e14735
der	w1_d403e14740
Koht,	w3_d403e14743
gas.,	w5_d403e14746
alt	w7_d403e14749
52.	w9_d403e14752
Dem	w1_d403e14758
Georg	w3_d403e14761
Ruepp,	w5_d403e14764
Burgerl.	w7_d403e14767
Fleisch=hack.,	w9_d403e14770
s.	w11_d403e14773
K.	w13_d403e14777
Theres.,	w1_d403e14782
benm	w3_d403e14785
gold	w5_d403e14788
Pfauen	w7_d403e14791
im	w9_d403e14794
Liechtenth.	w11_d403e14797
7.	w13_d403e14801
J.	w15_d403e14804
Dem	w1_d403e14809
Joh.	w3_d403e14812
Arnold,	w5_d403e14815
Bestand=wirt.,	w7_d403e14818
s.	w9_d403e14821
W.	w11_d403e14824
Sabina,	w13_d403e14828
bey	w1_d403e14833
Sonn	w3_d403e14836
und	w5_d403e14839
Mond	w7_d403e14842
bey	w9_d403e14845
St.	w11_d403e14848
Ulrich,	w13_d403e14852
alt	w15_d403e14855
43.	w17_d403e14858
J.	w19_d403e14861
Math.	w1_d403e14867
Merkl,	w3_d403e14870
Schuh=mach.,	w5_d403e14873
beym	w7_d403e14876
gold.	w9_d403e14879
Ochs.	w11_d403e14882
am	w13_d403e14886
Neubau,	w1_d403e14891
alt	w3_d403e14894
73.	w5_d403e14897
J.	w7_d403e14900
Barthl.	w1_d403e14905
Stirmer,	w3_d403e14908
Satl.,	w5_d403e14911
im	w7_d403e14914
Auerspergis.	w9_d403e14917
Gart.	w11_d403e14920
in	w13_d403e14924
der	w1_d403e14929
Rossau,	w3_d403e14932
alt	w5_d403e14935
54.	w7_d403e14938
J.	w9_d403e14941
Dem	w1_d403e14947
Pet.	w3_d403e14950
Gatterer,	w5_d403e14953
Tischl.,	w7_d403e14956
s.	w9_d403e14959
W.	w11_d403e14962
Magdal,	w13_d403e14966
beym	w15_d403e14969
weis.	w1_d403e14974
Creutz	w3_d403e14977
im	w5_d403e14980
Lerchenf.,	w7_d403e14983
alt	w9_d403e14986
28.	w11_d403e14989
J.	w13_d403e14993
Dem	w1_d403e14998
Ant.	w3_d403e15001
Ensle,	w5_d403e15004
Futeral=mach.,	w7_d403e15007
s.	w9_d403e15010
K.	w11_d403e15013
