<doc id="wr_1763-11-16" attrs="word" year="1763" month="11" day="16" corpus="2">
<head id="h2_d809e3094">
Dublin	w1_d809e3098
bevollmächtigter	w3_d809e10353
Minister	w5_d809e10356
des	w7_d809e10359
hohen	w9_d809e10362
Maltheser=ordens	w1_d809e10368
in	w3_d809e10371
einer	w5_d809e10374
öffentlichen	w7_d809e10377
Au	w9_d809e10380
dienz	w1_d809e10385
die	w3_d809e10388
diesfälligen	w5_d809e10391
Beglaubigungsschrei	w7_d809e10394
ben	w1_d809e10399
zu	w3_d809e10402
überreichen;	w5_d809e10405
Sie	w7_d809e10408
wurden	w9_d809e10411
von	w11_d809e10414
aller	w13_d809e10418
höchst	w1_d809e10423
besagten	w3_d809e10426
Majestäten	w5_d809e10429
sehr	w7_d809e10432
gnädig	w9_d809e10435
em	w11_d809e10438
pfangen,	w1_d809e10444
und	w3_d809e10447
hatten	w5_d809e10450
sodann	w7_d809e10453
die	w9_d809e10456
Gnade,	w11_d809e10459
Jhren	w1_d809e10464
Königl.	w3_d809e10467
Hoheiten	w5_d809e10470
dem	w7_d809e10473
Erzherzog	w9_d809e10476
Joseph,	w1_d809e10481
und	w3_d809e10484
Dero	w5_d809e10487
Durchlauchtigster	w7_d809e10490
G	w9_d809e10493
	w11_d809e10496
	w13_d809e10500
mahlin,	w1_d809e10505
wie	w3_d809e10508
nichtminder	w5_d809e10511
dem	w7_d809e10514
Erzherzog	w9_d809e10517
Leopold,	w1_d809e10523
und	w3_d809e10526
der	w5_d809e10529
übrigen	w7_d809e10532
Durchlauchtigsten	w9_d809e10535
Herrschaft	w1_d809e10540
aufgeführet	w3_d809e10543
zu	w5_d809e10546
werden.	w7_d809e10549
</p>
<p id="p8_d809e10552">
Montags	w1_d809e10556
den	w3_d809e10559
14.	w5_d809e10562
Nov.	w7_d809e10565
gegen	w9_d809e10568
Abend	w11_d809e10571
haben	w1_d809e10576
beede	w3_d809e10579
Kaiserl.	w5_d809e10582
Majestäten	w7_d809e10585
mit	w9_d809e10588
denen	w11_d809e10591
sieben	w1_d809e10596
älteren	w3_d809e10599
Durchlauchtigsten	w5_d809e10602
Herrschaf	w7_d809e10605
ten	w1_d809e10611
das	w3_d809e10614
Lustschloß	w5_d809e10617
Schönbrunn	w7_d809e10620
verlassen,	w9_d809e10623
und	w1_d809e10628
die	w3_d809e10631
Winter=residenz	w5_d809e10634
in	w7_d809e10637
der	w9_d809e10640
Burg	w11_d809e10643
wie	w13_d809e10647
der	w1_d809e10652
bezogen,	w3_d809e10655
allwo	w5_d809e10658
sodann	w7_d809e10661
in	w9_d809e10664
Gegenwart	w11_d809e10667
des	w13_d809e10671
Kaiserl.	w1_d809e10676
Königl.	w3_d809e10679
Hofes	w5_d809e10682
das	w7_d809e10685
Versprechen	w9_d809e10688
des	w1_d809e10694
Herrn	w3_d809e10697
Fürsten	w5_d809e10700
Michael	w7_d809e10703
von	w9_d809e10706
Turn	w11_d809e10709
und	w1_d809e10714
Taxis,	w3_d809e10717
mit	w5_d809e10720
der	w7_d809e10723
Kais.	w9_d809e10726
Kön.	w11_d809e10729
Kammer	w13_d809e10733
fräule	w1_d809e10738
Gräfin	w3_d809e10741
von	w5_d809e10744
Ladron	w7_d809e10747
geschehen,	w9_d809e10750
und	w11_d809e10753
wurde	w1_d809e10758
hierauf	w3_d809e10761
Apartement	w5_d809e10764
gehalten.	w7_d809e10767
</p>
<p id="p10_d809e10770">
Gestern,	w1_d809e10774
als	w3_d809e10777
am	w5_d809e10780
St.	w7_d809e10783
Leopoldi=fest	w9_d809e10786
Vormittag	w1_d809e10791
nach	w3_d809e10794
9.	w5_d809e10797
Uhr	w7_d809e10800
seynd	w9_d809e10803
beede	w11_d809e10806
Kaiserl.	w13_d809e10810
Majestäten	w1_d809e10815
mit	w3_d809e10818
Sr.	w5_d809e10821
Königl.	w7_d809e10824
Hohelt	w9_d809e10827
dem	w11_d809e10830
</p>
<p id="p16_d809e10844">
Durchl.	w1_d809e10848
Erzherzogen	w3_d809e10851
Joseph	w5_d809e10854
in	w7_d809e10857
Gefolge	w9_d809e10860
eini	w11_d809e10863
ger	w1_d809e10868
Damen	w3_d809e10871
und	w5_d809e10874
Cavalieren,	w7_d809e10877
nach	w9_d809e10880
dem	w11_d809e10883
Stift	w13_d809e10887
Kloster=neuburg	w1_d809e10892
abgegangen,	w3_d809e10895
haben	w5_d809e10898
in	w7_d809e10901
der	w9_d809e10904
daselbstigen	w1_d809e10910
Kirchen	w3_d809e10913
der	w5_d809e10916
Predig	w7_d809e10919
und	w9_d809e10922
dem	w11_d809e10925
feyerlichen	w1_d809e10930
hohen	w3_d809e10933
Amt	w5_d809e10936
beygewohnet,	w7_d809e10939
Mit	w9_d809e10942
tags	w1_d809e10947
in	w3_d809e10950
denen	w5_d809e10953
sogenannten	w7_d809e10956
Kaiser;	w9_d809e10959
zimmern	w11_d809e10962
gespeiset,	w1_d809e10967
und	w3_d809e10970
Nachmittag	w5_d809e10973
um	w7_d809e10976
3.	w9_d809e10979
Uhr	w11_d809e10982
nach	w13_d809e10986
der	w1_d809e10992
Vesper	w3_d809e10995
sich	w5_d809e10998
in	w7_d809e11001
die	w9_d809e11004
Burg	w11_d809e11007
hieher	w13_d809e11011
wieder	w15_d809e11014
zu	w17_d809e11017
ruck	w1_d809e11022
verfüget.	w3_d809e11025
</p>
<p id="p18_d809e11028">
Dito	w1_d809e11032
Vormittags	w3_d809e11035
erschienen	w5_d809e11038
die	w7_d809e11041
Herren	w9_d809e11044
Bottschafter,	w1_d809e11049
Gesandte,	w3_d809e11052
und	w5_d809e11055
der	w7_d809e11058
hohe	w9_d809e11061
Adel	w11_d809e11064
in	w1_d809e11069
Galla,	w3_d809e11072
und	w5_d809e11075
zwar	w7_d809e11078
wegen	w9_d809e11081
der	w11_d809e11084
fortwährenden	w13_d809e11088
Trauer	w1_d809e11094
in	w3_d809e11097
Sammet,	w5_d809e11100
reichen	w7_d809e11103
Vesten,	w9_d809e11106
Spitz	w11_d809e11109
und	w1_d809e11114
Geschmuck	w3_d809e11117
bey	w5_d809e11120
Hof,	w7_d809e11123
um	w9_d809e11126
bey	w11_d809e11129
Sr.	w13_d809e11133
Kön.	w15_d809e11136
Hohell	w1_d809e11141
dem	w3_d809e11144
Erzherzog	w5_d809e11147
Leopold,	w7_d809e11150
wegen	w9_d809e11153
De	w11_d809e11156
roselbten	w1_d809e11161
höchsten	w3_d809e11164
Namens=tag,	w5_d809e11167
ihre	w7_d809e11170
Glücks	w9_d809e11173
wünschungen	w1_d809e11179
abzulegen.	w3_d809e11182
</p>
<p id="p20_d809e11185">
Es	w1_d809e11189
haben	w3_d809e11192
jüngsthin	w5_d809e11195
Se.	w7_d809e11198
Kaiserl.	w9_d809e11201
Majest.	w11_d809e11204
allergnädigst	w1_d809e11209
beliebet,	w3_d809e11212
den	w5_d809e11215
Hrn.	w7_d809e11218
Franz	w9_d809e11221
Dillon	w11_d809e11224
von	w1_d809e11229
Skreen,	w3_d809e11232
und	w5_d809e11235
Broudston	w7_d809e11238
aus	w9_d809e11241
dem	w11_d809e11244
König	w13_d809e11248
reich	w1_d809e11254
Jrland	w3_d809e11257
mit	w5_d809e11260
aller	w7_d809e11263
seiner	w9_d809e11266
ehelichen	w11_d809e11269
Nach	w13_d809e11273
kommenschaft	w1_d809e11278
in	w3_d809e11281
Ansehung	w5_d809e11284
des	w7_d809e11287
grossen	w9_d809e11290
El	w11_d809e11293
fers,	w1_d809e11298
den	w3_d809e11301
seine	w5_d809e11304
Famille	w7_d809e11307
in	w9_d809e11310
den	w11_d809e11313
Kriegs=diensten	w13_d809e11317
des	w1_d809e11322
Durchlauchtigsten	w3_d809e11325
Haufes	w5_d809e11328
von	w7_d809e11331
Oester	w9_d809e11334
reich	w1_d809e11340
bezeiget	w3_d809e11343
hat,	w5_d809e11346
in	w7_d809e11349
den	w9_d809e11352
Reichs=ritter=stand	w11_d809e11355
zu	w1_d809e11360
erheben.	w3_d809e11363
</p>
<p id="p22_d809e11366">
Die	w1_d809e11370
schön	w3_d809e11373
neulich	w5_d809e11376
verspröchene	w7_d809e11379
ausführl.	w9_d809e11382
che	w1_d809e11387
Beschreibung	w3_d809e11390
der	w5_d809e11393
letzthin	w7_d809e11396
bey	w9_d809e11399
Hof	w11_d809e11402
vorge	w13_d809e11406
nommenen	w1_d809e11411
Promotion	w3_d809e11414
in	w5_d809e11417
dem	w7_d809e11420
Militarischen	w9_d809e11423
Maria	w1_d809e11429
Theresia=orden	w3_d809e11432
kan	w5_d809e11435
aus	w7_d809e11438
Mangel	w9_d809e11441
der	w1_d809e11446
Zeit	w3_d809e11449
erst	w5_d809e11452
klünftigen	w7_d809e11455
Post	w9_d809e11458
tag	w11_d809e11461
heraus	w13_d809e11465
ge	w15_d809e11468
geben	w1_d809e11473
werden.	w3_d809e11476
</p>
<head id="h2_d809e11482">
Lista	w1_d809e11486
deren	w3_d809e11489
Verstorbenen	w5_d809e11492
zu	w7_d809e11495
Wien	w9_d809e11498
in	w1_d809e11503
und	w3_d809e11506
vor	w5_d809e11509
der	w7_d809e11512
Stadt.	w9_d809e11515
Den	w1_d809e11520
9.	w3_d809e11523
Nov.	w5_d809e11526
Jn	w7_d809e11529
der	w9_d809e11532
Stadt	w11_d809e11535
</head>
<list id="l4_d809e11538">
Der	w1_d809e11542
(Tit.)	w3_d809e11545
Fr.	w5_d809e11548
Anna	w7_d809e11551
v.	w9_d809e11554
Wolf,	w11_d809e11557
Wittwe	w13_d809e11561
ihre	w15_d809e11564
Frle.	w17_d809e11567
T.	w1_d809e11572
Cath.,	w3_d809e11575
im	w5_d809e11578
Mayris.	w7_d809e11581
H.	w9_d809e11584
auf	w11_d809e11587
der	w13_d809e11591
Sailerst.	w15_d809e11594
10.	w17_d809e11597
J	w19_d809e11600
Dem	w1_d809e11605
Hrn.	w3_d809e11608
Jos.	w5_d809e11611
von	w7_d809e11614
Fernau,	w9_d809e11617
s.	w11_d809e11620
Frle.	w13_d809e11624
T.	w15_d809e11627
Cathar.,	w17_d809e11630
im	w1_d809e11636
Fernauisch.	w3_d809e11639
H.	w5_d809e11642
am	w7_d809e11645
Grab.,	w9_d809e11648
alt	w11_d809e11651
40.	w13_d809e11655
J.	w15_d809e11658
Hr.	w1_d809e11663
Domin.	w3_d809e11666
Pormastini,	w5_d809e11669
Burgerl.	w7_d809e11672
Haudelsm.,	w9_d809e11675
im	w11_d809e11678
Steinmetzis.	w1_d809e11683
H.	w3_d809e11686
am	w5_d809e11689
Grab,	w7_d809e11692
alt	w9_d809e11695
48.	w11_d809e11698
J.	w13_d809e11702
Fr	w1_d809e11707
Anna	w3_d809e11710
Pentolfin,	w5_d809e11713
Wittwe,	w7_d809e11716
im	w9_d809e11719
Gregoris.	w11_d809e11722
H.	w13_d809e11726
beyn	w15_d809e11729
Franciscan.,	w1_d809e11735
alt	w3_d809e11738
63.	w5_d809e11741
J.	w7_d809e11744
Dem	w1_d809e11749
Paul	w3_d809e11752
Schifmann,	w5_d809e11755
Burgerl.	w7_d809e11758
Lebzelt.,	w9_d809e11761
s.	w11_d809e11764
K.	w13_d809e11768
Carl,	w1_d809e11773
beym	w3_d809e11776
gold	w5_d809e11779
Greif.	w7_d809e11782
in	w9_d809e11785
der	w11_d809e11788
Kärntnerstr.,	w13_d809e11792
alt	w1_d809e11797
2.	w3_d809e11800
J.	w5_d809e11803
</list>
<list id="l6_d809e11807">
Dem	w1_d809e11811
Joh.	w3_d809e11814
Wiedete,	w5_d809e11817
Burgerl.	w7_d809e11820
Oebstl.,	w9_d809e11823
s.	w11_d809e11826
K.	w13_d809e11830
Jos.	w15_d809e11833
im	w1_d809e11838
Pfeifferis	w3_d809e11841
H.	w5_d809e11844
am	w7_d809e11847
Grab,	w9_d809e11850
alt	w11_d809e11853
8.	w13_d809e11857
Dem	w1_d809e11862
Andre	w3_d809e11865
Rot,	w5_d809e11868
Hausmeist.	w7_d809e11871
s.	w9_d809e11874
K.	w11_d809e11877
Elisab.	w13_d809e11881
in	w15_d809e11884
den	w17_d809e11887
teutsch.	w1_d809e11893
H.,	w3_d809e11896
alt	w5_d809e11899
3.	w7_d809e11902
J.	w9_d809e11905
Cathar.	w1_d809e11910
Semlörin,	w3_d809e11913
Burgerl.	w5_d809e11916
Witttwe,	w7_d809e11919
im	w9_d809e11922
Gollis.	w11_d809e11925
H.	w1_d809e11930
in	w3_d809e11933
der	w5_d809e11936
Weihburg=gas,	w7_d809e11939
alt	w9_d809e11942
68.	w11_d809e11945
J.	w13_d809e11949
Dem	w1_d809e11954
Leonh.	w3_d809e11957
Winkler,	w5_d809e11960
Laboran.,	w7_d809e11963
s.	w9_d809e11966
K.	w11_d809e11969
Theres.,	w13_d809e11973
im	w15_d809e11976
Löwenanis.	w1_d809e11982
H.	w3_d809e11985
untern	w5_d809e11988
Katzenst,	w7_d809e11991
alt	w9_d809e11994
5.	w11_d809e11997
v.	w13_d809e12001
J.	w15_d809e12004
</list>
<head id="h2_d809e12011">
Dor	w1_d809e12015
der	w3_d809e12018
Sadt.	w5_d809e12021
</head>
<list id="l4_d809e12024">
Dem	w1_d809e12028
Jos	w3_d809e12031
Lempf.	w5_d809e12034
Chururg	w7_d809e12037
s.	w9_d809e12040
K.	w11_d809e12043
Elisab,	w13_d809e12047
beon	w15_d809e12050
3.	w17_d809e12053
Schnal.	w1_d809e12058
zu	w3_d809e12061
Maria	w5_d809e12064
hülf,	w7_d809e12067
alt	w9_d809e12070
4.	w11_d809e12073
Dem	w1_d809e12078
Math.	w3_d809e12081
Gall,	w5_d809e12084
Burgerl.	w7_d809e12087
Schuhmach.,	w9_d809e12090
s.	w11_d809e12093
K.	w13_d809e12097
Math.,	w1_d809e12103
in	w3_d809e12106
s.	w5_d809e12109
H.	w7_d809e12112
zu	w9_d809e12115
Erdb.,	w11_d809e12118
alt	w13_d809e12122
7.	w15_d809e12125
J.	w17_d809e12128
Joh.	w1_d809e12133
Perger	w3_d809e12136
gew.	w5_d809e12139
Millner,	w7_d809e12142
im	w9_d809e12145
Pfaidleris.	w11_d809e12148
H.	w13_d809e12152
in	w15_d809e12155
der	w17_d809e12158
Leopoldst.,	w1_d809e12163
alt	w3_d809e12166
89	w5_d809e12169
J.	w7_d809e12172
Ant.	w1_d809e12177
Hörner,	w3_d809e12180
Musiceus,	w5_d809e12183
beym	w7_d809e12186
weis.	w9_d809e12189
Habn	w11_d809e12192
in	w13_d809e12196
dem	w15_d809e12199
Liechtenth.,	w1_d809e12205
alt	w3_d809e12208
34.	w5_d809e12211
J.	w7_d809e12214
Cotha.	w1_d809e12219
Maußlin,	w3_d809e12222
Wittwe,	w5_d809e12225
im	w7_d809e12228
Gatonis.	w9_d809e12231
H.	w11_d809e12234
in	w13_d809e12238
der	w15_d809e12241
Leopoldst,	w1_d809e12246
alt	w3_d809e12249
75.	w5_d809e12252
Dem	w1_d809e12257
Ant.	w3_d809e12260
Kestler,	w5_d809e12263
8.	w7_d809e12266
K.	w9_d809e12269
Jägereyeschm.,	w11_d809e12272
im	w13_d809e12276
Bra	w15_d809e12279
der,	w1_d809e12285
s.	w3_d809e12288
K.	w5_d809e12291
Franz,	w7_d809e12294
alda,	w9_d809e12297
alt	w11_d809e12300
5.	w13_d809e12304
v.	w15_d809e12307
J.	w17_d809e12310
Dem	w1_d809e12315
Leonh.	w3_d809e12318
Senger,	w5_d809e12321
Taglöhn.,	w7_d809e12324
s.	w9_d809e12327
K.	w11_d809e12330
Math.,	w13_d809e12334
beym	w15_d809e12337
gold.	w1_d809e12342
Post=hörnl.	w3_d809e12345
in	w5_d809e12348
der	w7_d809e12351
Leopoldst.,	w9_d809e12354
alt	w11_d809e12357
4.	w13_d809e12361
J.	w15_d809e12364
Dem	w1_d809e12369
Gottl.	w3_d809e12372
Schauer,	w5_d809e12375
Schutz=vew.	w7_d809e12378
Satl.,	w9_d809e12381
s.	w11_d809e12384
K.	w13_d809e12388
The	w15_d809e12391
res.,	w1_d809e12397
im	w3_d809e12400
Körgl.	w5_d809e12403
Klaster=H.	w7_d809e12406
in	w9_d809e12409
der	w11_d809e12412
Kot=gas.,	w13_d809e12416
3.	w15_d809e12419
J.	w17_d809e12422
</list>
<head id="h2_d809e12429">
Summa	w1_d809e12433
17.	w3_d809e12436
Pers.	w5_d809e12439
darunter	w7_d809e12442
10.	w9_d809e12445
Kind.	w11_d809e12448
Den	w1_d809e12453
10	w3_d809e12456
Nov.	w5_d809e12459
Jn	w7_d809e12462
der	w9_d809e12465
Stadt.	w11_d809e12468
</head>
<list id="l4_d809e12471">
Dem	w1_d809e12475
Math.	w3_d809e12478
Winkler,	w5_d809e12481
Burgerl.	w7_d809e12484
Goldschm.,	w9_d809e12487
s.	w11_d809e12490
K.	w13_d809e12494
Jacob,	w1_d809e12499
im	w3_d809e12502
Hochfürstl=Liechtensteinis.	w5_d809e12505
H.	w7_d809e12508
in	w9_d809e12511
der	w11_d809e12514
Herren=gas.,	w1_d809e12519
alt	w3_d809e12522
5.	w5_d809e12525
Dem	w1_d809e12531
Carl	w3_d809e12534
Schüssel,	w5_d809e12537
Herschaftl.	w7_d809e12540
Lack,	w9_d809e12543
s.	w11_d809e12546
K.	w13_d809e12550
Carl,	w15_d809e12553
im	w1_d809e12558
Choteckis.	w3_d809e12561
H.	w5_d809e12564
auf	w7_d809e12567
der	w9_d809e12570
Mölker=dast,	w11_d809e12573
5.	w13_d809e12577
J.	w15_d809e12580
Vor	w1_d809e12585
der	w3_d809e12588
Stadt.	w5_d809e12591
</list>
<list id="l6_d809e12595">
Fr.	w1_d809e12599
Susan.	w3_d809e12602
Mangerin,	w5_d809e12605
Wittwe,	w7_d809e12608
beym	w9_d809e12611
Schab	w11_d809e12614
den	w13_d809e12618
ries.	w1_d809e12623
in	w3_d809e12626
der	w5_d809e12629
Leopoldst.,	w7_d809e12632
alt	w9_d809e12635
83.	w11_d809e12638
J.	w13_d809e12642
Dem	w1_d809e12647
Jos.	w3_d809e12650
Leutner,	w5_d809e12653
Burgerl	w7_d809e12656
Schuhmach.,	w9_d809e12659
s.	w11_d809e12662
W.	w13_d809e12666
Anna,	w1_d809e12672
bey	w3_d809e12675
St.	w5_d809e12678
Anna	w7_d809e12681
in	w9_d809e12684
der	w11_d809e12687
Josephst.,	w13_d809e12691
alt	w15_d809e12694
57.	w17_d809e12697
J.	w19_d809e12700
Dem	w1_d809e12705
Lor.	w3_d809e12708
Prückl,	w5_d809e12711
Dratzieh.,	w7_d809e12714
s.	w9_d809e12717
K.	w11_d809e12720
Cathar.,	w13_d809e12724
in	w15_d809e12727
Kaporalis.	w1_d809e12732
H.	w3_d809e12735
in	w5_d809e12738
der	w7_d809e12741
Josephst.,	w9_d809e12744
alt	w11_d809e12747
4.	w13_d809e12751
J.	w15_d809e12754
Dem	w1_d809e12759
Paul	w3_d809e12762
Hassele,	w5_d809e12765
Burgerl	w7_d809e12768
Holz=handl.,	w9_d809e12771
s.	w11_d809e12774
K.	w13_d809e12778
Elis,	w15_d809e12781
bey	w1_d809e12787
der	w3_d809e12790
gold.	w5_d809e12793
Ganß	w7_d809e12796
in	w9_d809e12799
der	w11_d809e12802
Rossau,	w13_d809e12806
alt	w15_d809e12809
5.	w17_d809e12812
J.	w19_d809e12815
Dem	w1_d809e12820
Mart.	w3_d809e12823
Grießmann,	w5_d809e12826
Bestand=wirt.	w7_d809e12829
s.	w9_d809e12832
W.	w11_d809e12835
Mag.	w13_d809e12839
bey	w1_d809e12844
der	w3_d809e12847
gold.	w5_d809e12850
Sonn	w7_d809e12853
am	w9_d809e12856
Neust,	w11_d809e12859
alt	w13_d809e12863
40.	w15_d809e12866
J.	w17_d809e12869
Barthl.	w1_d809e12874
Kiringer,	w3_d809e12877
Ziegeldeck=ges.,	w5_d809e12880
beym	w7_d809e12883
golden.	w9_d809e12886
Einhorn	w1_d809e12892
im	w3_d809e12895
Liechtenth.,	w5_d809e12898
alt	w7_d809e12901
69.	w9_d809e12904
J.	w11_d809e12907
Dem	w1_d809e12912
Phil.	w3_d809e12915
Reiß,	w5_d809e12918
Hut.,	w7_d809e12921
s.	w9_d809e12924
K.	w11_d809e12927
Francisca,	w13_d809e12931
bey	w15_d809e12934
dem	w17_d809e12937
gold.	w1_d809e12942
Läm.	w3_d809e12945
in	w5_d809e12948
der	w7_d809e12951
Josephst,	w9_d809e12954
alt	w11_d809e12957
7.	w13_d809e12961
J.	w15_d809e12964
Dem	w1_d809e12969
Jos.	w3_d809e12972
Glaßhüter,	w5_d809e12975
Taglöhn.,	w7_d809e12978
s.	w9_d809e12981
K.	w11_d809e12984
Theres,	w13_d809e12988
im	w15_d809e12991
bl.	w1_d809e12997
H.	w3_d809e13000
in	w5_d809e13003
der	w7_d809e13006
Rossau,	w9_d809e13009
alt	w11_d809e13012
11.	w13_d809e13016
J.	w15_d809e13019
Dem	w1_d809e13024
Leop.	w3_d809e13027
Tasch,	w5_d809e13030
Taglöhn.,	w7_d809e13033
s.	w9_d809e13036
K.	w11_d809e13039
Joh.	w13_d809e13043
Georg,	w15_d809e13046
bey	w17_d809e13049
der	w1_d809e13054
gold.	w3_d809e13057
Kug.	w5_d809e13060
in	w7_d809e13063
der	w9_d809e13066
Josephst,	w11_d809e13069
alt	w13_d809e13073
3.	w15_d809e13076
J.	w17_d809e13079
Dem	w1_d809e13084
Paul	w3_d809e13087
Neuburger,	w5_d809e13090
Kutsch.,	w7_d809e13093
s.	w9_d809e13096
K.	w11_d809e13099
Elisab.	w13_d809e13103
bey	w15_d809e13106
der	w1_d809e13112
gold	w3_d809e13115
Arch.	w5_d809e13118
auf	w7_d809e13121
der	w9_d809e13124
Wind=mühl,	w11_d809e13127
alt	w13_d809e13131
4.	w15_d809e13134
J.	w17_d809e13137
Dem	w1_d809e13142
Jos.	w3_d809e13145
Schmid,	w5_d809e13148
Schif=kn,	w7_d809e13151
s.	w9_d809e13154
K.	w11_d809e13157
Math.,	w13_d809e13161
im	w15_d809e13164
Liferantis.	w1_d809e13169
H.	w3_d809e13172
in	w5_d809e13175
der	w7_d809e13178
Leopoldst.,	w9_d809e13181
alt	w11_d809e13184
3.	w13_d809e13188
J.	w15_d809e13191
Dem	w1_d809e13196
Franz	w3_d809e13199
Moriso,	w5_d809e13202
Lack,	w7_d809e13205
s.	w9_d809e13208
K.	w11_d809e13211
Jos.,	w13_d809e13215
im	w15_d809e13218
Kolhun	w17_d809e13221
dis.	w1_d809e13227
H.	w3_d809e13230
auf	w5_d809e13233
der	w7_d809e13236
Wied.,	w9_d809e13239
alt	w11_d809e13242
3.	w13_d809e13246
J.	w15_d809e13249
</list>
<head id="h4_d809e13266">
verlor.	w1_d809e13270
Sohn	w3_d809e13273
am	w5_d809e13276
Spitalberg,	w7_d809e13279
alt	w9_d809e13282
5.	w11_d809e13285
J.	w13_d809e13289
Summa	w1_d809e13294
15.	w3_d809e13297
Person.,	w5_d809e13300
darunter	w7_d809e13303
11.	w9_d809e13306
Kind.	w11_d809e13309
Den	w1_d809e13314
11.	w3_d809e13317
Nov.	w5_d809e13320
Jn	w7_d809e13323
der	w9_d809e13326
Stadt.	w11_d809e13329
</head>
<list id="l6_d809e13332">
Dem	w1_d809e13336
(Tit.)	w3_d809e13339
Hrn.	w5_d809e13342
Math.	w7_d809e13345
Zöhrer,	w9_d809e13348
des	w11_d809e13351
Löbl.	w13_d809e13355
K.	w15_d809e13358
K.	w17_d809e13361
Emanuel	w1_d809e13366
Graf	w3_d809e13369
Kollowratis.	w5_d809e13372
Drag.=regiw.	w7_d809e13375
Haupt	w9_d809e13378
mann,	w1_d809e13383
und	w3_d809e13386
Quartiermeist.,	w5_d809e13389
s.	w7_d809e13392
Frle.	w9_d809e13395
T.	w11_d809e13398
Maria	w13_d809e13402
Anna,	w1_d809e13408
im	w3_d809e13411
Schmidis.	w5_d809e13414
H.	w7_d809e13417
am	w9_d809e13420
Salz=gr.,	w11_d809e13423
alt	w13_d809e13427
9.	w15_d809e13430
J.	w17_d809e13433
Hr.	w1_d809e13438
Ant.	w3_d809e13441
Richter,	w5_d809e13444
K.	w7_d809e13447
K.	w9_d809e13450
Hof	w11_d809e13453
und	w13_d809e13457
Kammer	w15_d809e13460
orga	w17_d809e13463
nist,	w1_d809e13468
im	w3_d809e13471
Marzingeris.	w5_d809e13474
H.	w7_d809e13477
am	w9_d809e13480
Grab.,	w11_d809e13483
alt	w13_d809e13487
73.	w15_d809e13490
J.	w17_d809e13493
Dem	w1_d809e13498
Hrn.	w3_d809e13501
Math.	w5_d809e13504
Schlöger,	w7_d809e13507
K.	w9_d809e13510
K.	w11_d809e13513
Hofclavier	w13_d809e13517
meist,	w1_d809e13523
s.	w3_d809e13526
S.	w5_d809e13529
Joh.,	w7_d809e13532
beym	w9_d809e13535
Aug	w11_d809e13538
Got.	w13_d809e13542
am	w15_d809e13545
Pet,	w17_d809e13548
alt	w19_d809e13551
717.	w1_d809e13556
J.	w3_d809e13559
Dem	w1_d809e13564
Hrn.	w3_d809e13567
Joh.	w5_d809e13570
Mich.	w7_d809e13573
Gyrnuß,	w9_d809e13576
Herrschaftl.	w11_d809e13579
Ar	w13_d809e13583
chivar,	w1_d809e13588
s.	w3_d809e13591
K.	w5_d809e13594
Maria,	w7_d809e13597
in	w9_d809e13600
s.	w11_d809e13603
H.	w13_d809e13607
wo	w15_d809e13610
der	w17_d809e13613
Wolf	w19_d809e13616
den	w21_d809e13619
Gäns.	w1_d809e13625
predigt	w3_d809e13628
in	w5_d809e13631
der	w7_d809e13634
Wallerstr.,	w9_d809e13637
alt	w11_d809e13640
7.	w13_d809e13644
J.	w15_d809e13647
Dem	w1_d809e13652
Ferd.	w3_d809e13655
Gotzerstorfer,	w5_d809e13658
Burgerl.	w7_d809e13661
Schneid.,	w9_d809e13664
s.	w11_d809e13667
T.	w13_d809e13671
Theres.,	w1_d809e13676
im	w3_d809e13679
Linkis.	w5_d809e13682
H.	w7_d809e13685
im	w9_d809e13688
Fisch=hof,	w11_d809e13691
alt	w13_d809e13695
12.	w15_d809e13698
J.	w17_d809e13701
</list>
<head id="h2_d809e13709">
Vor	w1_d809e13713
der	w3_d809e13716
Stadt.	w5_d809e13719
</head>
<list id="l4_d809e13722">
Dem	w1_d809e13726
Hrn.	w3_d809e13729
Joh.	w5_d809e13732
Pender,	w7_d809e13735
K.	w9_d809e13738
K.	w11_d809e13741
Cabinets	w13_d809e13745
eur.,	w15_d809e13748
s.	w17_d809e13751
T.	w19_d809e13754
Theres.,	w1_d809e13759
bey	w3_d809e13762
der	w5_d809e13765
Schlang	w7_d809e13768
am	w9_d809e13771
Spitalb.,	w11_d809e13774
7.	w13_d809e13778
J.	w15_d809e13781
Jos.	w1_d809e13786
Grantner,	w3_d809e13789
Burgerl.	w5_d809e13792
Hafner,	w7_d809e13795
beym	w9_d809e13798
H.	w11_d809e13801
Geist	w13_d809e13805
zu	w1_d809e13811
Margar,	w3_d809e13814
alt	w5_d809e13817
45	w7_d809e13820
J.	w9_d809e13823
Joh.	w1_d809e13828
Rungandie,	w3_d809e13831
Burgerl.	w5_d809e13834
Schuhmach.,	w7_d809e13837
beym	w9_d809e13840
An	w11_d809e13843
ker	w1_d809e13848
auf	w3_d809e13851
der	w5_d809e13854
Wendelst,	w7_d809e13857
all	w9_d809e13860
72.	w11_d809e13863
J.	w13_d809e13867
Dem	w1_d809e13872
Casp.	w3_d809e13875
Weiland,	w5_d809e13878
Bestand	w7_d809e13881
wirt.,	w9_d809e13884
s.	w11_d809e13887
K.	w13_d809e13891
Elisab.	w15_d809e13894
beym	w1_d809e13900
weis.	w3_d809e13903
Pfauen	w5_d809e13906
zu	w7_d809e13909
Maria	w9_d809e13912
hülf,	w11_d809e13915
