<doc id="edoc_wd_1726-09-11" attrs="word" year="1726" month="09" day="11" corpus="1">
<head id="hl1">
St	w54
Maschinen	w3636
mit	w3637
Rädern	w3638
<g/>
/
so	w3640
von	w3641
zweyen	w3642
darinnen	w3643
auch	w3644
verborgenen	w3645
Männern	w3646
also	w3647
bewegt	w3648
<g/>
/
und	w3650
ge=trieben	w3651
<g/>
=
wird	w3653
<g/>
/
daß	w3655
man	w3656
nicht	w3657
anderst	w3658
ver=meinet	w3659
<g/>
=
<g/>
/
als	w3662
ob	w3663
ein	w3664
lebendig	w3665
<g/>
=
und	w3667
natürli=cher	w3668
<g/>
=
Schwann	w3670
eine	w3671
an	w3672
seinem	w3673
Schweif	w3674
han=gend	w3675
<g/>
=
<g/>
=
Venetianische	w3678
Gondolen	w3679
<g/>
/
worinnen	w3681
</p>
<p id="p45">
5	w3687
bis	w3688
6	w3689
<g/>
.
Personen	w3691
sitzen	w3692
können	w3693
<g/>
/
durch	w3695
die	w3696
Arbeit	w3697
und	w3698
den	w3699
Schlag	w3700
seiner	w3701
Flügeln	w3702
fort=ziehen	w3703
<g/>
=
thäte	w3705
<g/>
;
der	w3707
König	w3708
<g/>
/
welcher	w3710
hiervon	w3711
zu	w3712
verschiedenen	w3713
<g/>
=
malen	w3715
die	w3716
Probe	w3717
gesehen	w3718
hat	w3719
<g/>
/
ist	w3721
darmit	w3722
sehr	w3723
vergnügt	w3724
<g/>
.
</p>
<head id="hl12">
Aus	w3726
Savoyen	w3727
25	w3728
<g/>
.
Augusti	w3730
<g/>
.
</head>
<p id="p46">
Am	w3732
verwichenen	w3733
Montag	w3734
ist	w3735
der	w3736
König	w3737
in	w3738
Sardinien	w3739
von	w3740
Chambery	w3741
der	w3742
Haupt	w3743
<g/>
=
Stadt	w3745
hiesigen	w3746
Herzogtums	w3747
abgereiset	w3748
<g/>
/
um	w3750
wiederum	w3751
über	w3752
das	w3753
Gebürg	w3754
zuruk	w3755
nacher	w3756
Pie=mont	w3757
<g/>
=
zu	w3759
gehen	w3760
<g/>
.
</p>
<head id="hl13">
Amsterdam	w3762
27	w3763
<g/>
.
Augusti	w3765
<g/>
.
</head>
<p id="p47">
Von	w3767
Gibraltar	w3768
hat	w3769
man	w3770
<g/>
/
daß	w3772
ein	w3773
von	w3774
Rotterdam	w3775
nach	w3776
Pensilvanien	w3777
gehendes	w3778
En=gelländisches	w3779
<g/>
=
Schif	w3781
mit	w3782
23	w3783
<g/>
.
Manns	w3785
<g/>
=
und	w3787
8	w3788
<g/>
.
Frauens	w3790
<g/>
=
Personen	w3792
<g/>
/
von	w3794
denen	w3795
Salesischen	w3796
Raubern	w3797
wäre	w3798
genommen	w3799
<g/>
/
und	w3801
zu	w3802
Salee	w3803
gebracht	w3804
mithin	w3805
confisciret	w3806
worden	w3807
<g/>
.
</p>
<p id="p48">
Von	w3809
Smyrna	w3810
hat	w3811
man	w3812
folgende	w3813
Umstän=de	w3814
<g/>
=
<g/>
/
einen	w3817
Catholischen	w3818
betreffend	w3819
<g/>
/
welcher	w3821
vor	w3822
weniger	w3823
Zeit	w3824
in	w3825
Türkey	w3826
Geschäften	w3827
hal=ber	w3828
<g/>
=
gegangen	w3830
<g/>
/
überkommen	w3832
<g/>
:
</p>
<p id="p49">
Demnach	w3834
dieser	w3835
Mensch	w3836
in	w3837
die	w3838
Schwach=heit	w3839
<g/>
=
verfallen	w3841
<g/>
/
und	w3843
unter	w3844
dem	w3845
Namen	w3846
Me-hemet	w3847
<g/>
-
Effendi	w3849
<g/>
,
ein	w3851
Türk	w3852
geworden	w3853
ist	w3854
<g/>
/
da=mit	w3856
<g/>
=
er	w3858
zu	w3859
Manaxia	w3860
eine	w3861
reiche	w3862
Wittib	w3863
heit=taten	w3864
<g/>
=
mögte	w3866
<g/>
/
hat	w3868
es	w3869
ihn	w3870
sein	w3871
Abfall	w3872
etliche	w3873
Tage	w3874
nach	w3875
seiner	w3876
Heirat	w3877
gereuet	w3878
<g/>
/
und	w3880
ist	w3881
wiederum	w3882
nacher	w3883
Smyrna	w3884
gekommen	w3885
<g/>
:
er	w3887
be=gabe	w3888
<g/>
=
sich	w3890
alsobald	w3891
in	w3892
eine	w3893
derer	w3894
vornehm=sten	w3895
<g/>
=
Moskeen	w3897
<g/>
/
alwo	w3899
er	w3900
in	w3901
Gegenwart	w3902
de=rer	w3903
<g/>
=
Türken	w3905
<g/>
/
so	w3907
ihr	w3908
Gebett	w3909
darinnen	w3910
ver=richteten	w3911
<g/>
=
<g/>
/
seine	w3914
Mütze	w3915
<g/>
/
und	w3917
seinen	w3918
Tur=bant	w3919
<g/>
=
<g/>
/
auf	w3922
die	w3923
Erde	w3924
warffe	w3925
<g/>
/
und	w3927
sie	w3928
mit	w3929
denen	w3930
allergrösten	w3931
Schmäh	w3932
<g/>
=
Worten	w3934
wider	w3935
des	w3936
Mahomets	w3937
Gesätz	w3938
<g/>
/
mit	w3940
Füssen	w3941
tratte	w3942
<g/>
/
in	w3944
Hofnung	w3945
<g/>
/
er	w3947
werde	w3948
auf	w3949
der	w3950
Stätte	w3951
ermor=det	w3952
<g/>
=
und	w3954
martirisiret	w3955
werden	w3956
<g/>
/
und	w3958
dadurch	w3959
sein	w3960
Verbrechen	w3961
büssen	w3962
<g/>
.
Allein	w3964
das	w3965
Volk	w3966
nahme	w3967
ihn	w3968
nur	w3969
in	w3970
Verhaft	w3971
<g/>
:
und	w3973
schleppete	w3974
ihn	w3975
vor	w3976
den	w3977
Richter	w3978
<g/>
/
bey	w3980
dem	w3981
er	w3982
angekla=get	w3983
<g/>
=
wurde	w3985
<g/>
;
er	w3987
hätte	w3988
sich	w3989
für	w3990
einen	w3991
Christen	w3992
erkläret	w3993
<g/>
/
und	w3995
wider	w3996
das	w3997
Gesätz	w3998
gefluchet	w3999
<g/>
.
Worüber	w4001
er	w4002
befraget	w4003
wurde	w4004
<g/>
/
und	w4006
die	w4007
That	w4008
bekennete	w4009
<g/>
/
dahero	w4011
er	w4012
zum	w4013
Voraus	w4014
<g/>
/
an	w4016
de=nen	w4017
<g/>
=
Fuß	w4019
Sohlen	w4020
geprügelt	w4021
zu	w4022
werden	w4023
<g/>
/
ver=urtheilet	w4025
<g/>
=
wurde	w4027
<g/>
:
als	w4029
dieses	w4030
geschehen	w4031
<g/>
/
be=fragte	w4033
<g/>
=
man	w4035
ihn	w4036
<g/>
/
ob	w4038
er	w4039
auf	w4040
seiner	w4041
Meinung	w4042
bestünde	w4043
<g/>
/
da	w4045
batt	w4046
er	w4047
<g/>
/
man	w4049
möchte	w4050
ihme	w4051
Zeit	w4052
<g/>
/
darauf	w4054
zu	w4055
antworten	w4056
<g/>
/
lassen	w4058
<g/>
;
allein	w4060
als	w4061
ihme	w4062
diese	w4063
Bedenk	w4064
<g/>
=
Zeit	w4066
versaget	w4067
wurde	w4068
<g/>
/
</p>
<p id="p50">
und	w4070
sahe	w4071
<g/>
/
daß	w4073
man	w4074
ihm	w4075
härtere	w4076
Martern	w4077
androhete	w4078
<g/>
/
nahme	w4080
er	w4081
die	w4082
Mahometanische	w4083
Religion	w4084
wiederum	w4085
an	w4086
<g/>
/
und	w4088
wandte	w4089
vor	w4090
<g/>
/
er	w4092
wäre	w4093
trunken	w4094
gewesen	w4095
<g/>
/
als	w4097
er	w4098
die	w4099
Verwe=genheit	w4100
<g/>
=
<g/>
/
darum	w4103
er	w4104
angeklaget	w4105
worden	w4106
<g/>
/
in	w4108
der	w4109
Moskee	w4110
begangen	w4111
hätte	w4112
<g/>
.
Worauf	w4114
er	w4115
frey	w4116
gelassen	w4117
wurde	w4118
<g/>
;
weilen	w4120
aber	w4121
die	w4122
Tür=kischen	w4123
<g/>
=
Geistlichen	w4125
<g/>
/
und	w4127
Rechts	w4128
Erfahrnen	w4129
vorgestellet	w4130
<g/>
;
er	w4132
hätte	w4133
wider	w4134
das	w4135
Gesätz	w4136
ge=fluchet	w4137
<g/>
=
<g/>
/
und	w4140
dieses	w4141
Fluchs	w4142
wegen	w4143
<g/>
/
den	w4145
Tod	w4146
verwürket	w4147
<g/>
/
wurde	w4149
er	w4150
auf	w4151
das	w4152
neue	w4153
in	w4154
Ver=haft	w4155
<g/>
=
genommen	w4157
<g/>
.
Jnzwischen	w4159
<g/>
/
weilen	w4161
er	w4162
bey	w4163
denen	w4164
vornehmsten	w4165
Musulmännern	w4166
in	w4167
hohen	w4168
Ansehen	w4169
ware	w4170
<g/>
/
welche	w4172
ihn	w4173
für	w4174
einen	w4175
grossen	w4176
Stern	w4177
<g/>
=
Gelehrten	w4179
<g/>
/
und	w4181
berühmten	w4182
Arzt	w4183
hielten	w4184
<g/>
/
würketen	w4186
sie	w4187
so	w4188
viel	w4189
aus	w4190
<g/>
/
daß	w4192
man	w4193
ihn	w4194
<g/>
/
nebst	w4196
einem	w4197
Geschenke	w4198
von	w4199
200	w4200
<g/>
.
Cronen	w4202
<g/>
/
über	w4204
das	w4205
Meer	w4206
nach	w4207
Constantino=pel	w4208
<g/>
=
schicken	w4210
möchte	w4211
<g/>
/
damit	w4213
er	w4214
sich	w4215
einige	w4216
Zeit	w4217
daselbst	w4218
aufhielte	w4219
<g/>
/
und	w4221
dem	w4222
Volk	w4223
aus	w4224
dem	w4225
Gesicht	w4226
käme	w4227
<g/>
;
aber	w4229
kaum	w4230
ware	w4231
er	w4232
aus	w4233
dem	w4234
Hafen	w4235
zu	w4236
Smyrna	w4237
heraus	w4238
gefahren	w4239
<g/>
/
da	w4241
er=klärete	w4242
<g/>
=
er	w4244
sich	w4245
Christlich	w4246
<g/>
/
und	w4248
erduldete	w4249
<g/>
/
daß	w4251
man	w4252
ihm	w4253
in	w4254
solcher	w4255
Bekanntnuß	w4256
den	w4257
Kopf	w4258
abschluge	w4259
<g/>
.
</p>
<head id="hl14">
Meiland	w4261
28	w4262
<g/>
.
Augusti	w4264
<g/>
.
</head>
<p id="p51">
Es	w4266
seynd	w4267
alhier	w4268
verschiedene	w4269
Curriers	w4270
von	w4271
Genua	w4272
und	w4273
Turin	w4274
angelanget	w4275
<g/>
/
und	w4277
der	w4278
Raht	w4279
hat	w4280
sich	w4281
mehrmalen	w4282
wegen	w4283
deren	w4284
obschwe=benden	w4285
<g/>
=
Mißhelligkeiten	w4287
zwischen	w4288
dem	w4289
König	w4290
von	w4291
Sardinien	w4292
<g/>
/
und	w4294
der	w4295
Republik	w4296
von	w4297
Ge-nua	w4298
<g/>
-
<g/>
,
versammlet	w4301
<g/>
.
</p>
<p id="p52">
Der	w4303
alhier	w4304
anwesende	w4305
Resident	w4306
von	w4307
Ve-nedig	w4308
<g/>
-
<g/>
,
Herr	w4311
Businelli	w4312
<g/>
,
hat	w4314
diesen	w4315
Morgen	w4316
seinen	w4317
öffentlichen	w4318
Einzug	w4319
gehalten	w4320
<g/>
/
und	w4322
seine	w4323
erste	w4324
Audientz	w4325
bey	w4326
Jhren	w4327
Excellenzen	w4328
<g/>
/
dem	w4330
Herrn	w4331
Gubernator	w4332
und	w4333
Frau	w4334
Guber- natorin	w4335
<g/>
-
gehabt	w4337
<g/>
;
welche	w4339
anheute	w4340
<g/>
/
wegen	w4342
der	w4343
Regierenden	w4344
Kaiserin	w4345
Geburts	w4346
<g/>
=
Tag	w4348
<g/>
/
von	w4350
denen	w4351
Ministern	w4352
<g/>
/
Damen	w4354
<g/>
,
Cavalieren	w4356
die	w4357
Glükwünschungs	w4358
<g/>
=
Complimenten	w4360
empfan=gen	w4361
<g/>
=
haben	w4363
<g/>
.
</p>
<p id="p53">
Freytags	w4365
wurde	w4366
vom	w4367
hiesigen	w4368
Hochlöbl	w4369
<g/>
.
Senat	w4371
der	w4372
jenige	w4373
Mörder	w4374
<g/>
/
so	w4376
vor	w4377
etlichen	w4378
Monaten	w4379
zu	w4380
Como	w4381
seinen	w4382
eigenen	w4383
Vatter	w4384
um	w4385
das	w4386
Leben	w4387
gebracht	w4388
<g/>
/
verurtheilet	w4390
<g/>
/
daß	w4392
er	w4393
mit	w4394
Zangen	w4395
gezwiket	w4396
<g/>
/
ihme	w4398
die	w4399
rechte	w4400
Hand	w4401
abgehauen	w4402
<g/>
/
und	w4404
er	w4405
endlich	w4406
gerädert	w4407
wer=de	w4408
<g/>
=
<g/>
;
welches	w4411
Urtheil	w4412
Montags	w4413
daselbst	w4414
vol=zogen	w4415
<g/>
=
worden	w4417
<g/>
.
</p>
<head id="hl15">
Versailles	w4421
30	w4422
<g/>
.
Augusti	w4424
<g/>
.
</head>
<p id="p54">
Den	w4426
25	w4427
<g/>
.
dieses	w4429
<g/>
/
als	w4431
an	w4432
dem	w4433
Fest	w4434
des	w4435
H	w4436
<g/>
.
Königs	w4438
Ludwig	w4439
<g/>
/
von	w4441
deme	w4442
der	w4443
König	w4444
den	w4445
Namen	w4446
führet	w4447
<g/>
/
empfiengen	w4449
Jhre	w4450
Majestät	w4451
die	w4452
Complimenten	w4453
von	w4454
denen	w4455
Printzen	w4456
<g/>
/
Prinzessinnen	w4458
<g/>
/
und	w4460
grossen	w4461
Herren	w4462
des	w4463
Ho=fes	w4464
<g/>
=
<g/>
/
hörete	w4467
darauf	w4468
die	w4469
Heil	w4470
<g/>
.
Meß	w4472
in	w4473
der	w4474
Schloß	w4475
<g/>
=
Capellen	w4477
<g/>
/
und	w4479
hatte	w4480
bey	w4481
dero	w4482
Mit=tags	w4483
<g/>
=
<g/>
=
Mahlzeit	w4486
ein	w4487
grosses	w4488
Concert	w4489
von	w4490
Mu- sicalischen	w4491
<g/>
-
Instrumenten	w4493
<g/>
.
Den	w4495
27	w4496
<g/>
.
dieses	w4498
fruhe	w4499
Morgens	w4500
verreiseten	w4501
Jhre	w4502
Majestät	w4503
nacher	w4504
Fontainebleau	w4505
<g/>
.
</p>
<p id="p55">
Die	w4507
Gesundheit	w4508
der	w4509
Königin	w4510
wird	w4511
von	w4512
Tag	w4513
zu	w4514
Tag	w4515
mehrers	w4516
hergestellet	w4517
<g/>
;
Jhre	w4519
Majestät	w4520
zeigen	w4521
sich	w4522
zuweilen	w4523
an	w4524
dem	w4525
Fenster	w4526
<g/>
/
und	w4528
bezeugen	w4529
sich	w4530
sehr	w4531
vergnügt	w4532
wegen	w4533
der	w4534
Trau=rigkeit	w4535
<g/>
=
<g/>
/
und	w4538
des	w4539
Mitleidens	w4540
<g/>
/
welche	w4542
von	w4543
jederman	w4544
wegen	w4545
ihrer	w4546
so	w4547
gefährlichen	w4548
Krank=heit	w4549
<g/>
=
bezeuget	w4551
worden	w4552
<g/>
.
</p>
<head id="hl16">
Warschau	w4554
31	w4555
<g/>
.
Augusti	w4557
<g/>
.
</head>
<p id="p56">
Bey	w4559
der	w4560
Abreise	w4561
des	w4562
Königl	w4563
<g/>
.
Cron	w4565
<g/>
=
Prin=tzen	w4567
<g/>
=
von	w4569
hier	w4570
nacher	w4571
Sachsen	w4572
<g/>
/
ist	w4574
der	w4575
Abt	w4576
Mastowsky	w4577
<g/>
(
welcher	w4579
für	w4580
Jhre	w4581
Hoheit	w4582
das	w4583
oft	w4584
erwehnte	w4585
Præsent Praesent	w4586
aus	w4587
Rom	w4588
überbracht	w4589
<g/>
)
mit	w4591
einem	w4592
sehr	w4593
kostbaren	w4594
Ring	w4595
<g/>
/
nebst	w4597
Versi=cherung	w4598
<g/>
=
mehrerer	w4600
Gnade	w4601
<g/>
/
be	w4603
<g/>
=
ehret	w4605
worden	w4606
<g/>
.
</p>
<p id="p57">
Dieser	w4608
Tagen	w4609
hat	w4610
der	w4611
Cron	w4612
<g/>
=
Groß	w4614
<g/>
=
Feld	w4616
<g/>
=
Herr	w4618
Jhrer	w4619
Königl	w4620
<g/>
.
Majestät	w4622
<g/>
/
von	w4624
Reischlem=berg	w4625
<g/>
=
die	w4627
Zeitung	w4628
überschrieben	w4629
<g/>
/
wie	w4631
daß	w4632
nicht	w4633
allein	w4634
jüngst	w4635
<g/>
=
gemeldeter	w4637
massen	w4638
der	w4639
Türkische	w4640
<g/>
/
sondern	w4642
auch	w4643
der	w4644
Tartarische	w4645
Ge=sandte	w4646
<g/>
=
<g/>
/
ersterer	w4649
mit	w4650
200	w4651
<g/>
.
<g/>
/
letzterer	w4654
aber	w4655
mit	w4656
60	w4657
<g/>
.
Pferden	w4659
in	w4660
Grodno	w4661
sich	w4662
einfinden	w4663
wer=den	w4664
<g/>
=
<g/>
.
Höchst	w4667
<g/>
=
erwehnte	w4669
Majestät	w4670
wollen	w4671
mit	w4672
nechstem	w4673
die	w4674
Cammer	w4675
<g/>
=
Trauer	w4677
<g/>
/
wegen	w4679
Ableiben	w4680
des	w4681
Printzen	w4682
Constantin	w4683
Sobieski	w4684
<g/>
,
anlegen	w4686
<g/>
.
</p>
<head id="hl17">
Neyß	w4688
in	w4689
Schlesien	w4690
31	w4691
<g/>
.
J	w4693
ugusti	w4694
<g/>
.
</head>
<p id="p58">
Heut	w4696
frühe	w4697
um	w4698
8	w4699
<g/>
.
Uhr	w4701
seynd	w4702
<g/>
(
Tit	w4704
<g/>
.
<g/>
)
Jhre	w4707
Churfürstl	w4708
<g/>
.
Durchl	w4710
<g/>
.
zu	w4712
Trier	w4713
<g/>
/
ꝛc	w4715
<g/>
.
mit	w4717
14	w4718
<g/>
.
Post	w4720
<g/>
=
Pferden	w4722
nach	w4723
Freuden=thal	w4724
<g/>
=
<g/>
/
und	w4727
Langendorf	w4728
abgegangen	w4729
<g/>
/
sich	w4731
mit	w4732
Hirsch	w4733
<g/>
=
Jagden	w4735
einige	w4736
Zeit	w4737
zu	w4738
erlu=stigen	w4739
<g/>
=
<g/>
.
</p>
<head id="hl18">
Venedig	w4742
2	w4743
<g/>
.
Septemb	w4745
<g/>
.
</head>
<p id="p59">
Es	w4747
seynd	w4748
verschiedene	w4749
Fahr	w4750
<g/>
=
Zeuge	w4752
von	w4753
einem	w4754
und	w4755
andern	w4756
Orten	w4757
in	w4758
den	w4759
hiesigen	w4760
Hafen	w4761
eingefahren	w4762
unter	w4763
welchen	w4764
ein	w4765
Fran=zösisches	w4766
<g/>
=
Schif	w4768
in	w4769
96	w4770
<g/>
.
Tägen	w4772
<g/>
/
mit	w4774
durch=räuchertem	w4775
<g/>
=
Patent	w4777
angelanget	w4778
<g/>
/
und	w4780
meldet	w4781
<g/>
/
</p>
<p id="p60">
daß	w4783
die	w4784
ansteckende	w4785
Seuche	w4786
in	w4787
Alexandria	w4788
annoch	w4789
immer	w4790
regieret	w4791
<g/>
.
</p>
<p id="p61">
Zu	w4793
dem	w4794
was	w4795
in	w4796
voriger	w4797
Wochen	w4798
von	w4799
Con-stantinopel	w4800
<g/>
-
geschrieben	w4802
worden	w4803
<g/>
/
wird	w4805
an=noch	w4806
<g/>
=
beygesetzet	w4808
<g/>
/
daß	w4810
das	w4811
Ottomannischen	w4812
Kriegs	w4813
<g/>
=
Heer	w4815
<g/>
/
so	w4817
in	w4818
Persien	w4819
gestanden	w4820
<g/>
/
in	w4822
vollem	w4823
Marsch	w4824
gegen	w4825
Ispahan	w4826
zu	w4827
<g/>
/
be=griffen	w4829
<g/>
=
wäre	w4831
<g/>
/
und	w4833
den	w4834
Zug	w4835
über	w4836
Siras	w4837
<g/>
,
nicht	w4839
über	w4840
Tauris	w4841
nehme	w4842
<g/>
/
weilen	w4844
dieselbe	w4845
Ge=gend	w4846
<g/>
=
<g/>
/
auf	w4849
Befehl	w4850
des	w4851
ungerechten	w4852
Besitzers	w4853
Sultan	w4854
Esrefs	w4855
gäntzlich	w4856
verwüstet	w4857
wäre	w4858
<g/>
:
wel=cher	w4860
<g/>
=
<g/>
/
wofern	w4863
er	w4864
dieselbe	w4865
Haupt	w4866
<g/>
=
Stadt	w4868
nicht	w4869
beschützen	w4870
könte	w4871
<g/>
/
sich	w4873
mit	w4874
der	w4875
reichen	w4876
Beute	w4877
<g/>
/
so	w4879
er	w4880
in	w4881
derselben	w4882
und	w4883
andern	w4884
eingenom=menen	w4885
<g/>
=
Städten	w4887
<g/>
/
in	w4889
selbigem	w4890
Königreich	w4891
ge=machet	w4892
<g/>
=
<g/>
/
nach	w4895
Candahar	w4896
zu	w4897
ziehen	w4898
<g/>
/
geson=nen	w4900
<g/>
=
wäre	w4902
</p>
<head id="hl19">
Wien	w4903
11	w4904
<g/>
.
September	w4906
<g/>
.
1726	w4908
<g/>
.
</head>
<p id="p62">
SAmstag	w4910
<g/>
/
den	w4912
7	w4913
<g/>
.
September	w4915
<g/>
/
wurde	w4917
in	w4918
der	w4919
Kaiserl	w4920
Favorita	w4921
-Capellen	w4922
nach=mittag	w4923
<g/>
=
eine	w4925
feyerliche	w4926
vor	w4927
Vesper	w4928
wegen	w4929
des	w4930
hohen	w4931
Festes	w4932
Mariä	w4933
Geburt	w4934
gehalten	w4935
<g/>
/
wel=cher	w4937
<g/>
=
beede	w4939
Regierende	w4940
Kaiserl	w4941
<g/>
.
Majestäten	w4943
<g/>
/
wie	w4945
auch	w4946
die	w4947
Durchl	w4948
<g/>
.
Ertz	w4950
<g/>
=
Hertzogin	w4952
Maria	w4953
Magdalena	w4954
auferbäulichst	w4955
beywohneten	w4956
<g/>
.
</p>
<p id="p63">
Erben	w4958
heute	w4959
<g/>
/
ware	w4961
so	w4962
wol	w4963
bey	w4964
dem	w4965
Regie=renden	w4966
<g/>
=
<g/>
/
als	w4969
Verwittibten	w4970
Kaiserl	w4971
<g/>
.
Hof	w4973
<g/>
/
Jhrer	w4975
Majestät	w4976
der	w4977
Königin	w4978
in	w4979
Portugall	w4980
<g/>
/
und	w4982
Ertz	w4983
<g/>
=
Hertzogin	w4985
in	w4986
Oesterreich	w4987
<g/>
/
Maria	w4989
Anna	w4990
<g/>
,
hoher	w4992
Geburts	w4993
Tag	w4994
<g/>
/
an	w4996
welchem	w4997
Sie	w4998
das	w4999
44ste	w5000
Jahr	w5001
angetretten	w5002
<g/>
/
mit	w5004
schön=ster	w5005
<g/>
=
Gala	w5007
begangen	w5008
worden	w5009
<g/>
.
</p>
<p id="p64">
Vorgestern	w5011
als	w5012
den	w5013
5	w5014
<g/>
.
dieses	w5016
<g/>
/
haben	w5018
Jh=re	w5019
<g/>
=
Kaiserlicheund	w5021
Königlich	w5022
Catholische	w5023
Ma=jestät	w5024
<g/>
=
<g/>
/
unser	w5027
Allergnädigster	w5028
Herr	w5029
<g/>
/
und	w5031
Lands	w5032
<g/>
=
Fürst	w5034
<g/>
/
als	w5036
Ertz	w5037
<g/>
=
Hertzog	w5039
zu	w5040
Oester=reich	w5041
<g/>
=
<g/>
/
durch	w5044
Dero	w5045
Allergnädigst	w5046
hierzu	w5047
ver=ordnet	w5048
<g/>
=
Kaiserl	w5050
<g/>
.
Commissarien	w5052
<g/>
(
Tit	w5054
<g/>
.
<g/>
)
Herrn	w5057
Johan	w5058
Christoph	w5059
Heinrich	w5060
<g/>
/
Grafen	w5062
v	w5063
<g/>
.
Oedt	w5065
<g/>
/
Kaiserl	w5067
<g/>
.
Cammerern	w5069
<g/>
/
Raht	w5071
<g/>
/
und	w5073
Regent=ten	w5074
<g/>
=
des	w5076
Regiments	w5077
derer	w5078
N	w5079
<g/>
.
Oe	w5081
Landen	w5082
<g/>
/
wie	w5084
auch	w5085
Closter	w5086
<g/>
=
Rahts	w5088
<g/>
=
Præsidenten en	w5090
und	w5091
<g/>
(
Tit	w5093
<g/>
.
<g/>
)
Herrn	w5096
Anno	w5097
Heinrich	w5098
von	w5099
Kellern	w5100
<g/>
/
Kaiserl	w5102
<g/>
.
Hof	w5104
<g/>
=
Cammer	w5106
<g/>
=
Raht	w5108
<g/>
/
mit	w5110
dem	w5111
de=nenselben	w5112
<g/>
=
zugegebenen	w5114
Landsfürstl	w5115
<g/>
.
Lehen	w5117
<g/>
=
Se-cretario	w5119
<g/>
-
Herrn	w5121
Stephan	w5122
Niclas	w5123
Frantz	w5124
von	w5125
Popowitsch	w5126
<g/>
/
das	w5128
von	w5129
dem	w5130
Hoch	w5131
Stift	w5132
Re=genspurg	w5133
<g/>
=
zu	w5135
Lehen	w5136
<g/>
=
rührende	w5138
Obriste	w5139
Erb	w5140
<g/>
=
Marschallen	w5142
Amt	w5143
<g/>
/
nebst	w5145
der	w5146
Herrschaft	w5147
Ort	w5148
an	w5149
der	w5150
Donau	w5151
bey	w5152
dem	w5153
von	w5154
gemeldt	w5155
Hoch Hochfürstl	w5156
<g/>
=
</p>
<p id="p65">
fürstl	w5160
<g/>
.
Stift	w5162
hier	w5163
anwesend	w5164
bevollmächtigten	w5165
Commissarium	w5166
<g/>
(
Tit	w5168
<g/>
.
<g/>
)
Herrn	w5171
Johann	w5172
Frantz	w5173
Philipp	w5174
<g/>
/
Grafen	w5176
von	w5177
Lerchenfeld	w5178
zu	w5179
Köfer=nig	w5180
<g/>
=
<g/>
/
beeder	w5183
Fürstl	w5184
Stiftern	w5185
Aug	w5186
<g/>
=
und	w5188
Re=genspurg	w5189
<g/>
=
Dom	w5191
<g/>
=
Capitularn	w5193
<g/>
,
dem	w5195
alten	w5196
Her=kommen	w5197
<g/>
=
nach	w5199
empfangen	w5200
lassen	w5201
<g/>
.
</p>
<p id="p66">
Sonntag	w5203
<g/>
/
den	w5205
8	w5206
<g/>
.
Dito	w5208
<g/>
/
als	w5210
eben	w5211
an	w5212
dem	w5213
hohen	w5214
Fest	w5215
<g/>
=
Tag	w5217
Mariä	w5218
<g/>
=
Geburt	w5220
<g/>
/
wohneten	w5222
vor	w5223
<g/>
=
Mittag	w5225
in	w5226
der	w5227
Kaiserl	w5228
<g/>
.
Favorita	w5230
Capelle	w5231
beede	w5232
Regierende	w5233
Kaiserl	w5234
<g/>
.
Majestäten	w5236
mit	w5237
obgedachter	w5238
Durchl	w5239
<g/>
.
Leopoldinischen	w5241
Ertz	w5242
<g/>
=
Hertzogin	w5244
dem	w5245
Hoch	w5246
<g/>
=
Amt	w5248
<g/>
/
und	w5250
Predig	w5251
an=dächtigst	w5252
<g/>
=
bey	w5254
<g/>
.
Nach	w5256
<g/>
=
Mittag	w5258
aber	w5259
haben	w5260
höchst	w5261
<g/>
=
gedachte	w5263
Kaiserl	w5264
<g/>
.
Majestäten	w5266
<g/>
/
und	w5268
Durchleucht	w5269
<g/>
/
in	w5271
Begleitung	w5272
des	w5273
Päpstlichen	w5274
Herrn	w5275
Nuntii	w5276
Monsignor	w5277
Grimaldi	w5278
<g/>
,
und	w5280
des	w5281
Frantzösischen	w5282
Herrn	w5283
Bottschafters	w5284
<g/>
/
Duc	w5286
de	w5287
Richelieu	w5288
<g/>
,
wie	w5290
auch	w5291
des	w5292
Venetianischen	w5293
Herrn	w5294
Bottschafters	w5295
<g/>
/
Cav	w5297
<g/>
.
Andrea	w5299
Corna-ro	w5300
<g/>
-
<g/>
,
nebst	w5303
denen	w5304
Kaiserl	w5305
<g/>
.
Herren	w5307
Ministern	w5308
<g/>
/
Cammerern	w5310
<g/>
/
Cavalieren	w5312
<g/>
/
und	w5314
Damen	w5315
<g/>
/
erst=lichen	w5317
<g/>
=
der	w5319
Vesper	w5320
in	w5321
der	w5322
Kirchen	w5323
des	w5324
Kaiserl	w5325
<g/>
.
Profess	w5327
Hauses	w5328
Soc	w5329
<g/>
.
JEsu	w5331
<g/>
,
hernach	w5333
aber	w5334
bey	w5335
der	w5336
Marianischen	w5337
Ehren	w5338
Saule	w5339
vor	w5340
selbiger	w5341
Kirchen	w5342
auf	w5343
dem	w5344
Hof	w5345
der	w5346
Lauretanischen	w5347
Li=taney	w5348
<g/>
=
abgewartet	w5350
<g/>
.
</p>
<p id="p67">
Eben	w5352
heut	w5353
hatte	w5354
so	w5355
wol	w5356
der	w5357
Regierende	w5358
<g/>
/
als	w5360
Verwittibte	w5361
Kaiserl	w5362
<g/>
.
Hof	w5364
<g/>
/
