<doc id="wr_1763-06-01" attrs="word" year="1763" month="06" day="01" corpus="2">
<head id="h2_d763e3650">
Genua	w1_d763e3654
legitimiren,	w9_d763e19075
und	w1_d763e19080
zu	w3_d763e19083
liquidiren	w5_d763e19086
haben,	w7_d763e19089
als	w9_d763e19092
im	w11_d763e19095
widrigen	w13_d763e19099
die	w15_d763e19102
Ab	w17_d763e19105
handlung	w1_d763e19110
gleichwolen	w3_d763e19113
vorgenommen,	w5_d763e19116
und	w7_d763e19119
ohnge	w9_d763e19122
hindert	w1_d763e19127
deren	w3_d763e19130
etwo	w5_d763e19133
vorhandenen	w7_d763e19136
Erbs	w9_d763e19139
prätenden	w11_d763e19142
ten	w1_d763e19148
oder	w3_d763e19151
Glaubigern	w5_d763e19154
so	w7_d763e19157
sich	w9_d763e19160
mit	w11_d763e19163
ihren	w13_d763e19167
Erbs	w15_d763e19170
und	w17_d763e19173
Schuld=forderungen	w1_d763e19178
in	w3_d763e19181
bestimmter	w5_d763e19184
Zeit	w7_d763e19187
nicht	w9_d763e19190
an	w11_d763e19193
gemeldet,	w1_d763e19198
solche	w3_d763e19201
Verlassenschaft	w5_d763e19204
dem	w7_d763e19207
sich	w9_d763e19210
Anmel	w11_d763e19213
denden	w1_d763e19218
eingeantwortet,	w3_d763e19221
auch	w5_d763e19224
ansonsten	w7_d763e19227
ex	w9_d763e19230
offi-	w11_d763e19233
cio	w1_d763e19239
vorgekehret	w3_d763e19242
werden	w5_d763e19245
solle	w7_d763e19248
was	w9_d763e19251
Rechtens	w11_d763e19254
ist.	w13_d763e19258
Wornach	w1_d763e19263
sich	w3_d763e19266
also	w5_d763e19269
ein	w7_d763e19272
jeder	w9_d763e19275
zu	w11_d763e19278
richten	w13_d763e19282
wissen	w15_d763e19285
wird.	w1_d763e19290
</p>
<p id="p52_d763e19293">
Wir	w1_d763e19297
Burgermeister=amts=verwalter	w3_d763e19300
und	w5_d763e19303
Raht	w7_d763e19306
der	w1_d763e19311
Stadt	w3_d763e19314
Wien,	w5_d763e19317
geben	w7_d763e19320
hiemit	w9_d763e19323
durch	w11_d763e19326
dieses	w13_d763e19330
offene	w15_d763e19333
Edict	w1_d763e19338
jedermänniglich	w3_d763e19341
zu	w5_d763e19344
vernehmen,	w7_d763e19347
wasgestalten	w9_d763e19350
wir	w1_d763e19356
in	w3_d763e19359
ein	w5_d763e19362
nochmaliges	w7_d763e19365
Licitations=edict	w9_d763e19368
gewilliget	w11_d763e19371
und	w1_d763e19376
verordnet	w3_d763e19379
haben,	w5_d763e19382
daß	w7_d763e19385
weil.	w9_d763e19388
Franz	w11_d763e19391
Jodlbauer,	w13_d763e19395
gewest=burgerl.	w1_d763e19400
Füterers	w3_d763e19403
seel.	w5_d763e19406
hinterlassener	w7_d763e19409
Füte	w9_d763e19412
rer=Handel	w1_d763e19417
nochmalen	w3_d763e19420
offentlich	w5_d763e19423
ausgefeilet,	w7_d763e19426
und	w9_d763e19429
dem	w1_d763e19435
Meistbietenden	w3_d763e19438
verkauffet	w5_d763e19441
werden	w7_d763e19444
solle,	w9_d763e19447
da	w11_d763e19450
nun	w1_d763e19455
hierzu	w3_d763e19458
der	w5_d763e19461
4.	w7_d763e19464
Monats=tag	w9_d763e19467
Julii	w11_d763e19470
lauffenden	w13_d763e19474
1763sten	w1_d763e19479
Jahrs	w3_d763e19482
zur	w5_d763e19485
Tagsatzung	w7_d763e19488
bestimmet	w9_d763e19491
worden	w11_d763e19494
ist,	w1_d763e19499
als	w3_d763e19502
wird	w5_d763e19505
ein	w7_d763e19508
solches	w9_d763e19511
hiemit	w11_d763e19514
jedermann,	w13_d763e19518
wer	w15_d763e19521
etwann	w1_d763e19527
diesen	w3_d763e19530
Fütterer=handel	w5_d763e19533
käuflichen	w7_d763e19536
an	w9_d763e19539
sich	w11_d763e19542
zu	w1_d763e19547
bringen	w3_d763e19550
gesinnet	w5_d763e19553
ist,	w7_d763e19556
mit	w9_d763e19559
diesem	w11_d763e19562
Edict	w13_d763e19566
zu	w15_d763e19569
dem	w17_d763e19572
Ende	w1_d763e19577
kund	w3_d763e19580
und	w5_d763e19583
zu	w7_d763e19586
wissen	w9_d763e19589
gemacht,	w11_d763e19592
damit	w13_d763e19596
ein	w15_d763e19599
sich	w17_d763e19602
hervorthuender	w1_d763e19607
Kauffer	w3_d763e19610
bey	w5_d763e19613
obbemelt	w7_d763e19616
bestimmten	w9_d763e19619
Licitations=tagsatzung	w1_d763e19625
fruhe	w3_d763e19628
um	w5_d763e19631
9.	w7_d763e19634
Uhr,	w9_d763e19637
oder	w11_d763e19640
da	w13_d763e19644
wir	w1_d763e19649
selbigen	w3_d763e19652
Tags	w5_d763e19655
etwann	w7_d763e19658
anderer	w9_d763e19661
Geschäften	w11_d763e19664
hal	w13_d763e19668
ber	w1_d763e19673
nicht	w3_d763e19676
zu	w5_d763e19679
Raht	w7_d763e19682
sitzeten,	w9_d763e19685
den	w11_d763e19688
nächst	w13_d763e19692
darauf	w15_d763e19695
sol	w17_d763e19698
genden	w1_d763e19703
Rahts=tag	w3_d763e19706
vor	w5_d763e19709
uns	w7_d763e19712
erscheinen,	w9_d763e19715
und	w11_d763e19718
sich	w13_d763e19722
bey	w15_d763e19725
unser	w1_d763e19731
und	w3_d763e19734
Gemeiner	w5_d763e19737
Stadt	w7_d763e19740
Pupillen	w9_d763e19743
Raitcam	w11_d763e19746
mer	w1_d763e19751
durch	w3_d763e19754
den	w5_d763e19757
daselbstigen	w7_d763e19760
Amts=schreiber	w9_d763e19763
anmel	w11_d763e19766
den	w1_d763e19771
lassen	w3_d763e19774
möge,	w5_d763e19777
allwo	w7_d763e19780
sodann	w9_d763e19783
das	w11_d763e19786
weiter	w13_d763e19790
Behö	w15_d763e19793
rige	w1_d763e19798
tractiret	w3_d763e19801
werden	w5_d763e19804
solle.	w7_d763e19807
</p>
<list id="l54_d763e19810">
Wir	w1_d763e19814
Burgermeister=amts=verwalter	w3_d763e19817
und	w5_d763e19820
Raht	w7_d763e19823
</list>
<list id="l64_d763e19924">
Bey	w1_d763e19928
der	w3_d763e19931
Stelle,/	w5_d763e19934
vo	w7_d763e19937
uns	w9_d763e19940
Her	w11_d763e19943
Bobe	w13_d763e19947
ber	w15_d763e19950
Von	w1_d763e19955
imändischen	w3_d763e19958
geleheten	w5_d763e19961
Sachen.	w7_d763e19964
</list>
<head id="h2_d763e19971">
Von	w1_d763e19975
imändischen	w3_d763e19978
geleheten	w5_d763e19981
Sachen.	w7_d763e19984
Don	w1_d763e19989
den	w3_d763e19992
Kunstrichtern.	w5_d763e19995
Von	w7_d763e19998
8.	w9_d763e20001
J	w11_d763e20004
B.	w13_d763e20008
laques	w1_d763e20013
tener	w3_d763e20016
ambitiof	w5_d763e20019
</head>
<p id="p4_d763e20022">
Consuerudo	w1_d763e20026
mali,	w3_d763e20029
tener	w5_d763e20032
insanabile	w7_d763e20035
milltos	w9_d763e20038
Seribendi	w1_d763e20043
Cacoetbes	w3_d763e20046
&	w5_d763e20049
aegro	w7_d763e20052
in	w9_d763e20055
corde	w11_d763e20058
senescit	w13_d763e20062
Juv.	w1_d763e20067
Sar.	w3_d763e20070
VII.	w5_d763e20073
</p>
<p id="p6_d763e20076">
Wien	w1_d763e20080
1765.	w3_d763e20083
bey	w5_d763e20086
Joseph	w7_d763e20089
Kurzböck	w9_d763e20092
in	w11_d763e20095
8.	w13_d763e20099
</p>
<p id="p8_d763e20102">
Der	w1_d763e20106
Verfasser	w3_d763e20109
dieser	w5_d763e20112
kleinen	w7_d763e20115
Schrift	w9_d763e20118
ist	w11_d763e20121
Herr	w1_d763e20126
Franz	w3_d763e20129
Jos.	w5_d763e20132
Bobe,	w7_d763e20135
Advocat	w9_d763e20138
bey	w11_d763e20141
dem	w13_d763e20145
kaiserl.	w1_d763e20150
Hofgerichte	w3_d763e20153
zu	w5_d763e20156
Rottweil,	w7_d763e20159
welche	w9_d763e20162
|	w11_d763e20165
|	w13_d763e20169
nunmehr	w1_d763e20175
bey	w3_d763e20178
dem	w5_d763e20181
hiesigen	w7_d763e20184
Stadtgerichte	w9_d763e20187
an	w11_d763e20190
gestellet	w1_d763e20195
ist,	w3_d763e20198
und	w5_d763e20201
auf	w7_d763e20204
der	w9_d763e20207
31.	w11_d763e20210
Seite	w13_d763e20214
genug	w15_d763e20217
sam	w1_d763e20222
zu	w3_d763e20225
erkennen	w5_d763e20228
giebt,	w7_d763e20231
daß	w9_d763e20234
er	w11_d763e20237
seine	w13_d763e20241
Schrift	w15_d763e20244
zu	w1_d763e20249
Wien	w3_d763e20252
verfertiget	w5_d763e20255
hat.	w7_d763e20258
Er	w9_d763e20261
bestrebet	w11_d763e20264
sich	w1_d763e20270
in	w3_d763e20273
selbiger	w5_d763e20276
auf	w7_d763e20279
eine	w9_d763e20282
lobenswürdige	w11_d763e20285
Art	w13_d763e20289
richtig	w1_d763e20294
und	w3_d763e20297
angenehm	w5_d763e20300
zu	w7_d763e20303
schreiben.	w9_d763e20306
Er	w11_d763e20309
hat	w13_d763e20313
einige	w1_d763e20318
allgemeine	w3_d763e20321
Sätze	w5_d763e20324
über	w7_d763e20327
den	w9_d763e20330
Nutzen,	w11_d763e20333
welchen	w1_d763e20338
die	w3_d763e20341
ächten,	w5_d763e20344
und	w7_d763e20347
den	w9_d763e20350
Schaden,	w11_d763e20353
wel	w13_d763e20357
chen	w1_d763e20363
die	w3_d763e20366
unwissenden	w5_d763e20369
oder	w7_d763e20372
partheyischen	w9_d763e20375
Kunstrichter	w1_d763e20380
dem	w3_d763e20383
Fortgange	w5_d763e20386
der	w7_d763e20389
Wissenschaf	w9_d763e20392
ten	w1_d763e20397
und	w3_d763e20400
des	w5_d763e20403
Geschmackes	w7_d763e20406
bringen	w9_d763e20409
können,	w11_d763e20412
gar	w1_d763e20417
wohl	w3_d763e20420
ausgeführet.	w5_d763e20423
Auf	w7_d763e20426
der	w9_d763e20429
22sten	w11_d763e20432
Seite	w1_d763e20438
thut	w3_d763e20441
er	w5_d763e20444
einen	w7_d763e20447
so	w9_d763e20450
vorsichtigen	w11_d763e20453
als	w13_d763e20457
glück	w15_d763e20460
lichen	w1_d763e20465
Ausfall	w3_d763e20468
wider	w5_d763e20471
einen	w7_d763e20474
berufenen	w9_d763e20477
prote	w11_d763e20480
stantischen	w1_d763e20485
Kriticker,	w3_d763e20488
welcher	w5_d763e20491
ohne	w7_d763e20494
Aufhö	w9_d763e20497
ren	w1_d763e20502
aus	w3_d763e20505
den	w5_d763e20508
Fehlern	w7_d763e20511
einzelner	w9_d763e20514
Schriftsteller	w11_d763e20517
Vorwürfe	w1_d763e20523
gegen	w3_d763e20526
ansere	w5_d763e20529
Glaubensgemeine	w7_d763e20532
erzwinget.	w1_d763e20537
Mit	w3_d763e20540
wie	w5_d763e20543
vielem	w7_d763e20546
Grunde	w9_d763e20549
könte	w11_d763e20552
man	w1_d763e20557
nicht	w3_d763e20560
diesem	w5_d763e20563
Manne	w7_d763e20566
zeigen,	w9_d763e20569
daß	w11_d763e20572
bey	w13_d763e20576
unsern	w1_d763e20581
katholischen	w3_d763e20584
Reimschmieden	w5_d763e20587
nicht	w7_d763e20590
leicht	w1_d763e20596
ein	w3_d763e20599
elender	w5_d763e20602
Gedanke	w7_d763e20605
vorkommen	w9_d763e20608
wird,	w11_d763e20611
der	w1_d763e20616
nicht	w3_d763e20619
in	w5_d763e20622
seinen	w7_d763e20625
eigenen	w9_d763e20628
poetischen	w11_d763e20631
Wer	w13_d763e20635
ken	w1_d763e20640
einen	w3_d763e20643
Gespan	w5_d763e20646
finden	w7_d763e20649
solte.	w9_d763e20652
Etwas	w11_d763e20655
mehr	w1_d763e20660
oder	w3_d763e20663
weniger	w5_d763e20666
Reinigkeit	w7_d763e20669
in	w9_d763e20672
der	w11_d763e20675
Spra	w13_d763e20679
che	w1_d763e20685
machet	w3_d763e20688
keinen	w5_d763e20691
zum	w7_d763e20694
Dichter.	w9_d763e20697
</p>
<p id="p10_d763e20700">
Bey	w1_d763e20704
der	w3_d763e20707
Stelle,/	w5_d763e20710
vo	w7_d763e20713
uns	w9_d763e20716
Her	w11_d763e20719
Bobe	w13_d763e20723
ber	w15_d763e20726
sichert,	w1_d763e20731
daß	w3_d763e20734
er	w5_d763e20737
geborne	w7_d763e20740
Deutsche	w9_d763e20743
kenne,	w11_d763e20746
welche	w1_d763e20751
Geschmack	w3_d763e20754
und	w5_d763e20757
Belesenheit	w7_d763e20760
hät	w9_d763e20763
ten;	w1_d763e20769
denen	w3_d763e20772
aber	w5_d763e20775
vor	w7_d763e20778
allen	w9_d763e20781
Werken	w11_d763e20784
ihrer	w13_d763e20788
Landesleute	w1_d763e20793
eckele,	w3_d763e20796
blos	w5_d763e20799
weil	w7_d763e20802
ihnen	w9_d763e20805
die	w11_d763e20808
selben	w1_d763e20813
durch	w3_d763e20816
die	w5_d763e20819
rohen	w7_d763e20822
Züge	w9_d763e20825
unserer	w11_d763e20828
Kunst	w13_d763e20832
richter	w1_d763e20837
verunstaltet	w3_d763e20840
worden	w5_d763e20843
wären,	w7_d763e20846
liesse	w9_d763e20849
sich	w1_d763e20855
verschiedenes	w3_d763e20858
erinnern.	w5_d763e20861
Solche	w7_d763e20864
Deut	w9_d763e20867
sche	w1_d763e20872
lesen	w3_d763e20875
gewiß	w5_d763e20878
die	w7_d763e20881
Kritlcken	w9_d763e20884
eben	w11_d763e20887
so	w13_d763e20891
wenig	w15_d763e20894
als	w1_d763e20899
die	w3_d763e20902
Werke,	w5_d763e20905
welche	w7_d763e20908
dieselben	w9_d763e20911
zum	w11_d763e20914
Ge	w13_d763e20918
genstande	w1_d763e20923
haben.	w3_d763e20926
Wenn	w5_d763e20929
sie	w7_d763e20932
Geschmack	w9_d763e20935
hätten,	w1_d763e20941
müßten	w3_d763e20944
sie	w5_d763e20947
je	w7_d763e20950
unsern	w9_d763e20953
guten	w11_d763e20956
Schrift	w13_d763e20960
stellern	w1_d763e20965
wenigstens	w3_d763e20968
so	w5_d763e20971
viel	w7_d763e20974
Gerechtigkeit	w9_d763e20977
wie	w11_d763e20980
derfahren	w1_d763e20985
lassen,	w3_d763e20988
als	w5_d763e20991
die	w7_d763e20994
Engelländer	w9_d763e20997
und	w11_d763e21000
Fran	w13_d763e21004
zosen.	w1_d763e21009
Wenn	w3_d763e21012
sie	w5_d763e21015
ohne	w7_d763e21018
gewisse	w9_d763e21021
ihnen	w11_d763e21024
eigene	w13_d763e21028
Vorurtheile	w1_d763e21034
wären,	w3_d763e21037
müßten	w5_d763e21040
sie	w7_d763e21043
wenigstens	w9_d763e21046
diejenigen	w1_d763e21051
Werke	w3_d763e21054
lesen,	w5_d763e21057
die	w7_d763e21060
von	w9_d763e21063
allen	w11_d763e21066
inlän	w13_d763e21070
dischen	w1_d763e21075
und	w3_d763e21078
fremden	w5_d763e21081
Kunstrichtern	w7_d763e21084
gelobet	w9_d763e21087
werden.	w1_d763e21092
Wir	w3_d763e21095
wollen	w5_d763e21098
nur	w7_d763e21101
die	w9_d763e21104
vortrefflichen	w11_d763e21107
deutschen	w1_d763e21113
Schriften	w3_d763e21116
des	w5_d763e21119
Herrn	w7_d763e21122
Winkelmanns	w9_d763e21125
zum	w1_d763e21130
Beyspiele	w3_d763e21133
anführen.	w5_d763e21136
Sie	w7_d763e21139
haben	w9_d763e21142
ihm	w11_d763e21145
das	w1_d763e21150
Lob	w3_d763e21153
von	w5_d763e21156
ganz	w7_d763e21159
Europa,	w9_d763e21162
und	w11_d763e21165
ganz	w13_d763e21169
kürz	w15_d763e21172
lich	w1_d763e21177
zu	w3_d763e21180
Rom	w5_d763e21183
das	w7_d763e21186
rühmliche	w9_d763e21189
Amt	w11_d763e21192
eines	w13_d763e21196
Präsidenten	w1_d763e21202
der	w3_d763e21205
römischen	w5_d763e21208
Alterthümer	w7_d763e21211
er	w9_d763e21214
worben.	w1_d763e21219
Kein	w3_d763e21222
Kunstrichter	w5_d763e21225
hat	w7_d763e21228
sie	w9_d763e21231
getadelt	w11_d763e21234
|	w13_d763e21238
|	w15_d763e21241
aber	w1_d763e21246
man	w3_d763e21249
frage	w5_d763e21252
die	w7_d763e21255
Herren,	w9_d763e21258
von	w11_d763e21261
denen	w13_d763e21265
die	w15_d763e21268
Rede	w1_d763e21273
ist,	w3_d763e21276
ob	w5_d763e21279
sie	w7_d763e21282
dieselben	w9_d763e21285
kennen:	w11_d763e21288
ja	w13_d763e21292
man	w15_d763e21295
erkundige	w1_d763e21301
sich	w3_d763e21304
in	w5_d763e21307
ganzen	w7_d763e21310
Strichen	w9_d763e21313
von	w11_d763e21316
Deutschland,	w1_d763e21321
ob	w3_d763e21324
sie	w5_d763e21327
daselbst	w7_d763e21330
bekannt	w9_d763e21333
sind	w11_d763e21336
Unbesonnene	w1_d763e21341
Kunstrichter	w3_d763e21344
können	w5_d763e21347
viel	w7_d763e21350
Un	w9_d763e21353
heil	w1_d763e21358
stiften,	w3_d763e21361
aber	w5_d763e21364
an	w7_d763e21367
der	w9_d763e21370
Verachtung,	w11_d763e21373
die	w13_d763e21377
gewisse	w1_d763e21383
Leute	w3_d763e21386
gegen	w5_d763e21389
ihre	w7_d763e21392
Muttersprache	w9_d763e21395
be	w11_d763e21398
zeugen,	w1_d763e21403
sind	w3_d763e21406
sie	w5_d763e21409
gewiß	w7_d763e21412
unschuldig.	w9_d763e21415
Sie	w11_d763e21418
verachten	w1_d763e21423
sie,	w3_d763e21426
weil	w5_d763e21429
sie	w7_d763e21432
dieselben	w9_d763e21435
nicht	w11_d763e21438
ver	w13_d763e21442
stehen.	w1_d763e21447
Es	w3_d763e21450
gehet	w5_d763e21453
ihnen,	w7_d763e21456
wie	w9_d763e21459
jenem	w11_d763e21462
Aus	w13_d763e21466
länder	w1_d763e21472
</p>
<p id="p16_d763e21486">
La	w1_d763e21490
Rose	w3_d763e21493
nahm	w5_d763e21496
ein	w7_d763e21499
Buch	w9_d763e21502
des	w11_d763e21505
Leibnitz	w13_d763e21509
in	w15_d763e21512
die	w1_d763e21517
Hand	w3_d763e21520
</p>
<head id="h2_d763e21526">
Und	w1_d763e21530
schalt	w3_d763e21533
die	w5_d763e21536
Deutschen	w7_d763e21539
dumm,	w9_d763e21542
weil	w11_d763e21545
er	w13_d763e21549
es	w15_d763e21552
nicht	w1_d763e21557
verstand.	w3_d763e21560
</head>
<p id="p4_d763e21563">
Sie	w1_d763e21567
verstehen	w3_d763e21570
unsere	w5_d763e21573
Muttersprache	w7_d763e21576
nicht	w9_d763e21579
weil	w1_d763e21584
sie	w3_d763e21587
nicht	w5_d763e21590
begreiffen	w7_d763e21593
wollen,	w9_d763e21596
daß	w11_d763e21599
man	w13_d763e21603
sie	w15_d763e21606
so	w1_d763e21611
gut	w3_d763e21614
als	w5_d763e21617
eine	w7_d763e21620
andere	w9_d763e21623
studiren	w11_d763e21626
müsse.	w13_d763e21630
Sie	w15_d763e21633
fühlen	w1_d763e21639
ihr	w3_d763e21642
Unvermögen,	w5_d763e21645
sich	w7_d763e21648
vom	w9_d763e21651
Pöbel	w11_d763e21654
durch	w1_d763e21659
Einsichten,	w3_d763e21662
durch	w5_d763e21665
richtige	w7_d763e21668
und	w9_d763e21671
wohl	w11_d763e21674
ausgedruckte	w1_d763e21679
Gedanken,	w3_d763e21682
zu	w5_d763e21685
unterscheiden	w7_d763e21688
also	w1_d763e21693
suchen	w3_d763e21696
sie	w5_d763e21699
es	w7_d763e21702
durch	w9_d763e21705
fremde	w11_d763e21708
Töne	w13_d763e21712
zu	w15_d763e21715
thun.	w1_d763e21721
Daß	w3_d763e21724
dieses	w5_d763e21727
wahr	w7_d763e21730
sey,	w9_d763e21733
beweisen	w11_d763e21736
wir	w13_d763e21740
dadurch,	w1_d763e21745
daß	w3_d763e21748
von	w5_d763e21751
solchen	w7_d763e21754
Leuten	w9_d763e21757
noch	w11_d763e21760
keiner	w13_d763e21764
ein	w1_d763e21769
guter	w3_d763e21772
Schriftsteller	w5_d763e21775
in	w7_d763e21778
einer	w9_d763e21781
fremden	w11_d763e21784
Sprache	w1_d763e21789
geworden	w3_d763e21792
ist.	w5_d763e21795
Die	w7_d763e21798
Lateinische	w9_d763e21801
wollen	w1_d763e21807
wir	w3_d763e21810
unter	w5_d763e21813
gewissen	w7_d763e21816
Einschränkungen	w9_d763e21819
ausnehmen.	w1_d763e21824
</p>
<p id="p6_d763e21827">
Wir	w1_d763e21831
können	w3_d763e21834
gegenwärtige	w5_d763e21837
Anzeige	w7_d763e21840
nicht	w9_d763e21843
schließen,	w1_d763e21848
ohne	w3_d763e21851
des	w5_d763e21854
Kunstgriffes	w7_d763e21857
zu	w9_d763e21860
erwäh	w11_d763e21863
nen,	w1_d763e21868
dessen	w3_d763e21871
sich	w5_d763e21874
der	w7_d763e21877
Verleger	w9_d763e21880
dieser	w11_d763e21883
kleinen	w13_d763e21887
Schrift	w1_d763e21893
bedienet	w3_d763e21896
hat,	w5_d763e21899
um	w7_d763e21902
mehr	w9_d763e21905
Käufer	w11_d763e21908
zu	w13_d763e21912
derselben	w1_d763e21917
zu	w3_d763e21920
finden.	w5_d763e21923
Da	w7_d763e21926
er	w9_d763e21929
zufolge	w11_d763e21932
seiner	w13_d763e21936
eigenen	w1_d763e21941
Gesinnungen	w3_d763e21944
voraussetzet,	w5_d763e21947
daß	w7_d763e21950
Hr.	w9_d763e21953
Bobe	w1_d763e21958
auf	w3_d763e21961
die	w5_d763e21964
Verfasser	w7_d763e21967
der	w9_d763e21970
inländischen	w11_d763e21973
ge	w13_d763e21977
lehrten	w1_d763e21983
Nachrichten	w3_d763e21986
geschrieben	w5_d763e21989
habe,	w7_d763e21992
und	w9_d763e21995
daß	w1_d763e22000
das	w3_d763e22003
Publikum	w5_d763e22006
alles	w7_d763e22009
begierig	w9_d763e22012
lesen	w11_d763e22015
müs	w13_d763e22019
se,	w1_d763e22024
was	w3_d763e22027
wider	w5_d763e22030
dieselben	w7_d763e22033
gerichtet	w9_d763e22036
ist,	w11_d763e22039
so	w13_d763e22043
hat	w1_d763e22048
er	w3_d763e22051
die	w5_d763e22054
Abhandlung	w7_d763e22057
des	w9_d763e22060
Herrn	w11_d763e22063
Bobe,	w13_d763e22067
in	w1_d763e22073
der	w3_d763e22076
hiesigen	w5_d763e22079
Zeitung	w7_d763e22082
unter	w9_d763e22085
folgendem	w11_d763e22088
Ti	w13_d763e22092
tel	w1_d763e22097
ankündigen	w3_d763e22100
lassen:	w5_d763e22103
Unpartheyische	w1_d763e22108
Gedanken	w3_d763e22111
von	w5_d763e22114
den	w7_d763e22117
wie	w9_d763e22120
nerischen	w1_d763e22125
Kunstrichtern.	w3_d763e22128
Wir	w1_d763e22134
wünschen,	w3_d763e22137
daß	w5_d763e22140
der	w7_d763e22143
gute	w9_d763e22146
Mann	w11_d763e22149
dadurch,	w13_d763e22153
vielleicht	w1_d763e22158
wider	w3_d763e22161
seine	w5_d763e22164
Absicht,	w7_d763e22167
etwas	w9_d763e22170
beytra	w11_d763e22173
gen	w1_d763e22178
möge,	w3_d763e22181
einige	w5_d763e22184
vernünftige	w7_d763e22187
Grundsätze	w9_d763e22190
von	w1_d763e22195
der	w3_d763e22198
Kritik	w5_d763e22201
bekannter	w7_d763e22204
zu	w9_d763e22207
machen.	w11_d763e22210
</p>
<p id="p8_d763e22213">
4apendicula	w1_d763e22217
ad	w3_d763e22220
numismata	w5_d763e22223
graeca	w7_d763e22226
populo	w9_d763e22229
)(2	w1_d763e22234
rum	w1_d763e22239
&	w3_d763e22242
orbium	w5_d763e22245
a	w7_d763e22248
Jac.	w9_d763e22251
Gesuero	w11_d763e22254
tabulis	w13_d763e22258
aeneis	w1_d763e22264
reppaesentata,	w3_d763e22267
opera	w5_d763e22270
&	w7_d763e22273
studio	w9_d763e22276
Aloysii	w11_d763e22279
Comitis	w1_d763e22284
Cristiani	w3_d763e22287
in	w5_d763e22290
Colleg.	w7_d763e22293
Reg.	w9_d763e22296
Theresiane	w11_d763e22299
Physieae,	w1_d763e22304
Historiae	w3_d763e22307
&	w5_d763e22310
Marbeseos	w7_d763e22313
auditoris.	w9_d763e22316
</p>
<p id="p10_d763e22319">
Vinäob.	w1_d763e22323
Ppis	w3_d763e22326
G.	w5_d763e22329
L.	w7_d763e22332
Schulaii	w9_d763e22335
1762.	w11_d763e22338
in	w13_d763e22342
4.	w15_d763e22345
80.	w17_d763e22348
Seiten	w1_d763e22353
mit	w3_d763e22356
2.	w5_d763e22359
Kupferplatten.	w7_d763e22362
</p>
<p id="p12_d763e22366">
Es	w1_d763e22370
gereichet	w3_d763e22373
der	w5_d763e22376
königl.	w7_d763e22379
theresianischen	w9_d763e22382
Ritterschule	w1_d763e22387
zu	w3_d763e22390
sonderbarer	w5_d763e22393
Ehre,	w7_d763e22396
daß	w9_d763e22399
sie	w11_d763e22402
unter	w1_d763e22407
den	w3_d763e22410
jungen	w5_d763e22413
von	w7_d763e22416
Adel,	w9_d763e22419
die	w11_d763e22422
darinn	w13_d763e22426
erzo	w15_d763e22429
gen	w1_d763e22435
worden,	w3_d763e22438
schon	w5_d763e22441
verschiedene	w7_d763e22444
gezählethat,	w9_d763e22447
welche	w1_d763e22452
mit	w3_d763e22455
eigenen	w5_d763e22458
unter	w7_d763e22461
der	w9_d763e22464
Anleitung	w11_d763e22467
ihrer	w13_d763e22471
Lehrmeister	w1_d763e22476
verfertigten	w3_d763e22479
und	w5_d763e22482
im	w7_d763e22485
Drucke	w9_d763e22488
er	w11_d763e22491
schienenen	w1_d763e22496
gelehrten	w3_d763e22499
Arbeiten	w5_d763e22502
hervorgetreten	w7_d763e22505
sind,	w1_d763e22511
und	w3_d763e22514
eine	w5_d763e22517
so	w7_d763e22520
seltene	w9_d763e22523
Probe	w11_d763e22526
ihres	w13_d763e22530
Fort	w15_d763e22533
ganges	w1_d763e22538
in	w3_d763e22541
den	w5_d763e22544
Wissenschaften	w7_d763e22547
gegeben	w9_d763e22550
haben.	w11_d763e22553
Die	w1_d763e22558
gegenwärtige	w3_d763e22561
Schrift	w5_d763e22564
des	w7_d763e22567
Herrn	w9_d763e22570
Gra	w11_d763e22573
fen	w1_d763e22578
Cristiani	w3_d763e22581
ist	w5_d763e22584
von	w7_d763e22587
einer	w9_d763e22590
ganz	w11_d763e22593
besondern	w13_d763e22597
Art:	w1_d763e22603
es	w3_d763e22606
zeiget	w5_d763e22609
sich	w7_d763e22612
in	w9_d763e22615
selbiger	w11_d763e22618
nicht	w13_d763e22622
nur	w15_d763e22625
eine	w1_d763e22630
gründliche	w3_d763e22633
Kenntniß	w5_d763e22636
der	w7_d763e22639
grlechischen	w9_d763e22642
Sprache	w1_d763e22647
und	w3_d763e22650
des	w5_d763e22653
entferntesten	w7_d763e22656
Alterthums,	w9_d763e22659
sondern	w1_d763e22664
auch	w3_d763e22667
in	w5_d763e22670
der	w7_d763e22673
Beurtheilung	w9_d763e22676
und	w11_d763e22679
Er	w13_d763e22683
klärung	w1_d763e22689
der	w3_d763e22692
schweresten	w5_d763e22695
Stellen	w7_d763e22698
alter	w9_d763e22701
Schrift	w11_d763e22704
steller	w1_d763e22709
eine	w3_d763e22712
solche	w5_d763e22715
Fertigkeit,	w7_d763e22718
die	w9_d763e22721
man	w11_d763e22724
sich	w13_d763e22728
allein	w15_d763e22731
im	w1_d763e22736
reifen	w3_d763e22739
Alter	w5_d763e22742
und	w7_d763e22745
durch	w9_d763e22748
langwierige	w11_d763e22751
Ue	w13_d763e22755
bung	w1_d763e22760
erwirbt.	w3_d763e22763
Die	w5_d763e22766
Belesenheit	w7_d763e22769
ist	w9_d763e22772
darinn	w11_d763e22775
von	w1_d763e22781
einem	w3_d763e22784
solchen	w5_d763e22787
