<doc id="wr_1760-04-02" attrs="word" year="1760" month="04" day="02" corpus="2">
<head id="h2_d437e3044">
Civitavechia	w1_d437e3048
Zufuhr	w7_d437e10320
von	w9_d437e10323
Lebensmit	w11_d437e10326
teln,	w1_d437e10331
falls	w3_d437e10334
ein	w5_d437e10337
Theil	w7_d437e10340
von	w9_d437e10343
selbiger	w11_d437e10346
Armee	w13_d437e10350
ihren	w1_d437e10355
Feld=zug	w3_d437e10358
nach	w5_d437e10361
Preußisch=pommern	w7_d437e10364
fortsetzen	w1_d437e10370
solte.	w3_d437e10373
</p>
<head id="h2_d437e10379">
Wien	w1_d437e10383
den	w3_d437e10386
2.	w5_d437e10389
April	w7_d437e10392
1760.	w9_d437e10395
</head>
<p id="p4_d437e10398">
Samstags	w1_d437e10402
den	w3_d437e10405
19.	w5_d437e10408
Marti	w7_d437e10411
sennnd	w9_d437e10414
in	w11_d437e10417
der	w13_d437e10421
grossen	w1_d437e10426
Hof=kapelle	w3_d437e10429
für	w5_d437e10432
die	w7_d437e10435
Hochade	w9_d437e10438
liche	w1_d437e10443
Stern=kreutz=ordens=dame	w3_d437e10446
(Titl.,	w5_d437e10449
Frau	w1_d437e10455
Maria	w3_d437e10458
Anna	w5_d437e10461
Gräfin	w7_d437e10464
von	w9_d437e10467
Attemis,	w11_d437e10470
geborne	w1_d437e10475
Gräfin	w3_d437e10478
von	w5_d437e10481
Wurmbrand,	w7_d437e10484
welche	w9_d437e10487
dieses	w1_d437e10492
lauffenden	w3_d437e10495
Jahrs	w5_d437e10498
zu	w7_d437e10501
Gratz	w9_d437e10504
in	w11_d437e10507
GOtt	w13_d437e10511
seelig	w1_d437e10516
entschlaffen,	w3_d437e10519
die	w5_d437e10522
Exequien	w7_d437e10525
gehalten	w9_d437e10528
worden.	w1_d437e10534
</p>
<p id="p6_d437e10537">
Sonntags	w1_d437e10541
den	w3_d437e10544
30.	w5_d437e10547
März,	w7_d437e10550
als	w9_d437e10553
am	w11_d437e10556
Palm=sonntag,	w1_d437e10561
Vormittags,	w3_d437e10564
haben	w5_d437e10567
beede	w7_d437e10570
Kaiserl.	w1_d437e10575
Majestäten	w3_d437e10578
mit	w5_d437e10581
Jhren	w7_d437e10584
Königlichen	w9_d437e10587
Hoheiten,	w1_d437e10593
denen	w3_d437e10596
älteren	w5_d437e10599
Durchl.	w7_d437e10602
jungen	w9_d437e10605
Herrschaften	w1_d437e10610
über	w3_d437e10613
den	w5_d437e10616
neuen	w7_d437e10619
Gang	w9_d437e10622
zu	w11_d437e10625
de	w13_d437e10629
nen	w1_d437e10634
WW.	w3_d437e10637
EE.	w5_d437e10640
PP.	w7_d437e10643
Augustinern	w9_d437e10646
sich	w11_d437e10649
be	w13_d437e10653
geben,	w1_d437e10658
und	w3_d437e10661
alda	w5_d437e10664
der	w7_d437e10667
Palm=weihung,	w9_d437e10670
dann	w11_d437e10673
der	w1_d437e10679
Proceßion	w3_d437e10682
in	w5_d437e10685
der	w7_d437e10688
Kirchen,	w9_d437e10691
hierauf	w11_d437e10694
der	w13_d437e10698
Predig	w1_d437e10703
und	w3_d437e10706
dem	w5_d437e10709
Paßion=amt	w7_d437e10712
beygewohnet.	w9_d437e10715
Nachmittags	w1_d437e10720
um	w3_d437e10723
4.	w5_d437e10726
Uhr	w7_d437e10729
aber	w9_d437e10732
allerhöchste	w11_d437e10735
Herrschaften	w1_d437e10740
allein	w3_d437e10743
in	w5_d437e10746
offentlichem	w7_d437e10749
Staat	w9_d437e10752
zu	w11_d437e10755
denen	w1_d437e10761
WW.	w3_d437e10764
EE.	w5_d437e10767
PP.	w7_d437e10770
Capucinern	w9_d437e10773
sich	w11_d437e10776
ver	w13_d437e10780
füget,	w1_d437e10785
und	w3_d437e10788
alda	w5_d437e10791
bey	w7_d437e10794
dem	w9_d437e10797
ausgesetzten	w11_d437e10800
Hoch	w13_d437e10804
würdigsten	w1_d437e10809
Gut	w3_d437e10812
dem	w5_d437e10815
40.	w7_d437e10818
stündigen	w9_d437e10821
Gebett	w11_d437e10824
abgewartet.	w1_d437e10829
</p>
<p id="p12_d437e10843">
Montags	w1_d437e10847
den	w3_d437e10850
31.	w5_d437e10853
März,	w7_d437e10856
und	w9_d437e10859
Dienstags	w11_d437e10862
den	w1_d437e10867
1.	w3_d437e10870
April	w5_d437e10873
haben	w7_d437e10876
beede	w9_d437e10879
Kaiserl.	w11_d437e10882
Majestä	w13_d437e10886
ten	w1_d437e10891
mit	w3_d437e10894
ihren	w5_d437e10897
Königl.	w7_d437e10900
Hoheiten,	w9_d437e10903
denen	w11_d437e10906
älteren	w1_d437e10912
Durchl.	w3_d437e10915
Herrschaften	w5_d437e10918
dem	w7_d437e10921
gewöhn	w9_d437e10924
lichen	w1_d437e10929
GOttes=dienst	w3_d437e10932
beygewohnet.	w5_d437e10935
</p>
<p id="p14_d437e10938">
Von	w1_d437e10942
Regenspurg	w3_d437e10945
ist	w5_d437e10948
alhier	w7_d437e10951
die	w9_d437e10954
Nachricht	w11_d437e10957
eingelanget,	w1_d437e10962
daß	w3_d437e10965
des	w5_d437e10968
Herzogs	w7_d437e10971
Friedrich	w9_d437e10974
von	w11_d437e10977
Pfalz=zweybrücken	w1_d437e10982
Durchl.	w3_d437e10985
und	w5_d437e10988
des	w7_d437e10991
Prin	w9_d437e10994
zens	w1_d437e11000
Carl	w3_d437e11003
August	w5_d437e11006
von	w7_d437e11009
Baaden=durlach	w9_d437e11012
Durchl.	w1_d437e11017
beede	w3_d437e11020
zu	w5_d437e11023
würklichen	w7_d437e11026
Reichsfeld	w9_d437e11029
marschallen	w1_d437e11034
von	w3_d437e11037
dem	w5_d437e11040
gesamten	w7_d437e11043
Römischen	w9_d437e11046
Reich	w1_d437e11051
sind	w3_d437e11054
ernennet	w5_d437e11057
worden.	w7_d437e11060
</p>
<p id="p16_d437e11063">
Uebrigens	w1_d437e11067
ist	w3_d437e11070
unterm	w5_d437e11073
20.	w7_d437e11076
verflossenen	w9_d437e11079
Monats	w1_d437e11084
Martii	w3_d437e11087
nachfolgende	w5_d437e11090
Militar	w7_d437e11093
pro	w9_d437e11096
motion	w1_d437e11101
alhier	w3_d437e11104
kund	w5_d437e11107
gemacht	w7_d437e11110
worden;	w9_d437e11113
als:	w11_d437e11116
General	w1_d437e11122
der	w3_d437e11125
Cavallerie:	w5_d437e11128
Fürst	w7_d437e11131
von	w9_d437e11134
Lö	w11_d437e11137
</p>
<p id="p18_d437e11140">
wenstein.	w1_d437e11144
</p>
<p id="p20_d437e11147">
Feld=marschall=leutenants:	w1_d437e11151
Graf	w3_d437e11154
von	w5_d437e11157
Martiany.	w1_d437e11162
Graf	w3_d437e11165
von	w5_d437e11168
Odonell.	w7_d437e11171
Baron	w9_d437e11174
Berlichingen.	w1_d437e11179
Graf	w3_d437e11182
von	w5_d437e11185
Steinville.	w7_d437e11188
Graf	w9_d437e11191
von	w1_d437e11197
Pozdazky.	w3_d437e11200
Baron	w5_d437e11203
de	w7_d437e11206
la	w9_d437e11209
Reintrie	w11_d437e11212
Graf	w1_d437e11217
von	w3_d437e11220
Pellegrini.	w5_d437e11223
Graf	w7_d437e11226
von	w9_d437e11229
Gaisrugg.	w11_d437e11232
Baron	w1_d437e11237
Partini	w3_d437e11240
von	w5_d437e11243
Neuhof.	w7_d437e11246
Graf	w9_d437e11249
von	w11_d437e11252
Herberstein.	w1_d437e11257
Baron	w3_d437e11260
Unruhe.	w5_d437e11263
Baron	w7_d437e11266
von	w9_d437e11269
Butler.	w1_d437e11275
Baron	w3_d437e11278
von	w5_d437e11281
Müffling.	w7_d437e11284
</p>
<p id="p22_d437e11287">
Obrist=feld=wachtmeistere:	w1_d437e11291
Graf	w3_d437e11294
von	w5_d437e11297
Giannini.	w1_d437e11302
Chevalier	w3_d437e11305
d'Orlandini.	w5_d437e11308
Ba	w7_d437e11311
von	w1_d437e11316
von	w3_d437e11319
Baumbach.	w5_d437e11322
Graf	w7_d437e11325
von	w9_d437e11328
Callen	w11_d437e11331
berg.	w1_d437e11337
Graf	w3_d437e11340
von	w5_d437e11343
Wartensleben.	w7_d437e11346
Fürst	w9_d437e11349
von	w1_d437e11354
Sulkofsky.	w3_d437e11357
Baron	w5_d437e11360
von	w7_d437e11363
Ellmendorf.	w9_d437e11366
Baron	w1_d437e11371
von	w3_d437e11374
Phul.	w5_d437e11377
Obriste:	w1_d437e11382
Von	w3_d437e11385
Schröder.	w5_d437e11388
Graf	w7_d437e11391
Ca	w9_d437e11394
</p>
<head id="h2_d437e11400">
stista	w1_d437e11404
deren	w3_d437e11407
Verstorbenen	w5_d437e11410
zu	w7_d437e11413
Wien	w9_d437e11416
in	w1_d437e11421
und	w3_d437e11424
vor	w5_d437e11427
der	w7_d437e11430
Stadt.	w9_d437e11433
Den	w1_d437e11438
28	w3_d437e11441
Martii.	w5_d437e11444
Jn	w1_d437e11450
der	w3_d437e11453
Stadt.	w5_d437e11456
</head>
<list id="l4_d437e11459">
Der	w1_d437e11463
Hoch=ebel=geb.	w3_d437e11466
Rit.	w5_d437e11469
Hr.	w7_d437e11472
Joh.	w9_d437e11475
Franz	w11_d437e11478
v.	w13_d437e11482
Turba,	w15_d437e11485
Jhrer	w1_d437e11490
R.	w3_d437e11493
K.	w5_d437e11496
K.	w7_d437e11499
M.	w9_d437e11502
Obrist=justitz=stelle	w11_d437e11505
Hof=raht	w13_d437e11509
</list>
<list id="l6_d437e11513">
im	w1_d437e11517
Manuagettis.	w3_d437e11520
Stift=H.	w5_d437e11523
in	w7_d437e11526
der	w9_d437e11529
Römerstr.,	w11_d437e11532
alt	w1_d437e11537
74.	w3_d437e11540
Dem	w1_d437e11545
Wol=edelgeb.	w3_d437e11548
Hrn.	w5_d437e11551
Joh.	w7_d437e11554
Michv.	w9_d437e11557
Kärgl,	w11_d437e11560
gew.	w13_d437e11564
K.	w1_d437e11570
K.	w3_d437e11573
privil.	w5_d437e11576
Oriental	w7_d437e11579
Comp.	w9_d437e11582
Deputirt.,	w11_d437e11585
s.	w13_d437e11589
Frie	w15_d437e11592
T.	w1_d437e11597
Clara,	w3_d437e11600
im	w5_d437e11603
Gstatteris.	w7_d437e11606
H.	w9_d437e11609
in	w11_d437e11612
der	w13_d437e11616
kl.	w15_d437e11619
Dorothe	w17_d437e11622
gas.,	w1_d437e11627
al	w3_d437e11630
11.	w5_d437e11633
J.	w7_d437e11636
Hr.	w1_d437e11641
Ant.	w3_d437e11644
Mehofer,	w5_d437e11647
Tuch=fabricant,	w7_d437e11650
beym	w9_d437e11653
br.	w11_d437e11656
Hirf	w13_d437e11660
am	w1_d437e11666
rot.	w3_d437e11669
Thurn,	w5_d437e11672
alt	w7_d437e11675
66.	w9_d437e11678
J.	w11_d437e11681
Dem	w1_d437e11686
Wolf	w3_d437e11689
Waltet,	w5_d437e11692
Chymis.	w7_d437e11695
Laborant.,	w9_d437e11698
s.	w11_d437e11701
W.	w13_d437e11705
Eva,	w15_d437e11708
im	w1_d437e11713
neuen	w3_d437e11716
Universitäts=H.,	w5_d437e11719
alt	w7_d437e11722
60.	w9_d437e11725
J.	w11_d437e11728
</list>
<head id="h2_d437e11735">
Vor	w1_d437e11739
der	w3_d437e11742
Stadt.	w5_d437e11745
</head>
<list id="l4_d437e11748">
Dem	w1_d437e11752
Paul	w3_d437e11755
Ungleich,	w5_d437e11758
Burgerl.	w7_d437e11761
Bildhau.,	w9_d437e11764
s.	w11_d437e11767
K.	w13_d437e11771
Ge	w15_d437e11774
org,	w1_d437e11779
beym	w3_d437e11782
gold.	w5_d437e11785
Adl.	w7_d437e11788
bey	w9_d437e11791
Maria=hülf,	w11_d437e11794
6.	w13_d437e11798
J.	w15_d437e11801
Joh.	w1_d437e11806
Schmid,	w3_d437e11809
Medicin=trag,	w5_d437e11812
beyn3.	w7_d437e11815
Kugeln	w9_d437e11818
in	w11_d437e11821
dem	w13_d437e11825
Liechtenth,	w1_d437e11831
alt	w3_d437e11834
43	w5_d437e11837
J.	w7_d437e11840
Georg	w1_d437e11845
Hörman,	w3_d437e11848
Lehen=kutsch.,	w5_d437e11851
im	w7_d437e11854
Zeger=macherisch,	w9_d437e11857
H.	w1_d437e11862
auf	w3_d437e11865
der	w5_d437e11868
Landstr.,	w7_d437e11871
alt	w9_d437e11874
64.	w11_d437e11877
J.	w13_d437e11881
</list>
<head id="h2_d437e11889">
Summa	w1_d437e11893
7.	w3_d437e11896
Person,	w5_d437e11899
darunter	w7_d437e11902
2.	w9_d437e11905
Kind.	w11_d437e11908
Den	w1_d437e11913
29.	w3_d437e11916
Martii.	w5_d437e11919
Jn	w1_d437e11924
der	w3_d437e11927
Stadt.	w5_d437e11930
</head>
<list id="l4_d437e11933">
Mick.	w1_d437e11937
Keller,	w3_d437e11940
Burger,	w5_d437e11943
im	w7_d437e11946
Stockingeris.	w9_d437e11949
H.	w11_d437e11952
auf	w13_d437e11956
der	w15_d437e11959
Biber=bastey,	w1_d437e11964
alt	w3_d437e11967
68.	w5_d437e11970
J.	w7_d437e11973
Dem	w1_d437e11978
Ant.	w3_d437e11981
Brener,	w5_d437e11984
Comico,	w7_d437e11987
s.	w9_d437e11990
K.	w11_d437e11993
Anna,	w13_d437e11997
in	w15_d437e12000
Weg	w17_d437e12003
neris.	w1_d437e12009
H.	w3_d437e12012
im	w5_d437e12015
Comödi=gäs.,	w7_d437e12018
alt	w9_d437e12021
1.	w11_d437e12024
J.	w13_d437e12028
Dem	w1_d437e12033
Franz	w3_d437e12036
Carl	w5_d437e12039
Huter,	w7_d437e12042
Kammer	w9_d437e12045
dien,	w11_d437e12048
s.	w13_d437e12052
K.	w15_d437e12055
Joh,	w17_d437e12058
im	w1_d437e12063
Tischleris.	w3_d437e12066
H.	w5_d437e12069
am	w7_d437e12072
rot.	w9_d437e12075
Thurn,	w11_d437e12078
alt	w13_d437e12082
6.	w15_d437e12085
v.	w17_d437e12088
J.	w19_d437e12091
</list>
<head id="h2_d437e12098">
Vor	w1_d437e12102
der	w3_d437e12105
Stadt.	w5_d437e12108
</head>
<list id="l4_d437e12111">
Dem	w1_d437e12115
Jos.	w3_d437e12118
Gebauer,	w5_d437e12121
Burgerl.	w7_d437e12124
Bier=leut=geb.,	w9_d437e12127
s.	w11_d437e12130
W.	w13_d437e12134
Elisab.,	w1_d437e12139
beym	w3_d437e12142
gold.	w5_d437e12145
Kegel	w7_d437e12148
an	w9_d437e12151
der	w11_d437e12154
Wien,	w13_d437e12158
50.	w15_d437e12161
J.	w17_d437e12164
Dem	w1_d437e12169
Daniel	w3_d437e12172
Hofman,	w5_d437e12175
Burgerl.	w7_d437e12178
Schocolata=mach.	w9_d437e12181
s.	w1_d437e12187
K.	w3_d437e12190
Elisab.,	w5_d437e12193
beym	w7_d437e12196
weis.	w9_d437e12199
Ochs.	w11_d437e12202
bey	w13_d437e12206
St.	w15_d437e12209
Ulrich,	w17_d437e12212
alt	w1_d437e12217
5.	w3_d437e12220
J.	w5_d437e12223
Joh.	w1_d437e12228
Mobus,	w3_d437e12231
Schreib.,	w5_d437e12234
beym	w7_d437e12237
verlor.	w9_d437e12240
Sohn	w11_d437e12243
an	w13_d437e12247
dem	w15_d437e12250
Spitalberg,	w1_d437e12255
alt	w3_d437e12258
29.	w5_d437e12261
J.	w7_d437e12264
Sebast.	w1_d437e12270
Brandtner,	w3_d437e12273
K.	w5_d437e12276
K.	w7_d437e12279
Kutsch.,	w9_d437e12282
bey	w11_d437e12285
der	w13_d437e12289
blauen	w15_d437e12292
Weintr.	w1_d437e12297
oberm	w3_d437e12300
Neustift,	w5_d437e12303
alt	w7_d437e12306
27.	w9_d437e12309
J.	w11_d437e12312
Georg	w1_d437e12317
Lettenthaller,	w3_d437e12320
K.	w5_d437e12323
K.	w7_d437e12326
Kutsch.,	w9_d437e12329
beym	w11_d437e12332
bl.	w13_d437e12336
Kärpf.	w15_d437e12339
auf	w1_d437e12344
der	w3_d437e12347
Wied.,	w5_d437e12350
alt	w7_d437e12353
67.	w9_d437e12356
J.	w11_d437e12359
Franz	w1_d437e12365
Wolfsmüller,	w3_d437e12368
Holz=scheib,	w5_d437e12371
beym	w7_d437e12374
weis.	w9_d437e12377
Lem.	w11_d437e12380
in	w1_d437e12385
der	w3_d437e12388
Rossau,	w5_d437e12391
alt	w7_d437e12394
68.	w9_d437e12397
J.	w11_d437e12400
Der	w1_d437e12405
Anna	w3_d437e12408
Schmidin,	w5_d437e12411
Wittwe,	w7_d437e12414
ihr	w9_d437e12417
K.	w11_d437e12420
Elisab.,	w13_d437e12424
bey	w15_d437e12427
der	w1_d437e12432
schön.	w3_d437e12435
Lantern	w5_d437e12438
zu	w7_d437e12441
Nicolstorf,	w9_d437e12444
alt	w11_d437e12447
7.	w13_d437e12451
J.	w15_d437e12454
Margar.	w1_d437e12460
Glaserin,	w3_d437e12463
Wittwe,	w5_d437e12466
im	w7_d437e12469
Lacherisch.	w9_d437e12472
H.	w11_d437e12475
am	w13_d437e12479
Hundsth.,	w1_d437e12484
alt	w3_d437e12487
73.	w5_d437e12490
J.	w7_d437e12493
Dem	w1_d437e12498
Paul	w3_d437e12501
Wolmut,	w5_d437e12504
Tag=löhn.,	w7_d437e12507
s.	w9_d437e12510
W.	w11_d437e12513
Cathar.,	w13_d437e12517
im	w15_d437e12520
Versetzeris.	w1_d437e12525
H	w3_d437e12528
zu	w5_d437e12531
Margar.,	w7_d437e12534
alt	w9_d437e12537
38.	w11_d437e12540
J.	w13_d437e12544
Dem	w1_d437e12550
Math	w3_d437e12553
Wiser,	w5_d437e12556
Trag.,	w7_d437e12559
s.	w9_d437e12562
K.	w11_d437e12565
Anna,	w13_d437e12569
im	w15_d437e12572
Schom	w17_d437e12575
hafneris.	w1_d437e12580
H.	w3_d437e12583
in	w5_d437e12586
der	w7_d437e12589
Leapoldst.,	w9_d437e12592
alt	w11_d437e12595
9.	w13_d437e12599
J.	w15_d437e12602
</list>
<head id="h2_d437e12609">
Summa	w1_d437e12613
13.	w3_d437e12616
Pers.	w5_d437e12619
darunter	w7_d437e12622
5.	w9_d437e12625
Kind.	w11_d437e12628
Den	w1_d437e12633
30.	w3_d437e12636
Martii.	w5_d437e12639
Jn	w1_d437e12644
der	w3_d437e12647
Stadt.	w5_d437e12650
</head>
<list id="l4_d437e12653">
Der	w1_d437e12657
Hoch=ebel=geb.	w3_d437e12660
Fr.	w5_d437e12663
Theres	w7_d437e12666
Edlen	w9_d437e12669
v.	w11_d437e12672
Heinisch,	w13_d437e12676
Wittwe,	w1_d437e12681
ihr	w3_d437e12684
Frle	w5_d437e12687
T.	w7_d437e12690
Anna,	w9_d437e12693
im	w11_d437e12696
Nisis.	w13_d437e12700
H.	w15_d437e12703
in	w17_d437e12706
der	w19_d437e12709
Wolseil,	w1_d437e12714
alt	w3_d437e12717
26.	w5_d437e12720
J.	w7_d437e12723
</list>
<list id="l10_d437e12737">
Pet.	w1_d437e12741
Mihatositz,	w3_d437e12744
Griechts.	w5_d437e12747
Handelsm.,	w7_d437e12750
im	w9_d437e12753
Steyrer	w11_d437e12756
hof,	w1_d437e12761
alt	w3_d437e12764
56.	w5_d437e12767
J.	w7_d437e12770
</list>
<head id="h2_d437e12777">
Vor	w1_d437e12781
der	w3_d437e12784
Stadt.	w5_d437e12787
</head>
<list id="l4_d437e12790">
Dem	w1_d437e12794
Hrn.	w3_d437e12797
Joh.	w5_d437e12800
Ehrnbacher,	w7_d437e12803
K.	w9_d437e12806
Hartsch.=rottmeist.	w11_d437e12809
s	w1_d437e12814
Fr.	w3_d437e12817
Sophia,	w5_d437e12820
beym	w7_d437e12823
grün.	w9_d437e12826
Baum	w11_d437e12829
auf	w13_d437e12833
der	w15_d437e12836
Land	w17_d437e12839
stras,	w1_d437e12844
alt	w3_d437e12847
53.	w5_d437e12850
J.	w7_d437e12853
Anna	w1_d437e12859
Grätzin,	w3_d437e12862
Wittwe,	w5_d437e12865
im	w7_d437e12868
Münsterfeldis.	w9_d437e12871
H.	w11_d437e12874
auf	w13_d437e12878
der	w1_d437e12883
Landstr.,	w3_d437e12886
alt	w5_d437e12889
73.	w7_d437e12892
J.	w9_d437e12895
Theres.	w1_d437e12900
Huberin,	w3_d437e12903
Wittwe,	w5_d437e12906
beyn	w7_d437e12909
5.	w9_d437e12912
Lerch.	w11_d437e12915
am	w13_d437e12919
Mag.	w15_d437e12922
dal.gr.,	w1_d437e12927
alt	w3_d437e12930
60	w5_d437e12933
J.	w7_d437e12936
Leop.	w1_d437e12942
Burger,	w3_d437e12945
Tag	w5_d437e12948
löhn.,	w7_d437e12951
beym	w9_d437e12954
gold.	w11_d437e12957
Hirsch.	w13_d437e12961
ober	w15_d437e12964
dem	w1_d437e12969
Neustift,	w3_d437e12972
alt	w5_d437e12975
74.	w7_d437e12978
J.	w9_d437e12981
</list>
<head id="h2_d437e12988">
Summa	w1_d437e12992
6.	w3_d437e12995
Pers.,	w5_d437e12998
darunter	w7_d437e13001
2.	w9_d437e13004
Kind.	w11_d437e13007
Den	w1_d437e13012
31.	w3_d437e13015
Martii.	w5_d437e13018
Jn	w1_d437e13023
der	w3_d437e13026
Stadt.	w5_d437e13029
</head>
<list id="l4_d437e13032">
Hr.	w1_d437e13036
Joh	w3_d437e13039
Spalofsky,	w5_d437e13042
Herrschaftl.	w7_d437e13045
Secret,	w9_d437e13048
im	w11_d437e13051
Liech	w13_d437e13055
tensteinis.	w1_d437e13060
H.	w3_d437e13063
in	w5_d437e13066
der	w7_d437e13069
Herren=gas.,	w9_d437e13072
alt	w11_d437e13075
60.	w13_d437e13079
J.	w15_d437e13082
Dem	w1_d437e13087
Hrn.	w3_d437e13090
Georg	w5_d437e13093
Schrottenbacher,	w7_d437e13096
Herrschaftl	w9_d437e13099
Hof=meist.,	w1_d437e13105
s.	w3_d437e13108
Fr.	w5_d437e13111
Rosina,	w7_d437e13114
bey	w9_d437e13117
der	w11_d437e13120
neuen	w13_d437e13124
Welt	w15_d437e13127
in	w17_d437e13130
dem	w1_d437e13135
Kumpf=gäs.,	w3_d437e13138
alt	w5_d437e13141
44.	w7_d437e13144
J.	w9_d437e13147
</list>
<head id="h2_d437e13154">
Vor	w1_d437e13158
der	w3_d437e13161
Stadt.	w5_d437e13164
</head>
<list id="l4_d437e13167">
Dem	w1_d437e13171
Hrn.	w3_d437e13174
Theophil	w5_d437e13177
Rotter,	w7_d437e13180
Kriegsgefang	w9_d437e13183
aus	w11_d437e13186
wechslungs=aßistent.,	w1_d437e13191
s.	w3_d437e13194
K.	w5_d437e13197
Joh.,	w7_d437e13200
beyn	w9_d437e13203
3.	w11_d437e13206
Hack.	w13_d437e13210
auf	w1_d437e13215
der	w3_d437e13218
Wind=mühl,	w5_d437e13221
alt	w7_d437e13224
4.	w9_d437e13227
J.	w11_d437e13230
Dem	w1_d437e13236
Joh.	w3_d437e13239
Gradl,	w5_d437e13242
K.	w7_d437e13245
Trab.,	w9_d437e13248
s.	w11_d437e13251
K.	w13_d437e13255
Magdal,	w15_d437e13258
beym	w17_d437e13261
See	w1_d437e13266
bey	w3_d437e13269
Maria	w5_d437e13272
hülf,	w7_d437e13275
alt	w9_d437e13278
4.	w11_d437e13281
J.	w13_d437e13285
Dionys.	w1_d437e13290
Heindl,	w3_d437e13293
K.	w5_d437e13296
Berg=schreib,	w7_d437e13299
beym	w9_d437e13302
bl.	w11_d437e13305
Hirsch.	w13_d437e13309
auf	w1_d437e13314
de	w3_d437e13317
Wied.,	w5_d437e13320
alt	w7_d437e13323
65.	w9_d437e13326
J.	w11_d437e13329
Joh.	w1_d437e13335
Platner,	w3_d437e13338
gew.	w5_d437e13341
K.	w7_d437e13344
Thor	w9_d437e13347
wärtl,	w11_d437e13350
im	w13_d437e13354
K.	w15_d437e13357
Holzsta	w17_d437e13360
del	w1_d437e13365
auf	w3_d437e13368
der	w5_d437e13371
Wied.,	w7_d437e13374
alt	w9_d437e13377
74.	w11_d437e13380
J.	w13_d437e13384
Joh.	w1_d437e13389
Schmalzl,	w3_d437e13392
Lack,	w5_d437e13395
beym	w7_d437e13398
schwarz.	w9_d437e13401
Adl.	w11_d437e13404
boy	w13_d437e13408
Ma	w15_d437e13411
ria=hülf,	w1_d437e13416
alt	w3_d437e13419
59.	w5_d437e13422
J.	w7_d437e13425
Dem	w1_d437e13431
Lorenz	w3_d437e13434
Royßleutner,	w5_d437e13437
Grund=wacht.,	w7_d437e13440
s.	w9_d437e13443
T.	w11_d437e13446
Ca	w13_d437e13450
thar.,	w1_d437e13455
im	w3_d437e13458
Schwindleris.	w5_d437e13461
H.	w7_d437e13464
auf	w9_d437e13467
der	w11_d437e13470
Landstras.,	w13_d437e13474
alt	w1_d437e13479
13.	w3_d437e13482
J.	w5_d437e13485
</list>
<head id="h2_d437e13493">
Summa	w1_d437e13497
8.	w3_d437e13500
Person.,	w5_d437e13503
darunter	w7_d437e13506
2.	w9_d437e13509
Kind.	w11_d437e13512
</head>
<p id="p4_d437e13515">
Bey	w1_d437e13519
denen	w3_d437e13522
Verlägern	w5_d437e13525
des	w7_d437e13528
Wienerischen	w9_d437e13531
Dia	w11_d437e13534
rti	w1_d437e13539
im	w3_d437e13542
neuen	w5_d437e13545
Michaeler=haus	w7_d437e13548
ist	w9_d437e13551
zu	w11_d437e13554
haben:	w13_d437e13558
Beschreibung	w1_d437e13563
und	w3_d437e13566
Erklärung	w5_d437e13569
deren	w7_d437e13572
den	w9_d437e13575
2ten	w11_d437e13578
Nobember	w1_d437e13584
1759.	w3_d437e13587
in	w5_d437e13590
der	w7_d437e13593
Kaiserl.	w9_d437e13596
Königl.	w11_d437e13599
Residenz	w13_d437e13603
stadt	w1_d437e13608
Wien	w3_d437e13611
auf	w5_d437e13614
dem	w7_d437e13617
sogenannten	w9_d437e13620
alten	w11_d437e13623
Fleisch	w13_d437e13627
markt	w1_d437e13632
ausgegrabenen	w3_d437e13635
zweyen	w5_d437e13638
alten	w7_d437e13641
Römischen	w9_d437e13644
Särgen,	w1_d437e13649
und	w3_d437e13652
deren	w5_d437e13655
sowohl	w7_d437e13658
darinnen,	w9_d437e13661
als	w11_d437e13664
von	w13_d437e13668
aussen	w1_d437e13674
herum	w3_d437e13677
gefundenen	w5_d437e13680
andern	w7_d437e13683
Alterthümern,	w9_d437e13686
in	w1_d437e13691
einem	w3_d437e13694
Sendschreiben	w5_d437e13697
abgefasset;	w7_d437e13700
nebst	w9_d437e13703
einer	w11_d437e13706
Kupfer=platte,	w1_d437e13711
worauf	w3_d437e13714
die	w5_d437e13717
ermeldten	w7_d437e13720
Särge,	w9_d437e13723
und	w11_d437e13726
Alterthümer	w1_d437e13731
genau	w3_d437e13734
abgestochen	w5_d437e13737
sind.	w7_d437e13740
Gebunden	w9_d437e13743
der	w1_d437e13749
17.	w3_d437e13752
kr.	w5_d437e13755
</p>
<p id="p6_d437e13758">
stehendes	w1_d437e13762
zu	w3_d437e13765
haben:	w5_d437e13768
Omficium	w1_d437e13773
Hebdomadæ	w3_d437e13776
Sanctæ	w5_d437e13779
secundum	w7_d437e13782
Mis-	w9_d437e13785
lale	w1_d437e13790
&	w3_d437e13793
Breviarium	w5_d437e13796
Romanum	w7_d437e13799
mag	w9_d437e13802
12mv	w11_d437e13805
einge	w13_d437e13809
bunden	w1_d437e13815
2	w3_d437e13818
fl.	w5_d437e13821
2.	w7_d437e13824
30.	w9_d437e13827
kr.	w11_d437e13830
ltem	w13_d437e13834
in	w15_d437e13837
16.	w17_d437e13840
eingebunden	w19_d437e13843
à	w21_d437e13846
N.	w1_d437e13851
l.	w3_d437e13854
30.	w5_d437e13857
kr.	w7_d437e13860
Item	w9_d437e13863
24.	w11_d437e13866
eingebunden	w13_d437e13870
à	w15_d437e13873
fl.	w17_d437e13876
