<doc id="wr_1758-09-06" attrs="word" year="1758" month="09" day="06" corpus="2">
<head id="h2_d276e3771">
Leipzig	w1_d276e3775
Küsten	w3_d276e11078
kreutzen	w5_d276e11081
sollten,	w7_d276e11084
die	w9_d276e11087
Bar	w11_d276e11090
barische	w1_d276e11095
Kapers,	w3_d276e11098
welche	w5_d276e11101
in	w7_d276e11104
dortigen	w9_d276e11107
Meeren	w11_d276e11110
herum	w1_d276e11116
schwärmen,	w3_d276e11119
zu	w5_d276e11122
vertreiben.	w7_d276e11125
Verwi	w9_d276e11128
chenen	w1_d276e11133
Donnerstag	w3_d276e11136
ist	w5_d276e11139
ein	w7_d276e11142
Expresser	w9_d276e11145
aus	w11_d276e11148
Madrid	w1_d276e11153
nach	w3_d276e11156
Rom	w5_d276e11159
und	w7_d276e11162
Neapel	w9_d276e11165
hierdurch	w11_d276e11168
gegangen,	w1_d276e11173
von	w3_d276e11176
dessen	w5_d276e11179
Briefschaften	w7_d276e11182
man	w9_d276e11185
aber	w11_d276e11188
weiter	w1_d276e11194
nichts	w3_d276e11197
in	w5_d276e11200
Erfahrung	w7_d276e11203
gebracht,	w9_d276e11206
als	w11_d276e11209
daß	w1_d276e11214
die	w3_d276e11217
Galeeren	w5_d276e11220
von	w7_d276e11223
Malta	w9_d276e11226
einen	w11_d276e11229
Kaper	w13_d276e11233
von	w1_d276e11238
Algier	w3_d276e11241
in	w5_d276e11244
dem	w7_d276e11247
Catalonischen	w9_d276e11250
Meer	w11_d276e11253
weg	w13_d276e11257
genommen,	w1_d276e11262
und	w3_d276e11265
ein	w5_d276e11268
anderer	w7_d276e11271
auch	w9_d276e11274
von	w11_d276e11277
einem	w13_d276e11281
Maltesischen	w1_d276e11287
Schiffe	w3_d276e11290
zu	w5_d276e11293
Grund	w7_d276e11296
gebohret	w9_d276e11299
worden	w1_d276e11304
seye.	w3_d276e11307
</p>
<head id="h2_d276e11314">
Mayn	w1_d276e11318
strom	w3_d276e11321
16.	w5_d276e11324
Augusti.	w7_d276e11327
</head>
<p id="p4_d276e11330">
Der	w1_d276e11334
Herr	w3_d276e11337
Haupt=mann	w5_d276e11340
Nolhac	w7_d276e11343
von	w9_d276e11346
dem	w11_d276e11349
Löbl.	w1_d276e11354
Fischerischen	w3_d276e11357
Corps,	w5_d276e11360
der	w7_d276e11363
sich	w9_d276e11366
schon	w11_d276e11369
seit	w1_d276e11374
etlichen	w3_d276e11377
Monaten	w5_d276e11380
zu	w7_d276e11383
Ysenburg	w9_d276e11386
auf	w11_d276e11389
der	w13_d276e11393
Werbung	w1_d276e11399
befindet,	w3_d276e11402
hat	w5_d276e11405
von	w7_d276e11408
dem	w9_d276e11411
Hussaren	w11_d276e11414
ritt=meister	w1_d276e11419
von	w3_d276e11422
Guerdann	w5_d276e11425
die	w7_d276e11428
Nachricht	w9_d276e11431
er	w11_d276e11434
halten,	w1_d276e11439
daß	w3_d276e11442
am	w5_d276e11445
9.	w7_d276e11448
dieses	w9_d276e11451
die	w11_d276e11454
Heßische	w13_d276e11458
Jä	w15_d276e11461
ger,	w1_d276e11466
3.	w3_d276e11469
Viertel=stunde	w5_d276e11472
von	w7_d276e11475
Eimbeck,	w9_d276e11478
von	w11_d276e11481
Guerdanns	w1_d276e11487
und	w3_d276e11490
Coloins	w5_d276e11493
Compagnie	w7_d276e11496
tap	w9_d276e11499
fer	w1_d276e11504
angegriffen	w3_d276e11507
worden,	w5_d276e11510
dergestalt,	w7_d276e11513
daß	w9_d276e11516
26.	w11_d276e11519
Jäger	w1_d276e11524
auf	w3_d276e11527
dem	w5_d276e11530
Platz	w7_d276e11533
geblieben,	w9_d276e11536
und	w11_d276e11539
sie	w13_d276e11543
20.	w15_d276e11546
Pferde	w1_d276e11551
zur	w3_d276e11554
Beute	w5_d276e11557
überlassen	w7_d276e11560
müssen.	w9_d276e11563
Die	w11_d276e11566
Fischerische	w1_d276e11572
Hussaren	w3_d276e11575
haben	w5_d276e11578
bey	w7_d276e11581
diesem	w9_d276e11584
Corps	w11_d276e11587
nicht	w1_d276e11592
einen	w3_d276e11595
Mann	w5_d276e11598
todt,	w7_d276e11601
sondern	w9_d276e11604
nur	w11_d276e11607
15.	w13_d276e11611
Bleßirte,	w1_d276e11616
und	w3_d276e11619
11.	w5_d276e11622
verwundete	w7_d276e11625
Pferde	w9_d276e11628
bekom	w11_d276e11631
men.	w1_d276e11636
Gedachte	w3_d276e11639
Hussaren	w5_d276e11642
haben	w7_d276e11645
sich	w9_d276e11648
dar	w11_d276e11651
auf	w1_d276e11657
ganz	w3_d276e11660
ruhig	w5_d276e11663
nach	w7_d276e11666
Nordheim	w9_d276e11669
wieder	w11_d276e11672
zurück	w13_d276e11676
gezogen,	w1_d276e11681
und	w3_d276e11684
feindlicher	w5_d276e11687
Seits	w7_d276e11690
hat	w9_d276e11693
man	w11_d276e11696
nicht	w13_d276e11700
für	w1_d276e11705
gut	w3_d276e11708
befunden,	w5_d276e11711
ungeachtet	w7_d276e11714
des	w9_d276e11717
stark	w11_d276e11720
erhal	w13_d276e11724
tenen	w1_d276e11729
Succurses,	w3_d276e11732
sie	w5_d276e11735
zu	w7_d276e11738
verfolgen.	w9_d276e11741
</p>
<head id="h2_d276e11747">
Versailles	w1_d276e11751
26.	w3_d276e11754
Augusti	w5_d276e11757
</head>
<p id="p4_d276e11760">
Die	w1_d276e11764
Fortsetzung	w3_d276e11767
des	w5_d276e11770
Krieges	w7_d276e11773
in	w9_d276e11776
Teutsch	w11_d276e11779
land,	w1_d276e11784
und	w3_d276e11787
die	w5_d276e11790
Bedeckung	w7_d276e11793
der	w9_d276e11796
Küsten	w11_d276e11799
gegen	w13_d276e11803
die	w1_d276e11808
weitere	w3_d276e11811
Unternehmungen	w5_d276e11814
der	w7_d276e11817
Englän	w9_d276e11820
der	w1_d276e11826
beschäftigt	w3_d276e11829
das	w5_d276e11832
Königl.	w7_d276e11835
Ministerium	w9_d276e11838
</p>
<p id="p8_d276e11843">
alhier	w1_d276e11847
täglich.	w3_d276e11850
Der	w5_d276e11853
Herzog	w7_d276e11856
von	w9_d276e11859
Harcourt	w11_d276e11862
soll	w1_d276e11867
bis	w3_d276e11870
auf	w5_d276e11873
15000.	w7_d276e11876
Mann	w9_d276e11879
verstärkt,	w11_d276e11882
und	w13_d276e11886
Havre	w1_d276e11891
de	w3_d276e11894
Grace	w5_d276e11897
mit	w7_d276e11900
2.	w9_d276e11903
Bataillonen	w11_d276e11906
Be	w13_d276e11910
satzung	w1_d276e11916
versehen	w3_d276e11919
werden.	w5_d276e11922
Der	w7_d276e11925
Graf	w9_d276e11928
von	w11_d276e11931
St.	w1_d276e11936
Florentin,	w3_d276e11939
welcher	w5_d276e11942
sich	w7_d276e11945
um	w9_d276e11948
die	w11_d276e11951
Crone	w13_d276e11955
bey	w1_d276e11960
35.	w3_d276e11963
Jahr	w5_d276e11966
lang,	w7_d276e11969
als	w9_d276e11972
Minister	w11_d276e11975
u.	w13_d276e11979
Staats	w15_d276e11982
secretair	w1_d276e11987
verdient	w3_d276e11990
gemacht,	w5_d276e11993
ist	w7_d276e11996
von	w9_d276e11999
Sr.	w11_d276e12002
Al	w13_d276e12006
lerchristl.	w1_d276e12012
Majestät	w3_d276e12015
zum	w5_d276e12018
Duc	w7_d276e12021
und	w9_d276e12024
Pair	w11_d276e12027
von	w13_d276e12031
Frankreich	w1_d276e12036
erhoben	w3_d276e12039
worden.	w5_d276e12042
</p>
<head id="h2_d276e12048">
Kurz=gefaßte	w1_d276e12052
Nachrichten.	w3_d276e12055
Es	w1_d276e12060
geben	w3_d276e12063
die	w5_d276e12066
frischesten	w7_d276e12069
Briefe.	w9_d276e12072
</head>
<p id="p4_d276e12075">
Von	w1_d276e12079
Paderborn:	w3_d276e12082
daß	w5_d276e12085
den	w7_d276e12088
15.	w9_d276e12091
Augusti,	w11_d276e12094
13200.	w1_d276e12099
Mann	w3_d276e12102
von	w5_d276e12105
dem	w7_d276e12108
bey	w9_d276e12111
Warburg	w11_d276e12114
ste	w13_d276e12118
henden	w1_d276e12123
Corpo	w3_d276e12126
aufgebrochen,	w5_d276e12129
und	w7_d276e12132
an	w9_d276e12135
diesem	w11_d276e12138
Tage	w1_d276e12144
ein	w3_d276e12147
Schweitzer	w5_d276e12150
Regiment	w7_d276e12153
in	w9_d276e12156
diese	w11_d276e12159
Stadt	w1_d276e12164
rücken	w3_d276e12167
sollen.	w5_d276e12170
Die	w7_d276e12173
Avant=garde	w9_d276e12176
von	w11_d276e12179
bemeldeten	w1_d276e12184
13200.	w3_d276e12187
Mann	w5_d276e12190
befand	w7_d276e12193
sich	w9_d276e12196
den	w11_d276e12199
15.	w1_d276e12204
zu	w3_d276e12207
Swaney	w5_d276e12210
2.	w7_d276e12213
Stunden	w9_d276e12216
von	w11_d276e12219
Pader	w13_d276e12223
born,	w1_d276e12229
alleine	w3_d276e12232
ihr	w5_d276e12235
weiterer	w7_d276e12238
Marsch	w9_d276e12241
ist	w11_d276e12244
noch	w1_d276e12249
unbekannt.	w3_d276e12252
</p>
<p id="p6_d276e12255">
Von	w1_d276e12259
Hamburg:	w3_d276e12262
daß	w5_d276e12265
auf	w7_d276e12268
der	w9_d276e12271
Elbe	w11_d276e12274
eine	w13_d276e12278
Escadre	w1_d276e12283
von	w3_d276e12286
6.	w5_d276e12289
Engländischen	w7_d276e12292
Kriegsschif	w9_d276e12295
fen	w1_d276e12300
angelangt	w3_d276e12303
seye,	w5_d276e12306
welche	w7_d276e12309
zwischen	w9_d276e12312
diesem	w11_d276e12315
Fluß	w1_d276e12321
und	w3_d276e12324
der	w5_d276e12327
Weser	w7_d276e12330
kreuzen	w9_d276e12333
soll.	w11_d276e12336
</p>
<p id="p8_d276e12339">
Und	w1_d276e12343
daß,	w3_d276e12346
ob	w5_d276e12349
man	w7_d276e12352
gleich	w9_d276e12355
vermutete,	w11_d276e12358
Se.	w13_d276e12362
Hoch=fürstliche	w1_d276e12367
Durchleucht	w3_d276e12370
der	w5_d276e12373
regie	w7_d276e12376
rende	w1_d276e12381
Herr	w3_d276e12384
Land=graf	w5_d276e12387
von	w7_d276e12390
Hessen	w9_d276e12393
Cassel	w11_d276e12396
würden	w1_d276e12402
sich	w3_d276e12405
in	w5_d276e12408
diese	w7_d276e12411
Stadt	w9_d276e12414
begeben,	w11_d276e12417
so	w13_d276e12421
ver	w15_d276e12424
nehme	w1_d276e12429
man	w3_d276e12432
doch	w5_d276e12435
aus	w7_d276e12438
Bremen,	w9_d276e12441
das	w11_d276e12444
Diesel	w13_d276e12448
ben	w1_d276e12453
nach	w3_d276e12456
Utrecht	w5_d276e12459
abreisen,	w7_d276e12462
und	w9_d276e12465
so	w11_d276e12468
lange	w13_d276e12472
allda	w1_d276e12477
verbleiben	w3_d276e12480
würden,	w5_d276e12483
bis	w7_d276e12486
sich	w9_d276e12489
die	w11_d276e12492
gegenwärtige	w1_d276e12498
Conjuncturen	w3_d276e12501
ändern.	w5_d276e12504
</p>
<p id="p10_d276e12507">
Von	w1_d276e12511
Londen:	w3_d276e12514
daß	w5_d276e12517
die	w7_d276e12520
Admiralität	w9_d276e12523
ei	w11_d276e12526
nen	w1_d276e12531
Expressen	w3_d276e12534
von	w5_d276e12537
dem	w7_d276e12540
General	w9_d276e12543
Abercromie	w11_d276e12546
mit	w1_d276e12551
der	w3_d276e12554
Nachricht	w5_d276e12557
erhalten	w7_d276e12560
hätte;	w9_d276e12563
daß	w11_d276e12566
er	w1_d276e12572
die	w3_d276e12575
Französi	w5_d276e12578
ische	w1_d276e12583
Armee	w3_d276e12586
geschlagen	w5_d276e12589
habe,	w7_d276e12592
welche	w1_d276e12597
das	w3_d276e12600
Fort	w5_d276e12603
Friedrich	w7_d276e12606
vertheidigen	w9_d276e12609
sollen.	w11_d276e12612
</p>
<p id="p12_d276e12616">
Jedermann	w1_d276e12620
bewunderte	w3_d276e12623
zu	w5_d276e12626
Petersburg	w7_d276e12629
den	w1_d276e12634
schönen	w3_d276e12637
steinern	w5_d276e12640
Thurm	w7_d276e12643
an	w9_d276e12646
der	w11_d276e12649
Himmel	w13_d276e12653
</p>
<p id="p14_d276e12656">
fahrts=kirche;	w1_d276e12660
er	w3_d276e12663
war	w5_d276e12666
schon	w7_d276e12669
40.	w9_d276e12672
Schuh	w11_d276e12675
hoch	w1_d276e12680
aufgeführt,	w3_d276e12683
und	w5_d276e12686
es	w7_d276e12689
fehlete	w9_d276e12692
nur	w11_d276e12695
die	w13_d276e12699
Spitze	w1_d276e12704
daran.	w3_d276e12707
Dieser	w5_d276e12710
ist	w7_d276e12713
den	w9_d276e12716
25.	w11_d276e12719
Julii	w13_d276e12723
umgestürzt,	w1_d276e12729
und	w3_d276e12732
man	w5_d276e12735
wird	w7_d276e12738
sagen,	w9_d276e12741
daß	w11_d276e12744
der	w13_d276e12748
Bau=meister	w1_d276e12753
kein	w3_d276e12756
Meister=stück	w5_d276e12759
daran	w7_d276e12762
gemacht	w9_d276e12765
habe.	w1_d276e12770
</p>
<p id="p16_d276e12773">
Wie	w1_d276e12777
man	w3_d276e12780
aus	w5_d276e12783
dem	w7_d276e12786
Brandenburgischen	w9_d276e12789
Nachricht	w1_d276e12794
hat,	w3_d276e12797
wird	w5_d276e12800
die	w7_d276e12803
Belagerung	w9_d276e12806
Cü	w11_d276e12809
strins	w1_d276e12814
von	w3_d276e12817
denen	w5_d276e12820
Russen	w7_d276e12823
noch	w9_d276e12826
fortgesetzet.	w11_d276e12829
Die	w1_d276e12835
Belagerten	w3_d276e12838
sollen	w5_d276e12841
übrigens	w7_d276e12844
ein	w9_d276e12847
bestän	w11_d276e12850
diges	w1_d276e12855
Feuer	w3_d276e12858
machen.	w5_d276e12861
</p>
<head id="h2_d276e12867">
Wien,	w1_d276e12871
den	w3_d276e12874
6.	w5_d276e12877
September	w7_d276e12880
1758.	w9_d276e12883
</head>
<p id="p4_d276e12886">
Samstags	w1_d276e12890
den	w3_d276e12893
2.	w5_d276e12896
dieses	w7_d276e12899
Vormittags	w9_d276e12902
ist	w11_d276e12905
das	w1_d276e12910
eine	w3_d276e12913
Zeither	w5_d276e12916
zu	w7_d276e12919
Kloster=neuburg	w9_d276e12922
bequartiert	w1_d276e12927
geweste	w3_d276e12930
zweyte	w5_d276e12933
Artilleriebatail	w7_d276e12936
lon,	w1_d276e12942
nachdeme	w3_d276e12945
selbes	w5_d276e12948
Tages	w7_d276e12951
vorhero	w9_d276e12954
von	w11_d276e12957
Jh	w13_d276e12961
rer	w1_d276e12966
Kaiserl.	w3_d276e12969
Königl.	w5_d276e12972
Majestät	w7_d276e12975
unserer	w9_d276e12978
Aller	w11_d276e12981
gnädigsten	w1_d276e12986
Frauen	w3_d276e12989
in	w5_d276e12992
Gefolg	w7_d276e12995
einiger	w9_d276e12998
Damen	w11_d276e13001
und	w1_d276e13006
Cavalieren	w3_d276e13009
aldaselbst	w5_d276e13012
in	w7_d276e13015
allerhöchsten	w9_d276e13018
Augenschein	w1_d276e13024
genommen	w3_d276e13027
worden,	w5_d276e13030
von	w7_d276e13033
dannen	w9_d276e13036
zu	w1_d276e13041
der	w3_d276e13044
Kaiserl.	w5_d276e13047
Königl.	w7_d276e13050
Armee	w9_d276e13053
abmarschie	w11_d276e13056
ret.	w1_d276e13061
</p>
<p id="p6_d276e13064">
Abends	w1_d276e13068
dito	w3_d276e13071
seynd	w5_d276e13074
Se.	w7_d276e13077
Majestät	w9_d276e13080
der	w11_d276e13083
Kaiser	w1_d276e13088
mit	w3_d276e13091
dero	w5_d276e13094
Herrn	w7_d276e13097
Bruders	w9_d276e13100
Herzogs	w11_d276e13103
Carl	w1_d276e13108
zu	w3_d276e13111
Lothringen	w5_d276e13114
Königl.	w7_d276e13117
Hoheit	w9_d276e13120
von	w11_d276e13123
Hol	w13_d276e13127
litsch	w1_d276e13133
zu	w3_d276e13136
Schönbrun	w5_d276e13139
zuruck	w7_d276e13142
eingetroffen.	w9_d276e13145
</p>
<p id="p8_d276e13148">
Sonntags	w1_d276e13152
den	w3_d276e13155
3.	w5_d276e13158
als	w7_d276e13161
am	w9_d276e13164
Fest	w11_d276e13167
des	w13_d276e13171
Heil.	w15_d276e13174
Schutz=engels,	w1_d276e13179
Vormittags	w3_d276e13182
gegen	w5_d276e13185
11.	w7_d276e13188
Uhr	w9_d276e13191
haben	w1_d276e13196
beyde	w3_d276e13199
Kaiserl.	w5_d276e13202
Majestäten,	w7_d276e13205
mit	w9_d276e13208
12.	w11_d276e13211
Durchl.	w1_d276e13217
jungen	w3_d276e13220
Herrschaften	w5_d276e13223
Königl.	w7_d276e13226
Ho	w9_d276e13229
heiten,	w1_d276e13234
von	w3_d276e13237
Schönbrun	w5_d276e13240
herein	w7_d276e13243
in	w9_d276e13246
das	w11_d276e13249
GOt	w13_d276e13253
tes=haus	w1_d276e13258
der	w3_d276e13261
W.	w5_d276e13264
W.	w7_d276e13267
E.	w9_d276e13270
E.	w11_d276e13273
P.	w13_d276e13277
P.	w15_d276e13280
Pau	w17_d276e13283
lanern	w1_d276e13288
auf	w3_d276e13291
der	w5_d276e13294
Wieden	w7_d276e13297
sich	w9_d276e13300
erhoben,	w11_d276e13303
und	w13_d276e13307
daselbst	w1_d276e13313
dem	w3_d276e13316
feyerlich	w5_d276e13319
begangenen	w7_d276e13322
GOttes	w9_d276e13325
dienst	w1_d276e13330
beygewohnet;	w3_d276e13333
nach	w5_d276e13336
Ende	w7_d276e13339
dessen	w9_d276e13342
aber	w11_d276e13345
sich	w1_d276e13350
wiederum	w3_d276e13353
nach	w5_d276e13356
Schönbrun	w7_d276e13359
zurückbege	w9_d276e13362
ben.	w1_d276e13367
</p>
<p id="p10_d276e13370">
Montags	w1_d276e13374
und	w3_d276e13377
Dienstags	w5_d276e13380
haben	w7_d276e13383
beyde	w9_d276e13386
K.	w11_d276e13389
Majestäten	w1_d276e13394
mit	w3_d276e13397
dem	w5_d276e13400
hohen	w7_d276e13403
Ministerio	w9_d276e13406
über	w11_d276e13409
die	w1_d276e13414
Angelegenheiten	w3_d276e13417
des	w5_d276e13420
Staats	w7_d276e13423
und	w9_d276e13426
Kriegs	w11_d276e13429
weesens	w1_d276e13435
confexiret.	w3_d276e13438
</p>
<p id="p16_d276e13452">
Zu	w1_d276e13456
Ende	w3_d276e13459
voriger	w5_d276e13462
Woche	w7_d276e13465
ist	w9_d276e13468
der	w11_d276e13471
aus	w13_d276e13475
der	w15_d276e13478
Preußischen	w1_d276e13483
Kriegs=gefangenschaft	w3_d276e13486
zurück	w5_d276e13489
gekommene	w1_d276e13494
Kaiserl.	w3_d276e13497
Königl.	w5_d276e13500
Herr	w7_d276e13503
Feldwacht	w9_d276e13506
meister	w1_d276e13512
Frey=herr	w3_d276e13515
von	w5_d276e13518
Beck,	w7_d276e13521
von	w9_d276e13524
der	w11_d276e13527
Kais.	w13_d276e13531
Königl.	w1_d276e13536
Armee	w3_d276e13539
dahier	w5_d276e13542
angelanget;	w7_d276e13545
und	w9_d276e13548
hat	w11_d276e13551
selber	w1_d276e13556
am	w3_d276e13559
Sonntag	w5_d276e13562
darauf	w7_d276e13565
Vormittags	w9_d276e13568
bey	w11_d276e13571
allerhöchsten	w1_d276e13576
beyden	w3_d276e13579
Kaiserl.	w5_d276e13582
Majestäten	w7_d276e13585
Au	w9_d276e13588
dienz	w1_d276e13594
gehabt.	w3_d276e13597
</p>
<head id="h2_d276e13603">
Lista	w1_d276e13607
deren	w3_d276e13610
Verstorbenen	w5_d276e13613
zu	w7_d276e13616
Wien	w9_d276e13619
in	w1_d276e13624
und	w3_d276e13627
vor	w5_d276e13630
der	w7_d276e13633
Stadt.	w9_d276e13636
Den	w1_d276e13641
2.	w3_d276e13644
Sept.	w5_d276e13647
Jn	w1_d276e13653
der	w3_d276e13656
Stadt.	w5_d276e13659
</head>
<list id="l4_d276e13662">
Dem	w1_d276e13666
Wol=edlen	w3_d276e13669
Hrn.	w5_d276e13672
Joh.	w7_d276e13675
Bapt.	w9_d276e13678
Giller,	w11_d276e13681
N.	w13_d276e13685
Oe.	w15_d276e13688
Landsch.	w1_d276e13693
Expedit.,	w3_d276e13696
s.	w5_d276e13699
Fr.	w7_d276e13702
Barb.,	w9_d276e13705
im	w11_d276e13708
Zwölferis.	w13_d276e13712
H.	w15_d276e13715
am	w1_d276e13720
alt.	w3_d276e13723
Fleisch=m.,	w5_d276e13726
alt	w7_d276e13729
48.	w9_d276e13732
J.	w11_d276e13735
Dem	w1_d276e13741
Fried.	w3_d276e13744
Sinner,	w5_d276e13747
Kammer=dien,	w7_d276e13750
s.	w9_d276e13753
K.	w11_d276e13756
Lorenz,	w13_d276e13760
im	w15_d276e13763
Goldschmiedis.	w1_d276e13768
H.	w3_d276e13771
in	w5_d276e13774
der	w7_d276e13777
Nagler=gas.,	w9_d276e13780
alt	w11_d276e13783
2.	w13_d276e13787
J.	w15_d276e13790
Dem	w1_d276e13795
Georg	w3_d276e13798
Teuckmüller,	w5_d276e13801
Burgerl.	w7_d276e13804
Schneid.,	w9_d276e13807
s.	w11_d276e13810
Francisca,	w1_d276e13815
beym	w3_d276e13818
grün.	w5_d276e13821
Hirschel	w7_d276e13824
im	w9_d276e13827
tief.	w11_d276e13830
Grab.,	w13_d276e13834
alt	w1_d276e13840
56.	w3_d276e13843
J.	w5_d276e13846
</list>
<head id="h2_d276e13853">
Vor	w1_d276e13857
der	w3_d276e13860
Stadt.	w5_d276e13863
</head>
<list id="l4_d276e13866">
Dem	w1_d276e13870
Mart.	w3_d276e13873
Huber,	w5_d276e13876
Maurer=meist.,	w7_d276e13879
s.	w9_d276e13882
W.	w11_d276e13885
Reg.,	w13_d276e13889
in	w15_d276e13892
s.	w1_d276e13897
H.	w3_d276e13900
zu	w5_d276e13903
Nicolstorf,	w7_d276e13906
alt	w9_d276e13909
47.	w11_d276e13912
J.	w13_d276e13916
Ant.	w1_d276e13921
Fischer	w3_d276e13924
Lack,	w5_d276e13927
bey	w7_d276e13930
der	w9_d276e13933
grün.	w11_d276e13936
Saul.	w13_d276e13940
am	w15_d276e13943
Spital	w17_d276e13946
berg,	w1_d276e13952
alt	w3_d276e13955
37.	w5_d276e13958
J.	w7_d276e13961
Dem	w1_d276e13966
Math.	w3_d276e13969
Hammerschmid,	w5_d276e13972
Maurern,	w7_d276e13975
s.	w9_d276e13978
K.	w11_d276e13981
Anna,	w13_d276e13985
beym	w1_d276e13990
gold.	w3_d276e13993
Engel	w5_d276e13996
bey	w7_d276e13999
Maria=hülf,	w9_d276e14002
alt	w11_d276e14005
3.	w13_d276e14009
J.	w15_d276e14012
Math.	w1_d276e14017
Schäffer,	w3_d276e14020
Sack=trag.,	w5_d276e14023
beyn	w7_d276e14026
2.	w9_d276e14029
Löw.	w11_d276e14032
in	w13_d276e14036
der	w15_d276e14039
Rossau,	w1_d276e14045
alt	w3_d276e14048
31.	w5_d276e14051
J.	w7_d276e14054
Dem	w1_d276e14059
Math.	w3_d276e14062
Silbernagl,	w5_d276e14065
Waldeggis.	w7_d276e14068
Sold.,	w9_d276e14071
s.	w11_d276e14074
K.	w13_d276e14078
Jacob,	w1_d276e14083
im	w3_d276e14086
Colloredis.	w5_d276e14089
Gart.	w7_d276e14092
in	w9_d276e14095
der	w11_d276e14098
Leopoldst.,	w13_d276e14102
6.	w15_d276e14105
J.	w17_d276e14108
Andee	w1_d276e14113
Müller,	w3_d276e14116
in	w5_d276e14119
U.	w7_d276e14122
L.	w9_d276e14125
Frauen=spit.,	w11_d276e14128
alt	w13_d276e14132
10.	w15_d276e14135
J.	w17_d276e14138
Margar.	w1_d276e14144
Schutzin,	w3_d276e14147
Wittwo	w5_d276e14150
im	w7_d276e14153
Kestleris.	w9_d276e14156
H.	w11_d276e14159
zu	w13_d276e14163
Erd	w15_d276e14166
berg,	w1_d276e14171
alt	w3_d276e14174
46.	w5_d276e14177
J.	w7_d276e14180
Dem	w1_d276e14185
Andre	w3_d276e14188
Schlecht,	w5_d276e14191
Fuhr=kn.,	w7_d276e14194
s.	w9_d276e14197
K.	w11_d276e14200
Rosal.,	w13_d276e14204
beym	w15_d276e14207
rot.	w1_d276e14212
Ygel	w3_d276e14215
auf	w5_d276e14218
der	w7_d276e14221
Wied.,	w9_d276e14224
alt	w11_d276e14227
3.	w13_d276e14231
J.	w15_d276e14234
</list>
<head id="h2_d276e14242">
Den	w1_d276e14246
3.	w3_d276e14249
Sept.	w5_d276e14252
Jn	w1_d276e14257
der	w3_d276e14260
Stadt.	w5_d276e14263
</head>
<list id="l4_d276e14266">
Joh.	w1_d276e14270
Paul	w3_d276e14273
Binder,	w5_d276e14276
Burgerl.	w7_d276e14279
Wachs=handl.,	w9_d276e14282
beym	w11_d276e14285
Hahnen=beiß	w1_d276e14290
am	w3_d276e14293
Hof,	w5_d276e14296
alt	w7_d276e14299
58.	w9_d276e14302
J.	w11_d276e14305
Der	w1_d276e14310
Eva	w3_d276e14313
Maria	w5_d276e14316
Starchlin,	w7_d276e14319
Burgerl.	w9_d276e14322
Wittwe,	w11_d276e14325
ihr	w13_d276e14329
S.	w1_d276e14335
Joh.	w3_d276e14338
Paul,	w5_d276e14341
im	w7_d276e14344
Bolzais.	w9_d276e14347
H.	w11_d276e14350
am	w13_d276e14354
alt.	w15_d276e14357
Fleisch=m.	w17_d276e14360
alt	w1_d276e14365
24.	w3_d276e14368
J.	w5_d276e14371
</list>
<head id="h2_d276e14378">
Vor	w1_d276e14382
der	w3_d276e14385
Stadt.	w5_d276e14388
</head>
<list id="l4_d276e14391">
Joh.	w1_d276e14395
Casp.	w3_d276e14398
Braun,	w5_d276e14401
Burgerl.	w7_d276e14404
Handels=m.,	w9_d276e14407
bey	w11_d276e14410
dem	w13_d276e14414
schwarz.	w1_d276e14419
Rös.	w3_d276e14422
bey	w5_d276e14425
St.	w7_d276e14428
Ulrich,	w9_d276e14431
alt	w11_d276e14434
59.	w13_d276e14438
J.	w15_d276e14441
Dem	w1_d276e14446
Georg	w3_d276e14449
Carinus,	w5_d276e14452
Heyduck.,	w7_d276e14455
s.	w9_d276e14458
K.	w11_d276e14461
Joh.,	w13_d276e14465
im	w15_d276e14468
Huberis.	w1_d276e14474
H.	w3_d276e14477
am	w5_d276e14480
Hundsth.,	w7_d276e14483
alt	w9_d276e14486
3.	w11_d276e14489
J.	w13_d276e14493
Anna	w1_d276e14498
Gaheißin,	w3_d276e14501
led.	w5_d276e14504
M.,	w7_d276e14507
in	w9_d276e14510
der	w11_d276e14513
Schleif=mühl	w13_d276e14517
an	w15_d276e14520
der	w1_d276e14525
Wien,	w3_d276e14528
alt	w5_d276e14531
34.	w7_d276e14534
J.	w9_d276e14537
Anna	w1_d276e14542
Jrachin,	w3_d276e14545
Wats,	w5_d276e14548
im	w7_d276e14551
Platz=meisterisch.	w9_d276e14554
H.	w11_d276e14557
auf	w13_d276e14561
der	w1_d276e14567
Wied.,	w3_d276e14570
alt	w5_d276e14573
14.	w7_d276e14576
J.	w9_d276e14579
</list>
<list id="l6_d276e14583">
bey	w1_d276e14587
der	w3_d276e14590
Schwan.	w5_d276e14593
an	w7_d276e14596
der	w9_d276e14599
Wien,	w11_d276e14602
alt	w13_d276e14606
63.	w15_d276e14609
J.	w17_d276e14612
Dem	w1_d276e14617
Lorenz	w3_d276e14620
Bodstuber,	w5_d276e14623
Tagw.,	w7_d276e14626
s.	w9_d276e14629
W.	w11_d276e14632
Elisab.,	w13_d276e14636
im	w15_d276e14639
Nilleris.	w1_d276e14644
H.	w3_d276e14647
auf	w5_d276e14650
der	w7_d276e14653
Landstr.,	w9_d276e14656
alt	w11_d276e14659
56.	w13_d276e14663
J.	w15_d276e14666
Dem	w1_d276e14672
Mich.	w3_d276e14675
